radiation scattering	61-19098-B
reaction boos and jeers	5-56104-S
reaction of nuclear fission	64-56041-S
reaction of organism	11-46587-S
reaction pot chemical engineering	11-48957-B
reaction to light	7-9413-B
reactionaries	11-45235-B,11-45325-B,19-22289-B
reactionary	11-45180-B,19-22230-B,44-35806-B,44-44410-S
reactionary elements	11-45235-B
reactionary rule	59-7759-S
reactionary tendency	61-67581-S
reactivation hypothesis	8-9129-B
reactivator	63-61648-B
reactor	8-20903-S,9-68646-S,11-31799-S,11-31881-S,11-48510-B,16-26942-S,20-19814-S,33-56127-S,33-62247-S,36-25867-S,41-19575-S,43-26835-S,46-5401-S,46-13867-S,67-19827-S,67-30847-S
reactor core	11-48668-B
reactor hwr	63-61196-S
reactor lwr	61-11112-S
reactor 輕水反應堆 轻水反应堆	61-10981-S
read	6-2048-S,20-21858-S,24-50268-B,35-13564-S,38-35549-S,45-38638-S,58-20323-S,58-62212-S,59-5968-S,59-6244-B,65-49276-S,65-49614-S,65-49712-S
read a draft	20-23168-S
read again	8-10013-S
read aloud	12-65913-S,13-14962-S,13-15284-S,24-49883-S,32-45283-B,58-30825-B,58-30914-S
read aloud fluently	1-47086-S
read aloud with expression	32-45206-B
read and appraise	58-8358-S
read and edit	50-19842-B
read and interpret ancient texts	63-53787-S
read and investigate	46-14989-S
read and knowledgeable	11-9608-S
read and pass on	6-42609-S
read cursorily	38-35321-S
read extensively	11-9955-B
read in silence	71-36251-S,71-37104-S
read instructions	11-41296-S
read intensively	69-8415-S
read loudly and clearly	32-45283-B
read newspapers	59-6059-S
read only	46-51780-B
read only computing	13-55106-B
read only memory	12-14004-S
read out loud to an audience	19-55742-S
read person	58-14311-S
read smoothly of text	68-22488-S,68-22764-S,68-22887-S
read the news	29-15252-S
read the scriptures	59-6465-S
read the simplest characters	2-30061-S
read through to evaluate	26-58283-S
reader	59-6006-S,59-6356-B,59-6521-B
reader s digest	59-6631-B
reader s letters	59-6560-B
reader software	65-49760-B
readers	54-63524-S
readily	1-4156-B,1-73071-B,39-35891-S,41-42291-B
readily following good advice 成语 saw	24-11114-B
readiness	18-26083-S
reading	16-65043-S,27-52960-S,37-36568-S,41-8055-S,43-63443-S,45-39856-S,46-20221-S,48-58366-S,62-3416-S,63-52732-S,65-49712-B
reading a book	35-62276-S
reading a hundred times	44-57449-S
reading a thousand books	56-34692-S
reading aloud	1-47086-S
reading bei4 qiao4	59-29892-S
reading between the lines	23-34398-B,57-55739-B
reading comprehension	65-50050-B
reading course	48-58432-S
reading furiously	27-9951-S
reading group	32-11729-S
reading material	59-6417-B
reading of character	58-30682-S
reading or phonetic value of a character	68-15624-B
reading primer	44-52644-S
reading room	65-49655-B
reading span	65-49820-B
reading span test	65-49888-B
reading sth for the first time	7-5151-S
reading to urinate	21-16035-S
reading 成语 saw	63-22219-S
readings	28-23264-S
readings and meanings	16-64932-S
readings of the taiping era	17-58358-S
reads in the news	45-41030-S
ready	6-28129-S,6-28803-S,18-36445-B,19-46679-B,21-10364-B,24-5886-B,24-6543-S,30-15616-S,30-16223-S,39-16571-S,65-8348-S,68-28392-S,68-45119-B,68-45173-B
ready and waiting	30-16343-B
ready and waiting for action	23-30388-B
ready answer	20-54313-S
ready built components into place	12-44478-S
ready etc	48-17869-S
ready for a journey	30-15081-S,30-16223-S,30-16343-S
ready for emergency repairs	15-31540-S
ready for sth	48-42323-S
ready just in case	6-29318-S
ready made	42-50372-B
ready made clothes	26-11772-B
ready method	34-37599-S
ready of plans	8-21629-S
ready to concede	24-34053-S
ready to do sth	52-12974-S
ready to eat	41-16513-S
ready to fall and break at any moment	11-22330-B
ready to fly	51-17358-B
ready to give and take	52-26957-B
ready to make an offering to the deceased	12-8735-S,30-34152-S
ready to punish one s own family if justice demands it	17-31103-B
ready to substitute at any time for principal player	32-18183-S
ready to take any job	52-26670-B
reaffirm	63-62531-B
reagan	57-2067-S
reagent	9-61124-B,58-12509-B
reagent chem 	37-64862-B
real	20-11839-B,42-50051-B,45-40336-B,45-41646-B,45-41982-B,45-42989-B,45-43097-B,46-33016-B,46-33626-B,55-50990-S,67-24177-S
real ability and learning	45-42521-B
real analysis	20-12254-B
real body of buddha or a god	45-45036-S
real circumstances	45-32464-S
real combat	20-13125-B
real essence of the matter	45-45692-S
real estate	1-73272-B,26-26371-B,26-27076-B,37-65340-S,65-39488-S
real face	45-41573-B
real from imitation	45-40885-S
real human interest	4-9728-B
real intention	32-64009-B
real knowledge	45-43911-B
real madrid soccer team	44-61391-B,44-62615-B
real meaning	45-44868-S
real measurement	20-13970-B
real nature based on the name 成语 saw	24-23191-S
real number	44-470-S
real number math 	20-13185-B
real numbers as values of a function	20-12155-S,20-13251-S
real or sham	55-54110-S
real people	37-65223-B
real punch	27-50267-S
real results	58-61204-B
real root of a polynomial	20-13721-B
real situation	45-42112-B,55-51276-S
real skill	32-30028-S
real tear jerker	50-46223-S
real thing	45-40517-S
real time	20-13420-B
real time operating environment	20-13610-B
real valued math 	20-12155-B,20-13251-B
real variable	20-14998-S,20-15054-S,20-15146-S
real variables	20-12254-S
real version as opposed to pirated	45-43151-B
realgar	66-54171-B
realise at a jolt	69-61638-S
realised	19-12496-S
realism	42-50115-B
realism in art	59-60154-B
realistic	8-61168-B,18-30544-B,20-11970-S,33-54179-B,60-46585-B,60-47001-B
realistic without flights of fancy	52-43686-B
realistic words	13-5114-S
reality	2-28312-S,3-30175-S,6-8009-S,12-55691-S,17-2996-S,20-12487-S,20-14038-B,20-15746-B,20-15802-S,42-50051-B,45-34158-S,45-40517-B,45-41690-S,45-45570-B,55-51979-S,59-60154-S,63-48169-S,65-28278-S
reality and act blindly	65-28919-S
reality does not live up to the name	12-53164-B
reality lives up to its reputation	12-55691-S
reality tv series	69-1410-S
reality 成语 saw	12-53164-S,12-53351-S,23-23495-S,32-31078-S,32-31208-S
realization	13-62058-S,68-32536-S,70-9848-B
realization or agreement yes	13-49611-S
realize	20-14218-S,24-68348-S,25-41129-S,31-25584-S,45-34158-S,45-60056-S,54-49558-B,57-41106-S,57-41330-S,62-52372-B,63-48169-S,68-34896-S,70-7183-S,70-9848-B
realize clearly	3-28140-S
realize intuitively what is going on	2-13880-S
realized	16-52920-S,35-60949-S
realizing	2-20572-S
really	8-3920-B,20-10134-B,20-11839-B,20-12487-B,33-37504-B,33-37613-B,44-59268-B,45-40336-B,45-40774-B,45-43861-B,46-33626-B
really and truly	44-59011-B
really angry	40-20102-S
really are	18-30544-S
really brave person remains level headed	17-7886-S
really busy	24-45932-S
really cool	45-43238-S
really dangerous enemy from his external appearance	13-28660-S
really does not care	2-46637-B
really don t deserve so much praise	62-48249-S
really frightened	14-39977-S
really good	2-1309-B,37-11747-B
really great	45-43032-B
really hard	54-53563-S,54-53638-S
really hurt	44-6719-S
really interj of annoyance or frustration	45-42786-B
really isn t	2-48077-B
really means to say	11-70502-S
really put out energy for	59-58551-B
really well 成语 saw	52-28093-S
realm	16-23652-B,17-43157-B,42-33736-B
reap	29-40404-B,47-14799-S,47-43667-B
reap the consequences of one s words 成语 saw	8-41537-S
reap the whirlwind hosea 8 7	25-21703-S
reap what one has sown	53-796-S,53-15509-B
reap without sowing	1-74005-B
reaper	29-40442-B,35-58882-S
reaping	47-26003-S
reappear	8-8452-B,8-40837-S,24-15076-S,24-15239-S,63-62370-S
rear	4-26405-S,13-48566-B,23-66697-B,23-68391-S,24-191-B,24-2541-B,24-2882-B,24-3030-S,26-64201-S,36-8363-B,43-29051-S,52-14254-S,52-17668-S,59-24334-S,68-8021-S,69-6846-S,69-7029-S,69-12460-B
rear a tiger and court disaster 成语 saw	69-12555-B,69-12695-B
rear admiral	21-3707-B
rear chicks	19-16533-S
rear guard	24-1307-B
rear joint of meat animal	21-12219-B
rear side	24-2949-S
rear sight	34-52652-B
rear sight of a gun	56-44237-B
rear tail of a plane etc	35-3258-S
reared	19-64898-S
rearguard	23-67184-B
rearrange	29-45098-S
reason	1-76968-S,1-76968-S,2-21039-S,2-30554-S,2-30720-S,2-33223-S,3-4369-S,3-7485-S,3-31252-B,4-9478-B,11-31103-B,12-35873-B,12-49720-S,12-55194-B,14-12226-S,14-59041-B,14-61388-B,24-56439-B,25-15119-B,27-62952-S,29-24535-S,29-58290-B,40-32748-S,40-32960-S,40-54281-S,40-58973-S,40-64393-S,42-53278-B,42-54802-B,42-55380-B,42-55867-B,43-38556-B,45-45165-S,46-43225-S,50-18914-B,50-19161-S,50-19346-B,50-19392-B,62-51460-B
reason at all	40-58919-S
reason by analogy	68-47679-S
reason is 	11-31262-S
reason is very simple	11-31168-S
reason things out	29-29425-S
reason with sb	58-54885-S
reason 成语 saw	6-43703-S,35-23208-S,40-57001-S,56-40631-S,62-56364-S,62-56484-S
reasonable	12-35711-B,28-61008-B,32-40149-B,35-37919-B,68-21881-S
reasonable and fair	12-33391-B
reasonable limits	67-10513-S
reasonable self defense	35-38306-B
reasonable to say that 	27-63045-S
reasonableness	12-35873-B
reasoned conclusion	28-32349-S
reasoning	8-55103-S,24-56439-B,28-31594-B,41-63423-S,49-63812-S,58-44995-S
reasoning and morals	22-31837-S
reasons and connection	24-54266-S
reassess	64-477-S
reassure	8-8355-B,25-51503-B,47-43504-S
reassure oneself	53-6345-S
reassure the public	19-30355-S
reassuring	2-4089-S,20-25724-B
reassuring explanation	20-25831-B
rebate	27-8254-B,59-48407-B,61-63140-S
rebel	11-43612-S,11-45384-B,11-45430-B,11-49406-B,11-65637-S,11-65964-B,11-66477-S,25-7419-S,61-65778-S,62-17699-B
rebel army	11-66361-B
rebel band	38-2930-B
rebel bandit	11-65812-B
rebel faction	62-17745-B
rebel leader	39-1951-B
rebel leader li zicheng 李自成 who styled himself chuang wang one in jiugongshan 九宫山 nature reserve	65-52647-S
rebel party	3-27794-S
rebel soldiers by offering amnesty	27-41476-S,27-42201-S
rebel stronghold	10-37536-B
rebellion	11-65688-S,11-65738-S,14-31609-B,28-9733-S,31-66021-B,31-66371-B,51-12968-S,58-50307-S,59-6936-B
rebellion 755 763 of an lushan 安禄山 and shi siming 史思明	19-25182-S
rebellion against liang of the southern dynasties 南朝梁 in 548	5-26431-B
rebellion against qing 1673 1681 during the reign of kangxi	1-40816-S
rebellion against the qing of 1670s	1-40950-B
rebellion against yuan shikai	59-4575-S
rebellion by exploiting the people	19-43096-S
rebellion in 657 651 bc	69-64858-S
rebellious	25-7419-B
rebellious behavior	61-66150-B
rebels	3-26946-B,44-61866-S,59-53751-S,62-33697-S
rebirth	32-8929-B,63-62418-B
rebirth buddh 	61-15889-S
reboot	63-59932-S
reborn	8-9302-S,24-15144-S
reborn in buddhism	61-25676-S
reborn in christianity	8-33872-S
rebound	11-47853-B,23-47326-B,48-41992-B
rebreather scuba diving	20-5906-S
rebuff	14-57230-B,46-31692-S,47-56449-S,53-13907-S
rebuffed	26-49201-S
rebuild	29-44266-S,51-23485-S
rebuild house or road	51-21065-S
rebuilding	63-58262-B
rebuke	27-59874-S,27-67977-S,41-11847-S,43-43287-S,43-44762-S,57-64271-S,59-40842-S
rebuke angrily	12-20196-S
rebuke heaven and earth 成语 saw	12-20247-S
rebuke see 叱咤	13-27784-S
rebute a charge	43-44484-S
rebuttal	11-54305-B
recalcitrant	18-55503-B,63-4215-B
recalculate	63-63542-S
recall	12-10116-B,14-55268-B,14-55331-S,14-56809-B,23-61825-S,25-26257-S,25-26301-S,29-11028-B,30-60108-S,50-54521-B,57-67332-B,61-57415-S,61-57543-S
recall fondly	25-40648-S,43-49806-S,43-50049-S,50-23673-S
recall past times	61-57461-S
recall silently	71-36888-S
recall the past	26-84-S
recall with emotion	25-41974-S
recantation	59-11191-S
recapitulate	64-1783-S
recapture	29-40903-S
recedes	36-45944-S
receipt	14-56290-B,14-56290-S,29-41153-B,29-41389-B,46-64055-B,69-58326-S
receipt for a loan	5-65010-B,5-65097-B,5-65370-B,6-0-B,6-399-B
receipt of	12-7481-S
receipt or bill for purchase	44-32235-B
receipts	14-18353-B,62-31377-B
receivable	25-59894-S
receive	11-59260-S,11-60273-S,11-65428-S,24-6920-S,26-55061-B,26-60379-S,28-24729-S,28-25319-S,28-26069-S,29-39787-S,29-40362-B,42-23305-S,52-50364-B,54-52997-B,68-33308-S,68-33592-B,68-34605-S
receive a call	28-26818-S
receive a prize	11-64857-S
receive a raise in salary	28-41970-S
receive a scolding	27-68754-S
receive a served ball volleyball	28-27068-S
receive a task	11-59455-S
receive a tenon	11-17425-S,34-40471-S
receive a visitor	28-25867-S,32-23129-B
receive an imperial command	18-4602-S
receive and hand over payment	8-43766-S
receive any share	7-45453-S
receive as a guest	61-49311-B
receive baptism	11-62439-S
receive blessings in a sincere spirit	47-6531-S
receive commands	47-13937-S
receive favor	54-63141-S
receive favor from superior	11-61174-S
receive favors	37-8300-B,37-25781-B
receive from superior	18-2671-S
receive guests	27-41664-S,27-42533-S
receive heaven s command of daoist immortal etc	45-41433-S
receive instruction	11-61854-S
receive it	36-53974-S
receive letter etc	28-25162-B
receive orders	18-3215-S,18-3324-S
receive punishment as a scapegoat	32-17871-S
receive sb	23-17632-S,23-18404-S,28-27803-S
receive sperm	11-63610-S
receive the mandate of heaven traditional english translation	11-60608-S
receive training	11-64433-S
receive unjust treatment	8-14213-S
receive with both hands	10-20161-B
received and paid for business term	7-47929-B
received goods	69-58326-S
receiver	7-9526-S,28-26124-B,28-26275-B,40-59861-S,51-39475-S,58-39516-S,67-35715-S
receiver radio	40-59766-B
receiver sensitivity	28-26177-B
receiving mail	29-42715-S
receiving much help from outside	16-54491-B
receiving party	20-50993-B
receiving sth	28-25474-S
recent	32-21307-B,61-48305-B
recent beijing and internet slang	35-25284-S
recent ice ages over the last 180	48-13034-S
recent letter	30-11353-S
recent update	32-20512-S
recent usage	35-48337-S
recent western term	63-27174-S,63-27630-S
recent year s	61-48050-B
recent years	32-21361-B
recently	9-27486-S,32-21307-B,61-47786-B,61-48167-B
recently made available	8-41411-B,30-44083-B
recently opened for cultivation	54-29154-S
recep tayyip erdoğan 1954 	15-59409-B
receptacle	8-30626-B,19-65375-B,53-55962-B
reception	8-23530-S,18-53743-S,27-41664-B,27-41870-B,63-39790-S
reception desk	9-23167-B,32-42616-B,32-43202-B
reception hall	23-16249-B
reception room	6-42290-B,28-26010-B
receptionist	6-42225-B,28-25952-B
receptivity in female mammals	44-28868-S
receptivity of female mammals	44-28948-S
receptor	11-65595-B,25-39767-S
recess	4-55807-B,31-16820-B
recess between walls	41-43816-B
recess in mountains	21-29820-B
recession	2-14895-B,49-60840-S
recessive gene	66-47605-B
recharge batteries	7-606-S
recharge card	26-34378-S
recharge card phone	6-64289-B
recharge money onto a phone card	6-64216-S
rechecking	24-14650-B
recidivist	49-30913-B
recipe	3-5792-S,29-59067-S,46-52538-S,54-30358-B,61-9244-S,63-38133-S,63-38201-S,69-4210-B
recipes bequeathed by the ghost huang fugui 黃父鬼 黄父鬼	9-42721-S
recipient	11-65474-S,28-25474-B,42-23688-B
recipient of a prize	24-6484-S
recipient of an award	42-16766-B
recipient of fields medal	54-37738-B
recipient of mail	29-40094-B
reciprocal	3-44936-B,5-58072-S
reciprocate	14-55027-S,23-62406-S
reciprocation	14-55027-B
reciprocity	20-54161-B
recital or concert	39-45700-S
recitation and singing often on buddhist themes	59-9227-S
recite	13-53863-B,32-45206-B,52-18499-B
recite from memory	52-16428-S
recite it backwards	5-59971-S
recite or chant buddhist scripture	24-50313-B
recite rythmically	12-65835-S,12-65913-S
reckless	2-36562-B,5-51640-B,38-52859-B,39-35230-B,56-22898-B,56-23177-B,56-23305-S,61-9559-B,70-41196-B
reckless invention	52-22385-B
reckless risks	42-38446-S
recklessly	1-9947-S,2-21750-S,3-27367-S,10-51803-S,52-3763-B,52-20392-B
recklessly relying on a hopelessly optimistic forecast	2-24028-B
recklessness	5-7699-S
reckon	4-59668-S,4-59937-B,24-54511-S,24-56577-S,30-35060-S,57-58063-B
reckon again	63-63542-S
reckon ahead	25-29467-S
reckon roughly	49-6180-S
reckon up	12-36550-B
reckoned to be first or second best 成语 saw	30-19551-B
reckoning	55-53240-S,57-58560-B,57-58670-B,57-58899-S
reclaim land	16-30729-B
reclaimed land	43-47290-B
reclamation	16-21907-S
recline	35-9820-B,60-19612-B,60-58028-S
reclining buddha	52-54297-B
recluse	32-26426-S,66-46711-B
recognise mt taishan 成语 saw	2-30888-S
recognition	1-69809-S,2-11725-S,26-32327-S,26-32407-S,41-6173-S,58-20041-B,58-28590-S,60-3954-B,61-59979-S,71-36055-S
recognition diplomatic	26-62095-B
recognition of spoken word	11-69946-B
recognition 成语 saw	9-49014-S
recognize	5-7889-S,26-62095-S,46-33291-S,58-19734-S,58-20041-S,58-20576-S,58-20927-S,58-21789-S,61-35587-B,61-35943-S,61-36175-S,61-38102-S
recognize a famous person	2-30888-S
recognize current trends 成语 saw a wise man submits to circumstances	58-62673-S
recognize fully	24-29595-S
recognize losing	58-22731-S
recognize people of babies	58-19786-S
recognize sth after the event	61-59979-S
recognize talent	58-62432-S
recognize talent and have great respect for it	58-62485-S
recognize tall or short 成语 saw	2-31022-S
recognize the letter t 成语 saw	45-15767-S
recognized for one s talents	11-63294-B
recognized for what it is	2-20835-S
recoil	24-2380-B,43-48142-S
recollect	11-48038-S,14-55268-B,14-58672-B,61-57016-S,61-57461-S
recollection	14-55331-B
recollection of the deceased	61-57064-B
recollections	43-365-S,61-60689-B
recombine	63-63609-B
recommend	23-22805-S,23-31240-B,28-29587-S,28-31835-B
recommend a person	53-27437-B,54-16950-B,55-22806-B
recommend for admission to school	5-40382-B
recommendation	23-22805-B,28-31835-B,29-27998-B
recommendation letter	28-31894-B,28-31961-B
recommendation letter in eight columns	7-52563-S
recompense	6-56693-S,16-8481-B,16-8871-B
reconcile	10-11322-S,28-18078-S,58-35338-B,58-35461-B
reconcile accounting	58-38909-S
reconcile differences	28-18376-S
reconcile oneself to loss	35-57269-S
reconciled	13-21773-S,13-21826-S,13-25213-S,41-17233-B
reconciled to	2-18858-S
recondite	38-49421-B
reconnaissance	10-3019-B
reconnaissance survey	31-48761-B
reconnoiter	10-3309-S
reconsider	24-16079-S,24-16418-S
reconsider a judgment	63-57908-S
reconstruct	8-10069-S,63-55890-S,64-1855-B
reconstruct a historical relic	8-9220-S
reconstruct an art object	63-57272-S
reconstruction	24-13592-B,63-58262-B
reconstruction is under way	44-53683-S
reconstruction loan provided by great powers to yuan shikai in 1913	14-3226-B
reconstructive surgery	8-10197-B
record	2-40647-S,6-28944-S,9-34623-S,9-37492-S,9-60672-S,13-55680-S,13-55782-S,19-18160-S,28-22744-S,29-43084-S,29-54298-S,29-57607-S,34-4031-B,34-33105-S,35-11482-B,35-14466-S,37-43983-S,41-44325-S,44-10753-S,44-23325-S,46-27368-S,48-16835-B,49-2425-B,49-3427-B,52-29616-S,54-56302-S,57-65688-S,57-65805-S,57-65873-S,57-67370-B,58-0-B,58-19675-S,58-61840-S,58-64389-S,61-6989-S,64-35664-S,64-42044-B,69-349-S,70-12957-S
record 1574 of exploration and foreign relations	35-61026-S
record and preserve	50-61764-S
record book keeping entries	44-25037-S
record breaking	9-37167-B
record bureau	8-7926-S
record entry e g into a bank passbook	56-57798-B
record esp exchanged between sworn brothers	55-46515-S,64-14685-S
record esp of a public official	9-60672-S
record in writing	61-6752-S
record including master s or doctoral degree	70-12957-B
record inscribed on tablet	46-28717-S
record music	20-41513-B
record of a game of go or shogi	34-20060-S
record of ancestors	58-64389-B
record of daily study	31-11006-S
record of events	57-65805-S,57-67436-S
record of events inscribed on a tablet	46-28644-S
record of famous men	12-53708-B
record of japan by huan zunxian 黃遵憲 黄遵宪	31-8787-S
record of person s identity	48-43536-B
record of the grand historian by sima qian 司馬遷 司马迁	12-22624-B
record of thunder and lightning	67-24502-B
record of washed grievances 1247 by song ci 宋慈	37-52863-B
record of xuan zang 玄奘	17-10020-S
record of xuan zang 玄奘 on his travels to central asia and india	57-14686-S
record on a cd or dvd	9-15760-S
record player	67-26738-B,67-26799-B,67-26870-B
recorded	45-22298-S
recorded in the accounts	59-61979-S
recorded instrumental accompaniment	11-14135-S
recorded media cd and dvd	23-59867-B
recorder	12-21328-S,58-38-B,58-90-B,64-42284-S,64-42761-S,69-349-S,69-443-S,69-533-S
recorder in taiwan	64-42527-S
recording	29-35356-S,45-48592-S,54-57371-S,64-42163-S,64-42657-S
recording events	57-66026-S
recording machine	64-42761-S
records	6-28944-S,12-22336-S,12-39836-S,14-18353-S,26-11352-S,34-4195-B,35-11306-S,35-11306-B,48-41383-B,51-32503-S,61-6989-S,67-5732-S
records of the eastern han	33-21917-B
records of the taiping era 978	17-58258-S
recount	30-833-S,58-17280-B
recount e g results of election	64-2746-S
recount orally	11-70178-B
recover	4-56651-S,8-45363-S,24-12792-S,25-292-S,25-342-S,25-27706-S,44-19805-B,57-63716-S,63-62318-B
recover completely	44-13300-S
recover from an illness	44-11979-B
recover from disease	44-18705-B
recover from illness	44-13254-B
recover health	23-2161-S
recover illegally obtained property	29-42166-S
recover lost property or money	61-60930-S
recover lost territory etc	29-40903-S
recover one s power or authority	24-16755-S
recover speedily 成语 saw	67-43105-S
recover spontaneously from an illness	2-17048-S
recover stolen property	61-59306-S
recover territory or power	7-8962-S
recovered	7-36619-S
recovery	24-13404-B,24-13592-B,28-21562-S,53-2318-S,63-62318-B
recovery after illness	19-37016-S,44-20896-B
recovery health	24-15191-B
recovery rate	19-8264-S
recovery ratio	28-21255-B
recreate	8-9220-S
recreation	62-37323-B
recreation center	18-50631-B
recreational diving	38-13702-B
recreational hiking	39-52772-B
recriminations 成语 saw	31-4488-S
recruit	10-6492-S,23-63118-S,24-23709-S,24-23832-S,27-32939-S,27-40966-S,27-41303-S,27-41944-S,27-42479-S,27-43566-S,27-43642-S,27-44327-S,30-44030-S,30-48928-S,48-40871-S,64-42406-S
recruit new staff	27-41131-S
recruit soldiers	27-41079-B
recruit soldiers and buy horses 成语 saw	27-41131-S
recruit talent	23-17737-S,27-44014-S
recruit talented personnel	50-61661-S
recruiter	27-43106-B
recruiting agency	27-43033-B
recruiting coordinator	27-42942-B
recruitment	24-23032-B,27-42792-B,27-42863-B
recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
recrystalize	63-63664-S
rectangle	45-65317-B,65-14988-B
rectangular array of numbers	30-64529-S
rectangular coordinates	45-24376-B
rectangular courtyard	5-55911-S
rectangular grid e g of farmland	26-45838-S
rectangular parallelepiped	35-37212-S
rectangular prism math 	14-52862-B
rectification	46-3120-B
rectification campain	30-16909-S
rectification or rectifying incorrect work styles	30-16814-S
rectifier transforming alternating electric current to direct current	30-15843-B
rectify	30-16728-S,33-53423-S,46-1976-S,46-3351-S
rectify alternating current to direct current	30-15757-S
rectify and improve	30-15314-S
rectify e g a physical defect such as hearing or vision	46-3120-S
rectify past mistakes	56-56545-S
rectify qi4 and transform phlegm traditional chinese medicine	42-55747-S
rectify qi4 traditional chinese medicine	13-24971-S,42-55670-S,44-2929-S
rectifying incorrect work styles	30-16814-S
rector	41-51936-B
rectum anat 	45-23525-B,52-9177-B
rectus abdominis muscle front of the belly	52-44972-B
recuperate	4-56651-S,4-56724-B,7-606-S,23-2161-S,24-13345-B,44-20293-S,50-22340-S,58-37647-S,58-38601-B,69-11569-S
recur of a disease	24-15239-S
recurrence of mistake or sth bad	42-2184-B
recurrent	24-17387-B
recurring decimal	24-17312-B
recycle	8-10069-S,14-55739-S,24-17224-B
recycle waste products	63-10833-S
recycled paper	63-10995-B
recycled rubber	63-10920-B
recycling industry	8-10276-B
red	3-1829-B,13-34540-S,23-55744-B,35-65605-S,41-27266-S,49-8237-B,49-10110-S,49-12426-S,49-55264-S,50-15706-S,55-56550-S,60-5627-B,60-9314-S,62-12017-S,62-12017-S,64-28342-S,70-43219-S,71-23507-S,71-35669-B
red alder alnus rubra	49-10275-B
red algae	36-60676-B,55-46832-B
red and black pottery	4-40584-S,4-40687-S
red and green traffic light	49-12231-B
red and swollen	49-12321-B
red apricot	33-26944-B
red army	49-13539-B
red as a gift	49-8543-S
red autumnal leaves	49-12830-B
red basil	55-37341-S
red bay tree myrica rubra	34-28188-B
red bean	49-13405-B
red bellied devotion 成语 saw	60-6677-S
red blood cell	49-12160-B,49-13068-B
red blood cells due to alloimmune reaction between mother and fetus	39-24544-S
red blood cells leading to anemia	39-24451-S
red bone marrow myeloid tissue	49-13959-B
red card sports	49-11380-B
red characters as a method of learning to write	28-36152-S
red chip	51-63368-S
red chip stocks chinese company stocks incorporated outside mainland china and listed in the hong kong stock exchange	49-11934-B
red clouds	67-45061-B
red color	49-12482-B
red color of silk product	50-598-S
red cooked meat pork	49-11293-B
red coral	49-11509-B
red crescent humanitarian organization	49-9857-B
red cross	69-27813-S
red cross international humanitarian movement	49-8648-B
red crowned crane grus japonensis	3-3379-B
red currant	49-13774-B
red deer	69-44558-B
red dongfanghong	33-19288-S
red dwarf star	49-11729-B
red dye	68-11120-S
red e g a banner headline	18-9712-S
red earth used for paints	66-63249-B
red faced	25-44004-B,52-52384-B
red flag	49-9954-B
red flag chinese national flag	3-50719-S
red fleck chalcedony	67-8213-B
red flower	49-12741-B
red flowers	33-50499-S
red flowers and green willow	53-59418-B
red food dye made from yeast	49-10166-B
red fort historic building in delhi	49-8880-B
red gemstone mg3al2si3o12	46-7371-S
red giant star	48-45476-S,49-9569-B
red green parrot of papua new guinea	27-10677-S
red guards during the cultural revolution	49-13242-B
red in the face	39-54226-S
red ink	49-9010-B
red iron ore	60-7329-S
red khmers	49-12632-B
red kind	20-69004-S
red lacquer	70-25260-B
red lantern	49-11163-S
red lead oxide pb3o4	32-69215-B
red light	49-11054-B
red light district	41-3273-B,41-3405-B,49-11099-B
red lotus	49-12883-B
red mansions first completed edition 1791 by cao xueqin 曹雪芹	49-10343-S
red mercuric oxide hgo	49-12541-B
red mullet	49-14095-B
red neckscarf	49-13886-B
red orange color	35-1856-B
red orpiment	66-54171-B
red painted eggs	14-9198-B
red panda	20-67389-B
red patches	49-9692-S
red pellet fruit	49-10688-S
red pen	49-11893-B
red pepper	41-49026-B,49-13582-S
red pepper paste	61-34420-B
red pepper powder	49-13648-B
red phosphorus	49-11789-B
red pine	37-23948-S
red radish raphanus sativus var niger	49-12975-S
red riding hood	20-68935-S
red sandalwood	49-28713-B
red sea	49-11012-B
red sea bream	45-45759-B
red shift astronomy	49-11838-B
red silk	50-24843-S,50-25252-B
red silk a traditional gift to celebrate weddings etc	53-59281-S
red silk crest of helmet	49-56125-B
red sorghum	49-14036-B
red square in moscow	49-8951-B
red star	49-9996-B
red stone	43-3596-B
red super giant star	49-13459-B
red tape	28-15753-B
red through and through	62-12017-B
red tree resin	56-27736-S
red turbans	49-9631-S
red vermouth aperitif wine	33-9166-S
red 東方紅 东方红	29-64167-S
redbreast	45-63790-B
redden	59-11270-B
reddish	22-28767-B
reddish jade	42-60818-B
reddish pear shaped fruit	55-9256-S
redeem	28-602-S,29-65090-S,38-58897-S,59-45085-S,60-4657-B,60-4696-B
redeem a debt	63-10415-S
redeemer	29-65141-B
redemption of a sinner	25-39302-B
redirect	63-57847-S
redo the same translation	64-610-S
redouble	5-54369-S
redouble a siege	63-57081-S
redouble efforts	9-51219-S
redouble one s efforts	9-53282-S,9-53374-S
redress	46-1976-S
redress an injustice	43-44630-S
redress and injustice	37-52753-S
redress for a grievance	43-42758-S
reds	18-25983-S
reds under the beds	9-20196-B,11-23295-B,30-18106-B
reduce	9-16783-S,9-16884-S,38-66655-S,38-66733-S,39-303-S,39-372-S,48-57120-S,50-15113-B,50-27674-S,50-27823-B,50-28123-S,52-32146-B,56-52966-B,56-53640-S,66-16873-S
reduce a fraction by cancelling common factors in the numerator and denominator	49-4276-S
