bǐ gān sài	36-10870-B
cai3 kuang4	28-21872-B
cai3 kuang4 ye4	28-21914-B
cai3 lan2 zeng4 shao2	28-22108-B
cai3 lie4	53-26121-S,53-26242-S
cai3 lu4	28-22744-B
cai3 mai3	28-22419-B
cai3 mei2	28-21623-B
cai3 mian2 ji1	28-21403-B
cai3 na4	28-22017-B
cai3 nuan3	28-21314-B
cai3 pai2	23-55947-B
cai3 piao4	23-56089-B
cai3 qi2	23-55996-B
cai3 qu3	28-20941-B
cai3 qu3 cuo4 shi1	28-21005-B
cai3 se4	23-56150-B,45-41797-S
cai3 se4 xian3 hua1	49-61894-S
cai3 sheng1	63-52362-B
cai3 shi2 chang3	28-21809-B
cai3 shou1 lu:4	28-21255-B
cai3 shui3	60-48182-B
cai3 ta4	60-48290-B
cai3 xian4	60-48228-B
cai3 yang4	28-21461-B
cai3 yang4 lu:4	28-21504-B
cai3 yi4	28-22698-B
cai3 yi4 yi4	46-61946-S
cai3 yong4	28-21749-B
cai3 you2	28-21562-B
cai3 ze2	28-21206-B
cai3 zhai1	28-21161-B
cai3 zhi1	28-22062-B
cai3 zhi4	28-20888-B
cai3 zhong3	28-21966-B
cai3 zhu1	28-21697-B
cai4	1-55249-S,1-55293-S,2-63668-S,4-19693-S,9-29841-S,12-58153-S,15-12827-S,15-64442-B,16-15144-S,17-28695-S,19-61981-S,20-670-B,20-68276-S,21-0-S,21-29523-S,21-50374-S,27-55137-S,28-7816-S,30-56196-S,34-26482-S,34-40262-S,35-25284-S,36-46073-S,37-23486-S,37-37253-S,37-51578-S,37-51942-S,37-52302-S,39-12576-S,40-29040-S,40-29090-S,40-35230-S,41-16513-S,41-48342-S,41-48674-S,43-15290-S,43-17387-S,43-29333-S,43-57739-S,44-38518-S,44-45122-S,46-9844-S,47-15942-S,47-46922-S,48-51889-S,49-11432-S,49-25154-S,53-52516-S,53-57763-S,53-60297-S,53-63250-S,54-29482-B,54-30744-S,54-60826-S,54-61349-S,55-6453-S,55-9521-S,55-13351-S,55-17441-S,59-17641-S,63-45335-S,63-52312-B,64-16078-S,67-57695-S,67-57835-S,68-13659-S,69-5670-S,69-30269-S,70-41259-S,71-4351-S,71-41803-S
cai4 dan1	54-29545-B
cai4 dan1 tiao2	54-29583-B
cai4 di4	54-29778-B
cai4 hua1	18-24113-S,34-26523-S,54-30186-B,68-13711-S
cai4 li3 fo2	55-11975-B
cai4 niao3	54-30478-B
cai4 niu2	54-29884-B
cai4 nong2	54-30427-B
cai4 pu3	54-29665-B,54-30358-B
cai4 qi2	54-29946-B
cai4 ru2	54-30231-B
cai4 se4	54-30065-B
cai4 shi4 chang3	54-29826-B
cai4 shu1	54-30287-B
cai4 tai2	49-29646-S
cai4 ting1	21-50426-S
cai4 ye4	69-30323-S
cai4 yuan2	54-29727-B
cai4 zi3	37-23554-S,53-52575-S,54-30008-B
cai5	47-11399-S,67-18274-S
can	3-741-S,7-1959-S,7-26901-S,8-31040-S,8-60129-S,10-54242-S,11-38732-B,17-41246-S,18-10816-S,19-16201-B,19-63997-S,21-11012-S,22-61528-S,23-8657-S,24-49379-S,25-9901-S,25-46765-B,25-48674-B,25-57230-B,28-65210-S,31-15891-S,31-35603-S,31-45787-S,32-20409-S,32-20696-S,32-21961-B,35-62128-B,37-17561-S,38-41690-S,41-32943-B,43-3033-S,43-4242-B,43-36115-S,44-40690-S,48-51556-B,51-10244-S,51-52360-S,51-56167-S,53-1647-S,56-22552-B,57-24309-S,61-64217-S,63-39037-S,64-4592-S,66-60256-S,68-63808-S,69-8816-S,69-13214-B,69-20564-S,69-55709-B,71-46016-B
can an	14-45852-S,25-47421-B
can bai	11-39470-B,25-47332-B,25-48158-B
can bao	35-62680-B
can bian	25-48430-B
can bu	24-49501-S
can bu ren du	25-46843-B
can bu ren wen	25-46988-B
can che	69-13655-B
can cun	35-62388-B
can da	25-47281-B
can dan	25-47649-B
can dan jing ying	25-47723-B
can di	35-62633-B
can dian	24-49440-S
can dou	56-22675-B
can dou zheng	56-22742-B
can du	25-47536-B
can duo mu	43-3073-S
can fei	35-62528-B
can guan	3-802-S,11-40351-B,69-13745-B
can guan zheng hou qun	2-65048-S
can hai	35-64000-B
can hui	10-54289-S
can huo	25-48204-B
can ji	35-63206-B
can ji er	35-63350-B
can ji ren	35-63291-B
can ji ren lian he hui	2-59889-S
can jia	11-38996-B
can jia lu:	63-441-S
can jia zhe	11-39065-B
can jian	11-40282-B
can jin	69-13348-B
can jin zhi	69-13388-B
can jing	25-47228-B,25-47372-B,35-63544-B
can ju	25-47170-B,35-62432-B,69-13245-B
can juan	35-62276-B
can jue ren huan	25-48314-B
can jun	11-40977-B
can kao	11-39783-B
can kao shu	11-39859-B
can kao xi	11-40026-B
can ku	35-63622-B
can kua ke	48-51614-B
can kuang	25-47582-B
can kui	25-48704-B
can lan	41-33012-B
can lan duo cai	41-33075-B
can lian	2-60037-S
can liang	11-41103-B
can liang kong jian	11-41200-B
can liang yuan	11-38922-B
can lie	25-47825-B
can liu	35-63137-B
can luan	56-22583-B
can min hai wu	35-62924-B
can mou	11-40429-B
can mou bu	50-32307-S
can mou zhang	11-40566-B,50-32400-S
can mou zong zhang	11-40488-B
can mu	6-44297-S
can pai	69-13617-B
can po	35-63436-B
can qiu	40-25493-S
can que	35-63487-B
can ran	25-47971-B
can ren	35-62583-B
can ruo fan xing	41-33166-B
can sai	11-40787-B
can sai zhe	11-40860-B
can sha	25-47470-B,35-62811-B
can sha zhe	35-62853-B
can shi	25-47128-B,69-13303-B
can shi jian	43-36163-S
can shi jie	25-9951-S
can shou que	5-37556-S,27-13396-S
can shu	11-39562-B,23-35861-S,35-34143-S,49-7064-S
can tai	51-52444-S
can ting	31-1641-S,62-17454-S,69-13455-B
can tong	25-48091-B
can wu ren dao	25-47875-B
can xiang	35-63945-B
can xiao	25-48267-B
can xuan ren	11-41027-B
can ye	69-12890-S
can yi	11-40627-B
can yi dun	69-8881-S
can yi yuan	11-40684-B,11-40736-B,51-3299-S
can yin	44-51731-S,69-13705-B
can yin ji tuan	44-51840-S
can you ji	51-28765-S
can yu	11-40088-B,35-63715-B
can yu wu	35-63890-B
can yu zhan ran	35-63812-B
can yu zhe	11-40144-B
can yuan	30-59637-S
can yue	11-41296-B
can zan	11-40917-B
can zao	25-48493-B
can zao bu xing	25-48533-B
can zha	35-63026-B
can zhang	35-63668-B
can zhao	11-39607-B
can zhao xi	11-39695-B
can zhong	25-48628-B
can zhu	35-62770-B
can zhuang	25-48023-B
can zhuo	69-13501-B
can zhuo yan	69-13561-B
can1	3-741-S,7-26901-S,8-60129-S,10-54242-S,11-38732-B,17-41246-S,18-10816-S,21-11012-S,22-61528-S,23-8657-S,24-49379-S,31-15891-S,31-45787-S,32-20409-S,32-20696-S,43-36115-S,51-52360-S,51-56167-S,53-1647-S,57-24309-S,61-64217-S,63-39037-S,64-4592-S,66-60256-S,68-63808-S,69-8816-S,69-13214-B,69-20564-S,69-55709-B
can1 bai4	11-39470-B
can1 bu4	24-49501-S
can1 che1	69-13655-B
can1 dian4	24-49440-S
can1 guan1	11-40351-B
can1 guan3	3-802-S,69-13745-B
can1 guan3 zheng4 hou4 qun2	2-65048-S
can1 hui4	10-54289-S
can1 jia1	11-38996-B
can1 jia1 lu:4	63-441-S
can1 jia1 zhe3	11-39065-B
can1 jian4	11-40282-B
can1 jin1	69-13348-B
can1 jin1 zhi3	69-13388-B
can1 ju4	69-13245-B
can1 jun1	11-40977-B
can1 kao3	11-39783-B
can1 kao3 shu1	11-39859-B
can1 kao3 xi4	11-40026-B
can1 liang3 yuan4	11-38922-B
can1 liang4	11-41103-B
can1 liang4 kong1 jian1	11-41200-B
can1 mou2	11-40429-B
can1 mou2 bu4	50-32307-S
can1 mou2 zhang3	11-40566-B,50-32400-S
can1 mou2 zong3 zhang3	11-40488-B
can1 pai2	69-13617-B
can1 sai4	11-40787-B
can1 sai4 zhe3	11-40860-B
can1 shi2 jian1	43-36163-S
can1 shi4	69-13303-B
can1 shu1	49-7064-S
can1 shu4	11-39562-B,23-35861-S,35-34143-S
can1 tai2	51-52444-S
can1 ting1	31-1641-S,62-17454-S,69-13455-B
can1 xuan3 ren2	11-41027-B
can1 yi1 dun4	69-8881-S
can1 yi4	11-40627-B
can1 yi4 yuan2	11-40684-B
can1 yi4 yuan4	11-40736-B,51-3299-S
can1 yin3	44-51731-S,69-13705-B
can1 yin3 ji2 tuan2	44-51840-S
can1 yu4	11-40088-B
can1 yu4 zhe3	11-40144-B
can1 yue4	11-41296-B
can1 zan4	11-40917-B
can1 zhao4	11-39607-B
can1 zhao4 xi4	11-39695-B
can1 zhuo1	69-13501-B
can1 zhuo1 yan2	69-13561-B
can2	7-1959-S,8-31040-S,19-63997-S,25-48674-B,28-65210-S,31-35603-S,35-62128-B,37-17561-S,44-40690-S,51-10244-S,56-22552-B
can2 bao4	35-62680-B
can2 cun2	35-62388-B
can2 di2	35-62633-B
can2 dou4	56-22675-B
can2 dou4 zheng4	56-22742-B
can2 fei4	35-62528-B
can2 hai2	35-64000-B
can2 ji2	35-63206-B
can2 ji2 ren2	35-63291-B
can2 ji2 ren2 lian2 he2 hui4	2-59889-S
can2 ji5 er2	35-63350-B
can2 jing1	35-63544-B
can2 ju2	35-62432-B
can2 juan4	35-62276-B
can2 ku4	35-63622-B
can2 kui4	25-48704-B
can2 lian2	2-60037-S
can2 liu2	35-63137-B
can2 luan3	56-22583-B
can2 min2 hai4 wu4	35-62924-B
can2 po4	35-63436-B
can2 qiu1	40-25493-S
can2 que1	35-63487-B
can2 ren3	35-62583-B
can2 sha1	35-62811-B
can2 sha1 zhe3	35-62853-B
can2 shou3 que1	5-37556-S,27-13396-S
can2 xiang1	35-63945-B
can2 ye4	69-12890-S
can2 you2 ji4	51-28765-S
can2 yu2	35-63715-B
can2 yu2 wu4	35-63890-B
can2 yu2 zhan1 ran3	35-63812-B
can2 yuan2	30-59637-S
can2 zha1	35-63026-B
can2 zhang4	35-63668-B
can2 zhu1	35-62770-B
can3	25-9901-S,25-46765-B,25-57230-B,32-21961-B,38-41690-S,71-46016-B
can3 an4	14-45852-S,25-47421-B
can3 bai2	25-48158-B
can3 bai4	25-47332-B
can3 bian4	25-48430-B
can3 bu4 ren3 du3	25-46843-B
can3 bu4 ren3 wen2	25-46988-B
can3 da2	25-47281-B
can3 dan4	25-47649-B
can3 dan4 jing1 ying2	25-47723-B
can3 du2	25-47536-B
can3 huo4	25-48204-B
can3 jing3	25-47372-B
can3 jing4	25-47228-B
can3 ju4	25-47170-B
can3 jue2 ren2 huan2	25-48314-B
can3 kuang4	25-47582-B
can3 lie4	25-47825-B
can3 mu4	6-44297-S
can3 ran2	25-47971-B
can3 sha1	25-47470-B
can3 shi4	25-47128-B
can3 shi4 jie4	25-9951-S
can3 tong4	25-48091-B
can3 wu2 ren2 dao4	25-47875-B
can3 xiao4	25-48267-B
can3 zao1	25-48493-B
can3 zao1 bu4 xing4	25-48533-B
can3 zhong4	25-48628-B
can3 zhuang4	25-48023-B
can4	19-16201-B,41-32943-B,43-3033-S,43-4242-B,48-51556-B
can4 duo2 mu4	43-3073-S
can4 kua1 ke4	48-51614-B
can4 lan4	41-33012-B
can4 lan4 duo1 cai3	41-33075-B
can4 ruo4 fan2 xing1	41-33166-B
cang	1-40603-S,3-40367-S,5-39034-S,5-51848-B,5-55410-S,6-27950-B,6-59722-S,8-23047-S,8-27489-B,9-23423-S,10-17616-S,15-61077-S,17-55955-S,17-60364-S,19-42751-S,20-6088-S,20-6144-S,21-35794-S,23-0-S,23-48176-S,28-2631-S,28-32660-S,28-33740-S,29-42455-S,30-34580-S,31-17482-S,31-18486-S,31-61815-S,31-62866-S,33-4264-S,39-25646-B,39-60534-S,41-24255-S,42-43893-S,46-45215-S,46-52780-S,47-13422-S,47-36726-S,47-44823-S,47-56589-S,48-45234-S,49-113-S,49-53133-S,49-60781-S,52-60671-S,53-39420-B,55-2676-B,55-4017-S,55-13542-B,55-30430-B,55-42896-S,56-12980-B,56-16047-S,59-37178-S,59-41687-S,60-57940-S,60-62124-S,66-26644-S,66-49441-S,68-38936-S,69-49955-S,70-38339-S,70-50338-S,70-58254-B
cang bai	55-3598-B
cang bai se	55-3641-B
cang cang	55-4017-B
cang cha ku	38-58806-S
cang chu	5-51957-B,59-51075-S,66-49494-S
cang cu	5-51916-B
cang cui	55-3767-B
cang dao	48-4982-S
cang di qu	52-60745-S
cang duo	55-31859-B
cang fa shi	1-40699-S
cang gou na wu	55-30841-B
cang hai	32-16545-S
cang hai sang tian	39-25878-B
cang hai yi zhu	39-26042-B
cang huang	5-52070-B,55-4335-B
cang huang chu tao	5-52126-B
cang huo xin	10-17682-S,53-65639-S
cang jia	29-42509-S,29-42586-S
cang jian	48-5132-S,55-30908-B
cang jiang	40-17188-S
cang jin	55-2760-B
cang ku	5-52010-B
cang la hu zu zi zhi xian	40-17048-S
cang lao	55-3809-B
cang liang	55-3304-B,55-42973-S
cang ling yang	55-31611-B
cang long	52-55143-S
cang long wo hu	55-31912-B
cang lu	55-4296-B
cang mang	55-3899-B,55-3972-B
cang men	68-63733-S
cang ni	55-30767-B
cang qiong	55-3707-B
cang qu	10-28852-S,33-4349-S
cang ruo xu	38-51200-S
cang sang	69-8131-S
cang shen	55-31791-B
cang sheng	55-3418-B
cang sheng tu tan	55-3502-B
cang shi	6-59775-S,52-60841-S
cang shi jie tuan	21-35836-S
cang shu	5-52311-B
cang song cui bai	55-3049-B
cang tian	55-2936-B
cang wei	53-39480-B
cang wu na gou	55-31174-B
cang yan	44-63362-S
cang ying	55-4087-B,55-4253-B
cang ying zuo	55-4131-B
cang yu	55-4198-B
cang yuan	35-33771-S
cang zhen	50-13327-S
cang1	3-40367-S,5-51848-B,5-55410-S,6-27950-B,8-27489-B,9-23423-S,17-55955-S,17-60364-S,19-42751-S,20-6088-S,20-6144-S,21-35794-S,23-48176-S,28-32660-S,30-34580-S,31-17482-S,31-61815-S,33-4264-S,39-25646-B,41-24255-S,47-36726-S,47-44823-S,48-45234-S,49-113-S,49-53133-S,49-60781-S,52-60671-S,53-39420-B,55-2676-B,55-4017-S,56-12980-B,59-37178-S,60-62124-S,66-26644-S,68-38936-S,69-49955-S,70-38339-S,70-58254-B
cang1 bai2	55-3598-B
cang1 bai2 se4	55-3641-B
cang1 cang1	55-4017-B
cang1 cha2 ku4	38-58806-S
cang1 chu3	5-51957-B,59-51075-S
cang1 cu4	5-51916-B
cang1 cui4	55-3767-B
cang1 di4 qu1	52-60745-S
cang1 hai3	32-16545-S
cang1 hai3 sang1 tian2	39-25878-B
cang1 hai3 yi2 zhu1	39-26042-B
cang1 huang2	5-52070-B,55-4335-B
cang1 huang2 chu1 tao2	5-52126-B
cang1 jiang1	40-17188-S
cang1 jin4	55-2760-B
cang1 ku4	5-52010-B
cang1 la1 hu4 zu2 zi4 zhi4 xian4	40-17048-S
cang1 lao3	55-3809-B
cang1 liang2	55-3304-B
cang1 lu4	55-4296-B
cang1 mang2	55-3899-B
cang1 mang3	55-3972-B
cang1 men2	68-63733-S
cang1 qiong2	55-3707-B
cang1 qu1	10-28852-S,33-4349-S
cang1 sang1	69-8131-S
cang1 sheng1	55-3418-B
cang1 sheng1 tu2 tan4	55-3502-B
cang1 shi3 jie2 tuan2	21-35836-S
cang1 shi4	52-60841-S
cang1 shu3	5-52311-B
cang1 song1 cui4 bai3	55-3049-B
cang1 tian1	55-2936-B
cang1 wei4	53-39480-B
cang1 yan2	44-63362-S
cang1 ying1	55-4253-B
cang1 ying5	55-4087-B
cang1 ying5 zuo4	55-4131-B
cang1 yu4	55-4198-B
cang1 yuan4	35-33771-S
cang2	1-40603-S,5-39034-S,6-59722-S,8-23047-S,10-17616-S,15-61077-S,23-0-S,28-2631-S,28-33740-S,29-42455-S,31-18486-S,31-62866-S,39-60534-S,42-43893-S,46-45215-S,46-52780-S,47-13422-S,47-56589-S,55-13542-B,55-30430-B,55-42896-S,56-16047-S,59-41687-S,60-57940-S,66-49441-S,70-50338-S
cang2 chu4	66-49494-S
cang2 dao1	48-4982-S
cang2 duo3	55-31859-B
cang2 fa3 shi1	1-40699-S
cang2 gou4 na4 wu1	55-30841-B
cang2 huo4 xin1	10-17682-S,53-65639-S
cang2 jia1	29-42509-S,29-42586-S
cang2 jian1	48-5132-S,55-30908-B
cang2 liang4	55-42973-S
cang2 ling2 yang2	55-31611-B
cang2 long2	52-55143-S
cang2 long2 wo4 hu3	55-31912-B
cang2 ni4	55-30767-B
cang2 ruo4 xu1	38-51200-S
cang2 shen1	55-31791-B
cang2 shi4	6-59775-S
cang2 wu1 na4 gou4	55-31174-B
cang2 zhen1	50-13327-S
cao	1-40490-S,3-25349-S,4-29564-S,5-58683-S,6-18764-S,8-16494-S,8-33115-S,8-39893-S,9-34241-S,9-64646-S,14-27374-B,18-1699-S,18-31537-S,20-65-S,23-65031-S,25-14238-S,25-58259-B,27-20309-S,27-44494-S,29-20338-B,29-20480-B,31-13857-S,32-13230-B,32-66277-S,33-38904-S,34-46980-B,35-17844-S,35-42486-S,36-42301-S,36-45774-S,37-19995-S,39-17906-S,39-47128-B,39-57177-S,39-62339-S,41-4024-S,41-12921-S,41-52570-S,43-15070-S,44-7683-S,44-7881-S,45-0-S,45-41-S,47-10985-S,47-36018-S,47-37140-S,48-28975-S,48-49641-S,48-61958-B,49-392-S,49-23077-S,49-29366-S,49-44117-S,49-66201-S,52-7898-B,52-25101-S,53-11911-S,53-39552-B,53-46448-B,53-46476-B,53-60245-S,54-8755-S,54-13738-B,54-15413-S,54-27701-S,54-41773-S,55-10735-S,55-27245-S,55-27511-S,55-32803-S,56-13132-B,56-19001-S,56-34638-S,59-16172-S,60-15602-S,60-17810-S,60-44728-S,60-58619-S,60-60093-S,63-47456-S,64-4325-S,64-36171-S,64-51079-S,66-22759-S,66-24446-S,66-49962-S,67-5694-S,67-57795-S,69-2502-S,69-6937-S,69-6984-S,69-29958-S,70-7382-S,71-10666-S,71-49478-S
cao Lian he hui	15-21096-S
cao an	54-15112-B
cao bao	54-13820-B
cao ben	54-15020-B
cao bi	29-21314-B,52-7945-B
cao bu sheng	20-31799-S
cao cao	54-15413-B
cao chang	29-21202-B,54-14190-B
cao chi	29-21417-B
cao chu gen	9-31199-S,30-38497-S
cao cong	54-13921-B
cao da qing	54-14237-B
cao dan	52-7985-B
cao dao shou	29-21005-B
cao di	54-14021-B
cao dian	29-20960-B
cao dong wu	69-3934-S
cao duo shi	29-21986-B
cao fa	29-21698-B
cao fu fa ke	29-21528-B
cao gai	33-23394-S
cao gan jun	33-38961-S
cao gang mu	32-66369-S
cao gao	54-15359-B
cao gen	54-15058-B
cao gu	54-15590-B
cao ji	9-31143-S,66-22800-S
cao jing	69-30069-S
cao ke	29-22096-B,49-29475-S
cao kong	29-21469-B
cao kou	54-14319-B
cao ku	44-56818-S
cao kuai	36-860-S
cao kuang	69-41244-S
cao kuang cun	69-41348-S
cao lao	29-21142-B
cao lian	29-21789-B,33-58852-S
cao liao	54-14573-B
cao man ling yu	54-15163-B
cao mei	54-15461-B,55-29808-S
cao mei zu	54-15505-B
cao mian nei zhi wang	48-62006-B
cao ming	36-8018-S
cao mu	54-14701-B
cao mu jie bing	54-14773-B
cao mu niao shou	54-14948-B
cao ni	54-14500-B
cao nian hua	25-27194-S
cao pi	30-62412-S
cao ping	54-14074-B
cao ping sao chu ji	54-14113-B
cao qie	29-21098-B
cao qing ling	54-15730-B
cao qu	65-19079-S
cao r	66-50086-S
cao ren	47-36057-S
cao ru yin	46-29840-S,49-66245-S
cao shan	54-14434-B
cao sheng quan	47-43080-S
cao shi dong wu	54-15844-B
cao shou	29-21261-B
cao shu	54-14614-B,55-27550-S
cao shuai	54-15286-B
cao suan	54-15791-B
cao tang	33-9761-S
cao tang bi ji	65-49421-S
cao tu	54-13966-B
cao xian huan	49-44177-S,49-44313-S
cao xiang	55-1272-S,71-8501-S
cao xiao	54-15971-B
cao xin	29-21369-B
cao xing	3-45024-S,29-22041-B
cao yan	29-21742-B
cao yao	2-79878-S,54-15681-B
cao yu	54-15928-B,60-65484-S
cao yuan	2-49137-S,13-17316-S,17-33614-S,22-9794-S,22-10510-S,54-13869-B,63-16625-S
cao zong	29-21838-B
cao zong zi ru	29-21894-B
cao zuo	29-20540-B,62-58958-S,67-34445-S
cao zuo de yi shu	12-13833-S
cao zuo huan jing	20-13610-S,29-20687-B
cao zuo su lu:	29-20891-B
cao zuo tai	29-20606-B
cao zuo xi tong	29-20766-B,50-7505-S
cao zuo zhe	29-20838-B
cao1	6-18764-S,8-39893-S,25-14238-S,29-20338-B,31-13857-S,35-42486-S,39-57177-S,48-28975-S,48-49641-S,48-61958-B,53-11911-S,55-32803-S,70-7382-S
cao1 Lian2 he2 hui4	15-21096-S
cao1 chang3	29-21202-B
cao1 chi5	29-21417-B
cao1 dao1 shou3	29-21005-B
cao1 dian3	29-20960-B
cao1 duo1 shi4	29-21986-B
cao1 fa3	29-21698-B
cao1 fu3 fa2 ke1	29-21528-B
cao1 ke4	29-22096-B
cao1 kong4	29-21469-B
cao1 lao2	29-21142-B
cao1 lian4	29-21789-B,33-58852-S
cao1 mian4 nei4 zhi4 wang3	48-62006-B
cao1 qie4	29-21098-B
cao1 sheng4 quan4	47-43080-S
cao1 shou3	29-21261-B
cao1 xin1	29-21369-B
cao1 xing2	29-22041-B
cao1 xing4	3-45024-S
cao1 yan3	29-21742-B
cao1 zong4	29-21838-B
cao1 zong4 zi4 ru2	29-21894-B
cao1 zuo4	29-20540-B,62-58958-S,67-34445-S
cao1 zuo4 de5 yi4 shu4	12-13833-S
cao1 zuo4 huan2 jing4	20-13610-S,29-20687-B
cao1 zuo4 su4 lu:4	29-20891-B
cao1 zuo4 tai2	29-20606-B
cao1 zuo4 xi4 tong3	29-20766-B,50-7505-S
cao1 zuo4 zhe3	29-20838-B
cao2	5-58683-S,8-33115-S,14-27374-B,32-13230-B,34-46980-B,36-42301-S,37-19995-S,39-17906-S,39-47128-B,45-0-S,52-25101-S,53-39552-B,56-13132-B,60-15602-S,60-44728-S,64-51079-S,66-24446-S,69-2502-S,69-6937-S
cao2 yu2	60-65484-S
cao3	1-40490-S,3-25349-S,4-29564-S,8-16494-S,9-34241-S,9-64646-S,18-1699-S,18-31537-S,20-65-S,23-65031-S,25-58259-B,27-20309-S,27-44494-S,32-66277-S,33-38904-S,35-17844-S,36-45774-S,39-62339-S,41-4024-S,41-12921-S,41-52570-S,43-15070-S,44-7683-S,44-7881-S,45-41-S,47-10985-S,47-36018-S,47-37140-S,49-392-S,49-23077-S,49-29366-S,49-44117-S,49-66201-S,53-46448-B,53-46476-B,53-60245-S,54-8755-S,54-13738-B,54-15413-S,54-27701-S,54-41773-S,55-10735-S,55-27245-S,55-27511-S,56-19001-S,56-34638-S,59-16172-S,60-17810-S,60-58619-S,60-60093-S,63-47456-S,64-4325-S,64-36171-S,66-22759-S,66-49962-S,67-5694-S,67-57795-S,69-6984-S,69-29958-S,71-10666-S,71-49478-S
cao3 an4	54-15112-B
cao3 bao1	54-13820-B
cao3 ben3	54-15020-B
cao3 bu4 sheng1	20-31799-S
cao3 cao3	54-15413-B
cao3 chang3	54-14190-B
cao3 chu2 gen1	9-31199-S,30-38497-S
cao3 cong2	54-13921-B
cao3 da4 qing1	54-14237-B
cao3 di4	54-14021-B
cao3 dong4 wu4	69-3934-S
cao3 gai4	33-23394-S
cao3 gan3 jun4	33-38961-S
cao3 gang1 mu4	32-66369-S
cao3 gao3	54-15359-B
cao3 gen1	54-15058-B
cao3 gu1	54-15590-B
cao3 ji1	9-31143-S
cao3 ji4	66-22800-S
cao3 jing1	69-30069-S
cao3 ke1	49-29475-S
cao3 kou4	54-14319-B
cao3 ku1	44-56818-S
cao3 kuai4	36-860-S
cao3 kuang3	69-41244-S
cao3 kuang3 cun1	69-41348-S
cao3 liao4	54-14573-B
cao3 man3 ling2 yu3	54-15163-B
cao3 mei2	54-15461-B,55-29808-S
cao3 mei2 zu2	54-15505-B
cao3 ming2	36-8018-S
cao3 mu4	54-14701-B
cao3 mu4 jie1 bing1	54-14773-B
cao3 mu4 niao3 shou4	54-14948-B
cao3 ni3	54-14500-B
cao3 nian1 hua1	25-27194-S
cao3 pi2	30-62412-S
cao3 ping2	54-14074-B
cao3 ping2 sao3 chu2 ji1	54-14113-B
cao3 qing1 ling2	54-15730-B
cao3 qu1	65-19079-S
cao3 r5	66-50086-S
cao3 ren2	47-36057-S
cao3 ru2 yin1	46-29840-S,49-66245-S
cao3 shan1	54-14434-B
cao3 shi2 dong4 wu4	54-15844-B
cao3 shu1	54-14614-B
cao3 shu3	55-27550-S
cao3 shuai4	54-15286-B
cao3 suan1	54-15791-B
cao3 tang2	33-9761-S
cao3 tang2 bi3 ji4	65-49421-S
cao3 tu2	54-13966-B
cao3 xian2 huan2	49-44177-S,49-44313-S
cao3 xiang1	55-1272-S,71-8501-S
cao3 xiao1	54-15971-B
cao3 yao4	2-79878-S,54-15681-B
cao3 yu2	54-15928-B
cao3 yuan2	2-49137-S,13-17316-S,17-33614-S,22-9794-S,22-10510-S,54-13869-B,63-16625-S
cao4	29-20480-B,52-7898-B
cao4 bi1	29-21314-B,52-7945-B
cao4 dan4	52-7985-B
ce	1-2064-S,2-17498-S,3-32575-S,4-59717-S,6-19524-B,6-20755-S,6-46302-S,7-43528-S,7-59745-S,8-7658-B,8-24614-S,8-45152-S,8-50250-S,10-3396-S,11-44209-S,12-20993-S,12-22917-S,12-53920-S,14-17128-S,15-12513-S,15-64010-S,19-53865-S,20-13970-S,20-48428-S,20-54437-S,21-57781-S,22-59124-S,23-4215-B,24-33444-S,25-27364-B,26-17900-S,26-31881-S,28-23264-S,28-31444-S,28-48106-S,29-40292-S,29-57422-S,33-11937-S,33-56882-S,35-13811-S,35-42869-S,37-0-S,38-48264-S,38-59039-S,39-3516-B,42-12680-S,42-20184-S,42-45557-S,43-54013-B,43-58192-S,45-9253-S,45-17480-S,46-58788-S,47-50351-S,48-21727-B,48-22889-B,48-41263-S,50-24589-S,50-46223-S,52-16781-S,52-52116-S,53-27543-S,53-42762-S,54-8989-B,56-43380-S,57-42930-S,57-59214-S,57-65873-S,58-5275-S,59-61449-S,61-21164-S,62-59091-S,65-29201-S,66-63913-S,68-8949-S,68-29547-S,70-5526-S,70-16969-S,71-38685-S
ce bei ye	34-17009-S
ce bi	6-19643-B
ce bian lan	6-19806-B
ce biao	37-44167-S
ce ci	28-23468-S
ce di qu lu:	39-3582-B
ce di xian	39-3652-B
ce di xian liang xue	39-3805-B
ce di xian qu lu:	39-3723-B
ce ding	29-49589-S,39-3996-B,43-25321-S
ce ding fa	57-34430-S
ce du	39-4052-B
ce dui chen	7-43583-S
ce er	6-19684-B
ce fa	34-37599-S
ce fei	3-13152-S
ce feng	6-19933-B,8-7822-B
ce feng yun	17-48173-S
ce gao shen	54-25804-S
ce gou	16-43627-S
ce hua	1-2676-S,48-21774-B,48-22085-B
ce hui	39-4327-B
ce ji	30-67114-S
ce jing qi	39-4099-B
ce ju yi	39-4532-B
ce kong	39-4151-B
ce li	8-8016-B,48-21899-B
ce lian	6-20010-B
ce liang	39-4385-B,39-4602-B
ce liang fa	1-42419-S
ce liang xue	17-11475-S
ce lie	16-43735-S
ce lie zhou qu	16-43843-S
ce lie zhou wei	16-43994-S
ce lu:e	8-53783-S,48-22039-B,66-56845-S,68-47993-S
ce mian	6-20088-B,16-53572-S
ce mou	48-22133-B
ce qi	4-63557-S,4-64195-S,7-10516-S,10-56692-S,28-23345-S,35-13913-S
ce shi	39-4441-B
ce shu	37-103-S
ce suan	39-4259-B
ce suo	7-55970-S,23-4262-B
ce tang	6-19745-B
ce tian	39-3880-B
