considerable scale	28-22628-S
cooked food for 3 days around the qingming festival 清明節 清明节	20-9857-S
cooked food ready to eat	41-16513-B
cooked in soy and vinegar	41-33712-B
cooked meat pork	49-11293-S
cooked meat used in sacrifice	52-50057-B
cooked of food	41-14877-B
cooked pork	14-58121-S
cooked rice	3-25786-B,17-71108-S,44-48967-S,48-35823-S,48-46519-B,48-52070-S,69-5203-B,69-14675-S
cooked rice for making cake	48-59395-B
cooked rice in soup or water	37-37317-S
cooked rice reheated in boiling water	37-37317-B
cooked three minutes	1-31178-B
cooked 成语 saw	43-28366-S,43-28618-S
cooker	67-39379-S
cookery	40-43438-B
cookery book	69-4210-B
cookie	48-41056-S,69-9911-B,69-9969-B
cooking	5-30669-S,16-32908-S,17-45959-S,17-70359-S,19-61981-S,22-60611-S,26-35840-S,30-35196-S,30-35379-S,37-2013-S,40-43302-B,40-43387-B,40-43492-B,41-26752-S,46-10886-S,55-76-S,58-36190-S,71-39292-S
cooking cakes	63-42480-S,63-42558-S
cooking oil	69-2542-B,69-2929-B
cooking pot	65-5016-S
cooking pot and jade as ordinary stone 成语 saw	71-47254-S
cooking recipe	3-5792-S,61-9244-S,63-38133-S,63-38201-B
cooking stove	41-36782-B
cooking style	55-19728-S
cooking wine	30-35590-B
cooks spoil the broth	4-13833-S
cool	8-25548-B,8-25548-S,38-38850-B,38-39188-S,38-63557-S,45-43238-S,63-44316-S,64-54195-B,64-55490-B
cool air	49-16876-S
cool and refreshing	38-39422-B
cool breeze	38-39574-B,38-65837-B
cool breeze and bright moon 成语 saw	38-66088-S
cool breeze of autumn	68-59699-B
cool down	65-41525-S
cool elegant and magnificent	8-22755-B
cool eye	8-22458-B
cool eye of a bystander	8-22548-S
cool fresh air	41-42480-B
cool head in a crisis	21-26653-S,47-41835-S
cool headed	8-23804-B
cool of autumn	47-15377-S
cool off	8-20742-B
cool off in the shade	3-13706-S
cool one s temper	38-30863-S
cool water	38-39360-B
coolant	8-20793-B
cooled reactor	36-25867-S
cooling	8-20742-B,60-31100-B
cooling tower	8-20845-B
cooling water in a reactor	8-20903-B
coolroom	8-21249-B
coop	48-44224-B
cooper	61-53739-S
cooperate	9-60805-B,10-63795-B,10-64032-S,12-31779-S,12-32330-B,12-34348-S,12-38032-S,27-14486-S,28-59878-S,63-37495-S
cooperate in doing something	10-65465-B
cooperate in managing	10-64686-S
cooperate on a great undertaking	7-73055-S
cooperation	2-75200-S,3-58656-S,10-63863-B,10-64189-B,10-66013-S,12-31779-B,12-47100-S,16-64220-S
cooperation agreement between different parties	16-64092-B
cooperation and development oecd	49-58207-S,49-58372-S,49-59618-S
cooperation between natural rivals	13-1745-S
cooperation in europe ocse	35-29011-S
cooperation in europe osce	35-29175-S
cooperation moftec	20-48647-S
cooperation organization	1-47507-S,3-58857-S
cooperation organization sco	1-47581-S,1-51688-S
cooperative	12-32022-B,12-35631-B,61-40809-S,61-41657-S
cooperative etc	12-32022-S
cooperative interaction	10-64100-B
cooperative partner	12-31868-B
cooperative transport	66-59815-B
coordinate	10-65121-S,35-7987-S,50-28857-S
coordinate a combined operation	42-716-S
coordinate axis	22-64929-B
coordinate frame	34-53446-S
coordinate frame math 	11-39695-B
coordinate geom 	22-64550-B,22-64630-B
coordinate geometry	21-64312-S,35-34329-S,57-50532-B,57-50622-B
coordinate line	35-9641-S,50-30164-S
coordinate space	22-64784-B
coordinate system	48-5477-S
coordinate system geom 	22-64859-B
coordinate with	63-37495-S
coordinated process	1-12142-B
coordinated universal time utc	10-65194-B
coordinates	11-35885-S,34-34945-S,34-35027-S,34-35940-S,34-36070-S,34-36347-S,45-24376-S
coordinates geom 	7-27248-S,22-64710-S
coordinates math 	34-34875-S
coordinating center jnacc	51-60198-S
coordination	10-63863-B
coordination with	10-64032-S
coordination with attackers outside	57-1607-S
coordinative compound word	51-59854-B
coordinator	10-65294-B,10-65351-B,27-42942-S
coot	44-49515-B
cope	2-33314-S,18-2351-S,20-46890-S,25-58821-S
cope with	14-60399-S
copenhagen capital of denmark	13-43355-B
copernicus 1473 1543	13-43760-S
copies	6-36363-S,8-10069-S,64-34045-S
copious	37-18065-B
copious of rain	40-13419-B
copper	53-9828-S
copper aluminium phosphate	33-28374-S
copper azurite 2cuco3 cu oh 2	46-10765-B
copper coin	64-30470-B
copper cu	64-29852-B
copper drum	64-43944-B
copper iron sulfide cufes2	53-9828-B
copper nickel alloy	44-47187-B
copper sulfate cuso4	46-24535-B
copper telephone line	22-32331-S
copper ware	64-30143-B
copperhead race elaphe radiata	1-39378-B
coppersmith	64-30096-B
coppice	46-1510-B
coprime	3-45972-B
copula	3-21403-S
copula grammar	62-19792-B
copula statistics	51-38817-B
copulate	3-67799-S,3-67975-S,18-42567-B,18-57531-S,52-7898-B
copulate of animals	3-68033-S
copulation	4-405-B
copy	1-12407-S,4-45032-S,4-45074-S,4-45924-S,4-46075-S,6-35611-S,6-35611-S,8-9549-S,24-14392-S,26-63885-S,26-64014-S,26-64145-S,26-64282-S,27-50707-S,28-35862-S,29-3655-B,29-3833-B,29-3867-S,34-57752-S,34-57821-S,41-6785-S,41-7641-S,45-6520-S,57-5968-B,57-6125-S,58-52337-S,58-52380-S,64-42044-S
copy a model	29-27895-S
copy a model of calligraphy or painting	52-57203-S
copy a model of calligraphy or painting etc	52-57658-S
copy a set pattern mechanically	18-9390-S
copy an inscription	27-32111-S
copy and pass on	6-36363-S
copy and send it to someone	26-64725-S
copy cat	66-15374-B
copy editor	50-19842-B
copy for email	20-5780-S,26-64725-S
copy mechanically	28-58085-B
copy of	26-64892-S,50-40458-S,57-6125-S
copy of dvd	51-22413-B
copy sb s action or words	66-15374-S
copy word for word	41-7584-S
copybook for calligraphy	19-4832-B
copying paper with printed model characters and blank squares for writing practice	4-45729-B
copyright	5-8798-B,12-57631-B,41-45040-B
copyright page	41-45084-B
copyright statement	35-18353-B
copywriter	23-11123-S
coquettishly	29-6839-S
coral	42-42664-B,42-42693-B,42-61135-B,49-11509-S
coral reef	42-42732-B
corbel in architecture	27-64208-B
corchorus capsularis linn 	71-25761-S
cord	23-19487-S,49-14198-B,49-30357-S,49-34883-S,49-37683-B,49-48144-B,49-56350-S,50-4907-B,50-13845-B,50-18858-B,50-25689-B,50-26245-B,50-41587-B,50-43619-B,52-52980-S,52-53027-S
cord computer	50-17492-B
cord for hat	49-21225-B
cord on a seal	50-801-B
cord to hold up sleeves	50-46805-B
cord used in bookbinding	15-60970-S
cordata	34-5401-S,53-41867-S,55-17520-S
cordial	41-19200-B,48-34008-B,56-48956-B,57-38035-B,58-29343-B,58-29401-B
cordial relations	63-55960-S
cordiality	24-37809-B
cordifolia	54-8649-S,54-8755-S,54-13093-S
cordillera	47-21539-B,47-21601-B
cords	51-65586-S
cordyceps sinensis	56-19001-S
core	2-71234-B,2-81906-B,3-4997-B,3-6254-B,11-48668-S,33-57596-B,38-45164-S,38-45291-S,53-54104-B,55-43234-S,63-58683-S,65-48046-S
core computing	66-66549-S
core course	62-14284-B
core curriculum	16-746-B,62-14284-B
core diameter of a fiber	50-47828-B
core flaw in pottery	71-30083-S
core network	3-5046-B,3-5115-B
core of a fiber	50-47776-B
core of the earth geology	15-41900-B
core of tree	24-34237-S
core 成语 saw	10-2698-S,69-60946-S
coriander	52-22619-B,52-22662-B,53-53270-B,54-20705-B,69-30163-B,69-30269-B
coriander leaf	53-53312-B,69-30323-B
corinth	13-43440-B
corinth city of ancient greece	47-19545-B
corinthians	13-43491-S,13-43601-S,33-66438-B
cork	16-19688-B,34-25015-S,47-16947-B,61-2995-B
cormorant	36-45477-S,70-39097-B,70-59241-B,71-2305-S
cormorant phalacrocorax carbo	70-59272-B,71-2344-B
corn	10-17096-B,10-17190-B,10-17233-B,10-17796-S,34-20479-S,42-31497-B,42-32154-B,47-36694-B,53-65596-B
corn cake	42-31669-B
corn mush	42-31669-S
corn starch	42-31539-B,42-31605-B
corn syrup	42-31741-B
corn syrup hfcs	70-16064-S
corncob	34-20479-B
cornea	45-51963-B,57-45574-B,57-45614-S
corned beef	59-22872-B
cornel dogwood	54-10165-S
cornelian	43-636-B,49-11564-B
cornelian cherry	54-10016-B,54-48742-B
cornelian mineral	43-1405-B
cornell university	23-1686-B
cornell us university	23-1618-B
corner	14-32586-B,27-30701-S,27-31090-S,30-36050-S,31-16820-B,35-59412-S,47-31006-B,47-31126-B,47-31251-S,47-31251-S,57-45884-B,60-11844-S,61-27545-B,61-27545-S,66-23477-B,66-37218-B
corner between walls	57-45263-B
corner code input method for chinese characters	14-52949-S
corner gate	57-46435-B
corner kick in soccer	57-45367-B
corner of a room	19-57074-S,57-45188-S
corner of anvil	57-45447-S
corner of eye near temple	45-49619-B
corner of one s eye	45-56636-S
corner of room	47-54931-S
corner of the eye	45-45976-B,45-54407-B
corner the market in sth	14-62792-S
cornered stove	40-40559-S
cornering technique in car racing	43-36385-S
corners of mouth	13-28001-S
corners of the mouth	13-10096-S
cornerstone	16-418-B,18-11566-S
cornflour	42-31605-B
corns on feet	50-42100-B,51-29937-B,51-30769-B
corns on the feet	60-33277-B,60-33352-B
cornucopia	51-54184-B
cornus officinalis	21-32470-B
cornus officinalis japanese cornel dogwood	54-10165-B
cornuta a kind of toad	56-961-S
corny	52-7224-B
corolla	53-54514-B,53-60652-S
corolla of flower	54-59753-B
corollary	28-32349-S
corona	31-5704-B,31-5744-S
corona australis constellation	10-67287-B
corona borealis constellation	10-28927-B
corona e g solar	8-12368-B
coronarium	54-13292-S
coronary	8-13222-B
coronary artery	8-13087-B,8-13222-B
coronary circulation	8-13281-B
coronary heart disease	8-13018-B
coronation	9-51534-B
coronet	43-4326-S,49-24673-S
corp saic	1-52525-S,1-52645-S
corporal punishment	33-29748-S,70-5656-B,70-8819-B
corporate bonds investments	7-57188-B
corporate finance	7-57468-B
corporate governance	7-57333-B
corporation	2-60883-S,2-61264-S,2-61362-S,2-61735-S,2-62662-S,2-75670-S,2-76718-S,7-57098-B,9-46328-S,15-20156-S,17-6477-B,17-61076-S,19-397-S,24-21955-S,24-22011-S,24-41206-S,32-41090-B,47-63937-S,51-4005-S,51-59958-S,51-63154-S,54-2223-S,54-2339-S,58-50836-S,60-39062-S,60-39062-S,61-2846-S,66-57194-B,67-15885-S,67-15971-S
corporation catic	2-63009-S
corporation cgwic	2-64665-S
corporation cnnc	2-59642-S
corporation cpmiec	2-62265-S
corporation cssc	2-55963-S
corporation cstc	2-63348-S
corporation hsbc	10-39292-S,10-39377-S
corporation norinco	2-54968-S
corporation one of china s large telephone companies	50-10076-S
corporations law	7-57408-B
corporeal body	52-6872-B
corporis	70-8498-S
corps	8-901-B,36-20054-S,38-25323-S,60-64505-B
corps anzac	40-3648-S
corpse	6-52496-S,6-52550-B,21-11212-B,21-20722-B,21-20751-B,21-20800-B,21-20858-B,32-52334-S,35-57106-S,35-64343-S,35-64477-S,42-51258-S,57-3545-S,60-47972-B,63-2593-S,67-51878-S,68-2196-S
corpses fill the roads 成语 saw	69-14036-S,69-14261-S
corpus	58-25805-S
corpus callosum	52-26546-B
corpus christi catholic festival on second thursday after whit sunday	16-281-B,51-52794-B
corpus luteum glands in female mammals producing progesterone	71-25014-B
corpuscle	56-27280-S
correct	2-35836-B,10-37297-B,14-154-B,20-46728-B,20-57602-B,26-49899-S,27-54374-S,29-10332-B,29-12424-B,29-43530-S,29-44892-S,29-46212-S,32-8624-S,33-53423-S,35-33484-B,35-38469-B,40-65802-B,46-1976-S,46-3120-S,47-65638-B,49-1680-B,49-1944-S,51-34145-S,68-13229-B,69-46854-S
correct a defect 成语 saw	46-2764-S,46-2943-S
correct a typo	49-2311-S
correct an error	49-1753-S
correct answer	20-46157-B
correct diagnosis	20-52978-B
correct e g sight or hearing	46-3351-S
correct errors 成语 saw	56-56545-S
correct form	5-33698-S
correct form of a chinese character when the common form 俗字 differs	35-40641-B
correct form 正體字 正体字	5-33212-S
correct improve a translation	29-45563-S
correct in writing sb s errors or misconceptions	69-47057-S
correct interpretation	45-42284-B
correct method	32-34472-S
correct oneself	29-43846-S
correct order	20-57922-S
correct path	11-50532-S
correct printing errors	10-3453-S
correct spelling 蚝油	59-24856-B
correct term for eskimo 愛斯基摩人 爱斯基摩人	14-61639-S
correct time	16-10969-S
correct 成语 saw	1-67242-S
corrected edition	48-53856-B
correcting a bow	33-40379-S
correcting lens	46-3276-B
correcting one s former misdeeds 成语 saw	44-14453-S
correction	27-60134-S,29-44892-B,32-8624-S,46-3120-B
correction in computing	41-21715-S
correctional institution	10-5635-B
correctional labor camp	10-5506-B
corrections	57-57303-S
corrective agent e g adjusting taste of medicine	46-2140-B
corrective influence	25-39302-B
corrective punishment	30-15616-B
correctly in opera	12-60100-S
correlate with	41-7437-S
correlation	32-40760-B,45-32050-B,45-32142-B,45-32211-B,65-57296-B
correspond	20-49873-S,45-28700-S,63-37495-S
correspond to	41-7437-S,48-5931-S
correspond to reality 成语 saw	12-53351-S
correspond with	48-6114-S
correspondence	1-254-S,1-5602-S,2-82028-B,5-39210-S,5-40759-S,8-47801-B,20-49873-S,30-28658-S
correspondence course	8-47943-B
correspondence desk	2-82116-B
correspondent	41-60176-S,41-60288-S,41-61402-S
correspondent post	57-67138-B
correspondent station	57-67138-B
corresponding	20-49873-B,45-28700-B
corresponding member of an academy	62-13730-B
corresponding time period e g compare inflation now with the rate during the same month last year	12-48451-S
corresponding to phil or phile	14-24419-S
corresponding to 廿	24-49883-S
corresponds to english ity	5-8176-B
corridor	14-27870-S,34-51786-B,37-21233-S,43-36720-B,60-11160-B,62-48435-B
corridor at summer palace 頤和園 颐和园	65-14612-S
corridor media	60-22715-S
corridor or passageway	16-38053-S
corroborate	46-34052-S
corroboration	5-1077-B
corrode	5-27939-S,9-29348-B,43-30379-S,64-34538-S
corrode degrade chemically	52-37855-S
corrosion	51-37253-S,52-37855-B
corrosive chemical	52-37947-S
corrugation	37-40935-B
corrupt	29-65866-S,36-57117-B,36-57209-B,36-62434-B,52-37307-S,52-37410-B,62-58369-B,65-10751-S
corrupt appointment	4-41576-B
corrupt dealing	41-31903-S
corrupt official	36-62638-S
corrupt or disgraceful social trends	40-6314-S
corrupt practice	11-26321-B,23-24815-B,41-32006-S,66-16464-B
corrupt practices	7-47755-S
corrupted by wealth and honors	20-8288-S
corrupting influence	41-12758-S
corruption	11-54561-S,16-34473-B,23-5026-S,23-5364-S,52-37410-B,52-37468-S,52-37855-B,59-39565-B,59-39742-S
corruption and abuse of the law 成语 saw	59-39863-B
corruption policy	11-54445-S
corruptly	44-30442-S
corset	69-40447-B
corsica island	22-6785-S
cortex	44-64914-B,45-366-B,45-366-S,48-61196-S,52-36737-S
cortical	44-65052-B
cortical visual impairment cvi	44-65106-B
corticosteroid hormone secreted by the adrenal cortex	48-61196-S
corundum mineral	9-28532-B
coruña city in galicia	27-24834-S
coruña or a coruña city in galicia	27-24834-S
corvette	59-5486-B
corvidae crows	33-29124-S
corvina	71-23186-B
corvus constellation	40-40061-B
corvée	22-103-S,23-60500-B
corvée duties forced labor	29-37996-S
corvée labor required of a serf	10-5413-B
corylus heterophylla	34-39383-B
corypha umbraculifera	59-29351-S
coryphaena hippurus	70-44171-B
cosco china ocean shipping company	2-82679-B
cosco hong kong group	2-82774-B
cosecant of angle	69-15021-B
cosh math	66-66322-S
cosine of angle	69-15656-B
cosine or cosh math	66-66322-S
cosmetic	45-49126-S
cosmetic face powder	48-47146-B
cosmetic powder used on women s forehead in former times	53-61775-S
cosmic ray	19-20644-B,19-20791-B
cosmodrome	27-46301-S
cosmodrome in south west china	57-18365-S
cosmological scheme	17-59378-S
cosmology	17-27111-S,19-20711-B,47-42798-S
cosmopsaltria opalifera	56-15771-B
cosmos	19-20595-B,19-20847-B
cossack people	13-43854-B
cost	4-30474-B,4-68006-S,4-69750-S,6-53590-B,40-46948-S,49-61337-S,51-38464-S,53-60967-B,57-27372-B,59-46155-S,59-47510-B,62-17648-S,62-38753-S,63-13989-S,68-25384-S
cost effective	1-71998-S,8-65300-B,49-60498-B
cost of housing	26-26253-B
cost of living	43-22716-B
cost price at home	27-27453-S
costa rica	13-43196-B,13-43282-B
costa rican	13-43196-B
costly	6-5016-B,31-18564-B
costs	7-34365-S,8-53499-S,27-50972-S,27-52196-S,34-34290-S,50-3438-S,50-33183-S,60-60568-S,67-6371-S
costs nothing	44-39243-S
costume	13-34044-B,32-44224-B,39-7124-S
costume drama on tv	26-21675-S
costume of an actor in a play	56-60349-B
costume or makeup	26-54795-S
costus root	32-55428-B
cosy and comfortable	43-43733-B
cotangent of angle	69-14968-B
cote d ivoire	47-20410-S
cotonou city in benin	47-18580-B
cotswolds england	47-21454-S
cottage	1-44380-S,54-7328-B,54-7424-S,54-7821-B
cottage in chengdu	33-9761-S
cottage industry	20-39851-B
cottbus city in germany	47-20237-B
cotton	15-50352-S,32-53456-B,32-53496-B,34-18760-B,34-19035-S,34-19096-B,49-47958-S,50-17853-B,50-43777-S,65-41197-S
cotton and silk textiles	22-14900-B
cotton ball	34-18836-B
cotton boll fruit	34-19617-B
cotton boll splits open and reveals its white interior	12-60756-B
cotton bolls	65-41441-S
cotton boxing chinese martial art	34-19137-S
cotton cloth	4-64970-B,22-13546-B,34-18790-B
cotton cloth used for shirts	22-63212-S
cotton fabric	71-15316-S
cotton fiber by fluffing	23-49892-S
cotton field	34-18894-B
cotton gin	60-61296-B
cotton mill	49-25730-B
cotton pad	27-47364-B
cotton padded clothes	34-19458-B
cotton padded jacket	34-19563-B
cotton padded mattress	57-8141-B
cotton picker	28-21403-B
cotton rope	50-17437-B
cotton rose hibiscus hibiscus mutabilis	53-50154-B,53-50370-B
cotton separate seeds from fibre	60-61170-S
cotton swab	34-18942-B
cotton thread	34-19035-B
cotton tree	29-31639-S
cotton used for 棉	50-12005-B
cotton wadding	49-49934-B
cotton yarn	34-18989-B,49-21041-B
cotyledon first embryonic leaf	19-2018-B
cou	63-31322-S
couch	22-59016-B,34-42879-B,45-54921-B,52-54857-S
couch for two	10-37226-B
couch in coffin	34-27101-S
couchette	52-55368-S
cougar	51-7629-B
cough	13-29794-B,13-29821-S,14-26471-B,35-22793-B,44-54482-S
cough blood	13-29469-B
cough mixture	35-32736-B
cough slightly	58-58062-B
cough suppresant syrup	35-32736-B
cough suppressant	64-53867-B
coughing	35-32683-S
could do sth	25-1039-S,25-1039-S,25-1203-S,25-1203-S
could even be said	12-16798-S
could happen at any moment	1-20769-B
could have thought that	25-25118-S
could imagine	25-60015-S
could it be	54-27096-B
could it be that 	54-24079-B,67-13709-B
could not find	32-58297-B
couldn t care less	39-35230-B
couldn t give a damn about it	39-35230-B
coulomb 1736 1806	22-65370-S
coulomb s law	22-65442-B
coumarin	55-27150-B
coumarouna odorata	55-15005-B,55-27150-B
council	10-41436-S,12-69683-S,18-41128-B,19-24065-S,19-31068-S,22-29820-S,22-30269-S,32-25035-S,34-56943-S,42-53495-S,42-53545-B,47-61461-S,54-2456-S,55-40448-S,58-8202-B,60-65846-S,69-28071-S
council chamber	65-47795-B,65-47959-B
council during the qing dynasty	60-65746-S
council hong kong	56-33117-S
council in china	15-2688-S
council of macao	40-3905-S
council prc	15-2857-S
councilor	22-13277-S,22-13277-S
counsel	11-38732-S,11-40627-S,11-60517-S,61-38843-S
counselor	27-58279-B,30-5030-S
counselor of king or feudal warlord	19-63874-B
counsels	59-14971-B
count	4-58960-B,19-6275-S,30-19409-S,30-19440-S,32-7099-S,32-63451-S,46-64118-S,48-14366-S,48-52761-S,49-8036-S,57-58063-S,57-58560-S,57-59255-S,71-37621-S
count and verify	71-42040-S
count as	48-23811-S
count backwards from 10 down to 0	5-57922-S
count beads	48-43053-S
count by fives and tens 成语 saw	1-1470-S
count down	5-57922-S
count heads	71-39850-S
count in	30-20468-B
count in shandong	34-9546-S
count lev nikolayevich tostoy 1828 1910	8-66232-B,26-52026-B
count of votes	57-59103-B
count off	16-10851-B
count on	27-56927-S,27-60015-S
count votes	71-41526-S
countdown	5-61008-B
counted and verified	71-42111-S
counted as number of households for census or taxation	26-24480-S
counted on the fingers of one hand	21-20015-S
countenance	19-65144-B,19-65954-B,25-22701-S,25-27395-S,59-11386-S,65-18213-B,68-44545-B
counter	10-39635-S,21-1104-S,30-34012-S,34-4251-B,35-16422-S,38-5015-S,44-24326-S,46-34325-B,55-6499-S,56-58291-S,57-58611-B,57-58796-B,57-58848-B,65-34530-S
counter a stroke in fencing	9-39357-S
counter attack	11-49630-S,11-49800-S
counter charge	11-45562-S
counter charge in legal case	11-53937-B
counter claim	11-53937-B
counter connections	60-11548-S
counter criticism	11-49296-B
counter current	11-54620-S,60-7248-S,61-67581-S
counter fire	61-45652-S
counter hits	58-1247-S
counter indirect way for influence or pressure	24-2766-S
counter intelligence	11-55582-B
counter intelligence office	60-65177-S
counter of a bar pub	12-67117-B
counter offensive	11-49800-S
counter offer when haggling	63-9606-S
counter proposal	20-51410-B
counter reaction	61-66287-B
counter revolutionaries esp stalin s purges of the 1930 and mao s purges 1955 57	52-3407-S
counter revolutionary	11-55841-B
counter revolutionary elements esp stalin s purges of the 1930 and mao s purges 1955 57	52-2900-S,52-3086-S
counter revolutionary propaganda	11-55907-B,11-56009-S
counter scale	34-4559-B
counter strike	33-56198-S
counter to	52-18559-S,62-58609-S
counter works	20-48233-B
counteract	27-14975-B
counterattack	11-49732-B,14-55661-S
counterclockwise	61-67309-B
counterfeit	4-45128-S,4-46075-S,5-5628-S,6-6677-S,6-24830-B,6-25019-B,57-3844-S
counterfeit article	6-9873-B,60-5079-B
counterfeit currency	6-24242-B
counterfeit goods	57-3844-S
counterfeit object	4-45182-B,4-46006-B,6-6765-B,6-24892-B
counterforce	26-45279-B
countermeasure for dealing with a situation	20-54437-B
counterpart	20-49873-B,20-50993-B
counterpart of the gestapo during wwii	25-57365-S
counterpoint in music	20-46967-B
counterrevolutionary coup of 12th april 1927	14-45708-B
countersign	31-62957-B
countervalue	26-45192-B
counties	10-40860-S,10-41316-S,56-32726-S,56-32844-S
counting	48-42202-S
counting as valid	5-7028-B
counting board	48-43053-S
counting e g decimal or roman numbers	30-23031-S
counting or listing	66-21915-S
countless	1-75936-B,2-29244-B,10-50179-B,30-19832-B,30-19886-B,40-54465-B,54-24749-B
countless difficulties	54-48318-B
countless ways	10-50019-S
countries	2-73602-S,7-44076-S,7-44076-S,8-21931-S,8-66181-S,11-67859-S,12-28895-S,15-8886-S,15-11894-S,21-55885-S,31-13857-S,33-19008-S,35-27175-S,37-51578-S,43-32300-S,45-7169-S,57-17852-S,59-49594-S,63-18032-S,63-34889-S,63-34889-S
countries including in china	60-26006-S
countries involved	43-65507-S
countries 成语 saw	13-14488-S
country	1-4948-S,2-77312-S,3-6392-S,3-8225-S,3-58559-S,3-60651-S,3-66161-S,4-2915-S,4-4003-S,6-43115-S,7-24386-S,7-28622-S,7-32440-S,7-33190-S,7-34878-S,7-35272-S,7-38311-S,8-37398-S,8-45094-S,8-46153-S,10-29695-S,10-31991-S,10-55868-S,10-71953-S,11-35762-S,11-66081-S,12-28895-S,12-28895-S,12-28972-S,13-63360-S,13-63511-S,14-54962-S,14-63847-B,15-1025-B,15-1684-B,15-1944-S,15-3299-S,15-4375-B,15-8433-B,15-8726-S,15-9126-S,15-11820-S,15-49396-S,15-63792-S,16-9760-S,16-23292-S,16-45615-S,17-10884-S,17-30782-S,18-18492-S,18-49081-S,20-6636-S,20-6725-S,21-28995-S,21-30915-S,21-49953-S,21-55733-S,22-6485-S,22-33770-S,23-20544-S,23-43220-S,24-46639-S,25-33157-S,25-57575-S,26-9102-S,26-13009-S,28-1260-S,29-59296-S,30-17545-S,31-59709-S,32-61845-S,32-61896-S,32-62287-S,33-56668-S,35-53793-S,35-59780-S,35-60419-S,36-58831-B,36-59731-S,43-57980-S,43-60778-S,44-28408-S,44-28585-S,45-7620-S,45-47439-S,46-50228-B,49-52202-S,49-53053-S,50-29530-S,50-34714-S,53-23344-S,55-10553-S,59-58609-S,60-15313-S,60-27843-S,61-23724-S,61-49451-S,62-29078-S,62-64192-S,63-18120-B,63-29537-B,63-34889-S,63-34889-S,64-52371-S,65-29095-S,65-29378-S,65-31551-S,65-52966-S,67-65639-S
country accent	24-66352-S
country as itinerant peddler or entertainer	60-12289-S
country as one s own family praise for a virtuous ruler	25-33290-S
country as opposed to town or city	63-29577-B
country bumpkin	15-29879-B,24-66352-B
country code	15-4601-B
country destroyed	3-66085-B
country enclosed within another	68-62943-S
country etc	44-34911-S
country in times of danger	10-9467-S
country in xinyu 新餘 新余	8-51259-S,8-51328-S
country is prosperous and the people live in peace	15-11308-S
country mannerism	63-29655-B
country of bygone years that has vanished	3-65946-B
country of origin	11-34810-B
country or dynasty	65-31719-S
country or nation	63-17983-B
country or province to the south of silla 新羅 新罗 in south korea around 500 ad	4-63171-S
country or region	8-37723-S
country or theater of operations	50-32484-S
country other than where one is	16-46404-S
country path	64-3479-B
country person humble	15-29879-S
country poor in oil	59-35930-B
country qing china	64-52371-S
country running	60-27889-S,60-27965-S
country s borders	16-23538-S
country s surface area	22-33770-S
country s territory	15-3390-B,62-44155-S
country shrine	46-50664-S
country through science and education	47-19285-S
country to an interview	12-10157-S
country to city migrant without definite prospects	45-19900-B
country to exclude foreign contact	65-29378-S
country to international intercourse	65-29276-S
country to perish	38-44887-S
country under a chief	63-36827-S
country wealthy political slogan	20-6636-S
country with an ancient history	29-59183-B
country 成语 saw	14-12644-S,44-11346-S,44-11457-S
countryman	12-51194-S,63-29806-S
countryman from the same village	12-52308-S,63-30526-S
countryman living abroad	6-50793-B
countryside	1-60063-S,1-63784-S,15-62787-S,63-30294-B,64-3205-B
counts	8-56936-S,47-9333-S
county	3-18129-S,3-18221-S,3-19669-S,10-72121-S,12-39429-S,16-29592-S,17-62545-S,18-48081-S,20-7589-S,20-7634-S,21-4322-S,29-14360-S,35-46746-S,36-65049-S,36-65317-S,39-50004-S,40-28344-S,41-48094-S,50-26285-B,50-59819-S,52-55430-S,52-55663-S,52-55814-S,53-8416-S,54-7688-S,58-48979-S,62-8181-S,62-9432-S,63-22037-B,64-13838-S,65-2528-S,65-16743-S
county capital	63-22080-B
county capital of ning er hani and yi autonomous county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	31-49569-B,31-49923-B
county county in anhui	16-39221-S
county county in guangxi	17-8296-S,19-65837-S
county county in guizhou	18-45074-S
county county in hebei	18-48605-S,19-38158-S
county county in henan	19-11067-S
county county in hunan	15-62294-S
county county in shanxi	16-41572-S
county county in sichuan	16-31178-S,19-32180-S
county county in tianjin	17-12130-S
county county in yunnan	16-28830-S
county court	15-41630-B
county england	67-68262-S
county in aksu prefecture	33-47750-S,66-9521-S
county in anhui	13-24744-S,16-39221-S,19-67649-S,35-31219-S,37-35652-S,38-28734-S,47-40919-S,55-17028-S,71-43523-S
county in baicheng 白城	62-10099-S,62-10165-S,64-55109-S,64-55177-S
county in baishan 白山	29-14860-S,29-14925-S,65-17588-S,65-17841-S,65-17995-S,67-60464-S,67-60529-S
county in baoding prefecture	38-60319-S
county in beijing	1-37623-S,14-64647-S,38-52716-S,62-12194-S
county in benxi 本溪 本溪	32-65265-S,32-65405-S,34-7355-S,34-7499-S
county in börtala mongol autonomous prefecture 博爾塔拉蒙古自治州 博尔塔拉蒙古自治州	39-22308-S,39-22601-S,48-53979-S,48-54140-S
county in changchun 長春 长春	61-40262-S,61-40337-S
county in changde prefecture 常德	46-10490-S
county in chaohu 巢湖	40-56315-S,40-56377-S
county in chaoyang 朝陽 朝阳	14-1512-S,23-20922-S,23-20999-S,32-49681-S
county in chengdu 成都 prefecture	17-36602-S
county in chongqing 重慶市 重庆市	22-8988-S
county in datong prefecture	67-50633-S
county in deying 德阳 prefecture	50-12878-S
