embarrassing to do sth	2-3813-S
engine	6-34223-S,6-34293-S,7-29799-S,7-29861-S,8-7341-S,14-36757-S,14-37003-S,28-32599-B,28-56008-S,28-56459-S,28-56755-S,33-50950-S,33-51008-S,33-59631-S,36-29862-S,37-1058-S,38-33445-S,40-24689-S,41-19848-S,44-26980-B,59-15535-S,65-37869-S,71-40529-S
engine car	35-5392-S
engine oil	35-4457-B
engine or internal combustion engine	37-1058-S
engine technology	19-65688-S
engine transliteration	23-28857-B
engineer	21-54070-S,21-56763-B,36-41715-S,40-26211-B,48-21774-B
engineer and see through a project	58-50561-S
engineer of dujiangyan 都江堰	33-1172-S
engineer s scale	36-9302-B
engineering	2-58212-S,6-53071-S,10-21744-S,10-23630-S,11-48957-S,12-38481-S,15-31265-S,15-31336-S,15-67137-S,21-56432-B,21-56704-B,23-29090-S,33-57343-S,35-3823-S,36-39067-S,42-54501-S,43-25737-S,50-16363-S,50-16437-S,63-1808-S,67-28162-S,67-29486-S,67-31717-S,67-35264-S,70-36943-S
engineering as academic subjects abbr for 理科	42-54405-S,42-54632-S
engineering graphics	21-56523-B,21-56608-B
engineering institute	64-41678-S
engineering operation	65-33866-S
engineering project	21-56432-S
engineers	67-31416-S
england	9-7330-S,15-58304-S,24-8318-S,25-57680-S,27-23945-S,30-55719-S,41-47961-S,47-21454-S,54-2002-B,54-3671-B,54-3723-S,55-26270-S,58-48905-S,67-17127-S,67-68262-S
england premier soccer league	54-4615-B
english	2-79622-S,9-59727-S,9-59793-S,11-53154-S,12-45119-S,13-9903-S,15-54699-S,39-50826-S,54-1430-B,54-4475-S
english 12th century folk hero	50-62240-S
english as a foreign language	26-52269-S
english as hall of supreme harmony	17-57431-S
english author	6-27509-S
english b or d	40-6639-S
english channel	54-1782-B
english chinese e g dictionary	54-3852-B
english chinese parallel text	54-3920-B
english cool	63-44316-S
english county	18-48081-S,41-48094-S,58-48979-S
english elite school	4-52460-S
english grammar	42-49605-S
english ity	5-8176-S
english language	54-3568-B,54-4423-B
english language fan	54-4475-B
english language newspaper	2-59385-S
english language testing system	66-55112-S
english loan word	54-6829-S
english name	26-24074-S,68-10020-S
english parallel texts	2-79687-S,2-79777-S
english region	49-4206-S
english share	32-3858-S
english t shirt	25-643-S
english tin	51-69127-S,52-1046-S,52-2138-S
english translation	11-60608-S,17-46030-S,54-4562-B
english two way translation	39-50876-S
engrave	8-33615-S,9-14180-S,9-38903-B,23-56596-B,23-56627-S,64-35664-B,64-58523-B,64-58616-B,66-62110-B,66-62191-S
engrave gems	42-58606-B
engrave metal of wood	64-53456-S
engrave or carve	64-35402-S,65-8009-S
engrave wood or stone	65-1342-B,66-62781-S
engraved blocks for printing	9-14853-B
engraved in one s heart and carved in one s bones 成语 saw	64-31519-B,64-31701-B
engraved lacquerware	39-43936-S
engraved lines	42-60869-B
engraved or etched plate	41-45215-S
engraved printing plate	8-33198-S,15-27475-S
engraving	41-44844-B,56-7042-B
engrossed	12-8886-B,20-38999-B
engrossed in one thing	12-8282-S
engrossed in sth	15-61126-B
engrossed in work	15-61237-S
engulf	12-65023-S,12-65421-S,22-27288-S
enhance	16-27830-B
enhance mental performance	28-41051-S,28-41205-S
enigma	46-20122-S,46-56398-S,58-52811-B
enigmatic	46-58788-B,54-25804-B
enigmatic and impossible to predict	38-48264-B
enjoin	14-39445-B,14-44792-B,58-30780-B,59-40430-S
enjoy	4-1865-S,11-59537-S,14-6828-S,35-22544-S,42-40741-S,57-43567-S
enjoy a comfortable retirement	49-17066-S
enjoy a reputation	4-1981-S,4-2623-S
enjoy drinking	31-64485-S
enjoy fame without sharing it	29-18431-S
enjoy fully	69-7677-S
enjoy good fortune	47-4914-S
enjoy having guests	18-27937-S
enjoy market dominance	16-35514-B
enjoy oneself	42-40459-S
enjoy oneself to the full	45-8447-S,62-47434-S
enjoy popular support	2-8568-S
enjoy rights	4-1928-S,4-2153-B
enjoy sacrifice	69-20748-S
enjoy sth and never tire of it 成语 saw	34-49355-S
enjoy success	24-8962-S
enjoy the cool air	49-16876-S
enjoy the limelight	8-47425-S
enjoy the spring scenery	20-45872-S
enjoy the use of	4-2465-S
enjoy usually in negative combination	38-29712-S
enjoy watching a bustling scene	45-39002-S
enjoy your meal	25-49785-B
enjoyable	32-33549-B,62-47552-S
enjoying	44-14183-B
enjoying oneself and forget to go home	38-7004-S
enjoyment	18-51293-B,62-33324-S
enjoyment with fellow enthusiasts	7-64377-S
enjoys	20-54965-S
enjoys a well deserved reputation	12-53496-B
enjoys abundant support 成语 saw	24-9306-S
enjoys themselves to the full then party breaks up	6-56311-S
enkianthus	41-25466-S
enlai	14-46395-S
enlai 1898 1976	13-11846-S
enlai 周恩來 周恩来 1898 1976	13-13743-S
enlarge	16-26685-S,16-27573-S,29-28754-B,29-28877-S,29-49118-S
enlarged edition	16-27627-S
enlargement	52-41508-B
enlargement of prostate	29-35237-B
enlargement of thyroid gland	43-40991-S
enlighten	13-65224-S,38-8885-B,40-10725-B,41-46296-B,44-1787-S,61-50387-S,65-33682-S,65-57824-B,71-38410-S
enlighten people with perfect wisdom	63-47720-S
enlightened	13-65580-B,59-16709-S,65-36870-B
enlightened one	5-5148-S
enlightened sage	51-47491-B
enlightening remarks honorific	70-21803-B
enlightenment	13-65310-B,13-65580-S,13-65863-B,25-53101-S,34-33207-S,65-36870-B
enlightenment associated with a bodhisattva	54-31284-S,62-50006-S,64-7828-S
enlightenment buddh 	54-31087-B
enlightenment sanskrit cittotpāda	57-41227-S
enlightenment usually buddhist	68-32536-S
enlist	7-23964-B,24-23142-B,27-41303-S
enlist enemy or rebel soldiers by offering amnesty	27-41476-S,27-42201-S
enlist in military	27-3577-S
enlist the services of sb	23-17737-S,23-18319-S
enlisted officer student	7-24017-S
enlisted sailor in navy	36-38889-B
enliven	27-3832-S,28-57233-S
enmeshed in a trap of one s own devising	5-8584-B,12-60842-B,62-18834-B
enmity	4-21698-B,4-21917-B,8-13597-B,9-19581-S,30-17819-B,59-13018-B,63-52093-B
enmity leading to sin	8-13839-B,8-14769-B
enmity 成语 saw	45-8588-S
enneahedron solid figure having nine plane faces	3-20745-B
enoki mushroom	64-14216-B
enoki mushroom flammulina velutipes	64-15997-B
enormous	11-6934-B,21-61022-B,21-61070-B,34-34625-B,71-62921-B,71-63088-B
enormous pressure	21-61154-B
enormous price as first negotiating step	57-27609-S
enormous profit	58-50466-S
enormously	17-13160-B,70-49821-S
enormously complex	71-63356-B
enormously proud of one s success 成语 saw	60-53133-B
enough	2-2925-S,2-32486-S,7-328-B,9-66715-S,17-2140-S,21-63540-S,21-63777-S,22-1126-S,23-46566-B,24-6543-S,33-37504-S,35-19821-S,35-35109-S,60-32488-B
enough blood flowing to float pestles 成语 saw	56-26513-B
enough books to make a pack ox sweat or to fill a house to the rafters 成语 saw	36-56606-S
enough food and warm clothes	39-23292-S
enough for reading aloud	1-47086-S
enough land to stand an awl 成语 saw	59-35994-S,59-36120-S
enough meat	42-9744-S
enough resources to cover a need	13-14058-S,62-27973-S
enough room to put sth	29-48594-S
enough time to do sth	5-16975-S
enough to	9-66297-S
enough to get by	30-18740-S
enough to go around	42-9744-S,48-51328-S
enough to take responsibility for it	30-6343-S
enough 成语 saw	25-42681-S,62-47207-S
enping city in guangdong	25-1986-S
enquire	50-18314-S,57-62924-S,57-62985-S,59-60900-S
enrage people and make matters worse	40-19642-S,40-19806-S
enrage sb	25-24656-S
enraged	25-62494-B,25-62688-B,36-24927-S,43-22119-S
enraptured	24-39572-B
enrich	5-16232-B,6-64930-B,39-2849-B,40-7651-S
enrich oneself dishonestly	69-8034-S
enrich the blood	56-59324-B
enriched uranium	4-68458-S,40-7547-B,40-7709-B
enriched uranium heu	70-17677-S
enrichment	2-19516-S,64-22560-S
enroll	64-42406-S
enroll new students	27-42792-S
ensemble	1-43607-S,12-32837-S,14-53753-S,66-57127-B
ensemble of several instruments e g duet 二重奏 or trio 三重奏	63-57487-S
enserf	23-60500-S
enshi county in southwest hubei	25-2784-B
enshi district district in hubei	25-2613-S
enshi prefecture level city in hubei	25-2704-B
enshi prefecture level city in southwest hubei	25-2364-B
enshi tujia and miao autonomous prefecture in hubei	25-2443-B
enshrine and worship	5-22179-S
ensign	31-3044-B,31-3088-B
ensign of royalty	42-58381-B
enslave	18-23070-S
ensue	28-27616-S
ensure	5-39379-S,5-40874-S,46-33073-B,46-33291-S,54-49558-B
ensure public security	5-35702-S
ensure safety for workers engaged in production	5-35702-S
ensure success	64-38112-S
entail strenuous effort	12-26780-B
entailment	55-42523-B
entangle	49-1680-S,50-45888-S
entangle sb	42-310-S
entangled	51-15230-B
entangled in sth	49-2198-B
entanglement	49-2258-B
entechinus major kind of snake	51-19287-B
entente	10-64939-B
entente i e western powers allied to china in ww1	10-65017-B
enter	7-23713-S,28-25867-S,62-28385-S,62-28956-S
enter a building	46-64441-S
enter a case in the records	6-28944-B
enter a country	7-24386-B
enter a door	7-25930-S,62-32892-B
enter a hole	65-8433-S
enter a school or college	7-24504-S
enter a village	7-25850-S
enter by exploiting a weak spot 成语 saw	3-14163-S
enter by the back door	60-11548-S
enter college after a competitive exam	51-32358-S
enter computer key	14-57839-B
enter data	61-6989-S
enter heaven	1-55637-S
enter hell	60-15602-S
enter hospital	7-26020-S
enter nirvana buddh 	7-25076-S
enter one s name	16-9326-B
enter oneself for an examination	16-11997-B
enter school	7-24611-S
enter the army	7-23964-B
enter the capital	62-28637-S
enter the hall of heaven	62-28547-S
enter the next grade school	10-53030-S
enter the way	7-25719-S
enter the world i e to be born	8-33872-S
entering and leaving a country	62-29078-B
entering characters by numbered strokes	3-52529-S
entering one s coffin	21-9998-B
entering or leaving by sea	38-22974-S
entering the second month	23-51343-S
entering the tiger s lair	1-70353-S
entering the way	62-32747-B,62-32820-B
entering tone classical chinese	7-23713-B
entering tone the fourth tone of classical chinese	7-25508-B
enteritis	24-58795-S,52-44380-B
enterobiasis	56-18675-B
enterotoxin	54-58573-S
enterotoxins	52-44323-B
enterovirus	4-51044-S,52-44425-B
enterprise	2-69316-S,4-46417-B,7-55447-S,7-55447-S,9-156-S,13-59301-B,19-43030-S,20-13782-S,28-22465-S,28-59691-S
enterprise for a share of the profits	27-19744-S
enterprise in capitalist theory	53-10323-S
enterprise through painstaking efforts	53-67441-S
enterprises	51-63465-S
enters	8-8410-S
enters the sea 成语 saw	37-43366-S
entertain	6-55303-B,27-41664-S,35-24423-B,63-42990-B
entertain a customer of prostitute	61-45934-S
entertain a proposal	1-75081-S
entertain guests	58-42762-B
entertain illusions	24-33353-S
entertainer	36-59828-S,55-32493-S,60-12289-S
entertainers to tour	60-13355-S
entertaining	62-3500-B
entertainment	18-50586-B,42-37776-S,42-40459-S,62-37828-B
entertainment at folk festival	67-4693-B
entertainment center	18-50631-B
entertainment group	30-38930-S
entertainment lion dance	46-50017-S
entertainment prc computer game company	45-4622-S
enthalpy	40-44610-B,41-17882-B,41-20895-B
enthalpy thermodynamics	53-11296-S,68-51240-S
enthralled	7-25357-S,63-46655-B
enthusiasm	9-64754-B,25-40522-S,25-42321-S,27-34505-S,34-49355-S,39-40439-S,39-56712-S,40-4840-B,41-19055-B,47-39739-B,48-55736-S
enthusiasm for doing sth	22-52219-B
enthusiasm for english	54-4475-B
enthusiasm of the new convert	41-20682-B
enthusiast	23-59762-S,24-44570-S,61-53365-B
enthusiast for sb or sth	48-47599-B
enthusiastic	37-58882-B,41-19055-B,41-19148-B,41-19200-B
enthusiastic praise	45-5789-B
enthusiastically	37-59085-S,60-16118-B,60-48555-B,65-8812-S
enthusiastically promote	71-47943-S
enthusiasts	7-64377-S
entice	13-64010-B,14-33913-B,27-23277-S,27-43566-S,27-64379-S,27-66321-S,58-23861-S,58-24226-S,64-24495-S
entice with a bait	13-63957-B
entire	1-109-B,7-33465-B,7-38792-B,7-41308-B,7-42284-B,7-42947-B,19-36468-B,30-14635-B,30-14808-B,50-36491-B,62-14848-B,65-51942-B
entire country	7-34878-B,55-10553-S
entire family	7-36172-S
entire household	12-32943-B
entire journey	7-40567-S
entire life	43-20121-S
entire lot	4-59538-S
entire population of a country	7-38311-B
entire project as a whole	49-52817-S
entire set	7-36061-S,30-15035-B
entire sincerity	28-30682-S
entire sky	23-50971-S
entire sum	7-36830-S
entire text	7-36896-B
entire world	7-33533-B
entire year	49-35454-B
entirely	5-50598-B,19-36682-B,22-56182-S,35-64301-B,50-49924-B
entirely appropriate chastisement	50-51879-B
entirely different	35-61483-B
entirely due to each	63-26633-B
entirely free from worry	53-31131-B
entirely on sth	7-34145-S
entirely unacquainted	49-24916-B
entities in general	46-62409-S
entitle	32-39637-B
entitlement	40-55548-S
entity	20-16323-B,46-55687-S
entomology	31-19554-B
entrance	7-24192-B,17-37979-B,35-39586-S,65-23566-S
entrance and exit	8-35281-B
entrance and exit door	8-35559-B
entrance door	7-25930-B
entrance door for apartment	65-62598-B
entrance exam	49-51333-S,51-32237-S,51-32358-S,51-32766-S,70-20503-S
entrance examination	51-63000-B
entrance exams	51-33807-S
entrance hall	42-28502-B,65-22188-B
entrance number	14-17228-B
entrance to mine	3-56272-B
entranced	7-25357-S,8-43306-B,24-68279-B
entrap	58-29886-S
entreat	13-32164-B,25-58372-B
entreaty	25-58372-B
entrench oneself	45-12041-S
entrench oneself at every step	35-42696-S
entrenched	29-23893-B
entrepreneur	4-46570-B
entries	44-25037-S
entropy	41-23047-B
entrust	3-68604-B,5-45005-S,18-41801-B,20-1024-S,26-51411-B,57-65349-S
entrust a ask to sb else	14-44882-S
entrust a task	59-59451-S
entrust the care of sb	20-2734-S
entrust to	4-27391-S,5-16361-S
entrusted	11-64487-B
entrusted with	57-65349-S
entrusted with authority	11-62145-B
entrusted with responsibilities	11-59582-B,28-12015-B
entry	7-24305-S,28-37458-S,34-14675-S,46-20746-S,58-10260-S,58-10368-S,59-61805-S,59-62051-S,68-18068-S
entry e g into a bank passbook	56-57798-S
entry in online dictionary	50-21787-S
entry machine	56-57872-S
entry visa	7-24435-B
entwined	45-11171-B,56-17392-B
enumerate	8-67522-B,53-26363-S
enumerated by the earthly branches 地支	31-39520-S
enunciated by jiang zemin 江澤民 江泽民 as the duty of the chinese communist party in 2001	1-30647-S
enunciation	11-70754-B,12-60100-B,44-33124-B,56-46635-B
envelop	10-15469-B,48-44415-B
envelope	5-43739-B,8-47758-B,16-48587-B,41-34095-S
envelope for a padded coverlet	56-51570-B
envelope of a flower	53-60652-S
envelope or coat of fungi	10-17962-S
enveloped in the flames of war	42-10399-B
enviable	59-13621-B
envigorate	27-3832-S
envious	18-56644-B,45-49837-B,45-51244-B,51-12289-B
enviromentalism	5-37946-B
environment	5-7504-S,9-37553-S,13-11289-B,19-52306-S,20-13610-S,24-7256-S,29-20687-S,32-62358-S,35-37754-S,36-39715-S,40-56451-S,40-66445-S,43-4994-B,46-14793-S,46-49404-S,47-57091-S,50-7894-S,50-9741-S,51-62607-S,55-52129-S,62-40903-S,65-63607-S
environment computer	65-39561-S
environment computing	8-49694-S
environment program unep	51-59192-S
environment protection office	43-4612-B
environment with no oxygen	40-55802-S
environmental	68-54242-S
environmental activist	43-4734-S
environmental impact assessment eia	43-5149-B,43-7148-B
environmental indicator	10-23343-S
environmental pollution	43-5290-B
environmental protection	43-4553-B,43-4612-S,43-4734-S,43-5068-B
environmental protection administration sepa	2-55635-S,2-55782-S
environmental protection agency	15-6136-S
environmental think tank	7-39469-S
environs	15-54028-B
envisage	58-1937-S
envision	68-30163-S
envolopes	20-32552-S
envoy	5-15061-S,5-15293-B,17-5524-S,41-55819-S
envoy charge with promoting agriculture in han dynasty	10-11692-B
envoy of a foreign country to an interview	12-10157-S
envy	18-58496-B,24-42295-B,44-6842-B,45-51244-S,45-52440-S,51-12258-S,51-12289-B
envy etc	24-42347-S
envy of others	26-1115-S
enzyme	2-74867-S,26-66535-S,38-29607-S,51-26010-S,51-53969-S,61-25365-S,61-25447-S,63-44225-B,66-18484-S,71-23959-S
enzyme used as antibiotic	4-4908-S
eocene geological epoch from 55m 34m years ago	18-38499-B
eocene system geol	18-38592-B
eog	45-52293-S
eolian	68-54776-B
eon	4-30112-S
eon 2500 645m	6-61413-S
eon before 2500m years ago	17-56809-S
eon lasting since the cambrian 武紀 寒武纪	68-51473-S
eosinophil type of white blood cell	14-24687-B
ephedra	71-16440-B
ephemera strigata	56-7598-B
ephemeral	1-5743-B,45-59498-B,60-50129-B,67-47214-B
ephesians	4-37144-S
ephesis	4-37094-B
ephraim city	4-37946-B
epic	12-22719-S,12-22772-B,50-58338-S,58-14488-S
epic about the foundation of rome	4-48554-S,15-59247-S
epic compared with historical epic	58-14488-S
epic period of struggle and sacrifice	56-24227-B
epicanthal fold of upper eyelid characteristic of asian people	63-63146-B,63-63270-B
epicenter	15-45700-S,67-39910-S
epicenter of earthquake	67-40388-B
epidemic	38-5935-B,44-5843-B,44-17954-B,44-18003-B,65-62518-S
epidemic area	44-5880-B
epidemic disease	38-6068-B
epidemic encephalitis	38-5458-B
epidemic encephalitis b	3-15642-B,3-16784-B
epidemic following floods	35-21214-S
epidemic prevention	56-38521-B
epidemic situation	44-5925-B
epidemicity	6-37050-B
epidemiology	6-37275-B,38-6131-B
epidermal sebaceous glands	44-66062-B
epidermis	56-45727-B
epilation	27-33376-B
epilepsy	44-20609-B,44-22694-B,51-1025-B,51-1112-B,69-62557-B
epilog	21-15531-B
epilogue	24-1543-S
epimedium	38-46320-B
epinephelinae or grouper 石斑魚 石斑鱼	70-42680-S
epinephelinae subfamily of serranidae	46-6370-B
epinephelus septemfasciatus	1-27690-B,70-42595-B
epiphyllum	32-1611-S
epirus	65-67013-S,65-67078-S
episode	28-43680-B,60-52537-S,66-56500-S
episode in the fictional romance of three kingdoms 三國演義 三国演义 in which liu bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
episode of tv series etc	50-44786-S
epistemology	45-64664-B
epistemology in philosophy	58-21988-B
epistle in the bible	32-9831-S
epistle of peter in new testament	23-60905-S,23-61084-S
epistle of st james in new testament	66-54749-B
epistle of st john	49-6724-S,49-6803-S,49-6883-S,49-7064-S,49-7183-S,49-7550-S
epistle of st jude in new testament	42-14211-B
epistle of st paul to philemon	52-38132-B
epistle of st paul to the colossians	35-26226-B
epistle of st paul to the corinthians	13-43491-S,13-43601-S
epistle of st paul to the ephesians	4-37144-B
epistle of st paul to the galatians	9-55894-B
epistle of st paul to the hebrews	22-19750-B
epistle of st paul to the philipians	30-32351-B,52-38459-B
epistle of st paul to the romans	50-63533-B
epistle of st paul to the thessalonians	22-24176-S,22-24309-S
epistle of st paul to timothy	28-39599-S,28-39700-S
epistle of st paul to titus	28-38501-B
epitaph	16-25747-B
epithelium	1-54401-B
epithet of sichuan	17-46858-S,17-46929-S
epitome of	34-52730-S
epitome of pseudo apollodorus	32-10848-S
epitome of sth	50-27939-S
epitomize	34-52730-S
epitope	27-4217-B,36-65704-B
epitope immunology	66-46409-S
epo	49-13140-S
epoch	8-18028-S,22-50514-B,31-39189-B
epoch from 24m 5m years ago	2-72538-S
epoch from 2m years ago	32-8103-S
epoch from 34m 24m years ago	39-55385-S
epoch from 55m 34m years ago	18-38499-S
epoch from 5m 2m years ago	1-49767-S
epoch from 65m 55m years ago	12-2632-S
epoch geol period in early triassic	11-20009-S
epoch marking	9-39666-B
epoch metaphor	32-2161-S
epoch times	17-30441-B,17-30496-B
epops	26-23332-S
epoxy resin	43-5994-S
eprom	12-14004-B
epsilon greek letter εε	4-49592-B,53-47441-B
epsilon ursae majoris in the big dipper	42-32202-B
epsom salts	40-13163-B
equal	2-23806-S,5-21559-B,8-52550-S,12-48718-B,15-47243-B,15-48169-B,15-48470-B,15-52154-S,22-37104-B,22-43779-B,40-47106-S,43-64373-B,45-30252-B,48-18767-S
equal attention to	2-47998-S
equal difference	48-18293-B
equal field system of wei of the northern dynasties 北魏 and tang 唐 dynasties	15-48042-B
equal harshness 成语 saw	64-19426-S
equal legal status legal	22-43829-B
equal of heaven	71-53537-S
equal parts	10-45083-S,48-17795-S
equal pay for equal work	12-46701-B
equal pressure	48-18150-B,48-18216-S
equal pressure gradient	48-19315-S
equal rank	13-28185-S
equal status	20-54161-B
equal stress on	2-47998-S
equal temperament	10-42878-B
equal temperature	48-18979-B
equal terms	45-28990-S
equal terms often with negatives you can t mention x at the same time as y	12-48043-S
equal to	1-12502-B,2-3996-S,12-50536-B,48-17202-B,48-17950-B
equal to 0 093 square meters	22-41594-S
equal to 0 1 yuan	57-44040-S
equal to 0 3048 m 	54-2986-S
equal to 0 5 kg	30-37511-S
equal to 0 914 m 	46-34237-S
equal to 1 6 x 10 10 joules	12-42013-S
equal to 1 6 x 10 13 joules	7-1130-S
equal to 1 609 km 	54-4691-S
equal to 10 丈 zhang1	23-27332-S
equal to 100 mu 畝 亩 or 6 6667 hectacres	68-21088-S
equal to 12 斗 and 8 升	45-1642-S
equal to 2 54 cm 	54-2912-S
equal to a task	10-3774-B
equal to five dou 五斗 before tang	30-35771-S
equal to one fifteenth of a hectare	43-53921-S
equal to one tenth dou 斗	10-52837-S
equal to one tenth of sheng 升 or liter	12-31102-S
equal to one thirtieth km or 33 33 meters	22-12856-S
equal to ten dou 斗	46-3657-S
equal to ten sheng 升 or one tenth dan 石	30-33642-S
equal to the capital	20-51246-S
equal to ≠	2-23746-S
equal treatment	20-54161-B
equal treatment for everyone in same institution	17-37662-S
equal value	48-17746-S
equal work	12-46701-S
equality	22-43779-B,48-18538-S
equality between the sexes	7-45054-B
equalize	15-48224-S
equally	12-50619-S,15-47392-S,15-47723-S,22-37667-S,43-64373-S,45-30252-B
equally favourably 成语 saw	1-20498-S
equally matched	1-71728-B,2-20113-B
equally true for all the rest	54-24159-B
equals	27-6453-S
equanimity	19-22883-S,19-22883-S
equanimity in the face of death	52-58825-B
equate	48-17950-S
equation	1-12835-S,2-5286-S,3-37102-S,3-43605-S,4-31756-S,4-31756-S,8-48753-S,10-22440-S,16-65325-S,30-63629-S,30-63687-B,36-54609-S,48-18538-S,55-22336-S,57-51814-S,63-38201-S,63-38326-S
equation expressing a relation	65-54098-B
equation in math 	70-16855-S
equation math 	1-12907-S,1-36210-S,21-64099-S,24-18264-S,47-38278-S,47-38797-S,50-16761-S
equation ode	22-31160-S
equation of a chemical reaction	11-48737-B
equation pde	6-12048-S
equations	16-65424-S,30-63743-S,30-63743-S,38-29037-S
equations of motion	62-39184-B
equator of the earth or astronomical body	60-7089-B
equatorial constellations or signs of the zodiac in western astronomy and astrology	10-42739-S,71-23658-S
equatorial counter current	11-54620-B,60-7248-B
equatorial guinea	60-7166-B,69-38157-S
equestrian	69-52401-B
equestrian archery	69-52330-B
equestrianism	69-41847-B,69-52691-B
equidae	69-40609-B
equilateral triangle	48-19416-B
equilibrium	2-22935-S,15-48470-B,22-44782-B,22-44837-S,67-61625-S
equilibrium of forces	15-47452-B
equilibrium of opposite forces in phys 	20-52366-S
equine encephalitis eee virus	33-19366-S
equine encephalitis vee virus	18-40977-S
equine encephalitis wee virus	57-18187-S
equinox	3-32797-S,31-32939-S,31-32999-S,31-46140-S,47-14316-S,47-14374-S
equinox and solstice	8-57572-S
equinoxes	3-32915-S,14-56572-S,35-50574-S,55-54847-S
equip	6-28129-S,30-16223-S
equipartition	48-17795-B
equipment	2-82209-S,3-46558-S,5-52905-S,6-41211-S,6-54452-S,8-4561-B,8-64377-S,14-35188-B,14-35239-S,21-60253-S,30-70676-S,32-70285-S,34-1309-S,34-1417-S,35-48593-B,38-13773-S,38-31952-S,39-4532-S,40-12182-S,43-27322-S,43-27322-S,43-35550-S,50-1124-S,50-8487-S,56-38316-S,56-60732-B,57-441-B,58-1652-B,63-50263-S,64-6246-S,67-37246-S,68-16362-S
equipment improved enormously	70-49821-B
equipoise	33-55335-S
equipped	7-34037-S
equipped with	8-4727-B
equitable	7-59531-B,7-60865-B,7-65178-B
equity	20-54161-B
equity fund	47-12131-S
equity ratio	52-10166-B
equity shares	52-10287-B
equivalent	9-44627-S,12-48718-B,34-16298-S,38-24745-S,38-24841-S,38-24939-S,38-25086-S,45-30252-B,49-6273-S
equivalent banners and drums 成语 saw	31-4042-S
equivalent dose	43-68141-B
equivalent expression	61-48686-S
equivalent for 抢 qiang1	26-15493-S
equivalent man	43-23244-S
equivalent megatonnage emt	48-18645-B
equivalent of hades or hell	71-20840-S
equivalent of the foreign office	50-34041-S
equivalent to	45-29958-B
equivalent to 0 33 cm	8-48969-S
equivalent to 16 斗 dou3 or 160 liter	30-37107-S
equivalent to one sixtieth of a degree	47-21774-S
equivalent to prefecture	13-17207-S
equivalent to punctuating sentence with you see	65-65575-S
equivalent to the c grade	2-44733-S
equivalent to 两个	5-51743-S
equivalent to 了	14-29364-S
equivalent to 吧	14-291-S
equivalent to 啊 after a vowel	13-7104-S
equivalent to 啊 after noun ending in n	13-44920-S
equivalent to 的 as possessive particle	22-59909-B
equivalent to 秀才	54-6159-B
equivocal	16-62435-B
equivocal speech	66-49033-B
equivocality	16-62522-B,16-62674-B
equivocate	12-68373-B,27-30867-S,34-58955-S,61-23153-S
equuleus constellation	21-2524-B
equus przewalskii wild horse of central asia first identified in 1881 by nikolai mikhailovich przevalski 普爾熱瓦爾斯基 普尔热瓦尔斯基	31-49349-S
er	7-32580-S,16-17852-S,51-35704-S
er 1912 1935	51-67923-S
er city in inner mongolia	38-19832-S
er county in yunnan	20-18553-S,20-18885-S
er hani and yi autonomous county in yunnan	20-18721-S,31-49756-S
er hani and yi autonomous county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	20-18553-S,20-18885-S,31-49569-S,31-49923-S
er place in inner mongolia	13-23395-S
er place in tibet	14-38467-S
er place in xinjiang	12-40565-S
er prefecture level city in yunnan	31-49569-S,31-49923-S
er qi place in inner mongolia	39-16979-S
er region of yunnan	31-50121-S
er tea from the pu er region of yunnan	31-50121-S
er than	36-8397-S
er youyi houqi place in inner mongolia	20-10633-S
er youyi zhongqi place in inner mongolia	20-10494-S
er68	64-25081-S
era	1-707-B,2-37414-B,2-37725-S,4-30112-S,7-55096-S,17-15559-S,17-58358-S,19-11485-S,22-47102-B,31-17174-B,31-39189-B,31-39461-B,32-2248-S,42-48858-S,43-65728-S,49-2425-B,49-2573-S,49-2698-S,57-12925-S,57-13023-S
era 1735 1820	3-24073-S
era 250 65m years ago	2-76192-S
era 2500 540m years ago	6-61320-S
era 545 250m years ago	12-4052-S
era 978	17-58258-S
era bc	7-55155-S,49-2626-S
era before 2500m years ago	17-56714-S
era covering the last 65m years	30-52136-S
era since the extinction of the dinosaurs at the cretaceous tertiary boundary 65 million years ago	48-10262-S
eradicate	9-31199-S,9-31478-S,9-38287-S,12-26030-S,14-14021-S,27-66858-S,28-47232-B,29-16612-S,33-64725-S,54-8874-S
eradicate evil completely 成语 saw	66-22063-S
eradicate traitors	58-18926-S
eradicated	49-47723-S
erasable	12-13953-B
erasable programmable read only memory	12-14004-B
erase	27-15528-S,27-15714-S,27-15798-S,29-25752-S,29-26135-S,46-39798-S,67-11409-S
eraser	33-29870-S,33-29920-S,35-6301-S,35-6352-B,35-6403-B
erbium er68	64-25081-B
erdao district of changchun city 長春市 长春市	3-42795-B,3-42880-B
erdaojiang district of tonghua city 通化市	3-42975-B,3-43066-B
erdogan name	15-59409-B
erdoğan 1954 	15-59409-S
erechteum	4-50848-S
erect	9-27342-B,19-32548-B,28-256-S,29-37208-S,45-23018-B,59-18937-S,70-20661-B
erection	9-65919-S,9-65919-B
erectus	12-175-S,45-23064-S
erfurt german city	15-59801-B
ergai place in sichuan	53-66573-S
ergrave	65-1397-B
ergu na youqi place in inner mongolia	68-43759-S
