to make friends again	63-55960-B
to orally	6-38397-S
to orbit	45-11086-B,50-40656-B
to orbit the earth	50-40777-B
to order	8-49291-S,9-67182-B,12-9012-B,12-67172-B,13-26243-B,19-43542-B,19-43676-S,19-43736-S,19-47309-S,57-56606-B,57-57503-S,57-57687-B,59-40430-B,61-51942-B,69-5145-B
to order by force	23-42477-B
to order dishes in a restaurant	71-41803-B
to order food in a restaurant	71-37621-B
to order goods	19-47949-B,19-48030-B,57-57620-B
to order people about	29-15460-B
to order the arrest of sb as criminal	62-12105-B
to order the return of stolen goods	61-60272-B
to ordinary name of a buddhist or daoist monk or nun	37-34260-S
to ore ratio	9-29084-S
to organization	26-27829-S
to organize	49-37683-B,49-38511-B
to originate	44-30726-B,44-34428-B,60-17254-B
to oscillate	28-54220-B
to ossify	46-25169-B,69-65268-B
to other religion	44-62756-S
to other s feelings	25-15960-S,69-47308-S
to other tasks of troops	24-16668-S
to others	2-17902-S,8-43223-S,18-10683-S,28-29735-S,35-66143-S,36-1329-S,36-1517-S,36-1880-S,53-5973-S,54-54120-S
to others harm	62-23328-S
to our main topic	58-15897-S,58-16195-S
to outclass	62-63116-B
to outdo others	57-25715-S
to outfit with	63-37383-B
to outflank	61-43169-B
to outflank and attack from the rear	26-64201-B
to outline a story	34-43487-B
to outline in gold	28-36354-B
to output	61-17553-B
to outside matters	7-47401-S
to outsource	18-41403-B
to outstrip	60-24230-B
to outwit the other	41-43222-S
to over compensate	46-2764-B,46-2943-B
to over correct a defect 成语 saw	46-2764-B,46-2943-B
to over praise	62-47304-B
to overbook	60-24727-B
to overcome	4-53149-B,7-14418-B,47-51931-B,60-27739-B
to overcome a deficiency	16-22101-B
to overcome an obstacle quickly	56-40039-B
to overcome hardships etc	7-16897-S
to overcome 成语 saw	47-40461-S
to overdo it	43-59217-B,62-48737-B
to overdose one supplementary medicine	25-23230-B
to overestimate one s capabilities	2-26497-B,56-6180-S
to overfill	29-5606-B
to overflow	36-53308-B,56-35596-B,57-28358-B
to overflow the banks	36-55104-B,37-36174-B
to overflow with riches	6-65434-B
to overflowing	29-25342-S,39-39646-S,39-40006-S
to overhaul	5-48656-B,35-12601-B,51-21065-B
to overheat e g an economy	62-47098-B
to overlap	18-8143-B,57-4892-B
to overlook	24-45251-B,52-55987-B,63-3094-B
to overpower	9-10827-B,26-45462-B
to overpraise	58-58381-B
to overrate one s own abilities	2-26384-B
to overseas powers 成语 saw	21-42451-S
to oversee	45-9726-B,45-56148-B,45-56531-B,57-42788-B
to overspend	60-20780-B
to overstep	60-19872-B
to overstep bounds	8-46045-S
to overstep the limit	60-24297-B,60-26245-B
to overstep the norm	8-37314-B
to overstock	47-38984-B
to overtake	60-28549-B,60-28626-B,60-29167-B,61-60343-B
to overtake another car	60-24114-B
to overthrow	5-60303-B,6-49091-B,9-17339-B,26-48026-B,51-21137-B
to overthrow a former regime	39-26260-B
to overthrow the government	66-25115-S
to overthrow the state	41-11202-S,68-46789-S
to overturn	6-46034-B,6-49091-B,26-48026-B,51-20733-B,51-21137-B,57-28358-B
to overturn a regime	68-46619-S
to overwhelm	9-10827-B
to overwinter	60-26165-B
to owe nothing	2-29454-B
to own	3-3565-B,5-1810-B,26-28688-B
to own up	2-29576-S
to own up to a fault	58-22310-B
to oxygenate	6-65293-B
to pace	60-48487-B
to pace back and forth	23-60349-B
to pacify	19-22698-B,19-29590-B,22-39536-B,47-42261-B,49-57396-B,57-47936-B,57-48069-B,57-62854-B
to pack	10-17276-B,16-6537-B,56-60349-B
to pack and quit	28-8264-B
to pad an expense account	21-60616-S
to pad out writing with fancy phrases	16-6537-S
to paddle	8-64873-B,8-65255-B
to paint	5-8486-B,9-12096-B,37-22928-B,50-41779-B,54-55551-B
to paint a dragon and dot in the eyes 成语 saw	43-59492-B
to pair	18-56876-B
to pair up	28-61199-B,63-37911-B
to palace	65-50907-S
to palm off an imitation	6-6677-B
to pamper	18-61279-B,20-28457-B
to pan fry	41-1428-B
to pander to	42-26064-B
to pander to sb s whims	65-67692-B
to pangu 盤古 盘古 in the chinese creation myth	65-32821-S
to panic and treat everyone as an enemy	54-14773-S
to pant	14-6146-B,14-6481-B,14-6541-B
to paper	1-62090-S,28-49770-S,38-35409-S,54-50469-S,54-55407-S
to par	6-50339-S
to parachute	60-44482-B
to parade	34-53633-B
to pardon	10-14060-B,11-35600-B,13-45846-S,20-24082-B,20-25144-B,20-27720-B,29-22752-B,59-45811-B
to pardon a convict	60-7496-B
to pare	9-2175-B
to pare away	9-16783-B
to parents	24-47348-S
to parents in law	20-62861-S
to park	6-17346-B
to park a car	6-15904-B
to park a plane	6-16414-B
to parley	13-61027-B
to parrot	27-53744-B,66-15374-B,71-2477-B
to parse	8-55184-B
to part	4-41116-B,5-23884-S,8-59455-B,9-63515-S,25-16980-S,26-3884-S
to part forever	36-48934-B,36-52609-B
to part from sb	67-8904-B
to part on bad terms	2-15901-B
to part with	28-6629-S
to part with it	25-32509-S
to part with sth	28-6873-S
to part 成语 saw	5-23996-S,67-11707-S,67-12366-S,67-12493-S
to participate	8-39260-B,11-38996-B
to participate in	9-51435-B
to participate in a meeting	53-22426-B
to participate in sth	11-40088-B
to pass	12-14969-B,49-62340-B,60-19642-B,60-54284-B,62-59643-B,67-13435-S
to pass a barrier	62-48636-B
to pass a test	11-42530-B,62-48636-B
to pass a university entrance exam	51-32237-B
to pass an entrance exam	51-32766-B
to pass an exam	51-32307-B
to pass an exam or the imperial exam	2-70866-B
to pass an imperial examination	11-42774-B
to pass away	1-48200-B,5-5891-B,5-5943-B,11-37536-B,29-58356-B,40-50255-B,57-32105-B,62-16451-B,62-43182-B
to pass away lit	57-30800-B
to pass away of a monk or nun	46-46169-B
to pass away of buddh monks	15-23228-B
to pass by	56-34523-B,60-14233-B,62-43905-B
to pass down to lower level	1-63552-B
to pass entrance exam	51-32358-B
to pass for	38-52859-B
to pass from person to person	6-34782-S
to pass imperial examination	2-79559-B
to pass into eternity i e to die	36-51336-S
to pass off as their own	34-44394-S
to pass off other people s opinions as one s own	27-53744-B
to pass on	6-33187-B,6-33187-B,6-36439-B,26-56691-B,45-26882-B,61-29822-B
to pass on a copy	6-35611-B
to pass on a present	61-28541-B
to pass on a story	6-39697-B
to pass on a task	61-23943-B
to pass on amorous feelings	6-35937-B
to pass on blame	61-22363-B
to pass on errors or lies 成语 saw	58-58538-B
to pass on experience to the next generation	6-35787-B
to pass on feelings	6-36026-B
to pass on for perusal	6-42609-B
to pass on from person to person	61-19845-B
to pass on information	6-39851-B
to pass on one s art	6-39261-B
to pass on one s experience	6-38805-B
to pass on praise	6-42687-B
to pass on scripture	6-38805-B
to pass on stories	61-29445-B
to pass on the light of buddha	6-37664-B
to pass on through the generations	6-35385-B
to pass on to	61-27050-B
to pass on to future generations	6-36224-B
to pass on to orally	6-38397-B
to pass on to sb	61-21012-B
to pass on to sb else	6-42350-B
to pass on to the next generation	28-45850-B
to pass on written message	61-22753-B
to pass one’s days	62-46039-B
to pass sth around for others to look at	6-39396-B
to pass the buck	18-57952-B,28-30146-B,28-30300-B,28-32176-B,61-23943-B
to pass the misfortune on to sb else 成语 saw	18-57952-B
to pass the time	26-46980-B
to pass the winter	60-26165-B
to pass through	24-29335-B,35-51262-B,39-2024-B,47-51931-B,47-52126-B,49-57573-B,50-30803-B,62-244-B,62-14903-B
to pass time	62-42853-B
to pass to the next generation	6-33590-B
to pass water	29-6930-B
to passion	9-69259-S
to paste	59-47947-B
to paste as in cut	48-51019-B
to paste up	9-12096-B
to pat	27-29107-B
to patch	56-56409-B
to patch together	50-27020-B
to patrol	21-50968-B,21-51403-B,21-51958-B
to patrol police	21-52011-B
to patronize	60-3092-B
to pause	26-50373-B
to pause while reading	62-3416-B
to pave the way	64-37005-B
to pave with paving stones	64-38112-B
to pawn	27-16236-B,43-64540-B
to pay	4-26481-B,4-27352-B,8-46336-B,11-60118-B,27-31614-S,29-37401-S,29-37486-S
to pay a call to	45-38679-B
to pay a return visit	14-55486-B
to pay attention	37-43983-B
to pay attention to	42-53278-B,42-56241-B,65-56004-B
to pay back in full	63-10415-B
to pay bride price payment to the bride s family in former times	49-17579-B
to pay close attention to sth	15-34671-B
to pay compensation	58-22228-S
to pay compensations	10-18434-S
to pay first	16-24247-B
to pay homage	50-58126-S
to pay homage to sb	11-39470-B
to pay homage to the deceased	25-55213-B
to pay money	3-66603-B,4-27913-B,29-37354-B
to pay no attention to outside matters	7-47401-B
to pay no heed to the regulations	45-17900-B
to pay off a debt	6-56813-B
to pay one s respect	27-45879-S
to pay one s respects	13-62691-B,58-52103-B
to pay out	3-28724-B,29-37567-B
to pay particular attention to	58-54974-B
to pay paul	27-19042-S,27-19237-S
to pay reparations	59-57714-B
to pay respect	27-44654-B
to pay respect to sovereign	32-48900-S
to pay respects	27-46438-S,27-46673-S
to pay tax etc	49-15595-B
to pay taxes	27-4858-S,27-6542-S,49-17156-B
to pay taxes in kind rice	49-17518-B
to pay taxes or dues	3-71132-B
to pay the bill in a restaurant	15-60818-B
to pay tribute	49-18007-B
to pay up	4-542-B
to pay with one s life	6-56754-B
to peaks	4-69633-S
to peck	13-57446-B
to peddle	7-23168-B,7-23332-B,59-38330-B,59-38619-B
to peddle the idea of	62-38300-B
to peek	47-58389-B
to peel	9-29165-B
to peep	35-14239-B,47-58337-B,65-57695-B
to peep at	47-58389-B
to peer	71-39211-S
to peer into the dark	47-58249-B
to penal servitude	7-0-S
to penalize	50-53370-B,55-50548-B
to penetrate	58-63090-B,62-244-B
to people	44-25971-S,59-43758-S
to people on all sides	50-56464-S
to people s congress	4-11729-S
to people s republic of china 中華人民共和國 中华人民共和国	17-38805-S
to perambulate	39-52772-B
to perceive	57-41106-B
to perceive by smelling	51-56854-B
to percolate	38-27480-B
to perfect one s skill	50-24380-B
to perfect sth that is already outstanding 成语 saw	48-54764-B
to perfection	25-17181-S,50-2996-S
to perfection over centuries	3-9894-S
to perform	21-26473-B,39-45300-B,39-45381-B,39-45913-B,56-30633-B,56-45281-B
to perform a concerto	10-64386-B
to perform a lion dance	51-35491-B
to perform a play	39-45470-B
to perform a task under directives	47-13937-B
to perform acrobatic or choreographed fight	65-35384-B
to perform calculations	39-46325-B
to perform e g on the stage	7-61418-B
to perform music	18-5704-B,39-45771-B
to perform music as ensemble	12-32837-B
to perform or have an operation	65-30283-B
to perform work within a time limit and according to specifications	10-14326-S
to performance of 說書 说书 storytelling	52-635-S
to performmagic	59-8757-B
to perish	3-65726-B,38-31043-B,38-31043-S,38-44887-S,38-45091-B,38-45237-B,39-26327-B,62-36014-B
to perk up	28-45498-B
to permeate	38-27480-B,39-31923-B,39-32628-B,56-10659-B
to permit	6-60480-B,6-60629-B,8-25340-B,8-25409-B,12-10925-B,24-5886-B,58-2744-B,58-3158-B,59-13544-B
to permute	50-52962-B
to perpetrate	56-31513-B
to perpetrate outrages	40-33310-B
to persecute	23-20104-B,27-9690-B
to persevere	16-3542-B,64-50511-B
to persevere in a difficult task	46-39515-S,46-40428-S
to persevere until one reaches one s goal	1-72767-S
to persist	16-3542-B,16-4618-B,27-56760-B
to persist in memory	24-15076-B
to person	4-6378-S,6-34782-S,61-19845-S
to person 成语 saw	14-59228-S
to personalize	4-10838-B,5-53565-B
to personify	29-27081-B
to perspire	8-40783-B
to perspire profusely	36-56328-B
to persuade	10-10382-S,10-10552-B,58-32701-B
to persuade and instruct	10-11106-B
to persuade sb to accept job offer	10-11858-B
to persuade sb to stay	28-914-B
to perturb	29-31305-B
to pervade	24-29335-B,40-16516-B
to pester	23-7032-B,46-39908-B,50-46353-B,52-22482-B,56-23431-B
to pet	29-14020-B
to petition	13-8106-B
to petrify	46-3996-B
to phase out	38-42195-B
to phil or phile	14-24419-S
to philemon	52-38132-S
to phone	53-20152-B
to phone sb up	62-15721-B
to phosphorescence from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-S
to photocopy	57-5082-B
to pick	28-20658-B,28-34920-B,29-5458-B,29-18712-B,62-68067-B,62-69936-B,63-343-B
to pick a quarrel	20-45804-B,26-59003-B,26-59834-B
to pick and choose	27-64911-B
to pick flowers	28-14912-B,28-64125-B
to pick on an easy target	67-22389-B
to pick out	27-32939-B,62-70223-B,63-50-B
to pick the lesser of two evils	20-16690-B
to pick up	14-54657-B,27-53554-B,27-53898-B,28-11790-B,28-34920-B,28-35205-B,28-38015-B,29-17335-B
to pick up bits	27-54589-B
to pick up cress	27-54093-B
to pick up goods	28-42563-B
to pick up lost property	27-54268-B
to pick up money and not hide it 成语 saw	27-54456-B
to pick up other people s snot 成语 saw	27-53621-S
to pick up signal	58-38471-B
to pick up thing with chopsticks or pincers	30-10836-B
to pick up what others say 成语 saw	27-53744-B
to pick up with tweezers	65-8085-B
to pickle	52-36358-B,63-45958-B,63-46120-B
to piece together	27-40665-B
to pieces	28-35759-S,29-19908-S,46-18847-S,56-28506-S
to pieces 成语 saw	52-9457-S
to pierce	9-12935-B,26-21857-B,29-18952-B,62-244-B,64-21180-B
to pierce esp north south or top to bottom	50-30803-B
to pierce through	9-13806-B
to pig out	52-20869-B
to pile up	16-6111-B,16-6254-B,63-61376-B
to pile up bricks	16-6537-S
to pilfer	6-22280-B
to pillage	28-20242-B,29-37071-B
to pin	9-2905-B
to pin down enemy troops	41-63061-B
to pinch	28-14912-B,29-28415-B,64-23491-B
to pinch off	17-70697-B
to pinch with one s fingers	28-3101-B
to pioneer	27-66550-B
to pioneer a frontier area	65-39057-B
to pirated	45-43151-S
to piss	29-6930-B
to piss in one s pants in terror 成语 saw	21-17653-B
to pitch camp	49-30435-B
to pity	13-31236-B,25-54663-B,25-57062-B,26-41240-S
to placate	19-29590-B
to place	11-30133-B,29-28525-B,29-48426-B,38-7236-S,50-52625-B
to place a jinx	56-22405-B
to place an order	19-48030-B,57-57620-B,68-30412-B
to place an order for materials	19-47949-B
to place great hope or expectation on sth	20-1235-B
to place hope etc on	20-2734-B
to place hopes on	20-2115-B
to place importance	20-1144-B
to place in between	17-69457-B
to place in hong kong	30-31377-S
to place in safe keeping	20-3172-B
to place on a par with	45-28990-B
to place on file	35-54643-B
to place oneself	50-53311-B
to place righteousness before family 成语 saw	17-31103-B
to place side by side for comparison as parallel texts	20-52613-B
to plagiarize	5-6634-B,9-38520-B,26-63885-B,26-64430-B,27-53621-S
to plait	50-20773-B,61-37076-B
to plan	4-46276-B,15-25269-B,19-29284-B,26-47888-B,42-15195-B,48-22085-B,48-42202-B,48-43197-B,57-32258-B,57-58063-B,57-58148-B,57-60526-B,58-2309-B,58-50147-B,62-40983-B
to plan a project	4-46203-B
to plan a shoot	48-42732-B
to plan an entire project as a whole	49-52817-B
to plan an investment	48-43053-B
to plan and consider	58-50749-B
to plan and prepare	48-42391-B,48-42950-B
to plan in advance 成语 saw	52-24832-B
to plan matters	58-50189-B
to plan or planning	38-34943-B
to plan sth in advance esp a crime	68-30581-B
to plan to seize power of the whole country	13-63360-S,13-63511-S
to plane	9-4854-B,64-23160-B,65-7278-B
to plant	34-519-B,34-677-B,34-733-B,34-25237-B,47-31993-B,54-61402-B
to plant early	31-13768-B
to plant false evidence against sb	58-29886-B
to plant trees	34-25312-B,47-33418-B
to plaster	15-37237-B,16-6916-B,16-15864-B,16-18621-B,16-23180-B,27-15606-B,33-114-B,64-35704-B
to plate	64-35102-B,64-49919-B
to play	12-29426-S,18-60489-B,29-20338-B,39-45300-B,42-37776-B,42-38272-B,68-31193-B
to play a card	26-46243-B
to play a drum	26-50869-B
to play a joke	65-38863-B
to play a joke on sb	70-29692-B
to play a leading role	27-64562-B
to play a musical instrument	39-45771-B
to play a part	69-9296-B
to play a role	5-8176-B,56-60349-B
to play a role in opera	69-8964-B
to play a small role	60-36708-B
to play a stringed musical instrument with fingers	23-46939-B
to play a tune	18-5704-B
to play a wind instrument	13-4943-B
to play antics	29-26797-B
to play around	42-39722-B
to play around with	45-11012-B
to play at make believe	23-23495-B
to play at politics	42-39642-B
to play badminton	26-50771-B
to play by the book	41-9730-B
to play chess	1-60552-B,54-54777-B
to play crazy	27-11145-B
to play dead	6-8709-B
to play deaf mute	57-568-B
to play games	70-29692-B
to play games such as chinese chess	11-7421-B
to play go	20-49554-B
to play golf	26-50550-B,26-50615-B
to play mahjong or cards	26-46592-B
to play musical instrument	23-47848-B
to play of children	42-40459-B
to play of music for stringed instrument	67-12029-S
to play one s part	32-61493-B
to play one s trump card	29-7067-B
to play or strum a lute or other stringed instrument	23-49266-B
to play second fiddle	43-14265-B
to play string instruments	27-20397-B
to play stupid	59-58482-B
to play the fool	62-3760-B
to play the fool 成语 saw	57-254-B
to play the lute to a cow 成语 saw	20-52736-B
to play the market	5-57158-B
to play the same old tune 成语 saw	51-30611-B
to play the xiao 箫 mouth organ	13-6199-B
to play the yu 竽 mouth organ to make up numbers 成语 saw	40-10384-S
to play tricks	28-55698-B,42-38816-B,42-39642-B,42-40628-B
to play tricks in secret	28-57620-B
to play tricks on sb	42-38537-B
to play truant	32-3476-B,61-64753-B
to play wind instruments	13-5483-B
to play with	23-23323-B,42-39130-B,51-35349-B
to play with a ball	26-46926-B
to play with evil and suffer the consequences	42-39839-S
to play with fire	42-39788-B
to play with fire and get burnt 成语 saw	42-39839-B
to play with others and offend morals	42-38061-B
to plead	17-63500-B,17-63567-B,17-63638-B,61-38747-B
to plead for sb else	58-31878-B
to plead guilty	4-54312-B,32-43947-B,58-21426-B
to plead in law court	48-21489-B
to plead not guilty	2-15507-B
to please	11-58278-S,18-60261-B
to please the crowds	14-31413-S
to pledge	5-8932-B,5-39379-B,19-55166-B,27-26092-S,44-34226-B,45-62887-B,58-23007-B
to pledge one s life	58-23356-B
to pledge undying love	21-31808-S
to pledge undying love 成语 saw	38-24136-B,45-7227-B
to plot	12-51690-B,45-11783-B,48-22085-B,58-50256-B,58-51272-B
to plot a rebellion	58-50307-B
to plot against sb s life	58-50668-B
to plot and kill sb for his property 成语 saw	58-51814-B
to plot together	12-37661-B
to plough	46-16853-B
to plow	42-1172-B,51-22631-B,51-37719-B,51-38911-B
to plow a field in the spring	31-35286-B
to plow land	51-37800-B
to plow loosen the soil	70-25832-B
to plow the first furrow	65-38789-B
to pluck	27-32939-B,27-33142-B,27-33376-B,28-20658-B,28-64233-B,29-5458-B
to pluck a string	23-46939-B,23-48825-B
to pluck out	65-8085-B
to plug	28-44151-B
to plug in an electronic device	28-44084-B
to plug one s ears while stealing a bell 成语 saw	28-33509-B
to plunder	9-8684-B,9-62410-B,28-20179-B,28-20242-B,28-20305-B,29-37004-B,29-37071-B,30-37478-B,39-42533-B,43-55644-B
to plunder the land and extort from the peasant	11-26321-B
to plunge with spear	64-58564-B
to point	27-56927-B
to point against	64-18702-B
to point out	27-57486-B,27-59429-B,27-60595-B,28-40963-B,71-39916-B
to point out bluntly	71-41423-B
to point out mistakes or weak points for correction	27-60134-B
to poison	56-22172-B,56-22309-B,63-41293-B
to poison people s minds	36-7248-B
to poison sb	70-53455-B
to poison sb s mind	71-15775-S
to poke	26-21857-B,29-11465-B,29-11950-B,33-26767-B
to poke fun at	58-38850-B
to pole a boat	29-5606-B
to police	13-8976-S
to polish	27-27299-B,29-25752-B,29-25888-B,46-36885-B,46-38434-B
to polish a phrase	41-539-B
to polish a text	30-31813-B
to polish by grinding	46-13654-B
to polish horn	57-54179-B
to polish jade	42-58033-B
to polish jade or gold	42-58506-B
to polish verse	12-65835-B
to poll	61-16723-B
to pollinate	6-38337-B
to pollute often fig 	37-26026-B
to ponder	8-15558-B,21-58646-B,24-54511-B,38-49884-B,42-40348-B
to ponder a plan	48-43197-B
to ponder a solution	48-42651-B
to ponder over	24-55947-B
to ponder over reasons and connection	24-54266-B
to ponder subtleties	42-38931-B
to pool wisdom for mutual benefit	66-57782-B
to poor lung capacity	36-27173-S
to poorer relative	13-13292-S,59-56571-S
to popular hero in robin hood style	49-65235-S,49-65357-S
to popularize	28-30547-B
to populist and romantic writing around 1900	70-54425-S
to portray	9-14916-B,28-35975-B,28-36042-B,28-36251-B
to portray in sculpture or in words	16-15619-B
to pose as sb	6-6440-B
to pose for a photo	12-35578-B
to pose under a false name	8-10853-B
to possess	5-1810-B,8-4727-B,26-28688-B,29-17799-B
to post	63-26379-B,64-53683-B
to post a notice	23-41836-B
to post on a noticeboard or website	44-34328-B
to post on a website	28-37216-B
to posterity	7-3935-S
to postpone	21-22023-B,23-16944-B,23-17884-B,23-18112-B,23-18623-B,27-35886-B,28-32752-B,31-65241-B,50-22340-B,68-23686-B
to postpone a meeting	23-17829-B
to postpone work	43-49603-B
to pot	1-60832-S
to pounce	29-16242-B
to pound	28-8541-B,29-25683-B
to pound grain	53-21450-B
to pour	1-61245-B,5-55092-B,6-46239-B,36-54929-B
to pour cold water on	39-56712-S
to pour down in torrents	6-48284-B
to pour down of rain	1-61245-B
to pour forth one s opinions	12-61281-B
to pour into	37-43983-B,40-17708-B
to pour oil on the fire	40-19806-B
to pour one s heart out	6-46755-B
to pour out	6-46034-B
to pour out emotions	6-46553-B,6-46755-B
to pour out lies	39-36234-B
to pour out obscenities	39-36308-B
to pour out one s grievances	5-60392-B
to pour out one s hear 成语 saw	6-47818-B
to pour out one s heart	6-46675-B
to pour wine	63-36936-B
to pour wine or liquor	30-37297-B
to power and position	44-34582-S
to power clockwork	44-30350-S
to power in politics	1-47362-S
to practice	20-14451-B,20-15436-B,23-30388-B,39-45300-B,50-24380-B,51-17639-B,58-58098-B
to practice a trade	24-11732-B
to practice calligraphy from a model	52-57467-B
to practice daoism	5-49503-B
to practice diligently	9-47230-B
to practice martial arts	39-46201-B
to practise economy	21-26204-B,60-47142-B
to practise fraud 成语 saw	23-24351-B
to practise legal chicanery 成语 saw	10-16004-B
to praise	17-31709-B,47-9156-B,47-34257-B,47-35173-B,56-44962-B,57-7291-B,57-7404-B,58-2744-B,58-19264-B,58-19484-B,58-19602-B,59-14462-B,59-14712-B,59-14855-B,60-3092-B,60-3954-B,68-27756-B,68-27789-B,68-28063-B
to praise good and expose vice	23-58150-B
to praise highly	45-5789-B,45-6208-B
to praise profusely	39-35968-B
to praise sb	13-5362-B
to praise sb to his face	68-3365-B,68-3643-B
to praise the virtue of sb or sth while concealing their faults	66-47842-B
to praise too much	62-48249-B
to praise without cease 成语 saw	59-14494-B,60-3148-B
to prance	69-54205-B
to prattle	14-31803-B,47-45955-B
to pray	6-15573-B,46-52057-B,47-1782-B,47-9701-B,47-9749-B,47-9871-B
to pray for luck and sacrifice to avoid disasters i e traditional superstitions	46-51920-B
to pray on behalf of sb	4-32724-B
to pray to a god	30-11919-B
to pray to buddha	24-49978-B
to prc rule in 1997	66-27907-S
to pre empt	7-5005-B
to preach	6-36642-B,6-40051-B,6-41853-B,19-55676-B,57-65145-B,58-55628-B
to preach freely on one s favorite topic	31-63841-B
to preach the christian gospel	22-17958-B
to preach the gospel	19-55856-B
to preach to deaf ears	20-52736-B
to precede others	7-5582-B
to precedent	37-26550-S
to precipitate solid from a solution	52-33629-B
to predict	28-2526-S,28-31106-B,38-48264-S,61-67122-B,67-11273-S,68-30163-B,68-30309-B
to predict by divining	11-11092-B
to predict often in the combination difficult to predict	28-2526-B
to predominate	5-1535-B
to prefecture	13-17207-S
to prefer	6-11593-B,14-7675-B,20-16521-B,36-12257-B
to prefer the pen to the sword	63-59624-B
to premiere a film	69-22407-B
to prepare	6-28129-B,48-42202-B,59-25303-B,68-28204-B,68-28392-B
to prepare a lesson	68-30031-B
to prepare a meal	6-15765-B
to prepare for battle	52-62693-B
to prepare for new initiatives	63-59343-B
to prepare horses and chariots for battle	23-7149-B
to prepare lessons	6-29687-S
to prepare to build sth	48-42592-B
to prepare to film	48-42732-B
to prepare to meet the enemy head on	22-18291-B
to prescribe medicine	65-41386-B
to prescribe moxibustion for oneself when not ill	40-57763-S
to prescribe the right cure for an illness	20-52978-B
to prescribe the right medicine for an illness 成语 saw	20-53110-S,20-53317-S
to present	4-23979-B,13-8106-B,13-8604-B,18-4736-S,28-40963-B,30-11276-B,62-59693-B
to present a document	43-43081-B,43-43542-B
to present a gift in return	63-10487-B
to present a memorial to the emperor	44-1400-B,66-27221-B
to present a petition	1-50319-B
to present different views on a historical person or verdict	51-21947-B
to present in both hands	71-54770-B
to present with	61-63346-B
to preserve	5-35286-B,5-37243-B,5-38150-B,43-48324-B,43-48920-B,50-839-B,50-3373-B
to preserve fertility of soil	61-15534-S
to preserve one s ambitions although destitute	59-36824-B
to preserve the outmoded	5-37556-B
to preserve unity	24-43970-S
to preservere	27-56332-S
to press	6-30180-B,16-32332-B,30-10182-B,34-40189-B,44-32386-S,61-52949-B,61-60825-B,71-39574-B
to press a button	27-61804-B
to press a false analogy	66-15855-B
to press a pedal	60-46429-B,60-48114-B
to press against	27-68448-B
to press bell	29-17199-B
to press close to	59-48590-B
to press closely on some goal	62-32665-B
to press ctrl alt delete	65-37869-B
to press down	27-61804-B,29-26929-B,64-53683-B
to press for a payment	6-32243-B
to press for action	9-45228-B
to press from either side	17-69457-B
to press gang	27-20471-S
to press gang sb and sell into slavery	28-20357-B
to press in	61-52553-B,61-52671-B
to press on	16-4753-B
to press sb into doing sth	9-68093-B
to press sb to death	6-30776-B
to press with finger	28-63127-B
to press with the hand	27-61646-B
to pressure	30-65420-B
to pressure on the median nerve	52-38801-S
to pressurize sb continually	6-30776-S
to presume	30-35114-B,47-59609-S
to presume on sb s patience	8-11086-B
to pretend	6-9211-B,6-13941-B,6-24678-B,14-15720-B,39-45913-S,46-1976-B,49-34937-B,56-60349-B,56-60523-B,56-61231-B
to pretend for the purpose of deceit	14-15797-B
to pretend not to hear	39-47599-B,50-53210-B,52-1213-B
to pretend to be lovely	56-60983-B
to pretend to be poor	13-46717-B
to pretend to be solemn	29-58954-B
to pretend to do sth without understanding it	41-9566-S
to pretend to understand when you don t	2-10783-B
to prevail over sinister forces	4-54634-S
to prevent	7-21419-B,33-8226-B,63-6085-B,65-60927-B,65-60971-B,65-64897-B,68-31003-B
to prevent a lot 成语 saw	20-64272-S
to prevent access	62-66829-B
to prevent by force	9-47502-B
to prevent contact	49-47493-B
to prevent large scale repetition	20-64272-S
to prevent or treat a disease	11-28195-B
to prevent them happening again	25-62921-S
to prevent those after 成语 saw	25-62921-S
to previous condition	14-56359-S
to prey on	28-5694-B
to price medical prescription	9-39249-B
to prick	9-29477-B,26-38993-B,26-39609-B,54-8989-B
to prick up one s ears	59-19237-S
to print	8-63899-B,8-66094-B,26-41486-B
to print and distribute	11-21301-B
to print from a webpage	8-66094-B
to prison	7-25134-S
to prison etc	9-2285-S
to private placement e g hedge fund	47-12131-S
to probe	28-23264-B,28-23627-B,46-13522-B,58-12828-B
to probe into	33-46049-B
to problems 成语 saw	61-44878-S
to proceed	28-27616-B
to proceed towards	9-19956-B
to proceed with	50-43216-B
to process	9-54884-B,55-50218-B
to proclaim	19-54544-B,19-54724-B,51-66436-B
to proclaim oneself hegemon	47-35354-S
to procrastinate	14-60157-B,23-17679-B,27-36678-B,62-67788-B,68-23686-B
to procure	27-24690-B
to prod	26-21857-B,29-11950-B
to prod sly	24-33444-B
to produce	6-13941-B,8-33733-B,9-35019-B,9-37912-B,22-27974-B,43-20965-B,43-26523-B,43-30965-B,43-32422-B,49-39832-B
to produce a change in sth	41-63163-B
to produce a draft manuscript	26-47716-B
to produce an effect	68-50948-B
to produce an item	8-36892-B
to produce clouds and rain with a turn of the hand 成语 saw	51-23712-B
to produce from sth else	38-1109-B
to produce high frequency radio waves	62-17241-S
to produce in abundance	45-5689-B
to produce microwaves	46-35604-S
to produce offspring	19-4199-B
to produce sth after a model	4-46075-B
to profess	43-43809-B
to profess conviction	11-68289-B
to profess devotion only when in trouble	27-12591-S,52-57896-S
to profit	60-4216-B
