jing hai	69-64005-B
jing1 yin3 liao4	63-40542-S
jing1 ying1	48-57750-B
jing1 ying2	25-47723-S,31-56280-B,40-56625-S,41-61726-S,49-61057-B,53-67441-S
jing1 ying2 bao4	2-62459-S
jing1 ying2 fei4 yong4	49-61337-B
jing1 ying2 guan3 li3 he2 wei2 hu4	49-61138-B
jing1 ying2 zhe3	49-61272-B
jing1 you2	49-61476-B
jing1 yu2	60-6585-S,70-44830-B
jing1 yu2 qin2	34-32835-S
jing1 yu2 zuo4	70-44869-B
jing1 yu3 yan2 xue2 yuan4	10-28050-S
jing1 yuan2	2-83829-S,31-55824-B,46-59107-S,46-59235-S
jing1 yuan2 wang3	46-59161-S
jing1 zhan4	10-27409-S,48-54352-B
jing1 zheng4	46-60020-S
jing1 zheng4 shi2	32-58954-S
jing1 zhi1 bi3	71-41034-S
jing1 zhi1 tan2	2-24937-S
jing1 zhi3 shu4	31-11407-S
jing1 zhi4	46-60746-S,48-57692-B,48-58188-B
jing1 zhou1 bao4	10-25805-S,10-28310-S
jing1 zhuan4	2-28529-S
jing1 zhuang4	31-56162-B,49-41683-S
jing1 zhuang4 ti3	31-56211-B
jing1 zhun3	48-54408-B
jing1 zhuo1 ma2 que4	65-27791-S
jing1 zi3	48-52709-B
jing1 zi3 mi4 du4	48-52761-B
jing3	1-29764-S,3-8595-B,3-14358-S,3-56057-B,3-71812-S,4-65517-S,6-54937-B,7-10018-S,7-37694-S,9-16433-B,9-21189-S,10-8096-S,12-45068-S,15-49058-S,16-12225-S,16-13445-S,17-1167-S,17-2758-S,17-26839-S,17-43663-S,18-1016-S,18-22497-S,19-995-S,19-58070-S,19-62906-S,21-51753-S,25-14359-S,25-47372-S,25-56738-S,25-57103-B,31-53461-B,31-60552-S,31-65545-S,32-1252-B,35-5061-S,35-48964-S,36-22950-S,36-38406-S,37-22010-S,40-24488-S,41-5219-S,41-61891-S,42-9527-S,42-34785-S,43-3767-B,43-3907-B,43-12194-S,44-61482-S,45-1804-S,45-5186-S,46-43905-S,46-46817-S,47-14932-S,50-5748-S,51-7008-S,51-14269-S,52-15356-B,52-17853-S,52-60441-S,53-40973-S,53-43406-S,55-54349-S,56-3667-S,59-0-B,62-61216-S,63-6336-S,65-8660-S,65-11126-S,65-59634-B,66-32503-S,67-10589-S,68-21832-S,68-30664-S,68-41024-B,68-54895-S,71-6484-S,71-57240-S
jing3 ai2	19-1066-S
jing3 bai3	35-66143-S
jing3 bao4	59-409-B,60-36152-S
jing3 bao4 qi4	59-489-B
jing3 bei4	59-47-B
jing3 bei4 qu1	59-96-B
jing3 biao1	59-1253-B
jing3 bu4	68-41173-B
jing3 bu4 dui4	35-49010-S
jing3 cha2	3-72739-S,4-13373-S,41-60878-S,47-22235-S,59-599-B,63-13734-S,65-60714-S,71-57555-S
jing3 cha2 ju2	59-662-B
jing3 cha2 ting1	59-724-B
jing3 che1	59-1896-B
jing3 di2	59-1642-B
jing3 di3 zhi1 wa1	3-56522-B
jing3 dian3	31-55068-B
jing3 er5	52-31692-S
jing3 fang1	59-1112-B
jing3 fu2	59-1154-B
jing3 gao4	29-55291-S,59-355-B
jing3 gao4 biao1 zhi4	61-19478-S
jing3 guan1	31-54750-B,59-539-B
jing3 guan1 she4 ji4	31-54795-B
jing3 guan1 tian1	15-50753-S
jing3 gun4	59-1202-B
jing3 hao4	59-1681-B
jing3 he4	71-33482-S
jing3 hou2	36-1329-S,36-1880-S
jing3 jie4	59-1003-B
jing3 jing3 you3 tiao2	3-56157-B
jing3 ju4	59-313-B
jing3 jue2	59-1793-B
jing3 kou3	3-56272-B
jing3 kuang4	31-54244-B
jing3 li2 xiang1	52-16561-S
jing3 li4	59-162-B
jing3 lian4	68-41232-B
jing3 ling2	59-1992-B
jing3 lu4	65-20969-S
jing3 min2	59-1311-B
jing3 min2 chong1 tu1	59-1395-B
jing3 mo3 pian4	19-58131-S
jing3 pi4	59-2097-B
jing3 ping2	32-6678-S,49-34148-S,65-20915-S
jing3 ping2 tai2	65-8730-S
jing3 qi3 zhong3	23-19574-S
jing3 qi4	2-14895-S,16-12328-S,31-54184-B
jing3 qu1	46-8697-S,59-250-B
jing3 quan3	59-1494-B
jing3 ran2	3-56757-B
jing3 ran2 you3 xu4	3-56796-B
jing3 se4	31-54688-B
jing3 shan1 qu1	46-6502-S
jing3 shen1	31-54488-B
jing3 sheng2	1-8019-S
jing3 shi4	71-57392-S
jing3 shui3	37-20133-S
jing3 shui3 bu4 fan4 he2 shui3	3-56645-B
jing3 tai4 lan2	31-54357-B
jing3 tan4	59-1061-B
jing3 ti4	59-860-B
jing3 ti4 xing4	59-938-B
jing3 tian2	3-56914-B
jing3 tian2 zhi4	3-56988-B
jing3 wa1 zhi1 jian4	3-57117-B
jing3 wei4	59-1742-B
jing3 wei4 dui4	15-10825-S,38-18061-S
jing3 wu4	31-54538-B,59-801-B
jing3 xi4 tong3	68-30719-S
jing3 xia4	3-56103-B
jing3 xia4 shi2	27-667-S,54-49049-S
jing3 xiang1	42-29402-S,71-57616-S
jing3 xiang4	31-54951-B,68-41279-B
jing3 xing3	59-1945-B
jing3 xun4	59-1837-B
jing3 you3 tiao2	3-56157-S
jing3 yuan2	18-22544-S
jing3 zhi4	31-54635-B
jing3 zhong1	59-2050-B
jing3 zhong3	59-1540-B
jing3 zhui1	68-41052-B
jing3 zu3 zhi1	15-14996-S,35-28801-S
jing4	1-7750-S,1-8563-S,1-38844-S,1-60769-S,1-66209-S,2-13314-S,2-71059-S,2-74795-S,3-24994-S,4-21506-S,4-28321-S,4-36286-S,5-7504-S,5-33000-B,5-41616-S,6-1826-S,6-12872-S,6-12958-S,7-8183-S,7-22745-S,7-24386-S,7-36364-S,8-23804-S,8-25500-B,8-25548-B,8-32193-S,8-32302-S,8-32463-S,8-33327-S,8-33497-S,8-33673-S,8-37723-S,8-49694-S,9-27552-S,9-63823-B,10-2557-S,10-12178-S,10-57583-S,11-5492-S,11-22258-S,11-22734-S,11-31729-S,11-44342-S,11-67971-S,12-12463-S,12-14367-S,12-34012-S,13-25625-S,13-36548-S,14-5332-S,14-47537-S,14-55832-S,14-63234-S,15-3629-S,16-18528-S,16-23213-B,16-30001-S,16-47592-S,17-2313-S,17-8591-S,17-61695-S,18-3936-S,18-55074-B,18-60435-S,19-9759-S,19-34187-S,19-52306-S,19-61457-S,20-915-S,20-13610-S,20-20394-S,20-43494-S,20-47690-S,20-63998-S,21-16947-S,21-36044-S,21-42097-S,22-46008-S,22-55081-S,22-55642-S,23-14918-S,23-37127-B,23-42993-S,24-4664-B,24-19166-S,24-22577-S,24-31560-S,25-3609-S,25-4100-S,25-13347-S,25-28731-S,25-47228-S,26-23583-S,28-9319-S,29-20687-S,29-49226-S,30-10964-B,30-31548-S,30-36125-S,31-25307-S,31-26405-S,32-6306-S,32-8741-S,32-27109-S,32-46931-S,33-31797-S,34-23087-S,34-35027-S,35-32830-S,36-52104-S,36-53096-S,37-7785-S,37-53434-S,38-8121-B,38-41602-S,38-44504-B,38-45906-S,38-65716-S,39-57275-S,39-59144-S,41-2297-S,41-7089-S,41-55138-S,42-9015-S,42-16496-B,42-21881-S,43-4994-S,43-19912-S,43-37429-S,43-38731-S,43-54589-S,43-55088-S,44-13910-B,44-41741-S,45-19248-S,45-21146-S,45-47760-S,45-52174-S,46-3276-S,46-20670-S,46-49404-S,47-31415-S,47-43621-S,47-44284-S,47-55409-S,47-63289-B,48-259-B,48-48352-S,49-20153-S,49-35175-S,49-50978-S,49-57396-S,50-7894-S,50-7972-S,50-9741-S,50-47828-S,51-684-S,51-26107-S,51-62607-S,52-31806-B,53-19288-S,53-66981-S,55-19938-S,55-48514-S,55-49495-S,55-52129-S,56-30838-S,56-31004-S,56-31402-S,56-32347-S,57-25789-S,58-24994-S,59-15798-S,60-39332-S,60-42007-S,61-52985-S,61-66656-S,62-1784-S,62-2963-S,62-3008-B,62-27081-S,62-29078-S,62-40903-S,62-44155-S,62-64294-S,63-11582-S,63-18510-S,63-64460-S,64-3479-S,64-55490-S,64-57796-B,65-22246-S,65-39561-S,65-54667-S,65-56431-S,66-24209-S,66-47454-S,67-29398-S,67-45094-S,67-60269-B,67-61123-B,67-61391-B,67-61442-S,68-3836-S,68-23266-S,68-50734-S,68-52613-S,68-54634-S,69-56480-S,70-40511-S,71-16753-S
jing4 ai4	30-11513-B
jing4 ba2	9-64342-B
jing4 bai4	30-11563-B
jing4 bao3 hu4	43-5068-S
jing4 bao3 hu4 zong3 ju2	2-55782-S
jing4 bu4 ru2 cong1 ming4	25-4160-S
jing4 cao3	9-64646-B,44-7683-S,44-7881-S
jing4 cheng1	30-12030-B
jing4 cheng2	32-32994-S
jing4 chui1	9-63971-B
jing4 ci2	30-12654-B
jing4 dao4	24-5158-B
jing4 di2	9-64435-B
jing4 di4	16-23491-B
jing4 di4 qu1	32-6378-S
jing4 dian3	67-62788-B
jing4 dian4	67-62659-B
jing4 du4	23-37184-B,48-571-B
jing4 er2 yuan3 zhi1	30-12323-B
jing4 er2 zou3	2-26091-S
jing4 fa3	69-58128-S
jing4 feng1	9-64818-B
jing4 feng4	30-11276-B
jing4 fu2	30-11608-B
jing4 gao4	30-11131-B
jing4 gou4	48-1403-B
jing4 gui1 hua4 shu3	51-59192-S
jing4 gui3 shen2 er2 yuan3 zhi1	30-13076-B
jing4 he2 cheng2 you2	36-33760-S
jing4 he4 xin1 chun1	30-12577-B
jing4 hou4	67-61523-B
jing4 hua1 shui3 yue4	64-58033-B
jing4 hua1 yuan2	64-58240-B
jing4 hua4	38-44587-B
jing4 ji1	31-25926-S
jing4 ji2	9-64292-B
jing4 ji4	24-5031-B,25-38510-S,48-373-B,62-3352-B,64-55535-S,67-19360-S
jing4 ji4 chang3	48-462-B
jing4 ji4 xing4	48-514-B
jing4 jia4	48-316-B
jing4 jian3 cha2	8-37797-S
jing4 jie2	38-65996-S
jing4 jie4	16-23652-B
jing4 jin4	38-44752-B
jing4 jiu3	30-12742-B
jing4 jiu3 bu4 chi1 chi1 fa2 jiu3	30-12804-B
jing4 kuang4	16-23602-B
jing4 lao3 yuan4	30-12239-B
jing4 lao3 zun1 xian2	30-12092-B
jing4 li3	30-11990-B
jing4 li4 ping2 heng2	67-61625-B
jing4 li4 xue2	67-61573-B
jing4 lie4	9-64551-B
jing4 liu2	24-4803-B,62-3149-B
jing4 lu4	24-5114-B
jing4 lu:3	9-64488-B
jing4 luan2	36-29625-S,41-21176-S,44-13939-B
jing4 mai4	67-62464-B
jing4 mai4 dian3 di1	67-62582-B
jing4 mai4 xi1 du2	67-62503-B
jing4 mo2 xing2	25-13403-S
jing4 mo4	67-62713-B
jing4 nan2 dao4	71-4411-S
jing4 nan2 zhi1 yi4	67-61011-B
jing4 nei4	16-23292-B
jing4 nei4 wai4	16-23378-B
jing4 pei4	6-4444-S,30-11090-B
jing4 pian4	64-57993-B
jing4 qi3	30-11212-B
jing4 qi4	39-4099-S
jing4 qian1 zheng4	7-24435-S,62-44232-S
jing4 qian2	30-12460-B
jing4 qiao1 qiao1	67-61982-B
jing4 qiao4	9-64126-B
jing4 ran2	47-63360-B
jing4 sai4	24-4960-B,43-37492-S,48-1489-B,60-63877-S,62-3312-B
jing4 sai4 zhe5	48-1540-B
jing4 shan1	67-61766-B
jing4 she2	45-52242-S
jing4 she4	9-64033-B
jing4 shen2	30-11919-B,40-45629-S
jing4 shi4	32-6472-S
jing4 shi4 jiao4 shou4	30-2911-S
jing4 tai4	67-62045-B
jing4 tai4 cun2 chu3 qi4	67-62135-B
jing4 ting2	24-4747-B,62-3099-B
jing4 ting3	9-64393-B
jing4 tou2	8-57743-S,23-14982-S,59-10464-S,64-58324-B
jing4 tu3	38-44628-B
jing4 wai4	16-23538-B
jing4 wei4	30-11736-B
jing4 wu1 ran3	43-5290-S
jing4 wu2 xia2	39-57326-S
jing4 xi1	30-11353-B
jing4 xian4 zhi2	38-44682-B
jing4 xiang1	36-53161-S,48-1146-B
jing4 xiang4	24-4692-B,62-3056-B,64-57826-B
jing4 xiang4 zhan4 dian3	64-57875-B
jing4 xiao4 ying4	7-57802-S,58-25120-S
jing4 xie4 bu4 min3	30-12502-B
jing4 xin1	67-61937-B
jing4 xing2	45-21189-S
jing4 xiu4	48-1209-B
jing4 xuan3	48-1723-B
jing4 xuan3 huo2 dong4	48-1804-B
jing4 yan1	30-11668-B
jing4 yan4	48-1289-B
jing4 yang3	30-11029-B,45-52925-S
jing4 yao4	64-55593-S
jing4 ye4	25-34143-S,69-58033-S
jing4 yi1	13-10784-S
jing4 yi1 jing4	67-61442-B
jing4 yi1 lai4 xing4	58-25035-S
jing4 yi4	30-11464-B,56-46005-S
jing4 ying3 xiang3 ping2 gu1	43-5149-S
jing4 yu4	16-23707-B
jing4 yun4 dong4	43-37566-S
jing4 zheng1	2-16320-S,7-59601-S,45-21990-S,48-684-B
jing4 zheng1 chan3 pin3	48-988-B
jing4 zheng1 he2 ju4 he2	48-826-B
jing4 zheng1 li4	48-743-B
jing4 zheng1 mo2 shi4	48-913-B
jing4 zheng1 zhe3	48-1088-B
jing4 zhi2	9-64593-B,24-4844-B,38-44549-B,62-3190-B
jing4 zhi3	67-62277-B
jing4 zhi3 feng1	67-62336-B
jing4 zhong4	30-13002-B
jing4 zhu2	48-1656-B
jing4 zhu3 yi4	49-57463-S
jing4 zhu4	30-11777-B
jing4 zi4	24-4887-B,62-3240-B
jing4 zi5	64-57954-B
jing4 zou3	48-1591-B
jing4 zu2	9-63909-B
jing4 zuo4	32-46988-S,68-50791-S
jing5	18-34895-S,45-50667-S,55-10798-S
jiong	5-13468-S,8-10338-B,11-63489-S,14-62947-B,14-63489-S,15-54028-B,26-30924-B,37-28071-B,40-30666-B,41-4518-B,41-22985-B,44-32479-S,47-55761-B,49-39355-B,57-8276-B,61-50049-B,69-47646-B
jiong che	8-10470-B
jiong po	47-55808-B
jiong ran bu tong	61-50081-B
jiong si	8-10394-B
jiong1	15-54028-B,26-30924-B
jiong3	5-13468-S,8-10338-B,11-63489-S,14-62947-B,14-63489-S,37-28071-B,40-30666-B,41-4518-B,41-22985-B,44-32479-S,47-55761-B,49-39355-B,57-8276-B,61-50049-B,69-47646-B
jiong3 che4	8-10470-B
jiong3 po4	47-55808-B
jiong3 ran2 bu4 tong2	61-50081-B
jiong3 si4	8-10394-B
jiu	1-3468-S,1-31478-S,1-66020-S,2-27077-S,3-9266-B,3-17331-B,3-33569-S,3-70313-S,4-24555-S,4-42763-S,5-1152-S,5-25622-S,5-53831-S,6-51389-B,7-30193-S,9-17947-S,9-49014-S,10-42347-S,10-58009-S,12-5037-S,12-8735-S,12-16212-S,12-58828-S,13-15748-S,13-26215-B,13-35284-S,13-53678-S,13-66039-S,14-737-B,14-8456-S,14-9508-S,14-10587-S,14-60267-S,16-53071-S,17-54414-S,18-11874-S,18-26382-S,18-45896-S,19-10685-S,19-22230-S,20-405-S,20-36775-S,20-36775-S,21-8874-B,22-47037-S,22-52878-S,23-4461-B,23-5901-B,23-5942-B,23-9582-S,23-28402-S,23-49838-S,24-8269-S,24-10279-S,24-15954-S,24-58936-S,25-7796-S,25-43892-S,26-1509-S,26-9585-S,26-14267-S,26-49712-S,26-65909-S,27-10469-S,27-48098-S,27-56138-S,28-713-S,28-1982-B,28-23579-S,28-48228-B,28-48298-B,28-51207-S,28-56282-S,28-59652-S,28-62343-S,29-16485-S,29-61117-S,29-63233-B,30-721-S,30-12742-S,30-12804-S,30-35590-S,30-37297-S,31-4488-S,31-9349-S,31-13500-S,32-3329-S,33-9263-S,33-38030-S,33-46685-S,33-47171-B,34-8025-B,34-56865-B,35-52380-S,35-53731-S,36-41953-S,36-48329-S,36-54241-S,37-1966-S,38-65422-S,40-6584-S,40-26639-B,40-34201-S,40-36588-S,40-57763-S,41-9208-S,41-27747-S,41-28404-S,41-28574-S,41-28647-S,41-31388-S,41-63235-S,42-23813-S,42-37296-B,43-17715-S,44-5470-B,44-46725-S,44-52379-S,45-55813-S,46-13752-S,46-19963-S,46-55185-S,47-1594-S,47-44202-B,47-51829-S,47-51829-S,48-10570-S,48-12520-S,49-1680-B,49-36490-S,49-57803-S,50-31035-S,50-52184-S,50-53621-S,50-56796-S,51-31393-S,51-33894-S,51-35833-S,52-35277-S,53-17362-S,53-21137-B,53-21530-B,53-21771-S,53-21771-S,53-27838-B,53-28635-S,53-40533-S,54-171-S,54-7751-S,54-13012-S,54-58967-S,55-20034-S,56-3412-S,56-57336-S,57-50096-S,58-2811-S,58-54974-S,58-54974-S,59-42345-S,61-20610-B,61-59095-S,62-17987-S,62-69359-S,63-39225-B,63-41363-S,63-46974-S,64-15889-S,64-18969-S,65-11797-S,66-29213-S,66-30110-S,66-53677-S,67-7203-S,67-16079-S,67-51878-S,67-54980-S,68-13632-B,69-6623-S,69-26205-S,69-37236-S,69-41179-S,70-19907-S,70-30256-B,70-51399-B,71-769-B,71-12901-S,71-23894-S
jiu ba	3-19082-B,63-39286-B,63-39416-B
jiu ban	21-9355-B,27-62527-S,47-44380-B,53-28590-B
jiu bao	17-4630-S
jiu bao Li tong	17-4712-S
jiu bao gao	46-14007-S
jiu bei	63-39853-B
jiu bi	33-11667-S,56-56545-S
jiu bian	21-9408-B
jiu bian xing	3-20616-B
jiu bie	3-9324-B
jiu bing	3-9552-B
jiu bing cheng yi	3-9619-B
jiu bu chi chi fa jiu	30-12804-S
jiu bu jian	18-26429-S
jiu bu li shi	7-48767-S
jiu bu liao jin huo	62-61757-S
jiu bu qi	29-61161-S
jiu bu shuai	49-57858-S
jiu cai	68-13659-B
jiu cai hua	68-13711-B
jiu can	21-11012-B
jiu ceng ta	3-18823-B
jiu cha	49-1864-B
jiu chan	49-2198-B
jiu chang	3-10134-B,13-66076-S,63-39690-B
jiu che shi chang	53-29217-B
jiu cheng	53-28995-B
jiu cheng fa biao	3-17679-S
jiu chi	9-23313-S,34-40303-S,53-21166-B
jiu chong xiao	3-20670-B
jiu chu	29-63641-B
jiu ci	21-10204-B
jiu ci tie	36-48552-S
jiu cuo	20-37489-S,49-2311-B
jiu da	2-51233-S
jiu dang ge	20-57125-S
jiu dao	21-10948-B,58-32565-S
jiu deng	3-9733-B
jiu di	21-9488-B,53-28076-B,61-58605-S
jiu di chong you	53-28143-B
jiu di r	61-58694-S
jiu dian	3-50881-S,63-39472-B
jiu dian ye	63-39552-B
jiu du	21-10836-B
jiu en	29-63847-B
jiu en ji hua	29-63889-B
jiu er jiu zhi	3-9791-B
jiu er tong	28-774-S
jiu er yan	21-11053-B
jiu fan	21-10310-B
jiu fan ying dui	46-13867-S
jiu fen	7-48398-S,49-2067-B
jiu fen zhi yi	3-17768-B
jiu feng	29-8848-S
jiu fo	2-23068-S
jiu fu	53-21706-B
jiu fu sheng ming	3-9894-B
jiu gan	26-1584-S
jiu ge	49-2258-B
jiu gong bu xia	3-9385-B
jiu gong ge shu du	3-18315-B
jiu guan	63-41033-B
jiu guan r	63-41088-B
jiu gui	63-41164-B
jiu hao	63-55960-S
jiu he	49-1807-B
jiu he ping	36-48411-S
jiu hu	29-64977-B
jiu hu che	29-65037-B
jiu hua	13-66129-S
jiu huang li	53-28827-B
jiu hui	63-39790-B
jiu huo	27-13649-S,29-64502-B
jiu ji	29-64557-B,49-2364-B,56-33038-S
jiu ji gou	46-14174-S
jiu ji si	29-64721-S
jiu ji wang	2-1605-S
jiu jia	63-39372-B
jiu jian	14-62332-S
jiu jiao chou	6-1608-S
jiu jie	49-2148-B
jiu jin	21-10884-B
jiu jing	47-44284-B,63-40405-B
jiu jing xing	63-40475-B
jiu jing yin liao	63-40542-B
jiu jiu	53-21771-B,66-53677-S
jiu jiu cheng fa biao	3-17679-B
jiu ke	71-845-B
jiu kou	1-42832-S
jiu lang	63-39652-B
jiu lao ju	29-64088-B
jiu lei	37-4124-S
jiu li	21-10699-B,32-38676-S
jiu liang	63-40955-B
jiu ling	47-1662-S
jiu ling yu	46-14527-S
jiu liu	1-34868-S,3-20129-B
jiu lou	63-39895-B
jiu lu:	41-25531-S
jiu meng	63-61797-S
jiu mian ti	3-20745-B
jiu min zhu zhu yi ge ming	53-28431-B
jiu ming	29-63745-B
jiu mu	21-9998-B,53-21622-B
jiu nan	29-65194-B
jiu nian	1-1265-S
jiu niao	71-910-B
jiu niu er hu zhi li	3-20205-B
jiu pai	19-22289-S
jiu pi jiu	41-28647-S
jiu pian	49-1753-B
jiu ping zhuang xin jiu	53-28635-B
jiu qian	1-66101-S
jiu qin	21-9540-B,21-9661-B,33-11573-S
jiu qin shi jian	21-9597-B
jiu qing	63-7636-S
jiu quan	3-20036-B
jiu ren	21-9296-B,37-24894-S
jiu ri yi Shan dong xiong di	3-19248-S
jiu rou peng you	63-40681-B
jiu san xue she	3-17609-B
jiu sao	53-21567-B
jiu se	37-6297-S
jiu sheng	46-14250-S
jiu sheng fa	29-64854-B
jiu sheng liu diao	3-20412-B
jiu sheng yi	29-64910-B
jiu sheng yuan	46-14313-S
jiu shi	1-35002-S,3-17832-B,3-21532-S,5-53869-S,21-9715-B,29-63283-B,44-50986-S,48-10608-S,53-28252-B,53-28295-B,63-59111-S
jiu shi bing quan	33-13968-S
jiu shi dai	53-28359-B
jiu shi jun	29-63399-B
jiu shi li liang	15-28946-S,45-64342-S
jiu shi lun shi	21-9175-B
jiu shi qi shi dai	53-28904-B
jiu shi shuo	3-21588-S,21-9859-B
jiu shi suan	63-40252-B
jiu shi zhu	29-63326-B
jiu shu	29-65090-B,69-49464-S
jiu shu zhu	29-65141-B
jiu si	63-40606-B
jiu si jiu nian	1-1265-S
jiu si yi sheng	3-19538-B
jiu suan	21-10255-B
jiu suan bu shou	63-40807-B
jiu sui	10-42392-S
jiu suo	10-26980-S,31-8649-S,46-14078-S,46-56747-S
jiu tian	1-29671-S
jiu tian chang	15-38443-S
jiu tu	63-39749-B
jiu tu xin	34-18590-S
jiu wan le	21-9927-B
jiu wang	29-63564-B
jiu wang tuan ti	27-5213-S
jiu wang yun dong	27-5334-S
jiu wei	3-10011-B
jiu wei gui	3-18724-B
jiu wo	63-40366-B
jiu xi	66-29335-S
jiu xing	27-56195-S,29-64167-B,36-48496-S
jiu xing du ji	27-56250-S
jiu xu	21-10364-B,63-6878-S
jiu xu dian lu	36-48626-S
jiu yan	63-39326-B
jiu yao	1-76871-S,40-47895-S
jiu ye	21-10059-B,63-51850-S
jiu ye lu:	21-10146-B
jiu yi	5-35037-S,13-19952-S,21-10411-B
jiu yi ba shi bian	3-17360-B
jiu yuan	2-67385-S,3-10079-B,4-17558-S,29-63960-B,35-51947-S,46-13951-S,46-14455-S,65-59887-S
jiu yuan dui	29-64031-B
jiu yue	3-19193-B,53-29067-B
jiu yue fen	3-19472-B
jiu yue jiu ri yi Shan dong xiong di	3-19248-B
jiu zai	29-64643-B
jiu zai jiu ji si	29-64721-B
jiu zai zhi hui bu	27-7852-S
jiu zhai gou	3-18408-B
jiu zhan	24-58998-S
jiu zhang	42-29133-S
jiu zhe	3-19144-B,46-14387-S
jiu zhen	21-10763-B
jiu zheng	49-1944-B
jiu zhi	3-9791-S,21-10494-B,29-64432-B
jiu zhi dian li	21-10553-B
jiu zhi ji	30-34152-S
jiu zhi yan jiang	21-10621-B
jiu zhong	49-2004-B,63-40201-B
jiu zhong xin	12-3331-S,46-13794-S
jiu zhu	28-48260-B,29-63524-B,29-63686-B
jiu zi	17-32634-S,20-69817-S,71-61068-S
jiu zi shi	63-41442-S
jiu zuan	57-30307-S
jiu zui	63-40906-B
jiu1	12-16212-S,13-53678-S,14-737-B,19-10685-S,22-52878-S,23-49838-S,24-10279-S,28-23579-S,28-48228-B,28-48298-B,33-46685-S,34-56865-B,45-55813-S,46-13752-S,47-44202-B,49-1680-B,49-36490-S,51-33894-S,61-20610-B,61-59095-S,66-53677-S,70-19907-S,70-30256-B,70-51399-B
jiu1 ban4	47-44380-B
jiu1 bao4 gao4	46-14007-S
jiu1 cha2	49-1864-B
jiu1 chan2	49-2198-B
jiu1 cuo4	49-2311-B
jiu1 di3	61-58605-S
jiu1 di3 r5	61-58694-S
jiu1 fan3 ying4 dui1	46-13867-S
jiu1 fen1	49-2067-B
jiu1 ge2	49-2258-B
jiu1 he2	49-1807-B
jiu1 ji1 gou4	46-14174-S
jiu1 ji2	49-2364-B
jiu1 jie2	49-2148-B
jiu1 jing4	47-44284-B
jiu1 jiu1	66-53677-S
jiu1 ling3 yu4	46-14527-S
jiu1 pian1	49-1753-B
jiu1 sheng1	46-14250-S
jiu1 sheng1 yuan4	46-14313-S
jiu1 suo3	10-26980-S,31-8649-S,46-14078-S,46-56747-S
jiu1 yuan2	46-13951-S
jiu1 yuan4	2-67385-S,46-14455-S
jiu1 zhe3	46-14387-S
jiu1 zheng4	49-1944-B
jiu1 zhong1 xin1	12-3331-S,46-13794-S
jiu1 zhong4	49-2004-B
jiu1 zhu4	28-48260-B
jiu3	1-3468-S,1-31478-S,1-66020-S,3-9266-B,3-17331-B,3-33569-S,3-70313-S,5-1152-S,9-17947-S,10-42347-S,12-8735-S,12-58828-S,13-15748-S,13-35284-S,13-66039-S,14-9508-S,14-10587-S,16-53071-S,17-54414-S,18-11874-S,18-26382-S,18-45896-S,20-405-S,22-47037-S,25-7796-S,26-14267-S,26-49712-S,26-65909-S,27-56138-S,30-12742-S,30-12804-S,30-35590-S,30-37297-S,31-9349-S,32-3329-S,33-9263-S,33-38030-S,35-52380-S,36-41953-S,36-48329-S,37-1966-S,38-65422-S,40-6584-S,40-26639-B,40-34201-S,40-57763-S,41-27747-S,41-28404-S,41-28574-S,41-28647-S,42-37296-B,43-17715-S,44-46725-S,44-52379-S,46-55185-S,47-1594-S,48-10570-S,48-12520-S,49-57803-S,50-31035-S,50-53621-S,50-56796-S,51-31393-S,51-35833-S,53-17362-S,53-28635-S,53-40533-S,54-171-S,54-7751-S,54-13012-S,54-58967-S,55-20034-S,56-3412-S,58-2811-S,59-42345-S,63-39225-B,63-41363-S,63-46974-S,64-15889-S,64-18969-S,65-11797-S,66-30110-S,67-7203-S,67-16079-S,67-54980-S,68-13632-B,69-6623-S,69-26205-S,69-41179-S,71-12901-S,71-23894-S
jiu3 ba1	3-19082-B,63-39286-B,63-39416-B
jiu3 bao3	17-4630-S
jiu3 bao3 Li4 tong1	17-4712-S
jiu3 bei1	63-39853-B
jiu3 bian1 xing2	3-20616-B
jiu3 bie2	3-9324-B
jiu3 bing4	3-9552-B
jiu3 bing4 cheng2 yi1	3-9619-B
jiu3 bu4 chi1 chi1 fa2 jiu3	30-12804-S
jiu3 bu4 li2 shi2	7-48767-S
jiu3 bu4 shuai1	49-57858-S
jiu3 bu5 jian4	18-26429-S
jiu3 cai4	68-13659-B
jiu3 cai4 hua1	68-13711-B
jiu3 ceng2 ta3	3-18823-B
jiu3 chang2	3-10134-B
jiu3 chang3	13-66076-S,63-39690-B
jiu3 cheng2 fa3 biao3	3-17679-S
jiu3 chi2	34-40303-S
jiu3 chong2 xiao1	3-20670-B
jiu3 ci2 tie3	36-48552-S
jiu3 da4	2-51233-S
jiu3 dang1 ge1	20-57125-S
jiu3 deng3	3-9733-B
jiu3 dian4	3-50881-S,63-39472-B
jiu3 dian4 ye4	63-39552-B
jiu3 er2 jiu3 zhi1	3-9791-B
jiu3 fen1	7-48398-S
jiu3 fen1 zhi1 yi1	3-17768-B
jiu3 feng1	29-8848-S
jiu3 fu4 sheng4 ming2	3-9894-B
jiu3 gong1 bu4 xia4	3-9385-B
jiu3 gong1 ge2 shu4 du2	3-18315-B
jiu3 guan3	63-41033-B
jiu3 guan3 r5	63-41088-B
jiu3 gui3	63-41164-B
jiu3 he2 ping2	36-48411-S
jiu3 hua1	13-66129-S
jiu3 hui4	63-39790-B
