chū zhí	20-58249-S
ci pang pi	53-23104-S,60-26528-S
ci pian	46-35925-B
ci pin	35-20286-B,35-21705-B
ci pin lu: xiao guo	63-35303-S
ci pin xiao ying	58-11640-B
ci pu	44-49050-S
ci qi	43-12384-B,55-19661-S,66-31641-S
ci qi quan	46-35794-B
ci qian	35-40964-B
ci qiang ying	28-34290-S
ci qing	9-14059-B,15-2778-S
ci qiong	42-54230-S
ci qu	61-36580-B
ci qu mian	3-37268-S
ci qu xian	1-36290-S,3-37177-S
ci qu yu	17-25713-S
ci qu yu he zuo	17-25828-S
ci r	9-12562-B,26-59234-S,27-65529-S,27-67977-S,46-31423-S
ci r hua	9-12686-B
ci ren	46-31310-S
ci ri	35-20890-B
ci rui	66-61301-B
ci san chun	66-61029-B
ci san fan	22-57903-S
ci sha	9-13141-B
ci shan	25-44797-B
ci shan chou jiang	25-44938-B
ci shan ji gou	25-45019-B
ci shan jia	25-44852-B
ci shan zu zhi	25-45081-B
ci shang	9-12506-B
ci sheng	3-28325-S,35-21082-B
ci sheng bo	35-20357-B
ci sheng lin	35-21142-B
ci sheng zai hai	35-21214-B
ci sheng zhi	19-13898-S
ci shi	25-45399-B,35-41395-B,46-36211-B,61-36316-B
ci shi bie	11-69946-S
ci shi ci di	35-41580-B
ci shi ci ke	35-41508-B
ci shi jie da zhan	48-9058-S,48-11398-S
ci shi yi qian	35-41443-B
ci shu	35-20704-B,51-862-S
ci shu xue	61-36740-B
ci song	10-16004-S
ci song ting	11-23434-S
ci su	58-10599-B
ci su ci	57-5394-S
ci su jie gou	58-10639-B
ci su tong da mo xing	58-10716-B
ci tan	9-12990-B,37-41188-S
ci tan Gong gao	37-41238-S
ci tan hui yi	37-41323-S
ci tang	46-63288-B
ci ti	31-49255-S,46-36448-B,47-60494-S,47-61324-S,58-11813-B
ci tiao	46-35695-B,50-21787-S,58-10260-B
ci tie	36-48552-S,46-36362-B,67-33581-S
ci tie kuang	46-45107-B
ci tong	9-13722-B
ci tong da mo xing	58-11369-B
ci tong liang	46-36302-B
ci tong shi	53-22529-S
ci tou	46-36401-B,58-11601-B
ci tui	61-37012-B
ci wa na	11-9766-S,11-9826-S
ci wai	35-41258-B
ci wei	9-14018-B,58-9382-B
ci wei ji	62-5865-S
ci wen hua	35-20777-B
ci wo er de	47-21454-S
ci xiang	25-45447-B
ci xiang luo ji	58-11529-B
ci xiang si xiao ying	58-10416-B
ci xin ku	2-33145-S
ci xing	1-12737-S,2-27385-S,46-35255-B,58-10124-B,66-61081-B
ci xing jie kou	66-61121-B
ci xiong	1-13600-S,66-61340-B
ci xiong tong ti	66-61390-B
ci xiong tong ti ren	66-61462-B
ci xiong yi se	66-61547-B
ci xiu	9-13878-B
ci xiu pin	9-13920-B
ci xiu suan	35-21016-B
ci xu	28-15525-S,32-35993-S,35-20658-B,58-9488-B
ci xuan fu	46-35526-B
ci xue	5-49451-S,67-33205-S
ci ya liu suan na	35-20188-B
ci yao	35-21663-B
ci yi	58-11093-B
ci yi chang	46-35972-B
ci yi ge	35-20046-B
ci yi ju	16-59492-S
ci yi shi	23-60704-S
ci you xiao ying	58-9152-B
ci yu	6-49950-S,43-29785-S,58-11200-B,59-56822-B,59-56962-B
ci yu hui	58-11255-B
ci yuan	58-10310-B
ci yue zhi ming	58-10507-B
ci yun	35-22055-B
ci zao	42-39217-S,58-11142-B,61-36971-B
ci zao sheng	67-33057-S
ci zhang	35-22008-B
ci zhi	35-20107-B,61-36932-B
ci zhi hou	15-35698-S
ci zhi ji	15-35779-S
ci zhi qian	15-35609-S
ci zhi wai	66-22485-S
ci zhong liang ji	35-21923-B
ci zhu shi shi jian	69-22742-S
ci zhuan	43-12435-B
ci zhui	58-10872-B
ci zhui bo chu	58-10961-B
ci zi	35-20549-B
ci zu	58-10824-B
ci1	6-19277-B,11-39296-S,13-5675-S,17-37103-S,21-63512-B,29-11900-S,40-815-S,42-60985-S,44-6433-B,70-3487-B
ci1 bu4 qi2	11-39371-S
ci1 r5	27-67977-S
ci2	1-74866-S,2-5526-S,2-32102-S,3-7731-S,4-15256-S,4-20996-S,4-23925-S,4-24050-S,4-30600-S,4-33471-S,5-49410-S,6-1219-S,6-9460-S,6-13029-S,7-4157-S,7-11408-S,8-58389-S,9-29788-S,9-33576-S,9-50233-S,9-61173-S,9-61830-S,9-68870-S,9-69613-S,10-847-S,10-2085-S,10-2434-S,11-11642-S,11-17254-S,11-42618-S,11-52371-S,11-54751-S,12-1333-S,12-19882-S,12-33954-S,12-49358-S,12-50917-S,12-52742-S,12-58563-S,12-58923-S,12-68373-S,13-9678-S,13-33042-S,13-56542-S,14-21639-S,14-22598-S,14-27250-S,14-41879-S,14-42719-S,14-42880-S,15-54699-S,16-22204-S,16-43514-S,16-62579-S,16-65119-S,18-41502-S,18-52761-S,18-52930-S,18-56455-S,19-6594-S,19-43866-S,20-2906-S,20-14760-S,20-38505-S,20-39376-S,20-47961-S,20-56272-S,21-19753-S,23-50063-S,23-52634-S,23-54034-S,23-54089-S,25-2315-S,25-11509-S,25-11564-S,25-40401-S,25-44677-B,25-58426-S,26-52601-S,27-18086-S,27-60687-S,27-70445-S,27-70599-S,28-1020-S,28-1075-S,28-23468-S,28-32498-S,28-34226-S,28-42301-S,28-58045-S,29-37873-S,29-62394-S,30-12654-S,30-24091-S,32-66211-S,33-34926-S,33-66113-S,34-30585-S,35-26497-S,35-43849-S,36-11218-S,36-52428-S,38-1212-S,38-49814-S,39-58468-S,39-60390-S,42-49605-S,43-12337-B,43-29555-S,43-35947-S,44-3957-S,46-31176-S,46-34584-B,46-55121-S,46-58913-S,46-63245-B,47-9912-S,48-21328-S,48-60604-B,49-918-S,49-42634-S,51-2593-S,51-59854-S,52-27507-S,53-19840-S,53-20047-S,53-20766-S,53-21966-S,54-8001-B,54-9039-B,55-6295-S,56-38598-S,57-5394-S,57-52289-S,57-56040-S,57-56531-S,57-65032-S,57-65614-S,58-6232-S,58-8975-B,58-14680-S,58-23668-S,58-24897-S,58-25967-S,58-27797-S,58-45145-S,58-52216-S,58-53893-S,58-55506-S,58-57297-S,58-61160-S,59-2815-S,59-24198-S,59-44738-S,59-50245-S,59-55900-S,60-2375-S,60-17642-S,61-36249-B,61-38059-S,61-38977-S,61-48686-S,62-19792-S,62-22257-S,62-23680-S,62-23873-S,62-25290-S,62-43988-S,62-64061-S,64-6707-S,64-48613-S,64-51247-S,65-25835-S,65-34111-S,65-57484-S,66-31578-S,66-49033-S,66-61001-B,67-32909-S,67-42787-S,67-42985-S,67-63567-S,68-28026-S,68-43320-S,69-9403-S,69-10253-B,69-47016-S,69-47142-S,70-59272-B,71-2344-S
ci2 ai4	25-45255-B
ci2 ba4	25-37845-S
ci2 bao3	55-25899-S
ci2 bei1	25-45217-B
ci2 ben3	43-29720-S
ci2 bo1	67-33432-S
ci2 ceng2	46-35094-B
ci2 chan3 sheng1 qi4 mo2 xing2	14-21676-S
ci2 chang2 xiao4 ying4	58-11452-B
ci2 chang3	15-43724-S,46-35045-B,67-33136-S
ci2 chong2 die2	10-2207-S
ci2 chong2 fu4 ce4 yan4	67-67687-S
ci2 dai4	45-3657-S,46-35156-B
ci2 dai4 ji1	46-35202-B
ci2 dan1 ji2 zi3	46-34975-B
ci2 dian3	24-35343-S,44-55617-S,56-50557-S,58-9232-B,60-43956-S,61-36483-B,68-47614-S
ci2 dian3 yu3 yin1 jia1 gong1	9-23712-S
ci2 diao4	61-36690-B
ci2 die2	7-11458-S,61-3625-S
ci2 die2 ci2	6-9460-S
ci2 die2 ji1	7-11539-S
ci2 duo2 li3	23-45173-S,23-45295-S
ci2 en1 si4	17-18053-S
ci2 er2 bie2	2-33063-S
ci2 fa3 yi4 shi2	34-43856-S
ci2 fu2	46-35851-B
ci2 gan1 rao3	67-33266-S
ci2 gan3 xian4	46-35460-B
ci2 gan3 ying4	46-35307-B,67-33350-S
ci2 gan3 ying4 qiang2 du4	46-35370-B
ci2 gan4 qi3 dong4	58-9421-B
ci2 gen1	58-10178-B
ci2 gen1 yu3	58-11308-B
ci2 gong4 zhen4	33-61104-S,46-34634-B
ci2 gong4 zhen4 cheng2 xiang4	46-34698-B
ci2 gong4 zhen4 cheng2 xiang4 shu4	9-49967-S
ci2 gu5	25-45156-B,54-9169-B
ci2 guan1	61-36629-B
ci2 gui1 ze2	3-64103-S
ci2 hai3	61-36816-B
ci2 hai3 mo4 shi4 bing4	66-8735-S
ci2 hai4 zhi4	1-67379-S,1-67577-S
ci2 han4	61-36855-B
ci2 he2 Ni2 wei2 si1	51-45439-S
ci2 hou4 bi4	10-62560-S
ci2 hou4 li3	10-62653-S
ci2 hua1	66-61255-B
ci2 hua4	46-34865-B
ci2 hua4 ti3	12-15464-S
ci2 huang2	18-32412-S,66-61619-B
ci2 hui4	15-69640-S,58-9530-B
ci2 hui4 dan1 yuan2	3-64021-S
ci2 hui4 fen1 jie3	58-9625-B
ci2 hui4 jia1 gong1	9-23822-S,24-1597-S
ci2 hui4 jie1 duan4	9-24032-S
ci2 hui4 pan4 duan4	58-9701-B
ci2 hui4 pan4 duan4 fa3	58-9969-B
ci2 hui4 pan4 duan4 ren4 wu4	58-9773-B
ci2 hui4 pan4 duan4 zuo4 ye4	58-9871-B
ci2 hui4 tong1 lu4	58-10056-B
ci2 hui4 yu3 yin1 jia1 gong1	9-23908-S
ci2 ji1	57-65525-S
ci2 ji1 su4	66-61193-B
ci2 ji2	46-35749-B
ci2 jian1 rong2 xing4	67-32958-S
ci2 jie2 gou4	10-2123-S
ci2 ju3	46-36164-B
ci2 ju4	58-9331-B
ci2 ka3	43-29655-S,46-34910-B
ci2 ke4	4-50326-S,68-32924-S
ci2 kong4 guan3	46-35604-B
ci2 lan4 diao4	66-29605-S
ci2 lao2 ku3	2-32995-S
ci2 lei4	6-38622-S,58-11727-B
ci2 li4 xian4	46-34800-B
ci2 ling4	58-9046-B,61-36402-B
ci2 mai4 chong1	33-63513-S,67-33496-S
ci2 miao4	46-63404-B
ci2 mu4	46-63350-B,58-10368-B
ci2 pan2	46-26024-S,46-36041-B,61-3569-S
ci2 pan2 qu1 dong4 qi4	46-36089-B
ci2 pian4	46-35925-B
ci2 pin2 lu:4 xiao4 guo3	63-35303-S
ci2 pin2 xiao4 ying4	58-11640-B
ci2 pu3	44-49050-S
ci2 qi4	43-12384-B,55-19661-S,66-31641-S
ci2 qi4 quan1	46-35794-B
ci2 qiang2 ying4	28-34290-S
ci2 qiong2	42-54230-S
ci2 qu4	61-36580-B
ci2 r5	46-31423-S
ci2 ren2	46-31310-S
ci2 rui3	66-61301-B
ci2 san1 chun2	66-61029-B
ci2 shan4	25-44797-B
ci2 shan4 chou1 jiang3	25-44938-B
ci2 shan4 ji1 gou4	25-45019-B
ci2 shan4 jia1	25-44852-B
ci2 shan4 zu3 zhi1	25-45081-B
ci2 sheng1 zhi2	19-13898-S
ci2 shi2	25-45399-B,46-36211-B
ci2 shi2 bie2	11-69946-S
ci2 shi4	61-36316-B
ci2 shu1 xue2	61-36740-B
ci2 song3 ting1	11-23434-S
ci2 song4	10-16004-S
ci2 su4	58-10599-B
ci2 su4 ci2	57-5394-S
ci2 su4 jie2 gou4	58-10639-B
ci2 su4 tong1 da2 mo2 xing2	58-10716-B
ci2 tan3	37-41188-S
ci2 tan3 Gong1 gao4	37-41238-S
ci2 tan3 hui4 yi4	37-41323-S
ci2 tang2	46-63288-B
ci2 ti3	46-36448-B,58-11813-B
ci2 tiao2	46-35695-B,50-21787-S,58-10260-B
ci2 tie3	36-48552-S,46-36362-B,67-33581-S
ci2 tie3 kuang4	46-45107-B
ci2 tong1 da2 mo2 xing2	58-11369-B
ci2 tong1 liang4	46-36302-B
ci2 tou2	46-36401-B,58-11601-B
ci2 tui4	61-37012-B
ci2 wa3 na4	11-9766-S,11-9826-S
ci2 wei3	58-9382-B
ci2 wo4 er3 de2	47-21454-S
ci2 xiang1 si4 xiao4 ying4	58-10416-B
ci2 xiang2	25-45447-B
ci2 xiang4 luo2 ji5	58-11529-B
ci2 xin1 ku3	2-33145-S
ci2 xing4	46-35255-B,58-10124-B,66-61081-B
ci2 xing4 jie1 kou3	66-61121-B
ci2 xiong2	1-13600-S,66-61340-B
ci2 xiong2 tong2 ti3	66-61390-B
ci2 xiong2 tong2 ti3 ren2	66-61462-B
ci2 xiong2 yi4 se4	66-61547-B
ci2 xu4	58-9488-B
ci2 xuan2 fu2	46-35526-B
ci2 xue2	5-49451-S,67-33205-S
ci2 yi4	58-11093-B
ci2 yi4 chang2	46-35972-B
ci2 you1 xiao4 ying4	58-9152-B
ci2 yu2	43-29785-S
ci2 yu3	58-11200-B
ci2 yu3 hui4	58-11255-B
ci2 yuan2	58-10310-B
ci2 yue1 zhi3 ming2	58-10507-B
ci2 zao3	42-39217-S,58-11142-B,61-36971-B
ci2 zao4 sheng1	67-33057-S
ci2 zhi2	61-36932-B
ci2 zhuan1	43-12435-B
ci2 zhui4	58-10872-B
ci2 zhui4 bo1 chu2	58-10961-B
ci2 zu3	58-10824-B
ci3	1-69743-S,1-71497-S,4-37819-S,4-66159-B,9-9822-S,14-59919-S,14-60908-S,15-35565-S,18-30862-S,21-10204-S,23-61480-S,24-11893-S,29-24320-S,29-60547-S,35-40874-B,37-35815-B,40-32748-S,41-59772-S,42-42449-B,43-38876-S,53-7334-S,53-18478-S,60-35434-B
ci3 bu4 pi2	34-49355-S
ci3 chu4	9-9870-S,15-35926-S
ci3 ci4	35-41661-B
ci3 di4	35-41032-B,35-41580-S
ci3 di4 wu2 yin2 san1 bai3 liang3	35-41079-B
ci3 hou4	15-35859-S,35-41331-B
ci3 ji4	35-41831-B
ci3 ke3 jian4	43-38925-S
ci3 ke4	35-40906-B,35-41508-S
ci3 lei4	58-47968-S
ci3 li3	59-18502-S
ci3 lu4 bu4 tong1	35-41702-B
ci3 qian2	35-40964-B
ci3 sheng1	3-28325-S
ci3 shi2	35-41395-B
ci3 shi2 ci3 di4	35-41580-B
ci3 shi2 ci3 ke4	35-41508-B
ci3 shi2 yi3 qian2	35-41443-B
ci3 tong2 shi2	53-22529-S
ci3 wai4	35-41258-B
ci3 xing2	2-27385-S
ci3 yi1 ju3	16-59492-S
ci3 yi1 shi2	23-60704-S
ci3 zhi1 hou4	15-35698-S
ci3 zhi1 ji4	15-35779-S
ci3 zhi1 qian2	15-35609-S
ci3 zhi1 wai4	66-22485-S
ci4	1-12576-S,1-36017-S,1-38143-S,1-51102-S,1-58225-S,1-60727-S,3-36612-S,4-11455-S,4-61754-B,4-66632-S,5-12667-B,5-25244-S,5-55625-S,7-46314-S,8-4270-S,8-8140-S,8-9057-S,9-605-S,9-12429-B,11-41555-S,12-54315-S,12-56541-S,14-51067-S,16-59438-S,20-47423-S,21-24533-S,21-25317-S,22-28143-S,22-57858-S,25-3107-S,27-50748-S,27-64267-S,27-65442-S,27-68686-S,29-19189-S,32-8545-S,32-29405-S,33-31-B,34-38772-S,34-44149-S,35-12286-S,35-19985-B,35-41661-S,35-52886-S,36-6100-S,36-6897-S,36-13665-S,37-41977-S,39-55552-S,41-45143-S,42-7722-S,42-47210-S,45-47953-S,47-51203-S,48-8534-S,48-8985-S,48-10121-S,48-11323-S,48-47288-S,49-48008-B,50-20280-S,51-120-S,53-34334-S,54-27767-B,55-61396-B,56-39069-S,58-26363-S,58-47284-S,58-61356-S,59-56781-B,59-57436-S,60-47920-S,61-12846-S,61-16210-S,62-2303-S,62-5813-S,68-25152-S,68-32266-S,69-22582-S,69-65107-S,70-16855-S
ci4 Shi4 jie4 Da4 zhan4	3-36720-S
ci4 bai3	9-13026-B
ci4 bu4	49-48071-B
ci4 chuan1	9-13806-B
ci4 chuo1	9-12935-B
ci4 da4 lu4	35-20417-B
ci4 da4 zhan4	3-36968-S
ci4 dai4	35-21838-B
ci4 dao1	9-12846-B,27-50795-S
ci4 deng3	35-21386-B
ci4 di4	35-21322-B
ci4 duo1 xiang4 shi4	3-36881-S
ci4 er3	9-13974-B
ci4 er5 li3	9-12635-B
ci4 er5 tou2	9-12755-B
ci4 fang1	1-36148-S,3-37035-S,35-20831-B,65-29737-S
ci4 fang1 cheng2	1-12835-S,1-36210-S,3-37102-S
ci4 fang1 cheng2 shi4	1-12907-S
ci4 fen1 xi1 mo2 xing2	16-56338-S
ci4 fu2	59-56872-B
ci4 gan3	26-22179-S
ci4 ge2 ming4	3-37345-S
ci4 gei3	59-56912-B
ci4 gong1 kai1 zhao1 gu3	69-22634-S
ci4 gu3	9-14099-B
ci4 guan1	35-20591-B
ci4 han2 shu4	1-12660-S,3-36809-S
ci4 hou4	4-61839-B
ci4 huai2	9-13074-B
ci4 huo4	35-21770-B
ci4 ji1	9-13198-B
ci4 ji1 ji4	9-13274-B
ci4 ji1 qi3 dong4 bu4 tong2 bu4	9-13330-B
ci4 ji1 qun2	9-13657-B
ci4 ji1 su4	9-13601-B
ci4 ji1 wu4	9-13551-B
ci4 ji1 xing4	9-13440-B
ci4 ji1 xing4 du2 ji4	52-14589-S
ci4 ji2	35-21444-B
ci4 ji2 dai4 kuan3	35-21485-B
ci4 jing1	35-21580-B
ci4 ke4	9-12886-B
ci4 ke4 hai3	63-29169-S
ci4 lu:4 suan1	35-20941-B
ci4 mi4	1-36088-S
ci4 nu:3	35-20502-B
ci4 pang2 pi2	53-23104-S,60-26528-S
ci4 pin2	35-21705-B
ci4 pin3	35-20286-B
ci4 qing1	9-14059-B,15-2778-S
ci4 qu1 mian4	3-37268-S
ci4 qu1 xian4	1-36290-S,3-37177-S
ci4 qu1 yu4	17-25713-S
ci4 qu1 yu4 he2 zuo4	17-25828-S
ci4 r5	9-12562-B,26-59234-S,27-65529-S
ci4 r5 hua4	9-12686-B
ci4 ri4	35-20890-B
ci4 san1 fan1	22-57903-S
ci4 sha1	9-13141-B
ci4 shang1	9-12506-B
ci4 sheng1	35-21082-B
ci4 sheng1 bo1	35-20357-B
ci4 sheng1 lin2	35-21142-B
ci4 sheng1 zai1 hai4	35-21214-B
ci4 shi4 jie4 da4 zhan4	48-9058-S,48-11398-S
ci4 shu4	35-20704-B,51-862-S
ci4 tan4	9-12990-B
ci4 ti3	31-49255-S,47-60494-S,47-61324-S
ci4 tong4	9-13722-B
ci4 wei1 ji1	62-5865-S
ci4 wei4	9-14018-B
ci4 wen2 hua4	35-20777-B
ci4 xing4	1-12737-S
ci4 xiu4	9-13878-B
ci4 xiu4 pin3	9-13920-B
ci4 xiu4 suan1	35-21016-B
ci4 xu4	28-15525-S,32-35993-S,35-20658-B
ci4 ya4 liu2 suan1 na4	35-20188-B
ci4 yao4	35-21663-B
ci4 yi1 ge4	35-20046-B
ci4 yu2	6-49950-S
ci4 yu3	59-56822-B,59-56962-B
ci4 yun4	35-22055-B
ci4 zhang3	35-22008-B
ci4 zhi1	35-20107-B
ci4 zhong4 liang4 ji2	35-21923-B
ci4 zhu4 shi4 shi2 jian1	69-22742-S
ci4 zi3	35-20549-B
cong	4-6810-S,4-9258-S,4-42919-S,5-24622-S,5-44150-S,5-58595-S,10-19637-B,10-19726-S,11-66768-B,14-17477-S,14-62986-B,17-34122-S,20-43346-S,24-5835-B,24-9829-B,24-9875-B,25-8916-B,29-18794-S,32-43636-S,34-50216-B,37-51981-S,38-42726-B,38-50475-S,39-44141-B,39-56340-B,40-17657-S,40-51147-S,40-53763-S,41-2086-S,42-58449-B,43-2855-B,43-3136-B,45-19691-S,49-34197-S,50-47318-S,51-64429-B,52-426-S,53-5914-S,53-54657-S,54-13921-S,55-9329-B,55-12707-B,55-12952-S,56-7976-S,56-22631-S,59-59646-B,60-38054-S,62-68385-S,64-27057-S,64-50073-B,64-58564-B,66-43690-S,67-58218-S,68-23819-S,69-45615-S,69-55796-B,70-30705-S
cong bu	24-10099-B
cong ci	24-11893-B
cong cong	10-19726-B,55-12952-B,70-30705-S
cong cu	10-19674-B
cong cui	55-12858-B
cong er	24-12093-B
cong hua	55-12904-B
cong huang	55-13195-B
cong hui	51-64512-B
cong jin	24-10372-B
cong jin yi hou	24-10418-B
cong jing	56-30838-S
cong ju	2-71287-S,12-23010-S,59-55981-S
cong kou ru	44-9865-S
cong lai	24-10484-B
cong lai bu	24-10575-B
cong lai mei	24-10625-B
cong lai mei you	24-10676-B
cong lin	11-66838-B
cong ling	55-12751-B
cong long	55-13014-B
cong lu:	55-12817-B
cong mang	10-19771-B
cong mei	24-12029-B
cong men	14-63024-B
cong min	51-64571-B
cong ming	24-11014-B,25-4160-S,46-43320-S,49-47813-S,51-64647-B,53-575-S,53-684-S
cong ming fan bei cong ming wu	51-64742-B
cong ming guo tou	51-64967-B
cong ming wu	51-64742-S
cong na shi hou	24-12139-B
cong qian	24-10832-B
cong qu nian	24-10953-B
cong rong	24-11368-B
cong rong bu po	24-11421-B
cong shan ru liu	24-11114-B
cong sheng	11-66913-B
cong shi	24-10189-B
cong shi yan jiu	24-10279-B
cong shu	24-11552-B,34-50262-B
cong si de	1-34468-S
cong tian jiang	14-8065-S
cong tou	24-12223-B,55-13066-B
cong tou dao jiao	24-12369-B
cong tou dao wei	24-12277-B
cong wai biao lai kan	24-11253-B
cong wei	24-11692-B
cong xiao	24-11491-B
cong xin	9-44949-S
cong xin suo yu	24-11598-B
cong ye	24-11732-B
cong ye ren yuan	24-11787-B
cong yi er zhong	24-9982-B
cong ying	51-65062-B
cong you	24-10756-B
cong yu	55-13126-B
cong zhong	24-10138-B
cong zhu ren	12-56131-S
cong zi	19-2594-S
cong1	5-58595-S,10-19637-B,10-19726-S,14-62986-B,17-34122-S,24-9829-B,34-50216-B,37-51981-S,38-50475-S,41-2086-S,43-2855-B,43-3136-B,49-34197-S,51-64429-B,55-9329-B,55-12707-B,55-12952-S,56-7976-S,64-27057-S,64-50073-B,64-58564-B,67-58218-S,69-55796-B,70-30705-S
cong1 cong1	10-19726-B,55-12952-B,70-30705-S
cong1 cu4	10-19674-B
cong1 cui4	55-12858-B
cong1 hua1	55-12904-B
cong1 huang2	55-13195-B
cong1 hui4	51-64512-B
cong1 ling3	55-12751-B
cong1 long2	55-13014-B
cong1 lu:4	55-12817-B
cong1 mang2	10-19771-B
cong1 men2	14-63024-B
cong1 min3	51-64571-B
cong1 ming2	53-575-S
cong1 ming2 fan3 bei4 cong1 ming2 wu4	51-64742-B
cong1 ming2 wu4	51-64742-S
cong1 ming4	25-4160-S,46-43320-S
cong1 ming5	49-47813-S,51-64647-B,53-684-S
cong1 ming5 guo4 tou2	51-64967-B
cong1 rong2	24-11368-B
cong1 shu4	34-50262-B
cong1 tou2	55-13066-B
cong1 ying3	51-65062-B
cong1 yu4	55-13126-B
cong2	4-6810-S,4-9258-S,4-42919-S,5-24622-S,5-44150-S,11-66768-B,14-17477-S,20-43346-S,24-5835-B,24-9875-B,25-8916-B,29-18794-S,32-43636-S,38-42726-B,39-44141-B,39-56340-B,40-17657-S,40-51147-S,40-53763-S,42-58449-B,45-19691-S,50-47318-S,52-426-S,53-5914-S,53-54657-S,54-13921-S,56-22631-S,59-59646-B,60-38054-S,62-68385-S,66-43690-S,68-23819-S,69-45615-S
cong2 bu4	24-10099-B
cong2 ci3	24-11893-B
cong2 er2	24-12093-B
cong2 jin1	24-10372-B
cong2 jin1 yi3 hou4	24-10418-B
cong2 jing4	56-30838-S
cong2 ju4	2-71287-S,12-23010-S,59-55981-S
cong2 kou3 ru4	44-9865-S
cong2 lai2	24-10484-B
cong2 lai2 bu4	24-10575-B
cong2 lai2 mei2	24-10625-B
cong2 lai2 mei2 you3	24-10676-B
cong2 lin2	11-66838-B
cong2 mei2	24-12029-B
cong2 ming4	24-11014-B
cong2 na4 shi2 hou4	24-12139-B
cong2 qian2	24-10832-B
cong2 qu4 nian2	24-10953-B
cong2 rong2 bu4 po4	24-11421-B
cong2 shan4 ru2 liu2	24-11114-B
cong2 sheng1	11-66913-B
cong2 shi4	24-10189-B
cong2 shi4 yan2 jiu1	24-10279-B
cong2 shu3	24-11552-B
cong2 si4 de2	1-34468-S
cong2 tian1 jiang4	14-8065-S
cong2 tou2	24-12223-B
cong2 tou2 dao4 jiao3	24-12369-B
cong2 tou2 dao4 wei3	24-12277-B
cong2 wai4 biao3 lai2 kan4	24-11253-B
cong2 wei4	24-11692-B
cong2 xiao3	24-11491-B
cong2 xin1	9-44949-S
cong2 xin1 suo3 yu4	24-11598-B
cong2 ye4	24-11732-B
cong2 ye4 ren2 yuan2	24-11787-B
cong2 yi1 er2 zhong1	24-9982-B
cong2 you1	24-10756-B
cong2 zhong1	24-10138-B
cong2 zhu3 ren2	12-56131-S
cong2 zi3	19-2594-S
cou	27-52496-S,39-9185-B,50-14770-S,50-14817-S,52-39036-B,61-17150-B,67-5049-S
cou cheng	39-9440-B
cou he	39-9254-B
cou miao zi xian quan	50-14957-S
cou qi	39-9784-B
cou qiao	2-17557-S,39-9368-B
cou re nao	39-9651-B
cou shou	39-9574-B
cou xing che	50-14883-S
cou4	27-52496-S,39-9185-B,50-14770-S,50-14817-S,52-39036-B,61-17150-B,67-5049-S
cou4 cheng2	39-9440-B
cou4 he2	39-9254-B
cou4 miao3 zi3 xian4 quan1	50-14957-S
cou4 qi2	39-9784-B
cou4 qiao3	2-17557-S,39-9368-B
cou4 re4 nao4	39-9651-B
cou4 shou3	39-9574-B
cou4 xing2 che1	50-14883-S
cu	4-32070-S,5-30944-B,5-51916-S,6-30421-S,9-45228-S,9-57093-S,10-19674-S,10-59239-S,10-63085-B,12-27831-S,21-16617-S,23-64862-B,24-57383-S,27-4217-S,28-1691-S,30-10182-S,31-59263-S,35-60148-B,36-29813-S,36-65704-S,41-40268-S,42-12864-B,44-19548-B,44-46818-S,45-55921-S,45-65485-S,45-67096-S,48-35322-B,48-48649-B,48-61576-S,53-59036-S,55-11630-B,57-46866-B,60-48010-B,60-48070-B,60-50238-B,60-51966-B,61-52046-S,63-47145-B,66-30153-S,69-4375-S,69-30904-S,70-20202-S,71-8959-B,71-11047-B
cu bao	48-49320-B
cu ben	48-49572-B
cu cao	48-49641-B
cu cheng	5-31122-B
cu da	48-49148-B
cu dong	5-31077-B
cu hua	48-49973-B
cu jiang cao	63-47456-B
cu jin	5-31216-B
cu kou	48-48984-B
cu li	48-48930-B,49-13774-S,63-47174-B,71-33427-S
cu li ji	48-61688-S
cu liang	48-49691-B
cu lie	48-48830-B
cu lie zuo pin	48-48869-B
cu lu	48-50350-B
cu lu:e	48-49417-B
cu mian bu	1-16326-S
cu qian	48-49364-B
cu qing	5-31175-B
cu ran	42-12900-B
cu rou	48-61624-S
cu sha	48-49535-B
cu sheng	24-57447-S
cu shi	5-31008-B
cu shu	48-49490-B
cu si liao	48-50187-B
cu su	48-48718-B
cu su de jie ji	48-48756-B
cu suan	8-19869-S,63-47216-B
cu suan xian wei	63-47356-B
cu suan yi zhi	63-47279-B
cu ti	48-50250-B
cu ti zi	48-50297-B
cu tui	27-13572-S
cu xi	48-49746-B
cu xiao	5-31295-B
cu xiao ji	3-16474-S
cu xin	48-49196-B
cu xin da yi	48-49237-B
cu ya	48-49045-B
cu yan	48-50400-B
cu ye	48-50120-B
cu yu	48-50067-B,48-61761-S
cu zhi	17-6780-S
cu zhi lan zao	48-49824-B
cu zhuang	48-49097-B
cu1	28-1691-S,36-29813-S,45-67096-S,48-48649-B,57-46866-B,71-8959-B,71-11047-B
cu1 bao4	48-49320-B
cu1 ben4	48-49572-B
cu1 cao1	48-49641-B
cu1 da4	48-49148-B
cu1 hua4	48-49973-B
cu1 kou3	48-48984-B
cu1 li4	48-48930-B
cu1 liang2	48-49691-B
cu1 lie4	48-48830-B
cu1 lie4 zuo4 pin3	48-48869-B
cu1 lu3	48-50350-B
cu1 lu:e4	48-49417-B
cu1 mian2 bu4	1-16326-S
cu1 qian3	48-49364-B
