警 警 [01\[ jǐng\]]	to alert;to warn;police
豬排 猪排 [01\[ zhū pái\]]	pork ribs;pork chop
豬水泡病 猪水泡病 [01\[ zhū shuǐ pào bìng\]]	swine vesicular disease (svd)
豬油 猪油 [01\[ zhū yóu\]]	lard
豬灣 猪湾 [01\[ zhū wān\]]	bay of pigs (cuba)
豬狗 猪狗 [01\[ zhū gǒu\]]	pig-dog (intended as insult);schweinhund
豬狗不如 猪狗不如 [01\[ zhū gǒu bù rú\]]	worse than a dog or pig;lower than low
豬肉 猪肉 [01\[ zhū ròu\]]	pork
豬鏈球菌 猪链球菌 [01\[ zhū liàn qiú jūn\]]	pig streptococcus;streptococcus suis
豬鏈球菌病 猪链球菌病 [01\[ zhū liàn qiú jūn bìng\]]	streptococcus suis (swine-borne disease)
豬頭 猪头 [01\[ zhū tóu\]]	pig head
豭 豭 [01\[ jiā\]]	boar;male pig
豱 豱 [01\[ wēn\]]	short-headed pig
豱公 豱公 [01\[ wēn gōng\]]	piggy (joking name)
豳 豳 [01\[ bīn\]]	name of an ancient city
豵 豵 [01\[ zōng\]]	litter of pigs;little pig
豶 豶 [01\[ fén\]]	gelded pig
豷 豷 [01\[ yì\]]	breathing of pigs
豸 豸 [01\[ zhì\]]	(mythical animal)
豹 豹 [01\[ bào\]]	leopard;panther
豹子 豹子 [01\[ bào zi\]]	leopard
豹拳 豹拳 [01\[ bào quán\]]	bao quan - leopard fist - martial art
豺 豺 [01\[ chái\]]	ravenous beast;wolves (collect.)
豺狼座 豺狼座 [01\[ chái láng zuò\]]	lupus (constellation)
豻 豻 [01\[ àn\]]	jail
豻 豻 [01\[ hàn\]]	(canine)
貂 貂 [01\[ diāo\]]	sable;marten
貂皮 貂皮 [01\[ diāo pí\]]	mink fur
貂蟬 貂蝉 [01\[ diāo chán\]]	diaochan (-192)
貅 貅 [01\[ xiū\]]	see píxiū 貔貅
貆 貆 [01\[ huán\]]	badger
貉 貉 [01\[ háo\]]	raccoon dog;cf 貉子
貉 貉 [01\[ hé\]]	raccoon dog (nyctereutes procyonoides);raccoon of north china
貉 貉 [01\[ mò\]]	old term for northern peoples;silent
貉子 貉子 [01\[ háo zi\]]	raccoon dog (nyctereutes procyonoides);raccoon of north china
貉絨 貉绒 [01\[ háo róng\]]	precious fur obtained from skin of raccoon dog after removing hard bristle
貊 貊 [01\[ mò\]]	name of a wild tribe;silent
貌 貌 [01\[ mào\]]	appearance
貌美 貌美 [01\[ mào měi\]]	good looks;pretty (e.g. young woman)
貍 貍 [01\[ lí\]]	wild cat
貎 猊 [01\[ ní\]]	wild beast;wild horse;lion;trad. form used erroneously for 貌;simplified form used erroneously for 狻
貓 猫 [01\[ māo\]]	cat
貓兒 猫儿 [01\[ māo ér\]]	kitten
貓兒山 猫儿山 [01\[ māo ér shān\]]	kitten mountain
貓叫聲 猫叫声 [01\[ māo jiào shēng\]]	mew
貓咪 猫咪 [01\[ māo mī\]]	kitty
貓王 猫王 [01\[ māo wáng\]]	king of cats;elvis presley (1935-1977)
貓科 猫科 [01\[ māo kē\]]	felidae (the cat family)
貓霧族 猫雾族 [01\[ māo wù zú\]]	babuza
貓頭鷹 猫头鹰 [01\[ māo tóu yīng\]]	owl
貓鼬 猫鼬 [01\[ māo yòu\]]	a mongoose
貔 貔 [01\[ pí\]]	see píxiū 貔貅
貔貅 貔貅 [01\[ pí xiū\]]	mythical animal that brings luck and wards off evil
貘 貘 [01\[ mò\]]	tapir
貜 貜 [01\[ jué\]]	(ape)
貝 贝 [01\[ bèi\]]	cowries;shell;valuables;shellfish;surname bei
貝・佈托 贝・布托 [01\[ bèi · bù tuō\]]	benazir bhutto (1953-2007)
貝丘 贝丘 [01\[ bèi qiū\]]	shell mound
貝克 贝克 [01\[ bèi kè\]]	baker (name)
貝利卡登 贝利卡登 [01\[ bèi lì kǎ dēng\]]	ballycotton (irish: baile choitín)
貝加爾湖 贝加尔湖 [01\[ bèi jiā ěr hú\]]	lake baikal
貝加萊 贝加莱 [01\[ bèi jiā lái\]]	b&r industrial automation international trade (shanghai) co.
貝努力 贝努力 [01\[ bèi nǔ lì\]]	bernoulli (swiss mathematical family
貝卡谷地 贝卡谷地 [01\[ bèi kǎ gǔ dì\]]	bekaa valley between lebanon and syria
貝塔 贝塔 [01\[ bèi tǎ\]]	beta (greek letter ββ)
貝多羅樹 贝多罗树 [01\[ bèi duō luó shù\]]	talipot palm (corypha umbraculifera)
貝多芬 贝多芬 [01\[ bèi duō fēn\]]	beethoven
貝婭特麗克絲 贝娅特丽克丝 [01\[ bèi yà tè lí kè sī\]]	beatrix (name)
貝寧 贝宁 [01\[ bèi níng\]]	benin
貝彫 贝雕 [01\[ bèi diāo\]]	shell carving
貝拉 贝拉 [01\[ bèi lā\]]	beira
貝拉米 贝拉米 [01\[ bèi lā mǐ\]]	bellamy
貝斯 贝斯 [01\[ bèi sī\]]	bass (loan);bass guitar;bes or bisu
貝斯吉他 贝斯吉他 [01\[ bèi sī jí tā\]]	bass guitar
貝殼 贝壳 [01\[ bèi ké\]]	shell;conch;cowry;mother of pearl;hard outer skin;alternative reading bei4 qiao4
貝殼兒 贝壳儿 [01\[ bèi ké 5r\]]	erhua variant of 貝殼 贝壳
貝母 贝母 [01\[ bèi mǔ\]]	the bulb of the fritillary (fritillaria thunbergii)
貝爾 贝尔 [01\[ bèi ěr\]]	bell (person name)
貝爾實驗室 贝尔实验室 [01\[ bèi ěr shí yàn shì\]]	bell labs
貝爾格萊德 贝尔格莱德 [01\[ bèi ěr gé lái dé\]]	belgrade (capital of serbia)
貝爾法斯特 贝尔法斯特 [01\[ bèi ěr fǎ sī tè\]]	belfast
貝爾湖 贝尔湖 [01\[ bèi ěr hú\]]	lake buir of inner mongolia
貝爾莫潘 贝尔莫潘 [01\[ bèi ěr mò pān\]]	belmopan (capital of belize)
貝納通 贝纳通 [01\[ bèi nà tōng\]]	benetton
貝聿銘 贝聿铭 [01\[ bèi yù míng\]]	pei ieoh ming or i.m. pei (1917-)
貝雷帽 贝雷帽 [01\[ bèi léi mào\]]	beret
貝類 贝类 [01\[ bèi lèi\]]	shellfish;mollusks
貝魯特 贝鲁特 [01\[ bèi lǔ tè\]]	beirut (capital of lebanon)
貞 贞 [01\[ zhēn\]]	chaste
貞德 贞德 [01\[ zhēn dé\]]	jeanne d'arc (1412-1431)
貞潔 贞洁 [01\[ zhēn jié\]]	chastity
貞豐 贞丰 [01\[ zhēn fēng\]]	(n) zhenfeng (place in guizhou)
負 负 [01\[ fù\]]	lose;negative (math. etc);to bear;to carry (on one's back)
負債 负债 [01\[ fù zhài\]]	indebted
負債纍纍 负债纍纍 [01\[ fù zhài lěi lěi\]]	heavily in debt
負傷 负伤 [01\[ fù shāng\]]	injury;wound;hurt;injured;wounded;to wound;to injure
負反饋 负反馈 [01\[ fù fǎn kuì\]]	negative feedback
負壓 负压 [01\[ fù yā\]]	suction;negative pressure
負心 负心 [01\[ fù xīn\]]	ungrateful;heartless;to fail to be loyal to one's love
負擔 负担 [01\[ fù dān\]]	burden;to bear a burden
負擔不起 负担不起 [01\[ fù dān bu qǐ\]]	cannot afford;cannot bear the burden
負擔者 负担者 [01\[ fù dān zhě\]]	bearer
負整數 负整数 [01\[ fù zhěng shù\]]	negative integer
負數 负数 [01\[ fù shù\]]	negative number
負方 负方 [01\[ fù fāng\]]	the losing side
負有 负有 [01\[ fù yǒu\]]	to be responsible for
負極 负极 [01\[ fù jí\]]	negative pole;cathode
負片 负片 [01\[ fù piàn\]]	negative (in photography)
負荷 负荷 [01\[ fù hè\]]	load;burden;charge
負責 负责 [01\[ fù zé\]]	to be in charge of;to take responsibility for;to be to blame;conscientious
負責人 负责人 [01\[ fù zé rén\]]	person in charge (of something)
負責任 负责任 [01\[ fù zé rèn\]]	responsibility for;blamed for;be in charge of
負載 负载 [01\[ fù zài\]]	load
負重擔 负重担 [01\[ fù zhòng dān\]]	burdened
負離子 负离子 [01\[ fù lí zǐ\]]	negative ion (phys.)
負面 负面 [01\[ fù miàn\]]	negative;the negative side
負鼠 负鼠 [01\[ fù shǔ\]]	opossum (zoo.)
財 财 [01\[ cái\]]	money;wealth;riches;property;valuables
財主 财主 [01\[ cái zhǔ\]]	rich man;moneybags
財利 财利 [01\[ cái lì\]]	wealth and profit;riches
財力 财力 [01\[ cái lì\]]	financial resources
財務 财务 [01\[ cái wù\]]	financial affairs
財務秘書 财务秘书 [01\[ cái wù mì shū\]]	treasurer
財務軟件 财务软件 [01\[ cái wù ruǎn jiàn\]]	financial software;accounting software
財團 财团 [01\[ cái tuán\]]	financial group
財富 财富 [01\[ cái fù\]]	wealth;riches
財寶 财宝 [01\[ cái bǎo\]]	money and valuables
財帛 财帛 [01\[ cái bó\]]	wealth;money
財政 财政 [01\[ cái zhèng\]]	finances (public);financial
財政年度 财政年度 [01\[ cái zhèng nián dù\]]	financial year;fiscal year (e.g. from april to march
財政部 财政部 [01\[ cái zhèng bù\]]	ministry of finance
財會 财会 [01\[ cái kuài\]]	finance and accounting
財東 财东 [01\[ cái dōng\]]	shop owner;moneybags
財權 财权 [01\[ cái quán\]]	property ownership or right; financial power; financial control
財源 财源 [01\[ cái yuán\]]	financial resources;source of revenue
財物 财物 [01\[ cái wù\]]	property;belongings
財產 财产 [01\[ cái chǎn\]]	property
財產公證 财产公证 [01\[ cái chǎn gōng zhèng\]]	property notarization
財產權 财产权 [01\[ cái chǎn quán\]]	property rights
財神 财神 [01\[ cái shén\]]	the god of wealth
財經 财经 [01\[ cái jīng\]]	finance and economics
財貿 财贸 [01\[ cái mào\]]	finance and trade
財迷 财迷 [01\[ cái mí\]]	money grubber;miser
財長 财长 [01\[ cái zhǎng\]]	treasurer;head of finances;minister of finance
財閥 财阀 [01\[ cái fá\]]	financial magnate;plutocrat;tycoon
貢 贡 [01\[ gòng\]]	tribute;gifts
貢品 贡品 [01\[ gòng pǐn\]]	tribute
貢嘎 贡嘎 [01\[ gòng gá\]]	gongkar or gonggar
貢寮鄉 贡寮乡 [01\[ gòng liáo xiāng\]]	(n) kungliao (village in taiwan)
貢物 贡物 [01\[ gòng wù\]]	tribute
貢獻 贡献 [01\[ gòng xiàn\]]	to contribute;to dedicate;to devote;contribution
貢獻者 贡献者 [01\[ gòng xiàn zhě\]]	contributor;benefactor
貢覺 贡觉 [01\[ gòng jué\]]	(n) gongjue (place in tibet)
貢賦 贡赋 [01\[ gòng fù\]]	tribute
貢高我慢 贡高我慢 [01\[ gòng gāo wǒ màn\]]	haughty and arrogant
貤 貤 [01\[ yí\]]	promote;reward
貧 贫 [01\[ pín\]]	poor;inadequate;deficient;garrulous
貧乏 贫乏 [01\[ pín fá\]]	lack;incomplete
貧僧 贫僧 [01\[ pín sēng\]]	poor monk (humble term used by monk of himself)
貧嘴 贫嘴 [01\[ pín zuǐ\]]	talkative;garrulous;loquacious
貧嘴薄舌 贫嘴薄舌 [01\[ pín zuǐ bó shé\]]	garrulous and sharp-tongued
貧困 贫困 [01\[ pín kùn\]]	impoverished;poverty
貧女詩 贫女诗 [01\[ pín nǚ shī\]]	poor woman
貧富 贫富 [01\[ pín fù\]]	poor and rich
貧富差距 贫富差距 [01\[ pín fù chā jù\]]	disparity between rich and poor
貧弱 贫弱 [01\[ pín ruò\]]	poor and feeble
貧民 贫民 [01\[ pín mín\]]	poor people
貧民區 贫民区 [01\[ pín mín qū\]]	slum area;ghetto
貧民窟 贫民窟 [01\[ pín mín kū\]]	slum housing
貧氣 贫气 [01\[ pín qì\]]	mean;stingy;garrulous
貧油 贫油 [01\[ pín yóu\]]	poor in oil
貧油國 贫油国 [01\[ pín yóu guó\]]	country poor in oil
貧無立錐 贫无立锥 [01\[ pín wú lì zhuī\]]	not even enough land to stand an awl (成语 saw); absolutely destitute
貧無立錐之地 贫无立锥之地 [01\[ pín wú lì zhuī zhī dì\]]	not even enough land to stand an awl (成语 saw); absolutely destitute
貧瘠 贫瘠 [01\[ pín jí\]]	barren;infertile;poor
貧相 贫相 [01\[ pín xiàng\]]	mean;stingy
貧礦 贫矿 [01\[ pín kuàng\]]	low grade ore
貧窮 贫穷 [01\[ pín qióng\]]	poor;impoverished
貧窮潦倒 贫穷潦倒 [01\[ pín qióng liáo dǎo\]]	poverty stricken
貧腔 贫腔 [01\[ pín qiāng\]]	verbose;garrulous
貧苦 贫苦 [01\[ pín kǔ\]]	poverty-stricken;poor
貧血 贫血 [01\[ pín xuè\]]	anemia
貧血性壞死 贫血性坏死 [01\[ pín xuè xìng huài sǐ\]]	anemic necrosis
貧賤 贫贱 [01\[ pín jiàn\]]	poor and lowly
貧賤不能移 贫贱不能移 [01\[ pín jiàn bù néng yí\]]	not shaken by poverty;to preserve one's ambitions although destitute
貧農 贫农 [01\[ pín nóng\]]	poor peasant
貧鈾 贫铀 [01\[ pín yóu\]]	depleted uranium (d-38)
貧雇農 贫雇农 [01\[ pín gù nóng\]]	poor peasants (in marxism)
貨 货 [01\[ huò\]]	goods;money;commodity
貨倉 货仓 [01\[ huò cāng\]]	a warehouse
貨幣 货币 [01\[ huò bì\]]	currency;monetary;money
貨幣供應量 货币供应量 [01\[ huò bì gōng yìng liàng\]]	money supply
貨幣危機 货币危机 [01\[ huò bì wēi jī\]]	monetary crisis
貨幣貶值 货币贬值 [01\[ huò bì biǎn zhí\]]	currency devaluation;to devaluate a currency
貨攤 货摊 [01\[ huò tān\]]	vendor's stall
貨架 货架 [01\[ huò jià\]]	shelf for goods;shop shelf
貨棧 货栈 [01\[ huò zhàn\]]	a warehouse
貨機 货机 [01\[ huò jī\]]	cargo plane
貨款 货款 [01\[ huò kuǎn\]]	payment for goods
貨源 货源 [01\[ huò yuán\]]	supply of goods
貨物 货物 [01\[ huò wù\]]	goods;commodity;merchandise
貨物運輸 货物运输 [01\[ huò wù yùn shū\]]	freight
貨站 货站 [01\[ huò zhàn\]]	a store;the collection point in a store
貨船 货船 [01\[ huò chuán\]]	cargo ship;freighter
貨車 货车 [01\[ huò chē\]]	van
貨輪 货轮 [01\[ huò lún\]]	freighter;cargo ship
貨運 货运 [01\[ huò yùn\]]	freight transport;cargo;transported goods
貨運列車 货运列车 [01\[ huò yùn liè chē\]]	goods train;freight train
販 贩 [01\[ fàn\]]	deal in;trade in;to peddle;to sell
販嬰 贩婴 [01\[ fàn yīng\]]	child trafficking
販子 贩子 [01\[ fàn zǐ\]]	child trafficking
販子 贩子 [01\[ fàn zi\]]	trafficker;dealer;monger;peddler
販毒 贩毒 [01\[ fàn dú\]]	to sell narcotics;the drugs trade
販賣 贩卖 [01\[ fàn mài\]]	to sell;to peddle
販運 贩运 [01\[ fàn yùn\]]	to transport (for sale);to traffic (in sth)
貪 贪 [01\[ tān\]]	greedy
貪吃 贪吃 [01\[ tān chī\]]	gluttony
貪吃者 贪吃者 [01\[ tān chī zhě\]]	glutton
貪圖 贪图 [01\[ tān tú\]]	to seek
貪多嚼不爛 贪多嚼不烂 [01\[ tān duō jiáo bù làn\]]	to bite off more than one can chew
貪婪 贪婪 [01\[ tān lán\]]	avaricious;greedy;rapacious;insatiable;greedy;avid
貪官 贪官 [01\[ tān guān\]]	a grasping official;a greedy mandarin
貪得無厭 贪得无厌 [01\[ tān dé wú yàn\]]	insatiably greedy
貪心 贪心 [01\[ tān xīn\]]	greedy
貪慾 贪欲 [01\[ tān yù\]]	greed;avarice;rapacious;avid
貪戀 贪恋 [01\[ tān liàn\]]	to cling to
貪杯 贪杯 [01\[ tān bēi\]]	to drink in excess
貪求無厭 贪求无厌 [01\[ tān qiú wú yàn\]]	insatiably greedy (成语 saw)
貪污 贪污 [01\[ tān wū\]]	(political
貪腐 贪腐 [01\[ tān fǔ\]]	corruption
貪色 贪色 [01\[ tān sè\]]	greedy for sex;given to lust for women
貪財 贪财 [01\[ tān cái\]]	to be greedy in getting money
貪賄無藝 贪贿无艺 [01\[ tān huì wú yì\]]	greed for bribes knows no bounds (成语 saw); unbridled corruption
貪贓枉法 贪赃枉法 [01\[ tān zāng wǎng fǎ\]]	corruption and abuse of the law (成语 saw); to take bribes and bend the law
貪食 贪食 [01\[ tān shí\]]	greedy;glutton
貫 贯 [01\[ guàn\]]	pierce;to string
貫徹 贯彻 [01\[ guàn chè\]]	implement;put into practice;carry out
貫時 贯時 [01\[ guàn shí\]]	diachronic
貫穿 贯穿 [01\[ guàn chuān\]]	to run through;a connecting thread from beginning to end;to link
貫通 贯通 [01\[ guàn tōng\]]	to link up;to thread together
責 责 [01\[ zé\]]	duty;responsibility;to reproach;to blame
責令 责令 [01\[ zé lìng\]]	to order;to enjoin;to charge;to instruct sb to finish sth
責任 责任 [01\[ zé rèn\]]	responsibility;blame;duty
責任制 责任制 [01\[ zé rèn zhì\]]	system of job responsibility
責任心 责任心 [01\[ zé rèn xīn\]]	sense of responsibility
責任感 责任感 [01\[ zé rèn gǎn\]]	sense of responsibility
責備 责备 [01\[ zé bèi\]]	to blame;to criticize sb
責怪 责怪 [01\[ zé guài\]]	to blame;to rebuke
責成 责成 [01\[ zé chéng\]]	give sb a task
責打 责打 [01\[ zé dǎ\]]	to punish by flogging
責無旁貸 责无旁贷 [01\[ zé wú páng dài\]]	to be duty bound;to be one's unshrinkable responsibility
責罵 责骂 [01\[ zé mà\]]	scold
責難 责难 [01\[ zé nàn\]]	censure
貯 贮 [01\[ zhù\]]	to store;to save;stockpile
貯備 贮备 [01\[ zhù bèi\]]	to store
貯存 贮存 [01\[ zhù cún\]]	to store;to deposit
貯存器 贮存器 [01\[ zhù cún qì\]]	storage device (comp.)
貯存管 贮存管 [01\[ zhù cún guǎn\]]	storage container for liquid or gas;gas holder
貯木場 贮木场 [01\[ zhù mù chǎng\]]	lumber yard
貯水處 贮水处 [01\[ zhǔ shuǐ chù\]]	reservoir
貯熱 贮热 [01\[ zhù rè\]]	to conserve heat
貯物 贮物 [01\[ zhù wù\]]	storage
貯藏 贮藏 [01\[ zhǔ cáng\]]	to store up;to hoard;deposits
貰 贳 [01\[ shì\]]	borrow;buy on credit;rent out
貲 赀 [01\[ zī\]]	fine instead of punishment;property
貳 贰 [01\[ èr\]]	two (banker's anti-fraud numeral)
貳拾 貳拾 [01\[ èr shí\]]	twenty (in banker's anti-fraud numerals)
貴 贵 [01\[ guì\]]	expensive;noble;your (name);precious
貴公司 贵公司 [01\[ guì gōng sī\]]	your company
貴南 贵南 [01\[ guì nán\]]	(n) guinan (place in qinghai)
貴古賤今 贵古贱今 [01\[ guì gǔ jiàn jīn\]]	to revere the past and despise the present (成语 saw)
貴妃 贵妃 [01\[ guì fēi\]]	senior concubine;imperial consort
貴妃醉酒 贵妃醉酒 [01\[ guì fēi zuì jiǔ\]]	the drunken beauty
貴姓 贵姓 [01\[ guì xìng\]]	what is your name?
貴婦人 贵妇人 [01\[ guì fù rén\]]	dame
貴定 贵定 [01\[ guì dìng\]]	(n) guiding (place in guizhou)
貴州 贵州 [01\[ guì zhōu\]]	guizhou province (kweichow) in south central china
貴州日報 贵州日报 [01\[ guì zhōu rì bào\]]	guizhou daily
貴州省 贵州省 [01\[ guì zhōu shěng\]]	guizhou province (kweichow) in south central china
貴德 贵德 [01\[ guì dé\]]	(n) guide (place in qinghai)
貴族 贵族 [01\[ guì zú\]]	lord;nobility;nobleman;noblewoman;aristocrat;aristocracy
貴族化 贵族化 [01\[ guì zú huà\]]	aristocratic
貴族社會 贵族社会 [01\[ guì zú shè huì\]]	aristocracy
貴族論者 贵族论者 [01\[ guì zú lùn zhě\]]	aristocrat
貴族身份 贵族身份 [01\[ guì zú shēn fèn\]]	lordship
貴池 贵池 [01\[ guì chí\]]	(n) guichi (city in anhui)
貴港 贵港 [01\[ guì gǎng\]]	guigang prefecture level city in guangxi
貴港市 贵港市 [01\[ guì gǎng shì\]]	guigang prefecture level city in guangxi
貴溪 贵溪 [01\[ guì xī\]]	guixi county level city in yingtan 鷹潭|鹰潭
貴溪市 贵溪市 [01\[ guì xī shì\]]	guixi county level city in yingtan 鷹潭|鹰潭
貴賓 贵宾 [01\[ guì bīn\]]	honored guest;distinguished guest;vip
貴賓室 贵宾室 [01\[ guì bīn shì\]]	vip lounge
貴賤 贵贱 [01\[ guì jiàn\]]	noble and lowly;high versus low social hierarchy of ruler to people
貴遠賤近 贵远贱近 [01\[ guì yuǎn jiàn jìn\]]	to revere the past and despise the present (成语 saw)
貴重 贵重 [01\[ guì zhòng\]]	precious
貴金屬 贵金属 [01\[ guì jīn shǔ\]]	precious metal
貴陽 贵阳 [01\[ guì yáng\]]	guiyang prefecture level city and capital of guizhou province
貴陽市 贵阳市 [01\[ guì yáng shì\]]	guiyang prefecture level city and capital of guizhou province
貶 贬 [01\[ biǎn\]]	to diminish;to demote;reduce or devaluate;disparage;censure;depreciate
貶低 贬低 [01\[ biǎn dī\]]	belittle;depreciate;play down
貶值 贬值 [01\[ biǎn zhí\]]	to become devaluated;to devaluate;to depreciate
貶抑 贬抑 [01\[ biǎn yì\]]	belittle;depreciate
貶損 贬损 [01\[ biǎn sǔn\]]	to mock;to disparage;to belittle
貶斥 贬斥 [01\[ biǎn chì\]]	demote;denounce
貶義 贬义 [01\[ biǎn yì\]]	derogatory sense
貶詞 贬词 [01\[ biǎn cí\]]	derogatory term;expression of censure
貶謫 贬谪 [01\[ biǎn zhé\]]	banish from the court;relegate
買 买 [01\[ mǎi\]]	buy
買主 买主 [01\[ mǎi zhǔ\]]	customer
買價 买价 [01\[ mǎi jià\]]	buying price
買到 买到 [01\[ mǎi dào\]]	bought
買單 买单 [01\[ mǎi dān\]]	pay the restaurant bill
買回 买回 [01\[ mǎi huí\]]	to buy back;to redeem;repurchase
買好 买好 [01\[ mǎi hǎo\]]	to ingratiate oneself
買家 买家 [01\[ mǎi jiā\]]	buyer;client
買帳 买帐 [01\[ mǎi zhàng\]]	to show respect (for sb)
買方 买方 [01\[ mǎi fāng\]]	buyer (in contracts)
買方市場 买方市场 [01\[ mǎi fāng shì chǎng\]]	buyer's market
買東西 买东西 [01\[ mǎi dōng xi\]]	to go shopping
買賣 买卖 [01\[ mǎi mài\]]	buying and selling;business dealings;transactions
買賬 买账 [01\[ mǎi zhàng\]]	to acknowledge sb as senior or superior (often in negative);to accept (a version of events);to buy it (slang)
買通 买通 [01\[ mǎi tōng\]]	to bribe
買進 买进 [01\[ mǎi jìn\]]	purchase
貸 贷 [01\[ dài\]]	to lend on interest;to borrow;a loan;leniency;to make excuses;to pardon;to forgive
貸方 贷方 [01\[ dài fāng\]]	credit;credit side (of a balance sheet)
貸款 贷款 [01\[ dài kuǎn\]]	a loan;to provide a loan (e.g. bank)
貸款人 贷款人 [01\[ dài kuǎn rén\]]	the lender
貺 贶 [01\[ kuàng\]]	bestow;confer
費 费 [01\[ fèi\]]	to cost;to spend;fee;wasteful;expenses;surname fei
費事 费事 [01\[ fèi shì\]]	troublesome
費利克斯 费利克斯 [01\[ fèi lì kè sī\]]	felix
費力 费力 [01\[ fèi lì\]]	great effort;to strain (oneself)
費加羅報 费加罗报 [01\[ fèi jiā luó bào\]]	le figaro
費勁 费劲 [01\[ fèi jìn\]]	to require effort;strenuous
費勁兒 费劲儿 [01\[ fèi jìn 5r\]]	to require effort;strenuous
費城 费城 [01\[ fèi chéng\]]	philadelphia
費奧多爾 费奥多尔 [01\[ fèi ào duō ěr\]]	theodor of fyodor (name)
費孝通 费孝通 [01\[ fèi xiào tōng\]]	fei xiaotong
費德勒 费德勒 [01\[ fèi dé lè\]]	roger feder (swiss tennis star)
費心 费心 [01\[ fèi xīn\]]	to worry
費洛蒙 费洛蒙 [01\[ fèi luò méng\]]	pheromone
費爾巴哈 费尔巴哈 [01\[ fèi ěr bā hā\]]	ludwig feuerbach (1804-1872)
費爾干納 费尔干纳 [01\[ fèi ěr gàn nà\]]	the ferghana valley (in uzbekhistan
費爾干納槃地 费尔干纳槃地 [01\[ fèi ěr gàn nà pán dì\]]	the ferghana valley (in uzbekhistan
費爾幹納盆地 费尔干纳盆地 [01\[ fèi ěr gàn nà pén dì\]]	the ferghana valley in modern uzbekistan
費爾馬 费尔马 [01\[ fèi ěr mǎ\]]	pierre de fermat (1601-1665)
費爾馬大定理 费尔马大定理 [01\[ fèi ěr mǎ dà dìng lǐ\]]	fermat's last theorem
費用 费用 [01\[ fèi yòng\]]	cost;expenditure;expense
費盡心機 费尽心机 [01\[ fèi jìn xīn jī\]]	(set phrase);to rack one's brains (in scheming);to use all one's mental energies
費盧傑 费卢杰 [01\[ fèi lú jié\]]	fallujah
費米子 费米子 [01\[ fèi mǐ zǐ\]]	fermion
費縣 费县 [01\[ fèi xiàn\]]	fei county in shandong
費解 费解 [01\[ fèi jiě\]]	hard to understand;unintelligible;incomprehensible
貼 贴 [01\[ tiē\]]	to stick;to paste;to keep close to;to fit snugly;subsidize;allowance
貼切 贴切 [01\[ tiē qiè\]]	close-fitting;closest (translation)
貼吧 贴吧 [01\[ tiē ba\]]	web page
貼士 贴士 [01\[ tiē shì\]]	tip;hint;inside story
貼心 贴心 [01\[ tiē xīn\]]	intimate;close
貼息 贴息 [01\[ tiē xī\]]	to discount the interest on a bill of exchange
貼水 贴水 [01\[ tiē shuǐ\]]	agio (charge for changing currency);premium
貼現 贴现 [01\[ tiē xiàn\]]	discount;rebate
貼現率 贴现率 [01\[ tiē xiàn lǜ\]]	discount rate
貼身衛隊 贴身卫队 [01\[ tiē shēn wèi duì\]]	personal bodyguard
貼近 贴近 [01\[ tiē jìn\]]	to press close to;to snuggle close;intimate
貽 贻 [01\[ yí\]]	bequeath
貽誤 贻误 [01\[ yí wù\]]	to mislead;to affect adversely;to bungle;to cause delay or hindrance
貿 贸 [01\[ mào\]]	commerce;trade
貿易 贸易 [01\[ mào yì\]]	(commercial) trade
貿易保護主義 贸易保护主义 [01\[ mào yì bǎo hù zhǔ yì\]]	trade protectionism
貿易公司 贸易公司 [01\[ mào yì gōng sī\]]	trading company
貿易國 贸易国 [01\[ mào yì guó\]]	trading nation
貿易壁壘 贸易壁垒 [01\[ mào yì bì lěi\]]	trade barrier
貿易夥伴 贸易夥伴 [01\[ mào yì huǒ bàn\]]	trading partner
貿易戰 贸易战 [01\[ mào yì zhàn\]]	trade war
貿易組織 贸易组织 [01\[ mào yì zǔ zhī\]]	trade organization
貿易談判 贸易谈判 [01\[ mào yì tán pàn\]]	trade talks
貿易逆差 贸易逆差 [01\[ mào yì nì chā\]]	trade deficit;adverse trade balance
貿易順差 贸易顺差 [01\[ mào yì shùn chā\]]	trade surplus
貿易額 贸易额 [01\[ mào yì é\]]	volume of trade (between countries)
賀 贺 [01\[ hè\]]	congratulate;surname he
賀卡 贺卡 [01\[ hè kǎ\]]	greeting card;congratulation card
賀子珍 贺子珍 [01\[ hé zǐ zhēn\]]	he zizhen (1910-1984)
賀州 贺州 [01\[ hè zhōu\]]	hezhou prefecture level city in guangxi
賀州市 贺州市 [01\[ hè zhōu shì\]]	hezhou prefecture level city in guangxi
賀年卡 贺年卡 [01\[ hè nián kǎ\]]	new year greeting card
賀年片 贺年片 [01\[ hè nián piàn\]]	new year's card
賀縣 贺县 [01\[ hè xiàn\]]	he county in guangxi
賀蘭 贺兰 [01\[ hè lán\]]	(n) helan (place in ningxia)
賀詞 贺词 [01\[ hè cí\]]	message of congratulation
賀龍 贺龙 [01\[ hè lóng\]]	he long (1896-1969)
賁 贲 [01\[ bēn\]]	energetic;surname ben
賁 贲 [01\[ bì\]]	bright
賁臨 贲临 [01\[ bì lín\]]	(of distinguished guest) honor my house (firm etc) with your presence
賂 赂 [01\[ lù\]]	bribe;bribery
賃 赁 [01\[ lìn\]]	to rent
賄 贿 [01\[ huì\]]	bribe;bribery
賄賂 贿赂 [01\[ huì lù\]]	bribe
賅 赅 [01\[ gāi\]]	surname gai;include in;prepare
