资本	59-51584-S
跑錶 跑錶	60-36521-B
跑電 跑电	60-36565-B
跑鞋	60-36618-S
跑鞋 跑鞋	60-36618-B
跑馬 跑马	60-36665-B
跑马	60-36665-S
跑龍套 跑龙套	60-36708-B
跑龙套	60-36708-S
跕	60-36774-S
跕 跕	60-36774-B
跖	60-36804-S
跖 跖	60-36804-B
跗	60-36839-S
跗 跗	60-36839-B
跙	60-36874-S
跙 跙	60-36874-B
跚	60-36900-S
跚 跚	60-36900-B
跛	60-36928-S
跛 跛	60-36928-B
跛子	60-36963-S
跛子 跛子	60-36963-B
跛足	60-37013-S
跛足 跛足	60-37013-B
距	60-37049-S
距 距	60-37049-B
距今	60-37108-S
距今 距今	60-37108-B
距状皮层	60-37179-S
距狀皮層 距状皮层	60-37179-B
距离	60-37246-S
距離 距离	60-37246-B
跞	60-54004-S
跟	60-37298-S
跟 跟	60-37298-B
跟上	60-37450-S
跟上 跟上	60-37450-B
跟不上	60-37520-S
跟不上 跟不上	60-37520-B
跟人	60-37589-S
跟人 跟人	60-37589-B
跟从	60-38054-S
跟前	60-37642-S
跟前 跟前	60-37642-B
跟包	60-37696-S
跟包 跟包	60-37696-B
跟头	60-38539-S
跟屁股	60-37794-S
跟屁股 跟屁股	60-37794-B
跟屁虫	60-37876-S
跟屁蟲 跟屁虫	60-37876-B
跟差	60-38010-S
跟差 跟差	60-38010-B
跟從 跟从	60-38054-B
跟班	60-38095-S
跟班 跟班	60-38095-B
跟着	60-38327-S
跟脚	60-38229-S
跟腱	60-38156-S
跟腱 跟腱	60-38156-B
跟腳 跟脚	60-38229-B
跟著 跟着	60-38327-B
跟踪	60-38372-S
跟蹤 跟踪	60-38372-B
跟进	60-38446-S
跟進 跟进	60-38446-B
跟随	60-38496-S
跟隨 跟随	60-38496-B
跟頭 跟头	60-38539-B
跡 迹	60-38639-B
跡象 迹象	60-38720-B
跣	60-38785-S
跣 跣	60-38785-B
跤	60-38819-S
跤 跤	60-38819-B
跦	60-38863-S
跦 跦	60-38863-B
跧	60-38913-S
跧 跧	60-38913-B
跨	60-38954-S
跨 跨	60-38954-B
跨国	60-39001-S
跨国公司	60-39062-S
跨国化	60-39169-S
跨國 跨国	60-39001-B
跨國公司 跨国公司	60-39062-B
跨國化 跨国化	60-39169-B
跨地区	60-39240-S
跨地區 跨地区	60-39240-B
跨境	60-39332-S
跨境 跨境	60-39332-B
跨学科	60-39387-S
跨學科 跨学科	60-39387-B
跨平台	60-39485-S
跨平台 跨平台	60-39485-B
跨度	60-39545-S
跨度 跨度	60-39545-B
跨接器	60-39582-S
跨接器 跨接器	60-39582-B
跨文化	60-39632-S
跨文化 跨文化	60-39632-B
跨栏	60-39690-S
跨栏比赛	60-39755-S
跨欄 跨栏	60-39690-B
跨欄比賽 跨栏比赛	60-39755-B
跨洲	60-39849-S
跨洲 跨洲	60-39849-B
跨線橋 跨线桥	60-39900-B
跨线桥	60-39900-S
跨語言 跨语言	60-39969-B
跨语言	60-39969-S
跨越	60-40036-S
跨越 跨越	60-40036-B
跨越式	60-40094-S
跨越式 跨越式	60-40094-B
跨过	60-40311-S
跨通道启动技术	60-40201-S
跨通道啟動技術 跨通道启动技术	60-40201-B
跨過 跨过	60-40311-B
跨鶴 跨鹤	60-40370-B
跨鶴西遊 跨鹤西游	60-40427-B
跨鹤	60-40370-S
跨鹤西游	60-40427-S
跩	60-40487-S
跩 跩	60-40487-B
跪	60-40526-S
跪 跪	60-40526-B
跪下	60-40554-S
跪下 跪下	60-40554-B
跪伏	60-40600-S
跪伏 跪伏	60-40600-B
跪倒	60-40654-S
跪倒 跪倒	60-40654-B
跪叩	60-40734-S
跪叩 跪叩	60-40734-B
跪拜	60-40777-S
跪拜 跪拜	60-40777-B
跪毯	60-40841-S
跪毯 跪毯	60-40841-B
跪祷	60-40909-S
跪禱 跪祷	60-40909-B
跫	60-40961-S
跫 跫	60-40961-B
跬	60-41004-S
跬 跬	60-41004-B
跮	60-41043-S
跮 跮	60-41043-B
路	60-41079-S
路 路	60-41079-B
路上	60-41125-S
路上 路上	60-41125-B
路上比終點更有意義 路上比终点更有意义	60-41196-B
路上比终点更有意义	60-41196-S
路不拾遗	60-41398-S
路不拾遺 路不拾遗	60-41398-B
路人	60-41584-S
路人 路人	60-41584-B
路加	60-41626-S
路加 路加	60-41626-B
路加福音	60-41686-S
路加福音 路加福音	60-41686-B
路南彝族自治县	60-41767-S
路南彝族自治縣 路南彝族自治县	60-41767-B
路口	60-41892-S
路口 路口	60-41892-B
路子	60-41957-S
路子 路子	60-41957-B
路径	60-42007-S
路徑 路径	60-42007-B
路得	60-42081-S
路得 路得	60-42081-B
路得記 路得记	60-42152-B
路得记	60-42152-S
路德	60-42206-S
路德 路德	60-42206-B
路德会	60-42336-S
路德宗	60-42277-S
路德宗 路德宗	60-42277-B
路德會 路德会	60-42336-B
路德維希 路德维希	60-42394-B
路德维希	60-42394-S
路易	60-42460-S
路易 路易	60-42460-B
路易・皮埃尔・阿尔都塞	60-42513-S
路易・皮埃爾・阿爾都塞 路易・皮埃尔・阿尔都塞	60-42513-B
路易斯	60-42668-S
路易斯 路易斯	60-42668-B
路易斯安那州	60-42731-S
路易斯安那州 路易斯安那州	60-42731-B
路易港	60-42825-S
路易港 路易港	60-42825-B
路标	60-42902-S
路桥	60-42946-S
路標 路标	60-42902-B
路橋 路桥	60-42946-B
路灯	60-42991-S
路燈 路灯	60-42991-B
路由	60-43049-S
路由 路由	60-43049-B
路由协定	60-43112-S
路由协议	60-43184-S
路由協定 路由协定	60-43112-B
路由協議 路由协议	60-43184-B
路由器	60-43255-S
路由器 路由器	60-43255-B
路稅 路税	60-43304-B
路程	60-43346-S
路程 路程	60-43346-B
路税	60-43304-S
路竹乡	60-43468-S
路竹鄉 路竹乡	60-43468-B
路線 路线	60-43543-B
路线	60-43543-S
路西弗	60-43611-S
路西弗 路西弗	60-43611-B
路西法	60-43725-S
路西法 路西法	60-43725-B
路边	60-44184-S
路过	60-44133-S
路透	60-43839-S
路透 路透	60-43839-B
路透社	60-43893-S
路透社 路透社	60-43893-B
路透金融詞典 路透金融词典	60-43956-B
路透金融词典	60-43956-S
路透集团	60-44061-S
路透集團 路透集团	60-44061-B
路過 路过	60-44133-B
路邊 路边	60-44184-B
路障	60-44239-S
路障 路障	60-44239-B
路面	60-44298-S
路面 路面	60-44298-B
跱	60-44340-S
跱 跱	60-44340-B
跲	60-44379-S
跲 跲	60-44379-B
跳	60-44409-S
跳 跳	60-44409-B
跳伞	60-44482-S
跳傘 跳伞	60-44482-B
跳动	60-44559-S
跳動 跳动	60-44559-B
跳台	60-45071-S
跳弹	60-44611-S
跳彈 跳弹	60-44611-B
跳板	60-44654-S
跳板 跳板	60-44654-B
跳槽	60-44728-S
跳槽 跳槽	60-44728-B
跳水	60-44774-S
跳水 跳水	60-44774-B
跳級 跳级	60-44831-B
跳級生 跳级生	60-44892-B
跳级	60-44831-S
跳级生	60-44892-S
跳脚	60-44963-S
跳腳 跳脚	60-44963-B
跳臺 跳台	60-45071-B
跳舞	60-45151-S
跳舞 跳舞	60-45151-B
跳蚤	60-45193-S
跳蚤 跳蚤	60-45193-B
跳蚤市场	60-45232-S
跳蚤市場 跳蚤市场	60-45232-B
跳跃	60-45302-S
跳躍 跳跃	60-45302-B
跳进	60-45369-S
跳进黄河说不清	60-45420-S
跳远	60-45644-S
跳進 跳进	60-45369-B
跳進黃河說不清 跳进黄河说不清	60-45420-B
跳遠 跳远	60-45644-B
跳集体舞	60-45701-S
跳集體舞 跳集体舞	60-45701-B
跳頻 跳频	60-45771-B
跳频	60-45771-S
跳馬 跳马	60-45839-B
跳马	60-45839-S
跳高	60-45900-S
跳高 跳高	60-45900-B
跴	60-45956-S
跴 跴	60-45956-B
践	60-47088-S
践约	60-47142-S
践踏	60-47260-S
跶	60-52605-S
跷	60-52076-S
跷家	60-52116-S
跷课	60-52173-S
跷跷板	60-52230-S
跸	60-50181-S
跹	60-54195-S
跺	60-45994-S
跺 跺	60-45994-B
跻	60-53253-S
跼	60-46036-S
跼 跼	60-46036-B
跽	60-46072-S
跽 跽	60-46072-B
踅	60-46099-S,60-46139-S
踅 踅	60-46099-B,60-46139-B
踆	60-46193-S
踆 踆	60-46193-B
踈	60-46221-S
踈 踈	60-46221-B
踉	60-46258-S,60-46287-S
踉 踉	60-46258-B,60-46287-B
踉跄	60-46342-S
踉蹌 踉跄	60-46342-B
踊	60-46401-S,60-48527-S
踊 踊	60-46401-B
踊跃	60-48555-S
踌	60-53029-S
踌躇	60-53087-S
踌躇满志	60-53133-S
踏	60-46429-S
踏 踏	60-46429-B
踏上	60-46478-S
踏上 踏上	60-46478-B
踏勘	60-46524-S
踏勘 踏勘	60-46524-B
踏实	60-46585-S
踏實 踏实	60-46585-B
踏板	60-46713-S
踏板 踏板	60-46713-B
踏板車 踏板车	60-46773-B
踏板车	60-46773-S
踏步	60-46824-S
踏步 踏步	60-46824-B
踏步不前	60-46913-S
踏步不前 踏步不前	60-46913-B
踏踏实实	60-47001-S
踏踏實實 踏踏实实	60-47001-B
踐 践	60-47088-B
踐約 践约	60-47142-B
踐踏 践踏	60-47260-B
踒	60-47301-S
踒 踒	60-47301-B
踔	60-47348-S
踔 踔	60-47348-B
踖	60-47403-S
踖 踖	60-47403-B
踘	60-47448-S
踘 踘	60-47448-B
踜	60-47482-S
踜 踜	60-47482-B
踝	60-47532-S
踝 踝	60-47532-B
踞	60-47568-S
踞 踞	60-47568-B
踟	60-47609-S
踟 踟	60-47609-B
踡	60-47661-S
踡 踡	60-47661-B
踢	60-47695-S
踢 踢	60-47695-B
踢脚线	60-47747-S
踢腳線 踢脚线	60-47747-B
踢踏舞	60-47807-S
踢踏舞 踢踏舞	60-47807-B
踢蹋舞	60-47858-S
踢蹋舞 踢蹋舞	60-47858-B
踢馬刺 踢马刺	60-47920-B
踢马刺	60-47920-S
踣	60-47972-S
踣 踣	60-47972-B
踤	60-48010-S
踤 踤	60-48010-B
踦	60-48044-S
踦 踦	60-48044-B
踧	60-48070-S
踧 踧	60-48070-B
踩	60-48114-S
踩 踩	60-48114-B
踩水	60-48182-S
踩水 踩水	60-48182-B
踩線 踩线	60-48228-B
踩线	60-48228-S
踩踏	60-48290-S
踩踏 踩踏	60-48290-B
踪	60-50638-S
踪迹	60-50684-S
踫	60-48336-S
踫 踫	60-48336-B
踬	60-54035-S
踮	60-48367-S
踮 踮	60-48367-B
踮脚	60-48397-S
踮腳 踮脚	60-48397-B
踯	60-53963-S
踰	60-48451-S
踰 踰	60-48451-B
踱	60-48487-S
踱 踱	60-48487-B
踴 踊	60-48527-B
踴躍 踊跃	60-48555-B
踵	60-48612-S
踵 踵	60-48612-B
踶	60-48655-S
踶 踶	60-48655-B
踹	60-48690-S
踹 踹	60-48690-B
踺	60-48727-S
踺 踺	60-48727-B
踺子	60-48834-S
踺子 踺子	60-48834-B
踼	60-48931-S
踼 踼	60-48931-B
踽	60-48987-S
踽 踽	60-48987-B
蹀	60-49031-S
蹀 蹀	60-49031-B
蹁	60-49062-S
蹁 蹁	60-49062-B
蹂	60-49093-S
蹂 蹂	60-49093-B
蹂躏	60-49123-S
蹂躪 蹂躏	60-49123-B
蹄	60-49173-S
蹄 蹄	60-49173-B
蹇	60-49214-S
蹇 蹇	60-49214-B
蹇修	60-49329-S
蹇修 蹇修	60-49329-B
蹇拙	60-49385-S
蹇拙 蹇拙	60-49385-B
蹇涩	60-49515-S
蹇滞	60-49453-S
蹇滯 蹇滞	60-49453-B
蹇澁 蹇涩	60-49515-B
蹇运	60-49600-S
蹇運 蹇运	60-49600-B
蹈	60-49654-S
蹈 蹈	60-49654-B
蹉	60-49707-S
蹉 蹉	60-49707-B
蹉跎	60-49749-S
蹉跎 蹉跎	60-49749-B
蹊	60-49823-S
蹊 蹊	60-49823-B
蹋	60-49853-S
蹋 蹋	60-49853-B
蹌 跄	60-49882-B,60-49919-B
蹎	60-49974-S
蹎 蹎	60-49974-B
蹐	60-50041-S
蹐 蹐	60-50041-B
蹑	60-54411-S
蹑手蹑脚	60-54450-S
蹒	60-50554-S
蹒跚	60-50581-S
蹓	60-50084-S
蹓 蹓	60-50084-B
蹔	60-50129-S
蹔 蹔	60-50129-B
蹕 跸	60-50181-B
蹙	60-50238-S
蹙 蹙	60-50238-B
蹚	60-50294-S
蹚 蹚	60-50294-B
蹜	60-50322-S
蹜 蹜	60-50322-B
蹝	60-50359-S
蹝 蹝	60-50359-B
蹟	60-50389-S
蹟 蹟	60-50389-B
蹠	60-50429-S
蹠 蹠	60-50429-B
