美觀 美观	51-8990-B
聊城地区	51-43360-S
聊城地區 聊城地区	51-43360-B
聊城市	51-43462-S
聊城市 聊城市	51-43462-B
聊天	51-43554-S
聊天 聊天	51-43554-B
聊天儿	51-43607-S
聊天兒 聊天儿	51-43607-B
聊天室	51-43682-S
聊天室 聊天室	51-43682-B
聊斋志异	51-43738-S
聊齋志異 聊斋志异	51-43738-B
聋	52-2380-S
聋哑人	52-2408-S
职	51-68031-S
职业	51-68419-S
职业中学	51-68477-S
职业病	51-68556-S
职业高尔夫球协会	51-68621-S
职位	51-68065-S
职分	51-68119-S
职务	51-68157-S
职员	51-68214-S
职场	51-68275-S
职工	51-68327-S
职志	51-68375-S
职权	51-68757-S
职涯	51-68819-S
职称	51-68858-S
职级	51-68937-S
职能	51-69001-S
职责	51-69049-S
聍	51-69086-S
聒	51-43960-S
聒 聒	51-43960-B
聒噪	51-44016-S
聒噪 聒噪	51-44016-B
聒耳	51-44064-S
聒耳 聒耳	51-44064-B
联	51-57782-S
联俄	51-57935-S
联军	51-63106-S
联合	51-58023-S
联合会	51-60143-S
联合公报	51-58090-S
联合军演	51-60827-S
联合包裹服务公司	51-58165-S
联合发表	51-60431-S
联合古大陆	51-58289-S
联合国	51-58366-S
联合国儿童基金会	51-58425-S
联合国大会	51-58561-S
联合国宪章	51-58658-S
联合国开发计划署	51-59438-S
联合国教科文组织	51-58750-S
联合国气候变化框架公约	51-58855-S
联合国海洋法公约	51-59044-S
联合国环境规划署	51-59192-S
联合国秘书处	51-59335-S
联合国难民事务高级专员办事处	51-59570-S
联合声明	51-60585-S
联合式合成词	51-59854-S
联合技术公司	51-59958-S
联合报	51-59792-S
联合政府	51-60066-S
联合核事故协调中心	51-60198-S
联合王国	51-60360-S
联合组织	51-60521-S
联合航空公司	51-60661-S
联合舰队	51-60756-S
联合通讯社	51-60906-S
联名	51-61008-S
联大	51-61059-S
联姻	51-61166-S
联宗	51-61253-S
联席会议	51-61316-S
联想	51-61387-S
联想学习	51-61471-S
联想起	51-61549-S
联想集团	51-61620-S
联机分析处理	51-61711-S
联机游戏	51-61818-S
联欢	51-61896-S
联欢会	51-61951-S
联盟	51-62103-S
联盟号	51-62163-S
联系	51-57830-S,51-62689-S
联系方式	51-62794-S
联结	51-62281-S
联结主义	51-62338-S
联络	51-62407-S
联络簿	51-62500-S
联网	51-62557-S
联网环境	51-62607-S
联署	51-62920-S
联考	51-63000-S
联航	51-63055-S
联营	51-62031-S
联运	51-63465-S
联通	51-63154-S,51-63300-S
联通红筹公司	51-63368-S
联邦	51-63576-S
联邦制	51-63630-S
联邦大楼	51-63699-S
联邦德国	51-63772-S
联邦快递	51-63881-S
联邦政府	51-63962-S
联邦电信交通委员会	51-64275-S
联邦紧急措施署	51-64039-S
联邦调查局	51-64169-S
聖 圣	51-44118-B
聖上 圣上	51-44165-B
聖事 圣事	51-44267-B
聖人 圣人	51-44389-B
聖但尼 圣但尼	51-44491-B
聖保羅 圣保罗	51-44558-B
聖像 圣像	51-44640-B
聖克魯斯 圣克鲁斯	51-44726-B
聖克魯斯島 圣克鲁斯岛	51-44791-B
聖勞倫斯河 圣劳伦斯河	51-44874-B
聖化 圣化	51-44967-B
聖君 圣君	51-45037-B
聖哉經 圣哉经	51-45077-B
聖哲 圣哲	51-45159-B
聖地 圣地	51-45199-B
聖地亞哥 圣地亚哥	51-45310-B
聖城 圣城	51-45392-B
聖基茨和尼維斯 圣基茨和尼维斯	51-45439-B
聖塔倫 圣塔伦	51-45546-B
聖多明各 圣多明各	51-45599-B
聖多明哥 圣多明哥	51-45668-B
聖多美 圣多美	51-45771-B
聖多美和普林西比 圣多美和普林西比	51-45861-B
聖奧古斯丁 圣奥古斯丁	51-45983-B
聖女貞德 圣女贞德	51-46092-B
聖嬰 圣婴	51-46173-B
聖子 圣子	51-46251-B
聖安地列斯斷層 圣安地列斯断层	51-46346-B
聖安德列斯斷層 圣安德列斯断层	51-46452-B
聖廟 圣庙	51-46559-B
聖彼得堡 圣彼得堡	51-46629-B
聖徒 圣徒	51-46718-B
聖德克旭貝里 圣德克旭贝里	51-46758-B
聖德太子 圣德太子	51-46861-B
聖心節 圣心节	51-46948-B
聖戰 圣战	51-47020-B
聖手 圣手	51-47071-B
聖文森和格林納丁 圣文森和格林纳丁	51-47164-B
聖文森特和格林納丁斯 圣文森特和格林纳丁斯	51-47289-B
聖旨 圣旨	51-47441-B
聖明 圣明	51-47491-B
聖朝 圣朝	51-47597-B
聖杯 圣杯	51-47678-B
聖歌 圣歌	51-47724-B
聖殿 圣殿	51-47763-B
聖母 圣母	51-47806-B
聖母升天節 圣母升天节	51-47876-B
聖母峰 圣母峰	51-48012-B
聖母教堂 圣母教堂	51-48093-B
聖母瑪利亞 圣母玛利亚	51-48183-B
聖水 圣水	51-48270-B
聖洗 圣洗	51-48317-B
聖潔 圣洁	51-48380-B
聖潘克勒斯站 圣潘克勒斯站	51-48429-B
聖火 圣火	51-48546-B
聖灰節 圣灰节	51-48607-B
聖燭節 圣烛节	51-48687-B
聖父 圣父	51-48780-B
聖王 圣王	51-48868-B
聖皮埃爾和密克隆 圣皮埃尔和密克隆	51-48927-B
聖盤 圣盘	51-49049-B
聖盧西亞 圣卢西亚	51-49095-B
聖盧西亞島 圣卢西亚岛	51-49161-B
聖神 圣神	51-49238-B
聖神降臨 圣神降临	51-49306-B
聖神降臨週 圣神降临周	51-49427-B
聖禮 圣礼	51-49511-B
聖約 圣约	51-49632-B
聖約瑟夫 圣约瑟夫	51-49676-B
聖約翰 圣约翰	51-49744-B
聖約翰斯 圣约翰斯	51-49801-B
聖索非亞 圣索非亚	51-49867-B
聖索非亞大教堂 圣索非亚大教堂	51-49957-B
聖經 圣经	51-50098-B
聖經典故 圣经典故	51-50168-B
聖經外傳 圣经外传	51-50243-B
聖經段落 圣经段落	51-50348-B
聖經賢傳 圣经贤传	51-50421-B
聖者 圣者	51-50574-B
聖職 圣职	51-50624-B
聖荷西 圣荷西	51-50670-B
聖菲 圣菲	51-50723-B
聖薩爾瓦多 圣萨尔瓦多	51-50788-B
聖藥 圣药	51-50891-B
聖訓 圣训	51-50934-B
聖詩 圣诗	51-51004-B
聖誕 圣诞	51-51044-B
聖誕前夕 圣诞前夕	51-51138-B
聖誕卡 圣诞卡	51-51209-B
聖誕快樂 圣诞快乐	51-51269-B
聖誕樹 圣诞树	51-51342-B
聖誕節 圣诞节	51-51403-B
聖誕老人 圣诞老人	51-51491-B
聖諭 圣谕	51-51577-B
聖賢 圣贤	51-51626-B
聖賢書 圣贤书	51-51721-B
聖赫勒拿 圣赫勒拿	51-51778-B
聖赫勒拿島 圣赫勒拿岛	51-51843-B
聖跡 圣迹	51-51921-B
聖路易斯 圣路易斯	51-51974-B
聖躬 圣躬	51-52037-B
聖迭哥 圣迭哥	51-52131-B
聖迭戈 圣迭戈	51-52186-B
聖雄 圣雄	51-52241-B
聖靈 圣灵	51-52313-B
聖餐 圣餐	51-52360-B
聖餐檯 圣餐台	51-52444-B
聖馬利諾 圣马利诺	51-52508-B
聖馬力諾 圣马力诺	51-52574-B
聖馬洛 圣马洛	51-52640-B
聖體 圣体	51-52693-B
聖體節 圣体节	51-52794-B
聖體血 圣体血	51-52911-B
聘	51-53000-S
聘 聘	51-53000-B
聘任	51-53054-S
聘任 聘任	51-53054-B
聘用	51-53124-S
聘用 聘用	51-53124-B
聘礼	51-53176-S
聘禮 聘礼	51-53176-B
聘請 聘请	51-53223-B
聘请	51-53223-S
聚	51-53290-S
聚 聚	51-53290-B
聚丙烯	51-53333-S
聚丙烯 聚丙烯	51-53333-B
聚义	51-55210-S
聚乙烯	51-53390-S
聚乙烯 聚乙烯	51-53390-B
聚众	51-54996-S
聚伙	51-53454-S
聚伙 聚伙	51-53454-B
聚会	51-54685-S
聚光	51-53510-S
聚光 聚光	51-53510-B
聚光灯	51-53590-S
聚光燈 聚光灯	51-53590-B
聚变	51-55586-S
聚变反应	51-55636-S
聚变武器	51-55707-S
聚合	51-53646-S
聚合 聚合	51-53646-B
聚合体	51-54031-S
聚合作用	51-53706-S
聚合作用 聚合作用	51-53706-B
聚合物	51-53775-S
聚合物 聚合物	51-53775-B
聚合脢	51-53824-S
聚合脢 聚合脢	51-53824-B
聚合資訊訂閱 聚合资讯订阅	51-53877-B
聚合资讯订阅	51-53877-S
聚合酶	51-53969-S
聚合酶 聚合酶	51-53969-B
聚合體 聚合体	51-54031-B
聚四氟乙烯	51-54099-S
聚四氟乙烯 聚四氟乙烯	51-54099-B
聚头	51-56051-S
聚宝盆	51-54184-S
聚寶盆 聚宝盆	51-54184-B
聚居	51-54296-S
聚居 聚居	51-54296-B
聚居地	51-54378-S
聚居地 聚居地	51-54378-B
聚拢	51-54442-S
聚攏 聚拢	51-54442-B
聚敛	51-54543-S
聚散	51-54494-S
聚散 聚散	51-54494-B
聚斂 聚敛	51-54543-B
聚晤	51-54626-S
聚晤 聚晤	51-54626-B
聚會 聚会	51-54685-B
聚歼	51-54751-S
聚殲 聚歼	51-54751-B
聚氨酯	51-54823-S
聚氨酯 聚氨酯	51-54823-B
聚氯乙烯	51-54878-S
聚氯乙烯 聚氯乙烯	51-54878-B
聚焦	51-54954-S
聚焦 聚焦	51-54954-B
聚眾 聚众	51-54996-B
聚积	51-55058-S
聚積 聚积	51-55058-B
聚精会神	51-55126-S
聚精會神 聚精会神	51-55126-B
聚義 聚义	51-55210-B
聚脂	51-55279-S
聚脂 聚脂	51-55279-B
聚苯乙烯	51-55341-S
聚苯乙烯 聚苯乙烯	51-55341-B
聚落	51-55405-S
聚落 聚落	51-55405-B
聚談 聚谈	51-55476-B
聚議 聚议	51-55531-B
聚變 聚变	51-55586-B
聚變反應 聚变反应	51-55636-B
聚變武器 聚变武器	51-55707-B
聚议	51-55531-S
聚谈	51-55476-S
聚賭 聚赌	51-55779-B
聚赌	51-55779-S
聚酯	51-55828-S
聚酯 聚酯	51-55828-B
聚酯纖維 聚酯纤维	51-55870-B
聚酯纤维	51-55870-S
聚酰亚胺	51-55941-S
聚酰亞胺 聚酰亚胺	51-55941-B
聚集	51-56004-S
聚集 聚集	51-56004-B
聚頭 聚头	51-56051-B
聚飲 聚饮	51-56107-B
聚餐	51-56167-S
聚餐 聚餐	51-56167-B
聚饮	51-56107-S
聚齊 聚齐	51-56244-B
聚齐	51-56244-S
聝	51-56327-S
聝 聝	51-56327-B
聞 闻	51-56383-B
聞一多 闻一多	51-56485-B
聞一知十 闻一知十	51-56550-B
聞人 闻人	51-56722-B
聞出 闻出	51-56769-B
聞到 闻到	51-56854-B
聞名 闻名	51-56937-B
聞名遐邇 闻名遐迩	51-57006-B
聞喜 闻喜	51-57094-B
聞悉 闻悉	51-57154-B
聞所未聞 闻所未闻	51-57206-B
聞訊 闻讯	51-57314-B
聞過則喜 闻过则喜	51-57365-B
聞達 闻达	51-57506-B
聞風喪膽 闻风丧胆	51-57577-B
聞風而動 闻风而动	51-57662-B
聩	51-67690-S
聪	51-64429-S
聪慧	51-64512-S
聪敏	51-64571-S
聪明	51-64647-S
聪明反被聪明误	51-64742-S
聪明过头	51-64967-S
聪颖	51-65062-S
聯 联	51-57782-B
聯係 联系	51-57830-B
聯俄 联俄	51-57935-B
聯合 联合	51-58023-B
聯合公報 联合公报	51-58090-B
聯合包裹服務公司 联合包裹服务公司	51-58165-B
聯合古大陸 联合古大陆	51-58289-B
聯合國 联合国	51-58366-B
聯合國兒童基金會 联合国儿童基金会	51-58425-B
聯合國大會 联合国大会	51-58561-B
聯合國憲章 联合国宪章	51-58658-B
聯合國教科文組織 联合国教科文组织	51-58750-B
聯合國氣候變化框架公約 联合国气候变化框架公约	51-58855-B
聯合國海洋法公約 联合国海洋法公约	51-59044-B
聯合國環境規劃署 联合国环境规划署	51-59192-B
聯合國秘書處 联合国秘书处	51-59335-B
聯合國開發計劃署 联合国开发计划署	51-59438-B
聯合國難民事務高級專員辦事處 联合国难民事务高级专员办事处	51-59570-B
聯合報 联合报	51-59792-B
聯合式合成詞 联合式合成词	51-59854-B
聯合技術公司 联合技术公司	51-59958-B
聯合政府 联合政府	51-60066-B
聯合會 联合会	51-60143-B
聯合核事故協調中心 联合核事故协调中心	51-60198-B
聯合王國 联合王国	51-60360-B
聯合發表 联合发表	51-60431-B
聯合組織 联合组织	51-60521-B
聯合聲明 联合声明	51-60585-B
聯合航空公司 联合航空公司	51-60661-B
聯合艦隊 联合舰队	51-60756-B
聯合軍演 联合军演	51-60827-B
聯合通訊社 联合通讯社	51-60906-B
聯名 联名	51-61008-B
聯大 联大	51-61059-B
聯姻 联姻	51-61166-B
聯宗 联宗	51-61253-B
聯席會議 联席会议	51-61316-B
聯想 联想	51-61387-B
聯想學習 联想学习	51-61471-B
聯想起 联想起	51-61549-B
聯想集團 联想集团	51-61620-B
聯機分析處理 联机分析处理	51-61711-B
聯機遊戲 联机游戏	51-61818-B
聯歡 联欢	51-61896-B
聯歡會 联欢会	51-61951-B
聯營 联营	51-62031-B
聯盟 联盟	51-62103-B
聯盟號 联盟号	51-62163-B
聯系	51-62223-S
聯系 聯系	51-62223-B
聯結 联结	51-62281-B
聯結主義 联结主义	51-62338-B
聯絡 联络	51-62407-B
聯絡簿 联络簿	51-62500-B
聯網 联网	51-62557-B
聯網環境 联网环境	51-62607-B
聯繫 联系	51-62689-B
聯繫方式 联系方式	51-62794-B
聯署 联署	51-62920-B
聯考 联考	51-63000-B
聯航 联航	51-63055-B
聯軍 联军	51-63106-B
聯通 联通	51-63154-B,51-63300-B
聯通紅籌公司 联通红筹公司	51-63368-B
聯運 联运	51-63465-B
聯邦 联邦	51-63576-B
聯邦制 联邦制	51-63630-B
聯邦大樓 联邦大楼	51-63699-B
聯邦德國 联邦德国	51-63772-B
聯邦快遞 联邦快递	51-63881-B
聯邦政府 联邦政府	51-63962-B
聯邦緊急措施署 联邦紧急措施署	51-64039-B
聯邦調查局 联邦调查局	51-64169-B
聯邦電信交通委員會 联邦电信交通委员会	51-64275-B
聰 聪	51-64429-B
聰慧 聪慧	51-64512-B
聰敏 聪敏	51-64571-B
聰明 聪明	51-64647-B
聰明反被聰明誤 聪明反被聪明误	51-64742-B
聰明過頭 聪明过头	51-64967-B
聰穎 聪颖	51-65062-B
聱	51-65115-S
聱 聱	51-65115-B
聲 声	51-65159-B
聲價 声价	51-65228-B
聲勢 声势	51-65274-B
聲卡 声卡	51-65318-B
聲名大震 声名大震	51-65363-B
聲囊 声囊	51-65443-B
聲學 声学	51-65541-B
聲帶 声带	51-65586-B
聲張 声张	51-65633-B
聲援 声援	51-65691-B
聲旁 声旁	51-65745-B
聲旁字 声旁字	51-65821-B
聲旁錯誤 声旁错误	51-65930-B
聲明 声明	51-66006-B
聲明書 声明书	51-66064-B
聲望 声望	51-66121-B
聲樂 声乐	51-66166-B
聲母 声母	51-66213-B
聲氣 声气	51-66303-B
聲波 声波	51-66348-B
聲浪 声浪	51-66393-B
聲稱 声称	51-66436-B
聲納 声纳	51-66513-B
聲言 声言	51-66584-B
聲說 声说	51-66661-B
聲調 声调	51-66705-B
聲調的調值 声调的调值	51-66782-B
聲調語言 声调语言	51-66865-B
聲調輪廓 声调轮廓	51-66966-B
聲譽 声誉	51-67036-B
聲音 声音	51-67075-B
聲響 声响	51-67122-B
聲類系統 声类系统	51-67171-B
聳 耸	51-67244-B
聳人聽聞 耸人听闻	51-67318-B
聳動 耸动	51-67447-B
聳立 耸立	51-67504-B
聳肩 耸肩	51-67579-B
聴	51-67639-S
聴 聴	51-67639-B
聵 聩	51-67690-B
聶 聂	51-67727-B
聶拉木 聂拉木	51-67769-B
聶榮 聂荣	51-67860-B
聶耳 聂耳	51-67923-B
聶衛平 聂卫平	51-67974-B
職 职	51-68031-B
職位 职位	51-68065-B
職分 职分	51-68119-B
職務 职务	51-68157-B
職員 职员	51-68214-B
職場 职场	51-68275-B
職工 职工	51-68327-B
職志 职志	51-68375-B
職業 职业	51-68419-B
