况且	37-28007-S
分区	8-50530-S
分區 分区	8-50530-B
分叉	8-50590-S
分叉 分叉	8-50590-B
分发	8-56709-S
分句	8-50650-S
分句 分句	8-50650-B
分号	8-57841-S
分外	4-44683-S
分头	8-59803-S
分娩	8-50711-S
分娩 分娩	8-50711-B
分子	4-44821-S,8-50772-S
分子 分子	8-50772-B
分子医学	8-51049-S
分子式	8-50844-S
分子式 分子式	8-50844-B
分子杂交	8-51181-S
分子生物学	8-50905-S
分子生物學 分子生物学	8-50905-B
分子筛	8-50989-S
分子篩 分子筛	8-50989-B
分子醫學 分子医学	8-51049-B
分子量	8-51121-S
分子量 分子量	8-51121-B
分子雜交 分子杂交	8-51181-B
分宜	8-51259-S
分宜 分宜	8-51259-B
分宜县	8-51328-S
分宜縣 分宜县	8-51328-B
分家	8-51409-S
分家 分家	8-51409-B
分寸	8-51516-S
分寸 分寸	8-51516-B
分封	8-51621-S
分封 分封	8-51621-B
分封制	8-51708-S
分封制 分封制	8-51708-B
分局	8-51793-S
分局 分局	8-51793-B
分居	8-51836-S
分居 分居	8-51836-B
分属	8-51932-S
分屬 分属	8-51932-B
分岔	8-51980-S
分岔 分岔	8-51980-B
分岔理論 分岔理论	8-52025-B
分岔理论	8-52025-S
分工	8-52098-S
分工 分工	8-52098-B
分布	8-49349-S
分布图	8-49407-S,8-52166-S
分布圖 分布图	8-52166-B
分布式	8-49494-S
分布式发展模型	8-52253-S
分布式拒绝服务	8-49549-S
分布式环境	8-49694-S
分布式發展模型 分布式发展模型	8-52253-B
分布式结构	8-49797-S
分布式网络	8-49887-S
分布控制	8-49973-S
分布连结网络	8-52372-S
分布連結網絡 分布连结网络	8-52372-B
分店	8-52484-S
分店 分店	8-52484-B
分庭抗礼	8-52550-S
分庭抗禮 分庭抗礼	8-52550-B
分开	8-59455-S
分异	8-52672-S
分异 分异	8-52672-B
分当	8-56650-S
分形	8-52732-S
分形 分形	8-52732-B
分形几何	8-52782-S
分形几何学	8-52853-S
分形幾何 分形几何	8-52782-B
分形幾何學 分形几何学	8-52853-B
分心	8-52935-S
分心 分心	8-52935-B
分忧	8-52980-S
分憂 分忧	8-52980-B
分成	8-53076-S
分成 分成	8-53076-B
分房	8-53159-S
分房 分房	8-53159-B
分手	8-53251-S
分手 分手	8-53251-B
分批	8-53309-S
分批 分批	8-53309-B
分担	8-53445-S
分拆	8-53372-S
分拆 分拆	8-53372-B
分摊	8-53499-S
分擔 分担	8-53445-B
分攤 分摊	8-53499-B
分支	8-53548-S
分支 分支	8-53548-B
分散	8-53600-S
分散 分散	8-53600-B
分散式	8-53661-S
分散式 分散式	8-53661-B
分散注意	8-53717-S
分散注意 分散注意	8-53717-B
分散的策略	8-53783-S
分散的策略 分散的策略	8-53783-B
分数	8-53865-S
分數 分数	8-53865-B
分文不取	8-53913-S
分文不取 分文不取	8-53913-B
分时	8-54144-S
分时多工	8-54190-S
分明	8-53983-S
分明 分明	8-53983-B
分星掰两	8-54054-S
分星掰兩 分星掰两	8-54054-B
分時 分时	8-54144-B
分時多工 分时多工	8-54190-B
分晓	8-54277-S
分曉 分晓	8-54277-B
分會 分会	8-54361-B
分會場 分会场	8-54401-B
分期	8-54458-S
分期 分期	8-54458-B
分期付款	8-54523-S
分期付款 分期付款	8-54523-B
分机	8-55424-S
分权	8-55478-S
分析	8-54589-S
分析 分析	8-54589-B
分析人士	8-54641-S
分析人士 分析人士	8-54641-B
分析化学	8-54710-S
分析化學 分析化学	8-54710-B
分析员	8-54785-S
分析員 分析员	8-54785-B
分析器	8-54852-S
分析器 分析器	8-54852-B
分析处理	8-55184-S
分析学	8-54903-S
分析學 分析学	8-54903-B
分析家	8-54977-S
分析家 分析家	8-54977-B
分析师	8-55040-S
分析師 分析师	8-55040-B
分析法	8-55103-S
分析法 分析法	8-55103-B
分析處理 分析处理	8-55184-B
分枝	8-55287-S
分枝 分枝	8-55287-B
分校	8-55327-S
分校 分校	8-55327-B
分桃	8-55380-S
分桃 分桃	8-55380-B
分機 分机	8-55424-B
分權 分权	8-55478-B
分歧	8-55533-S
分歧 分歧	8-55533-B
分歧点	8-55588-S
分歧點 分歧点	8-55588-B
分母	8-55660-S
分母 分母	8-55660-B
分水岭	8-55718-S
分水嶺 分水岭	8-55718-B
分水線 分水线	8-55787-B
分水线	8-55787-S
分治	8-55843-S
分治 分治	8-55843-B
分泌	8-55906-S
分泌 分泌	8-55906-B
分泌物	8-55946-S
分泌物 分泌物	8-55946-B
分波多工	8-55998-S
分波多工 分波多工	8-55998-B
分洪	8-56090-S
分洪 分洪	8-56090-B
分派	8-56156-S
分派 分派	8-56156-B
分流	8-56240-S
分流 分流	8-56240-B
分清	8-56280-S
分清 分清	8-56280-B
分点	8-60254-S
分為 分为	8-56383-B
分爭 分争	8-56456-B
分生組織 分生组织	8-56526-B
分生组织	8-56526-S
分界線 分界线	8-56591-B
分界线	8-56591-S
分當 分当	8-56650-B
分發 分发	8-56709-B
分相	8-56765-S
分相 分相	8-56765-B
分神	8-56820-S
分神 分神	8-56820-B
分离	8-59631-S
分离主义	8-59675-S
分离分子	8-59739-S
分秒必争	8-56936-S
分秒必爭 分秒必争	8-56936-B
分立	8-57078-S
分立 分立	8-57078-B
分米	8-57122-S
分米 分米	8-57122-B
分类	8-59938-S
分类学	8-59986-S
分类帐	8-60060-S
分紅 分红	8-57164-B
分級 分级	8-57223-B
分組 分组	8-57296-B
分組交換 分组交换	8-57359-B
分給 分给	8-57432-B
分红	8-57164-S
分级	8-57223-S
分组	8-57296-S
分组交换	8-57359-S
分给	8-57432-S
分而治之	8-57472-S
分而治之 分而治之	8-57472-B
分至点	8-57572-S
分至點 分至点	8-57572-B
分色	8-57694-S
分色 分色	8-57694-B
分色鏡頭 分色镜头	8-57743-B
分色镜头	8-57743-S
分號 分号	8-57841-B
分行	8-57893-S
分行 分行	8-57893-B
分裂	8-57967-S
分裂 分裂	8-57967-B
分裂主义	8-58048-S
分裂主義 分裂主义	8-58048-B
分角器	8-58113-S
分角器 分角器	8-58113-B
分解	8-58196-S
分解 分解	8-58196-B
分解作用	8-58258-S
分解作用 分解作用	8-58258-B
分設 分设	8-58328-B
分詞 分词	8-58389-B
分說 分说	8-58432-B
分设	8-58328-S
分词	8-58389-S
分说	8-58432-S
分貝 分贝	8-58494-B
分贓 分赃	8-58535-B
分贝	8-58494-S
分赃	8-58535-S
分身	8-58615-S
分身 分身	8-58615-B
分辨	8-58683-S
分辨 分辨	8-58683-B
分辨率	8-58805-S
分辨率 分辨率	8-58805-B
分辩	8-58873-S
分辯 分辩	8-58873-B
分送	8-58952-S
分送 分送	8-58952-B
分配	8-59002-S
分配 分配	8-59002-B
分配律	8-59071-S
分配律 分配律	8-59071-B
分量	8-59129-S
分量 分量	8-59129-B
分銷 分销	8-59171-B
分銷店 分销店	8-59231-B
分銷網絡 分销网络	8-59290-B
分錢 分钱	8-59368-B
分鐘 分钟	8-59413-B
分钟	8-59413-S
分钱	8-59368-S
分销	8-59171-S
分销店	8-59231-S
分销网络	8-59290-S
分開 分开	8-59455-B
分队	8-59508-S
分隊 分队	8-59508-B
分隔	8-59567-S
分隔 分隔	8-59567-B
分離 分离	8-59631-B
分離主義 分离主义	8-59675-B
分離份子 分离分子	8-59739-B
分頭 分头	8-59803-B
分頻 分频	8-59857-B
分類 分类	8-59938-B
分類學 分类学	8-59986-B
分類帳 分类帐	8-60060-B
分频	8-59857-S
分餐	8-60129-S
分餐 分餐	8-60129-B
分餾 分馏	8-60197-B
分馏	8-60197-S
分點 分点	8-60254-B
切	8-60306-S,8-60344-S
切 切	8-60306-B,8-60344-B
切分信息	8-60375-S
切分信息 切分信息	8-60375-B
切切	8-60451-S
切切 切切	8-60451-B
切切私語 切切私语	8-60594-B
切切私语	8-60594-S
切勿	8-60665-S
切勿 切勿	8-60665-B
切口	8-60709-S
切口 切口	8-60709-B
切合	8-60791-S
切合 切合	8-60791-B
切向	8-60858-S
切向 切向	8-60858-B
切向力	8-60911-S
切向力 切向力	8-60911-B
切向速度	8-60973-S
切向速度 切向速度	8-60973-B
切向量	8-61048-S
切向量 切向量	8-61048-B
切嘱	8-61111-S
切嘱 切嘱	8-61111-B
切实	8-61168-S
切实可行	8-61256-S
切實 切实	8-61168-B
切實可行 切实可行	8-61256-B
切尔西	8-61917-S
切尔诺贝利	8-61967-S
切尼	8-61320-S
切尼 切尼	8-61320-B
切平面	8-61397-S
切平面 切平面	8-61397-B
切忌	8-61472-S
切忌 切忌	8-61472-B
切成丝	8-61629-S
切成块	8-61544-S
切成塊 切成块	8-61544-B
切成絲 切成丝	8-61629-B
切换	8-61704-S
切換 切换	8-61704-B
切断	8-61750-S
切斷 切断	8-61750-B
切望	8-61810-S
切望 切望	8-61810-B
切激	8-61864-S
切激 切激	8-61864-B
切点	8-63711-S
切爾西 切尔西	8-61917-B
切爾諾貝利 切尔诺贝利	8-61967-B
切片	8-62041-S
切片 切片	8-62041-B
切牙	8-62081-S
切牙 切牙	8-62081-B
切盼	8-62127-S
切盼 切盼	8-62127-B
切碎	8-62206-S
切碎 切碎	8-62206-B
切磋	8-62247-S
切磋 切磋	8-62247-B
切磋琢磨	8-62321-S
切磋琢磨 切磋琢磨	8-62321-B
切空間 切空间	8-62464-B
切空间	8-62464-S
切線 切线	8-62535-B
切线	8-62535-S
切肉刀	8-62593-S
切肉刀 切肉刀	8-62593-B
切肤之痛	8-62770-S
切脈 切脉	8-62650-B
切脉	8-62650-S
切腹	8-62702-S
切腹 切腹	8-62702-B
切膚之痛 切肤之痛	8-62770-B
切要	8-62857-S
切要 切要	8-62857-B
切触	8-62920-S
切觸 切触	8-62920-B
切記 切记	8-62988-B
切診 切诊	8-63075-B
切记	8-62988-S
切诊	8-63075-S
切責 切责	8-63170-B
切责	8-63170-S
切身	8-63224-S
切身 切身	8-63224-B
切近	8-63293-S
切近 切近	8-63293-B
切迫	8-63363-S
切迫 切迫	8-63363-B
切除	8-63402-S
切除 切除	8-63402-B
切音	8-63466-S
切音 切音	8-63466-B
切题	8-63558-S
切题 切题	8-63558-B
切骨之仇	8-63613-S
切骨之仇 切骨之仇	8-63613-B
切點 切点	8-63711-B
切齒 切齿	8-63761-B
切齿	8-63761-S
刈	8-63826-S
刈 刈	8-63826-B
刈羽	8-63851-S
刈羽 刈羽	8-63851-B
刊	8-63899-S
刊 刊	8-63899-B
刊物	8-63938-S
刊物 刊物	8-63938-B
刊登	8-63982-S
刊登 刊登	8-63982-B
刊載 刊载	8-64067-B
刊载	8-64067-S
刍	53-63290-S
刍秣	53-63351-S
刍荛	53-63394-S
刍议	53-63477-S
刍豢	53-63622-S
刎	8-64111-S
刎 刎	8-64111-B
刑	8-64153-S
刑 刑	8-64153-B
刑事	8-64187-S
刑事 刑事	8-64187-B
刑事犯	8-64236-S
刑事犯 刑事犯	8-64236-B
刑事訴訟法 刑事诉讼法	8-64292-B
刑事诉讼法	8-64292-S
刑具	8-64377-S
刑具 刑具	8-64377-B
刑场	8-64451-S
刑場 刑场	8-64451-B
刑期	8-64506-S
刑期 刑期	8-64506-B
刑案	8-64551-S
刑案 刑案	8-64551-B
刑法	8-64598-S
刑法 刑法	8-64598-B
刑满	8-64644-S
刑滿 刑满	8-64644-B
刑罚	8-64708-S
刑罰 刑罚	8-64708-B
刑訴法 刑诉法	8-64769-B
刑诉法	8-64769-S
划	8-64873-S,9-38940-S,9-38983-S
划 划	8-64873-B
划一	9-39124-S
划一不二	9-39179-S
划不来	8-64983-S
划不来 划不来	8-64983-B
划价	9-39249-S
划分	9-39314-S
划圆防守	9-39357-S
划子	8-65038-S
划子 划子	8-65038-B
划定	9-39448-S
划归	9-39724-S
划得来	8-65084-S
划得来 划得来	8-65084-B
划拉	8-65146-S
划拉 划拉	8-65146-B
划拨	9-39578-S
划拳	8-65200-S
划拳 划拳	8-65200-B
