秋糧 秋粮	47-15758-B
空间	47-50310-S
空间探测	47-50351-S
空间站	47-50419-S
空防	47-50480-S
空防 空防	47-50480-B
空降	47-50537-S
空降 空降	47-50537-B
空降兵	47-50582-S
空降兵 空降兵	47-50582-B
空隙	47-50643-S
空隙 空隙	47-50643-B
空难	47-50793-S
空集	47-50737-S
空集 空集	47-50737-B
空難 空难	47-50793-B
空頭 空头	47-50860-B
空額 空额	47-50910-B
空额	47-50910-S
空餘 空余	47-50970-B
穿	47-51026-S
穿 穿	47-51026-B
穿上	47-51143-S
穿上 穿上	47-51143-B
穿凿	47-52382-S
穿凿附会	47-52464-S
穿刺	47-51203-S
穿刺 穿刺	47-51203-B
穿山甲	47-51302-S
穿山甲 穿山甲	47-51302-B
穿带	47-51397-S
穿帶 穿带	47-51397-B
穿戴	47-51437-S
穿戴 穿戴	47-51437-B
穿插	47-51490-S
穿插 穿插	47-51490-B
穿梭	47-51548-S
穿梭 穿梭	47-51548-B
穿洞	47-51632-S
穿洞 穿洞	47-51632-B
穿着	47-51675-S
穿着打扮	47-51740-S
穿着讲究	47-51829-S
穿著 穿着	47-51675-B
穿著打扮 穿着打扮	47-51740-B
穿著講究 穿着讲究	47-51829-B
穿越	47-51931-S
穿越 穿越	47-51931-B
穿过	47-52126-S
穿透	47-52003-S
穿透 穿透	47-52003-B
穿透輻射 穿透辐射	47-52048-B
穿透辐射	47-52048-S
穿過 穿过	47-52126-B
穿針引線 穿针引线	47-52177-B
穿針走線 穿针走线	47-52307-B
穿鑿 穿凿	47-52382-B
穿鑿附會 穿凿附会	47-52464-B
穿针引线	47-52177-S
穿针走线	47-52307-S
穿馬路 穿马路	47-52593-B
穿马路	47-52593-S
窀	47-52657-S
窀 窀	47-52657-B
突	47-52686-S
突 突	47-52686-B
突出	47-52811-S
突出 突出	47-52811-B
突击	47-53375-S
突击队	47-53454-S
突厥	47-52910-S
突厥 突厥	47-52910-B
突发	47-53630-S
突发事件	47-53670-S
突变	47-53890-S
突变株	47-53946-S
突变理论	47-54022-S
突围	47-52975-S
突圍 突围	47-52975-B
突如其來 突如其来	47-53053-B
突如其来	47-53053-S
突尼斯	47-53161-S
突尼斯 突尼斯	47-53161-B
突尼斯市	47-53237-S
突尼斯市 突尼斯市	47-53237-B
突尼西亚	47-53316-S
突尼西亞 突尼西亚	47-53316-B
突擊 突击	47-53375-B
突擊隊 突击队	47-53454-B
突显	47-54250-S
突泉县	47-53505-S
突泉縣 突泉县	47-53505-B
突然	47-53573-S
突然 突然	47-53573-B
突發 突发	47-53630-B
突發事件 突发事件	47-53670-B
突破	47-53742-S
突破 突破	47-53742-B
突袭	47-53786-S
突襲 突袭	47-53786-B
突触后	47-53833-S
突觸後 突触后	47-53833-B
突變 突变	47-53890-B
突變株 突变株	47-53946-B
突變理論 突变理论	47-54022-B
突起	47-54103-S
突起 突起	47-54103-B
突起部	47-54181-S
突起部 突起部	47-54181-B
突顯 突显	47-54250-B
突飛猛進 突飞猛进	47-54336-B
突飞猛进	47-54336-S
窂	47-54419-S
窂 窂	47-54419-B
窃	47-59609-S
窃取	47-59654-S
窃听	47-59960-S
窃国者侯窃钩者诛	47-59704-S
窃盗	47-59855-S
窃窃私语	47-59896-S
窃蛋龙	47-60012-S
窃贼	47-60098-S
窄	47-54466-S
窄 窄	47-54466-B
窅	47-54496-S
窅 窅	47-54496-B
窆	47-54523-S
窆 窆	47-54523-B
窈	47-54568-S
窈 窈	47-54568-B
窊	47-54613-S
窊 窊	47-54613-B
窋	47-54648-S
窋 窋	47-54648-B
窌	47-54680-S
窌 窌	47-54680-B
窍	47-59277-S
窍门	47-59321-S
窍门儿	47-59417-S
窑	47-57834-S
窑场	47-57866-S
窑洞	47-57912-S
窒	47-54710-S
窒 窒	47-54710-B
窒息	47-54749-S
窒息 窒息	47-54749-B
窒息性毒剂	47-54804-S
窒息性毒劑 窒息性毒剂	47-54804-B
窓	47-54882-S
窓 窓	47-54882-B
窔	47-54931-S
窔 窔	47-54931-B
窕	47-54988-S
窕 窕	47-54988-B
窖	47-55029-S
窖 窖	47-55029-B
窗	47-55059-S
窗 窗	47-55059-B
窗口	47-55099-S
窗口 窗口	47-55099-B
窗台	47-55142-S
窗台 窗台	47-55142-B
窗子	47-55190-S
窗子 窗子	47-55190-B
窗帘	47-55241-S
窗帘 窗帘	47-55241-B
窗戶 窗户	47-55294-B
窗户	47-55294-S
窗扇	47-55335-S
窗扇 窗扇	47-55335-B
窗明几净	47-55409-S
窗明几淨 窗明几净	47-55409-B
窗框	47-55538-S
窗框 窗框	47-55538-B
窗玻璃	47-55589-S
窗玻璃 窗玻璃	47-55589-B
窗鉤 窗钩	47-55646-B
窗钩	47-55646-S
窗飾 窗饰	47-55707-B
窗饰	47-55707-S
窘	47-55761-S
窘 窘	47-55761-B
窘迫	47-55808-S
窘迫 窘迫	47-55808-B
窜	47-58805-S
窜扰	47-58854-S
窜改	47-58909-S
窜犯	47-58982-S
窜红	47-59051-S
窜踞	47-59135-S
窜逃	47-59209-S
窝	47-56189-S
窝咑	47-56215-S
窝囊	47-56251-S
窝巢	47-56360-S
窝心	47-56398-S
窝脓包	47-56528-S
窝脖儿	47-56449-S
窝藏	47-56589-S
窝阔台	47-56643-S
窝阔台汗	47-56713-S
窞	47-55911-S
窞 窞	47-55911-B
窟	47-55942-S
窟 窟	47-55942-B
窟窿	47-55973-S
窟窿 窟窿	47-55973-B
窠	47-56038-S
窠 窠	47-56038-B
窣	47-56064-S
窣 窣	47-56064-B
窥	47-58213-S
窥探	47-58249-S
窥望	47-58337-S
窥视	47-58389-S
窥豹	47-58451-S
窥豹一斑	47-58539-S
窦	47-59522-S
窨	47-56112-S,47-56160-S
窨 窨	47-56112-B,47-56160-B
窩 窝	47-56189-B
窩咑 窝咑	47-56215-B
窩囊 窝囊	47-56251-B
窩巢 窝巢	47-56360-B
窩心 窝心	47-56398-B
窩脖兒 窝脖儿	47-56449-B
窩膿包 窝脓包	47-56528-B
窩藏 窝藏	47-56589-B
窩闊臺 窝阔台	47-56643-B
窩闊臺汗 窝阔台汗	47-56713-B
窪 洼	47-56794-B
窪地 洼地	47-56839-B
窬	47-56898-S
窬 窬	47-56898-B
窭	47-58093-S
窮 穷	47-56934-B
窮人 穷人	47-56973-B
窮困 穷困	47-57029-B
窮山惡水 穷山恶水	47-57091-B
窮愁 穷愁	47-57231-B
窮愁潦倒 穷愁潦倒	47-57313-B
窮盡 穷尽	47-57411-B
窮竭法 穷竭法	47-57465-B
窮結 穷结	47-57580-B
窮苦 穷苦	47-57645-B
窮途末路 穷途末路	47-57702-B
窮餓 穷饿	47-57780-B
窯 窑	47-57834-B
窯場 窑场	47-57866-B
窯洞 窑洞	47-57912-B
窳	47-57979-S
窳 窳	47-57979-B
窴	47-58017-S
窴 窴	47-58017-B
窵	47-58048-S
窵 窵	47-58048-B
窶 窭	47-58093-B
窸	47-58126-S
窸 窸	47-58126-B
窸窣	47-58165-S
窸窣 窸窣	47-58165-B
窺 窥	47-58213-B
窺探 窥探	47-58249-B
窺望 窥望	47-58337-B
窺視 窥视	47-58389-B
窺豹 窥豹	47-58451-B
窺豹一斑 窥豹一斑	47-58539-B
窾	47-58661-S
窾 窾	47-58661-B
窿	47-58700-S
窿 窿	47-58700-B
竁	47-58735-S
竁 竁	47-58735-B
竃	47-58768-S
竃 竃	47-58768-B
竄 窜	47-58805-B
竄擾 窜扰	47-58854-B
竄改 窜改	47-58909-B
竄犯 窜犯	47-58982-B
竄紅 窜红	47-59051-B
竄踞 窜踞	47-59135-B
竄逃 窜逃	47-59209-B
竅 窍	47-59277-B
竅門 窍门	47-59321-B
竅門兒 窍门儿	47-59417-B
竇 窦	47-59522-B
竈	47-59572-S
竈 竈	47-59572-B
竊 窃	47-59609-B
竊取 窃取	47-59654-B
竊國者侯竊鉤者誅 窃国者侯窃钩者诛	47-59704-B
竊盜 窃盗	47-59855-B
竊竊私語 窃窃私语	47-59896-B
竊聽 窃听	47-59960-B
竊蛋龍 窃蛋龙	47-60012-B
竊賊 窃贼	47-60098-B
立	47-60137-S
立 立	47-60137-B
立交	47-60174-S
立交 立交	47-60174-B
立交桥	47-60282-S
立交橋 立交桥	47-60282-B
立体	47-61935-S
立体交叉	47-61990-S
立体几何	47-62217-S
立体图	47-62131-S
立体声	47-62362-S
立体照片	47-62283-S
立体角	47-62419-S
立像	47-60422-S
立像 立像	47-60422-B
立克次体	47-60494-S
立克次體 立克次体	47-60494-B
立冬	47-60600-S
立冬 立冬	47-60600-B
立刻	47-60659-S
立刻 立刻	47-60659-B
立即	47-60756-S
立即 立即	47-60756-B
立场	47-60799-S
立場 立场	47-60799-B
立夏	47-60853-S
立夏 立夏	47-60853-B
立志	47-60910-S
立志 立志	47-60910-B
立方	47-60950-S
立方 立方	47-60950-B
立方体	47-61130-S
立方厘米	47-60988-S
立方厘米 立方厘米	47-60988-B
立方米	47-61058-S
立方米 立方米	47-61058-B
立方體 立方体	47-61130-B
立春	47-61184-S
立春 立春	47-61184-B
立正	47-61243-S
立正 立正	47-61243-B
立氏立克次体	47-61324-S
立氏立克次體 立氏立克次体	47-61324-B
立法	47-61418-S
立法 立法	47-61418-B
立法会	47-61461-S
立法會 立法会	47-61461-B
立法机关	47-61541-S
立法機關 立法机关	47-61541-B
立法院	47-61606-S
立法院 立法院	47-61606-B
立秋	47-61675-S
立秋 立秋	47-61675-B
立足点	47-61732-S
立足點 立足点	47-61732-B
立陶宛	47-61784-S
立陶宛 立陶宛	47-61784-B
立陶宛人	47-61861-S
立陶宛人 立陶宛人	47-61861-B
立體 立体	47-61935-B
立體交叉 立体交叉	47-61990-B
立體圖 立体图	47-62131-B
立體幾何 立体几何	47-62217-B
立體照片 立体照片	47-62283-B
立體聲 立体声	47-62362-B
立體角 立体角	47-62419-B
立魚 立鱼	47-62474-B
立鱼	47-62474-S
竑	47-62513-S
竑 竑	47-62513-B
竖	59-18937-S
竖式	59-19010-S
竖折	59-19061-S
竖琴	59-19144-S
竖起	59-19182-S
竖起耳朵	59-19237-S
竖钩	59-19325-S
站	47-62554-S
站 站	47-62554-B
站住	47-62610-S
站住 站住	47-62610-B
站前区	47-62650-S
站前區 站前区	47-62650-B
站台	47-62749-S
站台 站台	47-62749-B
站姿	47-62800-S
站姿 站姿	47-62800-B
站岗	47-62840-S
站崗 站岗	47-62840-B
站牌	47-62914-S
站牌 站牌	47-62914-B
站稳	47-63006-S
站穩 站稳	47-63006-B
站立	47-63054-S
站立 站立	47-63054-B
站管理	47-63119-S
站管理 站管理	47-63119-B
站起來 站起来	47-63183-B
站起来	47-63183-S
竜	47-63238-S
竜 竜	47-63238-B
竞	48-259-S
竞争	48-684-S
竞争产品	48-988-S
竞争力	48-743-S
竞争和聚合	48-826-S
竞争模式	48-913-S
竞争者	48-1088-S
竞价	48-316-S
竞技	48-373-S
竞技场	48-462-S
竞技性	48-514-S
竞渡	48-571-S
竞相	48-1146-S
竞秀	48-1209-S
竞艳	48-1289-S
竞购	48-1403-S
竞赛	48-1489-S
竞赛者	48-1540-S
竞走	48-1591-S
竞选	48-1723-S
竞选活动	48-1804-S
竞逐	48-1656-S
竟	47-63289-S
竟 竟	47-63289-B
竟然	47-63360-S
竟然 竟然	47-63360-B
竟陵	47-63407-S
竟陵 竟陵	47-63407-B
章	47-63451-S
章 章	47-63451-B
章丘	47-63560-S
章丘 章丘	47-63560-B
章士釗 章士钊	47-63627-B
章士钊	47-63627-S
章太炎	47-63700-S
章太炎 章太炎	47-63700-B
章孝严	47-63771-S
章孝嚴 章孝严	47-63771-B
章炳麟	47-63855-S
章炳麟 章炳麟	47-63855-B
章程	47-63937-S
章程 章程	47-63937-B
章節 章节	47-64111-B
章节	47-64111-S
章貢 章贡	47-64162-B
章貢區 章贡区	47-64253-B
章贡	47-64162-S
章贡区	47-64253-S
章魚 章鱼	47-64354-B
章鱼	47-64354-S
竣	47-64396-S
竣 竣	47-64396-B
童	47-64434-S
童 童	47-64434-B
童女	47-64489-S
童女 童女	47-64489-B
童子军	47-64536-S
童子軍 童子军	47-64536-B
童工	47-64590-S
童工 童工	47-64590-B
童年	47-64637-S
童年 童年	47-64637-B
童星	47-64682-S
童星 童星	47-64682-B
童男	47-64728-S
童男 童男	47-64728-B
童蒙	47-64774-S
童蒙 童蒙	47-64774-B
童話 童话	47-64852-B
童話故事 童话故事	47-64909-B
童话	47-64852-S
童话故事	47-64909-S
竦	47-64975-S
竦 竦	47-64975-B
竭	47-65021-S
竭 竭	47-65021-B
竭力	47-65054-S
竭力 竭力	47-65054-B
竭尽	47-65102-S
竭尽全力	47-65146-S
竭盡 竭尽	47-65102-B
竭盡全力 竭尽全力	47-65146-B
端	47-65236-S
端 端	47-65236-B
端午	47-65334-S
端午 端午	47-65334-B
端午節 端午节	47-65421-B
端午节	47-65421-S
端口	47-65527-S
端口 端口	47-65527-B
端庄	48-56-S
端木	47-65576-S
端木 端木	47-65576-B
端正	47-65638-S
端正 端正	47-65638-B
端站	47-65705-S
端站 端站	47-65705-B
端粒	47-65752-S
端粒 端粒	47-65752-B
端粒脢	47-65794-S
端粒脢 端粒脢	47-65794-B
端系統 端系统	48-0-B
端系统	48-0-S
端莊 端庄	48-56-B
端詳 端详	48-103-B
端详	48-103-S
端賴 端赖	48-164-B
端赖	48-164-S
競 竞	48-259-B
競價 竞价	48-316-B
