面諭 面谕	68-3424-B
類書 类书	68-47784-B
類木行星 类木行星	68-47834-B
類毒素 类毒素	68-47904-B
類比 类比	68-47953-B
類比策略 类比策略	68-47993-B
類比錯誤 类比错误	68-48066-B
類烏齊 类乌齐	68-48133-B
類球面 类球面	68-48204-B
類金屬 类金属	68-48274-B
類頻數 类频数	68-48336-B
類風濕因子 类风湿因子	68-48390-B
類鼻疽 类鼻疽	68-48474-B
類鼻疽單細胞 类鼻疽单细胞	68-48528-B
顢 颟	68-48627-B
顣	68-48658-S
顣 顣	68-48658-B
顥 颢	68-48685-B
顧 顾	68-48720-B
顧不得 顾不得	68-48800-B
顧全大局 顾全大局	68-48880-B
顧及 顾及	68-49022-B
顧名思義 顾名思义	68-49095-B
顧問 顾问	68-49168-B
顧客 顾客	68-49219-B
顧忌 顾忌	68-49266-B
顧念 顾念	68-49305-B
顧惜 顾惜	68-49365-B
顧愷之 顾恺之	68-49428-B
顧慮 顾虑	68-49506-B
顧炎武 顾炎武	68-49562-B
顫 颤	68-49625-B
顫動 颤动	68-49706-B
顫抖 颤抖	68-49752-B
顫栗 颤栗	68-49827-B
顬 颥	68-49881-B
顯 显	68-49920-B
顯像 显像	68-49965-B
顯像管 显像管	68-50051-B
顯出 显出	68-50157-B
顯卡 显卡	68-50213-B
顯學 显学	68-50282-B
顯宦 显宦	68-50354-B
顯形 显形	68-50403-B
顯影 显影	68-50491-B
顯影劑 显影剂	68-50559-B
顯得 显得	68-50620-B
顯微學 显微学	68-50678-B
顯微鏡 显微镜	68-50734-B
顯微鏡座 显微镜座	68-50791-B
顯懷 显怀	68-50877-B
顯效 显效	68-50948-B
顯明 显明	68-51043-B
顯晦 显晦	68-51088-B
顯晶 显晶	68-51138-B
顯焓 显焓	68-51240-B
顯然 显然	68-51357-B
顯現 显现	68-51417-B
顯生宙 显生宙	68-51473-B
顯目 显目	68-51593-B
顯眼 显眼	68-51650-B
顯示 显示	68-51719-B
顯示卡 显示卡	68-51801-B
顯示器 显示器	68-51859-B
顯示屏 显示屏	68-51922-B
顯示板 显示板	68-51983-B
顯老 显老	68-52047-B
顯考 显考	68-52093-B
顯而易見 显而易见	68-52159-B
顯著 显著	68-52293-B
顯見 显见	68-52358-B
顯豁 显豁	68-52417-B
顯赫 显赫	68-52476-B
顯赫人物 显赫人物	68-52532-B
顯鏡 显镜	68-52613-B
顯露 显露	68-52687-B
顯露出 显露出	68-52735-B
顰 颦	68-52813-B
顱 颅	68-52850-B
顳 颞	68-52886-B
顳顬 颞颥	68-52966-B
顳骨 颞骨	68-53031-B
顴 颧	68-53109-B
顴弓 颧弓	68-53144-B
顴骨 颧骨	68-53213-B
页	68-19296-S
页岩	68-19327-S
页底	68-19365-S
页心	68-19419-S
页码	68-19461-S
页蒿	68-19504-S
页边	68-19544-S
页面	68-19584-S
页首	68-19631-S
顶	68-19696-S
顶事	68-19789-S
顶住	68-19838-S
顶叶	68-20731-S
顶呱呱	68-19900-S
顶多	68-19974-S
顶夸克	68-20024-S
顶尖	68-20086-S
顶尖级	68-20212-S
顶层	68-20284-S
顶峰	68-20351-S
顶撞	68-20398-S
顶替	68-20446-S
顶架	68-20490-S
顶梁柱	68-20530-S
顶点	68-21041-S
顶用	68-20593-S
顶端	68-20641-S
顶级	68-20688-S
顶轮	68-20778-S
顶针	68-20836-S
顶风	68-20879-S
顶骨	68-20975-S
顷	68-21088-S
顷刻间	68-21232-S
顸	68-27463-S
项	68-21323-S
项城	68-21418-S
项城市	68-21502-S
项目	68-21597-S
项羽	68-21657-S
项英	68-21726-S
项链	68-21785-S
项颈	68-21832-S
顺	68-21881-S
顺义	68-26305-S
顺义区	68-26368-S
顺从	68-23819-S
顺便	68-21968-S
顺其自然	68-22053-S
顺利	68-22173-S
顺势	68-22231-S
顺势疗法	68-22360-S
顺化	68-22450-S
顺叙	68-24860-S
顺口	68-22488-S
顺口溜	68-22611-S
顺和	68-22717-S
顺嘴	68-22764-S
顺嘴儿	68-22887-S
顺坦	68-23019-S
顺城	68-23076-S
顺城区	68-23166-S
顺境	68-23266-S
顺导	68-23325-S
顺差	68-23429-S
顺带	68-23489-S
顺序	68-23579-S
顺序数	68-23627-S
顺应	68-24052-S
顺应不良	68-24149-S
顺应天时	68-24243-S
顺延	68-23686-S
顺式	68-23749-S
顺当	68-26192-S
顺德	68-23883-S
顺心	68-23947-S
顺意	68-24000-S
顺我者昌逆我者亡	68-24374-S
顺手	68-24499-S
顺手儿	68-24576-S
顺手牵羊	68-24662-S
顺时针	68-24985-S
顺昌	68-24917-S
顺服	68-25106-S
顺次	68-25152-S
顺民	68-25213-S
顺气	68-25285-S
顺水	68-25332-S
顺水人情	68-25384-S
顺水推舟	68-25473-S
顺水推船	68-25632-S
顺治	68-25792-S
顺治帝	68-25873-S
顺溜	68-25951-S
顺潮	68-26004-S
顺理成章	68-26054-S
顺畅	68-25041-S
顺眼	68-26235-S
顺着	68-26517-S
顺耳	68-26464-S
顺藤摸瓜	68-26576-S
顺行	68-26705-S
顺访	68-26795-S
顺路	68-26850-S
顺适	68-27014-S
顺遂	68-26932-S
顺风	68-27069-S
顺风耳	68-27131-S
顺风车	68-27254-S
顺风转舵	68-27332-S
须	68-27494-S,70-28144-S
须丸	68-27536-S
须发	70-28230-S
须毛	70-28180-S
须知	68-27583-S
须要	68-27674-S
顼	68-27719-S
顽	68-31193-S
顽劣	68-31269-S
顽匪	68-31352-S
顽固	68-31401-S
顽强	68-31452-S
顽梗	68-31512-S
顽症	68-31567-S
顽皮	68-31654-S
顽童	68-31694-S
顽钝	68-31735-S
顾	68-48720-S
顾不得	68-48800-S
顾全大局	68-48880-S
顾及	68-49022-S
顾名思义	68-49095-S
顾客	68-49219-S
顾忌	68-49266-S
顾念	68-49305-S
顾恺之	68-49428-S
顾惜	68-49365-S
顾炎武	68-49562-S
顾虑	68-49506-S
顾问	68-49168-S
顿	68-32433-S
顿号	68-32985-S
顿悟	68-32536-S
顿挫	68-32657-S
顿时	68-32737-S
顿河	68-32800-S
顿涅斯克	68-32842-S
顿涅茨克	68-32924-S
顿足	68-33091-S
颀	68-28146-S
颁	68-31807-S
颁发	68-32056-S
颁奖	68-32002-S
颁布	68-31947-S
颁示	68-32111-S
颁给	68-32170-S
颁行	68-32210-S
颁赏	68-32361-S
颁赐	68-32266-S
颂	68-27756-S
颂声载道	68-27885-S
颂扬	68-27789-S
颂歌	68-27846-S
颂词	68-28026-S
颂赞	68-28063-S
颃	68-28172-S
预	68-28204-S
预习	68-30031-S
预付	68-28269-S
预估	68-28315-S
预兆	68-28560-S
预先	68-28615-S
预卜	68-28665-S
预后	68-28713-S
预告	68-28770-S
预备	68-28392-S
预备知识	68-28473-S
预定	68-28865-S
预应力	68-29014-S
预想	68-28918-S
预感	68-28970-S
预扣	68-29069-S
预报	68-28824-S
预提	68-29113-S
预收费	68-29174-S
预料	68-29229-S
预期	68-29273-S
预期推理	68-29320-S
预期收入票据	68-29393-S
预案	68-29499-S
预测	68-29547-S
预演	68-29595-S
预知	68-29668-S
预示	68-29719-S
预祝	68-29798-S
预科	68-29876-S
预算	68-29939-S
预约	68-29979-S
预装	68-30082-S
预见	68-30163-S
预览	68-30269-S
预言	68-30309-S
预言家	68-30361-S
预警	68-30664-S
预警系统	68-30719-S
预计	68-30477-S
预订	68-30412-S
预试	68-30540-S
预谋	68-30581-S
预购	68-30795-S
预赛	68-30844-S
预选	68-30926-S
预防	68-31003-S
预防措施	68-31103-S
颅	68-52850-S
领	68-33308-S
领事	68-33362-S
领事馆	68-33403-S
领会	68-34671-S
领先	68-33459-S
领先地位	68-33517-S
领养	68-35471-S
领取	68-33592-S
领受	68-33642-S
领土	68-33687-S
领土完整	68-33730-S
领地	68-33809-S
领域	68-33852-S
领奖	68-34827-S
领子	68-33920-S
领导	68-33965-S
领导人	68-34038-S
领导层	68-34090-S
领导权	68-34180-S
领导者	68-34247-S
领导能力	68-34299-S
领巾	68-34366-S
领带	68-34422-S
领悟	68-34465-S
领情	68-34526-S
领扣	68-35122-S
领收	68-34605-S
领洗	68-34733-S
领海	68-34774-S
领略	68-34896-S
领空	68-34975-S
领衔	68-35170-S
领衔主演	68-35284-S
领袖	68-35032-S
领路	68-35073-S
领队	68-35377-S
领馆	68-35532-S
颇	68-33173-S
颇为	68-33263-S
颈	68-41024-S
颈椎	68-41052-S
颈部	68-41173-S
颈链	68-41232-S
颈项	68-41279-S
颉	68-35740-S
颊	68-40918-S
颌	68-35595-S
颍	39-56460-S,39-56523-S
颏	68-35897-S,68-35923-S
颐	68-35791-S
颐和园	68-35827-S
频	68-41569-S
频仍	68-41624-S
频危物种	68-41667-S
频宽	68-41742-S
频带	68-41802-S
频度	68-41861-S
频数	68-41903-S
频数分布	68-41946-S
频段	68-42023-S
频率	68-42085-S
频率合成	68-42127-S
频率调制	68-42202-S
频繁	68-42278-S
频谱	68-42328-S
频道	68-42400-S
频频	68-42464-S
颓	68-41320-S
颓势	68-41363-S
颓唐	68-41417-S
颓废	68-41472-S
颓靡	68-41526-S
颔	68-40986-S
颖	47-40882-S
颖上县	47-40919-S
颗	68-42574-S
颗粒	68-42624-S
题	68-42769-S
题名	68-42875-S
题字	68-42937-S
题旨	68-42990-S
题材	68-43047-S
题目	68-43094-S
题签	68-43145-S
题花	68-43218-S
题解	68-43263-S
题词	68-43320-S
题跋	68-43374-S
颚	68-44455-S
颚裂	68-44486-S
颛	68-44886-S
颛顼	68-44936-S
颜	68-44545-S
颜体	68-44750-S
颜料	68-44597-S
颜真卿	68-44649-S
颜色	68-44712-S
额	68-43443-S
额叶	68-44318-S
额外	68-43501-S
额头	68-44361-S
额尔古纳右旗	68-43759-S
额尔古纳左旗	68-43876-S
额尔金	68-43993-S
额尔齐斯河	68-44046-S
额敏	68-43555-S
额比河	68-43615-S
额济纳旗	68-43680-S
额菲尔士	68-44119-S
额菲尔士峰	68-44225-S
额骨	68-44401-S
颞	68-52886-S
颞颥	68-52966-S
颞骨	68-53031-S
颟	68-48627-S
颠	68-45427-S
颠三倒四	68-45507-S
颠倒	68-45593-S
颠倒过来	68-45696-S
颠倒黑白	68-45759-S
颠峰	68-45946-S
颠扑不破	68-46005-S
颠来倒去	68-46118-S
颠沛	68-46233-S
颠沛流离	68-46305-S
颠狂	68-46444-S
颠簸	68-46489-S
颠茄	68-46547-S
颠覆	68-46619-S
颠覆分子	68-46718-S
颠覆罪	68-46789-S
颠踣	68-46876-S
颠连	68-46938-S
颠颠	68-46983-S
颠鸾倒凤	68-47036-S
颡	68-45388-S
颢	68-48685-S
颤	68-49625-S
颤动	68-49706-S
颤抖	68-49752-S
颤栗	68-49827-S
颥	68-49881-S
颦	68-52813-S
颧	68-53109-S
颧弓	68-53144-S
颧骨	68-53213-S
風 风	68-53274-B
風乾 风干	68-53327-B
風俗 风俗	68-53384-B
風信子 风信子	68-53431-B
風光 风光	68-53493-B
風力 风力	68-53551-B
風力水車 风力水车	68-53606-B
風化 风化	68-53671-B
風化作用 风化作用	68-53724-B
風口 风口	68-53825-B
風向標 风向标	68-53926-B
風味 风味	68-54017-B
風圈 风圈	68-54076-B
風土 风土	68-54143-B
風土人情 风土人情	68-54242-B
風姿 风姿	68-54341-B
風姿綽約 风姿绰约	68-54420-B
風尚 风尚	68-54503-B
風帆 风帆	68-54582-B
風平浪靜 风平浪静	68-54634-B
風度 风度	68-54714-B
風成 风成	68-54776-B
風採	68-54836-S
風採 風採	68-54836-B
風景 风景	68-54895-B
風暴 风暴	68-54948-B
風暴潮 风暴潮	68-55035-B
風格 风格	68-55093-B
風檔玻璃 风档玻璃	68-55132-B
風氣 风气	68-55210-B
風水 风水	68-55283-B
風水輪流 风水轮流	68-55336-B
風水輪流轉 风水轮流转	68-55421-B
風沙 风沙	68-55548-B
風波 风波	68-55611-B
風洞 风洞	68-55685-B
風流 风流	68-55732-B
風流債 风流债	68-55887-B
風流雲散 风流云散	68-55959-B
風浪 风浪	68-56031-B
風潮 风潮	68-56092-B
風濕 风湿	68-56153-B
風濕性關節炎 风湿性关节炎	68-56198-B
風濕熱 风湿热	68-56299-B
風災 风灾	68-56359-B
風物 风物	68-56430-B
風琴 风琴	68-56478-B
風癱 风瘫	68-56544-B
風箏 风筝	68-56618-B
風箱 风箱	68-56659-B
風範 风范	68-56703-B
風聲 风声	68-56771-B
風能 风能	68-56862-B
風華 风华	68-56908-B
風華絕代 风华绝代	68-56954-B
風行 风行	68-57086-B
風調 风调	68-57169-B
風調雨順 风调雨顺	68-57227-B
風貌 风貌	68-57339-B
風起潮涌 风起潮涌	68-57392-B
風起雲湧 风起云涌	68-57465-B
風趣 风趣	68-57539-B
風車 风车	68-57597-B
風速 风速	68-57649-B
風邪 风邪	68-57693-B
風采 风采	68-57782-B
風險 风险	68-57855-B
風險投資 风险投资	68-57910-B
風險與收益的關係 风险与收益的关系	68-57982-B
風雨 风雨	68-58137-B
風雨同舟 风雨同舟	68-58218-B
風雨如晦 风雨如晦	68-58368-B
風雨淒淒 风雨凄凄	68-58500-B
風雨無阻 风雨无阻	68-58576-B
風雲 风云	68-58667-B
風雲人物 风云人物	68-58730-B
風雲變幻 风云变幻	68-58845-B
風霜 风霜	68-58952-B
風靡 风靡	68-59019-B
風靡一時 风靡一时	68-59064-B
風韻 风韵	68-59179-B
風骨 风骨	68-59260-B
颭	68-59347-S
颭 颭	68-59347-B
颮 飑	68-59375-B
颯 飒	68-59408-B
颱 台	68-59453-B
颱風 台风	68-59483-B
颳 刮	68-59535-B
颳風 刮风	68-59579-B
颶 飓	68-59625-B
颶風 飓风	68-59656-B
颸	68-59699-S
