蹡	60-50484-S
转化糖	61-21688-S
转卖	61-28354-S
转发	61-25910-S
转变	61-28143-S
转变立场	61-28196-S
转口	61-21750-S
转台	61-21792-S
转向	61-21855-S
转告	61-21932-S
转回	61-21996-S
转圈	61-22094-S
转型	61-22183-S
转基因	61-22247-S
转塔	61-22313-S
转头	61-30462-S
转嫁	61-22363-S
转子	61-22438-S
转字锁	61-22477-S
转学	61-22539-S
转学生	61-22623-S
转寄	61-22697-S
转导	61-22827-S
转帐	61-22875-S
转干	61-22951-S
转引	61-23038-S
转弯	61-23104-S
转弯抹角	61-23153-S
转录	61-30022-S
转徙	61-23325-S
转念	61-23384-S
转悠	61-23473-S
转悲为喜	61-23554-S
转战	61-23652-S
转战千里	61-23724-S
转手	61-23897-S
转托	61-23943-S
转折	61-24036-S
转折点	61-24135-S
转抵	61-24211-S
转换	61-24513-S
转换器	61-24583-S
转换断层	61-24650-S
转捩	61-24268-S
转捩点	61-24311-S
转授	61-24372-S
转接	61-24420-S
转播	61-24733-S
转文	61-24943-S
转机	61-25197-S
转来转去	61-21094-S
转椅	61-25038-S
转正	61-25280-S
转氨基酶	61-25365-S
转氨酶	61-25447-S
转注	61-27622-S
转注字	61-27843-S
转浑天仪	61-25513-S
转炉	61-25599-S
转生	61-25676-S
转用	61-25840-S
转盘	61-25973-S
转眼	61-26020-S
转眼即逝	61-26099-S
转矩	61-26192-S
转矩臂	61-26233-S
转磨	61-26288-S
转科	61-26340-S
转租	61-26449-S
转移	61-26493-S
转移安置	61-26558-S
转移支付	61-26637-S
转移阵地	61-26804-S
转筋	61-26921-S
转纽	61-26969-S
转给	61-27050-S
转而	61-27153-S
转背	61-27238-S
转脸	61-27340-S
转船	61-27433-S
转行	61-27488-S
转角	61-27545-S
转让	61-28297-S
转译	61-28074-S
转败为胜	61-24800-S
转账	61-28399-S
转账卡	61-28481-S
转赠	61-28541-S
转距	61-28598-S
转身	61-28639-S
转车	61-28717-S,61-28781-S
转车台	61-28828-S
转轮	61-29109-S
转轮圣王	61-29315-S
转轮王	61-29198-S
转轴	61-28886-S
转轴儿	61-28939-S
转载	61-29015-S
转达	61-29761-S
转运	61-29640-S
转述	61-29445-S
转送	61-29511-S
转递	61-29822-S
转速	61-29556-S
转道	61-29699-S
转铃	61-29876-S
转铃儿	61-29946-S
转门	61-30070-S
转面无情	61-30250-S
转韵	61-30395-S
转鼓	61-30679-S
轭	61-1710-S
轮	61-15406-S
轮任	61-15456-S
轮作	61-15534-S
轮值	61-15617-S
轮到	61-15672-S
轮台	61-15770-S
轮唱	61-15834-S
轮回	61-15889-S
轮子	61-15962-S
轮廓	61-15999-S
轮廓线	61-16054-S
轮换	61-16121-S
轮椅	61-16167-S
轮次	61-16210-S
轮毂	61-16811-S
轮流	61-16273-S
轮滑	61-16316-S
轮班	61-16364-S
轮番	61-16411-S
轮盘	61-16470-S
轮胎	61-16512-S
轮脚	61-16565-S
轮船	61-16624-S
轮训	61-16669-S
轮询	61-16723-S
轮转机	61-16853-S
轮轴	61-16772-S
轮迴	61-16913-S
轮齿	61-16958-S
软	61-1828-S
软件	61-1865-S
软件企业	61-1920-S
软件包	61-1992-S
软件市场	61-2055-S
软件平台	61-2130-S
软件开发	61-2355-S
软件开发人员	61-2432-S
软件技术	61-2206-S
软件系统	61-2282-S
软体	61-4386-S
软体业	61-4630-S
软体业巨人	61-4695-S
软体出版协会	61-4449-S
软体动物	61-4558-S
软体配送者	61-4774-S
软化	61-2530-S
软卧	61-3845-S
软口盖	61-2571-S
软坐	61-2634-S
软席	61-2708-S
软库	61-2846-S
软座	61-2781-S
软弱	61-2900-S
软木	61-2953-S
软木塞	61-2995-S
软毛	61-3044-S
软流圈	61-3082-S
软流层	61-3149-S
软玉	61-3216-S
软盘	61-3264-S
软着陆	61-3949-S
软硬件	61-3310-S
软硬兼施	61-3379-S
软碟	61-3523-S
软磁盘	61-3569-S
软磁碟	61-3625-S
软禁	61-3681-S
软脂酸	61-3728-S
软膏	61-3796-S
软饮	61-4028-S
软饮料	61-4073-S
软骨	61-4130-S
软骨鱼	61-4173-S
软骨鱼类	61-4252-S
软齶	61-4862-S
轰	61-31606-S
轰击	61-31736-S
轰动	61-31686-S
轰炸	61-31777-S
轰炸机	61-31830-S
轰然	61-31892-S
轰轰烈烈	61-31964-S
轰隆	61-32049-S
轲	61-5763-S
轳	61-32184-S
轴	61-5283-S
轴丝	61-5553-S
轴承	61-5316-S
轴突	61-5373-S
轴突运输	61-5411-S
轴索	61-5483-S
轴线	61-5622-S
轵	61-5677-S
轶	61-5806-S
轶事	61-5857-S
轸	61-5047-S
轸方	61-5102-S
轹	61-32144-S
轺	61-5726-S
轻	61-9559-S
轻举妄动	61-11979-S
轻伤	61-9752-S
轻便	61-9671-S
轻元素	61-9819-S
轻击区	61-10388-S
轻击棒	61-10452-S
轻击球	61-10511-S
轻咬	61-9878-S
轻声	61-11759-S
轻子	61-9919-S
轻工业	61-9959-S
轻微	61-10019-S
轻快	61-10092-S
轻慢	61-10193-S
轻打	61-10238-S
轻捷	61-10287-S
轻敌	61-10599-S
轻易	61-10659-S
轻机关枪	61-10872-S
轻机枪	61-10808-S
轻松	61-13650-S
轻染	61-10714-S
轻柔	61-10754-S
轻水	61-10981-S
轻水反应堆	61-11112-S
轻浪浮薄	61-11207-S
轻浮	61-11285-S
轻狂	61-11343-S
轻率	61-11389-S
轻生	61-11431-S
轻盈	61-11492-S
轻省	61-11582-S
轻看	61-11630-S
轻而易举	61-11682-S
轻脆	61-11836-S
轻蔑	61-12081-S
轻薄	61-12123-S
轻视	61-12186-S
轻言细语	61-12265-S
轻质石油	61-12335-S
轻质石油产品	61-12441-S
轻轨	61-12575-S
轻轻	61-12708-S
轻重	61-12758-S
轻重主次	61-12846-S
轻重倒置	61-13058-S
轻重缓急	61-13271-S
轻量级	61-13394-S
轻音乐	61-13474-S
轻风	61-13531-S
轻飘飘	61-13584-S
轼	61-5949-S
载	61-6752-S,61-6800-S
载人	61-6892-S
载伯德	61-6932-S
载体	61-8326-S
载入	61-6989-S
载客	61-7123-S
载客车	61-7183-S
载客量	61-7251-S
载弹量	61-7314-S
载携	61-7368-S
载波	61-7418-S
载湉	61-7463-S
载漪	61-7546-S
载籍	61-7597-S
载荷	61-7660-S
载货	61-7713-S
载货汽车	61-7759-S
载运	61-7903-S
载途	61-7819-S
载道	61-7970-S
载重	61-8038-S
载重能力	61-8096-S
载重量	61-8178-S
载频	61-8267-S
轾	61-8365-S
轿	61-30801-S
轿夫	61-30859-S
轿子	61-30926-S
轿车	61-30993-S
辁	61-6663-S
辂	61-6634-S
较	61-6082-S
较大	61-6142-S
较好	61-6195-S
较少	61-6236-S
较短絜长	61-6276-S
较量	61-6390-S
较长	61-6465-S
较长絜短	61-6520-S
辄	61-8423-S
辅	61-8644-S
辅仁大学	61-8699-S
辅以	61-8801-S
辅助	61-8868-S
辅助医疗	61-8918-S
辅导	61-8995-S
辅导人	61-9071-S
辅导员	61-9120-S
辅币	61-9193-S
辅料	61-9244-S
辅课	61-9321-S
辅酶	61-9370-S
辅音	61-9422-S
辅音释放时间	61-9464-S
辆	61-13794-S
辇	61-15093-S
辈	61-15135-S
辈出	61-15192-S
辈分	61-15253-S
辈子	61-15351-S
辉	61-13879-S
辉南	61-13917-S
辉南县	61-13982-S
辉县	61-14334-S
辉煌	61-14059-S
辉瑞	61-14112-S
辉石	61-14183-S
辉绿岩	61-14266-S
辉长岩	61-14396-S
辊	61-15050-S
辋	61-14457-S
辍	61-14496-S
辍学	61-14538-S
辍止	61-14643-S
辍演	61-14698-S
辍笔	61-14783-S
辍食吐哺	61-14872-S
辎	61-13842-S
辏	61-17150-S
辐	61-18375-S
辐射	61-18413-S
辐射仪	61-18530-S
辐射侦察	61-18455-S
辐射分解	61-18588-S
辐射剂量	61-18653-S
辐射剂量率	61-18723-S
辐射场	61-18808-S
辐射对称	61-18869-S
辐射强度	61-18940-S
辐射敏感性	61-19015-S
辐射散射	61-19098-S
辐射波	61-19173-S
辐射直接效应	61-19246-S
辐射能	61-19351-S
辐射警告标志	61-19478-S
辐射计	61-19425-S
辐射防护	61-19581-S
辐条	61-19656-S
辐照	61-19703-S
辑	61-17098-S
辒	61-20192-S
辒车	61-20221-S
输	61-17326-S
输入	61-17369-S
输入法	61-17420-S
输入设备	61-17475-S
输出	61-17553-S
输出品	61-17606-S
输卵管	61-17681-S
输水管	61-17750-S
输沙量	61-17816-S
输油管	61-17921-S
输电	61-18243-S
输精管	61-17985-S
输血	61-18044-S
输送	61-18120-S
输送媒介	61-18170-S
辔	61-32109-S
辕	61-20536-S
辖	61-20322-S
辖制	61-20438-S
辖区	61-20482-S
辗	61-19789-S
辗转	61-19845-S
辘	61-20580-S
辙	61-30725-S,61-30769-S
辚	61-31242-S
辛	61-32214-S
辛 辛	61-32214-B
辛丑	61-32336-S
辛丑 辛丑	61-32336-B
辛丑条约	61-32413-S
辛丑條約 辛丑条约	61-32413-B
辛亥	61-32556-S
辛亥 辛亥	61-32556-B
辛亥革命	61-32631-S
辛亥革命 辛亥革命	61-32631-B
辛伐他汀	61-32744-S
辛伐他汀 辛伐他汀	61-32744-B
辛劳	61-32811-S
辛勞 辛劳	61-32811-B
辛勤	61-32854-S
辛勤 辛勤	61-32854-B
辛卯	61-32911-S
辛卯 辛卯	61-32911-B
辛巳	61-32986-S
辛巳 辛巳	61-32986-B
辛未	61-33058-S
辛未 辛未	61-33058-B
辛格	61-33126-S
辛格 辛格	61-33126-B
辛烷值	61-33174-S
辛烷值 辛烷值	61-33174-B
辛苦	61-33232-S
辛苦 辛苦	61-33232-B
辛貝特 辛贝特	61-33295-B
辛贝特	61-33295-S
辛辣	61-33382-S
辛辣 辛辣	61-33382-B
辛迪加	61-33456-S
辛迪加 辛迪加	61-33456-B
辛酉	61-33516-S
辛酉 辛酉	61-33516-B
辛酸	61-33591-S
辛酸 辛酸	61-33591-B
辛集	61-33667-S
辛集 辛集	61-33667-B
辜	61-33725-S
辜 辜	61-33725-B
辜振甫	61-33767-S
辜振甫 辜振甫	61-33767-B
辜負 辜负	61-33822-B
辜负	61-33822-S
辞	61-36249-S
辞世	61-36316-S
辞书学	61-36740-S
辞令	61-36402-S
辞典	61-36483-S
辞去	61-36580-S
辞官	61-36629-S
辞掉	61-36690-S
辞海	61-36816-S
辞职	61-36932-S
辞藻	61-36971-S
辞退	61-37012-S
辟	61-33892-S,61-33949-S,65-58127-S
辟 辟	61-33892-B,61-33949-B
辟邪	61-33974-S
辟邪 辟邪	61-33974-B
辠	61-34031-S
辠 辠	61-34031-B
辣	61-34068-S
辣 辣	61-34068-B
辣哈布	61-34109-S
辣哈布 辣哈布	61-34109-B
辣妹	61-34163-S
辣妹 辣妹	61-34163-B
辣彼	61-34265-S
辣彼 辣彼	61-34265-B
辣根	61-34319-S
辣根 辣根	61-34319-B
辣椒	61-34370-S
辣椒 辣椒	61-34370-B
辣椒酱	61-34420-S
辣椒醬 辣椒酱	61-34420-B
辣汁	61-34495-S
辣汁 辣汁	61-34495-B
辦 办	61-34549-B
辦不到 办不到	61-34639-B
辦事 办事	61-34737-B
辦事處 办事处	61-34798-B
辦公 办公	61-34856-B
辦公室 办公室	61-34943-B
辦公廳 办公厅	61-34995-B
辦公樓 办公楼	61-35056-B
辦公自動化 办公自动化	61-35117-B
辦到 办到	61-35202-B
辦報 办报	61-35265-B
辦學 办学	61-35317-B
辦案 办案	61-35366-B
辦法 办法	61-35415-B
辦理 办理	61-35479-B
辦罪 办罪	61-35544-B
辨	61-35587-S
辨 辨	61-35587-B
辨別 辨别	61-35632-B
辨別力 辨别力	61-35714-B
辨别	61-35632-S
辨别力	61-35714-S
辨明	61-35797-S
辨明 辨明	61-35797-B
辨析	61-35871-S
辨析 辨析	61-35871-B
辨認 辨认	61-35943-B
辨證 辨证	61-36002-B
辨證論治 辨证论治	61-36050-B
辨識 辨识	61-36175-B
辨认	61-35943-S
辨证	61-36002-S
辨证论治	61-36050-S
辨识	61-36175-S
辩	61-37246-S
辩争	61-37718-S
辩别	61-37298-S
辩士	61-37407-S
辩才	61-37485-S
辩才天	61-37529-S
辩护	61-38747-S
辩护人	61-38843-S
辩护士	61-38914-S
辩明	61-37651-S
辩白	61-37774-S
辩答	61-37867-S
辩解	61-37920-S
辩认	61-38102-S
辩论	61-38283-S
辩证	61-38335-S
辩证唯物主义	61-38395-S
辩证施治	61-38497-S
辩证法	61-38651-S
辩词	61-38059-S
辩诬	61-38176-S
辩说	61-38229-S
辩辞	61-38977-S
辩难	61-39020-S
辩驳	61-39084-S
辫	61-37076-S
辫子	61-37125-S
辭 辞	61-36249-B
辭世 辞世	61-36316-B
辭令 辞令	61-36402-B
辭典 辞典	61-36483-B
辭去 辞去	61-36580-B
辭官 辞官	61-36629-B
辭掉 辞掉	61-36690-B
辭書學 辞书学	61-36740-B
辭海 辞海	61-36816-B
辭翰 词翰	61-36855-B
辭職 辞职	61-36932-B
辭藻 辞藻	61-36971-B
辭退 辞退	61-37012-B
辮 辫	61-37076-B
辮子 辫子	61-37125-B
辯 辩	61-37246-B
辯別 辩别	61-37298-B
辯士 辩士	61-37407-B
辯才 辩才	61-37485-B
辯才天 辩才天	61-37529-B
辯明 辩明	61-37651-B
辯爭 辩争	61-37718-B
辯白 辩白	61-37774-B
辯答 辩答	61-37867-B
辯解 辩解	61-37920-B
辯詞 辩词	61-38059-B
辯認 辩认	61-38102-B
辯誣 辩诬	61-38176-B
辯說 辩说	61-38229-B
