yuán wǎng luò	33-52885-S
yà xì yà	2-49070-S,3-63154-B,20-60498-S
yà xì yà zhōu	3-63216-B
yà xī ěr · ā lā fǎ tè	3-63858-B
yà xīn jǐ nèi yà	22-5139-S
yà yuán chóng bìng	22-10123-S
yà yì	3-63810-B
yà yín háng	33-14590-S
yà yùn cūn	3-64507-B
yà yùn huì	3-64452-B
yà yú	1-66676-S
yà yīn jié dān wèi	3-64992-B
yà yǔ	7-17775-S,11-19011-S,16-20333-S,16-20577-S,37-38988-S,69-32547-S
yà zhōu	3-60515-B,3-63216-S,5-1003-S,9-52204-S,11-1500-S,16-17593-S,22-27211-S,23-31556-S,50-2437-S,50-2511-S,57-17254-S,57-20239-S,59-55385-S
yà zhōu bēi	3-60912-B,3-60966-B
yà zhōu diàn tái	53-10230-S
yà zhōu guó jiā	3-60651-B
yà zhōu kè zǎo	3-60841-B
yà zhōu kāi fā yín háng	3-61438-B
yà zhōu lùn tán	11-10594-S
yà zhōu tài píng yáng dì qū	3-60733-B
yà zhōu yǔ tài píng yáng	3-61020-B
yà zhōu yǔ tài píng yáng dì qū	3-61111-B
yà zhōu zhōu kān	3-60559-B,3-61345-B
yà zhōu zú qiú lián hé huì	3-61229-B
yà zhǒng	3-62841-B
yà zǒng dū	40-2824-S
yà · lái áng	11-15193-S
yà àn	51-55941-S
yà ěr fā hé ào mǐ jiā	3-61703-B
yà ěr sī kè	7-16231-S
yà ōu	3-59673-B
yà ōu dà lù	3-59763-B
yà ōu dà lù fù dì	3-59976-B
yà ōu dà lù qiáo	3-59833-B
yàn	1-74498-S,5-19900-S,5-29135-S,6-49721-B,7-6650-S,8-22755-S,10-25224-S,10-45590-S,10-54062-S,11-36162-B,12-61056-S,13-30871-B,13-48869-B,14-16151-B,14-40779-B,14-43916-S,15-21735-S,15-37859-S,16-8291-B,17-24048-S,17-39402-S,18-34044-S,18-34955-S,18-53743-S,18-62792-B,19-37531-S,19-60036-B,19-63060-S,20-11149-S,20-16033-S,22-5521-S,23-14321-S,23-26368-S,23-55784-B,24-621-S,26-22898-S,30-33084-S,31-44230-B,31-45009-S,32-38277-S,33-53995-S,33-59264-S,33-62191-S,34-4653-S,35-14610-S,35-31826-S,36-20464-S,36-38316-S,37-5748-S,37-7950-S,37-11589-S,37-26491-B,38-7967-S,38-20156-S,39-4665-S,40-19508-B,40-22677-S,40-34154-S,40-65773-B,41-24822-B,41-28315-B,41-35795-B,42-9630-S,44-40017-S,44-56185-S,44-57449-S,45-4865-S,46-26883-B,46-40428-S,48-1289-S,49-62627-S,51-34596-S,53-46154-B,56-12820-S,57-55602-B,57-62317-S,58-13737-S,58-18561-S,58-48742-B,58-61204-S,59-12910-B,59-15010-B,59-22499-B,59-39167-S,59-39437-S,60-5051-B,60-22896-S,60-57283-S,63-27853-S,63-39326-S,63-50335-S,63-51642-B,63-52199-B,64-27690-S,65-49888-S,66-52718-B,67-3197-S,67-14642-S,67-53525-S,67-67687-S,69-5972-S,69-20833-B,69-53257-B,69-57743-B,70-10711-S,70-15983-S,70-43317-S,70-53753-B,70-55300-B,70-55915-S,70-55979-S,70-59440-B
yàn bó	11-36743-B
yàn cháo xiāng	41-29004-B
yàn chǎng	33-62322-S
yàn diàn qì	69-59199-B
yàn duī	33-62247-S
yàn fán	5-13184-S,11-36625-B
yàn fāng	69-58445-B
yàn fēn fēi	9-63515-S
yàn fēng fù	49-62752-S
yàn guān	69-59132-B
yàn guāng	69-57900-B
yàn guāng fǎ	69-57961-B
yàn guāng pèi jìng fǎ	69-58128-B
yàn guāng pèi jìng yè	69-58033-B
yàn guǐ	57-62406-S
yàn huì	19-60117-B,59-12960-B
yàn huò	69-59079-B
yàn huǒ	41-24850-B
yàn hèn	11-36316-B
yàn hé	69-58892-B
yàn hóng sè	53-46227-B
yàn jià	31-44560-B
yàn jié guǒ	39-4710-S
yàn jiù	14-8456-S
yàn jiǎn yì zǒng jú	15-7223-S
yàn juàn	11-36248-B
yàn jīng dà xué	41-28488-B
yàn kù qiú bāo zǐ jūn	11-36808-B
yàn kē	41-29083-B
yàn lè	19-60177-B
yàn lì	53-46386-B
yàn mài	41-30280-B
yàn mài zhōu	41-30317-B
yàn míng	69-58519-B
yàn míng zhèng shēn	69-58614-B
yàn mǎ	33-54049-S
yàn nào ěr	22-5559-S
yàn nào ěr shì	22-5662-S
yàn nì	11-36692-B
yàn piào	69-58724-B
yàn píng zhòng	31-44447-B
yàn pēn shè qì	40-22527-S
yàn pǐn	60-5079-B
yàn què	41-29352-B,55-49299-S
yàn què chù táng	41-30084-B
yàn què wū què	41-29798-B
yàn què xiàng hè	41-29877-B
yàn què ān zhī hóng gǔ zhī zhì	41-29558-B
yàn qì	11-36435-B,11-36486-B,14-40812-B
yàn qíng	53-46186-B
yàn qǐng	19-60229-B
yàn shì	10-45661-S,11-36191-B,14-36890-S,20-16092-S,59-30212-S,63-27920-S
yàn shì gǎn rǎn	20-16147-S
yàn shí	11-36904-B
yàn shí zhèng	48-55553-S
yàn shān	40-22722-S,46-26958-B
yàn shāng	69-57793-B
yàn shī	53-46340-B,69-58223-B
yàn shōu	69-58326-B
yàn suàn	69-58775-B
yàn sè	53-46279-B
yàn sè hú	16-8318-B
yàn tiáo yuē	7-42693-S,47-894-S
yàn tái	46-26915-B
yàn tíng zuò	16-8409-B
yàn tǎ	17-39445-S
yàn wù	11-36367-B
yàn wěi fú	41-28863-B
yàn wō	41-29165-B
yàn xiàn	22-5776-S,38-20219-S
yàn xiǎng	19-60329-B
yàn xuè	69-58848-B
yàn xìng	58-13799-S
yàn xí	19-60071-B
yàn xù liè	22-33388-S
yàn xīn lǐ xué	20-16234-S
yàn yù	59-22531-B
yàn yīng	31-44275-B
yàn yǎng	11-36581-B
yàn yǎo	70-37347-S
yàn yǐn	19-60286-B
yàn yǔ	58-48772-B
yàn zhà	8-369-S
yàn zhèng	69-58933-B
yàn zhèng mǎ	69-59016-B
yàn zhēn lǐ de wéi yī biāo zhǔn	20-15514-S
yàn zhǔ yì	49-62686-S
yàn zi	41-28824-B
yàn zuò	17-50897-S
yàn zǐ	31-44327-B
yàn zǐ chūn qiū	31-44377-B
yàng	1-12407-S,1-12502-S,1-65267-S,1-69809-S,2-9460-S,5-23725-S,6-50339-S,11-34117-S,11-50697-S,11-58454-S,12-29339-S,12-29866-S,12-30199-S,12-30378-S,12-48718-S,15-27190-S,16-59193-S,16-61038-S,17-23036-S,19-30831-S,20-65704-S,21-16251-S,22-57811-S,23-25353-S,24-51613-S,24-51857-S,24-52157-B,24-64978-S,24-65072-S,25-0-B,26-46530-S,27-17168-S,28-21461-S,29-44837-S,34-39621-S,34-46368-B,34-58712-S,34-59260-B,34-59729-S,39-55977-B,40-12698-B,40-51883-S,41-6785-S,41-8141-S,43-16818-S,43-62131-S,45-14418-S,47-48210-S,49-22384-S,53-57887-S,55-15874-S,58-12906-S,59-9872-S,60-12011-S,62-5618-S,62-6645-S,63-17233-S
yàng 5r	57-26228-S,59-9946-S,60-12069-S
yàng ba	62-5747-S
yàng bì yí zú zì zhì xiàn	39-56015-B
yàng běn	34-59470-B
yàng bǎn	34-59520-B
yàng bǎn xì	34-59587-B
yàng chóng bìng	25-32-B
yàng de	18-28648-S,63-17286-S
yàng huà	16-59246-S
yàng huá bīng	53-58019-S
yàng jī	34-59774-B,47-20692-S
yàng là qiāng tóu	64-27180-S
yàng lǜ	28-21504-S
yàng pǐn	34-59319-B
yàng qì	47-48278-S
yàng shì	34-59425-B
yàng tiáo hán shù	34-59649-B
yàng xìng	16-59320-S,43-19226-S,43-24080-S
yàng yàng	34-59729-B
yàng yìng huà	10-1771-S,56-27854-S
yàng yóu yǒng	53-57940-S
yàng yī lái	62-5666-S
yàng zi	29-30165-S,34-59369-B,45-38739-S
yào	1-6683-S,1-76871-S,2-9088-S,2-27787-S,2-35721-S,2-79878-S,2-80956-S,3-7338-S,5-28207-S,6-9167-S,6-38512-S,6-38717-S,8-62857-S,9-11775-S,10-8028-S,10-21901-S,11-32219-S,12-8447-S,12-27628-S,15-69704-S,17-35132-S,19-12842-S,19-31282-S,20-37159-S,20-53110-S,20-53317-S,23-49960-S,24-41720-S,24-48892-S,24-59708-S,25-26046-S,25-39072-S,26-11587-S,27-4600-S,27-6284-S,27-6784-S,27-7184-S,27-7243-S,28-42084-S,28-46521-S,28-64449-S,29-57679-S,31-29881-S,31-31869-S,31-35557-S,32-2393-B,32-18653-S,32-44104-S,32-60139-S,33-1016-S,33-4809-S,34-37918-S,34-41800-S,35-19210-S,35-21663-S,35-42422-S,36-8184-S,37-10330-S,37-11689-S,37-59376-S,38-31389-S,40-13063-S,40-24140-S,40-29753-S,40-31428-S,40-47895-S,40-62544-S,40-63535-S,41-9157-S,41-34140-B,43-24523-S,44-19175-B,45-51686-S,46-26482-S,46-54351-S,47-1349-S,48-38348-S,49-3358-S,49-23731-S,50-5101-S,50-15306-S,50-35772-S,51-24327-B,51-50891-S,53-43083-S,53-49344-S,53-60379-S,54-15681-S,54-60424-B,55-26945-B,55-33400-B,56-59286-S,57-24601-B,57-52133-S,57-52580-S,58-19554-S,60-34613-S,61-42652-S,61-54127-S,61-62521-S,63-6816-S,63-38570-S,63-50614-S,64-0-S,64-41340-S,64-55053-S,64-55593-S,65-7512-B,65-26266-S,65-41386-S,67-39558-S,67-64902-S,68-6377-B,68-27674-S,69-23390-S,70-20770-S,70-21644-S,70-59389-B,71-15555-S,71-15951-S,71-22429-S
yào bu de	57-24720-B
yào bu shì	57-24785-B
yào bù	57-24667-B
yào bù rán	57-24854-B
yào bān	51-24368-B
yào bāng	52-22552-S
yào chōng	57-26647-B
yào chǎng	57-4223-S
yào cái	55-34181-B
yào de shì	64-196-S
yào diàn	55-34038-B
yào diǎn	55-33479-B,57-28224-B
yào duān	57-26985-B
yào dào	57-27780-B
yào dé	57-25838-B
yào dì	57-25460-B
yào dāo	58-39161-S
yào fàn	57-26749-B,57-28106-B
yào fáng	55-34081-B
yào fāng	55-34134-B
yào guò liàng	32-44150-S
yào guān tóu	50-15362-S
yào gāo	55-35136-B
yào huó	57-26464-S
yào huā	57-27372-B
yào huǎng	57-27609-B
yào hài	57-25664-B
yào hǎo	57-25555-B
yào jià	57-25137-B
yào jiàn	57-25070-B
yào jiè shào	48-38396-S
yào jiān jú	55-34928-B
yào jiǎn	55-34231-B
yào jué	57-27540-B
yào jì	55-33527-B
yào jì shì	55-33568-B
yào jì shī	55-33631-B
yào jìng	57-25789-B
yào jīn	57-26707-B
yào jǐn	2-27835-S,57-27100-B
yào kàn	57-26935-B
yào kù	23-50004-S
yào kǔ kǒu	53-43202-S
yào liáo	55-34871-B
yào liǎn	2-27954-S,57-27320-B
yào lái yuán	3-7400-S
yào lù	57-27697-B
yào lüè	57-26797-B
yào lǐ xué	55-34630-B
yào lǐng	2-8947-S,57-28043-B
yào me	57-28166-B
yào miàn zi	57-27956-B
yào miáo	55-35178-B
yào mìng	57-25256-B
yào mù	57-26855-B
yào néng lì	27-7386-S
yào piàn	55-34506-B
yào píng	55-34686-B
yào pǐn	20-38112-S,55-33712-B,71-16025-S
yào pǐn guǎn lǐ jú	69-2785-S
yào pǐn jiān dū guǎn lǐ jú	15-7933-S,69-2233-S
yào pǐn jiān dū jú	69-2105-S
yào qián	57-27847-B
yào qiáng	57-25715-B
yào qiān	34-19246-S,55-35089-B
yào rén	57-25020-B
yào shi	7-65765-S,42-49700-S,47-11915-S,54-47405-S,57-26062-B,65-7564-B
yào shi liàn	65-7612-B
yào shuō	32-39499-S
yào shuǐ	45-51742-S,55-34295-B,55-34377-B
yào shuǐ 5r	55-34432-B
yào shì	57-24970-B
yào shāng	55-33771-B
yào shī fó	55-33857-B
yào shī rú lái	55-33942-B
yào shū	57-26159-B
yào suàn shù	58-33414-S
yào sài	57-25511-B
yào sù	43-27243-S,57-27035-B
yào sǐ	57-26289-B
yào sǐ bù huó	57-26380-B
yào sǐ yào huó	57-26464-B
yào tiáo jiàn	24-41849-S
yào tú	57-25400-B
yào wán	55-33441-B
yào wèi shèn nóng	40-24183-S
yào wèn tí	64-63-S
yào wén	57-27197-B
yào wù	29-28062-S,48-56759-S,55-34545-B,57-25198-B
yào xiàn	51-24453-B
yào xué	55-33815-B
yào xìng	3-67403-S,24-41795-S,27-7309-S,51-37320-S,64-138-S
yào yuán	57-25346-B
yào yuán yīn	3-7485-S
yào yàng 5r	57-26228-B
yào yán bù fán	57-27442-B
yào yè	9-11829-S
yào yì	57-27150-B
yào yòng	55-34736-B
yào yòng jià zhí	55-34799-B
yào yú	9-56647-S
yào yǎn	51-24413-B
yào yǐn zhě	32-39437-S
yào yǒu	57-26097-B
yào zhí	57-27260-B
yào zhī	57-24918-B
yào zhǐ	57-25980-B
yào zi	57-25622-B
yào zuò	3-30760-S
yào zǔ	7-8272-S,34-40912-S
yào ài	57-27909-B
yá	3-22610-S,4-38100-S,4-57316-B,6-8788-S,6-9818-S,6-32076-S,8-62081-S,9-12281-S,11-29070-B,13-29102-S,17-49541-S,19-18458-S,21-6117-S,21-15237-S,21-29430-S,21-44153-B,23-49184-S,24-67753-S,26-2163-S,26-7293-S,33-30633-S,33-32301-B,38-22275-S,38-37139-B,39-27538-S,41-37310-S,41-46374-B,43-22965-S,44-33298-S,45-46034-S,45-54407-B,46-39975-S,48-4538-S,51-68819-S,52-36283-S,53-63719-B,54-41444-S,54-58163-S,55-21417-S,55-28901-S,55-58355-B,56-36762-B,56-57733-S,57-20502-S,59-17597-S,59-24035-S,65-17410-S,71-12656-S,71-55710-S
yá bái	41-46770-B
yá bāo gǎn jūn	52-5844-S
yá chuáng	41-46677-B
yá chǐ	41-47262-B
yá cài	59-17641-S
yá guān	13-29180-S
yá gāo	41-47021-B
yá gǎng	57-20622-S
yá huán yá	4-38100-S
yá huì	27-53744-S
yá hǎi jiǎo	17-49596-S
yá hǎi àn	59-24131-S
yá kè shí	41-46407-B
yá kē yī shēng	41-46827-B
yá liě zuǐ	13-15469-S,71-55865-S
yá lè mǎ	26-2206-S
yá lì	10-19944-S
yá lì chǐ	4-60975-S
yá lì yǔ	10-19996-S
yá men	50-34041-S,56-36821-B
yá miáo	53-63751-B
yá mǎi jiā	41-47064-B
yá mǎi jiā hú jiāo	41-47115-B
yá qiān	41-46889-B,41-46932-B
yá qū	54-9352-S
yá ruò bǐ lín	17-49697-S
yá rén	54-58214-S
yá shuā	41-46486-B
yá shā rén	4-38187-S
yá táng	71-12693-S
yá tòng	41-46727-B
yá tǎ	59-24075-S
yá wén	54-58287-S,57-20550-S
yá wǔ zhǎo	23-40760-S
yá xiàn	41-46975-B
yá yín	41-47307-B
yá yùn	27-16564-B
yá yī	41-47223-B
yá yǔ	54-58362-S,57-20723-S
yá zhōu bìng	41-46603-B
yá zhōu yán	41-46530-B
yá zi	4-57355-B
yá zǎi	4-57403-B
yán	1-13879-S,1-19438-S,1-24739-S,2-1462-S,2-38888-S,2-40245-S,2-43833-S,2-79033-S,3-15575-S,3-15642-S,3-57052-S,3-62666-S,4-17237-S,4-26114-S,4-59296-S,4-68986-S,4-70189-S,5-15517-S,5-20678-S,5-26948-S,6-10842-S,6-39475-S,7-72442-S,8-26974-S,9-15579-S,9-18448-S,9-23649-S,10-39086-S,11-20443-S,11-37253-B,12-938-S,12-14179-S,12-16707-S,12-25543-S,12-58522-S,12-68114-S,13-11754-S,13-30986-S,14-3491-S,14-4060-S,14-5083-S,14-41266-B,15-63378-B,15-68104-S,16-21504-B,16-31073-S,16-47490-S,16-61131-S,16-63508-S,16-63547-S,17-27900-S,17-33826-S,17-67284-S,18-34115-B,18-35052-S,18-37449-S,18-37571-S,18-45700-S,19-27358-S,19-41950-S,19-55422-S,19-55602-S,20-10096-S,20-42719-S,20-59829-S,21-11053-S,21-20484-S,21-24425-S,21-35761-B,21-36371-S,21-46487-B,21-46515-B,21-49671-B,21-49871-S,21-61906-S,22-1717-S,22-59672-S,23-16336-B,23-30682-S,24-37754-S,24-46846-S,24-58795-S,24-64325-S,25-23316-S,26-2123-S,26-5155-S,26-13370-S,26-13441-S,26-21358-S,26-30516-S,26-30635-S,27-36231-S,27-66016-S,28-5355-S,28-35377-B,28-45455-S,29-31509-S,29-37786-S,29-38938-S,30-6554-S,30-30934-S,30-32516-S,30-60793-S,30-64271-S,31-9517-S,31-26317-S,31-63841-S,32-10673-S,32-27066-S,32-54870-S,33-29831-S,33-32699-S,33-68182-S,34-23836-S,35-94-S,35-4215-S,35-11220-B,35-29987-S,36-12529-S,36-29530-S,36-37686-S,36-62391-S,37-7014-S,37-8077-S,37-15643-S,37-26444-B,37-43876-S,38-6395-S,38-26880-S,38-31219-S,38-50283-S,39-36140-S,39-36234-S,40-6442-S,40-13163-S,40-21301-S,40-25432-S,40-28190-B,40-28564-S,40-55491-S,41-13781-S,41-43535-S,41-46530-S,42-5023-S,42-20601-S,42-27868-S,43-17471-S,43-39623-S,43-43809-S,43-51677-S,43-63138-S,44-11142-S,44-25877-S,44-30937-S,44-34054-S,44-47797-S,44-63362-S,44-65884-S,45-20165-S,45-44699-S,46-8449-S,46-11183-S,46-12310-S,46-13134-B,46-21099-S,46-22228-S,46-23587-S,46-24146-S,46-24908-S,46-29384-B,46-32366-S,46-32711-S,46-42082-S,46-45378-S,46-45551-S,46-47142-S,47-20559-S,47-29718-S,47-63700-S,47-63771-S,48-22924-B,48-28036-S,48-39748-B,48-50400-S,49-7964-S,49-43981-S,49-62842-B,50-12425-S,50-15919-S,50-30649-S,51-33807-S,51-66584-S,51-66865-S,52-9314-S,52-14847-S,52-16048-S,52-25875-S,52-31432-S,52-36976-S,52-40352-S,52-40784-S,52-41926-S,52-44380-S,52-46297-S,52-56186-S,53-9615-S,53-55400-S,54-21324-S,54-23109-B,54-26424-S,55-10500-S,55-46460-S,55-54197-S,55-60196-S,55-60322-S,56-4134-B,56-6676-S,56-9730-S,57-45614-S,57-48232-S,57-55691-B,58-23615-S,58-27217-S,58-43686-S,58-46579-S,58-49774-S,58-52630-S,58-57973-S,58-61115-S,58-61743-S,59-11864-S,59-13294-S,59-14253-S,60-2304-S,60-20001-S,60-21389-S,60-39969-S,61-14266-S,61-14396-S,61-44485-S,61-67948-S,62-57055-S,62-58447-S,62-67360-S,62-69577-S,63-12347-S,63-21493-B,63-44801-S,63-45777-S,63-48043-S,64-3028-S,64-7481-S,64-12821-S,64-13181-S,64-21028-B,64-31930-S,64-51926-S,65-10435-S,65-27159-B,65-50399-B,65-51437-S,65-56779-S,65-65427-B,66-25380-S,67-6827-S,67-35094-S,67-63070-S,68-1616-S,68-4157-S,68-19327-S,68-23686-S,68-30309-S,68-44545-B,68-44979-B,68-56198-S,69-4081-S,69-4473-S,69-13561-S,69-20912-S,70-19979-S,70-23483-S,71-4640-S,71-5576-S,71-5812-S,71-6457-B,71-7870-S,71-17394-S,71-18489-S,71-46092-S,71-51554-S,71-52062-S,71-55491-S,71-58851-S
yán 5r	69-42609-S
yán biān	23-18701-B,37-27734-B,71-7652-B
yán biān 5r	37-27805-B
yán biān cháo xiān zú zì zhì zhōu	23-19237-B
yán biān dì qū	23-18869-B
yán biān zhōu	23-19057-B
yán bì xī	18-23465-S
yán bìng dú	18-40977-S,33-19366-S,57-18187-S
yán bù	43-51753-S
yán bù fán	57-27442-S
yán bù huì	45-24457-S
yán bù xiāng	71-6777-B
yán bō	46-15089-B
yán chuáng	21-49745-B
yán chuān	23-17158-B
yán cháng	23-19422-B
yán cháng xiàn	23-19487-B
yán chéng	71-6612-B
yán chéng bù dài	14-41978-B
yán chéng qū	71-6852-B
yán chéng shì	71-6689-B
yán chì	14-43456-B
yán chí	23-18623-B,71-7065-B
yán chí xiàn	71-7133-B
yán chǎn shēng	58-27385-S
yán cán qiū	40-25493-S
yán céng	21-49699-B
yán cí	14-41879-B,14-42719-B,14-42880-B,57-56040-B,57-56531-B
yán cāng	21-35794-B
yán cāng shǐ jié tuán	21-35836-B
yán dàng	23-16944-B
yán dì	40-28298-B
yán dì líng	40-28344-B
yán dì qū	71-58925-S
yán dìng	46-13319-B
yán dòng	20-63579-S
yán dú	46-14989-B
yán dōng	14-41349-B
yán dǎo	71-18556-S
yán er	37-26625-B
yán fáng	14-43381-B
yán fù	14-41828-B
yán fù shì	60-31652-S
yán fā	23-18008-B,46-13597-B
yán fēi yǔ	38-6458-S
yán guān qí xíng	51-69561-S
yán gé	14-42127-B,37-27875-B
yán gé gé lí	14-42338-B
yán gé lái jiǎng	14-42264-B
yán gé lái shuō	14-42191-B
yán gē	23-17679-B
yán huà	21-49789-B
yán huáng zǐ sūn	40-28804-B
yán huì	23-17829-B
yán huì yǔ	36-63401-S
yán huí	37-27118-B
yán huǎn	23-18112-B
yán hán	14-41715-B
yán hé tǔ jiā zú zì zhì xiàn	37-26979-B
yán hú	41-13875-S
yán hú chéng	71-7265-B
yán hǎi	37-27173-B
yán hǎi dì qū	37-27214-B
yán jiàn	23-18404-B
yán jiā	14-41397-B,68-30361-S
yán jiā shēn chì	14-41488-B
yán jiāng	21-36325-B,37-26900-B,41-14207-S
yán jiāng liú	21-36430-B
yán jiāng yán	21-36371-B
yán jiē	23-17632-B
yán jiū	12-16212-S,22-52878-S,24-10279-S,46-13752-B,70-19907-S
yán jiū bào gào	46-14007-B
yán jiū fǎn yìng duī	46-13867-B
yán jiū jī gòu	46-14174-B
yán jiū lǐng yù	46-14527-B
yán jiū shēng	46-14250-B
yán jiū shēng yuàn	46-14313-B
yán jiū suǒ	10-26980-S,31-8649-S,46-14078-B,46-56747-S
yán jiū yuàn	2-67385-S,46-14455-B
yán jiū yuán	46-13951-B
yán jiū zhě	46-14387-B
yán jiū zhōng xīn	12-3331-S,46-13794-B
yán jiǎn	71-7984-B
yán jiǎn dì	71-8046-B
yán jiǎn shī dì	71-8102-B
yán jué jù	3-55053-S
yán jìn	14-42459-B
yán jìng	21-36044-B
yán jí	23-16454-B
yán jí shì	23-16510-B
yán jùn	14-41774-B,14-42510-B
yán jīn	23-17947-B,71-7203-B
yán jīng	54-32946-S
yán jīng dà fāng guǎng fó	54-33076-S
yán jǐ	34-35399-S
yán jǐn	14-42579-B,14-42796-B
yán jǐng	71-6484-B
yán jǐng qǐ zhǒng	23-19574-B
yán kuàng wù	62-18332-S
yán kè léi bó shì jūn	52-14916-S
yán kù	14-42924-B
yán kē	14-42674-B
yán kǎo	46-14665-B
yán liào	68-44597-B
yán liù sè	3-55658-S
yán liú	39-24183-S,41-13820-S
yán lì	14-41560-B,37-26550-B
yán lìng	26-13505-S
yán líng xiàn	40-28725-B
yán lù	37-27587-B
yán lùn	57-56375-B
yán lùn zì yóu	57-56442-B
yán lěng yǔ	8-23291-S
yán lǎn	23-17737-B
yán lǔ	71-7946-B
yán lǜ shī	1-28740-S
yán mián	23-18055-B
yán méi jiāng jūn	52-15116-S
yán mì	14-41656-B
yán mì yǔ	43-17594-S
yán mìng tí	45-24525-S
yán míng	57-55905-B
yán mó	46-13654-B
yán měi yǔ	43-17527-S
yán mǎn zú zì zhì xiàn	21-36845-S
yán nián yì shòu	23-17304-B
yán néng lì	6-63205-S,58-27532-S
yán nì ěr	24-46909-S
yán níng shì	34-27348-B
yán nǐ	46-13406-B
yán piàn	38-31306-S
yán pàn	46-13254-B
yán pìn	23-18258-B
yán pìn zhāo lǎn	23-18319-B
yán píng xiāng	23-17225-B
yán qióng qiū	41-13929-S
yán qiú	46-13522-B
yán qiǎo yǔ	53-60773-S
yán quán	44-34162-S
yán quán guó	55-10553-S
yán quē xiàn	58-27463-S
yán qìng	23-17482-B
yán qìng xiàn	23-17547-B
yán qī	23-17884-B
yán qǐng	23-18543-B
yán rè	40-28607-B
yán rén	4-33417-S,30-54819-S,44-34106-S
yán rén yuán	47-20613-S,58-38748-S
yán róng	21-36267-B
yán shuāng qiú jūn	52-15024-S
yán shuǐ	43-26448-S
yán shuǐ ní	46-22282-S
yán shuǐ zhèn	71-6990-B
yán shì	22-18780-S,22-18929-S,30-3702-S,71-59021-S
yán shì yuē	58-27601-S
yán shí	21-36486-B
yán shí céng	21-36660-B
yán shí quān	21-36524-B
yán shí xué	21-36581-B
yán shòu	23-16577-B,33-2317-S
yán shù liú	33-32475-S,33-32549-S
yán shùn	12-56605-S
yán shā hǎi kuí dú sù	21-36182-B
yán shān	71-6927-B
yán shāng rén	25-23374-S
yán shēn	3-70754-S,23-16400-B
yán shǒu	14-41606-B
yán shǒu xiàn	21-36092-B
yán sui	37-51890-S,53-53270-B
yán sui yè	53-53312-B
yán suì yǔ	65-45615-S
yán suān	71-7717-B
yán suān kè lún tè luō	71-7773-B
yán suān yán	71-7870-B
yán suǐ	23-19707-B
yán sè	68-44712-B
yán sù	14-42625-B
yán sǒng tīng	11-23295-S
yán tián	71-7444-B,71-7486-B
yán tián qū	71-7564-B
yán tiáo 5r	37-26820-B
yán tán	57-56285-B
yán tíng	71-6547-B
yán tú	37-27659-B
yán tān	71-7390-B
yán tǎ	20-4605-S,20-5233-S
yán tǎo	46-14876-B
yán tǎo huì	46-14920-B
yán tǐ	68-44750-B
yán tǔ tǐ	21-35995-B
yán wu	23-18465-B
yán wài zhī yì	57-55739-B
yán wàng tīng	18-33654-S
yán wáng	65-50449-B
yán wéi dìng	1-20861-S
yán wén	30-30985-S
yán wǔ	68-49562-S
yán xià	40-28237-B
yán xiàn	37-27396-B
yán xiāng	15-63612-S
yán xiū yuán	46-13182-B
yán xué	21-36718-B,58-27267-S
yán xué jiā	58-27322-S
yán xué yuàn	10-28050-S,15-13884-S
yán xué yì shí	6-63104-S
yán xì yǔ	61-12265-S
yán xìng	23-17438-B,27-6015-S,40-28427-B
yán xìng fǎn yìng	40-28485-B
yán xí	37-27523-B,46-14614-B,48-22969-B
yán xíng	57-55956-B
yán xù	23-18205-B
yán xī	46-13470-B
yán xī shān	65-50488-B
yán yuán	71-7325-B
yán yàng jī	47-20692-S
yán yào	38-31389-S
yán yán	21-49871-B,40-28564-B
yán yáng	21-36763-B
yán yòng	37-27291-B
yán yóu	56-4161-B
yán yǔ	57-56089-B
yán yǔ quē xiàn	57-56216-B
yán yǔ shī cháng zhèng	57-56133-B
yán zhe	37-27485-B
yán zhàn shù	27-36298-S
yán zhàng ài	58-27728-S
yán zhèng	14-42409-B,40-28677-B
yán zhì	46-14734-B
yán zhì guò chéng	46-14793-B
yán zhì jì huà	33-59140-S
yán zhòng	14-43015-B,60-25601-S
yán zhòng guān qiè	14-43307-B
yán zhòng hòu guǒ	14-43152-B
yán zhòng wèn tí	14-43080-B
yán zhòng xìng	14-43248-B
yán zhēn qīng	68-44649-B
yán zhī	48-38261-S,48-38472-S,50-35469-S
yán zhī chí	16-61200-S
yán zhǎn	23-17014-B
yán zhǎn xìng	23-17100-B
yán zì yǔ	53-13815-S
yán zōng	54-32811-S
yán àn	37-26689-B
yán àn dì qū	37-26755-B
yán ér yù	2-29084-S
yán ān	23-16662-B
yán ān dì qū	23-16751-B
yán ān shì	23-16845-B
