观光客	57-41951-S
認賠 认赔	58-22228-B
認賬 认账	58-22310-B
認購 认购	58-22389-B
認輸 认输	58-22481-B
認錯 认错	58-22541-B
認領 认领	58-22621-B
認頭 认头	58-22731-B
誑 诳	58-22801-B
誒 诶	58-22838-B,58-22862-B
誒笑 诶笑	58-22887-B
誒詒 诶诒	58-22943-B
誓	58-23007-S
誓 誓	58-23007-B
誓不两立	58-23057-S
誓不兩立 誓不两立	58-23057-B
誓不反悔	58-23208-S
誓不反悔 誓不反悔	58-23208-B
誓师	58-23296-S
誓師 誓师	58-23296-B
誓死	58-23356-S
誓死 誓死	58-23356-B
誓死不降	58-23409-S
誓死不降 誓死不降	58-23409-B
誓約 誓约	58-23493-B
誓絕 誓绝	58-23555-B
誓约	58-23493-S
誓绝	58-23555-S
誓言	58-23615-S
誓言 誓言	58-23615-B
誓詞 誓词	58-23668-B
誓词	58-23668-S
誕 诞	58-23712-B
誕生 诞生	58-23772-B
誕辰 诞辰	58-23818-B
誘 诱	58-23861-B
誘動 诱动	58-23902-B
誘因 诱因	58-23955-B
誘導 诱导	58-24036-B
誘導分娩 诱导分娩	58-24136-B
誘惑 诱惑	58-24226-B
誘拐 诱拐	58-24298-B
誘拐者 诱拐者	58-24339-B
誘發 诱发	58-24393-B
誘變劑 诱变剂	58-24475-B
誘陷 诱陷	58-24527-B
誘餌 诱饵	58-24567-B
誙	58-24604-S
誙 誙	58-24604-B
誙誙	58-24652-S
誙誙 誙誙	58-24652-B
誚 诮	58-24725-B
語 语	58-24766-B,58-24811-B
語云 语云	58-24843-B
語助詞 语助词	58-24897-B
語句 语句	58-24954-B
語境 语境	58-24994-B
語境依賴性 语境依赖性	58-25035-B
語境效應 语境效应	58-25120-B
語失 语失	58-25192-B
語序 语序	58-25274-B
語彙 语汇	58-25316-B
語意 语意	58-25359-B
語意性 语意性	58-25436-B
語感 语感	58-25488-B
語態 语态	58-25565-B
語支 语支	58-25615-B
語文 语文	58-25663-B
語文老師 语文老师	58-25719-B
語料庫 语料库	58-25805-B
語族 语族	58-25860-B
語氣 语气	58-25907-B
語氣助詞 语气助词	58-25967-B
語法 语法	58-26034-B
語法書 语法书	58-26073-B
語法術語 语法术语	58-26128-B
語源 语源	58-26197-B
語焉不詳 语焉不详	58-26240-B
語無倫次 语无伦次	58-26363-B
語畫 语画	58-26469-B
語病 语病	58-26518-B
語種 语种	58-26599-B
語系 语系	58-26669-B
語素 语素	58-26716-B
語義 语义	58-26823-B
語義分析 语义分析	58-26880-B
語義分類 语义分类	58-26950-B
語義學 语义学	58-27027-B
語義空間 语义空间	58-27079-B
語聲 语声	58-27149-B
語言 语言	58-27217-B
語言學 语言学	58-27267-B
語言學家 语言学家	58-27322-B
語言產生 语言产生	58-27385-B
語言缺陷 语言缺陷	58-27463-B
語言能力 语言能力	58-27532-B
語言誓約 语言誓约	58-27601-B
語言障礙 语言障碍	58-27728-B
語詞 语词	58-27797-B
語調 语调	58-27857-B
語重心長 语重心长	58-27901-B
語鋒 语锋	58-28031-B
語錄 语录	58-28091-B
語音 语音	58-28132-B
語音信號 语音信号	58-28170-B
語音合成 语音合成	58-28237-B
語音失語症 语音失语症	58-28309-B
語音學 语音学	58-28392-B
語音意識 语音意识	58-28445-B
語音技巧 语音技巧	58-28517-B
語音識別 语音识别	58-28590-B
語音通訊通道 语音通讯通道	58-28663-B
誠 诚	58-28772-B
誠信 诚信	58-28816-B
誠實 诚实	58-28898-B
誠心 诚心	58-28967-B
誠心誠意 诚心诚意	58-29012-B
誠惶誠恐 诚惶诚恐	58-29127-B
誠意 诚意	58-29288-B
誠懇 诚恳	58-29343-B
誠摯 诚挚	58-29401-B
誠服 诚服	58-29452-B
誠樸 诚朴	58-29524-B
誠然 诚然	58-29577-B
誠篤 诚笃	58-29644-B
誡 诫	58-29705-B
誡命 诫命	58-29748-B
誣 诬	58-29794-B
誣蔑 诬蔑	58-29830-B
誣陷 诬陷	58-29886-B
誤 误	58-29973-B
誤傷 误伤	58-30044-B
誤入歧途效應 误入歧途效应	58-30119-B
誤區 误区	58-30213-B
誤導 误导	58-30264-B
誤差 误差	58-30318-B
誤會 误会	58-30378-B
誤殺 误杀	58-30455-B
誤用 误用	58-30516-B
誤看 误看	58-30556-B
誤解 误解	58-30633-B
誤讀 误读	58-30682-B
誥 诰	58-30780-B
誦 诵	58-30825-B
誦經 诵经	58-30859-B
誦讀 诵读	58-30914-B
誧	58-30961-S
誧 誧	58-30961-B
誨 诲	58-30999-B
說 说	58-31039-B,58-31085-B
說一不二 说一不二	58-31194-B
說不出 说不出	58-31287-B
說不出話來 说不出话来	58-31345-B
說不定 说不定	58-31422-B
說不通 说不通	58-31491-B
說出 说出	58-31559-B
說唱 说唱	58-31630-B
說好 说好	58-31704-B
說客 说客	58-31787-B
說情 说情	58-31878-B
說教 说教	58-31947-B
說文 说文	58-31989-B
說文解字 说文解字	58-32031-B
說文解字註 说文解字注	58-32094-B
說明 说明	58-32213-B
說明書 说明书	58-32304-B
說明會 说明会	58-32419-B
說書 说书	58-32485-B
說曹操曹操就到 说曹操曹操就到	58-32565-B
說服 说服	58-32701-B
說法 说法	58-32774-B,58-32879-B
說葡萄酸 说葡萄酸	58-33016-B
說親 说亲	58-33162-B
說話 说话	58-33219-B
說話算數 说话算数	58-33313-B
說話要算數 说话要算数	58-33414-B
說說 说说	58-33504-B
說說而已 说说而已	58-33549-B
說謊 说谎	58-33633-B
說謊者 说谎者	58-33695-B
說道 说道	58-33747-B
說長道短 说长道短	58-33789-B
説	58-33913-S
説 説	58-33913-B
読	58-33980-S
読 読	58-33980-B
誰 谁	58-34029-B,58-34078-B
誰人樂隊 谁人乐队	58-34132-B
誰知 谁知	58-34217-B
課 课	58-34316-B
課堂 课堂	58-34358-B
課外 课外	58-34401-B
課文 课文	58-34449-B
課文啟動 课文启动	58-34486-B
課時 课时	58-34553-B
課本 课本	58-34598-B
課桌 课桌	58-34639-B
課業 课业	58-34684-B
課程 课程	58-34733-B
課程表 课程表	58-34780-B
課表 课表	58-34842-B
課間 课间	58-34892-B
課題 课题	58-34950-B
課餘 课余	58-35000-B
誶 谇	58-35060-B
誹 诽	58-35088-B
誹謗 诽谤	58-35118-B
誼 谊	58-35166-B
誾	58-35198-S
誾 誾	58-35198-B
調 调	58-35256-B,58-35338-B
調值 调值	58-35412-B
調停 调停	58-35461-B
調價 调价	58-35506-B
調兵山 调兵山	58-35585-B
調兵山市 调兵山市	58-35717-B
調制 调制	58-35833-B
調制波 调制波	58-35890-B
調制解調器 调制解调器	58-35957-B
調劑 调剂	58-36030-B
調動 调动	58-36118-B
調勻 调匀	58-36190-B
調協 调协	58-36257-B
調味 调味	58-36313-B
調味劑 调味剂	58-36395-B
調味品 调味品	58-36487-B
調味料 调味料	58-36552-B
調味汁 调味汁	58-36646-B
調味肉汁 调味肉汁	58-36706-B
調和 调和	58-36768-B
調唆 调唆	58-36820-B
調嘴學舌 调嘴学舌	58-36899-B
調子 调子	58-37039-B
調度 调度	58-37123-B
調弄 调弄	58-37224-B
調律 调律	58-37315-B
調情 调情	58-37369-B
調戲 调戏	58-37410-B
調控 调控	58-37518-B
調換 调换	58-37575-B
調攝 调摄	58-37647-B
調教 调教	58-37714-B
調整 调整	58-37800-B
調料 调料	58-37856-B
調昇 调升	58-37921-B
調查 调查	58-37968-B
調查人員 调查人员	58-38071-B
調查員 调查员	58-38141-B
調查團 调查团	58-38200-B
調查報告 调查报告	58-38265-B
調查結果 调查结果	58-38328-B
調查者 调查者	58-38413-B
調準 调准	58-38471-B
調焦 调焦	58-38557-B
調理 调理	58-38601-B
調皮 调皮	58-38688-B
調研人員 调研人员	58-38748-B
調笑 调笑	58-38850-B
調節 调节	58-38909-B
調節器 调节器	58-39003-B
調羹 调羹	58-39057-B
調色 调色	58-39098-B
調藥刀 调药刀	58-39161-B
調解 调解	58-39214-B
調訓 调训	58-39292-B,58-39359-B
調試 调试	58-39426-B
調諧 调谐	58-39516-B
調謔 调谑	58-39626-B
調變 调变	58-39683-B
調資 调资	58-39730-B
調速 调速	58-39803-B
調適 调适	58-39856-B
調配 调配	58-39968-B,58-40024-B
調音 调音	58-40075-B
調頭 调头	58-40140-B
調頻 调频	58-40199-B
調養 调养	58-40257-B
調馴 调驯	58-40331-B
諂 谄	58-40399-B
諂媚 谄媚	58-40437-B
諂媚者 谄媚者	58-40482-B
諄 谆	58-40537-B
諆	58-40590-S
諆 諆	58-40590-B
談 谈	58-40628-B
談不上 谈不上	58-40710-B
談價 谈价	58-40780-B
談判 谈判	58-40845-B
談判桌 谈判桌	58-40914-B
談到 谈到	58-40976-B
談天 谈天	58-41050-B
談天說地 谈天说地	58-41092-B
談得來 谈得来	58-41200-B
談心 谈心	58-41298-B
談情說愛 谈情说爱	58-41353-B
談戀愛 谈恋爱	58-41519-B
談星 谈星	58-41593-B
談笑自若 谈笑自若	58-41653-B
談笑風生 谈笑风生	58-41795-B
談話 谈话	58-41902-B
談談 谈谈	58-41953-B
談論 谈论	58-42012-B
諉 诿	58-42070-B
請 请	58-42117-B
請便 请便	58-42209-B
請假 请假	58-42282-B
請先登錄 请先登录	58-42333-B
請勿吸煙 请勿吸烟	58-42412-B
請勿打擾 请勿打扰	58-42497-B
請問 请问	58-42573-B
請多關照 请多关照	58-42620-B
請客 请客	58-42762-B
請帖 请帖	58-42849-B
請教 请教	58-42918-B
請柬 请柬	58-42961-B
請求 请求	58-43031-B
請看 请看	58-43073-B
請示 请示	58-43127-B
請罪 请罪	58-43182-B
請進 请进	58-43255-B
請願 请愿	58-43304-B
請願書 请愿书	58-43373-B
諌	58-43428-S
諌 諌	58-43428-B
諍 诤	58-43470-B
諍人 诤人	58-43561-B
諍友 诤友	58-43613-B
諍言 诤言	58-43686-B
諏 诹	58-43754-B
諑 诼	58-43791-B
諒 谅	58-43823-B
諒解 谅解	58-43855-B
諕	58-43915-S
諕 諕	58-43915-B
論 论	58-43951-B,58-44001-B
論及 论及	58-44076-B
論壇 论坛	58-44138-B
論戰 论战	58-44194-B
論据 论据	58-44258-B
論文 论文	58-44338-B
論斷 论断	58-44393-B
論法 论法	58-44437-B
論爭 论争	58-44483-B
論語 论语	58-44530-B
論調 论调	58-44588-B
論證 论证	58-44659-B
論述 论述	58-44771-B
論長道短 论长道短	58-44834-B
論題 论题	58-44957-B
論點 论点	58-44995-B
諗 谂	58-45085-B
諛 谀	58-45116-B
諛辭 谀辞	58-45145-B
諜 谍	58-45193-B
諝	58-45222-S
諝 諝	58-45222-B
諞 谝	58-45260-B
諟	58-45288-S
諟 諟	58-45288-B
諠 喧	58-45324-B
諡	58-45370-S
諡 諡	58-45370-B
諡號 谥号	58-45427-B
諢 诨	58-45486-B
諤 谔	58-45522-B
諦 谛	58-45556-B
諧 谐	58-45600-B
諧劇 谐剧	58-45633-B
諧和 谐和	58-45707-B
諧婉 谐婉	58-45761-B
諧戲 谐戏	58-45814-B
諧振 谐振	58-45854-B
諧振子 谐振子	58-45920-B
諧波 谐波	58-45992-B
諧稱 谐称	58-46094-B
諧美 谐美	58-46147-B
諧談 谐谈	58-46204-B
諧謔 谐谑	58-46258-B
諧趣 谐趣	58-46316-B
諧音 谐音	58-46362-B
諧音列 谐音列	58-46469-B
諫 谏	58-46529-B
諫言 谏言	58-46579-B
諭 谕	58-46630-B
諮 谘	58-46670-B
諮詢 谘询	58-46699-B
諮詢員 谘询员	58-46766-B
諱 讳	58-46829-B
諱名 讳名	58-46879-B
諱稱 讳称	58-46941-B
諳 谙	58-46992-B
諳練 谙练	58-47042-B
諴	58-47105-S
諴 諴	58-47105-B
諵	58-47156-S
諵 諵	58-47156-B
諶 谌	58-47199-B
諷 讽	58-47252-B
諷刺 讽刺	58-47284-B
諸 诸	58-47358-B
諸位 诸位	58-47409-B
諸侯 诸侯	58-47484-B
諸侯國 诸侯国	58-47546-B
諸凡百事 诸凡百事	58-47604-B
諸君 诸君	58-47670-B
諸城 诸城	58-47756-B
諸多 诸多	58-47817-B
諸如 诸如	58-47887-B
諸如此類 诸如此类	58-47968-B
諸子 诸子	58-48050-B
諸子十家 诸子十家	58-48139-B
諸子百家 诸子百家	58-48277-B
諸將 诸将	58-48342-B
諸廣山 诸广山	58-48411-B
諸暨 诸暨	58-48495-B
諸般 诸般	58-48550-B
諸葛 诸葛	58-48615-B
諸葛亮 诸葛亮	58-48675-B
諺 谚	58-48742-B
諺語 谚语	58-48772-B
諼 谖	58-48812-B
諾 诺	58-48867-B
諾丁漢 诺丁汉	58-48905-B
諾丁漢郡 诺丁汉郡	58-48979-B
諾亞 诺亚	58-49068-B
諾基亞 诺基亚	58-49105-B
諾塞斯 诺塞斯	58-49168-B
諾曼人 诺曼人	58-49246-B
諾曼底 诺曼底	58-49307-B
諾曼底人 诺曼底人	58-49359-B
諾曼底半島 诺曼底半岛	58-49429-B
諾曼第 诺曼第	58-49513-B
諾格 诺格	58-49565-B
諾特 诺特	58-49640-B
諾福克島 诺福克岛	58-49706-B
諾言 诺言	58-49774-B
諾貝爾 诺贝尔	58-49817-B
諾貝爾和平獎 诺贝尔和平奖	58-49874-B
諾貝爾文學獎 诺贝尔文学奖	58-49970-B
諾貝爾獎 诺贝尔奖	58-50079-B
謀 谋	58-50147-B
謀事 谋事	58-50189-B
謀劃 谋划	58-50256-B
謀反 谋反	58-50307-B
謀取 谋取	58-50390-B
謀取暴利 谋取暴利	58-50466-B
謀士 谋士	58-50561-B
謀害 谋害	58-50668-B
謀慮 谋虑	58-50749-B
謀智 谋智	58-50836-B
謀殺 谋杀	58-50947-B
謀殺案 谋杀案	58-51007-B
謀殺罪 谋杀罪	58-51062-B
謀求 谋求	58-51113-B
謀生 谋生	58-51168-B
謀略 谋略	58-51272-B
謀臣 谋臣	58-51324-B
謀臣如雨 谋臣如雨	58-51404-B
謀臣武將 谋臣武将	58-51543-B
謀臣猛將 谋臣猛将	58-51653-B
謀計 谋计	58-51765-B
謀財害命 谋财害命	58-51814-B
謀面 谋面	58-51941-B
謀食 谋食	58-51983-B
謁 谒	58-52060-B
謁訪 谒访	58-52103-B
謂 谓	58-52185-B
謂詞 谓词	58-52216-B
謂語 谓语	58-52281-B
謄 誊	58-52337-B
謄寫 誊写	58-52380-B
謅 诌	58-52434-B
謆	58-52474-S
謆 謆	58-52474-B
謇	58-52512-S
謇 謇	58-52512-B
謊 谎	58-52552-B
謊報 谎报	58-52588-B
謊言 谎言	58-52630-B
謊話 谎话	58-52669-B
謍	58-52708-S
謍 謍	58-52708-B
謎 谜	58-52745-B
謎兒 谜儿	58-52773-B
謎團 谜团	58-52811-B
謎底 谜底	58-52898-B
謎語 谜语	58-52948-B
謏	58-52996-S,58-53025-S
謏 謏	58-52996-B,58-53025-B
謐 谧	58-53054-B
謑	58-53081-S
謑 謑	58-53081-B
謔 谑	58-53108-B
謔劇 谑剧	58-53186-B
謔戲 谑戏	58-53234-B
謔而不虐 谑而不虐	58-53282-B
謔語 谑语	58-53384-B
謖 谡	58-53434-B
謗 谤	58-53478-B
謙 谦	58-53532-B
謙卑 谦卑	58-53562-B
