alto fiddle	3-41081-B
an imperial command	18-4602-S
an imperial decree	26-3650-B
an imperial edict	1-62964-S,58-6894-B
an imperial examination	11-42774-S,24-6335-S
an implement or utensil for insertion	71-50956-S
an implication	28-31517-B,28-32094-B
an important issue	64-63-B
an important mission	24-44065-S
an important position	63-62463-S
an important post	4-41451-S
an important question as a minor matter	17-40466-S
an impossible comparison	29-27702-S
an impossible situation	62-31841-S,62-32227-S,62-32397-S
an impostor	6-5571-B,8-10792-B,55-50866-B
an impregnable stronghold 成语 saw	45-53076-S
an impression	25-39646-B
an impulse	3-13938-S,25-41345-S
an in depth conversation	38-51469-S
an in vietnam	32-23077-S
an inaugural lecture	21-10621-B
an incense burner	69-24889-S
an inch	24-7495-S
an incident	3-31297-S
an incident of 12th december 1936 kidnap of chiang kai shek 蔣介石 蒋介石	57-15734-S
an incident to the police	16-12225-S
an incompletely cured illness	44-10540-B
an incorrigible drunkard and lecher	37-6297-B
an indirect route	60-11253-S
an indiscreet remark	52-32514-S
an individual	13-33582-S,13-35625-S
an individual as an example to others	35-66143-S,36-1329-S,36-1517-S,36-1880-S
an individual case	5-53702-B
an individual on a collective farm	53-12041-S
an inevitable clash between opposing factions	8-14062-S
an infant	34-18195-S
an infant s skull	14-58780-S,14-58856-S,14-58954-S
an infection	6-37109-S
an inferior	59-57066-S,70-44386-S
an infinitesimal	24-17962-B
an influence	23-59946-B
an informal discussion	22-65089-S
an informal letter sent by an organization	5-28604-B
an ingenious method	47-59321-B,47-59417-B
an inheritance	6-36224-B
an initial payment	57-57810-B
an initially impressive person who turns out to be useless	64-27180-S
an injection	26-49837-S
an injury	6-43549-S
an injustice	8-14284-S,27-12519-S,43-44630-S
an inkstone 成语 saw	46-40428-S
an inn that kills and robs guests esp in traditional fiction	65-44346-S
an inner room	65-58220-S
an innocent person	6-49514-S
an inscription	10-40146-S,27-32111-S
an inscription on a tablet	46-28454-B
an insect	26-48644-S,56-18735-B,56-20206-B
an insertion point in acupuncture	52-41265-B
an insider in a gang of thieves	52-54571-B
an insignificant cause can have a massive effect	31-29694-B
an insignificant position	17-21856-S
an insoluble or insignificant problem	65-9835-S,65-10101-S
an inspection tour	21-51695-S
an inspiration	67-52093-S
an instant	23-48663-S,67-43960-S,68-21232-S
an instant sanskrit ksana	9-26757-B
an institute etc	26-29992-S
an institution etc	9-37763-S
an institution of learning	19-17182-S
an instructional book	59-6356-B
an instrument	23-34626-S
an insult	24-43144-S
an insurance or legal claim	69-57793-S
an insurance policy	5-41173-B,11-59744-S
an integer	14-60484-S
an integer multiple of the fundamental	58-45992-S
an integral multiple of the fundamental	58-46362-S
an intel chip	60-686-S
an intellectual	59-6287-B
an intention to do sth	29-26964-S
an interest in	62-44078-S
an interface	28-59997-B
an interjection	13-49611-B,13-62058-B
an internal matter	21-10699-B
an international level	15-18375-S
an international venture	2-72846-S
an interpretation of doctrine	63-53635-B
an interregnum	29-44664-B
an interrogative sentence	44-4041-B
an interruption	24-14220-S
an interruption to one s education	17-64969-B
an interval of time is worth an ounce of gold 俗谚 common saying	1-6909-B
an interval of time 俗谚 common saying	20-31887-S
an interview	6-39333-S,12-10157-S,28-27803-S,49-7861-S,68-3297-B
an interviewee	11-64637-B
an intimate relationship with sb	6-26115-S
an intraveinous drip	67-62582-B
an introduced species	16-43436-B
an intrusion of the enemy	47-58982-B
an inventory of received goods	69-58326-B
an inventory of warehouses	38-58806-S
an invertebrate	56-18735-B
an investigation	57-35169-B,58-38328-S,62-30981-S
an investment	48-43053-S
an invigilator	45-9841-B
an invitation	49-8103-S
an iron	41-17272-B,41-17310-B
an iron bar down to a fine needle 成语 saw	46-39515-S
an iron chain	65-5152-B
an iron fist in a velvet glove	50-13327-B
an iron hand in a velvet glove	61-3379-B
an iron ring	65-3905-B
an irresistible force	10-7096-B
an isolated case	1-65339-S
an isometry	5-40759-B
an issue	15-22270-S,28-36446-S,28-37216-S,48-28499-S,49-50978-S,61-53301-S,62-18478-S,63-48930-S
an issue etc	33-39490-S
an item	1-22650-B,8-36892-S,12-57312-S
an item from accounts	64-34128-S
an item in accounts	59-61805-B,59-62051-B
an itinerary	56-34373-B
an lushan 703 757	19-31620-B
an lushan 安禄山 and shi siming 史思明	19-25182-S
an model	21-41425-S
an oath	58-23493-S
an oath of office	19-55531-S
an oath to do sth	45-62887-S
an object	4-4227-S,9-8754-S,19-65611-S,48-57818-S
an object of unscrupulous exploitation	36-22610-S
an obstacle quickly	56-40039-S
an occasion	30-69854-S
an octave	56-59765-S
an odd job man	67-4569-B
an odd thing	43-60089-B
an offence	58-57092-S
an offender	60-7587-S
an offense to the authorities	35-14143-S
an offering	59-61367-B
an offering to one s ancestors	5-22179-B
an offering to the deceased	12-8735-S,30-34152-S
an office	42-49406-S,61-34856-S
an office holder	19-40812-B
an office or post	4-43736-S,5-22940-S
an official	4-24905-B,7-58245-S,7-58297-S,13-34044-S,19-56576-B,58-58194-S
an official appointment	23-47088-S
an official call	27-45787-S
an official capacity	27-45787-S
an official conducting an exam	51-33143-B
an official in former times	4-15975-B
an official position	7-64080-B,9-53534-S,19-42509-B,43-51323-S,69-52984-S
an official position with lavish promises	20-32974-S
an official post	6-14800-S,8-34750-S,8-38212-S
an official report e g governmental	55-29008-B
an official response	26-57605-S
an official standard	34-53977-B
an official that is kept secret among the hierarchy	7-27757-S
an old china hand	2-64313-B
an old complaint	44-10540-B
an old dream 成语 saw	63-61797-S
an old family	29-59978-S
an old framework	53-28635-S
an old grudge	19-67157-B
an old hand at sth	51-28568-B
an old hand knows the ropes	51-31657-B
an old horse knows the way home 成语 saw	58-63638-S
an old horse knows the way 成语 saw	51-31657-B
an old man referring to himself	51-28939-S
an old married couple	51-25688-B
an old name for nanjing	23-21524-B
an old person	16-39035-S,16-39419-S
an old script	63-53299-S
an old skin or shell	56-1462-S,56-1584-S
an old stratagem	29-58738-S
an old stump	55-43829-S
an old term for province or provincial governor	29-13652-B
an old town in sichuan	21-48898-S
an omission	45-34378-B
an on site survey	60-46524-B
an only child	42-20116-B
an only daughter	42-20055-B
an open secret	12-25246-S
an open space	16-13020-B
an opening	62-45390-S
an opera	11-68770-S
an opera actor	60-37696-S
an operation	65-30283-S
an opinion	2-25095-S,8-47696-S,56-46719-S
an opponent	24-7044-S,61-37125-S
an opponent into third place	29-25228-S
an opportunist abandons an unfavorable cause	34-60376-S
an opportunity	3-14567-S,3-14649-S,3-71358-S,5-63638-S,5-63638-S,5-64506-S,18-6385-B,20-45369-S,26-59702-S,54-9557-B,54-9676-B,60-19355-S,62-35623-B,68-22231-S
an opportunity to speak	14-30023-S
an opposing view	13-55213-S
an opposite direction	11-55236-S
an opposite tune	13-55213-S
an optional course	62-69996-S
an ordeal	62-48636-S
an order	1-58388-S,6-33656-S,19-48030-S,24-11014-S,32-43636-S,43-42704-B,44-26809-S,51-69940-S,57-57620-S,68-30412-S
an order for materials	19-47949-S
an orderly account	30-19328-S
an orderly in army	10-8485-B
an ordinary day	22-41708-B
an ordinary differential equation math 	47-38278-S
an ordinary meal	5-30669-B
an organization	5-28604-S,7-30886-S,12-57482-S,14-46630-S,16-1645-S,28-27381-S,29-54953-S,31-3456-S,32-25849-S
an organization or enterprise	28-22465-S
an original approach	9-3200-S
an original idea	9-37374-B
an original style	2-27077-S
an ornament	71-41721-B
an ounce of gold can t buy you an interval of time 俗谚 common saying	20-31887-B
an ounce of gold 俗谚 common saying	1-6909-S
an outcome	48-42510-S
an outcry	2-7425-S
an outlaw	61-60104-S
an outline	61-15999-B,61-16054-B
an outstanding talent can recognize current trends 成语 saw a wise man submits to circumstances	58-62673-S
an outstanding talent 成语 saw	26-37845-B,26-38739-B
an outstandingly able individual	9-6038-B
an overall analysis of the illness and the patient s condition	61-38497-S
an overall plan	49-52817-B
an overall plan taking into account all factors	49-52905-B
an overall survey	50-30570-B
an overdue tax	56-58375-S
an overhung door	12-44990-B
an overnight celebrity	1-23164-B
an oversight	45-39717-B,58-30556-B,60-12749-B
an oversubscribed share	60-25017-B
an overturned cart	24-1970-S
an overturned cart 成语 saw	64-1165-S
an overview	2-16755-S,57-42788-S
an overwhelming majority	49-46293-B
an oxyacetylene torch	36-32132-B
an place in anhui	5-17642-S
an place in fujian	12-46496-S,21-41360-S,25-17560-S,54-33528-S,58-6831-S
an place in gansu	47-24091-S
an place in guangdong	39-62839-S
an place in guangxi	53-23975-S,56-10773-S,66-37662-S
an place in guizhou	31-47696-S,35-35631-S,43-11964-S
an place in hainan	19-44644-S
an place in hebei	26-303-S,26-9465-S,62-69297-S
an place in heilongjiang	5-24412-S,25-52104-S
an place in henan	30-46904-S
an place in hubei	49-9368-S,62-60578-S
an place in hunan	33-17397-S
an place in jiangsu	38-17812-S
an place in liaoning	12-18568-S
an place in shaanxi	64-54131-S
an place in sichuan	36-58627-S,55-7591-S
an place in yunnan	18-42024-S
an place in zhejiang	38-52313-S,46-37121-S
an prefecture level city in anhui	7-67042-S,7-67200-S
an prefecture level city in jiangsu	38-47329-S,38-47403-S
an prefecture level city in jiangxi	12-39429-S,12-39609-S
an prefecture level city in shandong	37-46052-S
an prefecture level city in sichuan	23-11700-S,23-11874-S,66-54869-S,66-55031-S
an prefecture 六安	64-9271-S,64-9348-S
an promise	21-26204-S,60-47142-S
an shi rebellion 755 763 of an lushan 安禄山 and shi siming 史思明	19-25182-B
an ugly shambles	44-18392-S
an ulcer and bequeath a calamity 成语 saw	69-11675-S,69-11878-S
an ulterior motive	9-3923-S
an unannotated edition of a book	44-39498-B
an unbroken chain esp mountains	50-12151-S
an unbroken chain of peaks	21-29647-B
an uncaring heart	13-32621-S
an uncomfortable time	4-17753-S
an undeclared war	2-5742-S
an underclass	1-62142-B
an undercover agent	52-54571-S
an undergarment covering chest and abdomen	7-23093-B,7-23258-B,52-8683-B
an understanding	58-43855-S
an undertaking	8-5048-S,9-36743-S
an undesirable situation	26-54593-S
an unemployed person	17-66265-B
an unending stream	39-16000-B
an unending stream of pilgrims	69-28718-B
an unexpected direction	61-43243-S
an unfavorable cause	34-60376-S
an unforeseen event	59-9111-B
an unfounded conclusion	18-33021-S
an uninhabited region	40-46121-B
an unknown	40-48184-B
an unlucky star	43-18074-S,55-18255-S
an unlucky year	38-3178-B
an unmarried man	32-57403-B
an unmentionable illness e g venereal disease	66-48546-B
an unnatural death	35-57708-B
an unreadable character	55-53645-S
an unrealistic rosy view	64-58033-S
an unreasonable comparison in jest	26-21428-S
an unreasonable request	18-12233-B
an unreasonable scene	29-7843-S
an unruly crowd on a wild goose chase	60-30855-B
an unscrupulous businessman	18-24711-B
an untruth	58-33633-S
an unveiling ceremony	1-62258-B
an unwarranted conclusion	18-33217-S
an up and coming youngster	24-1768-B
an upheaval	31-8055-S
an upper story	65-51854-S
an upright stone tablet	46-28071-B
an uprising	51-55210-S,57-62854-S
an uproar	39-36991-B
an upturn	1-46595-B
an upward trend	1-46595-B
an urge	44-20985-B
an utterance	1-7612-B
an utterly inadequate measure	33-13633-S
an whole year	22-31097-B
an yaozu autonomous county in guangxi	63-27000-S
an 吉安	3-56323-S,3-56417-S,12-39690-S,12-41056-S,12-41119-S,19-31683-S,19-31742-S,21-40628-S,21-40695-S,30-47868-S,30-47931-S,36-51432-S,36-51497-S,36-52688-S,36-52755-S,37-45508-S,37-45569-S,54-44431-S,54-44493-S,62-35104-S,62-35171-S
an 西安 capital of china during tang dynasty 唐朝	65-13349-S
ana	7-37552-S
anabolic	12-45985-B
anabolic steroids	12-34161-B
anaemia	65-1729-S
anaerobic	11-36581-B,40-55802-B,50-49223-B
anaerobic unable to tolerate oxygen	11-36486-B
anahata	24-39457-S
anal intercourse	52-9079-B,67-7087-B
analects	4-44306-S
analects of confucius	58-43951-S,58-44530-S
analects with the right title or reputation	12-56605-S
analgesic	35-32942-S,35-33015-B,35-33088-B,57-51595-B,64-54996-B,64-55053-B
analgin	19-22832-B
analog amplifier	34-58567-B
analog device	34-58371-B
analog signal	34-58450-B
analogies	47-52464-S
analogous	68-47285-B
analogy	11-43612-S,14-23198-S,36-10025-B,36-10527-B,36-10755-B,66-15855-S,68-47679-S,68-47953-B
analogy 	36-10804-S
analogy error	68-48066-B
analogy strategies	68-47993-B
analogy 成语 saw	18-33217-S
analysis	8-54589-B,8-54903-S,9-27080-S,12-5937-S,15-48363-S,19-45340-S,19-48362-S,19-66085-S,19-66085-S,20-12254-S,30-21591-S,30-23228-S,31-41150-S,35-54520-S,36-11694-S,37-35972-S,37-64514-S,43-55088-S,47-26276-S,47-26383-S,48-58784-S,49-31257-S,57-50239-S,58-26880-S,62-511-S
analysis math 	30-20324-S
analysis model	16-56338-S
analysis of the illness and the patient s condition	61-38497-S
analysis port	21-51856-S
analysis processing	8-55184-B
analysis processing olap	51-61711-S
analyst	8-54641-B,8-54977-S,8-55040-B
analyst e g of news	8-54785-B
analytic	57-50239-B
analytic function of a complex variable	57-50319-S
analytic function theory	57-50426-S
analytic geometry	57-50532-B,57-50622-B
analytic method	8-55103-S
analytic reasoning	8-55103-B
analytical chemistry	8-54710-B
analyze	6-20807-S,8-54589-S,29-23374-S,33-32149-S,46-13470-S,57-47624-S,57-50239-S,61-35871-S
analyze and solve	46-20049-S
analyze and treat	8-55184-S
analyze minutely from every angle	28-34613-S
analyzed by sima tan 司馬談 司马谈	7-67279-S
analyzer	8-54852-B
ananda	66-13717-S,66-13762-S
anaphalis yedoensis pearly everlasting reed	54-20489-B
anaphylactic shock	62-45779-B
anaphylaxis	62-45689-B,62-45864-B
anarchism	40-54206-B
anas penelope	71-234-S
anas platyrhyncha	19-65005-S,64-4673-S,70-51352-B
anastas ivanonovich mikoyan 1895 1978	48-46565-B
anastrophe	5-60748-B,5-60873-B
anat	71-20063-S,71-51756-S
anat 	3-16332-S,10-53581-S,21-12154-S,22-43474-S,35-603-S,35-660-S,35-9535-S,45-19556-S,45-20106-S,45-23525-S,50-9038-S,52-9177-S,52-45059-S,66-17566-S,66-25296-S,70-3525-S,70-3604-S,70-4032-S
anat vascular layer between sclera and retina	52-30200-S
anat zygomatic arch	68-53144-B
anatolia	19-32109-B,20-60498-B
anatolyevich medvedev 1965 	34-10755-S
anatom 	47-59522-S
anatomy	4-19142-S,4-19210-S,11-37303-S,14-23693-S,57-47624-B,57-47699-B,66-40750-S
anatomy organ	52-53690-B
anatomy tendon	52-7797-B
anatta buddhist concept of non self	40-52785-B
ancestor	7-3805-S,19-39356-B,46-52878-B,46-52943-B,46-53226-B,62-62214-S,71-51934-S
ancestor of birds	46-53843-S
ancestor of the five sacred mountains 五嶽 五岳	21-37066-S
ancestor posthumous title	17-60027-S
ancestor worship	26-62739-S
ancestors	1-48103-S,1-56211-S,5-22179-S,7-6270-S,7-8272-S,18-4042-S,23-27034-S,28-10642-S,46-52402-S,46-64652-S,46-65028-S,46-65142-S,46-65215-S,47-39866-S,58-64389-S
ancestors and benefit future generations 成语 saw	7-7268-S
ancestors martial art	3-52207-S
ancestors of birds	46-53903-S
ancestors 成语 saw	34-40912-S
ancestral grave	58-52103-S
ancestral hall	46-63245-B,46-63288-B,46-63404-B,46-63647-B
ancestral home	54-50672-S
ancestral home town	11-35097-B
ancestral hometown	46-53660-B
ancestral line	6-35294-S
ancestral sacrifice	46-50749-S,47-6447-S,47-10025-S
ancestral shrine	19-39434-B
ancestral spirit	56-27640-S
ancestral tablet	46-15792-B
ancestral temple	46-52156-S
ancestry	7-5334-B,48-43607-S,54-36211-S
anchor	1-63923-S,3-5673-B,27-28406-S,27-35054-S,30-54098-B,34-26128-B,37-28723-S,46-27217-B,60-18871-S,64-45972-B
anchorage	6-16689-B
anchorage alaska	19-23239-B
anchorage city in alaska	19-23310-B
anchovy	70-52092-B
ancient	3-10079-B,11-71305-B,12-4985-B
ancient and modern	12-264-B
ancient astronomy venus only in the evening	65-14402-B
ancient babylon	12-1927-B
ancient bamboo reed instrument	57-53806-B,57-53924-B
ancient bell	65-5485-S
ancient bronze artefacts	67-58966-S
ancient bronze food vessel with a round mouth and two or four handles	48-35521-B
ancient bronze mirror	65-6307-B
ancient capital	29-61481-B
ancient catapult	55-48092-S
ancient china	2-55115-S,3-18976-S,3-56914-S,8-1028-S,14-48176-S,17-55863-S,17-69044-S
ancient china esp in combinations such as 戶部尚書 户部尚书	21-7243-S
ancient china who were a branch of the eastern hu people inhabiting the valley of the xar murun river in the upper reaches of the liaohe river	18-6031-S
ancient chinese astronomy	39-7871-S
ancient chinese civilization	15-4248-S
ancient city	59-26531-S,63-15497-S,63-21573-S,63-24883-S,63-36233-S
ancient city in northern china	22-55006-S
ancient city name	63-19686-B
ancient city of troy	41-60038-B
ancient civilization	12-2386-B,12-2450-B
ancient clothes	68-37267-S
ancient district	63-35784-S
ancient egyptian deity	26-52206-S
ancient ethnic group who made up the 西夏 dynasty	71-45467-B
ancient greece	12-1995-B,47-19545-S
ancient greek language	12-2051-B
ancient harp	48-24832-B
ancient history	12-497-B,12-1214-B,29-59183-S,35-51947-B,51-29738-S
ancient history often taken to mean song	61-47835-S
ancient humanoid species such as homo erectus	12-175-B
ancient language of central asia	4-65964-S,4-66051-S
ancient large bell	64-53029-B
ancient leatherclad warship	53-40131-B,53-40210-B
ancient long metal weapon with four edges and no blades	65-1161-B
ancient meaning	12-4895-B
ancient measuring vessel	30-35771-B
ancient measuring vessel same as 斛	57-54042-B
ancient muslim states	65-48422-S
ancient name for a minority group in china	5-9997-B
ancient name for east roman empire	54-38671-B
ancient name for go chinese board game	23-24625-B
ancient name for modern kashgar	44-1598-S
ancient name of baoji city 寶雞 宝鸡 in shaanxi	66-26644-B
ancient name of ulan bator mongolian palace	40-37100-B
ancient name of xi an 西安 capital of china during tang dynasty 唐朝	65-13349-S
ancient oasis town of kroraina or loulan on the silk road near lop nor 羅布泊 罗布泊	34-51662-B
ancient one	6-24295-S
ancient philosophy	1-56309-S,64-1540-S
ancient place name	34-30197-B,63-19557-B,63-20436-B,63-21631-B,63-21789-B,63-28216-B,63-31490-B,63-31699-B,63-34635-B,63-36348-B
ancient place name a han dynasty town in shaanxi	30-25277-B
ancient placename	6-49658-S
ancient porcelain wind instrument	16-32219-B
ancient pronunciation of a chinese character	4-23396-S
ancient river	36-64685-S,63-14773-S
ancient rome	12-4840-B
ancient sacrifice	43-55604-B
ancient sages	6-41853-S
ancient state	12-9947-S,18-44379-S,18-44813-S,55-55775-S,64-10253-S
ancient stone ornament	43-3441-B
ancient tax in the form of bales of cloth	49-48008-B,49-48071-B
ancient temple	24-13282-S
ancient text	65-21121-S
ancient texts	63-53787-S
ancient three legged wine vessel	57-44118-B
ancient times	1-47264-B,4-29564-S,6-33432-S,12-61-S,12-439-B,12-2127-S,12-2839-S,20-31108-S,20-31236-S,44-60151-B,47-29012-S,53-3410-S,53-3486-S,62-60287-B
ancient times joined together to form whole scrolls	48-3099-S
ancient tradition worship the river first	7-4355-S
ancient tribe	36-17876-S
ancient type of spoon	10-20475-B
ancient unit of volume	71-63808-B
ancient unit of weight	64-35768-B,64-50779-B
ancient unit of weight and money	41-40463-B
ancient warship	53-40081-B
ancient weight	64-43805-B,65-5434-B
ancient wine holder with 3 legs and loop handle	41-40783-B
ancient wine vessel	20-42393-B,50-50361-B
ancients	12-61-S,47-36228-S
and	2-46462-B,2-46711-B,4-36584-B,11-42280-B,11-42332-B,13-21452-B,22-50849-B,31-64600-B,51-34842-B,53-21885-B,61-6800-B,63-6878-S
and 	11-41494-S,31-4436-S
and 1 interchanged	56-58131-S
and 12 earthly branches 十二枝	22-36774-S
and 17th century	6-3775-S
and 1860 1861	70-53851-S
and 1940s	69-35882-S
and 1994 nobel laureate	17-24535-S
and 1st oct	65-11850-S
and 2006 based on novel by jinyong 金庸	46-62196-S,46-63035-S
and 22nd and 23rd of the lunar month	23-34697-S
and 23rd of the lunar month	23-34697-S
and 8 升	45-1642-S
and 8th and 22nd and 23rd of the lunar month	23-34697-S
and a	5-12298-S
and a bottle of wine 成语 saw	12-8735-S,30-34152-S
and a half	1-7836-S,10-54408-S
and a half billion	10-43673-S
and a handle	28-40784-S
and a long road	4-44306-S
and a posteriori philosophy	7-6650-S
and a retentive memory	11-9483-S
and a small number of animate nouns	5-54849-S
and a swollen face	71-52376-S
and abdomen	7-23093-S,7-23258-S,52-8683-S
and ability	8-34637-S,24-26652-S
and able	11-7134-S
and able person	4-6210-S
and about to die	23-51622-S
and abroad	2-65537-S,15-2016-S,16-23378-S
and abscond	28-8195-S
and abuse of the law 成语 saw	59-39863-S
and accept	28-12229-S
and accept a delivery	69-58326-S
and accept it	71-39788-S
and accommodating	24-43660-S
and accomplished	68-55732-S
and according to specifications	10-14326-S
and account	4-27857-S,63-10692-S
and accounting	59-33546-S
and accurate	51-18884-S,58-16852-S
and achievements	9-49649-S
and acquisition m and a	5-12298-S
and act accordingly 成语 saw	53-295-S,64-5225-S
and act blindly	65-28919-S
and act courageously 成语 saw	57-30610-S
and act crazily	46-18974-S
and act crazy	29-8848-S
and actions	57-55956-S
and actions cannot be followed by a noun	16-12860-S
and acumen	26-37845-S,26-38739-S
and adaptable	58-62867-S
and add to the billows 成语 saw	28-31265-S
and address a topic	61-27153-S
and adjust	58-39426-S
and administrative staff	30-4293-S,30-4373-S,30-4465-S
and admiring	69-62993-S
and admonish boldly	32-69711-S
and adopt	28-21206-S
and adornment	32-44399-S
and advisors of top official	22-34220-S
and affable	31-17642-S
and afghanistan	5-51464-S
and after the handover to prc rule in 1997	66-27907-S
and again	5-17460-S,8-8188-S,12-10796-S,14-54862-S,21-24389-S,21-24533-S,37-12561-S,51-20885-S,62-25647-S,68-42464-S
and again before acting 成语 saw	1-34661-S
and agreeable	18-52857-S
and agriculture	49-462-S
and air force	38-23049-S
and air military base	38-23113-S
and airy	55-54519-S
and airy feeling after a few drinks	68-61851-S
and alaska	44-36320-S
and alder	34-62122-S
and alienation	55-18175-S
and alkaline earth	71-7984-S
and all directions	14-52646-S
and all is quiet	32-8741-S
and all the king s men	10-50654-S
and altair	70-29120-S
and altar	8-48113-S
and aluminium	46-22365-S
and amaze	69-61934-S
and ambitious	62-60457-S
and america	35-30682-S,37-48447-S
and amino acids forming cell wall	52-15554-S
and amino radical	52-15681-S
and analyze	6-20807-S,61-35871-S
and anhui	39-56523-S
and animal bones used in divination	43-42180-S
and animals	10-285-S,47-10417-S,68-64468-S
and annihilate	15-21401-S
and annihilate bandits	10-13550-S
and annihilate campaign	11-45906-S
and annoying	13-46829-S
and answer	13-62928-S
and antithesis paired sentences as rhetoric device	28-15214-S
and ants	56-15405-S
and anxious	40-22924-S,69-61182-S
and any time 成语 saw	14-51521-S,29-48739-S
and appearance	13-35147-S
and appendix 盲腸 盲肠	14-57381-S
and appoint	28-36731-S
and appraise	58-8358-S
and approachable	22-41929-S
and appropriate	48-54571-S
and approve	20-20979-S,20-21517-S
and are a main obstruction on the path to enlightenment	25-53101-S
and ares	2-43022-S
and armor	26-6968-S
and armpit	52-8432-S
and army	38-26103-S
and arouse interest	13-65224-S
and arrest	6-20968-S,28-56184-S,33-46369-S
and arrest fugitives	28-56184-S
and arrogant	25-31419-S,59-34936-S
and arrow	23-25908-S
and arrow step dance step	23-26011-S
and art	30-30813-S,49-25082-S
and art circles cflac	2-58773-S
and arts	37-3370-S
and arts and consort of lord brahma	61-37529-S
and as a result	14-62011-B
and ascend to heaven	51-15546-S
and ashes	70-918-S
and assign	28-42348-S
and assume it will rain 成语 saw	57-31944-S
and astringent	35-15119-S,53-67703-S
and astrology	10-42739-S,71-23658-S
and astronautical institute	10-27579-S
and astronautics	10-27728-S
and astronomy	10-43224-S
and at a complete loss	2-21606-S
and at ease	40-18590-S
and at leisure	38-66088-S
and attack	5-28056-S,61-57920-S
and attack a fleeing enemy	61-56281-S,61-56710-S
and attack from the rear	26-64201-S
and attack the weak 成语 saw	62-56679-S,62-56839-S
and attempt	58-2103-S
and attentive	10-9315-S
and attractions caapa	2-64411-S
and australia 澳大利亞 澳大利亚	40-2536-S
and autumn	31-34166-S
and autumn 770 476 bc and warring states 475 221 bc periods	31-34629-S
and autumn 770 476 bc and warring states 475 221 periods	31-34761-S
and autumn annals	21-58976-S,31-34526-S
and autumn annals 春秋	31-34293-S,71-10831-S
and autumn annals 春秋 edited by confucius	70-40126-S
and autumn by dong zhongshu	31-35032-S
and autumn period	69-16668-S
and autumn period 770 476 bc	31-34166-S,31-34409-S,31-34938-S,67-48896-S
and avoid calamity 成语 saw	60-31337-S
and avoid contact	66-50332-S
and await success or failure 成语 saw	15-51688-S
and awards	64-17714-S
and awkward	47-30755-S
and babylonian time keeping and astronomy	10-43224-S
and back	45-60420-S
and back cautiously	45-60604-S
and back of a tiger	41-12379-S
and back without delay	45-20424-S
and backward	25-32150-S
and bad	8-48969-S,18-27261-S,18-28713-S,65-18384-S
and bad intermingled	71-61068-S
and bad luck in astrology	12-39010-S
and bad people intermingled	53-42995-S
and bait	64-19637-S
and bandit	61-68435-S
and bangladesh	66-56357-S
and banish	58-18732-S
and barbuda	19-29345-S
and bare feet	55-8833-S
and bark	55-36040-S
and be unable to do anything about it 成语 saw	33-11937-S
and beams	34-22757-S
and beans in general	55-14736-S
and bear it	24-43144-S,61-65870-S
and bear the pain	13-29180-S
and beard	70-28230-S
and beard all in one stroke	68-40655-S
and beasts	68-63289-S,70-50071-S,70-50129-S
and beat	61-57618-S
and beat him	12-43027-S
and beat it	28-63821-S
and beating the chest 成语 saw	60-34829-S
and beautiful	6-18708-S,31-23121-S,53-46386-S
and beautiful woman	43-46166-S
and beautiful woman pair of lovers in fiction	26-37448-S
and beauty	9-3784-S,44-63484-S
and become immortal	69-50084-S
and bedraggled	54-50315-S
and bees	52-47479-S
and befuddled	63-46754-S
and behave oneself	19-24558-S
and behead the scaly dragon	36-1099-S
and belittle arms 成语 saw	63-59624-S
and belittling women 成语 saw	63-62586-S
and bells	64-50419-S
and belt	21-25857-S
and bend the knee 成语 saw	10-62423-S
and bend the law	59-39863-S
and bending	55-7655-S
and bending the knee 成语 saw	18-23465-S
and benefit future generations 成语 saw	7-7268-S
and benefits	35-18960-S
and bequeath a calamity 成语 saw	69-11675-S,69-11878-S
and best	70-32787-S,70-33141-S
and best wishes for a prosperous new year	25-3836-S
and betters	20-44383-S
and bewailing the rain	8-25101-S
and bide one s time	68-13305-S
and big eyes	40-7232-S
and bind	56-56342-S
and biography	57-66253-S
and biography of sage 成语 saw	51-50421-S
and birds	42-43586-S
and bitter	71-4146-S
and black pottery	4-40584-S,4-40687-S
and blackberry	37-39632-S
and blackmail	30-14069-S
and blank squares for writing practice	4-45729-S
and blood	56-25118-S,57-37612-S,70-1606-S,70-2091-S
and blood flying 成语 saw	56-28506-S
and blood of christ	51-52911-S
and blood two basic bodily fluids of chinese medicine	36-29955-S
and blood 成语 saw	56-28630-S
and blue	62-42714-S
and blues music genre	48-28696-S
and blurred vision	68-37759-S
and body as part of a medical examination	8-63075-S
and bogeys	18-35174-S,70-34080-S
and boil	28-54435-S
and boiled	48-52215-S
and boiling cauldron 成语 saw	30-38177-S
and bolt	56-13598-S,56-14172-S,56-14394-S
and bolts	3-55379-S,56-14465-S
and bones	48-19915-S,54-38398-S,70-1128-S
and bones archaic form of retribution	54-38528-S
and bones 成语 saw	25-12729-S
and borrow books	8-43766-S
and bottom	1-45369-S
and boundless sky	31-55487-S
and bounds	47-54336-S
and bourgeois radical arnold ruge	24-27504-S
and bourgeoisie class enemy	56-28233-S
and bow 成语 saw	71-42951-S
and bows bent 成语 saw	9-43838-S
and branch	9-31199-S,30-38497-S
and branch 成语 saw	32-64677-S
and brave	24-46210-S
and breadth	50-29181-S
and break	28-63922-S
and break at any moment	11-22330-S
and break it 成语 saw	45-63852-S
and break like tiles	8-18661-S
and break off	12-64891-S
