hallow	46-60889-B
harm sb	5-64277-S,19-58544-S
harm the country 成语 saw	44-11346-S,44-11457-S
harm to	19-58469-S
harmed	11-59971-B
harmful	1-72479-B,2-26880-B,18-36539-B,32-31634-B,32-31696-S
harmful animal	19-59387-B
harmful bacteria	44-12141-B
harmful or malicious cult	63-18781-S
harmfulness	11-22552-B
harming a new feather 成语 saw	47-15074-S
harming others for one s personal benefit 成语 saw	28-52200-B
harmless	39-23446-B,40-49897-B
harmonic	16-1316-S
harmonic oscillator phys 	58-45920-B
harmonic series	58-46469-B
harmonic sound with frequency an integral multiple of the fundamental	58-46362-S
harmonic vibration	35-36581-S
harmonic wave with frequency an integer multiple of the fundamental	58-45992-B
harmonica	11-68679-B
harmonies eight methods martial art	7-66690-S
harmonious	10-9986-B,13-24441-B,13-24796-B,13-25421-B,23-16215-B,39-57710-B,56-10226-B,56-11177-B,58-36768-B,58-39516-B,58-45600-B,58-45707-B,58-45761-S,63-14672-B,66-61745-B,67-6918-B,68-16583-B,71-63917-B
harmonious and graceful	58-46147-B
harmonious and happy	13-23532-B
harmonious fists	51-12875-S,51-13050-S
harmonious of music	14-4720-B
harmoniously	12-35960-S,13-24502-B
harmonium	48-39518-B
harmonize	10-63795-B,10-64189-B,10-65121-S,41-33660-B,58-35338-B,58-36257-S,58-38909-S,71-63972-S
harmonize the stomach and rectify qi4 traditional chinese medicine	13-24971-S
harmonize with	56-10531-B
harmony	2-20414-S,13-21452-B,13-23795-S,13-24796-S,13-24929-B,13-25464-S,15-48470-B,17-57431-S,24-56981-B,41-33660-B,42-59713-S,42-59713-S,45-27907-S,56-11459-S,56-11590-S,58-12033-B,58-36768-B,58-39516-S,65-23355-S
harmony with nature	56-10531-S
harms people	19-58740-S
harness	18-8436-S,28-495-B,52-24330-S,69-33985-B,69-49135-S
harness a horse	18-10858-S
harness a horse to a cart	18-10578-S
harness a river	37-24078-S
harness from beast of burden	11-27503-S
harness pad on draught animal	28-60255-B,28-60386-B
harness strap on horse s back	49-3700-S
harp	42-63095-S,48-24832-S,48-24878-S,59-19144-B
harp on	68-46118-S
harp on the same string	63-58324-S
harp or 笙簧 sheng	48-24935-S
harpoon	70-36649-B
harpsichord	13-38849-B,17-37811-S
harqin banner or kharchin khoshuu	14-1413-B,14-1703-B
harqin left mongol autonomous county in chaoyang 朝陽 朝阳	14-1512-B
harqin mongol guard	14-1413-B
harrisburg	13-40238-B
harrison schmitt apollo 1 7 astronaut	13-40301-B
harrow	35-16538-B,51-38555-B,51-39026-B
harry	13-37037-B
harry potter	13-37074-B,23-40910-S,42-21592-S,67-42787-S,71-14880-S
harsh	8-23856-B,9-15653-B,14-42674-B,14-42924-B,53-65127-B,58-17837-B
harshly	13-16248-S,26-31683-S,53-67167-S,54-53849-B
harshly but without any bad intent	32-30707-S
harshness 成语 saw	64-19426-S
harstad city in norway	13-39106-B
hart	41-51124-B
hart 1835 1911	60-8108-S
hart or herd name	60-8108-B
hartford	13-39474-B
hartmann 1944 	16-40966-S
haruki 1949 	33-7322-S
harum scarum	39-35230-B
harvard university	13-36735-B,13-36787-B
harvest	17-21052-S,22-50514-S,25-22000-S,28-22795-S,29-40981-B,29-41768-S,35-63544-S,47-14799-S,47-41301-S,47-43667-B,59-20606-S,59-20758-S,59-21360-S,65-43294-S
harvest festival	29-41878-B
harvest god	47-36920-B
harvest season	47-14932-B
harvest time	47-14193-B
harvest uprising	47-14854-S
harvest 成语 saw	47-14532-S
harvested land left for rotation	54-9676-B
has	6-48547-S
has a dedicated woman behind him	26-8394-S
has a name but no reality 成语 saw	32-31078-S,32-31208-S
has a role to play	12-29426-S
has a silver lining	67-14838-S,67-15029-S
has a taste for their food	50-55817-S
has arrived	9-9327-B
has attacked the vitals 成语 saw	44-8690-S
has become a pile of eggs 成语 saw	3-29733-S
has been checked in on flight	26-52743-S
has been put forward for an exam	51-33705-S
has been replaced with	4-30250-B
has been taken	54-9557-S,54-9757-S
has been taken by	4-30250-S
has been well worthwhile	2-27385-S
has bolted	3-66287-S
has bolted 成语 saw	29-53474-S
has buddha nature	17-21660-S,38-28231-S
has evaded	56-58375-S
has eyes but can t see 成语 saw	32-37334-B
has flowed under the bridge since then	39-16104-S
has given birth twice	3-39255-S
has given outstanding service	9-50354-S
has got into you	2-82981-S,3-868-S
has got to	54-55608-S
has heard	52-1335-S
has his day	68-55421-S
has his likes and dislikes 成语 saw	12-29750-S
has his own life to lead	12-29209-S
has it	39-9368-S
has its ancestral home	54-50672-S
has its retribution 成语 saw	25-21703-S
has its rewards 成语 saw	14-3623-S
has just learned	41-20682-S
has lived long	19-25778-S
has made the pilgrimage to mecca	13-37531-S
has mastered the sutras	37-31142-S
has more than one reading	43-63443-S
has nine sons 成语 saw	71-61068-S
has no fear of the tiger 成语 saw the fearlessness of youth	9-785-S
has no way of doing	40-51147-S
has no word for ice	44-3754-S
has not attacked the vital organs of the human body	56-46472-S
has not been made in vain	2-27385-S
has not yet come	31-41777-S
has one s absolute confidence	28-30682-S
has one s eye on	54-55186-S
has passed away	12-61-S
has reached the city gates	8-2245-S
has settled	22-2543-S
has significantly helped sb else	25-1582-S
has sown	53-796-S,53-15509-S
has sth to do with the matter also used with negative	54-55949-B
has the courage to accept the consequences of his actions	30-6343-S
has thrown off the reins 成语 saw	52-34788-S
has to endure	10-46044-S
has vanished	3-65946-S
hash of things	52-20593-S
hashed beef	52-50323-B
hashemi rafsanjani	27-22010-S
hashimoto	35-887-S
hashimoto ryūtarō 1937 2006	35-948-B
hasn t	37-9795-B
hassan district	13-38998-B
hassan person name	13-38998-B
haste	10-10353-B,10-47375-S,25-53606-S,60-28899-S,61-52949-B,65-34839-S
hasten	5-30944-S,30-10182-S,60-28899-B,60-30765-S,60-32116-B,69-50389-B,69-51638-B
hasten home for the funeral of a parent or grandparent	18-6973-B
hasten sth	6-30180-S
hastily	10-19674-B,24-58293-B
hastiness	51-19073-B
hasty	10-19637-B,10-19771-B,19-11011-B,29-21098-B,42-28723-B,54-15413-B,61-11389-B
hasty conclusion	62-46133-S
hasty last minute effort	52-57896-S
hasty walking	60-41043-B
hat	8-12853-B,22-32973-B,22-33003-B,34-31933-S,48-5831-S,48-33235-S,49-21225-S,50-46731-S,57-8237-S
hat etc	26-23278-S
hat trick when one player scores three goals	22-33042-B
hat 成语 saw	24-53585-S
hatake	43-48213-S
hatch	16-11581-B,19-16385-S,35-60311-S,54-30915-B
hatched bird	67-2938-S
hatched chicken	67-3282-S
hatched graphic pattern	3-67487-S
hatched lines	3-67487-B
hatchet	13-21826-S,21-23463-S,30-38003-B,30-38032-B,30-38306-B
hatchet man	29-21005-B
hatching	30-33199-B
hatchway	17-52159-B
hate	11-36316-S,11-36367-S,16-12803-B,24-63974-S,24-63974-B,25-1009-S,25-18802-S,25-21002-S,25-35056-S,25-56376-B,25-56508-S,25-62368-B,25-62688-S,33-51550-S,44-6842-B,44-20713-S,45-37438-S,58-59570-B
hate and resent	25-24717-S
hate doing sth	57-62317-S
hate due to envy etc	24-42347-B
hate one another	45-28594-S
hate the wicked as personal foes	44-6890-S
hate to be unable	25-1039-S,25-1203-S
hate to do sth	28-6629-S
hate to have to go	43-50049-S
hate to leave a place where one has lived long	19-25778-B
hate to leave sb	5-24730-S
hate to part with	28-6629-S
hateful	12-13089-B,12-13243-B,57-62673-B
hateful arrogance	53-16747-B
hateful place	56-27338-B
hating evil as an enemy 成语 saw	44-6890-B
hatred	4-21698-B,4-21917-B,8-14445-B,8-63613-S,9-19581-S,18-58669-B,18-58710-B,19-67225-S,25-54575-B,25-56508-B,26-512-S,45-46034-S,69-3430-S
hatred and desire for revenge	4-21852-B
hatred and jealousy	71-30083-S
hatred is hard to fill 成语 saw	25-1415-S
hatred resulting from grievances	8-13597-B
hatred that cuts to the bone	8-63613-B
hatred 成语 saw	1-6114-S
hats	68-19696-S
hau another name for the goddess matsu	17-47037-S
hau area in hong kong	15-51958-S
haugesund city in rogaland	38-15633-B
haughtiness	6-32819-B
haughty	6-32639-B,6-32684-B,18-11919-B,42-4057-B,69-57565-B
haughty and arrogant	59-34936-B
haughty manner	35-24257-B
haughty nor humble	1-66746-S
haul	27-36848-S
haulage	62-41837-B
hauler	50-31339-S
haunt of hidden creatures	8-40837-S
haunt one	35-58140-S
haunted	70-29959-B,70-32315-B
haunted house	7-1483-B,70-31679-B
haunts	29-59357-S,53-28076-S
haunts 成语 saw	29-59423-S,53-28143-S
haute couture	70-16761-B
havana capital of cuba	13-39534-B
have	1-70353-S,1-76630-S,5-1810-S,5-38150-S,8-4727-S,8-4899-B,22-28512-B,26-28688-S,27-13217-B,29-17799-S,32-29282-S,32-39392-B,37-9795-S,40-45824-S,50-50834-S,57-26097-S
have a bee in one s bonnet	52-21340-S
have a bite	71-41922-S
have a brainstorm	24-38896-B
have a chance encounter	2-15708-B
have a chat	51-43155-S,58-41953-S
have a clear conscience	13-62847-S,28-7229-S,40-52527-S
have a competition	36-11859-B
have a confrontation with sb	4-457-S
have a cross of 4 petals	10-46125-S
have a deficit	55-56402-S
have a dream	6-14610-S
have a drink	26-49712-S
have a feeling for sth affection	25-14550-S,25-14644-S
have a fever	44-31118-B
have a fever reaching a certain temperature	41-26189-S
have a free hand	29-51844-B
have a get together	51-61896-B
have a gnawing regret	27-13065-B
have a go when at one s peak	11-42837-S
have a good meal	17-41032-S
have a good talk	6-49410-S
have a great time	65-34683-S
have a guilty conscience	13-62764-S,24-38723-B
have a guilty conscience idiom	6-15625-S
have a hard time	18-28045-B
have a high temperature	44-31015-S
have a high temperature from illness	44-31118-B
have a hilarious time	70-30000-B
have a holiday or vacation	29-48954-S
have a job	6-14355-S
have a knack for good business	43-29895-S
have a look in	10-15175-S
have a massive effect	31-29694-S
have a meeting	32-22275-B,32-25790-B,65-37438-B
have a nap	45-54763-S
have a nice weekend	62-27684-B
have a pleasant journey	1-21218-S,1-21309-B
have a prejudiced viewpoint	26-23583-S
have a reputation as	55-55525-S
have a reunion	15-28711-S,15-29182-S
have a row	13-2587-S
have a show down	1-13600-S
have a smile on one s face	12-68261-S
have a snack	71-41922-S
have a stroll	62-16350-S
have a strong appetite for certain foods during pregnancy	19-59053-S
have a surprise 成语 saw	17-8847-S
have a taste of	68-34896-S
have a taut face	50-38862-S,50-39100-S
have a tooth stopped	56-57733-B
have a try	58-12452-S
have a use for sth	43-34789-S
have a weight on one s mind	52-17038-B
have access	40-51147-S
have acupuncture and moxibustion	64-18969-S
have advantages	32-30211-S
have against it 成语 saw	5-2623-S
have altogether	7-71863-S
have an abundance	32-41677-S
have an accident	8-34266-B,17-64360-B
have an acupuncture treatment	26-39831-S
have an affair	26-3809-S
have an attitude of one s own	42-19607-S
have an audience	57-37388-B
have an audience with the emperor	57-40782-S,57-40849-S
have an easy conscience	24-31626-B
have an erection	9-65919-B
have an icy manner	8-22818-S
have an illicit affair	60-13142-S
have an in depth conversation	38-51469-B
have an informal discussion	22-65089-S
have an injection	26-49837-S
have an intention to do sth	29-26964-S
have an intimate relationship with sb	6-26115-S
have an operation	65-30283-S
have an original style	2-27077-B
have an overview	57-42788-S
have an ulterior motive	9-3923-S
have another look at sth	63-60010-S
have anything to do with him	9-4076-S
have as remainder	9-29691-B,59-63027-B
have authority	32-35882-S
have bad luck	5-61723-S,5-62067-B
have been looking for	63-16291-S
have been thrown into disorder	29-11584-S
have children	37-10654-S,43-29201-S
have come to meet you personally	17-67964-S
have complete control over	49-53928-S
have conceived	26-222-S
have confidence in	5-43028-B,5-46743-S
have connections	32-40649-S
have consideration for	58-1937-S
have control over	28-29077-S
have dealing with	26-40675-B
have dialed the wrong number	26-49957-S
have diarrhea	37-60606-S,40-13014-S
have difficulty walking	35-42280-B
have done sth	2-15083-S
have ears	66-40208-S
have encyclopedic knowledge	11-9483-B
have enough food and warm clothes	39-23292-S
have enough resources to cover a need	13-14058-S,62-27973-S
have equivalent banners and drums 成语 saw	31-4042-S
have excessive expectations	18-12148-S
have exclusive selling rights	10-19174-B
have eye trouble	19-59513-S
have faith in	5-46743-S
have fluent command of	62-40403-S
have free expression	44-56695-S
have friendly relations with	62-45148-S
have fun	18-60961-S,42-37776-S,42-38272-S,62-37645-S
have good eyes	45-48722-S
have good luck	60-14168-S
have great hopes for one s offspring	32-45750-S
have great respect for it	58-62485-S
have happened	25-16325-S
have high ambitions	3-14744-S,9-46939-S
have high hopes	20-1144-S
have high moral standards	6-5571-S
have high standards while unable to live up to them	45-52491-S
have his head	4-43792-S,4-44476-S,60-53835-S
have immediate success	31-3858-S
have in care	41-8902-S
have influence	35-58140-S
have intercourse	7-25595-S
have intimate talks	38-51469-B
have involvement	32-40649-S
have it	2-6920-S
have it or can leave it	12-14454-S
have jurisdiction over	48-27179-S
have known each other all along	45-30751-S
have known the world	32-16545-S
have laws and culture	65-30761-S
have lingering fears	24-33838-S
have meaning	32-33627-S
have mercy upon us	36-54115-S
have neither complaints nor regrets	40-51599-S
have neither predecessors nor successors	9-21785-S
have never	24-10676-B
have never met sb before 成语 saw	49-24916-S
have no alternative	40-47734-B
have no alternative but to	2-8746-B,12-7980-B
have no alternative 成语 saw	61-51811-S
have no choice	2-8746-S,37-11100-S,40-49445-B
have no choice or option but to	2-8354-B
have no idea what to do	48-32362-S
have no knowledge of sth	54-9424-S
have no more illusions about	35-57269-S
have no opportunity	40-60156-S
have no other alternative	40-61628-S
have no other choice	9-4022-B,12-8362-S
have no regard for	50-52674-S
have no sense of shame	2-27954-B
have no time for	40-54530-S
have no time for sth	2-15004-B
have no use for	43-33937-B
have no way out	40-47734-B,60-11844-S
have not	32-55920-B,37-8451-B
have not fully expressed oneself	25-29685-S
have nothing	1-14127-S
have nothing than substandard choice 成语 saw	20-19187-S
have nothing to do	37-8720-S,40-45929-S
have nothing to do with	2-20331-B
have nothing to do 成语 saw	40-53454-S
have on one s shoulder	28-51487-B
have one s cake and eat it	2-46276-S
have one s eyes on a goal	54-55087-S
have one s feet firmly planted on the ground 成语 saw	52-43686-S
have one s hands bound and be unable to do anything about it 成语 saw	33-11937-S
have one s hands tied	33-11474-S
have one s head cut off	54-49235-S
have one s head shaved	9-16177-S
have one s heart filled with	39-38483-S
have one s job cut	9-17006-S
have one s meal	12-26030-S,14-14021-S
have one s property stolen	17-66676-S
have one s reputation swept away	60-56650-S
have one s spirits dampened	28-11107-S
have one s status lowered	28-12924-S
have passed away	2-2228-S
have peace of mind	60-46585-S
have perfect mastery of sth	62-47729-S
have pins and needles	71-14122-S
have plenty cannot understand how the suffering of others	69-7875-S
have plenty of	32-36725-B
have real skill	32-30028-B
have sb do sth	59-13544-S
have sb in one s care	29-41474-S
have sb look after sb	20-2734-S
have sb s guts for garters	69-3430-S
have second child	66-67396-S,66-67491-S
have second thoughts about sth	11-56330-S,61-23384-S
have seen	57-31413-B
have sex	3-67975-S,62-30636-S
have sexual intercourse	62-30636-S,68-47036-S
have sexual intercourse once	31-35878-S
have significance	32-33627-S
have something custom made	19-47309-S,57-57503-S
have something made to order	19-43736-S
have sound and color	32-38812-S
have spare time	37-8829-S
have sth at one s fingertips	62-40403-S
have sth in storage	23-0-S
have sth made to order	19-43676-S
have sth overruled or changed	2-15204-S
have sth ready just in case	6-29318-B
have sth to do with	32-40446-S
have success within one s grasp	47-43080-S
have sympathy with a like minded person in distress	53-50755-S,53-50932-S
have talent but no opportunity	26-590-S
have tea and refreshments	69-6527-S
have the courage of one s convictions	42-56035-S
have the courage to	30-6634-B
have the desired effect	57-30167-S
have the ears of grain come up	12-60690-S
have the feeling that	25-39135-S
have the heart to do sth	24-43001-S
have the knack	41-16224-S
have the runs	37-60534-S,52-44857-S
have the use of	4-1865-S
have the will	25-31263-S
have their own way	29-52527-S
have thought	58-34217-S
have thought that	25-25118-S
have time	32-34660-S
have time to do sth	32-37889-S
have to	2-8354-B,2-8746-B,2-9031-S,2-25961-B,12-7894-S,24-6106-S,24-41411-B,24-42069-S,50-33124-B,68-27674-B
have to be ruthless to be a great man	40-55615-S
have to do with	65-53904-S
have to go	43-50049-S
have to lift a finger	53-27031-S
have unfounded doubts	24-36346-B
have unrealistic expectations	18-12318-S
have wide learning and a retentive memory	11-9483-B
have you	7-12879-S
haven	61-65201-S,63-7428-S
haven t	37-9795-B
haven t done sth for a long time	3-10011-B
having a common origin	12-49358-S
having a family to feed	27-35597-S,27-35941-S
having a one track mind	35-57409-B
having a ready answer	20-54313-B
having a score of zero in a game	7-13958-B
having a unique or distinctive style	9-3111-B
having a will	32-33482-B
having ample food and clothing 成语 saw	59-21826-B
having an ability	40-10384-S
having an uncomfortable time	4-17753-S
having any special skill	1-14389-S
having authority	35-18749-B
having blood in one s stool	5-30093-B
having born oneself i e one s natural parent	57-39861-B
having both integrity and talent 成语 saw	24-26725-B
having burned incense 成语 saw	27-12591-S
having clean hands	7-47755-B
having electricity supply of a house	32-41430-B
having experienced the hard ship of life	69-8223-B
having good foundational training	9-48506-B
having guests	18-27937-S
having human cause or origin	4-14066-B
having jurisdiction over	61-20322-B
having lived through many changes	69-8131-B
having lost a bet	50-53621-S
having lost one s way	61-54788-B
having matchless strength	9-45569-B
having met earlier 成语 saw	45-30751-S
having money to spare	30-61708-B
having nine plane faces	3-20745-S
having no consideration	50-48972-S
having no fixed duties	65-45941-S
having no initial consonant starting directly with the medial vowel	67-21243-S
having nothing to do with sth else	40-63455-B
having only one meaning	14-18188-B
having poor eyesight	45-37111-B
having possible military application	12-11211-B
having same grandfather great grandfather	11-56848-S
having several meanings	16-62435-B
having several reading	16-65043-S
having several readings and meanings	16-64932-S
having several related meanings	16-62579-S
having several uses	16-60417-B
having special characteristics	42-19909-B
having sth in mind	54-55087-B
having sth on one s mind	28-19625-B,51-42704-B
having the appearance of depth	39-55924-B
having the gift of the gab	4-60975-B
having the same name	45-27190-B
having the same social class or status	12-50536-B
having to do with obstruction of urine flow	44-20451-S
having to leave	5-23996-S
having trading relations of nations or regions	62-8930-B
having two characteristics	7-44775-B
having wide repercussions	37-13055-S,56-39524-S
havoc	52-4011-S
havoc in heaven	17-41960-S
havre french town	9-67233-S
haw 成语 saw	12-64891-S
hawai	16-40581-B
hawaii	16-40463-B,42-43463-S
hawaii island	16-40513-B
hawk	7-23168-S,42-25110-S,66-61965-S,70-53198-S,70-57703-B,70-58029-S,70-58094-S,70-59389-S,71-1425-B,71-1554-S,71-2113-S
hawk accipiter nisus	66-52653-S
hawk one s wares	12-30629-S,12-30965-S
hawk pirate goods	7-23332-S
hawk us aircraft carrier	21-2822-S
hawking	31-42444-S,67-43760-S
hawking 1942 	67-43760-S
hawkins 1532 1595	49-6625-S
hawkins name	67-43836-B
hawkins or hawking	67-43760-B
hawks	3-5549-B,23-45049-B
hawksbill turtle	42-41487-B
hawser	50-48103-B,64-41128-B,64-41270-S
hawthorn	33-45361-B,34-27055-B
hawthorn tree rose family	21-30689-B
hay	3-25349-B,53-63290-B,53-63351-B
hay fever	53-59133-B,53-59216-B
hayes microcomputer	38-19977-B
haystack	17-25213-S
hazard	7-58965-S,14-58183-S,39-58625-S,68-57855-B
hazard assessment	11-22609-B
hazard golf	36-47609-S
hazardous materials	11-23673-B
haze	41-4259-B,55-20227-B,61-54550-S,66-26014-B,67-50373-B
haze of doubts and suspicions	44-5095-S
hazel tree	34-39383-B
hazeline unilever product	16-40349-B
hazelnut	34-39438-B
hazy	6-53896-B,24-21317-B,45-62006-B,55-4017-S,61-54878-B
hazy distant horizon	55-3899-B
hbr	36-35092-S
hcg	49-49599-S
hcho	43-42087-S
hcl	36-34998-S,71-7717-S
hclo3	36-36833-S
hco3 2	63-63454-S
hcooh	43-41780-S
hdtv	70-17262-B
he	4-8396-B,4-24939-B,4-47399-B,5-2097-S,5-10697-S,13-21452-S,24-66827-S,36-32021-S,46-51365-B,59-49671-S,60-7673-S,71-20539-S
he 1371 1433	63-33800-S
he 479 502	58-57394-S
he a system of five waterways around tianjin	38-20724-S
he cantonese	5-9858-B
he county in anhui	13-24744-B
he county in guangxi	59-50130-B
he does	51-69561-S
he houhua 1955 	5-2307-B
he is fresh and strike him when he is tired and withdraws	63-6163-S
he is tired and withdraws	63-6163-S
he ll tell all his friends	27-33444-S,27-34604-S,27-34788-S
he long 1896 1969	59-50302-B
he nan mengguzu autonomous county in qinghai	37-19215-B
he needs	12-28818-S
he orders you go	4-35506-S,47-812-S
he pleases	52-514-S
he river in shandong	54-28884-B
he says and watch what he does	51-69561-S
he understands everything	51-56550-S
he up to	22-52745-S
he who steals a whole land gets promoted to marquis	47-59704-B
he yingqin 1890 1987	5-2478-B
he zizhen 1910 1984	59-49781-B
he2	57-7130-S
head	1-22700-S,3-3834-B,4-43792-S,4-44476-S,4-66899-S,4-67056-S,4-70605-S,5-59521-S,8-12896-S,9-26083-S,9-31710-S,14-37529-S,14-58416-S,15-22796-S,17-61910-S,17-62068-S,20-52736-S,25-31841-S,25-31936-S,25-46108-S,27-12361-S,28-45498-S,31-17771-S,33-7741-S,35-38013-S,40-33458-B,42-716-S,42-16062-S,42-29295-B,44-17433-S,44-48250-S,47-11139-S,50-31603-B,51-1168-S,52-40527-B,52-40928-B,54-27639-S,56-11940-S,59-17124-S,59-26360-S,60-53835-S,61-27340-S,61-30462-S,63-23356-S,64-27180-S,65-11737-B,66-20498-S,67-48105-S,68-28107-S,68-35687-S,68-35986-B,68-36444-S,68-40059-B,68-40304-S,68-40407-B,68-40524-B,68-40605-S,68-45427-S,68-52886-S,68-52966-S,69-21025-B,69-24587-B,69-44259-S,70-28276-S,70-32706-B,70-38547-S
head against a brick wall	65-9835-S,65-10101-S
head and bow 成语 saw	71-42951-S
head and discuss the feet 成语 saw	13-35409-S,58-8413-S
head and ears glued 成语 saw	5-50462-S
head and face	68-39398-B
head and shoulders above the competition	42-18285-B
head and smacking one s lips 成语 saw	71-42826-S
head and sneak away like a rat 成语 saw	27-13948-S,27-14086-S
head and tail	69-21791-B
head arch 	22-32857-S,22-32910-S
head bald	70-24485-S
head but keep the queue	9-16342-S
head catarrh of the nose	71-53000-S
head chef	23-6355-B
head clean	9-15978-S
head commisioner	50-26483-S
head constable	17-18972-B
head covered in dust	40-26294-S
head covering for men in ancient clothes	68-37267-B
head cut off	54-49235-S
head e g of neighing horse	31-18614-S
head e g to avoid rain	15-61126-S
head etc	64-11065-S
head for	60-10224-S
head full of sth	1-22700-S
head held high	70-15770-S
head high	31-18614-B,31-18719-B
head high 成语 saw	31-18788-S
head hunting	4-9911-S,4-10590-S
head hunting for job placement	42-25045-B
head in a crisis	21-26653-S,47-41835-S
head in the sand	28-33509-S,65-28278-S
head in wu and tail in chu 成语 saw	13-2280-S
head lice	68-39764-B
head like a sturgeon	70-42497-S
head monk	5-435-B
head nebula	69-44326-S
head of a committee	18-41336-B
head of a delegation	15-29244-B
head of a flight of stairs	34-51122-B
head of a government etc department	63-23356-B
head of a page	68-19631-S
head of a religion possibly legendary	30-1093-S
head of a society	32-25849-B
head of a turtle	71-63752-B
head of an institute etc	26-29992-B
head of buddhist monk	9-16107-S
head of finances	59-34277-B
head of gov on affairs of state	13-28185-S
head of hair	44-63293-S
head of hong kong s civil service before and after the handover to prc rule in 1997	66-27907-S
head of magnet	46-36401-B
head of political party	71-45612-B
head of state	6-63685-B,15-4668-B,69-23150-B
head of the household	26-24426-B
head of us joint chiefs of staff	37-14658-S
head off	48-4538-S
head office	50-31915-B,50-32892-B
head on	20-55259-S,22-18291-S,35-39105-S,61-45304-S,61-46224-S,61-46370-S,61-46439-B
head on collision	61-46027-B,61-46115-B
head ornament	69-9190-S,69-24638-B
head ornament in former times	68-40161-B
head ornaments	70-28016-B
head out and look around 成语 saw	28-24430-S
head out of fear 成语 saw	69-61806-S
head out or into	28-24333-S
head out 成语 saw	34-44552-S
head over heels	26-49300-S,27-10840-S,60-38539-S,60-48727-B,60-48834-B
head over heels in love	46-62766-S
head person	68-40354-B
head rope of a fishing net	50-4991-B
head see who is best	1-21651-S
head shaved	9-16177-S
head spin	68-38171-S
head spinning and blurred vision	68-37759-B
head spinning and eyes dark 成语 saw	68-37864-B
head spins	68-37500-S,68-38080-S,68-38261-S
head to foot	24-12369-S,39-8552-S
head to head see who is best	1-21651-S
head to protect neck	68-36362-S
head to tail	13-2280-B,24-12277-S
head to tail 成语 saw	24-29757-S
head to toe	1-21496-S
head with the purest cream 成语 saw	63-47720-S
head 成语 saw	26-23741-S,42-17952-S
headache	68-38609-B,68-38652-B
headband	10-19422-B,33-12542-B,50-46535-S
headband arch 	22-32812-S
headband to visit a yuan dynasty brothel	26-23950-S,50-143-S
headband used as decoration by actors or in hui nationality	50-46535-S
headboard	22-59346-B,34-40357-B
headcloth	54-56912-S
headed	8-23804-S,17-7886-S,31-26620-S,32-55348-S,34-38218-S,38-65482-S,46-25431-S,47-46573-S,48-60384-S,48-60494-S,51-35395-S,61-54718-S,61-55642-S,68-31735-S,68-39317-S,70-41196-S,71-3703-S
headed atractylodes atractylodes macrocephaia	44-40218-S
headed by	40-33458-S
headed by an aircraft carrier	26-20662-S
headed god in hinduism	33-67594-S
headed goose anser indicus	30-33084-S
headed gull	49-8818-S
headed gull larus brunnicephalus	34-21687-S
headed heroism	32-159-S
headed know all	53-575-S
headed person disrespectful	7-13958-S
headed person who gabbles unintelligibly	50-45617-S
headed pick	64-33437-S
headed pig	59-26438-S
headed talk	50-45476-S
header	5-18947-S,29-40094-S,32-11668-B,44-26148-S,48-20650-S
header of piping system	66-58703-B
headgear	44-59805-S
heading	9-18294-B,18-30395-S,34-56496-B,68-19631-S
heading for destruction	3-65946-S
heading in	53-33694-S
heading list of signatories	68-35170-B
headland	16-2013-B
headlight	60-58563-B
headline	18-9712-S,34-56496-B,57-27197-B,63-48287-S,68-38439-B
headline news	34-56568-B
headlong	1-22700-B,5-58595-S,68-36785-B,69-45380-S
headman	64-55324-S
headman of primitive people	63-36709-B
headmen in the yuan	15-30019-S
headnotes	45-35658-B
headphone	52-1046-B
headphones	51-39475-B
headquarter	27-7852-S
headquarters	12-23878-B,17-21789-B,50-32307-S,50-32610-S,50-35919-S,66-38606-B
headquarters in the heilongjiang and vladivostok area	18-22880-S
heads	32-32698-S,71-39850-S
heads but keep a queue	9-16235-S
heads cut off	35-44408-S
headscarf	10-14536-B,22-22066-B,22-22471-B,49-54423-B
headsman	9-43511-B
headstall	64-50073-S
headstall of horse	64-50179-S
headstream	39-15955-B
headstrong	4-42973-B
headwaters of a river	36-43115-B
headway	62-29603-S
headwind	26-15587-S,28-62617-S,61-68766-S
heal	23-50902-S,24-13592-B,25-27706-B,25-27833-S,37-24078-S,44-17012-B,44-19805-B,44-20293-S,44-20870-B,63-50033-S
heal and recover completely	44-13300-S
heal of wound	20-32606-S
healds of a loom	48-35283-B
healed	7-36619-B
healer	18-35529-S
healing effect	44-20175-B
healing efficacy	44-20175-B
health	5-41679-S,6-18187-B,6-18969-S,7-56340-S,11-29652-S,11-29751-S,14-34182-S,19-27777-S,21-5226-S,23-2161-S,23-36301-S,24-15191-S,24-61092-S,27-13514-S,29-34075-S,48-55180-S,55-51427-S,56-37908-B,56-38105-S,56-57428-S,56-60200-S,58-37647-S,58-38601-S,58-40257-S,60-56879-S,60-56948-S,60-57585-B,69-11390-S,69-11390-S,70-7634-S
health after illness	69-11569-S
health and vigor	46-61946-S,46-62079-S,48-56025-S
health assembly	2-41005-S
health care	5-34581-B,63-50195-B,63-50409-B
health center	6-19208-S
health check up	70-7700-B
health damage	6-18312-B
health department	56-38392-B
health hazard	14-58183-S
health insurance	6-18237-B
health official	56-37969-B
health or relief work	7-62379-S
health organization who	2-41105-S,2-41953-S
health preservation	69-11390-B
health protection	5-34581-B
health status	6-18384-B
health treatment	48-56523-S
