kě jué lǜ	12-15050-B
kǒu lǐng dǎo xiǎo zǔ	60-64257-S
kǒu mài	20-31604-S
kǒu mì dù	4-6959-S
kǒu mì fù jiàn	11-69536-B
kǒu mí lè	48-4331-S
kǒu mò	11-68518-B
kǒu mó	11-69404-B,33-27698-S
kǒu pào	10-45272-S
kǒu pēn rén	56-24109-S
kǒu pǔ chá	4-7086-S
kǒu qiāng	11-69254-B
kǒu qì	1-4210-S,5-57258-S,5-57344-S,11-68401-B,70-25690-S
kǒu qín	11-68679-B
kǒu qū	30-69578-S,37-19462-S,46-22646-S,55-57072-S
kǒu rù	44-9865-S
kǒu rú yī	24-31251-S
kǒu shuō bái huà	47-45864-S
kǒu shuǐ	11-68477-B,68-62063-S
kǒu shào	11-67817-B,13-5230-S
kǒu shé	11-69356-B,46-40228-S
kǒu shì	11-69785-B,13-11201-S,23-38687-S,34-11427-S,38-17178-S,41-30989-S,71-58268-S
kǒu shí xiū	46-43048-S
kǒu shù	4-7031-S,11-70178-B
kǒu shāng	8-36314-S,62-29412-S
kǒu shāng pǐn	8-36385-S
kǒu tiě	44-37163-S
kǒu tí yì	11-70092-B
kǒu tóng shēng	43-60569-S
kǒu tóu	11-70339-B
kǒu tóu chán	11-70384-B
kǒu tōng shāng	3-47862-S
kǒu tǒng jì xué	4-7211-S
kǒu wèi	11-67737-B
kǒu wú xīn	32-30707-S
kǒu xiàn	39-11012-S
kǒu xiàng shēng	10-65555-S,20-47769-S
kǒu xiāng	33-33451-S,39-11088-S,39-19095-S
kǒu xiāng táng	11-70648-B
kǒu xué	4-6904-S
kǒu yáo zú zì zhì xiàn	37-19533-S
kǒu yì	11-70047-B
kǒu yìng chéng	39-35891-S
kǒu yāng	21-28921-S
kǒu yīn	11-70299-B
kǒu yǔ	11-69845-B
kǒu yǔ zì cí shí bié	11-69946-B
kǒu zhuō shé	48-7439-S
kǒu zhào	11-69200-B,49-21120-S
kǒu zhèng	26-36293-S
kǒu zhì	26-24601-S
kǒu zhì dù	26-24682-S
kǒu zhī hū zhě yě	39-35763-S
kǒu zi	7-43951-S,65-31388-S
kǒu zāng huà	39-36308-S
kǒu àn	11-67859-B,62-9015-S
kǒu é	8-36743-S
kǒu ér chū	52-32514-S
kǔ	2-32995-S,2-33145-S,3-42733-S,5-2860-S,5-56663-S,8-15067-S,8-24998-S,9-15193-S,10-6021-S,10-8960-S,10-9603-S,10-51005-S,11-64381-S,12-27529-S,12-49865-S,12-50029-S,12-68624-S,14-63538-S,19-19176-S,34-31006-B,36-35795-S,43-14967-S,44-7430-S,44-14927-S,47-57645-S,53-41108-S,53-43895-S,53-66869-B,54-43758-S,58-4613-S,59-11528-S,59-36598-S,61-33232-S
kǔ dài	53-67167-B
kǔ guā	53-67772-B
kǔ gàn	15-61237-S
kǔ gān	53-67037-B,54-0-B
kǔ hán xīn	54-12879-S
kǔ jìng	53-66981-B
kǔ jí miè dào	54-303-B
kǔ kǒu	53-43202-S
kǔ liàn	10-9032-S
kǔ liǎn	25-27478-S
kǔ là	63-45191-S
kǔ ne	5-2928-S
kǔ nài láo	9-15402-S
kǔ nàn	54-386-B
kǔ nǎo	53-67551-B
kǔ nǔ lì	9-15246-S
kǔ shuǐ	5-60392-S
kǔ sè	53-67703-B
kǔ tou	12-27579-S,54-428-B
kǔ wèi	53-66925-B
kǔ xiào	54-45-B
kǔ xiǎng	8-15558-S
kǔ xué xí	9-15326-S
kǔ xìng rén gān	53-67638-B
kǔ xíng	54-253-B
kǔ xīn	53-67213-B
kǔ xīn gū yì	53-67308-B
kǔ xīn jīng yíng	53-67441-B
kǔ yòng xīn	53-42906-S
kǔ yǔ	8-25101-S
kǔ zhuó jué	16-5477-S
kǔ zuān yán	9-15579-S
kǔ ài	54-110-B
kǔ ài jiǔ	54-171-B
kǔn	16-38053-B,25-5970-B,28-2050-B,34-16569-B,47-30979-B,49-57530-B,56-55681-B,65-49013-B
kǔn bǎng	28-2100-B
kǔn fú	28-2142-B
la	2-82282-S,3-8824-S,4-48873-S,4-49962-S,6-27608-S,7-15231-S,7-16040-S,8-15978-S,8-65146-S,8-65146-S,9-17736-B,9-17766-B,9-40969-S,9-40969-S,10-55396-S,10-57908-S,11-14092-S,11-14593-S,11-15350-S,11-15488-S,11-15865-S,11-22122-S,12-1995-S,13-38697-S,13-44550-S,13-49934-S,13-50466-S,13-66214-B,13-66256-B,13-66256-B,14-1247-S,14-4254-B,14-4285-B,14-31033-S,14-31103-S,14-31103-S,14-31238-S,14-37976-S,14-38289-S,15-49979-S,15-50049-S,15-52772-S,15-60488-S,16-7777-S,16-17513-S,17-7289-S,18-40913-S,19-10190-S,19-24989-S,19-25372-S,19-25940-S,19-29226-S,21-29820-S,22-4737-S,22-14293-S,22-16936-S,22-21653-S,23-44103-S,24-22089-S,25-24000-S,26-28096-S,26-40212-S,26-57016-S,26-57016-S,27-20397-B,27-22099-S,27-36573-S,27-36678-S,29-838-S,29-6438-S,29-7165-S,31-16820-S,31-16955-B,31-48167-S,32-14557-S,33-45540-S,33-65865-S,34-36144-S,34-39670-S,35-27905-S,35-30783-S,36-13973-S,37-15855-S,37-31693-S,39-57075-S,39-57075-S,39-57938-S,41-27480-S,41-43816-S,41-59583-S,43-9693-S,44-17433-B,44-45935-S,45-44445-S,46-8019-S,46-10319-S,46-37631-B,47-21539-S,47-28127-S,48-45476-S,49-26404-S,50-3321-S,50-58075-S,51-30940-S,51-39886-S,52-35969-B,52-53419-B,53-45073-S,54-48923-B,54-63258-S,55-41935-S,55-42130-S,55-47207-S,56-1775-S,56-3461-S,56-8531-B,56-21263-B,57-17598-S,57-65430-S,58-56801-S,59-29672-S,59-53679-S,60-7959-S,60-8183-S,61-33382-S,61-34068-B,63-45191-S,64-1435-S,65-7104-B,65-65973-S,65-67153-S,65-68417-S,65-68483-S,66-5622-S,66-7787-S,66-10589-S,67-42379-S,67-50190-S,67-57557-S,68-8128-B,68-8128-B,69-25740-S,69-36069-S,69-38060-S,70-27822-B
la Da xue	69-36142-S
la Hai	66-4028-S
la Meng gu zi zhi zhou	11-8497-S
la Te li qun dao	30-41106-S
la Wan	19-10406-S
la ba	13-5362-S,14-4317-B
la ba ge si	9-55984-S
la ba ge si qun dao	9-56056-S
la ba hua	14-4431-B
la ba ma	3-59288-S,66-3959-S
la ba ma zhou	3-59347-S
la ba shui xian	14-4367-B
la ba si	22-5986-S
la ban te	10-35792-S
la bang	14-2317-S,19-28079-S,57-15334-S,69-35022-S
la bi	27-24023-B,56-21414-B,61-34265-B
la bi la	11-14593-S
la bing du	15-57686-S
la bo	37-16917-S,66-2603-S,69-38157-S
la bo Guo jia Lian meng	66-2895-S
la bo Hai	66-3149-S
la bo Lian he Qiu chang guo	66-3290-S
la bo ban dao	66-2815-S
la bo jiao	66-3414-S
la bo la	57-65430-S
la bo ren	66-2736-S
la bo shi jie	66-2663-S
la bo shu zi	66-2993-S
la bo tang	66-3212-S
la bo wa	54-22162-S
la bo wen	66-3070-S
la bo yu	66-3489-S
la bu	32-67783-S
la bu la duo	49-19731-S
la cha	27-25288-B
la chai wei er	22-15427-S
la chang	27-26325-B,52-53518-B
la chang lian	27-26394-B
la che	26-33399-S
la ci	33-66113-S
la dao	27-21200-B,55-42027-S
la de	27-22920-B,33-34115-S
la de ba he	65-23656-S
la de la jiao jiang	34-36186-S
la di	22-6078-S,22-54436-S,37-31842-S,55-39556-S
la di cao yuan	63-16625-S
la di he	22-54514-S
la di he gu	22-54592-S
la di si la fa	22-15598-S
la di si la wa	4-58660-S
la di wo si tuo ke	48-6575-S,48-6722-S
la ding	27-20471-B,32-67922-S,49-30511-S,66-2477-S
la ding fang kuai	27-20863-B
la ding wen	27-20707-B
la ding wu	27-21018-B
la ding zi fu	67-65112-S
la du zi	27-25179-B
la dui	13-66395-S,27-23084-S
la dui zhang	13-66477-S
la duo	23-61384-S,27-22682-S,47-21084-S,49-19731-S,53-37028-S
la duo da xia gu	47-21146-S
la duo zhou	47-21258-S
la er	12-597-S,26-4627-S,38-19832-S,40-35811-S,66-4502-S
la er Wu shi	13-38545-S
la er jiao	11-16207-S
la er shan	40-35881-S
la er shan mai	40-35963-S
la er shi	66-4623-S
la fa	22-15598-S
la fa er jia	41-58976-S
la fa er jia guang chang	41-59048-S
la fa ge	27-24126-B
la fa te	3-63858-S,66-4378-S
la fan	16-19808-S
la feng	13-50775-S
la fu	10-71890-S,27-21804-B,30-40659-S,47-37622-S
la fu la Hai	66-4028-S
la fu qiu ke	7-16145-S
la fu shi jun	15-31037-S
la fu yu	30-40707-S
la gan shan mai	66-2527-S
la ge	22-15522-S
la ge sa	55-24408-S
la ge shou	27-21144-B
la gen	61-34319-B
la gong	22-18105-S
la gong he guo	19-10252-S
la gou	12-10588-S,27-26092-B
la gou r	27-21394-B
la gu	30-608-S,56-8563-B
la gua	21-12822-S
la guan	31-27966-S
la guan xi	27-26553-B
la gui	22-5858-S,40-35761-S
la guo	19-10340-S
la ha la	43-9693-S
la han	3-57778-S,9-56274-S
la han mu	33-65978-S
la he ma	5-31658-S
la he ma cheng	5-31727-S
la he ma zhou	5-31814-S,18-12557-S
la hei	9-16665-S
la hu lu	26-33323-S
la hu zu zi zhi xian	40-17048-S
la hua	41-59238-S
la hua zhou	41-59289-S
la ji	4-37755-S,15-55867-B,27-36628-S
la ji che	15-56124-B
la ji dian you	15-56285-B
la ji dui	15-55904-B
la ji lie fu	22-5909-S
la ji mi er	23-31752-S
la ji na	11-14433-S
la ji shu	43-1084-S
la ji tong	15-55959-B,15-56014-B
la ji xiang	15-56068-B
la ji ya	43-1025-S
la ji you jian	15-56199-B
la jia	69-38107-S
la jia dai kou	27-22306-B
la jia si	9-55810-S
la jiang	37-31468-S,53-45177-S,63-45661-S
la jiao	49-13582-S,61-34370-B,69-30815-S
la jiao fen	49-13648-S
la jiao jiang	34-36186-S,61-34420-B
la jin	27-25002-B
la ju	27-26206-B
la ka la	14-1247-S
la kai	27-26469-B
la kai bo	69-38425-S
la ke	4-48756-S,7-16084-S,8-30344-S,22-20466-S,42-5859-S,47-37453-S
la ke fu	7-16709-S
la ke li te	60-8234-S
la ke luo wa	24-26826-S
la ke shen	69-38236-S
la ke tuo huo shan	14-2117-S
la kun lun shan	14-1312-S,14-2232-S
la la	10-55396-S,13-44550-S,14-31238-S,27-36678-S,34-39670-S,47-28127-S
la la bang	14-2317-S
la la dui	13-66395-B,27-23084-B
la la dui zhang	13-66477-B
la lai si	54-25535-S
la lei	13-38626-S
la li	22-20536-S,27-21355-B,27-25601-B,37-31730-S
la li ang	16-19899-S
la lian	27-26285-B
la long	27-23277-B
la ma	43-9767-S,62-55482-S
la ma gan	16-16031-S,16-16240-S
la ma gan sha mo	16-16121-S
la ma li bo	22-22722-S
la ma nao yan bing du	18-40977-S
la ma shan	43-9870-S
la ma yi	7-16434-S
la ma yi shi	7-16566-S
la ma zuo fu xiong di	11-14667-S
la man ka	54-42588-S
la men	24-26908-S
la meng ying	38-1015-S
la mi	59-29710-S
la mi su	28-39213-S
la mi yu	66-4811-S
la mian	27-26962-B,41-48500-S
la mo	66-4101-S
la mo he	39-57989-S
la mu	51-67769-S,62-54869-S
la mu Meng hu Jie fang Zu zhi	37-47718-S
la mu chang de	11-14511-S
la mu si	9-65399-S
la mu tu	66-4321-S
la na	15-40859-S
la na da	33-66054-S
la na ka	27-24936-B
la na lie	27-25996-B
la ou kei	11-14135-S
la pa ge si qun dao	9-56158-S
la pi	71-36327-S
la pi tiao	27-24690-B
la piao	27-24759-B
la ping	27-22821-B
la pu bu	21-12493-S
la qi	11-14373-S
la qi ya	66-1255-S
la qiang tou	64-27180-S
la qin	14-1413-S
la qin qi	14-1703-S
la qin zuo yi Meng gu zu zi zhi xian	14-1512-S
la qing ge	27-26659-B
la quan	13-18920-S
la qun dao	69-37437-S
la r	31-16891-S
la re wo	55-24468-S
la ren	11-22184-S
la sa lu	27-23199-B
la se er shi	22-22592-S
la sha bing du	27-24060-B
la sha mo	29-6664-S
la shan	13-50555-S,22-18165-S,66-3557-S
la shan kou	3-8938-S
la shan mai	13-50657-S
la shan meng	66-3809-S
la shan xi	47-21601-S
la shan you qi	66-3611-S
la shan zuo qi	66-3709-S
la shen hua	22-21816-S
la sheng	37-31779-S
la shi	27-22436-B
la shi ni ke fu	11-14263-S
la shi te la bang	69-35022-S
la shou	27-22975-B,27-23023-B
la si	27-23758-S,37-62157-S,43-55532-S,50-4014-S,53-45110-S,62-53585-S,63-27348-S,66-4147-S,66-9181-S,69-37369-S
la si bao	30-41745-S
la si ge	33-65919-S
la si jia	7-27972-S,66-4193-S
la si jia zhou	7-28044-S,66-4251-S
la si nuo da er	7-16335-S
la si nuo ya er si ke	7-16231-S
la song	69-38317-S
la ta	63-14179-B
la ta si	66-3875-S
la tai shu	9-55894-S
la tang	63-45578-S
la te	15-58734-S,54-63735-S,60-8319-S
la te bang	12-690-S,12-1262-S
la te hou qi	40-36258-S
la te qi	62-53633-S
la te qian qi	40-36151-S
la te sheng	60-8388-S
la te si	49-26726-S
la te zhong qi	40-36042-S
la tie	29-7295-S
la tu	22-58750-S,33-41049-S
la tu dou si	63-45485-S
la tu zhe xue	33-41115-S
la tu zhu yi	30-49944-S
la wa	4-58660-S,16-17286-S,66-4755-S
la wei	65-66137-S,69-38376-S
la wei e	15-68766-S
la wei fu	41-59162-S
la wei xi	55-39143-S
la wen	22-21757-S
la xian	9-67033-S
la xiang guan	56-21295-B
la xin	31-27342-S
la xiong	51-33362-S
la ya	14-9735-S,31-48221-S
la ya shan	14-9800-S
la ya shan mai	14-9873-S
la ya zu	57-17540-S
la yi	54-9230-S
la yi nan	29-6486-S
la yi nan Fei zhou	29-6560-S
la yi sheng	14-31146-S
la yu	12-2051-S,19-10475-S,22-21886-S
la yue	52-53466-B
la za lu	27-21491-B
la zhi	19-23239-S,27-21311-B,56-21452-B,61-34495-B
la zhu	56-21375-B
la zi	44-43223-S
la zi mu	22-21691-S
la zu	22-5239-S,29-7216-S
la zu zi zhi xian	24-16956-S
la · Duo jie · Ren bo qie	14-38343-S
la1	3-8824-S,4-48873-S,4-49962-S,6-27608-S,7-15231-S,7-16040-S,8-15978-S,10-55396-S,10-57908-S,11-14092-S,11-14593-S,11-15350-S,11-15488-S,11-15865-S,11-22122-S,13-44550-S,13-49934-S,13-50466-S,13-66214-B,14-1247-S,14-4254-B,14-31033-S,14-31238-S,14-38289-S,15-49979-S,15-50049-S,15-52772-S,15-60488-S,16-7777-S,16-17513-S,17-7289-S,18-40913-S,19-10190-S,19-24989-S,19-25372-S,19-25940-S,19-29226-S,22-4737-S,22-14293-S,22-16936-S,23-44103-S,26-28096-S,26-40212-S,27-20397-B,27-22099-S,27-36573-S,27-36678-S,29-838-S,29-6438-S,29-7165-S,31-48167-S,32-14557-S,33-45540-S,33-65865-S,35-27905-S,35-30783-S,36-13973-S,37-15855-S,37-31693-S,39-57938-S,41-59583-S,43-9693-S,47-21539-S,47-28127-S,48-45476-S,50-3321-S,50-58075-S,53-45073-S,54-63258-S,55-47207-S,56-1775-S,57-17598-S,57-65430-S,58-56801-S,59-29672-S,59-53679-S,60-7959-S,60-8183-S,65-65973-S,65-67153-S,65-68417-S,65-68483-S,66-5622-S,66-7787-S,66-10589-S,67-42379-S,67-50190-S,69-25740-S,69-36069-S,69-38060-S
la1 Da4 xue2	69-36142-S
la1 Hai3	66-4028-S
la1 Meng3 gu3 zi4 zhi4 zhou1	11-8497-S
la1 Te4 li4 qun2 dao3	30-41106-S
la1 Wan1	19-10406-S
la1 ba1 ge1 si1	9-55984-S
la1 ba1 ge1 si1 qun2 dao3	9-56056-S
la1 ba1 ma3	3-59288-S,66-3959-S
la1 ba1 ma3 zhou1	3-59347-S
la1 ba1 shui3 xian1	14-4367-B
la1 ba1 si1	22-5986-S
la1 ban1 te4	10-35792-S
la1 bang1	14-2317-S,19-28079-S,57-15334-S,69-35022-S
la1 bi3	27-24023-B
la1 bi3 la1	11-14593-S
la1 bing4 du2	15-57686-S
la1 bo1 wa2	54-22162-S
la1 bo2	37-16917-S,66-2603-S,69-38157-S
la1 bo2 Guo2 jia1 Lian2 meng2	66-2895-S
la1 bo2 Hai3	66-3149-S
la1 bo2 Lian2 he2 Qiu2 chang2 guo2	66-3290-S
la1 bo2 ban4 dao3	66-2815-S
la1 bo2 jiao1	66-3414-S
la1 bo2 la1	57-65430-S
la1 bo2 ren2	66-2736-S
la1 bo2 shi4 jie4	66-2663-S
la1 bo2 shu4 zi4	66-2993-S
la1 bo2 tang2	66-3212-S
la1 bo2 wen2	66-3070-S
la1 bo2 yu3	66-3489-S
la1 bu4	32-67783-S
la1 bu4 la1 duo1	49-19731-S
la1 cha2	27-25288-B
la1 chai2 wei2 er3	22-15427-S
la1 chang2	27-26325-B
la1 chang2 lian3	27-26394-B
la1 che1	26-33399-S
la1 ci2	33-66113-S
la1 dao3	27-21200-B
la1 de2	27-22920-B,33-34115-S
la1 de2 ba1 he4	65-23656-S
la1 di1 cao3 yuan2	63-16625-S
la1 di2	22-6078-S
la1 di2 si1 la1 fa1	22-15598-S
la1 di2 wo4 si1 tuo1 ke4	48-6575-S,48-6722-S
la1 di3	22-54436-S,55-39556-S
la1 di3 he2	22-54514-S
la1 di3 he2 gu3	22-54592-S
la1 di4	37-31842-S
la1 di4 si1 la1 wa3	4-58660-S
la1 ding1	27-20471-B,66-2477-S
la1 ding1 fang1 kuai4	27-20863-B
la1 ding1 wen2	27-20707-B
la1 ding1 wu3	27-21018-B
la1 ding1 zi4 fu2	67-65112-S
la1 du4 zi5	27-25179-B
la1 dui4	13-66395-S,27-23084-S
la1 dui4 zhang3	13-66477-S
la1 duo1	23-61384-S,27-22682-S,47-21084-S,49-19731-S,53-37028-S
la1 duo1 da4 xia2 gu3	47-21146-S
la1 duo1 zhou1	47-21258-S
la1 er3	12-597-S,26-4627-S,38-19832-S,40-35811-S,66-4502-S
la1 er3 Wu3 shi4	13-38545-S
la1 er3 jiao3	11-16207-S
la1 er3 shan1	40-35881-S
la1 er3 shan1 mai4	40-35963-S
la1 er3 shi4	66-4623-S
la1 fa1	22-15598-S
la1 fa3 er3 jia1	41-58976-S
la1 fa3 er3 jia1 guang3 chang3	41-59048-S
la1 fa3 ge2	27-24126-B
la1 fa3 te4	3-63858-S,66-4378-S
la1 fan2	16-19808-S
la1 feng1	13-50775-S
la1 fu1	10-71890-S,27-21804-B,30-40659-S,47-37622-S
la1 fu1 qiu1 ke4	7-16145-S
la1 fu1 yu3	30-40707-S
la1 fu2 la1 Hai3	66-4028-S
la1 fu2 shi4 jun1	15-31037-S
la1 gan1 shan1 mai4	66-2527-S
la1 ge1 sa4	55-24408-S
la1 ge2	22-15522-S
la1 ge5 shou3	27-21144-B
la1 gong1	22-18105-S
la1 gong4 he2 guo2	19-10252-S
la1 gou1	27-26092-B
la1 gou3	12-10588-S
la1 gou4 r5	27-21394-B
la1 gu3	30-608-S
la1 gua1	21-12822-S
la1 guan1 xi4	27-26553-B
la1 guan4	31-27966-S
la1 gui1	22-5858-S,40-35761-S
la1 guo2	19-10340-S
la1 ha1 la1	43-9693-S
la1 han3	3-57778-S,9-56274-S
la1 han4 mu3	33-65978-S
la1 he2 ma3	5-31658-S
la1 he2 ma3 cheng2	5-31727-S
la1 he2 ma3 zhou1	5-31814-S,18-12557-S
la1 hu2 lu5	26-33323-S
la1 hu4 zu2 zi4 zhi4 xian4	40-17048-S
la1 hua2	41-59238-S
la1 hua2 zhou1	41-59289-S
la1 ji1	15-55867-B,27-36628-S
la1 ji1 che1	15-56124-B
la1 ji1 dian4 you2	15-56285-B
la1 ji1 lie4 fu1	22-5909-S
la1 ji1 mi3 er3	23-31752-S
la1 ji1 na5	11-14433-S
la1 ji1 shu1	43-1084-S
la1 ji1 tong3	15-55959-B,15-56014-B
la1 ji1 xiang1	15-56068-B
la1 ji1 you2 jian4	15-56199-B
la1 ji2 dui1	15-55904-B
la1 ji4	4-37755-S
la1 ji4 ya4	43-1025-S
la1 jia1	69-38107-S
la1 jia1 dai4 kou3	27-22306-B
la1 jia1 si1	9-55810-S
la1 jiang4	37-31468-S,53-45177-S
la1 jin3	27-25002-B
la1 ju4	27-26206-B
la1 ka1 la1	14-1247-S
la1 kai1	27-26469-B
la1 kai1 bo1	69-38425-S
la1 ke1 fu1	7-16709-S
la1 ke4	4-48756-S,7-16084-S,8-30344-S,22-20466-S,42-5859-S,47-37453-S
la1 ke4 li4 te4	60-8234-S
la1 ke4 luo2 wa3	24-26826-S
la1 ke4 shen2	69-38236-S
la1 ke4 tuo1 huo3 shan1	14-2117-S
la1 kun1 lun2 shan1	14-1312-S,14-2232-S
la1 la1	10-55396-S,13-44550-S,14-31238-S,27-36678-S,47-28127-S
la1 la1 bang1	14-2317-S
la1 la1 dui4	13-66395-B,27-23084-B
la1 la1 dui4 zhang3	13-66477-B
la1 lai2 si1	54-25535-S
la1 lei2	13-38626-S
la1 li3	22-20536-S,27-25601-B
la1 li4	27-21355-B,37-31730-S
la1 li4 ang2	16-19899-S
la1 lian4	27-26285-B
la1 long3	27-23277-B
la1 ma3	43-9767-S
la1 ma3 gan1	16-16240-S
la1 ma3 gan1 sha1 mo4	16-16121-S
la1 ma3 gan4	16-16031-S
la1 ma3 li3 bo2	22-22722-S
la1 ma3 nao3 yan2 bing4 du2	18-40977-S
la1 ma3 shan1	43-9870-S
la1 ma3 yi1	7-16434-S
la1 ma3 yi1 shi4	7-16566-S
la1 ma3 zuo3 fu1 xiong1 di4	11-14667-S
la1 man4 ka3	54-42588-S
la1 men2	24-26908-S
la1 meng3 ying3	38-1015-S
la1 mi3	59-29710-S
la1 mi3 su1	28-39213-S
la1 mi3 yu3	66-4811-S
la1 mian4	27-26962-B,41-48500-S
la1 mo2	66-4101-S
la1 mo2 he2	39-57989-S
la1 mu3	62-54869-S
la1 mu3 Meng3 hu3 Jie3 fang4 Zu3 zhi1	37-47718-S
la1 mu3 chang1 de2	11-14511-S
la1 mu3 si1	9-65399-S
la1 mu4	51-67769-S
la1 mu4 tu2	66-4321-S
la1 na1 lie4	27-25996-B
la1 na4	15-40859-S
la1 na4 da2	33-66054-S
la1 na4 ka3	27-24936-B
la1 ou1 kei1	11-14135-S
la1 pa4 ge1 si1 qun2 dao3	9-56158-S
la1 pi2	71-36327-S
la1 pi2 tiao2	27-24690-B
la1 piao4	27-24759-B
la1 ping2	27-22821-B
la1 pu4 bu4	21-12493-S
la1 qi2	11-14373-S
la1 qi4 ya4	66-1255-S
la1 qin4	14-1413-S
la1 qin4 qi2	14-1703-S
la1 qin4 zuo3 yi4 Meng3 gu3 zu2 zi4 zhi4 xian4	14-1512-S
la1 qing1 ge2	27-26659-B
la1 quan1	13-18920-S
la1 qun2 dao3	69-37437-S
la1 re4 wo1	55-24468-S
la1 ren2	11-22184-S
la1 sa3 lu4	27-23199-B
la1 se4 er3 shi4	22-22592-S
la1 sha1 bing4 du2	27-24060-B
la1 sha1 mo4	29-6664-S
la1 shan1	13-50555-S,22-18165-S
la1 shan1 kou3	3-8938-S
la1 shan1 mai4	13-50657-S
la1 shan1 xi4	47-21601-S
la1 shan4	66-3557-S
la1 shan4 meng2	66-3809-S
la1 shan4 you4 qi2	66-3611-S
la1 shan4 zuo3 qi2	66-3709-S
la1 sheng4	37-31779-S
la1 shi1 te4 la1 bang1	69-35022-S
la1 shi2 ni2 ke1 fu1	11-14263-S
la1 shi3	27-22436-B
la1 shou3	27-22975-B
la1 shou5	27-23023-B
la1 si1	27-23758-S,37-62157-S,43-55532-S,50-4014-S,62-53585-S,63-27348-S,66-4147-S,66-9181-S,69-37369-S
la1 si1 bao3	30-41745-S
la1 si1 ge1	33-65919-S
la1 si1 jia1	7-27972-S,66-4193-S
la1 si1 jia1 zhou1	7-28044-S,66-4251-S
la1 si1 nuo4 da2 er3	7-16335-S
la1 si1 nuo4 ya4 er3 si1 ke4	7-16231-S
la1 si4	53-45110-S
la1 ta3 si1	66-3875-S
la1 ta5	63-14179-B
la1 tai4 shu1	9-55894-S
la1 te4	15-58734-S,54-63735-S,60-8319-S
la1 te4 bang1	12-690-S,12-1262-S
la1 te4 hou4 qi2	40-36258-S
la1 te4 qi2	62-53633-S
la1 te4 qian2 qi2	40-36151-S
la1 te4 sheng3	60-8388-S
la1 te4 si1	49-26726-S
la1 te4 zhong1 qi2	40-36042-S
la1 tie3	29-7295-S
la1 tu2	22-58750-S,33-41049-S
la1 tu2 zhe2 xue2	33-41115-S
la1 tu2 zhu3 yi4	30-49944-S
la1 wa3	4-58660-S,16-17286-S,66-4755-S
la1 wei1 xi1	55-39143-S
la1 wei2	65-66137-S,69-38376-S
la1 wei2 e4	15-68766-S
la1 wei2 fu1	41-59162-S
la1 xin1	31-27342-S
la1 xiong2	51-33362-S
la1 ya3	14-9735-S
la1 ya3 shan1	14-9800-S
la1 ya3 shan1 mai4	14-9873-S
la1 ya3 zu2	57-17540-S
la1 ya4	31-48221-S
la1 yi1	54-9230-S
la1 yi1 sheng1	14-31146-S
la1 yi3 nan2	29-6486-S
la1 yi3 nan2 Fei1 zhou1	29-6560-S
la1 yu3	19-10475-S
la1 za1 lu4	27-21491-B
la1 zhi4	19-23239-S,27-21311-B
la1 zu2	22-5239-S,29-7216-S
la1 zu2 zi4 zhi4 xian4	24-16956-S
la1 · Duo1 jie2 · Ren2 bo1 qie4	14-38343-S
la2	9-17736-B,21-29820-S,31-16820-S,31-16955-B,41-43816-S,46-37631-B
la2 ding1	32-67922-S,49-30511-S
la2 la4	34-39670-S
la2 r5	31-16891-S
la2 song1	69-38317-S
la2 zi5	44-43223-S
la3	14-4285-B,14-37976-S
la3 ba5	13-5362-S,14-4317-B
la3 ba5 hua1	14-4431-B
la3 ma5	62-55482-S
la4	2-82282-S,9-17766-B,12-1995-S,13-38697-S,22-21653-S,24-22089-S,25-24000-S,34-36144-S,34-39670-S,41-27480-S,44-17433-B,44-45935-S,45-44445-S,46-8019-S,46-10319-S,49-26404-S,51-30940-S,51-39886-S,52-35969-B,52-53419-B,54-48923-B,55-41935-S,55-42130-S,56-3461-S,56-8531-B,56-21263-B,61-33382-S,61-34068-B,63-45191-S,64-1435-S,65-7104-B,67-57557-S,70-27822-B
la4 bi3	56-21414-B,61-34265-B
la4 chang2	52-53518-B
la4 dao3	55-42027-S
la4 de5 la4 jiao1 jiang4	34-36186-S
la4 gen1	61-34319-B
la4 gu3	56-8563-B
la4 hei1	9-16665-S
la4 jiang4	63-45661-S
la4 jiao1	49-13582-S,61-34370-B,69-30815-S
la4 jiao1 fen3	49-13648-S
la4 jiao1 jiang4	34-36186-S,61-34420-B
la4 qiang1 tou2	64-27180-S
la4 shen2 hua4	22-21816-S
la4 tang1	63-45578-S
la4 tu3 dou4 si1	63-45485-S
la4 wen2	22-21757-S
la4 xian4	9-67033-S
la4 xiang4 guan3	56-21295-B
la4 yu3	12-2051-S,22-21886-S
la4 yue4	52-53466-B
la4 zhi1	61-34495-B
la4 zhi4	56-21452-B
la4 zhu2	56-21375-B
la4 zi4 mu3	22-21691-S
la5	8-65146-S,9-40969-S,13-66256-B,14-31103-S,26-57016-S,39-57075-S,68-8128-B
