free and unconstrained	60-34302-B,60-34750-B,60-35009-B
from the horizontal or vertical	6-48033-S
from the husk	53-21265-S
from the imperial throne applies esp to empress dowager or regent	52-58504-S
from the jaws of defeat	61-24800-S
from the jaws of victory	9-49161-S
from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
from the masses and from reality and act blindly	65-28919-S
from the masses 成语 saw	53-22610-S
from the mid 19th to early 20th century	61-47442-S
from the military	61-62234-S
from the mountain and the sea 成语 saw	21-31655-S
from the mouth of sb	29-27198-S
from the narnia chronicles	55-40249-S,66-5546-S,67-47748-S
from the old	28-33047-S
from the origin in polar coordinates	34-35027-S
from the outside	5-61850-S,11-55406-S,16-50514-S,24-11253-S,24-11253-S
from the party and from administrative post	67-2267-S
from the past	43-48920-S
from the peasant	11-26321-S
from the pre han period	12-55609-S
from the previous night	20-405-S
from the pu er region of yunnan	31-50121-S
from the qing beiyang army 北洋軍閥 北洋军阀 after the xinhai revolution of 1911	10-32958-S
from the rear	4-26405-S,26-64201-S
from the right person	28-34984-S
from the rising moon	32-52078-S
from the rooftops	26-24834-S
from the same country	7-32440-S
from the same hometown	51-31295-S
from the same hymn sheet	1-24039-S,49-50978-S
from the same village	12-52308-S,63-29806-S,63-30526-S
from the scene of a crime	61-64325-S
from the sea	26-44926-S,38-26494-S
from the sea 成语 saw	17-25213-S
from the sheep s back 成语 saw	36-13471-S,50-64323-S
from the shelves e g a contaminated product	1-60459-S
from the start	24-12223-B
from the surface	66-47656-S
from the swim bladder of fish	70-37792-S
from the table of one s master	13-57209-S
from the tang dynasty onwards	12-23958-S
from the tang onwards	51-19939-S
from the vatican	30-2641-S
from the water 成语 saw	53-50235-S
from the western han former han	38-47146-S
from the wind	63-8183-S
from the wind and rain	62-67070-S
from the world	2-42702-S,32-26426-S,66-40679-S,66-50274-S
from the year dot	32-2769-B
from them	8-4474-S
from then on	14-25381-B,15-35859-B
from this	43-38876-B,43-38925-B,66-22485-S
from tibet	35-8927-S,36-17604-S,36-17713-S
from time immemorial	53-3410-B
from time to time	31-38969-B,31-40793-S
from top to bottom	24-29757-B
from topside	27-10238-S
from trouble	8-44147-S,63-8183-S
from two sides	17-70559-S,17-70627-S
from unlettered soldier to top strategist of wu	12-69308-S
from use e g and obsolete product	61-62234-S
from various places	29-42892-S
from vedic astronomy sanskrit ketu	57-60638-S
from vegetables	34-40189-S
from vegetarian diet	54-30065-S
from venus	64-11165-S
from verb	24-60540-S
from vermont	6-27170-S
from vertical	6-49185-S
from view	2-2851-S,30-24969-S
from voting	34-18371-S
from well	36-64526-S
from western fantasy fiction	70-35824-S
from what i can see	29-24191-B
from wheat 成语 saw	2-32857-S
from wherever you like	66-43312-B
from widespread suggestions	66-57782-S
from work	37-8829-S,61-61690-S
from worry	19-27130-S,53-31131-S
from wu is terrified by the moon	13-1091-S
from wu or from south china more generally	13-2063-S
from years back 成语 saw	66-40276-S
from yeast	49-10166-S
from yingde 英德	54-4168-S
from your left	58-21543-S
from yuan	30-8514-S
from zero	67-21480-B
from 劉宋 刘宋 song of southern dynasties 420 479	60-29569-S
fromm psychoanalyst	23-31929-B
front	4-13536-S,5-61773-S,6-10251-S,9-17803-S,9-17803-B,9-18344-S,9-21084-S,9-22653-B,9-22780-S,9-24288-S,9-25002-B,9-26017-S,9-26083-S,22-61955-S,26-20067-B,34-6173-S,35-40295-B,39-11549-S,42-46848-S,49-51144-S,52-62237-S,60-37642-B,61-5949-S,64-38450-S,66-20845-B,67-62336-S,68-33459-S,68-40096-S,68-45593-S
front abbr for 統一戰線 统一战线	49-51985-S
front and sides	61-4992-S
front and the tiger behind 成语 saw	9-20196-S
front between guomindang and communist party	15-2463-S
front chamber of the eye	9-20394-S
front courtyard	9-19812-B
front cover of a magazine	20-34396-S
front department	49-52085-S
front desk	9-23167-B,35-16422-B
front door	42-28502-B
front end	9-21501-B,9-22653-B
front for the liberation of palestine	57-49282-S
front i e militant group	66-21076-S
front in a war	7-40797-S
front line	9-22780-B,9-25768-B,23-68391-S,29-47813-S
front nose of a plane etc	35-6063-S
front of	9-25002-S,60-37642-S,68-1225-S
front of a monkey	36-1705-S
front of a robe	57-11751-S
front of a temple	69-28626-S
front of carriage	22-36448-S
front of clothes	57-10590-S
front of everybody	43-67915-S
front of one s eyes	45-49024-S
front of places	54-36125-S
front of the belly	52-44972-S
front of the door	65-21509-S
front of the stage	12-18009-S
front of the temple	56-9267-S
front of theatrical stage	9-23167-B
front page	15-36707-S,68-38504-S,69-24468-B
front part	9-25143-B
front plaform	9-23167-B
front ranking	1-13950-B
front room of house serving as shop	64-38508-B
front section	9-25143-B
front segment	9-21501-B
front side	9-25002-S
front teeth	14-23919-S
front tooth	33-30633-B
front upper	1-46533-B
front wheel	7-42107-B
front wheel drive	7-42153-B
front window	64-38450-B
front wing of insect	9-22930-B
front work department	49-51214-S
frontal attack brush movement in painting	35-39311-B
frontal bone forehead	68-44401-B
frontal lobe	68-44318-B
frontier	15-1516-B,15-3629-B,26-6574-S,56-55909-B,57-23833-S,63-11582-B,63-12576-B,63-12852-S,63-13280-S,63-13515-S,63-13879-B,66-26201-B,69-59132-S
frontier area	65-39057-S
frontier army	63-13806-B
frontier defense	63-13606-B
frontier fortress	63-11530-B
frontier post	63-13658-B
frontier region	63-12576-B
frontier stockade	63-11694-B
frontiers	63-12253-S
frontières	40-48729-S
frontières msf charity	40-48955-S
frontline	1-18080-B
frost	31-15800-S,67-14095-B,67-44343-B,67-44374-B,68-58952-S
frost and dew	67-44932-B
frost damage to crop	67-44374-B,67-44505-B,67-44762-B
frost descends	67-44864-S
frost free period	40-64113-B
frostbite	8-27354-B,67-44505-B
frosted e g glass	46-40175-B
frosty	67-44821-B
frosty morning	67-44574-B
frosty sky	67-44440-B
froth	39-47249-B
frown	45-1164-S,68-48658-B
frowning and worried 成语 saw	25-27478-B
frozen	8-20331-B,37-8226-B
frozen earth	8-27153-B
frozen eggs	8-19723-B
frozen river in spring	65-38271-S
frozen stiff	8-27290-B
frozen wastes	54-17375-B
fructose	33-37726-B
fructose corn syrup hfcs	70-16064-S
frugal	6-55047-B,10-8363-S,10-9389-S,40-8922-B,45-32944-B,45-33326-B,48-29699-B
frugally	45-33672-S,48-30075-S
fruit	3-24728-S,6-31415-S,17-23127-S,17-41573-S,18-1248-S,20-11839-B,23-51549-S,33-31676-S,33-35566-B,33-35852-B,33-36113-B,33-36199-S,33-36320-B,33-37661-S,33-37807-S,33-49862-S,34-19617-S,34-25082-B,34-42363-S,34-42468-S,34-42559-S,34-42664-S,35-11190-B,36-41913-B,40-25204-S,40-54677-S,41-14877-S,42-26635-S,43-10209-S,43-57116-S,44-58355-S,44-58355-S,44-58431-S,44-58431-S,47-718-S,49-10626-S,49-10688-S,49-39832-S,49-40238-S,49-40860-S,49-41989-S,52-5178-S,52-11302-S,52-11883-S,52-35045-S,54-30826-S,54-61050-S,55-9256-S,55-10984-S,56-51683-S,56-51797-S,63-45142-S,64-11341-S,69-26092-S
fruit bat pteroptidae	42-6787-B
fruit dimocarpus longan	71-61260-S
fruit dispersal	33-36365-B
fruit drink	33-36267-B
fruit etc	46-30857-S
fruit evolutionary strategy for seed dispersal	33-36583-S
fruit farmer	33-37983-B
fruit fly	33-37939-B
fruit ingredients for cakes and desserts	33-36745-B
fruit juice	33-37018-B
fruit kernel	33-35683-B
fruit litchi chinensis sonn 	54-18815-S
fruit of chinese wolfberry lycium chinense	33-40184-B
fruit of mulberry	34-26793-B,54-56611-B,54-56651-B
fruit of plants not of trees	55-6726-B
fruit of siraitia grosvenorii formerly momordica grosvenori	50-60255-S
fruit or cotton bolls	65-41441-S
fruit peel	33-37568-B
fruit picking	28-21356-B
fruit tree	33-36931-B,33-36974-B,34-28123-S
fruitful	10-63267-B,43-33204-B
fruitful outcome to reward one s labor	57-62522-S
fruiting season	33-36879-S
fruitless	2-24439-B
fruits	40-18831-S,48-44796-S,67-4808-S
fruits and nuts	33-36437-S
fruits and vegetables	70-43468-S
fruits e g oranges	7-30272-S
fruits nuts etc	3-24728-S
frumentaceum	47-38096-S
frustrated	17-65264-B,39-62272-B
frustratedly	24-50992-B
frustration	27-70007-B,45-42786-S
frustrations and dashed hopes	15-49160-S
frutescens	49-29825-S
frutescens chinese basil or wild red basil	55-37341-S
fry	37-22988-S,40-28927-S,40-28927-S,40-30857-S,41-1428-S,41-1472-S,41-14556-S,41-29352-S,43-35709-B
fry before broilng or stewing	41-10757-S
fry in fat or oil	41-5354-S
fry predict the ambitions of the great	41-29558-S
fry then cook with sauce and water	41-14374-S
fryer	37-23697-S
frying	41-14556-S
frying a possible health hazard	14-58183-S
frying oil	41-1513-B
frying pan	40-29202-B,65-5613-B
frying pan into the fire	63-6336-S
frying plaited dough	71-15415-S
frédéric chopin composer	55-17155-B
ftp	35-11535-S
fu	4-53149-S,6-25303-S,9-48352-S,20-6499-S,24-4404-S,47-2688-S,48-5931-S,61-33767-S
fu 1853 1921	14-41828-S
fu 1961 	33-5914-S
fu 712 770	33-9714-S
fu an city in fujian	47-3496-S
fu county in shaanxi	20-7833-B
fu hsi	4-54469-B,4-54512-S
fu mingxia	4-53676-B
fu nan place in anhui	65-58299-S
fu s thatched cottage in chengdu	33-9761-S
fu shuo c 14th century bc	6-25709-B
fu xi 伏羲	18-56674-S,22-61312-S
fu zuoyi	6-25341-B
fu2 rong2	53-50111-S,55-4877-S
fu4	45-52174-S
fucheng 1838 1894	55-22557-S
fucheng place in hebei	65-58359-S
fuchengmen neighborhood of beijing	65-58609-B
fuchi	10-52554-S
fuchow	47-3917-S,47-4060-S
fuchuan yaozu autonomous county in guangxi	20-7039-B
fuciformis	64-28524-S
fuck	7-25595-S,21-20662-S,29-21314-S,52-7898-S,52-7945-S,52-7985-B
fuck slang	22-52002-S
fuck you	6-50960-B
fucking	4-25180-B
fudan university shanghai	24-14520-B
fuding place in fujian	47-6140-S
fuego	57-9073-S
fuel	3-11626-S,10-44917-S,17-50834-S,33-50904-S,33-59773-S,38-37255-S,41-23664-B,41-24319-S,41-24682-S,55-14972-B,55-26664-B
fuel burnup	33-60107-S
fuel cell	41-24146-B
fuel consumption	37-23350-B,51-38327-B
fuel cycle	33-60021-S,41-23793-B
fuel depot	37-22295-B
fuel economy	48-29394-B
fuel element	11-48563-B,33-59830-S
fuel fabrication	41-23915-B
fuel farm	37-22295-B
fuel mox	38-54033-S
fuel oil	41-23861-B,41-24213-B
fuel pellets	41-23986-B
fuel pins	41-23703-B
fuel processing plant	41-24056-B
fuel reprocessing	33-59919-S
fuel rods	3-11766-S,34-14303-B
fuel storage	3-11681-S
fuel tanker	37-23276-B
fuel to the fire	28-31265-S
fuels	46-44811-S
fufeng place in shaanxi	26-56508-S
fugitive	3-65840-B,39-44860-B,39-44979-B,61-64498-S
fugitives	28-56184-S,62-38-S
fugong place in yunnan	47-5900-S
fugou place in henan	26-56171-S
fugu place in shaanxi	22-63283-S
fugu pufferfish	37-21346-B
fugue	59-59530-B
fuguensis early giraffe	21-33037-S
fugui	71-21469-S
fugui 黃父鬼 黄父鬼	9-42721-S
fuhai place in xinjiang	47-5040-S
fuhsing village in taiwan	24-15741-S,47-5822-S
fuji japanese company	20-6800-B
fuji japanese mountain	20-6856-B
fujia 1936 	34-29062-S
fujian	1-35154-S,1-35228-S,4-29724-S,4-29783-S,10-69180-S,10-70885-S,10-70959-S,10-71055-S,11-5492-S,12-4367-S,12-46496-S,13-11617-S,16-38392-S,19-30655-S,20-16561-S,20-17478-S,20-17550-S,20-17631-S,20-37038-S,21-8323-S,21-21084-S,21-41360-S,22-37950-S,22-43560-S,23-20856-S,23-23012-S,24-24470-S,25-17560-S,29-53992-S,31-25455-S,31-43855-S,31-43920-S,33-17670-S,33-44880-S,35-25575-S,35-45452-S,35-45551-S,36-50134-S,36-51641-S,36-51905-S,37-17462-S,37-28304-S,37-28380-S,37-46281-S,38-9706-S,38-62996-S,39-54669-S,39-54747-S,39-55014-S,46-9121-S,47-3496-S,47-5102-S,47-6140-S,50-60054-S,54-20769-S,54-20841-S,54-20935-S,54-33528-S,58-6831-S,62-22661-S,63-19896-S,65-15864-S,65-17073-S,65-48731-S,65-48890-S,65-48949-S,67-19248-S,67-45174-S,68-24917-S,69-40486-S,70-26617-S,71-58851-S,71-58925-S,71-59021-S,71-60154-S
fujian coast	64-16882-S,64-16961-S
fujian drama	55-21059-B
fujian province	17-28386-S
fujian province fukien in east china	47-4262-B,47-4334-B
fujian province in east china	47-3917-S,47-4060-S
fujian white crane martial art	44-49883-S
fujian 福建 province	47-2688-S,65-48676-S
fujimori 1938 	55-32953-S
fujimori name	55-32953-B
fujin city in heilongjiang	20-8507-S
fujitsu	20-6925-B
fujizawa city in kanagawa province	55-33035-B
fujizawa japanese name	55-33035-B
fuju 1890 1938	68-12112-S
fujun	69-38875-S
fukang city in xinjiang	65-58546-S
fukien in east china	47-4262-S,47-4334-S
fukuda yasuo 1936 	47-5695-B
fukuoka	47-3732-B
fukuoka prefecture	47-3773-B
fukushima prefecture in north japan	47-3837-B
fukuzawa yukichi 1835 1901	47-5207-B
fulbright scholarship	20-7170-B
fulcrum	9-45980-B,34-57141-B,34-57224-B
fulcrum for a lever	29-39700-B
fulcrum to the line of force	9-47121-S
fulfil one s obligations	17-66856-S
fulfill	6-63984-B,20-15436-S,39-35164-S,54-49558-B,60-49654-B
fulfill a promise	60-47088-B
fulfill conditions or requirements	8-4727-S
fulfill one s filial duties of mourning	39-37830-S,39-39032-S
fulfill one s obligations	21-26473-S
fulfill the quota	39-41954-S
fulfilling	62-47552-B
fuli village in taiwan	20-8434-S
fuliang county in jingdezhen 景德鎮 景德镇	38-13374-B,38-13457-B
fulin emperor shunzhi 1638 1662	68-25873-B
fuling	44-49972-S
fuling city in sichuan	38-36914-S
fuling district district in sichuan	38-36976-S
full	4-27614-S,6-63984-B,6-64150-B,6-64469-B,6-65502-S,15-22671-S,15-24176-S,18-62386-B,23-46452-B,23-50522-B,30-15382-B,38-9130-B,38-58897-S,39-39701-S,39-39932-S,39-40006-S,43-54040-B,45-2042-B,45-3423-B,45-8447-S,47-30979-B,58-17049-S,62-47434-S,63-10415-S,69-7198-S,69-7831-B,69-8881-S,69-20833-S
full account	66-27803-S
full after eating	69-8467-S
full amount	39-41954-S
full and accurate	58-16852-B
full arm method of painting	20-14621-B
full as of eating	69-5104-B
full bloom	7-40006-S
full bodied	59-21750-B
full circle	49-36835-S,62-27819-S
full color	7-41349-B
full complement	7-36061-B,39-36403-B
full detail	1-1470-S
full dress	47-8607-B
full flavoured	63-51155-B
full flower	45-6298-S
full force	7-34145-S
full force of a gang of villains	6-47487-S
full grain	20-66992-S
full length drama	16-56950-B
full light of day 成语 saw	7-7890-S
full marks	39-35571-B
full membership	61-25280-S
full moon	23-51343-B,31-55953-S,32-45379-B,32-46281-S,39-38947-B,45-2085-B
full moon after birth i e entering the second month	23-51343-S
full name	7-40630-B
full of	6-65122-S,6-65502-B,20-6536-S,20-7544-B,39-38483-B
full of care	47-57231-S
full of complaints 成语 saw	39-40576-S
full of craft and cunning	58-15062-B
full of devilish tricks and cunning stratagems 成语 saw	70-32107-B
full of disappointments and dashed hopes	15-49273-S
full of emotion	69-7394-S
full of energy	48-55736-B
full of enthusiasm	39-40439-B,48-55736-S
full of extraordinary things	40-49341-B
full of fragence used on dragonboat festival	69-24970-S
full of frustrations and dashed hopes	15-49160-B
full of grievances	25-24717-S
full of hatred and jealousy	71-30083-S
full of joy	39-40366-B
full of joy and expectations	53-23015-B
full of joy 成语 saw	14-8688-B
full of life	55-13126-S
full of literary phrases	39-35763-S
full of mistakes of speech or article	39-44617-B
full of mistakes of speech or written article	46-19461-S
full of noble aspiration and daring	36-30814-B
full of oneself	69-57302-B
full of political wisdom 成语 saw	39-40715-B
full of pot holes	15-52021-B
full of power and grandeur	66-52977-B
full of sap 成语 saw	56-26017-B
full of stains or spots	30-32568-B
full of stars	50-37574-S
full of sth	1-22700-S
full of stratagems	60-32538-B
full of tender feelings	39-21634-S
full of the delights of spring	33-50232-S
full of vigor	35-31560-B,35-31878-B,36-28414-B
full of vitality	55-7458-B
full of vitality 成语 saw	71-62782-S
full of water	40-2280-B,40-16768-B
full of wisdom 成语 saw	48-55910-B
full of youthful energy 成语 saw	32-48361-B
full of zest	53-25213-S
full over a long period	69-7677-S
full page proofs of newspaper	17-23036-B
full period	31-15984-B
full picture i e the whole situation	7-41540-S
full powers	7-37962-B
full price	32-58392-B,39-40126-S
full priced ticket	7-40495-B
full rudder	39-40965-S
full sail	39-38121-S
full scale reconstruction is under way	44-53683-B
full speed	7-42227-S
full stand of seedlings	5-38969-S
full stomach	69-7607-S
full strength	6-47614-S,7-34261-B,39-36403-S,56-59596-S
full swing	21-23049-S
full text search	7-36942-B
full then party breaks up	6-56311-S
full time	20-37821-B,39-42022-S
full time attendance at work	7-34543-B
full time care of children in a boarding nursery	7-41455-B
full time job	7-41103-B
full time to a task	20-41046-S
full time work	7-37493-B,7-37622-B
full to bursting	41-34374-B
full to capacity	39-41373-B
full up	39-40084-B
full use of	44-29458-S
full view	7-41627-B,23-51446-S
full view as a panorama	45-49024-S
full working hours	39-42022-B
full works e g a banquet	39-40126-S
full year	31-16088-B,31-16363-B
fullback	24-1307-B
fullest	4-14809-S,4-14927-S,69-7338-S
fullness of time	3-9791-S
fullness of time a major figure will develop into a pillar of the state	17-10568-S
fully	15-53526-S,24-29595-S,30-65464-S,69-7677-S
fully armed	7-34037-B
fully aware	24-29595-B
fully booked	39-38266-B,57-56704-S
fully deserving	43-65252-B
fully displaying one s capabilities	17-40926-S
fully engaged	7-34145-B
fully equipped	7-34037-S
fully experience good or bad	6-28404-S
fully expressed oneself	25-29685-S
fully fledged	51-16271-B
fully formed	26-12714-B
fully grown	47-21950-S
fully grown pig	59-22818-B
fully hydrated copper aluminium phosphate	33-28374-S
fully justified reputation	12-53496-S
fully loaded	39-41373-B
fully manned	7-34811-B
fully occupied	40-54530-B
fully on sth	39-59007-S
fully rounded	59-20875-B
fully support	7-34261-B
fully understand	23-24061-S
fulva	64-15926-S,71-22507-S
fumes	41-4297-B,53-16380-B,71-5742-S
fumes from sacrifice	40-44078-B
fumigant insecticide or disinfectant	41-33926-B
fumigate	40-34293-S,41-12650-B,41-33797-B,41-33882-B
fumimaro 1891 	61-48764-S
fumin county	20-7589-B,20-7634-B
fun	18-60692-B,18-60961-S,32-33549-B,39-9651-S,41-5219-S,42-37776-S,42-38272-S,62-37645-S
fun and mockery	58-53186-B,58-53234-B
fun at	14-32255-S,58-38850-S
fun of	11-58750-S,14-32255-S,14-32320-S,20-46098-S,58-37224-S,58-39626-S,62-4026-S,65-38863-S
fun of sb	65-34683-S
fun to do	18-28980-B
funafuti capital of tuvalu	20-7753-B
funcinpec royalist cambodian political party	18-4815-B
function	1-41715-S,3-36809-S,4-31109-S,5-8176-B,8-47999-B,9-49605-B,9-49851-B,13-12643-S,16-54297-S,19-42587-B,20-12155-S,20-13251-S,20-50917-S,20-58343-S,24-63054-B,27-59594-S,35-4904-B,35-6913-S,43-62975-S,48-26778-S,51-69001-B,52-39532-S,58-5003-S,62-24393-S,66-46649-S
function aristotle 	43-18976-S
function as rivals	8-52550-S
function f	20-58343-S
function in calculus	1-76455-S
function in some capacity	6-13941-S
function library	9-50292-B
function math	34-59649-S
function math 	1-12660-S,6-21449-S,11-44908-S,18-293-S
function of a complex variable	57-6331-S,57-50319-S
function of a real variable	20-15054-S
function of bone marrow	62-19115-S
function or status	63-21130-S
function similar to hemoglobin	56-29282-S
function theory	4-31194-S,57-50426-S
function word	9-50233-B
functional	16-54297-S,20-14302-B
functional analysis	37-35972-S
functional group	9-50118-B,19-42687-B
functional magnetic resonance imaging fmri	9-49967-B
functionality	9-49906-B
functionaries at the end of han	10-46623-S
functionary	7-56923-B,19-40812-S,19-56611-B,26-42825-S,26-42953-S
functioning	35-36241-S
functions	15-22870-S,38-14636-S,55-0-S
functions of a complex variable	57-6425-S
functions of a real variable	20-15146-S
functions of mood	13-66256-S
fund	2-65870-S,7-22389-S,7-70822-S,8-45500-S,9-36451-S,15-19517-S,16-1608-B,20-40156-S,20-55820-S,27-59670-S,47-12131-S,47-12131-S,48-16911-B,51-58425-S,53-9307-S
fund imf	15-19409-S
fund offered to private placement e g hedge fund	47-12131-B
fund raising	10-6685-B
fund wwf	2-40895-S
fundamental	4-35812-S,15-68956-B,32-19593-S,32-64677-S,33-64185-B,58-45992-S,58-46362-S
fundamental and the incidental	32-64546-S
fundamental change	59-61020-B
fundamental civil rights	4-12249-B
fundamental colors	35-38859-B
fundamental form	48-8708-S
fundamental frequency	16-1316-B,16-1896-B
fundamental need	15-69704-B
fundamental principle	15-69089-B
fundamental question	16-516-B
fundamental theorem	15-69285-B
fundamental theorem of algebra	4-31351-B
fundamental theorem of calculus	24-20386-B
fundamental tone	16-1847-B
fundamental wave	15-70189-B
funded	19-42892-S
funding	59-53397-B
fundraiser	71-19919-S
fundraising	48-42849-B
funds	3-495-S,7-62624-S,10-6685-S,10-37881-S,14-3748-S,16-23886-S,16-24378-S,27-69732-S,27-71043-S,28-3746-S,28-4473-S,29-12362-S,30-37944-S,35-24120-B,35-24627-B,38-36444-S,48-42202-S,48-42445-S,48-43477-S,49-62248-B,59-53397-B,66-59595-S
funds for charity	30-25098-S
funds intended for another purpose	16-24915-S
funds paid to a bank account	10-37740-B
fundus of the eye containing the choroid	45-48950-B
funeral	8-40193-B,11-29964-S,13-46093-S,14-11440-B,14-13302-B,14-13473-B,15-12884-S,17-4850-S,35-64477-S,44-27158-S,44-35806-B,54-60329-B,55-20465-S,55-55344-S,58-56322-S,63-4143-B,65-34366-S
funeral after treating one s parents meanly	55-20465-S
funeral and interment	35-64697-B
funeral arrangements	14-11519-B
funeral arranger	35-64549-B
funeral ceremony	14-11676-B
funeral expenses	14-13523-B,59-63404-S
funeral hall	67-51083-B
funeral leave	14-11628-B
funeral music	13-32053-B
funeral of a parent or grandparent	18-6973-S
funeral parlor	35-64621-B
funeral procession	8-37176-S,8-40193-B,28-321-S,61-8522-S,61-63990-S
funeral pyre	32-53224-B
funeral rites	41-26420-B
funeral robes	57-12180-S
funeral service	61-57333-S
funeral stick held by the son as a sign of filial piety	14-12551-B
funerals	23-26720-S
funerary casket	70-782-B
funerary dolls 成语 saw	18-38317-S
funerary figures	5-32904-S
funerary mat	16-24591-B
funerary objects items buried together with the dead	66-23377-B
funerary pagoda	16-25541-B
fung or nicholas tse 1980 	58-57640-S
fung wan comic book series	68-58667-B
fungal enzyme used as antibiotic	4-4908-S
fungal growth	67-41257-B
funghi	45-44615-S,56-54208-S,56-54294-S
fungi	10-17962-S,45-44568-B,54-28388-S,67-41080-B,71-46049-B
fungicide	36-757-B
fungus	16-14612-S,32-54027-S,45-44568-B,53-64283-B,54-28350-B,54-28800-B,64-28524-S
fungus cordyceps sinensis	56-19001-S
fungus taxonomic kingdom	54-28468-B
funing place in hebei	29-13763-S
funing place in jiangsu	65-58422-S
funing place in yunnan	20-6977-S
funnel	39-44214-B,39-44273-B
funny	12-15732-B,13-41352-B,18-29274-B,28-57369-B,39-29129-B,62-3500-B
funny and annoying	13-46829-S
funny looks	24-65072-B,24-65072-S
funny news item	60-30592-B
fuping place in hebei	65-58485-S
fuping place in shaanxi	20-7246-S
fuqing city in fujian	47-5102-S
fuquan place in guizhou	47-4977-S
fur	36-13155-B,44-64397-B,44-65787-B,45-0-B,49-49504-B,49-49504-S,56-56102-B,59-27104-S,61-3044-B
fur clothing	44-65787-B,45-41-B
fur coat	56-56102-B
fur coat 成语 saw	66-59151-S
fur obtained from skin of raccoon dog after removing hard bristle	59-27546-S
fur seal	38-22393-B,52-46677-B
fur seal or its blubber	52-46574-B
fur seal used in traditional chinese medicine	52-46758-S
fur to discover any defect 成语 saw	13-5675-S
furacilinum	13-9724-S,13-9838-B
furan furfuran	13-9790-B
furan or 呋喃西林 furacilinum	13-9724-S
furen catholic university of beijing from 1925	61-8699-B
furfuran	13-9790-S
furious	36-25135-B,36-28323-B,42-4388-B,42-11609-B,44-16963-B,45-51244-B,67-40063-S
furiously	24-53270-B,27-9951-S
furnace	8-41411-S,36-39457-S,40-26418-B,40-65335-S,40-65413-S,41-863-S,41-14102-B,41-21715-S,41-35434-S,41-35473-B,56-11519-S
furnace air nozzle	68-53825-S
furnace for smelting metal	8-20444-S
furnace for smelting metals	71-48923-S
furnace in modern times	71-48923-S
furnace in steel making	61-25599-S
furnace to cook pills of immortality	41-173-S
furnish	5-22852-S,28-36786-S
furnish and decorate a room	29-30713-B
furnishings	29-30776-B,66-29507-B
furniture	4-56820-B,6-29867-B,6-29954-B,19-61066-B,19-61108-B
furniture or apparatus	41-36868-S
furniture wheel	61-16565-S
furrow	43-56854-B,65-38789-S
furrow in field	15-46931-B
furs	45-0-B
further	2-37286-B,25-27770-B,32-6947-B,62-28438-S,69-11090-S
further diagnosis	24-16240-B
further onwards	62-28438-B
further 成语 saw	3-41678-S
furthermore	2-46462-B,2-46711-B,8-9719-B,12-6782-B,35-41258-B,51-35051-B,63-10296-B
furthest	32-21467-B
furthest from earth	32-26838-S
furtive	58-14959-B
furtive glance	59-54339-B
furtively	6-22321-B
furtively glance	45-54258-B
fury	24-53327-B,31-66629-B,32-472-S,40-20055-B,47-39417-S
fury novel by william faulkner 威廉·福克納 威廉·福克纳	14-11034-S
fury written across one s face	24-52537-B
fusang	26-55973-B
fuscatus	70-57729-S
fuse	5-41416-B,10-38095-S,23-30179-S,41-13636-B,41-14156-S,56-10377-S,56-10837-S,64-52275-S,67-23615-B
fuse for explosive	20-59181-S
fuse for explosive charge	5-45912-S
fuse for explosives	20-59248-S
fuse metal	65-7132-B
fusebox	65-47575-S
fused silver nitrate	64-25268-S
fuselage of a plane	35-5222-B
fushan district of yantai city 煙台市 烟台市	47-3554-B,47-3638-B
fushan place in shanxi	38-13312-S
fushun city 撫順市 抚顺市	30-48990-S,32-46686-S,32-46772-S,33-20647-S,33-20735-S,68-23076-S,68-23166-S
fushun county	29-14360-S
fushun county in fushun 撫順 抚顺	29-14634-B
fushun place in sichuan	20-8635-S
fushun prefecture level city in liaoning province 遼寧省 辽宁省 in northeast china	29-14360-B,29-14501-B
fushun 撫順 抚顺	29-14634-S,30-56738-S,30-56881-S,38-59169-S,38-59244-S,38-59391-S
fusion	2-81618-S,10-38095-B,33-61462-B,33-61462-S,41-14284-B,49-33414-S,51-55586-S,51-55636-S,56-10472-B,56-10531-B
fusion of le a	13-66256-B
fusion reaction	41-19742-S
fusion type weapon	51-55707-B
fusion weapon	41-19656-B
fusong county in baishan 白山	29-14860-B,29-14925-B
fuss	19-56723-S
fuss about nothing	17-41717-S
fuss over a minor issue 成语 saw	21-2182-S
fussing like a hypochondriac	40-57620-B
fussy	14-44184-B,27-64335-B
fusui place in guangxi	26-56337-S
fut hung and buddha style kungfu martial art	37-60984-S
futian district of shenzhen city 深圳市	47-5533-B,47-5609-B
futile	24-5299-B
futile ambition	48-57976-B
futile attempt	18-32750-B
future	4-22497-S,4-37446-S,7-9642-S,8-27879-S,9-24591-S,9-24591-B,11-10937-S,11-11092-S,15-35282-S,20-36665-S,20-36665-B,24-2949-S,24-54266-S,25-56738-S,31-6906-S,32-34770-S,32-56189-B,49-59387-S,61-48305-S
future action may be able to	20-36848-S
future assets	27-28113-S
future blessings and misfortunes are unpredictable	47-2422-B
future calamities	50-30297-S
future career etc prospects	9-22587-B
future e g for repayment	62-61350-S
future effect 成语 saw	24-54266-S
future generations	6-36224-S,23-67756-B
future generations 成语 saw	7-7268-S
future holds	9-24666-S
future is hard to forecast	9-24666-S
future is long 成语 saw	5-18148-S
future plans	47-45389-S
future profit	30-60844-S
