屬國 属国	21-27304-B
左貢 左贡	21-59306-B
左贡	21-59306-S
左輪手槍 左轮手枪	21-59369-B
左轮手枪	21-59369-S
左边	21-59436-S
左边儿	21-59504-S
左邊 左边	21-59436-B
左邊兒 左边儿	21-59504-B
左鎮鄉 左镇乡	21-59578-B
左镇乡	21-59578-S
左雲 左云	21-59657-B
左面	21-59719-S
左面 左面	21-59719-B
左顧右盼 左顾右盼	21-59763-B
左顾右盼	21-59763-S
巧	21-59877-S
巧 巧	21-59877-B
巧克力	21-59957-S
巧克力 巧克力	21-59957-B
巧克力脆片	21-60010-S
巧克力脆片 巧克力脆片	21-60010-B
巧合	21-60091-S
巧合 巧合	21-60091-B
巧妇	21-60188-S
巧妇难为无米之炊	21-60253-S
巧妙	21-60136-S
巧妙 巧妙	21-60136-B
巧婦 巧妇	21-60188-B
巧婦難為無米之炊 巧妇难为无米之炊	21-60253-B
巧家	21-60456-S
巧家 巧家	21-60456-B
巧干	21-60538-S
巧幹 巧干	21-60538-B
巧立名目	21-60616-S
巧立名目 巧立名目	21-60616-B
巧計 巧计	21-60763-B
巧计	21-60763-S
巨	21-60812-S
巨 巨	21-60812-B
巨人	21-60869-S
巨人 巨人	21-60869-B
巨兽	21-61605-S
巨匠	21-60907-S
巨匠 巨匠	21-60907-B
巨响	21-62398-S
巨噬細胞 巨噬细胞	21-60958-B
巨噬细胞	21-60958-S
巨型	21-61022-S
巨型 巨型	21-61022-B
巨大	21-61070-S
巨大 巨大	21-61070-B
巨大压力	21-61154-S
巨大壓力 巨大压力	21-61154-B
巨头	21-62443-S
巨幅	21-61243-S
巨幅 巨幅	21-61243-B
巨擘	21-61304-S
巨擘 巨擘	21-61304-B
巨无霸	21-61465-S
巨星	21-61374-S
巨星 巨星	21-61374-B
巨流	21-61418-S
巨流 巨流	21-61418-B
巨無霸 巨无霸	21-61465-B
巨爵座	21-61539-S
巨爵座 巨爵座	21-61539-B
巨獸 巨兽	21-61605-B
巨石	21-61652-S
巨石 巨石	21-61652-B
巨石阵	21-61696-S
巨石陣 巨石阵	21-61696-B
巨細 巨细	21-61775-B
巨細胞病毒 巨细胞病毒	21-61820-B
巨細胞病毒視網膜炎 巨细胞病毒视网膜炎	21-61906-B
巨细	21-61775-S
巨细胞病毒	21-61820-S
巨细胞病毒视网膜炎	21-61906-S
巨著	21-62028-S
巨著 巨著	21-62028-B
巨蛇座	21-62087-S
巨蛇座 巨蛇座	21-62087-B
巨蟒	21-62154-S
巨蟒 巨蟒	21-62154-B
巨蟹座	21-62194-S
巨蟹座 巨蟹座	21-62194-B
巨輪 巨轮	21-62283-B
巨轮	21-62283-S
巨野	21-62338-S
巨野 巨野	21-62338-B
巨響 巨响	21-62398-B
巨頭 巨头	21-62443-B
巨額 巨额	21-62499-B
巨额	21-62499-S,64-22958-S
巨鹿	21-62564-S
巨鹿 巨鹿	21-62564-B
巩	68-7285-S
巩俐	68-7321-S
巩县	68-7473-S
巩固	68-7362-S
巩留	68-7407-S
巩膜	68-7529-S
巫	21-62621-S
巫 巫	21-62621-B
巫医	21-63242-S
巫婆	21-62674-S
巫婆 巫婆	21-62674-B
巫山	21-62735-S
巫山 巫山	21-62735-B
巫峡	21-62828-S
巫峽 巫峡	21-62828-B
巫师	21-62872-S
巫師 巫师	21-62872-B
巫术	21-63148-S
巫溪	21-62920-S
巫溪 巫溪	21-62920-B
巫蛊	21-62979-S
巫蛊之祸	21-63021-S
巫蠱 巫蛊	21-62979-B
巫蠱之禍 巫蛊之祸	21-63021-B
巫術 巫术	21-63148-B
巫覡 巫觋	21-63191-B
巫觋	21-63191-S
巫醫 巫医	21-63242-B
差	21-63306-S,21-63392-S,21-63448-S,21-63512-S
差 差	21-63306-B,21-63392-B,21-63448-B,21-63512-B
差一点	21-63540-S
差一點 差一点	21-63540-B
差不多	21-63708-S
差不多 差不多	21-63708-B
差不离	21-63777-S
差不离儿	21-63853-S
差不離 差不离	21-63777-B
差不離兒 差不离儿	21-63853-B
差事	21-63941-S
差事 差事	21-63941-B
差价	21-63992-S
差價 差价	21-63992-B
差分	21-64045-S
差分 差分	21-64045-B
差分方程	21-64099-S
差分方程 差分方程	21-64099-B
差別 差别	21-64185-B
差别	21-64185-S
差劲	21-64239-S
差勁 差劲	21-64239-B
差商	21-64312-S
差商 差商	21-64312-B
差失	21-64416-S
差失 差失	21-64416-B
差异	22-437-S
差异性	22-492-S
差強人意 差强人意	22-0-B
差强人意	22-0-S
差役	22-103-S
差役 差役	22-103-B
差得多	22-199-S
差得多 差得多	22-199-B
差数	22-271-S
差數 差数	22-271-B
差派	22-343-S
差派 差派	22-343-B
差点	22-1126-S
差点儿	22-1262-S
差生	22-389-S
差生 差生	22-389-B
差異 差异	22-437-B
差異性 差异性	22-492-B
差訛 差讹	22-547-B
差誤 差误	22-592-B
差讹	22-547-S
差误	22-592-S
差距	22-632-S
差距 差距	22-632-B
差速器	22-678-S
差速器 差速器	22-678-B
差遣	22-740-S
差遣 差遣	22-740-B
差錯 差错	22-795-B
差错	22-795-S
差額 差额	22-922-B
差額選舉 差额选举	22-1016-B
差额	22-922-S
差额选举	22-1016-S
差點 差点	22-1126-B
差點兒 差点儿	22-1262-B
巰	22-1336-S
巰 巰	22-1336-B
己	22-1372-S
己 己	22-1372-B
己丑	22-1496-S
己丑 己丑	22-1496-B
己亥	22-1571-S
己亥 己亥	22-1571-B
己卯	22-1646-S
己卯 己卯	22-1646-B
己型肝炎	22-1717-S
己型肝炎 己型肝炎	22-1717-B
己巳	22-1784-S
己巳 己巳	22-1784-B
己未	22-1850-S
己未 己未	22-1850-B
己經 己经	22-1923-B
己经	22-1923-S
己酉	22-2003-S
己酉 己酉	22-2003-B
已	22-2077-S
已 已	22-2077-B
已婚	22-2130-S
已婚 已婚	22-2130-B
已往	22-2170-S
已往 已往	22-2170-B
已成形	22-2212-S
已成形 已成形	22-2212-B
已故	22-2269-S
已故 已故	22-2269-B
已滅 已灭	22-2318-B
已灭	22-2318-S
已知	22-2358-S
已知 已知	22-2358-B
已經 已经	22-2409-B
已經進行 已经进行	22-2450-B
已经	22-2409-S
已经进行	22-2450-S
已見分曉 已见分晓	22-2543-B
已见分晓	22-2543-S
巳	22-2656-S
巳 巳	22-2656-B
巳蛇	22-2707-S
巳蛇 巳蛇	22-2707-B
巴	22-2746-S
巴 巴	22-2746-B
巴不得	22-2829-S
巴不得 巴不得	22-2829-B
巴东	22-6975-S
巴中	22-2913-S
巴中 巴中	22-2913-B
巴中地区	22-2988-S
巴中地區 巴中地区	22-2988-B
巴中市	22-3085-S
巴中市 巴中市	22-3085-B
巴伐利亚	22-3171-S
巴伐利亞 巴伐利亚	22-3171-B
巴伦支海	22-3230-S
巴伦西亚	22-3296-S
巴倫支海 巴伦支海	22-3230-B
巴倫西亞 巴伦西亚	22-3296-B
巴儿狗	22-3635-S
巴克夏猪	22-3357-S
巴克夏豬 巴克夏猪	22-3357-B
巴克科思	22-3428-S
巴克科思 巴克科思	22-3428-B
巴克莱	22-3487-S
巴克莱银行	22-3556-S
巴克萊 巴克莱	22-3487-B
巴克萊銀行 巴克莱银行	22-3556-B
巴兒狗 巴儿狗	22-3635-B
巴利	22-3721-S
巴利 巴利	22-3721-B
巴利文	22-3757-S
巴利文 巴利文	22-3757-B
巴力	22-3804-S
巴力 巴力	22-3804-B
巴勒斯坦	22-3840-S
巴勒斯坦 巴勒斯坦	22-3840-B
巴勒斯坦民族权力机构	22-3902-S
巴勒斯坦民族權力機構 巴勒斯坦民族权力机构	22-3902-B
巴勒斯坦解放組織 巴勒斯坦解放组织	22-4049-B
巴勒斯坦解放组织	22-4049-S
巴厘	22-4179-S
巴厘 巴厘	22-4179-B
巴厘岛	22-4237-S
巴厘島 巴厘岛	22-4237-B
巴县	22-8988-S
巴哈馬 巴哈马	22-4306-B
巴哈马	22-4306-S
巴基斯坦	22-4359-S
巴基斯坦 巴基斯坦	22-4359-B
巴塘	22-4420-S
巴塘 巴塘	22-4420-B
巴塞尔	22-4493-S
巴塞爾 巴塞尔	22-4493-B
巴塞罗那	22-4563-S
巴塞羅那 巴塞罗那	22-4563-B
巴士	22-4626-S
巴士 巴士	22-4626-B
巴士底	22-4674-S
巴士底 巴士底	22-4674-B
巴士拉	22-4737-S
巴士拉 巴士拉	22-4737-B
巴士海峡	22-4800-S
巴士海峽 巴士海峡	22-4800-B
巴士站	22-4888-S
巴士站 巴士站	22-4888-B
巴宰族	22-4941-S
巴宰族 巴宰族	22-4941-B
巴尔	22-8133-S
巴尔克嫩德	22-8171-S
巴尔多禄茂	22-8263-S
巴尔干	22-8338-S
巴尔干半岛	22-8387-S
巴尔扎克	22-8468-S
巴尔的摩	22-8538-S
巴尔舍夫斯基	22-8599-S
巴尼亚卢卡	22-4989-S
巴尼亞盧卡 巴尼亚卢卡	22-4989-B
巴巴多斯	22-5078-S
巴巴多斯 巴巴多斯	22-5078-B
巴布亚新几内亚	22-5139-S
巴布亞新幾內亞 巴布亚新几内亚	22-5139-B
巴布尔	22-5307-S
巴布拉族	22-5239-S
巴布拉族 巴布拉族	22-5239-B
巴布爾 巴布尔	22-5307-B
巴希尔	22-5378-S
巴希爾 巴希尔	22-5378-B
巴库	22-5461-S
巴庫 巴库	22-5461-B
巴录	22-10397-S
巴彥 巴彦	22-5521-B
巴彥淖爾 巴彦淖尔	22-5559-B
巴彥淖爾市 巴彦淖尔市	22-5662-B
巴彥縣 巴彦县	22-5776-B
巴彦	22-5521-S
巴彦县	22-5776-S
巴彦淖尔	22-5559-S
巴彦淖尔市	22-5662-S
巴拉圭	22-5858-S
巴拉圭 巴拉圭	22-5858-B
巴拉基列夫	22-5909-S
巴拉基列夫 巴拉基列夫	22-5909-B
巴拉巴斯	22-5986-S
巴拉巴斯 巴拉巴斯	22-5986-B
巴拉迪	22-6078-S
巴拉迪 巴拉迪	22-6078-B
巴拿馬 巴拿马	22-6216-B
巴拿馬城 巴拿马城	22-6264-B
巴拿馬運河 巴拿马运河	22-6330-B
巴拿马	22-6216-S
巴拿马城	22-6264-S
巴拿马运河	22-6330-S
巴掌	22-6405-S
巴掌 巴掌	22-6405-B
巴斯	22-6449-S
巴斯 巴斯	22-6449-B
巴斯克	22-6485-S
巴斯克 巴斯克	22-6485-B
巴斯克語 巴斯克语	22-6552-B
巴斯克语	22-6552-S
巴斯德	22-6621-S
巴斯德 巴斯德	22-6621-B
巴斯特尔	22-6688-S
巴斯特爾 巴斯特尔	22-6688-B
巴斯蒂亚	22-6785-S
巴斯蒂亞 巴斯蒂亚	22-6785-B
巴旦杏	22-6875-S
巴旦杏 巴旦杏	22-6875-B
巴望	22-6926-S
巴望 巴望	22-6926-B
巴東 巴东	22-6975-B
巴松管	22-7036-S
巴松管 巴松管	22-7036-B
巴林	22-7089-S
巴林 巴林	22-7089-B
巴林右	22-7129-S
巴林右 巴林右	22-7129-B
巴林右旗	22-7217-S
巴林右旗 巴林右旗	22-7217-B
巴林左	22-7315-S
巴林左 巴林左	22-7315-B
巴林左旗	22-7402-S
巴林左旗 巴林左旗	22-7402-B
巴枯宁主义	22-7499-S
巴枯寧主義 巴枯宁主义	22-7499-B
巴格兰	22-7574-S
巴格兰省	22-7654-S
巴格蘭 巴格兰	22-7574-B
巴格蘭省 巴格兰省	22-7654-B
巴格达	22-7747-S
巴格達 巴格达	22-7747-B
巴楚	22-7814-S
巴楚 巴楚	22-7814-B
巴比伦	22-7876-S
巴比倫 巴比伦	22-7876-B
巴比妥	22-7926-S
巴比妥 巴比妥	22-7926-B
巴氏	22-7987-S
巴氏 巴氏	22-7987-B
巴氏杀菌法	22-8027-S
巴氏殺菌法 巴氏杀菌法	22-8027-B
巴爾 巴尔	22-8133-B
巴爾克嫩德 巴尔克嫩德	22-8171-B
巴爾多祿茂 巴尔多禄茂	22-8263-B
巴爾干 巴尔干	22-8338-B
巴爾干半島 巴尔干半岛	22-8387-B
巴爾扎克 巴尔扎克	22-8468-B
巴爾的摩 巴尔的摩	22-8538-B
巴爾舍夫斯基 巴尔舍夫斯基	22-8599-B
巴特	22-8693-S
巴特 巴特	22-8693-B
巴特納 巴特纳	22-8746-B
巴特纳	22-8746-S
巴生	22-8793-S
巴生 巴生	22-8793-B
巴登	22-8852-S
巴登 巴登	22-8852-B
巴結 巴结	22-8911-B
巴縣 巴县	22-8988-B
巴结	22-8911-S
巴罗佐	22-9064-S
巴罗克	22-9153-S
巴羅佐 巴罗佐	22-9064-B
巴羅克 巴罗克	22-9153-B
巴耶利巴	22-9235-S
巴耶利巴 巴耶利巴	22-9235-B
巴莫	22-9297-S
巴莫 巴莫	22-9297-B
巴菲特	22-9335-S
巴菲特 巴菲特	22-9335-B
巴蜀	22-9400-S
巴蜀 巴蜀	22-9400-B
巴裡 巴里	22-9480-B
巴裡坤 巴里坤	22-9541-B
巴裡坤哈薩克自治縣 巴里坤哈萨克自治县	22-9636-B
巴裡坤草原 巴里坤草原	22-9794-B
巴裡島 巴里岛	22-9899-B
巴西	22-9956-S
巴西 巴西	22-9956-B
巴西利亚	22-9994-S
巴西利亞 巴西利亚	22-9994-B
巴豆	22-10074-S
巴豆 巴豆	22-10074-B
巴貝西亞原蟲病 巴贝西亚原虫病	22-10123-B
巴贝西亚原虫病	22-10123-S
巴赫	22-10223-S
巴赫 巴赫	22-10223-B
巴里	22-9480-S
巴里坤	22-9541-S
巴里坤哈萨克自治县	22-9636-S
巴里坤草原	22-9794-S
巴里岛	22-9899-S
巴金	22-10259-S
巴金 巴金	22-10259-B
巴金森氏症	22-10310-S
巴金森氏症 巴金森氏症	22-10310-B
巴錄 巴录	22-10397-B
巴青	22-10449-S
巴青 巴青	22-10449-B
巴音布克草原	22-10510-S
巴音布克草原 巴音布克草原	22-10510-B
巴音郭楞蒙古自治州	22-10644-S
巴音郭楞蒙古自治州 巴音郭楞蒙古自治州	22-10644-B
巴馬瑤族自治縣 巴马瑶族自治县	22-10808-B
巴馬科 巴马科	22-10933-B
巴马瑶族自治县	22-10808-S
巴马科	22-10933-S
巴黎	22-10999-S
巴黎 巴黎	22-10999-B
巴黎俱乐部	22-11056-S
巴黎俱樂部 巴黎俱乐部	22-11056-B
巴黎公社	22-11128-S
巴黎公社 巴黎公社	22-11128-B
巴黎大学	22-11196-S
巴黎大學 巴黎大学	22-11196-B
巷	22-11268-S
巷 巷	22-11268-B
巹 卺	22-11303-B
巹飲 卺饮	22-11342-B
巻	22-11416-S
巻 巻	22-11416-B
巽	22-11463-S
巽 巽	22-11463-B
巾	22-11512-S
巾 巾	22-11512-B
巿	22-11556-S
巿 巿	22-11556-B
币	22-34978-S
币值	22-35020-S
币制	22-35072-S
市	22-11585-S
市 市	22-11585-B
市中心	22-11619-S
市中心 市中心	22-11619-B
市价	22-11785-S
市佔率 市占率	22-11686-B
