cdc	44-7124-S
change over time	49-25201-B
change over to	61-21259-B
change places	28-45967-S,58-37575-S
change planes	61-25197-S
change positions	61-28196-S
change production	61-25754-S
change profession	29-45329-S,61-27488-S
change profession or business	29-44772-S
change progressively	62-59881-S
change rapidly	46-55891-S
change room	32-9170-B
change route	29-46382-S
change schools	61-22539-S
change shape	59-8131-S,59-9872-S
change shape in a single shake	28-54741-S
change shift	28-46705-S
change shifts	5-59242-S
change sides in a war	5-56821-S
change special subject	61-26340-S
change sth	68-48800-S
change sth that is already settled upon	32-47262-S
change the guard	28-46176-S
change the subject	21-35102-S,26-43373-S
change to more severe 成语 saw	59-9647-S
change train or plane	2-82028-S
change train plane	28-45791-S
change trains	61-20946-S,61-28717-S
change trains or buses	5-54933-S
change will affect everything else	41-62858-S
change with each passing day	31-7186-B
change with long custom	51-18030-S
change workshifts	28-46251-S
change 成语 saw	68-58845-S
changeable	40-50255-B
changeable situation	68-58845-B
changed	2-15204-S,37-9313-S,43-28366-S,43-28618-S
changed beyond recognition	41-6173-B
changed circumstances	9-14997-S
changer	59-12162-S
changes	25-61555-S,39-25878-S,39-60124-S,44-12469-S,59-12341-B,60-10773-S,69-8131-S
changes and succession	18-61539-B
changes are brought about by catastrophes such as the biblical flood	40-27530-S
changes at puberty	8-44608-S
changes behind the scenes	39-60124-B
changes i ching	31-28155-S
changes i ching 易經 易经	13-12219-S
changes in writing	66-61619-S
changes on a few terms	68-46118-S
changes school	61-22623-S
changes 易經 易经	7-49612-S,11-17065-S,23-52532-S
changfeng place in anhui	65-19811-S
changge city in henan	65-19141-S
changhai place in liaoning	65-17139-S
changhua city in taiwan	23-58085-S
changing	10-50420-S,59-11312-S
changing currency	59-48329-S
changing face	59-7950-B
changing film	31-63029-S
changing the situation	43-63720-S
changing to become warmer	59-9483-B
changji city in xinjiang	31-20255-S
changji hui autonomous prefecture	31-20320-S
changjiang	1-34218-S,10-66159-S,10-66617-S,28-44754-S,35-47681-S,35-47808-S,36-57963-S,53-61984-S
changjiang district of jingdezhen city 景德鎮市 景德镇市	31-20922-B,31-21024-B
changjiang in hubei	54-16164-S,54-16253-S
changjiang lizu autonomous county in hainan	31-21136-B
changjiang or yangtze river	36-57963-S
changjiang river	65-16171-B
changjiang river gorges	1-34134-S
changjiang river in hunan	54-16561-S
changjiang river yangtze by the three gorges	21-62735-S
changjiang three gorges	46-56493-S
changjiang 長江 长江 or yangzi river	28-44754-B
changle city in fujian	65-15864-S
changle place in shandong	31-20856-S
changli place in hebei	31-21707-S
changling county in songyuan 松原	65-14056-B,65-14128-B
changning place in hunan	22-30729-S
changning place in sichuan	65-13622-S
changning place in yunnan	31-20611-S
changpin village in taiwan	65-17329-S
changping	65-14212-B
changping county level district of beijing municipality	31-20754-B
changping district of beijing	31-22362-S
changping of 260 bc	65-14258-S
changping town in beijing municipality	31-20679-B
changqing place in shandong	65-17207-S
changqing s main airport	36-57871-B
changquan northern shaolin 北少林） longfist martial art	65-14884-B
changsha	21-49187-S,69-40278-S
changsha by huang2 xing1 黃興 黄兴 in 1904	54-35929-S
changsha county	65-16743-B
changsha prefecture level city and capital of hunan province in south central china	65-16403-B,65-16522-B
changsha 長沙 长沙	21-38141-S
changshan place in zhejiang	22-30796-S
changshu city in jiangsu	22-31770-S
changshun place in guizhou	65-20846-S
changtai place in fujian	65-17073-S
changting county in longyan 龍岩 龙岩	65-16081-B
changting county level city in longyan 龍岩 龙岩	65-15992-B
changtu county in tieling 鐵嶺 铁岭	31-20451-B,31-20525-B
changwu place in shaanxi	65-15927-S
changxing place in zhejiang	65-19009-S
changyang tujiazu autonomous county in hubei	65-20661-B
changyi district of jilin city 吉林市	31-21384-B,31-21459-B
changyuan place in henan	65-12302-S
changzhou prefecture level city in jiangsu	22-30866-B,22-30945-B
chankaensis small carp	53-23104-S
channa argus	40-39739-B
channa asiatica	32-29217-B
channa maculata	30-33428-B
channel	3-7280-S,6-41390-S,20-58063-S,21-15166-S,37-19995-B,38-18254-B,38-40768-S,39-18280-B,44-2153-S,53-36481-S,54-1782-S,58-28663-S,59-15798-B,62-2963-B,62-13583-S,62-15081-S,68-42400-S
channel across south taiwan	22-4800-S
channel connection	55-52403-S
channel connection identifier	55-52274-S
channel for irrigation	15-57544-B
channel islands	38-18666-B,40-1741-S,40-1797-S
channel marker	53-34118-B
channel marking light	53-34186-B
channel sth	49-15743-S
channel water to another place	40-18072-B
channels	39-1910-B,60-9778-S,60-11548-S
channels in chinese medicine	49-61822-S
channels of tiling	43-12028-S
chanshui river in henan	40-13465-B,40-13512-S
chant	12-65835-S,12-65913-S,13-43912-S,13-48904-S,13-53863-B,13-55160-S,35-26587-B,58-58903-B,66-55410-S,70-12514-B
chant buddhist scripture	24-50313-S
chant promoting virtue and obstructing evil	66-14802-S
chant the names of buddha	24-49978-S,71-37021-S
chant the sutras	58-30859-S
chanyu han dynasty name for chiefs of xiongnu huns 匈奴	14-16536-B,14-18581-B
chao	31-38672-S
chao 176 222	69-42449-S
chao 33 102	42-47774-S
chao 884	71-18920-S
chao an place in guangdong	39-62839-S
chao peasant uprising 875 884 in late tang	71-18974-S
chao yuenren	60-29402-B
chaochou town in taiwan	39-63083-S
chaohu district district in anhui	21-52335-S
chaohu lake	21-52252-B
chaohu prefecture level city in anhui	21-52252-B,21-52428-B
chaohu 巢湖	40-56315-S,40-56377-S
chaonan district of shantou city 汕头市	39-62675-B,39-62752-B
chaos	3-26119-S,3-27568-B,8-25807-B,29-11584-S,38-53095-B,38-54362-S,40-6172-S,49-14469-B
chaos of war	8-2484-S,26-16723-B
chaos theory math 	38-54486-B
chaotic	3-27214-B,10-52421-B,41-35858-B,49-14386-B,67-3692-S
chaotic dynamics	56-8710-S
chaowei c 766 c 820	33-3601-S
chaoyang city 朝陽市 朝阳市	66-64808-S,66-64898-S,71-58363-S,71-58455-S
chaoyang county in chaoyang 朝陽 朝阳	32-49681-B
chaoyang district in east and northeast beijing	32-49150-B,32-49366-B
chaoyang district of shantou city 汕头市	39-63612-B,39-63691-B
chaoyang prefecture level city in liaoning province 遼寧省 辽宁省 in northeast china	32-49544-B
chaoyang 朝陽 朝阳	8-26500-S,8-26588-S,10-34601-S,10-34687-S,14-1512-S,23-20922-S,23-20999-S,32-49681-S
chaoyangmen neighborhood of beijing	32-49770-B
chaozhou	9-48415-S,21-54953-S
chaozhou cuisine	53-49069-S
chaozhou or teochew	39-63238-B
chaozhou prefecture level city in guangdong	39-62905-B
chaozhou prefecture level city in guangdong province	39-62984-B
chap	6-29904-B,15-54379-S,19-60959-B,20-62946-S,23-56464-S,41-35981-S,45-1081-S,53-41777-S,56-23089-B,71-50348-S
chap form of address between male friends	51-25603-S
chap lips	45-1037-B
chapel	30-1758-B,47-8398-B
chaplain	41-51936-B
chaplin	34-5005-S
chapman name	33-46197-B
chapped	45-999-B
chapter	11-26109-B,47-63451-B,47-64111-B,48-31881-S
chapter of a classic book	14-54252-S
chapter one	48-9352-B
chapters	48-32148-S
chapters of classical novels	71-56194-S
chapters on the mathematical art	3-20312-S
chapters while reading a book	35-62276-S
char	41-26519-S
char siu	11-42021-B
character	4-23396-S,5-1329-S,6-11178-S,6-12656-S,6-33125-S,7-71765-S,8-21038-S,9-3636-S,9-38983-S,11-12109-S,12-64322-S,13-33870-S,13-33918-S,13-34140-S,13-34487-B,14-17942-S,14-17942-S,19-4320-B,19-5113-S,19-5790-S,19-5960-B,19-6369-S,19-6658-S,19-7029-S,19-44394-S,19-44487-S,20-30676-S,22-26686-S,24-23888-B,24-31435-B,24-37809-B,24-60540-B,24-62506-B,28-23408-S,30-26855-B,30-62985-S,30-67012-S,32-62856-S,32-66057-S,32-66620-S,33-5784-S,33-64800-B,34-0-S,34-14949-S,34-53584-B,35-40531-S,36-31058-S,39-49137-S,41-15229-S,43-61823-S,43-64136-S,43-64205-S,44-14453-S,44-35806-S,44-38335-S,45-4966-S,45-5482-S,46-62574-S,47-4468-S,47-13856-S,47-47852-S,48-15513-S,48-16962-S,48-36280-S,48-39077-S,50-38736-S,51-65745-S,51-65821-S,52-43686-S,53-44612-B,53-51283-S,55-36085-S,55-53645-S,58-30682-S,59-59918-B,61-27622-S,61-27843-S,62-7816-S,62-7946-S,62-56364-S,62-56484-S,63-47572-S,64-47992-S,65-65534-S,68-14882-S,68-15624-S,68-59260-S,70-563-S,70-2304-S,71-40765-S
character 8	7-50481-B
character able to withstand tough test	9-64646-S
character acquired through long habit	51-18289-B
character acquiring meanings by phonetic association	6-5978-B,6-6174-B
character an early form of chinese script	43-42438-S
character as opposed to etymologically correct form 正體字 正体字	5-33212-S
character as 鐱	64-20707-S
character based on radical and stroke count	48-14366-S
character behind a gentle appearance	50-13327-S
character chinese	48-38991-S,50-38650-S
character classic	1-33571-S
character code	19-5914-B
character decision task	19-5013-B
character derived from a picture	59-23175-S,59-23357-S
character dictionary	19-4537-B
character explains his own role	53-4294-S
character formed by combining existing elements i e a combined ideogram 會意 会意 or radical plus phonetic 形聲 形声	12-38302-S
character has more than one reading	43-63443-S
character having several reading	16-65043-B
character having several readings and meanings	16-64932-B
character i e a pictogram 象形 or ideogram 指事	42-22211-S
character in a computer game	55-22977-S
character in a novel	57-45684-B
character in a play	4-14336-S,30-67184-S
character in children s stories by a a milne adapted by disney	20-67244-S
character in chinese text	47-47852-S
character in chinese text indicating illegible character	30-62985-S
character in dictionaries	48-14245-S
character in harry potter	23-40910-S
character in textbook	43-19956-S
character in the water margin	42-36567-S,71-16874-S
character indicating an idea	27-57051-S,27-57199-S
character indicating the meaning	23-54964-S,25-29799-S
character input method for entering characters by numbered strokes	3-52529-S
character interchangeably for phonetically related characters	62-7816-S,62-7946-S
character invented by contracting last two characters of name of tang empress wu zetian 武則天 武则天	32-1871-B
character is arranged in a traditional chinese dictionary	63-23984-S
character lao ai 嫪毐	36-6786-S
character of a person	68-57169-B
character of a political party	71-44623-S
character one of the six methods 六書 六书 of forming chinese characters	6-5978-S,6-6174-S,61-27622-S,61-27843-S
character or action	10-62808-S,10-62946-S
character or symbol in a particular typeface	19-5113-S
character other than the standard	46-20221-S
character poster	17-14245-S
character radical	63-22714-B
character repertoire	19-4940-S
character scroll	43-59375-B
character serving as sound value of another character	51-65821-B
character set	19-4480-B,19-6799-B,50-20439-S
character set e g ascii 美國資訊交換標準碼 美国资讯交换标准码 or unicode 統一碼 统一码	19-6083-B
character set ucs	62-10860-S,62-10957-S
character size	19-6423-B
character string	19-4370-B
character string 	48-6046-S
character stroke	28-9605-S,28-36446-S,29-5130-S,30-36722-S,35-7417-S,35-8320-S,35-10430-S,59-18937-S,59-19061-S,59-19325-S,71-37621-S
character surname chun yu	38-52185-S
character surname duanmu	47-65576-S
character surname gongsun	7-58378-S
character surname huangfu	44-62173-S
character surname murong	25-46502-S
character surname ouyang	35-30881-S
character surname shentu	43-43162-S
character surname sima	12-24920-S
character surname situ	12-24084-S
character surname such as 司馬 司马 or 諸葛 诸葛	57-5469-S
character surname zhangsun	65-13150-S
character surname zhuge	58-48615-S
character ten	10-45895-S
character that combines the meanings of existing elements	32-23505-S,32-23744-S
character that is unfamiliar or not yet studied	43-19956-B
character to a main hero	40-41434-S
character tw	19-4421-S
character used in metal inscriptions	65-804-S
character used in place names	15-64228-B
character used in traditional phonetics to indicate value of rhyme	68-17732-B
character using two other characters	11-44977-S
character versus the etymologically correct form	5-33698-S
character when the common form 俗字 differs	35-40641-S
character with exactly the same sound	12-52650-S
character with its pinyin	34-53821-S
character with meanings influenced by other words	61-27622-B,61-27843-B
character with opposite meaning	11-52277-B
character □ punct used to represent an unreadable character	55-53645-S
character 匾	26-30109-S
character 囍 similar to 喜喜 as symbol of good luck	66-64437-S
character 成语 saw	5-47670-S
characteristic	12-28734-B,13-33918-B,24-63332-B,41-58051-B,41-58557-B,41-61543-B,41-62138-B
characteristic binding	41-58290-B
characteristic class math 	46-46306-B
characteristic feature	41-62663-B
characteristic nature of some season	19-12275-B
characteristic of a historical period	24-55512-S
characteristic of a species	47-32586-S
characteristic of asian people	63-63146-S,63-63270-S
characteristic sign used as proof	24-22725-B
characteristics	7-44775-S,42-19909-S
characterized by white mucous stool	44-42326-S
characters	2-30061-S,6-5978-S,6-6174-S,7-50481-S,7-67755-S,11-44977-S,11-52277-S,14-52949-S,16-65119-S,17-42351-S,20-23551-S,23-53820-S,23-55344-S,27-18845-S,27-57051-S,27-57199-S,30-63088-S,32-23505-S,32-23744-S,34-36539-S,48-14041-S,48-14245-S,48-31714-S,48-38064-S,48-38145-S,48-38934-S,59-23175-S,59-23357-S,61-27622-S,61-27843-S,62-7816-S,62-7946-S,63-59529-S,64-47912-S,68-11304-S,71-61068-S
characters a decorated form of the great seal	70-50573-S
characters alphabet for the blind	45-19614-S,71-38896-S
characters and blank squares for writing practice	4-45729-S
characters as a method of learning to write	28-36152-S
characters but native to vietnam	14-2867-S
characters by numbered strokes	3-52408-S,3-52529-S
characters from misrendering an encoding	3-26987-S
characters in a dictionary	35-12699-S
characters in folk story	41-49228-S
characters in simplified form	48-36990-S
characters like chinese characters but native to vietnam	14-2867-S
characters making up an expression	58-26716-S
characters native to korea	15-4179-S
characters of classical chinese 成语 saw	3-10530-S
characters of name of tang empress wu zetian 武則天 武则天	32-1871-S
characters on a seal	44-39498-S
characters under radicals	63-24105-S
characters 成语 saw	13-28961-S
charadriidae plover family	70-55358-B
charadrius morinellus	45-55813-S
charcoal	32-53547-B,40-29836-B,70-859-S
charcoal briquette	41-5944-B
charcoal seller	59-59038-S
chard beta vulgaris	41-48342-B,49-11432-B
charge	3-6965-S,5-45912-S,7-21301-S,8-15125-S,8-44147-S,10-13428-S,11-45562-S,16-13873-S,22-29223-S,26-35150-S,26-48741-S,26-60379-S,27-50748-S,27-50795-S,27-58992-S,28-28481-S,28-28880-S,28-29274-B,28-29326-S,29-42847-B,29-47554-S,32-43363-S,32-43363-S,37-12703-S,37-14184-B,40-46948-S,43-44484-S,44-35806-S,48-21489-S,50-32205-S,50-51568-S,56-39315-B,56-40298-B,57-27847-S,57-66309-B,58-16278-S,59-13294-S,59-14211-S,59-32106-B,59-40430-S,60-10923-S,62-39674-S,62-41116-S,65-20147-S,66-31881-S,66-36968-S,67-35791-S,67-35951-S
charge ammunition into gun	56-61155-S
charge around violently	35-9909-S
charge coupled device electronics	67-35840-B
charge for changing currency	59-48329-S
charge forward	42-12280-S
charge in	65-52510-S
charge in a hotel	22-61874-S
charge in court in former times	20-54513-S
charge in legal case	11-53937-S
charge into	56-39263-S
charge of	6-14265-S,10-13136-S,28-13914-S,28-14651-S,29-22506-S,45-9726-S,48-25144-S,49-61577-S,59-32156-S,59-32336-S
charge of a class	42-46313-S
charge of a foreign possession or territory	50-34377-S
charge of a position etc	3-6965-S
charge of public records	12-22336-S
charge of something	59-32262-S
charge of something specific	20-40812-S
charge of sth	22-52143-S
charge on nucleus	33-63676-S
charge or current	67-38289-S
charge or verdict	8-14977-S
charge used as a pretext in sentencing dissidents	60-62819-B
charge used to gag free speech	41-11022-S
charge with promoting agriculture in han dynasty	10-11692-S
charged nuclear particle	59-60015-S
charged particles	22-29296-S
charged with	29-23236-S
charged with decisive action	29-21005-S
charger	7-692-S
charges against sb	50-61840-S
charges for a room	26-27365-B
charges legal	7-64250-S
charges seven times through the ranks of cao cao s armies	65-12079-S
charges while admitting minor ones	63-7636-S
charging import duties	65-55100-S
chargé d affaires	4-33720-S
chariot	14-53190-B,26-20390-S,30-64366-S,61-1676-S,61-6634-B,61-8365-S,61-31208-S,64-20481-S
chariot canopy	22-35120-B
chariot drooping down like ears	61-8423-S
chariot for sleeping and conveyance	61-31120-B
chariot shaft	34-30110-S
charioteer	60-59080-B
chariots	48-24781-S,61-17224-S
chariots for battle	23-7149-S
chariots punishment	61-31415-S
charisma	4-10990-B,70-33753-B
charitable	3-31066-B,4-20996-B,25-44797-B
charity	6-7209-S,7-62497-B,13-13292-B,14-3748-B,25-44938-S,25-45019-B,28-3817-S,30-25098-S,30-65572-S,40-48955-S,59-56256-B,59-56323-B,59-56571-B
charity bazaar	51-14331-B
charity donor	25-44852-B
charity organization	25-45081-B
charity performance theater in former times	28-59799-B
charity project	7-72940-S
charity show	51-13460-B
charity to sb out of pity	25-3107-S
charlatan	23-4014-B,36-59905-B
charlemagne	33-46480-B
charlene barshefsky	22-8599-B
charles	33-46255-B
charles augustin de coulomb 1736 1806	22-65370-B
charles darwin 1809 1882	62-54485-B
charles darwin s origin of species	41-54451-B
charles de gaulle 1890 1970	26-24308-B
charles de secondat	19-10685-B
charles fourier french sociologist and socialist	6-25510-S
charles francis richter 1900 1985	63-54489-B
charles hutzler us journalist	68-12562-B
charles lyell 1797 1875	54-39171-S
charles messier 1730 1817	34-11110-B,34-12203-B,34-12386-B
charles stewart parnell 1846 1891	22-22145-B
charles yah lin trie arkansas restauranteur	21-43727-B
charleston	33-46305-B
charlie chaplin	34-5005-B
charlotte brontë 1816 1855	16-41243-B
charlotte name	16-41183-B
charlottetown	16-41358-B
charm	4-10990-S,9-3784-S,18-56419-B,48-5931-S,48-6931-S,59-20141-B,59-22237-B,68-17078-B,68-18192-S,68-18377-S,68-54341-B,68-59179-B,70-33710-S,70-33753-B
charm and beauty	9-3784-S
charm in rhyme or sound	68-17243-S
charm or grace in poetry or art	46-62506-B
charm quark phys 	48-51614-B
charm religious object conferring blessing	48-6495-S
charm to protect against evil spirits	48-6859-S
charmed	24-39510-B
charming	18-60300-B,32-41730-B,32-41793-B,44-49225-S,45-46539-B,50-11870-B,61-53555-B,68-54420-B
charms	18-22205-S
chart	8-49407-S,8-52166-S,15-23113-S,15-25269-B,15-27946-B,31-31024-S,31-31779-S,34-52553-S,38-5261-S,48-43821-B,53-33779-B,58-64215-B
chart topping	31-64328-B
chart used by optician	57-34521-S
charter	25-57636-B,41-61673-B,51-58658-S
charter a car	10-13311-S
charter a plane	10-16203-S
charter a ship	10-17563-S
charter of a corporation	47-63937-B
chartered bank	39-2542-S
chartered car	10-18563-B
chartered plane	10-16203-B
chartering charge	10-13428-B
chartering system	10-13364-B
chartist movement in the 1840s in england	25-57680-S
charts of best sellers	28-17986-S
chase	60-30855-S,60-54411-B,61-56182-S,61-60761-S,62-1974-S,65-9835-S,65-10101-S
chase after	61-60343-S
chase after a popular person or item	61-57822-S
chase and beat	61-57618-S
chases the rich and powerful	18-31576-S,18-31734-S
chasing the wind and clutching at shadows 成语 saw	28-5521-S
chasis	22-60894-B
chasm	56-54530-B,70-55688-B
chaste	16-5616-B,32-40099-B,59-30904-B,59-58172-B
chaste and undefiled	33-28238-S
chastisement	50-51879-S
chastity	59-30992-B
chat	3-71743-B,5-16564-S,29-31117-B,30-332-S,30-793-S,31-64026-S,47-49786-S,51-43155-S,51-43155-S,51-43554-S,58-40628-S,58-41050-S,58-41298-S,58-41953-S,65-45409-S,65-45464-S,65-46298-B,68-62063-S
chat 1980s beijing slang	46-12820-S
chat dialect	13-5944-B
chat room	51-43682-B
chat room and text messages	7-49126-S
chateauroux french town	37-16991-B
chatline of prc internet company taobao	38-41954-B
chatter	14-5675-S,14-5772-B,14-31770-S,14-31803-S,14-40391-B,14-44943-S,46-38601-S,52-21533-S
chatter a lot	14-5722-S
chatter away incessantly	46-40900-S
chatter continuously	14-31955-S
chatter endlessly	49-50095-S,49-50752-S
chatter incessantly	49-50444-S,49-50698-S
chatter like old woman	18-37706-B
chatter loudly	49-50634-S
chatter mark	69-50274-B
chattering	14-26437-B,14-26698-B,14-39603-B
chattering or giggling	13-53520-S
chattersome	12-7520-S
chau place in hong kong	54-50976-S
chaucer english author	6-27509-S
chauffeur	12-24172-B
chaung river	37-56498-S,37-56579-S
chauvinism	37-15893-B
chavannes name	37-17072-B
chavez	33-47122-B
chaya place in tibet	20-11090-S
chayote	5-4127-B
chayu place in tibet	20-11031-S
chcl3	36-35553-S
che	52-51313-S,60-58341-S
chea sim	58-57443-B
cheap	4-67907-B,5-28358-B,5-28881-B,22-37561-B
cheap choice	44-39243-S
cheap goods	5-29070-B
cheap trick	26-65509-B
cheaper	65-22907-S
cheaply	59-59303-S
cheaply priced	23-4850-B
cheaply than cost price at home	27-27453-S
cheapskate	65-2299-B
cheat	5-5628-S,5-6634-S,35-23053-S,35-23518-S,35-23598-S,45-61052-S,49-34937-S,56-35541-S,58-6664-B,58-58311-S,59-63133-B,69-53447-S,69-53722-S
cheat code	47-22303-B
cheat i e 欺骗	13-7797-S
cheat sb	69-53530-S
cheat sb into confessing	69-53583-S
cheat you 成语 saw	41-43222-S
cheated	2-81749-B,11-65532-B
cheating	69-53669-S
checheng village in taiwan	60-58693-S
chechnya	60-59882-B
check	9-10827-S,9-11388-S,9-11636-S,11-12642-S,16-7701-B,19-23833-S,19-30118-S,20-52613-S,22-27535-B,26-60656-S,27-61646-S,29-39055-S,29-39055-B,29-43304-S,30-68535-S,32-65620-S,33-45415-S,33-46049-S,33-46819-S,33-52641-S,33-53995-S,35-12547-S,35-13564-S,35-14674-S,38-66219-S,45-10338-S,47-36143-B,51-21683-S,51-32161-S,52-17907-S,57-29168-S,61-62600-S,62-48916-B,62-48950-B,65-64552-S,69-57743-S,69-58775-S,69-58892-S
check accounts	60-60767-S
check an amount	71-41986-S
check and correct	51-34145-S
check and make clear	69-58519-S
check and ratify	57-29018-S
check and research	51-33894-S
check and restrict	35-13257-S
check and review	20-23229-S
check and revise	20-21584-S
check bad habits	9-26648-S
check by paying in cash	7-20062-S
check digit	33-54049-B
check e g for drugs	27-17104-S
check figures	57-29219-S
check i e to stop sb s advance	62-49022-S
check in	16-9095-B,44-24231-S
check in battle	56-30338-B
check in counter	44-24326-B
check items	71-42040-S
check numbers	71-39850-S
check on	26-65985-B
check on receipt	69-58326-S
check one s step	30-24823-S
check out a story	33-46962-B
check out of a hotel	49-39890-S
check sequence	22-33388-S
check sth and accept it	71-39788-S
check the record	35-14466-B
check through baggage	26-52675-S
check tickets	69-58724-S
check up	33-46544-B,38-63609-B,70-7700-S,70-7833-S
check up health	6-18969-B
check up on	35-12797-B,51-34039-S
check up on sb s achievements	51-33974-S
checked in on flight	26-52743-S
checker	26-45838-S
checkered cloth	53-54740-B
checkered pattern	34-19895-B
checkers	32-23242-S
checkers board and pieces for go 圍棋 围棋 or chinese chess 象棋 etc	34-19699-B
checkers western board game	15-19965-B
checkmark	20-55362-B
checkpoint	35-13434-B,35-13507-B,62-12819-S,63-11315-S
checkpost	11-12694-B
checks etc	26-60656-S
chee hwa hong kong chief executive from 1997 to 2005	54-59447-S
cheek	11-29874-B,12-67653-S,24-43852-S,48-34714-S,52-41856-S,52-52487-B,52-52704-B,68-4117-B
cheek bone	66-50840-S,68-53144-B,68-53213-S
cheek bones	68-53109-B
cheek face	52-52532-S
cheekbone	68-21291-B,68-40877-B,69-24694-B
cheeks	26-58354-S,52-41807-S,68-35791-B,68-40918-B
cheeks 成语 saw	44-63362-S
cheep	12-69039-S
cheer	12-9424-B,14-10311-S,14-10683-B
cheer for	35-31631-B
cheer leader	13-66477-B
cheer on originally esp as paid stooge	28-6319-S
cheer sb on	9-57004-S
cheer 成语 saw	27-29721-S
cheerful	18-37706-B,20-26353-B,24-48418-B,24-69962-B,25-16644-B,25-27901-B,25-28008-B,25-38625-B,31-24642-S,34-47149-B
cheerful and committed 成语 saw from mencius 孟子	24-32792-B
cheerful despite a crisis	58-41653-S
cheerful mood	70-21176-S
cheerful talk	48-5268-B
cheerfully and wittily	58-41795-S
cheerily	25-27901-B
cheering squad	13-66395-B,27-23084-B
cheerios breakfast cereal	52-29079-B
cheerleader	13-66395-B,27-23084-B
cheerless	8-24904-B
cheers proposing a toast	3-24610-B
cheese	3-23534-B,3-25600-B,11-16968-S,18-24491-B,63-42429-S,63-42749-B,63-47572-S
cheese loan word used in taiwan	60-16486-B
cheetah	42-25004-B
chef	23-6355-S,23-6355-S
cheju island	40-9398-S
cheju island in south korea	40-9522-B
chek language	28-9438-B
chekhov 1860 1904	18-6659-S
chekiang in east china	38-8398-S,38-8744-S
chela	56-13246-B
chelsea	8-61917-B,24-29717-B
chelyabinsk town on the eastern flanks of ural	60-60401-B
chem	39-63498-S,63-9689-S,67-5350-S
chem 	1-24808-S,2-43902-S,3-15756-S,10-20772-S,13-4732-B,13-41997-S,13-53107-S,14-404-S,15-66722-S,15-67577-S,20-34880-S,24-13446-S,30-43264-S,33-63839-S,37-64862-S,40-55309-S,42-31945-S,43-39691-S,46-22891-S,46-32711-S,47-27399-S,47-27449-S,48-61824-S,49-42708-S,52-9629-S,52-15681-S,52-49218-S,53-63947-S,54-674-S,54-8547-S,66-36799-S,67-1996-S,67-9471-S,67-28000-S,68-48274-S,71-4733-S,71-7870-B
chem absorbtion	13-4682-B
chem acyl	63-43758-B
chem amide	63-43808-B
chem as in anisoin	14-25023-S
chem carboxyl group	51-12025-B
chem carboxyl radical	51-11976-B
chem compound	13-10443-S
chem covalent bond	7-70589-B
chem epoxy resin	43-5994-B
chem hydrolysis	36-46582-B
chem litmus as in litmus paper	46-10121-B
chem litmus paper	46-10204-B
chem macromolecule	17-7060-B
chem olefine	40-42752-B
chem palmitic acid	61-3728-B
chem phenanthrene	54-36832-B
chem precipitate	39-65837-B
chem silicon	46-11542-B
chem sodium carbonate	46-32509-B
chem sodium chloride	36-35850-B
chem solution	39-24238-B
chem trace element	24-22134-B
chemical	10-21204-B,10-21976-B,42-53658-S,43-60648-S,52-37947-S,61-42652-S,61-42652-S,63-41805-S,67-58117-S
chemical agents	38-53635-S
chemical ammunition	10-21901-B
chemical bomb	10-23214-B
chemical bond	10-23284-B
chemical colorimetry	10-22795-B
chemical combination	10-20719-B
chemical composition	19-45219-S
chemical compound	10-20831-B
chemical compound into its elements	57-53260-S
chemical corporation	2-61264-S,2-61362-S,2-76718-S
chemical detection kit	10-22244-B
chemical dosimeter	10-21406-B
chemical element	6-62764-B,10-21334-B
chemical energy	10-23153-B
chemical engineering	10-21744-B,10-23630-B,11-48957-S
chemical equation	10-22440-B
chemical essential to hemoglobin and chlorophyll	11-11964-S
chemical factors	42-53712-S
chemical factory	10-23703-B
chemical fiber	10-23082-B,10-24460-B
chemical formula e g water h2o	10-21823-B
chemical industry	10-21671-B,10-23630-B
chemical industry association cpcia	2-61549-S
chemical laser	10-22948-B
chemical or pharmaceutical preparation	57-3925-B
chemical out of solution	57-47990-S
chemical oxygen demand an environmental indicator	10-23343-B
chemical pathology	29-61917-S,29-62035-S
chemical polarity	34-35116-B
chemical properties	6-53313-S
chemical property	10-22030-B
chemical reaction	10-21491-B,11-48414-B,11-48737-S
chemical stimulus	60-31222-S
chemical synthesis	12-33744-B
chemical warfare	10-22104-B
chemical warfare agent	10-22166-B,43-23743-S
chemical warhead	10-22357-B
chemical weapon	10-22527-B,36-6943-S
chemical weapon defense	10-22696-B
chemical weapons storage	10-22596-B
chemically	52-37855-S
chemicals	10-21565-B,10-23029-B,39-44754-S
chemicals from solution	8-45363-S
chemise	18-21559-B
chemist	10-21619-B,55-33631-S
chemistry	8-54710-S,10-21204-B,11-47670-S,13-15008-S,13-15080-S,29-1537-S,32-35505-S,40-55358-S,41-53916-S,43-4855-S,53-62279-S,53-62353-S,54-963-S,68-23749-S,70-12086-S
chemistry 化学	10-20608-S
chemotaxis movement of leukocytes under chemical stimulus	60-31222-B
chemotherapy	10-22879-B,10-24213-B
chen	58-47199-S,66-26326-S,66-28533-S,66-30339-S,67-880-S
chen 1613 1670	66-27675-S
chen 1976 	23-41998-S
chen boda 1904 1989	66-26580-B
chen chen 1613 1670	66-27675-B
chen duxiu 1879 1942	66-28654-B
chen fu	61-33767-S
chen gongyin 1631 1700	66-27732-B
chen jingrun 1933 1996 chinese number theorist	66-28084-B
chen jiongming 1878 1933	66-28579-B
