武仙座	35-43780-S
毛根 毛根	36-14101-B
毛毛	36-14151-S
毛毛 毛毛	36-14151-B
毛毛虫	36-14188-S
毛毛蟲 毛毛虫	36-14188-B
毛毛雨	36-14245-S
毛毛雨 毛毛雨	36-14245-B
毛毡	36-14348-S
毛毯	36-14307-S
毛毯 毛毯	36-14307-B
毛氈 毛毡	36-14348-B
毛泽东	36-14502-S
毛泽东主义	36-14569-S
毛泽东思想	36-14641-S
毛洋槐	36-14387-S
毛洋槐 毛洋槐	36-14387-B
毛派	36-14462-S
毛派 毛派	36-14462-B
毛澤東 毛泽东	36-14502-B
毛澤東主義 毛泽东主义	36-14569-B
毛澤東思想 毛泽东思想	36-14641-B
毛片	36-14734-S
毛片 毛片	36-14734-B
毛病	36-14801-S
毛病 毛病	36-14801-B
毛皮	36-14861-S
毛皮 毛皮	36-14861-B
毛笔	36-14898-S
毛筆 毛笔	36-14898-B
毛細 毛细	36-14944-B
毛線 毛线	36-14986-B
毛織運動衫 毛织运动衫	36-15044-B
毛线	36-14986-S
毛细	36-14944-S
毛织运动衫	36-15044-S
毛腿沙雞 毛腿沙鸡	36-15119-B
毛腿沙鸡	36-15119-S
毛茛	36-15215-S
毛茛 毛茛	36-15215-B
毛茸茸	36-15258-S
毛茸茸 毛茸茸	36-15258-B
毛荳 毛豆	36-15317-B
毛虫	36-15365-S
毛蟲 毛虫	36-15365-B
毛衣	36-15412-S
毛衣 毛衣	36-15412-B
毛裡塔尼亞 毛里塔尼亚	36-15459-B
毛裡求斯 毛里求斯	36-15532-B
毛豆	36-15317-S
毛里塔尼亚	36-15459-S
毛里求斯	36-15532-S
毛骨悚然	36-15595-S
毛骨悚然 毛骨悚然	36-15595-B
毛髮 毛发	36-15674-B
毡	36-17654-S
毧	36-15711-S
毧 毧	36-15711-B
毫	36-15744-S
毫 毫	36-15744-B
毫不	36-15815-S
毫不 毫不	36-15815-B
毫不客气	36-15882-S
毫不客氣 毫不客气	36-15882-B
毫不怀疑	36-15981-S
毫不懷疑 毫不怀疑	36-15981-B
毫克	36-16063-S
毫克 毫克	36-16063-B
毫升	36-16105-S
毫升 毫升	36-16105-B
毫发	36-16996-S
毫巴	36-16151-S
毫巴 毫巴	36-16151-B
毫微米	36-16205-S
毫微米 毫微米	36-16205-B
毫无	36-16346-S
毫无二致	36-16430-S
毫无用处	36-16519-S
毫无疑问	36-16582-S
毫无逊色	36-16661-S
毫毛	36-16293-S
毫毛 毫毛	36-16293-B
毫無 毫无	36-16346-B
毫無二致 毫无二致	36-16430-B
毫無用處 毫无用处	36-16519-B
毫無疑問 毫无疑问	36-16582-B
毫無遜色 毫无逊色	36-16661-B
毫秒	36-16740-S
毫秒 毫秒	36-16740-B
毫米	36-16786-S
毫米 毫米	36-16786-B
毫米水銀柱 毫米水银柱	36-16829-B
毫米水银柱	36-16829-S
毫米波	36-16923-S
毫米波 毫米波	36-16923-B
毫髮 毫发	36-16996-B
毬	36-17049-S
毬 毬	36-17049-B
毯	36-17076-S
毯 毯	36-17076-B
毯子	36-17110-S
毯子 毯子	36-17110-B
毳	36-17151-S
毳 毳	36-17151-B
毵	36-17390-S
毷	36-17204-S
毷 毷	36-17204-B
毹	36-17235-S
毹 毹	36-17235-B
毽	36-17261-S
毽 毽	36-17261-B
毽子	36-17296-S
毽子 毽子	36-17296-B
毾	36-17360-S
毾 毾	36-17360-B
毿 毵	36-17390-B
氂 牦	36-17431-B
氂牛 牦牛	36-17475-B
氄	36-17530-S
氄 氄	36-17530-B
氅	36-17571-S
氅 氅	36-17571-B
氆	36-17604-S
氆 氆	36-17604-B
氇	36-17713-S
氈 毡	36-17654-B
氉	36-17682-S
氉 氉	36-17682-B
氌 氇	36-17713-B
氍	36-17763-S
氍 氍	36-17763-B
氏	36-17795-S
氏 氏	36-17795-B
氏族	36-17839-S
氏族 氏族	36-17839-B
氐	36-17876-S,36-17922-S
氐 氐	36-17876-B,36-17922-B
民	36-17967-S
民 民	36-17967-B
民丰	36-23044-S
民主	36-18020-S
民主 民主	36-18020-B
民主主义	36-18063-S
民主主义者	36-18127-S
民主主義 民主主义	36-18063-B
民主主義者 民主主义者	36-18127-B
民主党	36-18990-S
民主党人	36-19052-S
民主化	36-18202-S
民主化 民主化	36-18202-B
民主墙	36-18605-S
民主建港协进联盟	36-18296-S
民主建港協進聯盟 民主建港协进联盟	36-18296-B
民主政治	36-18464-S
民主政治 民主政治	36-18464-B
民主派	36-18542-S
民主派 民主派	36-18542-B
民主牆 民主墙	36-18605-B
民主进步党	36-18678-S
民主進步黨 民主进步党	36-18678-B
民主集中制	36-18778-S
民主集中制 民主集中制	36-18778-B
民主革命	36-18867-S
民主革命 民主革命	36-18867-B
民主黨 民主党	36-18990-B
民主黨人 民主党人	36-19052-B
民乐	36-21644-S
民事	36-19134-S
民事 民事	36-19134-B
民事訴訟 民事诉讼	36-19205-B
民事诉讼	36-19205-S
民以食为天	36-19315-S
民以食為天 民以食为天	36-19315-B
民众	36-22463-S
民俗	36-19475-S
民俗 民俗	36-19475-B
民俗学	36-19523-S
民俗學 民俗学	36-19523-B
民兵	36-19575-S
民兵 民兵	36-19575-B
民勤	36-19634-S
民勤 民勤	36-19634-B
民和	36-19695-S
民和 民和	36-19695-B
民团	36-20054-S
民国	36-19773-S
民国通俗演义	36-19893-S
民國 民国	36-19773-B
民國通俗演義 民国通俗演义	36-19893-B
民團 民团	36-20054-B
民工	36-20108-S
民工 民工	36-20108-B
民庭	36-20175-S
民庭 民庭	36-20175-B
民建联	36-20221-S
民建聯 民建联	36-20221-B
民意	36-20392-S
民意 民意	36-20392-B
民意测验	36-20464-S
民意測驗 民意测验	36-20464-B
民意調查 民意调查	36-20530-B
民意调查	36-20530-S
民房	36-20598-S
民房 民房	36-20598-B
民政厅	36-20646-S
民政廳 民政厅	36-20646-B
民政部	36-20781-S
民政部 民政部	36-20781-B
民数记	36-20869-S
民數記 民数记	36-20869-B
民族	36-20945-S
民族 民族	36-20945-B
民族主义	36-21002-S
民族主义情绪	36-21120-S
民族主義 民族主义	36-21002-B
民族主義情緒 民族主义情绪	36-21120-B
民族大学	36-21238-S
民族大學 民族大学	36-21238-B
民族大迁徙	36-21351-S
民族大遷徙 民族大迁徙	36-21351-B
民族学	36-21442-S
民族學 民族学	36-21442-B
民族自决	36-21508-S
民族自決 民族自决	36-21508-B
民族舞蹈	36-21580-S
民族舞蹈 民族舞蹈	36-21580-B
民权	36-21688-S
民权主义	36-21738-S
民樂 民乐	36-21644-B
民權 民权	36-21688-B
民權主義 民权主义	36-21738-B
民歌	36-21842-S
民歌 民歌	36-21842-B
民歌手	36-21884-S
民歌手 民歌手	36-21884-B
民法	36-21940-S
民法 民法	36-21940-B
民法典	36-21982-S
民法典 民法典	36-21982-B
民營 民营	36-22037-B
民營化 民营化	36-22104-B
民生	36-22163-S
民生 民生	36-22163-B
民生主义	36-22235-S
民生主義 民生主义	36-22235-B
民用	36-22324-S
民用 民用	36-22324-B
民用核国家	36-22377-S
民用核國家 民用核国家	36-22377-B
民眾 民众	36-22463-B
民穷财尽	36-22525-S
民窮財盡 民穷财尽	36-22525-B
民脂民膏	36-22610-S
民脂民膏 民脂民膏	36-22610-B
民航	36-22814-S
民航 民航	36-22814-B
民营	36-22037-S
民营化	36-22104-S
民調 民调	36-22863-B
民謠 民谣	36-22910-B
民警	36-22950-S
民警 民警	36-22950-B
民调	36-22863-S
民谣	36-22910-S
民豐 民丰	36-23044-B
民运	36-23189-S
民进党	36-23110-S
民选	36-23294-S
民進黨 民进党	36-23110-B
民運 民运	36-23189-B
民選 民选	36-23294-B
民間 民间	36-23351-B
民間傳說 民间传说	36-23473-B
民間故事 民间故事	36-23562-B
民間組織 民间组织	36-23636-B
民間習俗 民间习俗	36-23717-B
民間藝術 民间艺术	36-23784-B
民間音樂 民间音乐	36-23848-B
民间	36-23351-S
民间习俗	36-23717-S
民间传说	36-23473-S
民间故事	36-23562-S
民间组织	36-23636-S
民间艺术	36-23784-S
民间音乐	36-23848-S
民雄乡	36-23915-S
民雄鄉 民雄乡	36-23915-B
民風 民风	36-23997-B
民风	36-23997-S
氓	36-24056-S,36-24095-S
氓 氓	36-24056-B,36-24095-B
气	36-24125-S,36-24927-S
气 气	36-24125-B
气不公	36-25019-S
气不平	36-25072-S
气不忿儿	36-25135-S
气不过	36-25204-S
气人	36-25306-S
气体	36-31632-S
气体扩散	36-31692-S
气体离心	36-31763-S
气候	36-25356-S
气候变化	36-25660-S
气候学家	36-25417-S
气候暖化	36-25487-S
气候状况	36-25558-S
气像人员	36-25730-S
气冲冲	36-25801-S
气冲牛斗	36-30046-S
气冲霄汉	36-30129-S
气冷式反应堆	36-25867-S
气力	36-25964-S
气功	36-26024-S
气动	36-26064-S
气动噪声	36-26107-S
气动开关	36-26440-S
气动式	36-26182-S
气动控制	36-26236-S
气动泵	36-26305-S
气动葫芦	36-26365-S
气动闸	36-26513-S
气势	36-26573-S
气势汹汹	36-26676-S
气包子	36-26745-S
气化	36-26808-S
气压	36-27869-S
气压表	36-27941-S
气压计	36-27994-S
气口	36-27004-S
气味	36-27130-S
气喘	36-27173-S
气喘吁吁	36-27277-S
气喘喘	36-27345-S
气喘如牛	36-27403-S
气喘病	36-27522-S
气囊	36-27575-S
气垫	36-27728-S
气垫船	36-27792-S
气塞	36-27632-S
气头上	36-31513-S
气孔	36-28045-S
气态	36-28238-S
气急败坏	36-28100-S
气息	36-28200-S
气愤	36-28323-S
气旋	36-28373-S
气昂昂	36-28414-S
气枪	36-28548-S
气楼	36-28593-S
气概	36-28488-S
气死	36-28669-S
气氛	36-28717-S
气泡	36-28765-S
气泵	36-28823-S
气派	36-28865-S
气流	36-28910-S
气温	36-29013-S
气溶胶	36-29061-S
气溶胶侦察仪	36-29114-S
气焊	36-29209-S
气煤	36-29253-S
气球	36-29294-S
气瓶	36-29334-S
气田	36-29409-S
气笼	36-29732-S
气管	36-29453-S
气管炎	36-29530-S
气管痉挛	36-29625-S
气粗	36-29813-S
气缸	36-29862-S
气色	36-29913-S
气血	36-29955-S
气象	36-30229-S
气象卫星	36-30739-S
气象厅	36-30590-S
气象台	36-30286-S
气象学	36-30380-S
气象学者	36-30437-S
气象局	36-30509-S
气象站	36-30658-S
气质	36-30938-S
气贯长虹	36-30814-S
气道	36-30982-S
气量	36-31058-S
气锤	36-31208-S
气门	36-31257-S
气雾免疫	36-31383-S
气雾室	36-31457-S
气馁	36-31582-S
气魄	36-31830-S
氕	36-24160-S
氕 氕	36-24160-B
氖	36-24190-S
氖 氖	36-24190-B
気	36-24220-S
気 気	36-24220-B
氘	36-24269-S
氘 氘	36-24269-B
氘核	36-24301-S
氘核 氘核	36-24301-B
氙	36-24342-S
氙 氙	36-24342-B
氚	36-24374-S
氚 氚	36-24374-B
氛	36-24406-S
氛 氛	36-24406-B
氛围	36-24441-S
氛圍 氛围	36-24441-B
氝	36-24494-S
氝 氝	36-24494-B
氟	36-24546-S
氟 氟	36-24546-B
氟化	36-24578-S
氟化 氟化	36-24578-B
氟化氢	36-24636-S
氟化氫 氟化氢	36-24636-B
氟化物	36-24698-S
氟化物 氟化物	36-24698-B
氟石	36-24749-S
氟石 氟石	36-24749-B
氟硅酸	36-24810-S
氟硅酸 氟硅酸	36-24810-B
氡	36-24895-S
氡 氡	36-24895-B
氢	36-33726-S
氢净合成油	36-33760-S
氢化	36-33846-S
氢化氰	36-33894-S
氢原子核	36-33974-S
氢弹	36-34046-S
氢气	36-34168-S
氢氟酸	36-34101-S
氢氧	36-34216-S
氢氧化	36-34286-S
氢氧化物	36-34367-S
氢氧化钙	36-34524-S
氢氧化钠	36-34433-S
氢氧化钾	36-34619-S
氢氧化铝	36-34696-S
氢氧根	36-34771-S
氢氧根离子	36-34841-S
氢氧离子	36-34925-S
氢氯酸	36-34998-S
氢溴酸	36-35092-S
氢键	36-35159-S
氣 气	36-24927-B
氣不公 气不公	36-25019-B
氣不平 气不平	36-25072-B
氣不忿兒 气不忿儿	36-25135-B
氣不過 气不过	36-25204-B
氣人 气人	36-25306-B
氣候 气候	36-25356-B
氣候學家 气候学家	36-25417-B
氣候暖化 气候暖化	36-25487-B
氣候狀況 气候状况	36-25558-B
氣候變化 气候变化	36-25660-B
氣像人員 气像人员	36-25730-B
氣冲冲 气冲冲	36-25801-B
氣冷式反應堆 气冷式反应堆	36-25867-B
氣力 气力	36-25964-B
氣功 气功	36-26024-B
氣動 气动	36-26064-B
氣動噪聲 气动噪声	36-26107-B
氣動式 气动式	36-26182-B
氣動控制 气动控制	36-26236-B
氣動泵 气动泵	36-26305-B
氣動葫蘆 气动葫芦	36-26365-B
氣動開關 气动开关	36-26440-B
氣動閘 气动闸	36-26513-B
氣勢 气势	36-26573-B
氣勢洶洶 气势汹汹	36-26676-B
氣包子 气包子	36-26745-B
氣化 气化	36-26808-B
氣口 气口	36-27004-B
氣味 气味	36-27130-B
氣喘 气喘	36-27173-B
氣喘吁吁 气喘吁吁	36-27277-B
氣喘喘 气喘喘	36-27345-B
氣喘如牛 气喘如牛	36-27403-B
氣喘病 气喘病	36-27522-B
氣囊 气囊	36-27575-B
氣塞 气塞	36-27632-B
氣墊 气垫	36-27728-B
氣墊船 气垫船	36-27792-B
氣壓 气压	36-27869-B
氣壓表 气压表	36-27941-B
氣壓計 气压计	36-27994-B
氣孔 气孔	36-28045-B
氣急敗壞 气急败坏	36-28100-B
氣息 气息	36-28200-B
氣態 气态	36-28238-B
氣憤 气愤	36-28323-B
氣旋 气旋	36-28373-B
氣昂昂 气昂昂	36-28414-B
氣概 气概	36-28488-B
氣槍 气枪	36-28548-B
氣樓 气楼	36-28593-B
氣死 气死	36-28669-B
氣氛 气氛	36-28717-B
