奸細 奸细	18-25299-B
媳婦 媳妇	18-57011-B
媳婦兒 媳妇儿	18-57090-B
媵	18-57178-S
媵 媵	18-57178-B
媸	18-57234-S
媸 媸	18-57234-B
媺	18-57267-S
媺 媺	18-57267-B
媻	18-57299-S
媻 媻	18-57299-B
媼 媪	18-57329-B
媽 妈	18-57360-B
媽咪 妈咪	18-57390-B
媽媽 妈妈	18-57436-B
媽祖 妈祖	18-57484-B
媾	18-57531-S
媾 媾	18-57531-B
媾和	18-57574-S
媾和 媾和	18-57574-B
媿	18-57620-S
媿 媿	18-57620-B
嫁	18-57650-S
嫁 嫁	18-57650-B
嫁人	18-57693-S
嫁人 嫁人	18-57693-B
嫁妆	18-57752-S
嫁妝 嫁妆	18-57752-B
嫁娶	18-57843-S
嫁娶 嫁娶	18-57843-B
嫁接	18-57884-S
嫁接 嫁接	18-57884-B
嫁祸于人	18-57952-S
嫁禍於人 嫁祸于人	18-57952-B
嫁雞隨雞 嫁鸡随鸡	18-58090-B
嫁鸡随鸡	18-58090-S
嫂	18-58166-S
嫂 嫂	18-58166-B
嫂嫂	18-58224-S
嫂嫂 嫂嫂	18-58224-B
嫂子	18-58287-S
嫂子 嫂子	18-58287-B
嫄	18-58365-S
嫄 嫄	18-58365-B
嫈	18-58407-S
嫈 嫈	18-58407-B
嫉	18-58452-S
嫉 嫉	18-58452-B
嫉妒	18-58496-S
嫉妒 嫉妒	18-58496-B
嫋	18-58540-S
嫋 嫋	18-58540-B
嫌	18-58581-S
嫌 嫌	18-58581-B
嫌弃	18-58779-S
嫌忌	18-58626-S
嫌忌 嫌忌	18-58626-B
嫌恨	18-58669-S
嫌恨 嫌恨	18-58669-B
嫌恶	18-58710-S
嫌惡 嫌恶	18-58710-B
嫌棄 嫌弃	18-58779-B
嫌犯	18-58871-S
嫌犯 嫌犯	18-58871-B
嫌猜	18-58915-S
嫌猜 嫌猜	18-58915-B
嫌疑	18-58959-S
嫌疑 嫌疑	18-58959-B
嫌疑人	18-59022-S
嫌疑人 嫌疑人	18-59022-B
嫌疑犯	18-59076-S
嫌疑犯 嫌疑犯	18-59076-B
嫌肥挑瘦	18-59130-S
嫌肥挑瘦 嫌肥挑瘦	18-59130-B
嫌隙	18-59245-S
嫌隙 嫌隙	18-59245-B
嫒	18-61816-S
嫔	18-62019-S
嫖	18-59308-S
嫖 嫖	18-59308-B
嫗 妪	18-59350-B
嫘	18-59400-S
嫘 嫘	18-59400-B
嫚	18-59434-S
嫚 嫚	18-59434-B
嫜	18-59475-S
嫜 嫜	18-59475-B
嫠	18-59533-S
嫠 嫠	18-59533-B
嫡	18-59560-S
嫡 嫡	18-59560-B
嫣	18-59610-S
嫣 嫣	18-59610-B
嫣然	18-59644-S
嫣然 嫣然	18-59644-B
嫦	18-59702-S
嫦 嫦	18-59702-B
嫦娥	18-59787-S
嫦娥 嫦娥	18-59787-B
嫩	18-59869-S
嫩 嫩	18-59869-B
嫩江	18-59903-S
嫩江 嫩江	18-59903-B
嫩江地区	18-59975-S
嫩江地區 嫩江地区	18-59975-B
嫪	18-60079-S
嫪 嫪	18-60079-B
嫪毐	18-60142-S
嫪毐 嫪毐	18-60142-B
嫫	18-60191-S
嫫 嫫	18-60191-B
嫰	18-60223-S
嫰 嫰	18-60223-B
嫱	18-61634-S
嫵 妩	18-60261-B
嫵媚 妩媚	18-60300-B
嫻 娴	18-60348-B
嫻熟 娴熟	18-60387-B
嫻靜 娴静	18-60435-B
嫽	18-60489-S
嫽 嫽	18-60489-B
嫿	18-60531-S
嫿 嫿	18-60531-B
嬃	18-60562-S
嬃 嬃	18-60562-B
嬈 娆	18-60596-B,18-60627-B
嬉	18-60661-S
嬉 嬉	18-60661-B
嬉戏	18-60692-S
嬉戲 嬉戏	18-60692-B
嬉游	18-60961-S
嬉皮士	18-60744-S
嬉皮士 嬉皮士	18-60744-B
嬉皮笑脸	18-60793-S
嬉皮笑臉 嬉皮笑脸	18-60793-B
嬉笑	18-60891-S
嬉笑 嬉笑	18-60891-B
嬉遊 嬉游	18-60961-B
嬋 婵	18-61022-B
嬋媛 婵媛	18-61064-B
嬌 娇	18-61128-B
嬌媚 娇媚	18-61190-B
嬌弱 娇弱	18-61236-B
嬌慣 娇惯	18-61279-B
嬌氣 娇气	18-61343-B
嬌貴 娇贵	18-61403-B
嬔	18-61463-S
嬔 嬔	18-61463-B
嬖	18-61496-S
嬖 嬖	18-61496-B
嬗	18-61539-S
嬗 嬗	18-61539-B
嬗变	18-61585-S
嬗變 嬗变	18-61585-B
嬙 嫱	18-61634-B
嬛	18-61681-S,18-61738-S
嬛 嬛	18-61681-B,18-61738-B
嬝	18-61775-S
嬝 嬝	18-61775-B
嬡 嫒	18-61816-B
嬢	18-61863-S
嬢 嬢	18-61863-B
嬤 嬷	18-61934-B
嬦	18-61964-S
嬦 嬦	18-61964-B
嬪 嫔	18-62019-B
嬬	18-62060-S
嬬 嬬	18-62060-B
嬭	18-62090-S
嬭 嬭	18-62090-B
嬰 婴	18-62129-B
嬰兒 婴儿	18-62164-B
嬰兒期 婴儿期	18-62209-B
嬰孩 婴孩	18-62259-B
嬰幼兒 婴幼儿	18-62300-B
嬲	18-62349-S
嬲 嬲	18-62349-B
嬴	18-62386-S
嬴 嬴	18-62386-B
嬴政	18-62425-S
嬴政 嬴政	18-62425-B
嬷	18-61934-S
嬸 婶	18-62485-B
嬸嬸 婶婶	18-62541-B
嬸子 婶子	18-62613-B
嬸母 婶母	18-62694-B
嬾	18-62765-S
嬾 嬾	18-62765-B
嬿	18-62792-S
嬿 嬿	18-62792-B
孀	18-62821-S
孀 孀	18-62821-B
孃 娘	18-62852-B
孃孃 娘娘	18-62892-B
孃孃廟 娘娘庙	18-62950-B
孅	18-63030-S
孅 孅	18-63030-B
孌 娈	19-0-B
孌童 娈童	19-33-B
子	19-121-S,19-208-S
子 子	19-121-B,19-208-B
子丑	19-241-S
子丑 子丑	19-241-B
子代	19-336-S
子代 子代	19-336-B
子公司	19-397-S
子公司 子公司	19-397-B
子午線 子午线	19-482-B
子午线	19-482-S
子叶	19-2018-S
子囊菌	19-534-S
子囊菌 子囊菌	19-534-B
子夜	19-589-S
子夜 子夜	19-589-B
子女	19-629-S
子女 子女	19-629-B
子子孙孙	19-688-S
子子孫孫 子子孙孙	19-688-B
子孙	19-757-S
子孙娘娘	19-809-S
子孫 子孙	19-757-B
子孫孃孃 子孙娘娘	19-809-B
子宫	19-888-S
子宫壁	19-933-S
子宫颈	19-995-S
子宫颈癌	19-1066-S
子宮 子宫	19-888-B
子宮壁 子宫壁	19-933-B
子宮頸 子宫颈	19-995-B
子宮頸癌 子宫颈癌	19-1066-B
子层	19-1137-S
子層 子层	19-1137-B
子弟	19-1179-S
子弟 子弟	19-1179-B
子弹	19-1239-S
子弹火车	19-1278-S
子彈 子弹	19-1239-B
子彈火車 子弹火车	19-1278-B
子房	19-1376-S
子房 子房	19-1376-B
子模型	19-1415-S
子模型 子模型	19-1415-B
子母弹	19-1467-S
子母彈 子母弹	19-1467-B
子母炮弹	19-1542-S
子母炮彈 子母炮弹	19-1542-B
子母炸弹	19-1618-S
子母炸彈 子母炸弹	19-1618-B
子民	19-1684-S
子民 子民	19-1684-B
子洲	19-1723-S
子洲 子洲	19-1723-B
子爵	19-1786-S
子爵 子爵	19-1786-B
子程序	19-1827-S
子程序 子程序	19-1827-B
子粒	19-1882-S
子粒 子粒	19-1882-B
子細胞 子细胞	19-1918-B
子網 子网	19-1974-B
子细胞	19-1918-S
子网	19-1974-S
子葉 子叶	19-2018-B
子規 子规	19-2082-B
子规	19-2082-S
子路	19-2121-S
子路 子路	19-2121-B
子長 子长	19-2186-B
子长	19-2186-S
子集	19-2251-S
子集 子集	19-2251-B
子音	19-2289-S
子音 子音	19-2289-B
子鼠	19-2331-S
子鼠 子鼠	19-2331-B
孑	19-2370-S
孑 孑	19-2370-B
孑孓	19-2420-S
孑孓 孑孓	19-2420-B
孓	19-2468-S
孓 孓	19-2468-B
孔	19-2509-S
孔 孔	19-2509-B
孔丘	19-2550-S
孔丘 孔丘	19-2550-B
孔丛子	19-2594-S
孔叢子 孔丛子	19-2594-B
孔夫子	19-2670-S
孔夫子 孔夫子	19-2670-B
孔子	19-2756-S
孔子 孔子	19-2756-B
孔子家語 孔子家语	19-2811-B
孔子家语	19-2811-S
孔孟	19-2911-S
孔孟 孔孟	19-2911-B
孔孟之道	19-2968-S
孔孟之道 孔孟之道	19-2968-B
孔庙	19-3063-S
孔廟 孔庙	19-3063-B
孔斯貝格 孔斯贝格	19-3118-B
孔斯贝格	19-3118-S
孔明	19-3199-S
孔明 孔明	19-3199-B
孔林	19-3274-S
孔林 孔林	19-3274-B
孔穴	19-3354-S
孔穴 孔穴	19-3354-B
孔道	19-3409-S
孔道 孔道	19-3409-B
孔雀	19-3494-S
孔雀 孔雀	19-3494-B
孔雀座	19-3536-S
孔雀座 孔雀座	19-3536-B
孔雀河	19-3602-S
孔雀河 孔雀河	19-3602-B
孔雀王朝	19-3672-S
孔雀王朝 孔雀王朝	19-3672-B
孕	19-3767-S
孕 孕	19-3767-B
孕产	19-4022-S
孕吐	19-3798-S
孕吐 孕吐	19-3798-B
孕妇	19-3866-S
孕婦 孕妇	19-3866-B
孕期	19-3913-S
孕期 孕期	19-3913-B
孕激素	19-3967-S
孕激素 孕激素	19-3967-B
孕產 孕产	19-4022-B
孕穗	19-4107-S
孕穗 孕穗	19-4107-B
孕育	19-4199-S
孕育 孕育	19-4199-B
孖	19-4293-S
孖 孖	19-4293-B
字	19-4320-S
字 字	19-4320-B
字串	19-4370-S
字串 字串	19-4370-B
字义	19-6369-S
字体	19-7130-S
字元	19-4421-S
字元 字元	19-4421-B
字元集	19-4480-S
字元集 字元集	19-4480-B
字典	19-4537-S
字典 字典	19-4537-B
字号	19-6423-S
字图	19-4615-S
字圖 字图	19-4615-B
字型	19-4652-S
字型 字型	19-4652-B
字字珠玉	19-4690-S
字字珠玉 字字珠玉	19-4690-B
字尾	19-4793-S
字尾 字尾	19-4793-B
字帖	19-4832-S
字帖 字帖	19-4832-B
字幕	19-4891-S
字幕 字幕	19-4891-B
字彙 字汇	19-4940-B
字彙判斷任務 字汇判断任务	19-5013-B
字形	19-5113-S
字形 字形	19-5113-B
字据	19-5247-S
字據 字据	19-5247-B
字斟句酌	19-5306-S
字斟句酌 字斟句酌	19-5306-B
字条	19-5457-S
字根合体字	19-5381-S
字根合體字 字根合体字	19-5381-B
字條 字条	19-5457-B
字段	19-5501-S
字段 字段	19-5501-B
字母	19-5543-S
字母 字母	19-5543-B
字母順序 字母顺序	19-5599-B
字母順序概率 字母顺序概率	19-5684-B
字母顺序	19-5599-S
字母顺序概率	19-5684-S
字汇	19-4940-S
字汇判断任务	19-5013-S
字画	19-5790-S
字畫 字画	19-5790-B
字眼	19-5874-S
字眼 字眼	19-5874-B
字码	19-5914-S
字碼 字码	19-5914-B
字符	19-5960-S
字符 字符	19-5960-B
字符串	19-6013-S
字符串 字符串	19-6013-B
字符集	19-6083-S
字符集 字符集	19-6083-B
字節 字节	19-6238-B
字節數 字节数	19-6275-B
字素	19-6329-S
字素 字素	19-6329-B
字義 字义	19-6369-B
字节	19-6238-S
字节数	19-6275-S
字號 字号	19-6423-B
字裡行間 字里行间	19-6493-B
字詞 字词	19-6594-B
字調 字调	19-6658-B
字謎 字谜	19-6711-B
字词	19-6594-S
字调	19-6658-S
字谜	19-6711-S
字跡 字迹	19-6756-B
字迹	19-6756-S
字里行间	19-6493-S
字集	19-6799-S
字集 字集	19-6799-B
字面	19-6844-S
字面 字面	19-6844-B
字面意义	19-6885-S
字面意義 字面意义	19-6885-B
字面解释	19-6954-S
字面解釋 字面解释	19-6954-B
字音	19-7029-S
字音 字音	19-7029-B
字首	19-7090-S
字首 字首	19-7090-B
字體 字体	19-7130-B
存	19-7194-S
存 存	19-7194-B
存亡	19-7249-S
存亡 存亡	19-7249-B
存亡攸关	19-7317-S
存亡攸關 存亡攸关	19-7317-B
存储	19-7424-S
存储器	19-7472-S
存儲 存储	19-7424-B
存儲器 存储器	19-7472-B
存取	19-7529-S
存取 存取	19-7529-B
存在	19-7568-S
存在 存在	19-7568-B
存在主义	19-7616-S
存在主義 存在主义	19-7616-B
存心	19-7685-S
存心 存心	19-7685-B
存戶 存户	19-7731-B
存户	19-7731-S
存折	19-7793-S
存折 存折	19-7793-B
存放	19-7846-S
存放 存放	19-7846-B
存根	19-7913-S
存根 存根	19-7913-B
存档	19-7951-S
存檔 存档	19-7951-B
存款	19-8019-S
存款 存款	19-8019-B
存款准备金率	19-8090-S
存款準備金率 存款准备金率	19-8090-B
存活	19-8190-S
存活 存活	19-8190-B
存活率	19-8264-S
存活率 存活率	19-8264-B
存簿	19-8349-S
存簿 存簿	19-8349-B
存續 存续	19-8416-B
存续	19-8416-S
存貨 存货	19-8469-B
存货	19-8469-S
存車場 存车场	19-8508-B
存車處 存车处	19-8564-B
存车场	19-8508-S
存车处	19-8564-S
存量	19-8635-S
存量 存量	19-8635-B
存錢 存钱	19-8679-B
存钱	19-8679-S
孙	19-14315-S
孙中山	19-14369-S
孙传芳	19-14443-S
孙吴	19-14544-S
孙坚	19-14610-S
孙女	19-14663-S
孙女儿	19-14724-S
孙女婿	19-14796-S
孙媳夫	19-14887-S
