東吳 东吴	33-16548-B
柳青 柳青	33-50737-B
柳體 柳体	33-50792-B
柴	33-50859-S
柴 柴	33-50859-B
柴油	33-50904-S
柴油 柴油	33-50904-B
柴油发动机	33-51008-S
柴油机	33-50950-S
柴油機 柴油机	33-50950-B
柴油發動機 柴油发动机	33-51008-B
柴火	33-51088-S
柴火 柴火	33-51088-B
柴科夫斯基	33-51130-S
柴科夫斯基 柴科夫斯基	33-51130-B
柴薪	33-51230-S
柴薪 柴薪	33-51230-B
柴达木盆地	33-51273-S
柴達木盆地 柴达木盆地	33-51273-B
柵 栅	33-51406-B
柵欄 栅栏	33-51434-B
柶	33-51473-S
柶 柶	33-51473-B
柷	33-51506-S
柷 柷	33-51506-B
柸	33-51550-S
柸 柸	33-51550-B
柺	33-51592-S
柺 柺	33-51592-B
査	33-51631-S
査 査	33-51631-B
柽	35-11121-S
柿	33-51677-S
柿 柿	33-51677-B
柿子	33-51709-S
柿子 柿子	33-51709-B
柿餅 柿饼	33-51750-B
柿饼	33-51750-S
栀	34-13275-S
栀子	33-51800-S
栀子 栀子	33-51800-B
栀子花	33-51867-S
栀子花 栀子花	33-51867-B
栃	33-51945-S
栃 栃	33-51945-B
栄	33-51993-S
栄 栄	33-51993-B
栅	33-51406-S
栅栏	33-51434-S
标	34-52202-S
标价	34-52319-S
标兵	34-52379-S
标准	34-53977-S
标准像	34-54050-S
标准化	34-54116-S
标准尺寸	34-54178-S
标准差	34-54241-S
标准时	34-54319-S
标准普尔	34-54379-S
标准杆	34-54476-S
标准状况	34-54642-S
标准状态	34-54533-S
标准组织	34-54753-S
标准规格	34-54847-S
标准语	34-54917-S
标准音	34-54980-S
标卖	34-56179-S
标号	34-55859-S
标售	34-52494-S
标图	34-52553-S
标定	34-52607-S
标尺	34-52652-S
标帜	34-52730-S
标底	34-52804-S
标度	34-52892-S
标志	34-55960-S
标新立异	34-52931-S
标新领异	34-53088-S
标明	34-53193-S
标本	34-53242-S
标本虫	34-53333-S
标杆	34-53394-S
标枪	34-53724-S
标架	34-53446-S
标柱	34-53499-S
标格	34-53584-S
标桩	34-53768-S
标榜	34-53633-S
标注	34-53821-S
标灯	34-55049-S
标点	34-56699-S
标点符号	34-56778-S
标牌	34-55104-S
标界	34-55151-S
标的	34-55223-S
标砖	34-55300-S
标示	34-55372-S
标称	34-55415-S
标称核武器	34-55497-S
标竿	34-55578-S
标签	34-55672-S
标线	34-55717-S
标绘	34-55773-S
标致	34-55817-S
标记	34-55899-S
标识	34-56140-S
标语	34-56041-S
标语牌	34-56088-S
标量	34-56255-S
标金	34-56307-S
标音法	34-56392-S
标题	34-56496-S
标题新闻	34-56568-S
标高	34-56649-S
栈	34-22982-S
栈径	34-23087-S
栈房	34-23182-S
栈板	33-52064-S
栈板 栈板	33-52064-B
栈架	34-23229-S
栈桥	34-23271-S
栈道	34-23382-S
栉	35-16632-S
栉比	35-16672-S
栊	35-17419-S
栋	34-22678-S
栋梁	34-22757-S
栌	35-17110-S
栎	35-16854-S
栏	35-17949-S
栏圈	35-18039-S
栏杆	35-18089-S
栏栅	35-18139-S
栏目	35-18181-S
树	34-60349-S
树倒猢狲散	34-60376-S
树冠	34-60575-S
树化玉	34-60617-S
树叶	34-61756-S
树大招风	34-60695-S
树干	34-60859-S
树木	34-60903-S
树林	34-60941-S
树枝	34-60993-S
树栖	34-61142-S
树根	34-61038-S
树桩	34-61197-S
树梢	34-61082-S
树状细胞	34-61244-S
树獭	34-61316-S
树皮	34-61376-S
树突	34-61418-S
树突状细胞	34-61493-S
树立	34-61575-S
树篱	34-61630-S
树胶	34-61707-S
树脂	34-61668-S
树蛙	34-61800-S
树袋熊	34-61842-S
栒	33-52105-S
栒 栒	33-52105-B
栓	33-52137-S
栓 栓	33-52137-B
栓塞	33-52192-S
栓塞 栓塞	33-52192-B
栓皮栎	33-52237-S
栓皮櫟 栓皮栎	33-52237-B
栔	33-52287-S
栔 栔	33-52287-B
栖	33-52318-S,34-24041-S
栖 栖	33-52318-B
栖息	34-24098-S
栖息地	34-24176-S
栖身	34-24225-S
栖霞	34-24288-S
栖霞市	34-24368-S
栗	25-44545-S,33-52375-S
栗 栗	33-52375-B
栗子	33-52416-S
栗子 栗子	33-52416-B
栗色	33-52455-S
栗色 栗色	33-52455-B
栗鼠	33-52501-S
栗鼠 栗鼠	33-52501-B
栝	33-52539-S
栝 栝	33-52539-B
栟	33-52597-S
栟 栟	33-52597-B
校	33-52641-S,33-52694-S
校 校	33-52641-B,33-52694-B
校准	33-53504-S
校勘	33-52741-S
校勘 校勘	33-52741-B
校友	33-52783-S
校友 校友	33-52783-B
校园	33-52843-S
校园网络	33-52885-S
校园骨干	33-52958-S
校園 校园	33-52843-B
校園網絡 校园网络	33-52885-B
校園骨幹 校园骨干	33-52958-B
校地	33-53030-S
校地 校地	33-53030-B
校外	33-53070-S
校外 校外	33-53070-B
校官	33-53115-S
校官 校官	33-53115-B
校尉	33-53198-S
校尉 校尉	33-53198-B
校徽	33-53249-S
校徽 校徽	33-53249-B
校服	33-53330-S
校服 校服	33-53330-B
校歌	33-53378-S
校歌 校歌	33-53378-B
校正	33-53423-S
校正 校正	33-53423-B
校準 校准	33-53504-B
校舍	33-53549-S
校舍 校舍	33-53549-B
校花	33-53599-S
校花 校花	33-53599-B
校訂 校订	33-53699-B
校訓 校训	33-53743-B
校订	33-53699-S
校训	33-53743-S
校車 校车	33-53790-B
校车	33-53790-S
校長 校长	33-53835-B
校长	33-53835-S
校阅	33-53880-S
校阅 校阅	33-53880-B
校际	33-53933-S
校際 校际	33-53933-B
校驗 校验	33-53995-B
校驗碼 校验码	33-54049-B
校验	33-53995-S
校验码	33-54049-S
栩	33-54105-S
栩 栩	33-54105-B
栩栩	33-54142-S
栩栩 栩栩	33-54142-B
栩栩如生	33-54179-S
栩栩如生 栩栩如生	33-54179-B
株	33-54275-S
株 株	33-54275-B
株守	33-54403-S
株守 株守	33-54403-B
株式会社	33-54477-S
株式會社 株式会社	33-54477-B
株治	33-54576-S
株治 株治	33-54576-B
株洲	33-54643-S
株洲 株洲	33-54643-B
株洲市	33-54707-S
株洲市 株洲市	33-54707-B
株连	33-54782-S
株連 株连	33-54782-B
栫	33-54868-S
栫 栫	33-54868-B
栭	33-54906-S
栭 栭	33-54906-B
栱	33-54941-S
栱 栱	33-54941-B
栲	33-54969-S
栲 栲	33-54969-B
栳	33-55000-S
栳 栳	33-55000-B
栴	33-55029-S
栴 栴	33-55029-B
栵	33-55063-S
栵 栵	33-55063-B
样	34-59260-S
样品	34-59319-S
样子	34-59369-S
样式	34-59425-S
样本	34-59470-S
样机	34-59774-S
样条函数	34-59649-S
样板	34-59520-S
样板戏	34-59587-S
样样	34-59729-S
核	33-55090-S,57-28898-S
核 核	33-55090-B
核不扩散	33-55129-S
核不擴散 核不扩散	33-55129-B
核事件	33-55207-S
核事件 核事件	33-55207-B
核仁	33-55268-S
核仁 核仁	33-55268-B
核僵持	33-55335-S
核僵持 核僵持	33-55335-B
核军备	33-62600-S
核冬天	33-55416-S
核冬天 核冬天	33-55416-B
核准	57-28945-S
核出口控制	33-55476-S
核出口控制 核出口控制	33-55476-B
核动力攻击潜艇	33-55565-S
核动力潜艇	33-55679-S
核动力航空母舰	33-55772-S
核势	33-55894-S
核動力攻擊潛艇 核动力攻击潜艇	33-55565-B
核動力潛艇 核动力潜艇	33-55679-B
核動力航空母艦 核动力航空母舰	33-55772-B
核勢 核势	33-55894-B
核协议	33-55944-S
核協議 核协议	33-55944-B
核原料	33-56004-S
核原料 核原料	33-56004-B
核反击	33-56198-S
核反应	33-56066-S
核反应堆	33-56127-S
核反應 核反应	33-56066-B
核反應堆 核反应堆	33-56127-B
核反擊 核反击	33-56198-B
核发电	33-60873-S
核发电厂	33-60941-S
核变形	33-62535-S
核合成	33-56263-S
核合成 核合成	33-56263-B
核問題 核问题	33-56323-B
核四級共振 核四级共振	33-56385-B
核四级共振	33-56385-S
核国家	33-56478-S
核國家 核国家	33-56478-B
核地雷	33-56537-S
核地雷 核地雷	33-56537-B
核均势	33-56610-S
核均勢 核均势	33-56610-B
核大国	33-56668-S
核大國 核大国	33-56668-B
核威	33-56736-S
核威 核威	33-56736-B
核威慑力量	33-56799-S
核威慑政策	33-56882-S
核威懾力量 核威慑力量	33-56799-B
核威懾政策 核威慑政策	33-56882-B
核子	33-56979-S
核子 核子	33-56979-B
核定	57-29018-S
核实	57-29168-S
核对	57-29219-S
核对峙	33-57025-S
核對峙 核对峙	33-57025-B
核小体	33-57086-S
核小體 核小体	33-57086-B
核屏蔽	33-57140-S
核屏蔽 核屏蔽	33-57140-B
核工业	33-57201-S
核工业部	33-57261-S
核工業 核工业	33-57201-B
核工業部 核工业部	33-57261-B
核工程	33-57343-S
核工程 核工程	33-57343-B
核废物	33-57409-S
核廢物 核废物	33-57409-B
核弹	33-57465-S
核弹头	33-57513-S
核彈 核弹	33-57465-B
核彈頭 核弹头	33-57513-B
核当量	33-60813-S
核心	33-57596-S
核心 核心	33-57596-B
核情報 核情报	33-57641-B
核情报	33-57641-S
核战	33-57706-S
核战斗部	33-57755-S
核戰 核战	33-57706-B
核戰斗部 核战斗部	33-57755-B
核扩散	33-57948-S
核技术	33-57825-S
核技術 核技术	33-57825-B
核推进	33-57886-S
核推進 核推进	33-57886-B
核擴散 核扩散	33-57948-B
核支援	33-58013-S
核支援 核支援	33-58013-B
核散射	33-58073-S
核散射 核散射	33-58073-B
核易损性	33-58135-S
核易損性 核易损性	33-58135-B
核杀伤破坏估计	33-59397-S
核查	57-29279-S
核查制度	33-58211-S
核查制度 核查制度	33-58211-B
核柱	33-58284-S
核柱 核柱	33-58284-B
核桃	33-58331-S
核桃 核桃	33-58331-B
核桃仁	33-58385-S
核桃仁 核桃仁	33-58385-B
核模型	33-58441-S
核模型 核模型	33-58441-B
核武	33-58498-S
核武 核武	33-58498-B
核武器	33-58544-S
核武器 核武器	33-58544-B
核武器事故	33-58600-S
核武器事故 核武器事故	33-58600-B
核武器储备	33-58686-S
核武器儲備 核武器储备	33-58686-B
核武器安全	33-58767-S
核武器安全 核武器安全	33-58767-B
核武器操練 核武器操练	33-58852-B
核武器操练	33-58852-S
核武器材料	33-58940-S
核武器材料 核武器材料	33-58940-B
核武器演練 核武器演练	33-59052-B
核武器演练	33-59052-S
核武器研制计划	33-59140-S
核武器研製計劃 核武器研制计划	33-59140-B
核武器試驗 核武器试验	33-59264-B
核武器试验	33-59264-S
核武库	33-59340-S
核武庫 核武库	33-59340-B
核殺傷破壞估計 核杀伤破坏估计	33-59397-B
核泄漏	33-59510-S
核洩漏 核泄漏	33-59510-B
核潛艇 核潜艇	33-59568-B
核潜艇	33-59568-S
核火箭发动机	33-59631-S
核火箭發動機 核火箭发动机	33-59631-B
核热	33-59729-S
核熱 核热	33-59729-B
核燃料	33-59773-S
核燃料 核燃料	33-59773-B
核燃料元件	33-59830-S
核燃料元件 核燃料元件	33-59830-B
核燃料后处理	33-59919-S
核燃料後處理 核燃料后处理	33-59919-B
核燃料循环	33-60021-S
核燃料循環 核燃料循环	33-60021-B
核燃料燃耗	33-60107-S
核燃料燃耗 核燃料燃耗	33-60107-B
核爆炸	33-60193-S
核爆炸 核爆炸	33-60193-B
核爆炸地球物理效应	33-60254-S
核爆炸地球物理效應 核爆炸地球物理效应	33-60254-B
核爆炸效应	33-60403-S
核爆炸效應 核爆炸效应	33-60403-B
核爆炸烟云	33-60495-S
核爆炸煙雲 核爆炸烟云	33-60495-B
核爆炸装置	33-60574-S
核爆炸裝置 核爆炸装置	33-60574-B
核物理	33-60667-S
核物理 核物理	33-60667-B
核生存能力	33-60724-S
核生存能力 核生存能力	33-60724-B
核电	33-63400-S
核电厂	33-63447-S
核电磁脉冲	33-63513-S
核电站	33-63611-S
核电荷数	33-63676-S
核當量 核当量	33-60813-B
核發電 核发电	33-60873-B
核發電廠 核发电厂	33-60941-B
核相互作用	33-61017-S
核相互作用 核相互作用	33-61017-B
核磁共振	33-61104-S
核磁共振 核磁共振	33-61104-B
核算	57-29327-S
核糖	33-61192-S
核糖 核糖	33-61192-B
核糖体	33-61310-S
核糖核酸	33-61232-S
核糖核酸 核糖核酸	33-61232-B
核糖體 核糖体	33-61310-B
核素	33-61362-S
核素 核素	33-61362-B
核結構 核结构	33-61401-B
核结构	33-61401-S
核聚变	33-61462-S
核聚變 核聚变	33-61462-B
核能	33-61527-S
核能 核能	33-61527-B
核能技术	33-61575-S
核能技術 核能技术	33-61575-B
核能源	33-61648-S
核能源 核能源	33-61648-B
核自旋	33-61707-S
核自旋 核自旋	33-61707-B
核苷	33-61763-S
核苷 核苷	33-61763-B
核苷酸	33-61806-S
核苷酸 核苷酸	33-61806-B
核裂变	33-61861-S
核裂變 核裂变	33-61861-B
核装置	33-61944-S
核裝置 核装置	33-61944-B
核設施 核设施	33-62005-B
核試 核试	33-62086-B
核試爆 核试爆	33-62133-B
核試驗 核试验	33-62191-B
核試驗堆 核试验堆	33-62247-B
