糢 糢 [01\[ mó\]]	blurred
素昧平生 素昧平生 [01\[ sù mèi píng shēng\]]	to have never met sb before (成语 saw); entirely unacquainted;a complete stranger;not to know sb from adam
素材 素材 [01\[ sù cái\]]	source material (in literature and art)
素菜 素菜 [01\[ sù cài\]]	vegetable dish
素質 素质 [01\[ sù zhì\]]	inner quality;basic essence;change over time
素質差 素质差 [01\[ sù zhì chà\]]	so uneducated!;so ignorant!
素食 素食 [01\[ sù shí\]]	vegetables;vegetarian food
素食者 素食者 [01\[ sù shí zhě\]]	vegetarian
素餡 素馅 [01\[ sù xiàn\]]	vegetable filling
紡 纺 [01\[ fǎng\]]	spin
紡織 纺织 [01\[ fǎng zhī\]]	spinning and weaving
紡織品 纺织品 [01\[ fǎng zhī pǐn\]]	textile;fabrics
紡織工業 纺织工业 [01\[ fǎng zhī gōng yè\]]	textile industry
紡織廠 纺织厂 [01\[ fǎng zhī chǎng\]]	textile factory;cotton mill
紡織物 纺织物 [01\[ fǎng zhī wù\]]	textile material
紡織者 纺织者 [01\[ fǎng zhī zhě\]]	weaver
紡車 纺车 [01\[ fǎng chē\]]	spinning wheel
紡錘 纺锤 [01\[ fǎng chuí\]]	spindle
索 索 [01\[ suǒ\]]	surname suo
索 索 [01\[ suǒ\]]	to search;to demand;to ask;to exact;large rope;isolated
索傑納 索杰纳 [01\[ suǒ jié nà\]]	sojourner (martian land rover)
索具裝置 索具装置 [01\[ suǒ jù zhuāng zhì\]]	rig
索取 索取 [01\[ suǒ qǔ\]]	to ask;to demand
索國 索国 [01\[ suǒ guó\]]	solomon islands
索多瑪 索多玛 [01\[ suǒ duō mǎ\]]	sodom
索多瑪與哈摩辣 索多玛与哈摩辣 [01\[ suǒ duō mǎ yǔ hā mó là\]]	sodom and gomorrah
索契 索契 [01\[ suǒ qì\]]	sochi (city on the black sea in russia)
索尼 索尼 [01\[ suǒ ní\]]	sony
索引 索引 [01\[ suǒ yǐn\]]	index
索性 索性 [01\[ suǒ xìng\]]	you might as well (do it);simply;just
索戈拉特斯 索戈拉特斯 [01\[ suǒ gē lā tè sī\]]	socrates (name);jose socrates
索然 索然 [01\[ suǒ rán\]]	dull;dry
索爾 索尔 [01\[ suǒ ěr\]]	thor (norse god of thunder)
索爾茲伯里平原 索尔兹伯里平原 [01\[ suǒ ěr zī bó lǐ píng yuán\]]	salisbury plain
索爾茲伯里石環 索尔兹伯里石环 [01\[ suǒ ěr zī bó lǐ shí huán\]]	stonehenge;salisbury stone circle
索福克勒斯 索福克勒斯 [01\[ suǒ fú kè lè sī\]]	sophocles (496-406 bc)
索福克裡斯 索福克里斯 [01\[ suǒ fú kè lǐ sī\]]	sophocles (496-406 bc)
索緒爾 索绪尔 [01\[ suǒ xù ěr\]]	saussure (name)
索縣 索县 [01\[ suǒ xiàn\]]	suo county in tibet
索羅斯 索罗斯 [01\[ suǒ luó sī\]]	soros (name);george soros or györgy schwartz (1930-)
索羅門 索罗门 [01\[ suǒ luó mén\]]	solomon (name);solomon (islands)
索菲亞 索菲亚 [01\[ suǒ fēi yà\]]	sofia (city in bulgaria)
索賠 索赔 [01\[ suǒ péi\]]	compensation;(be awarded) damages
索道 索道 [01\[ suǒ dào\]]	ropeway
索邦大學 索邦大学 [01\[ suǒ bāng dà xué\]]	université paris iv;the sorbonne
索里亚 索里亚 [01\[ suǒ lǐ yà\]]	soria
索非亞 索非亚 [01\[ suǒ fēi yà\]]	sofia (capital of bulgaria)
索馬裡 索马里 [01\[ suǒ mǎ lǐ\]]	somalia
紩 紩 [01\[ zhì\]]	to stitch;mend
紫 紫 [01\[ zǐ\]]	purple
紫丁香 紫丁香 [01\[ zǐ dīng xiāng\]]	lilac
紫外 紫外 [01\[ zǐ wài\]]	ultraviolet (ray)
紫外光 紫外光 [01\[ zǐ wài guāng\]]	ultraviolet light
紫外射線 紫外射线 [01\[ zǐ wài shè xiàn\]]	ultraviolet ray
紫外線 紫外线 [01\[ zǐ wài xiàn\]]	ultraviolet ray
紫外線光 紫外线光 [01\[ zǐ wài xiàn guāng\]]	ultraviolet light
紫微宫 紫微宫 [01\[ zǐ wēi gōng\]]	palace of jade emperor (in taoism)
紫斑 紫斑 [01\[ zǐ bān\]]	bruise
紫晶 紫晶 [01\[ zǐ jīng\]]	amethyst (purple crystalline silicon dioxide)
紫杉 紫杉 [01\[ zǐ shān\]]	taxus cuspidata
紫檀 紫檀 [01\[ zǐ tán\]]	red sandalwood
紫氣 紫气 [01\[ zǐ qì\]]	purple cloud (auspicious portent in astrology)
紫水晶 紫水晶 [01\[ zǐ shuǐ jīng\]]	amethyst
紫石英 紫石英 [01\[ zǐ shí yīng\]]	amethyst
紫石英號 紫石英号 [01\[ zǐ shí yīng hào\]]	hms amethyst
紫禁城 紫禁城 [01\[ zǐ jìn chéng\]]	the forbidden city;the imperial palace in beijing;same as 故宮|故宫
紫羅蘭 紫罗兰 [01\[ zǐ luó lán\]]	violet
紫羅蘭色 紫罗兰色 [01\[ zǐ luó lán sè\]]	violet
紫色 紫色 [01\[ zǐ sè\]]	purple;violet
紫芝眉宇 紫芝眉宇 [01\[ zǐ zhī méi yǔ\]]	your appearance (honorific)
紫草 紫草 [01\[ zǐ cǎo\]]	arnebia;lithospermum officinale;radices lithospermi used in chinese medicine
紫草科 紫草科 [01\[ zǐ cǎo kē\]]	boraginaceae (family of flowers and bushes)
紫荊 紫荆 [01\[ zǐ jīng\]]	cercis chinensis;bauhinia (the symbol of hong kong)
紫菜苔 紫菜苔 [01\[ zǐ cài tái\]]	purple cabbage;brassica campestris var. purpurea
紫薇 紫薇 [01\[ zǐ wēi\]]	crape-myrtle
紫藤 紫藤 [01\[ zǐ téng\]]	wisteria
紫蘇 紫苏 [01\[ zǐ sū\]]	basil;perilla frutescens
紫蘇属 紫苏属 [01\[ zǐ sū shǔ\]]	genus perilla (includes basil and mints)
紫貂 紫貂 [01\[ zǐ diāo\]]	sable (martes zibellina)
紫金 紫金 [01\[ zǐ jīn\]]	(n) zijin (place in guangdong)
紫金山 紫金山 [01\[ zǐ jīn shān\]]	purple mountain (near nanjing)
紫金山天文台 紫金山天文台 [01\[ zǐ jīn shān tiān wén tái\]]	purple mountain observatory
紫陽 紫阳 [01\[ zǐ yáng\]]	(n) ziyang (place in shaanxi)
紬 紬 [01\[ chóu\]]	silk
紮 扎 [01\[ zā\]]	tie with string or ribbon;bind with rope or cord;to stop
紮營 扎营 [01\[ zhā yíng\]]	to camp;to pitch camp;stationed;quartered
紮馬剌丁 扎马剌丁 [01\[ zā mǎ lá dīng\]]	jamal al-din ibn muhammad al-najjari (13th century)
紮馬魯丁 扎马鲁丁 [01\[ zā mǎ lǔ dīng\]]	jamal al-din ibn muhammad al-najjari (13th century)
累 累 [01\[ lěi\]]	accumulate
累 累 [01\[ lèi\]]	implicate;tired
累加器 累加器 [01\[ lěi jiā qì\]]	accumulator (computing)
累壞 累坏 [01\[ lèi huài\]]	to become exhausted
累犯 累犯 [01\[ lěi fàn\]]	repeated offender;habitual criminal;recidivist
累積 累积 [01\[ lěi jī\]]	to accumulate
累積劑量 累积剂量 [01\[ lèi jī jì liàng\]]	cumulative dose
累計 累计 [01\[ lěi jì\]]	accumulate
細 细 [01\[ xì\]]	fine;minutely;thin;slender;abbr. for 细胞
細嫩 细嫩 [01\[ xì nèn\]]	tender
細密 细密 [01\[ xì mì\]]	fine (texture);meticulous;close (analysis);detailed
細察 细察 [01\[ xì chá\]]	to observe carefully
細小 细小 [01\[ xì xiǎo\]]	tiny;fine;minute
細微 细微 [01\[ xì wēi\]]	tiny;minute;fine;subtle;sensitive (instruments)
細微末節 细微末节 [01\[ xì wēi mò jié\]]	tiny insignificant details;niceties
細心 细心 [01\[ xì xīn\]]	careful;attentive
細挑 细挑 [01\[ xì tiāo\]]	slender
細河 细河 [01\[ xì hé\]]	xihe river in fuxin;xihe district of fuxin city 阜新市|阜新市
細河區 细河区 [01\[ xì hé qū\]]	xihe district of fuxin city 阜新市|阜新市
細看 细看 [01\[ xì kàn\]]	peer;scan
細碎 细碎 [01\[ xì suì\]]	fragments;bits and pieces
細磨刀石 细磨刀石 [01\[ xì mò dāo shí\]]	whetstone (for honing knives)
細節 细节 [01\[ xì jié\]]	details;particulars
細粉 细粉 [01\[ xì fěn\]]	powder
細線 细线 [01\[ xì xiàn\]]	string;thread
細緻 细致 [01\[ xì zhì\]]	delicate;fine;careful;meticulous;painstaking
細聲細氣 细声细气 [01\[ xì shēng xì qì\]]	(phr) in a soft voice
細聽 细听 [01\[ xì tīng\]]	to listen carefully (for tiny sounds)
細胞 细胞 [01\[ xì bāo\]]	cell
細胞分裂 细胞分裂 [01\[ xì bāo fēn liè\]]	cell division
細胞周期 细胞周期 [01\[ xì bāo zhōu qī\]]	cell cycle
細胞器 细胞器 [01\[ xì bāo qì\]]	organelle
細胞器官 细胞器官 [01\[ xì bāo qì guān\]]	organelle
細胞因子 细胞因子 [01\[ xì bāo yīn zǐ\]]	cytokine
細胞培養 细胞培养 [01\[ xì bāo péi yǎng\]]	cell culture
細胞培養器 细胞培养器 [01\[ xì bāo péi yǎng qì\]]	cell cultivator
細胞壁 细胞壁 [01\[ xì bāo bì\]]	cell wall
細胞學 细胞学 [01\[ xì bāo xué\]]	cytology
細胞核 细胞核 [01\[ xì bāo hé\]]	nucleus (of cell)
細胞毒 细胞毒 [01\[ xì bāo dú\]]	cytotoxin
細胞毒性 细胞毒性 [01\[ xì bāo dú xìng\]]	cytotoxicity
細胞生物學 细胞生物学 [01\[ xì bāo shēng wù xué\]]	cell biology
細胞膜 细胞膜 [01\[ xì bāo mó\]]	cell membrane
細胞色素 细胞色素 [01\[ xì bāo sè sù\]]	cytochrome
細胞融合 细胞融合 [01\[ xì bāo róng hé\]]	cell fusion
細胞質 细胞质 [01\[ xì bāo zhì\]]	cytoplasm
細胞骨架 细胞骨架 [01\[ xì bāo gǔ jià\]]	cytoskeleton (of a cell)
細膩 细腻 [01\[ xì nì\]]	exquisite
細菌 细菌 [01\[ xì jūn\]]	bacterial;virus;germ
細菌性痢疾 细菌性痢疾 [01\[ xì jūn xìng lì jí\]]	bacillary dysentery
細菌戰 细菌战 [01\[ xì jùn zhàn\]]	biological warfare;germ warfare
細菌武器 细菌武器 [01\[ xì jūn wǔ qì\]]	biological weapon (using germs)
細辛 细辛 [01\[ xì xīn\]]	(bot.) asarum;wild ginger
細長 细长 [01\[ xì cháng\]]	slender
細雨 细雨 [01\[ xì yǔ\]]	fine rain;drizzle;poem by tang poet li shangyin 李商隱|李商隐
細頸瓶 细颈瓶 [01\[ xì jǐng píng\]]	jug
細香蔥 细香葱 [01\[ xì xiāng cōng\]]	chive
紱 绂 [01\[ fú\]]	ribbon for a seal;sash
紲 绁 [01\[ xiè\]]	leash;rein
紳 绅 [01\[ shēn\]]	member of gentry
紳士 绅士 [01\[ shēn shì\]]	gentleman
紵 紵 [01\[ zhù\]]	boehmeria nivea
紹 绍 [01\[ shào\]]	connect;to introduce
紹興 绍兴 [01\[ shào xīng\]]	shaoxing prefecture level city in zhejiang
紹興地區 绍兴地区 [01\[ shào xīng dì qū\]]	(n) shaoxing district (district in zhejiang)
紹興市 绍兴市 [01\[ shào xīng shì\]]	shaoxing prefecture level city in zhejiang
紺 绀 [01\[ gàn\]]	violet or purple
紼 绋 [01\[ fú\]]	heavy rope;rope of a bier
紽 紽 [01\[ tuó\]]	braid on a robe
紾 紾 [01\[ zhěn\]]	crooked;obstinate;twist a cord
紿 绐 [01\[ dài\]]	to cheat;to pretend;to deceive
絀 绌 [01\[ chù\]]	crimson silk;deficiency;to stitch
絁 絁 [01\[ shī\]]	rough
終 终 [01\[ zhōng\]]	end;finish
終傅 终傅 [01\[ zhōng fù\]]	last rites (christian ceremony)
終南捷徑 终南捷径 [01\[ zhōng nán jié jìng\]]	lit. mt zhongnan is a shortcut to a ministerial job (成语 saw); fig. to take a shortcut to promotion
終審法院 终审法院 [01\[ zhōng shěn fǎ yuàn\]]	court of final appeal
終局 终局 [01\[ zhōng jú\]]	end
終年 终年 [01\[ zhōng nián\]]	entire year;throughout the year;age at death
終年積雪 终年积雪 [01\[ zhōng nián jī xuě\]]	permanent snow-cover
終成泡影 终成泡影 [01\[ zhōng chéng pào yǐng\]]	finally a soap bubble (成语 saw); grandiose plans that end up with nothing;pie in the sky
終成眷屬 终成眷属 [01\[ zhōng chéng juàn shǔ\]]	to get married in the end (谚语 proverb); love will find a way;the guy gets his girl etc
終戰 终战 [01\[ zhōng zhàn\]]	end of war;armistice;cf japanese surrender in wwii on 15th august 1945
終戰日 终战日 [01\[ zhōng zhàn rì\]]	armistice day;cf japan's surrender in wwii on 15th august 1945
終於 终于 [01\[ zhōng yú\]]	at last;in the end;finally;eventually
終日 终日 [01\[ zhōng rì\]]	all day long
終期 终期 [01\[ zhōng qī\]]	terminal;final
終期癌 终期癌 [01\[ zhōng qī ái\]]	terminal cancer
終極 终极 [01\[ zhōng jí\]]	last rites (christian ceremony)
終止 终止 [01\[ zhōng zhǐ\]]	to stop;to terminate (legal)
終究 终究 [01\[ zhōng jiū\]]	in the end; after all is said and done
終端 终端 [01\[ zhōng duān\]]	end;terminal
終端機 终端机 [01\[ zhōng duān jī\]]	terminal
終端用戶 终端用户 [01\[ zhōng duān yòng hù\]]	end user
終結 终结 [01\[ zhōng jié\]]	end
終結者 终结者 [01\[ zhōng jié zhě\]]	the terminator
終而復始 终而复始 [01\[ zhōng ér fù shǐ\]]	lit. the end comes back to the start (成语 saw); the wheel comes full circle
終身 终身 [01\[ zhōng shēn\]]	lifelong
終身大事 终身大事 [01\[ zhōng shēn dà shì\]]	major turning point of lifelong import (esp. marriage)
終身監禁 终身监禁 [01\[ zhōng shēn jiān jìn\]]	life sentence
終點 终点 [01\[ zhōng diǎn\]]	the end;end point;finishing line (in a race);destination;terminus
終點地址 终点地址 [01\[ zhōng diǎn dì zhǐ\]]	destination address
終點站 终点站 [01\[ zhōng diǎn zhàn\]]	terminus;final stop on rail or bus line
終點線 终点线 [01\[ zhōng diǎn xiàn\]]	finishing line
絃 絃 [01\[ xián\]]	variant of 弦;bow string;string of musical instrument;watch spring;chord (straight line joining two points on a curve);hypotenuse
組 组 [01\[ zǔ\]]	to form;compose;make up;group;to organize;cord
組分 组分 [01\[ zǔ fèn\]]	components;individual parts making up a compound
組合 组合 [01\[ zǔ hé\]]	to assemble;combination;combinatorial
組合數學 组合数学 [01\[ zǔ hé shù xué\]]	combinatorial mathematics;combinatorics
組合論 组合论 [01\[ zǔ hé lùn\]]	combinatorics
組合音響 组合音响 [01\[ zǔ hé yīn xiǎng\]]	combined stereo;music center
組塊 组块 [01\[ zǔ kuài\]]	chunk
組委 组委 [01\[ zǔ wěi\]]	organizational committee;abbr. for 組織委員會|组织委员会
組建 组建 [01\[ zǔ jiàn\]]	organize;set up;establish
組成 组成 [01\[ zǔ chéng\]]	component;part;element;constitute;make up
組曲 组曲 [01\[ zǔ qǔ\]]	suite (music)
組氨酸 组氨酸 [01\[ zǔ ān suān\]]	histidine (his)
組織 组织 [01\[ zǔ zhī\]]	to organize;organization;organized system;nerve;tissue
組織委員會 组织委员会 [01\[ zǔ zhī wěi yuán huì\]]	organizing committee;abbr. to 組委|组委
組織學 组织学 [01\[ zǔ zhī xué\]]	histology
組織法 组织法 [01\[ zǔ zhī fǎ\]]	organic law
組織漿黴菌病 组织浆黴菌病 [01\[ zǔ zhī jiāng méi jūn bìng\]]	histoplasmosis
組織者 组织者 [01\[ zǔ zhī zhě\]]	organizer
組織胞漿菌病 组织胞浆菌病 [01\[ zǔ zhī bāo jiāng jūn bìng\]]	histoplasmosis
組織胺 组织胺 [01\[ zǔ zhī àn\]]	histamine
組胺 组胺 [01\[ zǔ àn\]]	histamine (a biogenic amine involved in local immune responses)
組裝 组装 [01\[ zǔ zhuāng\]]	assemble and install
組長 组长 [01\[ zǔ zhǎng\]]	group leader
組閣 组阁 [01\[ zǔ gé\]]	to form a cabinet
絅 絅 [01\[ jiǒng\]]	monotone garment with no lining
絆 绊 [01\[ bàn\]]	to trip;stumble;hinder
絆倒 绊倒 [01\[ bàn dǎo\]]	stumble
絆腳 绊脚 [01\[ bàn jiǎo\]]	to stumble over sth
絆腳石 绊脚石 [01\[ bàn jiǎo shí\]]	stumbling block;obstacle
絆跤 绊跤 [01\[ bàn jiāo\]]	to trip;to stumble
経 経 [01\[ jīng\]]	japanese variant of 經|经
絍 絍 [01\[ rèn\]]	to weave;to lay warp for weaving;variant of 紝|纴
絏 絏 [01\[ xiè\]]	leash;rein
結 结 [01\[ jiē\]]	to bear fruit;to produce;firm;solid
結 结 [01\[ jié\]]	knot;sturdy;bond;to tie;to bind;to check out (of a hotel)
結交 结交 [01\[ jié jiāo\]]	to make friends with
結仇 结仇 [01\[ jié chóu\]]	to start a feud;to become enemies
結伙 结伙 [01\[ jié huǒ\]]	to form a gang
結伴 结伴 [01\[ jié bàn\]]	form companionships
結冰 结冰 [01\[ jié bīng\]]	to freeze
結出 结出 [01\[ jié chū\]]	bear (fruit)
結合 结合 [01\[ jié hé\]]	to combine;to link;to integrate;binding
結合律 结合律 [01\[ jié hé lǜ\]]	associativity
結合模型 结合模型 [01\[ jié hé mó xíng\]]	combination model
結合過程 结合过程 [01\[ jié hé guò chéng\]]	cohesive process(es)
結喉 结喉 [01\[ jié hóu\]]	adam's apple
結婚 结婚 [01\[ jié hūn\]]	to marry;to get married
結婚紀念日 结婚纪念日 [01\[ jié hūn jì niàn rì\]]	wedding anniversary
結子 结子 [01\[ jiē zǐ\]]	to bear seeds (of plant)
結存 结存 [01\[ jié cún\]]	balance;cash in hand
結實 结实 [01\[ jiē shí\]]	to bear fruit
結實 结实 [01\[ jiē shi\]]	rugged;sturdy
結對子 结对子 [01\[ jié duì zǐ\]]	to form pairs;to twin
結尾 结尾 [01\[ jié wěi\]]	ending;wind up;coda
結局 结局 [01\[ jié jú\]]	conclusion;ending
結巴 结巴 [01\[ jiē ba\]]	to stutter
結帳 结帐 [01\[ jié zhàng\]]	to settle accounts
結幕 结幕 [01\[ jié mù\]]	final scene (of a play);by ext. the climax and conclusion of a story
結廬 结庐 [01\[ jié lú\]]	to build one's house
結彩 结彩 [01\[ jié cǎi\]]	to adorn;to festoon
結成 结成 [01\[ jié chéng\]]	to form;to forge (alliances etc)
結晶 结晶 [01\[ jié jīng\]]	a crystal;to crystallize
結晶學 结晶学 [01\[ jié jīng xué\]]	crystallography
結晶水 结晶水 [01\[ jié jīng shuǐ\]]	water of crystallization
結晶狀 结晶状 [01\[ jié jīng zhuàng\]]	crystalline
結晶體 结晶体 [01\[ jié jīng tǐ\]]	a crystal
結末 结末 [01\[ jié mò\]]	ending;finally
結束 结束 [01\[ jié shù\]]	termination;to finish;to end;to conclude;to close
結束語 结束语 [01\[ jié shù yǔ\]]	concluding remarks
結果 结果 [01\[ jiē guǒ\]]	to bear fruit
結果 结果 [01\[ jié guǒ\]]	outcome;result;conclusion;to kill;to dispatch
結核 结核 [01\[ jié hé\]]	tuberculosis;consumption;nodule
結核桿菌 结核杆菌 [01\[ jié hé gǎn jūn\]]	tubercle bacillus
結核病 结核病 [01\[ jié hé bìng\]]	tuberculosis
結核菌素 结核菌素 [01\[ jié hé jùn sù\]]	tubercule bacillus
結案 结案 [01\[ jié àn\]]	to conclude a case;to wind up
結業 结业 [01\[ jié yè\]]	to finish school
結構 结构 [01\[ jié gòu\]]	structure;composition;makeup;architecture
結構主義 结构主义 [01\[ jié gòu zhǔ yì\]]	structuralism
結構助詞 结构助词 [01\[ jié gòu zhù cí\]]	structural particle
結構式 结构式 [01\[ jié gòu shì\]]	structural formula (organic chem.)
結構理論 结构理论 [01\[ jié gòu lǐ lùn\]]	a structure theory
結歡 结欢 [01\[ jié huān\]]	on friendly terms
結疤 结疤 [01\[ jié bā\]]	to scar
結痂 结痂 [01\[ jié jiā\]]	scab;to form a scab
結盟 结盟 [01\[ jié méng\]]	to form an alliance;to ally oneself with;allied with;aligned
結石 结石 [01\[ jié shí\]]	calculus;stone
結社自由 结社自由 [01\[ jié shè zì yóu\]]	(constitutional) freedom of association
結算 结算 [01\[ jié suàn\]]	to settle a bill;to close an account
結節 结节 [01\[ jié jié\]]	nodule;tubercle
結納 结纳 [01\[ jié nà\]]	to make friends;to form friendship
結結巴巴 结结巴巴 [01\[ jiē jiē bā ba\]]	stammeringly
結締組織 结缔组织 [01\[ jié dì zǔ zhī\]]	connective tissue
結縭 结缡 [01\[ jié lí\]]	to marry;to tie the bridal veil
結纓 结缨 [01\[ jié yīng\]]	to die a hero;martyrdom in a good cause
結義 结义 [01\[ jié yì\]]	to swear brotherhood
結脈 结脉 [01\[ jié mài\]]	knotted or slow pulse in traditional chinese medicine
結腸 结肠 [01\[ jié cháng\]]	colon (large intestine)
結膜 结膜 [01\[ jié mó\]]	conjunctiva (membrane surrounding the eyeball)
結膜炎 结膜炎 [01\[ jié mó yán\]]	conjunctivitis
結舌 结舌 [01\[ jié shé\]]	tongue-tied;unable to speak (out of surprise
結草 结草 [01\[ jié cǎo\]]	deep gratitude up to death
結草啣環 结草衔环 [01\[ jié cǎo xián huán\]]	deep gratitude up to death (成语 saw);also written 結草銜環|结草衔环
結草銜環 结草衔环 [01\[ jié cǎo xián huán\]]	deep gratitude up to death (成语 saw)
結褵 结褵 [01\[ jié lí\]]	to marry;to tie the bridal veil
結親 结亲 [01\[ jié qīn\]]	to marry
結記 结记 [01\[ jié jì\]]	to remember;to concern oneself with
結語 结语 [01\[ jié yǔ\]]	concluding remarks
結論 结论 [01\[ jié lùn\]]	(reach a) conclusion;verdict
結識 结识 [01\[ jié shí\]]	to get to know sb;to meet sb for the first time
結連 结连 [01\[ jié lián\]]	linked in a chain
結餘 结余 [01\[ jié yú\]]	balance;cash surplus
結髮 结发 [01\[ jié fà\]]	(in former times) to bind one's hair on coming of age
結點 结点 [01\[ jié diǎn\]]	node
結黨 结党 [01\[ jié dǎng\]]	to form a clique
結黨營私 结党营私 [01\[ jié dǎng yíng sī\]]	to gang up for personal interest (成语 saw);to form a clique
絓 絓 [01\[ guà\]]	anxious;coarse silk;fasten
絕 绝 [01\[ jué\]]	to cut short;extinct;to disappear;to vanish;absolutely;by no means
絕不 绝不 [01\[ jué bù\]]	in no way;not in the least;absolutely not
絕代 绝代 [01\[ jué dài\]]	peerless;unmatched in his generation;incomparable (talent
絕代隹人 绝代隹人 [01\[ jué dài zhuī rén\]]	beauty unmatched in her generation (成语 saw); woman of peerless elegance;prettiest girl ever
絕倫 绝伦 [01\[ jué lún\]]	outstanding;peerless;beyond compare
絕品 绝品 [01\[ jué pǐn\]]	peerless artwork;absolute gem
絕地 绝地 [01\[ jué dì\]]	jedi
絕壁 绝壁 [01\[ jué bì\]]	precipice
絕大多數 绝大多数 [01\[ jué dà duō shù\]]	absolute majority;overwhelming majority
絕大部份 绝大部分 [01\[ jué dà bù fen\]]	overwhelming majority
絕妙 绝妙 [01\[ jué miào\]]	exquisite
絕密 绝密 [01\[ jué mì\]]	top secret
絕對 绝对 [01\[ jué duì\]]	absolute;unconditional
絕對值 绝对值 [01\[ jué duì zhí\]]	absolute value
絕對地址 绝对地址 [01\[ jué duì dì zhǐ\]]	absolute address (comp.)
絕對大多數 绝对大多数 [01\[ jué duì dà duō shù\]]	an absolute majority;an overwhelming majority
絕對數字 绝对数字 [01\[ jué duì shù zì\]]	absolute (as opposed to relative) number
絕對溫度 绝对温度 [01\[ jué duì wēn dù\]]	absolute temperature
絕對濕度 绝对湿度 [01\[ jué duì shī dù\]]	absolute humidity
絕對觀念 绝对观念 [01\[ jué duì guān niàn\]]	absolute idea (in hegel's philosophy)
絕對零度 绝对零度 [01\[ jué duì líng dù\]]	absolute zero
絕對高度 绝对高度 [01\[ jué duì gāo dù\]]	absolute temperature
絕情 绝情 [01\[ jué qíng\]]	heartless;without regard for others' feelings
絕技 绝技 [01\[ jué jì\]]	stunt
絕望 绝望 [01\[ jué wàng\]]	desperation;forlorn;hopeless
絕氣 绝气 [01\[ jué qì\]]	expire
絕無僅有 绝无仅有 [01\[ jué wú jǐn yǒu\]]	one and only (成语 saw); rarely seen;unique of its kind
絕產 绝产 [01\[ jué chǎn\]]	crop failure;property left with no-one to inherit;sterilization
絕症 绝症 [01\[ jué zhèng\]]	incurable disease;terminal illness
絕種 绝种 [01\[ jué zhǒng\]]	extinct (species);extinction
絕經 绝经 [01\[ jué jīng\]]	menopause
絕緣 绝缘 [01\[ jué yuán\]]	to isolate;to prevent contact;to deny access;electric insulation
絕緣體 绝缘体 [01\[ jué yuán tǐ\]]	electrical insulation;heat insulation
絕罰 绝罚 [01\[ jué fá\]]	to excommunicate
絕跡 绝迹 [01\[ jué jì\]]	to be eradicated;to vanish;extinct;to break off relations
絕頂聰明 绝顶聪明 [01\[ jué dǐng cōng ming\]]	extremely bright (成语 saw)
絕食 绝食 [01\[ jué shí\]]	to go on a hunger strike
絖 絖 [01\[ kuàng\]]	fine floss-silk or cotton
絘 絘 [01\[ cì\]]	ancient tax in the form of bales of cloth
絘布 絘布 [01\[ cì bù\]]	ancient tax in the form of bales of cloth
絛 绦 [01\[ tāo\]]	braid;cord;sash
絛綸 绦纶 [01\[ tāo lún\]]	dacron fabric;erroneous variant of 滌綸|涤纶
絛蟲 绦虫 [01\[ tāo chóng\]]	tapeworm
絜 絜 [01\[ jié\]]	clean
絜 絜 [01\[ xié\]]	marking line;pure;regulate
絝 绔 [01\[ kù\]]	variant of 褲|裤
絞 绞 [01\[ jiǎo\]]	hang (a criminal);to turn;to twist;to wind
絞刑 绞刑 [01\[ jiǎo xíng\]]	to execute by hanging
絞扭 绞扭 [01\[ jiǎo niǔ\]]	to wring
絞盡腦汁 绞尽脑汁 [01\[ jiǎo jìn nǎo zhī\]]	to wrack one's brains
絞盤 绞盘 [01\[ jiǎo pán\]]	a capstan
絞索 绞索 [01\[ jiǎo suǒ\]]	a noose for hanging criminals
絡 络 [01\[ lào\]]	small net
絡 络 [01\[ luò\]]	net-like
絢 绚 [01\[ xuàn\]]	adorned;swift;gorgeous;brilliant;variegated
絢爛 绚烂 [01\[ xuàn làn\]]	splendid;gorgeous;dazzling
絢麗 绚丽 [01\[ xuàn lì\]]	gorgeous;magnificent
絣 絣 [01\[ bǐng\]]	ikat
給 给 [01\[ gěi\]]	to;for;for the benefit of;to give;to allow;to do sth (for sb);(passive particle)
給 给 [01\[ jǐ\]]	to supply;provide
給予 给予 [01\[ jǐ yǔ\]]	accord;give;show (respect)
給以 给以 [01\[ gěi yǐ\]]	give;grant
給定 给定 [01\[ gěi dìng\]]	given;stated in advanced;an assumption
給與資格 给与资格 [01\[ gěi yǔ zī gé\]]	qualify
絨 绒 [01\[ róng\]]	velvet;woolen
絨布 绒布 [01\[ róng bù\]]	flannel
絨毛 绒毛 [01\[ róng máo\]]	fur;down (soft fur);villi capillary (in the small intestine)
絨毛性腺激素 绒毛性腺激素 [01\[ róng máo xìng xiàn jī sù\]]	human chrionic gonodocophin (hcg)
絨線 绒线 [01\[ róng xiàn\]]	wool;woolen thread
絨螯蟹 绒螯蟹 [01\[ róng áo xiè\]]	mitten crab (eriocheir sinensis)
絪 絪 [01\[ yīn\]]	generative force;magic emanation
絫 絫 [01\[ lěi\]]	variant of 絫
絮 絮 [01\[ xù\]]	cotton wadding;fig. padding;long-winded
絮叨 絮叨 [01\[ xù dao\]]	long-winded;garrulous;to talk endlessly without getting to the point
絮嘴 絮嘴 [01\[ xù zuǐ\]]	to chatter endlessly
絮煩 絮烦 [01\[ xù fán\]]	boring prattle
絮片 絮片 [01\[ xù piàn\]]	floccule;a wisp of material precipitated from liquid
絮狀物 絮状物 [01\[ xù zhuàng wù\]]	floccule;a wisp of material precipitated from liquid
