soap bubble 成语 saw	49-35613-S
soon	1-66020-B,5-31342-S,21-3528-B,21-5226-B,31-14007-B,31-14007-S,32-21307-B,32-57858-B,34-49233-S,40-32545-S,45-39304-S,45-50516-B,61-48305-S
soon after	1-66020-B,30-70135-B,66-43646-B
soon as	1-109-S,21-8874-S,48-17202-S
soon as possible	11-24721-S,11-42378-S,31-14081-S
sooner	58-63301-S
sooner or later	31-14210-B,62-67445-B
sooner than planned	28-39873-B
soong 1893 1981	19-35439-S
soong 1942 	19-35825-S
soong mei ling or song meiling 1898 2003	19-36241-B
soot	40-30734-B,41-5814-B
sooth	20-26062-S
soothe the nerves	19-31466-S
sophia greek holy wisdom	51-49867-S
sophia the main cathedral of constantinople	51-49957-S
sophism	42-8241-S
sophist	58-15309-B
sophisticate	4-15449-B
sophisticated	21-6254-S,39-7717-B
sophistry	23-45295-B,58-15246-B,58-15399-B
sophocles 496 406 bc	49-27141-B,49-27226-B
sophora japonica	15-9956-S,15-10021-S,34-45495-S,34-45579-S
soprano	18-22649-B
sorbet	8-19494-B
sorbitol c6h14o6 sugar substitute and mild laxative	21-30590-B
sorbonne	49-27773-S
sorbus hupehensis or hupeh rowan	39-10619-B
sorcerer	18-34518-B
sorceress	4-28858-B,21-62674-B
sorcery	18-35011-B,63-18901-B
sordid	36-63255-B,71-57036-B
sordid and contemptible 成语 saw	10-62808-B,10-62946-B
sore	44-6610-B,44-6767-B,44-18141-B,44-19481-B,44-21734-B,46-43152-S,63-44541-B
sore caused by varnish poisoning	44-21048-B
sore spot	13-45271-S,44-14983-B
sore 成语 saw	27-67201-S
sores	44-13403-B,44-17473-B
sorghum	48-51524-B,49-14036-S,70-16310-B,70-19547-B
sorghum or maize	44-46725-S
soria	49-27862-B
soros name	49-27423-B
soros or györgy schwartz 1930 	49-27423-S
sorption generic term for absorption	13-4357-B
sorrow	1-6114-S,13-31236-B,13-31549-S,13-32324-S,24-36804-S,25-8987-B,25-9851-B,37-6707-S,44-14045-B,45-16804-S,50-54968-B,54-12758-S,64-34453-S
sorrow at parting	67-11096-B,71-45868-B
sorrow is not as bad as an uncaring heart	13-32621-S
sorrow than a heart that never rejoices	13-32621-S,25-37522-S
sorrow turns to joy 成语 saw	12-66745-S
sorrow 成语 saw	34-49233-S
sorrowful	8-24614-B,13-31948-B,24-56659-B,25-9034-B,25-9306-B,25-10621-B,25-27364-B,25-57230-B
sorrowing	25-53757-B
sorrows	12-49865-S,12-50029-S,25-10455-S,54-12564-S
sorrows and illness 成语 saw	16-57574-S
sorrows in alcohol	6-1608-S
sorry	2-34403-S,20-46379-S,20-46555-S,25-43742-S,25-44205-B,27-11444-B,27-13330-S,63-2805-B,67-13654-S
sorry figure	42-10566-S
sorry for a person over sth that should have happened	25-16325-S
sorry not to have come to meet you personally	17-67964-S
sorry the wine i offer you is so poor	55-20034-S
sort	8-57223-S,28-1945-S,43-16818-S,47-31899-B,47-33975-B,53-36638-B,63-17233-S
sort of	62-5948-S,63-17286-S,63-17354-S
sort out	28-34920-S,28-35249-S,30-16007-S
sort out a problem	27-49482-S
sort out divining stalks	28-50829-B
sorting office	28-35140-S
sorts	2-9264-S,2-18452-S,2-35125-S,12-29339-S,16-61038-S,62-56270-S
sorts and varieties	12-30199-S
sorts of	3-53751-S,23-54283-S
sorts of feelings well up in one s heart	44-53965-S
sorts to make a world	71-61068-S
sostenuto sustained	50-12425-B
sotheby s auction house	55-38129-B
soto	26-27996-B
sough	55-16876-S
soughing of wind	68-60142-B
sougou searching dog search engine	28-56459-B
soul	1-8617-S,1-22444-B,7-36688-S,14-13846-S,17-68497-S,22-29935-S,22-30001-S,23-55133-S,30-59459-S,30-59515-S,46-55300-B,48-52303-B,48-57818-B,48-59349-B,53-3894-S,60-6677-S,60-58240-S,67-50485-S,67-53590-B,70-33206-B,70-33557-B,70-33629-B
soul after death	40-50255-S
soul into a book	4-40149-S
soul mates	17-44527-B
soul searching	11-51886-B
soul separated 成语 saw	70-33233-S
soul upside down 成语 saw	46-62766-S
souls	21-37066-S,71-32313-S
souls and seven mortal forms in daoism	1-44864-S
souls in daoism	1-44800-S
sound	1-18232-B,4-68278-S,12-9248-S,12-52576-S,12-52650-S,12-52742-S,12-68805-S,13-31167-S,13-37611-S,13-44154-S,13-48935-S,13-49811-B,14-1891-S,14-25977-S,14-26197-S,14-26660-S,14-29420-S,14-29679-S,14-29724-S,14-30943-S,14-30980-S,14-31238-S,14-33261-S,14-34262-S,14-39635-B,17-5350-S,18-36255-B,19-26284-S,20-46773-S,21-62398-S,22-39254-S,26-14979-S,30-16133-S,35-23651-S,38-50402-S,38-64354-S,43-66351-S,47-62362-S,48-33767-B,50-39204-S,51-65159-B,51-67075-B,51-67122-B,58-52708-S,61-11836-S,63-14060-S,65-51755-S,68-13825-B,68-15806-S,68-17078-S,68-17243-S,68-17732-S,68-18669-S,68-18669-S,68-32657-S,69-17552-S,70-11295-S,70-11362-S,70-53951-S,71-52482-S
sound absorbing	13-4895-B
sound and color	32-38812-S
sound and meaning	68-15331-B
sound and movies	23-59867-B
sound and the fury novel by william faulkner 威廉·福克納 威廉·福克纳	14-11034-S
sound bang	13-66545-B
sound card	51-65318-B,68-16442-B
sound chap	53-41777-B
sound color	68-15422-B
sound dissipation	38-31882-B
sound duration	68-15901-B
sound effect	68-14217-B
sound effects	68-16290-B
sound equipment	68-16362-B
sound field in a room or theater	68-16177-B
sound for buddhist terms	61-50173-S
sound like	52-1977-S
sound linger on faintly	2-24636-S
sound made by an empty stomach	13-26655-B
sound made by animals	12-9667-S
sound made by cow	13-41688-S
sound made by person	12-9667-S
sound material	53-41777-B
sound navigation and ranging	51-66513-S
sound of a bell	64-53172-B
sound of a crash	14-31033-S,57-58010-B
sound of a drum	71-48583-B
sound of a shot	34-45314-B
sound of a syllable	21-15772-S
sound of activity or people talking	10-2557-B
sound of air sucked between the teeth	14-32748-S
sound of an explosion	14-30770-B
sound of arrows	70-4306-S
sound of bell	1-25915-S,14-10796-B
sound of bell arch 	65-6086-S
sound of bells etc	14-33986-B
sound of child	13-15386-S
sound of child s crying	13-36308-B
sound of clock	14-202-S
sound of crashing	46-15907-B
sound of crying	13-36353-B
sound of drum	71-49280-B
sound of drums	66-37246-B
sound of drums and bells	64-50419-B
sound of escaping laughter	14-34345-B
sound of footsteps in an empty valley 成语 saw	47-49843-B
sound of gurgling water	14-31303-B
sound of laughter	13-26159-B,35-22793-B
sound of many people eating	14-26539-B
sound of metal	65-5656-B
sound of moving water	38-55990-B
sound of panting	13-18447-S
sound of rain	38-40257-S
sound of rain and wind	39-58150-B,40-15698-B
sound of reaping	47-26003-B
sound of sighing	13-29755-B
sound of snoring	71-52860-B
sound of sobbing	13-49896-B
sound of speaking	58-27149-B
sound of splitting	14-40873-B
sound of sth throbbing or bursting	14-30770-B
sound of stonemason s shovel	66-37102-B
sound of the heart	24-39960-B
sound of the wind	51-17587-S,68-56771-B
sound of the wind blowing or rain falling	68-59955-B
sound of thunder	67-24033-B,67-24600-B
sound of trampling	60-40961-B
sound of wailing	14-26308-S
sound of water	40-16945-B
sound of water flowing	37-36758-B
sound of water splashing	37-35767-B
sound of water surging	38-9540-B
sound of waters flowing together	39-56340-B
sound of waves	39-8702-B,40-362-B
sound of waves crashing	13-21262-B
sound of weeping	58-59042-B
sound of wind	68-59408-B,68-59901-B
sound of wind blowing	13-18125-B
sound or sharp noise gunfire etc	12-10523-S
sound out	58-12828-S
sound proofing	66-41251-B
sound proposition	2-14219-S
sound quality	68-15747-B
sound recording	64-42657-B
sound sb out	18-8875-S
sound set phrase	19-30831-S
sound sleep	69-29335-B
sound such as choking	14-5426-S
sound the night watches on clappers or gongs	26-45636-S
sound to call cat	13-28534-B
sound used to move animals along	13-26273-S
sound value of another character	51-65821-S
sound volume	68-15853-B
sound wave	51-66348-B,68-14787-B
sound with frequency an integral multiple of the fundamental	58-46362-S
soundboard	33-31059-S
soundbox	68-15045-B
sounding	27-38031-S,36-42997-B
sounding and impractical	61-43658-S,61-44182-S
sounding suzhou shanghai dialect	12-69761-S,12-69879-S
soundly	20-8899-S,41-15764-S
sounds	14-37580-S,34-56392-S,37-44994-S,49-32365-S,51-65159-S,58-5547-S,58-5667-S,67-24747-S
sounds into words	27-52960-S
sounds of nature	17-52618-B
sounds wind blowing on frontier	63-12852-S
soup	1-11524-S,8-23953-S,13-15611-S,38-63109-S,39-14271-B,41-29165-S,41-48745-S,51-15267-B,51-15295-B,52-50323-B,52-53214-S,55-43676-S,63-45578-S,63-45578-S,64-24944-S,69-32896-S,70-17344-S,70-37733-S,70-55139-S
soup containing beaten egg and green leafy vegetable	55-60959-S
soup dishes on menu	39-15174-B
soup dumpling	21-3087-S
soup or water	37-37317-S
soup spoon	39-14536-B
soup stock	70-17344-B
sour	16-34473-S,43-17753-S,48-61576-S,59-11528-S,59-11528-S,63-44541-B,63-45191-B,69-18584-B
sour and astringent	35-15119-S
sour and spicy soup	63-45578-B
sour date ziziphus jujuba var spinosa	63-45067-B
sour fish	48-61761-S
sour grapes	63-45378-B
sour grapes set expr based on aesop	14-14139-B,58-33016-B
sour meat pork	13-26729-S
sour mountain date	21-32470-B
sour pork	43-17803-S,48-61624-S,48-61688-S
sour sauce	63-45661-S
sour shredded potato	63-45485-S
sour soup	63-45578-S
sour when you can t eat them	14-14139-S,58-33016-S
source	2-68610-S,3-7400-S,3-7400-S,6-1826-S,6-1937-S,7-10749-S,7-29758-B,11-30177-B,11-34874-S,20-4169-S,28-31185-S,32-60330-B,32-64966-B,33-47029-S,36-43115-S,37-28515-B,37-36708-S,38-29998-S,38-52556-B,39-15714-B,39-15870-S,39-16322-B,39-16363-B,39-23573-S,39-23623-S,41-20582-S,44-30791-B,48-21974-S,52-27717-S,54-55608-S,57-61171-S,61-23038-S,61-58139-S,61-58459-S,61-67716-S,67-32064-S
source address	39-16405-B
source and grass	36-45774-S
source and reduce outflow 成语 saw	65-38362-S
source code	39-15756-B
source esp of quotation or literary allusion	8-44687-B
source from every side 成语 saw	21-58371-S
source is distant and the flow is long 成语 saw	39-16104-S
source material	11-34398-B,32-60452-B,56-35711-S,56-35814-S
source material in literature and art	49-25082-B
source of a product	43-31642-S
source of an infection	6-37109-B
source of cocaine	12-3012-S,12-3075-S
source of information	25-13062-B
source of information etc	5-18409-B
source of oxygen of forests and nature reserves	17-24300-B
source of revenue	59-33756-B
source of the 214 radicals still used today	23-2922-S
source of the law	37-32346-B
source of the law temple in beijing	37-32428-S
source of wealth	51-54184-S
source organ	39-15812-B
source software oss	65-36480-S
sources of income and economize on expenditure	65-38362-S
sources of troops	8-1868-B
soured as food	69-19151-B
south	10-65741-B,10-67507-S,10-71321-S,10-71953-B,10-71953-S,11-2393-S,11-4261-B,11-5602-B,13-32212-S,34-34450-S,56-50897-S,65-59356-S
south africa	2-51522-S,11-5556-B,24-27822-S,36-9869-S,49-6963-S,65-37189-S
south african ambassador to taiwan	50-3904-S
south america	10-67708-S,11-55-S,11-2495-B,11-2593-B,19-32007-S
south and north poles	10-67643-B
south anhui	71-18049-S,71-18194-S
south asia	24-28569-S
south asia at different historical periods	60-25322-S
south asian association for regional cooperation	10-66013-B
south australia	11-1500-B,16-29346-S
south bank	10-70402-S
south beijing	59-19890-S
south carolina	10-68262-B
south carolina state of us	10-68169-B
south caucasus	16-52064-B
south central china	19-28481-S,19-28630-S,39-10725-S,39-10865-S,39-11749-S,59-42585-S,59-42739-S,65-16403-S,65-16522-S
south central myanmar burma	9-65200-S,9-65314-S
south central region	2-51749-B
south china	13-0-S,23-12260-S,23-12418-S,23-13770-S,23-13909-S,23-14614-S,23-14691-S,23-14828-S,36-55200-B,38-17063-S,38-17178-S,42-17485-S,48-51751-S,57-21454-S
south china 1669 by wu renchen 吳任臣 吴任臣	10-45456-S
south china and southeast asia	6-30016-S,6-30093-S
south china in different historical periods	13-1623-S
south china more generally	13-2063-S
south china morning post newspaper in hong kong	11-3183-B
south china or south asia at different historical periods	60-25322-S
south china or southeast asia at different historical periods	60-26886-S
south china sea	11-858-B,71-18556-S
south china tiger	54-32525-B
south china university of technology	54-32412-B
south china 廣西壯族自治區 广西壮族自治区	10-69439-S,10-69610-S,10-69778-S,34-1595-S
south chinese	56-23089-S
south coast of sumatra	31-22505-S,31-22605-S
south dakota	11-4119-B,11-4184-B
south egypt	66-5384-S,66-5454-S
south gansu	66-51064-S,66-51263-S
south gansu bordering shaanxi and sichuan	66-51143-S
south georgia and the south sandwich islands	10-68590-B
south holland	11-2981-B
south india	47-16983-S
south indian people and languages	62-55036-S
south island	10-70449-B,22-65803-S
south jiangsu	36-57963-S,36-58222-S
south korea	4-3709-S,4-20600-S,7-8660-S,10-67776-S,10-72840-B,11-5653-B,17-28386-S,17-40331-S,25-52173-S,32-49852-S,33-31376-S,36-58323-S,38-10128-S,39-48815-S,40-9522-S,55-11355-S,64-12122-S,64-18597-S,68-11304-B,68-11435-B,68-11542-B,68-12479-S,68-12830-S
south korea around 500 ad	4-63171-S
south korean grand national party	17-10950-B
south korean news agency	51-60906-S,68-11638-S,68-12751-S
south korean president	7-37016-S,45-13599-S
south lines	50-30803-S
south lines of longitude	50-28297-S
south mexican state	16-17970-S
south myanmar burma	4-50102-S,9-65134-S
south of	11-4261-S
south of changjiang or yangtze river	36-57963-B
south of france	31-50754-S
south of liaoning province	63-5011-S,63-5309-S
south of malayan peninsula	33-43880-S
south of silla 新羅 新罗 in south korea around 500 ad	4-63171-S
south of the forbidden city that was the legation quarter during the boxer uprising	33-14664-S
south of the lower reaches of changjiang	36-57963-B
south or top to bottom	50-30803-S
south ossetia	10-69113-B
south pacific formerly new hebrides	43-10413-S
south peninsula	2-51586-S
south pole	10-73141-B
south poles	7-46127-S,15-43340-S
south qinghai	33-37179-S,33-37265-S,33-37363-S
south sandwich islands	10-68590-S
south sea fleet	11-907-B
south seas	11-535-B
south side	11-4261-B,11-5602-B
south taiwan	22-4800-S
south tibet and northwest yunnan	24-52825-S
south turkey	26-52400-S
south vietnam	11-3595-B
south vietnamese	11-3595-B
south wales	30-44868-S
south wales australian state	30-44949-S
south west china	57-18365-S
south wind	41-13204-S
south xinjiang	11-2011-B,21-14621-S
southampton	10-69240-B
southeast	33-15903-B
southeast asia	6-30016-S,6-30093-S,11-3288-S,33-15947-B,33-16006-B,64-7346-S
southeast asia at different historical periods	60-26886-S
southeast asian nations	33-16076-S,33-22053-S
southeast china	1-51500-S,1-52328-S,10-72121-S,10-72269-S,33-12795-S,33-12908-S,36-60503-S,36-60731-S,36-60811-S
southeast corner of room	47-54931-B
southeast himalayas	66-56196-S
southeast india	19-28079-S
southeast paris	54-62826-S
southeast part	33-16289-B
southeast university	33-16213-B
southern afghanistan	15-49759-S
southern asia	10-65967-B
southern barbarian	56-23089-B
southern brogue	12-69761-S,12-69879-S
southern california	10-68117-B
southern china	54-32364-B
southern china and hong kong	13-52098-S
southern china around guangzhou and the pearl river delta	36-55200-S
southern china states at different historical periods	12-69194-S
southern chinese dialects	13-1566-B
southern chinese 吳語 吴语	55-38722-S
southern cross	10-67963-B
southern dialects	23-50063-S
southern dynasties	10-68416-S,11-5912-S,34-9691-S,66-28179-S,71-53823-S
southern dynasties 317 589	7-67880-S,10-72489-S
southern dynasties 420 479	9-41873-S,10-72577-S,60-29569-S
southern dynasties 420 589	10-67556-S
southern dynasties 479 502	10-72898-S,11-5845-S
southern dynasties 502 557	10-72664-S,55-16741-S
southern dynasties 557 589	10-72753-S,66-26326-S
southern dynasties 南朝宋	48-31235-S,58-57724-S
southern dynasties 南朝宋 420 479	9-41788-S,19-34795-S,19-35714-S
southern dynasties 南朝宋 or liu song 劉宋 刘宋	19-35602-S
southern dynasties 南朝梁 in 548	5-26431-S
southern dynasty	10-72489-B
southern ethiopia	66-6813-S,66-6890-S
southern europe	11-239-B
southern fist chinese martial art	10-71810-S
southern foothills of a mountain	11-5774-S
southern han	11-1197-B
southern hemisphere	10-68053-B
southern hunan	36-59432-S
southern japan in 1956	36-38722-S
southern languages	3-20412-S
southern liang of the sixteen kingdoms 397 414	11-979-B
southern part	11-4261-B,11-4414-B
southern part of the country	10-71953-S
southern praying mantis martial art	11-683-S
southern province of portugal	65-68010-S
southern russia	3-64301-S
southern shanxi	70-14535-S
southern silk road	54-11997-S
southern song 1128 1279	7-44185-S
southern song dynasty 1127 1279	10-69305-S
southern song poet fan gongcheng 範公偁 范公偁	62-44983-S
southern state of wu during the three kingdoms period	33-16548-S
southern state of wu 成语 saw	12-69308-S
southern states wu and yue traditional rivals	13-1945-S
southern taiwan	26-46649-S,70-23557-S
southern talents of the ming	36-58106-S
southern tang	10-68542-B
southern weekend newspaper	10-72036-B
southern xinjiang	16-18224-S,16-18302-S
southern yan of the sixteen kingdoms 398 410	11-1834-B
southward	10-65861-B,12-62588-B
southwest	57-13652-B,57-13975-S
southwest asia	57-12820-B,57-13811-B
southwest beijing	19-54853-S,23-11961-S
southwest china	14-48804-S,14-49097-S,21-49953-S,26-12157-S,26-12279-S,31-19244-S,36-60583-S,39-26816-S,53-64571-S,53-64699-S,56-1999-S,67-17799-S,67-17898-S,67-17966-S,67-19035-S
southwest china and southeast asia	11-3288-S
southwest england	24-8318-S
southwest hubei	25-2364-S,25-2784-S
southwest hunan	20-19662-S,20-19732-S
southwest iran	26-39336-S,26-39423-S
southwest jiaotong university	57-13868-B
southwest of alaska almost down to kamtchatka	66-9774-S
southwest of beijing	45-13738-S
southwest of tōkyō	21-30476-S,67-61849-S
southwest pacific	20-3485-S,26-29467-S,30-32169-S
southwest tibet	21-35356-S
southwestward	12-63681-B
souvenir	43-49523-S,43-49806-S,49-2846-B,56-46364-B
souvenir on leaving	43-48756-S
souvenir photo	43-49523-S
sovereign	1-26742-S,8-4944-B,12-64010-B,32-48900-S
sovereign country	3-6392-B
sovereign king	12-64489-B
sovereigns 三皇 and five emperors 五帝 of myth and legend	1-38373-S
sovereignty	3-6346-B,14-56359-S,49-52278-B,53-18782-B
sovereignty and humiliate the country 成语 saw	14-12644-S
soviet	55-41084-S
soviet communist party	55-37846-B
soviet council	55-40448-B
soviet republic 1931 1934	2-80662-S
soviet russia	55-37802-B
soviet russia 1917 1991	55-40507-B
soviet secret police	7-17341-S
soviet socialist republics ussr	55-40595-S
soviet union	9-23488-S,11-35452-S,42-20401-S,42-21132-S,55-40837-B,55-40979-S
soviet union and the northern warlord government of china	2-81022-S
soviet union friendly society	55-40883-B
soviet union 蘇維埃 苏维埃 or 蘇聯 苏联	55-37341-S
sow	29-15119-B,51-38911-S
sow discord	27-64513-S,27-65934-S,29-15460-S
sow discord between people	27-65042-S,28-58358-S
sow discord everywhere	27-64128-S
sow discord 成语 saw	58-36899-S
sow dissension	11-55489-S
sow dissension 成语 saw	27-65192-S
sow grain	47-36111-B
sow seeds	29-8190-B,29-15724-S
sow seeds in early spring	31-13768-S
sow the wind and reap the whirlwind hosea 8 7	25-21703-B
sowing	1-74005-S,6-29433-S,29-15724-B,31-13768-S,31-33577-S
sowing grain	51-38981-S
sowing in autumn for a crop in spring	47-14727-B
sown	53-796-S,53-15509-S
soy	41-14520-S
soy and vinegar	41-33712-S
soy bean	17-33733-B,36-15317-S,71-23261-B
soy bean oil	59-17029-B
soy etc	41-14374-S
soy milk	59-16899-B,59-17224-B
soy sauce	27-29025-S,43-21044-S,63-51006-B,66-65792-S
soya bean as animal fodder	30-35507-S
soya bean dregs	59-17075-B,59-17124-S,59-17355-B,59-17413-S
soya bean milk	59-16981-B
soybeans	49-17806-S,53-17563-S
soyuz union	51-62163-B
sp	56-17073-S,56-21224-S
spa	39-22475-B
space	1-39520-S,1-48200-S,6-64518-S,11-41200-S,15-41076-B,15-54072-S,16-13020-S,16-13255-B,16-46622-S,16-47252-S,17-45714-S,17-60092-S,22-64784-S,23-52389-S,25-7961-S,35-35375-S,38-17500-S,38-50983-S,45-33597-S,47-46012-S,47-48810-S,47-48856-S,47-50310-B,48-31965-S,52-47385-S,53-39480-S,58-27079-S,60-22983-S,63-35001-S,64-2877-S,65-46337-B,68-34975-S,70-20312-S
space administration	15-5023-S,51-3475-S,51-3886-S,51-6048-S
space administration the prc space agency	15-6805-S
space agency	15-6805-S,19-21358-B
space alien	16-48431-B
space and time	47-51548-S
space between mouth and ears	13-27647-B
space between two pillars	34-8256-B
space capsule	17-60364-B
space center	52-13556-S
space curve	3-6466-S,9-32727-S,23-35861-S,29-9233-S
space elevator	17-48531-B
space flight	19-21257-B,53-33818-B
space in math 	1-47719-S,12-51574-S
space inside a building	34-46849-S
space launch site in kazakhstan	27-46198-S
space math	45-30133-S
space math 	11-41200-S,14-52304-S,27-32445-S
space of a whole page	41-45442-B
space of sections math	8-62464-B
space operation	15-46401-S
space or time	47-46251-S
space out	27-26469-S
space outer space	38-50983-S
space probe	11-12928-S,32-26090-S,47-50351-B
space rocket	3-57952-S
space satellite	56-37398-B
space ship	22-55167-B
space shuttle	17-60575-B,44-31461-S,53-33979-B
space shuttle challenger	27-64829-B
space shuttle endeavor	18-18899-B
space station	15-16384-S,17-60247-B,47-50419-B
space taken up by an object	19-65611-S
space telescope	13-36548-S
space time in relativity	14-52205-S,31-41282-B
space tourism	17-60516-B
spacecraft	19-21023-B,53-33923-B,61-3949-S
spacecraft moon probe	18-59787-S
spaced	10-12122-S
spaced out along parade routes	34-52379-S
spacer	16-24501-B
spaces	23-11442-S,23-11540-S,65-43653-S
spaces in writing	43-50974-S
spaceship	17-60307-B,62-30060-S,68-64739-B
spacesuit	17-60193-B,19-21414-B
spacewalk	17-60449-B
spacious	13-16655-B,19-38515-B,20-24793-B,20-26242-B,20-26353-B,20-27302-B,30-6073-B,50-11809-B
spade	34-15726-B,64-50045-B,64-51322-B,64-57228-B,64-57346-B,64-58685-B
spain	4-47530-S,15-49396-S,15-58146-S,15-58220-S,43-54957-S,47-45389-S,57-20502-B,69-37654-S
spain abbr 	57-12595-B
spain capital of trinidad and tobago	57-20622-S
spain dividing asturias from castilla leon	15-49498-S
spam	15-56199-B,15-56285-B,36-41244-B
spammers	6-52599-S
span	7-42395-B,16-38248-S,17-44986-S,57-66601-S,60-39545-B,65-49820-S,66-35073-S
span is up	16-38519-S
span test	65-49888-S
spandrel wall filling the shoulder between two neighoring arches	27-48993-S
spangle	64-7649-B
spaniel	42-17396-B
spanish	57-12595-B,57-17664-B
spanish basque country	15-49396-B
spanish fly	56-7671-B,56-16740-B
spanish language	57-20550-B,57-20723-B
spanish mare cantabrico	15-49653-S
spank	1-7494-B
spank sb s bottom	26-43312-S
spanner	26-55316-B,26-55362-B
spanning several branches of science	60-39387-B
spanning two or more prc provinces	60-39240-B
spar	8-18602-S
spare	2-10162-S,5-51686-B,6-29020-B,20-28168-S,30-61708-S,38-63785-B,69-20015-S,69-20125-B
spare no effort	2-32995-B,18-18094-S,47-65146-S
spare no efforts	27-50853-S
spare no pains or effort	2-35364-B
spare part	67-21652-B
spare parts	6-28235-B,6-28472-B,30-6930-B,67-19680-B,67-19734-S
spare ribs	28-18612-B
spare sb s feelings	43-49879-S
spare the rod and spoil the child	18-40181-B
spare time	21-54886-B,34-33446-B,37-8829-S,47-45691-B
spare time college	34-33513-S
spare time education	34-33713-B
spare time for a separate task	8-58615-S
spare valor for sale 成语 saw	69-15072-S
spare 成语 saw	31-10238-S
spares	67-19680-B
sparingly	25-34941-S,48-29617-S
spark	32-48361-S,40-23989-B,41-6302-B,57-54797-B,65-24406-B
spark 成语 saw	31-29694-S
sparked ww2 between japan and china	1-26425-S,45-13840-S,55-36662-S
sparkle	4-4436-B,31-56280-S,32-1376-S,40-23989-B
sparkling	44-64247-B,65-26656-B
sparkling drink	44-30615-B
sparkling water	37-63251-B
sparkling wine	37-1966-B
sparring	53-29886-S
sparrow	57-47813-S,66-52511-S,67-8540-B,71-16264-B
sparrow and swallow	41-29798-S
sparrow and swallow know the will of the great swan 成语 saw	41-29558-S
sparrow and swallow s congratulation 成语 saw	41-29877-S
sparrow hawk	70-59389-B,71-2113-B
sparrow hawk accipiter nisus	66-52653-B
sparrow know the will of the great swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-S
sparrows at the door 成语 saw	65-21610-S
sparrows blindfolded	65-27791-S
sparse	20-11778-B,44-1400-B,44-2685-B,44-3049-B,47-27363-B,47-28063-B
sparse and fragmentary	47-28127-B
sparta	30-40272-B
spasm	27-16709-S,27-18146-B,27-38695-S,44-13910-B,44-13939-B
spasms	44-22010-B
spasms or convulsions in young children	44-19742-B
spassky name	30-40320-B
spat on in the face and let it dry by itself	13-57103-S
spate	35-65291-B,66-20587-B
spatial	45-62963-S
spatial sketchpad	57-36094-S
spatter	40-18639-S
spatterdock nuphar pumilum	54-41773-B
spatula	9-8835-B,16-33737-B,58-39161-B
spatula kitchen utensil	64-57346-B
spatulifolius beille shrub of the euphorbiaceae family	71-57782-S
spawn	11-25164-B,34-33207-S,56-19623-S
speak	8-36254-S,14-689-S,14-30023-S,14-34751-S,25-8943-S,32-4260-S,33-8508-S,37-54104-S,57-55691-S,58-31085-S,58-33219-S,58-33913-S,58-40628-S,58-54106-S,58-54438-S,58-55340-S
speak a language	29-20338-S
speak about	58-40976-S
speak and break off	12-64891-S
speak cautiously	58-655-B
speak evasively 成语 saw	65-25835-S
speak falsely or wrongly	14-33858-S
speak forcefully and with justice 成语 saw	27-70445-S,27-70599-S
speak frankly with assurance	5-16481-B
speak gently	58-35198-B
speak haltingly	14-43814-S
speak harshly but without any bad intent	32-30707-S
speak highly of	58-19602-S
speak highly of sb	70-15057-S
speak ill of	58-53478-B
speak in a roundabout way	27-30867-S,61-23153-S
speak in defense of	61-38747-S
speak in whispers	20-69577-B
speak like a printed book	8-36470-S
speak louder than words 成语 saw	3-30289-S
speak loudly	17-31443-B
speak maliciously	59-13053-S
speak of	58-52185-B
speak of all the others	54-26480-S
speak of the devil	58-32565-B
speak of two things on the same day 成语 saw	1-76013-S,12-48043-S,32-57086-S
speak one s mind	32-39499-S,45-21534-S
speak only the target language in a language school	58-27601-S
speak out	46-42946-S,58-31559-S
speak out about	70-2779-S
speak out boldly	58-52512-B
speak out candidly	70-3051-S
speak out for justice 成语 saw	4-26114-S
speak out of surprise	49-44039-S
speak out of turn	16-55160-S
speak publicly	58-54821-S
speak sarcastically	27-67334-B
speak softly	61-12265-S
speak unwarrantedly	26-46012-B
speak with a nasal twang	71-53060-S
speak with the eyes	45-18841-S
speak without thinking	40-57922-S
speak without words	24-40189-S
speaker	21-4982-S,27-39841-S,28-45401-B,39-46885-B,48-7513-S,70-2779-S
speaker electronic	68-16177-S
speaker of a legislative assembly	59-3808-B
speaker of the house	15-9573-B
speaker often derogatory	58-31787-S
speaker 成语 saw	11-70949-S
speakers etc	16-9540-S
speakers or speaker electronic	68-16177-B
speaking	1-19136-S,1-19210-S,1-19438-S,1-19718-S,12-22543-S,14-42191-S,14-42264-S,14-43718-S,23-37771-S,24-35759-S,24-35876-S,24-65662-S,28-43971-S,36-12529-S,41-9420-S,46-18662-S,48-7607-S,48-44332-S,50-34144-S,58-25907-S,58-27149-S,58-32774-S,58-32879-S,63-10625-S,65-41782-S,65-42002-S,67-5861-S,71-37154-S
speaking rudely	70-4885-B
speaking together	71-54182-S
speaking 成语 saw	45-21415-S
speaks for itself	32-36896-S,32-37053-S
spear	11-37404-B,26-4339-B,26-16571-B,28-49596-S,33-26873-S,34-44101-B,34-44149-S,34-45004-S,34-45373-S,35-65102-B,45-62395-B,64-25176-B,64-32184-S,64-35445-S,64-43979-S,64-52864-B,64-53428-B,64-58564-B,64-58564-S,64-58763-S,64-59176-S
spear and horse 成语 saw	14-19073-S
spear arch 	53-57818-S
spear head	64-27180-S
spear shaft	48-43909-B
spearhead	45-62535-B
spearmint	43-51616-B
