the gospel	19-55856-S
the morning	1-5821-S,1-14008-S,8-25976-S,17-25585-S,18-55603-S,38-61244-S
the morning but four in the evening 成语 saw	32-47262-S
the morning chu in the evening 成语 saw	32-48488-S
the morning sun	32-49315-B
the morrow	35-20890-B,48-11116-B
the mortal world	3-26119-S,40-6172-S
the most	32-18612-B,32-19659-B,32-21128-B
the most beautiful	48-1209-S
the most common type of white blood cell	2-71653-S
the most famous	12-54030-S
the most favorable method	14-59355-S
the most glamorous	48-1289-S
the most important	69-23390-B
the most of every opportunity	57-30307-S
the most part	17-12934-S,17-36868-S
the most refined	48-52303-B
the most senior minister of many kingdoms or dynasties with varying roles	2-45332-B
the most valuable information in your recent letter	30-11353-B
the most western french town	36-10616-S
the mother of success proverb	17-65717-S
the motions	23-30388-S
the mount	21-28569-S
the mountain	50-30297-S,65-43447-S
the mountain and deep as the sea 成语 saw	21-33739-S
the mountain and long as the river 成语 saw	21-33595-S
the mountain and the sea 成语 saw	21-31655-S
the mountain of a hermit	8-38872-S
the mountains and covering the plains 成语 saw	39-52589-S
the mourning period	39-37830-S,39-39032-S
the mouth	12-25928-S,13-10096-S,13-48935-S,14-33586-S,14-34426-S,38-36124-S,39-61096-S,44-9865-S,71-56880-S
the mouth as in speaking	14-43718-S
the mouth of a corpse	42-51258-S
the mouth of a river	37-19401-B
the mouth of sb	29-27198-S
the mouthpiece of wind instrument	36-27632-S
the movement of a fish s mouth at the surface of the water	14-34495-B
the mud	37-42578-S
the mukden or manchurian railway incident of 18th september 1931 used by the japanese as a pretext to annex manchuria	3-17360-B,33-49592-B
the mullet	70-39496-B
the multitude	12-36105-S
the multitude of common people in highbrow literature	23-892-B
the mundane world	16-22624-B
the music of former kings	7-4768-B
the mysteries of the dao according to laozi 老子	42-26982-B
the mysteries of the universe	42-27266-B
the nail and slice iron 成语 saw	30-38655-S
the nail on the head	35-38013-S
the naked eye	45-17480-S,68-51138-S
the nakhi ethnic minority of lijiang 麗江 丽江 in northwest yunnan	33-18153-S
the name	12-53164-S
the name does not correspond to reality 成语 saw	12-53351-B
the name does not reflect the reality 成语 saw	12-53164-B
the name implies	68-49095-S
the name of academia sinica 中央研究院 when it was founded	29-54644-B
the name of an idea or an organization	31-3456-S
the name of china	15-12932-S
the name of its general	31-3456-S
the name of love	35-60477-S
the name of the father in christian worship	14-61034-S
the name of the father of the emperor yao	16-39908-B
the name remains	12-55480-B
the name 成语 saw	24-23191-S
the names of buddha	24-49978-S,71-37021-S
the nanjing massacre of december 1937	10-66315-B,10-66418-B
the narnia chronicles	55-40249-S,66-5546-S,67-47748-S
the nation	29-63564-S,47-6904-S
the nation anti japanese organization	27-5213-S
the nation anti japanese protest movement stemming from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
the nation effectively	4-25249-S
the nation s hard won wealth esp as an object of unscrupulous exploitation	36-22610-B
the national team	15-7871-B
the nationalist government	36-19773-S
the nationalist government in their 1930s campaigns against the communists	9-38657-S
the nationalists in 1949	57-49147-S
the natural state	35-54757-S
the natural world	53-9108-B
the nature of sth	45-41982-B
the nature usually of error or crime	19-45219-S
the nave of a church	27-48426-S
the navel	52-23305-B
the navel where one s qi resides	3-2991-S
the near future	61-48305-S
the nearest integer	14-50208-S,69-16516-S
the neck	17-66095-S,52-31692-S,57-62673-S
the neck and shoulder	27-11961-S
the neck area of the body	68-41173-B
the neck in work	15-61237-S
the neck of humans and most mammals	68-41052-S
the needs of	39-41194-S
the needy	4-26250-S,13-13292-S,59-56256-S,59-56323-S,59-56398-S,59-56571-S
the needy for justice 成语 saw	4-26250-S
the needy with cash or goods	29-64557-S
the negative principle of yin and yang	66-23523-S
the negative side	59-32577-B
the neolithic	30-52953-B
the nepalese border	51-67769-S
the nerve	52-50455-B
the nerves	19-31466-S
the net of justice	37-32721-B,37-32825-S
the net volleyball	29-32881-S
the net 成语 saw	39-44860-S,39-44979-S
the netherlands	21-13451-B,21-28178-S,38-22275-S,51-943-S,54-20003-B,54-20059-S,54-40949-S,71-8383-S
the netherlands or holland 荷蘭 荷兰	54-19502-S
the new	14-8456-S,49-16613-S
the new boss cracks the whip three times	30-46964-B
the new convert	41-20682-S
the new from the old	28-33047-S
the new home 成语 saw	37-57791-S,37-57947-S
the new moon	32-44830-B,32-44910-B
the new replaces the old	30-57940-S
the new situation 成语 saw	14-59462-S
the new society	10-61065-S
the new stone age	30-53031-B
the new through the old	28-33047-S
the new year	6-62222-B,61-45499-S,62-44578-S
the new year festival	22-49111-B
the new york yankees in major league baseball	42-34914-S
the new yorker	49-19116-B
the new 成语 saw	34-53088-S,39-21725-S,39-21826-S,47-36313-S
the news	1-47996-S,29-15252-S,45-41030-S,51-57577-S,51-57662-S,51-69346-S,53-61249-S,57-29656-S,68-38380-S
the news in brief	48-38562-B
the news of	51-57314-S
the newspaper	16-8561-S
the newspaper s	16-11714-S
the next few days	2-13735-S,11-24647-S
the next generation	1-58108-B,1-58328-B,6-33590-S,6-35787-S,28-45850-S
the next grade school	10-53030-S
the next level	28-41510-S
the next mountain looks taller 成语 saw	62-5116-S
the next one	1-58171-B
the next shift	28-26870-S
the next so multiplying errors	64-610-S
the next step	1-58272-B
the next to come after shakyamuni buddha	23-50577-S,23-50710-S
the next work shift	28-46705-B
the next workshift	3-70915-S
the next year	51-17444-B
the nick of time	26-2206-S
the night	4-8066-S,10-55991-S,17-1779-S,18-35174-S,19-21997-S,19-30164-S,19-66184-S,27-65772-S,62-44356-S,65-32731-S,70-34080-S
the night before	9-19264-B
the night from nightfall to midnight	9-18659-S
the night in the open	67-46904-S
the night watches	28-34363-S
the night watches on clappers or gongs	26-45636-S
the nile	21-14397-B
the nine chapters on the mathematical art	3-20312-B
the nine provinces of southern china around guangzhou and the pearl river delta	36-55200-B
the nine springs	3-20036-B
the nine tailed turtle	3-18724-B
the nirvana sutra every living thing has buddha nature	38-28231-B
the nobel prize for literature	58-49970-B
the nobility	31-44018-S,31-44018-S,41-40864-S
the nobility 成语 saw	9-53745-S
the noble and common	55-46040-S
the norm	8-37314-S,40-32865-S,60-21670-S
the normal course of events	41-8490-S
the normal time	56-58219-S
the norms	8-51516-S
the north	10-29695-B,10-31415-S
the north and south poles	7-46127-B
the north atlantic treaty organization nato	10-30099-B
the north bank	10-30802-B
the north frigid zone	10-30504-B
the north magnetic pole	10-32493-B
the north of	10-35435-S
the north pole	10-32493-B
the north sky	42-27749-S
the north temperate zone	10-34258-B
the northern 960 1127 and southern song 1128 1279	7-44185-S
the northern dynasties	10-29455-S,10-29522-S,10-36936-S,13-12376-S,70-35028-S
the northern dynasties 386 534	10-36721-S,24-3121-S,27-32803-S
the northern dynasties 386 581	10-32295-B
the northern dynasties 534 550	33-26352-S
the northern dynasties 535 557	57-24360-S
the northern dynasties 550 557	10-36865-S
the northern dynasties 北魏 and tang 唐 dynasties	15-48042-S
the northern expedition	10-28640-B,10-28696-B
the northern expeditionary army	10-28777-B
the northern foothills of a mountain	10-36794-B
the northern hemisphere	10-29120-B
the northern part a country	10-31991-B
the northern part of the country	10-29695-B
the northern song dynasty 960 1127	10-30309-B
the northern warlord	19-14443-S
the northern warlord government of china	2-81022-S
the northern warlords	3-37345-S,45-20507-S
the northern warlords 1912 1927	10-33438-B
the northern zhou dynasty 557 581	10-29522-B
the northwest wind 成语 saw	14-10473-S
the nose	9-44771-S,38-8060-S,42-473-S,42-1211-S,56-30338-S,71-51268-S,71-51404-S,71-53000-S,71-53060-S
the nose with the back of the tongue against the soft palate	24-3194-S
the nose with the tongue against the alveolar ridge	9-26190-S
the nostrils	25-23030-S,29-16778-S,29-16955-S
the novel journey to the west 西遊記 西游记	19-15241-S
the nth power	35-20831-S
the nuclear problem	33-56323-B
the nujiang river in tibet and yunnan	24-53041-S
the number	10-58153-S
the number i e to fill places up to a given number	6-65002-S
the number of combinations	3-43814-B
the number of molecules in a mole	65-66477-B,65-66615-B
the number one productive force from 1978 speech by deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
the numbers with inferior products	40-10384-S
the numerator and denominator	49-4276-S
the nyeva or neva river through st petersburg	38-28333-B,38-28413-B
the oath of brotherhood in the peach garden	34-2797-B
the objective world as opposed to empirical observation	19-53015-B
the occasion	2-6422-S,11-23816-S,12-31509-S,12-34724-S,24-9461-S,31-40069-S,62-65395-S
the occident	57-17852-B
the ocean	37-50507-S,38-19119-S
the ocean with stones 成语 saw	48-57976-S
the office	1-54024-S
the official marxist description of china in the late qing and under the guomindang	10-56431-S
the official principles i e without involving private interests	7-54219-S
the official residence of confucius descendants at qufu 曲阜	56-36026-B
the okinawa archipelago	37-14052-B
the old	28-33047-S,28-33047-S,30-57940-S,71-47457-S
the old and bring in new ideas	28-33047-S
the old and cherish the young	20-43733-S
the old and know the new 成语 saw	39-21725-S,39-21826-S
the old and make a clean sweep	47-16151-S
the old capital	12-5499-B
the old capital after a move	43-52281-B
the old charcoal seller	59-59038-B
the old conventions	1-65929-S
the old hongqiao airport	55-57185-S
the old man lost his mare	16-20852-B,16-20933-B
the old man moves mountains traditional folk tale	25-31263-B
the old one two	21-58180-B
the old rules	42-29133-S
the old style	4-45275-S
the old testament	29-2440-S,49-3916-S,49-3992-S
the old to promote the new 成语 saw	47-36313-S
the old track	29-60588-S
the old tricks	18-8968-B
the old with new	32-7995-S
the old world	33-15821-B
the olden days	53-28295-B,53-28359-B
the older generation	23-66996-S
the older generation respectful term	64-28409-B
the olympics	18-15050-B,18-16487-B,18-16698-B
the omens are not good	31-41957-B
the one and only way	1-66512-B
the one child policy	1-18314-B,42-20184-B,57-58220-B,57-58956-B
the one hand	1-22098-S
the only	2-1999-S,25-17135-B
the only one	1-69989-S
the only proper course to take	1-66512-B
the only way	24-41621-B
the onset of regular contractions	52-61362-S
the open	67-46749-S,67-46813-S,67-46904-S,68-52735-S
the open ocean far from the coast	62-61956-B
the open sea 成语 saw	38-10420-S
the opening panel of a door	65-22661-B
the opening panel of a window	47-55335-B
the opening sentence of marx and engels communist manifesto	1-2375-B
the opera	52-583-S
the opinion of the masses 成语 saw	9-46557-S
the opium wars of 1840 1842 and 1860 1861	70-53851-B
the opportune historic moment	25-61640-S
the opportune moment	2-3406-S
the opportunity	3-13005-S,4-62090-S
the opportunity esp to do sth bad	65-10505-S
the opportunity while you can	31-38833-S
the opposite direction	52-18559-S
the opposite of what one would expect or what would be normal	6-11306-S
the opposite sex	26-43949-S,43-61182-S,53-437-S
the opposite side in a conflict	20-54066-B
the oppressor	65-4845-S
the optic nerve on the retina	57-35860-S,57-35982-S
the order in which editions are printed	41-45143-B
the order of birth of the children in a family or to indicate affection or familiarity	51-24509-S
the ordinary	1-71221-S,2-643-S,8-38437-S,8-38513-S,18-1778-S,22-40066-S,60-19799-S,67-63194-S
the ordinary course of events	27-62952-S,27-63320-S
the ordinary japanese word for cooking	30-35379-B
the ordinary people	32-49052-S
the organization one is affiliated with	26-28197-S
the oriental rat flea xenopsylla cheopis	11-21828-B
the origin	48-21974-B,52-5046-B
the origin in polar coordinates	34-35027-S,34-36347-B
the origin of some phenomenon	40-10619-B
the origin of sth	39-23623-S
the origin of value by miura baien 三浦·梅園 三浦·梅园	6-53205-S
the original han dynasty dictionary shuowen jiezi 說文解字 说文解字	58-3667-S
the original meaning etymology	11-33252-B
the original owner	12-56131-S
the original shape	41-6785-S
the original state	63-9689-S
the originator of an evil practise refers to mencius 孟子	18-38317-S
the other	1-65506-S,3-45685-S,3-45685-S,5-24520-S,5-56958-S,11-50697-S,26-14605-S,28-28047-S,41-43222-S,48-1289-S,57-28166-S,66-33785-S
the other cheek	12-67653-S,24-43852-S
the other day	31-5898-B,63-16569-B
the other grass sighs 成语 saw	53-50755-S,53-50932-S
the other hand	1-22098-S,11-55332-S,12-6633-S
the other hand 	11-43799-S
the other leaves off	13-2280-S
the other mountain s stone can polish jade 成语 saw	4-25249-S
the other shore	23-60796-B
the other side	11-55677-B,20-57061-B
the other side of the fence	62-5116-S
the other way	46-2764-S,46-2943-S
the others	1-1899-S,8-3504-B,8-3812-B,8-4474-B,53-4008-S,54-26480-S
the others 成语 saw	8-47262-S
the ottoman empire	18-14540-B
the outcome	45-38243-S,62-47875-S
the outcome of a battle	10-4344-B
the outcome of a fight before taking sides	15-51688-S
the outer reaches of the solar system	22-67113-S
the outmoded	5-37556-S
the outmoded and preserve the outworn	27-13396-S
the outset	8-43093-B,60-16052-S,65-30430-S
the outside	5-61850-S,11-55406-S,16-50514-S,16-51835-S,24-11253-S,24-11253-S
the outside and the inside	56-46148-B
the outside world	16-49270-B,29-46898-S
the outworn	27-13396-S
the ovaries	56-19576-B
the oven	8-41411-S,30-44083-S
the ox already cut up into joints 成语 saw	45-17560-S
the ox or bull e g 2009	41-47637-S
the pacific	40-23442-S
the pacific ocean	17-58450-B
the pacific region	17-58514-B
the pacific rim	17-58514-B
the pacific west from china	57-19326-B
the page	45-35658-S,68-19365-S
the pain	13-29180-S
the pain of being hanged upside down 成语 saw	5-56663-S
the pain of love	24-35533-B
the palace	7-26715-S
the pale	8-43933-S
the pamir mountains	22-23429-B
the pamir plateau	55-12751-S
the pan pearl river delta economic zone including the 5 provinces around guangzhou and hong kong	37-36270-B
the pangolin family	70-45229-B
the papacy	30-2485-B
the paper authority	32-62606-S
the papers	57-29656-S
the parallel postulate	22-44523-S
the parent or guardian of a child	19-64609-B
the part	45-28700-S
the part of	26-54741-S
the part of a bow grasped when shooting	23-33410-B
the part of a house facing the street serving as a store	52-62237-B
the part of sb	6-8183-S
the part of the brain surrounding the lateral sulcus or sylvian fissure	16-43843-S,16-43994-S
the part of the devil	40-33077-S
the parthenon	22-22816-B
the parts are in place	8-5306-S
the party	38-66281-S,49-16613-S,71-44255-S,71-45685-S
the party and from administrative post	67-2267-S
the party esp chinese communist party	71-43965-S
the party in power	15-65211-B
the passage of the years	35-50918-B
the passes	65-29095-S
the passes and seal off the country	65-29378-S
the past	1-6407-S,3-31883-S,4-23224-S,4-37340-S,5-19119-S,7-6270-S,16-57076-S,19-67309-S,20-36571-S,22-2170-B,23-26300-S,23-62124-S,23-62502-S,24-12029-S,24-15954-S,26-84-S,36-5318-S,41-9208-S,42-49700-S,43-48920-S,50-23673-S,51-24509-S,59-57929-S,62-43905-S
the past and despise the present 成语 saw	59-42167-S,59-43860-S
the past and future	24-54266-S
the past as a model for the present	5-64678-S
the past few days	22-57566-S,61-48167-S,62-5361-B
the past few years	61-48099-S
the past is vanished like the wind	23-61825-B
the past many years	16-57160-S
the past several years	22-57691-S
the past thirty years	1-32122-S
the past to disparage the present 成语 saw	5-64777-S
the path exhausted	47-57702-S
the path of the daoist immortals	67-45094-B
the path to enlightenment	25-53101-S
the patient	37-24894-S
the patient into a doctor	3-9619-S
the patient s condition	61-38497-S
the patient s health	56-57428-S
the patriot missile	11-47388-S
the pattern of veins on a leaf	54-52534-B
the peace faction	3-4302-B
the peach garden	34-2797-S
the peach tree	33-640-S
the peaches of immortality	2-38163-S,2-38318-S,34-2697-S,34-3116-S,34-3498-S
the peaches of immortality kept by xi wangmu 西王母	56-17449-B
the peaches of immortality of goddess xi wangmu 西王母	4-29187-B,56-17537-S
the peak	7-40006-S
the peak of his power	68-45946-B
the peak of perfection	14-27136-S
the peak period	70-14064-B
the peaks of a mountain range	51-10739-B
the pearl river delta	36-55200-S
the peasant	11-26321-S
the peloponnese	65-68589-S
the pelvic cavity	45-1977-B
the pelvic girdle	70-3953-S,70-4115-S
the pen	38-35409-S,47-14119-S,62-40701-S
the pen after the sheep are lost 成语 saw	3-66287-S
the pen and sprinkle ink	28-49862-S
the pen to the sword	63-59624-S
the penninsula	10-57237-S
the pentagon	3-54781-B
the pentateuch	29-2440-B
the pentatonic scale	19-57353-S,59-8328-S
the peony tree	3-3094-S
the people	4-9311-S,4-11685-B,4-11813-S,4-12350-S,18-44904-S,19-43096-S,20-44160-S,36-17967-B,36-22463-B,36-23351-S,42-28888-S,44-7430-S,54-45908-S,59-1395-S,69-1726-S
the people and harm the country 成语 saw	44-11346-S,44-11457-S
the people and punish the tyrant	23-26935-S
the people are empoverished	36-22525-B
the people by force	35-8064-S
the people dead 成语 saw	19-63585-S
the people from hanging upside down 成语 saw	57-50806-S
the people holding power	43-65575-B
the people in beijing	10-25596-S
the people late 1890s	1-36440-S
the people live in peace	15-11308-S
the people of soldiers	47-15074-S
the people or public	26-2010-S
the people s bank of china	4-13453-B
the people s blood	36-22610-B
the people s daily 人民日报	4-12944-S
the people s heroes	4-13039-S
the people s republic of china	2-80013-B,49-8292-S
the people satisfied	15-38707-S
the people to revolt 成语 saw	19-43096-S
the people united	54-46539-B
the people usually in opposition	59-1311-S
the people 成语 saw	36-19315-S,36-22610-S,42-28888-S
the perilous peak proverb	40-63881-S
the period	21-22301-S
the period between successive equinoxes	14-56572-S
the periodic table	62-27509-B,71-5976-S,71-6359-S
the perpetrator is dead	35-57830-S
the persian gulf	38-21954-S,38-22039-S
the person covered by an insurance policy	11-59744-B
the person facing you	9-18007-B
the person himself	32-60530-B
the person in charge	3-6965-B
the person in the street	31-51503-B,51-29652-B
the person involved	43-65575-B
the person mentioned above	8-3504-S
the person of one s thoughts	25-28392-B
the person spoken to	13-29687-S
the person who benefits	11-63102-B
the person you have been looking for	63-16291-S
the personal names of emperors or one s elders	63-7483-S
the petroleum exporting countries	35-27175-S
the philipians	30-32351-S,52-38459-S
the philippines	19-66591-S,34-19365-S,54-37202-B,54-37324-S
the philosophical schools of pre han china	19-60606-S
the philosophy of materialism	13-55033-B
the phone	6-34597-S,6-34678-S,28-24729-S
the phonetic value of a chinese character using two other characters	11-44977-S
the phonetic value of a word using other words	8-63466-S
the physical world	60-21814-S
the pick of sth	48-52303-B
the pie	33-42747-S,33-42986-S
the pilgrimage to mecca	13-37531-S
the pipa player	42-59991-S
the pipeline	44-28317-S
the pit of one s stomach	24-37105-B
the pivots	34-26612-B
the pla	27-58100-S
the place	6-47257-S,14-52646-S,31-31406-S,52-56650-S,62-42399-S
the place for monastic vows e g altar	26-13562-B
the place for that	8-4051-B
the place of	32-16879-S
the place 成语 saw	14-51661-S
the placenta	11-25908-S,52-20128-B
the plains 成语 saw	39-52589-S
the plan 	27-62870-S
the plane of the solar system	71-23578-S
the planet	17-24300-S
the plant	54-12427-S
the plateau of tibet	33-51273-S
the play of passions	51-35558-B
the pleasure of reading sth for the first time	7-5151-B
the pleiades	31-38321-B
the pleural cavity	56-28744-S
the plow	10-31849-B,65-32586-S
the plum tree withers in place of the peach tree	33-640-S
the point	2-27181-S,11-6746-S,43-59492-S,48-21628-S,49-49995-S,49-50513-S,54-55949-S,64-35534-S,65-43447-S,71-41034-S,71-43146-S
the point at issue	32-67437-B
the point of death	2-27717-S
the point of demise	40-14540-S
the point of departure	52-62115-S,61-49559-S
the poisonous feathers of the legendary bird zhen 鴆 鸩	70-53553-B
the police	6-34861-S,16-12225-S,53-26867-S
the police and the people	59-1395-S
the police and the people usually in opposition	59-1311-B
the pooh bear character in children s stories by a a milne adapted by disney	20-67244-S
the poor	9-62548-S,26-56398-S,36-40-S,47-56973-B,64-36020-S,66-22240-S
the poor 成语 saw	26-43079-S
the pope	30-2228-B
the port of guangzhou	39-13264-B
the position of sth	11-37772-B
the position of the capital	18-11781-S
the possibility of mutual coexistence	7-71622-B
the possible bismarck on politics	12-13833-S
the pot that doesn t boil 俗语 common saying	13-45271-S
the potato and eggplant family	54-7021-S
the power of a god or spirit	46-56051-B
the power of a number square	3-12648-B
the power to inspire	25-39946-B
the powerful and rich 成语 saw	29-32260-S
the powerful from a position of weakness	4-37233-S
the powerful to obtain favor	61-48430-S
the pox	70-4811-B
the praises of	35-26694-S
the prawn or shrimp family	20-55685-S
the prayers in a muslim mosque	4-52557-S
the prc	36-20781-S
the prc communist party central committee	2-54596-S
the prc space agency	15-6805-S
the prc state council	12-69683-S
the pre han period	12-55609-S,48-41567-S,48-41671-S,48-41752-S
the preceding section	9-21501-B
the precession of the equinoxes	35-50574-B,55-54847-S
the precipice 成语 saw	26-2206-S
the prehistoric shang dynasty c 16th 11th century bc	13-58017-B
the prescribed limit	2-13180-S
the prescribed limits	2-32369-S
the prescribed order	27-62527-S
the present	4-22394-S,4-22969-S,5-64678-S,15-36089-S,42-49406-S,42-49958-S,45-20642-S,45-23575-S,60-37108-S
the present age	43-64796-B,43-65728-B
the present situation	31-39098-B
the present stage	42-51191-S
the present the counts	47-9333-S
the present time	45-16495-S,51-35149-S,62-65990-B
the present to study the past	20-36571-S
the present with the past	4-23224-S
the present 成语 saw	5-64777-S,59-42167-S,59-43860-S
the press	4-27502-S,8-41647-S,16-8971-B,16-11156-B,30-54591-B,30-55062-S
the pretense of acting on imperial order	46-3500-B
the prettiest girl of the school	33-53599-B
the previous dynasty	9-21272-B
the previous night	20-405-S
the previous shift	28-46705-S
the price	28-37107-S,57-32973-S,58-35506-S
the price of commodities	9-58566-S
the primary need	36-19315-S
the prime meridian	32-61599-B
the prime of one s life	31-35134-B,45-4906-B,67-54216-B
the princes of the spring and autumn period 770 476 bc	67-48896-S
the pro war faction	3-5549-B
the problem at one fell swoop	1-17915-S
the problem at one glance	45-17560-S
the problem is 	14-63676-B
the process is more beautiful than the outcome	62-47875-B
the process of becoming civilized	65-30761-B
the process of childbirth	43-32725-B
the process of doing something or happening	35-34678-S
the process of producing coke from coal	41-781-B
the prodigal son	29-65932-S
the product	15-45343-S
the profits	1-11524-S,27-19744-S
the promise name of film by chen kaige	40-55215-B
the propagation of misconceptions	58-58538-B
the property market e g houses	26-27076-B
the prophet mohammed 穆罕默德 in 632	13-40703-S
the prophets	17-6312-S
the pros and cons	61-6276-S,61-6520-S
the prosecuting side in a trial	35-13160-B
the prosecution	35-13016-B,35-13160-B
the prosecution in a court case	35-12856-B
the prospects are very good	17-21195-B
the proverb says	5-33566-S
the province around it	38-16900-S
the province of jogyakarta	2-75925-B
the provisional revolutionary government under sun yat sen and the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
the pu er region of yunnan	31-50121-S
the public	6-48856-S,7-59013-B,7-62497-S,7-64532-S,19-30355-S,41-19402-S,65-36192-S,69-60570-S,69-60672-S,69-62601-S
the public good 成语 saw	38-36525-S
the public interest wholeheartedly	9-17453-S,18-2800-S
the public purse	7-59013-B
the public with prevarication and deliberate falsehoods	38-54625-S
the pulse	27-63162-S
the punishment fits the crime	50-51879-B
the pupil surpasses the master	23-66996-B
the purest cream 成语 saw	63-47720-S
the purpose of	5-63856-S,40-31828-S
the purpose of being looked after in old age	69-10433-S
the purpose of deceit	14-15797-S
the purpose of examination	25-61307-S
the pycnonotidae or bulbul family of birds	70-57214-B
the qiang 羌 ethnic minority	71-45384-S,71-45467-S
the qianlong and jiaqing era 1735 1820	3-24073-S
the qilian or richthofen range dividing qinghai and gansu provinces	46-51121-B
the qin 221 207 bc and han 206 bc 220 ad dynasties	47-24544-B
the qin army model for the terracotta warriors	47-25168-B
the qin burning of the books in 212 bc	47-24632-B
the qin dynasty	47-25003-S
the qin dynasty 207 bc	47-24478-S
the qin dynasty 221 207 bc	47-23463-B
the qing	26-56098-S
the qing army	38-64896-B
the qing beiyang army 北洋軍閥 北洋军阀 after the xinhai revolution of 1911	10-32958-S
the qing court as government of china	38-60524-B
the qing dynasty	35-47133-S,38-58713-S,38-59598-S,38-59677-S,39-39484-S,41-20302-S,60-65746-S,61-32631-S
the qing dynasty based on the silver tael 兩 两	64-25499-S
the qing dynasty equivalent of the foreign office	50-34041-B
the qing dynasty in 1644	64-8410-S
the qing dynasty in 1898	26-5663-S,26-5808-S,26-5949-S,44-54549-S
the qing dynasty name for the coastal provinces of liaoning	10-32864-B
the qing emperors	25-35539-S
the qing government	38-60927-B
the qing of 1670s	1-40950-S
the qing order to all men to shave their heads but keep a queue	9-16235-B
the qinghai tibet route	67-58405-B
the qingming festival	1-48103-B,20-9857-B,28-10642-B
the qingming festival 清明節 清明节	20-9857-S
the qinhai tibet plateau	13-50466-S,13-50555-S,13-50657-S,13-50775-S
the qinling plank road to shu	47-24321-B
the question	2-27617-S,58-40710-S
the queue	9-16342-S
the quinine tree	64-17270-B,64-17349-B
the quota	39-41954-S
the quotient of differences slope of a line in coordinate geometry	21-64312-B
the rabbit dies	7-22798-S
the rabbit e g 2011	7-22681-S
the radial artery where pulse is taken in traditional chinese medicine	20-31477-S,36-27004-S,52-29356-S
the rafters 成语 saw	36-56606-S
the rage	47-59051-S,68-59064-S
the rage for a time	45-5370-S
the railing 成语 saw	32-69711-S
the rails	8-46045-S,52-34338-S,60-27669-S
the rain	8-12130-S,8-25101-S
the rain falls on the just and unjust alike	55-46040-B
the rain 成语 saw	13-19755-S
the rainbow	36-30814-S
the ram e g 2003	50-64123-S
the ramayana indian epic	50-58338-B
the ranks	8-35944-S,38-63670-S,38-65663-S
the ranks as a party cadre	28-38907-S
the ranks of cao cao s armies	65-12079-S
the rape of nanjing documentary book by iris chang 張純如 张纯如	10-66418-B
the rare chance of seeing sth beautiful	45-50905-B
the rat e g 2008	71-49534-S
the rate during the same month last year	12-48451-S
the raw rice is now cooked 成语 saw	43-28366-S,43-28618-S
the real body of buddha or a god	45-45036-B
the real essence of the matter	45-45692-B
the real meaning	45-44868-B
the real nature based on the name 成语 saw	24-23191-S
the real situation	55-51276-S
the real thing	45-40517-B
the reality 成语 saw	12-53164-S
the really brave person remains level headed	17-7886-B
the really dangerous enemy from his external appearance	13-28660-S
the rear	4-26405-S,23-68391-B,24-3030-S,26-64201-S,52-17668-S
the rear side	24-2949-B
the rear tail of a plane etc	35-3258-B
the reason is 	11-31262-B
the reason is very simple	11-31168-B
the reason 成语 saw	56-40631-S
the rebel party	3-27794-B
the recent ice ages over the last 180	48-13034-S
the recipient of a prize	24-6484-B
the record	35-14466-S
the record bureau	8-7926-S
the records	6-28944-S,61-6989-S
the red	55-56550-S
the red lantern	49-11163-S
the red turbans	49-9631-B
the reformatory	21-57260-B
the reformist faction	50-3633-B
the reformist party	29-46712-B
the region around the river	37-26900-B
the region near the line	37-27396-B
the regions west of great tang	17-10020-S,57-14686-S
the regular 3 dimensional pattern formed by atoms in a crystal	31-56002-S
the regulations	41-9028-S,45-17900-S
the reign of kangxi	1-40816-S
the reins	52-34694-S
the reins 成语 saw	52-34788-S
the relations between parts in a speech	48-19757-S
the remainder after rounding to the nearest integer	69-16516-S
the remainder theorem	9-30065-B,69-15967-B
the remaining people	69-17128-B
the renaissance	24-15670-B,30-30864-B
the reporter working specially for our newspaper	32-62606-B
the republic	11-53542-S
the republic 1915	59-4342-S,59-4465-S,59-4893-S
the republic 1915 or national protection war	59-4686-S
the republic of egypt	49-15882-S
the republic sun yat sen	15-11636-S
the rest	8-4474-B,54-24159-S
the restaurant bill	59-45028-S
the result becomes apparent	8-54277-B,22-2543-B
the result of having lost a bet	50-53621-S
the result of multiplication	47-38278-S
the result of subtraction	22-271-S
the resurrected army cctv documentary series about the terracotta army	24-14821-B
the retina	57-35860-S,57-35982-S
the return of a prodigal son	38-11568-B
the return of stolen goods	61-60272-S
the return of the condor heroes classic wuxia martial arts tv films of 1998 and 2006 based on novel by jinyong 金庸	46-62196-B,46-63035-B
the revelation of st john the divine	13-65431-B
the reverse side	52-18854-B
the revolutionary movements in late 19th and early 20th century leading up to 1911 xinhai revolution 辛亥革命	11-51102-S
the revolutionary party	68-4907-B
the rhizome of large headed atractylodes atractylodes macrocephaia	44-40218-B
the rhyming part of a chinese syllable	68-17732-B
the rhyming part of a syllable	68-17332-B
the ribbon at a launching or opening ceremony	9-30778-S
the ribcage of humans and most mammals	52-24971-S
the rice	13-6454-S
the rice plant	47-35515-B
the rich and give to the poor	64-36020-S,66-22240-S
