hé jiān	37-21571-B
hóng sè	22-28767-S,32-69313-S,35-1856-S,38-51043-S,42-13423-S,48-47550-S,49-12482-B,53-46227-S
hóng sè gāo mián	49-12632-B
hóng sè yǎng huà gǒng	49-12541-B
hóng sù	43-57551-S,52-51058-S,54-7097-S,56-27977-S
hóng sēn	37-61122-B
hóng táng	49-12099-B
hóng tòng	37-61438-B
hóng tòng xiàn	37-61499-B
hóng tú	19-38608-B,70-55507-B
hóng tú dà jì	70-55605-B
hóng wài	49-9063-B
hóng wài xiàn	49-9112-B
hóng wèi bīng	49-13242-B
hóng wén	42-35975-S
hóng wěi	19-38547-B
hóng wǔ	37-61183-B
hóng wǔ xīng qí	49-8292-B
hóng xiù quán	37-62065-B
hóng xuè qiú	49-13068-B
hóng xuè qiú shēng chéng sù	49-13140-B
hóng xì bāo	49-12160-B
hóng xī guǎn	55-57133-B
hóng xīn yuè huì	49-9857-B
hóng xīng	49-9996-B
hóng yuán	49-8751-B
hóng yàn	70-55979-B
hóng yè	49-12830-B
hóng yí	49-11838-B
hóng yùn	49-10110-B,49-13730-B
hóng yī zhǔ jiào	49-13331-B
hóng yǎ	37-62219-B
hóng yǎ zú	37-62282-B
hóng zhuāng	49-9171-B
hóng zhá	37-60375-S
hóng zhì	33-4086-S
hóng zhāng	33-6182-S,70-55837-B
hóng zhōu	24-25427-S
hóng zhǒng	49-12321-B
hóng zuǐ ōu	49-8818-B
hóng zào bái	1-71812-S
hóng zé	37-61765-B
hóng zé hú	37-61828-B
hóng zāi	37-61903-B
hóng zǎo	49-10228-B
hóng ān	49-9368-B
hóng ěr chì	68-2743-S
hóng ǎi xīng	49-11729-B
hóu	5-26354-B,6-51621-S,13-30946-S,14-4764-B,19-40040-S,24-67513-S,28-1416-S,36-1329-S,36-1517-S,36-1880-S,41-12327-S,42-6590-S,42-13736-B,42-15517-S,42-26595-S,42-32949-S,43-43626-S,44-17038-B,44-37272-S,45-57290-B,48-24878-S,48-32561-B,49-40561-S,50-50938-S,50-56206-S,50-61116-S,51-40013-S,58-47484-S,64-13694-S,64-50741-B,69-18547-B,70-3051-S,70-45416-B
hóu cí	35-43849-S
hóu cā yīn	14-5021-B
hóu dòu bìng dú	42-13939-B
hóu dú sù	44-37421-S
hóu guó	58-47546-S
hóu gōng qīng	42-32995-S
hóu gǎn jūn	44-37316-S
hóu hóu zú	51-10927-S
hóu jié	14-5174-B
hóu jué	5-26555-B
hóu jìng	14-5332-B
hóu jí	14-4972-B
hóu jǐng zhī luàn	5-26431-B
hóu kàn	36-1705-S
hóu luó jiā	29-1939-S
hóu líng	70-56658-S
hóu lóng	14-4868-B
hóu lún	14-5277-B
hóu míng	14-5426-B
hóu mǎ	5-26682-B
hóu nián	42-13803-B
hóu qiè gōu zhě zhū	47-59704-S
hóu quán	42-13868-B
hóu shé	14-5220-B
hóu shā	14-5127-B
hóu sè yīn	14-4916-B
hóu táo	23-51549-S,42-26635-S
hóu tóu	14-5379-B
hóu xiàn	65-48731-S
hóu yán	14-5083-B
hóu yān	14-4800-B
hóu zi	42-13765-B
hóu zú	51-10927-S
hù	3-44455-B,3-46117-S,3-66702-S,4-3501-S,5-223-S,5-1288-S,5-39721-S,5-54021-S,6-26358-S,8-20331-B,9-56400-S,9-59581-S,10-16527-S,10-22696-S,10-48731-S,12-27103-S,12-58008-S,13-16164-S,13-59480-S,15-4429-S,15-18683-S,16-60484-S,17-474-S,17-18470-S,19-7731-S,19-27043-S,19-41293-S,19-51917-S,20-7417-S,20-39851-S,21-24007-S,21-38220-B,22-27671-S,22-58833-S,24-54113-B,25-37907-S,26-24381-B,26-25641-B,26-25829-B,26-31273-B,27-68047-S,28-33799-S,29-17852-S,29-51598-S,29-56304-S,29-64977-S,30-8153-S,32-68756-S,34-30978-B,36-59307-S,37-8226-B,38-60738-S,39-31293-B,41-9484-S,41-61960-S,42-21025-S,43-5068-S,43-10019-B,43-35006-S,44-24966-S,45-10231-S,45-25694-S,46-54643-B,46-57824-S,48-4143-B,48-59670-B,49-685-S,49-36668-S,49-61138-S,50-4727-S,53-55851-S,54-43528-S,54-45297-S,54-45360-S,55-7725-S,55-8601-S,55-8670-S,56-38809-S,56-50328-S,57-57086-S,59-4313-B,59-61555-S,60-33875-S,61-19581-S,61-38747-S,61-40673-S,63-32517-B,63-50705-S,63-62897-S,64-37341-S,65-22328-S,65-35240-S,65-63367-S,66-24317-S,66-60531-S,66-60599-S,68-19269-B,71-13978-S
hù bèi jī	59-5539-B
hù bì	42-24648-S
hù bìng fáng	9-59642-S
hù bù	26-25381-B
hù bù qīn fàn	3-44483-B
hù bù shàng shū	26-25447-B
hù bǔ	3-46333-B
hù bǔ pèi duì	71-5050-S
hù chéng hé	59-4807-B
hù chì	3-45148-B
hù chē	29-65037-S
hù cāo xìng	3-45024-B
hù duì	65-23355-S
hù duān	19-52508-S
hù duān shè bèi	43-35550-S
hù duǎn	59-5244-B
hù dào wǎng luò de jiē kǒu	43-35160-S
hù dào wǎng luò jiē kǒu	43-35044-S
hù dìng yì	43-35347-S
hù dòng	3-44820-B
hù dòng diàn shì	3-44865-B
hù dòng wù	1-22899-S
hù fà sù	59-5720-B
hù fú wù qì jié gòu	19-52137-S
hù fú wù zhōng xīn	19-52038-S
hù fū	59-5328-B
hù fǎ shén	59-5015-B
hù fǎ zhàn zhēng	59-4893-B
hù fǎng	3-46389-B
hù guó	5-40042-S
hù guó jūn	59-4575-B
hù guó yùn dòng	59-4686-B
hù guó zhàn	59-4465-B
hù guó zhàn zhēng	59-4342-B
hù guān xì	45-25915-S
hù gào rén xiǎo	26-24834-B
hù gāo tiě	4-3555-S
hù huàn	3-44979-B
hù huàn gé shì	15-25788-S
hù huì	3-44936-B
hù háng	59-5368-B
hù hòu	54-45426-S
hù jiè miàn	15-25896-S,15-26361-S,43-35479-S
hù jiān róng	45-25837-S
hù jì	5-39919-S
hù jí	26-25261-B
hù jù	39-31323-B
hù jī	19-52247-S
hù jī fú wù qì huán jìng	19-52306-S
hù jī ruǎn jiàn	19-52427-S
hù jūn	26-24985-B
hù kāi fàng	65-22502-S
hù kǒu	16-10555-S,26-24480-B
hù kǒu bù	26-24773-B
hù kǒu zhì	26-24601-B
hù kǒu zhì dù	26-24682-B
hù lián	3-46011-B,3-46650-B,65-36655-S
hù lián wǎng	3-46059-B
hù lián wǎng luò	3-46269-B,15-14425-S
hù lián wǎng yòng hù	3-46117-B
hù lián wǎng zhàn	3-46198-B
hù lián zǒng zé	29-55093-S
hù lì	3-44596-B
hù lǐ	41-57038-S,41-59955-S,59-5134-B,63-50409-S
hù lǐ xué	59-5194-B
hù míng	43-35285-S
hù mó shì	5-40098-S
hù nong	48-60019-B
hù níng	39-31369-B
hù níng tiě lù	39-31490-B
hù níng xiàn	39-31423-B
hù qū	4-52099-S,5-39978-S,27-26789-S,41-62057-S,44-40909-S,52-55663-S,52-55814-S,53-8901-S,63-62968-S
hù rén	5-39854-S,45-10285-S,61-38843-S
hù rén yuán	63-50781-S
hù shi	59-4856-B
hù shuǐ	26-25878-B
hù shén	19-22413-S
hù shì	54-11909-S,61-38914-S
hù shù jù	43-35415-S
hù shēn fú	27-11379-B
hù shēng	3-45327-B
hù shēng yè	3-45397-B
hù shū bù dù	26-25075-B
hù sè	5-40219-S
hù sòng	59-5610-B
hù sòng zhě	59-5666-B
hù sù	3-45972-B
hù tóu	26-25596-B
hù tōng	3-46489-B
hù tōng xìng	3-46558-B
hù wài	15-35062-S,26-25035-B
hù wèi	59-5426-B
hù wèi duì	38-18138-S
hù wèi jiàn	59-5486-B
hù wèng yǒu	55-7805-S
hù wéi yīn guǒ	3-45199-B
hù wén	3-45085-B
hù wǎng zhàn	65-22435-S
hù xiàn	26-25327-B,26-25553-B,29-35161-S,43-35648-S,67-64384-S
hù xiàn zhǒng dà	29-35237-S
hù xiāng	3-45554-B
hù xiāng gōu tōng	3-45895-B
hù xiāng tuī wěi	3-45685-B
hù xiāng yī cún	3-45615-B
hù xiǎo	19-61234-S
hù xìn	3-44551-B
hù yì	3-45477-B,3-46438-B,39-50876-S
hù yìng yòng	19-51964-S
hù yǒu	26-25204-B
hù zhuāng bèi	5-52905-S
hù zhào	59-5092-B
hù zhì	10-16630-S
hù zhù	3-44647-B
hù zhù tǔ zú zì zhì xiàn	3-44695-B
hù zhě	5-40166-S,29-17907-S
hù zhǔ	26-24426-B
hù zhǔ yì	5-39787-S,59-48885-S
hù zuò	42-24477-S
hù zuò dà xīng yún	42-24542-S
hù zuò yòng	33-61017-S,45-25746-S
hù zú zì zhì xiàn	40-17048-S
hù zōng zhǐ	39-31573-B
hù zǒng jú	2-55782-S
hù ér lì	6-26618-S
hùn	15-1074-B,23-6895-S,25-44505-B,28-57305-S,29-8087-S,38-52859-B,39-25044-B,58-45486-B,65-46135-S,67-12934-S,70-31726-S
hùn 5r	38-54867-S
hùn biān	38-55096-B
hùn dùn	38-54362-B
hùn dùn xué	38-54486-B
hùn fàn	38-55811-B
hùn fǎng	38-55034-B
hùn gǒng	38-54294-B
hùn hào	38-55182-B
hùn hé	38-53370-B
hùn hé dú jì	38-53635-B
hùn hé gǎn rǎn	38-53498-B
hùn hé mó xíng	38-53568-B
hùn hé shī yǔ zhèng	38-53418-B
hùn hé tǐ	38-53773-B
hùn hé wù	38-53723-B
hùn hùn 5r	38-54867-B
hùn jiāo	38-53145-B
hùn jiāo lín	38-53202-B
hùn jì	38-55532-B
hùn jìn	38-55662-B
hùn luàn	38-53095-B
hùn máng	38-55136-B
hùn míng	38-53822-B
hùn míng 5r	38-53865-B
hùn mēng	38-54978-B
hùn níng tǔ	38-53317-B,64-40813-S
hùn rù	38-53260-B
hùn shì mó wáng	38-52991-B
hùn xiáo	38-54551-B
hùn xiáo hēi bái	38-54784-B
hùn xiáo shì tīng	38-54625-B
hùn xuè	38-55321-B
hùn xuè ér	38-55361-B
hùn yǎng rán liào	38-54033-B
hùn zhuó	38-54925-B
hùn zhàn	38-53932-B
hùn zá	38-55709-B,70-39346-S
hùn zá wù	38-55745-B
hú	2-46388-S,3-11210-S,3-41081-S,3-48606-S,3-53307-S,4-2815-S,4-3791-S,4-35337-S,4-48169-S,5-28781-S,8-17319-S,8-22027-S,10-32418-S,10-49000-S,11-7785-S,11-8437-S,11-46878-S,12-51951-S,12-68325-S,13-16919-S,13-21584-B,13-45271-S,14-2546-S,14-63073-B,15-23341-S,15-52913-S,16-8318-S,16-37900-B,17-55356-S,17-59748-S,21-37423-S,21-52252-S,22-43283-S,23-21814-S,23-35428-B,27-47068-S,28-38331-S,28-56373-S,28-61403-B,30-35771-B,31-19411-S,31-59909-S,32-28194-S,33-21086-S,33-31059-S,34-34573-S,34-46773-B,36-40349-S,36-59731-S,37-16460-S,37-57649-S,37-61645-S,37-61828-S,38-43583-S,39-10227-B,39-32477-S,39-34010-S,40-2368-S,40-12975-S,40-22068-S,40-23388-S,40-34792-S,41-13875-S,42-6032-B,42-13037-B,42-28042-S,42-42693-S,42-61135-B,44-42170-S,46-50664-S,47-29795-S,48-59626-B,49-29-S,49-11509-S,50-2666-S,50-26179-B,50-59896-S,51-10865-S,51-14662-S,52-20359-B,53-46647-S,53-47747-S,54-10965-S,54-59792-B,55-1652-S,55-7529-S,55-16179-S,55-38837-S,56-8637-B,56-36892-B,57-2833-S,57-19784-S,57-54042-B,59-15856-S,59-28954-S,59-30449-S,60-1263-S,60-12289-S,60-35923-S,63-35529-S,63-47572-S,63-47908-B,64-12246-S,64-27836-S,65-32678-S,65-52966-S,66-67182-S,67-23010-S,67-29875-S,67-54572-S,67-56392-S,69-15707-S,69-18449-B,70-27679-B,70-56531-S,70-58065-B,70-58194-B,70-59135-B,71-3889-S,71-13912-S,71-51633-S,71-60417-S
hú biān	39-11707-B
hú biān luàn zào	52-22385-B
hú bù kāi tí nǎ hú	13-45271-S
hú bù wǔ	42-6325-B
hú bēi	7-22798-S
hú běi	39-10462-B
hú běi huā qiū	39-10619-B
hú běi shěng	39-10534-B
hú bīn	39-11549-B
hú chuī	52-20963-B
hú chái	39-36045-S
hú chán	52-22482-B
hú cháng	23-35784-B
hú cháng cān shù	23-35861-B
hú chéng	71-7265-S
hú chě	52-21533-B
hú chě bā liū	52-21593-B
hú chě dàn	52-21663-B
hú chī hǎi hē	52-20869-B
hú dié	56-8668-B,70-54425-S
hú dié pài	70-54593-S
hú dié quǎn	56-8817-B
hú dié qín	56-8904-B
hú dié sū	56-8977-B
hú dié xiào yìng	56-8710-B
hú dé fēn	4-35429-S
hú dì qū	21-52335-S
hú dù	23-35552-B
hú dāo	9-9156-S
hú dǐ	4-47461-S
hú fú	42-6787-B
hú fū	52-21060-B
hú guàn dǐng	63-47720-S
hú guān	16-37955-B
hú guāng	23-35453-B
hú guāng dēng	23-35497-B
hú guāng shān sè	39-10253-B
hú guǎng	39-11322-B
hú guǐ shén xiān	42-6853-B
hú hu	48-60254-B
hú hu tū tū	48-60322-B
hú hóu	42-6590-B
hú jiā	52-20546-B
hú jiāo	41-47115-S,42-42732-S,44-44269-S,52-21775-B,71-32582-S
hú jiāo bò he	52-21815-B
hú jiāo xiāng cháng	40-42316-S
hú jiǎ hǔ wēi	42-6057-B
hú jì	48-59703-B
hú jì shì	26-2010-S
hú jīng	48-60213-B
hú jǐn tāo	52-23038-B
hú kè	52-20727-B
hú kè dìng lǜ	52-20804-B
hú kǒu	39-10948-B,48-59745-B,69-10881-S
hú kǒu xiàn	39-11012-B
hú kǒu xiāng	39-11088-B
hú li	42-6380-B
hú li jīng	42-6513-B
hú li zuò	42-6446-B
hú lu	26-33251-S,26-33323-S,26-34064-S,36-26365-S,54-59847-B,60-18805-S,67-26241-S
hú lu huà piáo	41-9267-S
hú luàn	52-20392-B
hú luó bo	52-22755-B
hú luó bo sù	52-22803-B
hú lái	52-20593-B
hú lú	28-38392-S,28-41899-S,57-21841-S
hú lú bā	52-22704-B,54-60219-B
hú lú dǎo	54-59944-B
hú lú dǎo shì	54-60076-B
hú lú fú qǐ piáo	27-61868-S
hú lǐ	27-47112-S
hú lǐ hú tū	48-60384-B,48-60494-B
hú má zǐ	52-23165-B
hú nào	52-23099-B
hú nán	39-10725-B
hú nán dà xué	39-10795-B
hú nán shěng	39-10865-B
hú nèi xiāng	39-10387-B
hú piàn zi	36-60008-S
hú pàn	39-11592-B
hú pái	13-23934-B
hú péng gǒu yǒu	42-6218-B
hú pō	39-11513-B
hú qin	52-22229-B
hú qí cí	12-68373-S
hú qín er	52-22305-B
hú qún dǎo	40-443-S
hú qún gǒu dǎng	42-6680-B
hú qū	7-29689-S,32-28277-S,33-21162-S,50-59970-S,57-19875-S,59-15935-S,67-54664-S,71-60492-S
hú shuō	52-22863-B
hú shuō bā dào	52-22917-B
hú shì	21-52428-S,52-22987-B,55-16246-S
hú shí liù guó	3-53358-S
hú suī	52-22662-B
hú sì hǎi	3-51501-S
hú sī luàn xiǎng	52-21340-B
hú sūn sàn	34-60376-S
hú tiān	52-21012-B
hú tu	1-5398-S,48-59913-B,48-59966-B,52-21978-B
hú tu chóng	48-60070-B,52-22051-B
hú tu zhàng	48-60131-B
hú táo	52-21736-B
hú táo mù	21-32132-S
hú tòng	35-59196-S,35-59279-S,56-36918-B
hú tū	48-60384-S,48-60494-S
hú wēn xīn zhèng	52-22135-B
hú wǎng	28-56410-S
hú xiàn	23-35628-B
hú xiàn cháng	23-35701-B
hú xiāng	11-68604-S,14-51768-S,17-25964-S,57-19989-S
hú xíng	23-35590-B
hú xī xiāng	39-11633-B
hú xīng yún	46-42454-S
hú xū	70-27785-B
hú yuán	52-22619-B
hú yuè	52-21878-B
hú yào bāng	52-22552-B
hú yán	39-36140-S
hú yì rén	36-59828-S
hú yí	42-6628-B
hú yī shēng	36-59905-S
hú zhèn	39-19288-S,64-12307-S
hú zhì míng	52-21186-B
hú zhì míng shì	52-21261-B
hú zhì qiáng	52-21106-B
hú zhōu	39-11163-B
hú zhōu shì	39-11237-B
hú zhǎo	39-11408-B
hú zhǎo xué	39-11459-B
hú zi	9-9205-S,70-27715-B
hú zi yī bǎ zhuā	45-35937-S,68-40655-S
hú zuò fēi wéi	52-20447-B
hú zuǐ	48-59829-B
hún	1-44800-S,5-65501-S,8-15304-S,12-61343-S,34-29653-B,38-34353-S,38-52788-B,39-7604-B,42-2754-S,42-60311-B,46-62696-S,48-59349-S,61-55774-S,63-10833-S,64-34453-S,66-53331-S,67-53590-S,69-17711-B,69-18411-B,69-64046-S,70-32546-S,70-33206-B,71-32313-S,71-45868-S
hún bù fù tǐ	70-33233-B
hún chūn	42-60345-B
hún chūn shì	42-60495-B
hún diān dǎo	46-62766-S
hún dàn	38-55224-B,39-8428-B
hún hàn rú yǔ	39-8106-B
hún hé	39-8178-B
hún luò pò	14-13916-S,17-68497-S
hún máng	39-8323-B
hún mí sa	19-34657-S
hún pò	70-33557-B
hún qiān mèng rào	70-33462-B
hún qiān mèng yíng	70-33373-B
hún qī pò	1-44864-S
hún rán	39-8284-B
hún shuǐ mō yú	38-54113-B,39-7964-B
hún shēn	39-8552-B
hún shēn shàng xià	39-8613-B
hún shī pò	14-13846-S
hún tiáo yuē	43-3975-S
hún tiān shuō	39-7871-B
hún tiān yí	39-7789-B,39-44366-S,61-25513-S
hún tún	69-17749-B
hún tāng	61-55853-S
hún xiàng jiāo	63-10920-S
hún xíng	4-16815-S,38-55416-B
hún yuán	39-7717-B,39-8220-B
hún yí zhù	39-7632-B
hún zhèn	61-55961-S
hún zhǐ	63-10995-S
hún zi	66-6011-S
hā	13-36400-B,13-37611-S,14-33410-S,15-49759-S,16-54987-S,18-17096-S,59-46948-S,62-3694-S,64-25204-B,69-35592-S
hā bèi ěr	13-40472-B
hā bó	13-36494-B,13-37401-B
hā bó luó nèi	13-37447-B
hā bó mǎ sī	13-36661-B
hā bó tài kōng wàng yuǎn jìng	13-36548-B
hā bù	61-34109-S
hā bù sī bǎo	13-38428-B
hā bā dé	65-66066-S
hā bā gǔ shū	13-38274-B
hā bā hé	13-38202-B
hā bā xuě shān	13-38343-B
hā bǐ jiào pài	43-10512-S
hā chì	9-62171-S
hā dà xiào	13-37665-S
hā dí	69-35135-S
hā dùn	32-14289-S
hā fèi ěr	9-67233-S
hā fó	13-36735-B
hā fó dà xué	13-36787-B
hā gāi shū	13-40414-B
hā gēn	13-43355-S
hā gēn dá sī	13-38922-B
hā huí hé	16-55024-S
hā hā	13-37611-B,62-3694-S
hā hā dà xiào	13-37665-B
hā kè bèi lì · fēn lì xiǎn jì	13-36858-B
hā luò fū	55-23451-S
hā lái mǔ	13-39772-B
hā léi huì xīng	13-40859-B
hā lì	13-37037-B
hā lì bó dùn	13-37147-B
hā lì dí yà	13-37326-B
hā lì fǎ kè sī	13-37237-B
hā lì · bō tè	13-37074-B
hā lín	22-14372-S
hā lā	22-14293-S,29-6438-S,43-9693-S,57-17598-S
hā lā léi	13-38626-B
hā lā shā mò	29-6664-S
hā lā shī tè lā bāng	69-35022-S
hā lā yǐ nán	29-6486-S
hā lā yǐ nán fēi zhōu	29-6560-S
hā lā ěr wǔ shì	13-38545-B
hā lǐ fā	13-40622-B
hā lǐ fā dì guó	13-40703-B
hā lǐ sēn shǐ mì tè	13-40301-B
hā lǐ sī bǎo	13-40238-B
hā mài dí nèi jiǎ dé	53-46873-S
hā mì	13-37814-B
hā mì dì qū	13-37884-B
hā mì guā	13-38062-B,13-40128-B
hā mì shì	13-37981-B
hā mò ěr	9-5889-S
hā mó là	13-38697-B,49-26404-S
hā mǎ	22-4306-S
hā mǎ sī	13-40931-B
hā mǎ ěr	13-41006-B
hā mǐ jí duō dùn	13-39600-B
hā mǐ ěr kǎ	13-39696-B
hā ní zú	13-38149-B
hā ní zú yí zú zì zhì xiàn	20-18721-S,31-49756-S
hā ní zú yí zú zì zhì zhōu	49-10849-S
hā ní zú zì zhì xiàn	16-28830-S
hā nú màn	13-37764-B
hā nǔ kè	57-14282-S
hā pǔ xī kē dé	13-38849-B
hā qiàn	13-39068-B
hā rì zú	13-38747-B
hā shěng	15-49841-S
hā sà kè	13-39843-B
hā sà kè rén	13-39916-B
hā sà kè sī tǎn	13-39996-B
hā sà kè zì zhì xiàn	22-9636-S
hā sà kè zì zhì zhōu	4-50565-S
hā sà kè zú	13-40069-B
hā sāng	13-38998-B
hā sī	3-58331-S
hā tuō	55-37902-S
hā tè fú dé	13-39474-B
hā tǎn	32-14161-S
hā wéi shā mò	54-25107-S
hā wū zú	14-37839-S
hā wǎ nà	13-39534-B
hā yāo	71-42951-S
hā zī	66-1492-S
hā ēn	13-38508-B
hā ěr	71-54306-S
hā ěr bāng	36-9966-S
hā ěr bīn	13-39182-B
hā ěr bīn gōng yè dà xué	13-39231-B
hā ěr bīn shì	13-39347-B
hā ěr dēng	13-39407-B
hā ěr shì	71-54386-S
hā ěr shěng	34-31574-S
hā ěr sī tǎ	13-39106-B
hā ěr yòu yì hòu qí	20-10633-S
hā ěr yòu yì zhōng qí	20-10494-S
hāi	13-26159-B,13-29755-B,14-25803-B
hān	13-48935-B,25-56831-B,55-59143-B,59-15677-B,63-41939-B,68-27463-B,71-52832-B
hān hòu	25-56873-B
hān shēng	71-52860-B
hāng	17-64073-B
hāng tǔ	17-64108-B
hāo	14-39635-B,54-28746-S,55-4479-B,55-20651-B,55-60383-S,68-19504-S,71-61637-S
hāo mù	6-44491-S
hāo sù	67-58117-S
hē	12-20083-S,12-26848-S,13-15990-B,13-16036-S,14-10021-B,14-25930-B,18-27161-S,29-2688-S,52-20869-S,58-4751-B,60-51702-S
hē chá	14-10428-B
hē chì	13-16248-B,14-10273-B
hē diào	14-10363-B
hē dé	16-2433-S
hē fū	18-6659-S
hē guāng	14-10207-B
hē hè	13-16097-B
hē hù	13-16164-B
hē hē	13-16036-B
hē jiǔ	14-10587-B
hē jìn	13-16377-B
hē piáo dǔ	12-26900-S
hē pó luó duō	29-2753-S
hē qiàn	13-16336-B
hē wán lè	12-26980-S
hē xī běi fēng	14-10473-B
hē zuì	14-10638-B
hē zé	13-16435-B
hēi	6-26965-S,9-16665-S,14-33501-B,23-62749-S,25-46617-S,29-3774-S,37-23999-S,37-42392-S,39-44000-S,45-61801-S,59-12833-S,71-28837-B,71-34512-B,71-37556-S,71-43615-S
hēi bái	38-54784-S,68-45759-S,71-31673-B
hēi bái diàn shì	71-31749-B
hēi bù liū qiū	71-28941-B
hēi bǎn	71-30431-B
hēi chá biāo zi	71-32877-B
hēi chē	71-33339-B
hēi cù lì	71-33427-B
hēi diàn	65-44346-S,71-29935-B
hēi diāo	71-33280-B
hēi dào	31-10008-S
hēi dòng	71-31212-B
hēi er	29-26751-S
hēi fà	71-33840-B
hēi fèi bìng	71-32451-B
hēi guō	52-18967-S
hēi guǐ	71-33888-B
hēi gé ěr	71-30571-B
hēi huà	71-33202-B
hēi huàn	71-34021-B
hēi hé	71-30985-B
hēi hé dì qū	71-31044-B
hēi hé shì	71-31142-B
hēi hú jiāo	71-32582-B
hēi hǎi	71-31269-B
hēi hǔ quán	71-33113-B
hēi jiā lún	71-29101-B
hēi jí yuān hún	71-32313-B
hēi jī sù	61-63283-S
hēi jǐng hè	71-33482-B
hēi kè	71-29509-B
hēi kè dì guó	71-29578-B
hēi luò dé	71-33048-B
hēi lán	24-29267-S
hēi lóng jiāng	71-34138-B
hēi lóng jiāng hé	71-34241-B
hēi lóng jiāng shěng	71-34396-B
hēi méi	71-31407-B,71-32951-B
hēi méi fù shé	71-31824-B
hēi méi yù	71-31451-B
hēi méi zi	71-32995-B
hēi mén ní dé wáng cháo	66-14347-S
hēi míng dān	71-29221-B
hēi mù ěr	71-30362-B
hēi mǎ	71-33578-B
hēi niào zhèng	71-29650-B
hēi nú yù tiān lù	71-29427-B
hēi qián	37-55315-S
hēi qí jūn	71-30250-B
hēi rén	46-1835-S,71-29012-B
hēi shuǐ	71-30920-B
hēi shè huì	71-32220-B
hēi shì	71-29889-B
hēi shān	71-29709-B,71-29758-B
hēi shān xiàn	71-29803-B
hēi shǒu dǎng	71-30198-B
hēi sè	40-40223-S,71-32639-B
hēi sè gē wéi nà	71-29314-B
hēi sè jīn shǔ	71-32741-B
hēi sè sù	71-32677-B
hēi sè sù liú	45-51507-S
hēi sù	71-32397-B
hēi sēn lín	71-30633-B
hēi sēn lín dàn gāo	71-30702-B
hēi sēn sēn	71-30815-B
hēi tǐ	71-33644-B
hēi tǐ fú shè	71-33746-B
hēi tǐ zì	71-33692-B
hēi wò	71-34091-B
hēi xiá zi	71-29158-B
hēi xióng	71-31498-B
hēi xiā zi dǎo	71-31920-B
hēi xiū	14-33527-B
hēi xìn	71-29058-B
hēi xīn	71-30083-B
hēi xīng xīng	71-31571-B
hēi yè	71-29389-B
hēi yú	71-33979-B
hēi zhuān yáo	71-32093-B
hēi zhì	71-31635-B
hēi zhěn huáng lí	71-30475-B
hēi zhī ma	71-32821-B
hēi zé míng	71-31312-B
hēi zì	44-43840-S
hēi zǐ	17-62401-S
hēi zǐ zhōu	17-62464-S
hēi àn	71-30309-B
hēi ǎi xīng	71-32032-B
hēng	4-1601-B,8-7713-S,13-48609-B,23-57190-S,52-31847-B
hēng chàng	13-48698-B
hēng ji	13-48658-B
hēng lì	4-1635-B
hēng shēng	5-6117-S,13-48750-B
hēng tè	4-1681-B
hēng tè tài luó	4-1721-B
hēng zhì shí lán	30-42882-S
hēng zuò	4-1808-B
hēng zuǒ · dá luó	28-65333-S
hě	2-23381-S
hěn	2-8243-S,5-12434-B,7-2273-S,8-31127-S,13-41396-B,23-65615-B,24-7566-S,25-22390-S,25-22440-S,42-7892-B
hěn bù	23-65675-B
hěn bā bā	42-7926-B
hěn duō	23-65720-B
hěn duō fāng miàn	15-34811-S
hěn duō shí	23-65790-B
hěn dà	23-65840-B
hěn dà qī wàng	20-1235-S
hěn dú	42-8031-B
hěn hěn	25-22440-S
hěn hǎo	23-65883-B
hěn hǎo kàn	23-65921-B
hěn jiǎn dān	11-31168-S
hěn kuài	23-66036-B
hěn shǎo	23-65983-B
hěn xiǎng	23-66078-B
hěn xīn	42-7980-B
hěn yí hàn	23-66145-B
hěn ān quán	4-62330-S
hōng	13-6969-B,13-35773-B,40-30510-S,40-40636-B,46-16371-S,53-17066-S,55-22883-B,57-58010-B,61-31606-B,66-12172-S,67-24033-S,70-39563-B
hōng bèi	40-41167-B
hōng dòng	61-31686-B
hōng gān	40-40677-B,40-40775-B
hōng gān jī	40-40717-B,40-40828-B
hōng hōng	53-17066-S
hōng hōng liè liè	61-31964-B
hōng jī	61-31736-B
hōng kǎo	40-41116-B
hōng liè liè	61-31964-S
hōng làn zhà	42-5152-S
hōng lóng	40-41315-B
hōng lóng 5r	40-41370-B
hōng lú	40-41236-B
hōng lōng	61-32049-B
hōng qiǎng	13-35854-B
hōng rán	13-35898-B,61-31892-B
hōng rǎn	40-41026-B
hōng tuō	40-40878-B
hōng xiào	13-35954-B
hōng xiāng	40-41274-B
hōng yún tuō yuè	40-41434-B
hōng zhà	33-62807-S,61-31777-B
hōng zhà jī	26-19817-S,33-62864-S,61-31830-B
hōu	71-52912-B
hū	1-66895-S,2-2115-S,3-11492-B,4-62254-S,6-34597-S,6-45425-S,12-30865-S,12-31449-S,13-16787-B,13-18125-S,17-31308-S,22-34852-B,22-55986-S,24-50860-B,24-50992-S,24-56842-S,24-68208-S,24-68279-S,25-16834-B,26-41669-S,35-23697-B,35-31631-S,39-34191-B,40-51764-S,41-17749-S,42-27115-S,42-39357-S,44-1916-S,48-55652-S,52-19514-S,52-50242-B,55-47142-B,55-50662-B,58-59271-B,61-55356-S,65-53712-S,68-60477-S,69-59854-S,71-28239-S,71-43083-S
hū bì liè	24-50926-B
hū bù	22-56043-S,24-50890-B
hū bù kě néng	22-56101-S
