dǎ bu guò	26-40554-B
e	1-38092-S,1-64676-S,2-57951-S,3-31420-S,3-70071-S,4-44987-S,4-47287-S,4-63372-S,5-6843-S,5-27712-S,5-31342-B,5-31487-S,5-39533-S,5-45648-S,6-37798-S,7-1680-S,7-69782-S,8-30894-S,8-36743-S,8-53783-S,9-26149-S,9-61525-S,9-62883-S,9-66568-S,10-10766-S,10-40231-S,11-15939-S,11-28544-B,12-59609-S,12-65835-S,12-67276-B,13-7797-B,13-27697-B,13-43912-B,14-33682-B,14-35555-B,14-63112-B,15-44146-S,15-68766-S,16-6916-B,16-7701-B,16-8188-B,17-28551-S,17-46610-S,17-55253-S,18-25071-S,18-51169-B,18-51675-B,18-59787-S,19-48635-S,20-62409-S,21-2287-S,21-23224-B,21-39047-B,21-45830-B,21-48789-B,21-62499-S,22-547-S,22-922-S,22-25534-S,23-58150-S,24-44174-S,24-51164-S,24-52224-S,25-8817-B,25-18696-B,25-18726-B,25-30866-B,26-19401-S,26-37964-S,26-58653-B,27-69366-S,28-1130-S,28-20179-S,28-57819-B,28-62291-S,29-31236-S,30-24468-S,32-297-S,33-25531-S,33-35435-B,36-8305-S,37-14612-S,38-51618-S,39-41954-S,41-31760-S,43-54957-S,43-55644-S,43-56089-S,44-2800-S,44-16399-B,44-19144-S,44-33671-S,44-36470-S,44-37825-S,44-63064-B,44-63101-S,45-28594-S,45-34378-S,46-28850-S,47-50910-S,47-57780-S,48-22039-S,48-29510-S,48-37653-S,48-42896-S,48-49417-S,49-6128-S,50-36373-S,50-51753-S,52-4011-S,52-50903-S,53-60342-S,54-23896-B,54-48878-B,55-12153-S,55-22262-S,55-37802-S,55-43401-S,55-48300-S,55-59116-B,56-1716-B,56-59889-S,57-26797-S,57-53355-S,58-215-B,58-900-S,58-16984-S,58-17837-B,58-45522-B,58-51272-S,58-53282-S,59-49594-S,60-24683-S,61-1710-B,61-4862-S,62-48916-B,62-62100-S,63-7092-S,63-18651-S,63-28290-B,63-48695-S,64-17606-S,64-22958-S,64-33641-S,64-35768-S,64-36421-B,64-50108-B,65-50555-B,65-59444-B,65-65125-S,65-65703-B,66-45841-S,66-53249-S,66-56845-S,66-59661-S,68-34896-S,68-35637-B,68-43443-B,68-44455-B,68-47993-S,69-4842-S,69-13907-B,69-18335-B,69-61934-S,70-48877-B,70-56570-B,70-58094-B,71-56880-B,71-56925-B
e Hu	17-55356-S
e ba	25-24079-B
e bao	25-20115-B,25-21703-S
e bi ya	15-57859-S
e bing zhi	25-22556-B,53-52305-S
e bu	25-23230-B
e bu zuo	40-52307-S
e cha bai lai	25-19651-B
e chou	25-22992-B
e chou pu bi	25-23030-B
e dai	43-55937-S,55-48345-S
e de	25-20356-B
e ding gou	60-24727-S
e dou	25-24121-B
e du	25-22061-B,65-69928-B
e du wu	65-69969-B
e du zi	69-14151-B
e duo	28-20305-S
e e	44-63101-B
e e shi shi	25-21050-B
e er	54-40082-S
e er ni nuo xian xiang	11-28747-B
e fang cheng	55-22336-S
e fang yu chang yi	26-19902-S
e fei er shi feng	68-44225-B
e fu	25-20200-B,66-13664-B
e fu hao	45-34439-S
e gan	25-21332-B
e gao	25-21482-B
e gao wen hua	25-21577-B
e gao xun	70-56843-B
e gao xun su	70-56921-B
e gu	68-44401-B
e gu ji	49-6180-S
e guan man ying	25-23777-B
e gui	25-24180-B
e gun	25-21961-B
e guo	25-21887-B,28-20564-S
e han ji	69-7875-S
e hao	45-34507-S
e he li liang	26-19636-S
e he wu qi	26-19727-S
e hen	25-21002-B,25-22390-B
e hen hen	25-22440-B
e hong zha ji	26-19817-S
e hou ling	70-56658-B
e hua	9-49538-S,25-19613-B
e huo ban	26-19445-S
e ji	25-22494-B,25-23957-B,44-19283-S,44-37935-S,50-51633-S
e ji bing	44-19324-S
e jia	26-19520-S
e jiao	66-11455-B
e ju	43-56464-S
e kou	25-19748-B
e la	25-24000-B
e lang	25-22268-B
e lei	56-1954-B
e li	70-48917-B
e li de	21-12957-S
e lie	25-19479-B,68-44486-B,71-56952-B
e lu:e	43-56089-S
e luan shi	70-56596-B
e luo si	44-36545-S
e luo si ren	44-36630-S
e ma	25-22824-B,43-56426-S
e mai	28-20357-S
e mai hua gong	28-20430-S
e mao	10-51192-S,10-51499-S
e mao da xue	70-56753-B
e mei hao chi	56-1834-B
e mei quan	21-39357-B
e meng	14-35585-B,25-20158-B
e mi	27-54943-S
e ming	25-19803-B,25-64493-S
e ming r	25-19860-B
e ming zhao zhang	25-19932-B
e ming zhou	25-64545-S
e miu	58-338-B
e mo	25-24229-B
e ni bu chu tiao yue	2-49713-S
e nuo	18-51721-B
e pei	60-24959-S
e pei gu quan	60-25017-S
e pi	25-22661-B
e piao	69-13988-B,69-14213-B
e piao bian ye	69-14376-B
e piao zai dao	69-14036-B,69-14261-B
e qi	25-22101-B
e qi suo hao	65-67692-B
e qin	14-33720-B
e qu	28-20242-S,43-55830-S
e ren	25-19037-B,60-24794-S
e ren gou	60-24871-S
e ren xian gao zhuang	25-19103-B
e sha	7-2653-S,25-22347-B
e shao	25-20243-B
e she	25-23114-B
e shen	25-22770-B
e sheng	19-26211-S,25-22917-B
e sheng yi chou	43-55744-S
e shi	25-18841-B,25-23480-B,43-56721-S,44-37862-S
e shi chuan qian li	25-18892-B
e shi li	25-19542-B
e shi shi	25-21050-S
e shi zhi wu	43-56589-S
e shui	25-22170-B,47-57091-S
e si	23-32265-S,69-13947-B
e su	25-19364-B
e sui	25-22000-B
e sun	25-21439-B
e tan ce qi	4-63557-S
e tao tian	50-51788-S
e tong	54-4910-S
e tou	68-44361-B
e tou huo	69-0-S
e tu	25-20310-B,43-55868-S
e wai	68-43501-B
e wei	43-55990-S,43-56046-S
e wen	44-19377-S
e wu jin	66-22063-S
e xi	25-22872-B
e xiang	25-22701-B
e xiang shan	29-44350-S
e xin	14-33766-B,25-20411-B,25-20481-B
e xing	25-20541-B,25-23175-B,26-19579-S
e xing nu:e yuan chong	25-20728-B
e xing tong huo peng zhang	25-20907-B
e xing xun huan	25-20658-B
e xing zhong liu	25-20838-B
e xiong xiong	25-19426-B
e xuan ju	22-1016-S
e yan	25-23316-B
e yan shang ren	25-23374-B
e yang	43-56788-S
e yang shan	66-47842-S
e yao	31-31869-S
e ye	68-44318-B
e yi	9-20727-S,25-21113-B
e yi dai ma	25-21245-B
e yi zhong shang	25-21165-B
e ying	3-35158-S,3-35666-S
e you e bao	25-21703-B
e yu	25-23521-B,43-56543-S,66-12229-B,70-48974-B
e yu shang ren	25-23672-B
e yu zhong shang	25-23577-B
e yuan chong	25-20728-S,44-19205-S
e yun	25-24039-B
e zha	58-254-B
e zhan	25-21379-B
e zhang	25-19226-B
e zhe	5-27768-S
e zhi	62-48950-B,62-49022-B
e zhi pi mao	43-56294-S
e zhi yi er	43-56167-S
e zhong	5-31389-B
e zhou	5-31532-S
e zhu xin	63-18711-S
e zi	54-57321-S,56-1741-B
e zu	19-48686-S
e zuo	17-55290-S
e zuo ju	25-19287-B
e zuo lin	25-19999-B
e zuo lin tong	25-20051-B
e zuo yong	8-68-S
e · Jia li lei	4-63444-S
e1	18-51675-B,21-23224-B,33-25531-S,44-16399-B,65-65703-B
e1 du3	65-69928-B
e1 du3 wu4	65-69969-B
e1 fu4	66-13664-B
e1 jiao1	66-11455-B
e1 nuo2	18-51721-B
e1 qi2 suo3 hao4	65-67692-B
e1 yu2	66-12229-B
e2	3-70071-S,4-44987-S,4-47287-S,5-31342-B,5-31487-S,5-45648-S,8-36743-S,9-26149-S,10-40231-S,12-59609-S,12-65835-S,12-67276-B,13-43912-B,14-63112-B,17-46610-S,17-55253-S,18-51169-B,18-59787-S,19-48635-S,20-62409-S,21-39047-B,21-62499-S,22-547-S,22-922-S,22-25534-S,28-1130-S,30-24468-S,37-14612-S,39-41954-S,41-31760-S,44-33671-S,44-36470-S,44-63064-B,44-63101-S,46-28850-S,47-50910-S,50-36373-S,54-23896-B,55-37802-S,55-43401-S,55-59116-B,56-1716-B,56-59889-S,58-215-B,58-900-S,59-49594-S,60-24683-S,64-17606-S,64-22958-S,64-33641-S,64-36421-B,66-59661-S,68-43443-B,70-56570-B
e2 Hu2	17-55356-S
e2 bi3 ya4	15-57859-S
e2 ding4 gou4	60-24727-S
e2 e2	44-63101-B
e2 fei1 er3 shi4 feng1	68-44225-B
e2 gao1 xun4	70-56843-B
e2 gao1 xun4 su4	70-56921-B
e2 gu3	68-44401-B
e2 hou2 ling2	70-56658-B
e2 lei4	56-1954-B
e2 luan3 shi2	70-56596-B
e2 luo2 si1	44-36545-S
e2 luo2 si1 ren2	44-36630-S
e2 mao2	10-51192-S,10-51499-S
e2 mao2 da4 xue3	70-56753-B
e2 mei2 hao4 chi3	56-1834-B
e2 mei2 quan2	21-39357-B
e2 mi3	27-54943-S
e2 ming2	25-64493-S
e2 ming2 zhou1	25-64545-S
e2 miu4	58-338-B
e2 ni2 bu4 chu3 tiao2 yue1	2-49713-S
e2 pei4	60-24959-S
e2 pei4 gu3 quan2	60-25017-S
e2 ren4	60-24794-S
e2 ren4 gou4	60-24871-S
e2 tou2	68-44361-B
e2 tou2 huo3	69-0-S
e2 wai4	68-43501-B
e2 xuan3 ju3	22-1016-S
e2 ye4	68-44318-B
e2 zha4	58-254-B
e2 zhong1	5-31389-B
e2 zhou1	5-31532-S
e2 zi5	56-1741-B
e2 zu3	19-48686-S
e2 zuo4	17-55290-S
e3	14-33682-B,25-18696-B
e3 qin2	14-33720-B
e3 xin1	14-33766-B,25-20411-B
e3 zi5	54-57321-S
e4	1-38092-S,1-64676-S,2-57951-S,3-31420-S,4-63372-S,5-6843-S,5-27712-S,5-39533-S,6-37798-S,7-1680-S,7-69782-S,8-30894-S,8-53783-S,9-61525-S,9-62883-S,9-66568-S,10-10766-S,11-15939-S,11-28544-B,13-7797-B,13-27697-B,14-35555-B,15-44146-S,15-68766-S,16-6916-B,16-7701-B,16-8188-B,17-28551-S,18-25071-S,21-2287-S,21-45830-B,21-48789-B,23-58150-S,24-44174-S,24-51164-S,24-52224-S,25-8817-B,25-18726-B,25-30866-B,26-19401-S,26-37964-S,26-58653-B,27-69366-S,28-20179-S,28-57819-B,28-62291-S,29-31236-S,32-297-S,33-35435-B,36-8305-S,38-51618-S,43-54957-S,43-55644-S,43-56089-S,44-2800-S,44-19144-S,44-37825-S,45-28594-S,45-34378-S,47-57780-S,48-22039-S,48-29510-S,48-37653-S,48-42896-S,48-49417-S,49-6128-S,50-51753-S,52-4011-S,52-50903-S,53-60342-S,54-48878-B,55-12153-S,55-22262-S,55-48300-S,57-26797-S,57-53355-S,58-16984-S,58-17837-B,58-45522-B,58-51272-S,58-53282-S,61-1710-B,61-4862-S,62-48916-B,62-62100-S,63-7092-S,63-18651-S,63-28290-B,63-48695-S,64-35768-S,64-50108-B,65-50555-B,65-59444-B,65-65125-S,66-45841-S,66-53249-S,66-56845-S,68-34896-S,68-35637-B,68-44455-B,68-47993-S,69-4842-S,69-13907-B,69-18335-B,69-61934-S,70-48877-B,70-58094-B,71-56880-B,71-56925-B
e4 ba4	25-24079-B
e4 bao4	25-20115-B,25-21703-S
e4 bing4 zhi4	25-22556-B,53-52305-S
e4 bu3	25-23230-B
e4 bu4 zuo4	40-52307-S
e4 cha1 bai2 lai4	25-19651-B
e4 chou4	25-22992-B
e4 chou4 pu1 bi2	25-23030-B
e4 dai4	43-55937-S,55-48345-S
e4 de2	25-20356-B
e4 dou4	25-24121-B
e4 du2	25-22061-B
e4 du4 zi5	69-14151-B
e4 duo2	28-20305-S
e4 e4 shi2 shi2	25-21050-B
e4 er3	54-40082-S
e4 er3 ni2 nuo4 xian4 xiang4	11-28747-B
e4 fang1 cheng2	55-22336-S
e4 fang2 yu4 chang4 yi4	26-19902-S
e4 fu2 hao4	45-34439-S
e4 fu4	25-20200-B
e4 gan3	25-21332-B
e4 gao3	25-21482-B
e4 gao3 wen2 hua4	25-21577-B
e4 gu1 ji4	49-6180-S
e4 guan4 man3 ying2	25-23777-B
e4 gui3	25-24180-B
e4 gun4	25-21961-B
e4 guo3	25-21887-B
e4 guo4	28-20564-S
e4 han4 ji1	69-7875-S
e4 hao4	45-34507-S
e4 he2 li4 liang5	26-19636-S
e4 he2 wu3 qi4	26-19727-S
e4 hen3	25-22390-B
e4 hen3 hen3	25-22440-B
e4 hen4	25-21002-B
e4 hong1 zha4 ji1	26-19817-S
e4 hua4	9-49538-S,25-19613-B
e4 huo3 ban4	26-19445-S
e4 ji2	25-22494-B,44-19283-S,50-51633-S
e4 ji2 bing4	44-19324-S
e4 ji4	25-23957-B,44-37935-S
e4 jia1	26-19520-S
e4 ju3	43-56464-S
e4 kou3	25-19748-B
e4 la4	25-24000-B
e4 lang4	25-22268-B
e4 li2	70-48917-B
e4 li4 de2	21-12957-S
e4 lie4	25-19479-B,68-44486-B,71-56952-B
e4 lu:e4	43-56089-S
e4 ma3	43-56426-S
e4 ma4	25-22824-B
e4 mai4	28-20357-S
e4 mai4 hua2 gong1	28-20430-S
e4 meng4	14-35585-B,25-20158-B
e4 ming2	25-19803-B
e4 ming2 r5	25-19860-B
e4 ming2 zhao1 zhang1	25-19932-B
e4 mo2	25-24229-B
e4 pi3	25-22661-B
e4 piao3	69-13988-B,69-14213-B
e4 piao3 bian4 ye3	69-14376-B
e4 piao3 zai4 dao4	69-14036-B,69-14261-B
e4 qi4	25-22101-B
e4 qu3	28-20242-S
e4 qu4	43-55830-S
e4 ren2	25-19037-B
e4 ren2 xian1 gao4 zhuang4	25-19103-B
e4 sha4	7-2653-S,25-22347-B
e4 shao4	25-20243-B
e4 she2	25-23114-B
e4 shen2	25-22770-B
e4 sheng1	25-22917-B
e4 sheng3	19-26211-S
e4 sheng4 yi1 chou2	43-55744-S
e4 shi2 shi2	25-21050-S
e4 shi2 zhi1 wu2	43-56589-S
e4 shi4	25-18841-B,25-23480-B,43-56721-S,44-37862-S
e4 shi4 chuan2 qian1 li3	25-18892-B
e4 shi4 li5	25-19542-B
e4 shui3	25-22170-B,47-57091-S
e4 si1	23-32265-S
e4 si3	69-13947-B
e4 su2	25-19364-B
e4 sui4	25-22000-B
e4 sun3	25-21439-B
e4 tan4 ce4 qi4	4-63557-S
e4 tao1 tian1	50-51788-S
e4 tong2	54-4910-S
e4 tu2	25-20310-B,43-55868-S
e4 wei1	43-55990-S
e4 wei2	43-56046-S
e4 wen2	44-19377-S
e4 wu4 jin4	66-22063-S
e4 xi2	25-22872-B
e4 xiang4	25-22701-B
e4 xiang4 shan4	29-44350-S
e4 xin1	25-20481-B
e4 xing2	25-23175-B
e4 xing4	25-20541-B,26-19579-S
e4 xing4 nu:e4 yuan2 chong2	25-20728-B
e4 xing4 tong1 huo4 peng2 zhang4	25-20907-B
e4 xing4 xun2 huan2	25-20658-B
e4 xing4 zhong3 liu2	25-20838-B
e4 xiong1 xiong1	25-19426-B
e4 yan2	25-23316-B
e4 yan2 shang1 ren2	25-23374-B
e4 yang2	43-56788-S
e4 yang2 shan4	66-47842-S
e4 yao4	31-31869-S
e4 yi4	9-20727-S,25-21113-B
e4 yi4 dai4 ma3	25-21245-B
e4 yi4 zhong1 shang1	25-21165-B
e4 ying1	3-35158-S,3-35666-S
e4 you3 e4 bao4	25-21703-B
e4 yu2	70-48974-B
e4 yu3	25-23521-B,43-56543-S
e4 yu3 shang1 ren2	25-23672-B
e4 yu3 zhong4 shang1	25-23577-B
e4 yuan2 chong2	25-20728-S,44-19205-S
e4 yun4	25-24039-B
e4 zhan4	25-21379-B
e4 zhang4	25-19226-B
e4 zhe3	5-27768-S
e4 zhi1 pi2 mao2	43-56294-S
e4 zhi1 yi1 er4	43-56167-S
e4 zhi3	62-49022-B
e4 zhi4	62-48950-B
e4 zhu2 xin1	63-18711-S
e4 zuo4 ju4	25-19287-B
e4 zuo4 lin2	25-19999-B
e4 zuo4 lin2 tong2	25-20051-B
e4 zuo4 yong4	8-68-S
e4 · Jia1 li4 lei2	4-63444-S
ei	58-22862-B
ei ei zhi	1-0-B
ei xiao	58-22887-B
ei yi	58-22943-B
ei zhi	1-0-S
ei1	58-22862-B
ei1 ei1 zhi4	1-0-B
ei1 xiao4	58-22887-B
ei1 yi2	58-22943-B
ei1 zhi4	1-0-S
en	4-58508-S,11-13979-S,13-584-S,13-38508-S,14-25977-B,14-26017-B,14-26075-B,14-26075-B,16-10349-S,19-54612-S,22-14063-S,25-1539-B,25-40846-S,28-63127-B,29-63847-S,37-38647-S,44-41123-S,44-61721-S,46-46380-S,47-18520-S,52-13905-S,54-63141-S,55-4447-B,58-56662-S,65-34940-S,67-22971-S,71-11596-S
en ai	25-2270-B
en bing	47-21014-S
en chong	25-1885-B
en chou	25-1673-B
en ci	25-2315-B,25-3107-B
en da xue	37-38683-S
en dai de	25-41000-S
en de	25-2050-B,66-55197-S
en dian	25-1752-B
en ding er	28-63171-B
en fu yi	24-45369-S,62-57206-S
en gao	25-2983-B
en ge	23-2301-S
en hui	25-2226-B
en ji hua	29-63889-S
en jie	25-41069-S
en kou er	28-63223-B
en qing	25-2178-B
en ren	25-1582-B
en si	4-58567-S,17-18053-S,66-10750-S
en ti	34-16236-S
en ti dang liang	34-16298-S
en tu bao	25-40891-S
en tu jie	50-3247-S
en tu shu guan	4-58397-S
en xie er	30-41290-S
en yuan	25-2099-B
en1	4-58508-S,11-13979-S,13-584-S,13-38508-S,14-25977-B,16-10349-S,19-54612-S,22-14063-S,25-1539-B,25-40846-S,29-63847-S,37-38647-S,44-41123-S,44-61721-S,46-46380-S,47-18520-S,52-13905-S,54-63141-S,55-4447-B,58-56662-S,65-34940-S,67-22971-S,71-11596-S
en1 ai4	25-2270-B
en1 bing4	47-21014-S
en1 chong3	25-1885-B
en1 chou2	25-1673-B
en1 ci2	25-2315-B
en1 ci4	25-3107-B
en1 da4 xue2	37-38683-S
en1 dai4 de2	25-41000-S
en1 de2	25-2050-B,66-55197-S
en1 dian3	25-1752-B
en1 fu4 yi4	24-45369-S,62-57206-S
en1 gao1	25-2983-B
en1 ge2	23-2301-S
en1 hui4	25-2226-B
en1 ji4 hua4	29-63889-S
en1 jie2	25-41069-S
en1 qing2	25-2178-B
en1 ren2	25-1582-B
en1 si1	4-58567-S,66-10750-S
en1 si4	17-18053-S
en1 ti1	34-16236-S
en1 ti1 dang1 liang4	34-16298-S
en1 tu2 bao4	25-40891-S
en1 tu2 jie3	50-3247-S
en1 tu2 shu1 guan3	4-58397-S
en1 xie4 er3	30-41290-S
en1 yuan4	25-2099-B
en4	14-26017-B,28-63127-B
en4 ding1 er5	28-63171-B
en4 kou4 er5	28-63223-B
en5	14-26075-B
er	1-5206-S,1-5206-S,1-29313-S,1-31113-S,1-31537-S,1-55184-S,2-6422-S,2-6422-S,2-14428-S,2-14428-S,2-34470-S,2-36174-S,2-36174-S,2-42893-S,2-78988-S,3-2102-S,3-9177-S,3-32067-B,3-33627-S,4-22208-S,4-22208-S,4-48710-S,4-48802-S,4-69324-S,5-11770-B,5-37802-S,5-50462-S,5-55911-S,5-55911-S,6-8902-S,6-19684-S,6-21906-S,6-48727-S,7-14686-S,7-16335-S,7-21652-B,7-21701-B,7-31028-S,7-58297-S,7-58297-S,8-3442-S,8-5009-S,8-31974-S,8-41537-S,9-5718-S,9-5889-S,9-10700-B,9-13974-S,9-39179-S,9-67233-S,10-14710-S,10-14710-S,10-16415-S,10-42449-S,11-4587-S,11-7373-S,11-13422-S,11-15762-S,11-28910-S,11-52440-S,12-597-S,12-40565-S,13-16990-S,13-23395-S,13-27647-B,13-40472-S,13-41006-S,13-42737-S,13-42737-S,13-52186-S,13-56097-B,14-935-S,14-2045-S,14-14844-S,14-15403-S,14-38467-S,14-45479-S,14-62011-S,15-27241-S,15-59360-S,15-60295-S,15-70391-S,16-17038-S,16-17916-S,16-19511-S,16-20659-S,16-21056-S,16-28666-S,16-28666-S,16-47050-S,16-47050-S,16-49980-S,16-53220-S,16-60006-S,17-5004-S,17-5222-S,17-5222-S,17-6084-S,17-6084-S,17-71234-S,17-71234-S,18-13488-S,18-13708-S,18-17169-S,18-19455-S,18-27771-S,18-27771-S,18-29025-S,18-29025-S,18-57090-S,18-57090-S,18-62164-S,18-62300-S,19-12804-S,19-14724-S,19-14724-S,19-29890-S,19-33090-S,20-18553-S,20-28517-S,20-65314-S,20-65314-S,21-3489-S,21-5327-B,21-5353-B,21-13685-S,21-13889-S,22-4493-S,22-5307-S,22-5378-S,22-5559-S,22-6688-S,22-8133-S,22-15124-S,22-15427-S,22-17354-S,22-19117-S,22-20952-S,22-22145-S,22-23210-S,22-23642-S,22-24442-S,22-49033-S,22-49033-S,22-51572-S,22-51829-S,22-52624-S,22-52624-S,22-53372-S,22-54060-S,22-66486-S,23-1618-S,23-25147-B,23-25393-B,23-31752-S,23-61601-S,24-12093-S,24-29068-S,24-32135-S,24-36222-S,24-36222-S,24-46909-S,25-2930-S,25-34312-S,25-37428-S,26-4627-S,26-4685-S,26-23704-S,26-39116-S,26-55184-S,26-55184-S,27-21737-S,27-23501-S,27-33083-S,27-33083-S,27-46198-S,27-47689-S,27-63905-S,27-63905-S,28-33457-S,28-38804-S,28-63171-S,28-63171-S,28-63223-S,28-63223-S,29-1537-S,29-2220-S,29-26751-S,29-26751-S,29-30776-S,29-30776-S,29-61076-S,30-7882-S,30-7882-S,30-19551-S,30-40477-S,30-41290-S,30-42134-S,30-52236-S,30-53758-S,30-66669-S,31-21318-S,31-30087-S,31-41461-S,31-49569-S,31-50890-S,32-15046-S,32-15168-S,32-41928-S,32-41928-S,32-54027-S,32-66988-S,33-41411-S,33-47589-S,33-54906-B,33-65159-S,34-7025-S,34-10927-S,34-15879-S,34-54379-S,34-58834-S,34-58834-S,34-59992-B,35-25654-S,35-25654-S,35-63350-S,36-11175-S,37-11191-S,37-11191-S,37-26625-S,37-26625-S,37-47556-S,37-47670-S,37-52630-B,37-62742-B,37-63609-S,37-63609-S,38-4627-S,38-19709-S,38-19832-S,38-55361-S,39-16694-S,39-57852-S,40-35811-S,40-36961-S,40-65504-S,40-66009-S,41-43120-B,41-62593-S,42-12802-S,42-12802-S,42-17783-S,42-39546-S,42-39546-S,42-41838-S,42-46044-B,42-46388-S,42-47305-S,43-16170-S,43-31274-S,43-45712-S,43-45712-S,43-56167-S,43-58136-S,43-58136-S,44-266-S,44-8935-S,44-8935-S,44-40167-S,44-42274-S,44-42274-S,44-50180-S,44-50180-S,44-64624-S,44-64624-S,44-64859-S,47-5345-S,47-16329-S,47-19700-S,47-45691-S,47-45691-S,47-59417-S,47-59417-S,48-5409-S,48-5409-S,48-5580-S,48-10661-S,48-12574-S,48-13452-S,48-45646-S,49-15982-S,49-18120-S,49-18650-S,49-26860-S,49-27311-S,50-1422-S,50-1495-S,50-43289-S,51-24927-S,51-25688-S,51-25688-S,51-31549-S,51-31549-S,51-34842-B,51-35704-B,51-39055-B,51-44064-S,51-57006-S,52-12439-S,52-19162-S,52-22305-S,52-22305-S,52-26263-B,52-31692-S,52-31692-S,53-16546-S,53-16546-S,53-47235-S,53-47650-S,53-48359-S,54-1630-S,54-4005-S,54-23341-S,54-37418-S,54-37473-S,54-39171-S,54-40082-S,54-57197-S,54-57943-S,54-57943-S,54-61632-S,54-63658-S,55-262-S,55-869-S,55-6079-S,55-25289-S,55-27727-B,55-40204-S,55-40780-S,56-30445-B,57-2159-S,57-22576-S,57-40435-S,58-17744-S,58-24567-S,58-31194-S,58-49817-S,59-10071-S,59-10071-S,59-24526-S,59-27988-S,59-30161-S,59-41860-B,59-46640-S,60-8577-S,60-36095-S,60-36095-S,61-6054-B,61-27153-S,61-67863-S,62-26685-S,62-30296-S,62-43013-S,62-43013-S,62-49170-S,62-52960-S,62-53866-S,62-54098-S,62-54427-S,62-54615-S,63-11098-B,63-19495-S,64-25081-B,64-28524-S,65-66892-S,65-68096-S,66-4502-S,66-6813-S,66-7729-S,66-12738-S,66-16016-S,66-18885-B,66-37987-S,66-40208-S,67-2938-S,67-68478-S,68-26464-S,68-27131-S,69-7607-S,69-7607-S,69-9835-S,69-10179-S,69-13124-B,69-22973-S,69-33262-S,69-39255-S,69-50978-B,70-29692-S,70-29692-S,70-38766-S,70-42460-B,70-55246-B,71-13418-S,71-13418-S,71-30362-S,71-30571-S,71-35742-S,71-50956-S,71-50956-S,71-51688-S,71-51688-S,71-54306-S
er Bu te	37-40469-S
er Da han	22-24515-S
er Gao yuan	22-23513-S
er Gong chan dang	21-13936-S
er Ha ni zu Yi zu zi zhi xian	20-18721-S,31-49756-S
er Hu	55-38837-S
er Luo si Meng gu zu zi zhi xian	9-25338-S
er Na de bang	37-47987-S
er Ni nuo	11-28687-S
er Shi yan shi	59-30212-S
er Tie ta	15-60341-S
er Wu shi	13-38545-S
er Yi ke Da xue	1-52922-S
er Yi la mu Meng hu Jie fang Zu zhi	37-47718-S
er Zi zhi qu	30-52769-S
er ba	41-57568-S
er ba dao	3-36192-B
er ba e	43-54957-S
er ba ha	59-46948-S
er ba la	11-15865-S
er ba ni	18-15463-S
er ba ni ya	66-7859-S
er ba ni ya ren	66-7927-S
er ba qiao fu	26-4744-S
er ba shi	44-50692-S
er ba shi bian	1-1367-S
er ba shou	3-36253-B
er ba ye fu	49-16344-S
er bai	7-17488-S
er bai wu	3-39696-B
er ban tong gu te sha mo	12-3674-S
er bang	36-9966-S
er bang jie	12-3790-S
er bao bing du	69-39567-S
er bei si	66-7479-S
er bei si shan	66-7535-S
er ben	16-28984-S
er ben lu: shen	3-41153-B
er bi yan hou	51-40013-B
er bian ku	3-42733-B
er bian xing	10-43497-S
er bie	2-33063-S
er bin	13-39182-S
er bin Gong ye Da xue	13-39231-S
er bin shi	13-39347-S
er bing	51-6396-S,55-29502-S
er bo	16-29036-S,36-11298-S
er bo ge	30-42048-S
er bo li	48-45394-S
er bo ta	66-7348-S
er bo te	22-21012-S,22-21576-S,66-7415-S
er bo te qun dao	12-41194-S
er bu fa	23-30388-S
er bu gan yan	30-6554-S
er bu jian	57-36621-S
er bu jiang	44-57909-S
er bu jing	11-9212-S
er bu lai te	18-15521-S
er bu lou	44-2870-S
er bu lu shi	11-28839-S
er bu lu: ken	55-25329-S
er bu nu:e	58-53282-S
er bu shang	13-32526-S
er bu she	64-50511-S
er bu shi	54-35869-S
er bu wei	5-2623-S
er bu wen	7-118-S,52-1213-S
er bu wen chuang wai shi	7-47401-S
er bu xu	51-34982-B
er bu xuan	46-52684-S
er bu yong	6-29318-S
er bu zhi	3-43246-B
er bu zhuan	42-38323-S
er bù zhuàn	42-38323-S
er can an	14-45852-S
er cao yuan	13-17316-S
er ce	3-32575-B
er cha	31-50121-S
er cha ke	70-18361-S
er cha shu	3-35103-B
er cha zui	3-41228-B
er chan fu	3-39255-B
er chan ye	48-11495-S
er cheng	67-24177-S
er chi	52-18559-S,68-2743-S
er chong	3-43358-B
er chong chang	3-43414-B
er chong gen	3-43605-B
er chong xing	3-43527-B
er chong zou	3-43466-B
er chu	6-47614-S,52-32514-S,52-33765-S
er chun	1-24533-S,2-43629-S,3-15288-S,3-43318-B,43-39256-S
er ci	3-36612-B,48-11323-S
er ci bao	55-25899-S
er ci da zhan	3-36968-B
er ci duo xiang shi	3-36881-B
er ci fang	3-37035-B
er ci fang cheng	3-37102-B
er ci ge ming	3-37345-B
er ci hai mo shi bing	66-8735-S
er ci han shu	3-36809-B
er ci qu mian	3-37268-B
er ci qu xian	3-37177-B
er ci shi jie da zhan	48-11398-S
er cong	29-18794-S
er da ke	43-11160-S
er da ke sheng	43-11236-S
er da li	26-39533-S
er da xue	23-1686-S,33-66493-S
er dai	3-32381-B,48-10781-S
er dai fu	69-39404-S
er dai nu:	27-35597-S
er dai shu	22-16719-S
er dai zhi	11-58918-S
er dan	1-13362-S
