the root is firm	32-61746-S
the tray	13-24287-S
the tray or pan of a steelyard	47-34796-B
the treasure of buddha s law	20-30514-S
the treaty of 1923 normalizing relations between the soviet union and the northern warlord government of china	2-81022-B
the treaty of beijing of 1860 between qing china and tsarist russia	2-49566-B
the treaty of versailles	3-48098-S,3-48299-S
the tree topples the monkeys scatter 成语 saw	34-60376-S
the trees	12-8499-S
the trend	61-67581-S
the trend of events	61-24036-S
the trend of events brings forth the hero	31-39692-S
the trials and tribulations of a long journey	54-45956-B
the trick 成语 saw	41-16330-S
the triennial provincial imperial exam during the ming and qing	63-30645-B
the trigger of a crossbow	64-59026-B
the trigonometric functions	15-22870-B
the trigram	22-11463-S
the trigrams	11-11015-S,50-39466-S
the trigrams of the book of changes 易經 易经	23-52532-S
the trinity	1-16026-S
the trip	8-14545-S
the trip has been well worthwhile	2-27385-B
the trip has not been made in vain	2-27385-B
the tripod 成语 saw	33-42986-S
the tripods are light or heavy 成语 saw	13-63687-S
the tripods 成语 saw	13-63360-S,13-63511-S
the trivial	63-7636-S
the trouble	5-2860-S,5-2928-S,18-26291-S
the trouble of traveling a long distance	2-34985-S
the trouble should end it	57-52888-S
the true essence	45-44868-B
the true figure	27-68938-S,27-69095-S
the true god	45-44082-B
the true way	45-45118-B
the trumpet	13-5362-S
the truth	27-61283-S,29-37873-S,45-34158-S,45-42112-B,45-45570-B,47-40710-S,57-41330-S,58-22310-S,63-48169-S,66-48735-S
the truth about sth	45-43664-B
the truth dawns upon one	57-41330-B
the truth deliberately	68-45759-S
the truth in a flash	68-32536-B
the truth of	58-60636-S
the truth will out	49-21694-S
the tunnel	66-42628-S
the turn of the 20th century	38-61764-S
the turpan depression in xinjiang	12-61727-B
the turquoise kingfisher	71-346-B
the turtle head 成语 saw	42-17952-S
the twelve constellations on the ecliptic plane	10-43097-B
the twelve earthly branches 十二地支	19-241-S
the twelve equatorial constellations or signs of the zodiac in western astronomy and astrology	10-42739-B,71-23658-B
the twelve thoracic vertebras behind the ribcage of humans and most mammals	52-24971-B
the twelve two hour divisions of the day	31-41040-B
the twenty eight constellations	3-34042-B
the twenty seven days after the winter solstice	1-29671-B
the twinkle of an eye	1-15617-B,31-514-S
the twinkling of an eye	1-8366-S,9-26757-B,23-48555-S,23-48663-S,61-26099-S,61-27340-S
the two	10-58336-S
the two cannot exist together 成语 saw	10-6945-B,58-23057-B
the two equinoxes	3-32915-B
the two poles	7-46127-B
the two provinces of guangdong and guangxi in qing times	7-44586-B
the two sexes	7-44775-B
the two sides slide horizontally past one another	60-10388-S
the tyrant	23-26935-S
the umbilicus of a melon	43-9239-B
the un high commissioner for refugees unhcr	51-59570-S
the unborn child	52-19162-B
the underside	1-63652-B
the undertaker s	35-64621-B
the underworld of chinese mythology	3-20036-B,71-26321-B
the unfortunate injured party	2-7996-B
the ungrateful wolf by ma zhongxi 馬中錫 马中锡	2-70137-S
the unimportant and neglect the important	61-13058-S
the union	15-8726-S
the united kingdom	54-2134-S
the united nations	7-25423-S
the united states	7-40904-S,51-4213-S,58-1090-S
the units place or column in the decimal system	5-53092-B
the universe	3-24295-B,17-54414-S,31-6971-S,42-27266-S,67-49095-S
the universe and pity the fate of mankind	25-9626-S
the universe in chinese mythology	45-10437-S,45-10522-S
the university of hong kong	69-27086-B
the unknown	57-29958-S
the unknown soldier	40-48296-S
the unknown soldier symbolizing war dead	40-48390-B
the unused bits in binary coded decimal	69-16778-S
the up and coming youngster outstrips the older generation	23-66996-B
the upper arm	52-14040-S
the upper back and neck	30-36300-S
the upper body	1-46981-B
the upper hand 成语 saw	7-3039-S
the upper lip	4-5647-S
the upper reaches of the liaohe river	18-6031-S
the upper storeys in architecture	26-62620-S
the ups and downs of life	66-42000-B
the uptake	70-41428-S
the ural mountains in russia	40-35811-B,40-35881-B
the urge to smoke	41-2784-B
the us	17-32115-S,17-58728-S,51-3090-S,58-1090-S
the us government	12-24485-S
the us government in washington	54-33878-B
the us house of representatives	45-53723-S
the use of	4-1865-S,4-2465-S
the use of sth	47-1269-S
the use of tonics to restore the patient s health	56-57428-S
the usual type	43-60902-S
the uterus	19-933-S,19-995-S,19-58070-S,39-27828-S
the uterus during childbirth	19-57949-S
the utmost	6-29508-S,6-56074-S,26-15650-S,45-7675-S
the uzbek people race	40-37549-B
the valley of the xar murun river in the upper reaches of the liaohe river	18-6031-S
the valorous 成语 saw	27-44014-S
the value	4-59603-S
the vampire slayer	53-53750-S
the vast ocean	41-2482-B
the vast ocean 成语 saw	32-16545-S
the vatican	30-2553-B,30-2641-S,34-17284-B,50-63356-B
the vault of heaven	47-44823-B
the verge	1-20769-S
the verge of	11-24429-S,21-63540-S,22-1126-S,40-14750-S
the verge of bankrupcy	50-62628-S
the verge of collapse 成语 saw	17-17175-S
the vernacular	44-46395-S
the vertical	20-57494-S
the vertical threads in weaving	50-28297-S
the very best	30-19551-S
the very end	45-8760-B
the very first	32-19436-B
the very front	9-18344-B
the very image of	43-55349-S,62-34392-S
the very least	60-17578-S
the very moment	43-65927-B
the very opposite	11-44769-S
the very same 	43-64540-S
the vicinity	66-16183-S
the vicissitudes of life	25-10455-B,32-16545-S
the victim of his own ingenuity 成语 saw	51-64742-S
the victim of one s own success	12-59425-B
the vietnamese communist party	60-26100-B
the vietnamese communist party from 2001	61-42863-S
the view	57-43567-S
the view of a frog in a well 成语 saw	3-57117-B
the views of the departed	63-2855-B
the villain sues first	25-19103-B
the villains e g insurgents	58-18329-S
the vine to get to the melon	68-26576-S
the virgin mary	51-47806-B
the virgin mary christian festival on 15th august	51-47876-S
the virtue of sb or sth while concealing their faults	66-47842-S
the virtuous and use the able 成语 saw	4-44001-S
the viscera med 	52-50109-S
the vital finishing touch	43-59492-S,71-41034-S
the vital organs of the human body	56-46472-S
the vitals 成语 saw	44-8690-S
the vitreous glaze on china	37-29033-B
the vladivostok area ruled by the ming dynasty	18-22766-S
the volunteer army	51-12567-S
the vulture family	71-845-S
the vulva or vagina	66-25380-S
the wailing wall jerusalem	13-46593-B
the waist	5-10207-S,23-26088-S,23-26150-S
the waiting list for admission to a school	6-28321-S
the wake of	66-44837-S
the wall	16-47592-S,44-34328-S
the wall of a house	23-4495-B
the war	26-18381-S
the war of 1904 1905 between russia and japan	31-5164-B
the war of 206 202 bc between liu bang 劉邦 刘邦 of han and xiangyu 項羽 项羽 of chu	34-30346-B
the warlord government of northern china that developed from the qing beiyang army 北洋軍閥 北洋军阀 after the xinhai revolution of 1911	10-32958-B
the warlords period	10-33527-S
the warring states	26-17501-S,60-30252-S
the warring states 1122 265 bc	71-53443-S
the warring states by han feizi 韓非子 韩非子	26-17900-S
the warring states period 475 221 bc	26-17428-B,26-17598-B,44-52813-S
the warrior	35-45378-S
the wars of the roses	42-41029-B
the water	8-40515-S,14-34495-S,27-35260-S,27-35393-S,36-38136-S,36-47122-S
the water as the dragonfly in the 成语 saw 蜻蜓點水 蜻蜓点水	71-40140-S
the water lightly 成语 saw	56-6398-S
the water margin	42-36567-S,71-16874-S
the water recedes	36-45944-S
the water s edge to protect an embankment	69-46629-S
the water 成语 saw	53-50235-S,61-48430-S
the waters 成语 saw	4-27235-S
the wave and add to the billows 成语 saw	28-31265-S
the waves	46-18027-S,68-61241-S
the way	6-50960-S,7-6464-S,7-25719-S,10-60401-S,13-63251-S,22-28970-S,22-28970-S,23-31028-S,29-32782-S,37-27587-S,44-1787-S,46-43152-S,59-14141-S,60-14514-S,61-54483-S,61-55120-S,62-32747-S,62-32820-S,64-37005-S,65-24406-S,65-26734-S,65-27677-S,65-42896-S,65-64122-S,68-26850-S,68-35073-S
the way home 成语 saw	58-63638-S
the way it is	12-11032-S
the way of	29-20069-S
the way of former kings	7-4851-B
the way of hegemon 霸道	42-36865-S
the way of the hegemon	67-49458-B,67-49995-B
the way of the king	42-36865-B
the way place	31-16820-S
the way through	1-21980-S
the way to the sea	55-19080-S
the way you want or plan	3-31677-S
the way 成语 saw	51-31657-S
the ways of the world	4-9601-B
the wayside	37-27659-S
the weak for the sake of justice	4-42116-S
the weak 成语 saw	62-56679-S,62-56839-S,64-36020-S
the weakest person	67-22389-S
the wealth of nations 1776 by adam smith 亞當·斯密 亚当·斯密	15-8200-B
the weasel offers the chicken new year greetings 谚语 proverb	71-25964-S
the weather	2-9264-S,20-9209-S,20-9432-S
the weather 成语 saw	17-48173-S
the web	45-66768-S
the week	31-30345-S
the wei river in shaanxi through the guanzhong 關中 关中 plain	39-4776-B,39-5151-B
the wei river 渭河 at chencang 成语 saw	31-61815-S
the weight	26-62259-S,46-15218-S
the weight of a building	29-38117-S
the weight of the upper storeys in architecture	26-62620-S
the well field system of ancient china	3-56914-B
the wenchuan earthquake of may 2008 that killed 80	36-65100-B
the wenchuan great earthquake of may 2008	36-65208-B
the west	31-38269-S,35-30682-B,57-12595-B,57-17341-S,57-17852-B,57-19326-B,57-23129-S
the west bank	57-16482-B
the west chamber by wang shifu 王實甫 王实甫	57-16983-S
the west of	57-23237-S
the west of beijing	36-50360-S
the west of the forbidden city	17-59666-S
the west of xinjiang near kyrghizstan	14-813-S,14-935-S,14-1132-S
the west wall 成语 saw	27-19042-S
the west 成语 saw	27-19237-S
the west 西遊記 西游记	19-15241-S,24-1413-S,50-44618-S,57-23010-S
the western boundary	57-23779-B
the western chamber by yuan yuling 袁于令	57-18892-S,57-19028-S
the western foothills of a mountain	57-24440-B
the western han and eastern han	7-46770-S
the western han former han	38-47146-S
the western jin dynasty 265 316	57-18440-B
the western jin 西晉 西晋 265 316	31-43131-B
the western pacific	1-62826-S,57-15084-B
the western paradise	1-55637-S,66-2013-S,69-50179-S
the western paradise buddh 	57-15021-B
the wheel comes full circle	49-36835-B,62-27819-B
the wheel of fortune	68-55421-S
the wheel of fortune turns	68-55336-B
the whip cannot reach 成语 saw	68-9087-S
the whip three times	30-46964-S
the whirlwind hosea 8 7	25-21703-S
the white haired girl 1950	44-40772-B
the white hairs of old age 成语 saw	44-48302-S,44-48490-S
the white house	35-7046-S
the white race	44-43584-B,44-44465-B
the white snake	44-45687-S
the whites of eyes	45-35031-S
the who 1960s uk rock band	58-34132-B
the whole	15-69022-S,17-36868-S,17-41798-S,18-49633-S,27-14313-S,36-17922-S,50-34574-S
the whole amount	7-36830-B
the whole area	62-42531-S
the whole audience	7-35747-B
the whole audience silent with expectation	39-36618-B
the whole body	62-42608-S
the whole body moves	41-62858-S
the whole business	10-15175-S
the whole business with all its processes	7-38525-B
the whole class	7-38742-B
the whole country	13-63360-S,13-63511-S,18-49081-S,21-30915-B,28-1260-S,36-59731-S,50-29530-S
the whole course of an event from beginning to end	32-64546-B
the whole day	1-6032-B
the whole day eating i e not doing any work	69-8525-S
the whole family	1-6732-B,1-6781-B,1-6851-B,39-41525-B,65-51942-S,65-52015-B
the whole family unto the third generation	39-41575-S
the whole front in a war	7-40797-B
the whole head clean	9-15978-S
the whole into pieces	10-23835-S
the whole is more than the sum of its parts	33-65584-S,33-66177-S
the whole land	39-37941-S
the whole length of a road or railway line	7-40797-B
the whole lot	10-13782-S,10-13860-S
the whole nest came out to fight us	6-47487-S
the whole nest came out 成语 saw	6-47614-B
the whole night	24-29405-B
the whole of	43-54040-B
the whole of america	7-40904-B
the whole of china	17-43157-B
the whole of history 成语 saw	32-2844-S,32-2964-S
the whole of society	69-59387-S
the whole piece	30-59714-S
the whole province	7-40136-B
the whole show	10-18620-S
the whole situation	7-41540-S
the whole sky	39-52210-S
the whole sky and cover the land	39-52309-S,39-52449-S
the whole story	11-31634-B,46-2496-S
the whole story from small traces	20-10768-S
the whole task at one stroke	43-54130-S
the whole thing	10-15926-S,24-12277-B
the whole time	1-4536-B
the whole town	60-36340-S
the whole truth is revealed 成语 saw	45-43737-B
the whole world	1-707-B,12-20247-S,17-43157-B,38-15928-B
the whole year	7-36501-B
the wicked as personal foes	44-6890-S
the wide ocean	62-62040-S
the wild boar rushes 成语 saw	42-9857-S
the wild pigeon	70-53357-B
the wilderness	64-3479-S
the wilderness isaiah	32-3585-S
the wildest thing	43-61431-S
the will	24-44456-B,25-31263-S,42-40017-S
the will is there	24-33952-B
the will of god	67-51013-B
the will of heaven	17-47183-B,51-70036-S,67-51013-B
the will of the great swan 成语 saw	41-29558-S
the will of the great swan 燕雀安知鴻鵠之志 燕雀安知鸿鹄之志	41-29352-S
the will of the people	4-9311-B
the will to move mountains	47-26820-B
the will 成语 saw	42-40017-S
the wind	3-14649-S,5-23884-S,7-23398-S,23-61825-S,27-44403-S,28-44489-S,28-54220-S,31-2965-S,51-17587-S,61-46599-S,61-46599-S,61-68766-S,63-8183-S,66-45246-S,66-45313-S,68-20879-S,68-56771-S,68-59535-S,68-60073-S,68-61241-S,68-61380-S,68-61528-S
the wind and assume it will rain 成语 saw	57-31944-S
the wind and bewailing the rain	8-25101-S
the wind and clutching at shadows 成语 saw	28-5521-S
the wind and rain	62-67070-S
the wind and reap the whirlwind hosea 8 7	25-21703-S
the wind and set the helm 成语 saw	57-31761-S
the wind and set your sails 成语 saw	57-31576-S
the wind and summon the rain 成语 saw	13-19755-S
the wind and the billows 成语 saw	3-14744-S
the wind and the moon	12-66079-S
the wind blowing or rain falling	68-59955-S
the wind blows violently	9-63971-B
the wind film	3-26218-S
the wind sailing	28-62680-S
the wind 成语 saw	23-36301-S,34-60695-S,61-46671-S
the winde	68-20879-S
the window	67-18846-S
the window referring to seats on a plane etc	68-342-S,68-428-S
the windpipe	36-29530-S
the winds	15-58019-S
the wine god	63-40311-B
the wine i offer you is so poor	55-20034-S
the wine s gone bad and it cannot be sold	63-40807-B
the wings	63-11952-S
the wink of an eye	45-59562-S
the winter	60-26165-S,62-43652-S
the winter solstice	1-29671-S,8-16428-B,46-80-B
the winter solstice 冬至 and summer solstice 夏至	31-11650-B
the wire	62-13084-S
the wisdom of ancient sages	6-41853-S
the wise	47-9257-S,51-56550-S
the wise and love the people	20-44160-S
the wise and venerate the worthy 成语 saw	30-12092-S
the wise may appear stupid 成语 saw	17-20304-B,17-20517-B
the wise ruler or comprehensive mirror for aid in government	59-52142-S
the wisp mysterious lights due to phosphorescence from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-S
the wolf	42-11111-S
the wolf in front and the tiger behind 成语 saw	9-20196-S
the wolf into the house 成语 saw	23-29630-S
the wolf into the woodpile 成语 saw	23-29475-S
the wolf prize for science and arts	37-3370-B
the wolf runs and the wild boar rushes 成语 saw	42-9857-B
the womb	71-25112-S
the wood for the trees	12-8499-S
the woodpile 成语 saw	23-29475-S
the word order for heightened effect	5-60748-S,5-60873-S
the wording and purport of what one writes	48-14170-B
the words	11-70502-S,23-34398-S,51-69561-S
the words correctly in opera	12-60100-S
the words 成语 saw	57-55739-S
the work	8-52098-S
the work of gods and devils 成语 saw	46-57228-B
the work of the gods	46-57065-B,70-31516-B
the workers in marxist theory	56-51228-B
the workers of socialist theory or of the glorious chinese past	10-4717-B
the world	1-75354-S,2-37568-S,2-38827-S,2-39272-S,2-39902-S,2-42702-S,3-51501-S,4-9601-S,4-9601-S,4-17697-B,13-14392-S,17-45187-B,32-16545-S,32-26426-S,38-34479-S,39-35405-S,43-6363-S,53-21966-S,63-48043-S,65-32969-S,65-49320-S,65-52839-S,66-40679-S,66-50274-S,66-52093-S
the world buddha	2-38703-S
the world i e to be born	8-33872-S
the world in buddhism	17-2526-S
the world in chaos	3-26119-B,40-6172-B
the world in eighty days by jules verne 儒勒·凡爾納 儒勒·凡尔纳	7-49388-S
the world in premodern japan	55-44758-S
the world in the large	19-38967-B
the world itself	2-39416-S
the world of business	21-54484-B
the world of chinese opera	9-40381-B
the world of crime	28-11342-S
the world of material desires buddh 	41-53435-B
the world of mortals	1-61781-S
the world of movies	23-59237-B,64-25806-B,64-27542-B,67-30174-B
the world of sport	70-6104-B
the world s first seismograph invented by zhang heng 张衡 in 132	5-63049-B,15-38912-B
the world shall last	15-38443-S
the world with a single brilliant feat 成语 saw	1-23164-S
the world witnessed over 20 years	3-34813-S
the worries of long departed people 成语 saw	32-17116-S,32-17315-S
the worst	32-20229-B,33-11667-S,33-11757-S,33-11847-S,36-8681-S
the worst of it	12-27678-S
the worst sorrow is not as bad as an uncaring heart	13-32621-B
the worthy 成语 saw	30-12092-S
the wounded	6-44807-S
the wrist	28-6100-S,52-38801-S
the wrist in traditional chinese medicine	20-31604-S,20-31707-S
the writer	48-15791-B
the writing system	30-27008-S
the wrong	33-31753-S
the wrong number	26-49957-S
the wrong side	52-18854-B
the wrong time 成语 saw	43-18074-S
the wrong way	61-68100-S
the wrong way round back to front	5-61773-B
the wto	7-23888-S
the wu river in hunan and guangdong	35-47347-B,35-49086-B
the wuchang uprising of 10th october 1911 that led to sun yat sen s xinhai revolution and the fall of the qing dynasty	35-47133-B
the xar murun river in the upper reaches of the liaohe river	18-6031-S
the xia dynasty	18-37228-S
the xia or hsia dynasty c 2000 bc	16-40012-B
the xianbei 鮮卑 鮮卑 nomadic people	27-32223-S,27-32720-S
the xianbei 鮮卑 鲜卑 nomadic people	3-20997-S,19-21091-S,25-46502-S,35-65204-S,47-11055-S
the xiangjiang river in hunan province	39-12190-B
the xiao 箫 mouth organ	13-298-S,13-6199-S,13-6329-S
the xiao 箫 mouth organ virtuoso 萧史 won for his wife the beautiful daughter of duke mu of qin 秦穆公	42-29584-B
the xin dynasty 8 23 ad of wang mang 王莽	30-49864-B
the xinhai rebels	44-61866-S
the xinhai revolution of 1911	10-32958-S
the xinhai revolution of 1911 that ended the qing dynasty	61-32631-B
the yangtze	14-29049-S
the yard	22-14126-S
the year	22-47655-S,22-48279-S,22-48574-S,22-48933-S,22-49286-S,22-50352-S,22-50514-S,31-34166-B,35-50469-S,35-50751-S,35-50808-S,35-51103-S,38-3107-S,49-35454-S
the year 	22-47279-S
the year 1949 communist revolution	1-1265-B
the year 2000	7-43878-B
the year after next	23-68027-B
the year before last	9-19756-B
the year defined as the period between successive equinoxes	14-56572-B
the year defined in terms of the fixed stars	24-67186-B
the year dot	32-2769-S
the year of generations of insects	3-32381-S
the year of one of the 12 animals	21-26938-S
the year round	40-47008-S,65-14347-S
the year s horoscope augurs ill 成语 saw	38-3178-B
the years	32-1451-S,35-50918-S,35-52591-S
the years of	22-50252-S
the years of a person s life	35-50856-B
the years slip away	22-48329-B
the yellow crane tower in wuhan city built in 223	71-25597-B
the yellow earth of china	71-17602-B
the yellow emperor	61-1490-S,71-19697-S
the yellow emperor 黄帝	61-1555-S
the yellow river	2-51979-S,10-31991-S,37-21093-S
the yellow river basin	71-20720-B
the yellow river can t get you clean	60-45420-S
the yellow river 成语 saw	1-72767-S
the yellow sea	9-41284-S
the yellow springs	71-20840-B,71-26321-B
the yellow turbans peasant uprising at the end of later han from 184	71-19079-S,71-19195-B,71-19324-B
the yi gate of 大梁	17-69184-B
the yi nationality	43-54690-S
the yi or lee dynasty 1392 1910	33-3913-S
the yili basin around urumqi in xinjiang	4-50755-B
the yin and yang school of philosophy	66-25745-B
the yingxian wooden pagoda or sakyamuni pagoda near datong in shanxi province	22-59776-B
the yokes	61-31475-S
the yom kippur war of october 1973 between israel and her arab neighbors	60-4870-B
the yongding river to the west of beijing	36-50360-B
the yongjiang river 甬江 through ningbo 宁波	43-36631-B
the yongle great encyclopedia 1408	36-51813-B
the young	20-43733-S
the young pioneers	21-3402-S
the younger generation	19-1179-B,31-45470-B
the youngest	21-23189-B
the yu 竽 free reed mouth organ	13-5998-S
the yu 竽 mouth organ to make up numbers 成语 saw	40-10384-S
the yuan	15-30019-S
the yuan dynasty	6-61498-S,30-43953-S
the yuan or mongol dynasty 1279 1368	6-60747-B,6-60921-B
the zambesi river	50-2762-S
the zhili faction of the northern warlords	45-20507-B
the zhou	66-55268-S
the zhou dynasty from 1027 bc	13-10567-B,13-10905-B,13-13469-B
the zhou family household	13-11506-B
the zodiac	4-18858-S,10-43097-S,17-48344-S,17-52028-S,17-53515-S,17-53685-S,19-56272-S,20-30085-S,20-35330-S,21-32007-S,21-62194-S,29-2280-S,36-44417-S,41-50966-S,42-15900-S,44-44128-S,55-49665-S,64-12676-S,66-65107-S,67-2679-S,70-36200-S
the zodiac in western astronomy and astrology	10-42739-S,71-23658-S
the 成语 saw 蜻蜓點水 蜻蜓点水	71-40140-S
the 籀文 form of chinese character used in metal inscriptions	65-804-B
the 西夏 dynasty	71-45467-S
thea philopator 69 30bc	7-15231-S
thea sinensis	54-8490-B,54-13700-B,55-10220-B
thearchy	46-58247-B
theater	1-47362-S,1-52051-S,5-38299-S,6-62077-S,9-40288-B,9-40718-B,10-13953-S,19-51144-S,20-64507-S,22-26969-S,22-34550-S,23-4310-S,23-59811-S,26-20969-B,26-21816-B,30-7577-S,30-7882-S,31-13333-S,32-5854-S,33-8056-S,34-50845-S,41-2895-S,41-3043-S,41-3120-S,41-3197-S,41-3338-S,41-3481-S,41-3769-S,41-3857-S,41-34425-S,51-53510-S,57-44118-S,60-12979-S,65-23512-S,67-30451-S,68-16177-S,71-39111-S
theater company	9-40616-B
theater in beijing	69-23803-S
theater in former times	28-59799-S
theater of operations	26-17286-S,50-32484-S
theater or concert hall	10-14996-S
theater schedule	35-11426-S
theatre	32-18384-S
theatrical	26-21019-B
theatrical circles	9-40381-B
theatrical device in which a character explains his own role	53-4294-S
theatrical double act	67-182-S
theatrical form	58-7574-S
theatrical form in tang	41-3570-S
theatrical institute	1-52417-S
theatrical or political stage	53-32154-B
theatrical performance	65-40864-S
theatrical performance e g on religious festival	46-47609-B
theatrical program	16-10108-S
theatrical scenes	27-8254-S
theatrical stage	9-23167-S,24-1209-S
theatrical stunts	32-18492-S
theatrical tour	21-51148-B
theatrical troupe	9-40237-B,42-46783-B,42-46933-S,62-37874-B
thebes	22-60563-B
thecodontia primitive dinosaur	48-63296-B
theft	6-23494-B,17-66676-S,45-3882-S
theft auto vice city computer game	5-42415-S,5-42514-S,5-42624-S
their	3-46699-B
their 1930s campaigns against the communists	9-38657-S
their best	4-14809-S,4-14927-S
their course	51-69447-S
their course 成语 saw	4-42308-S
their duties	57-53116-S
their eagerness to 	41-39132-S
their errors	58-43470-S
their errors often imaginary	26-58460-S
their faults	66-47842-S
their food	50-55817-S
their heads	32-32698-S
their heads but keep a queue	9-16235-S
their merits 成语 saw	4-41706-S
their move to yinxu 殷墟 in modern henan province	35-65889-S
their own	34-44394-S
their own business	3-56645-S
their own course	40-56204-S,68-22053-S
their own view	12-29502-S
their own way	29-52527-S
their physical strength mules	41-55347-S
their provinces	33-13968-S
their successful conclusion 成语 saw	9-48649-S
theirs	8-3171-B
theism the belief in the existence of god	32-37586-B
theist believer in one or more deities	32-37675-B
them	3-40866-S,3-49838-S,4-25126-S,8-4474-S,14-14139-S,17-45514-S,26-43949-S,34-861-S,40-63334-S,45-52491-S,58-33016-S
them a rich funeral	55-20465-S
them after a funeral	58-56322-S
them for females	18-25814-B
them germinate	38-27639-S
them grow faster	28-47271-S
them happening again	25-62921-S
them happy esp of one s parents	26-61509-S
them in different town	35-43849-S
theme	3-8395-B,30-18562-S,30-18740-S,36-4800-B,39-46555-S,44-29645-S,71-43146-S
theme for discussion	8-47192-S
theme park	62-37383-B
themeda forsbali	54-27967-B
themes	59-9227-S
themselves	4-25064-B
themselves to the full then party breaks up	6-56311-S
then	1-20861-S,3-8758-B,5-28266-B,8-3624-S,9-16471-B,21-8874-B,22-2077-B,24-11893-S,24-12139-S,26-37150-S,28-27616-B,30-61117-B,30-61117-S,30-63840-S,32-34551-S,35-40964-S,35-41831-B,39-16104-S,40-65860-B,43-65927-S,43-67136-B,43-67403-B,50-42557-B,50-43289-B,51-35262-B,52-2471-B,52-2471-S,53-7334-S,62-5666-S,63-16772-B
then after sth	8-8067-B
then afterwards	40-65930-B
then and now	12-264-B
then and only then	30-63840-S
then bribery	18-45343-S
then cook with sauce and water	41-14374-S
then decline	45-5990-S
then demanding compensation	46-31176-S,46-31423-S
then dress with soy etc	41-14374-S
then forget the trap 成语 saw	24-9528-S
then give up	31-40189-S
then go 成语 saw	27-18423-S
then grow	38-32953-S
then it s too late	21-9927-S
then lie on it	23-35110-S
then on	14-25381-S,15-35859-S
then party breaks up	6-56311-S
then play it	23-35110-S
then ratify	57-28945-S
then rhyme 韻 韵 i e medial consonant and final	68-17534-S
then tailor the suit 成语 saw	64-6912-S
then three times 成语 saw	22-57903-S
then what follows next	62-30296-S
theocracy	46-58178-B
theocratic	46-61145-B
theodolite	49-62193-B
theodor ludwig wiesengrund adorno 1903 1969	42-5731-B
theodor ludwig wiesengrund adorno 狄奧多·阿多諾 狄奥多·阿多诺 1903 1969	66-229-B
theodor name	42-5674-B
theodor of fyodor name	59-46640-B
theodore roosevelt 1858 1919	50-58988-B
theological	46-56634-B
theologist	46-56689-S
theology	46-56634-B
theophrasti	53-64879-S,53-64962-S
theophylline	54-12091-B
theorem	9-30065-S,10-12878-S,15-69285-S,19-15158-S,59-47414-S,69-15967-S,71-27320-S
theorem in calculus	2-50208-S,22-38302-S,50-60554-S
theorem math 	1-73575-S,2-54850-S,3-43938-S,19-46611-B,61-66819-S
theorem of algebra	4-31351-S
theorem of calculus	24-20386-S
theoretical	55-51917-B
theoretical contribution	42-56742-B
theoretical discussion that is worse than useless in practice cf zhao kuo 趙括 赵括 leading an army of 400	49-21294-S
theoretically	42-56608-B
theoretician	42-56677-B
theorist	42-56677-B,66-28084-S
theorize generally	50-30649-S
theory	1-31891-S,4-764-S,4-31194-S,5-8412-S,5-44868-S,6-53147-S,8-52025-S,11-7507-S,11-34473-B,12-31942-S,12-53164-S,13-43080-S,13-48003-S,15-40797-S,15-59655-S,18-23321-S,19-19549-B,19-45427-S,19-46611-S,20-15514-S,23-21648-S,31-6971-S,32-18969-S,34-58072-S,36-18867-S,38-4116-S,38-31043-S,41-24620-S,42-28122-S,42-54738-B,42-56569-B,42-56608-S,46-19354-S,47-50737-S,47-54022-S,49-42787-S,51-11407-S,53-10323-S,53-28431-S,53-44555-S,56-51228-S,57-50426-S,58-31085-S,58-32879-B,58-44001-B,59-52967-S,60-20659-S,61-40953-S,61-41367-S,63-33142-S,64-5656-S,64-5735-S,66-57066-S
theory circulated as true	63-27174-S,63-27630-S
theory cosmology	47-42798-S
theory in ancient chinese astronomy	39-7871-S
theory in daoism and buddhism	42-27653-S
theory math 	4-63782-S,4-63941-S,16-6168-S,30-24131-S,38-54486-S
theory of curves	32-5789-S
theory of evolution	62-29197-S
theory of evolution early translation	17-49991-S
theory of free play in kant s philosophy	62-36895-B
theory of functions of a complex variable	57-6425-S
theory of functions of a real variable	20-15146-S
theory of gravity	23-14457-S
theory of heat math phys 	6-37572-B
theory of reflection in dialectic materialism	11-50311-B
theory of relativity	45-28311-B
theory of seafloor spreading geol 	38-19270-B
theory of surfaces	32-6611-S
theory of wei and jin 玄學 玄学 sect	42-28122-S
theory or argument	71-37621-S
theory or of the glorious chinese past	10-4717-S
theory phys 	16-13563-S
theory that geological change is caused by catastrophic events such as the biblical flood	40-27683-S
theory that geological changes are brought about by catastrophes such as the biblical flood	40-27530-S
theory that the sun is at the center of the universe	31-6971-S
theory usually in compounds such as 日心说 heliocentric theory	58-31085-S
theory 成语 saw	54-54670-S
theostratus bombastus von hohenheim	22-22592-S
therapy	28-30890-S,33-65768-S,33-65768-S,37-25104-B,44-20127-B,44-20242-B,69-3117-S,71-52162-S
theravada	1-49483-B
there	2-27181-S,24-33952-S,32-29640-S,63-16426-B,63-17499-B,63-17573-B
there and back without delay	45-20424-B
there are	32-29282-B
there are no poor soldiers under a good general	23-43572-B
there are plenty of such people	17-21109-B
there are principles behind making money 成语 saw	43-29895-S
there are some who are 	32-36651-B
there can be no construction	2-22002-S
there can never be too much deception in war	8-369-B
there cannot be another one like it	36-16430-B
there cannot be waves 成语 saw	40-64393-S
