fluency	28-14025-B
for beacons	16-7270-S
for beds	22-59016-S
for beginners	38-56770-S,67-21480-B
for behaviour at school	13-33678-S
for being deliberately preposterous	24-64705-S
for belgium 比利時 比利时	36-8397-S
for believing sth	25-55469-S
for belt	42-57850-S
for belts	42-63376-S
for bengal or bangladesh	34-39670-S
for beryllium	64-35263-S
for better or for worse	12-49865-B,43-14967-B
for bicycles	19-8564-S
for binary bits e g 十六位 16 bit or 2 bytes	4-66195-S
for birds and certain animals	66-51818-S
for birds or fish	50-51120-S
for black or african person	71-33888-S
for blemishes	26-59545-S
for blocked or painful urination	65-55862-S
for blowing fire	35-1304-S
for boat	55-45945-S
for bone ashes	70-782-S
for book of changes i ching 易經 易经	13-12219-S
for books	8-7658-S,32-10848-S,32-60330-S,48-4004-S
for boring through rock	40-30563-S,64-20707-S,64-20786-S,65-1962-S
for bottled liquid	16-37900-S
for bread	13-25791-S
for breath	14-6409-S
for bribes knows no bounds 成语 saw	59-39742-S
for broadcast on radio program	71-39458-S
for bronze tripod archeol 	64-23088-S
for buddhist terms	61-50173-S
for building a wall	46-12655-S
for building and sculpting	39-50663-S
for building foundation	15-67901-S
for buildings	22-64087-S
for bulgaria	5-34047-S
for bun	48-3840-S
for bunched objects	14-30609-S,48-35322-S
for bunches	33-11198-S
for burning incense	69-29068-S
for business	65-37754-S
for business etc	65-41699-S
for business term	7-47929-S
for cakes and desserts	33-36745-S
for calicut	47-19620-S
for calligraphy	19-4832-S
for calyx and corolla	53-60652-S
for cambodia from 7th to 15th century	45-44445-S
for canada 加拿大	9-50917-S
for canadian navy vessels	9-56400-S
for candid criticism	70-2903-S
for canned beverages	51-69127-S
for cannons and statues	20-42393-S
for capital of south korea	39-48815-S
for capital requirements	57-58471-S
for cappuccino	26-42445-S
for capturing an outlaw	61-60104-S
for care	26-61662-S
for carrier pigeons	70-56169-S
for carrying baby on back	50-39521-S,57-7637-S,57-9535-S
for carrying dirt	27-70946-S
for carrying earth	55-9898-S
for carrying passengers	61-30993-S
for carrying people	71-13672-S
for carrying sacrificial meats	34-22621-S
for carrying soil	48-39149-S
for cart	64-41997-S
for cases or unpredictable events	60-15659-S
for cash	50-58184-S,50-62628-S
for catching birds	50-51304-S
for catching rabbits	50-51074-S
for cattle	42-927-S
for celebration	53-61050-S
for census or taxation	26-24480-S
for certain foods during pregnancy	19-59053-S
for certain nouns	22-2746-S
for changing currency	59-48329-S
for changing film	31-63029-S
for changjiang	28-44754-S
for chariots	48-24781-S
for charity	25-44938-S,30-25098-S
for chemistry 化学	10-20608-S
for chiefs of xiongnu huns 匈奴	14-16536-S,14-18581-S
for china	46-57011-S,54-31526-S,54-33388-S
for china everbright bank 中国光大银行	7-7805-S
for china south africa	2-51522-S
for chinese academy of sciences cas	2-77130-S
for chinese character based on radical and stroke count	48-14366-S
for chinese characters	14-52949-S,30-63088-S
for chinese characters by numbered strokes	3-52408-S
for chinese characters in a dictionary	35-12699-S
for chinese communist party	2-50554-S
for chinese devised by zhao yuanren in 1926	15-13119-S
for chinese flagstaff	33-32343-S
for chinese landscape painting	26-33489-S
for chinese opera	12-42673-S
for chinese with p for unaspirated pinyin b and p for aspirated pinyin p etc	18-47519-S
for chongqing 重慶 重庆	39-1383-S
for chopsticks	48-45096-S
for city intellectuals	1-48934-S
for civilian use	36-22324-B
for classical chinese rhythmic poetry	22-37286-S
for clearing drains	28-51998-S
for clearing fields	64-3729-S
for clothes suit	60-55088-S
for clothing	56-42267-S
for coffin	35-64430-S
for coins	33-35465-S
for colds	25-39072-S
for collecting the bride	14-9430-S
for colonial term 印度支那半島 印度支那半岛	11-19831-S
for communicating between ships or army units	31-3756-S
for comparison and er than	36-8397-S
for comparison as parallel texts	20-52613-S
for compensation payment and unequal treaty rights	29-45849-S
for completing	10-14586-S,10-14710-S
for compulsory retirement of old cadres	67-8787-S
for computers	2-72436-S
for concentrating a liquid	40-7453-S
for contributions	10-6492-S
for cooked rice	48-35823-S
for cooking	30-35379-S,37-2013-S,41-26752-S
for cormorant	36-45477-S
for corporal punishment	33-29748-S
for correcting a bow	33-40379-S
for correction	27-60134-S
for counting	48-42202-S
for country under a chief	63-36827-S
for covering sth	1-54817-S
for crab meat in general	56-19623-S
for crack	14-39396-S
for crimes or sedition	39-21210-S
for criminal	50-18112-S
for crops	68-57227-S
for cross pieces	35-11306-S
for crossbar of carriage	61-13700-S
for cultivation	21-27836-S,21-27936-S,54-29154-S,65-32032-S,65-32586-S
for customers	27-41944-S,27-42288-S
for daily use	31-10700-S
for daoism in tang and song times	62-50334-S
for days in succession	62-20502-B
for dealing with a situation	20-54437-S
for deceased relative	6-44572-S
for deep frying a possible health hazard	14-58183-S
for defense	55-35308-S
for democracy nld	7-35506-S
for deng xiaoping s four modernizations 四個現代化 四个现代化	14-46833-S
for departed beloved	45-47273-S
for departed souls	21-37066-S
for destruction	3-65946-S
for detecting electric current	69-59199-S
for determining the precession of the equinoxes	55-54847-S
for development	65-39144-S
for devices	8-4561-S
for diaoyu islands	21-6641-S
for digging	65-7665-S
for digital or satellite tv signal etc	35-5961-S
for dimsum	55-2101-S
for directions	13-63200-S
for discussion	8-47192-S,13-60571-S,51-55476-S,58-44138-S,68-42769-S
for disease control cdc	44-7124-S
for disease control us	44-7319-S
for dislike	63-22472-S,66-41788-S
for distribution	26-57989-S,66-58166-S
for divination	11-11771-S
for doing sth	22-52219-S
for door knocker	64-38595-S
for doors or windows	34-52109-S
for dragon s son 成语 saw	69-20564-S
for dragonfly 蜻蜓	55-56844-S
for draining rice	48-43774-S
for dramas	8-33733-S
for drawing right angles	1-42130-S
for drinks glass	33-13274-S
for drugs	27-17104-S
for dry grain equal to one tenth dou 斗	10-52837-S
for dry grain equal to one tenth of sheng 升 or liter	12-31102-S
for drying clothes	48-32847-S
for duty	16-9095-S
for each household	10-16527-S
for each individual	14-59228-S
for each other	45-31851-S
for earth	43-53125-S
for earwax 耵聹 耵聍	51-39149-S
for east asia and pacific affairs	37-55999-S
for east roman empire	54-38671-S
for economic affairs	30-39018-S
for economic cooperation and development oecd	49-58207-S,49-58372-S,49-59618-S
for economics 經濟 经济	49-57573-S
for educated people during the cultural revolution	53-17362-S
for election	8-47584-S
for electric power line	67-34011-S
for elegant hall of artwork	2-19765-S
for email	20-5780-S,20-5780-S,26-64725-S,26-64725-S
for emergency assistance	13-9076-S
for emergency repairs	15-31540-S
for emperor or nobility in former times	15-21780-S
for emphasis	12-10925-S,54-56212-S
for employees	21-15237-S
for employment	11-64002-S,21-10059-S,26-59003-S
for enforcement	68-32210-S
for english	54-4475-S
for english t shirt	25-643-S
for enjoyment	62-33324-S
for entering characters by numbered strokes	3-52529-S
for entertainment	42-37776-S
for environmental protection	43-4734-S
for equal work	12-46701-S
for equinox and solstice	8-57572-S
for error	20-26125-S,43-52896-S
for eskimo 愛斯基摩人 爱斯基摩人	14-61639-S
for eu	35-28573-S
for euclid s elements 幾何原本 几何原本	11-33497-S
for europe	34-35876-S
for europe and america	37-48447-S
for events	4-41175-S,21-19307-S
for events and happenings	16-12860-S
for events or states of short duration	66-20587-S
for events such as sports matches	16-13020-S
for events time	62-66090-S
for everyone	32-34243-S,54-24159-S
for everyone in same institution	17-37662-S
for everything japanese	13-38747-S
for evil deeds	65-31388-S
for example	5-20425-B,36-10287-B,53-26734-B,59-2365-B
for exams	56-58790-S
for excellence	9-35627-S
for excitement	45-39002-S
for existence	5-24336-S
for explosive	20-59181-S
for explosive charge	5-45912-S
for explosives	20-59248-S
for export	8-36674-S,61-17606-S
for external trade	11-67859-S
for extra marital sex	12-7123-S
for extracting water such as a centrifuge	52-33532-S
for extracting wine	63-49042-S
for failures of chinese communists from 1927	21-57879-S
for fallacious argument 成语 saw	23-45295-S
for fame	41-38477-S
for families or businesses	19-60606-S
for famine relief	34-48741-S
for farm output per household	10-16630-S
for farmland	10-17004-S
for fast grilling japanese teppan	65-3311-S
for fastening a door	26-31348-S
for favor	41-38774-S
for favor esp emperor or superior official	58-56662-S
for favor or hospitality	58-55962-S
for favors	2-16653-S
for fear of choking 成语 saw	14-59606-S
for fear of embarassment 成语 saw	46-43048-S
for fear of offending sb	46-43440-S
for fear that	43-20252-B
for feelings such as anger	4-33981-S
for females	18-25814-S
for ferret	42-15235-S
for fields	43-53921-S
for fighting prowess	18-45581-S
for film and fiber	63-47356-S
for fine doctor cf dr dong feng 董奉	33-6563-S
for finger	43-4474-S
for first prize	18-17614-S
for fishing or birdcatching	50-8972-S
for fishing rod	48-42151-S
for fitness	6-19021-S
for fives and sixes when gambling with dice	12-30721-S
for flat objects	23-37289-S
for flat surfaces such as drums	68-891-S
for flat things	11-29389-S
for flight	42-47101-S
for flowers	12-44003-S,32-70164-S
for food	3-21355-S,14-26362-S,28-5694-S,44-37218-S,50-55243-S,57-34171-S,57-62473-S,57-63378-S,57-63777-S
for food at sacrifice	5-32698-S
for food dish	45-10338-S
for food or grain used in a prc economic program c 1955 1993	49-211-S
for food or money	57-28106-S
for food program	46-7903-S
for foot binding	57-3618-S
for foreign and commonwealth affairs	16-42439-S
for foreign leaders	63-36709-S
for forgiveness	57-63833-S
for formalities	27-39020-S
for france	37-29208-S
for free	8-53913-S
for freedom of thought awarded by eu since 1988	55-23734-S
for fruits	48-44796-S
for fu xi 伏羲	22-61312-S
for fugitives	62-38-S
for fujian 福建 province	47-2688-S,65-48676-S
for future	25-56738-S
for future reference	6-28890-B
for ga	4-63091-S
for games match	21-16456-S
for games or a conference	33-24529-S
for games using balls	42-52090-S
for gansu 甘肅 甘肃 province	43-13149-S,66-51002-S
for garters	69-3430-S
for gas and electricity supply	16-54375-S
for generations	2-38615-S
for generous donation	10-62560-S
for generous gift	10-62653-S
for getting married	62-64926-S
for gifts	4-44561-S
for glamor model in bikini	60-1079-S
for global development an environmental think tank	7-39469-S
for go chinese board game	23-24625-S
for go 圍棋 围棋 or chinese chess 象棋 etc	34-19699-S
for goblets	15-53921-S
for god	51-40453-S
for going through a pass	34-23476-S
for good business	43-29895-S
for good cause	51-14331-S
for good meat	51-1168-S
for good treatment	25-43426-S
for goodness sake	17-45068-B
for goods	19-44282-S,59-37579-S,59-37729-S
for goods or passengers	34-23271-S
for grain	14-62719-S
for grain equal to five dou 五斗 before tang	30-35771-S
for grain equal to ten dou 斗	46-3657-S
for grain equal to ten sheng 升 or one tenth dan 石	30-33642-S
for grain offerings	43-3352-S
for grating vegetables	46-43678-S,46-43769-S
for grievances	8-15304-S
for grinding with pestle	46-15089-S
for groups	42-46221-S
for growth inside wood	23-54755-S
for guangdong 廣東 广东 province in south china	48-51751-S
for guangxi autonomous region in south china 廣西壯族自治區 广西壮族自治区	34-1595-S
for guangzhou canton 广州	47-41043-S
for guidance	4-40356-S
for guiyang 貴陽 贵阳	48-20174-S
for guizhou province 貴陽 贵州	71-34585-S
for guns or machinery	27-71150-S
for gunshots	44-25775-S
for hanging bells	48-39575-S
for hanging criminals	49-48713-S
for hanging objects	12-43279-S
for happy event	14-8065-S
for hard and concentrated effort	19-8967-S
for hat	49-21225-S
for hats	68-19696-S
for hebei 河北 province	8-7114-S
for hegemony	41-40193-S
for heightened effect	5-60748-S,5-60873-S
for heilongjiang 黑龍江 黑龙江 province in northeast china	71-28837-S
for help	36-53563-S,36-54241-S
for help or protection	27-948-S
for hemorrhagic fever with renal syndrome or cardiopulmonary syndrome	39-48183-S,39-48628-S
for henan 河南 province in central china	59-25303-S
for higher pay	70-15112-S
for him	19-38409-S
for himself	18-30194-S
for his lost wife	71-48348-S
for his past misdeeds	2-1605-S
for his prognostication	45-27646-S
for his property 成语 saw	58-51814-S
for his wife the beautiful daughter of duke mu of qin 秦穆公	42-29584-S
for history of the five dynasties between tang and song 舊五代史 旧五代史	34-9151-S
for holding wine	43-12831-S
for holes	57-43639-S
for homophone 癮君子 瘾君子	66-46711-S
for homosexuality	30-60489-S
for honing knives	46-38528-S,49-31991-S
for hormuz	24-51372-S
for horses	10-39948-S,15-1516-S,35-17162-S,69-47497-S
for houses	22-34925-S,26-27570-S
for houses or buildings	34-22678-S
for housing	8-50530-S
for huangyan island	30-39204-S
for hubei 湖北 province in central china	63-28290-S
for human rights	4-11348-S,55-23607-S,55-23934-S
for humming	14-24243-S
for hunan 湖南 province in south central china	39-11749-S
for hydrogen	71-3053-S
for ice	44-3754-S
for ili kazakh autonomous prefecture 伊犁哈薩克自治州 伊犁哈萨克自治州	4-50395-S
for ill	62-56270-S
for imaginary fears	23-3448-S
for imperial examinations in former times	43-19747-S
for inanimate objects	19-20163-S
for included in	5-16838-S
for india	11-17657-S
for infants before toilet training	65-41607-S
for influence or pressure	24-2766-S
for inner mongolia autonomous region 內蒙古自治區 内蒙古自治区	7-31641-S
for inscription	46-9457-S
for insertion	71-50956-S
for inspecting rail track	60-61450-S
for instance	5-20425-B,5-20489-B,36-10287-B,59-2365-B
for instructions	58-43127-S
for integrated circuit	31-55824-S
for intelligence purposes	28-4811-S
for international settlements	15-17939-S
for interrogation	6-39524-S
for investigation	20-39445-S
for iraq or iran	4-47399-S
for irrigation	15-57544-S,26-25829-S
for israel	4-35588-S
for issue of a periodical	32-50939-S
for it	5-2623-S,30-6343-S,53-6707-S,58-62485-S
for italy 意大利	25-28184-S
for items	71-37621-S
for its kungfu monks	21-4585-S
for its pollution	64-15499-S
for its profit and losses of organization	45-2340-S,53-14422-S
for its quality	24-30224-S
for its scenery or historical relics	12-54448-S
for its university	70-40841-S
for itself	32-36896-S,32-37053-S
for japan	31-5051-S
for japanese	33-20448-S,33-20543-S
for jay	70-53298-S
for jiangxi 江西 province	60-5137-S
for jiao 角	36-13155-S
for jilin 吉林 province in northeast china	12-38586-S
for job placement	42-25045-S
for joint	65-10993-S,65-11063-S
for joy	14-9382-S,26-35712-S,66-52511-S
for judging truth item from deng xiaoping theory	20-15514-S
for justice	43-42758-S
for justice 成语 saw	4-26114-S,4-26250-S
for kaohsiung 高雄 in southern taiwan	26-46649-S
for kazakhstan	13-36400-S
for kneeling	60-40841-S
for knowledge	36-54290-S,36-54359-S
for konghou 箜篌 harp or 笙簧 sheng	48-24935-S
for korea	32-49908-S
for kurdish worker s party	22-66276-S
for lack of a final effort	9-50432-S
for ladies toilet	10-24300-S
for ladybug	53-55162-S
for lamp or fish	64-20389-S
for lamps	45-6830-S
for language	58-25488-S
for language study	62-36480-S
for language teaching purposes	58-9530-S
for large guns	65-21183-S
for later	43-49603-S
for law or discipline 成语 saw	45-17733-S
for layers	21-24724-S
for leave	6-8583-S
for lebanon	71-26541-S
for lessons	65-21183-S
for letters and documents	32-11403-S
for liaoning 遼寧 辽宁 province in northeast china	63-4262-S
for license	43-44705-S
for life	9-36214-S
for life 成语 saw	45-26532-S
for lifting weight	10-49432-S
for lighting fire	40-21747-S
for liquid	41-18969-S,45-205-S
for liquid or gas	59-41394-S
for liquor	63-40955-S
for literary or artistic work	39-61753-S,39-62029-S
for literature	58-49970-S
for livestock	6-28803-S,43-53500-S
for loads of laundry	50-48321-S
for local operas in shangxi	34-12764-S
for locations or items of damage spot	55-48777-S
for locking up prisoners	45-9294-S
for lodging	5-65434-S
for long objects such as guns	34-8756-S
for long slender objects	33-63839-S
for long thin stretches	62-49380-S
for long thin things ribbon	34-13801-S
for longevity	16-39693-S
for looking after me	26-61662-S,58-42620-S
for loops or orbits	15-1310-S
for loss of blood esp after childbirth	56-25196-S
for love	25-14834-S,35-60477-S
for luck and sacrifice to avoid disasters i e traditional superstitions	46-51920-S
for luxembourg 盧森堡 卢森堡	45-12808-S
for língqú 靈渠 灵渠 canal in xing an county 興安 兴安	53-24114-S
for macao 澳門 澳门	40-2536-S
for mail	6-36841-S
for major returns	29-53078-S
for making bean curd	30-70288-S
for making cake	48-59395-S
for making goblets	43-8500-S
for malaysia 馬來西亞 马来西亚	69-31357-S
for mandalay 曼德勒	43-10656-S
for maneuver	43-52896-S,62-31596-S,62-32566-S
for many fishing birds	70-39097-S
for many pre qin scripts	17-30240-S
for many years	66-27523-S,66-28901-S
for many years in the past	16-57076-B
for marking time	33-31575-S
for massachusetts	71-14517-S
for mastery	1-13600-S,8-56456-S,41-39368-S
for mastery 成语 saw	9-46939-S
for materials	19-47949-S
for mathematics	54-37653-S
for me	57-29958-S
for meals	68-32433-S
for measuring liquid	28-36446-S
for measuring pulse in chinese medicine	21-11555-S
for meat	54-29884-S
for mediation	17-63406-S
for medical test	27-15955-S,27-47364-S
for medical treatment	5-35037-S
for medicine	53-62494-S
for men in ancient clothes	68-37267-S
for men namely piety 孝 to one s parents	14-50091-S
for men or in hong kong women s qipao	65-19377-S
for men with families	45-46863-S
for mending pottery	64-36365-S
for mercy	57-63833-S
for metal smelting furnace	36-39457-S
for mexico	16-28262-S
for middleman	6-32378-S
for military parades	35-37617-S
for military service	8-1868-S,16-37226-S,24-22725-S
for military uniforms etc	9-11549-S
for military use	61-394-B
for modern kashgar	44-1598-S
for monastic vows e g altar	26-13562-S
for money	8-65300-S,14-44321-S,27-47877-S,27-47953-S,50-58184-S,58-51814-S
for mother s milk	36-3457-S
for movies	41-43965-S
for mt hua	37-48351-S
for mt tai 泰山 in shandong as principal or ancestor of the five sacred mountains 五嶽 五岳	21-37066-S
for music recording	54-57371-S
for musical instruments	34-15512-S
for mutual benefit	66-57782-S
for my sake i e to save my face	55-20268-S
for names of books etc	32-10258-S
for nanjing	23-21524-S,64-17051-S
for nanjing 南京	23-21088-S
for national people s congress npc	7-34938-S
for nationalities	2-67005-S
for nationalities university of ethnic studies	36-21238-S
for negotiation	51-55531-S
for new building projects	38-60738-S
for new initiatives	63-59343-S
for new legislation	44-42701-S
for new project	38-60661-S
for news story	34-43611-S
for ngawa tibetan and qiang autonomous prefecture in north sichuan	65-70212-S
for ning er hani and yi autonomous county 寧洱哈尼族彝族自治縣 宁洱哈尼族彝族自治县	20-18553-S,20-18885-S
for ningpo	43-36631-S
for no pay	46-64225-S
for no reason	40-58973-B
for no reason at all	40-58919-B
for noble character	53-51283-S
for noises	68-18669-S
for nomadic people	10-19865-S
for non han people	46-1835-S
for non han peoples in former times	56-23009-S
for northern peoples	59-27395-S
for notebook computer	27-57850-S,57-54634-S
for nothing	2-22668-S,41-11986-S,44-42584-B,47-48966-B,47-56251-S,52-51463-S
for nothing or queer character	20-30676-S
for nouns	68-36138-S
for now	31-64761-B
for nuclear research cern	35-29503-S
for number of people participating	4-11455-S
for number of some languages and actions cannot be followed by a noun	16-12860-S
for obedience 成语 saw	25-4160-S
for objects with handle	26-65079-S
for office	48-1723-S
for official	19-42444-S
for oil	65-8660-S
for old man	51-25207-S
for old woman or man	51-25052-S
for older male	51-25129-S
for older man	4-59003-S,17-27250-S
for olympic games 奧林匹克 奥林匹克	18-12639-S
for one	2-21414-S
for one another	4-20799-S
for one month after childbirth	15-51262-S
for one or two students	27-58382-S
for one s actions	33-35933-S
for one s chance	4-62033-S
for one s child to succeed in life	32-45750-S
for one s country	24-46639-S,35-59780-S,35-60419-S
for one s defense	29-24997-S
for one s earlier loss	29-39887-S
for one s elders	5-23637-S
for one s hard earned savings e g after a company collapse	56-25487-S
for one s life	35-56175-S,61-64679-S
for one s limited abilities	48-7938-S
for one s offspring	32-45750-S
for one s own	29-24445-S
for one s own benefit	27-26553-S,68-25473-S,68-25632-S
for one s own good	51-64742-S
for one s own profit 成语 saw	23-65428-S
for one s own use	6-622-S
for one s personal benefit 成语 saw	28-52200-S
for one s relatives	24-56217-S
for one s talents	11-63294-S
for one s weak points 成语 saw from mencius	11-59061-S
for one s whole life	32-36521-B
for one thousand in gold 成语 saw	10-52099-S
for oneself	10-7207-S,21-18317-S,53-0-S,53-214-S,53-4887-S,53-10035-S,70-10711-S
for oneself and act accordingly 成语 saw	53-295-S
for oneself and suffer the consequence	53-796-S
for oneself is better than hearing from many others	44-55966-S
for oneself when not ill	40-57763-S
for oneself 成语 saw	2-13082-S
for open discussion	53-4184-S
for organizations such as médecins sans frontières	40-48729-S
for osaka 大阪 city in japan	17-11670-S
for others feelings	49-46885-S
for others to look at	6-39396-S
for our bodies to function aristotle 	43-18976-S
for our dear ones at each festive day tang poet wang wei s 王維 王维 remembering his brother	36-6518-S
for our newspaper	32-62606-S
for painting or calligraphy	34-14091-S
for painting the eyebrow	71-37341-S
for paints	66-63249-S
for pairs	9-31594-S
for palestine	22-2746-S
for panels	26-31022-S
for passage of royalty or vip	38-64995-S
for patronizing my humble establishment	7-14082-S
for payment of debts	62-34113-S
for pearl milk tea 珍珠奶茶	42-43062-S
for pearls	28-21697-S
for people	4-66195-S,12-53008-S,30-61708-S
for people or objects in general	5-52353-S
for people s suffering	23-26799-S
for people who attend after work lit spare time college	34-33513-S
for peoples or states of south china or south asia at different historical periods	60-25322-S
for personal gain	38-54113-S,39-7964-S,57-55397-S,65-8433-S,65-9643-S,68-24662-S
for personal interest 成语 saw	49-45059-S
for personal revenge 成语 saw	19-40931-S
for perusal	6-42609-S
for philippines	54-36832-S
for phonetically related characters	62-7816-S,62-7946-S
for photography	65-24789-S
for phrases or lines of verse	12-5649-S
for physical exercise	8-39893-S
for physics 物理	41-52685-S
for pieces of cloth	16-14150-S
for pigs or livestock	68-35986-S
for pity	3-21220-S
for place or person	24-40583-S
for plane at airport	6-16414-S
for planes	33-39414-S
for planting	43-50890-S
for planting cabbage	35-38196-S
for plants	53-50025-S
for play	9-40508-S
for playing	42-40549-S
for plays or chapters of classical novels	71-56194-S
for plowing and sowing	6-29433-S
for poles	48-34223-S
for political staff	29-57463-S
for popular in sichuan and yunnan	53-58335-S
for possible future use	6-29318-S
for post horses	69-64295-S
for practical applications	19-16686-S
for practical use	20-14038-S
for precious metals	38-42663-S
for primes	48-22257-S
for principal player	32-18183-S
for printing	9-14708-S,9-14853-S,65-9762-S,65-37687-S
for privacy	41-7001-S
for private interests 成语 saw	6-6513-S
for private tutor	33-12299-S
for produced no results	32-58297-S
for profit	41-30809-B,67-66870-S,67-67917-S
for project	32-20601-S
for promoting democracy	2-60155-S
for promotion	28-39306-S
for pronouns	13-41132-S
for pronouns and a small number of animate nouns	5-54849-S
for prosperity of the country	18-18492-S
for province or provincial governor	29-13652-S
for public interest	2-62797-S
for public transportation	20-61157-S
for public use	7-61985-B
for publication	9-8443-S
for puncture repair	56-59056-S
for punishment	27-55557-S,33-39813-S
for punting boats	48-32682-S
for purchase	43-44416-S,44-32235-S
for purpose	12-36013-S
for purpose of marriage	20-56064-S
for qinghai province 青海	67-53725-S
for quality	9-36836-S
for quality 成语 saw	48-49824-S
for questioning	27-38198-S
for quick results 成语 saw	24-59123-S
for railway track	33-32623-S
for rain	67-15331-S
for ransom	49-55868-S
for rats 成语 saw	50-58184-S,50-62628-S
for reading aloud	1-47086-S
for recitation and singing often on buddhist themes	59-9227-S
for refugees unhcr	51-59570-S
for regional cooperation	10-66013-S
for reimbursement	16-10005-S,16-12506-S
for relations across the taiwan straits arats	38-18430-S
for relaying dispatches	69-46294-S
for removing earth	34-15726-S
for repayment	62-61350-S
for repeated actions time	43-56906-S
for reporting statistics	16-12063-S
for reputation	62-56008-S
for residential buildings	14-17228-S
for result	24-59123-S
for resuming a dialog with taiwan	36-57755-S
for revealing goblins	41-7089-S
for revenge	4-21852-S,47-14532-S
for rice	34-785-S
for righteousness 成语 saw	28-6998-S
for ritual use in the shape of people or animals	49-21579-S,49-23410-S
for road traffic	47-60282-S
for roasting	24-19980-S
for rocket or projectile	44-28154-S
for rods such as pens and guns	29-37208-S
for roof beams and trusses	34-36879-S
for rooms	65-43568-S
for rope or sacks	71-25761-S
for rotation	54-9676-S
for rows or strings	3-1164-S
for ruler	51-49238-S
for rules	40-32865-S
for sacrifice	18-11708-S,34-15047-S,41-28234-S
for sacrifices	16-28183-S
for safe keeping	20-32862-S
for sakyamuni 釋迦牟尼佛 释迦牟尼佛	63-52880-S
for sale	8-37035-S,9-24401-S,34-51403-S,59-38670-S
for sale 成语 saw	69-15072-S
for sb	4-30836-S,4-32955-S,20-46030-S,25-26046-S,26-40554-S,26-65909-S,28-6319-S,28-24729-S,32-17735-S,32-18116-S,33-640-S,43-52514-S,43-52724-S,47-45631-S,49-49050-S,55-50775-S,55-54020-S,59-13886-S,59-45252-S
for sb else	4-30652-S,4-33720-S,6-774-S,32-18384-S,34-44394-S,58-31878-S
for sb else s benefit	16-33392-S
for sb else s faults	32-17639-S
for sb else s misdemeanors	16-24591-S
for sb else to pass off as their own	34-44394-S
for sb or sth	25-41205-S,48-47599-S
for sb promising employment	23-18543-S
for sb s achievement	63-8359-S
for scabies	44-17734-S
for science and arts	37-3370-S
for sealed objects	20-32299-S
for sections of a tv series etc episode	66-56500-S
for security and cooperation in europe ocse	35-29011-S
for security and cooperation in europe osce	35-29175-S
for security hong kong	5-35893-S
for seed dispersal	33-36583-S
for segments	48-28185-S
for seniors	37-8569-S
for sericulture	61-41166-S
for service	59-57436-S
for several days running	62-22438-B
for sewage processing	47-42329-S
for sex	53-45689-S,59-39608-S
for sexual intercourse	56-32501-S
for shaanxi province 陕西	47-23339-S
for shaanxi 陝西 陕西 province	66-19306-S
for shady business	31-3456-S
for shandong culture	71-54248-S
for shandong often in connection with confucius	70-40330-S
for shandong 山東 山东 province in east china	70-39769-S
for shaping metal	64-34620-S
for shares	20-47267-S
for sheep or cattle	34-22982-S
for shelter	60-36152-S
for shenyang 瀋陽 沈阳 in modern liaoning province	18-3414-S
for shipping	66-59360-S
for ships	53-39361-S
for shirts	22-63212-S
for short time intervals	9-14180-S
for shortage and leakage	56-58698-S,56-60108-S
for show	29-30165-S,30-18740-S,56-47463-S,71-41721-S
for show only	69-4893-S
for sichote alin mountain range in russia s primorsky krai around vladivostok	51-29349-S
for sichuan 四川 province in southwest china	21-49953-S,56-1999-S
for signaling	56-14928-S
for silk worm	55-11630-S
for silkworms	48-35322-S
for singapore 新加坡 and malaysia 馬來西亞 马来西亚	30-58256-S
for singing	32-4484-S
for singing cicada	56-16671-S
for sins of a previous incarnation	34-33207-S
for sitting	48-22924-S
for slave labor	71-32093-S
for sleeping and conveyance	61-31120-S
for small indeterminate quantities	71-37621-S
for small round things peas	48-47933-S
for small spheres	68-42574-S
for smells	52-9678-S
for smelting metal	8-20444-S
for smelting metals	71-48923-S
for smuggled goods	50-18232-S
for social drinking	51-56107-S
for society	46-48518-S
for soldier on leave for the melon picking season	43-8664-S
for soldiers	8-2959-S
for some project	24-38802-S
for some purpose	63-764-S
for some reason	46-43225-S
for something	70-9900-S
for sound of arrows	70-4306-S
for sound of bell	1-25915-S
for sound of bell arch 	65-6086-S
for sounds	51-65159-S
for soup	64-24944-S
for south chinese	56-23089-S
for south indian people and languages	62-55036-S
for soviet union 蘇維埃 苏维埃 or 蘇聯 苏联	55-37341-S
for sowing grain	51-38981-S
for specialists in some activity such as musician or revolutionary	19-60606-S
for specific task	20-37740-S
for speculation	14-62792-S
for spinach	55-21230-S
for square things	30-61117-S
for sri lanka	34-31323-S,34-31387-S
for stage performance	20-47961-S
for stalls	48-39230-S
for standard deviation in statistics	57-18644-S
for standardization	15-17176-S
