to bet	26-48937-B
to check	9-10827-B,9-11388-B,9-11636-B,11-12642-B,20-52613-B,27-61646-B,29-43304-B,33-45415-B,33-46049-B,33-46819-B,33-52641-B,33-53995-B,35-12547-B,35-13564-B,35-14674-B,38-66219-B,45-10338-B,51-32161-B,57-29168-B,65-64552-B,69-57743-B,69-58892-B
to check accounts	60-60767-B
to check an amount	71-41986-B
to check and correct	51-34145-B
to check and make clear	69-58519-B
to check and ratify	57-29018-B
to check and research	51-33894-B
to check and restrict	35-13257-B
to check and review	20-23229-B
to check and revise	20-21584-B
to check bad habits	9-26648-B
to check figures	57-29219-B
to check i e to stop sb s advance	62-49022-B
to check items	71-42040-B
to check numbers	71-39850-B
to check on receipt	69-58326-B
to check one s step	30-24823-B
to check out of a hotel	49-39890-B
to check sth and accept it	71-39788-B
to check tickets	69-58724-B
to check up on	51-34039-B
to check up on sb s achievements	51-33974-B
to checker	26-45838-B
to cheep	12-69039-B
to cheer	14-10311-B
to cheer on originally esp as paid stooge	28-6319-B
to cheer sb on	9-57004-B
to cherish	13-16164-B,24-33353-B,25-34941-B,25-64220-B,26-779-B,47-28260-B,52-24706-B
to cherish a viper in one s bosom	69-11675-B,69-11878-B
to cherish ambition	57-10692-B
to cherish memory of past event	26-84-B
to cherish one s unrecognized talents 成语 saw	26-590-B
to cherish the memory of	26-430-B
to cherish the memory of sb	24-55301-B
to cherish the outmoded and preserve the outworn	27-13396-B
to chew	13-28881-B,14-34029-B,14-43628-B,14-43659-B
to chew sth over	28-34613-B
to chew the fat	5-16564-B,46-12820-B
to chiang kai shek s coup of 12th april 1927 against the communists in shanghai	14-45479-S
to chiang kai shek 蔣介石 蒋介石	55-12202-S
to children	25-45255-S
to children as new year present	16-33225-S
to chime in rapidly	24-57906-B
to china	5-19026-S,15-36270-S,21-6998-S,35-34776-S,39-49084-S
to china e g hong kong	14-56479-S
to china in ww1	10-65017-S
to china unicom or unicom	2-62662-S,51-63154-S
to chinese rule in hong kong or macao	45-25002-S
to chinese sovereignty	14-56359-S
to choke	6-64518-B,9-67127-B,14-23625-B,25-54240-B,41-14374-B
to choke in crying	13-30904-B
to choose	11-57709-B,11-58327-B,28-20658-B,28-32808-B,28-34920-B,29-18712-B,41-54542-B,53-26363-B,58-8313-B,62-68067-B,62-69936-B,62-70340-B
to choose a capital by divination	11-11171-B
to choose a home	11-11171-B,11-11298-B
to choose a path to certain destruction	69-0-S
to choose arbitrarily	4-44163-B
to choose between the two	10-58336-S
to choose by public appraisal	58-6946-B
to choose fame over fortune	62-56008-B
to choose for some purpose	63-764-B
to choose one s burial place by divination	11-11171-B
to choose sth over another to suit one s own convenience	18-59130-B,27-66056-B
to choose sth that costs nothing	44-39243-B
to choose the right course and follow it 成语 saw	29-18794-B
to choose which buddha to burn incense to 成语 saw	28-34984-B
to chop	8-62206-B,8-67732-B,9-16949-S,9-40759-B,46-12739-B
to chop and change	28-13177-B
to chop down tree	46-12956-B
to chop off	46-12910-B
to chop straw fine for animals	54-23186-B
to chop the nail and slice iron 成语 saw	30-38655-B
to chop wood	46-12956-B
to chorus	12-32562-B
to christen	60-16282-B
to churn	51-23880-B
to churn out large quantities without regard for quality 成语 saw	48-49824-B
to churn to make butter	26-42445-B
to circle	14-54252-B,15-21267-B,30-70230-B,45-11086-B
to circle about	61-20725-B
to circular telegram	62-15552-B
to circulate	6-33187-B,6-37435-B,38-1681-B,38-2002-B,38-3037-B,38-3622-B,38-6819-B
to circulate a protest or call to arms	6-37346-B
to circulate copies	6-36363-B
to circumcise	9-33992-B
to circumstances	58-62673-S,59-11976-S
to cite	23-28784-B,23-30878-B,53-26363-B,57-9591-B
to cite as evidence	23-30878-B
to city migrant without definite prospects	45-19900-S
to civilian life	57-51326-S,57-51402-S
to civilian work	61-25107-S
to civilize	65-30761-B
to claim	16-5363-B,51-66436-B
to claim as one s property	58-22621-B
to claim credit for oneself	21-18317-B
to claim ownership of stolen goods	58-6405-B
to claim personal credit for achievement 成语 saw	9-48900-S
to claim to be often exaggeratedly or falsely	55-55525-B
to clamber	29-31872-B
to clamor	14-11188-B
to clamp	17-70511-B,27-31350-B,48-25064-B,64-23491-B
to clan together	66-59032-B
to clap	27-29107-B
to clap hands	27-27106-B
to clap with only one hand	19-13127-S
to clarify	23-24061-B,39-65307-B,39-65717-B,61-35797-B
to clarify doubts	48-20971-B
to clarify the facts	64-7204-B
to clasp hands	12-34451-B,29-22182-B
to clasp the buddha s feet when danger arises 成语 saw	52-57896-S
to clasp the buddha s feet without ever having burned incense 成语 saw	27-12591-S
to classify as	35-53472-B
to clean	26-44876-B,29-25752-B,38-62937-B,40-4174-B
to clean muck from a cowshed	8-37239-B
to clean out	38-41877-B
to clean the street	38-64995-B
to clean up	55-15829-B
to clean with a brush	28-11251-B
to cleanse	37-21703-B,38-41877-B,39-57275-B,40-10963-B
to clear	38-58897-B,46-54542-B
to clear a drain with a pump	28-51748-B
to clear a firebreak by setting a counter fire	61-45652-B
to clear a wild area for cultivation	65-32586-B
to clear accounts	38-64171-B
to clear away obstruction	44-1400-B
to clear land for cultivation	65-32032-B
to clear streets when emperor tours	60-50181-B
to clear the road i e get rid of people for passage of royalty or vip	38-64995-B
to clear the way	44-1787-B,65-42896-B
to clear up	27-53898-B
to clear up confusion	57-48935-B
to clear up difficulties	63-53490-B
to clear up later	61-44878-S
to clear up misunderstanding	38-32869-B
to clear up of weather	65-44132-B
to clear waste land or forest by burning	41-27599-B
to clearly understand	37-57736-B
to clench one s teeth	13-29102-B
to clergy	8-29202-S
to click a web page button	71-39574-B
to click on a link on webpage	71-39680-B
to click one s tongue	14-30023-B,14-30149-B
to clients	7-14082-S
to climb	1-45053-B,29-31872-B,41-37399-B
to climb a mountain	44-23682-B,44-23819-B
to climb a slope	1-47914-B
to climb of climbing plants	29-32105-B
to climb over	29-32010-B,44-23423-B,60-25465-B
to climb up	29-31467-B
to clinch	46-33291-B
to clinch the point	43-59492-S,71-41034-S
to cling on to	29-32105-B
to cling to	27-38371-B,59-39339-B
to cling to a belief	27-12883-B
to cling to the high	29-32379-S
to cling to the powerful and rich 成语 saw	29-32260-B
to cling to the rich and powerful 成语 saw	17-3593-B
to clip	11-12694-B
to clog	65-64035-B,65-65064-B
to clog up	65-64949-B
to close	12-34612-B,26-16066-B,49-41844-B,50-16079-B,65-27258-B,65-27310-B,65-27555-B,65-53366-B,65-57595-B
to close a country	64-52371-B
to close a country to exclude foreign contact	65-29378-B
to close a facility	65-55008-B
to close a tomb	20-32671-S
to close an account	49-43242-B
to close down	5-61933-B,6-16350-B,35-25037-B
to close in on	62-33566-B
to close of school	6-17276-B
to close or seal up	20-34200-B
to close shop in the evening	26-46530-B
to close the door also fig 	33-10292-B
to close the passes	65-29095-B
to close the passes and seal off the country	65-29378-B
to close up	20-32606-B
to close up a package with a seal	10-14185-B
to close up and heal	23-50902-S
to clown around	62-4141-B
to club together to offer a gift	8-34882-B
to cluck one s tongue	13-20834-B
to cluck one s tongue in wonder	13-20994-B
to cluster	66-58475-B
to clutch	28-2182-B,28-14912-B,28-48228-B
to coach	4-43396-B,27-58003-B,61-8995-B
to coagulate	8-28005-B,56-23923-B
to coalesce	47-40237-B
to cobble	68-5667-B
to coddle	18-61279-B
to coerce	9-62410-B,9-68093-B,18-48782-B,28-1565-B,61-52499-B
to coerce sb into doing sth bad	23-30737-B
to coexist	5-11900-B,7-71577-B,67-4478-B
to cohabit esp to live as man and wife	12-47769-B
to cohere	27-50905-B,71-28289-B
to coil	28-321-B,50-45316-B,56-5679-B,56-17165-B
to coil around	50-45888-B
to coil around sth	45-11848-B
to coin money	65-5813-B
to coincide	2-24294-S,20-55111-B,48-5931-B
to cold	51-36233-S
to cold shoulder	8-22947-B
to cold shoulder sb	8-23530-B
to collaborate	12-31779-B,32-23335-B
to collaborate towards a common end	13-1745-B
to collaborate towards a common goal	12-51323-S
to collaborate with	10-12793-B
to collapse	5-54933-B,5-55181-B,6-46034-B,6-49091-B,6-49514-B,6-49591-B,11-22956-S,14-31103-B,15-30616-B,16-15076-B,21-44992-B,37-12992-S,39-64327-S,43-11775-B,51-21137-B,57-53470-B
to collapse and lie flat	5-55241-S
to collapse of army	39-64195-B
to collapse of building	5-55804-B,5-57799-B,15-57252-B
to collapse of plan	46-17357-B
to collate	10-2961-B
to collate data	30-16007-B
to collect	10-6492-B,10-6755-B,10-38330-B,23-53300-B,24-23832-B,28-11790-B,28-20658-B,28-22795-B,28-56903-B,28-64907-B,29-17335-B,29-35568-B,29-39787-B,29-42455-B,29-43150-B,30-24726-B,50-55293-B,51-55058-B,54-61218-B,55-30430-B,66-56500-B,66-58860-B
to collect all the bits to make a whole	39-9784-B
to collect alms buddh 	10-6570-B
to collect and organize papers etc	23-52911-B
to collect data	10-39159-B,23-53228-B
to collect donations	28-3609-B
to collect for distribution	66-58166-B
to collect money	30-25098-B,48-42445-B
to collect overdue payment	57-63636-B
to collect scrap material	27-54589-B
to collect scraps	27-54179-B
to collect statistics	49-53274-S
to collect talent	29-42299-B
to collide	20-50580-B,37-12703-B,46-30927-B,56-39363-B
to collide with	45-29223-B
to collude	3-1294-B,3-1584-B,4-56929-B
to collude in dishonesty	62-21921-B
to collude with	10-12793-B
to color by smoke	41-1387-B
to comb	26-59976-B,48-34272-B
to combine	2-46462-B,12-35535-B,49-40284-B,50-11109-B,51-58023-B,56-10377-B,64-32276-B
to combine as one	56-10472-B
to combine parts of machine	63-37495-B
to come	5-16905-B,5-17227-B,24-12444-B,33-64800-B,63-8322-S
to come a cropper	54-50875-B
to come about	43-32422-B
to come across	45-31546-B,45-31685-B,46-30638-B,62-35699-B
to come after shakyamuni buddha	23-50577-S,23-50710-S
to come again	8-9764-B
to come and go	5-17800-B,62-45148-B
to come and see	5-18624-B
to come and when to leave	62-31481-S
to come apart	52-33895-B
to come ashore used of typhoon	44-25246-B
to come back	24-14721-B
to come back after a defeat	11-49630-B
to come by	1-76382-S,23-23627-B,67-12110-S
to come clean	15-53006-B
to come down	1-58436-B,66-16685-B
to come first in the imperial examinations	69-23592-B
to come from	8-44373-B,60-17254-B
to come from a place	5-18947-B
to come in	62-28385-B,62-28796-B
to come in contact with	54-53041-B
to come in essay or story	4-54199-S
to come in useful	43-34719-B
to come individually	14-21164-B
to come into being	43-32422-B
to come into being at the opportune historic moment	25-61640-B
to come into contact	11-23816-B
to come into vogue	53-25406-B
to come late and leave first	24-2448-B
to come loose	30-6705-B
to come off the press	8-41647-B
to come one after the other	28-28047-B
to come or leave 成语 saw	2-21818-S
to come out	8-33733-B,8-35130-B,13-62481-B,21-22378-B
to come out alive	52-34561-B
to come out in the open	68-52735-B
to come out of obscurity to a government job	8-38872-B
to come out of seedling	8-44531-B
to come out top	28-6447-B
to come over	62-43541-B
to come round	5-16905-B
to come to	43-33750-B
to come to a compromise	13-59203-B
to come to a dead end	60-11844-B
to come to a halt	9-26494-B
to come to a judgment	30-58791-B
to come to an agreement	58-31704-B
to come to an end	29-42299-B,32-51384-B
to come to an end of a meeting	65-27929-B
to come to blows	9-17675-B,23-6689-B,26-45769-B,36-9643-B
to come to china	5-19026-B
to come to life by magic	59-10132-B
to come to oneself	45-34158-B,63-48169-B
to come to oneself with a start	69-61638-B
to come to prominence	8-31802-B
to come to realize	25-41129-B,57-41106-B,57-41330-B,63-48169-B
to come to see the truth	63-48169-B
to come to the aid of	28-51207-B
to come to the end of a term	39-39141-B
to come together	10-39231-B
to come unscathed through a hundred battles 成语 saw	44-54115-B
to come up	1-46226-B
to come up out of the ground	8-37476-B
to come up with	5-5739-B
to comfort	19-28958-B,29-13652-B
to comfort oneself	53-6345-B
to command	27-59067-B,28-49382-B,42-28723-B,44-33339-B,49-52542-B,49-54268-B
to commemorate	23-26300-B,49-2786-B,50-23673-B
to commend	47-35173-B,56-44962-B,57-9591-B,58-19602-B
to comment	2-25095-S,27-60134-B,32-59024-S,57-52175-B,58-6946-B,58-8630-B,59-3729-B,71-42202-B
to comment on	37-43983-B,58-8063-B,58-8254-B
to comment on and criticize a lower government report	26-57311-B
to commercialize	13-59868-B
to commission	5-16361-B,18-40821-B,21-63448-B
to commit	26-51252-B,33-12225-B
to commit a crime	5-7364-B,42-2872-B,42-24104-B,51-35558-S
to commit adultery	56-34146-B
to commit adultery of married woman	69-11278-B
to commit any imaginable misdeed	40-52307-B
to commit one s energy to	42-26355-B
to commit outrages	52-20447-B
to commit sb for trialto bring sb before the court	28-38720-B
to commit suicide	53-7387-B
to commit suicide by cutting one s own throat	53-1402-B
to commit suicide by swallowing gold	12-65688-B
to commit to memory	71-36734-B
to commit to the flames	4-26737-B
to commit to the waters 成语 saw	4-27235-B
to commoner 成语 saw	9-17070-S
to communicate	6-35517-B,62-6773-B,62-7146-B,62-25482-B,62-31068-B
to communicate a message	6-39697-B
to commute	3-68838-S
to commute a death sentence	29-43661-B
to compactify earth by ramming	28-55091-B
to compare	15-52154-B,20-52613-B,33-52641-B,36-8397-B
to compare favorably with men in terms of ability	2-31504-S
to compare long and short	61-6276-B,61-6520-B
to compare notes	8-62247-B
to compare oneself	53-8478-B
to compare the pros and cons	61-6276-B,61-6520-B
to compare with at that time	32-2609-S
to compel	23-45639-B,61-51642-B
to compensate	6-56693-B,27-10328-B
to compensate for one s limited abilities	48-7938-S
to compensate for shortage and leakage	56-58698-B,56-60108-B
to compensate later for one s earlier loss	29-39887-B
to compete	8-45634-B,11-40787-B,20-55259-B,26-43177-B,41-39807-B,48-259-B,48-684-B,48-1656-B,57-44118-B,60-432-B
to compete against	1-21651-B
to compete for a championship	1-13600-B
to compete for a prize	41-38393-B
to compete for first prize	18-17614-B
to compete to be first	41-38018-B
to compete to buy at auction	48-1403-B
to compile	23-53300-B,50-21160-B,50-21372-B,54-55844-B
to compile and edit	50-19647-B
to compile fashion through writing	20-23659-B
to compile in collaboration with	12-36652-B
to compile official history of the qing dynasty	38-59677-S
to complain	13-9193-B,15-60883-B
to complain about being hard up	13-46717-B
to complain about one s fate	24-63725-B,43-18074-S
to complain all the time	14-44082-B
to complain tearfully	13-47101-B
to complement	23-51834-B,56-56728-B,61-8644-B
to complement one another	45-28856-B
to complement one another 成语 saw	45-31292-B
to complete	19-38032-B,26-8098-B,43-54040-B
to complete a construction project	54-49974-B
to complete a contract	26-7549-B
to complete a prison sentence	8-64644-B
to complete a project dam	12-38481-S
to complete a set in mahjong or playing cards	13-21584-B
to complete a task	45-55921-S
to complete negotiations	58-31704-B
to compliment	47-35173-B,58-19484-B
to comply	5-24678-B,24-11014-B,68-23819-B,68-24052-B
to comply faithfully	48-33604-B
to comply with	5-24622-B,50-15520-B,52-426-B,62-68298-B,62-68385-B,62-68498-B,66-42753-B
to comply with a request	41-9730-B
to comply with a standard	48-6289-B
to compose	6-13941-B,12-33516-B,34-43230-B,34-43734-B,51-20816-B
to compose a piece of music	58-64330-B
to compose a poem to a given tune	16-22204-B
to compose music	5-7186-B,50-20216-B
to comprehend	24-56383-B,25-58057-B,42-56405-B,68-34465-B,70-7183-B
to compress	16-33505-B
to comprise	10-15520-B,38-38618-B
to compromise	27-8490-B,27-10515-B,70-38547-S
to compute	48-23744-B,57-58063-B,57-59255-B
to computers	19-20385-S
to conceal	10-17616-B,28-33669-B,39-58196-B,39-58279-B,55-13671-B,55-20689-B,55-30430-B,55-30767-B,55-31859-B,62-66541-B,66-48735-B,66-49221-B,66-49441-B
to conceal a fault	28-33851-B,69-8964-B
to conceal and avoid contact	66-50332-B
to conceal errors	30-31813-S
to conceal one s identity	15-60740-B,66-47069-B
to conceal one s strengths and bide one s time	68-13305-B
to conceal oneself	4-53149-B
to conceal oneself or one s plans	66-49962-S
to conceal sth in one s bosom	28-51748-B
to conceal the whole story	46-2496-B
to concede	4-54767-B,24-34053-S,26-62095-B,32-44290-B,41-38951-S,41-63235-B,58-22481-B
to concede defeat	4-53149-B,43-14265-B
to concede much	2-34618-S
to concede or give way in an argument	1-64728-S
to concede points in a game	59-14022-B
to conceive	11-60824-B,11-64291-B
to concentrate	20-38999-B,37-43983-B,40-7651-B,48-58638-B,54-55087-B,62-40561-B,66-56610-B
to concentrate a liquid	40-7315-B
to concentrate attention	8-27609-B
to concentrate entirely on sth	7-34145-B
to concentrate fully on sth	39-59007-B
to concentrate on	20-39084-B,66-58644-B
to concentrate on the main points 成语 saw	28-41632-B
to concentrate one s attention on	40-17708-B
to concentrate one s efforts	1-59642-B
to concern	22-36500-B,32-40446-B,38-34409-B,65-53366-B,65-53904-B
to concern oneself with	49-44516-B
to conclude	1-59223-B,3-28532-B,19-38093-B,29-40582-B,30-13429-B,30-58791-B,35-55165-B,49-41844-B,50-34643-B,57-56606-B,65-29825-S
to conclude a case	49-42380-B
to conclude a deal in cash	7-20062-B
to conclude a judgement	19-46158-B
to conclude a treaty	19-46898-B
to conclude an agreement	50-18671-B
to conclude from facts	35-54869-B
to conclude treaty	57-57450-B
to concoct pills of immortality	41-107-B
to concoct various items e g to pad an expense account	21-60616-B
to condemn	9-2773-B,58-18107-B,70-28610-B
to condense	8-28005-B
to condense milk by evaporation	41-457-B
to condole with	23-26222-B,23-26368-B
to conduct	20-57991-B,23-28589-B,27-59067-B,28-49382-B,53-27726-B,61-35479-B,62-30357-B,62-30357-B
to conduct a tour	20-59993-B
to conduct electricity	6-33187-B,20-60072-B
to conduct oneself	5-5561-B,6-14428-B
to conduct oneself in society	55-48908-B
to conduct vigorous propaganda	17-10269-B
to confer	20-32299-B,28-11963-B,32-22595-B,46-36928-B,69-19410-B,70-44386-B
to confer a reward for service	59-57436-B
to confer a title an an official position	9-53534-B
to confer a title posthumously	61-60180-B
to confer a title upon sb	8-7822-B
to confer additional titles on a nobleman	9-54222-B
to confer an official position with lavish promises	20-32974-B
to confer on sb	68-32266-B
to confer upon by authority	68-32266-B
to confess	5-23104-B,15-53006-B,15-53339-B,26-3248-B
to confide a plan to sb	28-12675-B
to confide in	28-30616-B
to confide in sb with entire sincerity	28-30682-B
to confine	15-1228-B,21-17406-B
to confirm	5-1077-B,46-33291-B,46-34052-B,52-13173-B,58-59605-B
to confirm name and password on a website	62-12819-B
to confirm sth to be true	58-60446-B
to confirm the truth of	58-60636-B
to confiscate	6-64356-B
to conflict	27-15185-B,56-40118-B
to conform	30-14924-B,68-27014-B
to conform slavishly	45-19691-B
to conform to	48-6114-B,63-37495-B,68-24052-B
to confront	20-50763-B
to confront sb with accusation	20-54513-B
to confront the xinhai rebels	44-61866-S
to confucian canonical texts	51-50421-S
to confucius	70-39874-S,70-40421-S
to confucius by zhuangzi 莊子 庄子	13-32621-S
to confucius 孔子	51-44389-S
to confuse	28-57305-B,29-36644-B,38-54551-B,58-58311-B,61-54283-B,61-54969-B
to confuse black and white	38-54784-B
to congeal	8-27609-B,8-27677-B
to congest	6-64518-B
to congratulate	46-55057-B,53-19999-B
to congratulate and celebrate promotion	23-47088-B
to congratulate and drink a toast	46-55185-B
to congratulate sb on completion of a building project	41-29877-S
to congregate in masses	56-3244-B
to congregate in one hall 成语 saw	40-9759-B
to conjecture	28-47979-B,42-12432-B
to connect	3-1164-B,28-24729-B,28-28131-B,28-28421-B,28-58671-B,28-59188-B,50-11109-B,62-6773-B,62-25482-B
to connect by marriage families	51-61166-B
to connect to	62-22146-B
to connect up	28-59519-B
to connive at	29-52527-B,50-28797-B
to connive with sb to damage a third party	6-9948-S
to conquer	7-16897-B,29-47909-B
to conquer all kinds of demons	66-17042-B
to conquer by force of arms	9-45903-B
to conscript	24-23095-B
to consecrate	5-22179-B,18-3821-B,18-4042-B
to consent	12-47705-B,52-12974-B
to consent tacitly	24-39338-B,71-36838-B
to consent to do sth	6-60680-B
to conserve	5-35286-B,13-16164-B
to conserve energy while preparing for a big effort	69-12081-B
to conserve heat	59-41598-B
to conserve one s health	29-34075-B
to consider	12-37520-B,24-54224-B,24-56312-B,24-56577-B,30-37236-B,38-49884-B,47-34257-B,51-33290-B,51-34512-B,58-21041-B,63-36936-B
to consider and decide	46-13319-B
to consider as	43-67281-B
to consider carefully	24-55385-B
to consider erroneously	4-38004-B
to consider everyone else beneath one 成语 saw	45-16023-B
to consider from all angles 成语 saw	8-15558-B
to consider oneself as being not as good as the others	53-4008-B
to consider oneself to be sth positive	53-3820-B
to consider other people s needs	54-54120-B
to consider past cause and future effect 成语 saw	24-54266-B
to consider prudently	45-60420-B
to consider sb as close friend 成语 saw	57-35580-B
to consider sb else s position	70-6815-B
to consider sth as	58-19956-B
to consider sth to be	57-35492-B
to consider the best move	48-42651-B
to consider thoroughly	46-14989-B
to consist of	10-15520-B
to console	10-10985-B,19-28958-B,20-26062-B,29-13652-B
to console oneself	53-6345-B
to console the bereaved	23-26641-B
to console the people and punish the tyrant	23-26935-B
to consolidate	30-16728-B
to consolidate and clarify	16-5041-B
to conspire	3-1164-B,12-37661-B,32-42151-B
to conspire against the state	58-50307-B
to conspire to murder	58-50668-B
to conspire with	30-1663-B
to conspire with sb	12-51690-B
to constitute	5-1329-B,11-12109-B,12-33516-B,21-26938-B,34-43734-B
to constrain or repress emotions	16-33150-B
to construct	5-47570-B,23-20176-B,23-22349-B,23-22647-B,33-39616-B,34-43230-B,41-32219-B
to construct often sth abstract	23-21581-B
to construct sth abstract	34-43425-B
to construct under contract	26-60896-B
to consul	11-41296-B
to consult	11-39783-B,13-57533-B,13-61666-B,23-64528-B,32-22595-B,33-47029-B,46-36928-B,57-63203-B,58-46699-B,58-58136-B
to consult a reference	11-39607-B
to consult subordinates of a high official	52-56490-S
to consult the archives	12-42614-B
to consult with	10-64305-B
to consume	29-35486-B,38-31697-B,38-32226-B,51-38115-B,51-38390-B
to consume fuel	41-24682-B
to consume passively without doing anything useful	15-51019-B
to contact	3-68253-B,54-53241-B
to contact nearest relatives	62-23536-B
to contain	10-13621-B,10-17616-B,12-67301-B,12-67811-B,19-65144-B,26-65079-B,28-28941-B,28-29077-B,39-38483-B,55-42379-B,55-42523-B,55-42682-B
to contain e g poem contains feelings	55-42437-B
to contain in a concealed form	66-46807-B
to contain one s joy 成语 saw	14-6931-S,14-7026-S
to contaminate	36-62726-B
to contemplate inwardly	71-36251-B
to contend	41-39531-B,48-259-B,57-46181-B,58-44194-B,70-28610-B
to contend for hegemony	41-40193-B
to contend for supremacy	41-40131-B
to contend on strong grounds	29-24599-B
to contend strongly	9-46850-B
to contest	57-46181-B
to contest first place	41-38018-B
to continue	1-58841-B,26-60379-B,27-56760-B,28-27562-B,28-27616-B,50-42557-B,50-43216-B
to continue a tradition	14-25590-S
to continue along the same lines	14-62086-B
to continue in a post	56-18272-B
to continue in employment	43-50660-B
to continue in the same old rut	14-60267-S
to continue sth	25-29685-S
to continue the same old routine	14-60157-B
to continue the tradition	26-61268-B
to continue to discuss a poem over a long period	43-52116-B
to continue to exist	19-8416-B
to continue to have	5-38150-B
to continue to use old methods	37-27291-B
to continue uninterrupted	50-12005-B
to continue upholding	16-3542-B,16-4618-B
to continue using	43-50660-B,62-23244-B
to contract	50-27674-B
to contract a disease	24-8617-B,25-8213-B
to contract an illness	19-59443-B
to contract to or for	10-13136-B
to contradict	11-45809-B,13-55213-B,27-15185-B,69-46345-B
to contradict oneself	53-12531-B
to contradict sb to his face	69-47308-B
to contrast	20-52613-B,36-8397-B
to contribute	28-3472-B,28-3998-B,28-4079-B,59-34679-B
to contribute funds	28-3746-B,28-4473-B
to contribute material	28-3905-B
to contribute to	32-30547-B
to contrive	9-37279-B
to control	3-8636-B,3-8697-B,9-10752-B,9-10827-B,27-61646-B,28-13964-B,28-14025-B,28-14651-B,28-28880-B,29-20338-B,29-21469-B,29-21838-B,37-24078-B,37-24766-B,41-63061-B,45-9411-B,48-22499-B,48-25144-B,48-28407-B,49-51658-B,49-54340-B,58-37518-B,61-20322-B,61-20438-B,67-12658-S,67-13883-S,69-49688-B
to control and protect	65-60629-B
to control from behind the scene	42-131-B
to control oneself	30-24726-B
to control smoothly	29-21894-B
to control the course of sth	9-11027-B
to convalesce	4-56651-B,23-2161-B,44-20293-B,69-11569-B
to convene	12-10008-B,12-10469-B,27-42288-B
to convene a meeting	12-10372-B
to conventional ways	27-62527-S
to converge	10-38095-B,12-35300-B,23-53105-B,23-53300-B,60-30765-B
to converge of river	10-37813-B
to converge of rivers	10-37629-B,39-31091-B
to converge to a limit in calculus	60-31779-B
to converse	28-60319-B,48-21173-B,58-40628-B
to convert	7-20005-B,29-44444-B,59-8852-B,61-24211-B,61-24513-B
to convert an enemy into a friend 成语 saw	10-23974-B
to convert between currencies	27-9885-B
to convert into currency	27-8254-B
to convert sth into chinese	39-48506-B
to convert to another religion	29-43595-B
to convert to democracy	36-18202-B
to convey	6-41612-B,12-44748-B,53-18876-B,56-46719-B,61-6800-B,61-20644-B
to convey a message	6-34530-B
to convey basic meaning	46-46497-S
to convey on vehicle	61-7903-B
to convict sb of a crime	19-47081-B
to convince	5-12955-B,10-10918-S,24-34053-B,32-43784-B,58-32701-B
to convince sb	5-45049-B
to convoke	12-10276-B
to convoy	59-5368-B,59-5426-B
to convulse	28-9877-B
to cook	6-15765-B,40-43387-B,41-10523-B,41-26069-B,41-36782-B,69-19676-B
to cook a spring roll	11-27084-S
to cook food	40-28022-B
to cook in a steamer	69-18963-B
to cook on a skewer	3-1370-B
to cook pills of immortality	41-173-S
to cook up imaginary charges against sb	50-61840-B
to cool	8-25548-B
to cool down	65-41525-S
to cool off in the shade	3-13706-B
to cool one s temper	38-30863-B
to cooperate	10-64032-B,12-31779-B,12-34348-S,12-38032-B,27-14486-S,28-59878-B,63-37495-B
to cooperate in managing	10-64686-B
to cooperate on a great undertaking	7-73055-B
to coordinate	10-65121-B
to coordinate a combined operation	42-716-B
to coordinate with	63-37495-B
to cope	18-2351-B,20-46890-B,25-58821-B
to cope with	14-60399-B
to copulate	3-67799-B,3-67975-B,18-57531-B
to copulate of animals	3-68033-B
to copy	4-45032-B,4-45074-B,4-45924-B,4-46075-B,6-35611-B,26-63885-B,26-64145-B,27-50707-B,28-35862-B,29-3867-B,34-57752-B,34-57821-B,41-6785-B,41-7641-B,57-6125-B,64-42044-B
to copy a model	29-27895-B
to copy a model of calligraphy or painting	52-57203-B
to copy a model of calligraphy or painting etc	52-57658-B
to copy a set pattern mechanically	18-9390-B
to copy an inscription	27-32111-S
to copy and pass on	6-36363-B
to copy sb s action or words	66-15374-B
to copy word for word	41-7584-B
to corner the market in sth	14-62792-B
to correct	27-54374-B,29-43530-B,29-44892-B,29-46212-B,32-8624-B,46-1976-B,46-3120-B,49-1944-B
to correct a typo	49-2311-B
to correct an error	49-1753-B
to correct e g sight or hearing	46-3351-B
to correct improve a translation	29-45563-B
to correct in writing sb s errors or misconceptions	69-47057-B
to correct oneself	29-43846-B
to correct printing errors	10-3453-B
to correlate with	41-7437-B
to correspond	20-49873-B,45-28700-B,63-37495-B
to correspond to	41-7437-B,48-5931-B
to correspond with	48-6114-B
to corroborate	46-34052-B
to corrode	5-27939-B,43-30379-B,64-34538-B
to corrode degrade chemically	52-37855-B
to corrupt	29-65866-B
to cost	51-38464-B,59-46155-B
to cough	13-29821-B
to counsel	11-38732-B
to count	30-19409-B,30-19440-B,32-7099-S,57-58063-B,57-58560-B,57-59255-B,71-37621-B
to count and verify	71-42040-B
to count backwards from 10 down to 0	5-57922-B
to count beads	48-43053-B
to count down	5-57922-B
to count heads	71-39850-B
to count on	27-56927-B,27-60015-B
to count votes	71-41526-B
to counter a stroke in fencing	9-39357-B
to counter attack	11-49630-B,11-49800-B
to counterattack	14-55661-B
to counterfeit	4-45128-B,4-46075-B,5-5628-B,6-6677-B,57-3844-B
to course the liver and rectify qi4 traditional chinese medicine	44-2929-B
to court	12-42854-S,20-54513-S,20-54638-S,58-41519-B
to court a rebuff	53-13907-B
to court death	26-59773-B
