biān dì qū	23-18869-S
bo1 hao4 pan2	29-12730-B
bo1 hao4 yin1	29-12788-B
bo1 he2 wei4 zhi1 fu2 wu4 qi4	23-12946-S
bo1 huo3	27-65934-S
bo1 huo3 gun4	29-12583-B
bo1 ji2	37-37795-B
bo1 jian3 cha2	60-23538-S
bo1 jiang1 zuo4	37-39767-B
bo1 ju4	23-12890-S
bo1 kai1	29-12841-B
bo1 ke4	29-15369-B
bo1 kuan3	29-12362-B
bo1 la1	4-49962-S
bo1 lan2	37-39927-B
bo1 lan2 lao3 cheng2	37-40143-B
bo1 lan2 qi3 fu2	37-40249-B
bo1 lan2 yu3	37-41676-B
bo1 lan2 zhuang4 kuo4	37-40017-B
bo1 lang4	37-39837-B
bo1 lang4 gu3	29-12476-B
bo1 le4 qi4	23-48941-S
bo1 li2	9-29395-B,47-55589-S
bo1 li2 jian4	27-65192-S
bo1 li2 ti3	42-42347-B
bo1 li2 xian1 wei2	42-42192-B
bo1 li3	44-59366-S
bo1 li4 ni2 xi1 ya4	37-37583-B,42-41707-B
bo1 li4 si1	11-21047-S,31-23383-S
bo1 li5	2-22102-S,42-41979-B,64-40116-S,68-55132-S
bo1 li5 bei1	42-42084-B
bo1 li5 gang1	42-42269-B
bo1 li5 guan3	42-42139-B
bo1 li5 hua4	42-42029-B
bo1 lu2	24-19802-S
bo1 luan4 fan3 zheng4	29-11584-B
bo1 luo2	17-23127-S,54-30784-B,66-6988-S
bo1 luo2 ji4 hua4	66-7043-S
bo1 luo2 mi4	53-36776-S,54-30826-B
bo1 luo2 mi4 duo1 xin1 jing1	53-36914-S
bo1 luo4	9-29307-B
bo1 mei3 bi3 zhong4 ji4	37-41106-B
bo1 mei3 du4	37-41050-B
bo1 nong4	29-12188-B
bo1 nong5	29-15460-B
bo1 pi2	9-29165-B
bo1 pi2 qi4	9-29237-B
bo1 pu3	37-41783-B
bo1 qi4	40-12324-S,46-46590-S
bo1 qie4	14-38343-S
bo1 r5	1-9801-S
bo1 rong3	29-11780-B
bo1 san1 zhe2	1-13726-S
bo1 se4 zi5	42-42403-B
bo1 sen1 mei2	37-39632-B
bo1 sha4	37-42092-B
bo1 shi2	9-29348-B
bo1 shi4	20-18402-S,23-13214-S,39-46138-S
bo1 shi4 dun4 da4 xue2	37-38024-B
bo1 shi4 fei1	27-65042-S
bo1 shu3	15-31123-S
bo1 shu4	37-39595-B
bo1 si1	9-67489-S
bo1 si1 dao3	9-67572-S
bo1 si1 li3 ya4	37-39517-B
bo1 si1 pu3 lu3 si1	37-39159-B
bo1 si1 pu3 lu3 si1 hai3 xia2	37-39234-B
bo1 song4	29-15783-B
bo1 tao1	37-39875-B
bo1 te4	33-67682-S,37-40656-B
bo1 te4 lu:4	37-40692-B
bo1 tuo1 su4	56-45778-S
bo1 wa2	54-22162-S
bo1 wang2 chao2	12-61181-S
bo1 wang3	23-13277-S
bo1 wang3 lu4	23-13331-S
bo1 wen2	37-40935-B
bo1 xi1 shi4 rou4 liu2	11-15548-S
bo1 xian2 yue4 qi4	29-12251-B
bo1 xing2	37-38555-B
bo1 xiu1 hui4	26-52842-S
bo1 xue1	9-28804-B
bo1 xue1 zhe3	9-28860-B,56-51228-S
bo1 ye1 la1	11-15488-S
bo1 yin1	29-15840-B
bo1 ying4	29-15659-B
bo1 yong4	29-12632-B
bo1 yu2	50-49790-B
bo1 yuan2	23-13075-S
bo1 yue4	23-48877-S
bo1 yun2 jian4 ri4	29-12887-B
bo1 zhe2	37-38754-B
bo1 zheng4	29-12424-B
bo1 zhong3	29-15724-B
bo1 zhu2 liu2	66-44702-S
bo1 zhu4 lan2	28-31265-S
bo1 zhuang4 re4	37-40807-B
bo1 zhuang4 yun2	37-40879-B
bo1 zhuo2	9-28924-B
bo1 zi1 man4	37-41521-B
bo1 zi3 tan2	29-12137-B
bo1 zi5	29-12098-B
bo1 zou4	29-12056-B
bo2	3-57696-S,4-5067-B,4-57453-B,6-16689-S,6-52170-B,7-17341-S,7-18570-S,9-15653-S,9-64870-B,9-65075-S,11-6045-B,11-36743-S,11-56493-S,13-36494-S,13-37401-S,14-27520-S,14-58738-S,16-32031-B,17-5279-S,18-11116-S,18-33530-S,21-23405-S,22-14900-S,22-22722-S,22-24764-B,23-6755-S,23-10710-S,24-21412-S,26-29325-S,26-58406-S,27-37884-S,27-51538-S,28-28608-S,28-52985-B,28-60528-S,29-36126-S,30-32302-S,30-33318-S,32-48361-S,33-3407-S,33-40753-B,34-8390-B,35-28227-S,36-10103-S,36-11298-S,37-16917-S,37-18597-S,37-28723-B,38-9130-B,38-10297-S,38-20534-S,38-40031-S,38-43841-S,38-52474-S,38-57573-S,39-2681-B,39-20536-S,39-43136-S,43-22234-S,46-36579-S,46-43645-B,48-2561-S,48-23597-B,49-3916-S,49-12975-S,49-54527-S,50-13201-S,50-36957-S,50-57612-S,51-25129-S,52-29568-S,52-29663-S,52-31585-B,52-46976-B,53-25213-S,53-37440-B,53-38585-S,54-59708-B,55-7458-S,55-17886-B,55-23324-S,56-26360-S,56-42033-S,57-10415-B,57-11804-B,59-33263-S,59-62148-S,60-47972-B,61-11207-S,61-12123-S,61-39084-S,63-32158-S,64-22347-B,64-23421-B,64-28298-S,64-34830-S,64-35263-B,64-46683-S,64-52993-B,64-53029-B,66-2603-S,66-54683-S,68-10020-S,68-46876-S,68-60710-S,69-18751-B,69-38157-S,69-46345-B,69-51046-B,70-4242-B,70-56401-B
bo2 Guo2 jia1 Lian2 meng2	66-2895-S
bo2 Hai3	66-3149-S
bo2 Lian2 he2 Qiu2 chang2 guo2	66-3290-S
bo2 Mao4 yi4 Gong1 si1	2-63348-S
bo2 Zhong4 gong1 Ji2 tuan2 Gong1 si1	2-63495-S
bo2 ai4	11-7701-B
bo2 an4	55-18841-B,69-46629-B
bo2 ban4 dao3	66-2815-S
bo2 bi4	28-53309-B
bo2 bo2	9-65075-B,43-22234-S,53-25213-S
bo2 bo5	4-57778-B,51-25207-S
bo2 cai3	11-7561-B
bo2 chan3	55-19390-B
bo2 che1	4-30769-S,28-26607-S,28-28699-S,37-28809-B
bo2 chi4	69-46782-B
bo2 chou2	55-20150-B
bo2 chuan2	69-46968-B
bo2 ci2	69-47016-B,69-47142-B
bo2 ci2 wa3 na4	11-9826-B
bo2 da4	11-6934-B
bo2 da4 jing1 shen1	11-6990-B
bo2 dai4	55-18574-B
bo2 dao3	69-46457-B
bo2 de2	11-7601-B,61-6932-S
bo2 de2 lei2 en1 tu2 shu1 guan3	4-58397-B
bo2 de5	24-21458-S
bo2 di4	11-9886-B,55-18344-B
bo2 dong4	11-6184-B,28-53025-B
bo2 dou4	28-53196-B
bo2 dun4	13-37147-S
bo2 en1 si1	4-58567-B
bo2 er2 bu4 jing1	11-9212-B
bo2 er3	21-13889-S
bo2 er3 Gong4 chan3 dang3	21-13936-S
bo2 er3 de2	11-8653-B
bo2 er3 guo2 wang2	21-14038-S
bo2 er3 ni2	4-59087-B
bo2 fa1	9-65659-B
bo2 fu4	4-59003-B,69-46741-B
bo2 ge1	70-56434-B
bo2 ge2	30-42048-S
bo2 gen3 di4	9-65778-B
bo2 gong1 si1	2-55963-S
bo2 gu3 tong1 jin1	11-6334-B
bo2 hai3	55-19080-B
bo2 hou4	55-18175-B
bo2 hou4 mei3 gu3 ying2 li4	29-36167-S
bo2 hua4	22-24828-B
bo2 hui2	69-46524-B
bo2 hui4	2-38103-S
bo2 ji1	24-5558-S,28-53156-B
bo2 ji4	49-3992-S,55-18712-B
bo2 jiao1	66-3414-S
bo2 jie2	4-57837-B
bo2 jing3 er5	52-31692-B
bo2 jue2	4-58960-B
bo2 kao3 bing3	55-19145-B
bo2 ke2 qiang1	69-46910-B
bo2 ke4	11-7248-B
bo2 la1	15-52772-S,57-65430-S
bo2 la1 bing4 du2	15-57686-S
bo2 la1 han3	3-57778-S
bo2 lai2	22-19620-S,22-19905-S
bo2 lai2 Da4 xue2	22-19954-S
bo2 lai2 ren2	22-19669-S
bo2 lai2 shu1	22-19750-S
bo2 lai2 wen2	22-20039-S
bo2 lai2 yu3	22-19837-S,22-20108-S
bo2 lan3	11-9955-B
bo2 lan3 hui4	11-10004-B
bo2 lao2	4-58095-B
bo2 le4	69-31944-S
bo2 le4 jiao1	30-39204-S
bo2 lei2	15-50177-S
bo2 lei2 da4 zhu3 jiao4	15-50241-S
bo2 li3	15-57929-S,48-45394-S,55-19505-B
bo2 li3 ping2 yuan2	49-26920-S
bo2 li3 shi2 huan2	49-27022-S
bo2 li4	38-15715-S,55-18044-B
bo2 li4 duo1 xiao1	55-18089-B
bo2 li4 ya4	30-56342-S,57-12866-S
bo2 li4 ya4 shi4	30-56257-S
bo2 li4 yan2	64-7481-S
bo2 lin2	63-26785-S,63-27804-S
bo2 lin2 qiang2	33-41354-B
bo2 ling3	52-31646-B
bo2 long2 li3	14-28259-S
bo2 lu4 li2	30-33365-S
bo2 lun2	23-37495-S
bo2 luo2 nei4	13-37447-S
bo2 ma3 si1	13-36661-S
bo2 man4	9-5634-S
bo2 mian4	55-20268-B
bo2 mian4 zi5	69-47308-B
bo2 ming2	55-18787-B
bo2 ming4	55-18255-B
bo2 mo2	55-19789-B
bo2 mu3	4-58819-B
bo2 mu4	55-18888-B
bo2 na4	55-16544-S
bo2 neng2 xian3	24-28215-S
bo2 pian4	64-9707-S
bo2 qi3	9-65919-B
bo2 qing2	55-18653-B
bo2 qu3	11-6236-B
bo2 r5	47-56449-S
bo2 ran2	9-65595-B
bo2 ren2	66-2736-S
bo2 ru3 lao4	11-16889-S
bo2 ruo4	55-18531-B
bo2 sha1	28-53260-B
bo2 she2	59-35300-S
bo2 sheng3	54-43826-S
bo2 shi2	11-10178-B
bo2 shi2 duo1 tong1	11-10253-B
bo2 shi2 qia4 wen2	11-10353-B
bo2 shi4	1-30402-S,11-6449-B,30-27188-S,38-40101-S,63-49714-S
bo2 shi4 hou4	11-6671-B
bo2 shi4 jie4	66-2663-S
bo2 shi4 jun1	52-14916-S
bo2 shi4 jun1 shu3	7-19889-S
bo2 shi4 mai3 lu:2	11-6746-B
bo2 shi4 xue2 wei4	11-6530-B,13-47731-S
bo2 shu1	30-32351-S
bo2 shu1 su4	22-14971-S
bo2 shu1 zu3 fu4	4-58231-B
bo2 shu1 zu3 mu3	4-58134-B
bo2 shu4 zi4	66-2993-S
bo2 si1 yi4 long2	60-7719-S
bo2 ta3	66-7348-S
bo2 tai1 ci2 qi4	55-19661-B
bo2 tai4 kong1 wang4 yuan3 jing4	13-36548-S
bo2 tang2	66-3212-S
bo2 te4	22-21012-S,22-21576-S,50-55437-S,60-7817-S,66-7415-S
bo2 te4 qun2 dao3	12-41194-S
bo2 te4 shi4 zheng4 hou4 qun2	12-38860-S
bo2 tian2	55-19449-B
bo2 tong1 xun4 she4	23-57294-S
bo2 wei2 er3	9-5718-S
bo2 wei4	37-28771-B
bo2 wen2	66-3070-S
bo2 wen2 duo1 shi2	11-9379-B
bo2 wen2 qiang2 ji4	11-9483-B
bo2 wen2 qiang2 shi2	11-9608-B
bo2 wu4	11-8835-B,55-20227-B
bo2 wu4 duo1 wen2	11-8882-B
bo2 wu4 guan3	11-9038-B,17-33232-S,35-52077-S
bo2 wu4 yuan4	11-8988-B
bo2 xiao3	55-18933-B
bo2 xing1	9-65715-B
bo2 xing4	55-18473-B
bo2 xue2	11-7086-B
bo2 xue2 duo1 cai2	11-7134-B
bo2 ya3	11-10486-B
bo2 yang3 hou4 zang4	55-20465-B
bo2 yi4	11-7421-B,69-47057-B
bo2 yi4 lun4	11-7507-B
bo2 yin3	50-37150-S
bo2 you2 ceng2	55-19026-B
bo2 yu3	66-3489-S
bo2 yun4	69-47202-B
bo2 za2	69-47263-B
bo2 zang4	11-29964-S
bo2 zhan4	28-53090-B
bo2 zheng4	69-46854-B
bo2 zhi3	64-34875-S
bo2 zhong4 shu1 ji4	4-57644-B
bo2 zhong4 zhi1 jian1	4-57571-B
bo2 zi5	9-68028-S,52-31611-B,69-46582-B
bo2 · Ma3 li4	70-41987-S
bo3	48-39776-B,60-36928-B,68-46489-S
bo3 dang4	48-39970-B
bo3 yang2	48-39853-B
bo3 zi5	60-36963-B
bo3 zu2	60-37013-B
bo4	21-61304-S,29-23374-B,33-40804-B,35-12374-B,48-39807-B,58-61546-B
bo4 er3	33-41411-S
bo4 he5	52-21815-S,55-19834-B,69-30758-S
bo4 he5 you2	55-19886-B
bo4 hua4	29-23436-B
bo4 ji1	48-39893-B
bo4 kai1	29-23481-B
bo5	4-57778-S,11-10859-B,14-291-B,20-69004-S,24-39178-S,44-45504-S,47-47026-S,51-25207-S,52-22755-S,52-24060-S,55-10957-B,55-46999-S,69-13824-S
bo5 ke4 nei4 xi1	33-1344-S
bo5 su4	52-22803-S
bo5 yi1 ge4 keng1	1-2577-S
bu	1-12998-S,1-16326-S,1-23464-S,1-23518-S,1-25100-S,1-29511-S,1-49483-S,1-56785-S,1-58272-S,1-65113-B,2-8354-S,2-13180-S,2-18131-S,2-25961-S,2-46576-S,2-50728-S,2-50903-S,2-51749-S,2-54596-S,2-66210-S,2-68810-S,2-81697-S,2-83076-S,3-21489-S,3-46333-S,3-65349-S,4-125-S,4-20665-S,4-64970-B,5-2175-S,5-45223-S,5-49094-S,5-50681-S,5-62751-S,6-35715-S,6-42131-S,6-50446-S,7-26830-S,7-28689-S,7-32652-S,7-42284-S,7-50541-S,7-54638-S,7-58894-S,8-2849-S,8-49349-S,9-680-S,9-13330-S,9-24666-S,9-25143-S,9-31424-S,10-22357-S,10-35652-S,11-4414-S,11-10886-B,11-11883-B,11-12248-S,11-28150-S,12-23878-S,12-24485-S,12-27264-S,12-48775-S,13-57-S,13-42303-S,13-48160-B,13-58275-S,13-58873-S,14-26362-S,14-50532-S,15-3528-S,15-14007-S,15-30696-S,15-42001-S,15-63723-B,15-64182-B,16-22101-S,16-24915-S,16-24915-S,16-27508-S,16-42843-S,16-45110-S,16-51427-S,17-12294-S,17-23410-S,17-36724-S,17-55542-S,19-8349-S,19-31130-S,19-53731-S,19-54544-S,20-48647-S,20-54513-S,20-67119-S,21-1104-S,21-12493-S,21-14730-S,21-16162-S,21-16856-S,21-40473-S,22-11056-S,22-13546-B,22-19434-S,22-53108-S,22-56043-S,22-61115-S,23-19955-S,23-26011-S,23-51834-S,23-65675-S,24-2592-S,24-4218-S,24-5686-S,24-10099-S,24-10575-S,24-48488-S,24-49501-S,24-50890-S,24-54020-B,24-68633-S,25-13131-S,25-23230-S,25-50054-S,26-24773-S,26-25381-S,27-194-S,27-7852-S,27-15754-S,27-31722-S,27-36138-S,27-38657-S,28-4752-B,28-5982-B,28-56184-S,28-60860-S,29-26441-S,29-29753-S,29-39393-S,29-56935-S,30-5107-S,30-7074-S,30-8880-S,30-18456-S,30-24823-S,30-31231-S,30-64868-S,30-66153-S,31-18788-S,31-31406-S,31-46365-B,32-18116-S,32-55152-S,32-56797-S,32-67783-S,33-16289-S,33-24950-S,33-57261-S,33-57755-S,33-65300-S,34-5111-S,34-18790-S,35-24557-S,35-37617-S,35-41879-B,35-42638-S,35-49892-B,36-15815-S,36-20781-S,36-65441-S,37-22253-S,37-56579-S,38-2002-S,38-3037-S,38-58354-S,38-58354-S,39-5890-S,39-27643-S,39-52772-S,40-13943-S,40-38148-S,40-61403-S,41-3481-S,41-21715-S,42-19826-S,43-50384-S,43-51753-S,43-58601-S,43-62184-S,44-26230-S,44-28686-S,44-38881-S,44-44536-S,45-13146-S,46-17409-S,47-43239-S,47-54181-S,48-9157-S,48-34821-B,48-34972-S,48-41211-B,49-15882-S,49-21082-S,49-45316-S,49-48071-S,49-49463-S,49-51214-S,49-52085-S,50-2762-S,50-18049-S,50-18436-S,50-23042-S,50-27298-S,50-29705-S,50-32307-S,50-32610-S,50-33029-S,50-33361-S,50-35679-S,50-35919-S,50-40028-S,50-55493-S,50-57419-S,51-4964-S,51-32565-S,51-62500-S,52-26080-S,52-42912-S,52-43412-S,52-45414-S,52-51718-S,53-32697-S,53-55546-S,54-24002-S,54-56959-S,55-9853-B,55-25070-S,55-57898-S,56-38392-S,56-51985-S,56-56409-B,57-3545-S,57-13477-S,57-13975-S,57-23010-S,57-23386-S,57-24667-S,57-66026-S,59-13949-S,59-18448-S,59-33481-S,59-61868-S,60-12136-S,60-16932-S,60-35809-S,60-46824-S,61-14872-S,61-34109-S,61-41783-S,61-47101-S,61-52890-S,61-57669-S,61-59491-S,61-62432-S,62-0-B,62-2380-S,62-26483-S,62-28438-S,62-29984-S,62-42531-S,62-66905-S,63-22531-B,63-49513-S,63-51051-B,64-21080-B,64-22443-B,64-22476-B,65-22061-S,65-32273-S,65-38005-S,66-10512-S,66-25486-S,66-38606-S,66-59890-S,67-37310-S,67-63660-S,68-11001-S,68-14710-S,68-28665-S,68-31874-S,68-31947-S,68-40059-S,68-41173-S,68-41946-S,69-14489-B,69-39306-S,69-61137-S,70-27083-S,71-14574-S,71-41922-S,71-64204-B
bu Da xia gu	66-56196-S
bu Sha ye fu	66-1683-S
bu Za bi	66-1551-S
bu an	2-4611-B,40-65164-S,52-54200-S
bu an quan	2-4696-B
bu ba	1-13280-S,16-4554-S,16-5950-S
bu bai	56-58019-B
bu bai zhi di	2-12768-B
bu bai zhi yuan	2-19917-B
bu bao	40-52854-S,56-57229-B
bu bao he	2-36648-B
bu bao he zhi fang suan	2-36702-B,16-53721-S
bu bei	1-66746-S,1-69614-B,2-47614-S,8-35789-S
bu bei bu kang	1-74252-B
bu bi	2-9031-B,2-16504-B,17-8649-S
bu bi fu yue	2-35456-B
bu bi hu	17-474-S
bu bi jian xian	2-35581-B
bu bi yao	2-9088-B
bu bian	1-68160-B,2-31144-B
bu bian hua	2-31295-B
bu bian jia ge	2-31214-B
bu bian liang	2-31421-B
bu bian shu mai	2-32857-B
bu bian zi ben	2-31350-B
bu biao qing	68-3761-S
bu bing	35-42119-B
bu bo	22-14900-B,50-57612-S
bu bo shu su	22-14971-B
bu bu	35-42638-B
bu bu qian	60-46913-S
bu bu wei ying	35-42696-B
bu cao	35-42486-B
bu ce	2-17498-B,35-42869-B,48-41263-B
bu ce feng yun	17-48173-S
bu ceng	2-15083-B
bu cha dian	2-12155-B
bu chan	56-13419-S
bu chang	56-56675-B
bu chang shi	24-6164-S
bu cheng	2-11051-B
bu cheng gong	2-11094-B
bu cheng jun	39-64041-S
bu cheng ren zhu yi	2-11725-B
bu cheng shi	2-29656-B
bu cheng shi ba mi	6-23700-S
bu cheng ti tong	2-11222-B
bu cheng wen fa	2-11153-B
bu cheng xiang shi	2-11437-S
bu cheng zhi tu	2-33802-B
bu chi	2-1842-B,2-36935-B
bu chi chi fa jiu	30-12804-S
bu chi xia wen	2-9764-B
bu chong	56-56728-B
bu chong liang	56-56971-B
bu chong pin	56-56828-B
bu chong ye	28-5414-B
bu chong yi liao	56-56892-B
bu chu	33-10354-S,45-37356-S,58-31287-S
bu chu hua lai	58-31345-S
bu chu suo liao	1-71295-B
bu chu tiao yue	2-49713-S,21-13261-S
bu chuai mao mei	2-12264-B
bu chuan shu mo shi	43-62228-S,67-63717-S
bu chuan yang	44-54691-S
bu chuang	27-67201-S
bu chui tang	15-50613-S
bu chuo	2-32803-B
bu chū	45-37356-S
bu ci	11-11642-B
bu ci er bie	2-33063-B
bu ci lao ku	2-32995-B
bu ci xin ku	2-33145-B
bu cong jing	56-30838-S
bu cong xin	9-44949-S
bu cou qiao	2-17557-B
bu cuo	2-35836-B
bu da	2-2992-B,19-29345-S,25-53606-S
bu da bu cheng xiang shi	2-11437-B
bu da bu xiang shi	2-11527-B
bu da li	2-3050-B
bu da li r	2-3147-B
bu da mi ya	51-8443-S
bu da zi zhao	2-11609-B
bu dai	14-41978-S,44-54115-S
bu dai dian	2-7042-B
bu dai shuo	2-8160-B
bu dai xi	22-17450-B
bu dan	1-67829-B,2-1999-B
bu dan xing	47-1925-S
bu dang	2-19271-B,36-18678-S
bu dang che	19-30227-S
bu dang de li	2-19516-B
bu dang jin	2-19587-B
bu dang shi	2-19446-B
bu dang yi hui shi	2-19338-B
bu dao	1-72558-B,6-14211-S,22-17958-B,24-6268-S,25-25118-S,25-29330-S,26-58846-S,53-2929-S,61-34639-S,62-52544-S
bu dao chang cheng fei hao han	1-72640-B
bu dao de	2-34770-B
bu dao er	26-55184-S
bu dao huang he xin bu si	1-72767-B
bu dao pu tao shuo pu tao suan	14-14139-S
bu dao weng	1-68753-B
bu de	2-8284-B,13-46829-S,19-65223-S,22-2829-S,24-64501-S,24-64501-S,25-1039-S,28-6629-S,28-6629-S,48-23811-S,57-24720-S,57-24720-S,57-29540-S,62-31596-S,68-48800-S,68-48800-S
bu de bu	2-8354-B
bu de er zhi	2-8868-B
bu de jin	2-8660-B
bu de liao	2-8472-B
bu de ren xin	2-8568-B
bu de yao ling	2-8947-B
bu de yi	2-8746-B,54-42826-S,61-51811-S
bu deng	2-23526-B,56-57798-B
bu deng bian san jiao xing	2-23882-B
bu deng da ya zhi tang	2-19765-B
bu deng hao	2-23806-B
bu deng ji	56-57872-B
bu deng jia jiao huan	2-23588-B
bu deng shi	2-23683-B,48-18053-S
bu deng tian	1-13126-S
bu deng yu	2-23746-B
bu di	2-13416-B
bu di kang zhu yi	2-11915-B
bu di qu	10-35725-S
bu dian ying	24-69131-S
bu diao	35-43239-B
bu diao yi zhi	35-43302-B
bu die	2-33314-B
bu ding	2-5151-B,5-34250-S,22-13636-B,27-54768-S,56-56506-B,58-31422-S
bu ding ci	2-5526-B
bu ding de	28-63339-S
bu ding fang cheng	2-5286-B
bu ding ji fen	2-5444-B
bu ding qi	2-5375-B
bu ding xing	2-5222-B
bu dong	1-73176-B,2-10720-B,9-68275-S,27-62003-S,30-31671-S,49-14823-S,49-15396-S,67-23076-S
bu dong chan	1-73272-B
bu dong dian	1-73498-B
bu dong dian ding li	1-73575-B
bu dong gang	1-71058-B
bu dong gang kou	1-71127-B
bu dong sheng se	1-73359-B
bu dong yao	1-73220-B
bu dong zhuang dong	2-10783-B
bu du	2-18592-B,26-25075-S
bu du la	65-68417-S,65-68483-S
bu du re xi ti	65-65731-S
bu duan	2-13586-B,2-23221-B,11-59061-S,39-16000-S,62-24178-S
bu dui	2-6288-B,5-36166-S,7-72607-S,20-46470-S,35-48895-S,35-49010-S,41-60996-S,50-1848-S,63-23866-B
bu dui cha er	2-6422-B
bu dui jin	2-6357-B
bu duo	21-63708-S,30-19756-S,47-18335-S
bu duō	21-63708-S
bu dào	25-25118-S,26-58846-S,61-34639-S
bu dé	19-65223-S,25-1039-S,57-29540-S
bu dìng	27-54768-S,58-31422-S
bu dòng	9-68275-S
bu er	4-48802-S,9-39179-S,14-2045-S,22-5307-S,33-65159-S,58-17744-S,58-31194-S
bu er dai shu	22-16719-B
bu er deng	39-19416-S,39-20874-S
bu er deng wang qiu gong kai sai	39-20953-S
bu er dun	39-21099-S
bu er fa men	1-66512-B
bu er qiao ya	4-65562-B,22-16788-B
bu er ya na	45-13184-S
bu fa	1-66158-B,2-17183-B,23-30388-S,35-42061-B,35-42829-B,56-57428-B,56-57938-B
bu fa fen zi	2-17239-B
bu fan	1-71221-B,57-27442-S
bu fan he shui	3-56645-S
bu fan hui	58-23208-S
bu fan jing shui	37-20133-S
bu fang	2-4317-B,22-18237-B
bu fang bian	2-13663-B
bu fang ying zhan	22-18291-B
bu fei chui hui zhi li	2-31927-B
bu fei shi	2-31868-B
bu fen	1-7334-S,1-22198-S,1-71362-B,8-32397-S,11-11915-B,17-36783-S,49-45938-S,63-22791-B,63-22920-B,71-51038-S
bu fen bi ci	1-71497-B
bu fen qing hong zao bai	1-71812-B
bu fen qing you	1-71658-B
bu fen r	36-25135-S
bu fen sheng fu	1-71419-B
bu fen xuan zhi	1-71728-B
bu fen zhi	63-22977-B
bu fen zi	24-68853-S,24-68916-S
bu feng shi	43-18074-S
bu feng zhuo ying	28-5521-B
bu fu	2-15204-B,2-23276-B,12-26481-S,28-4811-B,36-39820-S,40-32129-S
bu fu chu	7-23777-S
bu fu he	2-23381-B
bu fu shi	12-53164-S,12-53351-S
bu fu shui tu	2-15376-B
bu fu ti	70-33233-S
bu fu ze ren	2-31616-B
bu fu zui	2-15507-B
bu fú	12-26481-S
bu gai	2-29454-B
bu gan	2-7117-B,2-12841-B,2-18784-B
bu gan bu jing	1-66209-B
bu gan dang	2-12885-B
bu gan she	2-7194-B
bu gan wei er	22-15124-B
bu gan xiang xin	2-13013-B
bu gan xin	2-18858-B
bu gan yan	30-6554-S
bu gan yue lei chi yi bu	2-13180-B
bu gan zi zhuan	2-13082-B
bu gao	4-65108-B
bu gao lan	4-65196-B
bu gong	1-70549-B,2-9876-B,11-28067-S,36-25019-S,42-37925-S,65-41782-S,65-42002-S
bu gong dai tian	1-70704-B
bu gong ping	1-70596-B
bu gong tang	20-54638-S
bu gong zheng	1-70648-B
bu gong zi po	2-12696-B
bu gou	1-17703-S,2-2925-B,2-26936-B
bu gu	2-36505-B,11-11771-B,22-17803-B,25-6841-S
bu gu shen	18-18001-S
bu gu yi qie	2-36562-B
bu gua	1-17545-S,11-11015-B
bu guai	57-29958-S
bu guan	2-23979-B,45-37438-S
bu guan jiao sha ming	42-40891-S
bu guan san qi er shi yi	2-24028-B
bu guan xin	39-47375-S
bu guang	1-69989-B
bu gui	2-32741-B
bu gui ze	2-28663-B
bu gui ze san jiao xing	2-28715-B
bu gui ze si bian xing	2-28817-B
bu guo	2-34293-B,8-8604-S,14-6193-S,26-40554-S,36-25204-S,46-51718-S
bu guo er er	2-34470-B
bu guo ji nian qian	12-7775-S
bu guo lai	24-45796-S
bu guo qi lai	14-6268-S
bu guo tou dian di	35-66390-S
bu guo yi	2-34403-B
bu guàn	45-37438-S
bu guò	14-6193-S,26-40554-S
bu guò qì lái	14-6268-S
bu ha zi	66-1492-S
bu han er li	2-6094-B
bu han hu	2-1309-B
bu hao	2-3606-B,18-26226-S,62-30060-S
bu hao re	2-3706-B
bu hao shou	2-3646-B
bu hao shuo	2-3929-B
bu hao yi si	2-3813-B
bu he	1-77863-B,2-1520-B,2-11362-S,24-62580-S,25-30185-S
bu he fa	2-182-B
bu he li	2-231-B
bu he shi	2-285-B
bu he shi yi	2-57-B
bu he ti tong	2-336-B
bu he zuo	2-0-B
bu hen	2-8243-B
bu hen jin	61-57743-S
bu hua	37-42671-S,56-59184-B
bu hua ji	35-43183-B
bu hua suan	1-71998-B
bu huai hao yi	2-10949-B
bu huai yi	36-15981-S
bu huan er san	2-15901-B
bu huan yao	28-46521-S
bu huang	2-34552-B
bu huang bu mang	2-10622-B
bu huang duo rang	2-34618-B
bu hui	1-4005-S,2-15138-B,2-29823-B,30-54655-S,30-54737-S,32-22157-S,44-26385-S,44-28751-S,45-24457-S
bu huo	28-5191-B,57-26380-S
bu hǎo	18-26226-S
bu ji	1-74745-B,2-459-B,2-17776-B,2-25212-B,2-29178-B,5-16975-S,13-7340-S,13-42368-S,31-41957-S,48-41383-B,48-41446-B,50-40081-S,56-58507-B,62-47207-S
bu ji bu li	1-74383-B
bu ji dai	61-51698-S
bu ji ge	1-74820-B
bu ji guan li yuan	48-41489-B
bu ji ji	50-22471-S
bu ji li	2-519-B
bu ji ming tou piao	2-29318-B
bu ji na fa suo	22-14548-B
bu ji qi shu	2-29244-B
bu ji shi	2-17826-B
bu ji wu dong ci	1-74866-B
bu ji zhi wu	2-9683-B
bu jia	1-67955-B,11-11487-B,66-1755-S
bu jia le si te	22-13970-B
bu jia si suo	1-69119-B,1-73071-B
bu jia su qi	12-48820-S
bu jian	2-28031-B,4-65442-B,18-26429-S,22-15274-B,45-37665-S,57-36621-S,63-22714-B,67-21652-S
bu jian dan	2-24199-B
bu jian de	2-28243-B
