生肉	43-28923-S
異咯嗪 异咯嗪	43-60648-B
異國 异国	43-60731-B
異域 异域	43-60778-B
異常 异常	43-60836-B
異形 异形	43-60902-B
異彩 异彩	43-60974-B
異心 异心	43-61029-B
異心壞心 异心坏心	43-61109-B
異性 异性	43-61182-B
異性性接觸 异性性接触	43-61268-B
異性戀 异性恋	43-61352-B
異想天開 异想天开	43-61431-B
異戊二烯 异戊二烯	43-61539-B
異戊橡膠 异戊橡胶	43-61599-B
異教 异教	43-61671-B
異教徒 异教徒	43-61722-B
異文 异文	43-61823-B
異文鄙事 异文鄙事	43-61942-B
異族 异族	43-62035-B
異構體 异构体	43-62082-B
異樣 异样	43-62131-B
異步 异步	43-62184-B
異步傳輸模式 异步传输模式	43-62228-B
異母 异母	43-62335-B
異源多倍體 异源多倍体	43-62406-B
異焉 异焉	43-62535-B
異物 异物	43-62592-B
異狀 异状	43-62713-B
異種 异种	43-62782-B
異端 异端	43-62832-B
異端者 异端者	43-62872-B
異義 异义	43-62926-B
異能 异能	43-62975-B
異見 异见	43-63027-B
異見者 异见者	43-63084-B
異言 异言	43-63138-B
異議 异议	43-63187-B
異議人士 异议人士	43-63236-B
異議份子 异议分子	43-63299-B
異議者 异议者	43-63381-B
異讀 异读	43-63443-B
異質 异质	43-63548-B
異質網路 异质网路	43-63594-B
異質體 异质体	43-63670-B
異軍突起 异军突起	43-63720-B
異鄉 异乡	43-63808-B
異鄉人 异乡人	43-63875-B
異頻雷達收發機 异频雷达收发机	43-63944-B
異香 异香	43-64089-B
異體 异体	43-64136-B
異體字 异体字	43-64205-B
畲	43-59722-S
畲族	43-59760-S
畳	43-64272-S
畳 畳	43-64272-B
畴	44-1060-S
當 当	43-64373-B,43-64540-B
當上 当上	43-64648-B
當下 当下	43-64732-B
當世 当世	43-64796-B
當世之冠 当世之冠	43-64882-B
當世冠 当世冠	43-64997-B
當世無雙 当世无双	43-65101-B
當中 当中	43-65182-B
當之無愧 当之无愧	43-65252-B
當事 当事	43-65323-B
當事人 当事人	43-65410-B
當事國 当事国	43-65507-B
當事者 当事者	43-65575-B
當今 当今	43-65665-B
當代 当代	43-65728-B
當作 当作	43-65799-B
當做 当做	43-65852-B
當兒 当儿	43-65927-B
當兵 当兵	43-66014-B
當初 当初	43-66086-B
當前 当前	43-66144-B
當務之急 当务之急	43-66228-B
當即 当即	43-66298-B
當啷 当啷	43-66351-B
當回事 当回事	43-66415-B
當回事兒 当回事儿	43-66574-B
當地 当地	43-66718-B
當地居民 当地居民	43-66757-B
當地時間 当地时间	43-66847-B
當場 当场	43-66914-B
當天 当天	43-66975-B
當家 当家	43-67032-B
當局 当局	43-67091-B
當年 当年	43-67136-B
當心 当心	43-67222-B
當成 当成	43-67281-B
當日 当日	43-67343-B
當時 当时	43-67403-B
當時的 当时的	43-67461-B
當權 当权	43-67524-B
當歸 当归	43-67573-B
當涂 当涂	43-67625-B
當演員 当演员	43-67686-B
當然 当然	43-67747-B
當真 当真	43-67844-B
當眾 当众	43-67915-B
當舖 当铺	43-67983-B
當選 当选	43-68053-B
當量 当量	43-68099-B
當量劑量 当量剂量	43-68141-B
當鋪 当铺	43-68216-B
當陽 当阳	43-68286-B
當雄 当雄	43-68350-B
當面 当面	44-0-B
畷	44-65-S
畷 畷	44-65-B
畸	44-115-S
畸 畸	44-115-B
畸变	44-415-S
畸形	44-198-S
畸形 畸形	44-198-B
畸形儿	44-266-S
畸形兒 畸形儿	44-266-B
畸胎	44-348-S
畸胎 畸胎	44-348-B
畸變 畸变	44-415-B
畸零	44-470-S
畸零 畸零	44-470-B
畹	44-580-S
畹 畹	44-580-B
畹町	44-625-S
畹町 畹町	44-625-B
畽	44-688-S
畽 畽	44-688-B
畾	44-736-S
畾 畾	44-736-B
畿	44-782-S
畿 畿	44-782-B
疆	44-832-S
疆 疆	44-832-B
疆土	44-872-S
疆土 疆土	44-872-B
疆场	44-960-S
疆域	44-916-S
疆域 疆域	44-916-B
疆場 疆场	44-960-B
疆界	44-1009-S
疆界 疆界	44-1009-B
疇 畴	44-1060-B
疊 叠	44-1129-B
疊加 叠加	44-1193-B
疊層石 叠层石	44-1257-B
疋	44-1315-S
疋 疋	44-1315-B
疎	44-1354-S
疎 疎	44-1354-B
疏	44-1400-S
疏 疏	44-1400-B
疏于防范	44-2538-S
疏勒	44-1598-S
疏勒 疏勒	44-1598-B
疏勒县	44-1717-S
疏勒国	44-1668-S
疏勒國 疏勒国	44-1668-B
疏勒縣 疏勒县	44-1717-B
疏导	44-1787-S
疏導 疏导	44-1787-B
疏忽	44-1916-S
疏忽 疏忽	44-1916-B
疏忽大意	44-1967-S
疏忽大意 疏忽大意	44-1967-B
疏忽职守	44-2074-S
疏忽職守 疏忽职守	44-2074-B
疏挖	44-2153-S
疏挖 疏挖	44-2153-B
疏放	44-2218-S
疏放 疏放	44-2218-B
疏散	44-2328-S
疏散 疏散	44-2328-B
疏散措施	44-2424-S
疏散措施 疏散措施	44-2424-B
疏於防範 疏于防范	44-2538-B
疏松	44-3487-S
疏浚	44-2642-S
疏浚 疏浚	44-2642-B
疏淡	44-2685-S
疏淡 疏淡	44-2685-B
疏率	44-2738-S
疏率 疏率	44-2738-B
疏略	44-2800-S
疏略 疏略	44-2800-B
疏而不漏	44-2870-S
疏而不漏 疏而不漏	44-2870-B
疏肝理气	44-2929-S
疏肝理氣 疏肝理气	44-2929-B
疏落	44-3049-S
疏落 疏落	44-3049-B
疏財仗義 疏财仗义	44-3099-B
疏財重義 疏财重义	44-3174-B
疏财仗义	44-3099-S
疏财重义	44-3174-S
疏远	44-3249-S
疏遠 疏远	44-3249-B
疏附	44-3343-S
疏附 疏附	44-3343-B
疏附县	44-3405-S
疏附縣 疏附县	44-3405-B
疏鬆 疏松	44-3487-B
疐	44-3531-S
疐 疐	44-3531-B
疑	44-3563-S
疑 疑	44-3563-B
疑义	44-4873-S
疑云	44-5095-S
疑似	44-3618-S
疑似 疑似	44-3618-B
疑兵	44-3684-S
疑兵 疑兵	44-3684-B
疑冰	44-3754-S
疑冰 疑冰	44-3754-B
疑問 疑问	44-3863-B
疑問代詞 疑问代词	44-3957-B
疑問句 疑问句	44-4041-B
疑团	44-4129-S
疑團 疑团	44-4129-B
疑心	44-4216-S
疑心 疑心	44-4216-B
疑忌	44-4258-S
疑忌 疑忌	44-4258-B
疑念	44-4321-S
疑念 疑念	44-4321-B
疑惑	44-4360-S
疑惑 疑惑	44-4360-B
疑惧	44-4529-S
疑慮 疑虑	44-4470-B
疑懼 疑惧	44-4529-B
疑案	44-4571-S
疑案 疑案	44-4571-B
疑点	44-5159-S
疑犯	44-4632-S
疑犯 疑犯	44-4632-B
疑狱	44-4674-S
疑獄 疑狱	44-4674-B
疑神疑鬼	44-4732-S
疑神疑鬼 疑神疑鬼	44-4732-B
疑窦	44-4824-S
疑竇 疑窦	44-4824-B
疑義 疑义	44-4873-B
疑虑	44-4470-S
疑问	44-3863-S
疑问代词	44-3957-S
疑问句	44-4041-S
疑阵	44-4921-S
疑陣 疑阵	44-4921-B
疑难	44-5002-S
疑難 疑难	44-5002-B
疑雲 疑云	44-5095-B
疑點 疑点	44-5159-B
疒	44-5209-S
疒 疒	44-5209-B
疔	44-5235-S
疔 疔	44-5235-B
疕	44-5273-S
疕 疕	44-5273-B
疖	44-21734-S
疗	44-20127-S
疗养	44-20293-S
疗效	44-20175-S
疗法	44-20242-S
疘	44-5320-S
疘 疘	44-5320-B
疙	44-5348-S
疙 疙	44-5348-B
疙瘩	44-5381-S
疙瘩 疙瘩	44-5381-B
疚	44-5470-S
疚 疚	44-5470-B
疝	44-5522-S
疝 疝	44-5522-B
疟	44-19144-S,44-19175-S
疟原虫	44-19205-S
疟疾	44-19283-S
疟疾病	44-19324-S
疟蚊	44-19377-S
疠	44-21048-S
疡	44-17473-S
疢	44-5552-S
疢 疢	44-5552-B
疣	44-5585-S
疣 疣	44-5585-B
疣状	44-5619-S
疣狀 疣状	44-5619-B
疤	44-5679-S
疤 疤	44-5679-B
疤痕	44-5705-S
疤痕 疤痕	44-5705-B
疥	44-5742-S
疥 疥	44-5742-B
疥疮	44-5772-S
疥瘡 疥疮	44-5772-B
疧	44-5816-S
疧 疧	44-5816-B
疫	44-5843-S
疫 疫	44-5843-B
疫区	44-5880-S
疫區 疫区	44-5880-B
疫情	44-5925-S
疫情 疫情	44-5925-B
疫病	44-5977-S
疫病 疫病	44-5977-B
疫苗	44-6026-S
疫苗 疫苗	44-6026-B
疮	44-18141-S
疮疤	44-18182-S
疮痂	44-18222-S
疮痍	44-18273-S
疮痍满目	44-18392-S
疮痕	44-18541-S
疯	44-17065-S
疯子	44-17104-S
疯牛病	44-17151-S
疯狂	44-17248-S
疯瘫	44-17311-S
疯癫	44-17385-S
疱	45-811-S
疱疹	45-845-S
疱疹病毒	45-923-S
疲	44-6067-S
疲 疲	44-6067-B
疲乏	44-6094-S
疲乏 疲乏	44-6094-B
疲倦	44-6137-S
疲倦 疲倦	44-6137-B
疲劳	44-6181-S
疲劳症	44-6245-S
疲勞 疲劳	44-6181-B
疲勞症 疲劳症	44-6245-B
疲惫	44-6298-S
疲憊 疲惫	44-6298-B
疲軟 疲软	44-6353-B
疲软	44-6353-S
疳	44-6403-S
疳 疳	44-6403-B
疵	44-6433-S
疵 疵	44-6433-B
疶	44-6474-S
疶 疶	44-6474-B
疸	44-6506-S
疸 疸	44-6506-B
疹	44-6537-S
疹 疹	44-6537-B
疹子	44-6573-S
疹子 疹子	44-6573-B
疼	44-6610-S
疼 疼	44-6610-B
疼愛 疼爱	44-6671-B
疼死	44-6719-S
疼死 疼死	44-6719-B
疼爱	44-6671-S
疼痛	44-6767-S
疼痛 疼痛	44-6767-B
疽	44-6812-S
疽 疽	44-6812-B
疾	44-6842-S
疾 疾	44-6842-B
疾书	44-7017-S
疾恶如仇	44-6890-S
疾惡如仇 疾恶如仇	44-6890-B
疾書 疾书	44-7017-B
疾病	44-7066-S
疾病 疾病	44-7066-B
疾病控制中心	44-7124-S
疾病控制中心 疾病控制中心	44-7124-B
疾病突发	44-7238-S
疾病突發 疾病突发	44-7238-B
疾病預防中心 疾病预防中心	44-7319-B
疾病预防中心	44-7319-S
疾苦	44-7430-S
疾苦 疾苦	44-7430-B
疾走	44-7509-S
疾走 疾走	44-7509-B
疾速	44-7556-S
疾速 疾速	44-7556-B
疾風 疾风	44-7614-B
疾風勁草 疾风劲草	44-7683-B
疾風知勁草 疾风知劲草	44-7881-B
疾风	44-7614-S
疾风劲草	44-7683-S
疾风知劲草	44-7881-S
疾馳 疾驰	44-8129-B
疾馳而過 疾驰而过	44-8168-B
疾驰	44-8129-S
疾驰而过	44-8168-S
疿	44-8232-S
疿 疿	44-8232-B
痁	44-8267-S
痁 痁	44-8267-B
痂	44-8305-S
痂 痂	44-8305-B
痄	44-8332-S
痄 痄	44-8332-B
病	44-8360-S
病 病	44-8360-B
病人	44-8437-S
病人 病人	44-8437-B
病从口入	44-9865-S
病例	44-8509-S
病例 病例	44-8509-B
病倒	44-8576-S
病倒 病倒	44-8576-B
病假	44-8645-S
病假 病假	44-8645-B
病入膏肓	44-8690-S
病入膏肓 病入膏肓	44-8690-B
病况	44-11567-S
病势	44-8845-S
病勢 病势	44-8845-B
病包儿	44-8935-S
病包兒 病包儿	44-8935-B
病危	44-9029-S
病危 病危	44-9029-B
病历	44-10753-S
病原	44-9099-S
病原 病原	44-9099-B
病原体	44-9239-S
病原菌	44-9161-S
病原菌 病原菌	44-9161-B
病原體 病原体	44-9239-B
病友	44-9300-S
病友 病友	44-9300-B
病变	44-12469-S
病号	44-12218-S
病员	44-9410-S
病員 病员	44-9410-B
病因	44-9492-S
病因 病因	44-9492-B
病夫	44-9552-S
病夫 病夫	44-9552-B
病害	44-9594-S
病害 病害	44-9594-B
病家	44-9642-S
病家 病家	44-9642-B
病容	44-9701-S
病容 病容	44-9701-B
病床	44-9748-S
病床 病床	44-9748-B
病征	44-9806-S
病征 病征	44-9806-B
