to crush and bury	16-32967-B
to do as much as one pleases	4-43038-B
to do as one likes	4-42048-B
to do as one pleases	24-11598-B
to do as requested	24-11014-B
to do away with	46-20852-B,64-33491-B
to do better	44-27477-S
to do business	6-15513-B,41-31429-B
to do business together	12-38032-B
to do embroidery	50-41210-B
to do even more	30-12804-S
to do everything one can	18-18094-B
to do everything oneself 成语 saw	10-18713-B
to do evil	5-6843-B
to do formerly	23-62124-S
to do harm rather than good	32-31696-B
to do harm to	19-58469-B
to do light manual labor only	10-55258-S
to do magic tricks	59-8757-B
to do more than is required 成语 saw	16-59492-B
to do next	9-24821-S,41-42625-S
to do odd jobs	60-37696-B
to do official business according to the official principles i e without involving private interests	7-54219-B
to do one s best	45-7790-B
to do one s bidding	28-1754-S
to do one s dirty work	5-64277-S
to do one s duty	40-12828-S
to do one s utmost	1-60769-B,45-8143-B
to do research	24-10279-B
to do sb a favor a little cost	68-25384-B
to do sb s bidding	24-11014-B
to do sb to death	19-59314-B
to do shadowboxing	26-44824-B
to do so	25-37755-S,32-56406-S
to do something	13-17658-S,23-23940-S,36-65552-S,56-32224-S,65-21183-S
to do something desperate	62-33697-S
to do something to sb	18-2351-B
to do sth	2-3813-S,2-6805-S,2-7117-S,2-10162-S,2-10162-S,2-14148-S,2-15004-S,5-16361-S,5-16975-S,5-16975-S,6-60680-S,8-64873-S,9-66715-S,12-8362-S,13-19491-S,17-63997-S,23-44500-S,23-64931-S,24-35412-S,24-43001-S,25-1039-S,25-25773-S,25-25890-S,26-46980-S,26-62187-S,27-17530-S,27-41357-S,27-46542-S,27-66550-S,28-6629-S,28-27616-S,29-26964-S,32-37889-S,34-48543-S,37-10330-S,43-14135-S,45-62887-S,46-26333-S,46-46709-S,52-12974-S,52-27412-S,52-27412-S,61-15672-S,61-51993-S,61-52410-S,68-45173-S,69-21322-S,70-21176-S
to do sth bad	65-10505-S
to do sth beyond one s means in order to look impressive	26-48362-B
to do sth for a bit to give it a try	1-399-B
to do sth for sb	49-49050-B
to do sth for show	29-30165-B
to do sth half heartedly or just for show	30-18740-B
to do sth in batches or groups	8-53309-B
to do sth in time	5-17849-S
to do sth more quickly	24-49562-B,24-49645-S
to do sth to one s heart s content	62-47434-B
to do sth until forced to do even more	30-12804-S
to do sth urgent	28-61896-S
to do sth when least expected 成语 saw	8-35671-B
to do sth without considering the risks	4-27069-B
to do sth without understanding it	41-9566-S
to do the actual writing	47-14119-B
to do the dishes	37-53822-B
to do the very opposite	11-44769-B
to do things all wrong	5-60574-B,61-68194-B
to do things differently	42-18392-B
to do things in bits and pieces 成语 saw	67-20251-B,67-20412-B
to do things right	32-34472-B
to do things simply and thriftily	14-62332-B
to do this	40-32748-S
to do under given circumstances	35-3044-S
to do up	5-49913-B
to do violence	56-31513-B
to do what one is told	52-1666-B
to do with	2-20331-S,32-40446-S,65-53904-S
to do with difficulty	9-66715-B
to do with him	9-4076-S
to do with obstruction of urine flow	44-20451-S
to do with sth else	40-63455-S
to do with the masses	51-11050-B
to do with the matter also used with negative	54-55949-S
to do 成语 saw	2-21606-S,26-36384-S,40-53454-S
to dock	20-50379-B,26-15854-B,28-28131-B
to doctor	24-16240-S
to dodder along	60-35229-B
to dodge	57-33974-B,65-24406-B,65-26408-B,65-26602-B
to dodge a creditor	61-64625-B
to dodge away from pursuers	65-26508-B
to domesticate	69-45508-B,69-45904-B
to dominate	67-49022-B
to dominate a whole area market	42-22085-B
to donate	28-3472-B,28-3998-B,28-4239-B,28-4526-B
to donate blood	5-22997-B,28-4324-B,42-26248-B
to donate goods to a relief effort	28-3905-B
to donate money	28-3746-B
to doodle	16-18571-B
to door	65-21452-S
to dot in the eyes	71-40905-B
to dote on sb	20-28624-B
to double	5-54369-B,16-26483-B,20-47570-B,57-4892-B,63-55524-B
to double output	9-51219-B
to doubt	26-1333-B,44-3563-B
to download	1-63312-B
to doze	6-7661-B
to doze off	26-47136-B,26-47274-B,26-49121-B,45-58268-B,45-58301-B
to dr sun yat sen	2-69526-S
to dr sun yat sen s birth place	2-69920-S
to draft	29-27569-B,29-27998-B,50-41818-B,50-41984-B
to draft a plan	29-26964-B
to draft a statement	29-27840-B
to draft for military service	24-22725-B
to drag	27-20397-B,27-36848-B,27-46984-B
to drag along	27-35188-B
to drag in	27-37745-B
to drag out a lesson	27-35787-B
to drain	16-48640-B,28-15041-B,37-59628-B,38-40489-B
to drain by leading off water	19-54987-B
to drain flooded fields	28-17422-B
to drain liquid	28-17312-B
to dramatic sale prices	43-36277-S
to dramatize historical events	39-46555-B
to draw	27-20397-B,28-36098-B,36-64579-B,50-41335-B,50-41779-B,50-41818-B,50-41984-B,69-49135-B
to draw a bamboo bow or crossbow	48-23515-B
to draw a bow	23-27332-B
to draw a cart	41-63291-B,61-8522-B
to draw a cart or a bow	28-321-B
to draw a competition	26-44239-B
to draw a dot	71-37621-B
to draw a lesson	13-3140-B
to draw a line	9-38983-B,9-40031-B
to draw a line under	64-33781-B
to draw a lucky number	2-78235-B
to draw a painting inside a gourd 成语 saw	41-9267-S
to draw a prize	27-17459-B
to draw a rectangular grid e g of farmland	26-45838-B
to draw an impossible comparison	29-27702-B
to draw attention to sth	28-40963-B
to draw blood e g for a test	27-17795-B
to draw designs	43-58287-B
to draw into	23-27909-B
to draw lots	27-20244-B
to draw money	29-37208-B
to draw near	11-23816-B
to draw one s throat and sing loudly 成语 saw	23-28297-B
to draw out	11-57923-B,27-16602-B
to draw score	22-37104-B
to draw sth out	27-16086-B
to draw straws to settle a dispute	27-17642-B
to draw the blood and qi 氣 气	27-33756-S
to draw up	9-10969-B,29-27569-B,57-56606-B,57-56976-B
to draw up a first version	54-14500-B
to draw up a plan	29-27945-B,57-56704-B
to draw up plans to deal with sth	37-215-S
to draw up the theme for discussion	8-47192-B
to draw water	36-64638-B
to dread	24-68553-B
to dream	6-14610-B,17-2184-B,17-2935-B
to dream of	17-2694-B
to dredge	26-44926-B,27-67097-B,38-41877-B,44-1400-B,44-1787-B,44-2153-B,44-2642-B
to drench	38-40489-B
to dress	26-44346-B,47-51026-B,47-51437-B,56-41824-B,57-47-B
to dress hemp	50-46682-B
to dress troops	30-16632-B
to dress up	18-36101-B,26-54681-B
to dress up in disguise 成语 saw	14-15797-B
to drift	39-42970-B,39-43626-B,68-46305-B,68-60256-B,68-60641-B,68-60710-B,68-61241-B,68-61338-B,68-61592-B
to drift about	38-4507-B
to drift aimlessly	57-63266-B
to drift along	38-52859-B
to drift also fig	39-43304-B
to drift apart	44-3249-B
to drift away	62-38485-B
to drift in the tide	39-43136-B
to drift lightly	68-60539-B
to drill	8-39893-B,50-24380-B,65-8433-B
to drill a hole	65-10505-S
to drill a way through to fame and profit	65-9643-B
to drill e g for oil	65-8660-B
to drill practice	29-20338-B
to drill troops	30-16449-B,50-24467-B
to drill wood to make fire	65-9519-B
to drink	13-14848-B,13-64043-B,14-10021-B,14-39475-B,25-22170-S
to drink a forfeit	30-12804-S
to drink a toast	3-24610-B
to drink alcohol	14-10587-B
to drink and eat wildly set phrase	42-5379-B
to drink as the result of having lost a bet	50-53621-B
to drink excessively	50-31035-B
to drink hard	42-5330-B
to drink in excess	59-39385-B
to drink tea	14-10428-B
to drink to excess	63-41363-B
to drink together in company	5-1152-B
to drink together with food	5-1152-B
to drink up	14-10207-B,14-10363-B
to drink wine	63-36936-B,69-6623-B
to drip	27-27851-B,37-59628-B,38-40489-B,39-32749-B,71-37621-B
to drip with sweat	28-49993-B,28-50088-B,39-8106-B
to drive	3-14425-B,22-28268-B,24-12474-B,69-44741-B,69-49135-B,69-49688-B,69-49740-B,69-55834-B,69-55939-B
to drive a car	65-42507-B
to drive a vehicle	56-35115-B
to drive a wedge between	27-65192-B
to drive a wedge between one s enemies	11-55489-B
to drive away	60-28549-B,60-28852-B,69-56382-B
to drive away cares	30-7968-B
to drive backwards	5-61501-B,5-61994-B
to drive fast	62-35488-B
to drive in reverse	65-30075-B
to drive out devils	69-56612-B,69-56780-B
to drive out devils and spirits exorcism	66-22685-B
to drive out evil spirits	46-54055-B,69-56843-B
to drive out the old and make a clean sweep	47-16151-B
to drive people or goods to a destination	8-45968-B
to drive to insanity	56-22172-B
to drool over 成语 saw	15-55030-B
to droop	14-30609-B
to drop	1-64037-B,16-25846-B,16-26054-B,28-12790-B,37-5859-B,39-3405-B,52-34212-B,54-49235-B,60-33968-B,66-16685-B
to drop a bag of books 成语 saw	28-13280-S
to drop anchor	1-63923-B,27-28406-B
to drop and smash	46-27680-B
to drop behind	54-48957-B
to drop bomb	26-50999-B
to drop dead	5-60246-B
to drop in	3-1631-B
to drop in torrents	6-48230-B
to drop into	16-25899-B
to drop out of school	61-14538-B
to drop quotations to appear learned	28-13280-S
to drop supplies by air	47-47591-B
to drop the matter	35-57269-B
to drop to sleep momentarily	26-47136-B
to drop to the ground	52-54345-B
to drown	38-45042-B,38-55902-B,39-25238-B
to drown one s sorrows in alcohol	6-1608-B
to drum on a bowl	71-48348-S
to drum up support	62-38300-B
to dry	29-35929-S,38-38812-B,68-53327-S
to dry and roast over a low fire tea	40-44917-B
to dry by the sun	31-57918-B
to dry clean	3-24894-B
to dry in the air	31-57876-B
to dry in the sun	31-43073-B
to dry in the sunshine	32-3858-B
to dry of paint	3-25039-B
to dry out	52-33435-B
to dry over a fire	40-40775-B,40-44749-B,40-44798-B
to dry up	3-24952-B,38-38812-B
to dry up of a plant	54-42088-B
to dry with fire	41-17541-B
to dry wood 成语 saw	40-33994-S
to dub	8-7822-B
to duck out of the way	65-24406-B
to dump	6-46239-B,27-27221-B
to dump by tipping from a vehicle	6-46478-B
to dump goods	6-49464-B
to dump selling abroad more cheaply than cost price at home	27-27453-B
to dupe	35-23458-B
to dupe sb	54-64597-B
to duplicate	24-14392-B,57-4892-B,57-6125-B,63-62749-B,63-64222-B,64-1687-B
to duplicate a document	57-5082-B
to dust	27-18314-B,29-10363-B,29-10393-B
to dwell	4-70653-B,21-17993-B,55-48615-B
to dwell together	22-58966-B
to dye one s hair	33-43681-B
to each	63-26633-S
to ear	39-40872-S,39-41686-S
to early 20th century	61-47442-S
to earn	28-19000-B
to earn a fortune	59-63238-B
to earn a living	41-31837-B,58-51168-B,58-51983-S
to earn a packet	59-63170-B
to earn money	59-63341-B
to earn one s keep	12-27872-S
to earth	28-25751-B,34-60205-S,60-46585-S,60-47001-S,66-16824-S
to earth up	15-66031-B,15-66187-B
to ease	39-1122-B,50-23358-B
to ease pressure	49-20002-B
to ease tension	50-22888-B
to ease up	13-24679-B
to eat	5-21525-S,12-26030-B,12-26162-S,12-27972-B,14-14021-B,41-16513-S,54-12427-B
to eat a meal	12-28020-B,43-36115-B
to eat a vegetarian diet	54-12823-B
to eat and drink gluttonously	52-20869-B
to eat and eat	69-8816-B
to eat any more	12-26251-S
to eat from a common pot	66-60256-B
to eat his meat and lie on his skin 成语 saw	69-3430-S
to eat humble pie	12-67653-B,24-43852-B
to eat indiscriminately	3-26631-B
to eat individually	8-60129-B
to eat meat	12-27484-B,54-12968-B,69-3308-B
to eat meat again after a period of fasting	65-41265-B
to eat meat and drink wine	54-13012-B
to eat one s fill	17-41032-B,33-37853-B,69-8881-B
to eat one s words	69-4081-S
to eat people	69-1726-B
to eat the people 成语 saw	42-28888-S
to eat till full	69-7198-B
to eat to one s heart s content	57-53404-B
to eat tofu	12-27759-B
to eat too much	69-19410-B
to eating sth	12-26481-S
to eavesdrop	6-21041-B,6-23539-B,52-796-B
to ebb	39-1189-B
to ebb and rise	38-32953-B
to echo	14-57623-B,14-58301-B,62-25127-B
to echo one another	25-59056-B
to economize	48-28185-B
to economize on food and clothing	45-33672-B
to edify	13-65863-B
to edit	29-44215-B,50-21372-B
to edit a text	71-41661-B
to edit an entry in online dictionary	50-21787-B
to edit and rectify	33-53423-B
to edit extracts	50-22165-B
to edit sb else s beautiful prose and ruin it	71-42276-S
to educate	30-4545-B,30-5577-B,66-31120-S
to education	24-16509-S
to effect a junction	32-23335-B
to effect a miracle cure of medical operation	54-54426-B
to effect a radical cure	33-64278-B
to effort	9-63459-S
to effuse	38-2176-B
to egg sb on	25-51362-B,28-54024-B
to ejaculate	20-35850-B,26-47417-S
to eject	23-47271-B
to eject from a plane	23-47955-B
to eke out a living	57-63266-B
to eke out a meager living	27-54179-B
to elaborate	64-38281-B
to elaborate on a theme	30-18562-B,30-18740-B,44-29645-B
to elaborate on a topic	65-57941-B
to elect	28-29436-B,28-32808-B,53-26363-B,62-69936-B,62-70223-B,63-1036-B
to electric typewriter	26-33061-S,26-33146-S
to electricity grid	62-15552-S
to electrify	22-29223-B,62-15552-B
to elegant music	66-55410-S
to eliminate	7-20441-B,8-38622-B,28-15041-B,28-16446-B,28-18262-B,36-64480-B,38-30982-B,38-33644-B,38-41877-B,38-44752-B,39-26529-B,46-20852-B,64-34397-B,66-21221-B,66-21534-B,66-22193-B
to eliminate at one stroke	1-17915-B
to eliminate by armed force	9-38796-B
to eliminate completely	30-38497-B
to eliminate dust i e filter out suspended particles	66-21704-B
to eliminate one variable from equations	38-29037-B
to eliminate superstition 成语 saw	46-20927-B
to eliminate the roots	66-22392-B
to eliminate weariness	38-33999-S
to eliminate worry and dispel melancholy 成语 saw	38-30133-S
to elope	18-6799-B,47-12370-B
to elucidate	61-35797-B,61-37651-B
to email	14-55184-S
to email header	29-40094-B
to emanate from	44-32060-B
to emancipate	57-47102-B,57-49147-B
to embarass	23-62749-B
to embark	3-14025-B
to embark on a journey	26-11713-B
to embed	65-7717-B,65-7772-B
to embellish	5-47277-B,39-62104-B
to embezzle	5-27147-B,9-17631-B,12-65421-B,27-69732-B
to embezzle by making illegal deductions	9-15653-B
to embitter	9-52586-B
to embody	10-13621-B,70-8393-B
to emboss	16-33805-B,27-50664-B
to embrace	18-0-B,27-13166-B,28-64972-B,28-65012-B,29-17491-B,29-17705-B,55-42523-B
to embrace also fig an ideal	26-779-B
to embroider	50-41079-B,50-41210-B
to emerge	8-35130-B,8-42047-B,8-46850-B,13-8325-B,21-22378-B,38-14275-B
to emerge in large numbers	39-13987-B
to emerge prominently	39-13987-B
to emit	8-10582-B
to emit a particle	44-27628-B
to emit bubbles	60-17156-B
to emit heat	44-31015-B
to empathize	70-7253-B,70-9900-B
to emperor guangxu until the boxer uprising	39-18770-S
to emphasize	54-56137-B,58-54728-B
to emphasize a statement	23-45490-B
to emphasize down to last detail 成语 saw	70-7031-B
to emphasize sth unduly	6-13299-B,6-13546-B
to emphathize with	70-6958-B
to empirical observation	19-53015-S
to employ	5-12764-B,5-14453-B,6-32300-B,6-52378-B,11-60118-B,23-18258-B,23-18543-B,28-21749-B,46-27368-B,50-61661-B,51-53124-B,66-60715-B
to employ confucius	70-40248-S
to employ sb competent for the task	64-5925-B
to empower	17-28311-B
to empress dowager or regent	52-58504-S
to empty a bag	5-59439-B
to empty a theater	30-7577-B
to empty one s pocket	6-47169-B
to empty out	6-46239-B
to emulate	4-45591-B,6-55996-B,29-3867-B,29-26964-B,34-57752-B,34-57821-B
to emulate a classic	29-27314-B
to emulate others	29-31792-B
to emulsify	3-21914-B
to enable	5-12764-B,5-51169-B
to encapsulate	20-34062-B
to encase	18-8143-B
to enchant	23-27516-B,61-53628-B,61-55774-B
to encircle	27-48676-B,43-5789-B,50-25184-B
to encircle and annihilate	15-21401-B
to encite	71-47822-B
to enclose	20-34062-B
to encode	7-30445-B
to encoffin a corpse	35-64477-B
to encompass	13-11289-B
to encounter	62-66430-B,63-4215-B
to encourage	9-66669-B,10-10449-B,27-30279-S,27-70166-B,40-4681-B,48-21899-B,69-11090-B,71-47899-B
to encourage and supervise esp state officials promoting agriculture	10-11529-B
to encourage sth to get bigger	28-31265-B
to encourage virtue and punish evil 成语 saw	10-10766-B
to encroach	5-26741-B,25-55896-B,60-19872-B
to encroach on	5-27217-B,5-27641-B
to encrypt	9-53995-B
to encumber	27-37342-B
to end	9-20029-S,18-38851-S,19-38032-B,32-64546-S,35-60046-B,35-60081-B,37-8514-B,45-7675-B,49-41844-B,59-40202-S,65-29825-S
to end a legal dispute	13-25276-S
to end abstinence	65-35089-B
to end in failure	13-4943-B
to endanger	11-21925-B,11-22046-B,11-22485-B
to endeavor	26-22252-B
to endorse	20-21517-B,26-57989-B,29-17852-B,59-14611-B,60-3390-B
to endorse a check	52-17907-B
to endorse retroactively	61-59979-B
to endure	7-16897-B,10-46044-S,11-37024-S,11-59370-S,11-63906-B,24-42505-B,47-142-B,49-58127-B,54-12427-S
to endure forever	36-50070-B
to endure humiliation	24-43089-B
to endure humiliation as part of an important mission	24-44065-B
to endure humiliation to preserve unity	24-43970-B
to endure it	24-42924-S
to endure silently	66-47524-B
to endure starvation	27-69366-B
to endure suffering or sorrow	54-12758-B
to endure 成语 saw	25-46843-S,25-46988-S
to enfold	27-48676-B,54-63810-B
to enforce abstinence	9-67380-B
to enforce the law strictly	15-65338-B
to engage	23-18258-B,51-53223-B
to engage in	6-13941-B,21-8874-B,42-39130-B
to engage in a contest	36-8597-B
to engage in a fight	27-53413-B
to engage in body combat or martial art	36-9643-B
to engage in business etc	49-61057-B
to engage in corrupt practice	41-32006-B
to engage in graft	41-31903-B
to engage in introspection	11-51886-B
to engage in physical exercise	64-50285-B
to engage the gear	28-19703-B
to engender	43-32422-B
to english ity	5-8176-S
to engrave	8-33615-B,9-14180-B,23-56627-B,66-62191-B
to engrave metal of wood	64-53456-B
to engrave or carve	64-35402-B,65-8009-B
to engrave wood or stone	66-62781-B
to engulf	12-65023-B,12-65421-B,22-27288-B
to enhance mental performance	28-41051-S,28-41205-S
to enjoin	59-40430-B
to enjoy	4-1865-B,11-59537-B,14-6828-B,35-22544-B,42-40741-B
to enjoy a comfortable retirement	49-17066-B
to enjoy a reputation	4-1981-B,4-2623-B
to enjoy drinking	31-64485-B
to enjoy fame without sharing it	29-18431-B
to enjoy fully	69-7677-B
to enjoy good fortune	47-4914-B
to enjoy having guests	18-27937-B
to enjoy oneself	42-40459-B
to enjoy oneself to the full	45-8447-B,62-47434-B
to enjoy rights	4-1928-B
to enjoy sth and never tire of it 成语 saw	34-49355-B
to enjoy success	24-8962-B
to enjoy the cool air	49-16876-B
to enjoy the limelight	8-47425-B
to enjoy the spring scenery	20-45872-S
to enjoy the use of	4-2465-B
to enjoy usually in negative combination	38-29712-B
to enjoy watching a bustling scene	45-39002-B
to enlarge	16-26685-B,29-28877-B,29-49118-B
to enlighten	13-65224-B,44-1787-B,61-50387-B,65-33682-B,71-38410-B
to enlighten people with perfect wisdom	63-47720-S
to enlightenment	25-53101-S,34-33207-S
to enlist	27-41303-B
to enlist enemy or rebel soldiers by offering amnesty	27-41476-B,27-42201-B
to enlist in military	27-3577-B
to enlist the services of sb	23-17737-B,23-18319-B
to enliven	27-3832-B,28-57233-B
to enquire	57-62924-B,57-62985-S,59-60900-B
to enrage people and make matters worse	40-19642-B,40-19806-B
to enrage sb	25-24656-B
to enrich	40-7651-B
to enrich oneself dishonestly	69-8034-B
to enroll	64-42406-B
to enroll new students	27-42792-B
to enserf	23-60500-B
to enshrine and worship	5-22179-B
to enslave	18-23070-B
to ensue	28-27616-B
to ensure	5-39379-B,5-40874-B,46-33291-B
to ensure public security	5-35702-B
to ensure safety for workers engaged in production	5-35702-B
to ensure success	64-38112-S
to entangle	49-1680-B,50-45888-B
to entangle sb	42-310-B
to enter	7-23713-B,28-25867-S,62-28385-B,62-28956-B
to enter a building	46-64441-S
to enter a door	7-25930-B
to enter a hole	65-8433-B
to enter a school or college	7-24504-B
to enter by exploiting a weak spot 成语 saw	3-14163-B
to enter by the back door	60-11548-S
to enter college after a competitive exam	51-32358-B
to enter data	61-6989-B
to enter heaven	1-55637-B
to enter hell	60-15602-B
to enter hospital	7-26020-B
to enter nirvana buddh 	7-25076-B
to enter the capital	62-28637-B
to enter the hall of heaven	62-28547-B
to enter the next grade school	10-53030-B
to enter the way	7-25719-B
to enter the world i e to be born	8-33872-B
to entertain	27-41664-B
to entertain a customer of prostitute	61-45934-B
to entertain a proposal	1-75081-S
to entertain illusions	24-33353-B
to enthusiastically promote	71-47943-B
to entice	27-23277-B,27-43566-B,27-64379-B,27-66321-B,58-23861-B,58-24226-B,64-24495-B
to entrap	58-29886-B
to entrench oneself	45-12041-B
to entrust	5-45005-B,20-1024-B,57-65349-B
to entrust a ask to sb else	14-44882-B
to entrust a task	59-59451-B
to entrust the care of sb	20-2734-B
to entrust to	4-27391-B,5-16361-B
to enumerate	53-26363-B
to envelope	41-34095-B
to envigorate	27-3832-B
to envisage	58-1937-B
to envision	68-30163-B
to envy	45-52440-B,51-12258-B
to envy etc	24-42347-S
to epitomize	34-52730-B
to equal	15-52154-B,48-18767-B
to equalize	15-48224-B
to equate	48-17950-B
to equip	30-16223-B
to equivocate	27-30867-B,34-58955-B,61-23153-B
to eradicate	9-31199-B,9-31478-B,9-38287-B,12-26030-B,14-14021-B,27-66858-B,29-16612-B,33-64725-B,54-8874-B
to eradicate evil completely 成语 saw	66-22063-B
to eradicate traitors	58-18926-B
to erase	27-15528-B,27-15714-B,27-15798-B,29-25752-B,29-26135-B,46-39798-B,67-11409-S
to erect	29-37208-B,59-18937-B
to erode	5-27939-B
to err	21-63306-B,23-24450-B,42-3203-B
to erupt	14-37409-B,41-34704-B
to escalate in intensity	10-53465-B
to escape	52-32243-B,52-34409-B,60-19224-S,60-35466-B,61-64273-B,61-64679-B,61-65269-B,61-65313-B,61-65514-B,61-65586-B,62-34869-B,62-67157-B,63-5989-B
to escape a problem	37-11802-S
to escape danger	52-34561-B,63-7865-B
to escape from	67-11634-S
to escape from a famine	61-65368-B
to escape from danger	8-46665-B
to escape from infatuation or addiction	45-46308-S
to escape from prison	61-65086-B
to escape into exile	8-38091-B
to escape poverty	52-35335-B
to escape the dragnet of the law	67-13531-S
to escape the net of justice	37-32825-S
to escape to faraway places	62-63022-B
to escape without trace 成语 saw	61-64325-B
to escort	59-5610-B,59-5666-B
to escort a criminal under guard in former times	62-59938-B
to escort the bride	61-45175-B,61-45175-S,61-45804-B,61-45804-S
to estabilish a factory	58-1878-B
to establish	9-36337-B,9-37553-B,9-37695-B,18-11643-B,23-20176-B,34-61575-B,46-33883-B,58-1576-B,58-2200-B
to establish a brand	9-36836-B
to establish a reputation for quality	9-36836-B
to establish diplomatic relations	23-20341-B
to establish separate units	8-58328-B
to esteem	21-6819-B,30-13002-B
to estimate	4-59984-B,28-10527-B,28-47909-B,47-34257-B,47-62513-B,64-4777-B,68-28315-B,68-30477-B
to estimate by eye	45-17480-B
to estimate how much food is required for a meal	64-6462-B
to estimate one s strength	64-5164-B
to estimate the value	4-59603-B
to estimate value of property	4-59757-B
to estimates	29-23619-S
to etymologically correct form 正體字 正体字	5-33212-S
to eulogize	6-42687-B,59-14787-B,68-27789-B
to europe	3-59833-S
to evacuate	44-2328-B,61-26558-B
to evacuate a building in an emergency	44-2424-S
to evacuate e g foreign civilians from a war zone	29-10674-B
to evade	14-57954-B,57-33974-B,63-7797-B,65-26408-B
to evade debt	5-61375-B
to evade responibility and push it to others	28-29735-S
to evaluate	13-35343-B,26-58283-S,58-7115-B,58-7115-B,58-7204-B,58-7392-B,58-7462-B,58-55279-B,65-6484-B
to evaluate an individual	13-35625-B
to evaluate by comparison	58-7629-B
to even sth out	71-53268-B
to even tone i e final rhyming syllable must be classical first or second tone 平聲 平声	27-16295-S
to even up	26-60297-B,27-22821-B
to every household 成语 saw	26-24834-S
to every instance	13-11754-S
to every opportunity	40-49606-S
to every question	1-4844-S
to everyone	12-25246-S,18-54780-S,25-63858-S
to evesdrop	45-9932-B
to evoke attention	14-6607-B
to evolve	39-45300-B,39-47005-B,56-36147-B
to evolve from	44-33252-B
to evolve the new from the old	28-33047-B
to evolve together	12-35300-B
to exacerbate	9-52586-B,61-21429-B
to exact	49-26044-B
to exaggerate	58-19264-B,58-19404-B,59-6889-B,60-54248-B,62-48737-B
to exaggerate certain adjectives	7-70152-S
to exaggerate one s sex appeal	53-437-B
to examine	4-61783-B,13-35343-B,20-10355-B,20-11149-B,20-20557-B,20-21638-B,20-21798-B,20-23025-B,29-43304-B,33-45415-B,33-46544-B,33-53995-B,35-12547-B,35-14610-B,35-14674-B,45-10338-B,45-39304-B,51-32161-B,51-34039-B,57-42113-B,69-57743-B
to examine and approve	20-20979-B,20-21517-B
to examine and fix a motor	35-12601-B
to examine and judge the situation	20-21272-B
to examine and recognize	61-38102-B
to examine and revise	20-22772-B
to examine by fluoroscopy i e x ray	62-1206-B
to examine closely	20-21049-B
to examine finances	20-22839-B
to examine minutely	61-56577-B
to examine oneself	45-33984-B
to examine oneself critically	45-33026-B
to examine roots and inquire at the base 成语 saw	20-45227-S,45-11228-S,58-12152-S,61-58233-S
to examine the cadres	20-21117-B
to examine under torture	27-50496-B
to exasperate	25-26682-B
to excavate	27-66754-B,27-66915-B,27-67139-B,65-35895-B,65-35963-B
to exceed	38-12409-B,60-19642-B,60-19872-B,60-23942-B,60-24230-B,60-24297-B,60-25465-B,60-26245-B,62-34674-B,62-34758-B,70-15715-B
to exceed a production goal	60-21900-B
to exceed by far	62-63116-B
to exceed one s authority	60-27460-B
to exceed one s place and meddle in other people s affairs	60-25771-S
to exceed the norm	60-21670-B
to exceed the time limit	62-46395-B
to excel	57-25715-S,60-47348-B,62-43320-B
to excel by far	7-34457-B
to excel in some field	29-18260-B
to excel the others 成语 saw	8-47262-B
to excerpt	28-64323-B,28-64500-B,28-64638-B
to excess	42-5473-S,63-41363-S
to exchange	3-44979-B,3-68838-B,3-70505-B,5-62129-B,7-20005-B,10-37629-B,20-50460-B,39-31091-B,58-37575-B,61-24211-B
to exchange conventional greetings	20-9209-B
to exchange fire	27-52557-B
to exchange flirting glances with sb	45-16891-B,45-35301-B
to exchange roles	20-56541-B
to exchange toasts	63-43505-B
to excise	8-63402-B,28-64693-B
to excise cut out	9-34283-B
to excite	5-15453-B,26-53488-B,40-4211-B,40-4618-B,40-5545-B,51-67244-B
to exclaim in admiration	69-60117-B
to exclaim in astonishment	69-60195-B
to exclude	28-16446-B,66-21221-B,66-21915-B
to exclude foreign contact	64-52371-B,65-29378-S
to excommunicate	49-47674-B
to excoriate	13-16248-B
to excrete	28-17213-B,28-17479-B
to exculpate	8-58683-B,65-40509-B,65-40579-B
to excuse	7-20160-B,11-35600-B,20-24082-B,20-27720-B
to excuse oneself because of illness	58-56911-B
to execute	15-65610-B,30-65228-B,34-45199-B,58-18107-B,62-30357-B
to execute a condemned criminal	55-50151-B
to execute by firing squad	34-44920-B
to execute by hanging	49-48491-B
to execute by shooting	34-44920-B
to execute sb and mince his flesh and bones archaic form of retribution	54-38528-B
to execute the whole family unto the third generation	39-41575-B
to exempt	7-20160-B,59-16427-B
to exempt sb from duty	7-21419-B
to exercise	8-39893-B,29-20338-B
to exercise control over	28-28941-B
to exercise forbearance	24-43660-B
to exercise magical powers	13-19755-B
to exercise one s mind	62-40016-B
to exercise patience	24-43503-B
to exercise restraint	5-37316-B
to exercise sole hegemony 成语 saw	42-22085-B
to exercises	68-43263-S
to exert	9-62018-B
to exert a gradual influence	41-12758-B
to exert all one s strength	5-14948-B
to exert oneself	8-36012-B
to exhale	13-16787-B
to exhaust	12-26030-B,14-14021-B,35-64301-B,40-277-B,43-35797-B,45-7675-B,47-65021-B
to exhibit	21-22089-B,21-22684-B,29-29351-B,44-29645-B,68-50157-B
to exhibit one s skills	67-46431-B
to exhort	8-61111-B,10-10627-B,12-10735-B,14-44821-B
to exhort again and again	12-10796-B
to exist	15-33424-B,19-7568-B,19-8416-S,32-29282-B,43-20066-B
to exist at the same time	5-11900-B
to exist forever	65-13098-B
to exist in buddhism	43-30677-S
to exist or perish	19-7249-B
to exit	67-8981-B
to exit from	23-47271-B
