lā jiā	69-38107-S
lǐ luó jí	30-23312-S
lǐ lán	69-41942-S
lǐ lán kǎ	30-43099-S
lǐ lán qīng	33-2119-B
lǐ lán zhōu	69-41993-S
lǐ lèi yà	9-60284-S
lǐ lèi yà hǎi	9-60345-S
lǐ lì shān	33-6319-B
lǐ lì zhēng	29-24599-S
lǐ lí zǐ diàn chí	64-38946-B
lǐ lín fǔ	33-3672-B
lǐ líng	33-5975-B,63-51404-B
lǐ lù	42-56956-B
lǐ lù shèng dú wàn juǎn shū	56-34692-S
lǐ lùn	4-63782-S,4-63941-S,5-8412-S,8-52025-S,19-45427-S,23-21648-S,31-52555-S,32-18969-S,34-58072-S,42-56569-B,47-42798-S,47-54022-S,49-42787-S,57-33826-S,60-20659-S,63-33142-S
lǐ lùn gòng xiàn	42-56742-B
lǐ lùn jiā	42-56677-B
lǐ lùn shàng	42-56608-B
lǐ lā	69-25740-S
lǐ lǐ qín	21-7812-S
lǐ lǐ wài wài	57-2273-B
lǐ lǜ yuán	33-4929-B
lǐ miàn	57-2454-B
lǐ màn dān	9-59411-S
lǐ mào	32-37818-S,47-9208-B
lǐ míng bó	33-3407-B
lǐ mù	7-19378-S,16-18224-S
lǐ mù bàn dǎo	7-18693-S
lǐ mù hé	16-18051-S
lǐ mù hú	60-1263-S
lǐ mù pén dì	16-18302-S
lǐ mù zhàn zhēng	7-19448-S
lǐ mǐ	6-27774-S
lǐ mǐ yà	7-18785-S
lǐ mǐn	23-61321-S
lǐ mǐn yǒng	33-2861-B
lǐ mǔ lín gōng	7-18617-S
lǐ mǔ sī tǎ	34-100-S
lǐ niàn	42-54738-B
lǐ nuò	16-21237-S
lǐ nán	55-41329-S,55-41787-S
lǐ nán hé	55-41380-S
lǐ néng lì	55-50345-S
lǐ ní dǎo	34-6519-S
lǐ níng	33-1923-B
lǐ níng gé lè	9-60208-S
lǐ níng gé lè zhōu	9-59316-S
lǐ pào	47-8712-B
lǐ pào hào	47-8784-B
lǐ péng	33-6270-B
lǐ píng yuán	49-26920-S
lǐ pǐn	47-8103-B
lǐ pǔ sī	7-19281-S
lǐ qiáo sǒu	6-27509-S
lǐ qiè tè	31-52711-S
lǐ qiú sī	36-15532-S
lǐ quán	47-8649-B
lǐ qì	13-24971-S,24-21506-S,42-55670-B,44-2929-S,47-8148-B,55-50293-S
lǐ qì huà tán	42-55747-B
lǐ qí	64-15441-S
lǐ qí dùn	22-17657-S
lǐ qín	21-7812-S
lǐ qún	33-5272-B
lǐ qīng rén yì zhòng	47-9333-B
lǐ qīng zhào	33-4192-B
lǐ qū	40-19069-S
lǐ qū cí qióng	42-54230-B
lǐ qǔ nào	40-57001-S
lǐ ruì huán	33-4640-B
lǐ rén	4-32475-S,48-26631-S
lǐ rǔ zhēn	33-4017-B
lǐ shuò shì	4-46725-S,21-54562-S
lǐ shuō	27-63045-S
lǐ shuǐ	40-1998-B
lǐ shén lùn	42-56301-B
lǐ shì	8-30279-S,17-4379-S,17-28024-S,22-30269-S,33-3840-B,42-53495-B,63-54822-B
lǐ shì cháo xiǎn	33-3913-B
lǐ shì duō dé	3-64646-S
lǐ shì guó	22-29820-S
lǐ shì huì	19-24065-S,32-25035-S,42-53545-B
lǐ shì mín	33-524-B
lǐ shì mǎn	57-1754-B,63-54581-B
lǐ shì zhèn jí	63-54870-B
lǐ shì zhǎng	42-53596-B
lǐ shí	7-65269-S,15-60055-S,17-28202-S
lǐ shí dì nà	31-51063-S
lǐ shí huán	49-27022-S
lǐ shí zhēn	33-3472-B
lǐ shù	32-36431-S,33-3798-B
lǐ shā mò	69-54285-S
lǐ shān	66-12122-S
lǐ shān xiāng	66-13250-S
lǐ shāng yǐn	33-1504-B
lǐ shū	4-64611-S
lǐ shū tóng	33-1436-B
lǐ suǒ dāng rán	42-55266-B
lǐ sà bāng	18-16944-S
lǐ sòng é máo	10-51499-S
lǐ sù zhì	24-35241-S
lǐ sú	47-7947-B
lǐ sēn shǐ mì tè	13-40301-S
lǐ sī	10-18970-S,22-60405-S,33-2924-B,43-11557-S,49-27226-S,66-433-S
lǐ sī bān	22-17742-S
lǐ sī běn	57-1959-B
lǐ sī bǎo	13-40238-S
lǐ sī duō dé	3-64732-S
lǐ sī dì wá	7-18843-S
lǐ sī dì ān sōng	7-19178-S
lǐ sī dǎo	23-31993-S
lǐ sī hé	22-60479-S
lǐ sī kè	40-37804-S
lǐ sī lán	23-32936-S
lǐ sī tuō fú	7-19095-S
lǐ sī tuō fāng	66-13486-S
lǐ sī tuō fēn	66-13395-S
lǐ sī tè	33-2977-B
lǐ sī tè jūn	33-3224-B
lǐ sī tè shì gǎn jūn	33-3051-B
lǐ sī tè shì jūn	33-3143-B
lǐ tiāo yī	44-58072-S
lǐ tiě	33-5784-B
lǐ tou	3-41520-S,57-2503-B
lǐ tái	38-5015-S
lǐ táng	42-53795-B,47-8213-B
lǐ táo shēng	35-59343-S
lǐ tè	7-19530-S,28-37158-S
lǐ tè dǎo	7-19577-S
lǐ tí bā	23-65-S
lǐ tún	1-41392-S
lǐ tǎ ní yà	36-15459-S
lǐ tǎn ní	22-17578-S
lǐ tǒng jì	34-37730-S
lǐ wài	57-1806-B
lǐ wài wài	57-2273-S
lǐ wá zhuàn	33-1707-B
lǐ wéi	33-4995-B
lǐ wéi shǐ tuó	33-5062-B
lǐ wén	33-4599-B
lǐ wù	47-8843-B
lǐ wēn	15-60417-S
lǐ wěi yuán huì	15-7572-S
lǐ wǎ jī yà tiáo yuē	63-55025-B
lǐ wǎ ěr duō	57-2213-B
lǐ xiàn	32-24644-S,40-2059-B,42-56351-B,47-9003-B,56-21563-B
lǐ xiào yìng	33-60254-S
lǐ xián xià shì	47-9257-B
lǐ xié yì	48-36803-S
lǐ xiān niàn	33-947-B
lǐ xiāng	7-53320-S,12-59867-S,17-62691-S,20-8434-S,36-47188-S,44-58161-S,54-48108-S
lǐ xiāng dài	4-38274-S
lǐ xiǎn lóng	33-6121-B
lǐ xiǎng	2-18730-S,42-55100-B
lǐ xiǎng guó	42-55140-B
lǐ xiǎo lóng	33-2052-B
lǐ xué	6-3375-S,15-43042-S,15-43224-S,17-55108-S,19-37290-S,20-16234-S,24-35054-S,30-21006-S,41-53988-S,42-53868-B,43-26263-S,44-11801-S,48-26922-S,55-34630-S,58-21311-S,59-5194-S
lǐ xué huì	2-56774-S
lǐ xué jiā	15-43276-S,24-35108-S,41-54038-S,42-53918-B,43-26319-S
lǐ xué shuò shì	42-54034-B
lǐ xué shuò shì xué wèi	42-54122-B
lǐ xuě jiàn	33-6025-B
lǐ xì tǒng	50-8284-S,57-61234-S
lǐ xìn xī kù	48-26682-S
lǐ xìng	12-35873-S,42-54802-B,43-26388-S
lǐ xìng rèn shi	42-55017-B
lǐ xìng yǔ gǎn xìng	42-54929-B
lǐ xìng zhì	41-54159-S
lǐ xìng zhǔ yì	42-54863-B
lǐ xī	23-32722-S
lǐ xī huò fēn	33-2174-B
lǐ xī tè huò fēn	63-54722-B
lǐ xī yà	57-23580-S
lǐ xīn	12-49813-S
lǐ yuán	15-26536-S,47-29623-S,48-26855-S,48-41489-S,50-8194-S
lǐ yuān	13-53023-S,33-4141-B
lǐ yuē rè nèi lú	63-55392-B
lǐ yuē sè	33-4872-B,33-5203-B
lǐ yuǎn zhé	33-5728-B
lǐ yà	3-60305-S,9-5979-S,9-7113-S,11-28970-S,37-39517-S,49-27862-S,66-8097-S
lǐ yà bīn	30-39122-S
lǐ yà hǎi	3-59120-S
lǐ yà nà	10-36525-S
lǐ yà nà qún dǎo	10-36612-S,69-43587-S
lǐ yà sī	66-5155-S
lǐ yá men	50-34041-S
lǐ yán	17-27900-S
lǐ yán shuǐ	43-26448-S
lǐ yán shòu	33-2317-B
lǐ yè	6-25771-S
lǐ yì	47-9055-B
lǐ yí	47-7995-B
lǐ yóu	42-55867-B
lǐ yù	1-76968-S,33-4549-B
lǐ yú	33-4444-B,70-43986-B
lǐ yē wéi qí	43-11684-S
lǐ yīng	33-5154-B,42-55226-B
lǐ yīng rú	33-5566-B
lǐ yǎ bīn sī kè	60-60401-S
lǐ yǎ sū tái	40-38696-S
lǐ yǎn	10-50363-S
lǐ yǔ	5-33949-B,30-41877-S
lǐ zhuī zōng	54-48019-S
lǐ zhàn	24-35175-S,48-27061-S
lǐ zhào	33-5449-B
lǐ zhào xīng	33-5369-B
lǐ zhèn	5-11659-S,15-63543-S,42-32275-S,53-64153-S
lǐ zhèn fān	33-2807-B
lǐ zhì	33-5677-B,42-55380-B,47-8045-B
lǐ zhì liáo	19-37431-S
lǐ zhí qì zhuàng	42-56035-B
lǐ zhōu	17-27949-S,20-5442-S
lǐ zi	33-1775-B
lǐ zuò yòng	24-34983-S
lǐ zàn	47-9156-B
lǐ zàng zú zì zhì xiàn	32-54613-S
lǐ zé kǎi	33-4496-B
lǐ zì chéng	33-5499-B
lǐ zōng rén	33-1856-B
lǐ ào	50-63661-S
lǐ ào gé lán dé	63-54640-B
lǐ ào sī	57-1859-B
lǐ áng	57-2030-B
lǐ áo	33-5322-B
lǐ ān	33-1810-B
lǐ ěr	57-2159-B,57-22576-S
lǐ ěr zì mǔ	57-22626-S
lǐn	6-52140-B,8-27517-B,18-49481-S,23-15924-B,25-62188-B,35-10995-B,54-38671-B
lǐn dì qū	17-32866-S
lǐn liè	8-27564-B
lǐn lǐn	18-49481-S
lǐn rán	17-30987-S
lǐng	2-8947-S,2-67120-S,5-1975-S,7-53215-S,7-53963-S,8-12180-S,8-55718-S,10-70562-S,11-65428-S,15-59655-S,17-7124-S,20-37565-S,21-29597-S,21-49091-B,22-29418-S,23-31308-S,24-40022-S,28-41632-S,28-42947-S,32-67378-S,33-36536-S,34-1818-S,39-20587-S,40-26211-S,42-29295-S,43-44705-S,44-48187-S,46-26596-S,47-24151-S,49-54268-S,50-5160-S,51-29349-S,52-31646-S,55-12751-S,55-14200-S,55-30278-S,57-28043-S,58-22621-S,64-17510-S,65-2528-S,65-14056-S,68-33308-B,68-40354-S,69-24587-S
lǐng bān	6-32442-S
lǐng duì	68-35377-B
lǐng dài	68-34422-B
lǐng dào néng lì	68-34299-B
lǐng dào zhě	68-34247-B
lǐng dì	10-36462-S,68-33809-B,69-24242-S
lǐng dì qū	65-2672-S
lǐng dǎo	68-33965-B
lǐng dǎo céng	68-34090-B
lǐng dǎo quán	68-34180-B
lǐng dǎo rén	68-34038-B
lǐng dǎo xiǎo zǔ	60-64257-S
lǐng guān yuán	5-15670-S
lǐng guǎn	5-15759-S,68-35532-B
lǐng huì	68-34671-B
lǐng hǎi	68-34774-B
lǐng jiǎng	68-34827-B
lǐng jīn	49-13886-S,68-34366-B
lǐng kòu	68-35122-B
lǐng kōng	68-34975-B
lǐng kǒu	4-70544-S
lǐng lù	68-35073-B
lǐng lüè	68-34896-B
lǐng qíng	68-34526-B
lǐng qǔ	68-33592-B
lǐng shén huì	24-40189-S
lǐng shì	7-54052-S,50-36236-S,65-2770-S,68-33362-B
lǐng shì guǎn	50-36297-S,68-33403-B
lǐng shòu	68-33642-B
lǐng shōu	68-34605-B
lǐng shǔ zhàn dào	47-24321-S
lǐng tǔ	68-33687-B,70-14236-S
lǐng tǔ wán zhěng	68-33730-B
lǐng wù	68-34465-B
lǐng xiàn	55-14269-S,65-2905-S,65-14128-S
lǐng xián	68-35170-B
lǐng xián zhǔ yǎn	68-35284-B
lǐng xiù	48-57004-S,68-35032-B
lǐng xiān	68-33459-B
lǐng xiān dì wèi	68-33517-B
lǐng xǐ	68-34733-B
lǐng yì	34-53088-S
lǐng yù	46-14527-S,68-33852-B
lǐng yǎng	68-35471-B
lǐng zhě	5-2042-S,11-65474-S
lǐng zi	68-33920-B
lǒng	6-54534-S,6-58809-B,10-38330-S,12-34612-S,15-21982-S,15-40164-S,16-35480-B,27-23277-S,27-51677-S,29-32625-B,51-54442-S,66-51002-B,66-58111-S
lǒng chuān	66-51353-B
lǒng duàn	11-46301-S,16-35514-B,20-11390-S
lǒng duàn fàn mài	16-35583-B
lǒng luò	48-44283-B
lǒng nán	66-51064-B
lǒng nán dì qū	66-51143-B
lǒng nán shì	66-51263-B
lǒng tǒng	48-44332-B
lǒng xiàn	66-51421-B
lǒng xī	66-51479-B
lǒng zhào	48-44415-B
lǒu	16-23114-B,21-47293-B,28-64972-B,48-35680-B,52-18190-S
lǒu bào	28-65012-B
lǔ	3-66161-S,5-33850-S,12-60587-S,19-28433-S,21-14493-S,22-46853-S,25-32258-S,27-26752-S,29-18042-B,31-22505-S,34-51332-S,35-16567-B,36-17713-B,37-16991-S,39-33942-B,40-20519-S,42-61097-S,45-3195-S,46-38072-B,46-53753-S,47-22501-S,48-50350-S,51-42289-S,53-39682-B,55-54645-B,65-7317-B,65-44278-S,68-9586-S,69-56711-S,70-39769-B,71-2989-B,71-7946-S,71-54248-S
lǔ bàng	70-40739-B
lǔ bàng xìng	70-40785-B
lǔ bì kè fāng kuài	70-41027-B
lǔ bó	7-18570-S
lǔ bā	66-14030-S
lǔ bān	70-40926-B
lǔ bīn	70-41308-B
lǔ cài	70-41259-B
lǔ diàn	70-40965-B
lǔ dà xué	51-42325-S
lǔ dài tīng	71-3053-B
lǔ dé wéi gé	70-40658-B
lǔ dùn	70-41428-B
lǔ dīng	32-68028-S,49-30616-S
lǔ dōng	31-53307-S
lǔ dōng zhǔ yì	31-53385-S
lǔ fú ěr gōng	70-39967-B
lǔ fān	12-61454-S
lǔ fān dì qū	12-61539-S
lǔ fān pén dì	12-61727-S
lǔ fān shì	12-61631-S
lǔ fǎ	39-34105-B
lǔ guó	70-40330-B
lǔ guó rén	70-40421-B
lǔ gé	17-62545-S
lǔ gé zú	17-62632-S
lǔ huà	71-3172-B
lǔ huà wù	71-3273-B
lǔ huà yín	71-3337-B
lǔ huò	29-18076-B,55-54679-B
lǔ huā chì	62-55544-S
lǔ hú	39-34010-B
lǔ jiǎ	5-10576-S
lǔ jí yà	34-347-S
lǔ jí yà rén	34-428-S
lǔ jūn	70-40248-B
lǔ kè	14-60548-S,37-35395-S
lǔ kè hǎi wén guó jiā shí yán shì	22-18780-S
lǔ kè hǎi wén shí yán shì	22-18929-S
lǔ kè lín	22-18629-S,22-19056-S
lǔ kè lín dà qiáo	22-18690-S
lǔ kè qià tí	40-38909-S
lǔ kè qià tí xiàn	40-39084-S
lǔ kē ěr qìn	66-14076-S
lǔ kē ěr qìn qí	66-14178-S
lǔ kǎ yīn	31-53147-S
lǔ kǎi zú	70-40031-B
lǔ lǔ	40-20519-S
lǔ mó sī	24-51372-S
lǔ mù qí	40-39271-S
lǔ mù qí shì	40-39476-S
lǔ mǎng	70-41196-B,71-3703-B
lǔ ní yà	27-24834-S
lǔ rén	21-13184-S,46-53789-S,70-39874-B
lǔ rì	22-19254-S
lǔ rǔ	40-39692-S
lǔ shuǐ	71-3553-B
lǔ shì	11-28839-S,31-22605-S,31-53231-S
lǔ shì jūn bìng	22-19317-S
lǔ shí	7-14314-S
lǔ shān	70-40597-B
lǔ shī dì guó jiā zì rán bǎo hù qū	27-26789-S
lǔ shǐ	70-40126-B
lǔ shǔ	71-3432-B
lǔ sà kè xùn	45-3338-S
lǔ sà lán guó	30-30710-S
lǔ sài ěr	22-19117-S
lǔ sù	70-41116-B,71-3643-B
lǔ sù dēng	46-10035-S
lǔ sā kè xùn	45-3244-S
lǔ sī	22-19199-S,37-39159-S,48-28696-S,51-44726-S
lǔ sī dǎo	51-44791-S
lǔ sī hǎi xiá	37-39234-S
lǔ tián	71-3600-B
lǔ tè	59-30834-S
lǔ tè qí	26-39906-S
lǔ wèi	39-33969-B
lǔ wèn	70-40841-B
lǔ xiǎo fu	60-9139-S
lǔ xuě fū	60-9221-S
lǔ xùn	70-41377-B
lǔ yán	28-5355-S
lǔ zhì	71-3768-B
lǔ zhī	39-34058-B
lǔ zàng bù dà xiá gǔ	66-56196-S
lǔ zàng bù jiāng	66-56357-S
lǔ zú	71-3493-B
lǔ zǐ jìng	70-40511-B
lǔ áng	70-40079-B
lǔ è	11-15939-S
lǔ āi ěr	41-62593-S
lǘ	11-6746-S,13-1328-S,34-21375-S,34-21649-S,35-16601-B,54-13093-S,55-15234-S,55-15283-S,55-32095-B,64-39681-S,65-49229-B,65-52120-S,69-64568-B
lǘ chéng	65-52176-S
lǘ chéng yí zhǐ	65-52272-S
lǘ fēi mǎ	68-0-S
lǘ shàng mò shǐ niào duō	25-63967-S
lǘ yóu	34-21436-S
lǘ zi	69-64596-B
lǚ	2-24636-S,4-60155-S,5-28109-B,6-51500-S,9-17159-S,9-64488-S,10-50019-S,13-7166-B,13-7197-B,21-24389-B,21-25819-B,23-66336-S,24-60972-S,25-12375-S,28-2690-B,30-68128-B,34-15008-B,36-32636-S,36-34696-S,36-36110-S,39-44112-B,43-9041-S,46-22150-S,46-24663-S,46-62196-S,46-63035-S,47-43823-B,49-15010-S,49-55111-S,50-31484-B,52-46431-B,57-9263-B,57-22478-S,60-65447-S,61-67262-S,64-34682-B,68-4976-S
lǚ 5r	49-15124-S
lǚ bèi kè	13-7747-B
lǚ bó	64-34830-B
lǚ bó zhǐ	64-34875-B
lǚ bù	13-7292-B
lǚ bù jǐ	13-7340-B
lǚ bù wéi	13-7230-B
lǚ chéng	30-68337-B
lǚ chū kuáng yán	21-24425-B
lǚ céng	46-12118-S
lǚ cì	21-24533-B
lǚ diàn	30-68288-B
lǚ dài	10-56844-S,21-25857-B
lǚ dài chē	21-25922-B
lǚ fán tǔ	64-34767-B
lǚ fèi	30-68841-B
lǚ guǎn	30-69745-B,70-13556-S
lǚ hào	4-60210-S
lǚ jiàn	21-26598-B
lǚ jiā	21-24497-B
lǚ jì cún	50-61764-S
lǚ jìn bù zhǐ	21-24590-B
lǚ jū	30-68209-B
lǚ kè	30-68161-B
lǚ kěn	55-25329-S
lǚ liáng	13-7395-B
lǚ liáng shì	13-7480-B
lǚ lì	21-25993-B,52-46470-B
lǚ lì biǎo	21-26132-B
lǚ lì piàn	21-26067-B
lǚ lǎn	13-7699-B
lǚ méng	13-7647-B
lǚ shè	30-68384-B
lǚ shì chūn qiū	13-7576-B
lǚ shùn	30-69383-B
lǚ shùn gǎng	30-69687-B
lǚ shùn kǒu	30-69479-B
lǚ shùn kǒu qū	30-69578-B
lǚ tú	30-68889-B
lǚ tǔ	64-34715-B
lǚ wéi jiān	35-42280-S
lǚ xiǎn rú yí	21-26653-B
lǚ xì jiāo cuò	21-26320-B
lǚ xíng	21-26473-B,24-5735-S,30-68439-B
lǚ xíng dài	30-68721-B
lǚ xíng shè	30-68610-B
lǚ xíng tuán	30-68479-B
lǚ xíng zhuāng bèi	30-68776-B
lǚ xíng zhě	5-30328-S,30-68668-B
lǚ xíng zhī piào	30-68535-B
lǚ yuē	21-26204-B
lǚ yóu	30-68933-B
lǚ yóu dì	30-69260-B
lǚ yóu kè	30-69055-B
lǚ yóu qū	1-37471-S
lǚ yóu rè diǎn	30-69166-B
lǚ yóu tuán	30-68998-B
lǚ yóu yè	30-69107-B
lǚ yóu zhě	16-45946-S,30-69315-B
lǚ zhì	46-22365-S
lǜ	1-8495-S,1-27857-S,4-37394-S,4-70045-S,6-41148-S,6-41466-S,6-59667-S,7-7403-S,7-24611-S,8-42598-S,8-58805-S,8-59071-S,9-6803-S,9-7274-S,9-7391-S,9-49477-S,9-55027-S,10-38897-S,10-42878-S,10-49903-S,11-10784-B,11-12585-S,11-51432-S,12-15050-S,13-34633-S,14-17321-S,15-22992-S,16-817-S,16-27976-S,17-66205-S,19-5684-S,19-8090-S,19-8264-S,19-21880-S,19-24206-S,19-45170-S,19-65688-S,21-10146-S,21-45866-B,22-11686-S,22-12290-S,22-13168-S,22-31970-S,22-41046-S,22-41182-S,22-47904-S,22-58120-S,22-60798-S,22-65442-S,23-66311-B,24-8791-S,24-34874-S,24-55385-S,25-51474-B,25-53958-S,25-62785-S,26-12474-S,26-13672-S,27-2912-S,27-9012-S,27-9455-S,27-60346-S,27-62796-S,28-16151-S,28-16261-S,28-16584-S,28-19578-S,28-21255-S,28-21504-S,29-9233-S,29-20891-S,29-38376-S,29-42663-S,29-62664-S,30-36436-S,30-70568-S,32-5286-S,32-20021-S,34-37678-S,35-4500-S,35-56429-S,36-11353-S,36-35442-B,37-31561-S,37-40692-S,38-12615-S,38-49939-S,39-3582-S,39-3723-S,39-32432-S,40-12103-B,40-52604-S,40-65102-S,41-15459-S,41-25531-S,42-28687-B,42-41904-S,43-26924-S,43-29146-S,44-4470-S,44-31739-S,44-31865-S,44-34769-S,44-51478-S,46-29798-S,46-32231-S,46-53413-S,49-2744-S,49-5052-S,49-40356-S,49-64377-B,50-15812-B,51-19227-S,51-33290-S,52-10166-S,52-20804-S,52-28344-S,52-47786-B,53-5770-S,53-59418-S,54-1038-S,54-52870-B,55-12817-S,57-33045-S,57-33359-S,57-46617-S,58-5800-S,58-37315-S,58-50749-S,59-48457-S,61-18723-S,62-12298-S,62-17064-S,62-46958-S,62-60934-S,63-441-S,65-7180-B,65-37085-S,65-66378-S,67-20773-S,67-25955-S,68-14085-S,68-17418-S,68-42085-S,68-49506-S,70-15515-S,70-22511-S
lǜ bù ān	40-65164-S
lǜ běn	36-36780-B
lǜ běn àn běn yǐ suān nà	3-38829-S
lǜ bīn	54-37202-S
lǜ bīn dà xué	54-37324-S
lǜ bīn rén	54-37261-S
lǜ bō	40-12283-B
lǜ bō qì	40-12324-B
lǜ bǎo shí	49-64903-B
lǜ chá	49-66159-B
lǜ chì yáng	50-0-B
lǜ chú	40-12652-B
lǜ chún àn	66-67021-S
lǜ chūn	49-65056-B
lǜ cuó chuāng	36-36654-B
lǜ cǎo	49-66201-B
lǜ cǎo rú yīn	49-66245-B
lǜ duī	67-19827-S
lǜ dà shí	51-40713-S
lǜ dì wèi	22-43829-S
lǜ dòu	49-66374-B
lǜ dú tōng fēng zhuāng zhì	40-12182-B
lǜ dān zhì	36-36227-B
lǜ dēng	49-12231-S,49-65681-B
lǜ dǎng	50-243-B
lǜ dǎo xiāng	49-64952-B
lǜ fán	49-65833-B
lǜ fēn suān nà	66-66935-S
lǜ fǎ	23-66576-B,29-2553-S,29-2617-S
lǜ fǎng	36-35553-B
lǜ guāng jìng	6-12872-S
lǜ guō	40-12611-B
lǜ huà	49-64404-B
lǜ huà gài	36-35928-B
lǜ huà jiǎ	36-35988-B
lǜ huà kǔ	36-35795-B
lǜ huà lín	1-36796-S
lǜ huà lǚ	36-36110-B
lǜ huà nà	36-35850-B
lǜ huà qíng	36-35682-B
lǜ huà qīng	36-35620-B
lǜ huà tiě	1-36874-S
lǜ huà tàn	14-51447-S
lǜ huà wù	36-35744-B
lǜ huà xīn	36-36170-B
lǜ huà ǎn	36-36050-B
lǜ huā hóng	33-50499-S
lǜ hé chéng	68-42127-S
lǜ hé shù lǐ tǒng jì	34-37730-S
lǜ hú	39-32477-S
lǜ jié méi sù	36-36524-B
lǜ jiǎ wán	3-38582-S,36-36589-B
lǜ jiǎn chá wěi yuán huì	2-51045-S
lǜ jūn	55-29350-S
lǜ kuí	36-36289-B
lǜ kǎ	49-64526-B
lǜ lián běn	16-59756-S
lǜ lín	49-65172-B
lǜ lín dìng	36-36715-B
lǜ lín háo kè	49-65357-B
lǜ lín hǎo hàn	49-65235-B
lǜ lín kě méi sù	36-36409-B
lǜ lùn	34-37855-S
lǜ lǚ	23-66336-B
lǜ miè tòng	66-66832-S
lǜ mào zi	26-23858-S,49-65007-B
lǜ méi sù	36-37023-B
lǜ ní shí	49-65583-B
lǜ nǚ	49-11618-S
lǜ nǚ hóng nán	49-64792-B
lǜ pí shū	49-65779-B
lǜ què	50-72-B
lǜ qì	36-36484-B,40-12144-B
lǜ qīng	40-12412-B
lǜ qīng qì	40-12466-B
lǜ qū	49-64474-B
lǜ rén	20-69270-S
lǜ shuǐ	67-54766-S
lǜ shù	49-65478-B
lǜ shēn	3-41153-S
lǜ shī	1-28740-S,3-29605-S,23-66386-B,23-66624-B
lǜ shī shì wù suǒ	23-66425-B
lǜ suān	35-20941-S,36-34998-S,36-36833-B
lǜ suān jiǎ	36-36960-B
lǜ suān nà	36-36894-B
lǜ sè	49-65908-B
lǜ sè hé píng zǔ zhī	49-65945-B
lǜ sè shí pǐn	49-66030-B
lǜ sù	52-51167-S,54-52237-S
lǜ sōng shí	49-65118-B
lǜ tiáo zhì	68-42202-S
lǜ tái	49-66115-B
lǜ tóu jīn	26-23950-S,50-143-B
lǜ tóu yā	19-65005-S
lǜ tǐ	54-52290-S
lǜ wáng	22-20311-S
lǜ wǎng	40-12563-B
lǜ xiàng liàng	32-5327-S
lǜ xiào guǒ	63-35303-S
lǜ xìng	57-33150-S
lǜ xìng zǔ zhī	53-5817-S
lǜ yuán	33-4929-S,49-64606-B
lǜ yuán qū	49-64694-B
lǜ yuē shù lì	37-31596-S
lǜ yán	55-60322-S,61-14266-S
lǜ yè	40-12372-B
lǜ yì sān jù qíng suān nà	3-38651-S
lǜ yí	57-58734-S
lǜ yíng	49-65726-B
lǜ yóu yóu	49-65521-B
lǜ yǎng lín	1-37089-S
lǜ yǐ wán	1-37020-S
lǜ yǐ wán zhōng dú	3-38482-S
lǜ yǐ xī	1-36950-S,14-51376-S,36-35475-B,36-36353-B,51-54878-S
lǜ zhèng	40-65234-S
lǜ zhèng sī	23-66498-B
lǜ zhōu	49-65642-B
lǜ zhǐ	40-12518-B
lǜ zuǐ xiāng yān	62-47007-S
lǜ zǎo	55-29426-S
lǜ àn	3-38775-S
lǜ è huà	9-49538-S
