天枢星	17-48633-S
套套 套套	18-8968-B
套子	18-9023-S
套子 套子	18-9023-B
套房	18-9058-S
套房 套房	18-9058-B
套换	18-9098-S
套換 套换	18-9098-B
套数	18-9183-S
套數 套数	18-9183-B
套曲	18-9285-S
套曲 套曲	18-9285-B
套服	18-9338-S
套服 套服	18-9338-B
套汇	18-8498-S
套用	18-9390-S
套用 套用	18-9390-B
套疊 套叠	18-9467-B
套种	18-9534-S
套種 套种	18-9534-B
套筒	18-9605-S
套筒 套筒	18-9605-B
套管	18-9666-S
套管 套管	18-9666-B
套紅 套红	18-9712-B
套索	18-9787-S
套索 套索	18-9787-B
套結 套结	18-9828-B
套繩 套绳	18-9869-B
套红	18-9712-S
套结	18-9828-S
套绳	18-9869-S
套色	18-9912-S
套色 套色	18-9912-B
套衫	18-9992-S
套衫 套衫	18-9992-B
套衫儿	18-10037-S
套衫兒 套衫儿	18-10037-B
套袖	18-10091-S
套袖 套袖	18-10091-B
套装	18-10211-S
套裙	18-10137-S
套裙 套裙	18-10137-B
套裝 套装	18-10211-B
套裤	18-10267-S
套褲 套裤	18-10267-B
套話 套话	18-10308-B
套語 套语	18-10376-B
套话	18-10308-S
套语	18-10376-S
套购	18-10427-S
套购 套购	18-10427-B
套路	18-10506-S
套路 套路	18-10506-B
套車 套车	18-10578-B
套车	18-10578-S
套鐘 套钟	18-10642-B
套钟	18-10642-S
套間 套间	18-10683-B
套问	18-8875-S
套间	18-10683-S
套鞋	18-10764-S
套鞋 套鞋	18-10764-B
套餐	18-10816-S
套餐 套餐	18-10816-B
套馬 套马	18-10858-B
套馬桿 套马杆	18-10926-B
套马	18-10858-S
套马杆	18-10926-S
奘	18-10995-S,18-11024-S
奘 奘	18-10995-B,18-11024-B
奚	18-11059-S
奚 奚	18-11059-B
奚啸伯	18-11116-S
奚嘯伯 奚啸伯	18-11116-B
奚落	18-11181-S
奚落 奚落	18-11181-B
奜	18-11272-S
奜 奜	18-11272-B
奠	18-11298-S
奠 奠	18-11298-B
奠仪	18-11361-S
奠儀 奠仪	18-11361-B
奠基	18-11440-S
奠基 奠基	18-11440-B
奠基人	18-11506-S
奠基人 奠基人	18-11506-B
奠基石	18-11566-S
奠基石 奠基石	18-11566-B
奠定	18-11643-S
奠定 奠定	18-11643-B
奠祭	18-11708-S
奠祭 奠祭	18-11708-B
奠都	18-11781-S
奠都 奠都	18-11781-B
奠酒	18-11874-S
奠酒 奠酒	18-11874-B
奡	18-11919-S
奡 奡	18-11919-B
奢	18-11957-S
奢 奢	18-11957-B
奢丽	18-11991-S
奢丽 奢丽	18-11991-B
奢侈	18-12042-S
奢侈 奢侈	18-12042-B
奢侈品	18-12092-S
奢侈品 奢侈品	18-12092-B
奢华	18-12404-S
奢望	18-12148-S
奢望 奢望	18-12148-B
奢求	18-12233-S
奢求 奢求	18-12233-B
奢盼	18-12318-S
奢盼 奢盼	18-12318-B
奢華 奢华	18-12404-B
奢靡	18-12453-S
奢靡 奢靡	18-12453-B
奢香	18-12497-S
奢香 奢香	18-12497-B
奥	18-12639-S
奥什	18-12759-S
奥克兰	18-12816-S
奥克拉荷馬州 奧克拉荷马州	18-12557-B
奥兰多	18-16223-S
奥切诺斯	18-12906-S
奥利安	18-12967-S
奥古斯都	18-13029-S
奥国	18-13096-S
奥地利	18-13136-S
奥塞梯	18-13185-S
奥塞罗	18-13257-S
奥妙	18-13308-S
奥姆真理教	18-13348-S
奥委会	18-13427-S
奥威尔	18-13488-S
奥密克戎	18-13570-S
奥尔巴尼	18-15463-S
奥尔布赖特	18-15521-S
奥尔良	18-15628-S
奥巴马	18-13646-S
奥康内尔	18-13708-S
奥康纳	18-13808-S
奥德修斯	18-13901-S
奥德赛	18-13962-S
奥托	18-14020-S
奥斯丁	18-14057-S
奥斯卡	18-14131-S
奥斯卡金像奖	18-14178-S
奥斯威辛	18-14280-S
奥斯威辛集中营	18-14364-S
奥斯曼	18-14481-S
奥斯曼帝国	18-14540-S
奥斯汀	18-14622-S
奥斯瓦尔德	18-14696-S
奥斯陆	18-14764-S
奥林匹亚	18-14830-S
奥林匹克	18-14899-S
奥林匹克体育场	18-15362-S
奥林匹克精神	18-14959-S
奥林匹克运动会	18-15050-S
奥林匹克运动会组织委员会	18-15163-S
奥特曼	18-15681-S
奥秘	18-15786-S
奥米伽	18-15841-S
奥米可戎	18-15908-S
奥组委	18-15989-S
奥维耶多	18-16144-S
奥西娜斯	18-16274-S
奥运	18-16487-S
奥运会	18-16698-S
奥运供货商	18-16600-S
奥运村	18-16822-S
奥运赛	18-16881-S
奥迪	18-16390-S
奥迪修斯	18-16426-S
奥里萨邦	18-16944-S
奥陶纪	18-17004-S
奥马哈	18-17096-S
奥马尔	18-17169-S
奥黛丽	18-17308-S
奥黛莉	18-17229-S
奧 奥	18-12639-B
奧什 奥什	18-12759-B
奧克拉荷马州	18-12557-S
奧克蘭 奥克兰	18-12816-B
奧切諾斯 奥切诺斯	18-12906-B
奧利安 奥利安	18-12967-B
奧古斯都 奥古斯都	18-13029-B
奧國 奥国	18-13096-B
奧地利 奥地利	18-13136-B
奧塞梯 奥塞梯	18-13185-B
奧塞羅 奥塞罗	18-13257-B
奧妙 奥妙	18-13308-B
奧姆真理教 奥姆真理教	18-13348-B
奧委會 奥委会	18-13427-B
奧威爾 奥威尔	18-13488-B
奧密克戎 奥密克戎	18-13570-B
奧巴馬 奥巴马	18-13646-B
奧康內爾 奥康内尔	18-13708-B
奧康納 奥康纳	18-13808-B
奧德修斯 奥德修斯	18-13901-B
奧德賽 奥德赛	18-13962-B
奧托 奥托	18-14020-B
奧斯丁 奥斯丁	18-14057-B
奧斯卡 奥斯卡	18-14131-B
奧斯卡金像獎 奥斯卡金像奖	18-14178-B
奧斯威辛 奥斯威辛	18-14280-B
奧斯威辛集中營 奥斯威辛集中营	18-14364-B
奧斯曼 奥斯曼	18-14481-B
奧斯曼帝國 奥斯曼帝国	18-14540-B
奧斯汀 奥斯汀	18-14622-B
奧斯瓦爾德 奥斯瓦尔德	18-14696-B
奧斯陸 奥斯陆	18-14764-B
奧林匹亞 奥林匹亚	18-14830-B
奧林匹克 奥林匹克	18-14899-B
奧林匹克精神 奥林匹克精神	18-14959-B
奧林匹克運動會 奥林匹克运动会	18-15050-B
奧林匹克運動會組織委員會 奥林匹克运动会组织委员会	18-15163-B
奧林匹克體育場 奥林匹克体育场	18-15362-B
奧爾巴尼 奥尔巴尼	18-15463-B
奧爾布賴特 奥尔布赖特	18-15521-B
奧爾良 奥尔良	18-15628-B
奧特曼 奥特曼	18-15681-B
奧祕 奥秘	18-15786-B
奧米伽 奥米伽	18-15841-B
奧米可戎 奥米可戎	18-15908-B
奧組委 奥组委	18-15989-B
奧維耶多 奥维耶多	18-16144-B
奧蘭多 奥兰多	18-16223-B
奧西娜斯 奥西娜斯	18-16274-B
奧蹟	18-16334-S
奧蹟 奧蹟	18-16334-B
奧迪 奥迪	18-16390-B
奧迪修斯 奥迪修斯	18-16426-B
奧運 奥运	18-16487-B
奧運供貨商 奥运供货商	18-16600-B
奧運會 奥运会	18-16698-B
奧運村 奥运村	18-16822-B
奧運賽 奥运赛	18-16881-B
奧里薩邦 奥里萨邦	18-16944-B
奧陶紀 奥陶纪	18-17004-B
奧馬哈 奥马哈	18-17096-B
奧馬爾 奥马尔	18-17169-B
奧黛莉 奥黛莉	18-17229-B
奧黛麗 奥黛丽	18-17308-B
奨	18-17356-S
奨 奨	18-17356-B
奩 奁	18-17408-B
奪 夺	18-17448-B
奪取 夺取	18-17487-B
奪得 夺得	18-17526-B
奪標 夺标	18-17614-B
奪目 夺目	18-17675-B
奪走 夺走	18-17723-B
奪魁 夺魁	18-17771-B
奫	18-17820-S
奫 奫	18-17820-B
奬	18-17882-S
奬 奬	18-17882-B
奭	18-17925-S
奭 奭	18-17925-B
奮 奋	18-17965-B
奮不顧身 奋不顾身	18-18001-B
奮力 奋力	18-18094-B
奮勇 奋勇	18-18181-B
奮戰 奋战	18-18292-B
奮武揚威 奋武扬威	18-18343-B
奮發 奋发	18-18417-B
奮發圖強 奋发图强	18-18492-B
奮筆疾書 奋笔疾书	18-18601-B
奮起 奋起	18-18685-B
奮起直追 奋起直追	18-18753-B
奮進 奋进	18-18857-B
奮進號 奋进号	18-18899-B
奮飛 奋飞	18-18966-B
奮鬥 奋斗	18-19023-B
奰	18-19072-S
奰 奰	18-19072-B
女	18-19099-S
女 女	18-19099-B
女主人	18-19133-S
女主人 女主人	18-19133-B
女书	18-20998-S
女人	18-19193-S
女人 女人	18-19193-B
女佣	18-19231-S
女佣 女佣	18-19231-B
女修道	18-19278-S
女修道 女修道	18-19278-B
女修道张	18-19329-S
女修道張 女修道张	18-19329-B
女修道院	18-19392-S
女修道院 女修道院	18-19392-B
女儿	18-19455-S
女兒 女儿	18-19455-B
女公子	18-19495-S
女公子 女公子	18-19495-B
女功	18-19575-S
女功 女功	18-19575-B
女友	18-19633-S
女友 女友	18-19633-B
女士	18-19678-S
女士 女士	18-19678-B
女娃	18-19721-S
女娃 女娃	18-19721-B
女娲	18-19918-S
女娲氏	18-19996-S
女婴	18-20085-S
女婿	18-19856-S
女婿 女婿	18-19856-B
女媧 女娲	18-19918-B
女媧氏 女娲氏	18-19996-B
女嬰 女婴	18-20085-B
女子	18-20130-S
女子 女子	18-20130-B
女学生	18-20313-S
女孩	18-20174-S
女孩 女孩	18-20174-B
女孩儿	18-20216-S
女孩兒 女孩儿	18-20216-B
女孩子	18-20266-S
女孩子 女孩子	18-20266-B
女學生 女学生	18-20313-B
女家	18-20369-S
女家 女家	18-20369-B
女工	18-20430-S
女工 女工	18-20430-B
女巫	18-20488-S
女巫 女巫	18-20488-B
女強人 女强人	18-20525-B
女强人	18-20525-S
女性	18-20605-S
女性 女性	18-20605-B
女性主义	18-20661-S
女性主義 女性主义	18-20661-B
女房东	18-20724-S
女房東 女房东	18-20724-B
女按摩师	18-20778-S
女按摩師 女按摩师	18-20778-B
女排	18-20839-S
女排 女排	18-20839-B
女方	18-20912-S
女方 女方	18-20912-B
女書 女书	18-20998-B
女朋友	18-21046-S
女朋友 女朋友	18-21046-B
女服务员	18-21114-S
女服務員 女服务员	18-21114-B
女歌手	18-21178-S
女歌手 女歌手	18-21178-B
女演员	18-21235-S
女演員 女演员	18-21235-B
女王	18-21287-S
女王 女王	18-21287-B
女生	18-21326-S
女生 女生	18-21326-B
女生外向	18-21376-S
女生外向 女生外向	18-21376-B
女用內衣 女用内衣	18-21559-B
女用内衣	18-21559-S
女皇	18-21621-S
女皇 女皇	18-21621-B
女皇帝	18-21663-S
女皇帝 女皇帝	18-21663-B
女真	18-21777-S
女真 女真	18-21777-B
女眷	18-21829-S
女眷 女眷	18-21829-B
女神	18-21896-S
女神 女神	18-21896-B
女童	18-21943-S
女童 女童	18-21943-B
女管家	18-21987-S
女管家 女管家	18-21987-B
女紅 女红	18-22043-B
女繼承人 女继承人	18-22087-B
女红	18-22043-S
女继承人	18-22087-S
女舍监	18-22154-S
女舍監 女舍监	18-22154-B
女色	18-22205-S
女色 女色	18-22205-B
女英雄	18-22261-S
女英雄 女英雄	18-22261-B
女衬衫	18-22445-S
女装	18-22315-S
女装裁缝师	18-22366-S
女裝 女装	18-22315-B
女裝裁縫師 女装裁缝师	18-22366-B
女襯衫 女衬衫	18-22445-B
女警	18-22497-S
女警 女警	18-22497-B
女警员	18-22544-S
女警員 女警员	18-22544-B
女阴	18-22603-S
女陰 女阴	18-22603-B
女高音	18-22649-S
女高音 女高音	18-22649-B
奴	18-22700-S
奴 奴	18-22700-B
奴仆	18-22727-S
奴僕 奴仆	18-22727-B
奴儿干	18-22766-S
奴儿干都司	18-22880-S
奴兒干 奴儿干	18-22766-B
奴兒干都司 奴儿干都司	18-22880-B
奴工	18-23025-S
奴工 奴工	18-23025-B
奴役	18-23070-S
奴役 奴役	18-23070-B
奴隶	18-23120-S
奴隶主	18-23157-S
奴隶制	18-23211-S
奴隶制度	18-23261-S
奴隶社会	18-23321-S
奴隸 奴隶	18-23120-B
奴隸主 奴隶主	18-23157-B
奴隸制 奴隶制	18-23211-B
奴隸制度 奴隶制度	18-23261-B
奴隸社會 奴隶社会	18-23321-B
奴顏婢膝 奴颜婢膝	18-23465-B
奴颜婢膝	18-23465-S
奶	18-23604-S
奶 奶	18-23604-B
奶制品	18-23643-S
奶制品 奶制品	18-23643-B
奶嘴	18-23701-S
奶嘴 奶嘴	18-23701-B
奶嘴儿	18-23765-S
奶嘴兒 奶嘴儿	18-23765-B
奶头	18-24531-S
奶奶	18-23831-S
奶奶 奶奶	18-23831-B
奶子	18-23912-S
奶子 奶子	18-23912-B
奶昔	18-23950-S
奶昔 奶昔	18-23950-B
奶水	18-23992-S
奶水 奶水	18-23992-B
奶油	18-24074-S
奶油 奶油	18-24074-B
奶油菜花	18-24113-S
奶油菜花 奶油菜花	18-24113-B
奶牛	18-24188-S
奶牛 奶牛	18-24188-B
奶牛场	18-24240-S
奶牛場 奶牛场	18-24240-B
奶瓶	18-24297-S
奶瓶 奶瓶	18-24297-B
奶粉	18-24353-S
奶粉 奶粉	18-24353-B
奶罩	18-24400-S
奶罩 奶罩	18-24400-B
奶茶	18-24449-S
奶茶 奶茶	18-24449-B
奶酪	18-24491-S
奶酪 奶酪	18-24491-B
奶頭 奶头	18-24531-B
奸	18-24595-S,18-42864-S
奸 奸	18-24595-B
奸佞	18-24657-S
奸佞 奸佞	18-24657-B
奸党	18-25733-S
奸商	18-24711-S
奸商 奸商	18-24711-B
奸宄	18-24814-S
奸宄 奸宄	18-24814-B
奸官	18-24874-S
奸官 奸官	18-24874-B
奸尸	18-24975-S
奸尸 奸尸	18-24975-B
奸徒	18-25021-S
奸徒 奸徒	18-25021-B
奸恶	18-25071-S
奸情	18-42896-S
奸惡 奸恶	18-25071-B
奸民	18-25119-S
奸民 奸民	18-25119-B
奸污	18-42940-S
奸淫	18-43016-S
奸猾	18-25175-S
奸猾 奸猾	18-25175-B
奸笑	18-25238-S
奸笑 奸笑	18-25238-B
