mō mō	6-22404-S
mǔ hòu sài yīn	55-26436-S
mǔ jiàn	33-55772-S,53-35462-S
mǔ jiàn zhàn dòu qún	53-35536-S
mǔ jiào táng	51-48093-S
mǔ jiǔ	50-56796-S
mǔ jī	36-4038-B,36-4727-B
mǔ jūn	63-44041-S
mǔ luó shuān	56-14465-S
mǔ lì	41-51086-B
mǔ lín gōng	7-18617-S
mǔ lù	41-51124-B
mǔ lǜ	46-53413-S
mǔ měng hǔ jiě fàng zǔ zhī	37-47718-S
mǔ mǎ	36-4865-B
mǔ mǎ lì yà	51-48183-S
mǔ niáng niáng	42-35563-S
mǔ niú	36-4094-B
mǔ pào dàn	19-1542-S
mǔ qiú	36-4218-B
mǔ quǎn	36-4130-B
mǔ qíng jié	26-3958-S
mǔ qīn	36-4470-B,41-41213-S
mǔ qīn jié	36-4518-B
mǔ rǔ	36-3412-B
mǔ rǔ dài	36-3457-B
mǔ rǔ wèi yǎng	36-3540-B
mǔ shùn xù	19-5599-S
mǔ shùn xù gài lǜ	19-5684-S
mǔ shā yī hè	37-15523-S
mǔ shēng tiān jié	51-47876-S
mǔ suō xiě	69-21555-S
mǔ sī	9-65399-S,58-17538-S,67-43214-S
mǔ sī bēi	39-14943-S
mǔ sī fēi ěr dé	27-22159-S
mǔ sī tè dān	66-702-S
mǔ sī tè lǎng	66-773-S
mǔ sī tǎ	34-100-S
mǔ sī · qiáo yī sī	58-17594-S
mǔ sūn	39-14872-S
mǔ tí	36-4800-B
mǔ tǎ gé shā mò	22-66036-S
mǔ tǐ	36-4901-B
mǔ wān	54-24523-S
mǔ xiào	36-3994-B
mǔ xì	36-3609-B
mǔ xì bāo	11-25604-S
mǔ xì shè huì	36-4274-B
mǔ yáng	36-4342-B
mǔ yáng zuò	41-50966-B
mǔ yè chā	36-3719-B
mǔ yé	18-42817-B
mǔ yīn	36-4762-B
mǔ yǔ	36-4574-B
mǔ zhà dàn	19-1618-S
mǔ zhàn	27-20104-B
mǔ zhì	36-4637-B
mǔ zhēn lǐ jiào	18-13348-S
mǔ zhǐ	27-20158-B,27-20204-B
mǔ zǐ chuí zhí gǎn rǎn	36-3779-B
mǔ · suǒ yà lì xiǎn jì	39-14708-S
mǔ ān lā	27-22099-S
mǔ ěr jì shàng	29-7414-S,29-7583-S
mǔ ěr jì xià	29-7499-S,29-7668-S
na	1-9552-S,3-38651-S,3-38829-S,3-39908-S,3-40103-S,3-57952-S,3-58114-S,3-62596-S,3-71132-S,6-55468-S,8-43766-S,9-26757-S,9-55593-S,9-58691-S,10-29188-S,10-36525-S,10-68169-S,11-9766-S,11-9826-S,11-13469-S,11-14433-S,11-14433-S,11-15639-S,11-18338-S,11-19103-S,12-65313-S,13-2739-B,13-2739-B,13-2780-B,13-23061-S,13-39534-S,13-44889-B,13-44920-B,13-44920-B,13-52661-S,14-25833-S,15-37313-S,15-40859-S,15-60240-S,17-45068-S,18-13808-S,18-37825-S,18-46782-S,18-50809-B,18-51004-S,19-26550-S,19-65784-S,22-4563-S,22-8746-S,23-57103-S,25-3026-S,25-6291-S,25-36894-S,26-5366-S,26-15074-S,26-23457-S,26-53015-S,27-22386-S,27-23420-S,27-30627-B,27-38616-S,27-54700-B,27-62321-S,27-64016-B,28-2392-S,28-4935-S,28-9605-B,28-22017-S,28-27381-S,28-30890-S,29-724-S,29-39311-S,29-41940-S,31-51063-S,34-6630-S,34-7162-S,35-20188-S,35-54869-S,36-34433-S,36-35850-S,36-36894-S,36-37238-S,37-31065-S,38-10092-S,40-43110-S,43-11094-S,45-13184-S,45-44290-S,46-23278-S,46-23742-S,46-24352-S,46-29109-S,46-32434-S,46-32509-S,46-41941-S,47-2781-S,47-43010-S,49-6359-S,49-15595-B,49-26122-S,49-43362-S,50-949-S,50-4677-S,50-17999-S,50-42405-S,50-58338-S,51-51778-S,51-66513-S,52-8231-S,52-12935-B,52-46574-S,53-65164-S,54-62455-S,55-16544-S,56-48837-B,57-23932-S,59-47029-S,61-1744-B,63-15895-B,63-15941-B,63-55470-S,64-17270-S,64-21116-B,64-48886-S,65-11554-B,66-492-S,66-5234-S,66-14290-S,66-54459-S,66-58860-S,66-66935-S,67-23351-S,68-10359-S,70-14738-S,70-35102-S,71-9511-S,71-11868-S,71-29314-S,71-37404-S
na Dai zu zi zhi zhou	57-24002-S
na Li sha	54-62628-S
na ba	27-55361-S,37-38803-S
na ban	27-55557-B
na ban dao	11-19185-S
na bao	54-51437-S
na bian	63-17676-B
na bo li si	11-21047-S
na bu ding	27-54768-B
na chu shou	27-54996-B
na cu	28-1691-S
na cui	49-17422-B
na cui fen zi	49-17459-B
na da	3-63080-S,9-56342-S,33-66054-S,33-67248-S
na da Huang jia hu	9-56400-S
na da bu	66-10512-S
na dao	51-51843-S
na de	34-11736-S,66-28968-S
na ding	51-47164-S
na ding si	51-47289-S
na dou	49-17806-B
na dou jun	49-17920-B
na er	39-57852-S,48-13452-S
na er dao	43-9482-S
na er di	48-46040-S
na er duo	50-61303-S
na er zhan yi	43-9574-S
na fa	35-55082-S
na fa suo	22-14548-S
na fu	49-17066-B
na fu ti	20-7753-S
na ge	13-45130-B,29-2002-S,63-16211-B
na ge ren	63-16291-B
na ge shi hou	9-10310-S
na gong	49-18007-B
na gou	55-31174-S
na gui an	28-2455-S
na han	13-9977-B,28-54024-S
na he	15-59114-S,16-20743-S
na hong shu	63-17715-B
na hu	13-45271-S
na hu bu kai ti na hu	13-45271-B
na hui	49-18055-B
na huo shan	15-60146-S
na ka	27-24936-S
na ke li	47-20807-S,47-20886-S
na lai	27-54905-B
na li	9-10392-S,13-45537-B,13-45705-B,13-45846-S,63-17499-B,63-17573-B
na li fo	16-18126-S
na li na li	13-45846-B
na li qun dao	9-60129-S
na liang	49-16876-B,49-17518-B
na lie	27-25996-S
na lu:	43-9041-S
na luo ya	8-11598-S
na ma	22-6216-S,69-40724-S
na ma Cheng	22-6264-S
na ma Yun he	22-6330-S
na mai	71-12453-S
na mai te	4-30999-S
na me	63-17773-B,63-17928-B
na me duo	63-17866-B
na men	49-16233-B
na men r	49-16284-B
na mi	49-17255-B
na mi ji shu	49-17296-B
na mo	63-17183-B,65-54404-S,65-54468-S
na mo wan	65-54532-S
na na li fo	16-18126-S
na nan	22-67214-S
na pa	13-45467-B
na pan di	59-47118-S
na pen di	59-47228-S
na pin	49-17579-B
na qi	27-55518-B,52-46758-S,68-43680-S
na qie	49-16044-B
na qu	63-16892-B
na qun dao	10-36612-S,69-43587-S
na r	13-45170-B,63-16426-B
na ru	49-15743-B
na sao	27-55798-B
na shan gao	62-5116-S
na shi	27-44014-S,63-16706-B,63-16772-B
na shi hou	24-12139-S,63-16836-B
na shou	27-55086-B,52-46677-S
na shou cai	27-55137-B
na shu	49-5172-S,64-17349-S
na shuang	64-17439-S
na shui	49-17156-B
na shui ren	49-17202-B
na si	9-67827-S,33-67448-S,43-1735-S,50-4549-S,54-62826-S
na si Li	4-59158-S
na si da ke	49-16540-B
na si he	43-1807-S
na si hu	14-2546-S
na si qun dao	69-40005-S
na tai luo	16-64530-S
na tian	63-16569-B
na tie	27-55614-B
na tie ka fei	27-55659-B
na tong	59-30601-S
na tui li	2-4844-S,19-36908-S,35-54975-S
na tuo li ya	19-32109-S
na wang fei	26-23512-S
na wei er jiao	11-16296-S
na wei la er jiao	11-16207-S
na wei xing	49-17678-B
na wei ya	30-39762-S,30-39846-S
na wu	55-30841-S
na wu te	9-62341-S
na xi	43-1152-S,43-37961-S
na xi zhou	43-38014-S
na xiang	49-18279-B
na xie	13-45083-B,63-16173-B
na xin	12-60195-S,49-16613-B,54-1247-S
na xing	49-16748-B
na xiong di	54-35523-S
na ya	41-22209-S
na yang	63-17233-B
na yang de	63-17286-B
na yi ge	13-45037-B
na yin yue ji tuan	54-35594-S
na you qi	68-43759-S
na yu	12-65362-S
na yuan	8-43864-S
na zha	13-45225-B
na zhi	49-16437-B
na zhong	63-17354-B
na zhou	3-58032-S,3-58175-S,10-29281-S,10-68262-S,11-20975-S,54-62506-S,60-42731-S
na zhu yi	27-54823-B
na zou	27-55473-B
na zuo qi	68-43876-S
na1 lie4	27-25996-S
na2	1-9552-S,12-65313-S,27-30627-B,27-38616-S,27-54700-B,27-64016-B,28-2392-S,28-4935-S,28-30890-S,34-6630-S,47-43010-S,50-17999-S,51-51778-S,54-62455-S,65-11554-B
na2 ba1	27-55361-S,37-38803-S
na2 ban4	27-55557-B
na2 bu5 ding4	27-54768-B
na2 chu1 shou3	27-54996-B
na2 cu1	28-1691-S
na2 da2	3-63080-S
na2 da4	9-56342-S
na2 da4 Huang2 jia1 hu4	9-56400-S
na2 dao3	51-51843-S
na2 gui1 an4	28-2455-S
na2 lai2	27-54905-B
na2 ma3	22-6216-S
na2 ma3 Cheng2	22-6264-S
na2 ma3 Yun4 he2	22-6330-S
na2 mai3 te4	4-30999-S
na2 qi3	27-55518-B
na2 sao1	27-55798-B
na2 shou3	27-55086-B
na2 shou3 cai4	27-55137-B
na2 shu1	49-5172-S
na2 tie3	27-55614-B
na2 tie3 ka1 fei1	27-55659-B
na2 xi1	43-1152-S
na2 yu2	12-65362-S
na2 zhou1	54-62506-S
na2 zhu3 yi5	27-54823-B
na2 zou3	27-55473-B
na3	13-44889-B,17-45068-S,50-58338-S,63-15895-B
na3 ge5	13-45130-B
na3 hu2	13-45271-S
na3 hu2 bu4 kai1 ti2 na3 hu2	13-45271-B
na3 li3	13-45537-B,13-45705-B
na3 li5	13-45846-S
na3 li5 na3 li5	13-45846-B
na3 pa4	13-45467-B
na3 qu1	63-16892-B
na3 r5	13-45170-B
na3 tai4 luo2	16-64530-S
na3 xie1	13-45083-B
na3 yi1 ge5	13-45037-B
na3 zha4	13-45225-B
na4	3-38651-S,3-38829-S,3-39908-S,3-40103-S,3-57952-S,3-58114-S,3-62596-S,3-71132-S,6-55468-S,8-43766-S,9-26757-S,9-55593-S,9-58691-S,10-29188-S,10-36525-S,10-68169-S,11-9766-S,11-9826-S,11-13469-S,11-15639-S,11-18338-S,11-19103-S,13-2780-B,13-23061-S,13-39534-S,13-52661-S,14-25833-S,15-37313-S,15-40859-S,15-60240-S,18-13808-S,18-37825-S,18-46782-S,18-50809-B,18-51004-S,19-26550-S,19-65784-S,22-4563-S,22-8746-S,23-57103-S,25-3026-S,25-6291-S,25-36894-S,26-5366-S,26-15074-S,26-23457-S,26-53015-S,27-22386-S,27-23420-S,27-62321-S,28-9605-B,28-22017-S,28-27381-S,29-724-S,29-39311-S,29-41940-S,31-51063-S,34-7162-S,35-20188-S,35-54869-S,36-34433-S,36-35850-S,36-36894-S,36-37238-S,37-31065-S,38-10092-S,40-43110-S,43-11094-S,45-13184-S,45-44290-S,46-23278-S,46-23742-S,46-24352-S,46-29109-S,46-32434-S,46-32509-S,46-41941-S,47-2781-S,49-6359-S,49-15595-B,49-26122-S,49-43362-S,50-949-S,50-4677-S,50-42405-S,51-66513-S,52-8231-S,52-12935-B,52-46574-S,53-65164-S,55-16544-S,56-48837-B,57-23932-S,59-47029-S,61-1744-B,63-15941-B,63-55470-S,64-17270-S,64-21116-B,64-48886-S,66-492-S,66-5234-S,66-14290-S,66-54459-S,66-58860-S,66-66935-S,67-23351-S,68-10359-S,70-14738-S,70-35102-S,71-9511-S,71-11868-S,71-29314-S,71-37404-S
na4 Dai3 zu2 zi4 zhi4 zhou1	57-24002-S
na4 Li4 sha1	54-62628-S
na4 ban4 dao3	11-19185-S
na4 bao3	54-51437-S
na4 bian5	63-17676-B
na4 bo1 li4 si1	11-21047-S
na4 cui4	49-17422-B
na4 cui4 fen4 zi3	49-17459-B
na4 da2	33-66054-S,33-67248-S
na4 da2 bu4	66-10512-S
na4 de2	34-11736-S,66-28968-S
na4 ding1	51-47164-S
na4 ding1 si1	51-47289-S
na4 dou4	49-17806-B
na4 dou4 jun1	49-17920-B
na4 er3	39-57852-S,48-13452-S
na4 er3 dao3	43-9482-S
na4 er3 di2	48-46040-S
na4 er3 duo1	50-61303-S
na4 er3 zhan4 yi4	43-9574-S
na4 fa3	35-55082-S
na4 fa3 suo3	22-14548-S
na4 fu2	49-17066-B
na4 fu4 ti2	20-7753-S
na4 ge1	29-2002-S
na4 ge4 ren2	63-16291-B
na4 ge4 shi2 hou4	9-10310-S
na4 ge5	63-16211-B
na4 gong4	49-18007-B
na4 gou4	55-31174-S
na4 han3	13-9977-B,28-54024-S
na4 he2	16-20743-S
na4 he4	15-59114-S
na4 hong2 shu1	63-17715-B
na4 hui4	49-18055-B
na4 huo3 shan1	15-60146-S
na4 ka3	27-24936-S
na4 ke4 li3	47-20807-S,47-20886-S
na4 li3	9-10392-S
na4 li4 fo2	16-18126-S
na4 li4 qun2 dao3	9-60129-S
na4 li5	63-17499-B,63-17573-B
na4 liang2	49-16876-B,49-17518-B
na4 lu:3	43-9041-S
na4 luo2 ya4	8-11598-S
na4 ma3	69-40724-S
na4 mai4	71-12453-S
na4 me5	63-17773-B,63-17928-B
na4 me5 duo1	63-17866-B
na4 men4	49-16233-B
na4 men4 r5	49-16284-B
na4 mi3	49-17255-B
na4 mi3 ji4 shu4	49-17296-B
na4 mo2	65-54404-S,65-54468-S
na4 mo2 wan1	65-54532-S
na4 mo4	63-17183-B
na4 na4 li4 fo2	16-18126-S
na4 nan2	22-67214-S
na4 pan2 di4	59-47118-S
na4 pen2 di4	59-47228-S
na4 pin4	49-17579-B
na4 qi2	52-46758-S,68-43680-S
na4 qie4	49-16044-B
na4 qun2 dao3	10-36612-S,69-43587-S
na4 r5	63-16426-B
na4 ru4	49-15743-B
na4 shan1 gao1	62-5116-S
na4 shi2	63-16772-B
na4 shi2 hou4	24-12139-S,63-16836-B
na4 shi4	27-44014-S
na4 shi5	63-16706-B
na4 shou4	52-46677-S
na4 shu4	64-17349-S
na4 shuang1	64-17439-S
na4 shui4	49-17156-B
na4 shui4 ren2	49-17202-B
na4 si1	9-67827-S,33-67448-S,43-1735-S,50-4549-S,54-62826-S
na4 si1 Li3	4-59158-S
na4 si1 da2 ke4	49-16540-B
na4 si1 he2	43-1807-S
na4 si1 hu2	14-2546-S
na4 si1 qun2 dao3	69-40005-S
na4 tian1	63-16569-B
na4 tong1	59-30601-S
na4 tui1 li3	2-4844-S,19-36908-S,35-54975-S
na4 tuo1 li4 ya4	19-32109-S
na4 wang2 fei1	26-23512-S
na4 wei2 er3 jiao3	11-16296-S
na4 wei2 la1 er3 jiao3	11-16207-S
na4 wei2 ya4	30-39762-S,30-39846-S
na4 wei4 xing1	49-17678-B
na4 wu1	55-30841-S
na4 wu3 te4	9-62341-S
na4 xi1	43-37961-S
na4 xi1 zhou1	43-38014-S
na4 xiang2	49-18279-B
na4 xie1	63-16173-B
na4 xin1	12-60195-S,49-16613-B,54-1247-S
na4 xing1	49-16748-B
na4 xiong1 di4	54-35523-S
na4 ya4	41-22209-S
na4 yang4	63-17233-B
na4 yang4 de5	63-17286-B
na4 yin1 yue4 ji2 tuan2	54-35594-S
na4 you4 qi2	68-43759-S
na4 yuan2	8-43864-S
na4 zhi3	49-16437-B
na4 zhong3	63-17354-B
na4 zhou1	3-58032-S,3-58175-S,10-29281-S,10-68262-S,11-20975-S,60-42731-S
na4 zuo3 qi2	68-43876-S
na5	11-14433-S,13-2739-B,13-44920-B
nai	3-8758-B,3-35313-S,6-30865-S,12-40491-S,18-2312-B,18-23604-B,18-23831-S,18-23831-S,18-39782-S,18-39782-S,18-62090-B,21-29194-S,24-43503-S,24-57201-S,26-42445-S,33-33891-S,33-48402-B,34-26304-S,36-24190-B,40-49445-S,41-47487-S,42-43062-S,50-64076-S,51-27030-S,51-27030-S,51-35742-B,52-27888-S,53-48835-B,53-49140-S,54-42477-B,56-12051-B,57-8237-B,57-12726-S,57-15216-S,59-16899-S,61-56108-B,63-44675-S,64-49540-B,66-618-S,71-47679-B
nai ban dao	57-15264-S
nai cha	18-24449-B,37-42139-S,42-43336-S
nai chuan	46-56247-S,51-37182-B
nai chuan xian	46-56319-S
nai er	3-9177-B,23-1618-S,49-15982-S
nai er da xue	23-1686-S,33-66493-S
nai fan	2-25515-S,51-36869-B
nai fen	18-24353-B
nai fu shi	51-37253-B
nai gao wen	51-37424-B
nai han	51-36233-B
nai he	18-2351-B,40-47734-S
nai huo	51-36641-B
nai huo tu	51-36711-B
nai huo zhuan	51-36796-B
nai jia yang xi lin jin pu jun	27-6920-S
nai jian	51-37483-B
nai jie	63-44716-S
nai jin	19-22832-S
nai jiu	51-35833-B
nai jiu li	32-38676-S
nai kan	51-37085-B
nai lao	9-15402-S,18-24491-B,51-35966-B
nai li	24-43598-S,51-35924-B
nai luo er	31-50890-S
nai nai	18-23831-B,18-39782-S,51-27030-S
nai niu	18-24188-B
nai niu chang	18-24240-B
nai ping	18-24297-B
nai re	51-36926-B
nai shan	57-12764-S
nai shi	3-9075-B
nai shou	51-36029-B
nai shou li	51-36085-B
nai shou xing	51-36168-B
nai shui	18-23992-B,51-36492-B
nai shui xing	51-36537-B
nai suan	51-37375-B
nai tou	18-24531-B
nai wan	54-42524-B
nai xi	18-23950-B,51-36594-B
nai xin	23-1065-S,51-36295-B
nai xin bang zhu	51-36348-B
nai xing	51-36439-B
nai yao xing	3-67403-S,51-37320-B
nai yi	32-52334-S
nai yi hua	32-52401-S
nai yong	51-36984-B
nai yong pin	51-37026-B
nai you	18-24074-B
nai you cai hua	18-24113-B
nai zhao	18-24400-B
nai zheng	3-23162-S
nai zhi	3-9224-B
nai zhi pin	18-23643-B
nai zi	18-23912-B
nai zi jiang	51-1761-S
nai zui	18-23701-B
nai zui r	18-23765-B
nai3	3-8758-B,3-35313-S,6-30865-S,12-40491-S,18-23604-B,18-62090-B,26-42445-S,34-26304-S,36-24190-B,41-47487-S,42-43062-S,50-64076-S,53-48835-B,53-49140-S,57-12726-S,59-16899-S,61-56108-B,63-44675-S,66-618-S
nai3 cha2	18-24449-B,37-42139-S,42-43336-S
nai3 er3	3-9177-B,49-15982-S
nai3 fen3	18-24353-B
nai3 jie2	63-44716-S
nai3 jin4	19-22832-S
nai3 lao4	18-24491-B
nai3 nai5	18-23831-B,18-39782-S,51-27030-S
nai3 niu2	18-24188-B
nai3 niu2 chang3	18-24240-B
nai3 ping2	18-24297-B
nai3 shan1	57-12764-S
nai3 shi4	3-9075-B
nai3 shui3	18-23992-B
nai3 tou2	18-24531-B
nai3 xi1	18-23950-B
nai3 xin1	23-1065-S
nai3 yi1	32-52334-S
nai3 yi1 hua4	32-52401-S
nai3 you2	18-24074-B
nai3 you2 cai4 hua1	18-24113-B
nai3 zhao4	18-24400-B
nai3 zhi4	3-9224-B
nai3 zhi4 pin3	18-23643-B
nai3 zi1 jiang4	51-1761-S
nai3 zi5	18-23912-B
nai3 zui3	18-23701-B
nai3 zui3 r5	18-23765-B
nai4	18-2312-B,21-29194-S,24-43503-S,24-57201-S,33-33891-S,33-48402-B,40-49445-S,51-35742-B,52-27888-S,54-42477-B,56-12051-B,57-8237-B,57-15216-S,64-49540-B,71-47679-B
nai4 ban4 dao3	57-15264-S
nai4 chuan1	46-56247-S,51-37182-B
nai4 chuan1 xian4	46-56319-S
nai4 er3	23-1618-S
nai4 er3 da4 xue2	23-1686-S,33-66493-S
nai4 fan2	2-25515-S,51-36869-B
nai4 fu3 shi2	51-37253-B
nai4 gao1 wen1	51-37424-B
nai4 han2	51-36233-B
nai4 he2	18-2351-B,40-47734-S
nai4 huo3	51-36641-B
nai4 huo3 tu3	51-36711-B
nai4 huo3 zhuan1	51-36796-B
nai4 jia3 yang3 xi1 lin2 jin1 pu2 jun1	27-6920-S
nai4 jian3	51-37483-B
nai4 jiu3	51-35833-B
nai4 jiu3 li4	32-38676-S
nai4 kan4	51-37085-B
nai4 lao2	9-15402-S,51-35966-B
nai4 li4	24-43598-S,51-35924-B
nai4 luo4 er3	31-50890-S
nai4 re4	51-36926-B
nai4 shou4	51-36029-B
nai4 shou4 li4	51-36085-B
nai4 shou4 xing4	51-36168-B
nai4 shui3	51-36492-B
nai4 shui3 xing4	51-36537-B
nai4 suan1	51-37375-B
nai4 wan2	54-42524-B
nai4 xi3	51-36594-B
nai4 xin1	51-36295-B
nai4 xin1 bang1 zhu4	51-36348-B
nai4 xing4	51-36439-B
nai4 yao4 xing4	3-67403-S,51-37320-B
nai4 yong4	51-36984-B
nai4 yong4 pin3	51-37026-B
nai4 zheng4	3-23162-S
nai5	18-23831-S,18-39782-S,51-27030-S
nan	5-30539-S,7-34606-S,8-48844-S,9-63322-S,10-65741-B,11-23738-S,11-65170-S,12-18206-S,12-62588-S,12-63681-S,13-9790-S,13-10260-S,13-58362-S,14-2753-B,14-2796-S,14-62578-B,14-62615-S,14-63603-S,14-63603-S,16-20091-S,16-59940-S,17-39836-S,19-20385-S,19-24761-S,19-43979-S,20-16625-S,21-8574-S,21-21084-S,22-14496-S,22-37779-S,22-67214-S,23-10644-S,23-32877-S,24-54450-S,25-8471-S,25-44004-S,26-4214-B,27-57597-S,29-6486-S,29-65194-S,31-59709-B,33-15903-S,33-45255-B,34-31490-B,34-34450-S,34-61943-S,35-59710-S,35-60827-S,36-57433-S,36-57963-S,37-2634-S,37-19058-S,37-41405-S,37-55676-S,37-62577-S,38-16390-S,38-26399-S,38-47073-S,39-4865-S,39-10725-S,39-62675-S,39-64782-S,40-9051-S,40-17548-S,40-19192-S,40-27836-S,40-33251-S,43-13452-S,43-44843-B,43-52581-S,44-5002-S,44-35196-S,46-41073-S,46-43225-S,46-45327-S,47-50793-S,47-64728-S,49-64792-S,50-55018-S,51-209-S,52-47857-S,52-62749-S,53-44093-S,54-386-S,54-5764-S,54-22597-S,54-32364-S,54-48318-S,54-64374-S,55-2870-S,55-41329-S,55-41787-S,55-50432-S,55-54783-S,56-9814-B,56-40516-S,57-13652-S,58-47156-B,59-19714-S,59-41144-S,59-42104-S,59-61271-S,60-7645-B,60-26380-S,61-13917-S,61-39020-S,61-50231-S,61-64951-S,62-31841-S,62-32227-S,62-36014-S,62-66485-S,63-3351-S,63-7929-S,64-11596-S,64-11746-S,65-48800-S,65-58299-S,65-65235-S,66-13717-S,66-51064-S,67-11146-B,67-11224-B,67-17898-S,67-68550-S,68-3030-S,70-30438-S,71-19919-S,71-58024-S
nan Bu yi zu Miao zu zi zhi zhou	71-34703-S,71-35417-S
nan Da xue	31-64642-S,33-16213-S,39-10795-S
nan Fei zhou	29-6560-S
nan Gong chan dang	60-26432-S
nan Jiao tong Da xue	57-13868-S
nan Li gong Da xue	54-32412-S
nan Meng gu zu zi zhi xian	37-19215-S
nan Miao zu Dong zu zi zhi zhou	71-34948-S
nan Ya	10-65967-B
nan Yao zu zi zhi xian	62-19851-S
nan Yi zu zi zhi xian	60-41767-S
nan Yu gu zu zi zhi xian	52-2764-S
nan Zang zu zi zhi zhou	38-16652-S,43-13634-S,71-17132-S
nan ai	67-12619-B
nan an	10-70402-B
nan an mo shi	43-46395-B
nan an pu dun	10-69240-B
nan ao	67-13045-B
nan ban dao	2-51586-S
nan ban nu: zhuang	43-46282-B
nan bao	53-15053-S,67-11553-B
nan bei	10-67507-B
nan bei Han	10-67776-B
nan bei ji	10-67643-B
nan bian	11-4261-B,45-40885-S
nan bian r	11-4341-B
nan bu	2-51749-S,11-4414-B,33-16289-S,57-13975-S
nan bu si	17-39886-S
nan cai nu: mao	43-46166-B
nan chan	67-13108-B,67-13206-B
nan chao	10-72489-B
nan che	27-57698-S
nan chu	67-13376-B
nan chuan	62-36128-S
nan chuang bei	60-10097-S
nan ci pang pi	60-26528-S
nan cong ming	46-43320-S
nan dao	10-70449-B,38-16439-S,67-13709-B,71-4411-S
nan dao min zu	10-70495-B
nan de	43-46651-B,67-12110-B
nan de la	59-53679-S
nan di qu	21-28840-S,39-4955-S,66-51143-S
nan di yin	43-44975-B
nan dian	67-13942-B
nan dong	67-12308-B
nan du	67-11981-B
nan fan	47-40461-S
nan fang	10-71953-B
nan fei	28-43836-S
nan fen	67-12366-S
nan fen nan she	67-11707-B
nan feng	10-50849-S
nan fu	13-32212-S
nan gao yin	43-46899-B
nan gong	27-57639-S,31-27778-S
nan gua	11-1970-B
nan guai	67-12218-B
nan guan	67-13781-B
nan guan jia	43-46736-B
nan guo	67-13654-B
nan hai	2-51691-S,43-45675-B
nan hai er	43-45712-B
nan hai yue dui	43-45804-B
nan hai zi	43-45758-B
nan he	55-41380-S
nan hu	54-32525-S
nan hua zao bao	11-3183-B
nan hun	67-12934-B
nan ji	10-73141-B,67-13482-B
nan ji nian	11-65265-S
nan ji zuo	10-73184-B
nan jia	43-45888-B
nan jia yu	67-13883-B
nan jie	51-40968-S
nan jie fen	28-18376-S
nan jie jing	49-35175-S
nan jue	43-46522-B
nan jun	31-5960-S
nan kan	67-11922-B,67-13158-B
nan kong zhi	67-12658-B
nan li	67-12493-S
nan lu	11-5774-B
nan lu: nu:	49-11618-S
nan mai	10-52099-S
nan mai cun guang yin	20-31887-S
nan mei li	11-2542-B
nan mian	11-5602-B,67-11634-B
nan mian zuo	10-67287-B
nan min	67-12835-B
nan min ying	67-12876-B
nan ming	19-13127-S
nan mu	34-31527-B
nan nan	14-2796-B,14-62615-B
nan nian de jing	19-61691-S
nan nu:	18-43850-S,43-45132-B
nan nu: guan xi	43-45235-B
nan nu: lao shao	43-45176-B
nan pai tang lang	11-683-B
nan peng you	43-46456-B
nan pu shi	11-789-B
nan qiang bei diao	11-2652-B
nan qing nu:	63-62586-S
nan qu	19-24812-S,22-12105-S,39-62752-S,54-5839-S
nan quan	10-71810-B
nan ren	43-44925-B
nan ren hou mian bi you yi ge feng xian de nu: ren	26-8394-S
nan san jiao zuo	10-65769-B
nan se	43-46810-B
nan shan mai	19-24881-S
nan she	67-11707-S
nan she nan fen	67-12366-B
nan she nan li	67-12493-B
nan sheng	36-58222-S,37-19130-S,38-16590-S,39-10865-S,43-46561-B,67-17966-S
nan shi	12-18274-S,37-62654-S,38-47245-S,39-5050-S,40-9090-S,52-47942-S,66-51263-S
nan shi bian	44-63849-S
nan shi zi zuo	10-67963-B
nan shou	67-11834-B
nan shu	32-7099-S,46-4264-S,46-4316-S,50-49972-S
nan si da cai zi	36-58106-S
nan suo	63-8014-S
nan tan	67-12029-B
nan tao	37-32825-S
nan tao fa wang	67-13531-B
nan ti	8-46781-S,67-13833-B
nan tian	25-1415-S,25-53101-S
nan tong	43-46687-B
nan tuo	66-13762-S
nan wang	37-12381-S,67-12170-B
nan wei	11-2393-B
nan wei qing	67-12988-B
nan wei wu mi zhi chui	21-60253-S
nan wen	60-26729-S,67-13320-B
nan wu	43-45948-B
nan xi lin	13-9838-S
nan xi yu	13-10341-S
nan xia	10-65861-B,69-52618-S
nan xian	7-34680-S,12-18342-S,19-44053-S,61-13982-S,62-19988-S,71-58098-S
nan xiang	10-61988-S
nan xing	40-27890-S,43-45995-B,67-13435-B
nan xing qin shu	43-46102-B
nan xing zun cheng	43-46036-B
nan xiu dao yuan zhang	43-45057-B
nan ya	33-15947-S,57-13811-S
nan ya guo	33-16006-S
nan ya guo jia lian meng	33-16076-S
nan yan	11-1834-B
nan yi	36-58907-S,36-59048-S,67-11273-B
nan yi mo qu	67-11409-B
nan yi ying fu	67-11322-B
nan yi zhi xin	67-11488-B
nan ying	43-45332-B
nan yu	60-26823-S,65-48840-S
nan yu deng tian	67-12719-B
nan yu zuo	11-5698-B
nan yuan bei zhe	11-3659-B
nan yue	10-70613-B
nan zai yu	14-63676-S
nan zhan zheng	60-26642-S
nan zhe	11-65330-S,35-59780-S,62-36069-S
nan zhen	27-57797-S,30-33806-S,48-2020-S
nan zheng	10-71321-B
nan zheng bei fa	10-71389-B
nan zheng bei tao	10-71629-B
nan zheng bei zhan	10-71508-B
nan zhi yi	67-61011-S
