伊宁	4-48295-S
体育界	70-9197-S
体育系	70-9273-S
体育运动	70-9344-S
体育锻炼	70-9422-S
体育馆	70-9495-S
体能	70-9560-S
体腔	70-9621-S
体表	70-9731-S
体裁	70-9788-S
体认	70-9848-S
体谅	70-9900-S
体貌	70-10008-S
体质	70-10227-S
体贴	70-10051-S
体贴入微	70-10121-S
体重	70-10268-S
体重器	70-10314-S
体重计	70-10390-S
体量	70-10449-S
体长	70-10506-S
体面	70-10552-S
体香剂	70-10646-S
体验	70-10711-S
体魄	70-10769-S
佔 占	5-1329-B
佔便宜 占便宜	5-1468-B
佔優勢 占优势	5-1535-B
佔先 占先	5-1625-B
佔城 占城	5-1679-B
佔據 占据	5-1759-B
佔有 占有	5-1810-B
佔用 占用	5-1878-B
佔線 占线	5-1923-B
佔領 占领	5-1975-B
佔領者 占领者	5-2042-B
何	5-2097-S,5-2129-S
何 何	5-2097-B,5-2129-B
何不	5-2175-S
何不 何不	5-2175-B
何乐而不为	5-2623-S
何人	5-2233-S
何人 何人	5-2233-B
何以	5-2269-S
何以 何以	5-2269-B
何况	5-2758-S
何厚鏵 何厚铧	5-2307-B
何厚铧	5-2307-S
何在	5-2368-S
何在 何在	5-2368-B
何处	5-3005-S
何应钦	5-2478-S
何必	5-2419-S
何必 何必	5-2419-B
何應欽 何应钦	5-2478-B
何故	5-2545-S
何故 何故	5-2545-B
何时	5-2586-S
何時 何时	5-2586-B
何樂而不為 何乐而不为	5-2623-B
何況 何况	5-2758-B
何等	5-2812-S
何等 何等	5-2812-B
何苦	5-2860-S
何苦 何苦	5-2860-B
何苦呢	5-2928-S
何苦呢 何苦呢	5-2928-B
何處 何处	5-3005-B
何西阿书	5-3050-S
何西阿書 何西阿书	5-3050-B
佗	5-3115-S
佗 佗	5-3115-B
佘	5-3155-S
佘 佘	5-3155-B
余	69-14715-S
余下	69-14926-S
余党	69-17600-S
余切	69-14968-S
余割	69-15021-S
余勇可贾	69-15072-S
余地	69-15193-S
余姚	69-15238-S
余孽	69-15315-S
余干	69-15447-S
余干县	69-15518-S
余年	69-15601-S
余庆	69-15848-S
余弦	69-15656-S
余弧	69-15707-S
余怒	69-15756-S
余悸	69-15802-S
余数	69-15911-S
余数定理	69-15967-S
余杭	69-16043-S
余江	69-16106-S
余江县	69-16180-S
余烬	69-16310-S
余热	69-16266-S
余留	69-16348-S
余留事务	69-16443-S
余留无符号数	69-16516-S
余皇	69-16668-S
余码	69-16778-S
余粮	69-16868-S
余绪	69-16916-S,69-16995-S
余缺	69-17074-S
余者	69-17128-S
余角	69-17181-S
余量	69-17274-S
余钱	69-17356-S
余集	69-17403-S
余震	69-17494-S
余音	69-17552-S
佚	5-3189-S
佚 佚	5-3189-B
佛	5-3226-S,23-61570-S
佛 佛	5-3226-B
佛像	5-3263-S
佛像 佛像	5-3263-B
佛兰芒语	5-4966-S
佛冈	5-3882-S
佛冈县	5-3948-S
佛号	5-5039-S
佛吉尼亚	5-3377-S
佛吉尼亞 佛吉尼亚	5-3377-B
佛坪	5-3446-S
佛坪 佛坪	5-3446-B
佛塔	5-3509-S
佛塔 佛塔	5-3509-B
佛家	5-3547-S
佛家 佛家	5-3547-B
佛寺	5-3590-S
佛寺 佛寺	5-3590-B
佛山	5-3637-S
佛山 佛山	5-3637-B
佛山地区	5-3712-S
佛山地區 佛山地区	5-3712-B
佛山市	5-3796-S
佛山市 佛山市	5-3796-B
佛岡 佛冈	5-3882-B
佛岡縣 佛冈县	5-3948-B
佛得角	5-4026-S
佛得角 佛得角	5-4026-B
佛性	5-4080-S
佛性 佛性	5-4080-B
佛手瓜	5-4127-S
佛手瓜 佛手瓜	5-4127-B
佛教	5-4179-S
佛教 佛教	5-4179-B
佛教徒	5-4221-S
佛教徒 佛教徒	5-4221-B
佛朗哥	5-4273-S
佛朗哥 佛朗哥	5-4273-B
佛法	5-4383-S
佛法 佛法	5-4383-B
佛洛伊德	5-4469-S
佛洛伊德 佛洛伊德	5-4469-B
佛經 佛经	5-4543-B
佛经	5-4543-S
佛罗伦萨	5-4591-S
佛罗里达	5-4725-S
佛罗里达州	5-4653-S
佛羅倫薩 佛罗伦萨	5-4591-B
佛羅裡達州 佛罗里达州	5-4653-B
佛羅里達 佛罗里达	5-4725-B
佛舍利	5-4785-S
佛舍利 佛舍利	5-4785-B
佛蒙特	5-4852-S
佛蒙特 佛蒙特	5-4852-B
佛蒙特州	5-4903-S
佛蒙特州 佛蒙特州	5-4903-B
佛蘭芒語 佛兰芒语	5-4966-B
佛號 佛号	5-5039-B
佛語 佛语	5-5103-B
佛语	5-5103-S
佛陀	5-5148-S
佛陀 佛陀	5-5148-B
佛雷泽尔	23-61601-S
佛香閣 佛香阁	5-5239-B
佛香阁	5-5239-S
佛龕 佛龛	5-5350-B
佛龛	5-5350-S
作	5-5414-S
作 作	5-5414-B
作业	5-7414-S
作业环境	5-7504-S
作业系统	5-7582-S
作为	5-7962-S
作主	5-5478-S
作主 作主	5-5478-B
作乐	5-7653-S
作人	5-5561-S
作人 作人	5-5561-B
作假	5-5628-S
作假 作假	5-5628-B
作准	5-7889-S
作出	5-5739-S
作出 作出	5-5739-B
作势	5-5817-S
作勢 作势	5-5817-B
作古	5-5891-S
作古 作古	5-5891-B
作古人	5-5943-S
作古人 作古人	5-5943-B
作合	5-6006-S
作合 作合	5-6006-B
作品	5-6069-S
作品 作品	5-6069-B
作哼声	5-6117-S
作哼聲 作哼声	5-6117-B
作坊	5-6170-S
作坊 作坊	5-6170-B
作威作福	5-6225-S
作威作福 作威作福	5-6225-B
作客	5-6339-S
作客 作客	5-6339-B
作家	5-6440-S
作家 作家	5-6440-B
作对	5-6480-S
作對 作对	5-6480-B
作废	5-6552-S
作廢 作废	5-6552-B
作弊	5-6634-S
作弊 作弊	5-6634-B
作怪	5-6695-S
作怪 作怪	5-6695-B
作恶	5-6843-S
作惡 作恶	5-6843-B
作愛 作爱	5-6885-B
作战	5-6930-S
作戰 作战	5-6930-B
作手	5-6980-S
作手 作手	5-6980-B
作数	5-7028-S
作數 作数	5-7028-B
作文	5-7087-S
作文 作文	5-7087-B
作料	5-7132-S
作料 作料	5-7132-B
作曲	5-7186-S
作曲 作曲	5-7186-B
作曲家	5-7237-S
作曲家 作曲家	5-7237-B
作曲者	5-7300-S
作曲者 作曲者	5-7300-B
作案	5-7364-S
作案 作案	5-7364-B
作業 作业	5-7414-B
作業環境 作业环境	5-7504-B
作業系統 作业系统	5-7582-B
作樂 作乐	5-7653-B
作死	5-7699-S
作死 作死	5-7699-B
作法	5-7796-S
作法 作法	5-7796-B
作準 作准	5-7889-B
作為 作为	5-7962-B
作爱	5-6885-S
作物	5-8139-S
作物 作物	5-8139-B
作用	5-8176-S
作用 作用	5-8176-B
作用力	5-8334-S
作用力 作用力	5-8334-B
作用理論 作用理论	5-8412-B
作用理论	5-8412-S
作画	5-8486-S
作畫 作画	5-8486-B
作笔记	5-8528-S
作筆記 作笔记	5-8528-B
作繭自縛 作茧自缚	5-8584-B
作者	5-8751-S
作者 作者	5-8751-B
作者权	5-8798-S
作者權 作者权	5-8798-B
作色	5-8853-S
作色 作色	5-8853-B
作茧自缚	5-8584-S
作誓	5-8932-S
作誓 作誓	5-8932-B
作證 作证	5-8975-B
作证	5-8975-S
作賊 作贼	5-9037-B
作贼	5-9037-S
作風 作风	5-9084-B
作风	5-9084-S
作馬 作马	5-9142-B
作马	5-9142-S
佝	5-9220-S,5-9264-S
佝 佝	5-9220-B,5-9264-B
佞	5-9308-S
佞 佞	5-9308-B
佟	5-9347-S
佟 佟	5-9347-B
你	5-9383-S
你 你	5-9383-B
你们	5-9408-S
你們 你们	5-9408-B
你好	5-9452-S
你好 你好	5-9452-B
你好吗	5-9490-S
你好嗎 你好吗	5-9490-B
你是不是想找	5-9558-S
你是不是想找 你是不是想找	5-9558-B
你死我活	5-9667-S
你死我活 你死我活	5-9667-B
你的	5-9732-S
你的 你的	5-9732-B
你自己	5-9773-S
你自己 你自己	5-9773-B
佡	5-9823-S
佡 佡	5-9823-B
佢	5-9858-S
佢 佢	5-9858-B
佣	6-32300-S,6-32378-S
佣金	5-9894-S
佣金 佣金	5-9894-B
佤	5-9939-S
佤 佤	5-9939-B
佤族	5-9963-S
佤族 佤族	5-9963-B
佥	6-50084-S
佧	5-9997-S
佧 佧	5-9997-B
佧佤族	5-10061-S
佧佤族 佧佤族	5-10061-B
佩	5-10105-S,42-48419-S
佩 佩	5-10105-B
佩兰	5-10445-S
佩剑	5-10157-S
佩劍 佩剑	5-10157-B
佩带	5-10207-S
佩帶 佩带	5-10207-B
佩戴	5-10284-S
佩戴 佩戴	5-10284-B
佩服	5-10342-S
佩服 佩服	5-10342-B
佩洛西	5-10381-S
佩洛西 佩洛西	5-10381-B
佩蘭 佩兰	5-10445-B
佩魯賈 佩鲁贾	5-10576-B
佩鲁贾	5-10576-S
佪	5-10643-S
佪 佪	5-10643-B
佫	5-10697-S
佫 佫	5-10697-B
佬	5-10729-S
佬 佬	5-10729-B
佯	5-10772-S
佯 佯	5-10772-B
佰	5-10803-S
佰 佰	5-10803-B
佳	5-10863-S
佳 佳	5-10863-B
佳世客	5-10895-S
佳世客 佳世客	5-10895-B
佳丽	5-11731-S
佳人	5-10944-S
佳人 佳人	5-10944-B
佳冬乡	5-10993-S
佳冬鄉 佳冬乡	5-10993-B
佳县	5-11367-S
佳妙	5-11073-S
佳妙 佳妙	5-11073-B
佳木斯	5-11141-S
佳木斯 佳木斯	5-11141-B
佳木斯市	5-11203-S
佳木斯市 佳木斯市	5-11203-B
佳節 佳节	5-11314-B
佳縣 佳县	5-11367-B
佳美	5-11423-S
佳美 佳美	5-11423-B
佳能	5-11466-S
佳能 佳能	5-11466-B
佳节	5-11314-S
佳評如潮 佳评如潮	5-11525-B
佳评如潮	5-11525-S
佳酿	5-11609-S
佳釀 佳酿	5-11609-B
佳里鎮 佳里镇	5-11659-B
佳里镇	5-11659-S
佳麗 佳丽	5-11731-B
佴	5-11770-S
佴 佴	5-11770-B
併 并	5-11801-B
併吞 并吞	5-11843-B
併存 并存	5-11900-B
併捲機 并卷机	5-11971-B
併條 并条	5-12035-B
併發 并发	5-12078-B
併發症 并发症	5-12150-B
併紗 并纱	5-12255-B
併購 并购	5-12298-B
佶	5-12390-S
佶 佶	5-12390-B
佷	5-12434-S
佷 佷	5-12434-B
佸	5-12475-S
佸 佸	5-12475-B
佹	5-12502-S
佹 佹	5-12502-B
佺	5-12555-S
佺 佺	5-12555-B
佻	5-12587-S
佻 佻	5-12587-B
佼	5-12635-S
佼 佼	5-12635-B
佽	5-12667-S
佽 佽	5-12667-B
佾	5-12714-S
佾 佾	5-12714-B
使	5-12764-S
使 使	5-12764-B
使习惯	5-15240-S
使人信服	5-12840-S
使人信服 使人信服	5-12840-B
使作呕	5-12905-S
使作嘔 使作呕	5-12905-B
使信服	5-12955-S
使信服 使信服	5-12955-B
使免除	5-13010-S
使免除 使免除	5-13010-B
使兴奋	5-15453-S
使具体化	5-13066-S
使具體化 使具体化	5-13066-B
使劲	5-13126-S
使勁 使劲	5-13126-B
使厌烦	5-13184-S
使厭煩 使厌烦	5-13184-B
使受伤	5-13236-S
使受傷 使受伤	5-13236-B
使吃惊	5-13288-S
使吃驚 使吃惊	5-13288-B
使命	5-13351-S
使命 使命	5-13351-B
使团	5-13584-S
使困扰	5-13417-S
使困擾 使困扰	5-13417-B
使困窘	5-13468-S
使困窘 使困窘	5-13468-B
使固定	5-13524-S
使固定 使固定	5-13524-B
使團 使团	5-13584-B
使失望	5-13637-S
使失望 使失望	5-13637-B
使娛樂 使娱乐	5-13693-B
使娱乐	5-13693-S
使孤立	5-13741-S
使孤立 使孤立	5-13741-B
使容易	5-13791-S
使容易 使容易	5-13791-B
使尽	5-14948-S
使徒	5-13846-S
使徒 使徒	5-13846-B
使徒行传	5-13886-S
使徒行傳 使徒行传	5-13886-B
使得	5-13964-S
使得 使得	5-13964-B
使怒	5-14044-S
