功力 功力	9-47919-B
包头	10-19342-S,10-19422-S
包头市	10-19471-S
包子	10-14009-S
包子 包子	10-14009-B
包容	10-14060-S
包容 包容	10-14060-B
包封	10-14185-S
包封 包封	10-14185-B
包尔	10-16415-S
包层	10-14261-S
包層 包层	10-14261-B
包工	10-14326-S
包工 包工	10-14326-B
包工头	10-14468-S
包工頭 包工头	10-14468-B
包巾	10-14536-S
包巾 包巾	10-14536-B
包干	10-14586-S
包干 包干	10-14586-B
包干儿	10-14710-S
包干兒 包干儿	10-14710-B
包干制	10-14843-S
包干制 包干制	10-14843-B
包庇	10-14941-S
包庇 包庇	10-14941-B
包廂 包厢	10-14996-B
包房	10-15066-S
包房 包房	10-15066-B
包扎	10-15122-S,10-17276-S
包扎 包扎	10-15122-B
包打天下	10-15175-S
包打天下 包打天下	10-15175-B
包承制	10-15335-S
包承制 包承制	10-15335-B
包承組 包承组	10-15405-B
包承组	10-15405-S
包抄	10-15469-S
包抄 包抄	10-15469-B
包括	10-15520-S
包括 包括	10-15520-B
包括內置配重 包括内置配重	10-15616-B
包括内置配重	10-15616-S
包拯	10-15723-S
包拯 包拯	10-15723-B
包换	10-15840-S
包探	10-15779-S
包探 包探	10-15779-B
包換 包换	10-15840-B
包揽	10-15926-S
包揽词讼	10-16004-S
包攬 包揽	10-15926-B
包攬詞訟 包揽词讼	10-16004-B
包書皮 包书皮	10-16100-B
包月	10-16154-S
包月 包月	10-16154-B
包机	10-16203-S
包機 包机	10-16203-B
包治百病	10-16270-S
包治百病 包治百病	10-16270-B
包涵	10-16357-S
包涵 包涵	10-16357-B
包爾 包尔	10-16415-B
包產 包产	10-16466-B
包產到戶 包产到户	10-16527-B
包產到戶制 包产到户制	10-16630-B
包皮	10-16743-S
包皮 包皮	10-16743-B
包皮环切	10-16801-S
包皮环切术	10-16869-S
包皮環切 包皮环切	10-16801-B
包皮環切術 包皮环切术	10-16869-B
包票	10-16948-S
包票 包票	10-16948-B
包租	10-17004-S
包租 包租	10-17004-B
包穀 包谷	10-17096-B
包管	10-17139-S
包管 包管	10-17139-B
包米	10-17190-S
包米 包米	10-17190-B
包粟	10-17233-S
包粟 包粟	10-17233-B
包紮 包扎	10-17276-B
包罗	10-17346-S
包罗万象	10-17401-S
包羅 包罗	10-17346-B
包羅萬象 包罗万象	10-17401-B
包舉 包举	10-17486-B
包船	10-17563-S
包船 包船	10-17563-B
包藏	10-17616-S
包藏 包藏	10-17616-B
包藏祸心	10-17682-S
包藏禍心 包藏祸心	10-17682-B
包衣	10-17796-S
包衣 包衣	10-17796-B
包衣种子	10-17873-S
包衣種子 包衣种子	10-17873-B
包被	10-17962-S
包被 包被	10-17962-B
包袱	10-18031-S
包袱 包袱	10-18031-B
包袱底儿	10-18121-S
包袱底兒 包袱底儿	10-18121-B
包装	10-18259-S
包装纸	10-18308-S
包裝 包装	10-18259-B
包裝紙 包装纸	10-18308-B
包裹	10-18370-S
包裹 包裹	10-18370-B
包谷	10-17096-S
包賠 包赔	10-18434-B
包赔	10-18434-S
包身工	10-18498-S
包身工 包身工	10-18498-B
包車 包车	10-18563-B
包车	10-18563-S
包辦 包办	10-18620-B
包辦代替 包办代替	10-18713-B
包辦婚姻 包办婚姻	10-18840-B
包里斯	10-18970-S
包里斯 包里斯	10-18970-B
包金	10-19025-S
包金 包金	10-19025-B
包銀 包银	10-19084-B
包銷 包销	10-19174-B
包银	10-19084-S
包销	10-19174-S
包間 包间	10-19286-B
包间	10-19286-S
包頭 包头	10-19342-B,10-19422-B
包頭市 包头市	10-19471-B
包飯 包饭	10-19562-B
包饭	10-19562-S
匆	10-19637-S
匆 匆	10-19637-B
匆促	10-19674-S
匆促 匆促	10-19674-B
匆匆	10-19726-S
匆匆 匆匆	10-19726-B
匆忙	10-19771-S
匆忙 匆忙	10-19771-B
匈	10-19820-S
匈 匈	10-19820-B
匈奴	10-19865-S
匈奴 匈奴	10-19865-B
匈牙利	10-19944-S
匈牙利 匈牙利	10-19944-B
匈牙利語 匈牙利语	10-19996-B
匈牙利语	10-19996-S
匈語 匈语	10-20069-B
匈语	10-20069-S
匉	10-20122-S
匉 匉	10-20122-B
匊	10-20161-S
匊 匊	10-20161-B
匋	10-20206-S
匋 匋	10-20206-B
匍	10-20236-S
匍 匍	10-20236-B
匍伏	10-20277-S
匍伏 匍伏	10-20277-B
匍匐	10-20336-S
匍匐 匍匐	10-20336-B
匏	10-20385-S
匏 匏	10-20385-B
匐	10-20439-S
匐 匐	10-20439-B
匕	10-20475-S
匕 匕	10-20475-B
匕首	10-20531-S
匕首 匕首	10-20531-B
化	10-20571-S,10-20608-S
化 化	10-20571-B,10-20608-B
化合	10-20719-S
化合 化合	10-20719-B
化合价	10-20772-S
化合價 化合价	10-20772-B
化合物	10-20831-S
化合物 化合物	10-20831-B
化名	10-20891-S
化名 化名	10-20891-B
化妆	10-20964-S
化妆品	10-21018-S
化妆舞会	10-21072-S
化妝 化妆	10-20964-B
化妝品 化妆品	10-21018-B
化妝舞會 化妆舞会	10-21072-B
化子	10-21140-S
化子 化子	10-21140-B
化学	10-21204-S
化学信息素	10-21256-S
化学元素	10-21334-S
化学剂量计	10-21406-S
化学反应	10-21491-S
化学品	10-21565-S
化学家	10-21619-S
化学工业	10-21671-S
化学工程	10-21744-S
化学式	10-21823-S
化学弹药	10-21901-S
化学性	10-21976-S
化学性质	10-22030-S
化学战	10-22104-S
化学战剂	10-22166-S
化学战剂检毒箱	10-22244-S
化学战斗部	10-22357-S
化学方程式	10-22440-S
化学武器	10-22527-S
化学武器储备	10-22596-S
化学武器防护	10-22696-S
化学比色法	10-22795-S
化学治疗	10-22879-S
化学激光器	10-22948-S
化学物	10-23029-S
化学纤维	10-23082-S
化学能	10-23153-S
化学航弹	10-23214-S
化学键	10-23284-S
化学需氧量	10-23343-S
化學 化学	10-21204-B
化學信息素 化学信息素	10-21256-B
化學元素 化学元素	10-21334-B
化學劑量計 化学剂量计	10-21406-B
化學反應 化学反应	10-21491-B
化學品 化学品	10-21565-B
化學家 化学家	10-21619-B
化學工業 化学工业	10-21671-B
化學工程 化学工程	10-21744-B
化學式 化学式	10-21823-B
化學彈藥 化学弹药	10-21901-B
化學性 化学性	10-21976-B
化學性質 化学性质	10-22030-B
化學戰 化学战	10-22104-B
化學戰劑 化学战剂	10-22166-B
化學戰劑檢毒箱 化学战剂检毒箱	10-22244-B
化學戰斗部 化学战斗部	10-22357-B
化學方程式 化学方程式	10-22440-B
化學武器 化学武器	10-22527-B
化學武器儲備 化学武器储备	10-22596-B
化學武器防護 化学武器防护	10-22696-B
化學比色法 化学比色法	10-22795-B
化學治療 化学治疗	10-22879-B
化學激光器 化学激光器	10-22948-B
化學物 化学物	10-23029-B
化學纖維 化学纤维	10-23082-B
化學能 化学能	10-23153-B
化學航彈 化学航弹	10-23214-B
化學鍵 化学键	10-23284-B
化學需氧量 化学需氧量	10-23343-B
化州	10-23463-S
化州 化州	10-23463-B
化州市	10-23541-S
化州市 化州市	10-23541-B
化工	10-23630-S
化工 化工	10-23630-B
化工厂	10-23703-S
化工廠 化工厂	10-23703-B
化德	10-23767-S
化德 化德	10-23767-B
化敌为友	10-23974-S
化整为零	10-23835-S
化整為零 化整为零	10-23835-B
化敵為友 化敌为友	10-23974-B
化油器	10-24075-S
化油器 化油器	10-24075-B
化疗	10-24213-S
化痰	10-24129-S
化痰 化痰	10-24129-B
化療 化疗	10-24213-B
化石	10-24260-S
化石 化石	10-24260-B
化粧室	10-24300-S
化粧室 化粧室	10-24300-B
化粪池	10-24404-S
化糞池 化粪池	10-24404-B
化纖 化纤	10-24460-B
化纤	10-24460-S
化肥	10-24509-S
化肥 化肥	10-24509-B
化脓性	10-24553-S
化膿性 化脓性	10-24553-B
化装	10-24632-S
化裝 化装	10-24632-B
化解	10-24711-S
化解 化解	10-24711-B
化身	10-24874-S
化身 化身	10-24874-B
化险为夷	10-25111-S
化隆回族自治县	10-24980-S
化隆回族自治縣 化隆回族自治县	10-24980-B
化險為夷 化险为夷	10-25111-B
化驗 化验	10-25224-B
化验	10-25224-S
北	10-25273-S
北 北	10-25273-B
北亚	10-25301-S
北亞 北亚	10-25301-B
北京	10-25344-S
北京 北京	10-25344-B
北京人	10-25495-S
北京人 北京人	10-25495-B
北京人民大会堂	10-25596-S
北京人民大會堂 北京人民大会堂	10-25596-B
北京军区	10-28156-S
北京动物园	10-25725-S
北京動物園 北京动物园	10-25725-B
北京周報 北京周报	10-25805-B
北京周报	10-25805-S,10-28310-S
北京大学	10-25916-S
北京大學 北京大学	10-25916-B
北京工业大学	10-26096-S
北京工人体育场	10-25990-S
北京工人體育場 北京工人体育场	10-25990-B
北京工業大學 北京工业大学	10-26096-B
北京市	10-26206-S
北京市 北京市	10-26206-B
北京师范大学	10-26348-S
北京師範大學 北京师范大学	10-26348-B
北京教育学院	10-26451-S
北京教育學院 北京教育学院	10-26451-B
北京日報 北京日报	10-26561-B
北京日报	10-26561-S
北京时间	10-26642-S
北京時間 北京时间	10-26642-B
北京晚報 北京晚报	10-26721-B
北京晚报	10-26721-S
北京晨報 北京晨报	10-26798-B
北京晨报	10-26798-S
北京林业大学	10-26876-S
北京林業大學 北京林业大学	10-26876-B
北京核武器研究所	10-26980-S
北京核武器研究所 北京核武器研究所	10-26980-B
北京烤鴨 北京烤鸭	10-27113-B
北京烤鸭	10-27113-S
北京理工大学	10-27180-S
北京理工大學 北京理工大学	10-27180-B
北京电影学院	10-28382-S
北京科技大学	10-27289-S
北京科技大學 北京科技大学	10-27289-B
北京站	10-27409-S
北京站 北京站	10-27409-B
北京舞蹈学院	10-27479-S
北京舞蹈學院 北京舞蹈学院	10-27479-B
北京航空学院	10-27579-S
北京航空學院 北京航空学院	10-27579-B
北京航空航天大学	10-27728-S
北京航空航天大學 北京航空航天大学	10-27728-B
北京艺术学院	10-27882-S
北京藝術學院 北京艺术学院	10-27882-B
北京話 北京话	10-27989-B
北京語言學院 北京语言学院	10-28050-B
北京话	10-27989-S
北京语言学院	10-28050-S
北京軍區 北京军区	10-28156-B
北京近郊	10-28235-S
北京近郊 北京近郊	10-28235-B
北京週報 北京周报	10-28310-B
北京電影學院 北京电影学院	10-28382-B
北京青年報 北京青年报	10-28484-B
北京青年报	10-28484-S
北京音	10-28573-S
北京音 北京音	10-28573-B
北仓区	10-28852-S
北伐	10-28640-S
北伐 北伐	10-28640-B
北伐军	10-28777-S
北伐战争	10-28696-S
北伐戰爭 北伐战争	10-28696-B
北伐軍 北伐军	10-28777-B
北倉區 北仓区	10-28852-B
北冕座	10-28927-S
北冕座 北冕座	10-28927-B
北冰洋	10-29004-S
北冰洋 北冰洋	10-29004-B
北凉	10-34099-S
北区	10-29063-S
北區 北区	10-29063-B
北半球	10-29120-S
北半球 北半球	10-29120-B
北卡罗来纳	10-29188-S
北卡罗来纳州	10-29281-S
北卡羅來納 北卡罗来纳	10-29188-B
北卡羅來納州 北卡罗来纳州	10-29281-B
北印度語 北印度语	10-29372-B
北印度语	10-29372-S
北史	10-29455-S
北史 北史	10-29455-B
北周	10-29522-S
北周 北周	10-29522-B
北回归线	10-29622-S
北回歸線 北回归线	10-29622-B
北国	10-29695-S
北國 北国	10-29695-B
北埔乡	10-29771-S
北埔鄉 北埔乡	10-29771-B
北大	10-29846-S
北大 北大	10-29846-B
北大荒	10-29935-S
北大荒 北大荒	10-29935-B
北大西洋	10-30030-S
北大西洋 北大西洋	10-30030-B
北大西洋公約組織 北大西洋公约组织	10-30099-B
北大西洋公约组织	10-30099-S
北安	10-30243-S
北安 北安	10-30243-B
北宋	10-30309-S
北宋 北宋	10-30309-B
北宋四大部书	10-30380-S
北宋四大部書 北宋四大部书	10-30380-B
北寒带	10-30504-S
北寒帶 北寒带	10-30504-B
北屯	10-30570-S
北屯 北屯	10-30570-B
北屯区	10-30634-S
北屯區 北屯区	10-30634-B
北山	10-30705-S
北山 北山	10-30705-B
北岛	10-30849-S
北岳	10-30905-S
北岸	10-30802-S
北岸 北岸	10-30802-B
北島 北岛	10-30849-B
北嶽 北岳	10-30905-B
北川	10-30963-S
北川 北川	10-30963-B
北川县	10-31062-S
北川縣 北川县	10-31062-B
北川羌族自治县	10-31163-S
北川羌族自治縣 北川羌族自治县	10-31163-B
北平	10-31324-S
北平 北平	10-31324-B
北征	10-31415-S
北征 北征	10-31415-B
北愛爾蘭 北爱尔兰	10-31483-B
北戴河区	10-31553-S
北戴河區 北戴河区	10-31553-B
北投区	10-31635-S
北投區 北投区	10-31635-B
北斗	10-31706-S
北斗 北斗	10-31706-B
北斗七星	10-31761-S
北斗七星 北斗七星	10-31761-B
北斗星	10-31849-S
北斗星 北斗星	10-31849-B
北斗鎮 北斗镇	10-31918-B
北斗镇	10-31918-S
北方	10-31991-S
北方 北方	10-31991-B
北方民族大学	10-32091-S
北方民族大學 北方民族大学	10-32091-B
北方邦	10-32218-S
北方邦 北方邦	10-32218-B
北朝	10-32295-S
北朝 北朝	10-32295-B
北朝鮮 北朝鲜	10-32360-B
北朝鲜	10-32360-S
北极	10-32493-S
北极圈	10-32580-S
北极星	10-32638-S
北极熊	10-32701-S
北柴胡	10-32418-S
北柴胡 北柴胡	10-32418-B
北極 北极	10-32493-B
北極圈 北极圈	10-32580-B
北極星 北极星	10-32638-B
北極熊 北极熊	10-32701-B
北欧	10-32757-S
北歐 北欧	10-32757-B
北汉	10-34327-S
北江	10-32814-S
北江 北江	10-32814-B
北洋	10-32864-S
北洋 北洋	10-32864-B
北洋军	10-33376-S
北洋军阀	10-33438-S
北洋政府	10-32958-S
北洋政府 北洋政府	10-32958-B
北洋水师	10-33160-S
北洋水师 北洋水师	10-33160-B
北洋系	10-33295-S
北洋系 北洋系	10-33295-B
北洋軍 北洋军	10-33376-B
北洋軍閥 北洋军阀	10-33438-B
北洋陆军	10-33527-S
北洋陸軍 北洋陆军	10-33527-B
北派螳蜋拳	10-33633-S
北派螳螂拳 北派螳蜋拳	10-33633-B
北流	10-33771-S
北流 北流	10-33771-B
北海	10-33833-S
北海 北海	10-33833-B
北海市	10-33873-S
北海市 北海市	10-33873-B
北海舰队	10-33974-S
北海艦隊 北海舰队	10-33974-B
北海道	10-34046-S
北海道 北海道	10-34046-B
北涼 北凉	10-34099-B
北温带	10-34258-S
北港鎮 北港镇	10-34183-B
北港镇	10-34183-S
北溫帶 北温带	10-34258-B
北漢 北汉	10-34327-B
北燕	10-34396-S
北燕 北燕	10-34396-B
北爱尔兰	10-31483-S
北疆	10-34476-S
北疆 北疆	10-34476-B
北碚区	10-34529-S
北碚區 北碚区	10-34529-B
北票	10-34601-S
