荏	54-16905-S
萬縣 万县	54-46921-B
萬縣地區 万县地区	54-46990-B
萬聖節 万圣节	54-47087-B
萬聖節前夕 万圣节前夕	54-47175-B
萬能 万能	54-47269-B
萬能曲尺 万能曲尺	54-47314-B
萬能鑰匙 万能钥匙	54-47405-B
萬花筒 万花筒	54-47492-B
萬華區 万华区	54-47550-B
萬萬 万万	54-47621-B
萬裡 万里	54-47672-B
萬象 万象	54-47719-B
萬豪 万豪	54-47764-B
萬載 万载	54-47833-B
萬載縣 万载县	54-47897-B
萬邦 万邦	54-47973-B
萬里追蹤 万里追踪	54-48019-B
萬里鄉 万里乡	54-48108-B
萬里長城 万里长城	54-48183-B
萬隆 万隆	54-48256-B
萬難 万难	54-48318-B
萬靈節 万灵节	54-48411-B
萱	54-48509-S
萱 萱	54-48509-B
萴	54-48569-S
萴 萴	54-48569-B
萵 莴	54-48607-B
萵筍 莴笋	54-48636-B
萵苣 莴苣	54-48686-B
萸	54-48742-S
萸 萸	54-48742-B
萹 扁	54-48780-B
萻	54-48835-S
萻 萻	54-48835-B
萼	54-48878-S
萼 萼	54-48878-B
落	54-48923-S,54-48957-S
落 落	54-48923-B,54-48957-B
落下	54-49011-S
落下 落下	54-49011-B
落井下石	54-49049-S
落井下石 落井下石	54-49049-B
落入	54-49190-S
落入 落入	54-49190-B
落叶	54-50578-S
落叶剂	54-50620-S
落叶归根	54-50672-S
落后	54-49799-S
落地	54-49235-S
落地 落地	54-49235-B
落地灯	54-49373-S
落地燈 落地灯	54-49373-B
落基山	54-49428-S
落基山 落基山	54-49428-B
落实	54-49558-S
落寞	54-49510-S
落寞 落寞	54-49510-B
落實 落实	54-49558-B
落幕	54-49669-S
落幕 落幕	54-49669-B
落座	54-49739-S
落座 落座	54-49739-B
落後 落后	54-49799-B
落得	54-49897-S
落得 落得	54-49897-B
落成	54-49974-S
落成 落成	54-49974-B
落榜	54-50044-S
落榜 落榜	54-50044-B
落水	54-50114-S
落水 落水	54-50114-B
落水管	54-50247-S
落水管 落水管	54-50247-B
落汤鸡	54-50315-S
落湯雞 落汤鸡	54-50315-B
落空	54-50416-S
落空 落空	54-50416-B
落笔	54-50469-S
落筆 落笔	54-50469-B
落網 落网	54-50521-B
落网	54-50521-S
落葉 落叶	54-50578-B
落葉劑 落叶剂	54-50620-B
落葉歸根 落叶归根	54-50672-B
落选	54-50821-S
落選 落选	54-50821-B
落馬 落马	54-50875-B
落馬洲 落马洲	54-50976-B
落马	54-50875-S
落马洲	54-50976-S
葄	54-51053-S
葄 葄	54-51053-B
葆	54-51096-S
葆 葆	54-51096-B
葇	54-51141-S
葇 葇	54-51141-B
葉 叶	54-51183-B
葉利欽 叶利钦	54-51225-B
葉卡捷琳堡 叶卡捷琳堡	54-51359-B
葉卡特琳娜堡 叶卡特琳娜堡	54-51437-B
葉城 叶城	54-51562-B
葉子 叶子	54-51628-B
葉子列 叶子列	54-51671-B
葉序 叶序	54-51749-B
葉挺 叶挺	54-51817-B
葉枕 叶枕	54-51870-B
葉江川 叶江川	54-51911-B
葉爾羌河 叶尔羌河	54-51972-B
葉片 叶片	54-52052-B
葉片狀 叶片状	54-52111-B
葉瑟 叶瑟	54-52193-B
葉綠素 叶绿素	54-52237-B
葉綠體 叶绿体	54-52290-B
葉縣 叶县	54-52343-B
葉聖陶 叶圣陶	54-52395-B
葉脈 叶脉	54-52464-B
葉脈序 叶脉序	54-52534-B
葉輪 叶轮	54-52630-B
葉輪機械 叶轮机械	54-52676-B
葉選平 叶选平	54-52742-B
葉酸 叶酸	54-52799-B
葍	54-52843-S
葍 葍	54-52843-B
葎	54-52870-S
葎 葎	54-52870-B
葑	54-52909-S
葑 葑	54-52909-B
葒 荭	54-52939-B
葖	54-52967-S
葖 葖	54-52967-B
著	54-53309-S
著 着	54-52997-B,54-53041-B,54-53160-B,54-53241-B
著 著	54-53309-B
著三不著兩 着三不着两	54-53388-B
著书	54-54621-S
著书立说	54-54670-S
著作	54-53485-S
著作 著作	54-53485-B
著力 着力	54-53563-B
著勁兒 着劲儿	54-53638-B
著名	54-53723-S
著名 著名	54-53723-B
著墨 着墨	54-53792-B
著實 着实	54-53849-B
著床 着床	54-53913-B
著录	54-56302-S
著忙 着忙	54-53988-B
著急 着急	54-54068-B
著想 着想	54-54120-B
著意 着意	54-54220-B
著慌 着慌	54-54279-B
著手 着手	54-54333-B
著手成春 着手成春	54-54426-B
著書 著书	54-54621-B
著書立說 著书立说	54-54670-B
著棋 着棋	54-54777-B
著法 着法	54-54824-B
著涼 着凉	54-54896-B
著火 着火	54-54943-B
著火點 着火点	54-54995-B
著眼 着眼	54-55087-B
著眼點 着眼点	54-55186-B
著称	54-55279-S
著称于世	54-55336-S
著稱 著称	54-55279-B
著稱於世 著称于世	54-55336-B
著筆 着笔	54-55407-B
著緊 着紧	54-55460-B
著色 着色	54-55551-B
著落 着落	54-55608-B
著處 着处	54-55748-B
著裝 着装	54-55793-B
著述	54-55844-S
著述 著述	54-55844-B
著迷 着迷	54-55905-B
著邊 着边	54-55949-B
著邊兒 着边儿	54-56062-B
著重 着重	54-56137-B
著重號 着重号	54-56212-B
著錄 著录	54-56302-B
著陸 着陆	54-56367-B
著陸點 着陆点	54-56440-B
著魔 着魔	54-56498-B
葙	54-56576-S
葙 葙	54-56576-B
葚	54-56611-S,54-56651-S
葚 葚	54-56611-B,54-56651-B
葛	54-56692-S,54-56825-S
葛 葛	54-56692-B,54-56825-B
葛优	54-56857-S
葛優 葛优	54-56857-B
葛兰素史克	54-57537-S
葛巾	54-56912-S
葛巾 葛巾	54-56912-B
葛布	54-56959-S
葛布 葛布	54-56959-B
葛根	54-57001-S
葛根 葛根	54-57001-B
葛法翁	54-57047-S
葛法翁 葛法翁	54-57047-B
葛洲坝	54-57138-S
葛洲壩 葛洲坝	54-57138-B
葛瑞格尔	54-57197-S
葛瑞格爾 葛瑞格尔	54-57197-B
葛粉	54-57265-S
葛粉 葛粉	54-57265-B
葛縷子 葛缕子	54-57321-B
葛缕子	54-57321-S
葛莱美奖	54-57371-S
葛萊美獎 葛莱美奖	54-57371-B
葛藤	54-57468-S
葛藤 葛藤	54-57468-B
葛蘭素史克 葛兰素史克	54-57537-B
葠	54-57616-S
葠 葠	54-57616-B
葡	54-57647-S
葡 葡	54-57647-B
葡糖	54-57703-S
葡糖 葡糖	54-57703-B
葡糖胺	54-57772-S
葡糖胺 葡糖胺	54-57772-B
葡萄	54-57850-S
葡萄 葡萄	54-57850-B
葡萄乾 葡萄干	54-57887-B
葡萄乾儿	54-57943-S
葡萄乾兒 葡萄乾儿	54-57943-B
葡萄园	54-58001-S
葡萄園 葡萄园	54-58001-B
葡萄干	54-57887-S
葡萄柚	54-58054-S
葡萄柚 葡萄柚	54-58054-B
葡萄汁	54-58108-S
葡萄汁 葡萄汁	54-58108-B
葡萄牙	54-58163-S
葡萄牙 葡萄牙	54-58163-B
葡萄牙人	54-58214-S
葡萄牙人 葡萄牙人	54-58214-B
葡萄牙文	54-58287-S
葡萄牙文 葡萄牙文	54-58287-B
葡萄牙語 葡萄牙语	54-58362-B
葡萄牙语	54-58362-S
葡萄球菌	54-58436-S,54-58505-S
葡萄球菌 葡萄球菌	54-58436-B,54-58505-B
葡萄球菌肠毒素	54-58573-S
葡萄球菌腸毒素 葡萄球菌肠毒素	54-58573-B
葡萄糖	54-58687-S
葡萄糖 葡萄糖	54-58687-B
葡萄糖胺	54-58746-S
葡萄糖胺 葡萄糖胺	54-58746-B
葡萄紫	54-58851-S
葡萄紫 葡萄紫	54-58851-B
葡萄藤	54-58913-S
葡萄藤 葡萄藤	54-58913-B
葡萄酒	54-58967-S
葡萄酒 葡萄酒	54-58967-B
董	54-59022-S
董 董	54-59022-B
董事	54-59087-S
董事 董事	54-59087-B
董事会	54-59134-S
董事會 董事会	54-59134-B
董事長 董事长	54-59198-B
董事长	54-59198-S
董仲舒	54-59276-S
董仲舒 董仲舒	54-59276-B
董卓	54-59350-S
董卓 董卓	54-59350-B
董奉	54-59402-S
董奉 董奉	54-59402-B
董建华	54-59447-S
董建華 董建华	54-59447-B
董必武	54-59553-S
董必武 董必武	54-59553-B
葥	54-59618-S
葥 葥	54-59618-B
葦 苇	54-59656-B
葧	54-59708-S
葧 葧	54-59708-B
葩	54-59753-S
葩 葩	54-59753-B
葫	54-59792-S
葫 葫	54-59792-B
葫芦	54-59847-S
葫芦岛	54-59944-S
葫芦岛市	54-60076-S
葫芦巴	54-60219-S
葫蘆 葫芦	54-59847-B
葫蘆島 葫芦岛	54-59944-B
葫蘆島市 葫芦岛市	54-60076-B
葫蘆巴 葫芦巴	54-60219-B
葬	54-60290-S
葬 葬	54-60290-B
葬礼	54-60329-S
葬禮 葬礼	54-60329-B
葭	54-60377-S
葭 葭	54-60377-B
葯	54-60424-S
葯 葯	54-60424-B
葱	55-12707-S
葱头	55-13066-S
葱岭	55-12751-S
葱绿	55-12817-S
葱翠	55-12858-S
葱花	55-12904-S
葱茏	55-13014-S
葱葱	55-12952-S
葱郁	55-13126-S
葱黄	55-13195-S
葳	54-60460-S
葳 葳	54-60460-B
葴	54-60492-S
葴 葴	54-60492-B
葵	54-60534-S
葵 葵	54-60534-B
葵涌	54-60566-S
葵涌 葵涌	54-60566-B
葵花	54-60644-S
葵花 葵花	54-60644-B
葵花子	54-60687-S
葵花子 葵花子	54-60687-B
葶	54-60745-S
葶 葶	54-60745-B
葷 荤	54-60794-B
葷菜 荤菜	54-60826-B
葸	54-60881-S
葸 葸	54-60881-B
葹	54-60924-S
葹 葹	54-60924-B
葺	54-60966-S
葺 葺	54-60966-B
葽	54-60997-S
葽 葽	54-60997-B
蒂	54-61050-S
蒂 蒂	54-61050-B
蒇	55-14094-S
蒉	55-15384-S
蒋	55-12202-S
蒋介石	55-12286-S
蒋士铨	55-12360-S
蒋桂战争	55-12433-S
蒋纬国	55-12646-S
蒋经国	55-12570-S
蒌	55-11576-S
蒎	54-61087-S
蒎 蒎	54-61087-B
蒐	54-61116-S
蒐 蒐	54-61116-B
蒐寻	54-61159-S
蒐尋 蒐寻	54-61159-B
蒐集	54-61218-S
蒐集 蒐集	54-61218-B
蒓 莼	54-61288-B
蒓菜 莼菜	54-61349-B
蒔 莳	54-61402-B
蒔蘿 莳萝	54-61455-B
蒔蘿籽 莳萝籽	54-61500-B
蒗	54-61553-S
蒗 蒗	54-61553-B
蒙	45-61052-S,45-61129-S,45-61173-S,54-61594-S
蒙 蒙	54-61594-B
蒙代尔	54-61632-S
蒙代爾 蒙代尔	54-61632-B
蒙受	54-61691-S
蒙受 蒙受	54-61691-B
蒙古	54-61750-S
蒙古 蒙古	54-61750-B
蒙古人	54-61792-S
蒙古人 蒙古人	54-61792-B
蒙古人民共和国	54-61843-S
蒙古人民共和國 蒙古人民共和国	54-61843-B
蒙古包	54-61973-S
蒙古包 蒙古包	54-61973-B
蒙古国	54-62022-S
蒙古國 蒙古国	54-62022-B
蒙古族	54-62075-S
蒙古族 蒙古族	54-62075-B
蒙古語 蒙古语	54-62158-B
蒙古语	54-62158-S
蒙召	54-62220-S
蒙召 蒙召	54-62220-B
蒙哥馬利 蒙哥马利	54-62275-B
蒙哥马利	54-62275-S
蒙在鼓里	45-61209-S
蒙城	54-62339-S
蒙城 蒙城	54-62339-B
蒙塾	54-62406-S
蒙塾 蒙塾	54-62406-B
蒙大拿	54-62455-S
蒙大拿 蒙大拿	54-62455-B
蒙大拿州	54-62506-S
蒙大拿州 蒙大拿州	54-62506-B
蒙太奇	54-62569-S
蒙太奇 蒙太奇	54-62569-B
蒙头转向	45-61852-S
蒙娜丽莎	54-62628-S
蒙娜麗莎 蒙娜丽莎	54-62628-B
蒙山	54-62692-S
蒙山 蒙山	54-62692-B
蒙巴萨	54-62759-S
蒙巴薩 蒙巴萨	54-62759-B
蒙巴顿	45-61335-S
蒙师	54-62909-S
蒙帕納斯 蒙帕纳斯	54-62826-B
蒙帕纳斯	54-62826-S
蒙師 蒙师	54-62909-B
蒙彼利埃	54-62966-S
蒙彼利埃 蒙彼利埃	54-62966-B
蒙得維的亞 蒙得维的亚	54-63045-B
蒙得维的亚	54-63045-S
蒙恩	54-63141-S
蒙恩 蒙恩	54-63141-B
蒙恬	54-63191-S
蒙恬 蒙恬	54-63191-B
蒙托罗拉	54-63258-S
蒙托羅拉 蒙托罗拉	54-63258-B
蒙文	54-63322-S
蒙文 蒙文	54-63322-B
蒙日	54-63375-S
蒙日 蒙日	54-63375-B
蒙昧	54-63434-S
蒙昧 蒙昧	54-63434-B
蒙松雨	45-61397-S
蒙求	54-63524-S
蒙求 蒙求	54-63524-B
蒙特利尔	54-63658-S
蒙特利爾 蒙特利尔	54-63658-B
蒙特卡洛	45-61460-S
蒙特卡洛法	45-61535-S
蒙特卡罗方法	45-61626-S
蒙特塞拉特	54-63735-S
蒙特塞拉特 蒙特塞拉特	54-63735-B
蒙皮	54-63810-S
蒙皮 蒙皮	54-63810-B
蒙罗维亚	54-63861-S
蒙羅維亞 蒙罗维亚	54-63861-B
蒙羞	54-63946-S
蒙羞 蒙羞	54-63946-B
蒙自	54-63996-S
蒙自 蒙自	54-63996-B
蒙茏	54-64212-S
蒙茸	54-64058-S
蒙茸 蒙茸	54-64058-B
蒙蒙	54-64101-S
蒙蒙 蒙蒙	54-64101-B
蒙蒙亮	45-61721-S
蒙蒙黑	45-61801-S
蒙蔽	54-64162-S
蒙蔽 蒙蔽	54-64162-B
蒙蘢 蒙茏	54-64212-B
蒙覆	54-64266-S
蒙覆 蒙覆	54-64266-B
蒙阴	54-64308-S
蒙陰 蒙阴	54-64308-B
蒙难	54-64374-S
蒙難 蒙难	54-64374-B
蒙面	54-64492-S
蒙面 蒙面	54-64492-B
蒙館 蒙馆	54-64547-B
蒙馆	54-64547-S
蒙騙 蒙骗	54-64597-B
蒙骗	54-64597-S
蒜	54-64666-S
蒜 蒜	54-64666-B
蒜苗	54-64696-S
蒜苗 蒜苗	54-64696-B
蒜苗炒肉片	54-64759-S
蒜苗炒肉片 蒜苗炒肉片	54-64759-B
蒜茸	54-64857-S
蒜茸 蒜茸	54-64857-B
蒜茸鉗 蒜茸钳	54-64907-B
蒜茸钳	54-64907-S
蒞 莅	55-0-B
蒟	55-49-S
蒟 蒟	55-49-B
蒟蒻	55-76-S
蒟蒻 蒟蒻	55-76-B
蒡	55-139-S
蒡 蒡	55-139-B
蒢	55-190-S
蒢 蒢	55-190-B
蒨	55-222-S
蒨 蒨	55-222-B
蒭藁增二	55-262-S
蒭藁增二 蒭藁增二	55-262-B
蒯	55-332-S
蒯 蒯	55-332-B
蒱	55-380-S
蒱 蒱	55-380-B
蒲	55-422-S
蒲 蒲	55-422-B
蒲公英	55-609-S
蒲公英 蒲公英	55-609-B
蒲剧	55-685-S
蒲剧 蒲剧	55-685-B
蒲县	55-1219-S
蒲圻	55-748-S
蒲圻 蒲圻	55-748-B
蒲城	55-804-S
蒲城 蒲城	55-804-B
蒲式耳	55-869-S
蒲式耳 蒲式耳	55-869-B
蒲松齡 蒲松龄	55-942-B
蒲松龄	55-942-S
蒲江	55-1011-S
蒲江 蒲江	55-1011-B
蒲甘	55-1076-S
蒲甘 蒲甘	55-1076-B
蒲甘王朝	55-1122-S
蒲甘王朝 蒲甘王朝	55-1122-B
蒲縣 蒲县	55-1219-B
蒲草箱	55-1272-S
蒲草箱 蒲草箱	55-1272-B
蒲葵	55-1329-S
蒲葵 蒲葵	55-1329-B
蒲隆地	55-1398-S
蒲隆地 蒲隆地	55-1398-B
蒴	55-1449-S
蒴 蒴	55-1449-B
蒴果	55-1484-S
蒴果 蒴果	55-1484-B
蒷 筼	55-1534-B
蒷簹 筼筜	55-1586-B
蒷簹湖 筼筜湖	55-1652-B
蒸	55-1731-S
蒸 蒸	55-1731-B
蒸发	55-1974-S
蒸发热	55-2030-S
蒸气	55-1764-S
蒸氣 蒸气	55-1764-B
蒸汽	55-1810-S
蒸汽 蒸汽	55-1810-B
蒸汽机	55-1850-S
蒸汽机车	55-1902-S
蒸汽機 蒸汽机	55-1850-B
蒸汽機車 蒸汽机车	55-1902-B
蒸發 蒸发	55-1974-B
