to fall due	39-39141-B
to get one s finger in the pie	33-42747-S,33-42986-S
to get one s fingers burnt	42-39839-B
to get one s hands on	23-23707-B
to get one s message across	24-34053-B
to get one s name	24-7187-B
to get out a conclusion	20-58146-B
to get out of a predicament	8-46967-B
to get out of a task	28-32176-S
to get out of the way	59-14141-B,65-26734-B
to get out of trouble	8-46665-B
to get over difficulties	29-32010-B
to get panicky	25-46108-B
to get part of the profits	1-11524-S
to get people s attention	17-31308-B
to get property off one s hands	8-44147-B
to get ready for a journey	30-15081-B,30-16223-B,30-16343-B
to get ready for sth	48-42323-B
to get really angry	40-20102-B
to get rich	44-34284-B
to get rich corruptly	44-30442-B
to get rich quick	31-66542-B
to get rid of	22-52458-B,27-28454-B,28-15041-B,28-18262-B,29-30386-B,46-20852-B,49-20002-B,57-53116-B,66-21221-B
to get rid of in a sale	59-58834-B
to get rid of intestinal parasite with drugs	26-48644-B
to get rid of so saving space	45-33597-B
to get right to the point	65-43447-B
to get sb else to do one s dirty work	5-64277-B
to get sb into trouble	27-35260-B,27-35393-B
to get sick because of bad food	12-27037-B
to get soaked	38-41256-B
to get sth	4-47189-S,41-38831-S
to get sth back	57-63716-B
to get sth cheaper	65-22907-S
to get sth done	61-35202-B
to get sth ready	30-15616-B
to get sth wrong	23-24450-B
to get stuck	66-22958-B,66-31881-B
to get the best at least expense	57-62747-B
to get the better of	10-3774-B
to get the desired outcome	57-62522-B
to get the news	51-69346-B
to get things done relying on others 成语 saw	14-59084-B
to get through	62-14903-B
to get through an ordeal	62-48636-S
to get through by luck	22-51683-B
to get through the winter	62-43652-B
to get through 成语 saw	24-9167-S
to get to	65-27677-S
to get to know	60-14074-B
to get to know sb	49-44697-B
to get to know the real situation	55-51276-B
to get to the bottom of sth	9-5303-B,20-45227-B,45-11228-B,58-12152-B,61-58139-B,61-58233-B,61-58459-B
to get to the heart of the matter	9-5144-B,61-56577-B,61-58605-B
to get to the melon	68-26576-S
to get to the right path	27-60346-S
to get to the root of a problem etc	37-24511-B
to get together	51-54685-B,51-56051-B
to get up	60-15659-B,60-16782-B,60-18624-B
to get up early	31-15555-B
to get used to sth	62-65245-B
to get water source from every side 成语 saw	21-58371-S
to get well	44-20293-B
to get what one desires	57-62747-S
to get what one wants	65-10751-S
to get worse	59-7697-B
to giggle	18-60891-B
to gild	37-43938-B
to gin cotton separate seeds from fibre	60-61170-B
to gird	15-21311-B
to give	3-28695-B,3-28724-B,5-16838-B,18-4992-S,26-51252-B,28-11844-B,49-49050-B,53-21885-B,59-56912-B,59-59451-B,62-59643-B,62-59693-B
to give a detailed exposition	43-44269-B
to give a discount	26-44452-B,26-44503-B
to give a favor used of christian god	65-34940-B
to give a forced interpretation	47-52382-B
to give a forced interpretation 成语 saw	47-52464-B
to give a full account	66-27803-B
to give a jolt of surprise	69-63079-B
to give a lead	28-43011-B
to give a new lease of life	8-10069-B
to give a present	60-2656-B
to give a present to sb to ensure success	64-38112-B
to give a sign to show one s presence	67-48105-B
to give a speech	44-33825-B
to give a start	69-63160-B
to give a typical example	46-45782-B
to give advice	8-45152-S,71-39389-B
to give advice in study	61-8995-B
to give advice or comments	27-59489-B
to give aid and support	61-18044-B
to give alarm	40-43618-S,42-10321-S
to give alms	6-58763-B
to give an account	58-55549-B
to give an account of	10-38220-B,23-52839-B
to give an example	53-26684-B
to give an official response	26-57605-B
to give an orderly account	30-19328-B
to give and accept	28-12229-B
to give and take	52-26957-S
to give answering phrase school exercise in memory or composition	20-56441-B
to give as a present	18-4736-B,61-63346-B,61-63880-B
to give attention to sth	8-56820-B
to give audience of emperor	32-48900-B
to give away	28-4526-B
to give away all one has	6-48547-B
to give back	18-5047-S
to give back the spoils	61-59306-S
to give birth	43-17960-B,43-18484-B,43-29051-B,43-30965-B,43-31114-B,43-31781-S,52-61362-S,69-10328-B
to give birth to	43-18022-B
to give bribes	56-34953-B
to give change	26-58729-B,26-60063-B
to give charity to sb out of pity	25-3107-B
to give classes	4-43934-B
to give contradictory directions	45-58620-B
to give credit	35-53553-B
to give directions	27-58003-B,27-61065-B
to give everything to help sb	6-47169-B
to give excuses	58-42070-B
to give expression to	70-8393-B
to give for free	8-53913-B
to give forthright criticism	41-39283-S
to give free rein	50-28455-B
to give generously to help others	57-48318-S
to give in	6-5300-B,21-10310-B,41-38951-S,59-13949-B
to give in charity	30-65572-B
to give in return	16-8728-B
to give instructions	71-39389-B
to give it a try	1-399-S,58-13522-B
to give it a try 成语 saw	60-53587-S
to give lessons	28-12732-B
to give material assistance to	28-26755-B
to give medicine to a dead horse 成语 saw	35-59864-S
to give no thought to	50-52674-B
to give notice	62-8869-B
to give off	8-10582-B
to give one s bare heart into sb else s keeping 成语 saw	28-30682-B
to give one s child the best education as a career investment	32-45750-B
to give one s life	28-7099-B
to give one s respects	13-62542-B
to give oneself airs and offend others	53-16747-B
to give oneself leeway 成语 saw	20-26125-B
to give oneself up	53-15585-B
to give or accept bribes	49-18055-B
to give or have acupuncture and moxibustion	64-18969-B
to give or have an acupuncture treatment	26-39831-B
to give or have an injection	26-49837-B
to give orders	28-12283-B
to give orders 成语 saw	44-33339-B
to give out	29-49018-B
to give poenies	60-2786-B
to give presents to one s elders or superiors	19-9759-B
to give prior notice	26-44565-B
to give problems	8-37116-B
to give prominence to	47-52811-B
to give publicity to	19-53782-B
to give regards to	13-62691-B
to give relief aid	59-54630-B
to give relief material	40-9465-B
to give rise to	23-30950-B,43-32422-B
to give rise to sth good	44-32060-B
to give sb a hard time	30-14635-B
to give sb funny looks	24-65072-B
to give sb his due	35-53553-B
to give serious consideration to sth	51-34512-B
to give shade of a tree etc	22-58518-B
to give sth in return	14-55832-B
to give support to	28-54024-B
to give thanks	46-55009-B,53-19910-B
to give the alarm	16-12225-B
to give the game away	67-46603-B,67-48446-B
to give the same story	20-47690-S
to give to an inferior	59-57066-B
to give to higher authority	1-45851-B
to give to poorer relative	13-13292-B,59-56571-B
to give to the departed	61-60180-B
to give to the needy	59-56256-B,59-56398-B
to give unnecessary details	60-2445-B
to give up	2-16430-S,26-14346-B,28-6935-B,29-7006-B,29-52137-B,35-57269-B,37-60178-S,41-63235-B,50-54410-B
to give up a bad habit	26-14136-B
to give up and stop bothering	53-6985-B
to give up drinking	26-14267-B
to give up drug	9-67380-S,26-13991-B
to give up evil and return to good	29-46523-S
to give up evil and return to virtue	34-18667-B
to give up evil temporarily	30-24969-B
to give up evil ways and return to virtue	1-49098-S
to give up life for righteousness 成语 saw	28-6998-B
to give up one s seat	59-13817-B
to give up one s seat for sb	59-13886-B
to give up smoking	26-14084-B
to give vent	26-67505-B
to give vent to anger	8-40330-B,37-59628-B,37-59937-B,37-59991-B,37-60046-B,44-30671-B
to give voice	8-44089-B
to give way in the face of superior strength	61-62965-S
to gives thought to others	54-54120-B
to glance	61-26020-B,65-57695-B
to glance at	45-57335-B
to glance back	11-56330-B,14-56940-B
to glance back 成语 saw	51-13678-S
to glance fearfully	45-61952-B
to glance strike at an angle	28-20564-B
to glance through	38-35549-B
to glance through and check	51-21683-B
to glare at	24-53521-B
to glean	27-54179-B
to glide fly	39-29236-B
to glisten	65-24589-B
to glitter	41-33012-B
to gloss over	28-33851-B,30-31813-B
to glow	41-17168-B
to glue	52-49394-B
to gnash one s teeth in anger	8-63761-B,24-53438-B
to gnaw	13-57398-B,14-31660-B
to go	9-9255-B,9-19956-B,11-37465-B,14-12039-S,16-50977-B,23-64862-B,26-63885-B,29-52883-S,40-62269-S,43-50049-S,56-30633-B,60-9375-B,60-15262-B,60-15313-B,60-53587-S
to go about	61-34549-B
to go about with one s nose in the air	45-16023-B
to go abroad	8-37398-B,11-37907-B,68-60959-B
to go abroad as ambassador	8-35035-B
to go against	55-36085-B,61-65778-B,62-55617-B,62-55942-B,62-58609-B
to go against one way traffic regulation	61-68100-B
to go against orders	62-55687-B
to go against the tide 成语 saw	5-60574-B,61-68194-B
to go against the trend	61-67581-B
to go against the wind	61-68766-B
to go all out for sth at risk of one s life	27-52050-B
to go and return	24-12792-B
to go arm in arm with a girl	12-44261-B
to go around	21-51802-B,42-9744-S,45-11086-B,48-51328-S,50-40656-B
to go away	60-9375-B,67-8589-B
to go away from one s present position	16-44425-B
to go back	11-27977-B,14-54252-B,35-53185-B
to go back and forth	23-61936-B,23-62912-B
to go back on a deal	11-48269-B,51-21590-B
to go back on a marriage contract	59-62577-B
to go back on one s word	11-45809-B,69-4081-B
to go back to one s roots	35-54338-B
to go back to the source	28-31185-B,61-67716-B
to go bald	58-57844-B
to go bankrupt	5-54933-B,5-60303-B,5-61933-B,46-18456-B
to go begging	57-61825-B
to go beyond	8-33733-B,60-24297-B,62-34674-B
to go beyond one s authority	60-27241-B
to go beyond the bounds of one s job	60-27460-B
to go beyond the sacrificial altar and take over the kitchen 成语 saw	60-25771-S
to go by car	15-51874-B
to go by surface transport	66-34155-B
to go by taxi	26-47068-B
to go dining	12-26900-S
to go down	1-57993-B,1-58841-B,1-64037-B,39-1189-B
to go down in history	61-6989-B
to go dutch	1-0-B
to go everywhere	60-36340-B
to go far	62-63022-B
to go flat of a tire	29-7752-B
to go for a spin in the fresh air	7-23398-B
to go for a walk	30-8880-B,39-17990-B
to go forward	1-46533-B,9-24921-B,62-29311-B
to go forward one stage at a time	62-60067-B
to go from house to house	27-68047-B
to go from one state to another	68-51240-S
to go head to head see who is best	1-21651-B
to go home	5-55092-B,38-7004-S
to go home in a ceremonial procession	26-49604-B
to go home to one s native country	35-53793-B
to go home to their provinces	33-13968-S
to go home to visit one s family	28-23841-B
to go hungry	27-69366-B,69-14151-B
to go hunting as winter sport in former times	42-8385-B
to go in	62-29270-B
to go in a direction	23-61667-B
to go in for	28-57082-B
to go in reverse	5-61660-B
to go into	1-45053-B,62-28956-B
to go into battle	1-56969-B,8-39709-B
to go into battle and kill the enemy	1-57023-B
to go into effect	43-21095-B
to go into exile	8-34335-B,61-64888-B
to go into exile from prison	3-65766-B
to go into hiding	10-40420-B,55-30767-B,60-57871-B
to go into opposition	1-63844-B
to go into shock	4-55440-B
to go into the records	61-6989-B
to go off like a rocket	69-63889-B
to go off the stage	1-58915-B,1-62445-B
to go offline	1-62210-B
to go on	1-58841-B
to go on a business trip	8-39092-B
to go on a diet	48-30317-B
to go on a hunger strike	49-47900-B
to go on a journey	8-46514-B
to go on a personal punitive expedition	20-38922-B
to go on a pleasure trip	39-53233-B
to go on a punitive expedition	23-64462-B
to go on a trip	61-20798-B
to go on foot	35-42951-B,60-14020-B
to go on long campaign	23-63037-B
to go on stage	43-67686-B
to go on stage in the theater	1-47362-B
to go on to do sth	28-27616-B
to go on with	50-42557-B,50-43216-B
to go online	1-54954-B
to go onto the streets	1-55423-B
to go out	8-12784-B,8-33733-B,8-36212-B,8-37873-B,16-44425-B
to go out and come in	8-35281-B
to go out hunting	8-41996-B
to go out into society	38-34479-B
to go out of bounds	8-37314-B
to go out of bounds sport	8-42958-B
to go out of business	35-25037-B
to go out of fire	41-11433-B,41-11531-B,41-11623-B
to go out of the door	8-46514-B
to go outdoors for physical exercise	8-39893-B
to go over	62-42853-B,62-43905-B
to go pale in panic 成语 saw	69-62143-B
to go personally to consult subordinates of a high official	52-56490-B
to go personally to the place	52-56650-B
to go round a curve	27-30701-B
to go shopping	59-45440-B
to go sight seeing	62-38106-B
to go sightseeing	62-37645-B
to go so far as to	47-63289-B,53-18367-B
to go soft at the knees	44-34643-B
to go somewhere else	60-14514-B
to go steady and strike hard in fighting	47-42888-B
to go the same way	12-51845-B
to go the wrong way	61-68100-B
to go through	35-53066-B,49-62340-B,62-6773-B,62-12525-B
to go through fire and water	8-42238-B
to go through the formalities	60-11473-B
to go through the motions	23-30388-B
to go through unhindered	62-12666-B
to go to a fair	60-29213-B
to go to and fro	23-62912-B
to go to bed	21-9540-B,45-55428-B
to go to bed with sb	5-6695-B,56-32501-B
to go to beijing	62-28637-B
to go to distant parts	62-63661-B
to go to market	60-29213-B
to go to pot	1-60832-B
to go to sb for help or protection	27-948-B
to go to school	1-48535-B,17-64969-S,21-10836-B
to go to school for the first time as a child	7-24504-B
to go to sea	1-61411-B
to go to sleep	45-55428-B
to go to taiwan	11-38388-B
to go to the countryside	1-63784-B
to go to the dogs	54-50114-B
to go to the office	1-54024-B
to go to the opera	52-583-B
to go to the toilet	13-8755-S,30-61708-S
to go to the toilet euphemism	32-9087-B
to go to visit a superior	58-12294-B
to go to war	26-40760-B
to go to war on sb	29-47168-B
to go to work	1-54024-B
to go together	8-0-B
to go together with sb	49-4569-S
to go too far	60-19872-B
to go underground	61-21327-B
to go up	1-45053-B,1-47043-B,10-53465-B
to go up or go down	16-27077-B
to go up stairs one by one	27-54034-B
to go up to heaven or down to hades	1-48356-S
to go upstairs	1-51004-B
to go upstream	61-59008-S
to go where the crowds are for excitement	45-39002-B
to go with	60-37298-B
to go with it	44-48967-S
to go with of foods	21-8874-B
to go with the flow	66-44702-B
to go with the stream	37-27118-B
to go without than accept shoddy option	20-19187-S
to go wrong	8-34132-B,8-39014-B,8-41336-B
to goad along	68-8877-B
to gobble up	12-65023-B
to god	42-26012-S
to godliness	40-1179-S
to gods or ancestors	18-4042-S
to gold 成语 saw	71-41263-S,71-42567-S
to good	29-46523-S
to good consequences	53-41374-S
to goods	27-10396-S
to goods in transit	6-45010-S
to goof off	6-22899-B
to gore	42-888-B
to gossip	6-33349-B,7-49612-B,41-36428-B,51-43554-B,58-8746-B,58-33219-B,58-33789-B,58-44834-B
to gossip and meddle	16-55268-B
to govern	3-8636-B,3-8697-B,37-24078-B,37-24766-B,49-52202-B,49-53928-B,61-20322-B
to govern from the imperial throne applies esp to empress dowager or regent	52-58504-B
to grab	26-54070-B,26-67574-B,28-2182-B,28-61673-B
to grade exam scripts	26-41159-B
to graduate	8-39151-B,39-38196-B,43-54755-B
to graft	34-24884-B
to graft a branch to a rootstock	18-57884-B
to grant	8-25340-B,8-25409-B,20-32299-B,59-56822-B,59-56962-B,60-2656-B
to grant an interview	28-27803-B
to grant or confer	68-31807-B
to grapple with the enemy	27-52347-B
to grasp	26-65079-B,27-55862-B,28-47410-B,29-4703-B,29-20338-B,29-36501-B,47-13621-B
to grasp ideas	42-56493-S
to grasp often fig 	28-14025-B
to grasp sth in the hand and beat it	28-63821-B
to grasp the main points	2-8947-S
to grasp to advance to breakdown	29-3265-B
to grasp with fingers	27-20244-B
to grasp with pincers	64-23491-B
to grate	8-61629-B
to gratitude	25-42603-S
to greatly admire	6-46172-B
to greet	18-4928-S,61-45365-B
to greet guests	23-41105-B
to greet sb	27-41357-B
to greet sb by word or action	26-44565-B
to grief	12-27678-S
to grieve	6-44237-B,6-44491-B,24-56659-B,25-11382-B
to grieve for	13-31236-B
to grieve for deceased relative	6-44572-B
to grieve for the sick and the dying	23-26799-B
to grieve over sb s death	13-31869-B
to grieve to death	6-44391-B
to grimace	6-15824-B,24-65072-B,70-32006-B
to grimace in pain	13-15469-B,71-55865-B
to grin	13-28050-B,67-48662-B,67-48702-B
to grin and bear it	24-43144-B,61-65870-B
to grind	29-17970-B,46-13654-B,46-38274-B
to grind an iron bar down to a fine needle 成语 saw	46-39515-B
to grind knife blades	46-39298-B
to grind one s teeth during sleep	46-39975-B
to grind one s way through an inkstone 成语 saw	46-40428-B
to grind the teeth	13-29102-B
to grip	29-36501-B
to grip the road in car racing	26-67755-B
to grit one s teeth and bear the pain	13-29180-S
to groan	13-16736-B
to groom for a position	15-66439-B
to grope	29-3565-B
to grope about in the dark	29-3774-B
to grovel	60-40654-B
to grow	26-12412-B,34-571-B,34-733-B,43-17960-B,43-29051-B,44-28236-B,47-31993-B,65-11737-B
to grow all over	65-17277-B
to grow and spread	39-27592-B
to grow crops	43-32787-B
to grow flowers	47-33817-B
to grow in number	16-26621-B
to grow mulberry for sericulture	61-41166-B
to grow prettier physical changes at puberty	8-44608-B
to grow rusty	43-30379-B
to grow up	65-12820-B,65-14836-B
to grow usually of abstract things	39-27696-B
to grumble	14-30535-B,14-44277-B,46-38601-B,46-40900-B
to guarantee	5-38699-B,5-39379-B,5-40874-B
to guarantee replacement of faulty goods	10-15840-B
to guard	5-34047-B,19-21467-B,26-6475-B,29-23893-B,45-37154-B,45-38345-B,56-36962-B,56-38809-B,56-40413-B,65-62946-B
to guard a natural stronghold	29-23975-B
to guard against	9-46036-B,28-42865-B,65-59670-B,65-59733-B,65-60971-B,68-31003-B
to guard against earthquakes	65-63470-B
to guard against emergency	26-13288-B
to guard region etc	64-54074-B
to guard the frontier	26-6574-B
to guess	4-59668-B,30-34368-B,42-12401-B
to guide	20-57991-B,22-28970-B,23-27332-B,23-28589-B,23-31028-B,27-57597-B,27-58003-B,28-39801-B,58-24036-B
to guide a missile	9-11027-B
to guide into	20-58063-B
to guide sb back to the right path by repeated word and example	25-39302-B
to guide sth on its proper course	68-23325-B
to guide towards profitable outcome	68-23325-B
to gun down	20-35575-B
to hack	9-40759-B,29-19189-B
to hack computer	5-27280-B
to hades	1-48356-S
to haggle	57-60576-B,58-40780-B
to haggle over every ounce	30-37613-B
to halogenate combine with a halogen such as chlorine	71-3172-B
to halt	6-15904-B,6-16630-B,47-62554-B
to halt troops	64-24692-S
to hammer	28-8440-B,28-57865-B,64-43488-B,64-52951-B
to hamper	34-13643-B
to hand	3-68547-S,23-6823-S,24-5460-S
to hand around	38-3622-B
to hand back	4-343-B
to hand back yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
to hand down	2-37921-B,4-30348-B,6-35715-B,6-37435-B,15-57488-B,45-26882-B,59-57066-B
to hand down an imperial edict	1-62964-B
to hand in one s ration cards	3-71048-B
to hand infantry combat	45-65660-S
to hand over	3-66773-B,61-63449-B,62-59643-B
to hand over face to face	68-1049-B
to hand over one by one	71-38140-B
to hand over sth	29-42166-S
to hand over the money to cover sth	4-542-B
to hand over to	1-45851-B,4-26481-B
to hand over to the next workshift	3-70915-B
to hand typewriter	67-30612-S,67-30697-S
to handle	20-46890-B,23-23323-B,24-10189-B,29-21417-B,30-35379-B,41-32128-B,42-53278-B,48-6114-B,55-50218-B,55-50479-B,61-34549-B,61-35479-B,62-43541-B,67-11322-S
to handle a case	61-35366-B
to handle a crisis effortlessly	21-26653-S
to handle a matter urgently	9-55710-B
to handle administrative work	45-33134-B
to handle affairs	55-49051-B,61-34737-B
to handle different things by the same method	68-40655-S
to handle in accordance with the rules	62-69073-B
to handle it	9-51084-S
to handle matters	6-14355-B
to handle rapids	40-16287-S
to handle sth jointly	32-22376-B
to hang	26-2415-B,26-2787-B,28-19201-B
to hang a person	12-42489-B
to hang around	38-12055-B,70-31726-B
to hang around and cause trouble to everyone	25-63858-B
to hang clothes on a pole	28-58671-B
to hang down	4-66899-B,15-54430-B,15-54536-B,15-54804-B
to hang down hair	70-27636-B
to hang down in a bunch	14-30609-B
to hang e g a painting	12-43087-B
to hang on to and serve the rich and powerful by literary hack work etc	22-36210-B
to hang oneself	12-43656-B,12-45068-B,53-13053-B
to hang out together with derog 	23-6895-B
to hang sb up and beat him	12-43027-B
to hang sth out to dry	68-53327-B
to hang up	12-42489-B
to hang up a phone	28-19785-B
to hang up properly telephone	28-19371-B
to hang upside down	5-56262-S,5-57439-S
to happen	6-3964-B,8-33733-B,10-7735-S,24-22943-S,44-31659-B
to happen to	35-35109-B,46-30784-B
to happen to just at the right time	35-35989-B
to happen upon	6-22039-B
to happen usually of sth undesirable	9-68275-S
to happily gather under the same roof	35-32291-S
to harangue	70-21708-B
to harass	29-31305-B,50-45413-B,50-45833-B,50-56123-B,50-60853-B,69-55015-B
to harbor	10-17616-B,47-56589-B,55-30430-B
to harbor a grudge	26-512-B
to harbor evil intentions	21-18593-B,55-30908-B
to harbor evil intentions 成语 saw	10-17682-B,53-65639-B
to harbor thoughts	24-33353-B
to harden	46-25169-B
to hark back	63-59111-B
to harm	11-22485-B,28-52145-B,28-52350-B,47-2099-B,58-29973-B
to harm by witchcraft	56-22172-B,56-22309-B
to harm people and damage property 成语 saw	35-62924-B
to harm sb	5-64277-S,19-58544-B
to harmonize	10-65121-B,58-36257-B,58-38909-B,71-63972-B
to harmonize the stomach and rectify qi4 traditional chinese medicine	13-24971-B
to harmony	13-23795-S
to harness	69-49135-B
to harness a horse	18-10858-B
to harness a horse to a cart	18-10578-B
to harness a river	37-24078-B
to harp on	68-46118-B
to harp on the same string	63-58324-S
to harvest	28-22795-B
to hasten	5-30944-B,30-10182-B,60-30765-B
to hasten sth	6-30180-B
to hatch	19-16385-B
to hate	11-36316-B,11-36367-B,24-63974-B,25-1009-B,25-18802-B,25-21002-B,25-56508-B,25-62688-B,33-51550-B,44-20713-B,45-37438-B
to hate and resent	25-24717-B
to hate doing sth	57-62317-B
to hate one another	45-28594-B
to hate the wicked as personal foes	44-6890-B
to hate to be unable	25-1039-B,25-1203-B
to hate to do sth	28-6629-B
to hate to have to go	43-50049-B
to hate to leave sb	5-24730-B
to hate to part with	28-6629-B
to haul	27-36848-B
to haunt one	35-58140-S
to have	5-1810-B,5-38150-S,8-4727-B,26-28688-B,29-17799-B,32-29282-B,40-45824-S
to have a bee in one s bonnet	52-21340-B
to have a bite	71-41922-B
to have a chat	51-43155-B,58-41953-B
to have a clear conscience	13-62847-B,28-7229-B,40-52527-B
to have a confrontation with sb	4-457-B
to have a deficit	55-56402-B
to have a dream	6-14610-B
to have a drink	26-49712-B
to have a feeling for sth affection	25-14550-B,25-14644-B
to have a fever reaching a certain temperature	41-26189-B
to have a go when at one s peak	11-42837-B
to have a good meal	17-41032-B
to have a good talk	6-49410-B
to have a great time	65-34683-B
to have a guilty conscience	13-62764-B
to have a guilty conscience idiom	6-15625-B
to have a high temperature	44-31015-B
to have a holiday or vacation	29-48954-B
to have a job	6-14355-B
to have a knack for good business	43-29895-S
to have a look in	10-15175-S
to have a nap	45-54763-B
to have a pleasant journey	1-21218-B
to have a prejudiced viewpoint	26-23583-B
to have a reputation as	55-55525-B
to have a reunion	15-28711-B,15-29182-B
to have a row	13-2587-B
to have a show down	1-13600-B
to have a smile on one s face	12-68261-B
to have a snack	71-41922-B
to have a stroll	62-16350-B
to have a strong appetite for certain foods during pregnancy	19-59053-B
to have a surprise 成语 saw	17-8847-B
to have a taste of	68-34896-B
to have a taut face	50-38862-B,50-39100-B
to have a try	58-12452-B
to have a use for sth	43-34789-B
to have access	40-51147-S
to have advantages	32-30211-B
to have altogether	7-71863-B
to have an abundance	32-41677-B
to have an affair	26-3809-B
to have an attitude of one s own	42-19607-B
to have an audience with the emperor	57-40782-S,57-40849-B
to have an icy manner	8-22818-B
to have an illicit affair	60-13142-B
to have an informal discussion	22-65089-B
to have an intention to do sth	29-26964-B
to have an intimate relationship with sb	6-26115-S
to have an overview	57-42788-B
to have an ulterior motive	9-3923-B
to have another look at sth	63-60010-B
to have authority	32-35882-B
to have bad luck	5-61723-B
to have children	37-10654-S,43-29201-S
to have come to meet you personally	17-67964-S
to have complete control over	49-53928-B
to have conceived	26-222-B
to have confidence in	5-46743-B
to have connections	32-40649-B
to have consideration for	58-1937-B
to have control over	28-29077-B
to have diarrhea	37-60606-B,40-13014-B
to have enough food and warm clothes	39-23292-B
to have enough resources to cover a need	13-14058-B,62-27973-B
to have excessive expectations	18-12148-B
to have eye trouble	19-59513-B
to have faith in	5-46743-B
to have fluent command of	62-40403-B
to have friendly relations with	62-45148-B
to have fun	18-60961-B,42-37776-B,42-38272-B,62-37645-B
to have good eyes	45-48722-B
to have good luck	60-14168-B
to have great hopes for one s offspring	32-45750-B
to have high ambitions	3-14744-B,9-46939-B
to have high hopes	20-1144-B
to have high moral standards	6-5571-S
to have high standards while unable to live up to them	45-52491-B
to have his head	4-44476-S
to have in care	41-8902-B
to have influence	35-58140-S
to have intercourse	7-25595-B
to have involvement	32-40649-B
to have jurisdiction over	48-27179-B
to have known the world	32-16545-S
to have laws and culture	65-30761-B
to have lingering fears	24-33838-B
to have meaning	32-33627-B
to have neither complaints nor regrets	40-51599-S
to have neither predecessors nor successors	9-21785-B
to have never met sb before 成语 saw	49-24916-B
to have no alternative 成语 saw	61-51811-B
to have no choice	2-8746-B,37-11100-B
to have no idea what to do	48-32362-S
to have no knowledge of sth	54-9424-B
to have no more illusions about	35-57269-B
to have no opportunity	40-60156-B
to have no other alternative	40-61628-S
to have no other choice	12-8362-B
to have no regard for	50-52674-B
to have no time for	40-54530-B
to have no way out	60-11844-B
to have not fully expressed oneself	25-29685-B
to have nothing	1-14127-B
to have nothing than substandard choice 成语 saw	20-19187-S
to have nothing to do	37-8720-B,40-45929-B
to have nothing to do 成语 saw	40-53454-B
to have one s cake and eat it	2-46276-B
to have one s eyes on a goal	54-55087-B
to have one s feet firmly planted on the ground 成语 saw	52-43686-B
to have one s hands bound and be unable to do anything about it 成语 saw	33-11937-S
to have one s hands tied	33-11474-B
to have one s head cut off	54-49235-B
to have one s head shaved	9-16177-B
to have one s heart filled with	39-38483-B
to have one s job cut	9-17006-B
to have one s meal	12-26030-B,14-14021-B
to have one s property stolen	17-66676-B
to have one s reputation swept away	60-56650-B
to have one s spirits dampened	28-11107-B
to have one s status lowered	28-12924-B
to have passed away	2-2228-B
to have peace of mind	60-46585-B
to have perfect mastery of sth	62-47729-B
to have pins and needles	71-14122-B
to have sb do sth	59-13544-B
to have sb in one s care	29-41474-B
to have sb look after sb	20-2734-B
to have sb s guts for garters	69-3430-B
to have second child	66-67396-S,66-67491-S
to have second thoughts about sth	11-56330-B,61-23384-B
to have sex	3-67975-B,62-30636-B
to have sexual intercourse	62-30636-B,68-47036-B
to have sexual intercourse once	31-35878-B
to have significance	32-33627-B
to have something custom made	19-47309-B,57-57503-B
to have something made to order	19-43736-B
to have sound and color	32-38812-S
to have spare time	37-8829-B
to have sth at one s fingertips	62-40403-B
to have sth in storage	23-0-B
to have sth made to order	19-43676-B
to have sth overruled or changed	2-15204-S
to have sth to do with	32-40446-B
to have success within one s grasp	47-43080-B
to have sympathy with a like minded person in distress	53-50755-S,53-50932-S
to have talent but no opportunity	26-590-B
to have tea and refreshments	69-6527-B
to have the courage of one s convictions	42-56035-B
to have the desired effect	57-30167-B
to have the ears of grain come up	12-60690-B
to have the feeling that	25-39135-B
to have the heart to do sth	24-43001-B
to have the knack	41-16224-B
to have the runs	37-60534-B,52-44857-B
to have the use of	4-1865-B
to have time	32-34660-B
to have time to do sth	32-37889-B
to have to	12-7894-B,24-6106-B,24-42069-B
to have to do with	65-53904-B
to have to go	43-50049-S
to have unrealistic expectations	18-12318-B
to have you	7-12879-S
to hawk	7-23168-B
to hawk one s wares	12-30629-B,12-30965-B
to hawk pirate goods	7-23332-B
to head	8-12896-B
to head for	60-10224-B
to head see who is best	1-21651-S
to heal	25-27833-B,37-24078-B,44-20293-B,63-50033-B
to heal and recover completely	44-13300-B
to heal of wound	20-32606-B
to health	58-37647-S
to heap earth to close a tomb	20-32671-B
to hear	2-25579-S,11-64224-S,18-29335-S,39-47599-S,50-53210-S,51-56383-B,51-69127-B,51-69706-B,52-1213-S,61-67863-S,61-67948-S
to hear a case	20-21926-B
to hear about sth	51-57154-B
to hear but not react	52-1213-B
to hear clearly	52-745-B
to hear i e agreeable news	2-79118-S
to hear one and know ten 成语 saw	51-56550-S
to hear said	52-1780-B
to hear told	52-1732-B
to hear what sb says	52-1335-B
