beat music	48-28923-B
bench	8-30541-B,53-20866-B,65-15694-B
bench legal term	12-37770-S
bench or stool	33-29454-S
benchmark	15-70239-B
bend	23-52129-B,23-52243-S,26-64970-S,27-8254-S,27-37952-B,27-49821-S,29-4072-S,36-64447-S,58-8794-S,58-8829-S,60-55021-B
bend an ear to	6-19684-S
bend at the waist	23-26088-S
bend back	27-69869-B
bend down	15-54430-B
bend in a street	61-27545-B
bend in the wind	28-54220-S
bend iron	64-42926-S
bend of a river or mountain range	18-8143-B
bend over	5-50387-S
bend the body at the waist	23-26150-S
bend the knee 成语 saw	10-62423-S
bend the law	59-39863-S
bend the law for one s own profit 成语 saw	23-65428-S
bend the wrist	28-6100-S
bend with the wind	66-45246-S
bending	23-55505-B,55-7655-S
bending and scraping to curry favor	10-62423-B,18-23465-B
bending the knee 成语 saw	18-23465-S
bends	39-59353-B,39-59416-B
beneath	3-10431-B,4-66899-B,15-33580-B
beneath one s dignity	2-6805-S
beneath one 成语 saw	45-16023-S
beneath the moon	35-42539-S
beneath the surface	39-60534-S,66-48384-S
benedict spinoza 1632 1677	30-42789-S
benedict xvi roman catholic pope	32-65746-B
benediction	65-28138-B
benedictus section of catholic mass	32-63019-B
benedictus xvi	27-26659-S
benefactor	25-1582-S,28-3817-B,59-34763-B,62-57206-S
benefactor as long as one lives	37-12202-S,37-12381-S,64-31519-S,64-31701-S
benefactor in the teeth	24-45369-S
benefice	28-22698-B
beneficence	9-48776-S,40-1423-B
beneficial	3-44596-S,9-6857-S,32-30474-B,32-36843-B,40-58096-S
beneficial of artworks etc	69-29803-S
beneficiary	11-63102-S,42-24049-B
benefit	4-1865-S,6-58702-B,7-70736-S,9-5582-B,9-7688-B,11-61420-S,16-33392-S,18-29608-B,20-12972-S,27-26553-S,29-41432-B,29-62768-B,36-13471-S,42-23983-S,45-2555-B,45-2750-B,49-60426-S,50-64323-S,56-58087-B,57-2550-S,57-2661-B,66-57782-S,68-25473-S,68-25632-S
benefit from	11-63046-S
benefit from advice	11-61854-S
benefit from any situation	21-58371-S
benefit from association with sb or sth	37-25839-S
benefit from counsel	11-60517-S
benefit future generations 成语 saw	7-7268-S
benefit of	49-49050-S
benefit performance	51-13460-B
benefit to	57-2661-S
benefit 成语 saw	24-57735-S,28-52200-S,66-57782-S
benefits	11-63102-S,35-18960-S,41-54886-S,42-22996-S
benefits e g a diploma as a pass to a career	62-12819-S
benefits obtained	42-22996-B
benefits of all	68-48880-S
benefits of education	65-31013-S
benetton	59-30601-B
benevolence	14-3351-B,25-2050-B
benevolence from the emperor	44-61721-B
benevolence 成语 saw	4-20172-S,24-44736-S
benevolent	1-67015-S,4-20996-B,14-3008-B,25-44797-B
benevolent government	24-26976-B
benevolent man cannot be rich 成语	40-32311-S
benevolent often of older person	25-45447-B
benevolent rule	18-47080-S,42-36865-B
benevolent 成语	40-32129-S
bengal	19-10190-B,19-10406-S,57-15334-S
bengal or bangladesh	34-39670-S
bengalensis	70-54279-S
bengalese	19-10475-B
bengbu prefecture level city in anhui	55-57898-B,55-57969-B
bengkulu indonesian town on the south coast of sumatra	31-22505-B,31-22605-B
benglong penglung nationality	21-45493-S
benign e g tumor	53-41374-B
benign prostate hypertrophy	29-35237-B
benign prostate hypertrophy in men	64-39681-S
benign tumor	53-41597-B
benign tumor composed of bone like material	70-1042-S
benin	47-18580-S,59-29584-B
benioff 1899 1968	43-54431-S
benioff zone geol	43-54507-B
benjamin disraeli 1804 1881	61-51505-B
benjamin franklin 1706 1790	32-61367-B,37-33401-B
benjamin name	42-48359-B
benjamin person name	32-61299-B
bent	3-15093-B,11-29130-S,21-19597-B,23-52129-B,29-35632-B,32-4298-B,70-3213-S
bent colon	3-16332-B
bent fingers	27-30559-S
bent on	21-18593-S
bent over one s desk studying or writing	4-53731-B
bent stick	32-4895-B
bent upwards	57-53633-B
bent 成语 saw	9-43838-S
benthic foramanifera	22-60301-B
bentley	59-55160-B
benumb	71-15085-S
benxi city 本溪市 本溪市	11-2805-S,11-2888-S,22-39675-S,22-39792-S,31-23467-S,31-23554-S,59-15856-S,59-15935-S
benxi manchu autonomous county in benxi 本溪 本溪	32-65265-B,32-65405-B
benxi prefecture level city in liaoning province 遼寧省 辽宁省 in northeast china	32-65014-B,32-65134-B
benxi 本溪 本溪	32-65265-S,32-65405-S,34-7355-S,34-7499-S
benz	34-10377-S
benz 1844 1929	32-66211-S
benz name	32-66211-B
benzene	40-43031-S
benzene c6h6 chem 	54-674-B
benzene ring c6h6 in organic chemistry	53-62353-S,54-963-B
benzilate	43-55471-S
benzoic acid c6h5cooh	54-1119-B
benzoil chloride c6h5cocl	54-1038-B
benzoil nitrate	46-22891-B
benzothiophene	54-8547-B
benzothiophene c8h9	54-793-B
benzyl chem 	53-63947-B
benzylamine c7h9n	53-63985-B
bequeath	15-54430-B,58-6692-B,59-48667-B,63-3866-B
bequeath a calamity 成语 saw	69-11675-S,69-11878-S
bequeath to later generations	43-48677-S
bequeathed by the ghost huang fugui 黃父鬼 黄父鬼	9-42721-S
bequeathed draft of book	63-3501-B
berate	12-20140-S,12-20466-S,13-16097-S,13-16248-S,13-16377-S,13-16435-S,57-64271-S
berate angrily	12-20520-S
berber people of north africa	33-41411-B
bereaved	23-26641-S,63-2976-S
bereaved of one s spouse literary	2-48262-B
bereavement	13-31733-B
berenices constellation	12-59718-S
beret	59-30732-B
bergen	10-62229-B
berger	4-57837-S,4-57837-S
beriberi	52-43459-B
bering sea	44-36264-B
bering straits between siberia and alaska	44-36320-S
berkeley california	4-57897-B
berkeley name	22-3487-S
berkelium bk97	64-42889-B
berkshire swine	22-3357-B
berlin	33-41248-S
berlin capital of germany	33-41188-B
berlin wall	33-41354-B
berlioz	33-41943-B
bermuda	44-54065-B
bern capital of switzerland	4-59087-B
bern or berne switzerland	4-58508-B
bernard shaw	55-16544-S
bernard shaw 1856 1950	52-8231-B
bernardovich radek 1995 1939	27-24483-S
berne switzerland	4-58508-S
berners lee 1955 	4-59158-S
bernhard karlgren 1889 1978	70-15909-B
bernoulli swiss mathematical family	59-29124-B
berry	39-56224-B,60-27189-S
berth	6-17646-B,37-28771-B,52-54259-B,53-39480-S,64-36552-B
bertrand arthur william	50-61364-B
beryl	49-64903-B
beryllium	64-35263-S
beryllium be	64-22376-B
beryllium be 鈹 铍	71-4891-S
bes or bisu	59-29760-B
beseech	36-53489-S
beside	6-26918-B,15-37061-B,30-67012-B,30-67818-B
beside oneself	70-33233-B
beside the point	48-21628-S
besides	2-46711-B,8-3744-B,8-9933-B,12-6782-B,16-47322-B,35-41258-B,37-28007-B,66-21334-B
besides oneself with joy	69-61501-B
besides oneself with panic	7-68796-B
besiege	15-21550-S,15-22032-S
besiege a town	29-47390-S
bessemerizing of matte	64-52193-B
best	1-21651-S,1-73004-S,4-14809-S,4-14927-S,6-64406-S,9-46783-S,11-57830-S,12-54093-S,18-18094-S,21-6254-S,30-19551-S,32-20104-B,45-6066-S,45-7790-S,63-291-S,66-60066-S,68-19974-S,68-20086-S,68-20212-S,70-32787-S,70-33141-S
best at least expense	57-62747-S
best avoided	66-47774-S
best before date	5-40294-B
best but be better than the worst	36-8681-S
best by personal experience	8-21293-S
best education as a career investment	32-45750-S
best feature	48-57818-B
best friend	53-18022-B,53-18182-B
best interests	32-19189-B
best kept secret	66-49773-S
best man	6-55303-B
best move	48-42651-S
best not told to anyone	66-49619-S
best of all possible worlds	45-7946-S
best of its kind	21-5613-B
best of new opportunities	14-59462-S
best of one s ability	9-46175-S
best of sth	66-60066-S
best of the best	66-60066-B
best of the bunch	48-58638-B
best or worst	34-39785-S
best performance	10-18121-S
best person	3-41350-S
best person available out of a mediocre bunch	46-1124-S
best result	9-46939-S
best seller	28-62151-S,28-62215-S,31-64328-B,31-64390-S
best sellers	28-17986-S
best selling book	31-64390-S
best strategy	58-50749-S
best wishes for	68-29798-S
best wishes for a prosperous new year	25-3836-S
best wishes for your new home	14-16005-B
best 成语 saw	30-19551-S
bestiality	42-25610-B,67-7152-B
bestow	59-46117-B,59-56695-B,59-56781-B,59-56822-S,59-56912-S,59-56962-S,59-57436-S,59-59451-S
bestow a prize or reward	68-32361-S
bestow a reward	59-57066-S
bestow alms	59-56221-B,59-56256-S,59-56323-S
bestow on	59-59387-B
bestow on an inferior	70-44386-S
bestowed by a superior	59-57066-S
bestowed kindness	25-2315-B
bestowed on confucius descendants	19-40040-S,19-40139-S,56-35927-S
bestows books	18-61681-S
bet	1-61245-S,26-48937-S,26-48937-S,50-53621-S,59-62116-B
bet israel national security service	61-33295-S
beta	3-15521-B,5-54332-B
beta 2 agonist	3-16474-B
beta 2 agonist used in treating asthma	37-14372-S
beta blocker used to treat high blood pressure	24-32275-S,31-50890-S
beta greek letter ββ	59-29294-B
beta lactamase a bacterial inhibitor	7-32918-B
beta or type 2	3-16424-B
beta particle electron	3-16662-B
beta ray electron stream from radioactive decay	3-16555-B
beta software	39-4441-B
beta ursae majoris in the big dipper	17-51437-B
beta vulgaris	41-48342-S,49-11432-S
betel	54-7974-B,54-42186-B,55-49-B,55-11576-S
betel nut	35-14981-B,35-15270-B
betel palm areca catechu	35-14981-B,35-15270-B
bethelehem in the biblical nativity story	4-57960-B
bethlehem in biblical nativity story	29-64167-S
bethsaida city	4-59237-B
bethune	44-41123-S
betoken	68-29719-S
betray	8-45572-S,11-65637-S,11-66318-S,52-17133-B,61-65778-S,67-46268-S,67-46328-S
betray and flee	11-66405-S
betray anger 成语 saw	24-52537-S
betray one s country	11-66081-S
betray one s party	11-66579-S
betray one s silver money when traveling	67-47360-S
betray oneself	68-50403-S
betrayal	58-22059-S
betroth a girl in arranged marriages	58-4291-S
betrothal gift	19-46838-B,51-53176-B
betrothal gift from the groom s family	11-64002-S
betrothal of minors	18-49962-S
betrothed	19-22116-S,19-44585-S,51-53000-B,58-3563-B
better	8-8559-S,8-8604-S,16-55464-S,18-26927-S,18-27341-S,18-29800-S,20-20459-B,23-42209-B,25-27706-B,29-43996-S,29-46153-S,32-7649-B,40-47106-S,43-55744-S,44-27477-S,54-25308-S,61-6195-B,61-25197-S
better 	20-19358-S
better but more risky	1-61411-S
better decisions	61-46766-S
better do what we suggest	32-20104-S
better grasp of sth	9-57559-S
better half	12-6548-S,51-25293-B
better life	25-39302-S
better of	10-3774-S,61-23384-S
better option	12-7894-S
better or for worse	12-49865-S,43-14967-S
better or worse	70-11102-S
better quickly	67-43105-S
better state of health	21-5226-S
better than	10-3774-B,10-4117-B
better than 	53-22055-S
better than hearing a hundred times 成语 saw	44-55966-S
better than hearing from many others	44-55966-S
better than the worst	36-8681-S
better than war war	7-5376-S
better than weeds	57-34764-S
better that tang and song	37-25193-S
better to	2-3996-S,20-16690-S
better to have nothing than substandard choice 成语 saw	20-19187-B
better to travel hopefully than to arrive	6-65579-S,60-41196-S,62-47875-S
better without medical treatment	2-17048-S
betterment and progress of hong kong	36-18296-S,36-20221-S
betters	20-44383-S
betto bardi	16-64530-S
betula japonica	34-61894-B
betulaceae broadleaf tree family including birch and alder	34-62122-B
between	2-83467-B,2-83535-S,3-11016-B,4-23492-S,4-23492-B,4-23857-B,4-23857-S,8-4393-S,15-37119-B,17-63406-S,17-69457-S,17-69457-S,17-69457-B,17-69630-S,18-55654-S,18-55718-S,20-11778-S,23-30269-S,27-65192-S,28-1176-S,28-3173-S,28-3227-S,47-52177-S,60-49329-S,65-46337-B,66-40089-S,66-40416-S,66-41878-B
between a woman s breasts	3-22534-S,52-25101-S
between acts in theater	22-34550-S
between africa and eurasia in geological history	22-61153-S
between airport and city	20-40886-S
between allies	45-7436-S
between altai and tianshan	39-17466-S
between altair and vega where cowherd and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
between bases in baseball	60-35674-S
between between prospective marriage partners etc	5-35188-S,6-14702-S
between bohai 渤海 and yellow sea	63-5011-S
between branch and stem	52-36090-S
between bride and groom as traditional wedding ceremony	3-70313-S
between british empire and tibet	27-25491-S
between carboxyl radical and amino radical	52-15681-S
between chariots punishment	61-31415-S
between chiang kaishek and the guangxi warlord faction	55-12433-S
between children as a promise	27-21394-S
between classmates	22-49485-S
between components	20-50379-S
between countries	8-21931-S,11-67859-S,15-11894-S,59-49594-S
between currencies	27-9885-S
between different parties	16-64092-S
between different things	8-56280-S
between dynasties	29-44664-S
between e g marriage broker	42-716-S
between enemies chu 楚 and han 漢 汉	70-55688-S
between evenly matched protagonists	7-47610-S
between fields	16-15310-S,34-38081-S,43-46995-S,43-47045-S,44-65-S
between fish and water	70-37140-S
between gov offices of equal rank	13-28185-S
between governments	41-7938-S
between grades	49-23872-S
between greece and turkey	25-36644-S
between guanzhong plain 關中平原 关中平原 and han river 汉水 valley	47-24151-S
between guomindang and communist party	15-2463-S
between hainan island and mainland	43-7744-S
between han and tang	7-68057-S
between heart and diaphragm	52-8079-S
between hebei and shaanxi	21-32866-S,21-33122-S
between hebei and shanxi	17-60647-S
between income and expenditure	29-41279-S
between individuals derog 	70-0-S
between israel and egypt	17-34511-S
between israel and her arab neighbors	7-67631-S,60-4870-S
between japan and china	1-26425-S,45-13840-S,55-36662-S
between japan and the us	17-58728-S
between jiangxi and hunan	50-62785-S,54-46207-S,58-48411-S
between kamchatka and hokkaido	10-48863-S,10-49057-S,23-204-S
between labor and capital	10-6135-S
between labor and employer	10-6297-S
between lebanon and syria	59-29203-S
between lessons	58-34892-S
between levels of production	43-27684-S
between liaoning and shandong	39-2716-S
between liu bang 劉邦 刘邦 of han and xiangyu 項羽 项羽 of chu	34-30346-S
between lovers	26-43795-S,28-22108-S,40-33994-S,60-2786-S
between low income and high prices	9-30402-S
between male friends	51-25603-S
between males	13-42113-S
between man and woman	25-34802-S
between marital	18-55819-S
between married couple	26-26175-S
between mars and jupiter	21-386-S
between meal nibbles	67-22079-B
between meals	67-20074-S
between middle and inner ear	11-25314-S
between mother and fetus	39-24544-S
between mouth and ears	13-27647-S
between nations	15-9178-S
between natural rivals	13-1745-S
between networks	50-10289-S
between north and south korea	33-31376-S
between north east china and russia	66-10077-S,71-34241-S
between northern warlords	45-22837-S
between one s enemies	11-55489-S
between one s legs	17-71542-S
between opposing factions	8-14062-S
between ourselves	65-41782-S,65-42002-S
between paired opponents e g sporting	20-50270-S
between parts in a speech	48-19757-S
between people	1-20498-S,3-68332-S,27-65042-S,28-58358-S,58-36899-S
between people and new dynastic government	49-5886-S
between prospective marriage partners etc	5-35188-S,6-14702-S
between qing china and britain	10-66710-S
between qing china and russia	2-49713-S,21-13261-S
between qing china and tsarist russia	2-49566-S
between ribs	52-7330-S
between rich and poor	59-35536-S
between road locations	61-7819-S
between rome and carthage	22-14177-S
between rows	56-35417-B
between russia and japan	31-5164-S
between russia and qing china	63-55025-S
between sakhalin and russian mainland	68-9759-S
between sb s legs as humiliation 成语 saw	52-23487-S
between sclera and retina	52-30200-S
between shaanxi and gansu	44-40909-S
between ships or army units	31-3756-S
between siberia and alaska	44-36320-S
between sobs	13-46955-S
between sons in law	18-55174-S
between spouses	11-28303-S
between successive equinoxes	14-56572-S
between successors of the first ming emperor	67-61011-S
between sworn brothers	55-46515-S,64-14685-S
between taiwan and okinawa administered by japan	64-19918-S
between taking and leaving	11-37681-S
between tang and song	30-43553-S,34-27348-S,53-27889-S
between tang and song 907 960	3-46892-S
between tang and song 舊五代史 旧五代史	34-9151-S
between the altai and tianshan ranges	39-17075-S
between the bones of an infant s skull	14-58780-S,14-58856-S,14-58954-S
between the different parts	34-8451-S
between the eyebrows	45-36757-S
between the fixed stars	24-67308-B
between the hands	29-5410-S
between the hands or fingers	28-53446-S
between the jejunum 空腸 空肠 and appendix 盲腸 盲肠	14-57381-S
between the lines	17-70440-S,19-6493-S,23-34398-S,57-55739-S
between the lungs	50-31136-S
between the malaysian peninsula and singapore	33-44038-S
between the police and the people	59-1395-S
between the sexes	7-44969-S,7-45054-S,24-61293-S
between the skin and the flesh	52-39036-S
between the soviet union and the northern warlord government of china	2-81022-S
between the teeth	14-32748-S
between the two	10-58336-S
between them	17-45514-S,40-63334-S
between three rivals	71-46712-S,71-47141-S
between tibet	54-11909-S
between tibet and indian sikkim	3-8824-S,3-8938-S
between train stations on two different rail lines	28-28699-S
between two countries	63-18032-S
between two events	47-50643-S
between two layers	17-69985-S
between two lines	17-71478-S
between two lines or two planes	20-57494-S
between two neighoring arches	27-48993-S
between two objects	47-50643-S
between two opponents	20-52089-S
between two pillars	34-8256-S
between two railway lines	28-28608-S
between two sides	27-26206-S
between two stand up comics leading role 逗哏 dou4 gen2 and fall guy 捧哏 peng3 gen2	20-47769-S
between vascular cambium and pith inside growing wood	63-12109-S
between venture and profit	68-57982-S
between walls	41-43816-S,57-45263-S
between what s one s own and what s another s	1-71497-S
between xinjiang and inner mongolia in north china	43-14742-S,43-14848-S
between xinjiang and kazakhstan	36-56977-S
between xinjiang and mongolia	17-46517-S
between xinjiang and tajikistan	22-23513-S
between zyther and sword 成语 saw	42-59084-S
betwitch	61-55774-S
bevel to measure angles	37-64308-S,54-47314-S
beverage	63-39225-S,63-40475-S,69-5930-B,69-6041-B
beverages	51-69127-S
beverly hills	36-9187-B
bewail	13-31598-B,25-10383-S
bewail one s poverty	13-46717-S
bewailing the rain	8-25101-S
beware the greeks bearing gifts	71-25964-S
bewilder	14-63294-B,61-53365-B
bewildered	26-36384-B,49-16233-B,49-16284-B,61-54655-B,61-55356-B
bewildered by five colors 成语 saw	45-18895-S
bewildering	24-64394-B,45-18157-B,61-54483-B
bewitch	56-22172-S,56-22309-S
bewitch and trap	61-55961-S
bewitch sb	61-55853-S
bewitched	54-56498-B,61-55476-B
bewitching	18-34433-B
beyond	8-33733-S,60-24297-S,60-40094-S,62-34674-S,66-46940-S
beyond belief	54-17151-B,54-18313-B
beyond compare	49-45633-B
beyond cure	1-76871-B,44-8690-S
beyond description	1-76201-B
beyond human hearing	60-23747-B
beyond measure	1-75521-B
beyond one s authority	60-27241-S
beyond one s authority or capability	40-51147-B
beyond one s bounds	19-24484-S
beyond one s depth	54-25804-B
beyond one s influence	68-9087-B
beyond one s means in order to look impressive	26-48362-S
beyond reach	45-59141-S
beyond reasonable limits	67-10513-B
beyond recall	23-61825-S,30-60108-S
beyond recognition	1-69809-B,41-6173-S
beyond the bounds of one s job	60-27460-S
beyond the grave	26-56230-S
beyond the great wall	16-19633-B
beyond the pale	8-43933-B
beyond the prescribed limit	2-13180-S
beyond the sacrificial altar and take over the kitchen 成语 saw	60-25771-S
beyond the scope of	2-2777-S
beyond the words	23-34398-S
beyond the words 成语 saw	57-55739-S
bhaisajyaguru	55-33857-S,55-33942-S
bhangra	11-19769-B
bharal	21-36763-B
bharatiya janata party	11-18763-B
bhiksu	36-8908-S
bhiksuni	36-8982-S
bhopal	11-7373-B
bhp billiton anglo australian mining corporation	24-41206-B
bhumibol adulyadej 1927 	31-47819-B,31-47922-B
bhutan	1-65890-B,23-19955-S
bhutto 1928 1979	22-15349-S
bhutto 1953 2007	59-28695-S
bhutto name	22-15349-B
bi	5-51169-S,43-54040-S,63-19557-S,64-23363-S
bi disorder	44-16180-B
bi gan chinese god of wealth	36-10464-B
bi or pi	12-66327-S
bi sheng inventor of movable type	43-54294-B
bi3	9-6735-S
bi3 suo3	27-11742-S
bia	36-9067-B
bian	11-11839-S
bian 1950 	66-28463-S
bianba place in tibet	63-11633-S
biao	9-43103-S
biao 1908 1971	33-34060-S
biao or gb	15-5884-S,15-10233-S
bias	6-11782-B,6-12224-B,26-11825-B
biased	6-12154-B,6-53848-B
bib	15-21364-B
bible	32-9831-S,51-50098-S,60-42081-S
bible passage	51-50348-B
biblical book of ecclesiastes	6-41969-S
biblical book of psalms	58-14488-S
biblical books of the prophets	17-6312-S
biblical classic	51-50168-B
biblical flood	40-27530-S,40-27683-S
biblical hero around 1100 bc	11-39121-B
biblical judea	22-21500-S
biblical king	71-33048-S
biblical king around 1000 bc	28-11033-B
biblical name	43-673-S,49-6063-S,69-35538-S
biblical name for god	51-40453-S
biblical nativity story	1-30402-S,4-57960-S,22-20311-S,29-64167-S,33-19070-S,51-46173-S
biblical palestine	9-51805-S,9-52441-S,27-55198-S,42-14292-S,61-50231-S
biblical passion story	22-5986-S,23-61384-S,32-20409-S,53-37028-S
biblical song of solomon	66-55410-S
biblical town on the sea of galilee	54-57047-S
biblical word for a meeting hall or tent	32-23419-S
bibliographic	6-39637-B
bibliographic sketch	6-37798-B
bibliography	6-40201-S,45-19193-B
bibliotheca and epitome of pseudo apollodorus	32-10848-S
bicarbonate	46-32434-S
bicarbonate ca hco3 2	63-63454-S
biceps	52-14135-B
biceps in chinese medicine	52-53246-B
bicipital muscle	52-14135-B
bicker	27-28781-S,57-60576-S,70-28718-S,70-28797-S
bickering and fighting 成语 saw	57-55397-S
bicolor	54-42650-S
biconvex	8-31302-B,66-64027-B
bicycle	14-22040-B,52-43866-B,53-13298-B,60-36216-S,60-36216-S
bicycle bell	60-60521-B
bicycle bell with revolving cap	61-29876-B
bicycle brand	69-1302-S
bicycle pump	26-46185-S
bicycles	19-8564-S
bid	8-35244-B,27-2247-S,34-52202-B
bid competitively	48-1403-S
bid farewell to	13-8843-S
bid for purchase	43-44416-S
bid in an auction	48-316-S
bidder	2-73874-S
bidding	24-11014-S,28-1754-S
bide one s time	68-13305-S
bide time for revenge	47-14532-S
bidentata	24-66761-S
bidentata root used in chinese medicine	41-48807-S
bids	27-42625-S
bids farewell to his favorite concubine classic subject	67-49563-S
bielefeld city in germany	36-9779-B
biennial bot 	3-35561-B
bier	33-47171-B,49-34798-S,49-56302-S,67-51939-S
bifurcation	8-50590-B,8-51980-B,21-34705-B
bifurcation theory	8-52025-B
big	5-30740-B,6-10505-B,6-11045-S,6-11045-S,16-55539-S,17-3865-B,17-29393-S,17-35403-S,18-11272-B,23-6046-B,31-39929-S,34-7210-B,39-1764-B,46-30070-B,48-40098-B,55-21939-B,57-53569-B,65-44743-B,66-59151-S
big and impressive event sound	17-5350-S
big and small	21-61775-B
big and stout	46-36805-B
big and strong	70-32739-B
big arrow	64-35220-B
big band	35-26445-B
big bang in cosmology	17-27111-S
big banner	50-48048-B
big bass drum	17-42756-B
big boss	71-62606-B
big brother	51-26207-B
big character poster	17-14245-B
big city	17-12032-B
big coach	17-16629-S
big contrast	26-2491-B
big cymbals	64-59083-B
big dipper	10-31706-B,10-31761-B,10-31849-S,17-48633-S,17-48787-S,17-51437-S,17-51509-S,28-53770-S,42-32202-S,65-43981-S
big dipper and altair	70-29120-S
big discount	17-35649-S
big dog	42-17246-S
big effort	56-39069-B,69-12081-S
big eyes	40-7232-S
big fish 成语 saw	29-53078-S
big five a461	71-64370-S
big fuss	19-56723-S
big fuss over a minor issue 成语 saw	21-2182-S
big gun	17-29393-B
big headed	51-35395-B
big headed know all	53-575-B
big hearted	46-36805-S
big iron pot	70-30848-B
big jar	43-12987-B
big knife chop leaving the minor details to clear up later	61-44878-S
big mac hamburger at mcdonalds	21-61465-B
big mac hamburger taiwan	71-13118-B
big margin	17-16736-S
big melon	17-6136-S
big of it	17-5350-S
big or small	40-49224-S
big person	17-26162-B
big picture	48-25269-S,50-36564-S,56-18065-S
big picture in a nutshell	50-27939-S
big picture into consideration 成语 saw	68-48880-S
big piece of meat	52-50242-B
big pot 成语 saw	17-10568-S
big prize e g lottery	17-27623-S
big rice pan	17-37662-S
big rocky mountain	21-48748-B
big scandal	39-36991-S
big scheme	1-10270-S
big shot	21-62443-B
big shot leading some field or group	17-5443-B
big stick	17-22812-B,26-45935-S
big stove	17-26339-B
big toe	17-18911-B,27-20069-B,27-20158-B,27-20204-B
big tree archaic	35-17536-S
big wave	40-10219-B
big way	17-4850-S
big winnow basket	48-43734-B
big wok	17-37611-S
bigfoot mythological animal popular in the us	17-32115-B
bigger	17-4027-S,22-57073-S,28-31265-S,32-7531-B,32-7531-S
bigger work	28-43971-S
biggest	2-39816-S,32-19741-B
biggest letters	68-39688-B
biggest tide	32-44991-S
bigwig	68-40227-B
bihar	36-9966-B
bihar province of east hungary on the border with ukraine	59-24526-S
bijie city and prefecture in guizhou	43-55200-B
bijie prefecture in guizhou	43-55269-B
bike	14-22040-B,21-29072-S,53-13298-B,60-59032-S,69-51960-S
bike car etc	5-49350-S
bike market	53-29217-S
bike park	19-8508-B
bike taiwan	52-43866-B
bikini	36-10174-B,60-1079-S
bikini atoll	36-10222-B
bilabial consonant b or p	66-64361-B
bilateral	7-44313-B,66-63913-B,66-65991-B,67-1752-B
bilateral korean relations	68-12479-B
bilateral symmetry	7-43583-B
bilateral talks	7-44412-B
bilateral trade	67-1799-B
bilayer lipid vesicle	52-28752-S
bilbao city in spain	43-54957-B
bilbo baggins	36-11298-B
bild zeitung	15-27418-B
bile	52-50860-B
bile duct	52-51014-B
bilharzia or schistosomiasis	50-60366-S
bilingual	67-1109-B
bilirubin	52-51058-B,52-51220-B
bilisi	48-13346-S
biliverdin	52-51167-B
bill	1-0-S,4-27614-S,14-16236-B,22-27535-B,28-40037-S,30-63224-S,36-46742-S,37-215-S,37-32116-B,46-64055-B,49-43242-S,59-45028-S,59-61449-S,59-61515-B,60-17810-S,62-39674-S
bill and coo 成语 saw	11-28395-S
bill clinton 1946 	7-17262-B
bill e g 100 yuan	64-21472-S
bill for purchase	44-32235-S
bill gates 1955 	36-11218-B,55-6295-B
bill gates chairman of microsoft	55-6359-B
bill in a restaurant	15-60818-S,49-4909-S
bill name	36-11175-B
bill of exchange	10-38943-B,59-48250-S
bill of lading	28-38284-B,28-42640-B
bill of warrant certificate	25-55150-B
bill settled	7-47929-S
billed magpie pica pica	14-9957-S
billhook	65-11446-S
billiards	12-19651-B,36-4218-S,42-52400-S
billiards table	12-19694-B
billing and cooing	26-43795-B,58-41353-B
billion	1-3559-S,1-3796-S,1-14946-S,1-31652-S,1-31717-S,1-38319-S,3-33930-S,7-46987-S,10-43673-S,10-44027-S,10-45743-S,10-45743-S,14-52033-S,22-57330-S,30-20510-S,47-25849-B
billion bytes	12-39297-S
billion or 10 9	12-38586-S
billionaire	20-7887-B
billions	8-12271-S
billiton anglo australian mining corporation	24-41206-S
billow	17-25125-B,25-22268-S
billows	28-10463-S,37-39875-B,37-39927-B,38-11862-B,40-19508-S
billows or clouds	51-22221-S
billows 成语 saw	3-14744-S,28-31265-S
billy goat	51-10022-B
bimbo	67-2938-B
bimonthly publication	66-66412-B
bin	5-37745-S,15-55959-S,19-15595-S,23-9408-S,23-9408-S,34-27932-S
bin 1957 	18-42288-S
bin county in heilongjiang	59-55678-B
bin county in shaanxi	23-57047-B
bin for grain	14-62719-B
bin laden 1957 	27-24631-S,32-64077-S
bin mohamad	69-35135-S
bin talal al saud of saudi arabia	66-9604-S
bin1	35-14981-S
binary	3-32616-B
binary bits e g 十六位 16 bit or 2 bytes	4-66195-S
binary code	3-42640-B
binary code with 0 and 1 interchanged	56-58131-B
binary coded decimal	69-16778-S
binary encoding	3-42640-B
binary i e writing numbers to base 2	3-42499-B
binary system math 	3-42571-S
binary tree	3-35103-B
binchuan place in yunnan	59-55520-S
bind	5-30765-B,10-17276-S,26-38957-S,28-2100-S,28-52112-B,33-11198-S,33-12225-B,42-71-S,49-3770-B,49-39890-S,49-55729-B,50-4907-B,50-25727-S,50-26245-B,50-31234-B,50-38808-S,50-39767-S,50-42192-B,50-43619-B,50-44889-B,51-62281-S,56-56342-S,71-27632-S,71-28289-S
bind hand and foot	3-53837-S
bind one s hair	33-12542-S
bind one s hair on coming of age	49-44883-S
bind oneself	33-12481-S
bind or fasten together	49-55665-B
bind over as surety	8-5048-S
bind restrict	49-4442-S
bind up	10-15122-B,10-17276-S,10-18370-B,50-4945-B
bind with hoops	48-23344-B
bind with rope or cord	49-30357-B
