蒞 莅 [01\[ lì\]]	attend (official functions)
薦 荐 [01\[ jiàn\]]	recommend (a person)
薧 薧 [01\[ kǎo\]]	dried food
薨 薨 [01\[ hōng\]]	death of a prince;swarming
薩 萨 [01\[ sà\]]	bodhisattva;surname sa
薩克 萨克 [01\[ sà kè\]]	zaku (animated robot character in a computer game);sax;saxophone;(used as phonetic for za-ke or sack
薩克斯 萨克斯 [01\[ sà kè sī\]]	sax;saxophone
薩克斯風 萨克斯風 [01\[ sà kè sī fēng\]]	saxophone
薩克森 萨克森 [01\[ sà kè sēn\]]	saxony
薩克遜 萨克逊 [01\[ sà kè xùn\]]	saxon
薩博 萨博 [01\[ sà bó\]]	saab
薩卡什維利 萨卡什维利 [01\[ sà kǎ shí wéi lì\]]	mikheil saakashvili (1967-)
薩哈洛夫 萨哈洛夫 [01\[ sà hā luò fū\]]	sakharov (russian name)
薩哈羅夫 萨哈罗夫 [01\[ sà hǎ luó fū\]]	andrei sakharov (1921-1989)
薩哈羅夫人權獎 萨哈罗夫人权奖 [01\[ sà hǎ luó fū rén quán jiǎng\]]	the eu sakharov prize for human rights
薩哈羅夫獎 萨哈罗夫奖 [01\[ sà hǎ luó fū jiǎng\]]	sakharov prize for freedom of thought (awarded by eu since 1988)
薩哈諾夫 萨哈诺夫 [01\[ sà hǎ nuò fū\]]	(andrei) sakharov
薩哈諾夫人權獎 萨哈诺夫人权奖 [01\[ sà hǎ nuò fū rén quán jiǎng\]]	the eu sakharov prize for human rights
薩嘎 萨嘎 [01\[ sà gā\]]	(n) saga (place in tibet)
薩噶達娃節 萨噶达娃节 [01\[ sà gá dá wá jié\]]	tibetan festival on 15th april marking sakyamuni's birthday
薩德爾 萨德尔 [01\[ sà dé 5r\]]	sadr (name);moqtada sadr (c.1973-)
薩德爾市 萨德尔市 [01\[ sà dé ěr shì\]]	sadr city (shia township in east bagdad)
薩拉戈薩 萨拉戈萨 [01\[ sà lā gē sà\]]	zaragoza
薩拉熱窩 萨拉热窝 [01\[ sà lā rè wō\]]	sarajevo (capital of bosnia and herzegovina)
薩摩 萨摩 [01\[ sà mó\]]	satsuma district of kagoshima prefecture in kyushu
薩摩亞 萨摩亚 [01\[ sà mó yà\]]	samoa
薩摩麟 萨摩麟 [01\[ sà mó lín\]]	samotherium (early giraffe)
薩斯 萨斯 [01\[ sà sī\]]	sars;severe acute respiratory syndrome
薩斯卡通 萨斯卡通 [01\[ sà sī kǎ tōng\]]	saskatoon city
薩斯喀徹溫 萨斯喀彻温 [01\[ sà sī kā chè wēn\]]	saskatchewan province
薩斯病 萨斯病 [01\[ sà sī bìng\]]	sars (severe acute respiratory syndrome)
薩格勒布 萨格勒布 [01\[ sà gé lè bù\]]	zagreb
薩桑王朝 萨桑王朝 [01\[ sà sāng wáng cháo\]]	sassanid empire of persia (c. 2nd-7th century ad)
薩滿教 萨满教 [01\[ sà mǎn jiào\]]	shamanism
薩爾 萨尔 [01\[ sà ěr\]]	saarland
薩爾布呂肯 萨尔布吕肯 [01\[ sà ěr bù lǚ kěn\]]	saarbrücken
薩爾普斯堡 萨尔普斯堡 [01\[ sà ěr pǔ sī bǎo\]]	sarpsborg (city in østfold
薩爾溫江 萨尔温江 [01\[ sà ěr wēn jiāng\]]	salween river
薩爾滸之戰 萨尔浒之战 [01\[ sà ěr hǔ zhī zhàn\]]	battle of sarhu in 1619
薩爾瓦多 萨尔瓦多 [01\[ sà ěr wǎ duō\]]	el salvador
薩爾科奇 萨尔科奇 [01\[ sà ěr kē qí\]]	sarkozy (name);nicolas sarkozy (1955－)
薩爾科齊 萨尔科齐 [01\[ sà ěr kē qí\]]	sarkozy (name);nicolas sarkozy (1955－)
薩爾茨堡 萨尔茨堡 [01\[ sà ěr cí bǎo\]]	salzburg
薩特 萨特 [01\[ sà tè\]]	jean-paul sartre (1905-1980)
薩珊王朝 萨珊王朝 [01\[ sà shān wáng cháo\]]	sassanid empire of persia (c. 2nd-7th century ad)
薩科齊 萨科齐 [01\[ sà kē qí\]]	sarkozy (french president)
薩菲 萨菲 [01\[ sà fēi\]]	safi (moroccan city on the atlantic coast)
薩裡 萨里 [01\[ sà lǐ\]]	surrey (county in england)
薩迦 萨迦 [01\[ sà jiā\]]	sakya town in central tibet
薩達姆 萨达姆 [01\[ sà dá mǔ\]]	saddam
薩達姆侯賽因 萨达姆侯赛因 [01\[ sà dá mǔ hòu sài yīn\]]	saddam hussein
薩達特 萨达特 [01\[ sà dá tè\]]	anwar al sadat
薩馬蘭奇 萨马兰奇 [01\[ sà mǎ lán qí\]]	juan antonio samaranch (1920-)
薪 薪 [01\[ xīn\]]	fuel;salary
薪俸 薪俸 [01\[ xīn fèng\]]	salary;pay
薪水 薪水 [01\[ xīn shuǐ\]]	salary;wage
薪酬 薪酬 [01\[ xīn chóu\]]	pay;remuneration;salary;reward
薪金 薪金 [01\[ xīn jīn\]]	salary;wage
薫 薫 [01\[ xūn\]]	japanese variant of 薰
薬 薬 [01\[ yào\]]	japanese variant of 藥|药
薯 薯 [01\[ shǔ\]]	potato;yam
薯條 薯条 [01\[ shǔ tiáo\]]	french fried potatoes;french fries
薯片 薯片 [01\[ shǔ piàn\]]	fried potato chips
薰 薰 [01\[ xūn\]]	coumarouna odorata;tonka beans;coumarin;sweet smelling grass;same as 熏
薰衣草 薰衣草 [01\[ xūn yī cǎo\]]	lavender
薳 薳 [01\[ wěi\]]	(arch.) type of grass;surname wei
薶 薶 [01\[ mái\]]	to bury;to stop up;dirty
薷 薷 [01\[ rú\]]	elshotria paltrini
薸 薸 [01\[ piāo\]]	duckweed
薹 薹 [01\[ tái\]]	carex dispalatha
薹草 苔草 [01\[ tái cǎo\]]	carex
薹草屬 苔草属 [01\[ tái cǎo shǔ\]]	carex genus
薺 荠 [01\[ jì\]]	capsella bursa pastoris
薺 荠 [01\[ qí\]]	water chestnut
薽 薽 [01\[ zhēn\]]	(grass);(orchid)
薾 薾 [01\[ ěr\]]	luxuriant growth of flower
薿 薿 [01\[ nǐ\]]	luxuriant (of plants)
藁城縣 藁城县 [01\[ gǎo chéng xiàn\]]	cheng county in hebei
藄 藄 [01\[ qí\]]	(fern)
藇 藇 [01\[ xù\]]	surname xu;beautiful
藉 藉 [01\[ jí\]]	in disorder
藉 藉 [01\[ jiè\]]	by means of
藉口 藉口 [01\[ jiè kǒu\]]	excuse;pretext
藉由 藉由 [01\[ jì yóu\]]	by means of;through;by
藉著 藉着 [01\[ jiè zhe\]]	by means of;through
藋 藋 [01\[ diào\]]	sambucu javinica
藍 蓝 [01\[ lán\]]	blue;cabbage;surname lan
藍儂 蓝侬 [01\[ lán nóng\]]	lennon
藍光 蓝光 [01\[ lán guāng\]]	blu-ray (disc format)
藍光 蓝光 [01\[ lán guāng\]]	blue ray;blu-ray
藍光光盤 蓝光光盘 [01\[ lán guāng guāng pán\]]	blu-ray disk
藍圖 蓝图 [01\[ lán tú\]]	blueprint
藍天 蓝天 [01\[ lán tiān\]]	blue sky
藍寶石 蓝宝石 [01\[ lán bǎo shí\]]	sapphire
藍屏死機 蓝屏死机 [01\[ lán píng sǐ jī\]]	blue screen of death
藍山 蓝山 [01\[ lán shān\]]	(n) lanshan (place in hunan)
藍巨星 蓝巨星 [01\[ lán jù xīng\]]	blue giant star
藍晶 蓝晶 [01\[ lán jīng\]]	blue topaz;topaz (aluminum fluorosilicate)
藍牙 蓝牙 [01\[ lán yá\]]	bluetooth
藍田 蓝田 [01\[ lán tián\]]	(n) lantian (place in shaanxi)
藍皮書 蓝皮书 [01\[ lán pí shū\]]	an official report (e.g. governmental)
藍移 蓝移 [01\[ lán yí\]]	blue shift (in the doppler effect)
藍籌股 蓝筹股 [01\[ lán chóu gǔ\]]	blue chip stock
藍精靈 蓝精灵 [01\[ lán jīng líng\]]	the smurfs
藍細菌 蓝细菌 [01\[ lán xì jūn\]]	cyanobacteria (blue-green algae)
藍綠菌 蓝绿菌 [01\[ lán lǜ jūn\]]	cyanobacteria (blue-green algae)
藍綠藻 蓝绿藻 [01\[ lán lǜ zǎo\]]	cyanobacteria (blue-green algae)
藍耳病 蓝耳病 [01\[ lán ěr bìng\]]	porcine reproductive and respiratory syndrome (prrs);blue-ear swine fever
藍舌病 蓝舌病 [01\[ lán shé bìng\]]	blue-tongue (viral disease of livestock)
藍色 蓝色 [01\[ lán sè\]]	blue
藍色戰劑 蓝色战剂 [01\[ lán sè zhàn jì\]]	agent blue
藍草莓 蓝草莓 [01\[ lán cǎo méi\]]	blueberry (vaccinium angustifolium)
藍莓 蓝莓 [01\[ lán méi\]]	blueberry
藍菌 蓝菌 [01\[ lán jūn\]]	cyanobacteria (blue-green algae)
藍菌門 蓝菌门 [01\[ lán jūn mén\]]	cyanobacteria (phylum of blue-green algae)
藍藻 蓝藻 [01\[ lán zǎo\]]	cyanobacteria (blue-green algae)
藍藻門 蓝藻门 [01\[ lán jūn mén\]]	cyanobacteria (phylum of blue-green algae)
藍靛 蓝靛 [01\[ lán diàn\]]	indigo
藍領 蓝领 [01\[ lán lǐng\]]	blue collar;common laborer
藍鯨 蓝鲸 [01\[ lán jīng\]]	blue whale
藎 荩 [01\[ jìn\]]	arthraxon ciliare;loyal
藏 藏 [01\[ cáng\]]	to conceal;to hide away;to harbor;to store;to collect
藏 藏 [01\[ zàng\]]	storehouse;depository;cache (computer);buddhist or taoist scripture
藏 藏 [01\[ zàng\]]	tibet;xizang 西藏
藏人 藏人 [01\[ zàng rén\]]	tibetan (person)
藏傳佛教 藏传佛教 [01\[ cáng chuán fó jiào\]]	tibetan buddhism
藏匿 藏匿 [01\[ cáng nì\]]	to cover up;to conceal;to go into hiding
藏垢納污 藏垢纳污 [01\[ cáng gòu nà wū\]]	to hide dirt
藏奸 藏奸 [01\[ cáng jiān\]]	to harbor evil intentions
藏文 藏文 [01\[ zàng wén\]]	tibetan script;tibetan written language;tibetan language
藏族 藏族 [01\[ zàng zú\]]	tibetan nationality
藏族人 藏族人 [01\[ zàng zú rén\]]	tibetan (person)
藏污納垢 藏污纳垢 [01\[ cáng wū nà gòu\]]	to hide dirt
藏獒 藏獒 [01\[ zàng áo\]]	tibetan mastiff;also called 西藏獒犬
藏獨 藏独 [01\[ zàng dú\]]	tibetan independence (movement)
藏紅花 藏红花 [01\[ zàng hóng huā\]]	saffron (crocus sativus)
藏經洞 藏经洞 [01\[ zàng jīng dòng\]]	cave holding scripture depository
藏羚 藏羚 [01\[ zàng líng\]]	tibetan antelope;pantholops hodgsonii;chiru
藏羚羊 藏羚羊 [01\[ cáng líng yáng\]]	tibetan antelope
藏茴香果 藏茴香果 [01\[ zàng huí xiāng guǒ\]]	caraway
藏語 藏语 [01\[ zàng yǔ\]]	tibetan language
藏身 藏身 [01\[ cáng shēn\]]	hide;go into hiding;take shelter
藏躲 藏躲 [01\[ cáng duǒ\]]	to hide;to conceal
藏龍臥虎 藏龙卧虎 [01\[ cáng lóng wò hǔ\]]	hidden dragon
藐 藐 [01\[ miǎo\]]	despise;small
藐視 藐视 [01\[ miǎo shì\]]	despise
藕 藕 [01\[ ǒu\]]	root of lotus
藘 藘 [01\[ lǘ\]]	madder
藙 藙 [01\[ yì\]]	zanthoxylum ailanthoides
藚 藚 [01\[ xù\]]	alisma plantago
藜 藜 [01\[ lí\]]	chenopodium album
藝 艺 [01\[ yì\]]	skill;art
藝人 艺人 [01\[ yì rén\]]	performing artist;actor
藝伎 艺伎 [01\[ yì jì\]]	geisha
藝名 艺名 [01\[ yì míng\]]	stage name (of an actor or actress)
藝壇 艺坛 [01\[ yì tán\]]	art circles;art world
藝妓 艺妓 [01\[ yì jì\]]	geisha (japanese female entertainer)
藝術 艺术 [01\[ yì shù\]]	art
藝術品 艺术品 [01\[ yì shù pǐn\]]	art piece;work of art
藝術學院 艺术学院 [01\[ yì shù xué yuàn\]]	art institute;art and drama college
藝術家 艺术家 [01\[ yì shù jiā\]]	artist
藝術體操 艺术体操 [01\[ yì shù tǐ cāo\]]	rhythmic gymnastics
藟 藟 [01\[ lěi\]]	bud;creeper;bramble
藤 藤 [01\[ téng\]]	rattan;cane
藤森 藤森 [01\[ téng sēn\]]	fujimori (name);alberto ken'ya fujimori (1938-)
藤澤 藤泽 [01\[ téng zé\]]	fujizawa (japanese name);fujizawa city in kanagawa province
藤球 藤球 [01\[ téng qiú\]]	sepak takraw (sport)
藤縣 藤县 [01\[ téng xiàn\]]	teng county in guangxi
藤蔓 藤蔓 [01\[ téng mán\]]	vine
藤野 藤野 [01\[ téng yě\]]	yoshino-sensei
藤野先生 藤野先生 [01\[ téng yě xiān sheng\]]	yoshino-sensei
藥 药 [01\[ yào\]]	medicine;drug;cure
藥丸 药丸 [01\[ yào wán\]]	pill
藥典 药典 [01\[ yào diǎn\]]	pharmacopoeia
藥劑 药剂 [01\[ yào jì\]]	medicine
藥劑士 药剂士 [01\[ yào jì shì\]]	druggist;pharmacist
藥劑師 药剂师 [01\[ yào jì shī\]]	drugstore chemist;druggist;pharmacist
藥品 药品 [01\[ yào pǐn\]]	medicaments;medicine;drug
藥商 药商 [01\[ yào shāng\]]	druggist
藥學 药学 [01\[ yào xué\]]	pharmacy
藥師佛 药师佛 [01\[ yào shī fó\]]	medicine buddha (sanskrit: bhaisajyaguru)
藥師如來 药师如来 [01\[ yào shī rú lái\]]	medicine buddha (sanskrit: bhaisajyaguru)
藥店 药店 [01\[ yào diàn\]]	pharmacy
藥房 药房 [01\[ yào fáng\]]	pharmacy;drugstore
藥方 药方 [01\[ yào fāng\]]	prescription
藥材 药材 [01\[ yào cái\]]	drug ingredients
藥檢 药检 [01\[ yào jiǎn\]]	drugs test (e.g. on athletes)
藥水 药水 [01\[ yào shuǐ\]]	medicine in liquid form;bottled medicine;lotion
藥水 药水 [01\[ yào shuǐ\]]	yaksu in north korea
藥水兒 药水儿 [01\[ yào shuǐ 5r\]]	erhua variant of 藥水|药水
藥片 药片 [01\[ yào piàn\]]	pill
藥物 药物 [01\[ yào wù\]]	medicaments;pharmaceuticals;medication;medicine;drug
藥理學 药理学 [01\[ yào lǐ xué\]]	pharmacology
藥瓶 药瓶 [01\[ yào píng\]]	medicine bottle
藥用 药用 [01\[ yào yòng\]]	medicinal use;pharmaceutical
藥用價值 药用价值 [01\[ yào yòng jià zhí\]]	medicinal value
藥療 药疗 [01\[ yào liáo\]]	to treat with medicine
藥監局 药监局 [01\[ yào jiān jú\]]	prc state food and drug administration;abbr. for 國家食品藥品監督管理局|国家食品药品监督管理局
藥簽 药棉 [01\[ yào qiān\]]	medical swab
藥膏 药膏 [01\[ yào gāo\]]	ointment
藥苗 药苗 [01\[ yào miáo\]]	immunization
藦 藦 [01\[ mó\]]	metaplexis stauntoni
藨 藨 [01\[ biāo\]]	kind of raspberry
藩 藩 [01\[ fān\]]	a fence (for defense);a pale;a border;han
藩國 藩国 [01\[ fān guó\]]	a vassal state
藩籬 藩篱 [01\[ fān lí\]]	hedge;fence;(fig.) barrier
藪 薮 [01\[ sǒu\]]	marsh;place of concourse
藶 苈 [01\[ lì\]]	drabanemerosa hebecarpa
藷 藷 [01\[ shǔ\]]	potato;yam
藹 蔼 [01\[ ǎi\]]	friendly
藹然 蔼然 [01\[ ǎi rán\]]	amicable;amiable
藹藹 蔼蔼 [01\[ ǎi ǎi\]]	luxuriant (vegetation)
藺 蔺 [01\[ lìn\]]	juncus effusus;surname lin
藺相如 蔺相如 [01\[ lìn xiāng rú\]]	ling xiangru (dates unknown
藻 藻 [01\[ zǎo\]]	(aquatic grasses);elegant
藻類 藻类 [01\[ zǎo lèi\]]	algae
藾 藾 [01\[ lài\]]	(fragrant labiate plant)
藿 藿 [01\[ huò\]]	lophanthus rugosus;beans
蘀 蘀 [01\[ tuò\]]	fallen leaves and bark
蘁 蘁 [01\[ wù\]]	to disobey;contrary;against;to go against;to violate;obscure character
蘄 蕲 [01\[ qí\]]	(herb);implore;pray;place name
蘄春 蕲春 [01\[ qí chūn\]]	(n) qichun (place in hubei)
蘅 蘅 [01\[ héng\]]	asarum blumei (wild ginger plant)
蘅蕪 蘅芜 [01\[ héng wú\]]	asarum blumei (ginger plant)
蘆 芦 [01\[ lú\]]	rush;reed;phragmites communis
蘆山 芦山 [01\[ lú shān\]]	(n) lushan (place in sichuan)
蘆洲 芦洲 [01\[ lú zhōu\]]	(n) luchou (city in taiwan)
蘆溝橋 芦沟桥 [01\[ lú gōu qiáo\]]	lugou bridge or marco polo bridge
蘆溝橋事變 芦沟桥事变 [01\[ lú gōu qiáo shì biàn\]]	the marco polo bridge incident of 7th july 1937 that sparked ww2 between japan and china
蘆竹鄉 芦竹乡 [01\[ lú zhú xiāng\]]	(n) luchu (village in taiwan)
蘆筍 芦笋 [01\[ lú sǔn\]]	asparagus
蘆管 芦管 [01\[ lú guǎn\]]	reed pipe
蘆花黃雀 芦花黄雀 [01\[ lú huā huáng què\]]	oriental greenfinch (carduelis sinica)
蘆荻 芦荻 [01\[ lú dí\]]	reeds
蘆葦 芦苇 [01\[ lú wěi\]]	reed
蘆薈 芦荟 [01\[ lú huì\]]	aloe vera
蘆谿 芦溪 [01\[ lú xī\]]	luxi county in pingxiang 萍鄉|萍乡
蘆谿縣 芦溪县 [01\[ lú xī xiàn\]]	luxi county in pingxiang 萍鄉|萍乡
蘇 苏 [01\[ sū\]]	perilla frutescens (chinese basil or wild red basil);place name;to revive;used as phonetic in transliteration;abbr. for soviet union 蘇維埃|苏维埃 or 蘇聯|苏联
蘇丹 苏丹 [01\[ sū dān\]]	sudan;sultan (ruler of some muslim states
蘇伊士 苏伊士 [01\[ sū yī shì\]]	suez (canal)
蘇伊士河 苏伊士河 [01\[ sū yī shì hé\]]	the suez canal
蘇伊士運河 苏伊士运河 [01\[ sū yī shì yùn hé\]]	suez canal
蘇俄 苏俄 [01\[ sū é\]]	soviet russia
蘇共 苏共 [01\[ sū gòng\]]	soviet communist party
蘇哈托 苏哈托 [01\[ sū hā tuō\]]	suharto
蘇報案 苏报案 [01\[ sū bào àn\]]	qing's 1903 suppression of revolutionary calls in newspaper 蘇報|苏报
蘇姆蓋特 苏姆盖特 [01\[ sū mǔ gài tè\]]	sumgayit
蘇富比 苏富比 [01\[ sū fù bǐ\]]	sotheby's auction house
蘇尼特右旗 苏尼特右旗 [01\[ sū ní tè yòu qí\]]	(n) sunite youqi (place in inner mongolia)
蘇尼特左旗 苏尼特左旗 [01\[ sū ní tè zuǒ qí\]]	(n) sunite zuoqi (place in inner mongolia)
蘇州 苏州 [01\[ sū zhōu\]]	suzhou prefecture level city in jiangsu
蘇州地區 苏州地区 [01\[ sū zhōu dì qū\]]	suzhou region in jiangsu
蘇州大學 苏州大学 [01\[ sū zhōu dà xué\]]	suzhou or soochow university
蘇州市 苏州市 [01\[ sū zhōu shì\]]	suzhou prefecture level city in jiangsu
蘇州話 苏州话 [01\[ sū zhōu huà\]]	suzhou dialect;one of the main forms of southern chinese 吳語|吴语
蘇必利爾湖 苏必利尔湖 [01\[ sū bì lì ěr hú\]]	lake superior
蘇打 苏打 [01\[ sū dá\]]	soda (loan word)
蘇打水 苏打水 [01\[ sū dá shuǐ\]]	soda water
蘇打粉 苏打粉 [01\[ sū dá fěn\]]	baking soda
蘇打餅乾 苏打饼干 [01\[ sū dá bǐng gān\]]	soda biscuit;cracker
蘇拉威西 苏拉威西 [01\[ sū lā wēi xī\]]	sulawesi or celebes (indonesian island)
蘇易簡 苏易简 [01\[ sū yì jiǎn\]]	su yijian (958-997)
蘇木 苏木 [01\[ sū mù\]]	sappan wood (caesalpinia sappan)
蘇東坡 苏东坡 [01\[ sū dōng pō\]]	su dongpo
蘇枋 苏枋 [01\[ sū fāng\]]	sappanwood (caesalpinia sappan)
蘇枋木 苏枋木 [01\[ sū fāng mù\]]	sappan wood (caesalpinia sappan)
蘇格拉底 苏格拉底 [01\[ sū gé lā dǐ\]]	socrates (469-399 bc)
蘇格蘭 苏格兰 [01\[ sū gé lán\]]	scotland
蘇格蘭場 苏格兰场 [01\[ sū gé lán chǎng\]]	scotland yard
蘇格蘭女王瑪麗 苏格兰女王玛丽 [01\[ sū gé lán nǚ wáng mǎ lì\]]	mary queen of scots (1542-87)
蘇格蘭帽 苏格兰帽 [01\[ sū gé lán mào\]]	bonnet
蘇步青 苏步青 [01\[ sū bù qīng\]]	su buqing
蘇武 苏武 [01\[ sū wǔ\]]	su wu (140-60 bc)
蘇氨酸 苏氨酸 [01\[ sū ān suān\]]	threonine (thr)
蘇洵 苏洵 [01\[ sū xún\]]	su xun (1009-1066)
蘇澳鎮 苏澳镇 [01\[ sū ào zhèn\]]	(n) suao (town in taiwan)
蘇爾 苏尔 [01\[ sū ěr\]]	sol (goddess)
蘇珊 苏珊 [01\[ sū shān\]]	susan (from the narnia chronicles)
蘇瓦 苏瓦 [01\[ sū wǎ\]]	suva (capital of fiji)
蘇祿 苏禄 [01\[ sū lù\]]	old term for sulawesi or celebes 苏拉威西
蘇維埃 苏维埃 [01\[ sū wéi āi\]]	soviet (council)
蘇維埃俄國 苏维埃俄国 [01\[ sū wéi āi é guó\]]	soviet russia (1917-1991)
蘇維埃社會主義共和國聯盟 苏维埃社会主义共和国联盟 [01\[ sū wéi āi shè huì zhǔ yì gòng hé guó lián méng\]]	union of soviet socialist republics (ussr)
蘇美爾 苏美尔 [01\[ sū měi ěr\]]	sumer (šumer)
蘇聯 苏联 [01\[ sū lián\]]	soviet union
蘇聯之友社 苏联之友社 [01\[ sū lián zhī yǒu shè\]]	soviet union friendly society
蘇聯共產黨 苏联共产党 [01\[ sū lián gòng chǎn dǎng\]]	communist party of the soviet union
蘇聯最高蘇維埃 苏联最高苏维埃 [01\[ sū lián zuì gāo sū wéi āi\]]	supreme soviet
蘇胺酸 苏胺酸 [01\[ sū àn suān\]]	threonine
蘇萊曼 苏莱曼 [01\[ sū lái màn\]]	suleiman (name);general michel suleiman (1948-)
蘇裡南 苏里南 [01\[ sū lǐ nán\]]	suriname
蘇裡南河 苏里南河 [01\[ sū lǐ nán hé\]]	suriname river
蘇貞昌 苏贞昌 [01\[ sū zhēn chāng\]]	su tseng-chang (1947-)
蘇軾 苏轼 [01\[ sū shì\]]	su shi (1037-1101)
蘇轍 苏辙 [01\[ sū zhé\]]	su zhe (1039-1112)
蘇迪曼杯 苏迪曼杯 [01\[ sū dí màn bēi\]]	sudirman cup (world badminton team competition)
蘇醒 苏醒 [01\[ sū xǐng\]]	to wake up;to regain consciousness
蘇里南 苏里南 [01\[ sū lǐ nán\]]	suriname
蘇金達 苏金达 [01\[ sū jīn dá\]]	sukinda
蘇鐵 苏铁 [01\[ sū tiě\]]	cycas revoluta
蘇門答臘 苏门答腊 [01\[ sū mén dá là\]]	sumatra (one of the indonesian islands)
蘇門答臘島 苏门答腊岛 [01\[ sū mén dá là dǎo\]]	sumatra (one of the indonesian islands)
蘇門達臘 苏门达腊 [01\[ sū mén dá là\]]	sumatra (one of the indonesian islands)
蘇黎世 苏黎世 [01\[ sū lí shì\]]	zurich
蘇黎士 苏黎士 [01\[ sū lí shì\]]	zürich (swiss city)
蘊 蕴 [01\[ yùn\]]	bring together;collect
蘊含 蕴含 [01\[ yùn hán\]]	to contain;to accumulate
蘊和 蕴和 [01\[ yùn hé\]]	to contain (e.g. poem contains feelings);contained in
蘊涵 蕴涵 [01\[ yùn hán\]]	to contain;to accumulate;to embrace;implicit condition;implication;entailment
蘊結 蕴结 [01\[ yùn jié\]]	latent (desire
蘊聚 蕴聚 [01\[ yùn jù\]]	to contain;to accumulate;to hold concealed
蘊蓄 蕴蓄 [01\[ yùn xù\]]	latent;hidden and not developed
蘊藉 蕴藉 [01\[ yùn jiè\]]	temperate and refined;implicit;restrained
蘊藏 蕴藏 [01\[ yùn cáng\]]	to store up;containing untapped quantities
蘊藏量 蕴藏量 [01\[ yùn cáng liàng\]]	reserves;amount still in store
蘋 苹 [01\[ pín\]]	marsiliaceae;clover fern
蘋 苹 [01\[ píng\]]	apple
蘋果 苹果 [01\[ píng guǒ\]]	apple
蘋果公司 苹果公司 [01\[ píng guǒ gōng sī\]]	apple inc.
蘋果核 苹果核 [01\[ píng guǒ hé\]]	apple core
蘋果汁 苹果汁 [01\[ píng guǒ zhī\]]	apple juice
蘋果派 苹果派 [01\[ píng guǒ pài\]]	apple pie
蘋果蠹蛾 苹果蠹蛾 [01\[ píng guǒ dù é\]]	codling moth
蘋果電腦 苹果电脑 [01\[ píng guǒ diàn nǎo\]]	apple computer
蘋果餡餅 苹果馅饼 [01\[ píng guǒ xiàn bǐng\]]	apple pie
蘑 蘑 [01\[ mó\]]	mushroom
蘑菇 蘑菇 [01\[ mó gu\]]	mushroom
蘑菇湯 蘑菇汤 [01\[ mó gu tāng\]]	mushroom soup
蘑菇雲 蘑菇云 [01\[ mó gū yún\]]	mushroom cloud
蘑菰 蘑菰 [01\[ mó gū\]]	mushroom
蘗 蘗 [01\[ niè\]]	shoots from an old stump
蘘 蘘 [01\[ ráng\]]	a kind of wild ginger
蘚 藓 [01\[ xiǎn\]]	mosses on damp walls
蘢 茏 [01\[ lóng\]]	polygonum posumbu
蘤 蘤 [01\[ wěi\]]	flower
蘧 蘧 [01\[ qú\]]	surname qu;dianthus superbus
蘩 蘩 [01\[ fán\]]	artemisia stellariana
蘭 兰 [01\[ lán\]]	orchid (蘭花|兰花 cymbidium goeringii);fragrant thoroughwort (蘭草|兰草 eupatorium fortunei);lily magnolia (木蘭|木兰);surname lan
蘭交 兰交 [01\[ lán jiāo\]]	close friendship;a meeting of minds
蘭克 兰克 [01\[ lán kè\]]	rank (name);leopold von ranke (1795-1886)
蘭因絮果 兰因絮果 [01\[ lán yīn xù guǒ\]]	starts well but ends in separation (of marital relations)
蘭坪 兰坪 [01\[ lán píng\]]	lanping autonomous county in yunnan
蘭姆打 兰姆打 [01\[ lán mǔ dǎ\]]	lambda (greek letter λλ)
蘭姆達 兰姆达 [01\[ lán mǔ dá\]]	lambda (greek letter λλ)
蘭學 兰学 [01\[ lán xué\]]	dutch studies (study of europe and the world in premodern japan)
蘭室 兰室 [01\[ lán shì\]]	a lady's room (honorific)
蘭嶼鄉 兰屿乡 [01\[ lán yǔ xiāng\]]	(n) lanyu
蘭州 兰州 [01\[ lán zhōu\]]	lanzhou prefecture level city and capital of gansu province 甘肅 in north central china
蘭州大學 兰州大学 [01\[ lán zhōu dà xué\]]	lanzhou university
蘭州市 兰州市 [01\[ lán zhōu shì\]]	lanzhou prefecture level city and capital of gansu province 甘肅 in north central china
蘭摧玉折 兰摧玉折 [01\[ lán cuī yù zhé\]]	premature death of a budding talent;those whom the gods love die young
蘭斯 兰斯 [01\[ lán sī\]]	rheims (city in france)
蘭新 兰新 [01\[ lán xīn\]]	lanzhou and xinjiang
蘭新鐵路 兰新铁路 [01\[ lán xīn tiě lù\]]	lanzhou-xinjiang railway
蘭溪 兰溪 [01\[ lán xī\]]	(n) lanxi (city in zhejiang)
蘭玉 兰玉 [01\[ lán yù\]]	your son (honorific)
蘭科 兰科 [01\[ lán kē\]]	orchidaceae
蘭章 兰章 [01\[ lán zhāng\]]	a beautiful speech or piece of writing;your beautiful article (honorific)
蘭考 兰考 [01\[ lán kǎo\]]	(n) lankao (place in henan)
蘭舟 兰舟 [01\[ lán zhōu\]]	lit. boat made of lily magnolia wood; a poetic term for boat
蘭艾同焚 兰艾同焚 [01\[ lán ài tóng fén\]]	lit. to burn both fragrant orchids and stinking weeds (成语 saw); fig. to destroy indiscriminately the noble and common;the rain falls on the just and unjust alike
蘭花 兰花 [01\[ lán huā\]]	cymbidium;orchid
蘭若 兰若 [01\[ lán ruò\]]	buddhist temple (translit. of sanskrit aranyakah)
蘭西 兰西 [01\[ lán xī\]]	(n) lanxi (place in heilongjiang)
