騷然 骚然	69-55165-B
高爾基體 高尔基体	70-18090-B
高爾夫 高尔夫	70-18158-B
高爾夫球 高尔夫球	70-18215-B
高爾夫球場 高尔夫球场	70-18283-B
高爾察克 高尔察克	70-18361-B
高球场	70-18432-S
高球場 高球场	70-18432-B
高產 高产	70-18501-B
高盛	70-18549-S
高盛 高盛	70-18549-B
高盧 高卢	70-18598-B
高瞻远瞩	70-18635-S
高瞻遠矚 高瞻远瞩	70-18635-B
高矮胖瘦	70-18779-S
高矮胖瘦 高矮胖瘦	70-18779-B
高祖母	70-18865-S
高祖母 高祖母	70-18865-B
高祖父	70-18931-S
高祖父 高祖父	70-18931-B
高科技	70-18997-S
高科技 高科技	70-18997-B
高积云	70-19065-S
高積雲 高积云	70-19065-B
高空	70-19139-S
高空 高空	70-19139-B
高空弹跳	70-19187-S
高空彈跳 高空弹跳	70-19187-B
高等	70-19259-S
高等 高等	70-19259-B
高等代数	70-19320-S
高等代數 高等代数	70-19320-B
高等学校	70-19391-S
高等學校 高等学校	70-19391-B
高等教育	70-19474-S
高等教育 高等教育	70-19474-B
高粱	70-19547-S
高粱 高粱	70-19547-B
高級 高级	70-19590-B
高級中學 高级中学	70-19666-B
高級官員 高级官员	70-19734-B
高級專員 高级专员	70-19832-B
高級研究 高级研究	70-19907-B
高級語言 高级语言	70-19979-B
高級軍官 高级军官	70-20052-B
高維 高维	70-20142-B
高維代數簇 高维代数簇	70-20202-B
高維空間 高维空间	70-20312-B
高縣 高县	70-20402-B
高级	70-19590-S
高级专员	70-19832-S
高级中学	70-19666-S
高级军官	70-20052-S
高级官员	70-19734-S
高级研究	70-19907-S
高级语言	70-19979-S
高维	70-20142-S
高维代数簇	70-20202-S
高维空间	70-20312-S
高翔	70-20458-S
高翔 高翔	70-20458-B
高考	70-20503-S
高考 高考	70-20503-B
高耸	70-20661-S
高聚物	70-20558-S
高聚物 高聚物	70-20558-B
高聲 高声	70-20608-B
高聳 高耸	70-20661-B
高能	70-20724-S
高能 高能	70-20724-B
高能烈性炸药	70-20770-S
高能烈性炸藥 高能烈性炸药	70-20770-B
高能粒子	70-20864-S
高能粒子 高能粒子	70-20864-B
高能量	70-20939-S
高能量 高能量	70-20939-B
高脂血症	70-21008-S
高脂血症 高脂血症	70-21008-B
高脚杯	70-21124-S
高腳杯 高脚杯	70-21124-B
高興 高兴	70-21176-B
高舉 高举	70-21260-B
高良姜	70-21310-S
高良薑 高良姜	70-21310-B
高血压	70-21408-S
高血壓 高血压	70-21408-B
高血糖	70-21484-S
高血糖 高血糖	70-21484-B
高行健	70-21577-S
高行健 高行健	70-21577-B
高要	70-21644-S
高要 高要	70-21644-B
高談闊論 高谈阔论	70-21708-B
高論 高论	70-21803-B
高论	70-21803-S
高谈阔论	70-21708-S
高貴 高贵	70-21885-B
高質量 高质量	70-21933-B
高质量	70-21933-S
高贵	70-21885-S
高超	70-21992-S
高超 高超	70-21992-B
高跟鞋	70-22048-S
高跟鞋 高跟鞋	70-22048-B
高辛氏	70-22110-S
高辛氏 高辛氏	70-22110-B
高达	70-22885-S
高远	70-22936-S
高通公司	70-22189-S
高通公司 高通公司	70-22189-B
高速	70-22254-S
高速 高速	70-22254-B
高速乙太網路 高速乙太网路	70-22297-B
高速乙太网路	70-22297-S
高速公路	70-22386-S
高速公路 高速公路	70-22386-B
高速挡	70-22448-S
高速擋 高速挡	70-22448-B
高速率	70-22511-S
高速率 高速率	70-22511-B
高速網絡 高速网络	70-22564-B
高速緩存 高速缓存	70-22638-B
高速緩衝存儲器 高速缓冲存储器	70-22699-B
高速缓冲存储器	70-22699-S
高速缓存	70-22638-S
高速网络	70-22564-S
高速路	70-22806-S
高速路 高速路	70-22806-B
高達 高达	70-22885-B
高遠 高远	70-22936-B
高邑	70-22976-S
高邑 高邑	70-22976-B
高邮	70-23035-S
高郵 高邮	70-23035-B
高錳酸鉀 高锰酸钾	70-23097-B
高鐵血紅蛋白 高铁血红蛋白	70-23177-B
高铁血红蛋白	70-23177-S
高锰酸钾	70-23097-S
高阳	70-23376-S
高阶	70-23439-S
高阶语言	70-23483-S
高院	70-23266-S
高院 高院	70-23266-B
高陵	70-23311-S
高陵 高陵	70-23311-B
高陽 高阳	70-23376-B
高階 高阶	70-23439-B
高階語言 高阶语言	70-23483-B
高雄	70-23557-S
高雄 高雄	70-23557-B
高雅	70-23628-S
高雅 高雅	70-23628-B
高雲 高云	70-23684-B
高青	70-23777-S
高青 高青	70-23777-B
高頻 高频	70-23843-B
高频	70-23843-S
高風險區 高风险区	70-23891-B
高风险区	70-23891-S
高飛 高飞	70-23962-B
高飞	70-23962-S
高體鰟鮍 高体鳑鲏	70-24000-B
高高	70-24085-S
高高 高高	70-24085-B
高麗 高丽	70-24123-B
高齡 高龄	70-24201-B
高龄	70-24201-S
髙	70-24243-S
髙 髙	70-24243-B
髝	70-24280-S
髝 髝	70-24280-B
髝髞	70-24323-S
髝髞 髝髞	70-24323-B
髞	70-24406-S
髞 髞	70-24406-B
髟	70-24450-S
髟 髟	70-24450-B
髡	70-24485-S
髡 髡	70-24485-B
髣	70-24526-S
髣 髣	70-24526-B
髦	70-24559-S
髦 髦	70-24559-B
髧	70-24610-S
髧 髧	70-24610-B
髪	70-24642-S
髪 髪	70-24642-B
髫	70-24691-S
髫 髫	70-24691-B
髭	70-24740-S
髭 髭	70-24740-B
髮 发	70-24770-B
髮型 发型	70-24811-B
髮夾 发夹	70-24870-B
髮廊 发廊	70-24912-B
髮網 发网	70-24965-B
髮膠 发胶	70-25006-B
髮辮 发辫	70-25048-B
髮髻 发髻	70-25087-B
髯	70-25145-S
髯 髯	70-25145-B
髲	70-25182-S
髲 髲	70-25182-B
髳	70-25209-S
髳 髳	70-25209-B
髹	70-25260-S
髹 髹	70-25260-B
髺	70-25305-S
髺 髺	70-25305-B
髻	70-25344-S
髻 髻	70-25344-B
髽	70-25389-S
髽 髽	70-25389-B
髾	70-25427-S
髾 髾	70-25427-B
鬁	70-25476-S
鬁 鬁	70-25476-B
鬃	70-25509-S
鬃 鬃	70-25509-B
鬃毛	70-25554-S
鬃毛 鬃毛	70-25554-B
鬅	70-25608-S
鬅 鬅	70-25608-B
鬆 松	70-25642-B
鬆一口氣 松一口气	70-25690-B
鬆動 松动	70-25770-B
鬆土 松土	70-25832-B
鬆山 松山	70-25891-B
鬆弛 松弛	70-25936-B
鬆弛法 松弛法	70-25986-B
鬆快 松快	70-26064-B
鬆懈 松懈	70-26137-B
鬆散 松散	70-26208-B
鬆散物料 松散物料	70-26286-B
鬆桃苗族自治縣 松桃苗族自治县	70-26372-B
鬆江 松江	70-26505-B
鬆泛 松泛	70-26575-B
鬆溪 松溪	70-26617-B
鬆滋 松滋	70-26679-B
鬆潘 松潘	70-26740-B
鬆科 松科	70-26805-B
鬆糕 松糕	70-26847-B
鬆綁 松绑	70-26893-B
鬆緊帶 松紧带	70-26937-B
鬆緩 松缓	70-26990-B
鬆脫 松脱	70-27035-B
鬆贊干布 松赞干布	70-27083-B
鬆贊干布陵 松赞干布陵	70-27197-B
鬆軟 松软	70-27342-B
鬆開 松开	70-27448-B
鬆陽 松阳	70-27488-B
鬆餅 松饼	70-27556-B
鬈	70-27598-S
鬈 鬈	70-27598-B
鬋	70-27636-S
鬋 鬋	70-27636-B
鬍 胡	70-27679-B
鬍子 胡子	70-27715-B
鬍鬚 胡须	70-27785-B
鬎	70-27822-S
鬎 鬎	70-27822-B
鬐	70-27855-S
鬐 鬐	70-27855-B
鬑	70-27901-S
鬑 鬑	70-27901-B
鬒	70-27944-S
鬒 鬒	70-27944-B
鬓	70-28371-S
鬓发	70-28483-S
鬓角	70-28421-S
鬖	70-27984-S
鬖 鬖	70-27984-B
鬗	70-28016-S
鬗 鬗	70-28016-B
鬘	70-28065-S
鬘 鬘	70-28065-B
鬙	70-28102-S
鬙 鬙	70-28102-B
鬚 须	70-28144-B
鬚毛 须毛	70-28180-B
鬚髮 须发	70-28230-B
鬟	70-28276-S
鬟 鬟	70-28276-B
鬠	70-28329-S
鬠 鬠	70-28329-B
鬢 鬓	70-28371-B
鬢角 鬓角	70-28421-B
鬢髮 鬓发	70-28483-B
鬣	70-28535-S
鬣 鬣	70-28535-B
鬣狗	70-28571-S
鬣狗 鬣狗	70-28571-B
鬥 斗	70-28610-B
鬥口齒 斗口齿	70-28718-B
鬥嘴 斗嘴	70-28797-B
鬥士 斗士	70-28865-B
鬥志 斗志	70-28920-B
鬥拳 斗拳	70-28967-B
鬥智 斗智	70-29008-B
鬥爭 斗争	70-29056-B
鬥牛 斗牛	70-29120-B
鬥艦 斗舰	70-29196-B
鬥趣兒 斗趣儿	70-29244-B
鬥雞 斗鸡	70-29316-B
鬧 闹	70-29362-B
鬧事 闹事	70-29410-B
鬧劇 闹剧	70-29478-B
鬧區 闹区	70-29516-B
鬧笑話 闹笑话	70-29557-B
鬧脾氣 闹脾气	70-29638-B
鬧著玩兒 闹着玩儿	70-29692-B
鬧鈴 闹铃	70-29794-B
鬧鈴時鐘 闹铃时钟	70-29842-B
鬧鐘 闹钟	70-29912-B
鬧鬼 闹鬼	70-29959-B
鬨 哄	70-30000-B
鬩 阋	70-30050-B
鬪	70-30092-S
鬪 鬪	70-30092-B
鬫	70-30133-S
鬫 鬫	70-30133-B
鬬	70-30174-S
鬬 鬬	70-30174-B
鬭	70-30215-S
鬭 鬭	70-30215-B
鬮 阄	70-30256-B
鬯	70-30316-S
鬯 鬯	70-30316-B
鬰	70-30359-S
鬰 鬰	70-30359-B
鬱 郁	70-30391-B
鬱南 郁南	70-30438-B
鬱悶 郁闷	70-30501-B
鬱江 郁江	70-30550-B
鬱達夫 郁达夫	70-30593-B
鬱金香 郁金香	70-30654-B
鬱鬱葱葱 郁郁葱葱	70-30705-B
鬲	70-30790-S
鬲 鬲	70-30790-B
鬵	70-30848-S
鬵 鬵	70-30848-B
鬷	70-30914-S
鬷 鬷	70-30914-B
鬻	70-30952-S
鬻 鬻	70-30952-B
鬼	70-30978-S
鬼 鬼	70-30978-B
鬼佬	70-31017-S
鬼佬 鬼佬	70-31017-B
鬼使神差	70-31065-S
鬼使神差 鬼使神差	70-31065-B
鬼婆	70-31240-S
鬼婆 鬼婆	70-31240-B
鬼子	70-31287-S
鬼子 鬼子	70-31287-B
鬼怪	70-31348-S
鬼怪 鬼怪	70-31348-B
鬼摸脑壳	70-31434-S
鬼摸腦殻 鬼摸脑壳	70-31434-B
鬼斧神工	70-31516-S
鬼斧神工 鬼斧神工	70-31516-B
鬼楼	70-31679-S
鬼樓 鬼楼	70-31679-B
鬼混	70-31726-S
鬼混 鬼混	70-31726-B
鬼火	70-31807-S
鬼火 鬼火	70-31807-B
鬼神	70-31956-S
鬼神 鬼神	70-31956-B
鬼脸	70-32006-S
鬼臉 鬼脸	70-32006-B
鬼計多端 鬼计多端	70-32107-B
鬼話 鬼话	70-32243-B
鬼计多端	70-32107-S
鬼话	70-32243-S
鬼迷心窍 鬼迷心竅	70-32315-B
鬼迷心竅	70-32315-S
鬼門關 鬼门关	70-32399-B
鬼门关	70-32399-S
鬼鬼祟祟	70-32462-S
鬼鬼祟祟 鬼鬼祟祟	70-32462-B
鬼魂	70-32546-S
鬼魂 鬼魂	70-32546-B
鬼魅	70-32585-S
鬼魅 鬼魅	70-32585-B
鬼魔	70-32632-S
鬼魔 鬼魔	70-32632-B
魁	70-32706-S
魁 魁	70-32706-B
魁伟	70-32739-S
魁偉 魁伟	70-32739-B
魁元	70-32787-S
魁元 魁元	70-32787-B
魁北克	70-32864-S
魁北克 魁北克	70-32864-B
魁北克市	70-32923-S
魁北克市 魁北克市	70-32923-B
魁星	70-32989-S
魁星 魁星	70-32989-B
魁星閣 魁星阁	70-33031-B
魁星阁	70-33031-S
魁梧	70-33093-S
魁梧 魁梧	70-33093-B
魁首	70-33141-S
魁首 魁首	70-33141-B
魂	70-33206-S
魂 魂	70-33206-B
魂不附体	70-33233-S
魂不附體 魂不附体	70-33233-B
魂牵梦绕	70-33462-S
魂牵梦萦	70-33373-S
魂牽夢縈 魂牵梦萦	70-33373-B
魂牽夢繞 魂牵梦绕	70-33462-B
魂魄	70-33557-S
魂魄 魂魄	70-33557-B
魃	70-33594-S
魃 魃	70-33594-B
魄	70-33629-S
魄 魄	70-33629-B
魄力	70-33655-S
魄力 魄力	70-33655-B
魅	70-33710-S
魅 魅	70-33710-B
魅力	70-33753-S
魅力 魅力	70-33753-B
魆	70-33819-S
魆 魆	70-33819-B
魇	70-36549-S
魈	70-33857-S
魈 魈	70-33857-B
魉	70-34192-S
魊	70-33890-S
魊 魊	70-33890-B
魋	70-33928-S
魋 魋	70-33928-B
魍	70-33970-S
魍 魍	70-33970-B
魍魉	70-34004-S
魍魉鬼怪	70-34080-S
魍魎 魍魉	70-34004-B
魍魎鬼怪 魍魉鬼怪	70-34080-B
魎 魉	70-34192-B
魎魅魍魉 魑魅魍魉	70-34229-B
魏	70-34323-S
魏 魏	70-34323-B
魏书	70-35028-S
魏京生	70-34416-S
魏京生 魏京生	70-34416-B
魏县	70-35210-S
魏国	70-34485-S
魏國 魏国	70-34485-B
魏巍	70-34541-S
魏巍 魏巍	70-34541-B
魏征	70-34590-S
魏徵 魏征	70-34590-B
魏德迈	70-34645-S
魏德邁 魏德迈	70-34645-B
魏忠賢 魏忠贤	70-34698-B
魏忠贤	70-34698-S
魏收	70-34771-S
魏收 魏收	70-34771-B
魏文帝	70-34824-S
魏文帝 魏文帝	70-34824-B
