refers to 夜明珠	31-24576-B
remainder theorem math 	2-54850-S
remaining	4-24555-S,8-4474-B,10-13860-S,69-14715-B,69-14926-B
remaining after a trauma	24-33838-S
remaining after large round number	21-14886-S
remaining chapters while reading a book	35-62276-B
remaining evil element	69-15315-B
remaining grievance	35-55881-S,35-56041-S
remaining odd fraction after a division	8-46967-B
remaining people	69-17128-S
remaining quantity	6-59848-B
remaining stationed in ye	43-51877-S
remaining trauma	6-44721-B
remaining unenlightened	31-61508-B
remaining years	69-15601-S
remains	12-55480-S,35-64000-B,63-3908-S,63-3980-S,63-4032-S
remains after buddhist cremation	70-918-B
remains corpse	63-2593-B
remains level headed	17-7886-S
remains of a dead person	63-4085-B
remains of a sacrifice or a meal	69-14523-B
remains unmarried	19-22116-S
remark	11-54091-S,24-65877-S,27-27976-S,29-43846-S,42-45428-S,51-21352-S,52-32514-S,58-7790-B,58-25192-S,64-539-S
remarkable	2-7564-B,2-24199-B,8-44476-B,68-52293-B
remarkable ability	43-2426-S
remarkable and original work	46-9262-B
remarkable skill or prowess	17-40811-S
remarkable thing	43-60089-S
remarkably	2-7564-B
remarkably true to life	25-17181-S,50-2996-S
remarks	3-27503-S,5-20678-S,5-59714-S,6-28192-B,6-29646-B,13-57209-S,18-9183-S,27-67334-S,49-41927-S,49-44584-S,53-19840-S
remarks at the end of a book or article	41-4987-S
remarks honorific	70-21803-S
remarried lady contemptuous term	3-35372-B
remarry	8-8683-S,8-8727-B,50-44066-S
remarry of a widow	27-37113-S,50-44309-S
remarry of widow	61-22363-S
remarry the same person	24-14159-S
remarrying	24-9982-S
remedy	3-2395-S,28-713-S,56-33038-S,56-57336-B
remedy defects	27-54374-S
remedy defects and correct errors 成语 saw	56-56545-S
remedy does not address immediate needs	62-61567-S
remedy does not address the current emergency	62-61757-S
remedy e g to a social problem	53-43083-S
remedy or repair	1-74575-S
remember	8-62988-S,18-29658-S,25-26301-S,25-57775-B,49-2786-S,49-44516-S,57-65688-S,57-65749-S,57-66149-S,57-66407-S,57-66489-B,67-13482-S,71-36734-S
remember a benefactor as long as one lives	37-12202-S,37-12381-S,64-31519-S,64-31701-S
remember one s parents	24-56217-S
remember sth clearly	8-62988-B,41-51332-S
remember sth or sb on seeing it	58-20576-S
remember when 	32-15821-S
remember with concern	25-24303-B
remember with emotion	25-40648-S
remember with longing	25-25692-B,45-47184-S
remember with reverence	58-59180-S
remembered	68-2336-S
remembering his brother	36-6518-S
remembering my brothers in faraway shandong on the double ninth festival poem by tang wang wei s 王維 王维	3-19248-B
remembrance of times past	26-1509-S
remind	28-42738-S
reminder	28-42813-B
reminisce	26-430-B,30-721-S,61-57543-S
reminisce about	24-50058-B
remiss	25-58577-B
remit	8-50106-S,10-37629-B,10-38292-B,60-7540-B
remit home	10-38173-S
remit money	10-37881-S,10-38578-B
remit taxes	56-22465-B
remittance	10-37740-B,10-38051-B,10-38578-B,46-63799-S
remittance fee	10-38635-B,10-39485-B
remitting bank	10-37991-B
remnant	35-62128-B,35-63137-B,35-63715-B,44-115-S,44-470-S,48-62861-S,63-3211-B,63-3908-B,67-19536-B,68-35986-B,69-17274-B
remnant of former damage	6-44721-S
remnants	66-29843-B
remnants after a disaster	9-63364-B
remnants of a defeated clique	69-17600-B
remodel	29-45384-B,63-57272-S
remonstrate	58-46529-S
remorse	25-7064-B,25-43742-S,25-61994-S,26-3198-S,26-3248-B,37-6707-B,44-5470-B,61-57215-B
remote	6-11474-B,6-13482-B,39-7193-B,39-7486-B,45-35122-S,50-13285-B,61-49833-B,62-58752-B,62-59133-B,62-59181-B,62-60150-B,62-62265-B,62-62416-B,63-5616-B,63-11124-B,63-13157-B,63-13228-B
remote affinity	62-62485-B
remote ancestor	62-62214-S
remote and deserted	33-26608-B
remote and uninhabited 成语 saw	39-7372-B
remote and vast	32-3424-B
remote area	63-12932-B
remote cause	62-60344-B
remote control	62-58850-B,62-58899-B
remote end	62-62416-B
remote in time or space	25-7961-B
remote monitoring	62-62333-B
remote operation	62-58958-B
remote sensing	62-58802-B
remote village	63-30234-S
remotest places	17-54205-B
remove	7-20160-S,11-37465-S,11-38137-S,11-38681-S,27-19999-B,27-35099-B,28-10081-S,28-16446-S,28-18262-S,28-58085-B,29-10626-B,29-11370-B,38-33644-S,47-26081-S,49-20002-S,57-47102-S,57-53116-S,61-30725-S,66-21221-S,66-21534-S,68-4453-S
remove ambiguities	57-51524-S
remove ambiguity	38-30604-S
remove and replace	11-58918-S
remove armor	57-51326-S
remove armor and return to the farm	57-51402-S
remove bumps	22-40749-S
remove evil	37-21703-S,46-52361-B
remove fat	52-34026-S
remove from a position	68-5085-S
remove from office	7-21419-S
remove harness from beast of burden	11-27503-S
remove obstructions	44-1787-S
remove perils and solve disputes 成语 saw	28-18376-S
remove stitches from a wound	27-19607-S
remove the dross	11-37588-S
remove the scales from one s eyes	29-25932-B
remove to take	28-64737-S
removed from	62-63830-B
removing earth	34-15726-S
removing hard bristle	59-27546-S
removing hydrogen from organic compounds	52-33309-S
removing prefix and suffix	58-10961-S
remuneration	16-12452-B,55-20150-S,55-26789-B
remuneration for literary or artistic work	39-61753-B,39-62029-B
ren	4-41235-S
ren an c 90 bc	4-42869-B
ren county in hebei	4-43682-B
ren tang	12-45444-S
renaissance	24-15670-S,30-30864-S
renal syndrome or cardiopulmonary syndrome	39-48183-S,39-48628-S
renamed haicang district 海滄區 海沧区 in 2003	33-6681-S
renamed tokyo university after 1945	33-14866-S
renamed 渤海 after the han	9-65492-B
renault french car company	67-23826-B
renbu place in tibet	4-20665-S
renchen 1628 1689	12-69528-S
renchen 吳任臣 吴任臣	10-45456-S
rend	40-33510-B
render	11-50158-S,13-8553-B
render an account	16-10005-B
render service to repay kindness	16-10784-B
rendered as 史密斯	30-40136-S
rendered in english as hall of supreme harmony	17-57431-S
rendering computer graphics	39-6698-B
rendering tibetan and mongolian sounds	14-37580-S
rending drama	55-15751-S
rendition of deutsch	24-26292-S
renegade	11-65964-B,11-66081-B,11-66268-B,61-68435-B
renegade faction	11-66579-B
renegade province term prc uses for taiwan	11-66156-B
renege	11-45809-S,11-48269-S,51-21590-S,69-4081-S
renege on a debt	59-62932-S
renege on promise	59-62463-S
renesas technology prc microchip company affiliated with hitachi and mitsubishi	42-62517-B,42-62631-B
renew	32-7995-S,50-44747-B
renew old cordial relations	63-55960-S
renewable resource	12-11474-B,12-11540-B
renewal	32-8196-S,50-3566-S,50-43867-S
renewal movement that started with 4th may 1919 protest against the treaty of versailles	3-48098-S,3-48299-S
rengui 614 683 great tang dynasty general	55-22093-S
renhe county in zhejiang	4-20466-B
renhua county level city in shaoguan 韶关	4-20300-B,4-20377-B
renhuai county	54-7688-S
renhuai county in zun yi prefecture 遵義 遵义	4-21145-B
renhuai place in guizhou	4-21080-S
renhuo 17th century	57-7898-S
renju	62-22813-B
renmin ribao people s daily	4-12649-B
renmin university of china	2-52962-B
renminbi rmb	4-12441-B
renminbi yuan rmb	4-12499-B
rennes	67-22971-B
reno	67-23826-B
renounce	5-50964-S,29-28183-B,29-52137-S,52-17996-B
renounce nuclear weapons	34-18264-S
renounce profit and seek fame 成语 saw	62-56008-S
renovate	5-48833-S,30-14635-S,30-15616-S,32-7995-S,51-23485-S,56-60642-S
renovation	63-60184-B
renown	12-56450-B
renown gives one authority over the whole country	18-49081-S
renowned	17-20161-B,51-56937-B,54-55336-S,63-56867-B,63-60614-B
renqiu city in hebei	4-41391-S
renshou place in sichuan	4-20535-S
rent	6-51389-S,8-43490-S,15-43795-S,26-26614-S,47-22537-B,47-22942-S,47-22999-B,59-50564-S
rent a crowd	13-18973-B
rent a room	65-35302-S
rent for a room or house	26-27251-B
rent for farmland	10-17004-S
rent land or a house for subletting	10-17004-B
rent or mortgage repayment	26-26428-S
rent out	59-41751-B
rental	26-27365-S
rented accommodation	20-1735-S
rented apartment	47-22676-B
renting	12-36449-S
renunciation	28-6773-S
renxi 1581 1636	66-26403-S
rené chirac 1932 	22-20466-S
rené descartes 1596 1650	48-5409-B
rené descartes 1596 1650 french philosopher	48-5580-B
rené descartes 笛卡兒 笛卡儿	30-63510-S
reoccur	8-9666-B
reopen	64-2327-S
reopen diplomatic relations	24-13007-S
reorganization during meiji japan	23-9654-S
reorganize	29-45027-S,30-16728-S,63-63609-B
reorganize army units etc	12-36652-S
reorganize flags and drums 成语 saw	63-59343-S
reorganize military	4-55993-S
reorganize troops etc and discharge surplus personnel	50-22012-S
repair	1-74575-S,5-34434-S,5-34645-S,5-41679-S,5-47277-S,5-47527-S,5-47868-B,5-48656-B,30-14635-S,30-15616-S,52-32190-B,54-60966-S,56-56409-S,56-59056-S,63-55890-S
repair a bike car etc	5-49350-S
repair a building	5-48833-S
repair a road	5-49301-S
repair a tire	56-59007-S
repair earthworks	15-66078-S
repair in a rush	28-61826-S
repair shop	5-48734-B
repair the west wall 成语 saw	27-19042-S
repair the west 成语 saw	27-19237-S
repaired	30-24532-S
repairs	15-31540-S,28-61826-S
reparations	59-57714-B,59-57714-S
repartee	58-46258-S,70-28718-S,70-28797-S
repast	69-13705-B
repatriate	62-64192-S
repatriate e g prisoners of war	62-64107-S
repatriate funds	10-37881-S
repatriation	62-64192-S
repay	6-56813-S,6-56876-S,16-8871-B,16-11768-B,58-17361-S,63-42990-B,63-43204-S
repay a debt	4-39102-S
repay a debt in full	38-58897-S
repay a debt in kind or by labor	27-14417-S,27-15243-S
repay a kindness	56-57229-B
repay capital	63-10364-S
repay good with evil	62-57206-S
repay kindness	16-10784-S
repay the kindness 成语 saw	25-40891-S
repay 成语 saw	9-50682-S
repayment	26-26428-S,57-62189-S,62-61350-S
repayment of debt	6-32131-S
repeal	23-10037-B,29-11329-B
repeal a law	23-9040-S
repeat	2-78619-S,24-12792-S,24-16853-B,44-1129-S,57-4892-S,63-55524-S,63-64222-S,64-307-B,64-1093-S,64-1783-S
repeat a disastrous policy	64-1165-S
repeat a lesson	52-17907-S
repeat a year in school	43-50533-S,43-51088-S
repeat an old stratagem	29-58738-S
repeat endlessly	43-43733-S
repeat from memory	52-18499-B
repeat occurrence e g of a disaster	63-61891-B
repeat performance	63-61891-S
repeat sth over and over again	27-11145-S
repeat the same	7-43228-S
repeat uncritically what sb says	71-2477-S
repeated	21-24724-B,35-62089-B,62-19501-B
repeated actions time	43-56906-S
repeated as a jingle	68-22611-S
repeated as cant	11-70384-S
repeated becomes right 成语 saw	47-40710-S
repeated compaigns of the guomindang against the communists from 1930 onwards	15-21401-S
repeated gaffes	21-24425-B
repeated increments	21-25116-B
repeated offender	49-30913-B
repeated prohibition	21-24590-S
repeated rumor becomes a fact	1-29980-B
repeated segment networking	63-64385-B
repeated setbacks	44-54337-S
repeated twice	3-43358-B
repeated word and example	25-39302-S
repeatedly	1-2871-B,1-67888-B,3-65683-B,5-17354-B,5-17460-B,11-47981-B,12-10796-S,16-59438-B,21-24533-B,21-25625-S,22-57903-S,28-55637-S,30-19506-B,61-23473-S,61-52845-B,62-25647-B,68-42464-B
repeatedly for deep frying a possible health hazard	14-58183-S
repeatedly from one language to the next so multiplying errors	64-610-S
repeatedly in giving advice	58-40537-B
repeatedly with one s fist	69-7247-S
repeater	2-78672-B,16-61511-S
repeating unpleasant remarks	5-59714-S
repel	27-31397-S,28-16446-S,29-20015-S,69-56673-B
repel one another	45-29373-S
repent	23-68171-B,25-7116-S,25-7158-B,25-7253-B,25-61994-B,26-3198-B,26-3248-S,61-30462-S,61-57215-S
repent and start afresh 成语 saw	25-7300-S
repent past mistakes and turn over a new leaf	44-14453-S
repentance	25-7064-B,25-7158-B,26-3248-B
repentance in christianity	4-30015-B
repercussion	14-43152-S
repercussions	11-56267-B,37-13055-S,56-39524-S
repertoire	19-4940-S
repertory	5-38299-B
repetition	14-2753-S,20-64272-S,58-47156-S,63-55524-B
repetition priming effect	63-64279-B
repetition test	67-67687-S
repetitious	68-41569-B
repetitious passage	63-59529-B
repetitive	64-348-B
replace	3-70161-S,4-30112-S,4-32204-S,5-58405-S,11-57764-S,11-58918-S,28-13177-S,28-26328-S,29-11028-S,32-7259-S,32-7912-B,32-8368-S,32-16879-S,32-16983-S,43-64540-B,68-19696-S,68-20446-S
replace the milk teeth	71-55546-B
replace the old with new	32-7995-S
replaced by cannon 成语 saw	70-49821-S
replaced with	4-30250-S
replacement	4-33585-B
replacement for soldier on leave for the melon picking season	43-8664-S
replacement of faulty goods	10-15840-S
replacement parts	63-37175-B
replacement worker	32-17514-B
replaces the old	30-57940-S
replacing former general	32-7010-B
replant	56-58452-B
replay string instrument	63-58324-S
replenish	38-58099-S,38-58354-B,50-43827-B,56-56728-S
replete	6-65434-B
replete with vice	25-23777-B
replica	57-6209-B
replication	10-54881-S
reply	11-45730-S,11-48414-B,14-54564-B,14-57129-B,20-46157-S,20-54266-S,24-12792-S,25-59201-S,25-61034-S,48-20432-B,48-20599-S,48-20650-S,48-20728-S,48-21240-B,48-21328-B,48-21382-S,58-17361-S
reply defiantly	23-43153-S
reply in debate	61-37867-S
reply officially to a subordinate	26-57152-S
reply quickly and fluently 成语 saw	20-54313-S
reply to a charge	48-21489-S
reply to a job advertisment	25-59304-S
reply to a letter	1-47996-S,24-12792-S,24-13229-S,57-28358-S
reply to a poem in the same rhyme	35-22055-B
reply to an accusation	48-21567-S
reply to email	14-55184-S
reply to in email header	48-20650-B
replying i don t know to every question	1-4844-B
report	6-7348-S,10-38220-S,10-38220-B,11-50158-S,13-8199-S,16-8481-B,16-9391-B,16-11925-S,16-12412-B,18-56018-S,18-56018-S,19-11740-S,21-53249-S,21-53249-S,22-47995-S,22-48692-S,23-52839-S,23-52839-B,26-57311-S,30-65674-S,46-14007-S,49-63245-S,49-63335-S,55-51169-S,56-57229-S,57-66821-S,59-13294-S,61-60517-S
report a case to the security authorities	16-11082-B
report a heroic deed	16-9162-S
report a success	16-10626-B
report after the event	56-57229-S
report an emergency	13-9076-S
report an incident to the police	16-12225-S
report an offense to the authorities	35-14143-S
report as worthless	16-10185-B
report back	14-55027-S
report back to one s superior	14-57062-S
report delivered by the head of gov on affairs of state	13-28185-B
report e g governmental	55-29008-S
report etc	28-36646-S
report for duty	16-9095-B
report forms	16-12063-B
report malefactors to the police	53-26867-S
report news	16-9920-S
report of a victory	28-9186-B
report of success	28-9186-B
report of the regions west of great tang	17-10020-B,57-14686-B
report on completion of a mission	24-14032-S
report or speech	65-18568-S
report prior to accepting it	24-16079-S
report success	16-9625-B
report the loss to the authorities concerned	16-9842-B
report to a superior	47-31500-B
report to one s superior	47-31576-B,47-31637-S
report to one s superiors	1-47996-S
report to the authorities	43-42930-S
reported	29-23754-S
reported as 	29-23683-S
reported speech in grammar	23-28916-B
reported speech in writing	29-24320-S
reported that	29-24117-S
reportedly	29-24937-B
reporter	28-22341-S,57-66769-B
reporter claimed by the paper authority	32-62606-S
reporter working specially for our newspaper	32-62606-S
reporters without borders pressure group	40-48848-B,57-67031-B
reporting	16-9920-S
reporting statistics	16-12063-S
reports	29-23683-S,29-23754-S,29-23822-S,29-24117-S,29-24718-S,56-43705-S
reports from foreign non chinese news agencies	16-51752-B
repose	19-60036-B,59-12910-B,63-39326-B
reposition	61-26804-S
repository archive	22-62727-S
represent	4-33061-S,43-64540-B
represent an unreadable character	55-53645-S
represent geographical areas	15-12748-S
representation	56-44476-B
representative	4-33061-B,4-33292-B,4-33720-S,7-38048-S,22-32741-S,28-32925-S,59-3298-B,69-21899-S,69-21954-S
representative work of an author or artist	4-33145-B
representatives	45-52786-S,45-53723-S,51-4671-S
representatives usa	45-53811-S
represented by lü buwei 呂不韋 吕不韦	67-4341-S
representing sky	3-23839-S
representing spoken sounds	34-56392-S,58-5667-S
represents enunciated by jiang zemin 江澤民 江泽民 as the duty of the chinese communist party in 2001	1-30647-S
repress	23-36100-B,27-69869-B,28-65149-B
repress a snake 成语 saw	23-46265-S
repress anger etc	24-43503-S
repress emotions	16-33150-S
repression	16-33150-B,23-47685-B,64-53985-B
reprieve from death	43-21406-S
reprimand	8-63170-S,12-20140-S,25-63111-B,30-37735-B,45-56474-S,57-64271-S
reprimand severely	44-14860-S
reprint	51-21275-B,51-22349-S,63-56821-S
reprisals	16-10272-S
reproach	12-20579-B,59-40368-S
reprocessing	33-59919-S
reproduce	6-38274-S,8-9549-S,35-61887-B,43-21633-S,43-30965-S,50-37778-S,50-38303-S,55-13899-S,55-13992-S,57-6125-S
reproduce copies	8-10069-S
reproduce e g a printed work	61-29015-S
reproducing without fertilization	19-13898-S
reproduction	23-59094-S,32-33096-S,40-51467-S,40-51523-S,57-6209-B
reproductive and respiratory syndrome prrs	55-29502-S
reproductive gland	43-21960-B
reproductive organ	43-21748-B,43-21821-B
reproof	67-68550-B
reprove	30-37735-B,58-43686-S
reptile	37-28100-S,41-37622-B,41-37824-B
reptile old or common word for 爬行動物 爬行动物	41-37529-B
reptiles	41-37686-B,41-37887-B
republic	3-223-S,3-298-S,4-12165-S,4-48873-S,7-71197-B,7-71239-B,7-71292-B,11-53542-S,16-58480-S,16-58602-S,16-61690-S,16-61809-S,16-61890-S,16-61995-S,18-13185-S,22-15522-S,28-8817-S,28-8947-S,38-61881-S,42-46596-S,47-61784-S,51-45668-S,57-17407-S
republic 1915	59-4342-S,59-4465-S,59-4893-S
republic 1915 or national protection war	59-4686-S
republic 1931 1934	2-80662-S
republic c 390 bc	42-55140-S
republic in russian central asia	66-8233-S
republic of china	2-80013-S,2-80512-B,10-25344-S,10-26206-S,30-45522-S,30-58409-S,49-8292-S,51-34311-S,61-42195-S
republic of china 1912 1949	36-19773-B
republic of china 中華人民共和國 中华人民共和国	17-38805-S
republic of congo	9-28042-S
republic of cote d ivoire	47-20410-B
republic of croatia	7-17670-B
republic of czechoslovakia	28-9027-B
republic of egypt	49-15882-S
republic of germany	24-26381-S
republic of gruzia or georgia	34-347-B
republic of ireland	25-36360-B
republic of korea	68-11542-B
republic of korea north korea	32-50611-S
republic of korea south korea	17-40331-B
republic of moldova	29-1722-B
republic of mongolia from 1924	54-61843-S
republic of the congo	15-69832-S
republic of timor leste	33-18297-S
republic of turkmenistan	15-30742-B
republic sun yat sen	15-11636-S
republican army	25-36455-S
republican china by cai dongfan 蔡東藩 蔡东藩	35-52701-S
republican china until 1927 by cai dongfan 蔡東藩 蔡东藩	36-19893-S
republican party	7-71433-B
republican party member	7-71495-S
republican system of government	7-71345-B
republics ussr	55-40595-S
repudiate an engagement	59-62577-S
repulse	62-2755-B
repulse the enemy	61-45427-S
repulsion e g electrostatic	45-29373-S
repulsion in electrostatics	30-37781-B
repulsion phys 	28-30962-B,28-31029-B
repulsive	12-13243-B,63-48695-B
repulsive esp character or action	10-62808-S,10-62946-S
repulsive force	28-30962-B,28-31029-B,30-37781-B
repulsively colored	53-54333-B
repurchase	59-45085-B
reputation	4-1981-S,4-2623-S,5-46458-B,11-68837-S,12-53351-S,12-53496-S,12-53496-S,12-55691-S,12-56605-S,12-58664-B,17-20161-S,18-44904-B,18-44986-S,24-29131-S,25-19803-S,25-22917-S,25-38346-S,32-12952-S,38-5562-S,45-4568-S,45-6151-S,51-9063-S,51-56383-B,51-65228-B,53-16278-S,55-51119-S,55-54394-S,59-5847-B,62-56008-S,68-1850-B
reputation and wealth	12-59425-S
reputation as	55-55525-S
reputation as calligrapher	32-10182-B
reputation for quality	9-36836-S
reputation of a person or thing	12-58085-B
reputation swept away	60-56650-S
reputation to last a hundred generations	43-51512-S
reputation to last down the generations	43-51409-S
reputation will go down in history 成语 saw	12-54992-S
reputation with no substance	55-52848-S
reputation 成语 saw	32-13007-S
repute	12-56776-B
request	5-16361-S,18-12233-S,20-42660-S,24-22725-S,36-53489-S,41-9730-S,46-51863-S,57-24553-B,57-26552-B,58-42117-S,58-43031-B
request assistance	17-63997-S
request granted formal usage in old document	41-8202-B
request help	36-53563-S
request humble expr 	2-9976-S
request item for broadcast on radio program	71-39458-S
request opinions	24-23450-S
request sb to act as a go between	17-63406-S
request sb to do sth	27-46542-B
request to sb to speak	37-54104-S
requested	24-11014-S
requesting sacrifice	47-6399-S
requiem mass catholic	19-34657-B
require	57-26097-S,57-26552-B,67-39436-S,67-39558-S
require a solution	36-54609-S
require effort	59-46461-S,59-46522-S
required	24-41720-B,24-59435-S,26-30052-B
required by circumstances	10-7417-S
required course	24-40984-S,24-41034-B
required courses in the major subject	3-6895-B
required for a meal	64-6462-S
required in return	61-26637-S
required of a serf	10-5413-S
required to go from one state to another	68-51240-S
required 成语 saw	16-59492-S
requirement	15-69552-S,24-41849-B,41-62526-S,59-51902-S,67-39499-B
requirement of society	46-49557-S
requirements	8-4727-S,57-58471-S
requiring a detailed understanding 成语 saw	2-16755-S
requiring immediate action	24-58146-B
requisition land	23-63379-S
requite	16-11768-B
reschedule a class	56-59468-S
reschedule a debt	21-22301-S
rescind an agreement	57-53116-S
rescue	7-38525-S,27-48029-S,27-48098-S,28-713-S,28-1982-S,28-56282-S,28-59652-B,28-62343-B,29-63233-S,29-64977-B,29-65194-S,41-31388-B,42-23813-S,52-34561-S,57-50096-S,65-59887-S
rescue a child	28-774-S
rescue and give medical treatment	29-64432-S
rescue and redeem	29-65090-B
rescue from danger	28-51207-S
rescue operation	29-65194-B
rescue service	29-64088-S
rescue team	29-64031-B
rescue the king	10-9467-S
rescue the people from hanging upside down 成语 saw	57-50806-S
rescued	42-23813-S
research	22-12729-S,22-52878-S,24-10279-S,24-10279-S,28-35377-B,33-45415-S,35-14081-B,46-13134-B,46-13470-B,46-13752-B,46-14527-S,47-20559-S,51-33894-S,56-29766-S,70-19907-S
research and development	46-13597-B
research and examine	46-13522-S
research and study	46-14614-B
research area	46-14527-B
research center	46-13794-B
research center cssrc	2-63495-S
research cern	35-29503-S
research institute	31-8649-S,46-14078-B,46-14455-B
research or	62-41046-S
research organization	46-14174-B
research prototype	47-20692-B
research reactor	46-13867-B
research report	46-14007-B
research section	30-3702-S
research worker	46-13182-B
research workers	58-38748-B,58-38748-S
researcher	46-13182-B,46-13951-B,46-14387-B,47-20613-S
reseed	56-58452-B
resell	61-23897-S,61-28354-S
resell at a profit	5-61307-S,28-55523-S
resemblance	45-26269-B,45-26351-B,68-47335-B
resemblance to	62-34392-S
resemble	4-62181-S,6-19305-S,6-50232-B,45-26269-S,45-26963-B,52-8166-S,68-47160-S
resemble closely	43-55349-B
resembles jade	42-60719-S
resembling	52-8166-B
resembling a duck	71-1973-S
resembling a mandarin duck	71-2033-S
resembling nothing on earth	68-0-B
resent	25-22101-S,25-24717-S,25-56508-S,25-56577-B
resentful	2-7269-B,2-17708-B,25-24656-B,25-54403-S,25-57903-B,25-62688-B
resentment	16-52459-S,24-64028-B,25-2099-S,25-54403-S,25-56411-B,25-56577-B
reservation	40-46475-S,68-29979-B
reservation for an ethnic minority	5-38381-S
reservations	5-38150-B
reserve	3-9894-S,5-38150-S,6-28472-S,6-29020-B,15-6572-S,22-66124-S,35-45452-S,41-60731-S,51-4778-S,53-8901-S,59-51707-S,65-52647-S,68-29979-B
reserve a room	57-57161-S
reserve a seat for sb	55-50775-S,55-54020-S
reserve at kuandian 寬甸 宽甸 in liaoning	44-43223-S
reserve between shaanxi and gansu	44-40909-S
reserve candidate	5-62751-S
reserve currency	6-59134-B
reserve fed	51-4860-S,51-8528-S
reserve in lhasa	27-26789-S
reserve in tongshan county	3-18129-S
reserve in wenchuan county	52-55663-S,52-55814-S
reserve in yitong manchurian autonomous county 伊通滿族自治縣 伊通满族自治县	4-52099-S
reserve player	32-18116-B
reserve ratio	19-8090-S
reserve tickets	19-46784-S
reserve 臥龍大熊貓保護區 卧龙大熊猫保护区 in wenchuan county	52-55430-S
reserved	27-39514-B
reserved for a queen	20-43838-S
reserved train or other vehicle	20-41431-S
reserves	6-59019-B,6-59073-S,16-45286-S,17-24300-S,19-8635-B,41-5471-S,55-42973-B
reserves bank	6-59205-B
reserves of natural resources	6-59848-B
reservoir	1-33982-S,1-34052-S,36-40958-B,36-61828-B,59-41543-B,66-15026-B
reservoir in hebei	19-41665-S
reset a broken or dislocated bone	24-13121-S
reshow a film	63-60542-S
reshuffle posts etc	29-45027-S
reside	4-70653-S,5-70-S,5-173-S,20-10017-B,21-17965-B,21-17993-S,21-19049-S,55-48615-S
reside abroad	6-50701-B
residence	4-70995-B,5-70-B,5-580-B,5-629-B,14-47326-S,19-20304-B,19-20337-B,19-20446-B,19-43272-S,20-10017-B,21-18075-S,21-18692-B,21-19049-B,22-62727-S,22-63148-S,22-63342-S,24-9724-S,26-24480-S,29-60059-S,29-60965-S,30-47299-S,46-53277-S,53-30115-B
residence abroad	30-68209-B
residence at chengde	63-7253-S
residence of barbarian emissary	56-23564-B
residence of concubine	28-18754-S
residence of confucius descendants at qufu 曲阜	56-36026-S
residence of sb rich or important	7-65988-B
residence permit	21-18255-B,21-19101-B
residence to another	62-69438-S
resident	21-18734-B,22-13121-S,22-32741-B
resident card	49-64526-S
resident in	21-17993-B,69-47732-B
resident in other countries including in china	60-26006-S
resident permit	16-10555-S
residential area	4-70893-B,4-71048-B
residential buildings	14-17228-S
residential quarters for men with families	45-46863-B
residential surveillance	45-10151-B
residents	30-47147-S
residents of a village	63-30744-S
resides	3-2991-S
residual anger	69-15756-B
residual contamination	35-63812-B
residual magnetism	9-29788-B
residual radiation	9-30235-B
residual radioactivity	9-30143-B
residue	35-63026-S,35-63715-B,39-2621-B,69-16266-S,69-16916-S,69-16995-S
residue a type of nebula	60-21564-S
residue from drilling	65-10685-B
residue from oil making	48-46805-B
residue math 	69-14715-B
resign	61-36580-S,61-36932-B
resign a government post	61-36629-S
resign a position	62-59316-S
resign a post	11-27594-S,61-36690-S
resign oneself to	53-14033-S
resign oneself to adversity 成语 saw	61-65870-S
resign oneself to fate	51-70036-S
resigned to	2-18784-S,2-18858-S
resigned to sth	58-20232-B
resin	34-61668-B,34-61707-S,43-5994-S,56-27736-S,71-27590-B
resin used to manufacture bakelite	63-41615-S,63-41713-S
resist	11-49358-B,20-50052-S,27-3989-S,27-4803-S,27-6090-S,27-14313-S,27-14560-S,27-14886-S,27-15037-S,27-31397-S,27-42533-S,28-1914-S,29-20069-S,29-36549-B,41-55525-B,45-27990-S,47-6804-B,49-57716-S,57-47031-B,62-49022-S,65-64600-S
resist a military attack	27-4934-B
resist arrest	27-31722-S
resist hardship	51-35966-S
resist japan esp during ww2	27-4994-S
resist the enemy relying on inaccessible territory	25-55966-S
resist us	27-6852-B
resist with great difficulty	23-43917-S
resist 成语 saw	10-7096-S
resistance	10-58009-S,27-4530-B,27-4670-S,27-4723-S,27-14486-B,27-14560-B,27-14614-B,65-63962-B,65-64189-S,67-38776-S,67-38904-S
resistance against japan 1937 1945	27-5101-S
resistance of a pathogen	27-7243-S,27-7386-S
resistance to action of a drug	27-7309-B
resistance to rot	65-63545-B
resistant	27-5560-S,27-5827-S,27-7757-S,51-35742-B,51-36594-S,51-36641-S,51-36926-S,51-37375-S,51-37424-S,51-37483-S
resistant construction	27-7971-S
resistant material	51-36711-S
resistant staphylococcus aureus mrsa	27-6920-S
resistant to cold	51-36233-B
resisting	27-4530-S
resistor	59-12487-S,67-38852-B
resit a failed course	43-50533-S,43-51088-S
resolute	4-5324-B,9-28313-B,16-3222-B,16-4081-B,16-5141-B,35-38859-B,36-65858-S
resolute and daring	33-36681-B
resolute and decisive	30-38655-B
resolute person	32-32698-B
resolutely	30-60385-S,36-3121-B
resolution	24-32467-B,28-40037-S,29-61780-S,30-13429-S,36-65858-B,37-435-B,37-478-S,70-17162-S
resolution of a photo	8-58805-B
resolution protocol	15-39698-S
resolution to break off a relation	1-2914-S
resolve	1-61136-B,3-28270-S,8-58196-B,8-58683-S,24-44908-B,36-65552-S,47-60910-B,57-50239-S,57-50925-S,57-52654-S
resolve a dispute	26-42153-S
