碱法纸浆	71-6132-S
祸首	47-2585-S
祺	46-65387-S
祺 祺	46-65387-B
祻	46-65417-S
祻 祻	46-65417-B
祼	46-65457-S
祼 祼	46-65457-B
祿 禄	46-65498-B
祿勸 禄劝	47-0-B
祿豐 禄丰	47-80-B
禀	47-31500-S
禀告	47-31576-S
禀性	47-31701-S
禀报	47-31637-S
禀赋	47-31756-S
禁	47-142-S,47-174-S
禁 禁	47-142-B,47-174-B
禁令	47-218-S
禁令 禁令	47-218-B
禁伐	47-268-S
禁伐 禁伐	47-268-B
禁军	47-1476-S
禁制令	47-317-S
禁制令 禁制令	47-317-B
禁区	47-397-S
禁區 禁区	47-397-B
禁品	47-462-S
禁品 禁品	47-462-B
禁忌	47-512-S
禁忌 禁忌	47-512-B
禁忌語 禁忌语	47-550-B
禁忌语	47-550-S
禁慾主義 禁欲主义	47-607-B
禁戒	47-671-S
禁戒 禁戒	47-671-B
禁果	47-718-S
禁果 禁果	47-718-B
禁欲主义	47-607-S
禁止	47-767-S
禁止 禁止	47-767-B
禁止令行	47-812-S
禁止令行 禁止令行	47-812-B
禁止核武器試驗條約 禁止核武器试验条约	47-894-B
禁止核武器试验条约	47-894-S
禁毒	47-1026-S
禁毒 禁毒	47-1026-B
禁演	47-1075-S
禁演 禁演	47-1075-B
禁烟	47-1132-S
禁煙 禁烟	47-1132-B
禁用	47-1269-S
禁用 禁用	47-1269-B
禁药	47-1349-S
禁藥 禁药	47-1349-B
禁語 禁语	47-1412-B
禁语	47-1412-S
禁軍 禁军	47-1476-B
禁运	47-1524-S
禁運 禁运	47-1524-B
禁酒	47-1594-S
禁酒 禁酒	47-1594-B
禁酒令	47-1662-S
禁酒令 禁酒令	47-1662-B
禁食	47-1734-S
禁食 禁食	47-1734-B
禂	47-1782-S
禂 禂	47-1782-B
禄	46-65498-S
禄丰	47-80-S
禄劝	47-0-S
禅	47-7115-S,47-7195-S
禅位	47-7227-S
禅堂	47-7283-S
禅宗	47-7358-S
禅师	47-7422-S
禅房	47-7492-S
禅机	47-7684-S
禅杖	47-7567-S
禅林	47-7632-S
禅让	47-7755-S
禅院	47-7802-S
禊	47-1819-S
禊 禊	47-1819-B
禋	47-1862-S
禋 禋	47-1862-B
禍 祸	47-1894-B
禍不單行 祸不单行	47-1925-B
禍事 祸事	47-2052-B
禍害 祸害	47-2099-B
禍患 祸患	47-2192-B
禍福 祸福	47-2244-B
禍福吉凶 祸福吉凶	47-2299-B
禍福無常 祸福无常	47-2422-B
禍首 祸首	47-2585-B
禎 祯	47-2648-B
福	47-2688-S
福 福	47-2688-B
福克兰群岛	47-2851-S
福克納 福克纳	47-2781-B
福克纳	47-2781-S
福克蘭群島 福克兰群岛	47-2851-B
福兴乡	47-5822-S
福冈	47-3732-S
福冈县	47-3773-S
福分	47-2932-S
福分 福分	47-2932-B
福利	47-2992-S
福利 福利	47-2992-B
福利事业	47-3053-S
福利事業 福利事业	47-3053-B
福利院	47-3118-S
福利院 福利院	47-3118-B
福地	47-3176-S
福地 福地	47-3176-B
福壽螺 福寿螺	47-3227-B
福如东海	47-3314-S
福如東海 福如东海	47-3314-B
福娃	47-3428-S
福娃 福娃	47-3428-B
福安	47-3496-S
福安 福安	47-3496-B
福寿螺	47-3227-S
福尔	47-5345-S
福尔摩斯	47-5418-S
福山	47-3554-S
福山 福山	47-3554-B
福山区	47-3638-S
福山區 福山区	47-3638-B
福岛县	47-3837-S
福岡 福冈	47-3732-B
福岡縣 福冈县	47-3773-B
福島縣 福岛县	47-3837-B
福州	47-3917-S
福州 福州	47-3917-B
福州市	47-4060-S
福州市 福州市	47-4060-B
福布斯	47-4214-S
福布斯 福布斯	47-4214-B
福建	47-4262-S
福建 福建	47-4262-B
福建省	47-4334-S
福建省 福建省	47-4334-B
福摩萨	47-4419-S
福摩薩 福摩萨	47-4419-B
福斯塔夫	47-4468-S
福斯塔夫 福斯塔夫	47-4468-B
福斯特	47-4554-S
福斯特 福斯特	47-4554-B
福星高照	47-4655-S
福星高照 福星高照	47-4655-B
福晉 福晋	47-4766-B
福晋	47-4766-S
福林	47-4814-S
福林 福林	47-4814-B
福柯	47-4874-S
福柯 福柯	47-4874-B
福气	47-4914-S
福氣 福气	47-4914-B
福泉	47-4977-S
福泉 福泉	47-4977-B
福泽	47-5163-S
福泽谕吉	47-5207-S
福海	47-5040-S
福海 福海	47-5040-B
福清	47-5102-S
福清 福清	47-5102-B
福澤 福泽	47-5163-B
福澤諭吉 福泽谕吉	47-5207-B
福煦	47-5287-S
福煦 福煦	47-5287-B
福爾 福尔	47-5345-B
福爾摩斯 福尔摩斯	47-5418-B
福特	47-5485-S
福特 福特	47-5485-B
福田	47-5533-S
福田 福田	47-5533-B
福田区	47-5609-S
福田區 福田区	47-5609-B
福田康夫	47-5695-S
福田康夫 福田康夫	47-5695-B
福祉	47-5771-S
福祉 福祉	47-5771-B
福興鄉 福兴乡	47-5822-B
福貢 福贡	47-5900-B
福贡	47-5900-S
福音	47-5962-S
福音 福音	47-5962-B
福音书	47-6001-S
福音書 福音书	47-6001-B
福馬林 福马林	47-6089-B
福马林	47-6089-S
福鼎	47-6140-S
福鼎 福鼎	47-6140-B
禑 祦	47-6202-B
禔	47-6254-S
禔 禔	47-6254-B
禕 祎	47-6286-B
禕隋 祎隋	47-6356-B
禖	47-6399-S
禖 禖	47-6399-B
禘	47-6447-S
禘 禘	47-6447-B
禚	47-6497-S
禚 禚	47-6497-B
禛	47-6531-S
禛 禛	47-6531-B
禜	47-6595-S
禜 禜	47-6595-B
禠	47-6628-S
禠 禠	47-6628-B
禡 祃	47-6667-B
禢	47-6736-S
禢 禢	47-6736-B
禤	47-6768-S
禤 禤	47-6768-B
禦 御	47-6804-B
禦夫座 御夫座	47-6839-B
禦敵 御敌	47-6904-B
禧	47-7059-S
禧 禧	47-7059-B
禨	47-7084-S
禨 禨	47-7084-B
禪 禅	47-7115-B,47-7195-B
禪位 禅位	47-7227-B
禪堂 禅堂	47-7283-B
禪宗 禅宗	47-7358-B
禪師 禅师	47-7422-B
禪房 禅房	47-7492-B
禪杖 禅杖	47-7567-B
禪林 禅林	47-7632-B
禪機 禅机	47-7684-B
禪讓 禅让	47-7755-B
禪院 禅院	47-7802-B
禫	47-7851-S
禫 禫	47-7851-B
禮 礼	47-7906-B
禮俗 礼俗	47-7947-B
禮儀 礼仪	47-7995-B
禮制 礼制	47-8045-B
禮品 礼品	47-8103-B
禮器 礼器	47-8148-B
禮堂 礼堂	47-8213-B
禮拜 礼拜	47-8271-B
禮拜儀式 礼拜仪式	47-8334-B
禮拜堂 礼拜堂	47-8398-B
禮拜天 礼拜天	47-8449-B
禮拜日 礼拜日	47-8500-B
禮教 礼教	47-8549-B
禮服 礼服	47-8607-B
禮泉 礼泉	47-8649-B
禮炮 礼炮	47-8712-B
禮炮號 礼炮号	47-8784-B
禮物 礼物	47-8843-B
禮節 礼节	47-8887-B
禮經 礼经	47-8929-B
禮縣 礼县	47-9003-B
禮義 礼义	47-9055-B
禮記 礼记	47-9108-B
禮讚 礼赞	47-9156-B
禮貌 礼貌	47-9208-B
禮賢下士 礼贤下士	47-9257-B
禮輕人意重 礼轻人意重	47-9333-B
禮部尚書 礼部尚书	47-9481-B
禰	47-9607-S
禰 祢	47-9575-B
禰 禰	47-9607-B
禱 祷	47-9654-B
禱告 祷告	47-9701-B
禱念 祷念	47-9749-B
禱文 祷文	47-9812-B
禱祝 祷祝	47-9871-B
禱詞 祷词	47-9912-B
禳	47-9970-S
禳 禳	47-9970-B
禴	47-10025-S
禴 禴	47-10025-B
禸	47-10083-S
禸 禸	47-10083-B
禹	47-10113-S
禹 禹	47-10113-B
禹城	47-10168-S
禹城 禹城	47-10168-B
禹州	47-10233-S
禹州 禹州	47-10233-B
禺	47-10293-S
禺 禺	47-10293-B
离	67-8589-S
离不开	67-8645-S
离乡背井	67-10589-S
离任	67-8719-S
离休	67-8787-S
离别	67-8904-S
离去	67-8981-S
离合	67-9029-S
离合器	67-9084-S
离合板	67-9132-S
离奇	67-9187-S
离奇有趣	67-9222-S
离婚	67-9281-S
离子	67-9368-S
离子交换	67-9403-S
离子键	67-9471-S
离宫	67-9533-S
离岛	67-9597-S
离开	67-10741-S
离开人世	67-10792-S
离开北京	67-10873-S
离开故乡	67-10968-S
离异	67-10351-S
离弃	67-10168-S
离心	67-9646-S
离心分离机	67-9698-S
离心力	67-9772-S
离心机	67-9832-S
离情别绪	67-9885-S
离散	67-9978-S
离散性	67-10036-S
离散数学	67-10093-S
离港	67-10207-S
离港大厅	67-10279-S
离石	67-10390-S
离职	67-10450-S
离谱	67-10513-S
离队	67-11047-S
离骚	67-11096-S
禽	47-10331-S
禽 禽	47-10331-B
禽兽	47-10417-S
禽流感	47-10364-S
禽流感 禽流感	47-10364-B
禽獸 禽兽	47-10417-B
禽畜	47-10500-S
禽畜 禽畜	47-10500-B
禽类	47-10598-S
禽蛋	47-10555-S
禽蛋 禽蛋	47-10555-B
禽類 禽类	47-10598-B
禽鳥 禽鸟	47-10650-B
禽鸟	47-10650-S
禾	47-10695-S
禾 禾	47-10695-B
禾木科	47-10729-S
禾木科 禾木科	47-10729-B
禾本科	47-10805-S
禾本科 禾本科	47-10805-B
禾穀 禾谷	47-10869-B
禾苗	47-10918-S
禾苗 禾苗	47-10918-B
禾草	47-10985-S
禾草 禾草	47-10985-B
禾谷	47-10869-S
禿 秃	47-11023-B
禿發 秃发	47-11055-B
禿頂 秃顶	47-11139-B
禿頭 秃头	47-11182-B
禿鷹 秃鹰	47-11223-B
秀	47-11274-S
秀 秀	47-11274-B
秀丽	47-11670-S
秀山	47-11313-S
秀山 秀山	47-11313-B
秀才	47-11399-S
秀才 秀才	47-11399-B
秀林乡	47-11462-S
秀林鄉 秀林乡	47-11462-B
秀水乡	47-11540-S
秀水鄉 秀水乡	47-11540-B
秀美	47-11620-S
秀美 秀美	47-11620-B
秀麗 秀丽	47-11670-B
私	47-11719-S
私 私	47-11719-B
私下	47-11765-S
私下 私下	47-11765-B
私事	47-11808-S
私事 私事	47-11808-B
私人	47-11857-S
私人 私人	47-11857-B
私人鑰匙 私人钥匙	47-11915-B
私人钥匙	47-11915-S
私利	47-11996-S
私利 私利	47-11996-B
私募	47-12070-S
私募 私募	47-12070-B
私募基金	47-12131-S
私募基金 私募基金	47-12131-B
私囊	47-12255-S
私囊 私囊	47-12255-B
私塾	47-12305-S
私塾 私塾	47-12305-B
私处	47-13492-S
私奔	47-12370-S
私奔 私奔	47-12370-B
私家車 私家车	47-12411-B
私家车	47-12411-S
私情	47-12466-S
私情 私情	47-12466-B
私愤	47-12540-S
私憤 私愤	47-12540-B
私房	47-12594-S
私房 私房	47-12594-B
私有	47-12641-S
私有 私有	47-12641-B
私有制	47-12697-S
私有制 私有制	47-12697-B
私有化	47-12770-S
私有化 私有化	47-12770-B
私有財產 私有财产	47-12827-B
私有财产	47-12827-S
私欲	47-12895-S
私欲 私欲	47-12895-B
私法	47-12941-S
私法 私法	47-12941-B
私營 私营	47-12984-B
私生子	47-13041-S
私生子 私生子	47-13041-B
私生子女	47-13130-S
私生子女 私生子女	47-13130-B
私立	47-13222-S
私立 私立	47-13222-B
私立学校	47-13270-S
私立學校 私立学校	47-13270-B
私自	47-13339-S
私自 私自	47-13339-B
私营	47-12984-S
私藏	47-13422-S
私藏 私藏	47-13422-B
私處 私处	47-13492-B
私語 私语	47-13548-B
私语	47-13548-S
秃	47-11023-S
秃发	47-11055-S
秃头	47-11182-S
秃顶	47-11139-S
秃鹰	47-11223-S
秆	47-29080-S
秈	47-13586-S
秈 秈	47-13586-B
秉	47-13621-S
秉 秉	47-13621-B
秉公	47-13686-S
秉公 秉公	47-13686-B
秉公办理	47-13740-S
秉公辦理 秉公办理	47-13740-B
秉性	47-13856-S
秉性 秉性	47-13856-B
秉承	47-13937-S
秉承 秉承	47-13937-B
秉持	47-14065-S
秉持 秉持	47-14065-B
秉笔	47-14119-S
秉笔 秉笔	47-14119-B
秋	47-14193-S,68-8267-S
秋 秋	47-14193-B
秋令	47-14260-S
秋令 秋令	47-14260-B
秋凉	47-15377-S
秋分	47-14316-S
秋分 秋分	47-14316-B
秋分点	47-14374-S
秋分點 秋分点	47-14374-B
秋千	68-8297-S
秋叶原	47-15993-S
秋后算帐	47-14532-S
秋天	47-14438-S
秋天 秋天	47-14438-B
秋季	47-14479-S
秋季 秋季	47-14479-B
秋後算帳 秋后算帐	47-14532-B
秋播	47-14727-S
秋播 秋播	47-14727-B
秋收	47-14799-S
秋收 秋收	47-14799-B
秋收起义	47-14854-S
秋收起義 秋收起义	47-14854-B
秋景	47-14932-S
秋景 秋景	47-14932-B
秋毫	47-14996-S
秋毫 秋毫	47-14996-B
秋毫无犯	47-15074-S
秋毫無犯 秋毫无犯	47-15074-B
秋海棠	47-15260-S
秋海棠 秋海棠	47-15260-B
秋海棠花	47-15313-S
秋海棠花 秋海棠花	47-15313-B
秋涼 秋凉	47-15377-B
秋灌	47-15431-S
秋灌 秋灌	47-15431-B
秋狝	47-15483-S
秋獮 秋狝	47-15483-B
秋瑾	47-15541-S
秋瑾 秋瑾	47-15541-B
秋田县	47-15684-S
秋田県	47-15594-S
秋田県 秋田県	47-15594-B
秋田縣 秋田县	47-15684-B
秋粮	47-15758-S
