中國工程院 中国工程院	2-58212-B
义勇军进行曲	51-12567-S
义卖	51-14331-S
义卖会	51-14407-S
义县	51-14153-S
义和乱	51-12813-S
义和团	51-12875-S
义和团运动	51-12968-S
义和拳	51-13050-S
义工	51-13143-S
义怒	51-13193-S
义愤	51-13240-S
义无反顾	51-13678-S
义母	51-13312-S
义气	51-13357-S
义演	51-13460-S
义父	51-13867-S
义父母	51-13912-S
义理	51-13985-S
义竹乡	51-14079-S
义行	51-14221-S
义警	51-14269-S
义马	51-14504-S
之	3-10268-S
之 之	3-10268-B
之一	3-10311-S
之一 之一	3-10311-B
之上	3-10390-S
之上 之上	3-10390-B
之下	3-10431-S
之下 之下	3-10431-B
之中	3-10488-S
之中 之中	3-10488-B
之乎者也	3-10530-S
之乎者也 之乎者也	3-10530-B
之內 之内	3-10702-B
之内	3-10702-S
之前	3-10742-S
之前 之前	3-10742-B
之后	3-10907-S
之外	3-10796-S
之外 之外	3-10796-B
之字形	3-10847-S
之字形 之字形	3-10847-B
之後 之后	3-10907-B
之类	3-11071-S
之至	3-10973-S
之至 之至	3-10973-B
之間 之间	3-11016-B
之间	3-11016-S
之類 之类	3-11071-B
乌	40-34336-S
乌七八糟	40-34381-S
乌丘乡	40-35154-S
乌云	40-38812-S
乌什	40-34508-S
乌什县	40-34570-S
乌伦古河	40-34714-S
乌伦古湖	40-34792-S
乌克丽丽	40-34991-S
乌克兰	40-34869-S
乌克兰人	40-34919-S
乌兰	40-38026-S
乌兰夫	40-38087-S
乌兰察布	40-38148-S
乌兰察布市	40-38251-S
乌兰巴托	40-38365-S
乌兰浩特	40-38466-S
乌兹别克	40-37308-S
乌兹别克人	40-37387-S
乌兹别克斯坦	40-37465-S
乌兹别克族	40-37549-S
乌合之众	40-35095-S
乌塌菜	40-35230-S
乌孜别克	40-35320-S
乌审旗	40-35392-S
乌尔	40-36961-S
乌尔姆	40-37037-S
乌尔格	40-37100-S
乌干达	40-35475-S
乌德勒支	40-35524-S
乌恰	40-35584-S
乌恰县	40-35641-S
乌托邦	40-35710-S
乌拉圭	40-35761-S
乌拉尔	40-35811-S
乌拉尔山	40-35881-S
乌拉尔山脉	40-35963-S
乌拉特中旗	40-36042-S
乌拉特前旗	40-36151-S
乌拉特后旗	40-36258-S
乌拜迪	40-36363-S
乌日乡	40-36427-S
乌木	40-36495-S
乌来乡	40-34639-S
乌桓	40-36532-S
乌桕	40-36588-S
乌梁海	40-36649-S
乌榄	40-36709-S
乌海	40-36774-S
乌海市	40-36862-S
乌特列支	40-37188-S
乌良哈	40-37249-S
乌苏	40-37677-S
乌苏里斯克	40-37804-S
乌苏里江	40-37737-S
乌蓝	40-37635-S
乌西亚	40-38544-S
乌语	40-38607-S
乌贼	40-38653-S
乌里雅苏台	40-38696-S
乌饭果	40-38856-S
乌鲁克恰提	40-38909-S
乌鲁克恰提县	40-39084-S
乌鲁木齐	40-39271-S
乌鲁木齐市	40-39476-S
乌鳢	40-39739-S
乌鸡	40-38767-S
乌鸦	40-39798-S
乌鸦嘴	40-39840-S
乌鸦座	40-40061-S
乌鸫	40-40126-S
乌黎雅	40-40169-S
乌黑色	40-40223-S
乌齐雅	40-40282-S
乌龙球	40-40345-S
乌龙茶	40-40398-S
乌龟	40-40453-S
乌龟壳	40-40502-S
乍	3-11123-S
乍 乍	3-11123-B
乍得	3-11173-S
乍得 乍得	3-11173-B
乍得湖	3-11210-S
乍得湖 乍得湖	3-11210-B
乍浦	3-11262-S
乍浦 乍浦	3-11262-B
乍浦鎮 乍浦镇	3-11371-B
乍浦镇	3-11371-S
乎	3-11492-S
乎 乎	3-11492-B
乏	3-11550-S
乏 乏	3-11550-B
乏味	3-11586-S
乏味 乏味	3-11586-B
乏燃料	3-11626-S
乏燃料 乏燃料	3-11626-B
乏燃料储存	3-11681-S
乏燃料儲存 乏燃料储存	3-11681-B
乏燃料棒	3-11766-S
乏燃料棒 乏燃料棒	3-11766-B
乐	34-47149-S,34-47202-S
乐不可支	34-47242-S
乐不思蜀	34-47338-S
乐业	34-49174-S
乐东黎族自治县	34-49048-S
乐事	34-47448-S
乐于助人	34-48665-S
乐亭	34-47489-S
乐器	34-47550-S
乐团	34-47643-S
乐园	34-47601-S
乐坛	34-47692-S
乐安	34-47751-S
乐安县	34-47819-S
乐山	34-47899-S
乐山地区	34-47972-S
乐山市	34-48067-S
乐师	34-48151-S
乐平	34-48193-S
乐平市	34-48285-S
乐府	34-48388-S
乐府诗集	34-48458-S
乐意	34-48543-S
乐手	34-48608-S
乐施会	34-48741-S
乐昌	34-48827-S
乐昌市	34-48906-S
乐曲	34-48996-S
乐极生悲	34-49233-S
乐此不疲	34-49355-S
乐清	34-49476-S
乐章	34-49541-S
乐经	34-49601-S
乐羊羊	34-49649-S
乐至	34-49736-S
乐观	34-49797-S
乐谱	34-49849-S
乐趣	34-49909-S
乐都	34-49961-S
乐队	34-50083-S
乐陵	34-50020-S
乐音	34-50121-S
乐高	34-50172-S
乒	3-11838-S
乒 乒	3-11838-B
乒乓	3-11879-S
乒乓 乒乓	3-11879-B
乒乓球	3-11924-S
乒乓球 乒乓球	3-11924-B
乒乓球台	3-12092-S
乒乓球拍	3-12021-S
乒乓球拍 乒乓球拍	3-12021-B
乒乓球檯 乒乓球台	3-12092-B
乓	3-12168-S
乓 乓	3-12168-B
乔	14-14337-S,14-14373-S
乔丹	14-14401-S
乔冠华	14-14442-S
乔布斯	14-14513-S
乔戈里峰	14-14568-S
乔木	14-14626-S
乔林	14-14664-S
乔格里峰	14-14738-S
乔治	14-14796-S
乔治・华盛顿	14-14944-S
乔治・奥威尔	14-14844-S
乔治一世	14-15052-S
乔治亚	14-15134-S
乔治城	14-15186-S
乔治城大学	14-15294-S
乔治奥威尔	14-15403-S
乔治敦	14-15494-S
乔石	14-15550-S
乔答摩	14-15624-S
乔红	14-15675-S
乔装	14-15720-S
乔装打扮	14-15797-S
乔迁	14-15930-S
乔迁之喜	14-16005-S
乖	3-12204-S
乖 乖	3-12204-B
乖覺 乖觉	3-12249-B
乖觉	3-12249-S
乗	3-12314-S
乗 乗	3-12314-B
乘	3-12362-S
乘 乘	3-12362-B
乘人之危	3-12489-S
乘人之危 乘人之危	3-12489-B
乘便	3-12592-S
乘便 乘便	3-12592-B
乘兴	3-13938-S
乘冪 乘幂	3-12648-B
乘凉	3-13706-S
乘务员	3-12712-S
乘势	3-13005-S
乘務員 乘务员	3-12712-B
乘勝 乘胜	3-12783-B
乘勝追擊 乘胜追击	3-12870-B
乘勢 乘势	3-13005-B
乘号	3-14295-S
乘坐	3-13097-S
乘坐 乘坐	3-13097-B
乘坚策肥	3-13152-S
乘堅策肥 乘坚策肥	3-13152-B
乘客	3-13278-S
乘客 乘客	3-13278-B
乘幂	3-12648-S
乘数	3-13322-S
乘數 乘数	3-13322-B
乘方	3-13368-S
乘方 乘方	3-13368-B
乘机	3-13447-S
乘機 乘机	3-13447-B
乘法	3-13515-S
乘法 乘法	3-13515-B
乘法表	3-13564-S
乘法表 乘法表	3-13564-B
乘法逆	3-13631-S
乘法逆 乘法逆	3-13631-B
乘涼 乘凉	3-13706-B
乘火打劫	3-13768-S
乘火打劫 乘火打劫	3-13768-B
乘积	3-13869-S
乘積 乘积	3-13869-B
乘胜	3-12783-S
乘胜追击	3-12870-S
乘興 乘兴	3-13938-B
乘船	3-14025-S
乘船 乘船	3-14025-B
乘虚	3-14099-S
乘虚而入	3-14163-S
乘虛 乘虚	3-14099-B
乘虛而入 乘虚而入	3-14163-B
乘號 乘号	3-14295-B
乘警	3-14358-S
乘警 乘警	3-14358-B
乘車 乘车	3-14425-B
乘车	3-14425-S
乘除	3-14509-S
乘除 乘除	3-14509-B
乘隙	3-14567-S
乘隙 乘隙	3-14567-B
乘風 乘风	3-14649-B
乘風破浪 乘风破浪	3-14744-B
乘风	3-14649-S
乘风破浪	3-14744-S
乘鶴 乘鹤	3-14873-B
乘鹤	3-14873-S
乘龍 乘龙	3-14932-B
乘龍快婿 乘龙快婿	3-15018-B
乘龙	3-14932-S
乘龙快婿	3-15018-S
乙	3-15093-S
乙 乙	3-15093-B
乙丑	3-15219-S
乙丑 乙丑	3-15219-B
乙二醇	3-15288-S
乙二醇 乙二醇	3-15288-B
乙亥	3-15377-S
乙亥 乙亥	3-15377-B
乙卯	3-15447-S
乙卯 乙卯	3-15447-B
乙型	3-15521-S
乙型 乙型	3-15521-B
乙型肝炎	3-15575-S
乙型肝炎 乙型肝炎	3-15575-B
乙型脑炎	3-15642-S
乙型腦炎 乙型脑炎	3-15642-B
乙基	3-15756-S
乙基 乙基	3-15756-B
乙太	3-15814-S
乙太 乙太	3-15814-B
乙太網路 乙太网路	3-15852-B
乙太网路	3-15852-S
乙巳	3-15915-S
乙巳 乙巳	3-15915-B
乙方	3-15988-S
乙方 乙方	3-15988-B
乙未	3-16053-S
乙未 乙未	3-16053-B
乙氨基	3-16128-S
乙氨基 乙氨基	3-16128-B
乙炔	3-16187-S
乙炔 乙炔	3-16187-B
乙烯	3-16241-S
乙烯 乙烯	3-16241-B
乙烷	3-16286-S
乙烷 乙烷	3-16286-B
乙状结肠	3-16332-S
乙狀結腸 乙状结肠	3-16332-B
乙种	3-16424-S
乙种促效剂	3-16474-S
乙种射线	3-16555-S
乙种粒子	3-16662-S
乙種 乙种	3-16424-B
乙種促效劑 乙种促效剂	3-16474-B
乙種射線 乙种射线	3-16555-B
乙種粒子 乙种粒子	3-16662-B
乙肝	3-16740-S
乙肝 乙肝	3-16740-B
乙脑	3-16784-S
乙腦 乙脑	3-16784-B
乙酉	3-16898-S
乙酉 乙酉	3-16898-B
乙酸	3-16974-S
乙酸 乙酸	3-16974-B
乙醇	3-17043-S
乙醇 乙醇	3-17043-B
乙醇酸	3-17114-S
乙醇酸 乙醇酸	3-17114-B
乙醚	3-17180-S
乙醚 乙醚	3-17180-B
乙醛	3-17241-S
乙醛 乙醛	3-17241-B
乜	3-17302-S
乜 乜	3-17302-B
九	3-17331-S
九 九	3-17331-B
九一八事变	3-17360-S
九一八事變 九一八事变	3-17360-B
九三学社	3-17609-S
九三學社 九三学社	3-17609-B
九九乘法表	3-17679-S
九九乘法表 九九乘法表	3-17679-B
九分之一	3-17768-S
九分之一 九分之一	3-17768-B
九十	3-17832-S
九十 九十	3-17832-B
九华山	3-20552-S
九台	3-17872-S
九台 九台	3-17872-B
九台市	3-17957-S
九台市 九台市	3-17957-B
九声六调	3-20412-S
九如乡	3-18053-S
九如鄉 九如乡	3-18053-B
九宫山	3-18129-S
九宫山镇	3-18221-S
九宫格数独	3-18315-S
九宮山 九宫山	3-18129-B
九宮山鎮 九宫山镇	3-18221-B
九宮格數獨 九宫格数独	3-18315-B
九寨沟	3-18408-S
九寨沟县	3-18559-S
九寨溝 九寨沟	3-18408-B
九寨溝縣 九寨沟县	3-18559-B
九尾龜 九尾龟	3-18724-B
九尾龟	3-18724-S
九层塔	3-18823-S
九層塔 九层塔	3-18823-B
九嶷山	3-18873-S
九嶷山 九嶷山	3-18873-B
九州	3-18976-S
九州 九州	3-18976-B
九巴	3-19082-S
九巴 九巴	3-19082-B
九折	3-19144-S
九折 九折	3-19144-B
九月	3-19193-S
九月 九月	3-19193-B
九月九日忆山东兄弟	3-19248-S
九月九日憶山東兄弟 九月九日忆山东兄弟	3-19248-B
九月份	3-19472-S
九月份 九月份	3-19472-B
九死一生	3-19538-S
九死一生 九死一生	3-19538-B
九江	3-19669-S
九江 九江	3-19669-B
九江县	3-19954-S
九江地区	3-19767-S
九江地區 九江地区	3-19767-B
九江市	3-19866-S
九江市 九江市	3-19866-B
九江縣 九江县	3-19954-B
九泉	3-20036-S
九泉 九泉	3-20036-B
九流	3-20129-S
九流 九流	3-20129-B
九牛二虎之力	3-20205-S
九牛二虎之力 九牛二虎之力	3-20205-B
九章算术	3-20312-S
九章算術 九章算术	3-20312-B
九聲六調 九声六调	3-20412-B
九華山 九华山	3-20552-B
九边形	3-20616-S
九邊形 九边形	3-20616-B
九重霄	3-20670-S
九重霄 九重霄	3-20670-B
九面体	3-20745-S
九面體 九面体	3-20745-B
九龍 九龙	3-20840-B
九龙	3-20840-S
乞	3-20894-S
乞 乞	3-20894-B
乞丐	3-20919-S
乞丐 乞丐	3-20919-B
乞人	3-20958-S
乞人 乞人	3-20958-B
乞伏	3-20997-S
乞伏 乞伏	3-20997-B
乞儿	3-21081-S
乞兒 乞儿	3-21081-B
乞力馬扎羅山 乞力马扎罗山	3-21118-B
乞力马扎罗山	3-21118-S
乞怜	3-21220-S
乞憐 乞怜	3-21220-B
乞求	3-21269-S
乞求 乞求	3-21269-B
乞討 乞讨	3-21308-B
乞讨	3-21308-S
乞食	3-21355-S
乞食 乞食	3-21355-B
也	3-21403-S
也 也	3-21403-B
也不	3-21489-S
也不 也不	3-21489-B
也就是	3-21532-S
也就是 也就是	3-21532-B
也就是說 也就是说	3-21588-B
也就是说	3-21588-S
也許 也许	3-21681-B
也许	3-21681-S
也門 也门	3-21726-B
也门	3-21726-S
习	51-17639-S
习以为常	51-17875-S
习以成俗	51-17687-S
习以成性	51-17791-S
习俗	51-17955-S
习俗移性	51-18030-S
习得性	51-18120-S
习得性无助感	51-18180-S
习性	51-18289-S
习惯	51-18382-S
习惯性	51-18457-S
习惯成自然	51-18512-S
习气	51-18674-S
习水	51-18739-S
习题	51-18802-S
乡	63-29537-S
乡下	63-29577-S
乡下习气	63-29655-S
乡亲	63-30526-S
