多才多艺	16-57758-S
大环	17-28251-S
大班	17-27766-S
大班 大班	17-27766-B
大理	17-27806-S
大理 大理	17-27806-B
大理岩	17-27900-S
大理岩 大理岩	17-27900-B
大理州	17-27949-S
大理州 大理州	17-27949-B
大理市	17-28024-S
大理市 大理市	17-28024-B
大理白族自治州	17-28076-S
大理白族自治州 大理白族自治州	17-28076-B
大理石	17-28202-S
大理石 大理石	17-28202-B
大環 大环	17-28251-B
大用	17-28311-S
大用 大用	17-28311-B
大田	17-28386-S
大田 大田	17-28386-B
大甲鎮 大甲镇	17-28479-B
大甲镇	17-28479-S
大略	17-28551-S
大略 大略	17-28551-B
大發雷霆 大发雷霆	17-28625-B
大白菜	17-28695-S
大白菜 大白菜	17-28695-B
大白鯊 大白鲨	17-28783-B
大白鲨	17-28783-S
大盘子	17-28869-S
大盤子 大盘子	17-28869-B
大眾 大众	17-28918-B
大眾傳播 大众传播	17-28973-B
大眾化 大众化	17-29049-B
大石桥	17-29144-S
大石桥市	17-29263-S
大石橋 大石桥	17-29144-B
大石橋市 大石桥市	17-29263-B
大砲 大炮	17-29393-B
大社乡	17-29496-S
大社鄉 大社乡	17-29496-B
大祭司	17-29571-S
大祭司 大祭司	17-29571-B
大祸	17-29624-S
大祸临头	17-29674-S
大禍 大祸	17-29624-B
大禍臨頭 大祸临头	17-29674-B
大禹	17-29797-S
大禹 大禹	17-29797-B
大窪 大洼	17-29899-B
大窪縣 大洼县	17-29966-B
大竹	17-30045-S
大竹 大竹	17-30045-B
大箐山	17-30106-S
大箐山 大箐山	17-30106-B
大範圍 大范围	17-30185-B
大篆	17-30240-S
大篆 大篆	17-30240-B
大篷車 大篷车	17-30352-B
大篷车	17-30352-S
大米	17-30405-S
大米 大米	17-30405-B
大类	17-40744-S
大紀元 大纪元	17-30441-B
大紀元時報 大纪元时报	17-30496-B
大約 大约	17-30573-B
大紫荆勋章	17-30625-S
大紫荊勳章 大紫荆勋章	17-30625-B
大綱 大纲	17-30719-B
大總統 大总统	17-30782-B
大约	17-30573-S
大纪元	17-30441-S
大纪元时报	17-30496-S
大纲	17-30719-S
大義 大义	17-30874-B
大義凜然 大义凛然	17-30987-B
大義滅親 大义灭亲	17-31103-B
大聲 大声	17-31262-B
大聲疾呼 大声疾呼	17-31308-B
大聲說話 大声说话	17-31443-B
大肆	17-31513-S
大肆 大肆	17-31513-B
大肆攻击	17-31606-S
大肆攻擊 大肆攻击	17-31606-B
大肆鼓	17-31709-S
大肆鼓 大肆鼓	17-31709-B
大肚乡	17-31821-S
大肚子	17-31772-S
大肚子 大肚子	17-31772-B
大肚鄉 大肚乡	17-31821-B
大肠	17-32196-S
大肠杆菌	17-32250-S
大胆	17-32371-S
大能	17-31894-S
大能 大能	17-31894-B
大脑	17-31936-S
大脑死亡	17-31983-S
大脑比喻	17-32048-S
大脚	17-32115-S
大腦 大脑	17-31936-B
大腦死亡 大脑死亡	17-31983-B
大腦比喻 大脑比喻	17-32048-B
大腳 大脚	17-32115-B
大腸 大肠	17-32196-B
大腸桿菌 大肠杆菌	17-32250-B
大腿	17-32333-S
大腿 大腿	17-32333-B
大膽 大胆	17-32371-B
大臣	17-32452-S
大臣 大臣	17-32452-B
大自然	17-32496-S
大自然 大自然	17-32496-B
大致	17-32567-S
大致 大致	17-32567-B
大舅子	17-32634-S
大舅子 大舅子	17-32634-B
大興 大兴	17-32707-B
大興區 大兴区	17-32770-B
大興安嶺地區 大兴安岭地区	17-32866-B
大舉 大举	17-33000-B
大般涅槃經 大般涅盘经	17-33076-B
大般涅盘经	17-33076-S
大舵手	17-33156-S
大舵手 大舵手	17-33156-B
大英博物館 大英博物馆	17-33232-B
大英博物馆	17-33232-S
大英帝国	17-33316-S
大英帝國 大英帝国	17-33316-B
大英联合王国	17-33389-S
大英聯合王國 大英联合王国	17-33389-B
大范围	17-30185-S
大茴香	17-33482-S
大茴香 大茴香	17-33482-B
大茴香子	17-33552-S
大茴香子 大茴香子	17-33552-B
大草原	17-33614-S
大草原 大草原	17-33614-B
大荔	17-33674-S
大荔 大荔	17-33674-B
大荳 大豆	17-33733-B
大获全胜	17-27686-S
大菱鮃 大菱鲆	17-33774-B
大菱鲆	17-33774-S
大葉性肺炎 大叶性肺炎	17-33826-B
大葱	17-34122-S
大蒜	17-33907-S
大蒜 大蒜	17-33907-B
大蒜炒肉片	17-33947-S
大蒜炒肉片 大蒜炒肉片	17-33947-B
大蒜碾碎器	17-34043-S
大蒜碾碎器 大蒜碾碎器	17-34043-B
大蔥 大葱	17-34122-B
大號 大号	17-34162-B
大虫	17-34256-S
大融炉	17-34199-S
大融爐 大融炉	17-34199-B
大蟲 大虫	17-34256-B
大街	17-34296-S
大街 大街	17-34296-B
大街小巷	17-34347-S
大街小巷 大街小巷	17-34347-B
大衛 大卫	17-34434-B
大衛營和約 大卫营和约	17-34511-B
大衣	17-34669-S
大衣 大衣	17-34669-B
大袋子	17-34723-S
大袋子 大袋子	17-34723-B
大裂谷	17-34769-S
大裂谷 大裂谷	17-34769-B
大西国	17-34829-S
大西國 大西国	17-34829-B
大西洋	17-34880-S
大西洋 大西洋	17-34880-B
大西洋中脊	17-34938-S
大西洋中脊 大西洋中脊	17-34938-B
大西洋洋中脊	17-35029-S
大西洋洋中脊 大西洋洋中脊	17-35029-B
大要	17-35132-S
大要 大要	17-35132-B
大規模 大规模	17-35190-B
大規模殺傷性武器 大规模杀伤性武器	17-35277-B
大规模	17-35190-S
大规模杀伤性武器	17-35277-S
大計 大计	17-35403-B
大计	17-35403-S
大豆	17-33733-S
大豐 大丰	17-35543-B
大象	17-35606-S
大象 大象	17-35606-B
大賤賣 大贱卖	17-35649-B
大败	17-19224-S
大贱卖	17-35649-S
大赦	17-35719-S
大赦 大赦	17-35719-B
大赦国际	17-35774-S
大赦國際 大赦国际	17-35774-B
大足	17-35849-S
大足 大足	17-35849-B
大跃进	17-35946-S
大路	17-35908-S
大路 大路	17-35908-B
大躍進 大跃进	17-35946-B
大農場 大农场	17-36024-B
大运	17-36343-S
大运河	17-36391-S
大连	17-36076-S
大连市	17-36150-S
大连理工大学	17-36235-S
大选	17-36493-S
大連 大连	17-36076-B
大連市 大连市	17-36150-B
大連理工大學 大连理工大学	17-36235-B
大運 大运	17-36343-B
大運河 大运河	17-36391-B
大道	17-36449-S
大道 大道	17-36449-B
大選 大选	17-36493-B
大邑	17-36543-S
大邑 大邑	17-36543-B
大邑县	17-36602-S
大邑縣 大邑县	17-36602-B
大邱	17-36686-S
大邱 大邱	17-36686-B
大部	17-36724-S
大部 大部	17-36724-B
大部份 大部分	17-36783-B
大部分	17-36783-S
大都	17-36868-S,17-36939-S
大都 大都	17-36868-B,17-36939-B
大都会	17-37048-S
大都市	17-36975-S
大都市 大都市	17-36975-B
大都會 大都会	17-37048-B
大醇小疵	17-37103-S
大醇小疵 大醇小疵	17-37103-B
大里	17-37204-S
大里 大里	17-37204-B
大量	17-37261-S
大量 大量	17-37261-B
大量生产	17-37337-S
大量生產 大量生产	17-37337-B
大釜	17-37435-S
大釜 大釜	17-37435-B
大鋼琴 大钢琴	17-37475-B
大錘 大锤	17-37531-B
大錯 大错	17-37571-B
大鍋 大锅	17-37611-B
大鍋飯 大锅饭	17-37662-B
大鍵琴 大键琴	17-37811-B
大鐮刀 大镰刀	17-37869-B
大钢琴	17-37475-S
大锅	17-37611-S
大锅饭	17-37662-S
大错	17-37571-S
大锤	17-37531-S
大键琴	17-37811-S
大镰刀	17-37869-S
大長今 大长今	17-37920-B
大长今	17-37920-S
大門 大门	17-37979-B
大開齋 大开斋	17-38030-B
大關 大关	17-38141-B
大门	17-37979-S
大问题	17-10158-S
大闹天宫	17-41960-S
大队	17-39329-S
大阪	17-38199-S
大阪 大阪	17-38199-B
大阪府	17-38253-S
大阪府 大阪府	17-38253-B
大阮	17-38312-S
大阮 大阮	17-38312-B
大陆	17-38805-S
大陆块	17-39058-S
大陆坡	17-38967-S
大陆架	17-39128-S
大陆漂移	17-39188-S
大陆话	17-39259-S
大限	17-38365-S
大限 大限	17-38365-B
大限临头	17-38544-S
大限到來 大限到来	17-38441-B
大限到来	17-38441-S
大限臨頭 大限临头	17-38544-B
大院	17-38637-S
大院 大院	17-38637-B
大陪审团	17-38738-S
大陪審團 大陪审团	17-38738-B
大陸 大陆	17-38805-B
大陸坡 大陆坡	17-38967-B
大陸塊 大陆块	17-39058-B
大陸架 大陆架	17-39128-B
大陸漂移 大陆漂移	17-39188-B
大陸話 大陆话	17-39259-B
大隊 大队	17-39329-B
大难	17-39836-S
大难不死	17-39886-S
大雁	17-39402-S
大雁 大雁	17-39402-B
大雁塔	17-39445-S
大雁塔 大雁塔	17-39445-B
大雅	17-39509-S
大雅 大雅	17-39509-B
大雅乡	17-39606-S
大雅鄉 大雅乡	17-39606-B
大雜燴 大杂烩	17-39679-B
大雜院 大杂院	17-39749-B
大難 大难	17-39836-B
大難不死 大难不死	17-39886-B
大雨	17-39967-S
大雨 大雨	17-39967-B
大雨如注	17-40009-S
大雨如注 大雨如注	17-40009-B
大雪	17-40099-S
大雪 大雪	17-40099-B
大雾	17-40151-S
大霧 大雾	17-40151-B
大青山	17-40192-S
大青山 大青山	17-40192-B
大革命	17-40271-S
大革命 大革命	17-40271-B
大韓民國 大韩民国	17-40331-B
大韩民国	17-40331-S
大頭釘 大头钉	17-40417-B
大題小作 大题小作	17-40466-B
大願地藏菩萨	17-40643-S
大願地藏菩薩 大願地藏菩萨	17-40643-B
大類 大类	17-40744-B
大顯神通 大显神通	17-40811-B
大顯身手 大显身手	17-40926-B
大题小作	17-40466-S
大飽口福 大饱口福	17-41032-B
大飽眼福 大饱眼福	17-41123-B
大餅 大饼	17-41196-B
大餐	17-41246-S
大餐 大餐	17-41246-B
大餘 大余	17-41297-B
大餘縣 大余县	17-41365-B
大饱口福	17-41032-S
大饱眼福	17-41123-S
大饼	17-41196-S
大馬 大马	17-41445-B
大馬士革 大马士革	17-41512-B
大馬士革李 大马士革李	17-41573-B
大驚失色 大惊失色	17-41650-B
大驚小怪 大惊小怪	17-41717-B
大马	17-41445-S
大马士革	17-41512-S
大马士革李	17-41573-S
大體 大体	17-41798-B
大體上 大体上	17-41891-B
大鬧天宮 大闹天宫	17-41960-B
大鯢 大鲵	17-42051-B
大鲵	17-42051-S
大鴇 大鸨	17-42119-B
大鵬 大鹏	17-42165-B
大鸨	17-42119-S
大鹏	17-42165-S
大鹿	17-42226-S
大鹿 大鹿	17-42226-B
大麗花 大丽花	17-42263-B
大麥 大麦	17-42312-B
大麥地 大麦地	17-42351-B
大麦	17-42312-S
大麦地	17-42351-S
大麻	17-42500-S
大麻 大麻	17-42500-B
大黃 大黄	17-42573-B
大黃蜂 大黄蜂	17-42616-B
大黃魚 大黄鱼	17-42672-B
大黄	17-42573-S
大黄蜂	17-42616-S
大黄鱼	17-42672-S
大鼓	17-42756-S
大鼓 大鼓	17-42756-B
大鼠	17-42801-S
大鼠 大鼠	17-42801-B
大齋 大斋	17-42837-B
大齋期 大斋期	17-42899-B
大齋節 大斋节	17-42994-B
天	17-43064-S
天 天	17-43064-B
天上	17-43102-S
天上 天上	17-43102-B
天下	17-43157-S
天下 天下	17-43157-B
天主	17-43266-S
天主 天主	17-43266-B
天主教	17-43353-S
天主教 天主教	17-43353-B
天主教会	17-43504-S
天主教徒	17-43415-S
天主教徒 天主教徒	17-43415-B
天主教會 天主教会	17-43504-B
天主的羔羊	17-43581-S
天主的羔羊 天主的羔羊	17-43581-B
天井	17-43663-S
天井 天井	17-43663-B
天亮	17-43745-S
天亮 天亮	17-43745-B
天伦之乐	17-43953-S
天体	17-54915-S
天体主义	17-54973-S
天体力学	17-55034-S
天体物理学	17-55108-S
天使	17-43790-S
天使 天使	17-43790-B
天使報喜節 天使报喜节	17-43830-B
天使报喜节	17-43830-S
天倫之樂 天伦之乐	17-43953-B
天兔座	17-44056-S
天兔座 天兔座	17-44056-B
天全	17-44122-S
天全 天全	17-44122-B
天冬氨酸	17-44189-S
天冬氨酸 天冬氨酸	17-44189-B
天冬苯丙二肽酯	17-44266-S
天冬苯丙二肽酯 天冬苯丙二肽酯	17-44266-B
天冬酰胺	17-44399-S
天冬酰胺 天冬酰胺	17-44399-B
天分	17-44473-S
天分 天分	17-44473-B
天前配	17-44527-S
天前配 天前配	17-44527-B
天台	17-44604-S
天台 天台	17-44604-B
天台县	17-44859-S
天台宗	17-44689-S
天台宗 天台宗	17-44689-B
天台山	17-44762-S
天台山 天台山	17-44762-B
天台縣 天台县	17-44859-B
天后	17-47037-S
天呀	17-44932-S
天呀 天呀	17-44932-B
天命	17-44986-S
天命 天命	17-44986-B
天哪	17-45068-S
天哪 天哪	17-45068-B
天国	17-45135-S
天國 天国	17-45135-B
天地	17-45187-S
天地 天地	17-45187-B
天地会	17-45247-S
天地會 天地会	17-45247-B
天坛	17-45385-S
天坛座	17-45449-S
天堂	17-45334-S
天堂 天堂	17-45334-B
天壇 天坛	17-45385-B
天壇座 天坛座	17-45449-B
天壤之別 天壤之别	17-45514-B
天壤之别	17-45514-S
天外來客 天外来客	17-45714-B
天外来客	17-45714-S
天天	17-45795-S
天天 天天	17-45795-B
天妇罗	17-45959-S
天妒英才	17-45840-S
天妒英才 天妒英才	17-45840-B
天婦羅 天妇罗	17-45959-B
天子	17-46030-S
天子 天子	17-46030-B
天孙娘娘	17-46138-S
天孫孃孃 天孙娘娘	17-46138-B
天安門 天安门	17-46219-B
天安門廣場 天安门广场	17-46282-B
天安门	17-46219-S
天安门广场	17-46282-S
天宫	17-46369-S
天宮 天宫	17-46369-B
天寒地冻	17-46448-S
天寒地凍 天寒地冻	17-46448-B
天山	17-46517-S
天山 天山	17-46517-B
天峨	17-46610-S
天峨 天峨	17-46610-B
天峻	17-46672-S
天峻 天峻	17-46672-B
天干	17-46737-S
天干 天干	17-46737-B
天平	17-46798-S
天平 天平	17-46798-B
天府	17-46858-S
天府 天府	17-46858-B
天府之国	17-46929-S
天府之國 天府之国	17-46929-B
天後 天后	17-47037-B
天性	17-47141-S
天性 天性	17-47141-B
天意	17-47183-S
天意 天意	17-47183-B
天才	17-47246-S
天才 天才	17-47246-B
天文	17-47315-S
天文 天文	17-47315-B
天文单位	17-47416-S
天文台	17-47359-S
天文台 天文台	17-47359-B
天文單位 天文单位	17-47416-B
天文学	17-47497-S
天文学大成	17-47552-S
天文学家	17-47644-S
天文學 天文学	17-47497-B
天文學大成 天文学大成	17-47552-B
天文學家 天文学家	17-47644-B
天方	17-47711-S
天方 天方	17-47711-B
天无绝人之路	17-50257-S
天时	17-47899-S
天时地利人和	17-48022-S
天明	17-47783-S
天明 天明	17-47783-B
天星码头	17-47823-S
天星碼頭 天星码头	17-47823-B
天時 天时	17-47899-B
天時地利人和 天时地利人和	17-48022-B
天晓得	17-48115-S
天曉得 天晓得	17-48115-B
天有不测风云	17-48173-S
天有不測風雲 天有不测风云	17-48173-B
天权	17-48787-S
天枢	17-48579-S
