奄 奄 [01\[ yǎn\]]	suddenly;to embrace
奸尸 奸尸 [01\[ jiān shī\]]	necrophilia
奸徒 奸徒 [01\[ jiān tú\]]	a crafty villain
奸惡 奸恶 [01\[ jiān è\]]	crafty and evil
奸民 奸民 [01\[ jiān mín\]]	a scoundrel;a villain
奸猾 奸猾 [01\[ jiān huá\]]	treacherous;crafty;deceitful
奸笑 奸笑 [01\[ jiān xiào\]]	evil smile;sinister smile
奸細 奸细 [01\[ jiān xì\]]	a spy;a crafty person
奸臣 奸臣 [01\[ jiān chén\]]	a treacherous court official;a minister who conspires against the state
奸詐 奸诈 [01\[ jiān zhà\]]	treachery;devious;a rogue
奸賊 奸贼 [01\[ jiān zéi\]]	a traitor;a treacherous bandit
奸邪 奸邪 [01\[ jiān xié\]]	crafty and evil;a treacherous villain
奸險 奸险 [01\[ jiān xiǎn\]]	malicious;treacherous;wicked and crafty
奸黨 奸党 [01\[ jiān dǎng\]]	a clique of traitors
她 她 [01\[ tā\]]	she
她們 她们 [01\[ tā men\]]	they;them (for females)
她瑪 她玛 [01\[ tā mǎ\]]	tamir (mother of perez and zerah)
她自己 她自己 [01\[ tā zì jǐ\]]	herself
奼紫嫣紅 姹紫嫣红 [01\[ chà zǐ yān hóng\]]	brilliant purples and reds;beautiful flowers
好 好 [01\[ hǎo\]]	good;well;proper;good to;easy to;very;so;(suffix indicating completion or readiness)
好 好 [01\[ hào\]]	to be fond of
好不好 好不好 [01\[ hǎo bu hǎo\]]	(coll.) all right?;ok?
好不容易 好不容易 [01\[ hǎo bù róng yì\]]	very difficult;after all the trouble
好久 好久 [01\[ hǎo jiǔ\]]	quite a while
好久不見 好久不见 [01\[ hǎo jiǔ bu jiàn\]]	long time no see
好事 好事 [01\[ hǎo shì\]]	good action
好些 好些 [01\[ hǎo xiē\]]	a good deal of;quite a lot
好似 好似 [01\[ hǎo sì\]]	to seem;to be like
好使 好使 [01\[ hǎo shǐ\]]	so that;in order to;easy to use
好像 好像 [01\[ hǎo xiàng\]]	as if;to seem like
好兵帥克 好兵帅克 [01\[ hǎo bīng shuài kè\]]	the good soldier švejk (schweik)
好半天 好半天 [01\[ hǎo bàn tiān\]]	most of the day
好受 好受 [01\[ hǎo shòu\]]	feeling better;to be more at ease
好吃 好吃 [01\[ hǎo chī\]]	tasty;delicious
好吃懶做 好吃懒做 [01\[ hào chī lǎn zuò\]]	lit. eats a lot but never works (成语 saw); fig. a parasite
好喝 好喝 [01\[ hǎo hē\]]	tasty (drinks)
好在 好在 [01\[ hǎo zài\]]	luckily;fortunately
好壞 好坏 [01\[ hǎo huài\]]	good and bad;advantageous and disadvantageous
好多 好多 [01\[ hǎo duō\]]	many;quite a lot;much better
好奇 好奇 [01\[ hào qí\]]	inquisitive;curious
好奇尚異 好奇尚异 [01\[ hào qí shàng yì\]]	liking what odd
好奇心 好奇心 [01\[ hào qí xīn\]]	interest in sth;curiosity;inquisitive
好好 好好 [01\[ hǎo hǎo\]]	good;nicely;properly
好好先生 好好先生 [01\[ hǎo hǎo xiān sheng\]]	mr goody-goody;yes-man (sb who agrees with anything)
好好兒 好好儿 [01\[ hǎo hǎo er\]]	in good condition;perfectly good;carefully;well;thoroughly
好學 好学 [01\[ hào xué\]]	eager to study;studious;erudite
好客 好客 [01\[ hào kè\]]	hospitality;to treat guests well;to enjoy having guests;hospitable;friendly
好容易 好容易 [01\[ hǎo róng yì\]]	with great difficulty;have a hard time
好幾 好几 [01\[ hǎo jǐ\]]	several;quite a few
好幾年 好几年 [01\[ hǎo jǐ nián\]]	several years
好心 好心 [01\[ hǎo xīn\]]	kindness;good intentions
好怕的 好怕的 [01\[ hǎo pà de\]]	worthy of being afraid of
好意 好意 [01\[ hǎo yì\]]	good intention;kindness
好感 好感 [01\[ hǎo gǎn\]]	good opinion;favorable impression
好戰 好战 [01\[ hào zhàn\]]	warlike
好朋友 好朋友 [01\[ hǎo péng you\]]	good friend
好望角 好望角 [01\[ hǎo wàng jiǎo\]]	cape of good hope
好樣的 好样的 [01\[ hǎo yàng de\]]	(idiom) a good person
好歹 好歹 [01\[ hǎo dǎi\]]	good and bad;most unfortunate occurence;in any case;whatever
好比 好比 [01\[ hǎo bǐ\]]	be just like;can be compared to
好氧 好氧 [01\[ hào yǎng\]]	aerobic
好漢 好汉 [01\[ hǎo hàn\]]	hero;strong and courageous person
好玩 好玩 [01\[ hǎo wán\]]	fun (to do)
好玩兒 好玩儿 [01\[ hǎo wán er\]]	interesting;delightful;amusing
好看 好看 [01\[ hǎo kàn\]]	good-looking
好睡 好睡 [01\[ hǎo shuì\]]	good night
好立克 好立克 [01\[ hǎo lì kè\]]	horlicks milk drink (popular in hong kong)
好笑 好笑 [01\[ hǎo xiào\]]	laughable;funny;ridiculous
好聽 好听 [01\[ hǎo tīng\]]	pleasant to hear
好色 好色 [01\[ hào sè\]]	to want sex;given to lust;lecherous;lascivious;horny
好色之徒 好色之徒 [01\[ hào sè zhī tú\]]	lecher;womanizer;dirty old man
好萊塢 好莱坞 [01\[ hǎo lái wù\]]	hollywood
好處 好处 [01\[ hǎo chu\]]	benefit;advantage
好記 好记 [01\[ hǎo jì\]]	easy to remember
好說 好说 [01\[ hǎo shuō\]]	(idiom) ok
好象 好象 [01\[ hǎo xiàng\]]	seem;be like
好轉 好转 [01\[ hǎo zhuǎn\]]	improve;take a turn for the better
好運 好运 [01\[ hǎo yùn\]]	good luck
好鬥 好斗 [01\[ hào dòu\]]	be warlike
妁 妁 [01\[ shuò\]]	matchmaker (see 媒妁|媒妁);surname suo
如 如 [01\[ rú\]]	as;as if;such as
如下 如下 [01\[ rú xià\]]	as follows
如今 如今 [01\[ rú jīn\]]	nowadays
如何 如何 [01\[ rú hé\]]	how;what way;what
如來 如来 [01\[ rú lái\]]	tathagata (buddha's name for himself
如出一轍 如出一辙 [01\[ rú chū yī zhé\]]	be precisely the same;be no different
如同 如同 [01\[ rú tóng\]]	like;as
如墮煙霧 如堕烟雾 [01\[ rú duò yān wù\]]	as if degenerating into smoke (成语 saw); ignorant and unable to see where things are heading
如實 如实 [01\[ rú shí\]]	as things really are;realistic
如意 如意 [01\[ rú yì\]]	as one wants;according to one's wishes
如期 如期 [01\[ rú qī\]]	as scheduled;on time;punctual
如東 如东 [01\[ rú dōng\]]	(n) rudong (place in jiangsu)
如果 如果 [01\[ rú guǒ\]]	if;in case;in the event that
如此 如此 [01\[ rú cǐ\]]	in this way;so
如火 如火 [01\[ rú huǒ\]]	fiery
如火如茶 如火如茶 [01\[ rú huǒ rú chá\]]	common erroneous version of 如火如荼 (tu2) (成语 saw)
如火如荼 如火如荼 [01\[ rú huǒ rú tú\]]	lit. white cogon flower like fire (成语 saw); fig. a mighty army like wildfire;daunting and vigorous (momentum);flourishing;magnificent
如畫 如画 [01\[ rú huà\]]	picturesque
如皋 如皋 [01\[ rú gāo\]]	(n) rugao (city in jiangsu)
如膠似漆 如胶似漆 [01\[ rú jiāo sì qī\]]	stuck together as by glue (of lovers);joined at the hip
如花 如花 [01\[ rú huā\]]	flowery
如若 如若 [01\[ rú ruò\]]	if
如草 如草 [01\[ rú cǎo\]]	grassy
如蟻附膻 如蚁附膻 [01\[ rú yǐ fù shān\]]	like ants pursuing a stink (成语 saw); the mob chases the rich and powerful;the crowd runs after trash
如蠅逐臭 如蝇逐臭 [01\[ rú yíng zhú chòu\]]	like flies pursuing a stink (成语 saw); the mob chases the rich and powerful;the crowd runs after trash
如醉如癡 如醉如痴 [01\[ rú zuì rú chī\]]	lit. as if drunk and stupefied (成语 saw); intoxicated by sth;obsessed with;mad about sth
如飢似渴 如饥似渴 [01\[ rú jī sì kě\]]	thirsting or hungering for sth
如魚得水 如鱼得水 [01\[ rú yú dé shuǐ\]]	like a fish back in water (成语 saw); glad to be back in one's proper surroundings
妃 妃 [01\[ fēi\]]	imperial concubine
妃嬪 妃嫔 [01\[ fēi pín\]]	imperial concubine
妄 妄 [01\[ wàng\]]	absurd;fantastic;presumptuous;rash
妄下雌黃 妄下雌黄 [01\[ wàng xià cí huáng\]]	to alter a text indiscriminately (成语 saw);to make irresponsible criticism
妄人 妄人 [01\[ wàng rén\]]	presumptious and ignorant person
妄動 妄动 [01\[ wàng dòng\]]	to rush indiscriminately into action
妄取 妄取 [01\[ wàng qǔ\]]	to take sth without permission
妄圖 妄图 [01\[ wàng tú\]]	to try in vain;futile attempt
妄念 妄念 [01\[ wàng niàn\]]	wild fantasy;unwarranted thought
妄想 妄想 [01\[ wàng xiǎng\]]	to attempt vainly;a vain attempt
妄想狂 妄想狂 [01\[ wàng xiǎng kuáng\]]	paranoia;megalomaniac
妄斷 妄断 [01\[ wàng duàn\]]	to jump to an unfounded conclusion
妄求 妄求 [01\[ wàng qiú\]]	inappropriate or presumptious demands
妄為 妄为 [01\[ wàng wéi\]]	to take rash action
妄生穿鑿 妄生穿凿 [01\[ wàng shēng chuān záo\]]	a forced analogy (成语 saw); to jump to an unwarranted conclusion
妄稱 妄称 [01\[ wàng chēng\]]	to make a false and unwarranted declaration
妄自尊大 妄自尊大 [01\[ wàng zì zūn dà\]]	ridiculous self-importance (成语 saw); arrogance
妄自菲薄 妄自菲薄 [01\[ wàng zì fēi bó\]]	to be unduly humble (成语 saw); to undervalue oneself;false modesty
妄言妄聽 妄言妄听 [01\[ wàng yán wàng tīng\]]	unwarranted talk the listener can take or leave (成语 saw); sth not to be taken too seriously
妄語 妄语 [01\[ wàng yǔ\]]	to tell lies;to talk nonsense
妄說 妄说 [01\[ wàng shuō\]]	to talk irresponsibly;ridiculous presumption talk
妊 妊 [01\[ rèn\]]	be pregnant
妊娠 妊娠 [01\[ rèn shēn\]]	pregnancy;gestation
妊娠試驗 妊娠试验 [01\[ rèn shēn shì yàn\]]	pregnancy test
妍 妍 [01\[ yán\]]	beautiful
妒 妒 [01\[ dù\]]	jealous
妒忌 妒忌 [01\[ dù jì\]]	jealous;jealousy
妒能害賢 妒能害贤 [01\[ dù néng hài xián\]]	jealous of the able
妓 妓 [01\[ jì\]]	prostitute
妓女 妓女 [01\[ jì nǚ\]]	prostitute;hooker
妓院 妓院 [01\[ jì yuàn\]]	brothel;whorehouse
妖 妖 [01\[ yāo\]]	goblin;witch;devil;bewitching;enchanting;monster;phantom;demon
妖人 妖人 [01\[ yāo rén\]]	magician;sorcerer
妖冶 妖冶 [01\[ yāo yě\]]	pretty and flirtatious
妖婦 妖妇 [01\[ yāo fù\]]	witch (esp. european)
妖媚 妖媚 [01\[ yāo mèi\]]	seductive
妖嬈 妖娆 [01\[ yāo rào\]]	enchanting
妖孽 妖孽 [01\[ yāo niè\]]	evildoer
妖怪 妖怪 [01\[ yāo guài\]]	monster;devil
妖物 妖物 [01\[ yāo wù\]]	monster
妖精 妖精 [01\[ yāo jing\]]	evil spirit;alluring woman
妖艷 妖艳 [01\[ yāo yàn\]]	pretty and flirtatious
妖術 妖术 [01\[ yāo shù\]]	sorcery
妖言 妖言 [01\[ yāo yán\]]	heresy
妖風 妖风 [01\[ yāo fēng\]]	evil wind
妖魔 妖魔 [01\[ yāo mó\]]	demon
妖魔鬼怪 妖魔鬼怪 [01\[ yāo mó guǐ guài\]]	demons and ghosts;ghoulies and bogeys;things that go bump in the night
妗 妗 [01\[ jìn\]]	wife of mother's brother
妗子 妗子 [01\[ jìn zi\]]	(informal) mother's brother's wife; maternal uncle's wife
妙 妙 [01\[ miào\]]	clever;wonderful
妙品 妙品 [01\[ miào pǐn\]]	a fine work of art
妙手 妙手 [01\[ miào shǒu\]]	miraculous hands of a healer;highly skilled person;brilliant move in chess or weiqi (go) 圍棋|围棋
妙手回春 妙手回春 [01\[ miào shǒu huí chūn\]]	magical hands bring the dying back to life (成语 saw); miracle cure;brilliant doctor
妙智慧 妙智慧 [01\[ miào zhì huì\]]	wondrous wisdom and knowledge (buddh.)
妙語如珠 妙语如珠 [01\[ miào yǔ rú zhū\]]	smart words like a string of pearl;scintillating witticisms
妙齡 妙龄 [01\[ miào líng\]]	puberty;nubile
妝 妆 [01\[ zhuāng\]]	adornment;adorn
妝飾 妆饰 [01\[ zhuāng shì\]]	to dress up
妞 妞 [01\[ niū\]]	little girl
妣 妣 [01\[ bǐ\]]	deceased mother
妤 妤 [01\[ yú\]]	handsome;fair
妥 妥 [01\[ tuǒ\]]	secure;sound
妥協 妥协 [01\[ tuǒ xié\]]	compromise
妥善 妥善 [01\[ tuǒ shàn\]]	appropriate;proper
妥壩 妥坝 [01\[ tuǒ bà\]]	(n) toba (place in tibet)
妥當 妥当 [01\[ tuǒ dàng\]]	appropriate;proper;ready
妨 妨 [01\[ fáng\]]	hinder;harm
妨害 妨害 [01\[ fáng hài\]]	to impair;damaging;harmful;a nuisance
妨礙 妨碍 [01\[ fáng ài\]]	hinder;obstruct
妨礙球 妨碍球 [01\[ fáng ài qiú\]]	stymie (golf)
妮 妮 [01\[ nī\]]	girl;phonetic ni (in girl's name)
妮子 妮子 [01\[ nī zi\]]	little girl
妯 妯 [01\[ zhóu\]]	wives of brothers
妯娌 妯娌 [01\[ zhóu lǐ\]]	sister-in-law
妲 妲 [01\[ dá\]]	concubine of last shang emperor
妳 妳 [01\[ nǐ\]]	you (fem.)
妵 妵 [01\[ tǒu\]]	(feminine name);beautiful;fair
妹 妹 [01\[ mèi\]]	younger sister
妹夫 妹夫 [01\[ mèi fu\]]	younger sister's husband
妹妹 妹妹 [01\[ mèi mei\]]	younger sister;fig. younger woman (esp. girl friend or rival)
妺 妺 [01\[ mò\]]	wife of the last ruler of the xia dynasty
妻 妻 [01\[ qī\]]	wife
妻 妻 [01\[ qì\]]	to marry off (a daughter)
妻妾 妻妾 [01\[ qī qiè\]]	wife or concubine
妻子 妻子 [01\[ qī zi\]]	wife
妻子管得嚴 妻子管得严 [01\[ qī zi guǎn dé yán\]]	hen-pecked male (esp. one obliged to forsake male friends)
妻管嚴 妻管严 [01\[ qī guǎn yán\]]	hen-pecked male (esp. one obliged to forsake male friends)
妾 妾 [01\[ qiè\]]	concubine
姁 姁 [01\[ xǔ\]]	chatter like old woman;cheerful
姅 姅 [01\[ bàn\]]	menstruation
姆 姆 [01\[ mǔ\]]	governess
姆巴巴納 姆巴巴纳 [01\[ mǔ bā bā nà\]]	mbabane (capital of swaziland)
姉 姉 [01\[ jiě\]]	japanese variant of 姐;older sister
姊 姊 [01\[ zǐ\]]	older sister
姊丈 姊丈 [01\[ zǐ zhàng\]]	older sister's husband
姊夫 姊夫 [01\[ zǐ fu\]]	older sister's husband
姊妹 姊妹 [01\[ zǐ mèi\]]	(older and younger) sisters
姊姊 姊姊 [01\[ zǐ zǐ\]]	older sister
姊歸縣 姊归县 [01\[ zǐ guī xiàn\]]	zigui county in hubei province
始 始 [01\[ shǐ\]]	begin
始作俑者 始作俑者 [01\[ shǐ zuò yǒng zhě\]]	lit. the first person to bury funerary dolls (成语 saw); fig. the originator of an evil practise (refers to mencius 孟子)
始新世 始新世 [01\[ shǐ xīn shì\]]	eocene (geological epoch from 55m-34m years ago)
始新統 始新统 [01\[ shǐ xīn tǒng\]]	eocene system (geol.
始末 始末 [01\[ shǐ mò\]]	whole story;the ins and outs
始祖 始祖 [01\[ shǐ zǔ\]]	primogenitor;founder of a school or trade
始祖鳥 始祖鸟 [01\[ shǐ zǔ niǎo\]]	archaeopteryx
始終 始终 [01\[ shǐ zhōng\]]	from beginning to end;all along
始終如一 始终如一 [01\[ shǐ zhōng rú yī\]]	unswerving from start to finish (成语 saw)
始興 始兴 [01\[ shǐ xīng\]]	shixing county level city in shaoguan 韶关
始興縣 始兴县 [01\[ shǐ xīng xiàn\]]	shixing county level city in shaoguan 韶关
姍 姗 [01\[ shān\]]	deprecate;lithe (of woman's walk)
姐 姐 [01\[ jiě\]]	older sister
姐夫 姐夫 [01\[ jiě fu\]]	(informal) older sister's husband
姐妹 姐妹 [01\[ jiě mèi\]]	sisters
姐妹倆 姐妹俩 [01\[ jiě mèi liǎ\]]	the sisters (short story)
姐姐 姐姐 [01\[ jiě jie\]]	older sister
姑 姑 [01\[ gū\]]	paternal aunt
姑丈 姑丈 [01\[ gū zhàng\]]	husband of paternal aunt
姑且 姑且 [01\[ gū qiě\]]	temporarily;the time being;for the moment;provisional;tentatively
姑夫 姑夫 [01\[ gū fu\]]	father's sister's husband; husband of paternal aunt; uncle
姑奶奶 姑奶奶 [01\[ gū nǎi nai\]]	(informal) father's father's sister; great aunt
姑姑 姑姑 [01\[ gū gu\]]	paternal aunt
姑娘 姑娘 [01\[ gū niang\]]	girl
姑媽 姑妈 [01\[ gū mā\]]	(coll.) father's married sister;paternal aunt
姑息 姑息 [01\[ gū xī\]]	excessively tolerant;to indulge;to appease
姑息遺患 姑息遗患 [01\[ gū xī yí huàn\]]	to tolerate is to abet
姑息養奸 姑息养奸 [01\[ gū xī yǎng jiān\]]	to tolerate is to nurture an evildoer (成语 saw); spare the rod and spoil the child
姑母 姑母 [01\[ gū mǔ\]]	father's sister; paternal aunt
姑父 姑父 [01\[ gū fu\]]	father's sister's husband; husband of paternal aunt; uncle
姑爺 姑爷 [01\[ gū yé\]]	father's father's sister's husband; paternal grandaunt's husband
姒 姒 [01\[ sì\]]	surname si;wife of older brother
姓 姓 [01\[ xìng\]]	family name;surname;name
姓名 姓名 [01\[ xìng míng\]]	name and surname
姓氏 姓氏 [01\[ xìng shì\]]	family name
委 委 [01\[ wēi\]]	same as 逶 in 逶迤 winding
委 委 [01\[ wěi\]]	give up;indeed;to commission
委任 委任 [01\[ wěi rèn\]]	appoint
委內瑞拉 委内瑞拉 [01\[ wěi nèi ruì lā\]]	venezuela
委內瑞拉馬腦炎病毒 委内瑞拉马脑炎病毒 [01\[ wěi nèi ruì lā mǎ nǎo yán bìng dú\]]	venezuelan equine encephalitis (vee) virus
委員 委员 [01\[ wěi yuán\]]	committee member;committee;council
委員會 委员会 [01\[ wěi yuán huì\]]	committee
委員會會議 委员会会议 [01\[ wěi yuán huì huì yì\]]	committee meeting
委員長 委员长 [01\[ wěi yuán zhǎng\]]	head of a committee
委外 委外 [01\[ wěi wài\]]	to outsource
委婉 委婉 [01\[ wěi wǎn\]]	tactful;euphemistic
委婉詞 委婉词 [01\[ wěi wǎn cí\]]	euphemism
委婉語 委婉语 [01\[ wěi wǎn yǔ\]]	euphemism
委屈 委屈 [01\[ wěi qū\]]	to feel wronged;to nurse a grievance;to cause sb to feel wronged
委托人 委托人 [01\[ wěi tuō rén\]]	trustor
委派 委派 [01\[ wěi pài\]]	to appoint
委託 委托 [01\[ wěi tuō\]]	entrust;trust
委靡 委靡 [01\[ wěi mǐ\]]	dispirited;depressed
姘 姘 [01\[ pīn\]]	be a mistress or lover
姚 姚 [01\[ yáo\]]	handsome;good-looking
姚 姚 [01\[ yáo\]]	surname yao
姚安 姚安 [01\[ yáo ān\]]	(n) yao'an (place in yunnan)
姚思廉 姚思廉 [01\[ yáo sī lián\]]	yao silian (557-637)
姚文元 姚文元 [01\[ yáo wén yuán\]]	yao wenyuan (1931-2005)
姚明 姚明 [01\[ yáo míng\]]	yao ming (chinese nba star player)
姚濱 姚滨 [01\[ yáo bīn\]]	yao bin (1957-)
姚雪垠 姚雪垠 [01\[ yáo xuě yín\]]	yao xueyin (1910-1999)
姜文 姜文 [01\[ jiāng wén\]]	jiang wen
姝 姝 [01\[ shū\]]	pretty woman
姞 姞 [01\[ jí\]]	surname ji
姣 姣 [01\[ jiāo\]]	surname jiao;cunning;pretty
姤 姤 [01\[ gòu\]]	copulate;good
姥 姥 [01\[ lǎo\]]	grandma (maternal)
姥 姥 [01\[ mǔ\]]	governess;old woman
姥姥 姥姥 [01\[ lǎo lao\]]	(informal) mother's mother;maternal grandmother
姥爺 姥爷 [01\[ lǎo ye\]]	maternal grandfather
姥爺 姥爷 [01\[ mǔ yé\]]	mother's father
姦 奸 [01\[ jiān\]]	adultery
姦情 奸情 [01\[ jiān qíng\]]	adultery
姦污 奸污 [01\[ jiān wū\]]	to rape;to seduce (by deceipt);to deflower
姦淫 奸淫 [01\[ jiān yín\]]	fornication;adultery;rape;seduction
姦雄 奸雄 [01\[ jiān xióng\]]	person who seeks advancement by any means;career climber;unscrupulous careerist
姨 姨 [01\[ yí\]]	mother's sister;aunt
姨丈 姨丈 [01\[ yí zhàng\]]	mother's sister's husband; husband of mother's sister
姨夫 姨夫 [01\[ yí fu\]]	mother's sister's husband; husband of mother's sister
姨妹 姨妹 [01\[ yí mèi\]]	wife's younger sister; sister-in-law
姨姐 姨姐 [01\[ yí jiě\]]	wife's elder sister; sister-in-law
姨姥姥 姨姥姥 [01\[ yí lǎo lao\]]	mother's mother's sister; great-aunt
姨媽 姨妈 [01\[ yí mā\]]	(informal) mother's sister; maternal aunt
姨母 姨母 [01\[ yí mǔ\]]	mother's sister; maternal aunt
姨父 姨父 [01\[ yí fu\]]	mother's sister's husband; husband of mother's sister
姨甥男女 姨甥男女 [01\[ yí sheng nán nǚ\]]	wife's sister's children
姪 侄 [01\[ zhí\]]	nephew by the male line
姪女 侄女 [01\[ zhí nǚ\]]	niece;brother's daughter
姪女婿 侄女婿 [01\[ zhí nǚ xu\]]	brother's daughter's husband; niece's husband
姪子 侄子 [01\[ zhí zi\]]	brother's son or daughter;nephew
姫 姫 [01\[ jī\]]	japanese variant of 姬;princess;imperial concubine
姬 姬 [01\[ jī\]]	surname ji;women
姮 姮 [01\[ héng\]]	the lady in the moon
姱 姱 [01\[ kuā\]]	fascinating;pretty
姺 姺 [01\[ xiǎn\]]	name of an ancient state
姻 姻 [01\[ yīn\]]	marriage connections
姻親 姻亲 [01\[ yīn qīn\]]	affinity;in-laws
姽 姽 [01\[ guǐ\]]	quiet and nice
姿 姿 [01\[ zī\]]	beauty;disposition;looks;appearance
姿勢 姿势 [01\[ zī shì\]]	posture;position
姿容 姿容 [01\[ zī róng\]]	looks;appearance
姿態 姿态 [01\[ zī tài\]]	attitude;posture;stance
姿色 姿色 [01\[ zī sè\]]	good looking
娀 娀 [01\[ sōng\]]	name of an ancient state
威 威 [01\[ wēi\]]	power;might;prestige
威信 威信 [01\[ wēi xìn\]]	prestige;reputation;trust;credit with the people
威信掃地 威信扫地 [01\[ wēi xìn sǎo dì\]]	to lose every scrap of reputation
威信縣 威信县 [01\[ wēi xìn xiàn\]]	(n) weixin county (county in guizhou)
威儀 威仪 [01\[ wēi yí\]]	majestic presence;awe-inspiring manner
威利 威利 [01\[ wēi lì\]]	wylie (name);turrell wylie
威利斯 威利斯 [01\[ wēi lì sī\]]	willis (name)
威利誘 威利诱 [01\[ wēi lì yòu\]]	intimidation then bribery
威力 威力 [01\[ wēi lì\]]	might;formidable power
威勢 威势 [01\[ wēi shì\]]	might;power and influence
威厲 威厉 [01\[ wēi lì\]]	awe-inspiring;majestic
威名 威名 [01\[ wēi míng\]]	fame for fighting prowess;military glory
威嚇 威吓 [01\[ wēi hè\]]	to threaten
威嚴 威严 [01\[ wēi yán\]]	dignified;imposing;august;awe-inspiring;awe;prestige;dignity
威士 威士 [01\[ wēi shì\]]	visa (credit card)
威士忌 威士忌 [01\[ wēi shì jì\]]	whisky
威士忌酒 威士忌酒 [01\[ wēi shì jì jiǔ\]]	whisky
威奇托 威奇托 [01\[ wēi qí tuō\]]	wichita (city in kansas)
威妥瑪 威妥玛 [01\[ wēi tuǒ mǎ\]]	herbert allen giles (1845-1935)
威妥瑪拼法 威妥玛拼法 [01\[ wēi tuǒ mǎ pīn fǎ\]]	wade-giles system (romanization of chinese)
威妥瑪拼音 威妥玛拼音 [01\[ wēi tuǒ mǎ pīn yīn\]]	wade-giles system (romanization of chinese)
威客 威客 [01\[ wēi kè\]]	witkey
威容 威容 [01\[ wēi róng\]]	grave and dignified
威尊命賤 威尊命贱 [01\[ wēi zūn mìng jiàn\]]	orders weightier than life
威尼斯 威尼斯 [01\[ wēi ní sī\]]	venice;venezia
威尼斯商人 威尼斯商人 [01\[ wēi ní sī shāng rén\]]	the merchant of venice by william shakespeare
威州鎮 威州镇 [01\[ wēi zhōu zhèn\]]	weizhou town
威廉 威廉 [01\[ wēi lián\]]	william or wilhelm (name)
威廉・福克納 威廉・福克纳 [01\[ wēi lián · fú kè nà\]]	william faulkner (1897-1962)
威廉・莎士比亞 威廉・莎士比亚 [01\[ wēi lián · shā shì bǐ yà\]]	william shakespeare (1564-1616)
威廉斯堡 威廉斯堡 [01\[ wēi lián sī bǎo\]]	williamsburg (virginia)
威德 威德 [01\[ wēi dé\]]	powerful benevolent rule
威懾 威慑 [01\[ wēi shè\]]	to cower by military force;deterrence
威斯康星 威斯康星 [01\[ wēi sī kāng xīng\]]	wisconsin
威斯康星州 威斯康星州 [01\[ wēi sī kāng xīng zhōu\]]	wisconsin
威望 威望 [01\[ wēi wàng\]]	prestige
威武 威武 [01\[ wēi wǔ\]]	might;formidable
威武不屈 威武不屈 [01\[ wēi wǔ bù qū\]]	not to submit to force
威氏註音法 威氏注音法 [01\[ wēi shì zhù yīn fǎ\]]	wade-giles transliteration scheme for chinese (with p for unaspirated pinyin b and p' for aspirated pinyin p etc)
威海 威海 [01\[ wēi hǎi\]]	weihai prefecture level city in shandong
威海市 威海市 [01\[ wēi hǎi shì\]]	weihai prefecture level city in shandong
威海衛 威海卫 [01\[ wēi hǎi wèi\]]	weihaiwei
威烈 威烈 [01\[ wēi liè\]]	fierce;formidable
威爾士 威尔士 [01\[ wēi ěr shì\]]	wales
威爾士語 威尔士语 [01\[ wēi ěr shì yǔ\]]	welsh (language)
威爾特郡 威尔特郡 [01\[ wēi ěr tè jùn\]]	wiltshire (english county)
威爾遜 威尔逊 [01\[ wēi ěr xùn\]]	wilson (person name)
威猛 威猛 [01\[ wēi měng\]]	bold and powerful
威瑪拼法 威玛拼法 [01\[ wēi mǎ pīn fǎ\]]	wade-giles system (romanization of chinese)
威瑪拼音 威玛拼音 [01\[ wēi mǎ pīn yīn\]]	wade-giles system (romanization of chinese)
威福自己 威福自己 [01\[ wēi fú zì jǐ\]]	to abuse power;conflict of interest;power to judge as tyrant over one's own case
威縣 威县 [01\[ wēi xiàn\]]	(n) wei county (county in hebei)
威脅 威胁 [01\[ wēi xié\]]	to threaten;to menace
威迫 威迫 [01\[ wēi pò\]]	coercion;to intimidate
威逼 威逼 [01\[ wēi bī\]]	to threaten;to coerce;to intimidate
威逼利誘 威逼利诱 [01\[ wēi bī lì yòu\]]	to threaten and bribe;to beat with a stick but offer a carrot
威遠 威远 [01\[ wēi yuǎn\]]	(n) weiyuan (place in sichuan)
威重 威重 [01\[ wēi zhòng\]]	august;majestic
威震天下 威震天下 [01\[ wēi zhèn tiān xià\]]	formidable renown gives one authority over the whole country
威靈 威灵 [01\[ wēi líng\]]	authority;prestige;supernatural spirit
威靈頓 威灵顿 [01\[ wēi líng dùn\]]	wellington (name);arthur wellesley
威顯 威显 [01\[ wēi xiǎn\]]	awe-inspiring;power
威風 威风 [01\[ wēi fēng\]]	might;awe-inspiring authority;impressive
威風凜凜 威风凛凛 [01\[ wēi fēng lǐn lǐn\]]	majestic;awe-inspiring presence;impressive power
威駭 威骇 [01\[ wēi hài\]]	to intimidate
威鳳一羽 威凤一羽 [01\[ wēi fèng yī yǔ\]]	lit. one phoenix feather; fig. a glimpse that reveals the whole
娃 娃 [01\[ wá\]]	baby;doll
娃娃 娃娃 [01\[ wá wa\]]	baby;small child;doll
娃娃生 娃娃生 [01\[ wá wa shēng\]]	infant's part in opera
娃娃臉 娃娃脸 [01\[ wá wa liǎn\]]	baby face;doll face
娃娃親 娃娃亲 [01\[ wá wa qīn\]]	arranged betrothal of minors
娃娃車 娃娃车 [01\[ wá wa chē\]]	baby transport;stroller;baby carriage
娃娃魚 娃娃鱼 [01\[ wá wa yú\]]	chinese giant salamander (andrias davidianus)
