of a similar kind	29-39202-B
of choking 成语 saw	14-59606-S
of choreographed fights from opera and film recent usage	35-48337-S
of christ	51-52911-S
of christian god	65-34940-S
of chromosome	33-43328-S
of chronicles	35-51416-S,35-51497-S
of chu	34-30346-S
of chu hist 	34-30288-S
of chu reigned 613 591 bc	34-30497-S
of chu 成语 saw	14-54038-S
of ci poems tunes 1795	44-49050-S
of cicada	58-13857-S
of circle	15-23575-S
of city	35-11248-S,66-39474-S
of city administration	56-55784-S,57-1358-S
of civil affairs mca of the prc	36-20781-S
of civil affairs mca 民政部	36-20646-S
of civil affairs 民政部	29-64721-S
of civil aviation of china caac	2-60533-S
of civilization	30-28571-S
of class myxini	45-20225-S
of classes or grades at school	42-47210-S
of classic text	63-53564-S
of classic texts	32-12663-S
of classic texts including interpretation	57-64936-S
of classical chinese	4-21551-S,7-25508-S,22-44181-S
of classical chinese back to the han	39-49187-S
of classical chinese phonetics	14-52391-S
of classical chinese 成语 saw	3-10530-S
of classical novels	71-56194-S
of classical texts such as the confucian six classics 六經 六经	4-22245-S
of clay or concrete	15-30371-S
of cliffs etc stand like a wall	16-31739-B
of climbing plants	29-32105-S
of clock	14-202-S
of close family members	70-6586-S
of cloth	16-14150-S,30-35637-S,44-1315-S,48-22205-S,49-48008-S,49-48071-S,64-38018-S
of cloth for food	50-55243-S
of cloth used for foot binding	57-3618-S
of clothes	1-21496-S,18-9338-S,18-10211-S,28-61432-S,57-10590-S,71-15415-S
of clothing	1-17545-S
of clothing from shoulders to bottom tailor or dressmaker s measure	60-57453-S
of cloud	27-15528-S
of cloud forming or rising	39-6611-B
of clouds	39-25605-S,67-46033-S,67-46197-S
of club or group	51-56167-S
of cluster bomb	20-63938-S
of coal miners	71-32451-S
of cocaine	12-3012-S,12-3075-S
of coffee	14-38913-S
of cog wheel	61-16958-S
of coin without words	64-57138-S
of coins	50-18858-S,64-58861-S
of cold	26-39060-S,26-41706-S
of coleoptera beetle	68-7667-S
of collapse 成语 saw	17-17175-S
of collection of movies	23-53009-S
of college	2-72350-S
of colombia	37-37851-S
of colonial administration	69-15315-S
of colorado river	17-16486-S
of colored garlands	53-55691-S
of colors	45-18895-S
of column	35-17110-S
of combinations	3-43814-S
of command	1-63552-S,49-51703-S,60-64176-S
of command used in drilling troops or gymnasts	11-67353-S
of commemoration	49-2968-S
of comments	11-68401-S
of commerce	13-58275-S,13-59598-S
of commerce icc	15-15843-S
of commodities	9-58566-S
of commodity	31-65287-S
of common people	55-14623-S
of common people in highbrow literature	23-892-S
of communications	4-195-S,59-53236-S
of communications equipment	3-46558-S
of communist party	50-33628-S
of communist party or guomindang	2-65966-S
of communist russia around 1930 and china in the 1950s	4-11991-S
of comoros	47-19069-S,54-26074-S
of company	8-53548-S,47-63937-S
of company or school etc	65-31719-S
of complacency	24-7914-S,24-8132-S
of complaint	24-64092-S,27-2096-S
of complaint fill the roads 成语 saw	24-63809-S,24-64159-S
of complaints 成语 saw	39-40576-S
of components	26-11229-S
of compulsory registration	26-24601-S,26-24682-S
of computer games	42-39068-S
of computer virus	32-55576-S,60-37876-S
of concourse	55-35479-S
of concubine	28-18754-S
of confucian scholars	4-22577-S,4-22670-S
of confucianism	3-50070-S
of confucianism namely the book of songs 詩經 诗经	3-52990-S
of confucius	13-14488-S,19-3063-S,19-3409-S,51-44640-S,58-43951-S,58-44530-S
of confucius and his disciples	19-2811-S
of confucius and mencius	19-2968-S
of confucius descendants at qufu 曲阜	56-36026-S
of confucius in shandong	63-25009-S
of congo	9-28042-S,22-15427-S
of congratulation	59-50245-S
of congratulations	6-4334-S
of congress	15-9487-S
of conscience	53-41305-S
of conscience 成语 saw	14-11780-S,14-13190-S
of consciousness in literature	25-30422-S
of conservation of energy	52-28344-S
of consideration	4-27069-S
of conspiracy to overthrow the government	66-25115-S
of conspiring to overthrow the state	41-11202-S,68-46789-S
of constantinople	51-49957-S
of constellation	18-5294-S
of consumption	38-31815-S
of contacting used on letterhead or website	51-62794-S
of contagious disease	38-5812-S
of contempt	13-48609-S
of content	55-50714-S
of contents	45-14704-S,45-19087-S,48-32097-S
of context	30-59714-S
of continental shelf	17-38967-S,66-32884-S
of continents colliding	46-30985-S
of contraband	47-13422-S
of contract	36-2870-S
of contract and good faith	62-55804-S
of contract or law	34-14552-S
of contrast	20-51591-S
of control	17-65411-S,52-34694-S,52-34788-S
of cooked rice	69-14675-S
of cooperation	12-47100-S
of coordinates	11-35885-S
of coordinates geom 	22-64710-S
of copies	64-34045-S
of corn	10-17796-S
of corruption	52-37468-S
of cosmological scheme	17-59378-S
of cote d ivoire	47-20410-S
of cotton	65-41197-S
of cotton tree	29-31639-S
of council	22-30269-S,42-53495-S
of counter revolutionaries esp stalin s purges of the 1930 and mao s purges 1955 57	52-3407-S
of counter revolutionary elements esp stalin s purges of the 1930 and mao s purges 1955 57	52-2900-S,52-3086-S
of counting e g decimal or roman numbers	30-23031-S
of country	10-55868-S,15-3299-S,25-33157-S
of county in xinjiang from early 20th century now called wuqia 烏恰縣 乌恰县	40-38909-S,40-39084-S
of course	14-64047-B,17-52669-S,32-61123-B,42-55266-B,43-67747-B,63-16706-S
of court settlement	23-415-S
of courtesan li wa	33-1707-S
of cow	42-1949-S
of cows	5-55692-S,5-55748-S
of crab	56-13246-S
of craft and cunning	58-15062-S
of cranes etc	14-33261-S
of crashing	46-15907-S
of creativity in scientific or artistic endeavor	67-51656-S
of credibility	12-11398-S
of credit	5-45584-S
of cremated buddha	5-4785-S
of crew	19-44221-S
of crime	28-11342-S,37-60655-S,40-60478-S
of crimes	40-53106-S
of criminals	23-31361-S
of croatia	7-17670-S,32-67783-S
of crops	5-60465-S,28-47010-S
of crops or fertilizer	69-10666-S
of crops to preserve fertility of soil	61-15534-S
of cross beams	34-1224-S
of crusaders	10-46347-S
of crustacean etc	45-49507-S
of crying	13-36353-S
of crystallization	49-41612-S
of crystalloids by osmosis	62-889-S
of cuba	12-1836-S,13-39534-S
of cultural heritage	15-5463-S,15-5708-S
of cultural heritage sach	15-5591-S
of culture	41-12973-S
of culture japanese monbushō	30-31290-S
of cups of wine between bride and groom as traditional wedding ceremony	3-70313-S
of currency	15-58824-S,16-4968-S,31-5265-S,31-6317-S,31-6382-S,68-11832-S
of current conventions	62-57612-S
of current dynasty as the name of china	15-12932-S
of curve	23-34097-S,23-35628-S
of curves	32-5789-S
of customs gac	38-25793-S
of cyprus	21-14177-S
of czech republic	22-15522-S
of czechoslovakia	28-9027-S
of daily study	31-11006-S
of dalian city 大連市 大连市	30-69383-S,30-69479-S,30-69578-S
of damage spot	55-48777-S
of dancers at sacrifices	5-12714-S
of dancing	60-54195-S
of danger	10-9467-S
of daniel	4-64611-S
of dao	62-50632-S
of dao by laozi or lao tze	62-50958-S
of daoism	62-50334-S,62-51263-S
of daoist immortal	51-15546-S
of daoist immortal etc	45-41433-S
of dashing waves	38-43038-S,39-53622-S
of data	30-28212-S,58-30682-S,59-51381-S,67-28243-S
of date customs	53-28827-S
of dawn	32-3757-S
of day	4-4679-S,7-48398-S,16-11024-S,32-3723-S
of day o clock	71-42498-S
of day or night	37-9689-S
of day 成语 saw	7-7890-S
of days later	17-47037-S
of dead animal	52-19427-S
of deadly mushrooms	70-56843-S
of death	2-27717-S,35-57059-S,35-57993-S,52-58825-S,55-28626-S
of death and rebirth buddh 	61-15889-S
of death cf irish banshee	14-13628-S,14-13737-S
of death etc	69-58223-S
of death of jewish and islamic mythology	35-58882-S
of debate	61-38651-S
of debauchery	41-25531-S
of debt	1-41581-S,6-32131-S
of debt 成语 saw	6-42943-S,6-43218-S
of debts	62-34113-S
of deceased	58-46879-S
of deceased father	47-9607-S
of deceased s partner	66-23279-S
of deceit	14-15797-S
of december 1937	10-66315-S,10-66418-S
of decorum	38-50649-S
of deduction in logic	35-54869-S,35-54975-S,35-55082-S
of deep set eyes	45-46604-S
of defeat	61-24800-S
of defense	16-7311-S
of degree	23-65615-S
of degree one	1-12576-S
of degree two	3-36612-S
of degrees of freedom	53-10707-S
of deities	16-60770-S,16-60861-S
of delirium	61-54878-S
of demise	40-14540-S
of democracy	36-21738-S
of demons	66-17042-S
of denmark	13-43355-S
of denunciation acc to lu xun s 鲁迅 鲁迅 classification	59-4184-S
of departure	52-62115-S,61-49559-S
of depth	39-55924-S
of depth of accumulated experience	59-52274-S
of deputies	45-53811-S
of descent	47-33655-S
of desire 成语 saw	25-53101-S
of desperation	25-13645-S
of desperation 成语 saw	25-13805-S
of deutsch	24-26292-S
of devastation	25-46843-S,25-46988-S
of development	37-27875-S,44-32966-S,60-43346-S,63-55178-S
of devilish tricks and cunning stratagems 成语 saw	70-32107-S
of devils	70-36115-S
of dharma in buddhism	37-32346-S
of difference	8-57572-S,11-50697-S
of difference between them	17-45514-S
of differences slope of a line in coordinate geometry	21-64312-S
of different generations	12-46353-S
of different populations or races	67-4478-S
of different skills	67-3542-S
of different species	43-62406-S
of difficulties	57-50096-S,61-44692-S
of difficulties and dangers	2-35581-S
of dike	37-599-S
of dip inclination of a geological plane down from horizontal	6-49185-S
of diphthong i e the first vowel i	68-18585-S
of diplomatic relations etc	35-36149-S
of direct admonition	58-43613-S
of direction	61-21855-S
of directions	58-32304-S
of directors	54-59134-S
of disappointments and dashed hopes	15-49273-S
of disapproval	14-36186-S
of discipline	62-58120-S
of discontinuity	2-34156-S
of discrimination	61-35714-S
of discrimination against women	38-33701-S
of discussion	54-26244-S,57-63554-S,58-16323-S,58-28031-S,58-44995-S,59-3943-S
of disease	11-66913-S,44-9099-S,44-9492-S,44-12038-S
of disgust	14-30023-S
of dislike	18-58779-S
of disparity	48-18293-S
of displeasure	14-34262-S,44-27270-S
of displeasure at an actor	14-10110-S
of dissatisfaction bitterness	8-22659-S
of dissident writer	9-42526-S
of dissipation	20-45428-S
of dissolved material in a solution	40-6892-S
of distance	54-36406-S
of distance equal to 10 丈 zhang1	23-27332-S
of distance equal to one thirtieth km or 33 33 meters	22-12856-S
of distinguished guest honor my house firm etc with your presence	59-50427-B
of distinguished people or exquisite objects	55-20807-S
of district in anhui	4-5067-S
of district in shandong	63-31138-S
of divergence	8-57572-S
of dividend payment	44-33563-S
of division	8-60254-S
of doctrine	63-53635-S
of document	17-65573-S,48-40660-S,48-40744-S
of documents in various styles	21-7406-S,32-11996-S
of dog	22-3635-S,42-17485-S
of doggerel	68-22611-S
of dogs	42-9419-S
of doing	40-51147-S
of doing something or happening	35-34678-S
of doing sth	5-7796-S,15-33424-S,26-34465-S,40-60156-S,42-38323-S,47-59321-S,47-59417-S,61-35415-S,65-23923-S,66-48317-S
of doing sth 成语 saw	4-27069-S
of doing things	5-60574-S,6-15265-S,61-68194-S,68-54503-S
of domestic animal	41-54542-S
of domestic animals	5-54212-S,41-55645-S
of dominica	50-61435-S
of dominican republic	51-45668-S
of doom	40-39840-S
of door	60-11780-S,64-21294-S
of door or screen	26-31022-S
of doubts and suspicions	44-5095-S
of downtown tokyo	39-5771-S
of dragon	69-1596-S
of drama	2-66747-S
of draught animals	28-535-S,69-63225-S
of drawing or writing	48-15845-S
of dreams	17-3321-S
of dress	26-44346-S,47-51740-S,57-12516-S
of dressing	26-44346-S
of drink	57-52500-S
of drug to lessen allergic symptoms	27-6674-S
of drugs	32-44150-S
of drum	71-49280-S
of drums	64-57100-S,66-37246-S,69-51339-S
of drums and bells	64-50419-S
of dubious authenticity	6-24369-S
of dubious background	5-19626-B
of duck soup	69-32896-S
of ducks	60-52323-S
of duet	20-51459-S
of dujiangyan 都江堰	33-1172-S
of duke mu of qin 秦穆公	42-29584-S
of dust	11-26205-S,16-22900-S
of duty	17-66856-S,35-60677-S,42-26465-S,42-39437-S
of dvd	51-22413-S
of dynastic fortunes	48-43821-S
of dynasties	28-45850-S,29-44610-S,71-47457-S
of dynasty or decade	22-50252-S
of dá 達 达	60-52605-S
of each lunar month	32-44830-S,32-46281-S
of each month	32-27406-S
of each succeeding chinese dynasty starting with the zhou	66-55268-S
of early chinese and babylonian time keeping and astronomy	10-43224-S
of early chinese communists	51-57935-S
of early tang	13-50280-S
of earth	15-43596-S,15-54171-S,16-14150-S
of earth and grain	46-50228-S
of earth and rocks as opposed to waterproof dam of clay or concrete	15-30371-S
of earth in beijing	15-40103-S
of earth on a dike ready for emergency repairs	15-31540-S
of earth to keep wine jars	50-50403-S
of earthquake	67-40388-S,67-40460-S
of earthquake on magnitude scale	67-40657-S
of earthquakes	15-45894-S
of ease	49-17066-S
of east asia	33-14590-S
of east guangxi through guilin 桂林	39-45219-S
of east hungary on the border with ukraine	59-24526-S
of east myanmar burma	29-10461-S,29-10531-S
of east timor	22-25011-S
of eastern france and extending into switzerland	5-21303-S
of eastern han	33-21377-S,33-21496-S
of eastern han later han	24-542-S
of eating	35-24732-S,69-5104-S
of ecclesiastes	6-41969-S
of economic indicator	29-52443-S
of ecuador	15-67983-S
of eden	4-50984-S
of education	10-26451-S,30-5107-S,65-31013-S
of education formal title	28-38624-S
of education hist 	12-24084-S
of effective concentration in virology or chemical pathology	29-61917-S,29-62035-S
of eggs of mantis	56-13505-S
of eggs 成语 saw	3-29733-S,11-22330-S
of egypt	37-35395-S,49-15882-S,65-40380-S
of eight different materials metal 金	7-53598-S
of eight major industrialized nations	7-50293-S
of eight trigram	7-66489-S
of el salvador	51-50788-S
of elasticity	23-48449-S
of eleazar	69-32000-S
of election	63-124-S,64-2746-S
of electric charge or current	67-38289-S
of electric power	10-49579-S,43-11325-S
of electrical and electronic engineers	67-31416-S
of electrical impedance	65-63890-S
of electricity	67-25703-S,67-29702-S
of electronic science and technology of china	67-28548-S
of electrons	6-53762-S,67-28425-S
of electrons in vaccuum tube	30-8650-S
of electrostatic forces	22-65442-S
of eliakim and father of zadok in matthew 1 13 14	3-59195-S
of eluid	4-36212-S
of elves	48-59209-S
of embarassment 成语 saw	46-43048-S
of emergency	13-9076-S,50-14610-S
of emerging talent	9-1993-S,9-1993-S
of emotion	61-5047-S,69-7394-S
of emotion or regret	25-41585-S
of emotions	26-67216-S,39-38483-S,52-24706-S,57-10692-S,57-10987-S
of emperor	12-58601-S,22-24906-S,23-7306-S,32-48900-S,44-59701-S,57-38946-S
of emperor s reign	6-61963-S
of emperor yongle 永樂 永乐	32-68872-S
of emperors and kings	3-14932-S
of emperors or one s elders	63-7483-S
of endearement	42-29480-S
of endearment	16-34747-S,25-15620-S,25-37164-S,31-38520-S,58-41353-S
of endearment between spouses	11-28303-S
of enduring	51-35742-S
of enemies cannot live under the same sky	1-70704-B
of enemy heads cut off	35-44408-S
of enemy or malefactor	17-31513-S
of energy	48-55736-S,52-28261-S,52-28344-S
of energy doe	51-4964-S
of energy equal to 1 6 x 10 10 joules	12-42013-S
of energy equal to 1 6 x 10 13 joules	7-1130-S
of energy in mechanics	7-30886-S
of energy used in particle physics	67-27377-S
of enfeoffment	8-51708-S
of engineering	2-58212-S
of england	54-3723-S
of english as a foreign language	26-52269-S
of enlightenment associated with a bodhisattva	54-31284-S,62-50006-S,64-7828-S
of enlightenment usually buddhist	68-32536-S
of enthusiasm	39-40439-S,48-55736-S
of environmental protection	43-4612-S
of equal pressure	48-18216-S
of equal pressure gradient	48-19315-S
of equal rank	13-28185-S
of equal value	48-17746-B
of equations	30-63743-S
of equatorial guinea	69-38157-S
of equilibrium	22-44837-S
of equipment	50-1124-S
of error or crime	19-45219-S
of erudition	28-13280-S
of escaping laughter	14-34345-S
of essay column in beijing newspaper from 1961 1966	1-33639-S
of esther	4-37688-S
of estonia	16-17675-S
of eternal love	21-31808-S,38-24136-S,45-7227-S
of ethics	47-8549-S,62-50334-S
of ethiopia	3-62191-S
of ethnic studies	36-21238-S
of etiquette	17-64596-S
of eu	61-15456-S
of europe and the world in premodern japan	55-44758-S
of european union	35-30519-S
of evaporation	55-2030-S
of event or incident	42-49816-S
of events	25-7961-S,27-62952-S,27-63320-S,41-8490-S,57-65805-S,57-67436-S,58-32879-S,59-45581-S,61-24036-S,62-47815-S,69-63638-S
of events brings forth the hero	31-39692-S
of events inscribed on a tablet	46-28644-S
of events not too encouraging	2-4089-S
of every description	12-57366-S
of every description 成语 saw	10-48569-S,18-585-S
of every opportunity	57-30307-S
of every second and every inch	57-30450-S
of everybody	43-67915-S
of everyday use	31-10636-B
of everyone	17-17661-S
of everyone in a captured city	21-23528-S
of everything	2-36562-S,67-3542-S,68-3940-S
of everything concerning a job	10-18620-S
of everything that needs to be thought of	24-36427-S
of evidence in legal proof	58-60721-S
of evil	19-19945-S,34-32591-S,34-32662-S,40-53009-S,63-18711-S
of evil doers mill around like wild beasts	42-9857-S
of evil former regime	69-15315-S
of evolution	62-29197-S
of evolution early translation	17-49991-S
of examination	25-61307-S
of exceptional charm	9-3784-S
of exchange	10-38943-S,36-9438-S,59-48250-S
of exchange rate	27-56517-S
of excitement	53-23892-S
of excitement 成语 saw	41-20457-S
of execution	8-64451-S,50-22791-S
of exhaustion an early form of integral calculus	47-57465-S
of existing elements	32-23505-S,32-23744-S
of expectations	2-23381-S
of exploration and foreign relations	35-61026-S
of exploratory discussions	63-48930-S
of extraordinary things	40-49341-S
of extravagance	28-15753-S
of extreme suffering	56-26909-S
of exultation	45-36947-S
of eye	45-52014-S,45-60212-S
of eye near temple	45-49619-S
of eyes	45-35031-S,45-51872-S,45-62042-S
of ezekiel	4-38766-S
of ezekiel 以西結書 以西结书	31-33426-S
of ezra	4-37755-S
of face	2-45918-S,52-52259-S,68-1801-S,68-2287-S
of facial makeup in operas	52-52598-S
of fact	3-30175-S,20-15802-S
of factory waste etc	28-17213-S
of faith	5-45123-S
of fame	62-49170-S
of family finance	19-62906-S
of family members	34-15935-S,70-6514-S
of family names	44-52743-S
of family petromyzontidae	1-29215-S,7-52149-S
of famine	7-1552-S,69-14036-S,69-14261-S,69-14376-S
of famine or crop failure	69-19490-S
of famous artist	45-44935-S
of famous men	12-53708-S
of famous person	16-29910-S
of fancy	52-43686-S
of fancy 成语 saw	52-21340-S
of farm animals	39-38483-S
of farm land	43-56854-S
of farm output quotas for each household	10-16527-S
of farmland	15-43459-S,26-45838-S
of fashion	1-70228-S,2-57-S,2-26657-S
of fasting	65-41265-S,71-54614-S
of father s elder brother	4-58819-S
of father s younger brother	11-57424-S,18-62485-S,18-62541-S,18-62694-S
of faulty goods	10-15840-S
of fear 成语 saw	69-61806-S
of feasting and pleasure seeking	41-25531-S
of fee payment for a painter	39-61405-S
of feelings well up in one s heart	44-53965-S
of feet of ducks	60-52323-S
of female mammals	44-28948-S
of female posture	69-64174-S
of fengtian clique warlord	23-38381-S
of fennel	20-70102-S
of fertile agricultural land	49-113-S
of fertility	17-46138-S,18-62950-S,19-809-S
of fertilizer	52-11384-S
of feudal tenant corvée	22-103-S
of feudal yamen	22-103-S
of few words	32-54870-S
of fibers or branches	64-28661-S
of fidelity	19-9302-S
of field	31-54488-S
of fields medal	54-37738-S
of fiery emperor 炎帝 who turned into bird jingwei 精衛 精卫 after drowning	18-19721-S
of fiji	55-40317-S
of filial piety	14-12551-S,19-9853-S
of filling wrapped in leaves and boiled	48-52215-S
of film	41-44496-S
of film by chen kaige	40-55215-S
of films	45-10003-S
of final appeal	49-35336-S
of finance	59-33481-S,59-34277-S
of finances	59-34277-S
of financial year	48-8900-S,48-9979-S,48-11179-S,48-12948-S
of fine arts	10-27882-S
of fine tuning	62-65111-S
of fingerprint	56-14536-S
of finished goods	8-39565-S
of fire	28-15902-S,40-23670-S,41-5315-S,41-11433-S,41-11531-S,41-11623-S,41-23079-S,41-23468-S,41-25877-S,41-25994-S
of fire seismic zone surrounding the pacific	40-23442-S
of firefly	56-12679-S,56-12820-S
of firewood	32-53224-S
of firewood 成语 saw	33-13633-S
of fireworks	41-33075-S
of fireworks and lanterns	40-21979-S
of first experience 成语 saw	7-5151-S
of first ming emperor zhu yuanzhang 朱元璋 posthumous name ming taizu 明太祖	37-61183-S
of first month of lunar calendar	41-25328-S
of first readers	54-63524-S
of first refusal rofr	6-57171-S
of first wife	18-59560-S
of fish	1-54817-S,14-2673-S,70-37792-S,70-45794-S,70-46713-S,70-47025-S,70-47928-S
of fish and rice	70-37466-S
of fishes	70-44588-S
of fishhook	5-55625-S
of five	69-63778-S
of five carbon atoms	43-5700-S
of five cartoon sheep	34-49649-S
of five non han people ruling most of china 304 439	3-53358-S,10-44624-S
of five soldiers	4-52755-S
of five syllables	3-55053-S
of five waterways around tianjin	38-20724-S
of fixed period in office	21-19476-S
of flag	30-66956-S,31-2437-S
of flags	31-2077-S
of flame	28-54220-S,40-21698-S,40-23940-S
of flames in turpan depression in xinjiang	40-22722-S
of flames of legend	40-22722-S
of flatfish	70-41659-S
of fleece of domestic animal	41-54542-S
of flight of shipping service	6-17166-S
of flotation	38-12615-S
of flour	48-47146-S
of flow	36-47265-S
of flower	33-40646-S,41-50311-S,53-57539-S,54-48878-S,54-59753-S,55-27727-S,66-53565-S
of flowering plant	34-6957-S,53-65478-S
of flowering plants	69-33576-S
of flowering plants with seed contained in a fruit	56-51797-S
of flowers	46-21099-S,50-38061-S,53-54657-S,53-59036-S,53-61655-S
of flowers and bushes	49-29475-S
of flowers of asteracea family daisies and chrysanthemums	32-68192-S
of fluff containing seeds	49-50379-S
of fog	23-50971-S
of foliage	54-64212-S
of folk dance	21-1321-S
of folk tales	50-39874-S,50-39945-S
of folklore personifying pestilence	3-51832-S,3-51918-S,3-55948-S
of folly	54-18616-S
of food	1-24314-S,2-52366-S,3-8595-S,11-68033-S,17-72001-S,18-1389-S,37-46816-S,38-63060-S,40-24868-S,41-14877-S,52-12565-S,54-29482-S,63-42309-S,68-22488-S,68-22764-S,68-22887-S,69-4421-S,69-6807-S
of food and clothing	50-49478-S
of food delicacies	21-31655-S
of food from landlords during famines before liberation	12-27103-S
of food popular among muslims	27-426-S
of food savory	69-24798-B
of foods	21-8874-S
of foot	52-46905-S,60-36804-S,60-50429-S
of footsteps in an empty valley 成语 saw	47-49843-S
of forbearance	36-31058-S
of force	9-45980-S,9-47121-S,46-45854-S
of force or pressure	23-43766-S
of forces	15-47452-S
of forces mechanics	9-45289-S
of forehead between the eyebrows	45-36757-S
of foreign affairs	16-42942-S,16-45110-S,16-51603-S
of foreign currency	26-57085-S
of foreign expression	25-30505-S
of foreign goods and ideas	21-42451-S
of foreign languages	16-48230-S
of foreign trade and economic cooperation moftec	20-48647-S
of forest	33-33260-S,35-21142-S
of forests and nature reserves	17-24300-S
of forked wood	2-48419-S
of former damage	6-44721-S
of former emperor	7-3935-S,63-3796-S
of former kings	7-4684-S,7-4768-S,7-4851-S
of forming chinese characters	6-5978-S,6-6174-S,7-67755-S,23-53820-S,23-55344-S,27-57051-S,27-57199-S,32-23505-S,32-23744-S,59-23175-S,59-23357-S,61-27622-S,61-27843-S
of forms and colors	16-55646-S
of fortune	8-2021-S,68-55421-S
of fortune turns	68-55336-S
of forty days before easter	14-50700-S,17-42899-S
of fountain	38-9130-S
of four jiang qing 江青	14-46254-S
of four lines of five syllables	3-55053-S
of fragence used on dragonboat festival	69-24970-S
of frame delimiter	22-33481-S
of france	22-10999-S,31-50754-S,47-5345-S
of free play in kant s philosophy	62-36895-S
of freedom	53-10707-S
of freight	62-41896-S,62-42096-S
of french agregé holder of teaching certificate	32-22821-S
of friends or lovers abroad	17-49697-S
of friendship etc	64-21583-S
of frozen river in spring	65-38271-S
of fruit	6-31415-S,41-14877-S,43-10209-S,52-11302-S,54-61050-S,55-10984-S
of fruit or cotton bolls	65-41441-S
of fruits and nuts	33-36437-S
of frustrations and dashed hopes	15-49160-S
of fujian province in east china	47-3917-S,47-4060-S
of functions of a complex variable	57-6425-S
of functions of a real variable	20-15146-S
of funds	16-23886-S,16-24378-S,38-36444-S
of funeral robes	57-12180-S
of funghi	45-44615-S,56-54208-S,56-54294-S
of fungi	10-17962-S,54-28388-S
of fur seal used in traditional chinese medicine	52-46758-S
of furniture or apparatus	41-36868-S
of fushun city 撫順市 抚顺市	30-48990-S,32-46686-S,32-46772-S,33-20647-S,33-20735-S,68-23076-S,68-23166-S
of fuxin city 阜新市 阜新市	17-58069-S,30-57137-S,30-57220-S,38-18737-S,38-18822-S,38-62685-S,38-62782-S,49-31703-S,49-31802-S
of fuzhou city 撫州市 抚州市	52-57281-S,52-57369-S
of fyodor name	59-46640-S
of gabon	9-5718-S
of galilee	54-57047-S
of galilee palestine	9-60345-S
of gambia	42-47305-S
of gambling	12-30721-S
of gansu province	33-25239-S
of gansu province 甘肅 in north central china	55-44970-S,55-45168-S
of ganzhou city 贛州市 赣州市	47-64162-S,47-64253-S
of garment	57-11700-S
of geese 成语 saw	13-33136-S
of gem	43-3516-S,43-3767-S,43-4242-S
of gem pendants	42-41158-S,43-8386-S
of gems	42-58118-S,42-58564-S,42-61204-S,43-598-S,43-2777-S,43-2818-S,43-2904-S,43-2996-S
of general affairs	50-32205-S
of generations	2-37839-S
of generations of insects	3-32381-S
of genesis	9-34885-S
of genius	17-45840-S
of genome	15-66962-S
of gentry	49-34326-S
of genuine friendship 成语 saw	45-42172-S
of genus populus	34-28461-S
of georgia	27-25601-S
of geosciences	2-56900-S
of germany	24-26381-S,33-41188-S
of gethsemane	19-52760-S
of gethsemane in the christian passion story	19-52844-S
of ghosts and goblins	46-62931-S
of gibraltar	45-21050-S
of gifts between lovers	60-2786-S
of given side	57-30229-S
of giving	22-15789-S
of glands	44-19584-S
of go	15-22077-S,46-27126-S
of go or shogi	34-20060-S
of goalkeeper in soccer	29-16485-S
of goat antelope	51-9872-S
of god	17-43581-S,19-29226-S,32-37586-S,46-58629-S,56-52506-S,67-51013-S
of goddess of fertility	18-62950-S
of goddess xi wangmu 西王母	4-29187-S,56-17537-S
of gods	46-56878-S
of gods and devils 成语 saw	46-57228-S
of gods and immortals	46-61494-S
of gods to descend to the world of mortals	1-61781-B
of going to press	44-32386-S
of gold	10-51659-S,65-43075-S
of gold can t buy you an interval of time 俗谚 common saying	20-31887-S
of gold on one throw 成语 saw	1-9947-S,10-51803-S
of gold 俗谚 common saying	1-6909-S
of golden orchids	64-14685-S
of good fortune fills the heavens 成语 saw	37-61943-S
of good hope	18-28584-S
of good luck	14-44714-S,66-64437-S
of good moral standing and reputation	24-29131-S
of good will	27-43713-S
of good wishes	40-62943-S
of goods	5-58848-S,27-10396-S,28-42563-S,35-11306-S,51-22061-S,59-37781-S,62-14457-S,62-42149-S,69-59079-S
of goods by bartering not involving money	53-9413-S
of goods etc	52-32616-S
of gov on affairs of state	13-28185-S
of government	7-65483-S,7-71345-S,22-62727-S,29-54953-S,29-57093-S,29-58075-S,29-58075-S
of grain	30-37107-S,47-29080-S,47-36416-S,47-37016-S,47-41043-S,47-41211-S,47-43886-S
of grain come up	12-60690-S
of grain while still on the stem	19-4107-S
of grains	5-51957-S
of grammar in english	15-54699-S
of gramophone	13-55838-S
of grandeur	53-4483-S
of grandfather s sister	56-43454-S
of grandmother s brother or sister	56-43454-S
of graphics e g maps	15-28101-S
of grass	48-35746-S,53-49723-S,54-23148-S,55-27297-S
of grass foliage	54-12323-S
of grass grows	20-31799-S
of grass or hair	55-8112-S
of gratitude	16-10349-S,53-19910-S,62-57206-S
of gratitude coupled with duty to avenge	25-1673-S
of gratitude 成语 saw	25-42769-S
