paid	26-60113-S
particle	3-10181-S,3-10268-S,9-69613-S,13-15950-S,13-41070-S,13-49811-S,14-39-S,14-30355-S,14-40733-S,14-44136-S,15-69480-S,22-59909-S,24-20833-B,44-27628-S,45-63015-S,48-48012-S,49-42634-S,49-49050-S,50-54228-S,52-2471-S,52-48464-S,58-25967-S,59-60015-S,59-61313-B,65-65459-S,70-20864-S,71-16509-S
particle accelerator	9-59922-B,14-56015-S,48-48125-B
particle attached after verb to indicate action in progress	54-53160-B
particle collider	20-50639-S
particle electron	3-16662-S
particle equivalent to 了	14-29364-S
particle equivalent to 吧	14-291-S
particle equivalent to 啊 after a vowel	13-7104-B
particle equivalent to 啊 after noun ending in n	13-44920-B
particle esp in yunnan similar to 了 le	14-37580-S
particle expressing approval or doubt	65-65575-S
particle expressing imperative	13-56440-S
particle expressing question	13-2812-S
particle expression doubt or surprise	35-31418-S
particle flow	48-48208-B
particle for subjects already mentioned	13-10152-S
particle grammatical	9-61830-B
particle in classical chinese	3-11492-S
particle in cloud chamber	67-19360-S
particle in old chinese similar to 啊	7-70090-B
particle in physics	23-43503-S
particle indicating don t mind it	50-54334-S
particle indicating polite suggestion	12-67034-S
particle indicating that s all	50-54264-S
particle intensifying preceding clause	3-27929-S
particle marker of surprise	14-6096-B
particle marking the following noun as a direct object	26-65079-B
particle or quantum of light	7-8026-S
particle physics	39-7229-S,48-48284-B,57-33826-S,67-27377-S
particle serving as copula	3-21403-S
particle showing affirmation	13-62237-S
particle sim to 呢 or 啦	13-44488-S
particle similar to 了	13-29418-S
particle such as proton and neutron	63-57602-S
particle used after a verb or adjective as main verb	24-6019-S
particle used before a noun	44-58948-S
particle used before a verb or adjective	15-37428-S
particle used for comparison and er than	36-8397-B
particle used for emphasis	12-10925-B
particle used to exaggerate certain adjectives	7-70152-B
particle which transforms statements into questions that indicate doubt or surprise	13-28388-S
particles	22-29296-S,48-48208-S,66-21704-S,68-60355-S
particles in liquid	15-371-S
particular	1-6575-B,41-56575-B,41-57796-B,41-59810-B
particular abilities	52-26841-B
particular about one s dress	47-51829-B
particular about sth	58-54728-B
particular attention to	58-54974-S
particular kind	41-60815-B
particular location	58-1720-S
particular person	20-37631-S
particular place	4-11602-S
particular purpose	20-40156-S
particular requirement	41-62526-B
particular stance	69-39306-S
particular subject	54-30478-S
particular thanks	41-56800-B
particular to	41-59352-S
particular typeface	19-5113-S
particular year	22-47342-B,22-50514-S
particularly	2-9393-S,21-7742-B,21-7926-B,33-65244-B
particularly favored environment	24-7256-S
particulars	49-32074-B,58-16928-B
parties	5-35571-S,7-46650-S,16-64092-S,50-243-S
parties be congenial	25-14138-S
parties involved	66-65991-S
parties legal	12-29701-B
parties to a contract legal	12-32423-B
parties to a deal	7-48255-S
parties to a lawsuit	7-48042-S
parties to an agreement	58-39214-S
partime business	9-32664-B
partime while studying	10-9175-S
parting	5-24730-S,52-56124-S,52-56186-S,67-11096-S,71-45868-S
parting i e death	36-48934-S,36-52609-S
partings and reunions	25-10455-B
partisan	71-44310-S,71-44904-B
partition	8-55843-B,8-59567-B,33-29699-S,43-8803-B,66-40416-B,66-40416-S
partition board	66-40511-B
partition on computer hard disk	8-47858-S
partly employed	10-56226-B
partly in cash	10-14843-S
partly in kind and partly in cash	10-14843-S
partly released from one s regular work	10-59833-B
partly released from productive labor	10-59833-B
partner	4-56820-B,4-56992-B,4-60079-S,4-60155-B,6-26561-B,12-31718-B,12-31868-S,12-32786-B,17-3754-B,17-3814-B,19-33-S,20-56872-B,24-60863-S,24-60923-S,24-60972-S,26-19445-S,26-59452-S,28-58887-S,28-59878-B,45-26217-B,53-42816-S,59-49174-S,66-23279-S
partner for an activity	4-56870-B
partner in crime	12-51690-S
partner in four person game	20-48924-B
partner in sworn brotherhood	45-6944-S,45-7367-S
partners	13-49325-S
partners etc	5-35188-S,6-14702-S
partners in notoriety	53-16426-B
partners with different agendas	12-46834-S
partnership	12-31649-S
partnership venture	7-63077-S
partridge	30-33017-B,70-54900-B,71-96-B,71-150-B
parts	1-45053-S,1-46321-S,1-57993-S,6-28235-S,6-28472-S,7-52488-S,8-56383-S,10-45083-S,12-11616-S,30-6930-S,33-65584-S,33-66177-S,34-8451-S,35-24872-S,47-13492-S,48-17795-S,62-24468-S,62-63661-S,63-22714-B,63-37175-S,66-25486-S,67-19680-S,67-19734-S
parts are in place	8-5306-S
parts for recitation and singing often on buddhist themes	59-9227-S
parts in a speech	48-19757-S
parts in an opera	11-68770-S
parts making up a compound	49-37751-S
parts of a country	12-28972-S
parts of cart holding the axle	61-18323-B
parts of machine	63-37495-S
parts of speech grammar	6-38622-S,58-11727-B
parts of the country other than where one is	16-46404-B
parts or tools kept in reserve	6-28472-S
parturition	8-50711-B,43-26523-B
party	1-20214-B,2-7996-S,2-50554-S,2-51045-S,2-66210-S,2-68810-S,2-78378-S,3-27794-S,6-9948-S,6-13941-S,7-71433-S,7-72215-S,7-72442-S,10-43738-S,11-18763-S,11-18852-S,11-47314-S,11-56545-S,11-66579-S,11-66579-S,15-2382-S,15-2463-S,15-3764-S,15-11017-S,15-36596-S,15-65211-S,15-70118-S,16-63-S,16-58070-S,17-10950-S,18-4815-S,18-20912-S,19-41405-S,19-60117-S,20-50993-S,21-26320-S,21-52969-S,21-57535-S,21-57535-S,22-35285-B,22-52002-S,22-53108-S,22-66276-S,24-15897-S,25-61816-S,29-46712-S,29-58149-S,31-8490-S,31-9184-S,31-45009-S,31-45115-S,32-24545-S,33-13788-S,33-47401-S,35-38794-S,36-18678-S,36-18990-S,36-23110-S,37-29904-S,38-860-B,38-66281-S,42-4594-B,42-4683-B,46-49313-S,46-49888-S,46-49949-S,47-15483-S,48-10065-S,49-16613-S,50-33628-S,51-61951-S,53-7924-S,53-10929-S,53-11983-S,53-32592-B,54-11206-S,54-11612-S,55-37846-S,57-39627-S,58-42762-S,60-26100-S,63-39790-S,67-64185-S,68-103-S,68-4907-S,69-5255-S,69-5972-S,71-43770-B,71-43965-S,71-44047-S,71-44255-S,71-44623-S,71-45612-S,71-45685-S
party 9th congress in 1969	2-51233-S
party affairs	71-44047-B
party and from administrative post	67-2267-S
party and government administration	71-44703-S
party breaks up	6-56311-S
party cadre	28-38907-S
party cadre to work on the shop floor or countryside	1-60063-S
party caucus	71-44525-B
party central committee	2-50625-S,2-54596-S,60-64749-S,60-64843-S,71-43837-B
party chief	71-43909-B
party committee	71-44573-B
party committee of one unit to another	61-30120-S
party conference	19-55742-S
party congress of chinese communist party	10-43738-S
party constitution	71-45108-B
party dancing	53-32641-B
party dictatorship	1-23959-S
party discipline committee	2-50903-B
party esp chinese communist party	71-43965-S
party files the suit	25-19103-S
party flag	71-44800-B
party for public interest	2-62797-S
party founding	23-23077-B
party from 2001	61-42863-S
party fundraiser	71-19919-S
party group	71-45213-S
party hegemon 霸 of the microphone 麥克風 麦克风	71-12985-S
party in 2001	1-30647-S
party in legal contract	3-15988-S,43-40115-S
party in negotiations etc	31-7288-S
party in power	15-65211-S
party in singapore	4-13162-S
party japanese political party	53-7924-S
party kpp	22-66747-S
party meeting	71-44971-B
party member	7-71495-S,7-72360-S,36-19052-S,68-147-S,71-44467-S
party members	7-72278-S
party membership	65-43895-S,71-45040-B,71-45163-B
party of china	2-50728-S,2-54320-S,2-54416-S,2-59101-S
party of cuba	12-1836-S
party of nepal	21-13936-S
party of serbia	16-20463-S
party of the soviet union	55-40979-S
party of vietnam	60-26432-S
party or guomindang	2-65966-S
party platform	71-45266-S
party policy	71-44703-B
party program	71-45266-B
party related	71-44904-S
party republic of china	30-58409-S,61-42195-S
party ruling party in singapore	4-13162-S
party school	71-44844-S
party set up in 1904 under cai yuanpei 蔡元培	7-9080-S,24-13889-S
party set up in changsha by huang2 xing1 黃興 黄兴 in 1904	54-35929-S
party singapore opposition party	21-52969-S
party standing	71-45685-B
party state	1-23908-S
party sudan	7-35352-S
party system	7-48488-S,17-307-S
party to a dispute	30-61117-B
party to an affair	43-65410-B
party wide	7-43127-B
parvati the consort of shiva	22-23275-B,22-23357-B
pas	24-8863-S,64-539-S
pascal 1623 1662	22-22934-S
pascal hpa	44-53097-S
pascal name	22-22934-B,22-23210-B
pascal s hexagon	22-23117-B
pascal s triangle math 	22-23015-B
paso texas	15-59506-S
pass	3-72306-S,5-33000-B,12-14969-S,13-30822-S,16-19432-S,21-31176-S,22-38889-S,22-63914-B,26-65985-S,29-48135-S,34-23476-S,38-6866-S,39-64739-S,44-24580-S,44-24638-S,48-23867-S,49-62340-S,57-27909-S,60-19642-S,60-54284-S,62-59643-S,65-53366-S,65-59444-B,66-18952-B,66-41542-B,66-41603-S,67-13435-S
pass a barrier	62-48636-S
pass a resolution	37-478-B
pass a test	11-42530-S,62-48636-S
pass a university entrance exam	51-32237-S
pass an entrance exam	51-32766-S
pass an exam	51-32307-S
pass an exam or the imperial exam	2-70866-S
pass an imperial examination	11-42774-S
pass authorization through a checkpoint	62-12819-S
pass away	1-48200-S,5-5891-S,5-5943-S,11-37536-S,11-38635-B,29-58356-S,40-50255-S,57-32105-S,62-16451-S,62-43182-S
pass away lit	57-30800-S
pass away of a monk or nun	46-46169-S
pass away of buddh monks	15-23228-S
pass by	56-34523-S,60-14233-S,62-43905-S
pass by or through	60-44133-B
pass down to lower level	1-63552-S
pass e g to enter a building	46-64441-S
pass entrance exam	51-32358-S
pass for	38-52859-S
pass from person to person	6-34782-S
pass imperial examination	2-79559-S
pass in ball game	45-65598-S
pass in soccer	6-37731-B
pass in the twinkling of an eye	61-26099-S
pass into eternity i e to die	36-51336-S
pass judgement until you ve seen the end	55-5582-S,55-5802-S
pass muster	36-8681-S
pass off as their own	34-44394-S
pass off other people s opinions as one s own	27-53744-S
pass on	6-33187-S,6-33187-S,6-36363-S,6-36439-S,6-42609-S,26-56691-S,45-26882-S,61-21932-B,61-29761-B,61-29822-S
pass on a copy	6-35611-S
pass on a present	61-28541-S
pass on a story	6-39697-S
pass on a task	61-23943-S
pass on amorous feelings	6-35937-S
pass on blame	61-22363-S
pass on errors or lies 成语 saw	58-58538-S
pass on experience to the next generation	6-35787-S
pass on feelings	6-36026-S
pass on for perusal	6-42609-S
pass on from person to person	61-19845-S
pass on information	6-39851-S
pass on one s art	6-39261-S
pass on one s experience	6-38805-S
pass on praise	6-42687-S
pass on scripture	6-38805-S
pass on silk road between tibet and indian sikkim	3-8824-S,3-8938-S
pass on stories	61-29445-S
pass on the great wall near datong	22-38798-S
pass on the light of buddha	6-37664-S
pass on through the generations	6-35385-S
pass on to	61-27050-S
pass on to future generations	6-36224-S
pass on to orally	6-38397-S
pass on to sb	61-21012-S
pass on to sb else	6-42350-S
pass on to the next generation	28-45850-S
pass on written message	61-22753-S
pass oneself off as	8-10643-B
pass one’s days	62-46039-S
pass or laissez passer	62-12525-S
pass out	31-58148-B
pass sth around for others to look at	6-39396-S
pass the buck	18-57952-S,28-30146-S,28-30300-S,28-32176-S,61-23943-S
pass the misfortune on to sb else 成语 saw	18-57952-S
pass the time	26-46980-S
pass the winter	60-26165-S
pass through	24-29335-S,29-22298-B,35-51262-S,39-2024-S,39-2386-B,47-51026-B,47-51931-S,47-52126-S,49-57573-S,50-30803-S,62-244-S,62-14903-S,62-52372-B
pass through a country s territory	62-44155-B
pass through an opening	62-45390-S
pass time	38-30133-S,62-42853-S
pass to a career	62-12819-S
pass to the next generation	6-33590-S
pass verdict	20-22192-S
pass water	20-60641-B,29-6930-S
passable	12-17357-B,22-0-S,39-9254-B
passage	36-30982-S,51-50348-S,53-34951-B,60-59925-S,62-12666-S,62-15081-B,63-59529-S,66-41735-S,66-42533-S
passage of royalty or vip	38-64995-S
passage of the years	35-50918-S
passage of time	22-48329-S,31-7939-S,53-58746-S
passage through	62-12525-S
passage time	24-50992-S
passages	28-64558-S
passageway	16-38053-S,60-11160-B,62-48435-B,65-61564-S
passageway in storied building	34-51786-B
passat	31-48918-B
passbook	19-8349-S,56-57798-S
passbook entry machine	56-57872-B
passed	62-43235-S
passed away	2-2228-S,12-61-S
passed on for a long time may be taken for the truth	47-40710-S
passed on from former times	6-36224-B
passed on from generation to generation 成语 saw	2-37921-B,4-30348-B
passenger	3-13278-B
passenger accommodation in the hold of a ship	49-53133-S
passenger of taxi	27-31938-S
passenger or cargo ship	42-48032-S
passenger plane	19-52676-B,51-18941-S
passenger service	53-36171-S
passenger ship	14-39196-S,19-53362-B,53-34770-B
passenger ticket	35-4608-B
passenger traffic	19-53409-B,19-53459-S
passenger train or bus	61-7183-B
passengers	34-23271-S,61-30993-S
passengers between train stations on two different rail lines	28-28699-S
passengers between two railway lines	28-28608-S
passengers on board	61-7123-S
passer	62-12525-S
passer by	60-41584-B,62-48338-S
passer or safe conduct	62-12819-S
passeriformes perching birds	66-52266-S
passers by how to build one s house 成语 saw	48-32362-S
passes	3-9791-S,65-29095-S
passes and seal off the country	65-29378-S
passes the ear 成语 saw	47-16329-S
passes through river	37-43743-S
passing	6-49006-S,21-9408-S,28-59063-S,60-15016-S,66-15676-S,66-43847-S,68-21968-S,68-22231-S,68-23489-S,68-26795-S
passing day	31-7186-S,31-10767-S,55-2218-S
passing of time	8-7530-B,53-64226-B
passing off as what one is not	26-48362-S
passing on from generation to generation	2-37725-B
passing the buck to and fro	3-45685-B
passing the hall	62-44983-S
passing the imperial exam	2-82879-S
passing 成语 saw	68-24662-S
passion	9-69259-S,18-60079-S,25-11747-B,25-14834-S,32-33174-B,36-7520-S,40-4840-B,41-19200-B,47-12466-S
passion and talk of love 成语 saw	58-41353-S
passion between lovers	40-33994-S
passion buddh	25-36007-S
passion e g to commit a crime	51-35558-S
passion felt by lady	65-48352-B
passion flower	57-20835-B
passion fruit	44-58355-B,44-58355-B,44-58431-B,44-58431-B
passion story	19-52844-S,22-5986-S,23-61384-S,32-20409-S,32-20696-S,35-0-S,53-37028-S
passionate	9-69259-B,40-22605-B,41-19200-B
passionately	41-19200-B
passionately desire	57-37456-B
passionfruit	44-58355-B,44-58431-B
passions	51-35558-S
passive	38-30545-B,56-51342-B
passive immunity	56-51384-B
passive marker	11-59260-B
passive particle	49-49050-B
passive to active behavior	11-46384-S
passive verb	43-38556-S
passive voice sentences or clauses	56-50991-S
passively without doing anything useful	15-51019-S
passkey	54-47405-B
passnegers	15-36384-S
passover jewish holiday	62-34800-B
passport	27-56583-S,59-5092-B
password	20-5005-B,24-45695-S
password on a website	62-12819-S
password used by sentry	11-67353-B
past	1-6407-S,1-47264-S,3-31883-S,4-23224-S,4-37340-S,5-19119-S,7-6270-S,10-4717-S,16-57076-S,19-67309-S,20-36571-S,22-2170-S,23-26300-S,23-61667-B,23-62124-S,23-62502-S,24-12029-S,24-15954-S,26-84-S,26-1509-S,28-20564-S,31-28388-B,36-5318-S,39-16104-S,41-9208-S,42-49700-S,43-48920-S,44-8168-S,50-23673-S,51-24509-S,59-57929-S,60-14233-S,62-43905-S
past a crack 成语 saw	44-49349-S
past achievement	3-31883-B
past and despise the present 成语 saw	59-42167-S,59-43860-S
past and future	24-54266-S
past and present	4-22812-B,11-6334-S
past as a model for the present	5-64678-S
past cause and future effect 成语 saw	24-54266-S
past dynasties	35-51348-B
past errors	24-56513-S
past event	26-84-S
past events	23-61761-B,23-62547-B,23-62854-B,61-60689-S,66-29902-B
past few days	22-57566-S,61-48167-S,62-5361-S
past few years	61-48099-S
past generations	1-56211-B
past is vanished like the wind	23-61825-S
past like a year 成语 saw	22-63768-S
past many years	16-57160-S
past master	70-14922-S
past misdeeds	2-1605-S
past mistake	24-1970-S
past mistakes	2-1605-S,56-56545-S
past mistakes and turn over a new leaf	44-14453-S
past one another	60-10388-S
past one s prime	62-67494-B,65-567-B
past participle in european grammar	62-43988-B
past regime	24-16755-S
past sb	29-26557-S
past several years	22-57691-S
past six	7-69948-S
past tense marker	14-30202-B
past tense marker used before verb or clause	32-15317-B,32-16427-B
past tense of to vote	27-602-B
past tense of 发言 spoke publicly	44-25877-B
past thirty years	1-32122-S
past times	61-57461-S
past to disparage the present 成语 saw	5-64777-S
past 成语 saw	69-1410-S
pasta made from any kind of flour	48-47146-S
paste	37-42471-B,39-56187-S,48-50484-B,48-59626-B,48-59670-B,48-59703-B,48-60604-S,49-638-B,49-685-S,52-47057-B,53-51859-S,56-8133-S,56-19530-S,59-47947-S,61-3796-B,61-34420-S,71-13978-S,71-16088-S
paste a snack in chaozhou cuisine	53-49069-S
paste as in cut	48-51019-S
paste sauce	71-16135-S
paste up	9-12096-S
pasted together	57-7811-S
pasteur	22-7987-B
pasteur 1822 1895	22-6621-S
pasteurella multocida or p avicida	67-8419-S
pasteurization sterilization by heating	22-8027-B
pastiche	27-40924-B,29-27198-S,29-27409-S
pastime	38-32806-B
pastor	41-51709-B,41-51936-B
pastoral	41-51709-B
pastoris	55-27606-S
pastry	28-8338-S,48-60778-B,56-8977-S,69-9911-B,69-10179-B,69-13824-B,71-37621-B,71-39292-B
pasturage	41-52570-B
pasture	41-51823-B,41-51875-B,41-52570-B,62-37544-S
pastureland	54-14190-B
pasty	69-17996-B,69-18094-B
pat	27-27081-B,27-29107-S
patch	30-32441-S,43-9041-S,53-45248-S,56-56409-S,56-56506-B,56-58545-B
patch for puncture repair	56-59056-S
patch of bruising	38-44348-B
patch of cloth	64-38018-B
patch of leather	68-7948-B
patch or hardened skin	50-42100-S,51-29937-S,51-30769-S,60-33277-S,60-33352-S
patch together	50-27020-S
patches	48-4094-S,49-9692-S,53-56204-B
patching of insulating material in a furnace	41-21715-S
patching runtime correction in computing	41-21715-S
pate city in taiwan	7-51339-S
patella	52-53176-B,70-10845-B
patent	20-37899-B
patent drugs	20-38112-B
patent law	20-38057-B
patent medicine	26-11587-B
patent office	20-37940-B
patent right	20-37998-B
paternal aunt	18-39501-B,18-39536-S,18-39693-S,18-39872-B,18-39954-B,18-40322-B,18-40384-S
paternal elder uncle	4-57453-B
paternal female cousin	16-2748-B
paternal grandaunt s husband	18-40473-B
paternal grandfather	16-2256-S,16-2498-S,16-2661-S,16-2845-S,16-2930-S,32-16063-S,41-41598-B,46-53529-B
paternal grandfather s younger brother	11-57620-S
paternal grandmother	7-3592-S,18-23831-B,46-53345-B
paternal grandparents	46-53597-B
paternal great grandfather	32-16249-B,51-29483-B
paternal great grandmother	32-16153-B,51-27030-B
paternal line	41-41262-B
paternal male cousin	16-2341-B
paternity testing	57-38609-B
path	4-21506-S,5-46835-S,7-22745-S,9-4645-S,11-22734-S,11-35667-S,11-50532-S,15-52354-S,15-54248-S,15-60608-S,16-18528-B,21-36044-S,21-47207-S,22-55081-S,24-4664-B,24-5031-B,24-5114-B,24-5158-B,24-19166-S,24-22577-B,27-60346-S,28-24039-S,30-36125-S,31-64220-S,32-27109-S,39-18048-S,39-18111-S,41-16875-S,41-16940-S,42-19456-S,43-38731-S,43-48286-S,43-53254-S,44-46680-S,45-12453-S,49-50978-S,53-36310-S,55-58841-S,57-25789-S,59-15798-B,60-14290-B,60-41079-B,60-42007-B,60-61788-B,61-52985-S,62-3008-B,62-49380-B,62-52123-B,64-3479-S,66-16536-S,66-46070-S,67-45094-S,69-45272-S
path between fields	16-15310-S,34-38081-S,43-46995-S,44-65-S
path by repeated word and example	25-39302-S
path effect	7-57802-S,58-30119-S
path exhausted	47-57702-S
path for	44-1787-S
path leading up a mountain	21-48375-B
path of the daoist immortals	67-45094-S
path out of a battlefield	56-30030-S
path to certain destruction	69-0-S
path to enlightenment	25-53101-S
path to follow	30-61935-B
path traveled	60-43346-B
path 成语 saw	56-30838-S,69-49464-S
pathetic	12-13566-B
pathfinder	28-24086-B
pathogen	27-7243-S,27-7386-S,42-52615-S,44-9161-S,44-9161-S,44-9239-S,44-9492-B
pathogen caused by chain spherical bacteria	64-56281-S
pathogenesis	44-10647-B
pathogenic	53-19511-B
pathogenic bacteria	44-12141-B,53-19571-B
pathogenic influence in traditional chinese medicine	68-57693-B
pathogens	24-18850-S
pathogeny	44-9099-B
pathol 	49-9692-S
pathological changes	44-12469-B
pathology	29-61917-S,29-62035-S,44-11758-B,44-11801-B
pathos	25-38878-B
patience	8-11086-S,24-43266-S,24-43503-S,24-43598-B,38-38683-B,40-51833-S,51-36439-B
patient	8-22366-S,25-8371-B,25-49293-S,37-24894-S,44-8437-S,44-9410-B,44-12218-B,45-39192-S,51-35742-B,53-47868-S
patient adjective	51-36295-B
patient and accommodating	24-43660-B
patient and his family	44-9642-S
patient help	51-36348-B
patient into a doctor	3-9619-S
patient not impatient	51-36869-B
patient s condition	44-8845-B,44-10142-B,44-11567-B,61-38497-S
patient s health	56-57428-S
patient work makes a fine product	25-49136-B
patient work makes a skilled craftsman	25-49027-B
patiently	66-47524-S
patil	22-23642-S
patil name	22-23642-B
patina of ice from freezing rain or water vapor	67-14095-S
patio	17-43663-B
patriarchal family	71-46845-S
patriarchal system	19-64678-B
patricide	23-25482-B
patriot	25-33415-B
patriot missile	11-47388-S
patriotic	25-33157-B
patriotic catholic association	2-57810-S
patriotic democratic alliance of chinese students	2-80337-B
patriotic islamic association	2-53940-S
patriotism	25-33157-B,25-33226-B
patrol	21-50968-S,21-51403-S,21-51958-S,59-250-B,63-14257-B
patrol boat	21-52062-B
patrol by a ship	21-51262-B
patrol car	21-52119-B
patrol police	21-52011-S
patron	5-39854-B
patron of teahouse	22-64189-B
patron saint	19-22413-B
patronage	25-18649-S
patronize	60-3092-S
patronizing my humble establishment	7-14082-S
patten	49-22384-S
patten 1944 	23-57376-S
patter	24-57447-B,29-17153-S,52-21663-S
patter song in opera with clapperboard accompaniment	24-48262-B
pattering of rain	39-45165-B
pattern	2-12079-S,3-45327-S,3-45397-S,3-67487-S,15-27095-B,23-25244-B,23-54556-B,28-41807-S,29-59067-S,30-62649-B,33-64800-B,33-65417-B,34-19895-S,34-39308-B,34-57704-B,34-57957-B,34-58330-B,34-59260-B,35-9332-S,35-35289-S,39-7567-S,47-29559-B,48-30492-B,49-15010-S,49-15196-S,50-11477-S,50-61239-S,53-57887-B,53-61580-S,56-14536-S,57-33045-S,57-33359-B,57-64053-B,66-18548-S,66-27294-S,66-62470-S
pattern as model in dressmaking	49-22384-S
pattern formed by atoms in a crystal	31-56002-S
pattern in grammar	12-5734-S
pattern mechanically	18-9390-S
pattern of life	60-16659-S
pattern of veins on a leaf	54-52464-S,54-52534-S
pattern or falling	26-66888-B
pattern to the letter	1-11646-S
patterns	14-62086-S
patting its bottom	27-30279-S
patty	52-7024-S
pau malay s oldest newspaper	11-580-S
paul	5-38874-B,27-19042-S,27-19237-S,51-44558-S
paul gervais 1816 1879	41-21007-B
paul lafargue 1842 1911	27-24126-B
paul marat	69-38060-S
paul name	5-37802-B
paul sartre 1905 1980	55-25960-S
paul to philemon	52-38132-S
paul to the colossians	35-26226-S
paul to the corinthians	13-43491-S,13-43601-S
paul to the ephesians	4-37144-S
paul to the galatians	9-55894-S
paul to the hebrews	22-19750-S
paul to the philipians	30-32351-S,52-38459-S
paul to the romans	50-63533-S
paul to the thessalonians	22-24176-S,22-24309-S
paul to timothy	28-39599-S,28-39700-S
paul to titus	28-38501-S
paulownia	37-37029-B
paulownia tree fermiana platanifolia	34-15430-S
paulownia wood used for musical instruments	34-15512-B
paulson 1946 	5-37846-S
paulson or powellson name	5-37846-B
pauper	35-58424-S
pause	6-17825-B,26-50373-S,59-5917-S,68-32433-B
pause while reading	62-3416-S
pave	64-37802-B
pave the way	64-37005-S
pave with paving stones	64-38112-S
pavel aleksandrovich mif 1901 1938	48-45326-B
pavement	5-30407-B,60-14290-B,60-44298-B,64-38401-B
pavilion	4-4078-B,4-4110-B,4-4330-S,25-35667-S,34-40746-B,34-51861-B,38-38923-B,61-1238-B
pavilion 1598	41-50366-S
pavilion housing a steele	46-28134-B
pavilion in the air 成语 saw	47-45389-B
pavilion near the water 成语 saw	61-48430-S
pavilion of the forbidden city rendered in english as hall of supreme harmony	17-57431-S
pavilion on west side on zhongnanhai	57-21651-S
pavilion 成语 saw	41-30084-S,55-49299-S
paving	64-38065-S,64-38401-B
paving stones	64-38112-S
pavlovich chekhov 1860 1904	18-6659-S
pavo constellation	19-3536-B
paw	70-38048-S,70-38138-S
paw as food	41-12175-S
pawn	27-16236-S,41-37310-B,43-64540-S
pawn i e foot soldier	60-10009-B
pawn shop	43-67983-B,43-68216-B,59-60831-B,59-61229-B
paws of animal	60-51774-B
paws of small animal	41-36868-B
pay	4-26481-S,4-27352-S,4-27569-B,4-27685-B,6-51-S,8-46336-S,11-60118-S,21-57346-B,23-65317-B,27-31614-S,29-37401-S,29-37486-S,46-64225-S,48-59575-S,52-32190-S,55-26698-B,55-26789-B,61-61746-S,65-36133-B,69-10290-S,70-15112-S
pay a call to	45-38679-S
pay a debt of gratitude	16-10349-B
pay a formal visit	27-46438-B,27-46673-B
pay a new year call	27-45604-B
pay a return visit	14-55486-S,14-57784-B
pay a tax one has evaded	56-58375-B
pay a visit	5-19261-B,27-46619-B
pay a visit to	28-23793-B,58-945-B
pay all of a bill	4-27614-B
pay an advance	60-3039-B
pay an official call	27-45787-B
pay an overdue tax	56-58375-B
pay and provisions for soldiers	8-2959-B
pay attention	37-43983-S,45-57149-B
pay attention to	2-17314-S,37-44382-B,37-44932-B,42-53278-S,42-55441-B,42-56241-S,65-56004-S
pay back	6-56693-B,63-9417-B
pay back in full	63-10415-S
pay bride price payment to the bride s family in former times	49-17579-S
pay close attention to sth	15-34671-S
pay compensation	58-22228-S
pay compensations	10-18434-S
pay damage	59-57522-B
pay equal attention to	2-47998-B
pay etc	6-58064-S
pay every ten days	31-16490-B
pay first	16-24247-S
pay for equal work	12-46701-S
pay homage	50-58126-S
pay homage at a monument	27-46673-B
pay homage to sb	11-39470-S
pay homage to the deceased	25-55213-S
pay in advance	68-28269-B
pay in full	4-27614-B
pay last respects	61-63826-B
pay me	5-61157-S
pay me a little more	70-15112-S
pay money	3-66603-S,4-27913-S,29-37354-S
pay no attention to	2-1747-B,2-2300-B,2-18632-B
pay no attention to outside matters	7-47401-S
pay no heed to the regulations	45-17900-S
pay off	4-27614-B
pay off a debt	6-56813-S
pay one s respect	27-45879-S
pay one s respects	13-62691-S,58-52103-S
pay out	3-28724-S,29-37567-S
pay particular attention to	58-54974-S
pay paul	27-19042-S,27-19237-S
pay reparations	59-57714-S
pay respect	27-44654-S
pay respect to	11-40282-B
pay respect to sovereign	32-48900-S
pay respects	27-46438-S,27-46673-S
pay retroactively	56-57938-B
pay tax etc	49-15595-S
pay taxes	27-4858-S,27-6542-S,49-17156-S
pay taxes in kind rice	49-17518-S
pay taxes or dues	3-71132-S
pay the bill in a restaurant	15-60818-S
pay the restaurant bill	59-45028-B
pay tribute	49-18007-S
pay up	4-542-S
pay with one s life	6-56754-S
paya lebar	22-9235-B
payable	25-58874-S
payback	14-55027-B
paying a visit	32-24712-S
paying in cash	7-20062-S
paying one s bill in a restaurant	49-4909-S
payload	61-7314-B,63-43463-B
payment	4-27569-B,6-32243-S,8-43766-S,10-16154-S,16-24247-S,20-24136-S,27-31614-S,27-31614-S,41-58614-S,41-58744-S,44-33563-S,49-8446-S,49-8543-S,57-27847-S,57-57810-S,57-63636-S,57-63636-S,59-54946-S,61-59151-S,61-60825-S
payment and unequal treaty rights	29-45849-S
payment esp actors salary in former times	10-19084-S
payment for a painter	39-61405-S
payment for goods	59-37729-B
payment for private tutor	33-12299-B
payment from government or private sector for which no good or service is required in return	61-26637-S
payment of debts	62-34113-S
payment partly in kind and partly in cash	10-14843-S
payment payment from government or private sector for which no good or service is required in return	61-26637-S
payment slip	3-70446-B
payment to end a legal dispute	13-25276-S
payment to the bride s family in former times	49-17579-S
payments	27-36954-S,47-28964-S
pays to	8-65084-S
pays to do sth	8-64873-S
paz	27-22773-S
paz capital of bolivia	27-22545-S
pazeh	22-4941-B
