xue qing	27-7474-S,56-27003-B,56-29639-B
xun hui fa ting	21-51062-B
xun hui fen xi duan kou	21-51856-B
xun hui yan chu	21-51148-B
xun ji	10-10211-B,20-45369-B
xun jiao huan biao zhun ma	51-5391-S
xun jie	3-50608-S,14-50636-S,57-65145-B
xun jing	21-51753-B
xun jiu shi	1-35002-S
xun jue	10-10135-B
xun kai xin	20-46098-B
xun kao	41-12854-B
xun ke	31-16421-B
xun ke ji	59-53236-S
xun kuang chuan song	57-61337-B
xun kuang chuan song fu wu	57-61409-B
xun kuang chuan song lun tan	57-61611-B
xun kuang chuan song wang lu	57-61509-B
xun lai fan chou	20-44801-B
xun lei	61-44570-B
xun lian	15-36194-S,57-64597-B
xun lian ying	57-64661-B
xun lian zhe	57-64721-B
xun liang	69-45811-B
xun liao fa	69-28975-S
xun ling	57-64121-B
xun lu	62-13663-S,69-46223-B
xun luo	21-52011-B
xun luo che	21-52119-B
xun luo dui	21-52174-B
xun luo ting	21-52062-B
xun ma	54-19197-B,69-45972-B
xun ma chang	69-46104-B
xun ma ren	69-46047-B
xun ma zhen	54-19236-B
xun meng	61-44383-B
xun mi	20-45986-B
xun min zheng yin	57-64353-B
xun nan	35-60827-B
xun nian	31-16088-B
xun qi	31-16322-B,35-65291-S
xun qing	35-60477-B
xun qiu	20-45534-B
xun ran	41-12758-B
xun rao	69-45726-B
xun ren	29-6370-S
xun ri	31-16142-B
xun rou	41-33843-B
xun ruan ti	28-56113-S
xun se	36-16661-S,62-59513-B
xun shan	69-45564-B
xun she	15-16789-S,23-57294-S,32-50113-S,51-60906-S,62-13259-S,68-11638-S
xun shi	21-51695-B,31-16037-B,31-16214-B
xun shi sheng fei	20-44655-B
xun shou	31-16691-B
xun shou jiu	14-60267-S
xun shou shu	57-64499-B
xun shu yue song	31-16490-B
xun shun	69-45858-B
xun shuo	31-16256-B
xun si	35-60577-B
xun si wang fa	23-65428-B
xun si wu bi	23-65532-B
xun su	61-44435-B,70-56921-S
xun su lu:	49-5052-S
xun su man yan	61-44485-B
xun sui	31-16363-B
xun tao	41-12973-B
xun tao cheng xing	41-13067-B
xun tian	40-6504-S
xun tong dao	58-28663-S,62-13583-S
xun tuo	69-46171-B
xun wang	7-39920-S
xun wei	20-44882-B,62-59316-B
xun wei yuan hui	15-20582-S,15-20795-S
xun wen	20-44933-B,57-60933-B,58-12108-B
xun xi	57-60988-B
xun xi chu li xi tong	57-61234-B
xun xi chuan di zhong jie	57-61065-B
xun xi tong	62-13333-S
xun xi yuan	57-61171-B
xun xian dai Zhong guo	61-56868-S
xun xie ding	62-13178-S
xun xin	20-45804-B
xun xin wen wang	11-10106-S
xun xu jian jin	24-17095-B
xun xun	53-17122-S
xun yang	69-45904-B
xun yang jian	21-51446-B
xun yi	21-51262-B
xun yi cao	41-12921-B,55-27245-B
xun yin qing	28-56008-S
xun you	21-51958-B
xun yu	57-64774-B,70-48506-B
xun yuan	58-46766-S
xun yuan shi	62-13730-S
xun zang	35-60737-B
xun zhai	14-50700-S
xun zhang	10-3722-B,17-30625-S
xun zhao	20-45173-B
xun zheng	41-33882-B
xun zheng ji	41-33926-B
xun zhi	12-12519-S,20-44977-B,35-60677-B,41-12696-B,42-26465-S
xun zi dong hua	62-13410-S
xun1	6-61125-S,6-61236-S,9-47990-S,10-3688-B,10-10058-B,10-10101-B,16-21376-B,16-32219-B,28-12177-S,32-2355-B,40-44078-B,41-12650-B,41-33797-B,42-22720-B,47-56112-B,50-43558-B,52-53214-B,53-17122-S,55-26899-B,55-27150-B,63-51597-B,65-31626-S,65-31719-S,69-28934-S,69-30653-S
xun1 feng1	41-13204-B
xun1 ji4	10-10211-B
xun1 jue2	10-10135-B
xun1 kao3	41-12854-B
xun1 liao2 fa3	69-28975-S
xun1 ran3	41-12758-B
xun1 rou4	41-33843-B
xun1 tao2	41-12973-B
xun1 tao2 cheng2 xing4	41-13067-B
xun1 tian1	40-6504-S
xun1 xun1	53-17122-S
xun1 yi1 cao3	41-12921-B,55-27245-B
xun1 zhang1	10-3722-B,17-30625-S
xun1 zheng1	41-33882-B
xun1 zheng1 ji4	41-33926-B
xun1 zhi4	41-12696-B
xun2	1-50072-S,1-60304-S,2-73277-S,5-24678-S,13-28334-S,14-34466-B,14-60157-S,20-44603-B,21-38821-B,21-50968-B,23-64528-S,24-16899-B,24-66899-B,26-59384-S,28-22996-S,28-55955-S,31-15984-B,33-46860-S,33-52105-B,34-62561-B,37-63094-B,38-18917-S,39-63780-B,40-19420-B,41-30379-B,42-46016-B,44-19034-S,49-3770-B,50-16291-S,54-19168-B,54-61159-S,56-19212-B,58-12078-B,58-46699-S,59-60900-S,61-16723-S,61-56803-S,61-59910-S,62-68498-S,63-20737-B,70-48458-B
xun2 bao3	20-45069-B
xun2 ce4 yi2	21-51525-B
xun2 cha2	21-51403-B
xun2 chang2	2-6204-S,20-45116-B
xun2 chou2	20-44732-B
xun2 di4	20-45739-B
xun2 fang3	20-46030-B
xun2 fu3	21-51318-B
xun2 gen1 wen4 di3	20-45227-B,58-12152-B
xun2 gui1 dao3 ju3	24-17586-B
xun2 hang2	21-51580-B
xun2 hang2 dao3 dan4	11-52932-S,21-51624-B
xun2 hua1 wen4 liu3	20-45872-B
xun2 huan1 zuo4 le4	20-45428-B
xun2 huan2	8-13281-S,24-17162-B,25-20658-S,33-60021-S,35-15840-S,41-23793-S,53-41493-S
xun2 huan2 sai4	24-17518-B
xun2 huan2 shi3 yong4	24-17224-B
xun2 huan2 xi4 tong3	24-17443-B
xun2 huan2 xiao3 shu4	24-17312-B
xun2 huan2 xing4	24-17387-B
xun2 huan2 zai4 hu1 xi1 shui3 fei4 xi4 tong3	20-5906-S
xun2 hui2	21-51021-B,21-51802-B
xun2 hui2 fa3 ting2	21-51062-B
xun2 hui2 fen1 xi1 duan1 kou3	21-51856-B
xun2 hui2 yan3 chu1	21-51148-B
xun2 ji1	20-45369-B
xun2 jie2	3-50608-S,14-50636-S
xun2 jing3	21-51753-B
xun2 jiu3 shi2	1-35002-S
xun2 kai1 xin1	20-46098-B
xun2 ke4	31-16421-B
xun2 lai2 fan4 chou2	20-44801-B
xun2 luo2	21-52011-B
xun2 luo2 che1	21-52119-B
xun2 luo2 dui4	21-52174-B
xun2 luo2 ting3	21-52062-B
xun2 ma2	54-19197-B
xun2 ma2 zhen3	54-19236-B
xun2 mi4	20-45986-B
xun2 nian2	31-16088-B
xun2 qi1	31-16322-B
xun2 qiu2	20-45534-B
xun2 ri4	31-16142-B
xun2 ruan3 ti3	28-56113-S
xun2 shi2	31-16214-B
xun2 shi3	31-16037-B
xun2 shi4	21-51695-B
xun2 shi4 sheng1 fei1	20-44655-B
xun2 shou3	31-16691-B
xun2 shou3 jiu4	14-60267-S
xun2 shu1 yue4 song4	31-16490-B
xun2 shuo4	31-16256-B
xun2 sui4	31-16363-B
xun2 wei3 yuan2 hui4	15-20582-S,15-20795-S
xun2 wei4	20-44882-B
xun2 wen4	20-44933-B,58-12108-B
xun2 xian4 dai4 Zhong1 guo2	61-56868-S
xun2 xin4	20-45804-B
xun2 xu4 jian4 jin4	24-17095-B
xun2 yang2 jian4	21-51446-B
xun2 yi4	21-51262-B
xun2 yin3 qing2	28-56008-S
xun2 you2	21-51958-B
xun2 yu2	70-48506-B
xun2 yuan2	58-46766-S
xun2 zhai1	14-50700-S
xun2 zhao3	20-45173-B
xun2 zhi3	12-12519-S,20-44977-B
xun4	2-32595-S,2-34936-S,3-65189-S,5-21790-B,6-21151-S,6-27456-S,6-39524-S,8-26032-S,11-10068-S,11-24884-S,11-64433-S,13-63082-S,14-9327-S,14-33586-B,15-66375-S,16-55786-S,18-48161-S,20-22955-S,21-28569-S,22-11463-B,23-65393-B,26-51574-S,28-42248-S,29-6313-S,29-44056-S,29-61240-S,30-16449-S,31-41644-S,33-53743-S,35-59458-S,35-60364-B,36-8123-S,36-57301-B,36-61002-S,39-23446-S,39-61096-B,45-3244-S,45-3338-S,46-367-S,48-38562-S,49-7669-S,50-62328-S,51-43105-S,51-50934-S,51-57314-S,55-14134-B,55-23276-S,57-60842-B,57-64053-B,58-39292-S,58-39359-S,58-40331-S,58-53991-S,59-1837-S,59-53192-S,61-585-S,61-16669-S,61-44355-B,61-61265-B,62-13084-S,62-14138-S,62-59285-B,63-3741-S,65-61845-S,66-59509-S,67-36623-S,69-45442-B,70-56843-S
xun4 Gong1 si1	54-2814-S
xun4 bao4	36-5962-S
xun4 chi4	57-64271-B
xun4 chu4	29-57793-S
xun4 ci2	57-65032-B
xun4 cong2	69-45615-B
xun4 dao3 zhi2 wu4	57-64173-B
xun4 di2	57-65220-B
xun4 ding4 yue4	51-53877-S
xun4 fu2	69-45767-B
xun4 gong1 si1	67-36684-S
xun4 gu3	57-64837-B
xun4 gu3 xue2	57-64936-B
xun4 guo2	35-60419-B
xun4 han4 ji4	69-45663-B
xun4 hang2 ye4	62-13503-S
xun4 hao4	57-61711-B
xun4 hua4	57-65087-B,69-45508-B
xun4 jiao1 huan4 biao1 zhun3 ma3	51-5391-S
xun4 jie4	57-65145-B
xun4 ke1 ji4	59-53236-S
xun4 kuang4 chuan2 song4	57-61337-B
xun4 kuang4 chuan2 song4 fu2 wu4	57-61409-B
xun4 kuang4 chuan2 song4 lun4 tan2	57-61611-B
xun4 kuang4 chuan2 song4 wang3 lu4	57-61509-B
xun4 lei2	61-44570-B
xun4 lian4	15-36194-S,57-64597-B
xun4 lian4 ying2	57-64661-B
xun4 lian4 zhe3	57-64721-B
xun4 liang2	69-45811-B
xun4 ling4	57-64121-B
xun4 lu4	62-13663-S,69-46223-B
xun4 ma3	69-45972-B
xun4 ma3 chang3	69-46104-B
xun4 ma3 ren2	69-46047-B
xun4 meng3	61-44383-B
xun4 min2 zheng4 yin1	57-64353-B
xun4 nan4	35-60827-B
xun4 qi1	35-65291-S
xun4 qing2	35-60477-B
xun4 rao3	69-45726-B
xun4 ren2	29-6370-S
xun4 se4	36-16661-S,62-59513-B
xun4 shan4	69-45564-B
xun4 she4	15-16789-S,23-57294-S,32-50113-S,51-60906-S,62-13259-S,68-11638-S
xun4 shou4 shu4	57-64499-B
xun4 shun4	69-45858-B
xun4 si1 wang3 fa3	23-65428-B
xun4 si1 wu3 bi4	23-65532-B
xun4 si3	35-60577-B
xun4 su4	61-44435-B,70-56921-S
xun4 su4 lu:4	49-5052-S
xun4 su4 man4 yan2	61-44485-B
xun4 tong1 dao4	58-28663-S,62-13583-S
xun4 tuo2	69-46171-B
xun4 wang3	7-39920-S
xun4 wei4	62-59316-B
xun4 wen4	57-60933-B
xun4 xi1	57-60988-B
xun4 xi1 chu3 li3 xi4 tong3	57-61234-B
xun4 xi1 chuan2 di4 zhong1 jie4	57-61065-B
xun4 xi1 yuan2	57-61171-B
xun4 xi4 tong3	62-13333-S
xun4 xie2 ding4	62-13178-S
xun4 xin1 wen2 wang3	11-10106-S
xun4 yang3	69-45904-B
xun4 yu4	57-64774-B
xun4 yuan4 shi4	62-13730-S
xun4 zang4	35-60737-B
xun4 zhi2	35-60677-B,42-26465-S
xun4 zi4 dong4 hua4	62-13410-S
xun5	30-5319-S
xuàn	24-4616-S,30-69854-B,31-32605-B,31-58604-S,34-31891-B,34-31933-B,37-45105-B,39-6662-B,40-29711-B,45-13447-S,45-18157-S,45-46271-B,45-46695-B,49-48840-B,55-11231-B,56-36232-B,60-29941-S,64-23088-B,64-55841-B,68-7884-B,68-37668-S,68-38171-S,69-51476-B
xuàn chuáng	30-70525-B
xuàn dàn	67-40598-S
xuàn fēng	31-1842-B
xuàn fēng jiǎo	31-1895-B
xuàn gōng	30-70453-B
xuàn huò	45-46308-B
xuàn làn	49-48907-B
xuàn lì	45-46539-B,49-48968-B
xuàn mù	30-70615-B,45-46479-B
xuàn rǎn	39-6698-B
xuàn tóu hūn	45-18211-S
xuàn wō	39-52082-B
xuàn yào	40-29753-B
xuàn yùn	13-11361-S
xuàn yūn	45-46399-B
xuàn zi	30-70288-B
xuán	1-60190-S,5-56262-S,8-29919-S,13-12129-S,13-51295-S,14-55955-S,17-51437-S,26-1919-B,30-37417-S,30-69823-B,33-61707-S,34-7667-S,36-28373-S,39-3029-S,39-51965-B,42-26942-B,42-26982-S,42-51335-B,43-3287-B,43-5849-S,43-7532-B,45-11086-S,56-9544-S,56-13670-S,57-50806-S,61-53184-S,63-34374-S
xuán bì	31-283-B
xuán chuí	26-1966-B
xuán dàng	26-2787-B
xuán fù huā	31-423-B
xuán fú	26-2576-B,46-35526-S
xuán fú wù	26-2647-B
xuán fēn cí	15-54699-S
xuán guà	26-2415-B
xuán guān	42-28502-B
xuán huí	30-70187-B
xuán hú	42-28042-B
xuán hú jì shì	26-2010-B
xuán hū	42-27115-B
xuán jiā sù qì	14-56015-S
xuán jiǎng	56-13925-S
xuán jí	30-70135-B
xuán jī	42-27653-B
xuán jǔ	15-41792-S
xuán kōng	26-2840-B
xuán kōng sì	26-2882-B
xuán liú	30-70760-B
xuán líng	26-27005-S
xuán lǐ	31-375-B,42-28122-B
xuán lǜ	30-70568-B
xuán miào	42-27355-B
xuán mén	8-29971-S
xuán mì	42-28276-B
xuán niàn	26-2360-B
xuán niǔ	31-1721-B
xuán qián	56-14040-S
xuán qián jī	30-70050-B
xuán qián zhuǎn kūn	30-69909-B
xuán qiān jīn dǐng	56-13711-S
xuán qīng	42-28578-B
xuán qū mián	56-13844-S
xuán rào	31-179-B
xuán shí	42-28226-B
xuán shū	26-2491-B
xuán shǎng	26-3147-B
xuán suǒ qiáo	26-2986-B
xuán sūn	42-27419-B
xuán tī	30-70676-B
xuán tǐ	56-14093-S
xuán tǐ bìng	64-24570-S
xuán tǒng	31-130-B
xuán wō	30-70808-B,39-51993-B
xuán wō jié gòu	39-17334-S
xuán wō xīng xì	31-0-B
xuán wō zhuàng	31-69-B
xuán wǔ	31-327-B,42-27749-B
xuán wǔ mén zhī biàn	42-27932-B
xuán wǔ yán	33-32699-S,42-27868-B
xuán xiāo qiú	1-60241-S
xuán xué	42-27474-B
xuán xíng	56-13791-S
xuán xīng xì	34-20563-S
xuán xū	29-60107-S,42-28370-B
xuán yuǎn	42-28441-B
xuán yá	26-2163-B
xuán yá lè mǎ	26-2206-B
xuán yán	26-2123-B
xuán yì	31-239-B
xuán yí	26-2745-B
xuán zhuǎn	31-612-B
xuán zhuǎn cān tīng	31-1641-B
xuán zhuǎn jiǎo	31-1332-B
xuán zhuǎn jiǎo sù dù	31-1398-B
xuán zhuǎn jí	31-1088-B
xuán zhuǎn lì	31-686-B
xuán zhuǎn mù mǎ	31-999-B
xuán zhuǎn qiú	31-1151-B
xuán zhuǎn qū mián	31-909-B
xuán zhuǎn tái	31-753-B
xuán zhuǎn xíng li chuán sòng dài	31-1208-B
xuán zhuǎn yùn dòng	31-1559-B
xuán zhuǎn zhóu	31-1494-B
xuán zhuǎn zhǐ biāo	31-835-B
xuán zhá	31-1790-B
xuán zhī jí	5-56503-S
xuán zhī kǔ	5-56663-S
xuán zhī wēi	5-56342-S
xuán zhī yòu xuán	42-26982-B
xuán zhǒng	31-514-B
xuán zi	30-70230-B
xuán zàng	42-27170-B
xuán zōng	13-52453-S
xuán zǎo	56-13982-S
xuán àn dà gāng xié dìng	2-81022-S
xuán ào	42-27266-B
xuán ér wèi jué	26-3050-B
xuè	5-22997-S,7-241-S,8-9364-S,8-23123-S,8-28412-S,8-44796-S,14-29882-S,15-38206-S,17-67095-S,17-67139-S,24-38802-S,26-21747-S,27-17795-S,28-4324-S,33-10590-S,35-33211-S,36-29955-S,38-5756-S,38-15000-S,38-21216-S,38-55321-S,39-23144-S,39-24451-S,41-21559-S,42-26248-S,44-16700-S,46-30011-S,50-49431-S,51-52911-S,52-31511-S,52-39264-S,54-12666-S,56-23774-B,56-59324-S,58-39626-S,58-46258-S,58-53108-B,59-36652-S,61-18044-S,62-19115-S,65-1633-S,66-42301-S,66-49560-S,69-58848-S,70-2091-S,70-43428-S
xuè bìng	16-35267-S,39-24544-S,44-46059-S
xuè bó	56-26360-B
xuè bān	38-44348-S
xuè bēng	56-24826-B
xuè běn	56-25389-B
xuè běn wú guī	56-25487-B
xuè diàn	35-33284-S
xuè dòng wù	8-23190-S
xuè guǎn	24-21642-S,24-39028-S,56-27808-B
xuè guǎn jí bìng	24-39088-S
xuè guǎn píng zhàng	52-40838-S
xuè guǎn zhōu yàng yìng huà	56-27854-B
xuè guǐ	13-4474-S
xuè gài sù	66-18190-S
xuè gàn xì bāo	62-19188-S
xuè hàn	56-26253-B
xuè hóng dàn bái	56-28032-B,70-23177-S
xuè hóng sù	56-27977-B
xuè jié	56-27736-B
xuè jiāng	56-27098-B
xuè jì	27-4104-S,56-27640-B
xuè jù	58-53186-B
xuè jī	56-29920-B
xuè jī bān bān	56-29963-B
xuè kuài	56-24510-B
xuè kuī	56-29425-B
xuè kù	56-24978-B
xuè kǒu	56-24026-B
xuè kǒu pēn rén	56-24109-B
xuè liú	56-26469-B,56-27500-B
xuè liú piāo chǔ	56-26513-B
xuè lái cháo	24-38896-S
xuè lán sù	56-29282-B
xuè lèi	56-26909-B
xuè lín lín	56-26828-B
xuè lù	56-30030-B
xuè mài	56-28807-B
xuè méi	8-28457-S
xuè méi yuán	8-28511-S
xuè niào	56-24782-B
xuè níng	56-23923-B,65-63173-S
xuè nóng yú shuǐ	56-27146-B
xuè qiú	44-45988-S,49-13068-S,56-27280-B
xuè qiú pín xuè zhèng	65-1729-S
xuè qiú shēng chéng sù	49-13140-S
xuè qì	56-25929-B
xuè qì fāng gāng	56-26017-B
xuè qìng	56-29639-B
xuè qīng	27-7474-S,56-27003-B
xuè rè	8-45034-S
xuè rèn	8-519-S
xuè ròu	56-28467-B
xuè ròu héng fēi	56-28506-B
xuè ròu xiāng lián	56-28630-B
xuè shuān	35-33359-S,56-25640-B
xuè shuān bìng	56-25768-B
xuè shuān xíng chéng	56-25697-B
xuè shuān zhèng	56-25826-B
xuè shuǐ	56-26195-B
xuè shí	67-8213-S
xuè shān	56-29512-B
xuè shī	56-24930-B
xuè shū	56-25322-B
xuè shǐ	56-24227-B
xuè suān	27-4434-S
xuè sè	56-24549-B,56-29015-B
xuè sè sù	56-29068-B
xuè sè sù chén jī zhèng	56-29189-B
xuè tián	56-27338-B
xuè táng	70-21484-S
xuè tǒng	56-28153-B
xuè tǒng lùn	56-28233-B
xuè wū	56-26317-B
xuè xiàng	56-29766-B
xuè xiōng	56-28744-B
xuè xiǎo bǎn	56-24722-B
xuè xì	58-53234-B
xuè xì bāo	56-28099-B
xuè xìng	8-44869-S
xuè xìng dēng gé rè	8-44926-S
xuè xìng huài sǐ	59-36692-S
xuè xìng pín xuè	17-67139-S
xuè xíng	56-24453-B
xuè xī chóng	56-24323-B
xuè xī chóng bìng	56-24380-B
xuè xīng	56-28854-B
xuè xǐ	56-26416-B
xuè yuán	56-28338-B
xuè yuán guān xì	56-28382-B
xuè yè	56-26648-B
xuè yè bìng	56-26763-B
xuè yè zēng qiáng jì	56-26686-B
xuè yù	56-30227-B
xuè yùn	56-25280-B
xuè yā	4-69481-S,56-24599-B,70-21408-S
xuè yā jì	56-24646-B
xuè yī	56-29465-B
xuè yūn	56-25196-B
xuè yǎng hán liàng	56-26118-B
xuè yǒu bìng	56-23970-B
xuè yǔ	56-30143-B,58-53384-B
xuè zhài	56-23856-B
xuè zhàn	56-25021-B
xuè zhàng	56-29852-B
xuè zhèng	10-54597-S,29-66650-S,44-11281-S,56-29692-B,65-1729-S,65-1861-S,70-21008-S
xuè zhì pǐn	56-29580-B
xuè zhě	5-23047-S,28-4394-S,42-26298-S
xuè zhǒng	56-28921-B
xuè zì	56-27055-B
xuè zú	56-25118-B
xuè zǎi xiàng	65-4509-S
xuè àn	56-25885-B
xuè ái	56-27599-B
xuè ér	38-55361-S
xuè ér bù nüè	58-53282-B
xué	1-41794-S,1-48535-S,1-51578-S,1-51914-S,1-52141-S,1-52922-S,1-53365-S,2-52962-S,2-56900-S,2-58572-S,2-58697-S,2-67005-S,2-68671-S,2-69761-S,2-83208-S,3-5955-S,3-69037-S,3-72489-S,4-6904-S,4-7211-S,4-10335-S,4-18659-S,4-19210-S,4-22670-S,4-31530-S,4-45526-S,4-52460-S,5-44454-S,5-49451-S,6-3375-S,6-24530-S,6-37275-S,6-37572-S,6-55615-S,6-58132-S,7-7568-S,7-8106-S,7-20740-S,7-24504-S,7-27165-S,7-30538-S,7-31781-S,7-51640-S,8-20559-S,8-50905-S,8-51049-S,8-52853-S,8-54710-S,8-54903-S,8-59986-S,9-1288-S,9-1358-S,9-44047-S,9-45646-S,9-51952-S,9-68727-S,10-731-S,10-9175-S,10-10872-S,10-21204-S,10-25916-S,10-26096-S,10-26348-S,10-26876-S,10-27180-S,10-27289-S,10-27728-S,10-32091-S,10-37536-S,10-53030-S,10-66241-S,10-66858-S,11-4664-S,11-7086-S,11-12359-S,11-13116-S,11-52023-S,12-4201-S,12-20708-S,12-21226-S,12-37097-S,12-40781-S,12-46443-S,12-49440-S,12-49512-S,12-49653-S,12-55554-S,13-33582-S,13-36787-S,13-39231-S,13-42512-S,13-47629-S,13-59025-S,14-15294-S,14-48885-S,14-49683-S,15-4248-S,15-12109-S,15-12245-S,15-30305-S,15-40449-S,15-42904-S,15-43042-S,15-43116-S,15-43224-S,15-44216-S,15-44926-S,15-45894-S,15-67085-S,16-25641-S,16-49599-S,17-11475-S,17-14308-S,17-16304-S,17-36235-S,17-47497-S,17-49331-S,17-55034-S,17-55108-S,17-61910-S,17-64969-S,18-27872-S,19-3354-S,19-16637-B,19-28560-S,19-37290-S,19-39619-S,19-62637-S,20-4732-S,20-5119-S,20-14149-S,20-16234-S,20-35118-S,20-35521-S,20-48499-S,20-63116-S,21-28245-S,21-30238-S,21-32965-S,21-36581-S,21-36718-S,21-48748-B,21-52510-S,21-56025-S,21-56608-S,21-56704-S,22-11196-S,22-16104-S,22-19954-S,22-26589-S,22-56383-S,22-56527-S,22-56657-S,23-1686-S,23-4669-S,23-22405-S,23-55239-S,23-67342-S,24-14220-S,24-14520-S,24-18050-S,24-18178-S,24-20098-S,24-20504-S,24-22355-S,24-35054-S,25-60395-S,25-60543-S,26-37565-S,27-1472-S,27-21923-S,27-24384-S,27-32385-S,27-67139-S,29-49288-S,29-49684-S,29-56109-S,29-56849-S,30-2008-S,30-4688-S,30-7681-S,30-21006-S,30-21469-S,30-26955-S,30-27144-S,30-29691-S,30-39679-S,30-44482-S,30-54458-S,30-63454-S,31-8969-S,31-15185-S,31-19554-S,31-31081-S,31-48508-S,31-48666-S,31-51424-S,31-64642-S,32-24913-S,32-35505-S,32-56265-S,33-7118-S,33-7180-S,33-14866-S,33-15521-S,33-16213-S,33-33950-S,33-41115-S,33-41248-S,33-66493-S,34-25563-S,34-28971-S,34-33513-S,35-27823-S,35-28145-S,35-47738-S,35-48165-S,35-52159-S,36-12374-S,36-19523-S,36-21238-S,36-21442-S,36-30380-S,36-39237-S,36-53867-S,36-55952-S,37-30575-S,37-35238-S,37-38024-S,37-38683-S,37-50391-S,37-58113-S,38-6131-S,38-6628-S,38-7804-S,38-7887-S,38-8571-S,38-21019-S,38-54486-S,38-56398-S,38-64630-S,39-3805-S,39-10795-S,39-11459-S,39-49187-S,40-55358-S,41-18029-S,41-28488-S,41-32780-S,41-48019-S,41-49452-S,41-53046-S,41-53916-S,41-53988-S,42-3009-S,42-25456-S,42-25848-S,42-27474-S,42-50802-S,42-53868-S,42-54501-S,42-56884-S,43-19405-S,43-20777-S,43-23606-S,43-23674-S,43-24236-S,43-24439-S,43-26263-S,43-49079-S,44-10924-S,44-11801-S,44-33037-S,45-19193-S,45-42521-S,45-50998-S,45-55982-S,46-7833-S,46-44755-S,46-47489-S,46-48804-S,46-49487-S,46-56634-S,46-59391-S,46-59864-S,47-17089-S,47-18700-S,47-43946-B,47-48131-S,47-48918-S,48-7086-S,48-26922-S,48-33393-S,48-33545-S,48-55426-S,48-56364-S,49-19042-S,49-20731-S,49-27773-S,49-32985-S,49-33216-S,49-37901-S,49-38708-S,49-41551-S,49-53374-S,49-60077-S,51-6004-S,51-32866-S,51-42325-S,51-65541-S,51-68477-S,52-19936-S,52-41335-S,52-41695-S,53-4750-S,53-9237-S,53-35336-S,53-50593-S,54-31928-S,54-32068-S,54-32412-S,54-33447-S,54-34256-S,54-34362-S,54-37324-S,54-41007-S,55-33815-S,55-34630-S,55-38555-S,55-44758-S,55-45094-S,57-13200-S,57-13868-S,57-15412-S,57-47699-S,57-50622-S,57-54179-B,57-59459-S,57-60123-S,57-64936-S,58-1352-S,58-15581-S,58-21311-S,58-27027-S,58-27267-S,58-28392-S,58-64285-S,59-5194-S,59-7354-S,59-55275-S,60-13355-S,60-46139-B,60-62603-S,60-63353-S,61-8699-S,61-14538-S,61-22539-S,61-35317-S,61-36740-S,61-40207-S,61-62100-S,61-64753-S,62-1392-S,62-24254-S,62-36480-S,62-39004-S,62-41046-S,62-50334-S,63-1754-S,63-4839-S,63-14395-S,63-34101-S,63-49568-S,63-58810-S,64-5583-S,64-17128-S,65-33263-S,65-40438-S,65-54853-S,66-24849-S,67-10093-S,67-26404-S,67-27870-S,67-28548-S,67-29486-S,67-33205-S,67-42594-S,67-61573-S,67-65968-S,67-67352-S,68-14369-S,68-16077-S,68-50282-S,68-50678-S,69-7772-S,69-24120-S,69-26806-S,69-27086-S,69-27577-S,69-27689-S,69-36142-S,70-12086-S,70-19666-S,70-38669-S,70-51242-S,71-1901-B,71-15896-S,71-27159-S
xué biān jí	47-18183-S
xué bào	19-17362-B
xué bó shì	30-27188-S,63-49714-S
xué bó shì xué wèi	13-47731-S
xué bō	47-44120-B
xué bǐ sè fǎ	10-22795-S
xué chuán dì	9-45702-S
xué chéng cái	53-4812-S
xué de jiāo liú	47-18023-S
xué duō cái	11-7134-S
xué dà chéng	17-47552-S
xué dài kuǎn	9-61310-S
xué dàn yào	10-21901-S
xué dào lǎo	37-63678-S
xué fèi	19-19662-B
xué fāng chéng shì	10-22440-S
xué fēn	19-16933-B
xué fēn xī	30-21591-S
xué fǎn yìng	10-21491-S
xué fǔ	19-17748-B
xué guài rén	47-17348-S
xué guǎn lǐ	47-18107-S
xué gōng chéng	10-21744-S,43-25737-S
xué gōng chéng shī lián hé huì	67-31416-S
xué gōng shì	30-21527-S
xué gōng yè	10-21671-S
xué gōng yè xié huì	2-61549-S
xué huài	19-17423-B
xué huì	2-56774-S,2-60648-S,7-35639-S,9-35543-S,19-17900-B,44-61095-S,54-2550-S
xué háng dàn	10-23214-S
xué hòu	29-49339-S
xué hǎi	19-18257-B,30-29469-S,62-50632-S
xué hǎi fàn zhōu	19-18347-B
xué hǎi wú yá	19-18458-B
xué hǎo	19-17602-B
xué jiàn	10-23284-S
xué jiā	4-18716-S,10-21619-S,11-32322-S,12-4270-S,12-21274-S,13-47947-S,15-43276-S,15-44977-S,15-45972-S,17-19514-S,17-47644-S,19-17659-B,24-20167-S,24-35108-S,30-21676-S,30-27326-S,35-52210-S,36-25417-S,37-30625-S,39-49387-S,41-54038-S,42-53918-S,43-20831-S,43-24289-S,43-26319-S,44-10996-S,46-56689-S,46-59447-S,47-17295-S,48-55483-S,49-60153-S,51-32920-S,58-27322-S,63-49786-S
xué jiā tōng bào	11-32422-S
xué jiān yōu	13-33678-S
xué jiǎ zhèn	19-18855-B
xué jiǎng	30-27392-S,54-7606-S,58-49970-S
xué jì liàng jì	10-21406-S
xué jì shù	47-17424-S
xué jì shù shì dì yī shēng chǎn lì	47-17500-S
xué jì shù xiàn dài huà	47-17802-S
xué jí	19-19041-B,19-19088-B,65-43820-S
xué jī guāng qì	10-22948-S
xué jī gòu	30-2148-S
xué jī jīn huì	53-9307-S
xué jīn	42-16708-S
