present the counts	47-9333-S
producing evil	25-20541-B
producing external secretion e g saliva	16-44592-S
producing internal secretion	7-26547-S
producing progesterone	71-25014-S
product	1-60459-S,7-30599-S,8-36385-S,8-36603-S,9-11306-S,9-32819-S,11-42137-S,12-57201-S,13-33306-B,13-33413-S,13-34426-S,15-10692-S,15-45343-S,16-40349-S,16-43566-S,16-49776-S,18-23643-S,20-39851-S,23-7928-S,23-44029-S,25-49136-S,26-8990-S,27-50137-S,27-50267-S,35-63026-S,41-60467-S,43-25588-S,43-25662-S,43-30965-B,43-31510-B,43-31642-S,43-32369-B,48-988-S,48-988-S,48-58638-S,49-66030-S,50-598-S,57-4046-S,58-13413-S,60-13211-S,60-13211-S,61-12335-S,61-62234-S,69-3048-S
product derived from simpler source material	56-35711-S,56-35814-S
product for export	61-17606-B
product gdp	15-2192-S,15-10692-S
product i e gasoline and diesel oil	61-12441-S
product in advertising	28-45850-S
product in great demand	60-54758-B
product industry	41-52088-S
product manager	43-31570-B
product of two ratios	57-6005-S
product of two vectors	7-30599-S,16-49776-S
product of vectors	30-24331-S
product or manufacturing process	58-13413-S
product result of multiplication	3-13869-B
product sells well	60-9660-S
product the result of multiplication	47-38278-B
product will extend your life	23-17304-S
product with distinctive native features	15-32008-S
production	5-35702-S,6-16109-S,6-17000-S,16-27245-S,17-37337-S,39-877-S,43-26924-S,43-27243-S,43-27503-S,43-27581-S,43-27684-S,43-31386-S,43-32422-B,55-56490-S,61-25754-S,63-61292-S,66-58762-S
production and marketing	43-33260-B
production brigade	17-39329-B
production capability	43-26674-B
production capacity	43-27143-B
production contract	10-16466-S
production equipment	43-27322-B
production facility	43-27425-B
production gdp	43-27869-S
production goal	60-21900-S
production in marxism	26-28812-S
production line	43-27008-B,57-1031-B
production of speech	58-27385-B
production reactor	43-26835-B
production rejects	23-8409-B
production team	43-27806-B
production unit or firm	10-19174-S
productive force	43-26674-B
productive force from 1978 speech by deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
productive labor	10-59833-S,43-26759-B
productivity	43-26924-B
productivity of land	15-38617-B
products	3-23476-S,8-43664-S,10-57681-S,11-17834-S,23-8897-S,35-20286-S,35-21770-S,40-10384-S,41-54367-B,43-34539-B,43-53752-S,49-21811-S,56-29580-S,56-55115-S,57-3998-B,61-25754-S,61-42319-S,63-10833-S,63-42128-S,67-68088-S
products leading small group	60-64257-S
products trade sacmpt	15-7572-S
products trade sbmpt	15-7438-S
profane	2-38047-B
profanity	70-4885-B
profess	43-43809-S,51-66584-B,53-12747-B
profess conviction	11-68289-S
profess devotion only when in trouble	27-12591-S,52-57896-S
profession	12-51439-S,21-52613-B,24-11787-S,29-45329-S,32-66554-S,34-32260-B,51-68419-B,53-11463-B,56-30580-B,61-25107-S,61-27488-S
profession or business	29-44772-S
professional	10-10279-B,56-30580-B
professional certification	58-60947-B
professional golfer s association pga	51-68621-B
professional position	51-68858-S
professional quality in ideological education	34-32311-B
professionally	10-4026-S
professions	3-54633-S,12-30483-S
professor	12-58664-S,19-51756-S,27-58195-S,30-2829-S,34-42021-S
professor ibrahim gambari 1944 	43-13998-B
professor or military advisor etc	37-50106-S
professor university post	9-32409-S
professor wang yongmin 1943 	42-35705-B
professors	30-2911-S
professors are after all professors	30-2911-B
proficiency	1-9253-S
proficiency test	39-51086-S
proficient	10-10279-B,11-10178-B,41-16152-B,47-43427-S,48-58500-B,58-47042-B
proficient in sth	62-9964-B
proficient refined ability	48-52303-B
profile	4-69580-S,6-20088-B,6-20088-S,9-27292-B,16-50710-B,20-60741-B,29-55093-S,50-32056-B,65-18159-B
profit	3-495-S,5-61061-S,5-61307-S,9-5582-B,9-35822-S,11-63046-B,12-54173-S,18-1441-B,18-62386-B,20-51246-S,26-10355-B,28-55523-S,29-41603-B,29-41768-B,30-60844-S,35-10145-S,41-30809-S,41-30809-S,42-22996-B,45-2159-B,45-2507-B,49-20207-S,50-32817-S,50-33286-S,57-2661-B,58-50466-S,58-50466-S,59-32797-S,59-63090-S,59-63170-S,60-4216-S,63-56411-S,65-9643-S,67-66870-S,67-66870-S,67-66940-S,67-67917-S,68-57982-S
profit and loss	28-52669-B,45-2272-B
profit and losses of organization	45-2340-S,53-14422-S
profit and seek fame 成语 saw	62-56008-S
profit before everything	13-54683-S
profit but rapid turnover	55-18089-S
profit by other people s toil	1-74005-B
profit by underhand means	41-49805-S,41-49897-S
profit derog 	5-56009-S
profit from a disaster 成语 saw	14-61468-S
profit from sb else s prestige	5-64058-S
profit from sb s misfortune	60-19437-S
profit from sth	42-23983-S
profit from widespread suggestions	66-57782-S
profit margin	9-7274-B
profit on the currency market	9-35874-S
profit organization	67-66995-S,67-67093-S
profit tax	9-6681-B
profit 成语 saw	12-54222-S,13-54683-S,23-65428-S
profitable	1-71998-S,8-64873-B,8-65300-S,32-30285-B,57-2550-B
profitable outcome	68-23325-S
profitable to both sides	67-1214-B
profiteer	5-57158-S,5-59148-B,18-24711-S,42-23870-B
profiteering by government employees	19-40296-B
profiteering 成语 saw	27-2399-S
profits	1-11524-S,9-7234-B,15-47840-S,27-19744-S,31-66121-S,55-18044-S
profligate	25-30794-B
profound	7-24933-B,11-6990-S,18-15786-B,19-56532-B,37-5859-B,37-12664-B,38-8885-B,38-48227-B,38-48806-B,38-48915-B,38-49421-B,38-50559-B,38-51818-B,38-51966-B,38-52030-S,38-52474-B,40-10725-B,42-27355-B,42-28441-B,47-58048-B,59-2097-B,63-11124-B,70-16926-B
profound and significant text	11-71169-B
profound condolences	37-6707-B
profound friendship	64-14614-B
profound mystery	42-27266-B,70-16969-B
profound of writing	70-6328-S
profound theory	42-28122-B
profound theory in daoism and buddhism	42-27653-B
profoundly	38-49421-B,41-16224-S
profuse	53-65543-B
profusely	36-56328-S,39-35968-S,41-28099-S
profusion	50-43462-S
progesterone	19-3967-B,71-25014-S
progfitable 成语 saw	65-31013-S
prognosis	68-28560-S
prognosis esp medical	68-28713-B
prognostication	45-27646-S
program	2-47762-S,10-57442-S,16-10108-S,25-60615-S,29-57544-S,29-57679-S,32-50516-S,33-59140-S,46-7903-S,47-29364-B,47-29559-B,48-29557-B,48-29557-S,49-3465-S,50-4991-B,50-5160-B,50-6407-S,50-20660-S,51-59438-S,57-25400-S,57-32645-B,57-37135-S,57-58148-B,58-140-S,62-30903-S,67-36381-S,71-39458-S,71-45266-S
program 1872 on geometry and group theory	15-59655-S
program c 1955 1993	49-211-S
program for action etc	30-63224-B
program manager windows	47-29623-B
program of action	56-31831-B
program of lasting importance	17-35403-S
program unep	51-59192-S
program united nations aid agency	2-40533-S
programmable	12-15771-B
programmable read only memory	12-14004-S
programmer	47-29307-B
programming	47-29418-S,50-17053-S,58-2503-B
programming interface	25-60705-S
programming language	12-15569-S,12-15643-S,41-37043-S,41-37104-S,47-29718-B,67-35094-B
programs	29-15184-S
progress	15-33424-S,17-54092-S,22-2450-S,28-5982-S,29-60588-S,31-7186-S,39-47060-S,39-55826-S,41-54961-S,42-40017-S,45-36281-B,48-58546-S,49-14823-S,54-53160-S,55-51582-S,62-29603-S,62-29984-B,62-29984-S,62-30357-S,62-60067-S,63-11055-S,65-20381-S
progress easy	69-49464-S
progress forwards	1-56474-S
progress name of russian spaceship	62-30060-B
progress of hong kong	36-18296-S,36-20221-S
progress on project	62-29670-S
progress or increase	31-10180-S
progress or to promotion	66-39605-S
progress step by step	39-55826-B
progressing to enlightenment	34-33207-S
progression	48-18364-S,48-18809-S
progressive	53-22111-B,62-2609-B,62-30570-B
progressive aphasia	62-30733-B
progressive aphasia ppa	11-34962-S
progressive party	36-18678-S,36-23110-S
progressive scanning	62-2655-B
progressively	62-2380-B,62-59745-S,62-59881-S
progressively extend service delivery	4-65442-S,22-15274-S
prohibit	1-70880-B,11-58858-B,14-42459-S,33-46621-S,35-32634-S,47-174-S,47-767-S,58-29705-B
prohibit performance	47-1075-S
prohibit the use of sth	47-1269-S
prohibition	7-42605-S,11-58658-S,21-24590-S,47-218-B,47-317-B,47-1026-S,47-1594-B,47-1662-B,57-51759-S,62-57862-B
prohibition on entering or leaving by sea	38-22974-B
prohibition on opium esp from 18th early 20th century	47-1132-B
prohibition on use	47-1269-B
prohibition or ban	62-57912-S
project	1-62258-S,3-31066-B,4-18553-S,4-46203-S,7-72869-S,7-72940-S,7-73055-S,9-35166-S,9-69105-S,15-68687-S,17-61824-S,20-34465-S,20-34612-S,21-55534-S,21-56432-S,21-56432-B,24-38802-S,27-1163-S,27-1651-S,32-20601-S,36-20108-S,38-60661-S,41-29877-S,46-16853-S,47-52811-S,54-49974-S,57-58148-B,58-2571-S,58-50561-S,59-17413-S,62-29670-S,68-21597-B,70-55605-S
project 1961 1975	66-7043-S
project as a whole	49-52817-S
project dam	12-38481-S
project in han to tang times on huai river 淮河 in modern anhui	53-49480-S
project of paramount importance	17-35403-B
project of vital and lasting importance	44-53315-S
project or goal	17-7761-S
project taiwanese	20-39445-B
projected	4-3555-S
projectile	23-50245-S,27-27600-S,27-27656-S,36-7026-S,44-27628-S,44-28154-S
projecting over a river	12-43466-S
projecting teeth	71-55671-B,71-55710-B,71-55807-B
projection	27-1114-B,27-1163-S,27-1221-S,30-36172-S,35-36663-S,47-54103-B,47-54181-B,68-28315-B
projection geometry	20-34977-B
projection in perspective drawing	27-1729-S
projection line	27-1651-B
projection of a neuron	34-61418-S
projection to fit into a mortise	34-40664-S
projections	22-53463-S
projections and elevations	43-58776-S
projective	20-34977-B
projective geometry	20-35044-B,20-35118-B,27-1364-B,27-1472-B
projective transformation	20-35203-S
projector	27-1597-B
projects	38-60738-S
prokaryote	11-33739-B,11-33806-B,11-33899-B
prokaryotic cell	4-62672-S,11-33687-B,11-33899-B
prokaryotic cell type microorganism	11-33981-B
prolactin	6-30359-B
prolapsed disc	52-42467-B
prolate spheroid math 	68-48204-B
proletariat	31-50401-S,40-57273-B,40-57351-B,49-9996-S
proletariat and bourgeoisie class enemy	56-28233-S
proletarier aller länder	7-33601-B
proliferation	26-66962-S,29-29163-B,33-57948-S
proliferation treaty	2-12567-S
prolific	16-60355-B,16-62741-B
proline pro	52-35186-B
prologue	22-59545-B
prologue of play	65-32486-B
prolong	23-16336-S,23-19422-S
prolonged absence	50-43941-B
promethium pm61	64-23454-B
prominence	8-31802-S
prominence to	47-52811-S
prominent	41-34045-B,41-56459-B,42-19826-B,47-52811-B,47-54250-S,68-49920-B
prominent eyes	45-45910-B
prominent ground	16-23024-S
prominent iraqi ayatollah	57-17755-S
prominent personality	68-58730-S
prominently	39-13987-S
promiscuous	38-45728-B
promise	6-60680-S,11-48269-S,16-52798-S,17-64412-S,21-26204-S,25-61254-S,26-61212-S,27-21394-S,32-36316-S,36-2870-S,46-19303-S,48-20728-S,49-4840-B,49-7964-B,51-21590-S,52-18252-S,58-4244-B,58-23208-S,58-23615-B,58-31194-S,58-33313-S,58-48867-B,58-49774-S,59-62463-S,60-47088-S,60-47142-S,62-58231-S,69-4081-S,71-21604-S
promise a reward	58-4365-S
promise longevity	23-17304-S
promise name of film by chen kaige	40-55215-S
promise of brilliant young person 成语 saw	68-39880-B
promise readily	39-35891-S
promise that can be realised	19-12496-S
promise that must be kept	1-20949-S,10-51965-S
promise to accompany	49-4569-S
promise to do sth	26-62187-B
promise worth one thousand in gold 成语 saw	1-20949-S,10-51965-S
promises	19-21577-S,20-32974-S,47-45793-S,47-45864-S
promises etc	5-43446-S
promises must be kept	58-33414-B
promising	7-9642-B,22-49859-S,32-31967-B,32-34718-B,32-36316-B
promising employment	23-18543-S
promissory note	32-51562-B
promote	4-61230-S,5-30944-S,10-52837-S,10-53866-B,16-27830-B,27-32886-B,27-70792-B,28-29587-S,28-29981-S,28-36978-S,28-39981-S,29-25633-B,32-30547-S,44-29516-S,58-37921-S,59-35012-B,60-17446-S,69-54108-B,71-47943-S
promote agriculture	10-11634-S
promote an idea or cause	5-31216-S
promote and appoint	28-36731-S
promote germination	6-32076-S
promote lactation	6-30266-S,6-30865-S
promote oestrus	6-30959-S
promote ripening of fruit	6-31415-S
promote sales	5-31295-B
promote the new 成语 saw	47-36313-S
promote to a higher job	28-39306-S,28-39489-S
promote to a higher position	31-43406-S
promote younger staff	22-49772-B
promoted	66-19892-B
promoted by a fluke	22-51683-S
promoted to marquis	47-59704-S
promoter	13-64736-B
promoting agriculture	10-11529-S
promoting agriculture in han dynasty	10-11692-S
promoting democracy	2-60155-S
promoting memory	32-30618-B
promoting virtue and obstructing evil	66-14802-S
promotion	9-53466-B,10-53297-B,10-53465-B,10-53686-B,10-53866-B,14-15930-B,23-47088-S,28-29587-B,28-39306-S,49-35175-S,66-19925-B,66-39605-S
promotion for a product	23-44029-B
promotion from shopfloor	61-22951-S
promotion in official post and salary raise 成语 saw	9-53632-B,9-53840-B
promotion sale	31-59263-S
promotion to a high post	67-59368-S
promotion to the nobility 成语 saw	9-53745-B
promotion 成语 saw	14-16005-S
prompt	6-30180-S,11-23816-B,28-8817-B,28-40963-B,28-42301-S,47-60659-B
prompt neutron	45-59771-B
prompt radiation	45-59699-B,45-59842-B
prompted by a sudden impulse	24-38896-S
prompted by the occasion	11-23816-B
promptly	11-42460-B,31-14007-B,47-60659-B,62-21816-B
promulgate	6-37346-S,58-61546-B,68-31807-B,68-31874-S,68-31947-S,68-32056-B
promulgated by sejong daewang in 1418 to introduce hangeul	57-64353-S
pron everyone	17-5222-B,58-47409-B
pron what	24-51944-B
pronator teres muscle below the elbow	30-70050-B
prone	4-54569-B,60-33095-S
prone fist	15-45130-S
prone to	6-47114-B
prong	11-41772-B
prong of a fork	11-42231-B
pronoun	4-30600-B,4-33471-B,11-54751-S,14-5976-S,53-5098-S
pronoun i 我	4-15256-S
pronoun you and me	31-28660-S
pronoun 誰 谁	44-3957-S
pronoun 這 这	27-60687-S
pronounce	5-12390-S,13-9314-S,27-38031-S,44-35750-B,51-65115-S
pronounce a judicial sentence after a verdict in a court of law	19-54036-B
pronounce the words correctly in opera	12-60100-S
pronounceability	12-16852-B
pronounced	31-26317-B
pronounced ga1	4-63091-S
pronounced lou4	67-48702-S
pronounced lou4 chu1	67-46527-S
pronounced shui2	58-34029-S
pronounced zhei4 before a classifier	62-4646-S
pronouncement	51-66584-B
pronounciation shēng able to bear	10-3774-S
pronouns	13-41132-S
pronouns and a small number of animate nouns	5-54849-S
pronunciation	10-28573-S,34-54980-S,44-35750-B,59-6793-B
pronunciation a vowel followed by a nasal consonant	71-52526-S
pronunciation of a character other than the standard	46-20221-B
pronunciation of a chinese character	4-23396-S
pronunciation of shei2	58-34078-S
pronunciation when the same character has more than one reading	43-63443-S
proof	5-1077-B,20-14844-S,20-65704-S,24-9058-S,24-22725-S,25-54808-B,36-54695-S,45-42396-S,46-34052-S,51-36233-S,51-36926-S,58-44659-B,58-59605-B,58-59605-B,58-60577-B,58-60636-B,58-60721-S,65-60582-S,65-63052-S,65-63545-S
proof against corrosion	51-37253-B
proof against wear and tear	51-37182-B
proof of identity	60-55534-B,60-55773-B
proof one can t believe it 成语 saw	40-51364-S
proof read	20-21858-S,35-13564-S
proof stone	51-36711-S
proofing	66-41251-S
proofread	33-52641-B
proofread and correct	33-53423-S
proofs of newspaper	17-23036-S
prop	26-51252-B,27-18551-B,29-5681-S,35-1353-S
prop sth up	29-38753-S
prop up	28-55832-B,29-5606-B,29-38588-S,41-55243-B
propaganda	11-44661-S,11-55907-S,11-56009-S,17-10269-S,19-53782-B,27-43922-S
propaganda as a crime	11-44564-S
propaganda department of the central committee of the communist party of china	2-50728-B
propaganda department of the chinese communist party	2-66210-S,2-68810-S
propaganda department of the prc communist party central committee	2-54596-B
propaganda for sth	6-15090-S
propaganda on behalf of	44-29516-S
propaganda section	2-66210-S,2-68810-S
propagate	4-57277-B,6-36570-S,6-38274-S,23-10428-B,28-44489-S,50-37778-S
propagation algorithm	11-44258-S
propagation of misconceptions	58-58538-S
propanal ch3ch2cho	2-45231-B
propane	2-44545-B
propane 1	2-43629-B
propanol	2-45117-B
propel	6-32192-S,69-55939-S
propeller	56-13925-B,56-14290-B
propeller hub	56-14335-B
propellor	54-52052-S
propellor blade	68-53926-B
proper	2-4202-S,2-6422-S,6-60579-B,12-56605-S,17-52669-S,18-26083-B,18-36334-B,18-36445-B,19-49101-B,20-49392-B,20-49433-B,24-5886-B,24-6335-B,24-7436-B,25-59974-B,35-38469-B,35-38564-B,43-64540-B,47-65638-B
proper course	68-23325-S
proper course to take	1-66512-S
proper duties	1-73670-S
proper fraction math 	45-41234-B
proper functioning	35-36241-B
proper measure of oneself	2-26384-S
proper name	11-16477-S,52-13492-S,66-13090-S
proper noun	20-38457-B,20-38505-B,20-39376-B
proper occupation	1-73670-S
proper or appropriate	35-19889-S
proper sequence	68-25152-S
proper speech or action	8-51516-B
proper surroundings	18-32123-S
proper title	35-34509-B
properly	15-51147-S,17-68188-S,18-27607-B
properly of door	60-11780-S
properly telephone	28-19371-S
propertied person	40-57273-S
properties	6-53313-S,51-18289-S
properties implied or reflected by a notion	7-29413-S
property	1-73272-S,4-16429-S,4-59757-S,6-981-S,7-56497-S,7-60658-S,10-22030-S,17-64200-S,19-63106-S,19-63464-S,21-27489-B,24-60540-B,26-28926-S,27-14717-S,27-53965-S,27-54268-S,27-54268-S,28-62215-S,29-16485-S,29-42166-S,31-57031-S,34-51403-B,34-51403-S,41-21894-S,41-53569-B,41-54159-S,41-58051-S,41-58557-B,41-62138-S,43-30965-B,43-32045-B,47-12697-S,58-22621-S,59-11660-S,59-32684-B,59-33828-B,59-33880-B,59-41803-B,59-52640-B,60-4483-S,60-54758-S,61-59306-S,61-67795-S
property held against a loan	27-14717-S
property left with no one to inherit	49-47217-B
property management	41-53665-B
property market e g houses	26-27076-S
property notarization	59-33923-B
property of a brush stroke	70-658-S
property of rising and lowering	26-66735-B
property off one s hands	8-44147-S
property on one s descendants	8-51621-S
property or cash held in reserve	22-66124-B
property or endowment	47-31500-S
property or money	61-60930-S
property or rights to sb else	8-45279-S
property organization	2-40392-S
property ownership	26-27157-S
property ownership or right	59-33658-B
property right	43-32250-B
property rights	26-28926-B,45-64579-S,59-34004-B
property stolen	17-66676-S
property tax	41-53609-B
property to its owner	27-54456-S
property 成语 saw	35-62924-S,58-51814-S
prophecy	11-10937-S,48-6989-S,59-14390-B,68-30309-B
prophecy e g of dynastic fortunes	48-43821-S
prophecy with supernatural accuracy 成语 saw	30-34450-S
prophet	4-36140-S,7-5292-B,29-8601-S,68-30361-B
prophet mohammed 穆罕默德 in 632	13-40703-S
prophet muhammad	47-38045-B
prophets	17-6312-S
propionaldehyde	2-45231-B
propitiate	10-11322-S
propitious	12-39116-B,42-61325-B,45-62808-B,46-63478-B,46-63524-B
propitious day	12-40124-B
proponent	6-2400-B,6-61125-S,6-61236-S,28-2919-B,28-37035-B,69-21413-S
proponent of an idea or school of thought	6-2278-S
proportion	36-9254-B,36-12679-B
proportion needed to approve a decision	12-15050-B
proportion of gold	65-43075-S
proportion of those present and voting	8-39378-B
proportion of vote	27-2912-B
proportional	11-50879-S,35-37685-S
proportional to	26-8821-S
proportional to inverse square	22-41340-B
proportionately	29-35985-S
proportioned	10-12273-S,20-27302-S
proposal	1-75081-S,6-2473-S,9-37642-B,10-2283-B,13-61473-B,20-51410-S,23-22805-B,28-40037-B,28-40037-S,28-40430-S,28-42490-B,29-27998-B,30-63224-B,58-4182-S,59-3641-B
proposals for new legislation	44-42701-S
propose	6-2278-S,9-37642-B,23-21923-S,23-22805-S,28-37216-S,28-42446-S,28-42490-S
propose a bill	28-40037-S
propose a toast	30-12742-S
propose marriage	28-38572-S,28-42133-S,28-42185-S,36-53817-B
proposed bill	30-63224-B
proposed law	37-32116-B
proposed marriage parnter	20-48924-S
proposer	44-34505-B
proposing a toast	3-24610-S
proposition	2-14219-S,3-5387-B,13-20450-S
proposition logic	24-63388-S,45-24525-S
propositional logic	13-20522-B
propranolol beta blocker used to treat high blood pressure	24-32275-B,31-50890-B
proprietary	8-4315-B,20-39319-B
proprietor	26-28751-B,26-29082-B,34-32211-B,51-31431-S
proprietor of a shop or restaurant	22-61752-B
propriety	2-21818-S,8-51516-B,17-68366-S,47-7906-B,62-31481-S,70-8726-B
props	62-49791-S
propulsion	9-68583-B,14-37243-S,28-32599-B,33-57886-S
propulsion laboratory	14-36890-S
propulsion module	28-32660-B
propyl alcohol c3h7oh	2-45117-B
propyl ether	2-45183-S,3-37584-S
propyl group c3h7 chem 	2-43902-B
propylene c3h6	2-44239-B
propylene glycol	2-43629-B
pros and cons	8-65300-S,9-6137-B,9-6586-B,61-6276-S,61-6520-S
proscribed people books etc	71-29221-S
prose	13-51115-S,26-67216-S,30-8414-B,60-34381-S
prose and rhymed parts for recitation and singing often on buddhist themes	59-9227-S
prose and ruin it	71-42276-S
prose poem	30-8459-B
prose style	30-10087-S
prosecute	61-59708-S
prosecute criminal	35-13016-S
prosecute or sue sb	61-59773-S
prosecuting side in a trial	35-13160-S
prosecution	7-21419-S,35-13016-S,35-13160-S,59-16490-S
prosecution in a court case	35-12856-S
prosecutor	35-13091-B,60-18252-B
prosecutor s office	32-21641-S,35-12936-B
prospect	10-3309-S,18-7609-B,18-7669-B,19-38608-S,21-22216-B,62-61216-B,70-55507-S
prospect of solution	45-36281-B
prospective	32-31967-B
prospective employer	27-43106-B
prospective marriage partners etc	5-35188-S,6-14702-S
prospects	8-39785-S,9-21189-S,9-22587-S,9-24591-B,45-19900-S,53-51540-S,63-22219-S
prospects are very good	17-21195-S
prospects for a year	22-50514-B
prospects for the future 成语 saw	17-21298-S
prospects 成语 saw	9-50813-S
prospectus	27-43351-B
prospectus setting out share offer	27-43252-B
prosper	4-1808-S,9-65659-B,31-17245-S,33-51993-B,53-24664-S,53-24819-B,68-24374-S
prosperity	7-7890-S,20-63713-S,23-1896-S,27-43713-S,31-54184-B,44-32305-S,45-4138-S
prosperity and decline of a kingdom	53-25318-B
prosperity of the country	18-18492-S
prosperity sphere	17-22157-S
prosperity 成语 saw	17-59030-S
prosperous	4-1601-B,9-64870-B,20-8131-B,31-17245-B,31-20197-B,31-21270-B,41-14608-B,44-62367-B,50-37715-B,50-37923-B,53-24664-B,53-25779-B,59-21692-S,66-37284-B,66-38110-B
prosperous a compliment in former times	52-12439-S
prosperous and the people live in peace	15-11308-S
prosperous business or trade	43-20521-S
prosperous life	4-2543-S
prosperous new year	25-3836-S
prosperous new year traditional new year greeting	25-3836-S
prosperous with each passing day	55-2218-S
prosperous year	59-20606-B
prostaglandin	9-18589-B
prostate	9-18393-B,29-35161-B,29-35237-S
prostate cancer	9-18517-B
prostate hypertrophy	29-35237-S
prostate hypertrophy in men	64-39681-S
prostatitis	9-18448-B
prosthetic	6-8937-B
prostitute	6-26802-B,10-61349-S,18-34300-B,18-34332-B,18-51505-B,18-51540-B,18-51585-B,18-51630-B,18-53026-B,18-53060-B,18-59308-S,19-66830-S,22-53372-S,31-61043-S,38-45843-B,39-57011-S,41-3570-B,55-15695-B,57-44242-S,57-44554-S,61-45934-S
prostitute esp in yuan theater	41-2895-B,41-3120-B
prostitutes esp in yuan theater	41-3481-S
prostitution	24-61784-B,24-62349-B,59-58945-B,59-58992-B
prostitution of children	67-3065-B
prostrate	4-21662-S,4-53552-S,4-54569-S,5-50165-S,10-20236-S,10-20439-S,44-3531-B,60-47972-B
prostrate oneself	27-44849-B
prostrate oneself in veneration	4-53552-S
prostrate oneself on the ground in admiration	3-55815-S
protagonist	3-3667-S,21-16522-B
protagonists	7-47610-S
protect	5-1246-S,5-34047-S,5-38573-S,5-39721-S,18-59350-B,22-58457-S,22-58590-S,27-49097-S,46-52319-S,50-4727-S,52-38084-B,56-36962-S,56-38809-S,59-4313-B,59-5134-S,65-59670-S,65-60629-S,65-63367-S,67-11553-S,67-11553-S,68-31003-S
protect against	65-60402-B
protect against evil spirits	48-6859-S
protect against fire	65-62203-S
protect against natural disasters	65-62427-S
protect an embankment	69-46629-S
protect and maintain	50-1124-S
protect neck	68-36362-S
protect troops	21-52683-S
protected animal	1-22899-S
protected by	22-58667-B
protected mode	5-40098-B
protected species	15-4429-S,42-43586-B
protecting envelope of a flower	53-60652-S
protecting talisman	27-11379-S
protecting the common people	20-44160-S
protection	5-34581-S,22-58833-S,22-63487-B,27-948-S,43-4553-S,43-4612-S,43-4734-S,43-5068-S,61-19581-S,65-60794-S,66-60599-S
protection 1915 1916	11-53201-S
protection administration sepa	2-55635-S,2-55782-S
protection against epidemic	65-62518-B
protection against espionage	11-55582-B
protection agency	15-6136-S
protection army of 1915 in rebellion against yuan shikai	59-4575-S
protection boots	65-61706-S
protection cream or powder	66-41165-S
protection esp divine	22-58590-B
protection office	43-4612-S
protection racket	30-13972-S,65-44346-S,71-29935-B
protection war	59-4686-S
protection war or campaign to defend the republic 1915	59-4342-S,59-4465-S,59-4893-S
protection 護國爭 护国争 1915 1916	11-53350-S
protectionism	5-39787-B,59-48885-S
protective agent	5-39919-B
protective apron	65-61193-B
protective boots	65-61706-B
protective cape	65-61415-B
protective coloration	5-40219-B
protective coloration esp of insects	66-49138-B
protective equipment	5-52905-S
protective gas work	65-61265-B
protective gloves	65-61341-B
protective measure	68-31103-B
protective mimicry	29-27622-B
protective passageway	65-61564-B
protective screen	21-21851-B
protective step	68-31103-B
protector	5-40166-B
protector deities of buddhist law	59-5015-B
protector god	19-22413-B
protectorate	5-40042-B
protein	32-41998-B,42-52248-S,50-47127-S,50-47704-S,52-15811-S,52-48138-S,52-48265-S,55-60710-B,55-60869-B,70-1980-S
protein between carboxyl radical and amino radical	52-15681-S
protein chain	52-15419-S
protein forming nails and feathers etc	57-45930-S
protein in the blood of molluscs etc with a respiratory function similar to hemoglobin	56-29282-S
protein inhibiting cell proliferation	26-66962-S
proteles cristatus	15-31845-S
proterozoic geological era 2500 540m years ago	6-61320-B
protest	11-49117-S,11-49872-S,11-50472-S,27-7662-B,46-45854-S
protest against a verdict	27-7581-S
protest against the treaty of versailles	3-48098-S,3-48299-S
protest demonstration	46-46025-S
protest movement stemming from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
protest or call to arms	6-37346-S
protestant	30-49082-B,51-49511-S
protestant philanthropic organization founded in london in 1865	29-63399-S
protestant reformation	19-39758-B
protestant translation	34-11638-S
protestant transliteration	19-28303-S,27-23199-S
protestantism in 19th century china	51-41441-B
protestants	51-44267-S
protester	27-7703-B,46-45958-B
prothrombin	8-28511-B
protist	11-34666-B
protium	36-24160-B
proto fish of class myxini	45-20225-S
proto fish of family petromyzontidae	1-29215-S,7-52149-S
protoactinium pa91	64-58723-B
protocol	6-40321-S,6-40321-S,6-40870-S,10-64495-B,10-65409-B,15-39698-S,32-42858-S,33-47828-S,48-36803-S,50-6909-S,50-7105-S,50-10434-S,59-3377-B,60-20957-S,60-21138-S,60-43112-S,62-7195-S,62-13178-S
protocol ftp	35-11535-S
protocol http	60-21263-S
protocol of beijing of 1901 ending the 8 nation intervention after the boxer uprising	61-32413-B
protocols	60-43184-S
protofilament	11-35163-B
proton and neutron	63-57602-S
proton positively charged nuclear particle	59-60015-B
protoplasm	11-34752-B
prototype	34-59520-B,34-59774-B,47-20692-S,58-13413-B,67-3122-B
protozoan bacteria	11-34587-B
protozoan parasite that inhabits the gut	59-54028-S,59-54130-S
protracted kneeling	50-53556-S
protracted 成语 saw	32-3329-B
protractor	10-55607-B,64-6610-B
protractor device to divide angles	8-58113-S
protrude	8-31373-S,8-32016-S,47-52686-S,47-52811-S,68-40877-B
protruding	8-32016-B
protruding edge	8-32249-B
protruding pattern	28-41807-S
protrusion	47-31006-B,47-31251-B,47-31251-S
protuberant eyes	45-53997-B
protura soil dwelling primitive hexapod	55-58166-B,55-58246-B
