恙 恙 [01\[ yàng\]]	sickness
惲 恽 [01\[ yùn\]]	surname yun
想 想 [01\[ xiǎng\]]	to think;to believe;to suppose;to wish;to want;to miss
想不到 想不到 [01\[ xiǎng bu dào\]]	unexpected;hard to imagine;it had not occurred to me;who could have thought that
想像 想像 [01\[ xiǎng xiàng\]]	imagine;visualize
想像力 想像力 [01\[ xiǎng xiàng lì\]]	conception;imagination
想入非非 想入非非 [01\[ xiǎng rù fēi fēi\]]	to indulge in fantasy (成语 saw); to let one's imagination run wild
想到 想到 [01\[ xiǎng dào\]]	to think of;to call to mind;to anticipate
想家 想家 [01\[ xiǎng jiā\]]	homesick
想得美 想得美 [01\[ xiǎng dé měi\]]	(colloq. derog.) in your dreams
想念 想念 [01\[ xiǎng niàn\]]	miss;remember with longing;long to see again
想方設法 想方设法 [01\[ xiǎng fāng shè fǎ\]]	(saying) to think of or try every possible method to do sth
想法 想法 [01\[ xiǎng fǎ\]]	idea;train of thought;what sb is thinking;to think of a way (to do sth)
想睡 想睡 [01\[ xiǎng shuì\]]	drowsy;sleepy
想要 想要 [01\[ xiǎng yào\]]	to want to;to feel like;to fancy;to care for sb;desirous of
想象 想象 [01\[ xiǎng xiàng\]]	to imagine;to fancy
想象力 想象力 [01\[ xiǎng xiàng lì\]]	imagination
想起 想起 [01\[ xiǎng qǐ\]]	to recall
想起來 想起来 [01\[ xiǎng qi lai\]]	to remember;to recall
惴 惴 [01\[ zhuì\]]	anxious;worried
惶 惶 [01\[ huáng\]]	frightened
惶恐 惶恐 [01\[ huáng kǒng\]]	terrified
惶惑 惶惑 [01\[ huáng huò\]]	anxious and perplexed;uneasy and confused;suspicious and fearful
惷 惷 [01\[ chǔn\]]	blunt;stupid;to wiggle (of worms)
惸 惸 [01\[ qióng\]]	alone;desolate
惹 惹 [01\[ rě\]]	to provoke;to exasperate;to annoy
惹事 惹事 [01\[ rě shì\]]	to cause trouble
惹惱 惹恼 [01\[ rě nǎo\]]	to offend
惹是生非 惹是生非 [01\[ rě shì shēng fēi\]]	to stir up trouble
惹火 惹火 [01\[ rě huǒ\]]	to stir up the fire;fig. to provoke and offend people;to ruffle feathers
惹火燒身 惹火烧身 [01\[ rě huǒ shāo shēn\]]	stir up fire and get burnt (expr.);get one's fingers burnt
惹禍 惹祸 [01\[ rě huò\]]	stirring up trouble;to invite disaster
惹草拈花 惹草拈花 [01\[ rě cǎo niān huā\]]	to womanize;to frequent brothels
惹起 惹起 [01\[ rě qǐ\]]	provoke
惺 惺 [01\[ xīng\]]	tranquil;understand
惻 恻 [01\[ cè\]]	sorrowful
愀 愀 [01\[ qiǎo\]]	change countenance;worry
愁 愁 [01\[ chóu\]]	worry about
愁眉苦臉 愁眉苦脸 [01\[ chóu méi kǔ liǎn\]]	frowning and worried (成语 saw); showing concern
愁緒 愁绪 [01\[ chóu xù\]]	melancholy
愃 愃 [01\[ xuān\]]	well-being
愆 愆 [01\[ qiān\]]	fault;transgression
愈 愈 [01\[ yù\]]	heal;the more...the more;to recover;better
愈加 愈加 [01\[ yù jiā\]]	all the more;even more;further
愈合 愈合 [01\[ yù hé\]]	to heal
愉 愉 [01\[ yú\]]	pleased
愉快 愉快 [01\[ yú kuài\]]	cheerful;cheerily;delightful;pleasant;pleasantly;pleasing;happy;delighted
愉悅 愉悦 [01\[ yú yuè\]]	joyful;cheerful;delighted
愊 愊 [01\[ bì\]]	melancholy;sincere
愍 愍 [01\[ mǐn\]]	pity;sympathize
愎 愎 [01\[ bì\]]	perverse;obstinate
意 意 [01\[ yì\]]	idea;meaning;thought;to think;wish;desire;intention;to expect;to anticipate;abbr. for italy 意大利
意下如何 意下如何 [01\[ yì xià rú hé\]]	how about it?;what do you think?
意中人 意中人 [01\[ yì zhōng rén\]]	sweetheart;one's true love;the person of one's thoughts
意向 意向 [01\[ yì xiàng\]]	disposition
意味 意味 [01\[ yì wèi\]]	significance;imply (that)
意味著 意味着 [01\[ yì wèi zhe\]]	signify;mean;imply
意圖 意图 [01\[ yì tú\]]	intent;intention;intend;schematic diagram
意境 意境 [01\[ yì jìng\]]	artistic mood or conception;creative concept
意外 意外 [01\[ yì wài\]]	unexpected;accident;mishap
意外事故 意外事故 [01\[ yì wài shì gù\]]	accident
意大利 意大利 [01\[ yì dà lì\]]	italy;italian
意大利語 意大利语 [01\[ yì dà lì yǔ\]]	italian (language)
意式濃縮咖啡 意式浓缩咖啡 [01\[ yì shì nóng suō kā fēi\]]	espresso;italian style strong coffee
意志 意志 [01\[ yì zhì\]]	will;willpower;determination
意念 意念 [01\[ yì niàn\]]	idea
意思 意思 [01\[ yì si\]]	idea;opinion;meaning;wish;desire
意想不到 意想不到 [01\[ yì xiǎng bù dào\]]	unexpected;previously unimagined
意指 意指 [01\[ yì zhǐ\]]	to mean;to imply
意料 意料 [01\[ yì liào\]]	to anticipate;to expect;to reckon ahead
意氣相投 意气相投 [01\[ yì qì xiāng tóu\]]	congenial
意氣風發 意气风发 [01\[ yì qì fēng fā\]]	high-spirited and vigorous
意猶未盡 意犹未尽 [01\[ yì yóu wèi jìn\]]	to wish to continue sth;to have not fully expressed oneself
意符 意符 [01\[ yì fú\]]	part of chinese character indicating the meaning;also called significative or radical
意第緒語 意第绪语 [01\[ yì dì xù yǔ\]]	yiddish language
意義 意义 [01\[ yì yì\]]	meaning;significance
意義變化 意义变化 [01\[ yì yì biàn huà\]]	change of meaning
意見 意见 [01\[ yì jiàn\]]	idea;opinion;suggestion;objection;complaint
意見不合 意见不合 [01\[ yì jiàn bù hé\]]	to disagree;dissent
意識 意识 [01\[ yì shí\]]	consciousness;awareness;consciously (i.e. deliberately);to be aware
意識形態 意识形态 [01\[ yì shí xíng tài\]]	ideology
意識流 意识流 [01\[ yì shí liú\]]	stream of consciousness (in literature)
意譯 意译 [01\[ yì yì\]]	meaning (of foreign expression);translation of the meaning (as opposed to literal translation 直譯|直译);paraphrase;free translation
意願 意愿 [01\[ yì yuàn\]]	aspiration;wish (for);desire
愐 愐 [01\[ miǎn\]]	shy
愒 愒 [01\[ kài\]]	to desire
愓 愓 [01\[ dàng\]]	profligate
愔 愔 [01\[ yīn\]]	peaceful;solemn
愕 愕 [01\[ è\]]	startled
愙 恪 [01\[ kè\]]	trad variant of 恪;respectful;scrupulous
愚 愚 [01\[ yú\]]	stupid
愚不可及 愚不可及 [01\[ yú bù kě jí\]]	impossibly stupid
愚人 愚人 [01\[ yú rén\]]	stupid person;ignoramus
愚人節 愚人节 [01\[ yú rén jié\]]	april fool's day
愚人節快樂 愚人节快乐 [01\[ yú rén jié kuài lè\]]	(interjection) april fool!
愚公移山 愚公移山 [01\[ yú gōng yí shān\]]	the old man moves mountains (traditional folk tale); fig. nothing is impossible if you have the will
愚妄 愚妄 [01\[ yú wàng\]]	stupid and arrogant
愚弄 愚弄 [01\[ yú nòng\]]	derision;mock;ridicule
愚意 愚意 [01\[ yú yì\]]	in my humble opinion (lit. stupid opinion)
愚懦 愚懦 [01\[ yú nuò\]]	ignorant and weak
愚拙 愚拙 [01\[ yú zhuō\]]	clumsy and stupid
愚昧 愚昧 [01\[ yú mèi\]]	ignorant;uneducated
愚昧無知 愚昧无知 [01\[ yú mèi wú zhī\]]	stupid and ignorant (成语 saw)
愚民 愚民 [01\[ yú mín\]]	block-head
愚氓 愚氓 [01\[ yú méng\]]	fool;stupid person
愚矇 愚蒙 [01\[ yú méng\]]	ignorant;block-head
愚笨 愚笨 [01\[ yú bèn\]]	stupid
愚蠢 愚蠢 [01\[ yú chǔn\]]	silly;stupid
愚見 愚见 [01\[ yú jiàn\]]	in my humble opinion (lit. stupid opinion)
愚陋 愚陋 [01\[ yú lòu\]]	ignorant and backward
愚頑 愚顽 [01\[ yú wán\]]	ignorant and stubborn
愚魯 愚鲁 [01\[ yú lǔ\]]	simple-minded and ill-informed
愛 爱 [01\[ ài\]]	to love;affection;to be fond of;to like
愛丁堡 爱丁堡 [01\[ ài dīng bǎo\]]	edinburgh
愛上 爱上 [01\[ ài shàng\]]	to fall in love with;to be in love with
愛不釋手 爱不释手 [01\[ ài bù shì shǒu\]]	to fondle admiringly;to love something too much to part with it
愛之如命 爱之如命 [01\[ ài zhī rú mìng\]]	inordinately fond of sth;lit. to love it as one's life
愛人 爱人 [01\[ ài ren\]]	spouse;husband;wife;sweetheart
愛人如己 爱人如己 [01\[ ài rén rú jǐ\]]	love others as self
愛克斯光 爱克斯光 [01\[ ài kè sī guāng\]]	x-ray;röntgen or roentgen ray
愛克斯射線 爱克斯射线 [01\[ ài kè sī shè xiàn\]]	x-ray radiation
愛問 爱问 [01\[ ài wèn\]]	iask.com
愛因斯坦 爱因斯坦 [01\[ ài yīn sī tǎn\]]	albert einstein (1879-1955)
愛國 爱国 [01\[ ài guó\]]	patriotic;love of country;patriotism
愛國主義 爱国主义 [01\[ ài guó zhǔ yì\]]	patriotism
愛國如家 爱国如家 [01\[ ài guó rú jiā\]]	to love one's country as one's own family (praise for a virtuous ruler)
愛國者 爱国者 [01\[ ài guó zhě\]]	patriot
愛奧華 爱奥华 [01\[ ài ào huá\]]	iowa (us state)
愛奧華州 爱奥华州 [01\[ ài ào huá zhōu\]]	iowa
愛奴 爱奴 [01\[ ài nú\]]	ainu
愛奴人 爱奴人 [01\[ ài nú rén\]]	ainu
愛好 爱好 [01\[ ài hào\]]	to like;to be fond of;to be keen on;interest;hobby
愛好者 爱好者 [01\[ ài hào zhě\]]	lover (of art
愛屋及烏 爱屋及乌 [01\[ ài wū jí wū\]]	lit. love the house and its crow (成语 saw); involvement with sb and everyone connected;love me
愛屋及鳥 爱屋及鸟 [01\[ ài wū jí niǎo\]]	variant of 愛屋及烏|爱屋及乌;lit. love the house and its crow (成语 saw); involvement with sb and everyone connected;love me
愛崗敬業 爱岗敬业 [01\[ ài gǎng jìng yè\]]	industrious and hard-working
愛州 爱州 [01\[ ài zhōu\]]	iowa (us state);abbr. for 愛奧華州|爱奥华州
愛德斯沃爾 爱德斯沃尔 [01\[ ài dé sī wò ěr\]]	eidsvoll (city in norway)
愛德玲 爱德玲 [01\[ ài dé líng\]]	adeline (name)
愛德華 爱德华 [01\[ ài dé huá\]]	edward;édouard (name)
愛德華島 爱德华岛 [01\[ ài dé huá dǎo\]]	prince edward island
愛德華王子島 爱德华王子岛 [01\[ ài dé huá wáng zǐ dǎo\]]	prince edward island
愛德華茲 爱德华兹 [01\[ ài dé huá zī\]]	edwards (name)
愛心 爱心 [01\[ ài xīn\]]	compassion
愛情 爱情 [01\[ ài qíng\]]	romance;love (between man and woman)
愛情喜劇 爱情喜剧 [01\[ ài qíng xǐ jù\]]	romantic comedy
愛惜 爱惜 [01\[ ài xī\]]	to cherish;to treasure;to use sparingly
愛慕 爱慕 [01\[ ài mù\]]	adore;admire
愛憎 爱憎 [01\[ ài zēng\]]	love and hate
愛憐 爱怜 [01\[ ài lián\]]	show tender affection for
愛戀 爱恋 [01\[ ài liàn\]]	in love with;to feel deeply attached to
愛戴 爱戴 [01\[ ài dài\]]	love and respect
愛撫 爱抚 [01\[ ài fǔ\]]	to show tender care for;to care for (affectionately)
愛斯基摩 爱斯基摩 [01\[ ài sī jī mó\]]	eskimo;inuit
愛斯基摩人 爱斯基摩人 [01\[ ài sī jī mó rén\]]	eskimo;also called inuit 因紐特|因纽特
愛新覺羅 爱新觉罗 [01\[ ài xīn jué luó\]]	aisin gioro (manchu: golden clan);the manchu surname of the qing emperors
愛晚亭 爱晚亭 [01\[ ài wǎn tíng\]]	aiwan pavilion
愛樂樂團 爱乐乐团 [01\[ ài yuè yuè tuán\]]	philharmonia;philharmonic orchestra
愛民如子 爱民如子 [01\[ ài mín rú zǐ\]]	to love the common people as one's own children (praise for a virtuous ruler)
愛沙尼亞 爱沙尼亚 [01\[ ài shā ní yà\]]	estonia
愛河 爱河 [01\[ ài hé\]]	the stream of human passion (buddh.
愛滋病 爱滋病 [01\[ ài zī bìng\]]	(loan word) aids (acquired immune deficiency syndrome)
愛滋病毒 爱滋病毒 [01\[ ài zī bìng dú\]]	the aids virus;hiv
愛爾蘭 爱尔兰 [01\[ ài ěr lán\]]	ireland
愛爾蘭人 爱尔兰人 [01\[ ài ěr lán rén\]]	irish person
愛爾蘭共和國 爱尔兰共和国 [01\[ ài ěr lán gòng hé guó\]]	republic of ireland
愛爾蘭共和軍 爱尔兰共和军 [01\[ ài ěr lán gòng hé jūn\]]	irish republican army
愛理不理 爱理不理 [01\[ ài lǐ bù lǐ\]]	to look cold and indifferent;standoffish
愛琴 爱琴 [01\[ ài qín\]]	aegean (sea between greece and turkey)
愛琴海 爱琴海 [01\[ ài qín hǎi\]]	aegean sea
愛瑪 爱玛 [01\[ ài mǎ\]]	emma (name)
愛瑪沃特森 爱玛沃特森 [01\[ ài mǎ wò tè sēn\]]	emma watson (1990-)
愛留根納 爱留根纳 [01\[ ài liú gēn nà\]]	eriugena
愛知 爱知 [01\[ ài zhī\]]	aichi (japanese prefecture around nagoya)
愛知縣 爱知县 [01\[ ài zhī xiàn\]]	aichi prefecture
愛神 爱神 [01\[ ài shén\]]	god of love (in translation);venus;eros
愛稱 爱称 [01\[ ài chēng\]]	term of endearment;pet name;diminutive
愛立信 爱立信 [01\[ ài lì xìn\]]	ericsson
愛能移山 爱能移山 [01\[ ài néng yí shān\]]	love can move mountains
愛莉絲 爱莉丝 [01\[ ài lì sī\]]	alice (female name)
愛莫利維爾 爱莫利维尔 [01\[ ài mò lì wéi ěr\]]	emeryville (city in california)
愛莫大於心死 爱莫大于心死 [01\[ ài mò dà yú xīn sǐ\]]	nothing more sad than a withered heart;no greater sorrow than a heart that never rejoices;(popular culture misquotation of 哀莫大於心死|哀莫大于心死
愛莫能助 爱莫能助 [01\[ ài mò néng zhù\]]	willing to help but unable to do so
愛詞霸 爱词霸 [01\[ ài cí bà\]]	i-ciba (word master)
愛護 爱护 [01\[ ài hù\]]	cherish;treasure;take good care of
愛財 爱财 [01\[ ài cái\]]	avaricious
愛迪生 愛迪生 [01\[ ài dí shēng\]]	edison (name);thomas alva edison (1847-1931)
愛迪生 爱迪生 [01\[ ài dí shēng\]]	edison (name);thomas edison (1847-1931)
愛遊玩 爱游玩 [01\[ ài yóu wán\]]	playful
愛達荷 爱达荷 [01\[ ài dá hé\]]	idaho
愛達荷州 爱达荷州 [01\[ ài dá hé zhōu\]]	idaho
愛面子 爱面子 [01\[ ài miàn zǐ\]]	be concerned about face-saving;be sensitive about one's reputation
愛麗絲 爱丽丝 [01\[ ài lì sī\]]	alice (name)
愛麗絲漫遊奇境記 爱丽丝漫游奇境记 [01\[ ài lì sī màn yóu qí jìng jì\]]	alice in wonderland
愜 惬 [01\[ qiè\]]	cheerful;satisfied
愜意 惬意 [01\[ qiè yì\]]	to be satisfied
感 感 [01\[ gǎn\]]	to feel;to move;to touch;to affect
感人 感人 [01\[ gǎn rén\]]	touching;moving
感佩 感佩 [01\[ gǎn pèi\]]	to admire with gratitude
感傷 感伤 [01\[ gǎn shāng\]]	sad;down-hearted;sentimental;pathos;melancholy
感光 感光 [01\[ gǎn guāng\]]	light-sensitive
感冒 感冒 [01\[ gǎn mào\]]	to catch cold;(common) cold
感冒藥 感冒药 [01\[ gǎn mào yào\]]	medicine for colds
感到 感到 [01\[ gǎn dào\]]	to feel;to sense;to have the feeling that;think that;to move;to affect
感動 感动 [01\[ gǎn dòng\]]	to move (sb);to touch;moving
感化 感化 [01\[ gǎn huà\]]	corrective influence;to reform (a criminal);redemption (of a sinner);to influence (a malefactor to a better life);to guide sb back to the right path by repeated word and example
感化院 感化院 [01\[ gǎn huà yuàn\]]	reformatory;reform school
感化餅乾 感化饼干 [01\[ gǎn huà bǐng gān\]]	wafer
感受 感受 [01\[ gǎn shòu\]]	to sense;perception;to feel (through the senses);a feeling;an impression;an experience
感受器 感受器 [01\[ gǎn shòu qì\]]	sensory receptor
感召 感召 [01\[ gǎn zhào\]]	to rally;to call;to move and inspire;inspiration (e.g. divine inspiration);to impel
感召力 感召力 [01\[ gǎn zhào lì\]]	inspiration;the power to inspire
感同身受 感同身受 [01\[ gǎn tóng shēn shòu\]]	personal gratitude (成语 saw); to take something as a personal kindness
感喟 感喟 [01\[ gǎn kuì\]]	sighing with emotion
感嘆 感叹 [01\[ gǎn tàn\]]	to sigh (with feeling)
感嘆句 感叹句 [01\[ gǎn tàn jù\]]	exclamation;exclamatory phrase
感嘆號 感叹号 [01\[ gǎn tàn hào\]]	exclamation mark!
感嘆詞 感叹词 [01\[ gǎn tàn cí\]]	interjection
感嘆語 感叹语 [01\[ gǎn tàn yǔ\]]	exclamation;expletive
感奮 感奋 [01\[ gǎn fèn\]]	moved and inspired;fired with enthusiasm
感官 感官 [01\[ gǎn guān\]]	sense;sense organ
感念 感念 [01\[ gǎn niàn\]]	to recall fondly;to remember with emotion
感性 感性 [01\[ gǎn xìng\]]	sensibility
感性認識 感性认识 [01\[ gǎn xìng rèn shi\]]	perceptual awareness
感恩 感恩 [01\[ gǎn ēn\]]	thanksgiving
感恩圖報 感恩图报 [01\[ gǎn ēn tú bào\]]	grateful and seeking to repay the kindness (成语 saw)
感恩戴德 感恩戴德 [01\[ gǎn ēn dài dé\]]	deeply grateful
感恩節 感恩节 [01\[ gǎn ēn jié\]]	thanksgiving day
感悟 感悟 [01\[ gǎn wù\]]	to come to realize;to appreciate (feelings)
感情 感情 [01\[ gǎn qíng\]]	feeling;emotion;sensation;likes and dislikes;deep affection for sb or sth;relationship (i.e. love affair)
感情用事 感情用事 [01\[ gǎn qíng yòng shì\]]	to act impetuously (成语 saw); on an impulse
感想 感想 [01\[ gǎn xiǎng\]]	impressions;reflections;thoughts
感愧 感愧 [01\[ gǎn kuì\]]	to feel gratitude mixed with shame
感慨 感慨 [01\[ gǎn kǎi\]]	lament;with a tinge of emotion or regret
感憤 感愤 [01\[ gǎn fèn\]]	moved to anger;indignant
感應 感应 [01\[ gǎn yìng\]]	response;reaction;interaction;irritability (biol.);induction (elec.);inductance
感應器 感应器 [01\[ gǎn yìng qì\]]	inductor (elec.)
感應線圈 感应线圈 [01\[ gǎn yìng xiàn quān\]]	induction coil;solenoid
感懷 感怀 [01\[ gǎn huái\]]	to recall with emotion;to feel sentiments
感戴 感戴 [01\[ gǎn dài\]]	sincerely grateful
感染 感染 [01\[ gǎn rǎn\]]	infection;to infect;to influence
感染人數 感染人数 [01\[ gǎn rǎn rén shù\]]	number of infected persons
感染劑量 感染剂量 [01\[ gǎn rǎn jì liàng\]]	infective dose
感染力 感染力 [01\[ gǎn rǎn lì\]]	inspiration;infectious (enthusiasm)
感染性腹瀉 感染性腹泻 [01\[ gǎn rǎn xìng fù xiè\]]	infective diarrhea
感染者 感染者 [01\[ gán rǎn zhě\]]	infected person
感歎 感歎 [01\[ gǎn tàn\]]	variant of 感嘆|感叹
感激 感激 [01\[ gǎn jī\]]	to express thanks;grateful;moved to gratitude
感激不盡 感激不尽 [01\[ gǎn jī bù jìn\]]	can't thank sb enough (成语 saw)
感激涕零 感激涕零 [01\[ gǎn jī tì líng\]]	to shed tears of gratitude (成语 saw); moved to tears
感發 感发 [01\[ gǎn fā\]]	to move and inspire
感知 感知 [01\[ gǎn zhī\]]	perception;awareness
感興趣 感兴趣 [01\[ gǎn xìng qù\]]	be interested
感覺 感觉 [01\[ gǎn jué\]]	to feel;to become aware of;feeling;sense;perception
感覺到 感觉到 [01\[ gǎn jué dào\]]	feel
感覺器官 感觉器官 [01\[ gǎn jué qì guān\]]	sense organs;the five senses
感觸 感触 [01\[ gǎn chù\]]	one's thoughts and feelings;emotional stirring
感謝 感谢 [01\[ gǎn xiè\]]	(express) thanks;gratitude;grateful;thankful;thanks
感遇 感遇 [01\[ gǎn yù\]]	gratitude for good treatment;to sigh;to lament
感遇詩 感遇诗 [01\[ gǎn yù shī\]]	a lament (poem)
愣 愣 [01\[ lèng\]]	to look distracted;to stare blankly;distracted;stupefied;blank;variant of 楞 leng4
愧 愧 [01\[ kuì\]]	ashamed
愧怍 愧怍 [01\[ kuì zuò\]]	ashamed
愧恨 愧恨 [01\[ kuì hèn\]]	ashamed and sorry;suffering shame and remorse
愧汗 愧汗 [01\[ kuì hàn\]]	sweating from shame;extremely ashamed
愧疚 愧疚 [01\[ kuì jiù\]]	to feel guilty;ashamed and uneasy
愧色 愧色 [01\[ kuì sè\]]	ashamed look
愧赧 愧赧 [01\[ kuì nǎn\]]	to blush in shame;red-faced
愨 悫 [01\[ què\]]	honest
愫 愫 [01\[ sù\]]	guileless;sincere
愬 愬 [01\[ sù\]]	complain;sue;tell
愮 愮 [01\[ yáo\]]	distressed
愴 怆 [01\[ chuàng\]]	mournful;sad;grieved;sorry
愷 恺 [01\[ kǎi\]]	joyful;kind
愷徹 恺彻 [01\[ kǎi chè\]]	variant of 愷撒|恺撒
愷撒 恺撒 [01\[ kǎi sǎ\]]	caesar (name);gaius julius caesar 100-42 bc;by extension
愾 忾 [01\[ kài\]]	anger
愿 愿 [01\[ yuàn\]]	sincere;willing
慁 慁 [01\[ hùn\]]	confused;dishonor
慄 栗 [01\[ lì\]]	afraid;trembling
慅 慅 [01\[ sāo\]]	agitated
慆 慆 [01\[ tāo\]]	rejoice
慇 慇 [01\[ yīn\]]	solicitous
慈 慈 [01\[ cí\]]	compassionate;gentle;merciful;kind;humane
慈利 慈利 [01\[ cí lì\]]	(n) cili (place in hunan)
慈善 慈善 [01\[ cí shàn\]]	benevolent;charitable
慈善家 慈善家 [01\[ cí shàn jiā\]]	philanthropist;humanitarian;charity donor
慈善抽獎 慈善抽奖 [01\[ cí shàn chōu jiǎng\]]	a raffle (for charity)
慈善機構 慈善机构 [01\[ cí shàn jī gòu\]]	charity
慈善組織 慈善组织 [01\[ cí shàn zǔ zhī\]]	charity organization
慈姑 慈姑 [01\[ cí gu\]]	arrowhead (sagittaria subulata
慈悲 慈悲 [01\[ cí bēi\]]	mercy
慈愛 慈爱 [01\[ cí ài\]]	love;devotion (to children);affection
慈溪 慈溪 [01\[ cí xī\]]	cixi county-level city in ningbo prefecture
慈石 慈石 [01\[ cí shí\]]	magnetite fe3o4
慈祥 慈祥 [01\[ cí xiáng\]]	kindly;benevolent (often of older person)
慈禧 慈禧 [01\[ cí xǐ\]]	empress dowager cixi or ts'u hsi (reigned 1861-1908)
慈禧太后 慈禧太后 [01\[ cí xǐ tài hòu\]]	empress dowager cixi or ts'u hsi (reigned 1861-1908)
慉 慉 [01\[ xù\]]	to foster;to bear
慊 慊 [01\[ qiàn\]]	dissatisfied
慊 慊 [01\[ qiè\]]	contented
態 态 [01\[ tài\]]	attitude
態勢 态势 [01\[ tài shì\]]	posture;situation
態子 态子 [01\[ tài zi\]]	state of matter (solid
態度 态度 [01\[ tài du\]]	manner;bearing;attitude;approach
態疊加 态叠加 [01\[ tài dié jiā\]]	superposition of states (quantum mechanics)
慌 慌 [01\[ huāng\]]	to get panicky;to lose one's head
慌亂 慌乱 [01\[ huāng luàn\]]	frenetic;hurried
慌張 慌张 [01\[ huāng zhāng\]]	confused;flustered
慌忙 慌忙 [01\[ huāng máng\]]	in a great rush;in a flurry
慍 愠 [01\[ yùn\]]	indignant;feel hurt
慎 慎 [01\[ shèn\]]	cautious
慎重 慎重 [01\[ shèn zhòng\]]	cautious;careful;prudent
慕 慕 [01\[ mù\]]	admire
慕容 慕容 [01\[ mù róng\]]	a branch of the xianbei 鮮卑|鲜卑 nomadic people;two-character surname murong
慕尼黑 慕尼黑 [01\[ mù ní hēi\]]	münchen or münich (capital of bavaria
慕道友 慕道友 [01\[ mù dào yǒu\]]	religious investigator
慘 惨 [01\[ cǎn\]]	miserable;wretched;cruel;inhuman;seriously;badly;tragic
慘不忍睹 惨不忍睹 [01\[ cǎn bù rěn dǔ\]]	spectacle too horrible to endure (成语 saw); tragic sight;appalling scenes of devastation
慘不忍聞 惨不忍闻 [01\[ cǎn bù rěn wén\]]	too horrible to endure (成语 saw); tragic spectacle;appalling scenes of devastation
慘事 惨事 [01\[ cǎn shì\]]	disaster
慘劇 惨剧 [01\[ cǎn jù\]]	tragedy;calamity;atrocity
慘境 惨境 [01\[ cǎn jìng\]]	wretched situation
慘怛 惨怛 [01\[ cǎn dá\]]	grieved;distressed
慘敗 惨败 [01\[ cǎn bài\]]	defeat
慘景 惨景 [01\[ cǎn jǐng\]]	wretched sight
慘案 惨案 [01\[ cǎn àn\]]	massacre;tragedy
慘殺 惨杀 [01\[ cǎn shā\]]	to slaughter;to kill mercilessly
慘毒 惨毒 [01\[ cǎn dú\]]	cruel;vicious
慘況 惨况 [01\[ cǎn kuàng\]]	tragic situation;dreadful state
慘淡 惨淡 [01\[ cǎn dàn\]]	dark;gloomy;dismal;by painstaking effort
慘淡經營 惨淡经营 [01\[ cǎn dàn jīng yíng\]]	to manage by painstaking effort (成语 saw)
慘烈 惨烈 [01\[ cǎn liè\]]	bitter;desperate
慘無人道 惨无人道 [01\[ cǎn wú rén dào\]]	inhuman (成语 saw);brutal and unfeeling
慘然 惨然 [01\[ cǎn rán\]]	grieved;distressed
慘狀 惨状 [01\[ cǎn zhuàng\]]	devastation;miserable condition
慘痛 惨痛 [01\[ cǎn tòng\]]	bitter;painful;deeply distressed
慘白 惨白 [01\[ cǎn bái\]]	deathly pale
慘禍 惨祸 [01\[ cǎn huò\]]	terrible tragedy;grave mishap
慘笑 惨笑 [01\[ cǎn xiào\]]	bitter smile
慘絕人寰 惨绝人寰 [01\[ cǎn jué rén huán\]]	extremely tragic (成语 saw); with unprecedented brutality
慘變 惨变 [01\[ cǎn biàn\]]	disastrous turn;tragic event
慘遭 惨遭 [01\[ cǎn zāo\]]	suffer
慘遭不幸 惨遭不幸 [01\[ cǎn zāo bù xìng\]]	to meet with disaster;to die tragically
慘重 惨重 [01\[ cǎn zhòng\]]	disastrous
慚 惭 [01\[ cán\]]	ashamed
慚愧 惭愧 [01\[ cán kuì\]]	(to be) ashamed
慝 慝 [01\[ tè\]]	evil thought
慟 恸 [01\[ tòng\]]	grief
慢 慢 [01\[ màn\]]	slow
慢動作 慢动作 [01\[ màn dòng zuò\]]	slow motion
慢化劑 慢化剂 [01\[ màn huà jì\]]	moderator
慢吞吞 慢吞吞 [01\[ màn tūn tūn\]]	very slow;exasperatingly slow
慢工出巧匠 慢工出巧匠 [01\[ màn gōng chū qiǎo jiàng\]]	patient work makes a skilled craftsman
慢工出細貨 慢工出细货 [01\[ màn gōng chū xì huò\]]	patient work makes a fine product
慢待 慢待 [01\[ màn dài\]]	to slight (treat badly)
慢性 慢性 [01\[ màn xìng\]]	slow and patient;chronic (disease);slow to take effect (e.g. a slow poison)
慢性子 慢性子 [01\[ màn xìng zi\]]	slow-tempered;phlegmatic;a slowcoach
慢性疾病 慢性疾病 [01\[ màn xìng jí bìng\]]	a chronic illness;a disease that takes effect slowly
慢性病 慢性病 [01\[ màn xìng bìng\]]	a chronic illness;a disease that takes effect slowly
慢悠悠 慢悠悠 [01\[ màn yōu yōu\]]	unhurried
慢慢 慢慢 [01\[ màn màn\]]	slowly
慢慢吃 慢慢吃 [01\[ màn màn chī\]]	enjoy your meal!;bon appetit!
慢慢吞吞 慢慢吞吞 [01\[ màn man tūn tūn\]]	very slow
慢條斯理 慢条斯理 [01\[ màn tiáo sī lǐ\]]	with calculated unhurried steps (成语 saw); slow and deliberate;methodical
慢步 慢步 [01\[ màn bù\]]	at a slow pace
慢班 慢班 [01\[ màn bān\]]	slow stream (in school)
慢累積 慢累积 [01\[ màn lěi jī\]]	accumulates slowly;cumulative (e.g. poison)
慢行 慢行 [01\[ màn xíng\]]	to walk slowly
慢行道 慢行道 [01\[ màn xíng dào\]]	slow lane
慢說 慢说 [01\[ màn shuō\]]	not to mention ... (i.e. in addition to sth)
