三家村	1-33639-S
不列颠诸岛	1-72399-S
不利	1-72479-S
不利 不利	1-72479-B
不到	1-72558-S
不到 不到	1-72558-B
不到長城非好漢 不到长城非好汉	1-72640-B
不到长城非好汉	1-72640-S
不到黃河心不死 不到黄河心不死	1-72767-B
不到黄河心不死	1-72767-S
不力	1-73004-S
不力 不力	1-73004-B
不加思索	1-73071-S
不加思索 不加思索	1-73071-B
不务正业	1-73670-S
不动	1-73176-S
不动产	1-73272-S
不动声色	1-73359-S
不动摇	1-73220-S
不动点	1-73498-S
不动点定理	1-73575-S
不劳而获	1-74005-S
不動 不动	1-73176-B
不動搖 不动摇	1-73220-B
不動產 不动产	1-73272-B
不動聲色 不动声色	1-73359-B
不動點 不动点	1-73498-B
不動點定理 不动点定理	1-73575-B
不務正業 不务正业	1-73670-B
不勝 不胜	1-73815-B
不勝枚舉 不胜枚举	1-73899-B
不勞而獲 不劳而获	1-74005-B
不区分大小写	1-74108-S
不區分大小寫 不区分大小写	1-74108-B
不卑不亢	1-74252-S
不卑不亢 不卑不亢	1-74252-B
不单	2-1999-S
不即不离	1-74383-S
不即不離 不即不离	1-74383-B
不厌	1-74498-S
不厭 不厌	1-74498-B
不去理	1-74575-S
不去理 不去理	1-74575-B
不及	1-74745-S
不及 不及	1-74745-B
不及格	1-74820-S
不及格 不及格	1-74820-B
不及物动词	1-74866-S
不及物動詞 不及物动词	1-74866-B
不受伤	1-74947-S
不受傷 不受伤	1-74947-B
不受欢迎	1-75014-S
不受歡迎 不受欢迎	1-75014-B
不受理	1-75081-S
不受理 不受理	1-75081-B
不受約束 不受约束	1-75176-B
不受约束	1-75176-S
不变	2-31144-S
不变价格	2-31214-S
不变化	2-31295-S
不变资本	2-31350-S
不变量	2-31421-S
不只	1-75244-S
不只 不只	1-75244-B
不可	1-75296-S
不可 不可	1-75296-B
不可一世	1-75354-S
不可一世 不可一世	1-75354-B
不可以	1-75472-S
不可以 不可以	1-75472-B
不可估量	1-75521-S
不可估量 不可估量	1-75521-B
不可侵犯	1-75615-S
不可侵犯 不可侵犯	1-75615-B
不可侵犯权	1-75693-S
不可侵犯權 不可侵犯权	1-75693-B
不可分割	1-75772-S
不可分割 不可分割	1-75772-B
不可分离	1-75872-S
不可分離 不可分离	1-75872-B
不可勝數 不可胜数	1-75936-B
不可同日而語 不可同日而语	1-76013-B
不可同日而语	1-76013-S
不可名状	1-76201-S
不可名狀 不可名状	1-76201-B
不可告人	1-76291-S
不可告人 不可告人	1-76291-B
不可多得	1-76382-S
不可多得 不可多得	1-76382-B
不可导	1-76455-S
不可導 不可导	1-76455-B
不可思議 不可思议	1-76539-B
不可思议	1-76539-S
不可或缺	1-76630-S
不可或缺 不可或缺	1-76630-B
不可抗力	1-76703-S
不可抗力 不可抗力	1-76703-B
不可收拾	1-76770-S
不可收拾 不可收拾	1-76770-B
不可救药	1-76871-S
不可救藥 不可救药	1-76871-B
不可理喻	1-76968-S
不可理喻 不可理喻	1-76968-B
不可知論 不可知论	1-77066-B
不可知论	1-77066-S
不可磨滅 不可磨灭	1-77131-B
不可磨灭	1-77131-S
不可終日 不可终日	1-77193-B
不可终日	1-77193-S
不可缺少	1-77319-S
不可缺少 不可缺少	1-77319-B
不可胜数	1-75936-S
不可能	1-77387-S
不可能 不可能	1-77387-B
不可能的事	1-77457-S
不可能的事 不可能的事	1-77457-B
不可逆	1-77534-S
不可逆 不可逆	1-77534-B
不可逆轉 不可逆转	1-77588-B
不可逆转	1-77588-S
不可逾越	1-77655-S
不可逾越 不可逾越	1-77655-B
不可避免	1-77745-S
不可避免 不可避免	1-77745-B
不可靠	1-77810-S
不可靠 不可靠	1-77810-B
不合	1-77863-S
不合 不合	1-77863-B
不合体统	2-336-S
不合作	2-0-S
不合作 不合作	2-0-B
不合时宜	2-57-S
不合時宜 不合时宜	2-57-B
不合法	2-182-S
不合法 不合法	2-182-B
不合理	2-231-S
不合理 不合理	2-231-B
不合适	2-285-S
不合適 不合适	2-285-B
不合體統 不合体统	2-336-B
不吉	2-459-S
不吉 不吉	2-459-B
不吉利	2-519-S
不吉利 不吉利	2-519-B
不同	2-568-S
不同 不同	2-568-B
不同凡响	2-643-S
不同凡響 不同凡响	2-643-B
不同意	2-754-S
不同意 不同意	2-754-B
不名一文	2-806-S
不名一文 不名一文	2-806-B
不名数	2-912-S
不名數 不名数	2-912-B
不名誉	2-972-S
不名誉事物	2-1040-S
不名譽 不名誉	2-972-B
不名譽事物 不名誉事物	2-1040-B
不吐气	2-1113-S
不吐氣 不吐气	2-1113-B
不吝	2-1166-S
不吝 不吝	2-1166-B
不吝珠玉	2-1208-S
不吝珠玉 不吝珠玉	2-1208-B
不含糊	2-1309-S
不含糊 不含糊	2-1309-B
不听命	2-25644-S
不周延	2-1462-S
不周延 不周延	2-1462-B
不和	2-1520-S
不和 不和	2-1520-B
不咎既往	2-1605-S
不咎既往 不咎既往	2-1605-B
不問 不问	2-1747-B
不啻	2-1842-S
不啻 不啻	2-1842-B
不善	2-1907-S
不善 不善	2-1907-B
不單 不单	2-1999-B
不在	2-2066-S
不在 不在	2-2066-B
不在乎	2-2115-S,2-2175-S
不在乎 不在乎	2-2115-B,2-2175-B
不在了	2-2228-S
不在了 不在了	2-2228-B
不在意	2-2300-S
不在意 不在意	2-2300-B
不在話下 不在话下	2-2408-B
不在话下	2-2408-S
不均勻 不均匀	2-2494-B
不均匀	2-2494-S
不堪	2-2551-S
不堪 不堪	2-2551-B
不堪入目	2-2626-S
不堪入目 不堪入目	2-2626-B
不堪忍受	2-2711-S
不堪忍受 不堪忍受	2-2711-B
不备	1-69614-S
不外	2-2777-S
不外 不外	2-2777-B
不外露	2-2851-S
不外露 不外露	2-2851-B
不够	2-2925-S
不夠 不够	2-2925-B
不大	2-2992-S
不大 不大	2-2992-B
不大离	2-3050-S
不大离儿	2-3147-S
不大離 不大离	2-3050-B
不大離兒 不大离儿	2-3147-B
不太好	2-3234-S
不太好 不太好	2-3234-B
不太明白	2-3302-S
不太明白 不太明白	2-3302-B
不失为	2-3499-S
不失时机	2-3406-S
不失時機 不失时机	2-3406-B
不失為 不失为	2-3499-B
不好	2-3606-S
不好 不好	2-3606-B
不好受	2-3646-S
不好受 不好受	2-3646-B
不好惹	2-3706-S
不好惹 不好惹	2-3706-B
不好意思	2-3813-S
不好意思 不好意思	2-3813-B
不好說 不好说	2-3929-B
不好说	2-3929-S
不如	2-3996-S
不如 不如	2-3996-B
不妙	2-4089-S
不妙 不妙	2-4089-B
不妥	2-4202-S
不妥 不妥	2-4202-B
不妥协	2-4259-S
不妥協 不妥协	2-4259-B
不妨	2-4317-S
不妨 不妨	2-4317-B
不孕	2-4384-S
不孕 不孕	2-4384-B
不孕症	2-4428-S
不孕症 不孕症	2-4428-B
不学无术	2-4492-S
不學無術 不学无术	2-4492-B
不安	2-4611-S
不安 不安	2-4611-B
不安全	2-4696-S
不安全 不安全	2-4696-B
不完全中立	2-4756-S
不完全中立 不完全中立	2-4756-B
不完全叶	2-4964-S
不完全归纳推理	2-4844-S
不完全歸納推理 不完全归纳推理	2-4844-B
不完全葉 不完全叶	2-4964-B
不完善	2-5034-S
不完善 不完善	2-5034-B
不完美	2-5088-S
不完美 不完美	2-5088-B
不定	2-5151-S
不定 不定	2-5151-B
不定形	2-5222-S
不定形 不定形	2-5222-B
不定方程	2-5286-S
不定方程 不定方程	2-5286-B
不定期	2-5375-S
不定期 不定期	2-5375-B
不定积分	2-5444-S
不定積分 不定积分	2-5444-B
不定詞 不定词	2-5526-B
不定词	2-5526-S
不宜	2-5580-S
不宜 不宜	2-5580-B
不客气	2-5650-S
不客氣 不客气	2-5650-B
不宣而战	2-5742-S
不宣而戰 不宣而战	2-5742-B
不容	2-5860-S
不容 不容	2-5860-B
不容易	2-5936-S
不容易 不容易	2-5936-B
不容置辩	2-5988-S
不容置辯 不容置辩	2-5988-B
不寒而慄 不寒而栗	2-6094-B
不寒而栗	2-6094-S
不对	2-6288-S
不对劲	2-6357-S
不对碴儿	2-6422-S
不寻常	2-6204-S
不尋常 不寻常	2-6204-B
不對 不对	2-6288-B
不對勁 不对劲	2-6357-B
不對碴兒 不对碴儿	2-6422-B
不小心	2-6510-S
不小心 不小心	2-6510-B
不少	2-6572-S
不少 不少	2-6572-B
不尽	2-20010-S
不尽根	2-20057-S
不局限	2-6622-S
不局限 不局限	2-6622-B
不屈	2-6678-S
不屈 不屈	2-6678-B
不屈不挠	2-6730-S
不屈不撓 不屈不挠	2-6730-B
不屑	2-6805-S
不屑 不屑	2-6805-B
不巧	2-6920-S
不巧 不巧	2-6920-B
不已	2-6989-S
不已 不已	2-6989-B
不带电	2-7042-S
不帶電 不带电	2-7042-B
不干	2-7117-S
不干 不干	2-7117-B
不干不净	1-66209-S
不干涉	2-7194-S
不干涉 不干涉	2-7194-B
不平	2-7269-S
不平 不平	2-7269-B
不平凡	2-7359-S
不平凡 不平凡	2-7359-B
不平则鸣	2-7425-S
不平則鳴 不平则鸣	2-7425-B
不平常	2-7564-S
不平常 不平常	2-7564-B
不平等	2-7640-S
不平等 不平等	2-7640-B
不平等条约	2-7707-S
不平等條約 不平等条约	2-7707-B
不平衡	2-7790-S
不平衡 不平衡	2-7790-B
不幸	2-7850-S
不幸 不幸	2-7850-B
不幸之事	2-7934-S
不幸之事 不幸之事	2-7934-B
不幸受害	2-7996-S
不幸受害 不幸受害	2-7996-B
不幸的是	2-8093-S
不幸的是 不幸的是	2-8093-B
不当	2-19271-S
不当一回事	2-19338-S
不当事	2-19446-S
不当得利	2-19516-S
不当紧	2-19587-S
不待說 不待说	2-8160-B
不待说	2-8160-S
不很	2-8243-S
不很 不很	2-8243-B
不得	2-8284-S
不得 不得	2-8284-B
不得不	2-8354-S
不得不 不得不	2-8354-B
不得了	2-8472-S
不得了 不得了	2-8472-B
不得人心	2-8568-S
不得人心 不得人心	2-8568-B
不得劲	2-8660-S
不得勁 不得劲	2-8660-B
不得已	2-8746-S
不得已 不得已	2-8746-B
不得而知	2-8868-S
不得而知 不得而知	2-8868-B
不得要領 不得要领	2-8947-B
不得要领	2-8947-S
不必	2-9031-S
不必 不必	2-9031-B
不必要	2-9088-S
不必要 不必要	2-9088-B
不忍	2-9151-S
不忍 不忍	2-9151-B
不忙	2-9198-S
不忙 不忙	2-9198-B
不快	2-9264-S
不快 不快	2-9264-B
不怀好意	2-10949-S
不怎么	2-9393-S
不怎么样	2-9460-S
不怎麼 不怎么	2-9393-B
不怎麼樣 不怎么样	2-9460-B
不怕	2-9601-S
不怕 不怕	2-9601-B
不急之务	2-9683-S
不急之務 不急之务	2-9683-B
不恥下問 不耻下问	2-9764-B
不恭	2-9876-S
不恭 不恭	2-9876-B
不悅 不悦	2-9923-B
不悦	2-9923-S
不情之請 不情之请	2-9976-B
不情之请	2-9976-S
不情愿	2-10107-S
不情願 不情愿	2-10107-B
不惜	2-10162-S
不惜 不惜	2-10162-B
不惟	2-10262-S
不惟 不惟	2-10262-B
不愉快	2-10303-S
不愉快 不愉快	2-10303-B
不意	2-10370-S
不意 不意	2-10370-B
不意味着	2-10441-S
不意味著 不意味着	2-10441-B
不愧	2-10536-S
不愧 不愧	2-10536-B
不愿	2-36448-S
不慌不忙	2-10622-S
不慌不忙 不慌不忙	2-10622-B
不懂	2-10720-S
不懂 不懂	2-10720-B
不懂装懂	2-10783-S
不懂裝懂 不懂装懂	2-10783-B
不懈	2-10882-S
不懈 不懈	2-10882-B
不懷好意 不怀好意	2-10949-B
不成	2-11051-S
不成 不成	2-11051-B
不成体统	2-11222-S
不成功	2-11094-S
不成功 不成功	2-11094-B
不成文法	2-11153-S
不成文法 不成文法	2-11153-B
不成體統 不成体统	2-11222-B
不战不和	2-11362-S
不戰不和 不战不和	2-11362-B
不打不成相識 不打不成相识	2-11437-B
不打不成相识	2-11437-S
不打不相識 不打不相识	2-11527-B
不打不相识	2-11527-S
不打自招	2-11609-S
不打自招 不打自招	2-11609-B
不扩散核武器条约	2-12567-S
不承認主義 不承认主义	2-11725-B
不承认主义	2-11725-S
不折不扣	2-11817-S
不折不扣 不折不扣	2-11817-B
不抵抗主义	2-11915-S
不抵抗主義 不抵抗主义	2-11915-B
不拘	2-12003-S
不拘 不拘	2-12003-B
不拘一格	2-12079-S
不拘一格 不拘一格	2-12079-B
不择手段	2-12455-S
不插电	2-12155-S
不插電 不插电	2-12155-B
不揣冒昧	2-12264-S
不揣冒昧 不揣冒昧	2-12264-B
不摸头	2-12362-S
不摸頭 不摸头	2-12362-B
不擇手段 不择手段	2-12455-B
不擴散核武器條約 不扩散核武器条约	2-12567-B
不攻自破	2-12696-S
不攻自破 不攻自破	2-12696-B
不敌	2-13416-S
不敗之地 不败之地	2-12768-B
不敢	2-12841-S
不敢 不敢	2-12841-B
不敢当	2-12885-S
不敢當 不敢当	2-12885-B
不敢相信	2-13013-S
不敢相信 不敢相信	2-13013-B
不敢自专	2-13082-S
不敢自專 不敢自专	2-13082-B
不敢越雷池一步	2-13180-S
不敢越雷池一步 不敢越雷池一步	2-13180-B
不敬	2-13314-S
不敬 不敬	2-13314-B
不敵 不敌	2-13416-B
不料	2-13472-S
不料 不料	2-13472-B
不断	2-13586-S
不新鮮 不新鲜	2-13536-B
不新鲜	2-13536-S
不斷 不断	2-13586-B
不方便	2-13663-S
不方便 不方便	2-13663-B
不无小补	2-18131-S
不日	2-13735-S
不日 不日	2-13735-B
不时	2-14694-S
不时之需	2-14755-S
不时合	2-14842-S
不明	2-13810-S
不明 不明	2-13810-B
不明白	2-13880-S
不明白 不明白	2-13880-B
不明确	2-13972-S
不明確 不明确	2-13972-B
不明飛行物 不明飞行物	2-14035-B
不明飞行物	2-14035-S
不易	2-14148-S
不易 不易	2-14148-B
不易之論 不易之论	2-14219-B
不易之论	2-14219-S
不是	2-14339-S,2-14385-S
不是 不是	2-14339-B,2-14385-B
不是吗	2-14563-S
不是味儿	2-14428-S
不是味兒 不是味儿	2-14428-B
