乡人	63-29742-S
五莲	3-54250-S
五華 五华	3-54068-B
五華縣 五华县	3-54131-B
五萬 五万	3-54206-B
五蓮 五莲	3-54250-B
五虎将	3-54314-S
五虎將 五虎将	3-54314-B
五號 五号	3-54421-B
五號電池 五号电池	3-54484-B
五行	3-54556-S
五行 五行	3-54556-B
五行八作	3-54633-S
五行八作 五行八作	3-54633-B
五角	3-54739-S
五角 五角	3-54739-B
五角大楼	3-54781-S
五角大楼官员	3-54848-S
五角大樓 五角大楼	3-54781-B
五角大樓官員 五角大楼官员	3-54848-B
五角形	3-54944-S
五角形 五角形	3-54944-B
五角星	3-54998-S
五角星 五角星	3-54998-B
五言絕句 五言绝句	3-55053-B
五言绝句	3-55053-S
五谷	3-52290-S
五边形	3-55325-S
五通桥区	3-55161-S
五通橋區 五通桥区	3-55161-B
五道口	3-55249-S
五道口 五道口	3-55249-B
五邊形 五边形	3-55325-B
五金	3-55379-S
五金 五金	3-55379-B
五金店	3-55465-S
五金店 五金店	3-55465-B
五音	3-55526-S
五音 五音	3-55526-B
五項全能 五项全能	3-55589-B
五顏六色 五颜六色	3-55658-B
五项全能	3-55589-S
五颜六色	3-55658-S
五香粉	3-55751-S
五香粉 五香粉	3-55751-B
五體投地 五体投地	3-55815-B
五鬼	3-55948-S
五鬼 五鬼	3-55948-B
井	3-56057-S
井 井	3-56057-B
井下	3-56103-S
井下 井下	3-56103-B
井井有条	3-56157-S
井井有條 井井有条	3-56157-B
井冈山	3-56323-S
井冈山市	3-56417-S
井口	3-56272-S
井口 井口	3-56272-B
井岡山 井冈山	3-56323-B
井岡山市 井冈山市	3-56417-B
井底之蛙	3-56522-S
井底之蛙 井底之蛙	3-56522-B
井水不犯河水	3-56645-S
井水不犯河水 井水不犯河水	3-56645-B
井然	3-56757-S
井然 井然	3-56757-B
井然有序	3-56796-S
井然有序 井然有序	3-56796-B
井田	3-56914-S
井田 井田	3-56914-B
井田制	3-56988-S
井田制 井田制	3-56988-B
井研	3-57052-S
井研 井研	3-57052-B
井蛙之見 井蛙之见	3-57117-B
井蛙之见	3-57117-S
井陉	3-57235-S
井陉矿区	3-57300-S
井陘 井陉	3-57235-B
井陘礦區 井陉矿区	3-57300-B
亘	3-57392-S
亙 亘	3-57392-B
亚	3-57582-S
亚丁	3-57658-S
亚东	3-59472-S
亚临界	3-63703-S
亚们	3-57853-S
亚伦	3-57907-S
亚伯	3-57696-S
亚伯拉罕	3-57778-S
亚兰	3-63758-S
亚军	3-64224-S
亚利安娜	3-57952-S
亚利桑纳州	3-58032-S
亚利桑那	3-58114-S
亚利桑那州	3-58175-S
亚力山大帝	3-58248-S
亚单位	3-58462-S
亚历山大	3-60106-S
亚历山大大帝	3-60199-S
亚历山大里亚	3-60305-S
亚哈斯	3-58331-S
亚喀巴	3-58393-S
亚太	3-58514-S
亚太国家	3-58559-S
亚太经合会	3-58656-S
亚太经合组织	3-58762-S
亚太经济合作组织	3-58857-S
亚尔发和奥米加	3-61703-S
亚巴郎	3-59006-S
亚弗烈	3-59064-S
亚当	3-62019-S
亚当・斯密	3-62057-S
亚当斯	3-62142-S
亚得里亚海	3-59120-S
亚所	3-59195-S
亚拉巴马	3-59288-S
亚拉巴马州	3-59347-S
亚文化	3-59418-S
亚松森	3-59533-S,3-65238-S
亚格门农	3-59609-S
亚欧	3-59673-S
亚欧大陆	3-59763-S
亚欧大陆腹地	3-59976-S
亚欧大陸桥	3-59833-S
亚比利尼	3-60389-S
亚比玉	3-60448-S
亚洲	3-60515-S
亚洲与太平洋	3-61020-S
亚洲与太平洋地区	3-61111-S
亚洲周刊	3-60559-S
亚洲国家	3-60651-S
亚洲太平洋地区	3-60733-S
亚洲客蚤	3-60841-S
亚洲开发银行	3-61438-S
亚洲杯	3-60912-S,3-60966-S
亚洲足球联合会	3-61229-S
亚热带	3-61538-S
亚父	3-61610-S
亚特兰大	3-61801-S
亚琛	3-61861-S
亚瑟	3-61919-S
亚瑟王	3-61964-S
亚的斯亚贝巴	3-62191-S
亚目	3-62297-S
亚砷	3-62348-S
亚砷酸	3-62390-S
亚硝酸	3-62449-S
亚硝酸异戊酯	3-62507-S
亚硝酸盐	3-62666-S
亚硝酸钠	3-62596-S
亚硫酸	3-62730-S
亚种	3-62841-S
亚科	3-62789-S
亚穆苏克罗	3-62897-S
亚符号模型	3-62998-S
亚米拿达	3-63080-S
亚纲	3-63290-S
亚细亚	3-63154-S
亚细亚洲	3-63216-S
亚罗号	3-63343-S
亚罗号事件	3-63507-S
亚美尼亚	3-63643-S
亚裔	3-63810-S
亚西尔・阿拉法特	3-63858-S
亚词汇单元	3-64021-S
亚词规则	3-64103-S
亚该亚	3-64175-S
亚达薛西	3-64583-S
亚运会	3-64452-S
亚运村	3-64507-S
亚速尔群岛	3-64374-S
亚速海	3-64301-S
亚里士多德	3-64646-S
亚里斯多德	3-64732-S
亚金	3-64818-S
亚铁	3-64887-S
亚门	3-64927-S
亚音节单位	3-64992-S
亚马孙	3-65075-S
亚马孙河	3-65124-S
亚马逊	3-65189-S
亚麻	3-65313-S
亚麻布	3-65349-S
亚齐	3-65396-S
亚齐省	3-65508-S
亚龙湾	3-65600-S
些	3-57436-S
些 些	3-57436-B
些許 些许	3-57492-B
些许	3-57492-S
亜	3-57533-S
亜 亜	3-57533-B
亞 亚	3-57582-B
亞丁 亚丁	3-57658-B
亞伯 亚伯	3-57696-B
亞伯拉罕 亚伯拉罕	3-57778-B
亞們 亚们	3-57853-B
亞倫 亚伦	3-57907-B
亞利安娜 亚利安娜	3-57952-B
亞利桑納州 亚利桑纳州	3-58032-B
亞利桑那 亚利桑那	3-58114-B
亞利桑那州 亚利桑那州	3-58175-B
亞力山大帝 亚力山大帝	3-58248-B
亞哈斯 亚哈斯	3-58331-B
亞喀巴 亚喀巴	3-58393-B
亞單位 亚单位	3-58462-B
亞太 亚太	3-58514-B
亞太國家 亚太国家	3-58559-B
亞太經合會 亚太经合会	3-58656-B
亞太經合組織 亚太经合组织	3-58762-B
亞太經濟合作組織 亚太经济合作组织	3-58857-B
亞巴郎 亚巴郎	3-59006-B
亞弗烈 亚弗烈	3-59064-B
亞得里亞海 亚得里亚海	3-59120-B
亞所 亚所	3-59195-B
亞拉巴馬 亚拉巴马	3-59288-B
亞拉巴馬州 亚拉巴马州	3-59347-B
亞文化 亚文化	3-59418-B
亞東 亚东	3-59472-B
亞松森 亚松森	3-59533-B
亞格門農 亚格门农	3-59609-B
亞歐 亚欧	3-59673-B
亞歐大陸 亚欧大陆	3-59763-B
亞歐大陸橋 亚欧大陸桥	3-59833-B
亞歐大陸腹地 亚欧大陆腹地	3-59976-B
亞歷山大 亚历山大	3-60106-B
亞歷山大大帝 亚历山大大帝	3-60199-B
亞歷山大里亞 亚历山大里亚	3-60305-B
亞比利尼 亚比利尼	3-60389-B
亞比玉 亚比玉	3-60448-B
亞洲 亚洲	3-60515-B
亞洲周刊 亚洲周刊	3-60559-B
亞洲國家 亚洲国家	3-60651-B
亞洲太平洋地區 亚洲太平洋地区	3-60733-B
亞洲客蚤 亚洲客蚤	3-60841-B
亞洲杯 亚洲杯	3-60912-B
亞洲盃 亚洲杯	3-60966-B
亞洲與太平洋 亚洲与太平洋	3-61020-B
亞洲與太平洋地區 亚洲与太平洋地区	3-61111-B
亞洲足球聯合會 亚洲足球联合会	3-61229-B
亞洲週刊	3-61345-S
亞洲週刊 亞洲週刊	3-61345-B
亞洲開發銀行 亚洲开发银行	3-61438-B
亞熱帶 亚热带	3-61538-B
亞父 亚父	3-61610-B
亞爾發和奧米加 亚尔发和奥米加	3-61703-B
亞特蘭大 亚特兰大	3-61801-B
亞琛 亚琛	3-61861-B
亞瑟 亚瑟	3-61919-B
亞瑟王 亚瑟王	3-61964-B
亞當 亚当	3-62019-B
亞當・斯密 亚当・斯密	3-62057-B
亞當斯 亚当斯	3-62142-B
亞的斯亞貝巴 亚的斯亚贝巴	3-62191-B
亞目 亚目	3-62297-B
亞砷 亚砷	3-62348-B
亞砷酸 亚砷酸	3-62390-B
亞硝酸 亚硝酸	3-62449-B
亞硝酸異戊酯 亚硝酸异戊酯	3-62507-B
亞硝酸鈉 亚硝酸钠	3-62596-B
亞硝酸鹽 亚硝酸盐	3-62666-B
亞硫酸 亚硫酸	3-62730-B
亞科 亚科	3-62789-B
亞種 亚种	3-62841-B
亞穆蘇克羅 亚穆苏克罗	3-62897-B
亞符號模型 亚符号模型	3-62998-B
亞米拿達 亚米拿达	3-63080-B
亞細亞 亚细亚	3-63154-B
亞細亞洲 亚细亚洲	3-63216-B
亞綱 亚纲	3-63290-B
亞羅號 亚罗号	3-63343-B
亞羅號事件 亚罗号事件	3-63507-B
亞美尼亞 亚美尼亚	3-63643-B
亞臨界 亚临界	3-63703-B
亞蘭 亚兰	3-63758-B
亞裔 亚裔	3-63810-B
亞西爾・阿拉法特 亚西尔・阿拉法特	3-63858-B
亞詞彙單元 亚词汇单元	3-64021-B
亞詞規則 亚词规则	3-64103-B
亞該亞 亚该亚	3-64175-B
亞軍 亚军	3-64224-B
亞速海 亚速海	3-64301-B
亞速爾群島 亚速尔群岛	3-64374-B
亞運會 亚运会	3-64452-B
亞運村 亚运村	3-64507-B
亞達薛西 亚达薛西	3-64583-B
亞里士多德 亚里士多德	3-64646-B
亞里斯多德 亚里斯多德	3-64732-B
亞金 亚金	3-64818-B
亞鐵 亚铁	3-64887-B
亞門 亚门	3-64927-B
亞音節單位 亚音节单位	3-64992-B
亞馬孫 亚马孙	3-65075-B
亞馬孫河 亚马孙河	3-65124-B
亞馬遜 亚马逊	3-65189-B
亞鬆森 亚松森	3-65238-B
亞麻 亚麻	3-65313-B
亞麻布 亚麻布	3-65349-B
亞齊 亚齐	3-65396-B
亞齊省 亚齐省	3-65508-B
亞龍灣 亚龙湾	3-65600-B
亟	3-65655-S,3-65683-S
亟 亟	3-65655-B,3-65683-B
亡	3-65726-S
亡 亡	3-65726-B
亡命	3-65766-S
亡命 亡命	3-65766-B
亡命之徒	3-65840-S
亡命之徒 亡命之徒	3-65840-B
亡国	3-65946-S
亡国灭种	3-66085-S
亡国虏	3-66161-S
亡國 亡国	3-65946-B
亡國滅種 亡国灭种	3-66085-B
亡國虜 亡国虏	3-66161-B
亡母	3-66238-S
亡母 亡母	3-66238-B
亡羊补牢	3-66287-S
亡羊補牢 亡羊补牢	3-66287-B
亡者	3-66483-S
亡者 亡者	3-66483-B
亢	3-66530-S
亢 亢	3-66530-B
交	3-66603-S
交 交	3-66603-B
交互	3-66702-S
交互 交互	3-66702-B
交付	3-66773-S
交付 交付	3-66773-B
交代	3-66830-S
交代 交代	3-66830-B
交併 交并	3-66893-B
交兵	3-66953-S
交兵 交兵	3-66953-B
交出	3-67006-S
交出 交出	3-67006-B
交割	3-67050-S
交割 交割	3-67050-B
交办	3-72180-S
交匯 交汇	3-67103-B
交叉	3-67176-S
交叉 交叉	3-67176-B
交叉学科	3-67226-S
交叉學科 交叉学科	3-67226-B
交叉火力	3-67338-S
交叉火力 交叉火力	3-67338-B
交叉点	3-67600-S
交叉耐药性	3-67403-S
交叉耐藥性 交叉耐药性	3-67403-B
交叉阴影线	3-67487-S
交叉陰影線 交叉阴影线	3-67487-B
交叉點 交叉点	3-67600-B
交友	3-67685-S
交友 交友	3-67685-B
交变	3-71887-S
交变电流	3-71963-S
交口	3-67735-S
交口 交口	3-67735-B
交合	3-67799-S
交合 交合	3-67799-B
交响	4-823-S
交响乐	4-923-S
交响乐团	4-979-S
交响乐队	4-1048-S
交响曲	4-868-S
交城	3-67863-S
交城 交城	3-67863-B
交契	3-67931-S
交契 交契	3-67931-B
交媾	3-67975-S
交媾 交媾	3-67975-B
交尾	3-68033-S
交尾 交尾	3-68033-B
交帐	3-68100-S
交帳 交帐	3-68100-B
交并	3-66893-S
交彙	3-68155-S
交彙 交彙	3-68155-B
交往	3-68253-S
交往 交往	3-68253-B
交情	3-68332-S
交情 交情	3-68332-B
交感神經 交感神经	3-68412-B
交感神经	3-68412-S
交战	3-68497-S
交戰 交战	3-68497-B
交手	3-68547-S
交手 交手	3-68547-B
交托	3-68604-S
交托 交托	3-68604-B
交拜	3-68646-S
交拜 交拜	3-68646-B
交换	3-68838-S
交换代数	3-68952-S
交换代数学	3-69037-S
交换以太网络	3-69133-S
交换价值	3-69230-S
交换器	3-69302-S
交换技术	3-69375-S
交换机	3-69452-S
交换端	3-69525-S
交换网路	3-69586-S
交换虚电路	3-69660-S
交接	3-68791-S
交接 交接	3-68791-B
交換 交换	3-68838-B
交換代數 交换代数	3-68952-B
交換代數學 交换代数学	3-69037-B
交換以太網絡 交换以太网络	3-69133-B
交換價值 交换价值	3-69230-B
交換器 交换器	3-69302-B
交換技術 交换技术	3-69375-B
交換機 交换机	3-69452-B
交換端 交换端	3-69525-B
交換網路 交换网路	3-69586-B
交換虛電路 交换虚电路	3-69660-B
交易	3-69756-S
交易 交易	3-69756-B
交易员	3-69826-S
交易員 交易员	3-69826-B
交易所	3-69885-S
交易所 交易所	3-69885-B
交易日	3-69953-S
交易日 交易日	3-69953-B
交易者	3-70020-S
交易者 交易者	3-70020-B
交易額 交易额	3-70071-B
交易额	3-70071-S
交替	3-70161-S
交替 交替	3-70161-B
交朋友	3-70225-S
交朋友 交朋友	3-70225-B
交杯酒	3-70313-S
交杯酒 交杯酒	3-70313-B
交款单	3-70446-S
交款單 交款单	3-70446-B
交汇	3-67103-S
交流	3-70505-S
交流 交流	3-70505-B
交流电	3-70629-S
交流電 交流电	3-70629-B
交浅言深	3-70754-S
交涉	3-70695-S
交涉 交涉	3-70695-B
交淺言深 交浅言深	3-70754-B
交火	3-70861-S
交火 交火	3-70861-B
交点	4-1208-S
交班	3-70915-S
交班 交班	3-70915-B
交界	3-70984-S
交界 交界	3-70984-B
交粮本	3-71048-S
交糧本 交粮本	3-71048-B
交納 交纳	3-71132-B
交給 交给	3-71188-B
交織 交织	3-71245-B
交纳	3-71132-S
交织	3-71245-S
交给	3-71188-S
交臂	3-71290-S
交臂 交臂	3-71290-B
交臂失之	3-71358-S
交臂失之 交臂失之	3-71358-B
交融	3-71466-S
交融 交融	3-71466-B
交角	3-71517-S
交角 交角	3-71517-B
交誼 交谊	3-71604-B
交誼舞 交谊舞	3-71670-B
交談 交谈	3-71743-B
交警	3-71812-S
交警 交警	3-71812-B
交變 交变	3-71887-B
交變電流 交变电流	3-71963-B
交谈	3-71743-S
交谊	3-71604-S
交谊舞	3-71670-S
交貨 交货	3-72069-B
交貨期 交货期	3-72120-B
交货	3-72069-S
交货期	3-72120-S
交辦 交办	3-72180-B
交还	4-343-S
交通	3-72239-S
交通 交通	3-72239-B
交通卡	3-72306-S
交通卡 交通卡	3-72306-B
交通堵塞	3-72411-S
交通堵塞 交通堵塞	3-72411-B
