ju2 xian4 xing4	21-17497-B
jue2 ding4 cu4	27-4217-S,36-65704-B
jue2 ding4 lun4	36-65801-B
jue2 ding4 xing4	36-65638-B
jue2 dou4	37-656-B,57-46679-B
jue2 dui4	49-46099-B
jue2 dui4 da4 duo1 shu4	49-46293-B
jue2 dui4 di4 zhi3	49-46214-B
jue2 dui4 gao1 du4	49-46810-B
jue2 dui4 guan1 nian4	49-46646-B
jue2 dui4 ling2 du4	49-46741-B
jue2 dui4 shi1 du4	49-46574-B
jue2 dui4 shu4 zi4	49-46404-B
jue2 dui4 wen1 du4	49-46499-B
jue2 dui4 zhi2	49-46155-B
jue2 duo2	29-37071-B
jue2 fa2	49-47674-B
jue2 fou3 ren4	16-5200-S
jue2 fu1 ren2	7-61668-S
jue2 fu2 wu4	8-49549-S
jue2 ji1 xie4	27-66977-S
jue2 ji4	49-46965-B,49-47723-B
jue2 jia1 gong1 ji4 qiao3	57-36829-S
jue2 jiang4	5-62251-B
jue2 jie2 he2	64-48538-S
jue2 jie2 he2 de5 ci2	64-48613-S
jue2 jie3 ti3	45-64028-S
jue2 jing1	49-47449-B
jue2 ju4	3-55053-S
jue2 kou3	36-65501-B,50-53953-S,59-14494-S,60-3148-S
jue2 lei4	55-15576-B
jue2 li4	57-44307-B
jue2 lie4	37-330-B
jue2 lu:4	12-15050-S
jue2 lun2	49-45633-B,54-18616-S,60-23156-S
jue2 mi4	49-46056-B
jue2 miao4	49-46012-B
jue2 mu4 gong1 ren2	28-18899-B
jue2 piao4	12-15132-S
jue2 pin3	49-45702-B
jue2 qi3	21-44592-B
jue2 qi4	49-47066-B
jue2 qi4 guan1	25-43177-S
jue2 qiao4	58-582-B
jue2 qing2	49-46885-B
jue2 qu3	29-37004-B
jue2 quan2	12-66877-S,56-45216-S
jue2 r5	12-58455-S,32-18312-S
jue2 ren2 huan2	25-48314-S
jue2 ren2 zhi1 lu4	17-50257-S
jue2 ru2 lu:3	2-24636-S
jue2 sai4	10-58969-S,37-540-B
jue2 se4	57-45746-B
jue2 se4 ban4 yan3 you2 xi4	57-45783-B
jue2 shi2	49-47900-B
jue2 shi4	41-40922-B
jue2 shi4 wu3	41-41020-B
jue2 shi4 yin1 yue4	41-41068-B
jue2 shi4 yue4	41-40971-B
jue2 shu3	50-62628-S
jue2 si1 tan3	33-22438-S
jue2 si1 tan3 jie3 fang4 zu3 zhi1	33-22703-S
jue2 si1 tan3 yi1 si1 lan2 yun4 dong4	33-22547-S
jue2 su2	62-57612-S
jue2 suan4	37-215-B
jue2 tiao2 jian4	7-4271-S
jue2 wang4	49-47003-B
jue2 wei4	41-40864-B
jue2 wen4 ti2	57-51000-S
jue2 wu2 jin3 you3	49-47105-B
jue2 wu4	57-41227-B
jue2 xin1	1-61136-S,32-36202-S,36-65858-B
jue2 xing3	57-41330-B
jue2 xing4	45-23829-S
jue2 xuan2 an4 da4 gang1 xie2 ding4	2-81022-S
jue2 yi4	36-65967-B,37-435-B
jue2 yi4 an4	37-478-B
jue2 yuan2	42-26872-B,49-47493-B
jue2 yuan2 ti3	49-47592-B
jue2 ze2	26-65031-B
jue2 zhan4	36-66016-B
jue2 zheng4	49-47315-B
jue2 zhi3 yu3	19-57353-S
jue2 zhong3	49-47385-B
jue2 zhu2	57-46181-B
jue2 zuo4	21-61539-S
jun	1-42972-S,1-48674-S,2-53067-S,2-53392-S,2-53522-S,2-53680-S,3-2908-S,3-23618-S,3-64224-S,4-4807-S,4-7529-S,4-13281-S,4-39186-S,5-32518-B,6-3851-S,6-24785-S,6-28087-S,6-43945-S,6-54597-B,6-63358-S,7-544-S,7-42051-S,7-50209-S,7-52910-S,8-13359-S,9-56710-S,10-28777-S,10-33376-S,10-33527-S,10-46347-S,11-36808-S,11-40977-S,11-43388-S,11-66361-S,12-63959-B,14-24595-S,14-41774-S,14-42510-S,14-63896-B,15-3349-S,15-10923-S,15-31037-S,15-47243-B,16-14612-S,17-1721-S,17-32250-S,17-46672-S,18-48081-S,19-534-S,19-12609-S,19-42966-S,19-49157-S,20-37217-S,20-42603-S,21-40572-B,22-38131-S,22-47848-S,23-67184-S,24-21364-S,24-42626-S,24-45191-S,24-59592-S,26-24985-S,27-3577-S,27-6396-S,27-6920-S,27-7081-S,27-67097-S,28-1945-B,28-9733-S,29-8553-S,29-11225-S,29-55367-S,29-63399-S,30-18301-S,30-45522-S,30-56964-S,31-5960-S,31-11801-S,31-12332-S,31-66495-S,33-908-S,33-3051-S,33-3143-S,33-3224-S,33-16497-S,33-28770-S,33-38961-S,34-8949-S,35-8537-S,35-10847-S,35-15562-S,36-757-S,36-912-S,36-2486-S,36-37365-S,36-49766-S,37-17721-S,37-34752-S,38-8885-B,38-23049-S,38-24707-S,38-26103-S,38-64896-S,39-18770-S,39-26770-S,39-64041-S,39-64490-S,40-10725-B,40-26462-S,40-29923-S,40-44579-B,41-22127-S,42-35166-S,42-48552-B,42-52615-S,43-59803-B,44-2642-S,44-9161-S,44-12141-S,44-37316-S,44-46632-S,44-61194-S,44-62550-S,45-1081-B,45-7572-S,45-44568-S,46-1124-S,47-1476-S,47-25168-S,47-50000-S,47-64396-B,47-64536-S,48-24717-B,48-46664-S,48-50960-S,49-4206-S,49-9631-S,49-17920-S,49-33652-S,49-42179-S,51-9177-S,51-12508-S,51-14457-S,51-45037-S,51-63106-S,52-5678-S,52-5844-S,52-14916-S,52-15024-S,52-15116-S,53-19571-S,54-1680-S,54-23064-B,54-23493-S,54-28269-B,54-28305-B,54-40014-S,54-58436-S,54-58505-S,55-29274-S,55-29350-S,55-29931-S,56-35189-S,56-41882-S,56-53945-S,56-54208-S,57-49925-S,58-47670-S,58-48979-S,59-4575-S,59-26158-S,60-30252-S,60-62198-B,60-64552-S,62-31428-S,62-60739-S,63-8986-S,63-13806-S,63-22037-B,63-33496-S,63-44041-S,64-3674-S,64-21646-B,64-56281-S,65-55772-S,66-33600-S,66-33671-S,66-34224-S,66-45729-S,66-57250-S,66-60956-B,66-67605-S,67-41363-S,67-41751-S,67-68262-S,68-4844-S,68-36966-S,68-63147-S,69-14523-B,69-35882-S,69-38875-S,69-48524-S,69-51563-B,70-14151-S,70-40248-S,70-43570-B,71-8995-B,71-19575-S,71-28460-S,71-49800-S,71-62482-S
jun Hai jun	2-53522-S
jun Jin xing qu	51-12567-S
jun Kong jun	2-53680-S
jun bei	23-10094-S,33-62600-S,56-53706-S,60-63818-B
jun bei jing sai	60-63877-B
jun bi ye	43-51877-S
jun bian lun	15-48539-B
jun bing	22-16247-S,22-19317-S,42-51638-S,49-38815-S,49-38962-S,59-26251-S,60-64628-S
jun bu jin	24-42667-S
jun cao yu	60-65484-B
jun cha	15-47648-B
jun chang du su	54-58573-S
jun che	61-763-B
jun chen hao	54-28746-B
jun da xiao	38-24939-S
jun dao	42-61750-S,60-63960-B
jun de	40-61135-S
jun deng	15-48169-B
jun deng hua	15-48224-B
jun dong zheng	10-46431-S
jun du su	52-5754-S,67-41407-S
jun du zi	20-37267-S
jun dui	15-11109-S,61-1094-B
jun fa	10-33438-S,18-4281-S,22-8027-S,34-2413-S,45-20507-S,61-81-B,61-981-B
jun fang	15-47794-B,60-65404-B
jun fei	54-28535-B,61-636-B
jun fei kai zhi	61-690-B
jun fei yan	71-46092-S
jun fen	15-47392-B
jun fen qu	60-64014-B
jun gang	28-25646-S,45-44615-S,56-54294-S,61-125-B,69-36799-S
jun guan	38-25027-S,60-64970-B,70-20052-S
jun guo zhu yi	60-64440-B
jun heng	9-47428-S,15-48470-B
jun hui	63-22080-B
jun huo	61-233-B
jun huo ku	61-290-B
jun ji	36-1041-S,60-65746-B
jun ji chu	60-65846-B
jun ji di	38-23113-S,47-50141-S
jun ji liang	22-38406-S
jun jia su	4-4908-S
jun jian	61-468-B
jun jiao tuan	54-28585-B
jun jie	5-32572-B,54-28468-B,58-62673-S
jun lan	38-25269-S
jun lei	54-28800-B
jun li	60-64080-B
jun li di	10-7515-S
jun ling zhuang	60-63755-B
jun lu zhan dui	38-25323-S
jun lu:	10-42878-S,60-65447-B
jun luo	54-28684-B
jun ma	69-51600-B
jun men	55-29997-S,55-30150-S
jun miao	22-16365-S,40-30120-S,54-28640-B,67-41913-S,71-49897-S
jun min	61-0-B
jun pin chu kou ling dao xiao zu	60-64257-B
jun pin mao yi guan li wei yuan hui	15-7572-S
jun pin mao yi ju	15-7438-S
jun qi	60-65641-B
jun qi wen	22-38684-S
jun qing	60-65023-B
jun qing liu chu	60-65177-B
jun qing wu chu	60-65079-B
jun qu	12-29130-S,60-64176-B
jun quan	12-64438-B
jun re	15-47970-B
jun ren	34-42097-S,51-5509-S,60-63684-B,61-61549-S
jun ren jie	61-61611-S
jun sai	8-13402-S
jun shang xiao	38-24745-S,66-34261-S
jun shao xiao	38-25086-S
jun shi	15-47452-B,15-47893-B,33-56610-S,60-62239-B,60-64707-B
jun shi bu men	60-63614-B
jun shi fa ting	60-63185-B
jun shi he da guo	60-63023-B
jun shi hua	60-62406-B
jun shi ji di	60-62465-B
jun shi ji gou	60-63110-B
jun shi jia	60-62664-B
jun shi ke xue	60-63353-B
jun shi li liang	26-45279-S,60-62315-B
jun shi qing bao	60-62819-B
jun shi qu	67-68010-S
jun shi she shi	60-63536-B
jun shi shi li	60-62732-B
jun shi wei xie	60-62532-B
jun shi xue	60-62603-B
jun shi yan xi	60-63272-B
jun shi yuan zhu	60-62954-B
jun shi zhi ye zhuan ye	60-63424-B
jun shou	60-64395-B
jun shou ming	22-38476-S
jun shou ru	22-38550-S
jun shu	7-19889-S,22-38621-S,38-25539-S,48-24451-S
jun si ling	47-50044-S
jun su	27-7129-S,49-42308-S,68-37051-S
jun tan	15-47723-B
jun ti	14-36093-S
jun tian zhi	15-48042-B
jun tu qi	43-63720-S
jun tuan	24-14821-S,60-64505-B
jun tuan gan jun	60-64552-B
jun tuan jie	40-3302-S
jun tuan jun bing	60-64628-B
jun tuo	54-28388-B
jun wan ma	10-50654-S
jun wang	12-64489-B,35-10887-S
jun wei	2-67644-S,60-64749-B
jun wei hui	60-64843-B
jun wu	60-64127-B
jun wu qi	49-33865-S
jun xian	15-48305-B,47-26276-S,61-923-B,69-14578-B
jun xian zhi biao	15-48363-B,47-26383-S
jun xiang	20-37348-S
jun xiao	60-65574-B,71-17896-S
jun xing	40-61083-S
jun xing li ji	49-33705-S
jun xiu	5-32637-B
jun xu	61-1139-B
jun xun	61-585-B
jun yan	51-60827-S,61-181-B
jun yao	27-7184-S
jun yi	15-47288-B,61-813-B
jun yi fa	10-52209-S
jun yi yuan	61-861-B
jun ying	61-341-B
jun yong	12-11211-S,61-394-B
jun yuan zheng	10-46542-S
jun yue dui	60-65691-B
jun yun	2-2494-S,15-47524-B
jun yun xing	15-47591-B
jun zeng zhang lu:	22-47904-S
jun zhan	15-47840-B,49-33789-S
jun zhen	61-1043-B
jun zheng	60-65284-B
jun zheng fu	60-65339-B
jun zhi	15-47345-B,15-48602-B,22-38243-S,67-63960-S
jun zhi an guan	63-22128-B
jun zhi ding li	22-38302-S
jun zhong wei	66-34326-S
jun zhong xiao	38-24841-S
jun zhu	12-64010-B
jun zhu li xian zhi	12-64127-B
jun zhu yi	22-38173-S
jun zhu zheng zhi	12-64061-B
jun zhuang	61-532-B
jun zi	6-24087-S,12-64322-B,26-5536-S,38-41423-S,44-22153-S,54-28350-B,66-46711-S
jun zi lan	12-64388-B
jun zong si ling	38-25194-S
jun zuo yong	36-971-S
jun1	1-42972-S,1-48674-S,2-53067-S,2-53392-S,2-53522-S,2-53680-S,3-2908-S,3-23618-S,3-64224-S,4-4807-S,4-7529-S,4-13281-S,4-39186-S,6-3851-S,6-24785-S,6-28087-S,6-43945-S,6-63358-S,7-544-S,7-42051-S,7-50209-S,7-52910-S,8-13359-S,9-56710-S,10-28777-S,10-33376-S,10-33527-S,10-46347-S,11-36808-S,11-40977-S,11-43388-S,11-66361-S,12-63959-B,14-24595-S,14-63896-B,15-3349-S,15-10923-S,15-31037-S,15-47243-B,17-1721-S,17-32250-S,19-534-S,19-12609-S,19-42966-S,19-49157-S,20-37217-S,20-42603-S,22-38131-S,22-47848-S,23-67184-S,24-21364-S,24-45191-S,24-59592-S,26-24985-S,27-3577-S,27-6396-S,27-6920-S,27-7081-S,28-9733-S,29-8553-S,29-11225-S,29-55367-S,29-63399-S,30-18301-S,30-45522-S,30-56964-S,31-11801-S,31-12332-S,31-66495-S,33-3051-S,33-3143-S,33-3224-S,33-16497-S,34-8949-S,35-8537-S,35-10847-S,35-15562-S,36-757-S,36-2486-S,36-37365-S,37-17721-S,37-34752-S,38-23049-S,38-24707-S,38-26103-S,38-64896-S,39-26770-S,39-64041-S,39-64490-S,40-26462-S,40-29923-S,41-22127-S,42-35166-S,42-52615-S,44-9161-S,44-12141-S,44-37316-S,44-46632-S,44-61194-S,44-62550-S,45-1081-B,45-7572-S,45-44568-S,46-1124-S,47-1476-S,47-25168-S,47-50000-S,47-64536-S,48-46664-S,48-50960-S,49-9631-S,49-17920-S,49-33652-S,49-42179-S,51-9177-S,51-12508-S,51-14457-S,51-45037-S,51-63106-S,52-5678-S,52-5844-S,52-14916-S,52-15024-S,52-15116-S,53-19571-S,54-23064-B,54-23493-S,54-28269-B,54-58436-S,54-58505-S,55-29274-S,55-29350-S,55-29931-S,56-35189-S,56-41882-S,56-53945-S,56-54208-S,57-49925-S,58-47670-S,59-4575-S,59-26158-S,60-30252-S,60-62198-B,60-64552-S,62-31428-S,62-60739-S,63-8986-S,63-13806-S,63-33496-S,63-44041-S,64-3674-S,64-21646-B,64-56281-S,65-55772-S,66-33600-S,66-33671-S,66-34224-S,66-57250-S,66-67605-S,67-41363-S,67-41751-S,68-4844-S,68-36966-S,68-63147-S,69-35882-S,69-38875-S,69-48524-S,70-40248-S,70-43570-B,71-8995-B,71-19575-S,71-28460-S,71-49800-S,71-62482-S
jun1 Hai3 jun1	2-53522-S
jun1 Jin4 xing2 qu3	51-12567-S
jun1 Kong1 jun1	2-53680-S
jun1 bei4	23-10094-S,33-62600-S,56-53706-S,60-63818-B
jun1 bei4 jing4 sai4	60-63877-B
jun1 bi4 ye4	43-51877-S
jun1 bian4 lun4	15-48539-B
jun1 bing4	22-16247-S,22-19317-S,42-51638-S,49-38815-S,49-38962-S,59-26251-S,60-64628-S
jun1 cao2 yu2	60-65484-B
jun1 cha1	15-47648-B
jun1 chang2 du2 su4	54-58573-S
jun1 che1	61-763-B
jun1 chen2 hao1	54-28746-B
jun1 da4 xiao4	38-24939-S
jun1 dao1	42-61750-S,60-63960-B
jun1 de5	40-61135-S
jun1 deng3	15-48169-B
jun1 deng3 hua4	15-48224-B
jun1 dong1 zheng1	10-46431-S
jun1 du2 su4	52-5754-S,67-41407-S
jun1 du4 zi5	20-37267-S
jun1 dui4	15-11109-S,61-1094-B
jun1 fa2	10-33438-S,18-4281-S,34-2413-S,45-20507-S,61-981-B
jun1 fa3	61-81-B
jun1 fang1	15-47794-B,60-65404-B
jun1 fei2	54-28535-B
jun1 fei4	61-636-B
jun1 fei4 kai1 zhi1	61-690-B
jun1 fei4 yan2	71-46092-S
jun1 fen1	15-47392-B
jun1 fen1 qu1	60-64014-B
jun1 gang1	28-25646-S,45-44615-S,56-54294-S
jun1 gang3	61-125-B,69-36799-S
jun1 guan1	38-25027-S,60-64970-B,70-20052-S
jun1 guo2 zhu3 yi4	60-64440-B
jun1 heng2	9-47428-S,15-48470-B
jun1 huo3	61-233-B
jun1 huo3 ku4	61-290-B
jun1 ji1	60-65746-B
jun1 ji1 chu4	60-65846-B
jun1 ji1 di4	38-23113-S,47-50141-S
jun1 ji4 liang4	22-38406-S
jun1 jia3 su4	4-4908-S
jun1 jian4	61-468-B
jun1 jiao1 tuan2	54-28585-B
jun1 jie4	54-28468-B
jun1 lan2	38-25269-S
jun1 lei4	54-28800-B
jun1 li4	60-64080-B
jun1 li4 di2	10-7515-S
jun1 ling4 zhuang4	60-63755-B
jun1 lu4 zhan4 dui4	38-25323-S
jun1 lu:3	60-65447-B
jun1 lu:4	10-42878-S
jun1 luo4	54-28684-B
jun1 men2	55-29997-S,55-30150-S
jun1 miao2	22-16365-S,40-30120-S,54-28640-B,67-41913-S,71-49897-S
jun1 min2	61-0-B
jun1 pin3 chu1 kou3 ling3 dao3 xiao3 zu3	60-64257-B
jun1 pin3 mao4 yi4 guan3 li3 wei3 yuan2 hui4	15-7572-S
jun1 pin3 mao4 yi4 ju2	15-7438-S
jun1 qi2	60-65641-B
jun1 qi4 wen1	22-38684-S
jun1 qing2	60-65023-B
jun1 qing2 liu4 chu4	60-65177-B
jun1 qing2 wu3 chu4	60-65079-B
jun1 qu1	12-29130-S,60-64176-B
jun1 quan2	12-64438-B
jun1 re4	15-47970-B
jun1 ren2	34-42097-S,51-5509-S,60-63684-B,61-61549-S
jun1 ren2 jie2	61-61611-S
jun1 sai4	8-13402-S
jun1 shang4 xiao4	38-24745-S,66-34261-S
jun1 shao3 xiao4	38-25086-S
jun1 shi1	15-47893-B
jun1 shi4	15-47452-B,33-56610-S,60-62239-B,60-64707-B
jun1 shi4 bu4 men2	60-63614-B
jun1 shi4 fa3 ting2	60-63185-B
jun1 shi4 he2 da4 guo2	60-63023-B
jun1 shi4 hua4	60-62406-B
jun1 shi4 ji1 di4	60-62465-B
jun1 shi4 ji1 gou4	60-63110-B
jun1 shi4 jia1	60-62664-B
jun1 shi4 ke1 xue2	60-63353-B
jun1 shi4 li4 liang5	26-45279-S,60-62315-B
jun1 shi4 qing2 bao4	60-62819-B
jun1 shi4 qu1	67-68010-S
jun1 shi4 she4 shi1	60-63536-B
jun1 shi4 shi2 li4	60-62732-B
jun1 shi4 wei1 xie2	60-62532-B
jun1 shi4 xue2	60-62603-B
jun1 shi4 yan3 xi2	60-63272-B
jun1 shi4 yuan2 zhu4	60-62954-B
jun1 shi4 zhi2 ye4 zhuan1 ye4	60-63424-B
jun1 shou1 ru4	22-38550-S
jun1 shou4	60-64395-B
jun1 shou4 ming4	22-38476-S
jun1 shu3	7-19889-S
jun1 shu4	22-38621-S,48-24451-S
jun1 si1 ling4	47-50044-S
jun1 su4	27-7129-S,68-37051-S
jun1 tan1	15-47723-B
jun1 ti3	14-36093-S
jun1 tian2 zhi4	15-48042-B
jun1 tu1 qi3	43-63720-S
jun1 tuan2	24-14821-S,60-64505-B
jun1 tuan2 gan3 jun1	60-64552-B
jun1 tuan2 jie2	40-3302-S
jun1 tuan2 jun1 bing4	60-64628-B
jun1 tuo1	54-28388-B
jun1 wan4 ma3	10-50654-S
jun1 wang2	12-64489-B,35-10887-S
jun1 wei3	2-67644-S,60-64749-B
jun1 wei3 hui4	60-64843-B
jun1 wu3 qi4	49-33865-S
jun1 wu4	60-64127-B
jun1 xian2	61-923-B
jun1 xian4	15-48305-B,47-26276-S
jun1 xian4 zhi3 biao1	15-48363-B,47-26383-S
jun1 xiang1	20-37348-S
jun1 xiao4	60-65574-B,71-17896-S
jun1 xing4	40-61083-S
jun1 xing4 li4 ji2	49-33705-S
jun1 xu1	61-1139-B
jun1 xun4	61-585-B
jun1 yan3	51-60827-S,61-181-B
jun1 yao4	27-7184-S
jun1 yi1	15-47288-B,61-813-B
jun1 yi1 fa1	10-52209-S
jun1 yi1 yuan4	61-861-B
jun1 ying2	61-341-B
jun1 yong4	12-11211-S,61-394-B
jun1 yuan3 zheng1	10-46542-S
jun1 yue4 dui4	60-65691-B
jun1 yun2	2-2494-S,15-47524-B
jun1 yun2 xing4	15-47591-B
jun1 zeng1 zhang3 lu:4	22-47904-S
jun1 zhan1	15-47840-B
jun1 zhen4	61-1043-B
jun1 zheng4	60-65284-B
jun1 zheng4 fu3	60-65339-B
jun1 zhi2	15-47345-B,22-38243-S
jun1 zhi2 ding4 li3	22-38302-S
jun1 zhi4	15-48602-B,67-63960-S
jun1 zhong1 wei4	66-34326-S
jun1 zhong1 xiao4	38-24841-S
jun1 zhu3	12-64010-B
jun1 zhu3 li4 xian4 zhi4	12-64127-B
jun1 zhu3 yi4	22-38173-S
jun1 zhu3 zheng4 zhi4	12-64061-B
jun1 zhuang1	61-532-B
jun1 zi3	6-24087-S,44-22153-S
jun1 zi3 lan2	12-64388-B
jun1 zi5	12-64322-B,26-5536-S,38-41423-S,66-46711-S
jun1 zong3 si1 ling4	38-25194-S
jun1 zuo4 yong4	36-971-S
jun4	5-32518-B,6-54597-B,14-41774-S,14-42510-S,16-14612-S,17-46672-S,18-48081-S,21-40572-B,24-42626-S,27-67097-S,28-1945-B,31-5960-S,33-908-S,33-28770-S,33-38961-S,36-912-S,36-49766-S,38-8885-B,39-18770-S,40-10725-B,40-44579-B,42-48552-B,43-59803-B,44-2642-S,47-64396-B,48-24717-B,49-4206-S,54-1680-S,54-28305-B,54-40014-S,58-48979-S,63-22037-B,66-45729-S,66-60956-B,67-68262-S,69-14523-B,69-51563-B,70-14151-S
jun4 bu4 jin1	24-42667-S
jun4 fa3	22-8027-S
jun4 hui4	63-22080-B
jun4 ji4	36-1041-S
jun4 jie2	5-32572-B,58-62673-S
jun4 ma3	69-51600-B
jun4 shu4	38-25539-S
jun4 su4	49-42308-S
jun4 xian4	69-14578-B
jun4 xiu4	5-32637-B
jun4 zhan4	49-33789-S
jun4 zhi4 an1 guan1	63-22128-B
jun4 zi5	54-28350-B
juàn	1-68815-S,6-2720-B,7-30377-S,11-26109-B,11-36248-S,12-42614-S,15-1270-B,16-23936-S,18-21829-S,19-8967-S,19-63527-S,22-25796-B,23-36137-B,25-5937-B,26-35057-S,29-33977-S,32-10134-S,34-4195-S,35-62276-S,42-8692-B,42-17689-B,44-6137-S,44-37112-S,45-46814-B,45-54113-B,45-54693-B,48-20486-S,49-55458-B,50-51274-B,51-32718-S,57-40193-S,58-12549-S,58-60201-S,63-29246-B,63-52732-S,64-42926-B,65-30947-S
juàn chéng	63-29300-B
juàn gù	45-47439-B
juàn huái	45-47128-B
juàn jiāo yì suǒ	1-53246-S,58-60287-S
juàn juàn zhī xīn	45-47273-B
juàn liàn	45-47184-B
juàn niàn	45-47007-B
juàn qū	45-46863-B
juàn shì chǎng	58-60371-S
juàn shǔ	32-33225-S,45-46956-B,49-35765-S
juàn yǒu yì	65-31013-S
juàn zhì hào fán	11-26776-B
juàn zhóu	11-27188-B
juàn zhù	45-47383-B
juàn zhī xīn	45-47273-S
juàn zi	11-26486-B
juàn ài	45-47061-B
jué	2-20696-S,2-26315-S,2-28927-S,2-42702-S,3-7680-S,3-12249-S,4-5507-S,4-58960-S,5-26555-S,5-62216-B,6-27910-B,7-5878-S,7-38378-S,7-61111-S,7-61202-S,7-61629-S,9-2711-S,9-38903-B,9-53534-S,9-53745-S,9-66449-S,10-1986-S,10-10135-S,11-36069-B,11-58563-S,12-14969-S,12-58408-S,12-66839-S,13-15823-S,13-20650-S,14-23474-S,14-36273-B,14-43659-B,14-57230-S,16-5141-S,16-5477-S,16-58008-S,19-1786-S,19-2420-S,19-2468-B,19-42163-S,20-10982-S,20-52089-S,21-26874-B,21-44551-B,21-48543-B,22-53938-S,23-41784-S,23-49352-S,23-49491-S,25-43043-S,25-53405-S,26-3050-S,26-4249-B,26-14136-S,26-65000-B,27-29594-S,27-29721-S,27-31875-S,27-66915-S,28-18873-B,28-21119-S,29-36959-B,30-59996-S,31-26696-S,31-37362-S,31-44018-S,31-58373-S,32-18183-S,33-9926-S,33-37130-S,33-64616-S,34-8683-B,34-18479-S,34-45199-S,35-2154-B,36-812-S,36-21508-S,36-52609-S,36-65380-B,37-10766-S,37-13495-S,39-26704-S,39-30442-S,39-56643-B,39-64327-S,40-58205-S,41-36718-B,41-40783-B,42-11661-S,42-15020-S,42-15568-S,42-17297-B,42-26814-B,42-37688-B,42-37732-B,43-3552-B,43-46522-S,44-17782-B,44-29409-S,44-34001-S,45-23786-S,45-61952-B,45-63984-S,46-55485-S,47-22450-S,47-33129-S,47-52910-S,49-45227-B,49-55408-B,50-58184-S,52-1519-S,52-43089-B,52-52032-B,53-13729-S,55-15046-B,55-15534-B,55-50151-S,56-17916-B,56-45162-S,56-49786-S,56-53587-S,57-27540-S,57-36783-S,57-37338-B,57-41048-B,57-44118-B,57-46894-B,57-50925-S,57-55176-S,57-55562-B,58-531-B,58-18844-S,58-23555-S,58-57040-S,58-61294-B,59-1793-S,59-28599-B,59-34832-S,60-33210-B,60-52017-B,60-55021-B,62-17017-S,62-61451-S,63-38630-S,64-21180-B,64-48491-S,65-11446-B,65-35963-S,65-65064-S,66-40679-S,69-28718-S,69-59694-S,69-62847-S,70-13276-S,70-53395-B
jué 5r	12-58455-S,32-18312-S
jué bì	49-45802-B
jué bù	36-65441-B,49-45316-B
jué bǐ lì	8-39378-S
jué chá	2-28973-S,57-41106-B
jué chǎn	49-47217-B
jué cè	37-0-B
jué cè shù	37-103-B
jué cè zhě	37-160-B
jué cí xióng	1-13600-S
jué de	57-41179-B
jué duì	49-46099-B
jué duì dà duō shù	49-46293-B
jué duì dì zhǐ	49-46214-B
jué duì guān niàn	49-46646-B
jué duì gāo dù	49-46810-B
jué duì líng dù	49-46741-B
jué duì shù zì	49-46404-B
jué duì shī dù	49-46574-B
jué duì wēn dù	49-46499-B
jué duì zhí	49-46155-B
jué duó	29-37071-B
jué dà bù fen	49-45938-B
jué dà duō shù	49-45844-B
jué dài	49-45390-B,68-56954-S
jué dài zhuī rén	49-45481-B
jué dào	25-43128-S
jué dì	49-45765-B
jué dìng	3-26300-S,32-58618-S,36-65552-B
jué dìng cù	27-4217-S,36-65704-B
jué dìng lùn	36-65801-B
jué dìng xìng	36-65638-B
jué dòu	37-656-B,57-46679-B
jué dī	37-599-B
jué dǐ	57-44946-B
jué dǐng cōng ming	49-47813-B
jué fá	49-47674-B
jué fú wù	8-49549-S
jué fū rén	7-61668-S
jué fǒu rèn	16-5200-S
jué jiàng	5-62251-B
jué jié hé	64-48538-S
jué jié hé de cí	64-48613-S
jué jiā gōng jì qiǎo	57-36829-S
jué jiě tǐ	45-64028-S
jué jì	49-46965-B,49-47723-B
jué jù	3-55053-S
jué jī xiè	27-66977-S
jué jīng	49-47449-B
jué kǒu	36-65501-B,50-53953-S,59-14494-S,60-3148-S
jué liè	37-330-B
jué luó	25-35539-S
jué lèi	55-15576-B
jué lì	57-44307-B
jué lún	49-45633-B,54-18616-S,60-23156-S
jué lǜ	12-15050-S
jué miào	49-46012-B
jué mì	49-46056-B
jué mù gōng rén	28-18899-B
jué piào	12-15132-S
jué pǐn	49-45702-B
jué qiào	58-582-B
jué quán	12-66877-S,56-45216-S
jué qì	49-47066-B
jué qì guān	25-43177-S
jué qíng	49-46885-B
jué qǐ	21-44592-B
jué qǔ	29-37004-B
jué rén huán	25-48314-S
jué rén zhī lù	17-50257-S
jué rú lǚ	2-24636-S
jué shì	41-40922-B
jué shì wǔ	41-41020-B
jué shì yuè	41-40971-B
jué shì yīn yuè	41-41068-B
jué shí	49-47900-B
jué shǔ	50-62628-S
jué suàn	37-215-B
jué sài	10-58969-S,37-540-B
jué sè	57-45746-B
jué sè bàn yǎn yóu xì	57-45783-B
jué sú	62-57612-S
jué sī tǎn	33-22438-S
jué sī tǎn jiě fàng zǔ zhī	33-22703-S
jué sī tǎn yī sī lán yùn dòng	33-22547-S
jué tiáo jiàn	7-4271-S
jué wàng	49-47003-B
jué wèi	41-40864-B
jué wèn tí	57-51000-S
jué wù	57-41227-B
jué wú jǐn yǒu	49-47105-B
jué xuán àn dà gāng xié dìng	2-81022-S
jué xìng	45-23829-S
jué xīn	1-61136-S,32-36202-S,36-65858-B
jué xǐng	57-41330-B
jué yuán	42-26872-B,49-47493-B
jué yuán tǐ	49-47592-B
jué yì	36-65967-B,37-435-B
jué yì àn	37-478-B
jué zhàn	36-66016-B
jué zhèng	49-47315-B
