guǐ biàn jiā	58-15309-B
gòu	1-27517-S,2-2925-S,2-55335-S,3-8002-S,3-67975-S,4-33662-S,5-12298-S,5-16174-S,7-32706-S,8-12271-B,8-48041-S,8-49797-S,10-2123-S,10-12436-B,12-62705-S,13-60080-S,15-15474-S,15-15596-S,15-57059-B,17-2140-B,18-10427-S,18-42567-B,18-57531-B,19-48030-S,19-52137-S,20-41954-S,22-3902-S,23-21581-S,23-46566-B,24-43852-S,25-45019-S,27-7971-S,27-43033-S,28-22465-S,28-51615-B,28-62385-S,29-42892-S,29-54874-S,29-56433-S,30-2148-S,31-56503-S,31-56846-S,33-39616-S,33-61401-S,34-43230-B,35-4347-S,36-62688-S,39-17334-S,41-39807-S,41-54231-S,43-5624-S,43-44416-S,46-14174-S,48-1403-S,49-42491-S,49-53767-S,50-9562-S,51-39149-S,52-27300-S,52-27412-S,55-31174-S,55-53134-S,57-40729-B,57-57687-S,58-10639-S,58-14834-B,58-22389-S,59-54946-S,59-63456-B,60-24727-S,60-24871-S,60-32488-S,60-63110-S,61-60104-S,62-58712-B,63-26257-S,66-60914-B,68-30795-S
gòu 5r	27-21394-S
gòu bān	42-6980-S
gòu chéng	34-43734-B
gòu cí fǎ yì shí	34-43856-B
gòu dàng	10-12744-B
gòu hé	18-57574-B
gòu jià	34-43813-B
gòu jiàn	34-43319-B,34-43425-B
gòu jì	11-37963-S,66-21651-S
gòu lǐ lùn	49-42787-S
gòu miàn	55-8739-S
gòu mǎi	60-276-B
gòu mǎi lì	60-318-B
gòu mǎi zhě	60-378-B
gòu nà wū	55-30841-S
gòu quán	6-57171-S
gòu shì	49-42708-S
gòu suǒ cī	40-815-S
gòu sī	34-43487-B
gòu tú	34-43375-B
gòu tōu shēng	24-42815-S
gòu tǐ	12-45856-S,43-62082-S
gòu tǒng xiāo	49-53827-S
gòu wù	59-63497-B
gòu wù chē	60-174-B
gòu wù dà shà	60-51-B
gòu wù dài	60-118-B
gòu wù quàn	60-0-B
gòu wù zhōng xīn	59-63538-B
gòu xiàn lù	30-21142-S
gòu xiǎng	34-43567-B
gòu xiǎng tú	34-43611-B
gòu xiǎo shuō	55-53176-S
gòu yuán	28-22556-S
gòu zhèng yì lǐ lùn	23-21648-S
gòu zhì	60-231-B
gòu zhù cí	49-42634-S
gòu zhě	57-57754-S
gòu zhǔ yì	49-42566-S
gòu zào	33-29627-S,34-43943-B
gù	1-20340-S,2-20775-S,2-36505-S,3-8441-S,3-30950-S,4-9601-S,4-59403-B,5-2545-S,6-115-S,6-52215-B,7-14082-S,7-63077-S,8-7004-S,8-25296-B,8-27677-S,9-53145-S,9-65134-S,10-6246-S,11-56330-S,11-60118-S,12-8886-S,12-52308-S,14-58498-S,14-62520-S,14-64047-B,15-61615-S,16-3431-S,16-7001-B,16-34245-S,21-45591-B,22-2269-S,25-6841-S,25-18649-S,25-28868-S,27-5633-S,29-58290-B,33-31845-S,33-58600-S,33-64369-S,34-12997-B,37-7262-S,40-54281-S,41-51192-S,42-927-B,42-11111-S,42-46673-S,43-7312-S,44-10428-S,44-16360-B,45-39915-S,45-47439-S,45-60604-S,46-65417-B,47-41796-S,49-52905-S,50-19346-S,51-13678-S,51-50168-S,57-47449-S,59-9111-S,64-47491-B,68-7362-S,68-28315-S,68-31401-S,68-48720-B
gù bu de	68-48800-B
gù bù zì fēng	29-60588-B
gù cháng	1-65929-S
gù chéng	29-59584-B
gù chéng xiàn	29-59627-B
gù chún	12-34161-S,52-50569-S,68-47448-S
gù chēng	29-60908-B
gù cǐ	29-60547-B
gù diǎn	8-27768-S,29-59067-B
gù dào	29-61440-B
gù dì	29-59357-B,29-60965-B
gù dì chóng yóu	29-59423-B
gù dìng	5-13524-S,15-0-B
gù dìng diǎn	15-296-B
gù dìng shōu rù	15-51-B
gù dìng xū nǐ lián jiē	15-119-B
gù dìng zī chǎn	15-228-B
gù dū	29-61481-B
gù fàn	31-25748-S
gù guó	29-59183-B
gù guān xì	10-6297-S
gù gōng	29-59785-B
gù gōng bó wù yuàn	29-59838-B
gù hé	9-65314-S
gù hòu	45-60420-S
gù jiàn	14-64141-B
gù jiù	29-61117-B
gù jiù bù qì	29-61161-B
gù jiā	29-59935-B
gù jiā zǐ dì	29-59978-B
gù jiāo	29-58576-B
gù jì	29-58683-B,29-61314-B,68-49266-B
gù jì chóng yǎn	29-58738-B
gù jí	68-49022-B
gù jù	38-52084-S
gù jū	29-60059-B
gù kè	68-49219-B
gù kǎi zhī	68-49428-B
gù liáng zhuàn	59-15444-B
gù lì shǐ	14-58553-S
gù lòu guō	64-47547-B
gù lǐ	29-61604-B,34-41514-S
gù lǜ	68-49506-B
gù máo lú	1-44380-S
gù míng sī yì	68-49095-B
gù mù	29-59700-B
gù niàn	68-49305-B
gù nà xīn	12-60195-S
gù nòng xuán xū	29-60107-B
gù nóng	59-37063-S
gù quán dà jú	68-48880-B
gù rán	15-550-B
gù rén	29-58640-B
gù shi	29-58453-B,36-23562-S
gù shi piān	29-58505-B
gù shì	29-58356-B,29-58408-B,47-64909-S
gù shā	29-60756-B,65-63607-S
gù shān mài	9-65200-S
gù shēn	18-18001-S
gù shǐ	14-64455-B
gù shǐ xiàn	14-64525-B
gù shǒu	14-64607-B
gù tài	15-440-B
gù tài fù méng	29-60353-B
gù tóng	63-48471-S
gù tǐ	15-744-B
gù tǐ rè róng jī guāng qì	15-849-B
gù tǐ róng tǐ	15-781-B
gù tǔ	29-59296-B
gù wèn	68-49168-B
gù wǒ	29-60429-B
gù xié diào zhōng xīn	51-60198-S
gù xiāng	29-61543-B,67-10968-S
gù xìng	16-3488-S
gù xíng wù	15-371-B
gù xùn	29-61240-B
gù xī	68-49365-B
gù yuán	6-52336-B,14-64183-B,29-59247-B,66-60766-B
gù yuán dì qū	14-64254-B
gù yuán shì	14-64336-B
gù yán wǔ	68-49562-B
gù yáng	15-674-B
gù yè	29-60491-B
gù yì	29-60224-B
gù yì shā rén	29-60279-B
gù yòng	6-52378-B
gù yòu pàn	21-59763-S
gù yī	4-59886-B
gù yī qiè	2-36562-S
gù yōng	6-52291-B,66-60715-B
gù yǒu	15-492-B,29-59123-B
gù yǔ	37-47611-S
gù zhàng	29-61657-B
gù zhàng pái chú	29-61780-B
gù zhào shè	3-30991-S
gù zhái	29-59740-B
gù zhèn	15-613-B
gù zhé	29-61362-B
gù zhí	14-64403-B
gù zhī	29-60845-B
gù zhī róng	32-61746-S
gù zhī xīn	39-21725-S
gù zhī yōu	24-3030-S
gù zhǐ	29-59531-B
gù zhǐ duī	29-61013-B,65-9381-S
gù zhǔ	6-52241-B,66-60674-B
gù zuò	29-58843-B
gù zuò duān zhuāng	29-58954-B
gù zuò zī tài	29-58883-B
gù zú zì zhì xiàn	52-2764-S
gù ér	29-61076-B
gù ér zhī xīn	39-21826-S
gù ān xiàn	14-64647-B
gùn	3-40488-S,7-10129-S,7-47254-S,17-70911-S,25-21961-S,26-40994-S,29-12583-S,32-4895-S,34-20130-B,37-30288-S,42-51980-S,59-1202-S,65-15650-S,66-65585-S,67-0-S
gùn 5r	7-10206-S,8-18192-S
gùn bàng	34-20209-B
gùn dào	67-102-S
gùn qiú	32-4951-S
gùn zi	26-45935-S,34-20168-B
gā	13-16541-S,14-29494-S,18-15841-S,31-16788-B,35-30615-S,55-24061-S
gā gā	13-16541-B,14-29494-B
gā gā shēng	44-27209-S
gā lá	21-29820-S,31-16820-B,41-43816-S
gā lá 5r	31-16891-B
gā lí	13-27411-B
gā mǎ	4-64073-B
gā mǎ shè xiàn	4-64130-B
gā qí	66-1166-S
gā shēng	44-27209-S
gā zhī	14-29456-B
gāi	2-29454-S,5-16838-B,12-37613-S,15-56627-B,25-61422-S,37-65630-S,54-13579-B,58-16475-B,59-50668-B,66-18917-B
gāi rén	29-8785-S
gāi shuō	25-61477-S
gāi shū	13-40414-S
gāi sǐ	58-16643-B
gāi yà	3-64175-S,48-46320-S,58-16565-B
gāi yīng	58-16602-B
gān	1-20077-S,1-38747-S,1-41228-S,1-50952-S,2-18784-S,2-20331-S,3-16740-S,3-23947-B,3-40214-S,10-14586-S,10-45823-S,10-46715-S,12-43279-S,13-5068-S,13-20687-B,13-57103-S,15-53738-B,16-15955-S,16-16240-S,17-46737-S,18-22766-S,21-11114-B,22-8338-S,22-36500-B,24-37809-S,25-39584-S,28-49724-S,29-5681-S,29-25844-S,29-37628-S,30-47868-S,31-57918-S,32-53395-S,33-87-B,33-38536-S,33-42470-B,33-61763-S,34-3839-S,34-3877-S,34-53394-S,34-54476-S,34-55578-S,35-1517-S,35-18089-S,36-10464-S,36-37582-S,37-15106-S,37-29163-B,37-40528-S,38-28059-S,40-40677-S,40-40775-S,40-44798-S,42-37259-B,42-52400-S,43-13149-B,43-41489-S,44-6403-B,46-11226-B,48-3813-B,48-23135-B,48-61381-S,52-9286-B,52-28582-S,52-45859-S,53-66149-S,53-67037-S,53-67638-S,54-0-S,54-5266-B,54-22872-S,54-57887-S,55-1076-S,55-39068-S,55-56982-B,56-7758-S,60-16875-S,63-39193-B,64-19689-S,65-3706-S,66-19412-S,67-33810-S,68-53327-S,69-9969-S,69-15447-S,70-37422-S
gān 5r	44-36065-S,44-39021-S
gān bài xià fēng	43-14265-B
gān bàn dǎo	22-8387-S
gān bèi	3-25546-B
gān bù jìng	1-66209-S
gān bā lǐ	43-13998-B
gān bēi	3-24610-B
gān bīng	22-36604-B
gān chái	40-33994-S
gān cháng cùn duàn	52-9457-B
gān chún	3-39163-S
gān cuì	3-25242-B
gān cǎo	3-25349-B,43-15070-B
gān dá	40-35475-S
gān dé	43-14074-B
gān dì	34-8836-B,43-13768-B
gān dì qū	37-40582-S
gān dān sì	43-13236-B
gān dū shī	18-22880-S
gān er	10-14710-S,54-57943-S
gān fàn	3-25786-B
gān guō	15-53769-B
gān guǒ	3-24728-B
gān gà	21-11160-B
gān gòng kǔ	12-49865-S
gān gǒng	43-14463-B
gān gǔ	43-15342-B
gān hàn	3-24560-B
gān háo	3-24232-B,3-25434-B
gān hé	3-24952-B
gān hé shàng	17-61554-S
gān jiāng	3-25386-B
gān jìn dòng	1-12068-S
gān jìng	3-24994-B
gān jú	33-42508-B
gān jī	40-40717-S,40-40828-S
gān jūn	14-24595-S
gān kū	3-24795-B
gān kǔ	12-50029-S,43-14967-B
gān luò	43-14639-B
gān lào	3-25600-B
gān lán	43-15223-B,64-3983-S
gān lán cài	43-15290-B
gān lì dǎn	27-11833-S
gān lù chún	43-15401-B
gān lǐ qì	44-2929-S
gān méi zi	3-24845-B
gān mā	3-24372-B
gān nán	43-13452-B
gān nán zhōu	43-13520-B
gān nán zàng zú zì zhì zhōu	43-13634-B
gān níng	66-19474-S
gān quán	43-14574-B
gān qíng yuàn	24-35412-S
gān rǎo	20-36202-S,22-36665-B,67-33266-S
gān rǎo sù	22-36720-B
gān shè	2-7194-S,22-36891-B
gān shé zào	11-67198-S
gān shí	46-11369-B
gān shā mò	16-16121-S
gān shān mài	66-2527-S
gān shǔ	43-15161-B
gān suān	33-61806-S,52-33096-S
gān sài	36-10870-S,50-33778-S
gān sù	43-14742-B
gān sù shěng	43-14848-B
gān sān lín suān	52-45563-S
gān tiào	29-5730-S,29-5863-S
gān tiào gāo	29-5791-S,29-5957-S
gān tián	43-14702-B
gān tuō kè	43-14196-B
gān wáng cháo	55-1122-S
gān wéi ěr	22-15124-S
gān wéi ěr dǎo	22-15190-S
gān xiàn	30-47931-S,69-15518-S
gān xiāng	10-34784-S,11-2316-S
gān xuǎn	3-25140-B
gān xīn	2-18858-S,43-14135-B
gān xǐ	3-24894-B
gān yuàn	43-15454-B
gān yán	1-24739-S,2-43833-S,3-15575-S,22-1717-S,26-5155-S,43-39623-S,44-11142-S,52-9314-B
gān yìng huà	52-9402-B
gān yóu	43-14531-B,46-22820-S,46-23206-S,70-37991-S
gān yù	22-37055-B
gān yī	3-25497-B
gān yǎn zhèng	22-36960-B
gān zhè	43-15117-B
gān zhèng zhuàn	66-9704-S
gān zhì	10-14843-S
gān zhī	22-36774-B
gān zhī rú yí	43-13312-B
gān zi	3-36386-S,46-11264-B
gān zàng	52-9589-B
gān zào	3-25039-B,17-5748-S
gān zào jī	3-25089-B
gān zī	43-13817-B
gān zī zàng zú zì zhì zhōu	43-13865-B
gān ái	52-9357-B
gān èr jìng	1-7750-S
gān ān suān	43-14405-B
gāng	2-35902-S,3-63290-S,5-3882-S,5-31895-S,5-54589-S,9-27374-B,13-48302-S,16-6847-B,16-13985-B,17-30719-S,20-17342-S,20-31000-S,21-29278-S,21-35244-B,26-53123-B,27-22490-S,28-25646-S,28-41577-S,29-57544-S,32-48623-S,32-54386-S,34-17284-S,34-17546-S,34-17736-S,34-45644-B,35-46394-S,36-29862-S,36-45376-S,37-1058-S,38-14959-S,41-1138-S,41-2731-S,41-2853-S,42-42269-S,44-5320-B,44-47241-S,44-55245-S,45-44615-S,47-3732-S,48-4191-B,50-4991-B,50-48321-B,50-51207-B,52-9051-B,52-45324-S,53-32904-S,53-33536-B,56-26017-S,56-54294-S,60-61527-S,64-6409-S,64-7716-S,64-20389-B,64-40035-B,67-54854-S,69-13060-S,70-37630-S,70-52241-S,71-18324-S,71-45266-S
gāng biān	64-41843-B
gāng bèng	64-41538-B
gāng bì zì yòng	9-27938-B
gāng běn	21-35441-B
gāng bǎn	64-40444-B
gāng bǐ	64-40691-B
gāng bǐ yà	21-35499-B
gāng chuān	32-13436-S
gāng chá	9-27661-B
gāng chéng	34-17603-S
gāng chā	64-40186-B
gāng chǎng	41-1186-S,60-61597-S,64-40231-B
gāng cái	9-28640-B,64-40372-B
gāng dù	9-27799-B
gāng dāo	64-40064-B
gāng dǐ sī shān	21-35356-B
gāng gang	9-27486-B
gāng guǎn	64-40900-B
gāng guǎn wǔ	64-40946-B
gāng guǐ	64-41448-B
gāng guǒ	9-28002-B
gāng guǒ hé	9-28160-B
gāng guǒ mín zhǔ gòng hé guó	9-28042-B
gāng gǔ shuǐ ní	64-41892-B
gāng huà bō li	64-40116-B
gāng huā	64-41382-B
gāng hǎo	9-27601-B
gāng jià	9-28216-B
gāng jiàn	9-27434-B,64-41028-B
gāng jiāo	52-9079-B
gāng jìng	9-27552-B
gāng jí tuán	20-31043-S
gāng jí tuán gōng sī	1-52217-S
gāng jù	64-41493-B
gāng jī	60-61723-S
gāng jīn hùn níng tǔ	64-40813-B
gāng jīn shuǐ ní	64-40737-B
gāng kǒng	37-28100-S
gāng lǎn	64-41270-B
gāng lǐng	15-59655-S,50-5160-B
gāng máo	9-28490-B
gāng mén	52-9138-B
gāng mén zhí cháng	52-9177-B
gāng mù	32-66369-S
gāng qiáng	9-27842-B
gāng qiè lǐng	28-41632-S
gāng qiú	21-1605-S
gāng qiān	64-41589-B
gāng qiǎo	9-27726-B
gāng qín	17-37475-S,64-40545-B
gāng qín jiā	64-40585-B
gāng qín shī	64-40638-B
gāng qī shí èr liè shì	71-22753-S
gāng shì	71-18401-S
gāng shān	3-56323-S,64-7756-S
gāng shān shì	3-56417-S
gāng shān zhèn	21-35279-B
gāng shǒu pú sà	64-7939-S
gāng sà duǒ	64-8095-S
gāng sī	64-41074-B
gāng sī jù	64-41192-B
gāng sī shéng	64-41128-B
gāng tiáo	60-61665-S
gāng tiě	64-41638-B
gāng tiě chǎng	64-41784-B
gāng tiě gōng sī	35-47876-S
gāng tiě xué yuàn	64-41678-B
gāng tǐ	9-28694-B
gāng wǔ cháng	1-39604-S
gāng xiàn	5-3948-S,47-3773-S,67-61849-S
gāng xié dìng	2-81022-S
gāng xiāng	46-6093-S,46-56930-S
gāng xìng	9-27894-B
gāng yào	50-5101-B,64-41340-B
gāng yán	53-55400-S
gāng yì	9-28313-B
gāng yì mù nè	9-28374-B
gāng yù	9-28532-B
gāng zhèng	9-28262-B
gāng zhí	9-28584-B
gāng zhù	64-40490-B
gāng zhōu	5-31944-S
gāng zuò	64-7828-S
gāng zǒng chí	64-8027-S
gāo	1-57798-S,8-19494-S,8-29476-S,13-49282-S,16-25016-S,16-28091-S,18-31293-S,21-42959-S,21-46369-S,22-49167-S,25-2983-S,28-43067-S,29-5791-S,29-5957-S,31-20018-S,32-9456-S,32-21586-S,34-46333-B,34-50172-S,34-56649-S,35-6646-S,35-16742-B,36-22610-S,37-23448-S,38-59598-S,39-61923-S,40-31326-S,40-66517-S,41-15938-S,41-47021-S,42-31669-S,43-21278-S,43-28231-S,44-59127-S,44-62867-B,45-57026-S,45-57449-B,46-9713-S,46-25908-S,48-32682-B,48-60751-B,48-62985-S,51-373-S,51-9737-B,52-47057-B,52-47094-S,52-62930-S,53-13585-S,53-15765-S,53-18643-S,55-2170-S,55-35136-S,55-60921-S,56-3163-S,60-45900-S,60-51406-S,60-57703-S,61-3796-S,62-5116-S,66-37038-S,66-48693-S,67-16908-S,68-16531-S,70-10993-B,70-11068-B,70-24085-S,70-24243-B,70-26847-S,71-30702-S,71-49318-B
gāo 5r	31-58931-S,60-51448-S
gāo bà	66-5454-S
gāo bù shǎng	9-50682-S
gāo bā dù	70-11801-B
gāo bēng dài	46-9775-S
gāo běn hàn	70-15909-B
gāo chàng	70-12514-B
gāo cháo	24-60798-S,24-62088-S,24-63627-S,53-23892-S,70-17583-B
gāo chù	15-36769-S
gāo chún	70-17040-B
gāo chāo	70-21992-B
gāo chǎn	70-18501-B
gāo céng	70-13500-B
gāo céng lǚ guǎn	70-13556-B
gāo céng yún	70-13642-B
gāo cì	70-16855-B
gāo cūn zhēng yàn	70-15983-B
gāo cǎi liè	53-26121-S,53-26242-S
gāo diǎn	48-60778-B
gāo dà	70-12914-B
gāo dàng	70-16699-B
gāo dàng fú zhuāng	70-16761-B
gāo dá	70-22885-B
gāo dé nà	70-14738-B
gāo dì	26-4855-S,70-12567-B
gāo dì hòu	2-21246-S
gāo dù	49-46810-S,70-14615-B
gāo děng	70-19259-B
gāo děng dài shù	70-19320-B
gāo děng jiào yù	70-19474-B
gāo děng xué xiào	70-19391-B
gāo dī	2-31022-S,70-11362-B
gāo dī cháo	70-11597-B
gāo dī gàng	70-11528-B
gāo fēi	21-22490-S,62-63022-S,70-23962-B
gāo fēn	70-11865-B
gāo fēn dī néng	70-11920-B
gāo fēn zǐ	43-26085-S,70-12021-B
gāo fēn zǐ huà xué	70-12086-B
gāo fēng	70-13878-B
gāo fēng huì	70-13931-B
gāo fēng huì yì	70-13991-B
gāo fēng qī	70-14064-B
gāo fēng xiǎn qū	70-23891-B
gāo fǎ yuàn	32-21892-S,51-4213-S
gāo guì	5-16021-S,70-21885-B
gāo guān	70-13228-B
gāo guān xiǎn jué	70-13276-B
gāo guǒ táng yù mǐ táng jiāng	70-16064-B
gāo gé	33-11264-S
gāo gāo	52-47094-B,70-24085-B
gāo gē	23-28297-S
gāo gēn xié	70-22048-B
gāo huāng	37-28572-S,44-8690-S
gāo hǎi shēn	21-33739-S
gāo jià	70-11758-B,70-16186-B
gāo jié guì	29-32379-S
gāo jiā suǒ	16-52064-S,70-12223-B
gāo jiē	70-23439-B
gāo jiē yǔ yán	70-23483-B
gāo jiǎo bēi	70-21124-B
gāo jì shù	70-14988-B
gāo jí	70-19590-B
gāo jí guān yuán	70-19734-B
gāo jí jūn guān	70-20052-B
gāo jí yán jiū	70-19907-B
gāo jí yǔ yán	70-19979-B
gāo jí zhuān yuán	70-19832-B
gāo jí zhuān yuán bàn shì chù	51-59570-S
gāo jí zhōng xué	70-19666-B
gāo jù lí	70-12337-B
gāo jù wù	70-20558-B
gāo jùn	70-14151-B
gāo jī yún	70-19065-B
gāo jǔ	70-21260-B
gāo kàng	70-11295-B
gāo kē jì	70-18997-B
gāo kōng	70-19139-B
gāo kōng tán tiào	70-19187-B
gāo kū	54-27226-S
gāo kǎo	70-20503-B
gāo liáng	49-14036-S,70-19547-B
gāo liáng jiāng	70-21310-B
gāo liāng	70-16310-B
gāo lán	44-62900-B
gāo lè	26-24308-S
gāo lì dài	70-12169-B
gāo lì lì	33-65077-S
gāo lí	70-24123-B
gāo líng	70-23311-B,70-24201-B
gāo lóu	70-16427-B
gāo lóu dà shà	70-16505-B
gāo lùn	70-21803-B
gāo lú	70-18598-B
gāo lǐng tǔ	70-14236-B
gāo mián	49-12632-S,70-16368-B
gāo mì	70-13346-B
gāo míng	70-15847-B
gāo měng suān jiǎ	70-23097-B
gāo mǎ dà	4-19289-S
gāo néng	70-20724-B
gāo néng liàng	70-20939-B
gāo néng liè xìng zhà yào	70-20770-B
gāo néng lì zǐ	70-20864-B
gāo nóng suō yóu	70-17677-B
gāo piào fáng	9-34623-S
gāo pín	43-16433-S,70-23843-B
gāo píng	70-14472-B
gāo píng xiàn	70-14535-B
gāo qiáng	70-14694-B
gāo qiú chǎng	70-18432-B
gāo qì shuǎng	47-16466-S
gāo qì yáng	60-33582-S
gāo qīng	70-17105-B,70-23777-B
gāo qīng diàn shì	70-17262-B
gāo qīng xī dù	70-17162-B
gāo rè	70-17763-B
gāo rè bìng	70-17803-B
gāo rè liàng	70-17864-B
gāo rén mín fǎ yuàn	32-21788-S
gāo rén mín jiǎn chá yuàn	32-21641-S
gāo shuǐ cháng	21-33595-S
gāo shàng	70-13453-B
gāo shè pào	70-13391-B
gāo shèng	70-18549-B
gāo shòu	70-12836-B
gāo shù xiāng	70-16622-B
gāo shān	70-13718-B
gāo shān qū	70-13759-B
gāo shān zú	70-13819-B
gāo shāo	70-17952-B
gāo shēn	54-25804-S,70-16926-B
gāo shēn mò cè	70-16969-B
gāo shēng	70-20608-B
gāo shǒu	70-14922-B
gāo shǒu dī	45-52491-S
gāo sù	60-25106-S,70-22254-B
gāo sù dǎng	70-22448-B
gāo sù gōng lù	70-22386-B
gāo sù huǎn chōng cún chǔ qì	70-22699-B
gāo sù huǎn cún	70-22638-B
gāo sù lù	70-22806-B
gāo sù lǜ	70-22511-B
gāo sù wǎng luò	70-22564-B
gāo sù yǐ tài wǎng lù	60-25167-S,70-22297-B
gāo sēng	70-11710-B
gāo sī	70-15650-B
gāo sū wéi āi	55-41084-S
gāo sǒng	70-20661-B
gāo tiě	4-3555-S
gāo tiě xuè hóng dàn bái	70-23177-B
gāo tái	70-12387-B,70-15057-B
gāo tái guì shǒu	70-15112-B
gāo tán kuò lùn	70-21708-B
gāo táng	70-12448-B
gāo tóng	45-56868-B
gāo tāng	70-17344-B
gāo tōng gōng sī	70-22189-B
gāo tǎ	70-12615-B
gāo tǐ páng pí	70-24000-B
gāo tǒng zhì quán	53-18782-S
gāo wàng yuǎn	44-25630-S
gāo wàng zhòng	9-50813-S,24-29131-S
gāo wán	45-57492-B
gāo wán jī sù	45-57534-B
gāo wán sù	45-57709-B
gāo wán tóng	45-57778-B
gāo wán zāi tóng	45-57600-B
gāo wéi	70-20142-B
gāo wéi dài shù cù	70-20202-B
gāo wéi kōng jiān	70-20312-B
gāo wú shàng	53-18696-S
gāo wēn	51-37424-S,70-17400-B
gāo wēn rè liú	70-17450-B
gāo wǒ màn	59-34936-S
gāo xià	1-21651-S,70-11102-B
gāo xiàn	1-57866-S,70-20402-B
gāo xiào	70-15454-B,70-16228-B
gāo xiào lǜ	70-15515-B
gāo xiào néng	70-15575-B
gāo xiáng	70-20458-B
gāo xióng	70-23557-B
gāo xiāng	41-28099-S
gāo xuè táng	70-21484-B
gāo xuè yā	70-21408-B
gāo xué lì	70-12957-B
gāo xìng	5-15942-S,70-21176-B
gāo xìng néng	32-9509-S,70-14859-B
gāo xíng jiàn	70-21577-B
gāo xùn	70-56843-S
gāo xùn sù	70-56921-S
gāo xīn	47-49302-S
gāo xīn shì	70-22110-B
gāo yuàn	70-23266-B
gāo yuán	22-23513-S,29-10531-S,33-23097-S,67-19035-S,67-58644-S,70-12295-B,71-17744-S
gāo yuǎn	70-22936-B
gāo yào	70-21644-B
gāo yáng	4-32887-S,17-43581-S,32-18016-S,48-46565-S,51-9764-B,70-15386-B,70-23376-B
gāo yì	70-22976-B
gāo yóu	70-23035-B
gāo yú	70-15715-B
gāo yún	70-23684-B
gāo yā	70-12653-B
gāo yā diàn	70-12779-B
gāo yā xiàn	70-12711-B
gāo yīn	18-22649-S,43-46899-S
gāo yǎ	70-23628-B
gāo zhào	47-4655-S
gāo zhèng	26-3435-S
gāo zhì liàng	70-21933-B
gāo zhù	6-42943-S,6-43218-S
gāo zhān yuǎn zhǔ	70-18635-B
gāo zhāo	70-15316-B
gāo zhī xuè zhèng	70-21008-B
gāo zhōng	70-11173-B
gāo zhōng shēng	70-11220-B
gāo zhōu	70-14305-B
gāo zhōu shì	70-14383-B
gāo zhǎng	70-17516-B
gāo zì dà	53-15820-S
gāo zǔ	13-52947-S,39-51386-S
gāo zǔ fù	70-18931-B
gāo zǔ liú bāng	39-51513-S
gāo zǔ lǐ yuān	13-53023-S
gāo zǔ mǔ	70-18865-B
gāo ào	70-11669-B
gāo áng	70-15770-B
gāo ān	70-13069-B
gāo ān shì	70-13143-B
gāo ěr chá kè	70-18361-B
gāo ěr fū	26-50550-S,70-18158-B
gāo ěr fū qiú	26-50615-S,70-18215-B
gāo ěr fū qiú chǎng	70-18283-B
gāo ěr fū qiú xié huì	51-68621-S
gāo ěr jī	70-18009-B
gāo ěr jī tǐ	70-18090-B
gāo ǎi pàng shòu	70-18779-B
gē	1-75772-S,3-67050-S,5-4273-S,5-47216-S,5-56821-S,6-10589-S,6-36841-S,6-58025-S,7-22263-S,7-50044-S,8-1558-S,8-30031-S,8-50412-S,9-33923-B,10-51395-S,13-22894-S,13-23584-S,13-29386-B,13-29521-S,13-32105-S,13-42078-B,13-55631-S,14-54038-S,15-10376-S,15-17506-S,15-37205-B,16-2498-S,16-29649-S,16-55123-S,17-9818-S,19-58311-S,20-51459-S,20-57125-S,21-30750-S,23-17679-S,23-28297-S,23-35046-S,25-10278-S,25-14791-S,26-4339-B,28-865-S,28-23058-S,28-49596-S,29-1487-S,29-2002-S,29-28525-B,29-40404-S,30-46223-S,31-46877-S,31-65072-S,32-48186-S,33-9851-S,33-53378-S,33-65919-S,35-25549-B,35-34223-S,36-21842-S,36-32208-S,39-5410-B,41-43579-B,41-61137-S,42-47003-S,44-5348-B,45-66622-S,47-25524-S,47-36764-S,49-14241-B,51-26207-S,51-40294-S,51-45310-S,51-45668-S,51-47724-S,51-52131-S,51-52186-S,52-8051-B,52-23946-B,53-50542-S,56-43584-S,56-52783-B,58-14274-S,58-58966-S,59-15535-S,65-50324-S,65-68938-S,66-26855-S,66-55410-S,67-3432-S,68-27846-S,69-1302-S,69-15021-S,69-22844-S,70-56099-B,70-56434-S,71-707-S,71-24048-S
gē 5r	7-50122-S
gē bei	52-24094-B
gē bo	52-24060-B
gē bái ní	13-43760-B
gē bèi	56-52845-B
gē bì	26-4377-B
gē bì huāng tān	26-4540-B
gē bì shā mò	26-4422-B
gē bì tān	26-4486-B
gē bāo pí	9-33992-B
gē běn hā gēn	13-43355-B
gē bǎn	29-28555-B
gē chàng	35-25781-B
gē chàng jiā	35-25820-B
gē chàng sài	35-25872-B,35-30354-S
gē chéng	12-69997-S,16-29757-S
gē chú	9-34283-B
gē cí	35-26497-B
gē cǎo	9-34241-B
gē da	44-5381-B,67-7763-S
gē duàn	9-34090-B
gē dà	13-42874-B,17-9864-S,37-37851-S
gē dà xué	53-50593-S
gē dé	35-25969-B
gē dé bā hè cāi xiǎng	13-43080-B
gē dé bǎo	13-43010-B
gē er	7-58297-S,13-42737-B,35-25654-B
gē fáng	70-56169-B
gē ge	13-42830-B
gē gē	13-29521-B
gē gē xiào	13-29567-B
gē huá	39-19781-S
gē huá dǎo	39-19851-S
gē jiǎo wù	29-28642-B
gē jù	35-25689-B
gē jù yuàn	35-25726-B
gē jī yān yòng niú dāo	9-34347-B
gē kě qì	12-14731-S
gē kū	12-70050-S
