開眼 开眼	65-39891-B
阿圖什市 阿图什市	65-69358-B
阿圖什縣 阿图什县	65-69588-B
阿坝	65-70167-S
阿坝州	65-70212-S
阿坝藏族羌族自治州	66-0-S
阿城	65-69784-S
阿城 阿城	65-69784-B
阿基米德	65-69851-S
阿基米德 阿基米德	65-69851-B
阿堵	65-69928-S
阿堵 阿堵	65-69928-B
阿堵物	65-69969-S
阿堵物 阿堵物	65-69969-B
阿塞拜疆	65-70015-S
阿塞拜疆 阿塞拜疆	65-70015-B
阿塞拜疆人	65-70081-S
阿塞拜疆人 阿塞拜疆人	65-70081-B
阿壩 阿坝	65-70167-B
阿壩州 阿坝州	65-70212-B
阿壩藏族羌族自治州 阿坝藏族羌族自治州	66-0-B
阿多尼斯	66-171-S
阿多尼斯 阿多尼斯	66-171-B
阿多諾 阿多诺	66-229-B
阿多诺	66-229-S
阿奇历斯	66-374-S
阿奇歷斯 阿奇历斯	66-374-B
阿奇里斯	66-433-S
阿奇里斯 阿奇里斯	66-433-B
阿奎納 阿奎纳	66-492-B
阿奎纳	66-492-S
阿奶	66-618-S
阿奶 阿奶	66-618-B
阿妈	66-1010-S
阿妹	66-656-S
阿妹 阿妹	66-656-B
阿姆斯特丹	66-702-S
阿姆斯特丹 阿姆斯特丹	66-702-B
阿姆斯特朗	66-773-S
阿姆斯特朗 阿姆斯特朗	66-773-B
阿姆河	66-853-S
阿姆河 阿姆河	66-853-B
阿姨	66-903-S
阿姨 阿姨	66-903-B
阿婆	66-959-S
阿婆 阿婆	66-959-B
阿媽 阿妈	66-1010-B
阿富汗	66-1072-S
阿富汗 阿富汗	66-1072-B
阿尔伯塔	66-7348-S
阿尔伯特	66-7415-S
阿尔卑斯	66-7479-S
阿尔卑斯山	66-7535-S
阿尔卡特	66-7603-S
阿尔及利亚	66-7661-S
阿尔及尔	66-7729-S
阿尔坎塔拉	66-7787-S
阿尔巴尼亚	66-7859-S
阿尔巴尼亚人	66-7927-S
阿尔斯通公司	66-8016-S
阿尔梅里亚	66-8097-S
阿尔法	66-8167-S
阿尔泰	66-8233-S
阿尔泰山	66-8313-S
阿尔泰山脉	66-8411-S
阿尔泰语	66-8533-S
阿尔瓦塞特	66-8600-S
阿尔瓦雷	66-8669-S
阿尔茨海默氏病	66-8735-S
阿尔衮琴	66-8855-S
阿尔都塞	66-8941-S
阿巴	66-1132-S
阿巴 阿巴	66-1132-B
阿巴嘎旗	66-1166-S
阿巴嘎旗 阿巴嘎旗	66-1166-B
阿巴拉契亚	66-1255-S
阿巴拉契亞 阿巴拉契亚	66-1255-B
阿巴斯	66-1354-S
阿巴斯 阿巴斯	66-1354-B
阿布叔醇	66-1429-S
阿布叔醇 阿布叔醇	66-1429-B
阿布哈兹	66-1492-S
阿布哈茲 阿布哈兹	66-1492-B
阿布扎比	66-1551-S
阿布扎比 阿布扎比	66-1551-B
阿布扎比市	66-1611-S
阿布扎比市 阿布扎比市	66-1611-B
阿布沙耶夫	66-1683-S
阿布沙耶夫 阿布沙耶夫	66-1683-B
阿布賈 阿布贾	66-1755-B
阿布贾	66-1755-S
阿希姆	66-1802-S
阿希姆 阿希姆	66-1802-B
阿弗洛狄忒	66-1866-S
阿弗洛狄忒 阿弗洛狄忒	66-1866-B
阿弟	66-1967-S
阿弟 阿弟	66-1967-B
阿弥陀佛	66-2013-S
阿弥陀如来	66-2165-S
阿彌陀佛 阿弥陀佛	66-2013-B
阿彌陀如來 阿弥陀如来	66-2165-B
阿得莱德	66-2236-S
阿得萊德 阿得莱德	66-2236-B
阿德莱德	66-2296-S
阿德萊德 阿德莱德	66-2296-B
阿德雷德	66-2356-S
阿德雷德 阿德雷德	66-2356-B
阿托品	66-2416-S
阿托品 阿托品	66-2416-B
阿拉丁	66-2477-S
阿拉丁 阿拉丁	66-2477-B
阿拉乾山脈 阿拉干山脉	66-2527-B
阿拉伯	66-2603-S
阿拉伯 阿拉伯	66-2603-B
阿拉伯世界	66-2663-S
阿拉伯世界 阿拉伯世界	66-2663-B
阿拉伯人	66-2736-S
阿拉伯人 阿拉伯人	66-2736-B
阿拉伯半岛	66-2815-S
阿拉伯半島 阿拉伯半岛	66-2815-B
阿拉伯国家联盟	66-2895-S
阿拉伯國家聯盟 阿拉伯国家联盟	66-2895-B
阿拉伯数字	66-2993-S
阿拉伯數字 阿拉伯数字	66-2993-B
阿拉伯文	66-3070-S
阿拉伯文 阿拉伯文	66-3070-B
阿拉伯海	66-3149-S
阿拉伯海 阿拉伯海	66-3149-B
阿拉伯糖	66-3212-S
阿拉伯糖 阿拉伯糖	66-3212-B
阿拉伯联合酋长国	66-3290-S
阿拉伯聯合酋長國 阿拉伯联合酋长国	66-3290-B
阿拉伯胶	66-3414-S
阿拉伯膠 阿拉伯胶	66-3414-B
阿拉伯語 阿拉伯语	66-3489-B
阿拉伯语	66-3489-S
阿拉善	66-3557-S
阿拉善 阿拉善	66-3557-B
阿拉善右旗	66-3611-S
阿拉善右旗 阿拉善右旗	66-3611-B
阿拉善左旗	66-3709-S
阿拉善左旗 阿拉善左旗	66-3709-B
阿拉善盟	66-3809-S
阿拉善盟 阿拉善盟	66-3809-B
阿拉塔斯	66-3875-S
阿拉塔斯 阿拉塔斯	66-3875-B
阿拉尔	66-4502-S
阿拉尔市	66-4623-S
阿拉巴馬 阿拉巴马	66-3959-B
阿拉巴马	66-3959-S
阿拉干山脉	66-2527-S
阿拉弗拉海	66-4028-S
阿拉弗拉海 阿拉弗拉海	66-4028-B
阿拉摩	66-4101-S
阿拉摩 阿拉摩	66-4101-B
阿拉斯	66-4147-S
阿拉斯 阿拉斯	66-4147-B
阿拉斯加	66-4193-S
阿拉斯加 阿拉斯加	66-4193-B
阿拉斯加州	66-4251-S
阿拉斯加州 阿拉斯加州	66-4251-B
阿拉木图	66-4321-S
阿拉木圖 阿拉木图	66-4321-B
阿拉法特	66-4378-S
阿拉法特 阿拉法特	66-4378-B
阿拉爾 阿拉尔	66-4502-B
阿拉爾市 阿拉尔市	66-4623-B
阿拉瓦	66-4755-S
阿拉瓦 阿拉瓦	66-4755-B
阿拉米語 阿拉米语	66-4811-B
阿拉米语	66-4811-S
阿拖品化	66-4880-S
阿拖品化 阿拖品化	66-4880-B
阿摩司书	66-4948-S
阿摩司書 阿摩司书	66-4948-B
阿摩尼亚	66-5012-S
阿摩尼亞 阿摩尼亚	66-5012-B
阿斗	66-13993-S
阿斯兰	66-5546-S
阿斯匹林	66-5070-S
阿斯匹林 阿斯匹林	66-5070-B
阿斯图里亚斯	66-5155-S
阿斯圖里亞斯 阿斯图里亚斯	66-5155-B
阿斯塔納 阿斯塔纳	66-5234-B
阿斯塔纳	66-5234-S
阿斯巴特	66-5291-S
阿斯巴特 阿斯巴特	66-5291-B
阿斯旺	66-5384-S
阿斯旺 阿斯旺	66-5384-B
阿斯旺高坝	66-5454-S
阿斯旺高壩 阿斯旺高坝	66-5454-B
阿斯蘭 阿斯兰	66-5546-B
阿斯馬拉 阿斯马拉	66-5622-B
阿斯马拉	66-5622-S
阿旺曲沛	66-5679-S
阿旺曲沛 阿旺曲沛	66-5679-B
阿昌族	66-5757-S
阿昌族 阿昌族	66-5757-B
阿明	66-5836-S
阿明 阿明	66-5836-B
阿普尔顿	66-5876-S
阿普爾頓 阿普尔顿	66-5876-B
阿曼	66-5975-S
阿曼 阿曼	66-5975-B
阿月浑子	66-6011-S
阿月渾子 阿月浑子	66-6011-B
阿木林	66-6072-S
阿木林 阿木林	66-6072-B
阿松森岛	66-6135-S
阿松森島 阿松森岛	66-6135-B
阿根廷	66-6206-S
阿根廷 阿根廷	66-6206-B
阿格尼迪	66-6259-S
阿格尼迪 阿格尼迪	66-6259-B
阿森	66-6346-S
阿森 阿森	66-6346-B
阿森松岛	66-6383-S
阿森鬆島 阿森松岛	66-6383-B
阿榮旗 阿荣旗	66-6454-B
阿比	66-6532-S
阿比 阿比	66-6532-B
阿比西尼亚	66-6580-S
阿比西尼亚人	66-6650-S
阿比西尼亞 阿比西尼亚	66-6580-B
阿比西尼亞人 阿比西尼亚人	66-6650-B
阿比讓 阿比让	66-6741-B
阿比让	66-6741-S
阿法尔	66-6813-S
阿法尔沙漠	66-6890-S
阿法爾 阿法尔	66-6813-B
阿法爾沙漠 阿法尔沙漠	66-6890-B
阿波罗	66-6988-S
阿波罗计划	66-7043-S
阿波羅 阿波罗	66-6988-B
阿波羅計劃 阿波罗计划	66-7043-B
阿灵顿国家公墓	66-13818-S
阿爸	66-7136-S
阿爸 阿爸	66-7136-B
阿爸父	66-7237-S
阿爸父 阿爸父	66-7237-B
阿爾伯塔 阿尔伯塔	66-7348-B
阿爾伯特 阿尔伯特	66-7415-B
阿爾卑斯 阿尔卑斯	66-7479-B
阿爾卑斯山 阿尔卑斯山	66-7535-B
阿爾卡特 阿尔卡特	66-7603-B
阿爾及利亞 阿尔及利亚	66-7661-B
阿爾及爾 阿尔及尔	66-7729-B
阿爾坎塔拉 阿尔坎塔拉	66-7787-B
阿爾巴尼亞 阿尔巴尼亚	66-7859-B
阿爾巴尼亞人 阿尔巴尼亚人	66-7927-B
阿爾斯通公司 阿尔斯通公司	66-8016-B
阿爾梅里亞 阿尔梅里亚	66-8097-B
阿爾法 阿尔法	66-8167-B
阿爾泰 阿尔泰	66-8233-B
阿爾泰山 阿尔泰山	66-8313-B
阿爾泰山脈 阿尔泰山脉	66-8411-B
阿爾泰語 阿尔泰语	66-8533-B
阿爾瓦塞特 阿尔瓦塞特	66-8600-B
阿爾瓦雷 阿尔瓦雷	66-8669-B
阿爾茨海默氏病 阿尔茨海默氏病	66-8735-B
阿爾袞琴 阿尔衮琴	66-8855-B
阿爾都塞 阿尔都塞	66-8941-B
阿片	66-9078-S
阿片 阿片	66-9078-B
阿物儿	66-9116-S
阿物兒 阿物儿	66-9116-B
阿特拉斯	66-9181-S
阿特拉斯 阿特拉斯	66-9181-B
阿特金斯	66-9296-S
阿特金斯 阿特金斯	66-9296-B
阿瑞斯	66-9361-S
阿瑞斯 阿瑞斯	66-9361-B
阿瑟	66-9407-S
阿瑟 阿瑟	66-9407-B
阿瓦提	66-9451-S
阿瓦提 阿瓦提	66-9451-B
阿瓦提县	66-9521-S
阿瓦提縣 阿瓦提县	66-9521-B
阿瓦裡德 阿瓦里德	66-9604-B
阿瓦里德	66-9604-S
阿甘正传	66-9704-S
阿甘正傳 阿甘正传	66-9704-B
阿留申群岛	66-9774-S
阿留申群島 阿留申群岛	66-9774-B
阿的平	66-9921-S
阿的平 阿的平	66-9921-B
阿皮亚	66-9986-S
阿皮亞 阿皮亚	66-9986-B
阿盧巴 阿卢巴	66-10031-B
阿穆尔河	66-10077-S
阿穆爾河 阿穆尔河	66-10077-B
阿空加瓜	66-10219-S
阿空加瓜 阿空加瓜	66-10219-B
阿空加瓜山	66-10289-S
阿空加瓜山 阿空加瓜山	66-10289-B
阿米巴	66-10371-S
阿米巴 阿米巴	66-10371-B
阿米巴痢疾	66-10418-S
阿米巴痢疾 阿米巴痢疾	66-10418-B
阿米納達布 阿米纳达布	66-10512-B
阿米纳达布	66-10512-S
阿維拉 阿维拉	66-10589-B
阿维拉	66-10589-S
阿罗汉	66-10636-S
阿罗约	66-10693-S
阿羅漢 阿罗汉	66-10636-B
阿羅約 阿罗约	66-10693-B
阿美恩斯	66-10750-S
阿美恩斯 阿美恩斯	66-10750-B
阿美族	66-10822-S
阿美族 阿美族	66-10822-B
阿耳忒弥斯	66-10879-S
阿耳忒彌斯 阿耳忒弥斯	66-10879-B
阿联酋	66-10975-S
阿联酋航空	66-11074-S
阿联酋长国	66-11158-S
阿聯酋 阿联酋	66-10975-B
阿聯酋航空 阿联酋航空	66-11074-B
阿聯酋長國 阿联酋长国	66-11158-B
阿肯色	66-11281-S
阿肯色 阿肯色	66-11281-B
阿肯色州	66-11331-S
阿肯色州 阿肯色州	66-11331-B
阿育王	66-11393-S
阿育王 阿育王	66-11393-B
阿胶	66-11455-S
阿膠 阿胶	66-11455-B
阿芙罗狄忒	66-11543-S
阿芙羅狄忒 阿芙罗狄忒	66-11543-B
阿芙蓉	66-11614-S
阿芙蓉 阿芙蓉	66-11614-B
阿荣旗	66-6454-S
阿莫西林	66-11662-S
阿莫西林 阿莫西林	66-11662-B
阿莱曼	66-11811-S
阿莲乡	66-11901-S
阿華田 阿华田	66-11725-B
阿萊曼 阿莱曼	66-11811-B
阿萨德	66-11976-S
阿蒙	66-11864-S
阿蒙 阿蒙	66-11864-B
阿蓮鄉 阿莲乡	66-11901-B
阿薩德 阿萨德	66-11976-B
阿蘭 阿兰	66-12036-B
阿蘭文 阿兰文	66-12072-B
阿裡山 阿里山	66-12122-B
阿訇	66-12172-S
阿訇 阿訇	66-12172-B
阿諛 阿谀	66-12229-B
阿諛奉承 阿谀奉承	66-12279-B
阿諾 阿诺	66-12385-B
阿諾・施瓦辛格 阿诺・施瓦辛格	66-12504-B
阿諾德・施瓦辛格 阿诺德・施瓦辛格	66-12616-B
阿诺	66-12385-S
阿诺・施瓦辛格	66-12504-S
阿诺德・施瓦辛格	66-12616-S
阿谀	66-12229-S
阿谀奉承	66-12279-S
阿貝爾 阿贝尔	66-12738-B
阿贝尔	66-12738-S
阿迪达斯	66-12809-S
阿迪達斯 阿迪达斯	66-12809-B
阿道司・赫胥黎	66-12887-S
阿道司・赫胥黎 阿道司・赫胥黎	66-12887-B
阿道司赫胥黎	66-12993-S
阿道司赫胥黎 阿道司赫胥黎	66-12993-B
阿里	66-13090-S
阿里 阿里	66-13090-B
阿里地区	66-13174-S
阿里地區 阿里地区	66-13174-B
阿里山	66-12122-S
阿里山乡	66-13250-S
阿里山鄉 阿里山乡	66-13250-B
阿里巴巴	66-13337-S
阿里巴巴 阿里巴巴	66-13337-B
阿里斯托芬	66-13395-S
阿里斯托芬 阿里斯托芬	66-13395-B
阿里斯托芳	66-13486-S
阿里斯託芳 阿里斯托芳	66-13486-B
阿門 阿门	66-13578-B
阿閦佛	66-13614-S
阿閦佛 阿閦佛	66-13614-B
阿门	66-13578-S
阿附	66-13664-S
阿附 阿附	66-13664-B
阿难	66-13717-S
阿难陀	66-13762-S
阿難 阿难	66-13717-B
阿難陀 阿难陀	66-13762-B
阿靈頓國家公墓 阿灵顿国家公墓	66-13818-B
阿飛 阿飞	66-13933-B
阿飞	66-13933-S
阿鬥 阿斗	66-13993-B
阿魯巴 阿鲁巴	66-14030-B
阿魯科爾沁 阿鲁科尔沁	66-14076-B
阿魯科爾沁旗 阿鲁科尔沁旗	66-14178-B
阿鲁巴	66-14030-S
阿鲁科尔沁	66-14076-S
阿鲁科尔沁旗	66-14178-S
阿麗亞娜 阿丽亚娜	66-14290-B
阿黑門尼德王朝 阿黑门尼德王朝	66-14347-B
阿黑门尼德王朝	66-14347-S
阿鼻	66-14475-S
阿鼻 阿鼻	66-14475-B
阿鼻地狱	66-14538-S
阿鼻地獄 阿鼻地狱	66-14538-B
陀	66-14621-S
陀 陀	66-14621-B
陀思妥耶夫斯基	66-14675-S
陀思妥耶夫斯基 陀思妥耶夫斯基	66-14675-B
陀罗尼	66-14802-S
陀羅尼 陀罗尼	66-14802-B
陀螺	66-14933-S
陀螺 陀螺	66-14933-B
陁	66-14989-S
陁 陁	66-14989-B
陂	66-15026-S,66-15057-S
陂 陂	66-15026-B,66-15057-B
附	66-15092-S
附 附	66-15092-B
附上	66-15160-S
附上 附上	66-15160-B
附件	66-15201-S
附件 附件	66-15201-B
附会	66-15855-S
附加	66-15272-S
附加 附加	66-15272-B
附加物	66-15321-S
附加物 附加物	66-15321-B
附和	66-15374-S
附和 附和	66-15374-B
附寄	66-15485-S
附寄 附寄	66-15485-B
附属	66-15524-S
附属品	66-15623-S
附屬 附属	66-15524-B
附屬品 附属品	66-15623-B
附带	66-15676-S
附帶 附带	66-15676-B
附庸	66-15815-S
附庸 附庸	66-15815-B
附录	66-16260-S
附會 附会	66-15855-B
附注	66-16135-S
附着	66-16081-S
附笔	66-15931-S
附筆 附笔	66-15931-B
附签	66-15973-S
附籤 附签	66-15973-B
附耳	66-16016-S
附耳 附耳	66-16016-B
附著 附着	66-16081-B
附註 附注	66-16135-B
附近	66-16183-S
附近 附近	66-16183-B
附錄 附录	66-16260-B
附面层	66-16300-S
附面層 附面层	66-16300-B
际	66-41878-S
际会	66-41949-S
际遇	66-42000-S
陆	66-32597-S,66-32653-S
陆上	66-32706-S
陆丰	66-33999-S
陆丰市	66-34068-S
陆克文	66-32759-S
陆军	66-34224-S
陆军上校	66-34261-S
陆军中尉	66-34326-S
陆地	66-32820-S
陆坡	66-32884-S
陆基	66-32965-S
陆基导弹	66-33007-S
陆川	66-33079-S
陆征祥	66-33144-S
陆探微	66-33217-S
陆架	66-33289-S
陆栖	66-33339-S
陆河	66-33466-S
陆河县	66-33527-S
陆海空三军	66-33600-S
陆海空軍	66-33671-S
陆游	66-34393-S
陆生	66-33731-S
陆续	66-33785-S
陆良	66-33868-S
陆荣廷	66-33397-S
陆西星	66-33932-S
陆路	66-34155-S
陆运	66-34444-S
陆陆续续	66-34491-S
陇	66-51002-S
陇南	66-51064-S
