溫網 温网	39-22855-B
潜泳	39-60020-S
潜热	39-60079-S
潜移	39-60124-S
潜移默化	39-60227-S
潜能	39-60327-S
潜艇	39-60489-S
潜藏	39-60534-S
潜行	39-60617-S
潜踪	39-60658-S
潜逃	39-60703-S
潜鸟	39-60761-S
潝	39-60810-S
潝 潝	39-60810-B
潞	39-60837-S
潞 潞	39-60837-B
潞城	39-60885-S
潞城 潞城	39-60885-B
潞西	39-60948-S
潞西 潞西	39-60948-B
潞西市	39-60999-S
潞西市 潞西市	39-60999-B
潟	39-61061-S
潟 潟	39-61061-B
潠	39-61096-S
潠 潠	39-61096-B
潢	39-61141-S
潢 潢	39-61141-B
潢川	39-61198-S
潢川 潢川	39-61198-B
潢川县	39-61278-S
潢川縣 潢川县	39-61278-B
潤 润	39-61370-B
潤格 润格	39-61405-B
潤滑 润滑	39-61472-B
潤滑劑 润滑剂	39-61536-B
潤滑油 润滑油	39-61589-B
潤澤 润泽	39-61649-B
潤濕 润湿	39-61687-B
潤筆 润笔	39-61753-B
潤腸通便 润肠通便	39-61828-B
潤膚膏 润肤膏	39-61923-B
潤色 润色	39-61985-B
潤資 润资	39-62029-B
潤飾 润饰	39-62104-B
潤餅 潤饼	39-62159-B
潤饼	39-62159-S
潦	39-62231-S
潦 潦	39-62231-B
潦倒	39-62272-S
潦倒 潦倒	39-62272-B
潦草	39-62339-S
潦草 潦草	39-62339-B
潭	39-62418-S,39-62455-S
潭 潭	39-62418-B,39-62455-B
潭子乡	39-62489-S
潭子鄉 潭子乡	39-62489-B
潭柘寺	39-62565-S
潭柘寺 潭柘寺	39-62565-B
潮	39-62622-S
潮 潮	39-62622-B
潮南	39-62675-S
潮南 潮南	39-62675-B
潮南区	39-62752-S
潮南區 潮南区	39-62752-B
潮安	39-62839-S
潮安 潮安	39-62839-B
潮州	39-62905-S
潮州 潮州	39-62905-B
潮州市	39-62984-S
潮州市 潮州市	39-62984-B
潮州鎮 潮州镇	39-63083-B
潮州镇	39-63083-S
潮水	39-63160-S
潮水 潮水	39-63160-B
潮汐	39-63200-S
潮汐 潮汐	39-63200-B
潮洲	39-63238-S
潮洲 潮洲	39-63238-B
潮流	39-63293-S
潮流 潮流	39-63293-B
潮涌	39-63346-S
潮涌 潮涌	39-63346-B
潮湿	39-63412-S
潮濕 潮湿	39-63412-B
潮紅 潮红	39-63457-B
潮红	39-63457-S
潮解	39-63498-S
潮解 潮解	39-63498-B
潮解性	39-63553-S
潮解性 潮解性	39-63553-B
潮阳	39-63612-S
潮阳区	39-63691-S
潮陽 潮阳	39-63612-B
潮陽區 潮阳区	39-63691-B
潯 浔	39-63780-B
潯陽 浔阳	39-63829-B
潯陽區 浔阳区	39-63907-B
潰 溃	39-63995-B
潰不成軍 溃不成军	39-64041-B
潰兵 溃兵	39-64114-B
潰敗 溃败	39-64195-B
潰敵 溃敌	39-64282-B
潰決 溃决	39-64327-B
潰爛 溃烂	39-64383-B
潰瘍 溃疡	39-64438-B
潰軍 溃军	39-64490-B
潰逃 溃逃	39-64537-B
潲	39-64611-S
潲 潲	39-64611-B
潴	40-15943-S
潸	39-64659-S
潸 潸	39-64659-B
潺	39-64692-S
潺 潺	39-64692-B
潼	39-64739-S
潼 潼	39-64739-B
潼关	39-64847-S
潼南	39-64782-S
潼南 潼南	39-64782-B
潼關 潼关	39-64847-B
潾	39-64914-S
潾 潾	39-64914-B
潿 涠	39-64956-B
澀 涩	39-64990-B
澀味 涩味	39-65046-B
澀脈 涩脉	39-65105-B
澁 涩	39-65152-B
澂	39-65261-S
澂 澂	39-65261-B
澄	39-65307-S,39-65379-S
澄 澄	39-65307-B,39-65379-B
澄城	39-65418-S
澄城 澄城	39-65418-B
澄江	39-65489-S
澄江 澄江	39-65489-B
澄海	39-65559-S
澄海 澄海	39-65559-B
澄海区	39-65628-S
澄海區 澄海区	39-65628-B
澄清	39-65717-S,39-65837-S
澄清 澄清	39-65717-B,39-65837-B
澄迈	39-65963-S
澄邁 澄迈	39-65963-B
澆 浇	39-66029-B
澆水 浇水	40-0-B
澆灌 浇灌	40-57-B
澆花 浇花	40-113-B
澇 涝	40-164-B
澈	40-194-S
澈 澈	40-194-B
澉	40-239-S
澉 澉	40-239-B
澌	40-277-S
澌 澌	40-277-B
澍	40-319-S
澍 澍	40-319-B
澎	40-362-S
澎 澎	40-362-B
澎湃	40-400-S
澎湃 澎湃	40-400-B
澎湖群岛	40-443-S
澎湖群島 澎湖群岛	40-443-B
澐	40-519-S
澐 澐	40-519-B
澒	40-553-S
澒 澒	40-553-B
澔	40-590-S
澔 澔	40-590-B
澗 涧	40-634-B
澜	40-17011-S
澜沧拉祜族自治县	40-17048-S
澜沧江	40-17188-S
澠 渑	40-673-B
澠池 渑池	40-725-B
澡	40-788-S
澡 澡	40-788-B
澡垢索疵	40-815-S
澡垢索疵 澡垢索疵	40-815-B
澡堂	40-942-S
澡堂 澡堂	40-942-B
澡塘	40-989-S
澡塘 澡塘	40-989-B
澡盆	40-1063-S
澡盆 澡盆	40-1063-B
澡罐	40-1105-S
澡罐 澡罐	40-1105-B
澡身浴德	40-1179-S
澡身浴德 澡身浴德	40-1179-B
澣	40-1350-S,40-1387-S
澣 澣	40-1350-B,40-1387-B
澤 泽	40-1423-B
澤塔 泽塔	40-1462-B
澤庫 泽库	40-1518-B
澤普 泽普	40-1577-B
澤當 泽当	40-1637-B
澤蘭 泽兰	40-1698-B
澤西 泽西	40-1741-B
澤西島 泽西岛	40-1797-B
澥	40-1864-S
澥 澥	40-1864-B
澦	40-1906-S
澦 澦	40-1906-B
澧	40-1949-S
澧 澧	40-1949-B
澧县	40-2059-S
澧水	40-1998-S
澧水 澧水	40-1998-B
澧縣 澧县	40-2059-B
澨	40-2111-S
澨 澨	40-2111-B
澫	40-2160-S
澫 澫	40-2160-B
澬	40-2202-S
澬 澬	40-2202-B
澮 浍	40-2244-B
澰	40-2280-S
澰 澰	40-2280-B
澱 淀	40-2324-B
澱山湖 淀山湖	40-2368-B
澱粉 淀粉	40-2427-B
澱粉脢 淀粉脢	40-2483-B
澳	40-2536-S
澳 澳	40-2536-B
澳元	40-2686-S
澳元 澳元	40-2686-B
澳大利亚	40-2737-S
澳大利亚总督	40-2824-S
澳大利亚联邦	40-2927-S
澳大利亚首都特区	40-3028-S
澳大利亞 澳大利亚	40-2737-B
澳大利亞總督 澳大利亚总督	40-2824-B
澳大利亞聯邦 澳大利亚联邦	40-2927-B
澳大利亞首都特區 澳大利亚首都特区	40-3028-B
澳币	40-3150-S
澳幣 澳币	40-3150-B
澳式橄榄球	40-3199-S
澳式橄欖球 澳式橄榄球	40-3199-B
澳新军团节	40-3302-S
澳新軍團節 澳新军团节	40-3302-B
澳洲	40-3481-S
澳洲 澳洲	40-3481-B
澳洲小鸚鵡 澳洲小鹦鹉	40-3572-B
澳洲小鹦鹉	40-3572-S
澳紐 澳纽	40-3648-B
澳纽	40-3648-S
澳門 澳门	40-3751-B
澳門國際機場 澳门国际机场	40-3801-B
澳門立法會 澳门立法会	40-3905-B
澳门	40-3751-S
澳门国际机场	40-3801-S
澳门立法会	40-3905-S
澴	40-3997-S
澴 澴	40-3997-B
澶	40-4041-S
澶 澶	40-4041-B
澹	40-4096-S,40-4140-S
澹 澹	40-4096-B,40-4140-B
澼	40-4174-S
澼 澼	40-4174-B
激	40-4211-S
激 激	40-4211-B
激光	40-4296-S
激光 激光	40-4296-B
激光二极管	40-4336-S
激光二極管 激光二极管	40-4336-B
激光唱片	40-4414-S
激光唱片 激光唱片	40-4414-B
激光器	40-4489-S
激光器 激光器	40-4489-B
激光打引机	40-4539-S
激光打引機 激光打引机	40-4539-B
激动	40-4618-S
激励	40-4681-S
激動 激动	40-4618-B
激勵 激励	40-4681-B
激发	40-5545-S
激增	40-4744-S
激增 激增	40-4744-B
激怒	40-4796-S
激怒 激怒	40-4796-B
激情	40-4840-S
激情 激情	40-4840-B
激战	40-4914-S
激戰 激战	40-4914-B
激昂	40-4961-S
激昂 激昂	40-4961-B
激波	40-5016-S
激波 激波	40-5016-B
激活	40-5058-S
激活 激活	40-5058-B
激活扩散网络	40-5102-S
激活擴散網絡 激活扩散网络	40-5102-B
激活整合模型	40-5203-S
激活整合模型 激活整合模型	40-5203-B
激浊扬清	40-5307-S
激濁揚清 激浊扬清	40-5307-B
激烈	40-5492-S
激烈 激烈	40-5492-B
激發 激发	40-5545-B
激盪 激荡	40-5596-B
激素	40-5654-S
激素 激素	40-5654-B
激荡	40-5596-S
激蕩	40-5693-S
激蕩 激蕩	40-5693-B
激起	40-5778-S
激起 激起	40-5778-B
激进	40-5831-S
激进分子	40-5889-S
激进武装	40-5962-S
激进武装分子	40-6035-S
激進 激进	40-5831-B
激進份子 激进分子	40-5889-B
激進武裝 激进武装	40-5962-B
激進武裝份子 激进武装分子	40-6035-B
濁 浊	40-6129-B
濁世 浊世	40-6172-B
濁度 浊度	40-6271-B
濁流 浊流	40-6314-B
濁積岩 浊积岩	40-6442-B
濁臭熏天 浊臭熏天	40-6504-B
濁酒 浊酒	40-6584-B
濁音 浊音	40-6639-B
濂	40-6706-S
濂 濂	40-6706-B
濃 浓	40-6754-B
濃厚 浓厚	40-6796-B
濃密 浓密	40-6847-B
濃度 浓度	40-6892-B
濃淡 浓淡	40-7028-B
濃灪 浓灪	40-7080-B
濃烈 浓烈	40-7138-B
濃煙 浓烟	40-7186-B
濃眉大眼 浓眉大眼	40-7232-B
濃縮 浓缩	40-7315-B
濃縮機 浓缩机	40-7453-B
濃縮鈾 浓缩铀	40-7547-B
濃重 浓重	40-7609-B
濃集 浓集	40-7651-B
濃集鈾 浓集铀	40-7709-B
濃霧 浓雾	40-7770-B
濃香 浓香	40-7813-B
濃鬱 浓郁	40-7876-B
濆	40-7941-S
濆 濆	40-7941-B
濇	40-7977-S
濇 濇	40-7977-B
濈	40-8020-S
濈 濈	40-8020-B
濉	40-8046-S
濉 濉	40-8046-B
濉溪	40-8084-S
濉溪 濉溪	40-8084-B
濊	40-8143-S
濊 濊	40-8143-B
濑	40-16378-S
濒	40-14034-S
濒临	40-14750-S
濒于	40-14477-S
濒危	40-14061-S
濒危物种	40-14149-S
濒危野生动植物种国际贸易公约	40-14224-S
濒死	40-14540-S
濒河	40-14632-S
濒海	40-14691-S
濒近	40-14808-S
濔	40-8194-S
濔 濔	40-8194-B
濕 湿	40-8229-B
濕地 湿地	40-8261-B
濕婆 湿婆	40-8301-B
濕度 湿度	40-8353-B
濕氣 湿气	40-8400-B
濕淥淥 湿渌渌	40-8441-B
濕潤 湿润	40-8488-B
濕潤劑 湿润剂	40-8527-B
濕疣 湿疣	40-8594-B
濕疹 湿疹	40-8689-B
濕衣 湿衣	40-8730-B
濕黏 湿黏	40-8770-B
濘 泞	40-8811-B
濛	40-8840-S
濛 濛	40-8840-B
濜	40-8876-S
濜 濜	40-8876-B
濟 济	40-8922-B
濟公 济公	40-8960-B
濟助 济助	40-8999-B
濟南 济南	40-9051-B
濟南市 济南市	40-9090-B
濟寧 济宁	40-9140-B
濟寧地區 济宁地区	40-9215-B
濟寧市 济宁市	40-9312-B
濟州島 济州岛	40-9398-B
濟急 济急	40-9465-B
濟洲島 济洲岛	40-9522-B
濟源 济源	40-9596-B
濟源市 济源市	40-9672-B
濟濟一堂 济济一堂	40-9759-B
濟陽 济阳	40-9877-B
濠	40-9941-S
濠 濠	40-9941-B
濠江	40-9970-S
濠江 濠江	40-9970-B
濠江区	40-10049-S
濠江區 濠江区	40-10049-B
濡	40-10138-S
濡 濡	40-10138-B
濡湿	40-10179-S
濡濕 濡湿	40-10179-B
濤 涛	40-10219-B
濩	40-10250-S
濩 濩	40-10250-B
濫 滥	40-10294-B
濫用 滥用	40-10341-B
濫竽充數 滥竽充数	40-10384-B
濫觴 滥觞	40-10619-B
濬	40-10725-S
濬 濬	40-10725-B
濮	40-10773-S
濮 濮	40-10773-B
濮阳	40-10810-S
濮阳市	40-10881-S
濮陽 濮阳	40-10810-B
濮陽市 濮阳市	40-10881-B
濯	40-10963-S
濯 濯	40-10963-B
濰 潍	40-11003-B
濰坊 潍坊	40-11041-B
濰坊地區 潍坊地区	40-11117-B
濰坊市 潍坊市	40-11215-B
濱 滨	40-11302-B
濱州 滨州	40-11347-B
濱州地區 滨州地区	40-11423-B
濱州市 滨州市	40-11520-B
濱海 滨海	40-11607-B
濱海新區 滨海新区	40-11677-B
濱海邊疆區 滨海边疆区	40-11738-B
濲	40-11903-S
濲 濲	40-11903-B
濺 溅	40-11949-B
濺射 溅射	40-11979-B
濺開 溅开	40-12024-B
濼 泺	40-12065-B
濾 滤	40-12103-B
濾器 滤器	40-12144-B
濾毒通風裝置 滤毒通风装置	40-12182-B
濾波 滤波	40-12283-B
濾波器 滤波器	40-12324-B
濾液 滤液	40-12372-B
濾清 滤清	40-12412-B
濾清器 滤清器	40-12466-B
濾紙 滤纸	40-12518-B
濾網 滤网	40-12563-B
濾鍋 滤锅	40-12611-B
濾除 滤除	40-12652-B
瀁	40-12698-S
瀁 瀁	40-12698-B
瀅 滢	40-12729-B
瀆 渎	40-12776-B
瀆職 渎职	40-12828-B
瀉 泻	40-12896-B
瀉湖 泻湖	40-12975-B
瀉肚 泻肚	40-13014-B
瀉藥 泻药	40-13063-B
瀉露 泻露	40-13105-B
瀉鹽 泻盐	40-13163-B
瀋 渖	40-13208-B
瀋陽 沈阳	40-13247-B
瀌	40-13419-S
瀌 瀌	40-13419-B
瀍	40-13465-S
瀍 瀍	40-13465-B
瀍水	40-13512-S
瀍水 瀍水	40-13512-B
瀏 浏	40-13575-B
瀏覽 浏览	40-13625-B
瀏覽器 浏览器	40-13681-B
瀏覽軟件 浏览软件	40-13743-B
瀏陽 浏阳	40-13814-B
瀑	40-13876-S,40-13912-S
瀑 瀑	40-13876-B,40-13912-B
瀑布	40-13943-S
瀑布 瀑布	40-13943-B
瀔	40-13984-S
瀔 瀔	40-13984-B
瀕 濒	40-14034-B
瀕危 濒危	40-14061-B
瀕危物種 濒危物种	40-14149-B
瀕危野生動植物種國際貿易公約 濒危野生动植物种国际贸易公约	40-14224-B
瀕於 濒于	40-14477-B
瀕死 濒死	40-14540-B
瀕河 濒河	40-14632-B
瀕海 濒海	40-14691-B
瀕臨 濒临	40-14750-B
瀕近 濒近	40-14808-B
瀘 泸	40-14854-B
瀘定 泸定	40-14917-B
瀘定橋 泸定桥	40-14980-B
瀘州 泸州	40-15039-B
瀘州市 泸州市	40-15112-B
瀘水 泸水	40-15196-B
瀘溪 泸溪	40-15258-B
瀘縣 泸县	40-15315-B
瀘西 泸西	40-15369-B
瀚	40-15427-S
瀚 瀚	40-15427-B
瀛	40-15464-S
瀛 瀛	40-15464-B
瀛洲	40-15493-S
瀛洲 瀛洲	40-15493-B
瀝 沥	40-15537-B
瀝青 沥青	40-15563-B
瀝青鈾礦 沥青铀矿	40-15615-B
瀟 潇	40-15698-B
瀟灑 潇洒	40-15755-B
瀠 潆	40-15839-B
瀡	40-15879-S
瀡 瀡	40-15879-B
瀣	40-15910-S
瀣 瀣	40-15910-B
瀦 潴	40-15943-B
瀧 泷	40-15975-B,40-16033-B
瀧水 泷水	40-16119-B
瀧澤 泷泽	40-16217-B
瀧船 泷船	40-16287-B
瀨 濑	40-16378-B
瀬	40-16433-S
瀬 瀬	40-16433-B
瀰 弥	40-16483-B
瀰漫 弥漫	40-16516-B
瀰漫星雲 弥漫星云	40-16698-B
瀲 潋	40-16768-B
瀳	40-16812-S
瀳 瀳	40-16812-B
瀵	40-16856-S
瀵 瀵	40-16856-B
瀹	40-16907-S
瀹 瀹	40-16907-B
瀺	40-16945-S
