organic chem 	49-42708-S
out of the furnace	8-41411-S
out of the ground	8-37476-S
out of the imagination	50-21882-S
out of the mouth	14-33586-S,39-61096-S
out of the ordinary	1-71221-B,2-643-B,8-38437-B,8-38513-B,18-1778-B,22-40066-S,60-19799-B,67-63194-B
out of the oven	8-41411-S,30-44083-S
out of the people by force	35-8064-S
out of the question	2-27617-S,58-40710-S
out of the ranks	8-35944-S
out of the steamer basket 蒸籠 蒸笼	8-43664-S
out of the water	8-40515-S
out of the way	6-50960-S,59-14141-S,60-14514-S,65-24406-S,65-26734-S,65-27677-B
out of the way place	31-16820-B
out of touch	52-34464-S
out of touch with reality	65-28278-B
out of troops	65-35794-S
out of trouble	8-46665-S,39-57461-S
out of trouble or embarrassment	57-48419-S
out of tune	17-67643-B,42-59631-B
out of turn	16-55160-S
out of way	60-57871-S
out of wedlock	67-64018-S
out off a computer	44-23556-S
out official duties and observe the law	18-2978-S
out old horses	69-48966-S
out on a campaign	8-47584-S
out on a journey	13-65525-S
out on a task	54-54333-S
out on a trip	8-36061-S
out on sb who does not deserve it	62-69674-S
out one s duty	17-67751-S
out one s grievances	5-60392-S
out one s hear 成语 saw	6-47818-S
out one s heart	6-46675-S
out one s heart and spill blood 成语 saw	14-29882-S
out or in information on a form	59-6110-S
out or into	28-24333-S
out or up	8-10582-S
out or upside down	11-43612-S
out or worn smooth of clothes	71-15415-S
out orders	47-13937-S
out other than expected 成语 saw	8-34461-S
out person or object from the sea	26-44926-S
out propaganda on behalf of	44-29516-S
out punishment	2-17994-S,47-16590-S
out pus by applying a plaster to the affected area	27-33289-S
out relates to food bought at a restaurant	16-50977-S
out research	24-10279-S
out residue	35-63026-S
out resolutely	30-60385-S
out roots 成语 saw	9-31199-S
out seedlings	65-46836-S
out share offer	27-43252-S
out shoes	30-5825-S,57-34947-S
out skin	45-421-B
out so well	58-56153-S
out stale air and breathe in fresh 成语 saw	12-60195-S
out suspended particles	66-21704-S
out swiftly	40-12896-S
out the crimes 成语 saw	35-57830-S
out the day	11-23171-S
out the essentials	28-41632-S
out the lights	41-11690-S
out the main theme	71-43146-S
out the old	71-47457-S
out the old and bring in new ideas	28-33047-S
out the old and make a clean sweep	47-16151-S
out the real nature based on the name 成语 saw	24-23191-S
out the skin of one s teeth 成语 saw	46-38799-S
out the strong and give people peace 成语 saw	66-22240-S
out the strong and support the weak 成语 saw	64-36020-S
out the substance concisely	71-43146-S
out the traitors	64-35961-S
out the villains e g insurgents	58-18329-S
out the way you want or plan	3-31677-S
out to	65-20430-S
out to be a horse 成语 saw	27-61419-S
out to be true	21-27422-S
out to be useless	64-27180-S
out to dry	29-35929-S,68-53327-S
out to fight us	6-47487-S
out to mean brilliant prospects	63-22219-S
out to sb	27-41357-S
out to work	26-43566-S,26-43662-S
out together with derog 	23-6895-S
out top	28-6447-S
out tournament	8-38622-S
out towards south america	11-55-S
out troops under a commander	8-39151-S
out tv programs	29-15184-S
out undesirable elements	38-61968-S
out usu food	22-28864-S,22-28864-S
out water	26-66194-S
out weed	55-20651-S
out wickedness	66-22063-S
out widely	64-37950-S
out with finger	29-3384-S
out with sb	11-51714-S,11-51777-S,51-22690-S
out without thinking	68-22488-S,68-22764-S,68-22887-S
out writing with fancy phrases	16-6537-S
out 成语 saw	6-47614-S,17-62902-S,34-44552-S,37-12202-S,37-12381-S,52-33765-S
outback	52-44798-B
outbreak of a disease	44-31802-B
outbreak of illness	44-7238-B
outburst	47-53630-B
outclass	62-63116-S
outcome	45-36281-S,45-38243-S,47-44284-B,48-33679-S,48-42510-S,49-42036-B,57-62522-S,62-47875-S,68-23325-S
outcome of a battle	10-4344-S
outcome of a fight before taking sides	15-51688-S
outcome to reward one s labor	57-62522-S
outcry	2-7425-S,12-9184-B
outdated	51-24509-B
outdated writings 成语 saw	65-9381-S
outdo others	57-25715-S
outdoing one another	41-38100-B
outdone by	2-34618-S
outdoor	19-56177-B,26-25035-B
outdoors	15-35062-B,67-46749-B,67-46813-S,67-46904-S
outdoors for physical exercise	8-39893-S
outdoors not under cover	67-46328-B
outer	15-34472-B
outer city	22-13360-B
outer city wall	16-51482-B,63-24310-B,63-24360-B
outer clothing	16-50338-B
outer coffin	34-46522-B
outer courtyard	16-51702-B
outer ear	16-49980-B
outer electron shell on an atom determining its chemical properties	6-53313-S
outer garment	1-55481-S
outer layer	9-29165-S,16-47194-B
outer mongolia	16-50188-B
outer of cabbage etc	22-35616-B
outer part of tire	16-47322-B
outer reaches of the solar system	22-67113-S
outer shell	16-47194-B,16-48587-B,43-40304-B
outer shell of electrons	6-53762-B
outer skin	59-29892-S
outer space	16-46622-B,16-47252-B,17-45714-S,17-60092-B,38-50983-S
outer surface	16-51284-B,68-1850-B
outer zone	16-47322-B
outermost bone of the pelvic girdle	70-3953-B
outfit	30-68776-B
outfit with	63-37383-S
outflank	10-15469-B,61-43169-S
outflank and attack from the rear	26-64201-S
outflow	16-48640-B,16-51188-B
outflow channel	21-15166-B
outflow from mill or power plant	21-15087-B
outflow sluice	1-63971-B
outflow 成语 saw	65-38362-S
outgrowth	69-65107-S
outing	21-1435-B,63-21078-B
outlandish	24-64978-B
outlandish sounds wind blowing on frontier	63-12852-B
outlaw	11-58858-B,40-56070-B,61-60104-S
outlaws of the marsh by shi naian 施耐庵	36-43602-S,36-43708-S
outlet	8-40384-S,8-40384-S,8-47360-S,28-43576-B
outline	17-28551-S,28-41577-B,34-37918-B,34-37959-B,43-55644-B,50-4991-B,50-5101-B,54-15359-B,57-26797-B,61-15999-S,61-16054-S,68-39106-B
outline a story	34-43487-S
outline in gold	28-36354-S
outline of story	34-13440-B
outlook	2-41215-S,9-22272-B,21-22216-B,36-31830-S,47-39653-S,49-59387-S,68-27332-S
outlook for the future	9-24591-B
outlying	63-13157-B
outlying islands	67-9597-B
outmoded	2-26657-B,5-37556-S
outmoded and preserve the outworn	27-13396-S
outmoded conventions	66-29261-B,66-29412-B
outpatient department or consulting room	65-23828-B
outpatient service	65-23775-B
outpost	65-54244-B
output	8-36892-B,8-42917-B,9-49477-S,9-51219-S,15-10466-S,39-877-S,43-31161-S,43-33161-B,61-17553-S
output per household	10-16630-S
output power	44-34769-B
output quotas for each household	10-16527-S
output value	43-27869-S,43-31161-B
outrage	5-14138-B,32-349-B
outraged by an injustice	27-12519-S
outrageous	1-69911-B,17-32371-B,24-65993-B,25-6781-B,59-18502-S
outrageous acts	6-43703-B
outrageous and unconventional 成语 saw	25-6841-B
outrages	40-33310-S,52-20447-S
outright	49-20294-B
outs	18-38658-S,32-64546-S
outset	8-43093-S,60-16052-S,65-30430-S
outside	3-10796-B,4-25249-S,5-61850-S,7-27569-S,11-55406-S,16-42077-B,16-43239-B,16-44711-S,16-50406-B,16-50514-S,16-51284-B,16-51835-S,16-51900-B,16-51941-B,16-54491-S,24-11253-S,24-11253-S,56-47007-B,57-1607-S,57-42788-S,68-1850-B,71-13418-B
outside a city gate	15-62953-S
outside a city wall	16-8121-S
outside a country s borders	16-23538-B
outside actual experience	23-55239-S
outside and the inside	56-46148-S
outside appearance	53-60885-S
outside face seems good 成语 saw	55-52848-S
outside help	1-9124-S
outside horses of a team of 4	69-55709-B
outside mainland china and listed in the hong kong stock exchange	49-11934-S
outside matters	7-47401-S
outside of	4-36678-B
outside of a city	15-61813-B
outside of hub	61-5677-S
outside one s experience	60-22896-B
outside skin of bamboo	48-20058-S
outside the body	70-6172-B
outside the city	64-3205-S
outside the door	65-21773-B
outside the expected menstrual period	21-45284-S,56-24826-S
outside the room	21-20311-B
outside world	16-49270-S,29-46898-S
outsider i e not expected to win a race or championship	40-47561-B
outskirts	61-49127-B,61-49179-S,63-20965-B,63-21034-B
outskirts of a city	15-62676-B
outskirts of town	14-53586-B
outsource	18-41403-S
outsourcing	16-45180-B
outspoken	9-28584-S,24-35759-S,24-35876-S,34-13567-S,45-22727-B
outspoken and straightforward	59-24926-B
outstanding	2-643-B,6-54597-S,6-58250-B,8-38437-B,8-38513-B,8-43163-B,8-44476-B,10-63158-B,10-63429-B,10-63637-B,12-53856-B,21-7742-B,21-47623-B,41-56459-B,41-60543-S,42-19826-B,47-52811-B,49-45633-B,51-20393-B,54-53309-B,60-23088-B,62-33208-B,62-43320-B,68-51593-B,68-52293-B,68-55732-B
outstanding achievement	34-33105-B
outstanding business	32-56000-B
outstanding founding minister title given to reward loyal general or vassal of new dynasty or state	65-31873-B
outstanding individual	4-8507-B
outstanding military service	26-17169-B
outstanding person	42-45428-B
outstanding service	9-50354-S
outstanding talent	4-6210-B,5-32572-B
outstanding talent can recognize current trends 成语 saw a wise man submits to circumstances	58-62673-S
outstanding talent 成语 saw	21-47678-S,26-37845-S,26-38287-B,26-38739-S
outstanding work	9-49355-B
outstanding 成语 saw	8-34637-B,48-54764-S,60-23156-B
outstandingly able individual	9-6038-S
outstandingly good	6-58187-B
outstretched arms	23-4063-S
outstrip	60-24230-S
outstrips the older generation	23-66996-S
outward appearance	10-6806-B,16-50406-B
outward looking	16-45367-B
outward show and inner thoughts	56-46148-S
outward sign	34-52202-B
outwards	6-34014-S,7-50541-S
outwit the other	41-43222-S
outworn	27-13396-S
ouyang	35-30881-S
ouyang xiu 1007 1072	35-30943-B
ouyang xiu 欧阳修	24-28215-S
ouyang xun 557一641	66-36017-B
ouyang yuqian 1889 1962	66-35936-B
oval	11-25202-B,11-25250-B,11-25534-B,35-6857-B,35-6995-B
oval office in the white house	35-7046-B
oval shaped	55-60525-B
oval shaped ball rugby	35-339-S
oval window between middle and inner ear	11-25314-B
ovaltine milk drink popular in hong kong	66-11725-B
ovaries	56-19576-S
ovaries and testes	11-25797-B
ovary	11-25442-B,11-25483-B,19-1376-B
ovation	39-37240-S
oven	8-41411-S,24-19802-S,30-44083-S,40-41236-B,40-41274-B,40-41832-B,41-35473-B,47-57834-B
oven prc	40-42058-B
oven taiwan	40-42146-B
over	1-21589-S,1-63029-S,3-5620-S,3-66603-S,3-66773-S,3-66830-S,3-67006-S,3-71188-S,4-35683-B,4-53149-S,5-12298-S,5-50387-S,5-50387-S,5-54369-S,5-55092-S,5-55181-S,6-17051-S,6-46172-S,8-6302-S,8-61704-S,9-29733-S,10-64305-S,11-47981-S,11-49189-S,11-53770-S,13-28881-S,13-61666-S,15-33734-B,18-59350-S,19-36468-S,20-44882-S,20-50514-S,24-12792-S,24-55947-S,25-55896-S,26-42153-S,27-8163-S,27-11035-S,28-27322-S,28-28941-S,28-29077-S,28-29881-S,28-33851-S,28-34613-S,28-57730-S,28-61673-S,29-18761-S,29-32010-S,29-49288-S,30-31813-S,32-57318-S,33-46544-S,35-10322-S,35-25284-S,35-63137-S,39-2386-S,39-8552-S,39-41260-S,40-13625-S,41-34095-S,41-38655-S,41-38655-S,42-58033-S,44-4360-S,44-23423-S,45-10098-S,45-38345-S,45-39915-S,46-30586-S,47-26148-S,48-27179-S,48-44283-S,49-53928-S,50-42316-S,51-20733-S,51-20733-S,51-23366-S,51-23541-S,51-23880-S,51-33290-S,57-41482-S,57-43417-S,57-63426-S,58-32701-S,60-25465-S,60-27739-S,60-34032-S,60-40036-S,60-40311-S,60-54284-S,61-19789-S,61-19845-S,61-19845-S,61-20322-S,61-30606-S,61-38283-S,61-49863-S,61-63449-S,62-14903-S,62-34674-S,62-34674-S,62-42226-S,62-42346-S,62-42853-S,62-43541-S,62-43905-S,62-44635-B,62-47684-S,62-48136-S,62-59643-S,63-3405-S,63-12993-S,65-17277-S,66-37154-S,68-46118-S,68-46619-S,69-55620-S,70-50338-S
over 20	3-34762-B
over 20 years	3-34813-S
over a city gate	65-51494-S
over a dog s mouth	11-69139-S
over a fire	40-40775-S,40-44749-S,40-44798-S,41-12696-S
over a fire tea	40-41167-S
over a job on the next shift	28-26870-S
over a long period	30-15222-B,43-52116-S,69-7677-S
over a long period of time	31-11186-S
over a low fire tea	40-44917-S
over a minor issue 成语 saw	21-2182-S
over a new leaf	25-7300-S,29-46263-S,34-18590-S,44-14453-S
over a petticoat	18-10137-S
over a position or post	28-26328-S
over a river	12-43466-S
over a thousand miles 成语 saw	61-23724-S
over a wood fire	41-12854-S
over active	38-14325-B
over again	1-38143-S,8-8188-S,22-57903-S,27-11145-S,32-7818-S,63-61716-S
over ambitious	69-53399-B
over an area	29-30288-S
over an issue	63-48930-S
over an opponent	24-7044-S
over and over	11-47981-B,68-46118-B
over and over again	1-38143-S,8-8188-B,22-57903-B,27-11145-S
over and over of billows or clouds	51-22221-S
over and sewed again from topside	27-10238-S
over another to suit one s own convenience	18-59130-S,27-66056-S
over anxious	24-39702-B
over as communal property	7-60658-S
over as qing dynasty in 1644	24-2637-S
over as surety	8-5048-S
over as the qing dynasty in 1644	64-8410-S
over books	51-22480-S
over border post	65-54336-S
over bridges or underpass tunnels	47-60282-S,47-61990-S
over by ferry	62-46720-S
over by force	28-20179-S
over cautious	27-39514-B
over centuries	3-9894-S
over christian missionaries during the late qing	30-3201-S
over coals with a poker	29-11950-S
over compensate	46-2764-S,46-2943-S
over concerned	24-36346-B
over correct a defect 成语 saw	46-2764-S,46-2943-S
over critical	13-35409-B,58-8413-B
over difficulties	29-32010-S
over e g traffic	45-26004-S
over each other in their eagerness to 	41-39132-S
over elaborate document	50-37370-S
over every ounce	30-37613-S
over face to face	68-1049-S
over food	9-29893-S
over for him	19-38409-S
over for sb	28-24729-S
over fortune	62-56008-S
over france	37-33275-S
over from a banquet	27-10032-S
over from one another	32-8368-S
over gate	65-51593-S
over hasty conclusion	62-46133-B
over heels	26-49300-S,27-10840-S,60-38539-S,60-48727-S,60-48834-S
over heels in love	46-62766-S
over hills and dales	39-37941-B
over in layers	44-1129-S
over in one s mind	11-48038-S,24-54511-S,24-56312-S,24-56577-S
over in one s mind 成语 saw	21-58646-S
over indulgence in wine and women	37-6297-B
over inheritance	2-42132-S
over it	46-34518-S
over leisurely instead of riding in a carriage	19-30227-S
over long distance	40-43860-S
over manure	5-59714-S
over many years	29-60845-S,62-21748-B
over minor matters	30-37613-S
over nature	4-8138-S
over obstacle	53-20866-S
over of billows or clouds	51-22221-S
over of personnel	43-8664-S
over of river in winter	20-33544-S
over of water or land	20-32483-S
over on side	61-19789-S
over one billion	10-45743-B
over one by one	71-38140-S
over one s body	61-30606-S
over one s desk studying or writing	4-53731-S
over one s hand	51-21218-S
over one s mistakes	65-28666-S
over one s own case	18-48472-S
over one s own ideas	6-2105-S
over one s palm	11-49457-S
over others	51-68757-S
over payment	8-43766-S
over people	5-6225-S
over praise	62-47304-S
over price	57-62243-S
over reasons and connection	24-54266-S
over red characters as a method of learning to write	28-36152-S
over road bridge	60-39900-S
over rooftops of robbers and pursuing knight errant 俠客 侠客 in fiction	60-54554-S
over sb	61-55774-S
over sb s death	13-31869-S,25-9744-S
over sb s head	20-52736-S
over seventy years old	22-49995-B
over sinister forces	4-54634-S
over some difficulty	37-58714-S
over spilt milk	31-4488-S,32-17116-S,32-17315-S
over sth	9-55423-S,24-7914-S,29-42166-S,40-18480-S,49-39497-S,51-67504-S
over sth a hundred times	44-53818-S
over sth repeatedly	28-55637-S
over sth that happened	11-48038-S
over sth that should have happened	25-16325-S
over telephone	62-13904-S
over ten thousand	1-45316-B
over the arm	27-63799-S
over the body	39-8613-S,62-42663-S
over the face of a corpse	68-2196-S
over the fundamental	32-64677-S
over the household	17-63223-S
over the job	28-46705-S
over the kitchen 成语 saw	60-25771-S
over the last 180	48-13034-S
over the last years	22-47415-B
over the limit	60-21670-S
over the line	8-43933-B
over the money to cover sth	4-542-S
over the nationalists in 1949	57-49147-S
over the past and future	24-54266-S
over the place	6-47257-S,14-52646-S,31-31406-S,62-42399-S
over the place 成语 saw	14-51661-S
over the radial artery where pulse is taken in traditional chinese medicine	20-31477-S,36-27004-S,52-29356-S
over the sanggan river	17-61554-S
over the shoulder	1-42512-S
over the top you exaggerate	32-56503-B
over the whole body	62-42608-B
over the whole country	18-49081-S
over the wire	62-13084-S
over the world	3-51501-S
over the worries of long departed people 成语 saw	32-17116-S,32-17315-S
over the years	32-1451-B,35-52591-B
over though not cold	2-6094-S
over time	3-9791-B,37-27875-S,38-30347-S,47-39267-S,49-25201-S
over to	1-45851-S,4-26481-S,60-10174-S,61-21259-S
over to new products	61-25754-S
over to the next workshift	3-70915-S
over water	36-37880-S
over when asleep	16-52134-S
over with cuts and bruises	62-42714-S
over with talent esp literary	26-38405-S
over 成语 saw	15-55030-S,70-8275-S
overage	60-25271-B
overall	7-40080-B,7-42531-B,17-41891-B,30-16999-B,50-31603-B,50-36491-B,62-11735-B
overall amount	50-35973-B
overall analysis of the illness and the patient s condition	61-38497-S
overall character	7-71765-B
overall charge	50-32205-S
overall excellence	7-33940-B
overall guidelines	50-33506-B
overall knowledge	62-14028-B
overall length	7-42395-B
overall plan	49-52817-S
overall plan taking into account all factors	49-52905-S
overall situation	7-36261-B
overall surface area	50-36160-B
overall survey	50-30570-S
overall tonnage of a shipping fleet or company	50-32723-B
overall vision	33-14314-S
overbearing	1-74252-S,3-66530-B,6-32582-B,6-32986-B,13-21082-B,45-5553-B,69-57467-B
overbearing nor servile	1-66746-S
overboard	54-50114-B
overboard 成语 saw	9-14997-S
overbook	60-24727-S
overcast	4-68278-B
overcast sky	66-23847-B
overcast weather	66-23523-B
overcautious	45-60420-B,61-43967-B
overcautious and unimaginary	14-49300-B
overclocking	60-24636-B
overcoat	17-34669-B,36-17571-B,65-60517-B
overcome	4-53149-S,7-14418-S,47-51931-S,60-27739-S
overcome a deficiency	16-22101-S
overcome an obstacle quickly	56-40039-S
overcome hardships etc	7-16897-S
overcome with boredom	44-55141-B
overcome 成语 saw	47-40461-S
overcomes any difficulty	36-43354-S,39-33050-S,39-33298-S
overcoming adversity	9-15402-S
overcooked	41-36377-B,52-26263-B
overdo it	43-59217-S,62-48737-S,62-64661-S
overdose	62-48544-B
overdose of drugs	32-44150-B
overdose one supplementary medicine	25-23230-S
overdraft	62-624-S
overdue	62-46395-S
overdue payment	57-63636-S
overdue tax	56-58375-S
overestimate one s capabilities	2-26497-S,56-6180-S
overfill	29-5606-S
overflow	36-53308-S,38-36658-B,39-18540-B,39-18570-B,39-30354-B,39-55977-B,56-35596-S,57-28358-S
overflow the banks	36-55104-S,37-36174-S
overflow with riches	6-65434-S
overflowing	29-25342-S,39-18611-B,39-39646-S,39-40006-S,40-16483-B,45-3423-B
overgrown	11-66913-B,55-7363-B,55-8375-B
overgrown gate	55-8601-B,55-8670-B
overgrown with grass 成语 saw	54-15163-S
overgrown with weeds	55-16137-B
overhang	26-1966-B
overhanging eaves 成语 saw	15-50613-S
overhaul	5-48656-S,35-12601-S,51-21065-S
overhead	1-54636-B,1-56597-B,70-16186-B
overhead walkway	17-48717-B
overhead with both hands	26-53123-S
overheat e g an economy	62-47098-S
overheating	42-14919-B
overhung door	12-44990-S
overijssel	1-55184-B
overjoyed	35-32128-B,44-14183-B
overjoyed at unexpected good news	14-8065-B
overjoyed at unexpected good news 成语 saw	14-7241-B,17-10423-B
overjoyed 成语 saw	34-47242-B
overladen with flowers	55-15482-B
overlaid seam	28-60112-B
overland	49-62575-B
overlap	18-8143-S,57-4892-S
overlap of chinese gown	57-10692-B
overlapping	18-9467-B,57-4892-B,63-62749-B,64-1687-B
overlapping images	63-58549-B
overlapping joint	28-59573-B
overlapping part of chinese gown	46-52214-S,56-49099-B,56-49191-B
overlay	44-1193-B
overlayed images	18-8639-S,18-9912-S
overlearned	62-44728-B
overload	62-48393-B
overlook	5-50346-B,24-45251-S,52-55987-S,63-3094-S
overlook sb s past mistakes	2-1605-B
overlooked or non confirmable	41-34232-S
overlord	67-48896-B,67-49373-B
overlord and you control his vassals	28-1416-S
overlord and you control the whole country	28-1260-S
overly	62-43712-B
overly fearful	33-13429-B
overly suspicious	44-4732-B
overnight	19-66781-S,43-49297-S,62-9322-B,62-44356-B
overnight celebrity	1-23164-S
overpower	9-10827-S,16-32511-B,26-45462-S
overpraise	58-58381-S
overrate one s own abilities	2-26384-S
overreach itself	51-64742-S
overreaching oneself	4-36415-S
overripe	41-36377-B
overrule	69-46524-B
overruled or changed	2-15204-S
overseas	15-3688-B,38-1818-S,38-17686-B
overseas chinese	54-31877-B
overseas powers 成语 saw	21-42451-S
oversee	45-9726-S,45-10098-B,45-56148-S,45-56531-S,57-42788-S
overseer	43-59803-B,45-9089-S
oversensitive	16-57402-B,24-36648-S,46-60804-B
overshoes	18-10764-B
oversight	45-39717-S,58-30556-S,60-12749-S
oversimplification	62-43442-B
oversimplify	62-43442-B
oversize	17-60810-B
oversize frame	22-33261-B
oversleep	45-55491-B
overspend	60-20780-S
overstated	58-19404-B
overstep	60-19872-S
overstep bounds	8-46045-S
overstep the limit	60-24297-S,60-26245-S
overstep the norm	8-37314-S
overstepping the bounds	67-63263-B
overstepping the prescribed limits	2-32369-S
overstepping the rails	60-27669-B
overstock	47-38984-S
oversubscribed	60-24794-S,60-24871-S,60-24959-B
oversubscribed share	60-25017-S
overt	10-55184-S,16-3065-B
overtake	60-19642-B,60-28549-S,60-28626-S,60-28706-S,60-29167-S,61-56236-B,61-60343-S
overtake another car	60-24114-S
overthrow	5-60303-S,6-49091-S,9-17339-S,26-48026-S,28-31747-B,51-21137-S,66-50962-B
overthrow a former regime	39-26260-S
overthrow the government	66-25115-S
overthrow the state	41-11202-S,68-46789-S
overthrows tyrant zhou4 of shang	35-47974-S
overtime	9-56544-B,9-58173-S
overtone	37-36618-B
overtone singing	57-15160-S
overtone 成语 saw	23-34398-B
overture	22-59632-B
overtures to sb	31-63228-S
overturn	6-46034-S,6-49091-S,26-48026-S,51-20733-S,51-21137-S,57-28358-S
overturn a regime	68-46619-S
overturn the state	6-47257-S
overturned cart	24-1970-S
overturned cart 成语 saw	64-1165-S
overturning fist martial art	51-21504-S
overturning heaven and earth 成语 saw	30-69909-S
overview	2-16755-S,34-38039-B,50-35819-S,57-42788-S,70-50420-S
overweight	44-10276-S,52-51980-S
overweight baggage	60-24398-B
overweight luggage	62-48488-B
overweight person	52-19564-B
overwheening attitude	14-43916-B
overwhelm	9-10827-S
overwhelmed by favor from superior humble expr 	11-61260-B
overwhelmed by new experiences and luxurious surroundings	9-41574-S
overwhelmed with joy	38-34353-B
overwhelmed with work or things to study	6-48408-S
overwhelming	16-32511-B,16-32566-B,32-46433-B,38-11053-B
overwhelming flood	5-58848-B,51-22061-B
overwhelming joy or sorrow	64-34453-S
overwhelming majority	1-22555-B,49-45844-B,49-45938-B,49-46293-S
overwhelming sadness 成语 saw	71-45868-B
overwinter	60-26165-S
overwork	21-53734-B
overwork as a medical condition	62-43818-B
overwork 成语 saw	47-38880-S
overworked	44-16860-B
oviduct	61-17681-B
oviedo asturian uviéu	18-16144-B
oviraptorosaurus egg stealing dinosaur	47-60012-B
ovis ammon	51-14909-B
ovulate	28-15661-B
ovule	52-19857-B
ovum	11-25164-B,11-25404-B,11-63686-S
ovum in uterus	54-53913-S
ovum to the uterus	39-27828-S
ow	13-41276-B
owari no kuni	21-15018-S
owari or owari no kuni	21-15018-B
owe	5-64020-B,35-19771-B,58-16475-B,62-0-B
owe nothing	2-29454-S
owen name	35-27963-B
owing to	14-60970-B,26-60379-B,43-38789-B
owl	17-1846-B,17-1846-S,34-14900-B,59-28355-B,70-54763-S,70-54795-S,70-56318-B,70-57049-B,70-59062-S
owl genus otus	57-46778-S,70-52993-S
owl tyto capensis	54-15971-S
own	3-3565-S,5-1810-S,8-12180-S,12-30061-S,14-19609-S,19-13058-S,26-13188-S,26-28688-S,27-42533-S,27-53744-S,29-24445-S,34-44394-S,40-46343-S,42-19607-S,53-1235-S,53-4750-S,53-5098-B,53-5255-S,53-14922-S,58-22621-S,62-3240-S
own abilities	2-21246-S,2-26384-S
own actions	53-6707-S
own and what s another s	1-71497-S
own backyard	59-10542-S
own benefit	27-26553-S,68-25473-S,68-25632-S
own blood	56-25322-S
own business	3-56645-S,21-4883-S,37-20133-S
own business and keep out of trouble	39-57461-S
own case	18-48472-S
own children praise for a virtuous ruler	25-35817-S
own convenience	18-59130-S,27-66056-S
own convictions	62-57055-S
own country	15-11820-S,32-61845-S
own course	40-56204-S,68-22053-S
own court	51-47597-S
own currency	32-61017-S,32-63237-S
own decisions	53-62-S
own department or unit	32-60781-S
own destiny etc	3-3755-S
own destruction	16-63216-S
own devices	7-69294-S,40-46343-S
own devising	5-8584-S,12-60842-S,62-18834-S
own ears	57-40435-S
own effort	3-29873-S
own effort 成语 saw	53-1480-S
own expense	53-14794-S
own eyes	45-17047-S,45-18367-S,57-40237-S
own face	26-41942-S
own family if justice demands it	17-31103-S
own family praise for a virtuous ruler	25-33290-S
own father	23-25482-S
own faults	45-14851-S,45-15577-S
own feet	53-12814-S
own feet and strive to become stronger	53-5523-S
own flag	42-19607-S
own flesh and blood	56-25118-S,57-37612-S
own flesh and blood 成语 saw	56-28630-S
own goal	40-40345-B
own good	51-64742-S
own hands	57-39380-S,60-25771-S
own handwriting	57-40301-S
own ideas	6-2105-S
own ingenuity 成语 saw	51-64742-S
own initiative	53-295-S,53-13729-S
own interests	53-14980-S
own lies	53-7215-S
own life to lead	12-29209-S
own light	52-16828-S
own merits	21-9175-S
own nest	43-29895-S
own old broom	30-5968-S
own opinion 成语 saw	12-29586-S
own people	53-5158-S
own petard	5-8584-S,12-60842-S,62-18834-S
own pocket	47-12255-S
own profession	32-66554-S
own profit 成语 saw	23-65428-S
own reporter claimed by the paper authority	32-62606-S
own respective	8-4315-S
own role	53-4294-S
own school	42-19607-S
own selfish interest	47-11996-S
own success	12-59425-S
own throat	53-1402-S
own time	17-20304-S,17-20517-S
own trumpet	53-3557-S
own up	2-29576-S
own up to a fault	58-22310-S
own use	6-622-S
own view	12-29047-S,12-29502-S
own volition	60-55228-S
own way	1-8894-S,29-52527-S,42-21881-S
own way 成语 saw	12-29209-S
own wife	51-26720-S
own wishes or interests to serve sb else s	61-45062-S
own wishful thinking	1-8241-S,1-15485-S
own wrong doings	15-65918-S
owned	7-60523-S,15-9650-S,15-9650-S,47-12641-S,47-12984-S
owned business	15-9732-S
owned often by foreign company	42-21739-S
owned subsidiary	7-41688-S
owner	12-56131-S,15-38318-S,18-23157-S,19-37869-S,22-61423-S,23-7476-S,26-28751-B,26-29082-B,26-46744-S,27-54456-S,34-32211-B,41-52751-B,45-31947-S,59-33603-S
owner of a car for sale	9-24401-S
owner of lost property	17-64200-B
owner peasant	10-60015-S
owners	23-7727-S,27-19832-S
ownership	7-60596-S,26-27157-S,26-28812-S,26-28926-B
ownership of property	47-12697-S
ownership of stolen goods	58-6405-S
ownership of the means of production in marxism	26-28812-B
ownership or right	59-33658-S
owning class	16-36114-S
owning classes	15-38370-S
owning society precedes feudal society 封建社會 封建社会 in marxist theory	18-23321-S
ox	15-31540-S,15-31635-S,41-47344-B,41-62735-S,42-1441-B,42-1681-S,42-1729-S,42-1949-S,71-10518-S,71-21604-B
ox already cut up into joints 成语 saw	45-17560-S
ox enters the sea 成语 saw	37-43366-S
ox horns	42-1266-B
ox or bull e g 2009	41-47637-S
ox sweat or to fill a house to the rafters 成语 saw	36-56606-S
ox yoke placed on the horns	34-27147-B
oxacillin	25-19999-B,25-20051-B
oxalic acid c2h2o4	54-15791-B
oxalis	63-47456-S
oxazine c4h5no	14-33720-B
oxbridge	9-44190-B,41-47786-B
oxen and horses	41-49617-B
oxfam oxford committee for famine relief	34-48741-B
oxford	4-58397-S,41-47786-S,41-48019-S
oxford city in england	41-47961-B
oxford committee for famine relief	34-48741-S
oxford 牛津 universities	9-44190-S
oxfordshire english county	41-48094-B
oxidant	36-32315-B
oxide	1-13458-S,3-38296-S,36-32383-B,36-32518-S,36-32577-S,36-32636-S,36-32695-S,36-32751-S,36-35312-S,43-5923-S
oxide cao	43-28157-S
