huan cheng	28-45791-B,43-4928-B
huang2 shi4	44-60889-B
huang2 shu3 lang2	71-25864-B
huang2 shu3 lang2 gei3 ji1 bai4 nian2	71-25964-B
huang2 shui3	56-19623-S,71-20317-B
huang2 shui3 jing1	71-20428-B
huang2 su4	33-63771-S,55-61166-S
huang2 suan1	41-48407-S
huang2 suan1 na4	3-39908-S,40-43110-S
huang2 suo3	23-49723-S
huang2 tai4 hou4	44-60429-B
huang2 tai4 zi3	44-60371-B
huang2 teng2 da2	69-1410-S
huang2 ti3	71-25014-B
huang2 ti3 qi1	71-25112-B
huang2 tian1 hou4 tu3	44-60297-B
huang2 tie3 kuang4	71-24536-B
huang2 tong2	71-24494-B
huang2 tu3	71-17519-B
huang2 tu3 bei4 chao2 tian1	68-2521-S
huang2 tu3 di4	71-17602-B
huang2 tu3 di4 mao4	71-17674-B
huang2 tu3 gao1 yuan2	71-17744-B
huang2 wei4	44-59701-B
huang2 wu3 di4	1-38373-S
huang2 xian4	19-50915-S,60-3837-S,70-51873-S
huang2 ya1	71-25342-B
huang2 yan2 dao3	71-18556-B
huang2 ye4	71-24722-B
huang2 ying1	71-25522-B
huang2 you2	71-20798-B
huang2 you4	71-26164-B
huang2 yu2	17-42672-S,48-62679-S,71-25240-B
huang2 yu2 pian4	48-62764-S
huang2 yu4	71-21773-B
huang2 yuan2 jiao1	71-17272-B
huang2 yuan2 suan1 yan2	71-17394-B
huang2 yue4	44-39629-S
huang2 yun4 dong4	28-11634-S
huang2 zhi1	16-3065-S
huang2 zhong4 ren2	71-22143-B
huang2 zi3	44-60848-B
huang2 zi3 sun1	40-28804-S
huang2 zu2	44-61802-B
huang2 zuo4	70-51802-S
huang3	22-33983-B,23-51055-S,24-66660-B,24-68151-B,29-8444-S,31-43004-B,34-39993-B,39-27056-B,41-11402-B,44-64145-B,55-54309-S,57-27609-S,58-33633-S,58-52552-B,64-26571-S,64-53172-B
huang3 bao4	58-52588-B
huang3 dong4 zu2 zi4 zhi4 xian4	30-49430-S
huang3 hu1	24-68208-B,24-68279-B,48-55652-S
huang3 hua4	58-52669-B
huang3 huang3	64-26571-S
huang3 ran2 da4 wu4	24-68348-B
huang3 yan2	1-13879-S,14-3491-S,39-36234-S,58-52630-B
huang3 zhe3	58-33695-S
huang3 zi5	22-34024-B
huang4	28-54160-S,31-43035-B
huang5	69-4802-S
hui	1-4005-S,1-10849-S,1-11104-S,1-32741-S,2-15138-S,2-29823-S,2-38103-S,2-40895-S,2-41005-S,2-51045-S,2-53940-S,2-54416-S,2-55253-S,2-56109-S,2-56774-S,2-57810-S,2-58773-S,2-59889-S,2-60155-S,2-60391-S,2-60648-S,2-61549-S,2-63928-S,2-64411-S,2-65675-S,2-65966-S,2-66122-S,2-80134-S,3-44936-S,3-58656-S,3-61229-S,3-64452-S,3-67103-S,3-68155-S,4-30015-S,4-56164-S,5-17354-S,5-20547-S,5-47985-S,5-49607-S,6-2105-S,6-57768-S,6-63824-S,7-9080-S,7-13250-S,7-22389-S,7-35145-S,7-35639-S,7-37744-S,7-45776-S,7-60483-S,7-64135-S,7-65629-S,8-8982-S,8-16081-S,8-16574-S,8-54361-S,9-35543-S,9-35874-S,10-21072-S,10-37629-B,10-38173-S,10-41436-S,10-54289-S,10-54379-B,10-64628-S,10-67842-S,11-10004-S,11-48269-S,11-61420-S,11-64797-S,12-10116-S,12-48644-S,12-50415-S,12-58601-S,13-12452-S,13-23268-S,13-59598-S,14-6541-B,14-25454-S,14-28087-S,14-28194-S,14-29679-B,14-33858-B,14-34678-S,14-50881-S,14-54252-B,14-54862-S,15-3830-S,15-5463-S,15-5708-S,15-6250-S,15-6417-S,15-6652-S,15-7023-S,15-7572-S,15-8610-S,15-9309-S,15-13746-S,15-15394-S,15-15726-S,15-15843-S,15-16479-S,15-16575-S,15-18224-S,15-18775-S,15-18981-S,15-19118-S,15-19717-S,15-20582-S,15-20795-S,15-21096-S,15-29090-S,15-62159-S,15-62525-S,15-69640-S,16-1645-S,16-9540-S,16-26006-S,16-45225-S,17-1532-S,17-6926-S,17-20438-S,17-20704-S,17-37048-S,17-39679-S,17-43504-S,17-45247-S,18-8498-S,18-13427-S,18-15050-S,18-15163-S,18-16698-S,18-23321-S,18-35812-S,18-41197-S,18-54567-S,19-4940-S,19-12166-S,19-17900-S,19-18727-S,19-24065-S,19-24283-S,19-28481-S,19-31068-S,19-60117-S,20-12972-S,20-33389-S,20-36848-S,20-61434-S,20-63816-S,20-69128-S,21-22763-S,21-22975-S,21-40178-S,21-43943-S,21-45128-S,21-51021-S,21-51802-S,21-55476-S,22-28380-S,22-30145-S,22-30579-S,22-35952-S,22-42421-S,22-48810-S,22-65153-S,23-4495-B,23-17829-S,23-52704-B,23-52800-B,23-68171-S,24-3664-S,24-13889-S,24-14601-S,24-26024-S,24-30112-B,24-40189-S,24-42452-S,25-139-B,25-166-B,25-292-B,25-2226-S,25-5808-B,25-7035-B,25-17384-B,25-51234-B,25-52443-S,25-61994-S,26-3248-S,26-40825-S,26-52842-S,26-57085-S,26-59702-S,27-19401-S,27-30227-S,27-41870-S,27-45787-S,27-53744-S,27-59067-S,28-602-S,28-36251-S,28-49382-B,28-52629-S,28-55238-S,28-65261-S,29-9325-S,29-9549-B,29-9974-S,29-10896-S,29-19793-S,29-40493-S,29-51186-S,30-1536-S,30-3098-S,30-4608-S,30-5444-S,30-8575-S,30-44257-S,30-49603-S,30-54655-S,30-54737-S,30-70187-S,31-9023-S,31-45115-S,31-46541-B,31-56981-S,31-59006-B,32-21986-B,32-22157-S,32-25035-S,33-4695-S,33-53249-S,34-29508-S,34-46448-B,34-48741-S,34-55773-S,35-3534-S,35-30059-S,35-30519-S,36-2530-B,36-4274-S,36-63255-S,37-1448-S,37-27118-S,37-32054-S,37-49384-B,38-16332-S,38-17575-S,38-18302-S,38-18430-S,38-26610-S,38-27100-S,38-31518-S,38-46272-S,39-4327-S,39-31091-B,39-45700-S,40-3905-S,40-8143-B,40-20894-S,40-25273-B,40-31255-S,40-45463-S,40-51599-S,41-33-B,41-2684-S,41-5814-S,41-7938-S,41-15868-S,41-27106-S,41-33516-B,41-33712-B,41-57737-S,41-58614-S,41-63504-S,42-46452-S,42-53545-S,42-55441-S,43-4418-B,43-28157-S,44-13481-B,44-26385-S,44-27349-S,44-28751-S,44-29645-S,44-55897-S,44-61095-S,45-5255-S,45-24457-S,45-29467-S,45-34260-S,45-58620-S,46-8411-S,46-14920-S,46-21348-S,46-47866-S,46-53047-S,46-63799-S,47-41340-B,47-52464-S,47-61461-S,48-17482-S,48-34861-B,49-5608-S,49-8648-S,49-9857-S,49-18055-S,49-22586-S,49-38598-S,49-55358-B,50-10640-S,50-41335-B,50-41779-B,51-2817-S,51-3639-S,51-5233-S,51-11252-S,51-14407-S,51-19772-B,51-21590-S,51-24191-B,51-41109-S,51-41275-S,51-41595-S,51-42152-S,51-54685-S,51-58425-S,51-58561-S,51-60143-S,51-61951-S,51-64275-S,51-64512-S,51-68621-S,52-75-S,52-1908-S,52-39632-S,53-9307-S,53-22426-S,53-22811-S,53-32592-S,53-34049-S,53-50025-B,53-54605-S,54-2134-S,54-2456-S,54-2550-S,54-10377-B,54-11095-S,54-11206-S,54-11612-S,54-35929-S,54-59134-S,55-15005-B,55-20776-B,55-37147-S,55-57422-B,55-57466-B,55-58324-B,55-61425-B,56-10472-S,56-10837-S,56-17537-S,56-17958-B,56-34953-S,56-37842-S,56-38861-S,57-7027-B,57-7762-B,57-44479-S,57-63483-S,57-66888-S,57-66971-S,58-6133-S,58-8202-S,58-9530-S,58-11255-S,58-17874-B,58-23208-S,58-25316-S,58-30378-S,58-30999-B,58-32419-S,58-46829-B,58-59762-S,59-2429-B,59-3513-S,59-12960-S,59-22694-B,59-43043-S,59-45085-S,59-50594-B,59-58172-S,60-744-S,60-1475-S,60-4696-S,60-9578-S,60-32671-S,60-42336-S,60-64843-S,61-4449-S,61-13879-B,61-15889-S,61-16913-S,61-21996-S,61-40809-S,61-43169-S,61-45733-S,61-49390-S,61-53132-B,61-57137-S,61-57215-S,61-57333-S,62-10429-S,62-37974-S,62-39263-S,63-1148-S,63-7483-S,63-20782-S,63-22080-S,63-23474-S,63-27564-S,63-39790-S,63-57039-S,64-3425-S,64-29288-S,64-33872-S,64-58763-B,65-6555-S,65-18796-S,65-26460-S,65-28090-S,65-37438-S,65-57787-B,66-15855-S,66-37475-S,66-41949-S,66-48128-S,66-49773-S,66-50962-B,66-58379-S,67-5132-S,67-26566-S,67-31416-S,67-55367-S,68-3234-S,68-13305-S,68-14477-S,68-34671-S,68-51088-S,68-58368-S,69-25636-S,69-27235-S,69-27813-S,69-28196-S,69-28427-S,69-46524-S,70-723-S,70-7485-S,70-13931-S,71-16597-B,71-24313-S,71-32220-S,71-44971-S
hui Da xue	19-28560-S
hui Jing	14-54456-B
hui Lian he hui	69-27235-S
hui an	31-46582-B
hui bai	14-55486-B,40-25935-B
hui bai se	40-25988-B
hui bang	27-59315-S,36-2941-B
hui bao	10-38220-B,14-55027-B,23-52839-B,30-27878-S,50-32817-S
hui bao xian	46-48266-S
hui ben xi	61-43243-S
hui bi	14-57954-B,61-53301-B
hui bian	10-38994-B,23-53163-B,32-25555-B
hui bian yu yan	10-39086-B
hui bing	14-57062-B
hui bo	14-56744-B,14-58738-B,34-16047-S
hui bu	27-7852-S
hui bu hui	32-22157-B
hui cai	14-55541-B
hui cai fu	26-45192-S
hui chan quan	31-57031-S
hui chang	8-54401-S,14-57381-B,32-22746-B,55-15751-S
hui chang yan	61-14396-B
hui che	14-57839-B
hui che jian	14-57893-B
hui chen	40-25304-B
hui cheng	14-57015-B,58-46941-B
hui chi yang	40-26125-B
hui chu	10-37881-B,36-2989-B
hui chu bei	16-45286-S
hui chu hang	10-37991-B
hui chuan qi	63-27630-S
hui chun	18-35667-S
hui cui	55-20807-B
hui da	14-57129-B
hui da sha	15-9367-S
hui dai kuan	6-57876-S
hui dan yuan	3-64021-S
hui dang	7-35352-S,14-57623-B,31-9184-S,46-49888-S
hui dao	14-54614-B,52-28093-S
hui di qu	24-26107-S
hui dian	10-39574-B
hui diao	36-2735-B
hui dong	28-49482-B
hui dong luan	46-48447-S
hui dui	10-37740-B
hui er	62-43013-S
hui fa	28-50186-B
hui fa ting	21-51062-S
hui fa xing	28-50238-B
hui fa xing cun chu qi	28-50293-B
hui fa you	27-67455-B
hui fang	14-57784-B
hui fei	10-39485-B,32-25598-B
hui fen jie	58-9625-S
hui fen xi duan kou	21-51856-S
hui fou	32-22432-B
hui fu	14-55184-B,25-342-B,26-49604-S,53-2318-S
hui fu ran	35-58140-S
hui fu wu	46-49070-S
hui fu yuan zhuang	25-443-B
hui gai	25-7158-B
hui gan	28-49724-B
hui gang	41-2731-S
hui ge	28-49596-B
hui gong gong li yi	46-48354-S
hui gong zuo	46-48858-S
hui gong zuo zhe	46-48926-S
hui gu	14-58498-B,25-18649-B,56-18011-B
hui gu bu zhi chun qiu	56-18065-B
hui gu li shi	14-58553-B
hui guan	15-65767-S,27-59204-S,42-51563-S
hui guan huai	46-49748-S
hui guan tong	56-10915-S
hui guan xi	46-49817-S
hui gui	14-56359-B
hui gui nian	14-56572-B
hui gui xian	10-29622-S,10-68755-S,14-56692-B
hui gui zhong guo	14-56479-B
hui guo	14-54962-B,25-7253-B,32-20875-S
hui guo dai yu	32-20954-S
hui guo rou	14-58121-B
hui guo you	14-58183-B
hui guo zi xin	25-7300-B
hui han cheng yu	28-50088-B
hui han ru yu	28-49993-B
hui hao	24-30544-B,28-49770-B
hui hao sa mo	28-49862-B
hui he	10-38095-B,14-54776-B,16-55024-S,32-22275-B,70-782-S
hui he chu	32-22327-B
hui hen	25-7064-B
hui hua	10-38051-B,32-25280-B,46-8557-S,46-48518-S,50-41934-B
hui huai	36-2656-B
hui huan jing	46-49404-S
hui huang	61-14059-B,64-13284-S
hui hui	10-38173-B,14-54862-B
hui hui yi	18-41252-S
hui hui zhang	50-33710-S
hui huo	14-56863-B,28-50565-B
hui huo wu du	28-50657-B
hui ji	10-38292-B,14-55661-B,23-53300-B,24-30608-B
hui jia	10-37693-B,14-55136-B,27-59259-S
hui jia gong	9-23822-S,24-1597-S
hui jia zuo	50-41867-B
hui jian	14-57691-B,32-24712-B
hui jie	51-48607-S
hui jie duan	9-24032-S
hui jin	2-65870-S,10-39533-B,40-25841-B,41-58744-S
hui jin ru tu	28-50441-B
hui jing	14-55832-B
hui ju	10-39231-B
hui jue	14-57230-B
hui jun	67-68262-S
hui ke	32-23129-B
hui ke xue	46-49487-S
hui ke xue yuan	2-61906-S
hui kou	14-58012-B
hui kuan	10-38578-B
hui kui	14-58630-B
hui lai	14-54515-B,58-15897-S,58-16195-S
hui lai qu	5-17460-S
hui lai qu de	5-17556-S
hui lai xing	36-2581-B
hui lei	27-67533-B
hui lie quan	40-25880-B
hui ling	40-26211-B
hui ling dun	25-18568-B
hui liu	10-38684-B
hui liu huan	10-38748-B
hui long	10-38330-B
hui lou	32-24357-B
hui lu	59-50630-B
hui lu zhuan	21-39900-S
hui lu:	10-38897-B
hui lu: yan	61-14266-B
hui mian	32-25790-B
hui mie	36-2817-B
hui min zhu dang	46-49313-S
hui min zhu zhu yi	46-49220-S
hui ming	58-46879-B
hui ming liu	46-48633-S
hui mou	14-56940-B
hui mu	32-23419-B
hui ni	40-25746-B
hui pan duan	58-9701-S
hui pan duan fa	58-9969-S
hui pan duan ren wu	19-5013-S,58-9773-S
hui pan duan zuo ye	58-9871-S
hui piao	10-38943-B
hui pu	25-17931-B
hui qi	32-24213-B
hui qi dao	65-28138-S,65-37530-S
hui qin	54-10414-B
hui qu	14-54730-B
hui quan	6-57824-S
hui r	1-10931-S,1-11145-S,48-17555-S,62-5564-S
hui ru	10-37813-B
hui rui	61-14112-B
hui sa	27-67601-B
hui se	31-46630-B,38-50929-S,40-26040-B,53-43799-S
hui shan	15-9429-S
hui shang	32-22595-B
hui she	32-24545-B,33-54477-S,47-22165-S
hui shen	32-23242-B,51-55126-S
hui sheng	14-54657-B,14-57270-B,19-28630-S,60-17020-S
hui sheng ding wei	14-57310-B
hui shi	2-19338-S,5-37189-S,14-57740-B,24-26198-S,28-49540-B,30-49672-S,32-22821-B,32-23335-B,32-25212-B,43-66415-S,46-8503-S,51-41668-S,51-42227-S,61-14183-B
hui shi kao shi	32-22959-B
hui shi r	43-66574-S
hui shou	14-55739-B,14-58672-B,28-49648-B,32-25849-B
hui shui	10-38635-B
hui si	32-24318-B
hui su	14-56809-B
hui sun	36-2777-B
hui suo	42-33841-S
hui tan	7-67542-S,13-22453-S,32-25326-B,53-50755-S,53-50932-S
hui tang	4-12350-S,10-25596-S,32-22685-B,42-14713-S
hui tiao	14-56290-B
hui tong	32-22376-B
hui tong lu	58-10056-S
hui tou	14-58416-B,29-65932-S,38-11568-S
hui tou tu lian	40-26294-B
hui tu	50-41818-B,67-35574-S
hui tuan ti	46-48713-S
hui wen	14-55911-B
hui wen zhen	14-57174-B
hui wu	25-7116-B,28-50385-B,32-24157-B,53-32641-S,69-23224-S
hui wu yi	59-39742-S
hui xian	30-49741-S
hui xiang	7-52828-S,14-55268-B,14-58301-B,15-32340-S,17-33482-S,20-70102-S,54-10513-B
hui xiang guo	55-31675-S
hui xiang zi	17-33552-S,54-10574-B
hui xie	58-17915-B
hui xin	14-54564-B,40-25600-B
hui xin sang qi	40-25659-B
hui xing	13-40859-S,23-52732-B,46-49018-S
hui xing dong	46-49676-S
hui xiong	40-25793-B
hui xuan	14-55955-B,61-53184-B
hui xuan chuan bu	2-54596-S
hui xuan jia su qi	14-56015-B
hui xue	7-51640-S,46-48804-S
hui xue ke	4-10390-S
hui yan	10-38846-B,40-25432-B,46-8449-S
hui yan can qiu	40-25493-B
hui yan chu	21-51148-S
hui ye cai jing ji tuan	10-38385-B
hui ye shou	14-58344-B
hui ye yin hang	10-38497-B
hui yi	7-35036-S,7-57263-S,12-10372-S,14-55331-B,15-23983-S,18-41252-S,23-58848-S,32-23505-B,32-25377-B,32-26236-S,37-41323-S,51-61316-S,56-33117-S,62-68902-S,63-23545-S,63-23708-S,67-37091-S,69-23298-S,70-13991-S
hui yi lan	24-34377-S
hui yi leng	24-34298-S
hui yi lu	14-55386-B
hui yi shi	32-25428-B
hui yi ting	32-25495-B
hui yi yuan	15-9487-S
hui yi zhang	15-9573-S
hui yi zi	32-23744-B
hui yin	32-25748-B
hui ying	14-55435-B,23-53009-B
hui you	32-22231-B
hui yu	36-63401-S
hui yu yin jia gong	9-23908-S
hui yuan	3-51597-S,32-22495-B
hui yuan guo	32-22536-B
hui yue	36-2870-B
hui zhang	24-30409-B,32-25635-B,50-33710-S
hui zhang tuan	32-25690-B
hui zhe	27-59366-S
hui zheng	23-52911-B
hui zheng yi	46-49149-S
hui zhi	24-30369-B,50-41984-B,59-3577-S
hui zhi li	2-31927-S
hui zhi yan	52-31432-S
hui zhong	32-24455-B
hui zhong xin	27-59132-S
hui zhu	23-53105-B,28-50735-B
hui zhu yi	21-57879-S,35-3594-S,46-47907-S,47-47161-S
hui zhu yi gong he guo lian meng	55-40595-S
hui zhu yi guo jia	46-47971-S
hui zhu yi jiao yu yun dong	46-48063-S
hui zhu yi zhe	46-48191-S
hui zhuan	61-53242-B
hui zong	10-39159-B,23-53228-B
hui zong xu qiu	46-49557-S
hui zu zhi wei yuan hui	18-15163-S
hui zu zi zhi xian	10-24980-S,23-38787-S,40-44210-S
hui zui	25-7209-B
hui1	6-2105-S,7-13250-S,14-25454-S,14-33858-B,15-8610-S,19-28481-S,24-30112-B,25-292-B,27-59067-S,28-49382-B,29-9549-B,29-51186-S,31-59006-B,33-4695-S,33-53249-S,38-31518-S,40-20894-S,40-25273-B,41-33-B,41-2684-S,41-5814-S,41-15868-S,43-28157-S,44-29645-S,45-58620-S,46-8411-S,49-22586-S,51-19772-B,53-34049-S,55-57422-B,56-38861-S,57-7027-B,57-7762-B,58-17874-B,59-22694-B,61-13879-B,64-29288-S,65-26460-S,66-50962-B,70-723-S,71-16597-B,71-24313-S
hui1 Da4 xue2	19-28560-S
hui1 bai2	40-25935-B
hui1 bai2 se4	40-25988-B
hui1 bang4	27-59315-S
hui1 bu4	27-7852-S
hui1 chang2 yan2	61-14396-B
hui1 chen2	40-25304-B
hui1 chi4 yang2	40-26125-B
hui1 dong4	28-49482-B
hui1 fa1	28-50186-B
hui1 fa1 xing4	28-50238-B
hui1 fa1 xing4 cun2 chu3 qi4	28-50293-B
hui1 fa1 you2	27-67455-B
hui1 fu4	25-342-B,53-2318-S
hui1 fu4 ran2	35-58140-S
hui1 fu4 yuan2 zhuang4	25-443-B
hui1 gan1	28-49724-B
hui1 gang1	41-2731-S
hui1 ge1	28-49596-B
hui1 guan1	15-65767-S,27-59204-S
hui1 han4 cheng2 yu3	28-50088-B
hui1 han4 ru2 yu3	28-49993-B
hui1 hao2	28-49770-B
hui1 hao2 sa3 mo4	28-49862-B
hui1 hao4	24-30544-B
hui1 he2	70-782-S
hui1 hua1	46-8557-S
hui1 huang2	61-14059-B,64-13284-S
hui1 huo4	28-50565-B
hui1 huo4 wu2 du4	28-50657-B
hui1 ji4	24-30608-B
hui1 jia1	27-59259-S
hui1 jie2	51-48607-S
hui1 jin1 ru2 tu3	28-50441-B
hui1 jin4	40-25841-B
hui1 lei4	27-67533-B
hui1 lie4 quan3	40-25880-B
hui1 ling3	40-26211-B
hui1 lu:4 yan2	61-14266-B
hui1 ni2	40-25746-B
hui1 rui4	61-14112-B
hui1 sa3	27-67601-B
hui1 se4	38-50929-S,40-26040-B
hui1 sheng3	19-28630-S
hui1 shi1	28-49540-B
hui1 shi2	46-8503-S,61-14183-B
hui1 shou3	28-49648-B
hui1 tou2 tu3 lian3	40-26294-B
hui1 wu3	28-50385-B
hui1 xie2	58-17915-B
hui1 xin1	40-25600-B
hui1 xin1 sang4 qi4	40-25659-B
hui1 xiong2	40-25793-B
hui1 yan2	40-25432-B,46-8449-S
hui1 yan2 can2 qiu1	40-25493-B
hui1 yi4 lan3	24-34377-S
hui1 yi4 leng3	24-34298-S
hui1 zhang1	24-30409-B
hui1 zhe3	27-59366-S
hui1 zhi1 li4	2-31927-S
hui1 zhi4	24-30369-B
hui1 zhi4 yan2	52-31432-S
hui1 zhong1 xin1	27-59132-S
hui1 zhu3	28-50735-B
hui2	1-4005-S,5-17354-S,10-38173-S,12-10116-S,14-54252-B,14-54862-S,21-51021-S,21-51802-S,22-28380-S,25-166-B,26-40825-S,28-602-S,29-10896-S,29-40493-S,30-70187-S,37-27118-S,37-49384-B,38-26610-S,44-13481-B,44-27349-S,52-39632-S,54-10377-B,55-58324-B,55-61425-B,57-44479-S,59-45085-S,60-4696-S,60-9578-S,61-15889-S,61-16913-S,61-21996-S,61-43169-S,61-49390-S,61-53132-B,63-57039-S,64-3425-S,66-37475-S,69-46524-S
hui2 Jing1	14-54456-B
hui2 bai4	14-55486-B
hui2 bao4	14-55027-B,50-32817-S
hui2 ben1 xi2	61-43243-S
hui2 bi4	14-57954-B,61-53301-B
hui2 bing3	14-57062-B
hui2 bo1	14-56744-B,34-16047-S
hui2 bo2	14-58738-B
hui2 cai3	14-55541-B
hui2 chang2	14-57381-B,55-15751-S
hui2 che1	14-57839-B
hui2 che1 jian4	14-57893-B
hui2 cheng2	14-57015-B
hui2 chun1	18-35667-S
hui2 da2	14-57129-B
hui2 dang4	14-57623-B
hui2 dao4	14-54614-B
hui2 fa3 ting2	21-51062-S
hui2 fang3	14-57784-B
hui2 fen1 xi1 duan1 kou3	21-51856-S
hui2 fu3	26-49604-S
hui2 fu4	14-55184-B
hui2 gu4	14-58498-B
hui2 gu4 li4 shi3	14-58553-B
hui2 gui1	14-56359-B
hui2 gui1 nian2	14-56572-B
hui2 gui1 xian4	10-29622-S,10-68755-S,14-56692-B
hui2 gui1 zhong1 guo2	14-56479-B
hui2 guo1 rou4	14-58121-B
hui2 guo1 you2	14-58183-B
hui2 guo2	14-54962-B
hui2 he2	14-54776-B,16-55024-S
hui2 hui2	14-54862-B
hui2 huo3	14-56863-B
hui2 ji1	14-55661-B
hui2 jia1	14-55136-B
hui2 jian4	14-57691-B
hui2 jing4	14-55832-B
hui2 jue2	14-57230-B
hui2 kou4	14-58012-B
hui2 kui4	14-58630-B
hui2 lai2 qu4	5-17460-S
hui2 lai2 qu4 de5	5-17556-S
hui2 lai5	14-54515-B,58-15897-S,58-16195-S
hui2 lu4 zhuan3	21-39900-S
hui2 mou2	14-56940-B
hui2 qin2	54-10414-B
hui2 qu5	14-54730-B
hui2 sheng1	14-54657-B,14-57270-B,60-17020-S
hui2 sheng1 ding4 wei4	14-57310-B
hui2 shi4	2-19338-S,14-57740-B,43-66415-S
hui2 shi4 r5	43-66574-S
hui2 shou1	14-55739-B
hui2 shou3	14-58672-B
hui2 su4	14-56809-B
hui2 tiao2	14-56290-B
hui2 tou2	14-58416-B,29-65932-S,38-11568-S
hui2 wen2	14-55911-B
hui2 wen2 zhen1	14-57174-B
hui2 xiang1	7-52828-S,15-32340-S,17-33482-S,20-70102-S,54-10513-B
hui2 xiang1 guo3	55-31675-S
hui2 xiang1 zi3	54-10574-B
hui2 xiang1 zi5	17-33552-S
hui2 xiang3	14-55268-B,14-58301-B
hui2 xin4	14-54564-B
hui2 xuan2	14-55955-B,61-53184-B
hui2 xuan2 jia1 su4 qi4	14-56015-B
hui2 yan3 chu1	21-51148-S
hui2 ye4 shou3	14-58344-B
hui2 yi4	14-55331-B
hui2 yi4 lu4	14-55386-B
hui2 ying4	14-55435-B
hui2 zhuan3	61-53242-B
hui2 zu2 zi4 zhi4 xian4	10-24980-S,23-38787-S,40-44210-S
hui3	4-30015-S,11-48269-S,16-26006-S,21-45128-S,22-42421-S,23-68171-S,25-7035-B,25-61994-S,26-3248-S,27-19401-S,28-52629-S,28-55238-S,28-65261-S,29-9325-S,29-9974-S,29-19793-S,36-2530-B,40-31255-S,40-45463-S,40-51599-S,41-27106-S,41-33516-B,46-21348-S,51-21590-S,55-57466-B,58-6133-S,58-23208-S,59-2429-B,61-57215-S,64-33872-S
hui3 bang4	36-2941-B
hui3 chu2	36-2989-B
hui3 diao4	36-2735-B
hui3 gai3	25-7158-B
hui3 guo4	25-7253-B
hui3 guo4 zi4 xin1	25-7300-B
hui3 hen4	25-7064-B
hui3 huai4	36-2656-B
hui3 lai2 xing4	36-2581-B
hui3 mie4	36-2817-B
hui3 sun3	36-2777-B
hui3 wu4	25-7116-B
hui3 yue1	36-2870-B
hui3 zui4	25-7209-B
